Word	happiness_average	happiness_standard_deviation
opportunities	7.46	1.0919
triumph	7.46	1.8318
wow	7.46	1.4458
jewels	7.46	1.6153
forests	7.45	1.332
apple	7.44	1.2316
dreams	7.44	1.4165
fantasy	7.44	1.6183
food	7.44	1.2149
honey	7.44	1.5928
miracles	7.44	1.9395
sex	7.44	1.6801
sing	7.44	1.3426
starlight	7.44	1.4165
thankful	7.44	1.5005
wins	7.44	1.2643
achieve	7.42	1.2304
adored	7.42	1.4441
cash	7.42	1.6671
dances	7.42	1.295
gorgeous	7.42	1.9597
grandchildren	7.42	1.5131
incredible	7.42	1.3415
lunch	7.42	1.0897
mommy	7.42	1.7623
parties	7.42	1.4441
perfect	7.42	1.7154
saturday	7.42	1.7154
surprise	7.42	1.5398
truth	7.42	1.401
blessing	7.4	1.7379
creative	7.4	1.1952
dinner	7.4	1.1429
kindness	7.4	1.088
pleased	7.4	1.1606
sexy	7.4	1.2289
strength	7.4	1.1606
thank	7.4	1.1249
thanks	7.4	1.5119
thanksgiving	7.4	1.4142
treasure	7.4	1.7143
valentine	7.4	1.7023
riches	7.39	1.6685
awarded	7.38	1.1586
fabulous	7.38	1.5372
grandfather	7.38	1.427
heavenly	7.38	1.8282
hope	7.38	1.3076
kids	7.38	1.6022
magical	7.38	1.2919
million	7.38	1.427
nice	7.38	1.5104
sundays	7.38	1.4553
wealth	7.38	1.2271
fantasies	7.36	1.3898
cares	7.36	1.3962
dance	7.36	1.4394
daughters	7.36	1.2249
favorable	7.36	1.5086
friend's	7.36	1.6383
generosity	7.36	1.2739
grateful	7.36	1.4675
inspired	7.36	1.1021
mothers	7.36	1.4675
parents	7.36	1.5086
valentine's	7.36	1.3211
intelligent	7.35	1.5504
liberation	7.35	1.3039
melody	7.35	1.7742
wonderland	7.35	1.64
beloved	7.34	1.2715
caring	7.34	1.4086
homemade	7.34	1.239
inspiring	7.34	1.1886
movies	7.34	1.4514
precious	7.34	1.5201
respect	7.34	1.6113
satisfaction	7.34	1.1178
satisfy	7.34	1.4373
wedding	7.34	1.5201
accomplished	7.32	1.3005
adorable	7.32	1.6956
championship	7.32	1.3619
comfortable	7.32	1.0962
cuddle	7.32	1.7313
games	7.32	1.2196
grandson	7.32	1.4769
life	7.32	1.6956
lovely	7.32	1.5444
pretty	7.32	1.6956
proud	7.32	1.4348
rose	7.32	1.463
united	7.32	1.2027
fruits	7.31	1.5303
adventure	7.3	1.4321
couple	7.3	1.2657
dollars	7.3	1.4604
eating	7.3	1.7757
fortune	7.3	1.3887
generous	7.3	1.4743
golden	7.3	1.3439
hahah	7.3	1.5419
hooray	7.3	2.0727
intelligence	7.3	1.1995
lover	7.3	1.9299
luxury	7.3	1.6812
money	7.3	1.8434
passion	7.3	1.4743
prosperity	7.3	1.5286
remarkable	7.3	1.3286
sweetie	7.3	1.1294
valentines	7.3	1.7757
educated	7.29	1.307
gently	7.29	1.2748
baby	7.28	1.8521
books	7.28	1.3254
bride	7.28	1.5391
cherished	7.28	1.5784
cookies	7.28	1.7028
dessert	7.28	1.7733
employed	7.28	1.3559
glow	7.28	1.2943
god	7.28	1.9277
great-grandchildren	7.28	1.7028
helped	7.28	1.2943
independence	7.28	1.5913
likes	7.28	1.5391
luckily	7.28	1.6542
moon	7.28	1.3708
perfectly	7.28	1.5913
satisfied	7.28	1.5258
sunday	7.28	1.9171
juicy	7.27	1.2037
championships	7.26	1.3524
divine	7.26	1.4115
dreaming	7.26	1.2586
foods	7.26	1.482
fresh	7.26	1.3219
gladly	7.26	1.1214
greatest	7.26	1.5228
hearts	7.26	1.6759
luck	7.26	1.8824
millions	7.26	1.5361
musicians	7.26	1.0461
play	7.26	1.2257
progress	7.26	1.1572
savings	7.26	1.2747
appreciation	7.24	1.4653
bliss	7.24	1.7562
bloom	7.24	1.598
book	7.24	1.2048
child	7.24	1.5592
companion	7.24	1.3786
computer	7.24	1.3933
gardens	7.24	1.3486
gentle	7.24	0.9806
hahahah	7.24	2.036
helpful	7.24	1.2382
impressed	7.24	1.0412
kind	7.24	1.3933
knowledge	7.24	1.4647
liberty	7.24	1.2707
mama	7.24	1.7562
nature	7.24	1.802
pal	7.24	1.2707
passionate	7.24	1.0797
promoted	7.24	1.4923
reward	7.24	1.8905
warmth	7.24	1.6483
xmas	7.24	2.105
danced	7.22	1.2122
amazed	7.22	1.8658
appreciate	7.22	1.183
brother	7.22	1.2337
confidence	7.22	1.2824
darling	7.22	1.3138
encouraging	7.22	1.5556
energy	7.22	1.2982
films	7.22	1.2824
garden	7.22	1.183
graduated	7.22	1.2664
guitar	7.22	1.4748
health	7.22	1.2501
heart	7.22	1.4327
honor	7.22	1.2002
like	7.22	1.2171
musical	7.22	1.5556
pets	7.22	1.5292
relaxed	7.22	1.0554
salary	7.22	1.3445
star	7.22	1.5817
sweeter	7.22	1.1119
trust	7.22	1.2337
yummy	7.22	1.7876
ecstasy	7.2	1.7318
eternal	7.2	1.5272
approved	7.2	1.4983
benefits	7.2	1.0498
cartoon	7.2	1.4428
comforted	7.2	1.4428
cool	7.2	1.3401
discount	7.2	1.2936
good	7.2	1.4569
google	7.2	1.3093
ladies	7.2	1.4708
libraries	7.2	1.2454
luv	7.2	1.8406
perfection	7.2	1.6288
presents	7.2	1.4569
prizes	7.2	2.0304
special	7.2	1.1952
wishes	7.2	1.2122
alive	7.18	1.2887
awards	7.18	1.207
bed	7.18	1.2887
best	7.18	1.6866
coffee	7.18	1.4803
comfy	7.18	1.2237
fiesta	7.18	1.7692
genuine	7.18	1.3805
helping	7.18	1.6374
imagine	7.18	1.1008
leisure	7.18	1.6986
meal	7.18	1.4665
promise	7.18	1.1899
respected	7.18	1.024
rest	7.18	1.2567
travel	7.18	1.4241
abundant	7.16	1.6458
attracted	7.16	1.1669
devoted	7.16	1.3607
favourite	7.16	1.3607
granddaughter	7.16	1.6946
heroes	7.16	1.5696
ideas	7.16	1.2835
liked	7.16	0.9116
oceans	7.16	1.6208
pizza	7.16	1.3303
skies	7.16	1.3456
sleep	7.16	1.7066
spring	7.16	1.4337
sunset	7.16	2.1127
welcome	7.16	1.3149
1st	7.14	1.7025
adoring	7.14	1.6904
brighter	7.14	1.325
children's	7.14	1.512
cure	7.14	1.512
fireworks	7.14	1.4848
home	7.14	1.8296
honored	7.14	1.2779
journey	7.14	1.512
lovin	7.14	1.9693
opportunity	7.14	1.7144
paid	7.14	1.7144
parks	7.14	1.5651
playing	7.14	1.4709
shine	7.14	1.7144
strawberry	7.14	1.4144
summertime	7.14	2.2224
wealthy	7.14	1.7498
appreciated	7.12	1.507
artistic	7.12	1.2395
birth	7.12	1.6117
children	7.12	1.3498
fruit	7.12	1.5205
inspire	7.12	1.4797
juice	7.12	1.0812
laptop	7.12	1.3498
partners	7.12	1.4377
son	7.12	1.8142
stronger	7.12	1.0812
superman	7.12	1.7219
tree	7.12	1.3192
valuable	7.12	1.1183
woman's	7.12	1.3498
women	7.12	1.4658
glowing	7.1	1.4324
admiration	7.1	1.4604
carnival	7.1	1.7642
computers	7.1	1.2817
confident	7.1	1.1824
cookie	7.1	1.2976
cutie	7.1	1.3132
dearest	7.1	1.2817
dream	7.1	1.9614
freely	7.1	1.374
fridays	7.1	1.4604
plants	7.1	1.2976
quality	7.1	1.4178
rabbit	7.1	1.2164
resort	7.1	1.4463
shopping	7.1	1.5419
sincere	7.1	1.0351
snack	7.1	1.5682
stars	7.1	1.5419
toys	7.1	1.6568
useful	7.1	1.1995
wise	7.1	1.2657
yum	7.1	1.488
desirable	7.08	1.6563
sparkle	7.08	1.6181
bless	7.08	1.9675
comic	7.08	1.5628
cooking	7.08	1.2911
dancing	7.08	1.6142
earned	7.08	1.1753
equality	7.08	1.8277
faith	7.08	1.4405
graduate	7.08	1.2428
improvements	7.08	1.4119
memories	7.08	1.1925
park	7.08	1.3529
pet	7.08	1.7004
powerful	7.08	1.5365
princess	7.08	1.5758
qualities	7.08	1.1578
thrill	7.08	1.5628
true	7.08	1.1036
wonder	7.08	1.3068
everlasting	7.06	1.3906
mamma	7.06	1.7006
caress	7.06	1.7192
charm	7.06	1.4201
clever	7.06	1.3463
father	7.06	1.7427
grand	7.06	1.3614
hehehe	7.06	1.6587
idea	7.06	1.2843
pearl	7.06	1.4201
pictures	7.06	1.3157
restaurant	7.06	1.2521
sandwich	7.06	1.3763
sharing	7.06	1.2843
strong	7.06	1.5174
talent	7.06	0.9775
talented	7.06	1.5308
tenderness	7.06	1.2683
weddings	7.06	1.6587
dove	7.04	1.4428
awsome	7.04	1.7952
cherry	7.04	1.4563
daughter	7.04	1.8066
eat	7.04	1.4563
favorite	7.04	1.6532
girlfriend	7.04	1.6283
hoping	7.04	1.1421
impressive	7.04	1.0294
loyalty	7.04	1.7723
parent	7.04	1.293
relationship	7.04	1.293
safe	7.04	1.6157
scholarship	7.04	1.6532
shining	7.04	1.7608
sunrise	7.04	1.7952
yoga	7.04	1.5903
respects	7.02	1.6176
fairy	7.02	1.4789
humanity	7.02	1.6265
productivity	7.02	1.3148
brave	7.02	1.2856
colours	7.02	1.3775
correct	7.02	1.4913
dad	7.02	2.1236
daddy	7.02	1.7201
dollar	7.02	1.5185
easily	7.02	1.6349
fans	7.02	1.2534
goal	7.02	1.2204
hawaii	7.02	1.6841
honestly	7.02	1.5713
inspiration	7.02	1.4497
olympics	7.02	1.3476
saints	7.02	1.7201
sleeping	7.02	1.672
wisdom	7.02	1.5583
believed	7.0	1.2778
better	7.0	1.2778
color	7.0	1.3702
colors	7.0	1.7496
dad's	7.0	1.3851
determination	7.0	1.4142
discovered	7.0	1.2454
gentlemen	7.0	1.4289
girl	7.0	1.1606
harmony	7.0	1.4434
hello	7.0	1.5119
hopes	7.0	1.5518
noble	7.0	1.6036
praised	7.0	1.3851
reliable	7.0	1.4846
trip	7.0	1.5518
agreed	6.98	1.3013
approval	6.98	1.2036
brothers	6.98	1.4497
concerts	6.98	1.5451
cooperation	6.98	1.3775
encouraged	6.98	1.237
giving	6.98	1.1516
goals	6.98	1.2036
ideal	6.98	1.7082
intellectual	6.98	1.2856
invitation	6.98	1.3323
marry	6.98	1.868
musician	6.98	1.237
outdoors	6.98	1.6962
photography	6.98	1.4913
plenty	6.98	1.2204
rome	6.98	1.4213
trees	6.98	1.5971
trips	6.98	1.3169
unique	6.98	1.4356
wildlife	6.98	1.6841
lullaby	6.98	1.931
thrills	6.98	1.3306
abroad	6.96	1.2282
bath	6.96	1.261
benefit	6.96	1.3087
birds	6.96	1.428
dads	6.96	1.4702
elegant	6.96	1.9268
eternally	6.96	1.7138
fair	6.96	1.261
fancy	6.96	1.3696
great-grandfather	6.96	1.7257
imagination	6.96	1.3547
improving	6.96	0.8797
mountains	6.96	1.1945
ocean	6.96	1.7138
pancakes	6.96	1.2115
photograph	6.96	1.5644
praying	6.96	1.7492
present	6.96	1.2771
reunion	6.96	1.6283
safely	6.96	1.4563
saving	6.96	1.261
singing	6.96	1.7019
songs	6.96	1.8731
sunny	6.96	2.0894
terrific	6.96	2.0796
theater	6.96	1.5513
vanilla	6.96	1.3395
adore	6.96	1.8592
gentleman	6.96	1.7254
autumn	6.94	1.5039
cinema	6.94	1.596
college	6.94	1.4201
concert	6.94	1.2022
correctly	6.94	1.3311
cozy	6.94	1.4626
dear	6.94	1.544
earning	6.94	1.5308
earns	6.94	1.0956
gardening	6.94	1.2683
girls	6.94	1.4626
massage	6.94	1.6587
outdoor	6.94	1.2357
photos	6.94	1.1678
piano	6.94	1.2683
sea	6.94	1.2843
trusted	6.94	1.5331
albums	6.92	1.3223
dignity	6.92	1.1753
favored	6.92	1.3529
fitness	6.92	1.7478
game	6.92	1.6015
healing	6.92	1.3974
learned	6.92	1.5232
learning	6.92	1.3529
prayers	6.92	1.8499
promote	6.92	1.066
secure	6.92	1.2911
spa	6.92	1.4824
unity	6.92	1.7478
wish	6.92	1.4961
youtube	6.92	1.5097
favour	6.92	1.5253
clean	6.9	1.8979
dynamic	6.9	1.3132
encourage	6.9	1.6812
infant	6.9	1.7642
jewelry	6.9	1.5017
necklace	6.9	1.165
paintings	6.9	1.594
stability	6.9	1.488
voyage	6.9	1.3286
worthy	6.9	1.6812
fulfill	6.9	1.3423
eternity	6.9	1.9596
accuracy	6.88	1.1718
bookstores	6.88	1.4518
breeze	6.88	1.3346
bunny	6.88	1.7916
cheese	6.88	1.4377
comics	6.88	1.3498
donated	6.88	1.2395
easter	6.88	1.698
education	6.88	1.6117
email	6.88	1.3192
farmer	6.88	1.6243
female	6.88	1.272
flavor	6.88	1.2229
friday	6.88	1.686
moms	6.88	1.7687
photo	6.88	1.3944
pillow	6.88	1.2229
pure	6.88	1.3498
saved	6.88	1.507
shakespeare	6.88	1.7802
survived	6.88	1.4797
taste	6.88	1.272
valued	6.88	1.1183
vitamin	6.88	1.3797
infants	6.88	1.6283
silk	6.88	1.4525
dreamed	6.87	1.3922
#music	6.86	1.8953
acceptance	6.86	1.2779
banana	6.86	1.2938
breakfast	6.86	1.143
cooperative	6.86	1.3999
dancer	6.86	1.5388
grace	6.86	1.5254
greatly	6.86	1.3403
guarantee	6.86	1.3095
improved	6.86	1.3554
improvement	6.86	1.2618
independent	6.86	1.8071
liking	6.86	0.8809
paris	6.86	1.6661
pasta	6.86	1.4144
photographs	6.86	1.4984
recipes	6.86	1.3095
relationships	6.86	1.125
relief	6.86	1.6037
sailing	6.86	1.4848
science	6.86	1.578
seas	6.86	1.6289
toast	6.86	1.4144
truly	6.86	0.9691
platinum	6.86	1.8484
superstar	6.86	1.9685
understands	6.86	1.2076
accurately	6.84	1.4619
advantage	6.84	1.2835
belonging	6.84	1.2993
buddy	6.84	1.0568
childhood	6.84	1.8556
daylight	6.84	1.4049
discover	6.84	1.4049
forgiveness	6.84	1.9832
great-grandmother	6.84	1.8223
hopefully	6.84	1.5167
horses	6.84	1.4758
interested	6.84	1.0947
kid	6.84	1.4758
live	6.84	1.5167
lol	6.84	1.7884
movie	6.84	1.9832
popularity	6.84	1.5696
solution	6.84	1.3756
swim	6.84	1.2993
toy	6.84	2.034
understanding	6.84	1.1669
universe	6.84	1.2835
woman	6.84	1.6458
woohoo	6.84	2.044
rivers	6.84	1.5322
sail	6.84	1.5592
cared	6.83	1.2738
active	6.82	1.7692
artists	6.82	1.4241
babe	6.82	1.2728
believes	6.82	1.1899
born	6.82	1.6499
champagne	6.82	1.746
compassion	6.82	1.9026
completed	6.82	1.3656
create	6.82	1.1008
dedicated	6.82	1.32
experienced	6.82	1.1726
fathers	6.82	1.826
first	6.82	1.4803
gains	6.82	1.4803
heal	6.82	1.4525
new	6.82	1.1373
significant	6.82	1.0821
singer	6.82	1.4525
surprisingly	6.82	1.32
young	6.82	1.2403
mansion	6.82	1.6288
prevail	6.82	1.7281
qualified	6.81	1.5664
air	6.8	1.6537
amazon	6.8	1.5386
animal	6.8	1.8516
bedroom	6.8	1.4428
camera	6.8	1.2936
cream	6.8	1.2936
dreamer	6.8	1.4983
forgiven	6.8	1.5253
highest	6.8	1.7613
horse	6.8	1.5119
magic	6.8	1.7613
manners	6.8	1.2454
naturally	6.8	1.6036
novels	6.8	1.6903
performers	6.8	1.2617
pies	6.8	1.3702
protect	6.8	1.4142
santa	6.8	1.7728
shared	6.8	1.3401
smooth	6.8	1.178
together	6.8	1.5908
uncle	6.8	1.5649
efficient	6.8	1.5135
elevated	6.8	1.1899
cafe	6.78	1.4469
coke	6.78	1.6199
completion	6.78	1.3445
coolest	6.78	1.8103
creation	6.78	1.4039
dogs	6.78	1.8215
effectiveness	6.78	1.2664
esteemed	6.78	1.4039
finished	6.78	1.4184
glee	6.78	1.8658
green	6.78	1.6938
heartbeat	6.78	1.7058
island	6.78	1.5425
jukebox	6.78	1.5817
medal	6.78	1.4327
mom's	6.78	1.6199
museums	6.78	1.7177
painting	6.78	1.1657
pie	6.78	1.7177
pool	6.78	1.4609
reading	6.78	1.4609
real	6.78	1.2002
ruby	6.78	1.2664
share	6.78	1.4039
sons	6.78	1.6199
traveling	6.78	1.6695
variety	6.78	1.3138
wonders	6.78	1.8876
worth	6.78	1.3445
guaranteed	6.78	1.1773
raindrops	6.78	1.4181
visions	6.78	1.3733
pearls	6.77	1.7041
america	6.76	1.5194
easy	6.76	1.598
effective	6.76	1.2867
future	6.76	1.4223
humans	6.76	1.4507
intimate	6.76	1.3024
married	6.76	1.8468
muffin	6.76	1.2382
papa	6.76	1.9332
plus	6.76	1.4923
popcorn	6.76	1.8245
savior	6.76	1.6233
seasons	6.76	1.2216
shop	6.76	1.0412
sister	6.76	1.6483
style	6.76	1.6233
supporter	6.76	1.2216
switzerland	6.76	1.5059
tenderly	6.76	1.6233
top	6.76	1.5194
oxygen	6.76	1.422
rhyme	6.76	1.1995
allright	6.74	1.5624
american	6.74	1.5228
artist	6.74	1.4401
capable	6.74	1.6759
complete	6.74	1.2423
convenient	6.74	1.2257
courtesy	6.74	1.0844
donate	6.74	1.3372
drinks	6.74	1.4259
father's	6.74	1.3822
fine	6.74	1.3674
focused	6.74	1.1395
guitars	6.74	1.3969
hi	6.74	1.0654
integrity	6.74	1.5093
justice	6.74	1.9568
lake	6.74	1.6759
mankind	6.74	1.6011
mentor	6.74	1.1214
merit	6.74	1.209
performance	6.74	1.3372
plant	6.74	1.3524
prepared	6.74	1.0654
raise	6.74	1.209
romeo	6.74	1.712
shiny	6.74	1.2257
sugar	6.74	1.9358
surprising	6.74	1.2906
technology	6.74	1.4957
treat	6.74	1.712
university	6.74	1.3822
wishing	6.74	1.0461
yes	6.74	1.4542
desires	6.73	1.4688
wished	6.73	1.4109
4-bedroom	6.72	1.4988
attract	6.72	1.1436
bike	6.72	1.3856
car	6.72	2.1
civilization	6.72	1.3099
classy	6.72	1.0309
confirmed	6.72	1.2296
costumes	6.72	1.1256
creating	6.72	1.1613
culture	6.72	1.8075
finish	6.72	1.4148
gallery	6.72	1.2784
knowing	6.72	1.3559
lifelong	6.72	1.4434
momma	6.72	1.7384
neat	6.72	1.4434
niece	6.72	1.3559
online	6.72	1.2784
orchestra	6.72	1.3708
plays	6.72	1.5784
revenue	6.72	1.5258
shower	6.72	1.5124
spiritual	6.72	1.9487
surprised	6.72	1.3559
tremendous	6.72	1.5913
values	6.72	1.5654
villages	6.72	1.3708
warm	6.72	1.7961
doggy	6.71	2.1794
hallelujah	6.71	1.9896
candle	6.71	1.5704
secured	6.71	1.1478
valid	6.71	1.4434
agree	6.7	1.1824
anniversary	6.7	1.8434
antiques	6.7	1.374
believe	6.7	1.594
bucks	6.7	1.6812
cruise	6.7	1.9614
dancers	6.7	1.6067
dine	6.7	1.4033
dog	6.7	1.8434
florida	6.7	1.6568
grandsons	6.7	1.9086
grants	6.7	1.2495
hired	6.7	1.488
learn	6.7	1.4178
marriage	6.7	2.27
mum	6.7	1.7525
partner	6.7	1.2495
productive	6.7	1.1294
rockin	6.7	1.7525
teaches	6.7	1.0926
treats	6.7	1.5682
tv	6.7	1.5017
water	6.7	1.2164
grin	6.69	1.7465
invention	6.69	1.3103
virtues	6.69	1.4318
brains	6.69	1.4754
sensation	6.68	1.4004
ability	6.68	0.9988
ace	6.68	1.6835
animals	6.68	2.0247
bake	6.68	1.4061
bridegroom	6.68	1.4205
desire	6.68	1.3619
famous	6.68	2.0045
forest	6.68	1.5706
fountain	6.68	1.2848
goodmorning	6.68	1.9213
greater	6.68	1.3161
grow	6.68	1.2196
heritage	6.68	1.3468
landscape	6.68	1.1683
liberties	6.68	1.7076
living	6.68	1.2196
lyrics	6.68	1.5576
mercy	6.68	1.7664
museum	6.68	1.463
novel	6.68	1.463
palace	6.68	1.6468
pianist	6.68	1.4061
potential	6.68	1.0774
power	6.68	1.4907
privilege	6.68	1.6468
proceed	6.68	1.2526
promised	6.68	1.0774
river	6.68	1.3316
scotland	6.68	1.4907
shares	6.68	1.2196
skating	6.68	1.2848
thanx	6.68	1.8565
theatre	6.68	1.5312
tours	6.68	1.5312
well	6.68	1.2526
acceptable	6.67	1.2143
possibilities	6.67	1.4774
accurate	6.67	1.0383
candles	6.67	1.4923
approve	6.66	1.5986
assets	6.66	1.6239
aunt	6.66	1.5729
career	6.66	1.423
charms	6.66	1.3793
communicate	6.66	1.0224
competent	6.66	1.6856
currency	6.66	1.5201
dedication	6.66	1.3644
dvd	6.66	1.4086
eligible	6.66	1.2715
fan	6.66	1.0422
firefighters	6.66	1.423
greet	6.66	1.5598
motivation	6.66	1.4514
nieces	6.66	1.4514
personality	6.66	1.5201
powers	6.66	1.3188
raises	6.66	1.6239
sculpture	6.66	1.2554
survivors	6.66	1.3342
tea	6.66	1.6612
television	6.66	1.5858
tour	6.66	1.4654
pony	6.65	1.4076
rhythm	6.65	1.5619
bird	6.64	1.5487
care	6.64	1.6507
cat	6.64	1.977
cook	6.64	1.495
corn	6.64	1.1563
deposits	6.64	1.4107
expert	6.64	1.3211
high	6.64	1.2081
holy	6.64	1.7815
invite	6.64	1.4251
leading	6.64	1.5086
photographer	6.64	1.2898
picture	6.64	1.3056
promising	6.64	1.1205
recover	6.64	1.6258
recovered	6.64	1.3211
recovery	6.64	1.495
salad	6.64	1.7114
shops	6.64	1.2415
solutions	6.64	1.3815
sparks	6.64	1.3056
sport	6.64	1.6874
supreme	6.64	1.3365
theaters	6.64	1.663
tunes	6.64	1.3815
unite	6.64	1.1911
volunteers	6.64	1.4813
simplicity	6.62	1.5246
attained	6.62	1.3981
book's	6.62	1.3686
cameras	6.62	1.2919
chatting	6.62	1.2436
crown	6.62	1.4693
disney	6.62	1.6646
dresses	6.62	1.713
heartfelt	6.62	1.8832
homes	6.62	1.2436
husband	6.62	1.7484
immortal	6.62	1.6523
invest	6.62	1.028
kitty	6.62	1.8614
offer	6.62	1.028
organized	6.62	1.2436
performances	6.62	1.3686
perfume	6.62	1.6149
pray	6.62	1.968
rescue	6.62	1.6646
restaurants	6.62	1.783
salaries	6.62	1.817
sisters	6.62	1.689
slept	6.62	1.5635
steak	6.62	1.9784
stories	6.62	1.5894
varieties	6.62	1.3076
vision	6.62	1.2103
wife	6.62	1.8058
youth	6.62	1.8832
zoo	6.62	1.968
stimulation	6.61	1.3512
touching	6.61	1.681
furnished	6.6	1.2673
suitable	6.6	0.893
album	6.6	1.1066
amour	6.6	1.6162
art	6.6	1.4983
beam	6.6	1.3702
captain	6.6	1.6288
certainty	6.6	1.3553
child's	6.6	1.3702
clothing	6.6	1.3093
conservation	6.6	1.2778
desired	6.6	1.5649
dress	6.6	1.178
favorited	6.6	1.7613
females	6.6	1.6903
growth	6.6	1.088
