Word	eo
adulterer	adultulo
adultery	adulto
adulthood	adulteco
advance	antaŭu
advanced	progresinta
advancement	progreso
advancing	antaŭeniri
advantage	avantaĝo
advantageous	avantaĝa
advent	alveno
adventure	aventuro
adventurer	aventuristo
adventures	aventuroj
adventurous	aventuristo
adversary	kontraŭulo
adverse	adversa
adversity	malfeliĉo
advertise	reklami
advertisement	anonco
advertising	reklamado
adverts	reklamoj
advice	konsiloj
advisable	konvena
advise	konsilas
advised	konsilita
advisement	konsilojn
adviser	konsilanto
advisor	konsilisto
advisory	konsilanto
advocacy	rekompenco
advocate	advokato
aegis	aegis
aeration	aeraĵo
aerial	aera
aerobics	aerobiko
aerodrome	aeródromo
aerodynamic	aerodinámica
aerodynamics	aerodinámiko
aeronautics	aeronáutica
aeroplane	aviadilo
aerospace	aeroespacial
aesthetic	estetika
aesthetics	estetiko
aetiology	aetiologio
afar	malproksime
affable	afabla
affair	afero
affect	tuŝi
affecting	tuŝante
affection	amo
affectionate	cariñosa
affections	simpatioj
affiche	NO TRANSLATION
affidavit	deklaro
affiliated	aniĝita
affiliation	afiliación
affinity	afineco
affirm	aserti
affirmation	aserto
affirmative	afirmativa
affirmatively	afirmativamente
affix	afikso
afflict	aflikto
afflicted	afliktitaj
affliction	aflikto
affluence	afluencia
affluent	alfluanto
afford	pagu
affordable	malaltekosta
affront	afero
affronted	afrontita
afield	afero
afire	fajro
afloat	flosi
afore	antaŭe
aforementioned	menciite
aforesaid	dirite
afraid	timema
afresh	lastatempe
african	afrikano
aft	aft
afterlife	postvivanta
aftermath	sekvoj
afternoon	posttagmeze
aftershave	postsekvi
aftertaste	aftertaste
afterthought	pripensita
aga	NO TRANSLATION
agape	agape
agate	agato
age	aĝo
aged	maljunaj
agency	agentejo
agenda	agendo
agent	agento
agglomeration	aglomerado
aggravate	pligravigi
aggravated	pligravigita
aggravates	pligravigas
aggravating	pligravigante
aggravation	pligravigo
aggregate	aldonita
aggregation	agregado
aggresive	NO TRANSLATION
aggression	agreso
aggressive	agresema
aggressively	agreseme
aggressiveness	agresividad
aggressor	agresanto
agh	agh
aghast	agrabi
aghhh	NO TRANSLATION
agile	lerta
agility	lerteco
aging	envejeci
agitate	agiti
agitated	agitata
agitation	agitiĝo
aglow	aglow
agnostic	agnostika
ago	antaŭe
agonizing	agonante
agony	agonio
agoraphobia	agorafobio
agree	konsentas
agreeable	plaĉa
agreed	konsentis
agreeing	konsentante
agreement	interkonsento
agressive	NO TRANSLATION
agricultural	terkulturaj
agriculture	agrikulturo
aground	ĉirkaŭaĵo
agua	NO TRANSLATION
ahead	antaŭen
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	bone
aid	helpo
aide	helpanto
aiding	helpante
aids	helpantoj
ail	ail
ailing	malfeliĉa
ailment	malsano
aim	fino
aimless	senfinaj
air	aero
airbag	aviadilo
airborne	aviadilo
aircraft	aviadilo
aircraft carrier	aviadilŝipo
airfield	aviadilo
airhead	aero
airlift	aviadilo
airline	aerolínea
airliner	aviadilo
airlock	aviadilo
airman	aviadilo
airplane	aviadilo
airport	flughaveno
airs	aeroj
airship	aviadilo
airspace	aera spaco
airspeed	aviadilo
airstrip	aero
airtight	avida
airway	aviadilo
aisle	aislo
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	Ankaŭ
akin	parenca
alabaster	alabastro
alarm	alarmo
alarm clock	vekhorloĝo
alarmed	alarmita
alarming	alarmante
alas	alas
alb	NO TRANSLATION
albatross	albatroso
albino	albino
album	albumo
alchemy	alkemio
alcohol	alkoholo
alcoholic	Alkohola
alcoholism	alkoholismo
alcove	alkovo
alderman	alderman
ale	NO TRANSLATION
alert	garde
alertness	gardeco
alerts	garde
alfalfa	alfalfa
algebra	algebro
algebraic	algebra
algorithm	algoritmo
alias	alias
alibi	Alibi
alien	fremda
alienate	fremdulo
alienated	fremdigita
alienation	alienación
alight	Alight
align	vicigi
aligned	vicigita
alignment	vicigo
alike	egale
alimentation	NO TRANSLATION
alimony	alimonio
aliquot	kelkaj
alive	viva
alkali	alkali
alkaloids	alcaloidoj
allay	malhelpi
allegation	akuzo
allege	pledas
alleged	supozita
allegiance	fideleco
allegorical	alegórica
allegory	alegorio
allegro	allegro
allergic	alergia
allergy	alergio
alleviate	malpezigu
alleviation	malpezigo
alley	strateto
alleyway	koruso
alliance	alianco
allied	aliancitaj
alligator	kroigilo
allocate	atribui
allocation	atribuo
allot	allot
allotment	donaco
allow	permesu
allowable	permesebla
allowance	akcepto
allowed	permesita
alloy	alojo
allsmiles	NO TRANSLATION
allure	allureco
alluring	allogaj
allusion	aludo
alluvial	aluvial
ally	aliancano
almanac	almanako
almighty	ĉiopova
almond	migdalo
aloft	aloft
aloha	aloha
alone	sole
alongside	al la flanko
aloof	malproksime
aloud	laŭte
alpha	alfa
alphabet	alfabeto
alphabetical	alfabeta
alpine	alpino
alreadyyyyy	NO TRANSLATION
altar	altaro
altar boy	altara knabo
alter	ŝanĝi
alteration	ŝanĝo
altercation	ŝanĝo
altered	ŝanĝita
alternate	alterna
alternating	alterna
alternative	alternativo
altimeter	altimetro
altitude	alteco
alto	alto
altogether	tute
aluminum	aluminio
alumnus	lernanto
alveolar	alveolara
alzheimers	NO TRANSLATION
amalgam	Amalgama
amalgamation	amalgamado
amaretto	amaretto
amass	amasa
amateur	amatora
amaze	miru
amazed	mirigita
amazedness	mirindaĵo
amazement	miro
amazing	mirinda
amazingly	mirinde
ambassador	ambasadoro
amber	ambro
ambience	ambience
ambient	ambient
ambiguity	ambigüedad
ambiguous	dubasenca
ambit	ambicio
ambition	ambicio
ambitious	ambicia
ambivalent	ambivalente
ambrosia	Ambrosio
ambulance	ambulanco
ambush	embusko
ameliorate	plibonigi
amen	Amen
amenable	konvena
amend	amendu
amendment	amendo
amends	Amendas
amenity	amenity
amethyst	ametisto
amiable	afabla
amicable	amika
amid	inter
amidst	interne
amino	amino
ammo	Ammo
ammonia	amonio
ammonium	amonio
ammunition	municioj
amnesia	Amnezio
amnesty	Amnestio
amorous	Amuza
amorphous	amorfa
amortization	Amortigo
amount	kvanto
amour	NO TRANSLATION
amp	amp
ampersand	Ampersand
amphetamines	anfetaminoj
amphibian	amfibio
amphibious	amfibio
amphitheater	amfiteatro
ample	ampleksa
amplification	amplifo
amplify	amplifi
amplitude	amplekso
amply	Ample
amputate	amputi
amputation	amputado
amuck	bedaŭrinde
amulet	amuleto
amuse	amuzi
amused	amuzita
amusement	amuzo
amusing	amuzaj
ana	NO TRANSLATION
anaconda	anakondo
anaesthesia	anestezo
anaesthetic	anestezo
anagram	anagramo
anal	anal
analgesic	analgésico
analogous	analoga
analogue	analoga
analogy	analogio
analysis	analizo
analyst	analizisto
analytic	analitika
analytical	analizaj
analyze	analizi
analyzer	analizilo
anaphylactic	anafiláctica
anarchism	anarkiismo
anarchist	anarkiisma
anarchy	anarkio
anastomosis	anastomosis
anathema	anatemo
anatomic	anatomia
anatomy	anatomio
ancestor	prapatro
ancestral	ancestral
ancestry	ascendencia
anchor	ankron
anchorage	ankrumado
ancient	malnova
ancillary	helpa
androgen	androgeno
android	android
anecdote	anekdoto
anemia	anemio
anemic	anemia
anemone	anemono
anesthesia	anestezo
anesthesiologist	anestesiologo
anesthetic	anestezo
aneurysm	aneurismo
anew	denove
angel	anĝelo
angelic	angelicaj
anger	kolero
angered	kolerigita
angermanagement	NO TRANSLATION
angina	angino
angiogram	angiogramo
angiography	angiografio
angle	angulo
angling	angulado
angora	angora
angriest	pli koleraj
angry	kolera
angrytweet	NO TRANSLATION
angst	angesto
anguish	angoro
anguished	angorita
angular	angula
anhydrous	anhidra
animal	besto
animate	animu
animated	vigla
animation	kuraĝigo
animosity	kuraĝeco
animus	animus
ankle	maleolo
anklet	anklet
annals	anales
annex	aneksaĵo
annexation	aneksado
annexe	NO TRANSLATION
annihilate	neniigi
annihilated	neniigita
annihilation	neniigo
anniversary	datreveno
annotate	noti
annotation	komentario
announce	anonci
announcement	anonco
announcer	anoncisto
annoy	ĝenu
annoyance	ĝenado
annoyed	ĝenita
annoyin	NO TRANSLATION
annoying	ĝena
annoys	bedaŭras
annual	jara
annuity	ĉiujareco
annul	nuligi
annular	nuligi
annulment	nuligo
annulus	Annulus
anointed	sanktoleita
anointing	unuiĝo
anomalous	anomala
anomaly	anomalio
anon	anon
anonymity	anonimeco
anonymous	anonima
anorexic	anoreksika
answer	respondo
answerable	respondemaj
answering	respondante
ant	ant
antagonism	antagonismo
antagonist	antagonisto
antagonistic	antagonismaj
antagonize	antagonize
ante	NO TRANSLATION
antecedent	precedenco
antelope	antilopo
antenna	anteno
anterior	antaŭa
anthem	himno
anthill	anthilo
anthology	antologio
anthrax	antrakso
anthropological	antropologia
anthropologist	antropologo
anthropology	antropologio
anti	anti
antiaircraft	kontraŭaviadaj
antibiotic	antibiótico
antibiotics	antibióticos
antichrist	antikristo
anticipate	anticipu
anticipation	antaŭvido
anticipatory	anticipa
antics	antikoj
antidote	kontraŭveneno
antifungal	antifungal
antigravity	antigravidad
antimony	antimonio
antipathy	antipatio
antiquarian	antikva tempo
antiquated	antikva
antique	antikva tempo
antiques	antikva tempoj
antiquity	antikva tempo
antiseptic	antisepsa
antisocial	antisocia
antithesis	antitezo
antithetical	antitetika
antiviral	antiviral
antler	antler
antsy	antsy
anus	anuso
anvil	amboso
anxiety	angoro
anxietyattack	NO TRANSLATION
anxious	maltrankvila
anxiousness	maltrankvilo
anytime	iam ajn
aorta	aorto
aortic	aortika
apace	apace
apache	apache
apartment	apartamento
apartments	apartamentoj
apathetic	apatika
apathy	apatio
ape	simio
aperture	malfermo
apex	apekso
aphid	apidido
aphrodisiac	afrodisíaco
apiece	peco
aplomb	aplombo
apocalypse	apokalipso
apocalyptic	apokalipsa
apologetic	senkulpaj
apologist	apologiisto
apologize	pardonpetu
apology	ekskuzo
apostasy	apostasie
apostate	apostato
apostle	apostolo
apostolic	apostola
apostrophe	apostrofo
apothecary	apotekisto
appalled	mokataj
appalling	timinda
apparatus	aparato
apparel	vestoj
apparent	ŝajnas
apparently	ŝajne
apparition	apero
appeal	rimedo
appear	aperas
appearance	aspekto
appease	plaĉi
appellant	recurrente
append	apendu
appendage	apendo
appendectomy	apendektomio
appendicitis	apendicito
appendix	apendico
appetite	apetito
appetizer	aperitivo
appetizing	plaĉa
applaud	aplaŭdi
applause	aplaŭdoj
apple	pomo
apple juice	poma suko
applejack	applejako
applesauce	pomoj
appliance	aparato
appliances	aparatoj
applicability	aplikeblo
applicable	aplikebla
applicant	demandanto
application	apliko
apply	apliki
appoint	nomumu
appointment	citas
appointments	nomumoj
apportion	donaco
apportionment	distribuo
appraisal	taksado
appraise	taksas
appreciable	estiminda
appreciate	estimu
appreciated	Dankita
appreciates	estimas
appreciation	Dankon
appreciative	estiminda
apprehend	kapti
apprehension	kapto
apprehensive	maltrankvila
apprentice	metilernanto
apprenticeship	metilernado
approach	alproksimiĝo
approaching	alproksimiĝante
approbate	NO TRANSLATION
approbation	aprobo
appropriate	taŭga
appropriation	apropiaĵo
approval	aprobo
approve	aprobi
approved	aprobita
approvement	aprobo
approving	aprobante
approximate	proksimuma
approximately	proksimume
approximating	proksimuma
approximation	proksimuma kalkulado
appurtenances	proprietoj
apricot	albaricopo
apron	antaŭtuko
apt	kapabla
aptitude	kapablo
aqua	akvo
aquamarine	aquamarino
aquarium	akvario
aquatic	akva
aqueduct	akvedukto
aqueous	akva
arable	kultivita
arbiter	arbitro
arbitrary	arbitra
arbitrate	arbitra
arbitration	arbitracio
arbitrator	arbitraciisto
arbor	arbo
arc	arko
arcade	arcade
arcane	arcane
arch	arko
archaeological	arkeologia
archaeologist	arkeologo
archaeology	arkeologio
archaic	arkaika
archangel	archangel
archbishop	ĉefepiskopo
archdiocese	archidiócesis
archduke	ĉefduko
arched	arka
archer	archer
archery	arkpafado
archetype	arketipo
archipelago	insularo
architect	arkitekto
architectural	arkitektura
architecture	arkitekturo
archive	arkivo
arctic	arkta
ardent	arda
ardor	ardoro
arduous	arduo
area	areo
arena	areno
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumentu
argument	argumento
argumentation	argumentado
argumentative	argumentativa
arguments	argumentoj
arid	arida
arise	leviĝu
aristocracy	aristokratio
aristocrat	aristokrato
aristocratic	aristokrata
arithmetic	aritmetiko
ark	arkeo
arm	brako
armada	armada
armament	armilaro
armaments	armilaroj
armature	armatura
armchair	fotelo
armed	armitaj
armor	kiraso
armored	blenditaj
armory	armilaro
armpit	akselo
arms	armiloj
army	armeo
aroma	aromo
aromatherapy	aromatherapio
arousal	ekscito
arouse	vekiĝu
aroused	ekscitita
arraignment	kuraĝigo
arrange	aranĝi
arranged	preta
arrangement	ordigo
array	tabelo
arrears	prokrastoj
arrest	aresto
arrhythmia	arritmia
arrival	alveno
arrive	alvenu
arrogance	aroganteco
arrogant	aroganta
arrow	sago
arsehole	ordonu
arseholes	arseholes
arsenal	arsenalo
arsenic	arsénico
arson	incendio
arsonist	kasalisto
art	arto
arterial	arteria
artery	arterio
artful	arta
arthritis	artrito
arthropod	artrópodo
artichoke	artiŝoko
article	artikolo
articles	artikoloj
articulate	artika
articulation	prononco
artifact	artefakto
artifice	artifiko
artificial	artefarita
artillery	artilerio
artisan	metiisto
artist	artisto
artiste	NO TRANSLATION
artistic	arta
artistry	arta
artists	artistoj
artwork	arto
arty	arta
asap	plejeble baldaŭ
asbestos	Asbesto
ascend	supreniru
ascendancy	ascendencia
ascendant	ascendanta
ascending	suprenirante
ascension	supreniro
ascent	supreniro
ascertain	konstati
ascertained	certigita
ascetic	ascetiko
ash	cindro
ashamed	hontigita
ashes	cindroj
ashtray	cindro
asinine	asinine
ask	demandu
asleeep	NO TRANSLATION
asleep	dormis
asp	asp
asparagus	asparagoj
aspartame	aspartame
aspect	aspekto
aspects	aspektoj
aspen	aspen
asphalt	asfalto
asphyxia	asfiksio
asphyxiation	asfiksado
aspiration	aspiro
aspire	aspiras
aspirin	aspirino
aspiring	aspirante
ass	azeno
assail	pripensu
assailant	asaltanto
assassin	murdisto
assassinate	murdi
assassination	murdon
assault	sturmo
assay	provo
assemblage	kunigo
assemble	kunveni
assembled	kunvenita
assembly	Asembleo
assemblyman	asembleo
assent	konsento
assert	aserti
asserting	asertante
assertion	aserto
assertive	asertivo
assess	taksas
assessment	takso
assessor	taksanto
asset	valoro
assets	aktiva
asshole	asshole
assign	asigni
assignee	sindikato
assignment	farita
assimilate	asimili
assimilation	asimilado
assist	helpi
assistance	helpo
assistant	helpanto
associate	asociita
association	asocio
assorted	diversa
assortment	sorto
assuage	demandon
assume	supozi
assumed	supozis
assuming	supozante
assumption	supozo
assurance	certigo
assure	certigu
assured	certigita
assuredly	certe
asterisk	asterisko
asteroid	asteroido
asteroids	asteroidoj
asthma	astmo
asthmatic	asmata
astigmatism	astigmatismo
astonish	mirinda
astonished	mirigita
astonishing	miriga
astonishingly	NO TRANSLATION
astonishment	mirigas
astound	mirinda
astral	astra
astray	trompi
astringent	astringaj
astrologer	astrologo
astrology	astrologio
astronaut	astronaŭto
astronomer	astronomo
astronomical	astronomia
astronomy	astronomio
astute	ruza
asunder	disŝiru
asylum	azilo
asymmetric	nesimetria
asymmetry	nesimetrio
asymptotic	asimptota
atelier	atelier
atheism	ateismo
atheist	ateisto
atheistic	ateisma
atherosclerosis	Atherosclerosis
athlete	atleto
athletic	Atleta
athleticism	atletikismo
athletics	Atletiko
atlas	atlaso
atmosphere	atmosfero
atmospheric	atmosfera
atoll	atolo
atom	atomo
atomic	atoma
atone	atone
atonement	pekliberigo
atpeace	Atpeace
atrium	atrio
atrocious	atrocaj
atrocity	atrocito
atrophy	atrofio
attach	kunligi
attached	kuna
attachment	korinklino
attack	atako
attacker	atakanto
attacking	atakante
attain	atingi
attainable	atingebla
attainment	atingo
attempt	provo
attempted	provis
attend	atentu
attendance	asistencia
attendant	asistanto
attention	atento
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	atenta
attenuate	mildigi
attenuated	mildigitaj
attenuation	mildigo
attest	atestu
attestation	atesto
attic	mansardo
attire	vestaro
attitude	sinteno
attorney	advokato
attract	altiri
attraction	altiro
attractive	alloga
attractiveness	alloga
attributable	atribuible
attribute	atributo
attribution	atribuo
attrition	eluziĝo
auburn	auburni
auction	aŭkcio
auctioneer	aukciisto
audacious	aŭdaca
audacity	aŭdaco
audible	aŭdebla
audience	aŭdienco
audio	audio
audit	auditorio
audition	aŭdicio
auditions	aŭdicioj
auditor	aŭditoro
auditorium	Aŭditorio
auditory	aŭdora
aught	auxt
augment	plifortigi
augmentation	kresko
august	augusto
aunt	onklino
auntie	onklino
aura	aura
aurora	Aŭroro
auspices	aŭspicioj
auspicious	auspicaj
austere	aŭstera
austerity	austeridad
authentic	aŭtentika
authenticate	aŭtentigi
authentication	aŭtentikigo
authenticity	aŭtentikeco
author	aŭtoro
authoritative	aŭtoritataj
authority	aŭtoritato
authorization	rajtigo
authorize	permesi
authorized	rajtigita
authorship	aŭtoro
autism	aŭtismo
autistic	autista
auto	aŭtomata
autobiographical	autobiografia
autobiography	autobiografio
autocorrect	aŭtokorekta
autocratic	autocracia
autograph	aŭtografo
autographed	aŭtomata
automated	aŭtomatigita
automatic	aŭtomata
automobile	aŭto
automotive	aŭto
autonomy	aŭtonomeco
autopilot	aŭtomata piloto
autopsy	nekropsio
autumn	aŭtuno
auxiliary	helpa
avail	avail
availability	disponibilidad
available	disponebla
avalanche	lavango
avarice	avaricia
avatar	avataro
avenge	venĝi
avenger	vengxanto
avenging	vengante
avenue	avenuo
aver	NO TRANSLATION
average	averaĝa
aversation	aversation
averse	averse
averseness	Averseness
aversion	aversion
avert	malŝalti
aviary	aviary
aviation	aviado
aviator	aviador
avid	avida
avocado	avokado
avoid	evitu
avoidance	evitado
avoiding	evitante
await	atendu
awake	vekiĝu
awaken	vekiĝas
awakening	vekiĝante
award	premio
awards	premioj
aware	konscia
awareness	konscio
awe	NO TRANSLATION
awed	kudrita
awesome	mojosa
awesomeness	awesomeness
awestruck	kurioze
awful	terura
awkward	mallerta
awkwardness	mallaboreco
awning	kovrado
awry	maltrankviliĝu
axe	hakilo
axial	axial
axiom	aksiomo
axiomatic	aksioma
axis	akso
axle	akso
ay	ay
aye	aye
azimuth	azimuto
azure	azure
babble	babu
babbling	babbling
babe	infaneto
baboon	babuino
baby	bebo
babysit	infanino
babysitter	infanino
baccalaureate	abiturienteco
baccarat	baccarato
bachelor	fraŭlo
bachelorette	bachelorette
back	reen
backboard	ŝildo
backbone	kolono
backdoor	malantaŭa pordo
backdrop	fono
backer	subtenanto
backfire	backfire
backgammon	triktrako
background	fono
backhand	reenervo
backhoe	backhoe
backoff	fono
backpack	dorsosako
backpacker	tornistro
backroom	dorso
backseat	backseat
backside	malantaŭe
backtrack	backtrack
backup	rezervo
backward	reen
backwardness	malantaŭen
backwards	malantaŭen
backwater	dorso
backwoods	malantaŭa arbaro
backyard	korto
bacon	lardo
bacteria	bakterioj
bacterial	bakteriaj
bacterium	bakterio
bad	malbone
badass	malbone
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	insigno
badger	Malgranda
badhabit	NO TRANSLATION
badly	malbone
badness	malboneco
baffle	malpura
baffled	malpuriĝis
bag	sako
bagel	bagelo
baggage	pakaĵo
baggie	sako
baggy	sako
bagman	bagmano
bagpipes	sakŝalmoj
bail	vundo
bailiff	alguacil
bait	logaĵo
bake	baku
bakery	bakejo
baking	bakado
bal	NO TRANSLATION
balance	ekvilibro
balanced	ekvilibra
balcony	balkono
bald	kalva
balding	kalva
baldy	balda
bale	bale
balk	balk
ball	pilko
ballad	balado
ballast	balasto
ballerina	ballerino
ballet	balleto
ballgame	pilko
ballistic	balístico
ballistics	balistiko
balloon	balono
ballot	balotado
ballpark	pilko
ballplayer	pilgrimanto
ballpoint	balotpunkto
ballroom	salono
ballsy	pilko
balm	balzamo
balmy	Balmy
balsam	balsamo
balsamic	balsamaj
bam	bam
bamboo	bambuo
ban	NO TRANSLATION
banana	banano
band	bando
bandage	bandaĝo
bandanna	NO TRANSLATION
bandit	bandito
bandstand	kesto
bandwagon	ĉaro
bandwidth	larĝa de bando
bane	bane
bang	bang
banger	banger
banish	malpermesi
banished	forpelita
banishment	ekzilo
banister	banisto
banjo	banjo
bank	banko
banker	bankiero
banking	bankado
bankroll	bankrilo
bankrupt	fiaska
bankruptcy	bankroto
banner	banner
banquet	bankedo
banshee	banshee
banter	malpura
banzai	NO TRANSLATION
baptism	bapto
baptismal	bapta
baptize	baptu
bar	trinkejo
barb	barbo
barbarian	barbara
barbaric	barbara
barbarism	barbareco
barbecue	kradrostado
barbed	barbita
barber	Barbiro
barbershop	trinkejo
barbie doll	barbie pupo
bard	bardo
bare	nuda
bareback	malaltiĝo
barefoot	senŝuaj
barely	apenaŭ
barf	barfo
bargain	interkonsento
bargaining	negocado
barge	barĝo
baritone	baritono
barium	bario
bark	boji
barkeep	barbaco
barks	baroj
barley	hordeo
barmaid	baristo
barman	baristo
barn	grenejo
barnacle	barnaklo
barney	barney
barnyard	korto
barometer	barometro
baron	barono
baroness	baronino
baroque	barroco
barrack	barrack
barracuda	barracuda
barrage	kuraĝo
barred	malpermesita
barrel	barelo
barren	senfrukta
barricade	barikado
barrier	baro
barring	bari
barrister	advokato
barroom	trinkejo
barrow	Barrow
bartender	bartisto
barter	ŝarĝo
base	bazo
baseball	bazpilkado
baseball bat	Batalpilkado
baseboard	bazujo
baseless	senhava
baseline	bazlinio
baseman	bazema
basement	kelo
bases	bazoj
bash	bash
bashful	maldika
basic	baza
basics	bazaj
basil	Basilio
basilica	baziliko
basin	baseno
basis	bazo
bask	bask
basket	korbo
basketball	basketbalo
bass	malalta
bass guitar	malalta gitaro
basso	NO TRANSLATION
bassoon	bassoon
bastard	bastardo
bastarding	bastardaj
bastards	bastardoj
bastion	bastiono
bat	murciélago
batch	loto
batching	batado
bate	NO TRANSLATION
bath	banujo
bathe	banu
bathhouse	banĉambro
bathing	banante
bathrobe	batbato
bathroom	banĉambro
bathtub	banujo
bathymetry	bimetetrio
baton	baton
battalion	bataliono
batter	batilo
battered	maltrankviligita
battering	batante
battery	kuirilaro
battle	batalo
battled	batalis
battlefield	kampo de batalo
battleground	kampo de batalo
battlements	kreneloj
battleship	ŝirmita
batty	bongusta
bauble	Bauble
bawdy	malbona
bawl	bawl
bay	golfeto
bayonet	bajoneto
bayou	golfeto
bazaar	bazaro
bazooka	bazooka
bday	bday
be	esti
beach	strando
