Word	my
acquainted	ခင်မင်သိကျွမ်း
acquiescence	acquiescence
acquire	ရရှိ
acquiring	လေးလည်း
acquisition	ရယူခြင်း
acquisitions	ရင်နှီးမြှုပ်နှံမှုများ
acquit	လွှတ်
acquittal	တရားသေလွှတ်ခြင်း
acre	ဧက
acreage	ဧက
acres	ဧက
acrobat	ဘားဂျွမ်းမယ်
acrylic	acrylic
act	လုပ်ရပ်
acting	သရုပ်ဆောင်
action	အရေးယူ
action figure	အရေးယူပုံ
actionable	ဆုံးဖြတ်နိုင်သော
activate	ကိုသက်ဝင်
activation	activation
active	တက်ကြွ
activist	တက်ကြွသူ
activity	လှုပ်ရှားမှု
actor	သရုပ်ဆောင်
actress	ဇါတ်သူမ
actual	အမှန်တကယ်
actuality	အမှန်တကယ်
actuary	actuary
acuity	တွေလိုပဲ
acumen	ကြံထက်
acupuncture	ဆေးထိုးခြင်း
acute	ထက်မြက်သော
acutely	ထက်မြက်သော
ad	ကြော်ငြာ
adage	အလေးချိန်
adamant	မြဲမြံသော
adapt	သငျ့လျြောအောငျပွုပွငျ
adaptable	သငျ့လျြောအောငျပွုပွငျနိုငျသော
adaptation	လိုက်လျောညီထွေ
add	ပေါင်း
added	ကဆက်ပြောသည်
addendum	addendum
adder	မြွေဆိုး
addict	စှဲလမျးသူ
addicted	စွဲ
addiction	စှဲမွဲမှု
addictive	စွဲလမ်းစေ
addition	ထို့အပြင်
additional	အပိုဆောင်း
additive	အပိုအမိုထည့်သောအရာ
address	လိပ်စာ
addressee	addressee
addresses	လိပ်စာများ
adept	အစွမ်း
adequacy	လုံလောက်မှု
adequate	လုံလောက်သော
adhere	လိုက်နာ
adherence	လိုက်နာမှု
adherent	မကိုက်ညီ
adhering	လိုက်နာရန်
adhesion	စှဲကပျတတျသော
adhesive	စှဲကပျတတျသော
adieu	ခွင့်ပန်ပြီးမှ
adipose	adipose
adjacency	နီးကပ်သော
adjacent	နီးကပ်သော
adjective	နာမဝိသေသန
adjoining	adjoining
adjourn	ရှေ့ဆိုငျး
adjournment	ရှေ့ဆိုငျး
adjudicate	စီရင်
adjudication	adjudication
adjunct	တွဲဖက်
adjust	ညှိ
adjuster	Adjustments
adjustment	သင့်အောင်လုပ်ခြင်း
adjuvant	adjuvant
admin	admin ရဲ့
administer	စီ 7 င်အုပ်ချုပ်
administration	အုပ်ချုပ်ရေး
administrative	အုပ်ချုပ်ရေး
administrator	အုပ်ချုပ်သူ
admirable	မြတ်နိုးလှသော
admiral	ရေတပ်ဗိုလ်ချုပ်
admiralty	ADMIRALTY
admiration	မြတ်နိုးခြင်း
admire	မြတ်နိုး
admired	ထင်ရှားသည်
admirer	Admiral
admiring	တွေရဲ့ရန်
admissibility	ခွင့်
admissible	လက်ခံနိုင်သော
admission	ဝင်ခွင့်ပေးခြင်း
admit	ဖွောငျ့ဆို
admittance	ဝင်ရောက်ခြင်း
admitted	ဝန်ခံ
admitting	ဝန်ခံ
admixture	admixture
admonition	ဆုံးမစကား
ado	ado
adobe	Adobe
adolescence	လူငယ်ဘဝ
adolescent	အပြိုမ
adopt	ခံယူ
adoption	မှေးစားခွငျး
adoptive	မွေးစား
adorable	ကြည်ညိုဘွယ်ကောင်းသော
adoration	နှစ်ခြိုက်
adore	ကြည်ညို
adoring	ကြည်ညိုဘွယ်ကောင်းသော
adorn	ဆင်ယင်
adornment	ဂုဏ်
adrenalin	adrenalin
adrenaline	adrenaline
adrift	မြောပါသော
adult	အရွယ်ရောက်ပြီးသူ
adulterated	အတုတွေ
adulterer	သူ့မယားကိုခိုးသောသူ
adultery	လိင်ဖေါက်ပြာခြင်း
adulthood	လူကြီး
advance	ကြိုတင်မဲ
advanced	အဆင့်မြင့်
advancement	တိုးတက်ခြင်း
advancing	တိုးတက်
advantage	အားသာချက်
advantageous	အကျိုးဖြစ်ထွန်းသော
advent	ထွန်း
adventure	အဖြစ်အပျက်
adventurer	စွန့်စားသူ
adventures	Adventures
adventurous	စွန့်စား
adversary	ရန်သူ
adverse	ဆန့်ကျင့်ဘက်ဖြစ်သော
adversity	ဒုက္ခ
advertise	ကျွွောငာ
advertisement	ကြော်ငြာ
advertising	ကြော်ငြာ
adverts	ကြော်ငြာ
advice	အကြံ
advisable	ပြုသင့်သော
advise	အကြံပေး
advised	အကြံပြု
advisement	အကြံပေးသူ
adviser	အကြံပေးသူ
advisor	အကြံပေးပုဂ္ဂိုလ်
advisory	အကြံပေးအဖွဲ့
advocacy	စည်းရုံးလှုံ့ဆော်မှု
advocate	ခံရပျပွောဆို
aegis	ကကြီးမှူးပြီး
aeration	aeration
aerial	လေနှင့်ဆိုင်သော
aerobics	လေ့ကျင်းခန်း
aerodrome	aerodrome
aerodynamic	လေခွင်း
aerodynamics	ပျံသန်း
aeronautics	လေကြောင်း
aeroplane	လေယာဉ်ပျံ
aerospace	အာကာသ
aesthetic	ဗေဒ
aesthetics	ဗေဒ
aetiology	aetiology
afar	အဝေးက
affable	ဖော်ရွေ
affair	ကိစ္စ
affect	ထိခိုက်
affecting	ထိခိုက်
affection	ချစ်ခင်ခြင်း
affectionate	ချစ်ခင်သော
affections	ချစ်ခင်
affiche	NO TRANSLATION
affidavit	ကြှမျးကိနျြဆိုထှကျခကျြ
affiliated	ဆက်နွယ်
affiliation	ဆက်နွယ်မှု
affinity	ဆှဖှေဲ့
affirm	အတည်ပြု
affirmation	ကတိသစ္စာပြု
affirmative	သဘောကျသော
affirmatively	အတည်ပြု
affix	ကပ်
afflict	ဒုက္ခရောက်စေ
afflicted	သူတပါးတို့သည်ညှဉ်းဆဲ
affliction	ဒုက္ခ
affluence	ကြွယ်ဝမှု
affluent	ကြွယ်ဝသော
afford	ပြုနိုင်ခွင့်ရှိ
affordable	တတ်နိုင်
affront	စျော
affronted	စျော
afield	afield
afire	afire
afloat	မြောလကျြ
afore	ပိုလျော့ပါး
aforementioned	အပေါ်မှာဖော်ပြထားတဲ့
aforesaid	aforesaid
afraid	ကွောကျသော
afresh	afresh
african	အာဖရိက
aft	AFT
afterlife	နောင်တမလွန်
aftermath	နောက်ဆက်တွဲ
afternoon	မှနျးလှဲ
aftershave	aftershave
aftertaste	aftertaste
afterthought	ရူပါ
aga	NO TRANSLATION
agape	agape
agate	agate
age	အသက်အရွယ်
aged	အသက်
agency	ကိုယ်စားလှယ်ရုံး
agenda	ကိစ္စအစီအစဉ်
agent	ကိုယ်စားလှယ်
agglomeration	agglomeration
aggravate	တိုး။ လေးစေ
aggravated	ပိုမိုဆိုးရှား
aggravates	တိုး။ လေးစေသော
aggravating	တိုး။ လေးစေသော
aggravation	တိုး။ လေးစေခြင်း
aggregate	စုစုပေါင်း
aggregation	စုစည်းမှု
aggresive	NO TRANSLATION
aggression	ကြူးကျြောမှု
aggressive	ကြူးကျြောသော
aggressively	မှထုတ်ပြန်သော
aggressiveness	Aggressive
aggressor	ကြူးကျြောသူ
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	ခေတ်ရဲ့သွက်လက်
agility	သွက်လက်
aging	အိုမင်း
agitate	လံှု့ဆော်
agitated	တုန်
agitation	လှုံ့ဆော်မှု
aglow	ထက်သန်ကြလော့
agnostic	Agnostic
ago	လွန်ခဲ့တဲ့
agonizing	ရောကျသော
agony	သေခြင်းဆင်းရဲ
agoraphobia	agoraphobia
agree	သဘောတူ
agreeable	နှစ်သက်ဘွယ်ကောင်းသော
agreed	သဘောတူညီခဲ့
agreeing	သဘောတူ
agreement	သဘောတူညီချက်
agressive	NO TRANSLATION
agricultural	စိုက်ပျိုးရေး
agriculture	လယ်ယာစိုက်ပျိုးရေး
aground	ကြောင့်သင်္ဘော
agua	NO TRANSLATION
ahead	ရှေ့သို့
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	အကူအညီ
aide	ကူညီသူ
aiding	အကူအညီပေးနေတာ
aids	အကူအညီအထောက်အပံ့များ
ail	ail
ailing	ဖြားနာ
ailment	နာခြင်း
aim	ရည်ရွယ်ချက်
aimless	ဓိပ်ပာယျမဲ့
air	လေ
airbag	Airbag
airborne	လေကြောင်းချီ
aircraft	လေယာဉ်ပျံ
aircraft carrier	လေယာဉ်တင်သင်္ဘော
airfield	လေယာဉ်ကွင်း
airhead	airhead
airlift	airlift
airline	လကွောငျး
airliner	လေယာဉ်
airlock	airlock
airman	airman
airplane	လေယာဉ်ပျံ
airport	လေဆိပ်
airs	လွှင်
airship	airship
airspace	လေပိုင်နက်
airspeed	Airspeed
airstrip	ပြေးလမ်းအပြင်ဘက်
airtight	လုံ
airway	လေကြောင်း
aisle	အတန်း
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ခေါ်
akin	ဆင်ဆင်တူသော
alabaster	ကျောက်ဖြူခွက်ကို
alarm	နှိုးသံ
alarm clock	နှိုးစကျနာရီ
alarmed	ထိတ်လန့်
alarming	စိုးရိမျကွောငျ့ကွသော
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	အယ်လ်ဘမ်
alchemy	အဂ္ဂိရတ်
alcohol	အရက်
alcoholic	အရက်သမား
alcoholism	အရကျစှဲခွငျး
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	သတိပေး
alertness	ရွှင်လန်း
alerts	သတိပေးချက်
alfalfa	Alfafa ဟာ
algebra	algebra
algebraic	algebra
algorithm	algorithm ကို
alias	အမည်ဝှက်
alibi	စှပျစှဲမှနျကနျကွောငျးရာခခြေကျြ
alien	ဂြိုလ်သား
alienate	လွှဲပေး
alienated	စိမ်းကား
alienation	လွှဲပေးခြင်း
alight	ဆင်း
align	တန်း။ တား
aligned	ဘက်မလိုက်
alignment	alignment ကို
alike	တူညီသော
alimentation	NO TRANSLATION
alimony	ကလေးစရိတ်
aliquot	aliquot
alive	အသကျရှငျ
alkali	အယ်လကာလီ
alkaloids	alkaloids
allay	လျော့ပါးသက်သာစေရန်
allegation	အဆိုရှိချက်
allege	စွပ်စွဲချက်
alleged	စွပ်စွဲချက်
allegiance	သစ္စာရှိမှု
allegorical	ပုံဆောင်
allegory	ရူပကတှေ
allegro	Allegro
allergic	အာရုံများကိုထိခိုက်လွယ်သော
allergy	အာရုံများကိုထိခိုက်လွယ်ခြင်း
alleviate	သက်သာစေနိုင်ကြောင်း
alleviation	လျော့ချရေး
alley	လမ်းကြား
alleyway	alleyway
alliance	မဟာမိတျအဖှဲ့
allied	မဟာမိတျဖှဲ့ထားသော
alligator	မိကြောငျးမြိုး
allocate	နေရာချထား
allocation	နေရာချထားခြင်း
allot	ဝခှေဲခထြား
allotment	ဝခှေဲခထြားခွငျး
allow	ခွင့်ပြု
allowable	အိုင်အိုဒင်း
allowance	အခွင့်
allowed	ခွင့်ပြု
alloy	ရောစပ်
allsmiles	NO TRANSLATION
allure	သှေးဆောငျ
alluring	သှေးဆောငျ
allusion	allusion
alluvial	alluvial
ally	မဟာမိတ်
almanac	almanac
almighty	တန်ခိုးအနန္တရှိသော
almond	ဗာဒမ်းသီး
aloft	ဒို့အရေး
aloha	Aloha
alone	တယောက်တည်း
alongside	အတူ
aloof	စေသော
aloud	အသံကျယ်စွာ
alpha	alpha
alphabet	အက်ခရာ
alphabetical	အက္ဏရာအစဉ်အလိုက်ဖြစ်သော
alpine	အယ်လ်ပိုင်း
alreadyyyyy	alreadyyyyy
altar	ယဇ်ပလ္လင်
altar boy	ယဇ်ပလ္လင်ကိုကောင်လေး
alter	ပွောငျးလှဲ
alteration	ပွောငျးလှဲခွငျး
altercation	ခိုက်ရန်ဖြစ်ပွါးမှုကို
altered	ပြောင်းလဲ
alternate	တကြိမ်စီဖြစ်သော
alternating	alternative
alternative	အခြားရွေးချယ်စရာ
altimeter	altimeter
altitude	အမြင့်
alto	alto
altogether	စုပေါင်း.
aluminum	လူမီနီယံ
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	စပ်
amalgamation	စုစည်း
amaretto	amaretto
amass	ထိုညီအစ်ကို
amateur	ဝါသနာရှိသူ
amaze	အလွန်အံ့သြစေ
amazed	မိန်းမောတွေဝေ
amazedness	NO TRANSLATION
amazement	အလွန်အံ့သြစေမှု
amazing	အံ့သြဖွယ်
amazingly	အံ့သြလောက်အောင်
ambassador	သံအမတ်ကြီး
amber	ပယင်း
ambience	ဆန်တဲ့ပတ်ဝန်းကျင်ကို
ambient	ပတ်ဝန်းကျင်
ambiguity	ရှုတ်ထွေး
ambiguous	စိတ်မကောင်းစရာဝေဝါး
ambit	ရည်မှန်းချက်
ambition	ကြီးသောအာသီသ
ambitious	ဆန္ဒကြီးမားသော
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ရှေ့ဉီးသူနာပွုကား
ambush	တပ်ပုန်းထား
ameliorate	ameliorate
amen	အာမ
amenable	အာမင်
amend	ပြုပြင်သည်
amendment	ပြင်ပြုချက်
amends	ဖျောင်းဖျ
amenity	အာမင်
amethyst	နီလာခရမ်းရောင်
amiable	amiable
amicable	ချစ်ကြည်ရင်းနှီးသော
amid	ကြားတွင်
amidst	နေရခြင်း
amino	အမိုင်နို
ammo	ammo
ammonia	ဇဝက်သာ
ammonium	Ammonium
ammunition	ခဲယမျးမိကြောကျ
amnesia	သတိမေ့ခြင်း
amnesty	ချမ်းသာပေးခြင်း
amorous	Amore
amorphous	amorphous
amortization	amortization
amount	ငွေပမာဏ
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	အမ်ဖီတမင်း
amphibian	ကုနျးနေရေနေ
amphibious	ကုန်းရေ
amphitheater	ပွဲကြည့်စင်
ample	လုံလောက်သော
amplification	amplification
amplify	ကျယ်ဝန်းလာစေ
amplitude	လွှဲခွင်
amply	ရှိရှိကွှေးကျွော
amputate	ဖြတ်တောက်
amputation	ဖြတ်တောက်ခြင်း
amuck	amuck
amulet	အဆောင်လက်ဖွဲ့
amuse	ရွှင်မြူးစေ
amused	ရွှင်မြူးခြင်း
amusement	ရွှင်မြူးခြင်း
amusing	ရွှင်မြူးစေတတ်သော
ana	NO TRANSLATION
anaconda	Anaconda
anaesthesia	မေ့ဆေး
anaesthetic	ထုံဆေး
anagram	ဆန့်ကျင်ဘက်
anal	စအို
analgesic	analgesic
analogous	အလားတူ
analogue	analogue
analogy	နှိုင်းယှဉ်မယ်ဆိုရင်
analysis	ခွဲခြမ်းစိတ်ဖြာခြင်း
analyst	လေ့လာဆန်းစစ်သူ
analytic	သရုပ်ခွဲ
analytical	ခွဲခြမ်းစိတ်ဖြာ
analyze	သုံးသပ်ကြည့်ရှု
analyzer	Analyzer
anaphylactic	anaphylactic
anarchism	မင်းမဲ့ဝါဒ
anarchist	မင်းမဲ့စရိုက်
anarchy	မင်းမဲ့ဖြစ်ခြင်း
anastomosis	anastomosis
anathema	ကျိန်ဆဲနိုင်သည်
anatomic	ခန္ဓာဗေဒ
anatomy	ကာယဗေဒ
ancestor	ဘိုးဘွား
ancestral	ဘိုးဘွား
ancestry	ဆှေစဉျမြိုးဆကျ
anchor	ကျောက်ဆူး
anchorage	ကျောက်ချစခန်း
ancient	ရှေးခေတ်
ancillary	အထောက်အပံ့ကိုပေးပြီး
androgen	အန်ဒရိုဂျင်
android	android ဖုန်း
anecdote	သို့ရာတွင်
anemia	သွေးအားနည်းရောဂါ
anemic	သှေးအားနညျးရောဂါရှိသော
anemone	anemone
anesthesia	မေ့ဆေး
anesthesiologist	မေ့ဆေးဆရာဝန်
anesthetic	ထုံဆေး
aneurysm	aneurysm
anew	အသစ်
angel	ကောင်းကင်တမန်
angelic	ကောငျးကငျတ
anger	အမျက်ဒေါသ
angered	ဒေါသထွက်
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	ထောင့်
angling	ထောင့်
angora	angora
angriest	angriest
angry	အမျက်ထွက်သော
angrytweet	NO TRANSLATION
angst	angst
anguish	ဒုက္ခဆင်းရဲကို
anguished	ဒုက္ခဆင်းရဲကို
angular	angular
anhydrous	anhydrous
animal	တိရိစ္ဆာန်
animate	နိုးကြားထကြွစေ
animated	ကာတွန်း
animation	ကာတွန်း
animosity	အမျက်ထွက်ခြင်း
animus	animus
ankle	ခြေချင်းဝတ်
anklet	anklet
annals	Annals
annex	အိမ်အဆောင်
annexation	တိုက်ခိုက်သိမ်းပိုက်
annexe	NO TRANSLATION
annihilate	ပပြောကျစေ
annihilated	ဖကျြဆီး
annihilation	ပပြောကျစခွေငျး
anniversary	နျစ်ပတ်လည်နေ့
annotate	မှတ်စာရေးသွင်း
annotation	မှတ်
announce	ကွေညာ
announcement	ကြေညာချက်
announcer	ကွေညာသူ
annoy	စိတ်ဆိုးစေ
annoyance	စိတ်ဆိုးစေခြင်း
annoyed	မကျေမနပ်
annoyin	NO TRANSLATION
annoying	စိတ်ဆိုးစေသော
annoys	စိတ်ဆိုးစေ
annual	နှစ်ပတ်လည်
annuity	နှစ်စဉ်ထောက်ပံ့ကြေး
annul	ပလပ်
annular	annular
annulment	ပလပ်ခြင်း
annulus	annulus
anointed	ဘိသိက်ခံ
anointing	လိမ်း
anomalous	ပုံမှန်မဟုတ်
anomaly	Anomaly
anon	Anon
anonymity	အမည်မဖော်
anonymous	အမည်မသိ
anorexic	လာဖို့
answer	အဖွေ
answerable	တာဝန်ခံရသော
answering	ဖြေဆိုခြင်း
ant	ပရွက်ဆိတ်
antagonism	ဆန့်ကျင်ဘက်ဖြစ်ခြင်း
antagonist	ရန်
antagonistic	ရန်
antagonize	ဆန့်ကျင်ဘက်ပြု
ante	NO TRANSLATION
antecedent	antecedent
antelope	ဒရယ်ငယ်မျိုး
antenna	အွန်တင်းနား
anterior	anterior
anthem	ဓမ္မသီချင်းကြီး
anthill	ပရွက်ဆိတ်တောင်ပို့
anthology	ပေါင်းချုပ်တွေလည်း
anthrax	anthrax
anthropological	anthropological
anthropologist	မနုဿဗေဒပညာရှင်
anthropology	မနုဿဗေဒ
anti	ဆန့်ကျင်
antiaircraft	antiaircraft
antibiotic	ရောဂါတိုက်ဖျက်ရေးဆေးဝါး
antibiotics	ပဋိဇီဝဆေး
antichrist	အန္တိခရစ်
anticipate	တင်ကူးသိမြင်
anticipation	တင်ကူးသိမြင်မှု
anticipatory	anticipatory
antics	လှောင်ပြောင်သရော်မှုတွေ
antidote	အဆိတျပွေဆေး
antifungal	antifungal
antigravity	antigravity
antimony	ခနောက်စိမ်း
antipathy	antipathy
antiquarian	antiquarian
antiquated	ခေတ်နောက်ကျ
antique	ရှေးဟောငျးဖွစျသော
antiques	ရှေးဟောင်းပစ္စည်း
antiquity	ရှေးကာလ
antiseptic	ပုပ်သိုးခြင်းကိုနိုင်သောဆေး
antisocial	antisocial
antithesis	antithesis
antithetical	antithetical
antiviral	ဗိုင်းရပ်စ်
antler	ချို
antsy	antsy
anus	စအို
anvil	ပန်းဘဲပေ
anxiety	စိုးရိမ်ခြင်း
anxietyattack	NO TRANSLATION
anxious	စိုးရိမ်ခြင်းရှိသော
anxiousness	စိုးရိမျတ
anytime	အချိန်မရွေး
aorta	aorta
aortic	aortic
apace	ပွေး
apache	apache
apartment	အခန်း
apartments	တိုက်ခန်းများ
apathetic	ငွ
apathy	စျြလြူရှုမှု
ape	မြောကျ
aperture	ကို aperture
apex	အထွတ်
aphid	aphids
aphrodisiac	aphrodisiac
apiece	အပိုင်းတစ်ခု
aplomb	aplomb
apocalypse	ကမ္ဘာပျက်
apocalyptic	Apocalyptic
apologetic	ထုခတြောငျးပနျသော
apologist	apologist
apologize	ထုခတြောငျးပနျ
apology	ထုခတြောငျးပနျခကျြ
apostasy	အယူဖောက်ပြန်
apostate	ဖောကျပွနျ
apostle	တမန်တော်
apostolic	တမန်တော်
apostrophe	ပေယျာလ
apothecary	Apothecary
appalled	မိန်းမောတွေဝေ
appalling	ကွောကျလနျ့စသော
apparatus	တန်းဆာကိရိယာ
apparel	အဝတ်
apparent	မြင်လွယ်သော
apparently	ထင်ရှားစွာ
apparition	apparition
appeal	အယူခံဝင်
appear	ပေါ်လာ
appearance	အသွင်အပြင်
appease	ကွေအေးစေ
appellant	ပေါ်လွင်
append	append
appendage	appendage
appendectomy	appendectomy
appendicitis	အူအတက်
appendix	နောကျဆကျတှဲ
appetite	အလိုဆန္ဒ
appetizer	appetizer
appetizing	appetizing
applaud	ကောင်းချီးပေး
applause	ကောင်းခြီးပြုခြင်း
apple	ပန်းသီး
apple juice	ပန်းသီးဖျော်ရည်
applejack	applejack
applesauce	applesauce
appliance	စက်ကရိယာ
appliances	ကရိယာ
applicability	သက်ဆိုင်မှု
applicable	သက်ဆိုင်သော
applicant	လြှောကျသူ
application	လြှောကျလှာ
apply	လျှောက်ထား
appoint	ခန့်ထား
appointment	ရက်ချိန်း
appointments	ချိန်း
apportion	apportion
apportionment	တူညီပြီး
appraisal	တန်ဖိုးခြင်း
appraise	တန်ဖိုး
appreciable	ကြေးဇူးတငျကွောငျး
appreciate	တန်ဖိုးထား
appreciated	အသိအမှတ်ပြု
appreciates	ကြေးဇူးတငျကွောငျး
appreciation	ကြေးဇူးတငျကွောငျး
appreciative	လေးမွတျ
apprehend	နားလည်
apprehension	သိမြင်နားလည်ခြင်း
apprehensive	စိုးရိမ်တတ်သော
apprentice	အလုပ်သင်သူ
apprenticeship	အလုပ်သင်နေသည့်အချိန်ကာလ
approach	ချဉ်းကပ်နည်း
approaching	ချဉ်းကပ်
approbate	NO TRANSLATION
approbation	မျက်နှာ
appropriate	သင့်လျော်သော
appropriation	သင့်တော်ဆီလျော်
approval	ခွင့်ပြုချက်
approve	အတည်ပြု
approved	အတည်ပြု
approvement	ခွင့်ပြုချက်
approving	အတည်ပြု
approximate	နီးသော
approximately	ခန့်မှန်းခြေအားဖြင့်
approximating	approximating
approximation	အကြမ်းဖျင်း
appurtenances	appurtenances
apricot	တရုတ်ဇီးသီး
apron	ခါးစညျးရှေ့ဖုံး
apt	apt
aptitude	တတ်လွယ်ခြင်း
aqua	ကို aqua
aquamarine	aquamarine
aquarium	ဖန်ရေကန်
aquatic	ရေနေ
aqueduct	ရစေီးရလောမွောငျး
aqueous	aqueous
arable	စိုက်ပျိုး
arbiter	arbiter
arbitrary	စိတ်ရှိတိုင်းပြုလုပ်သော
arbitrate	ဆုံးဖြတ်
arbitration	ခုံဖှဲ့။ စီရငျဆုံးဖွတျခွငျး
arbitrator	ခုံသမဓိ
arbor	Arbore
arc	စက်ဝိုင်း
arcade	Arcade
arcane	arcane
arch	မုတ်
archaeological	ရှေးဟောင်းသုတေသန
archaeologist	ကမ်မညျးကြောကျစာအတတျပညာရှငျ
archaeology	ကမ်မညျးကြောကျစာအတတျပညာ
archaic	ရှေးကသြော
archangel	ကောင်းကင်တမန်မင်း
