Word	ta
actionable	இயக்கக்கூடியது
activate	செயல்படுத்த
activation	செயல்படுத்தும்
active	செயலில்
activist	ஆர்வலர்
activity	செயல்பாடு
actor	நடிகர்
actress	நடிகை
actual	உண்மையான
actuality	உண்மையில்
actuary	actuary
acuity	கூர்மை
acumen	புத்திசாலித்தனம்
acupuncture	குத்தூசி
acute	கடுமையான
acutely	நன்கு
ad	விளம்பரம்
adage	பழமொழி
adamant	பிடிவாதமாக
adapt	ஏற்ப
adaptable	செய்தக்க
adaptation	தழுவல்
add	கூட்டு
added	சேர்க்கப்பட்டது
addendum	பின்னிணைப்பு
adder	பாம்பின்
addict	அடிமையாக
addicted	அடிமையாகி
addiction	போதை
addictive	போதை
addition	கூடுதலாக
additional	கூடுதல்
additive	சேர்க்கை
address	முகவரி
addressee	பெறுநர்
addresses	முகவரிகள்
adept	திறமையானவை
adequacy	போதுமான
adequate	போதுமான
adhere	கடைபிடிக்கின்றன
adherence	பின்பற்றுவது
adherent	பற்றாமல்
adhering	கடைப்பிடிக்கின்றது
adhesion	ஒட்டுதல்
adhesive	பிசின்
adieu	விடைபெற்றுச்
adipose	கொழுப்பு
adjacency	அடுத்துள்ள
adjacent	அடுத்தடுத்த
adjective	உரிச்சொல்
adjoining	பக்கத்து
adjourn	ஒத்திவைப்பதாக
adjournment	ஒத்திவைப்பு
adjudicate	தீர்ப்பளிப்பதைக்
adjudication	நீதி மன்றமானது
adjunct	சேர்ப்புக்கு
adjust	சரி
adjuster	சரிசெய்யும்
adjustment	சரிசெய்தல்
adjuvant	துணை
admin	நிர்வாகம்
administer	நிர்வாகி
administration	நிர்வாகம்
administrative	நிர்வாக
administrator	நிர்வாகி
admirable	போற்றத்தக்க
admiral	அட்மிரல்
admiralty	கடற்படை
admiration	புகழையும்
admire	ரசிக்கிறது
admired	பாராட்டப்படும்
admirer	ஆர்வலராக
admiring	வியந்து பாராட்டினார்
admissibility	சேர்த்துக்கொள்ள
admissible	ஏற்றுக்கொள்ளக்கூடிய
admission	சேர்க்கை
admit	ஒப்புக்கொள்ள
admittance	உள்ளிடற்திறன்
admitted	அனுமதிக்கப்பட்டார்
admitting	ஒப்புக்
admixture	கலப்புடன்
admonition	கண்டிப்பு
ado	சந்தடி
adobe	அடோப்
adolescence	இளமை
adolescent	பருவ
adopt	தத்தெடுக்க
adoption	தத்தெடுப்பு
adoptive	தத்தெடுக்கப்பட்ட
adorable	ஆச்சர்யமான
adoration	அர்ப்பணிப்பிற்குத்
adore	வணங்கு
adoring	adoring
adorn	அலங்கரிக்கும்
adornment	அலங்காரத்தையும்
adrenalin	ஒருவகை
adrenaline	அட்ரினலின்
adrift	நிலைதடுமாறி
adult	வயது
adulterated	கலப்படம் செய்யப்பட்ட
adulterer	விபசாரனுடைய
adultery	விபச்சாரம்
adulthood	வயதுவந்த
advance	முன்னெடுக்க
advanced	மேம்பட்ட
advancement	முன்னேற்றம்
advancing	முன்னேறும்
advantage	நன்மை
advantageous	சாதகமான
advent	வருகையுடன்
adventure	சாகச
adventurer	சாகசக்காரர்
adventures	சாகசங்களை
adventurous	சாகசங்கள்
adversary	விரோதி
adverse	பாதகமான
adversity	பாதகமான
advertise	விளம்பரம்
advertisement	விளம்பரம்
advertising	விளம்பர
adverts	விளம்பரங்களில்
advice	ஆலோசனை
advisable	அறிவுறுத்தப்படுகிறது
advise	ஆலோசனை
advised	அறிவுறுத்தப்படுகிறார்கள்
advisement	எடுத்துக் கொள்ளல்
adviser	ஆலோசகர்
advisor	ஆலோசகர்
advisory	ஆலோசனைக்
advocacy	ஆலோசனை
advocate	வழக்கறிஞர்
aegis	ஏஜிஸ்
aeration	காற்றோட்டம்
aerial	வான்வழி
aerobics	ஏரோபிக்ஸ்
aerodrome	ஏரோடிராம்
aerodynamic	ஏரோடைனமிக்
aerodynamics	காற்றியக்கவியல்
aeronautics	வானியல்
aeroplane	விமானம்
aerospace	விண்வெளி
aesthetic	அழகியல்
aesthetics	அழகியல்
aetiology	நோய்க்காரணி
afar	தூரத்திலிருந்து
affable	விநயமான
affair	விவகாரம்
affect	பாதிக்கும்
affecting	பாதிக்கும்
affection	பாசம்
affectionate	பாசமிகுந்த
affections	பாசங்களை
affiche	NO TRANSLATION
affidavit	வாக்குமூலம்
affiliated	இணைந்த
affiliation	தொடர்பு
affinity	இணக்கத்தை
affirm	உறுதிபடுத்தவும்
affirmation	உறுதிமொழி
affirmative	உடன்பாட்டு
affirmatively	உடன்பாடாக
affix	பதிக்கவேண்டும்
afflict	தொந்தரவுசெய்
afflicted	பாதிக்கப்பட்டிருந்தார்
affliction	துன்பத்துடன்
affluence	செழுமை
affluent	வசதியான
afford	வாங்க
affordable	மலிவு
affront	அவமரியாதையாக
affronted	affronted
afield	களத்தில்
afire	தீ
afloat	கப்பலில்
afore	முன்
aforementioned	மேற்கூறிய
aforesaid	மேற்படி
afraid	பயம்
afresh	மீண்டும்
african	ஆப்பிரிக்க
aft	பின்னோக்கி
afterlife	உயிர் பிரிந்தபின்
aftermath	பின்னர்
afternoon	பிற்பகல்
aftershave	சவரம்
aftertaste	சுவைத்த
afterthought	மறுயோசனையாக
aga	NO TRANSLATION
agape	திகைப்பு
agate	இரத்தின கல் வகை
age	வயது
aged	வயது
agency	நிறுவனம்
agenda	நிகழ்ச்சி நிரல்
agent	முகவர்
agglomeration	மாநகரமாகும்
aggravate	தீவிரமடைய
aggravated	மேலும் மோசமானது
aggravates	அதிகமாகிவிட்டால்
aggravating	மிகமுக்கியமான
aggravation	மோசமாக்குகிறது
aggregate	மதிப்பீட்டு
aggregation	திரட்டல்
aggresive	NO TRANSLATION
aggression	ஆக்கிரமிப்பு
aggressive	ஆக்கிரமிப்பு
aggressively	தீவிரமாக
aggressiveness	தீவிரம்
aggressor	சண்டையை
agh	AGH
aghast	திகிலுற்ற
aghhh	NO TRANSLATION
agile	சுறுசுறுப்பான
agility	சுறுசுறுப்பு
aging	வயதான
agitate	கிளர்ச்சியுறவும்
agitated	கிளர்ச்சி
agitation	கிளர்ச்சி
aglow	ஒளிர்ந்தன
agnostic	யதார்த்தவாதி
ago	முன்பு
agonizing	தாங்கொண்ணா
agony	தாங்கொணாத்துயர்
agoraphobia	மீதுள்ள
agree	ஏற்கிறேன்
agreeable	ஏற்றுக்கொள்ளக்கூடியதாக
agreed	ஒப்பு
agreeing	ஒப்புக்
agreement	ஒப்பந்தம்
agressive	NO TRANSLATION
agricultural	விவசாய
agriculture	விவசாயம்
aground	நிலத்தில்
agua	NO TRANSLATION
ahead	மேலே
ahhh	ம்ம்ம்ம்
ahhhhhhhh	NO TRANSLATION
ahoy	அஹோய்
aid	உதவி
aide	உதவியாளருக்கு
aiding	உதவுதல்
aids	சாதன
ail	வருந்து
ailing	நஷ்டத்தில் ஓடும்
ailment	நோய்
aim	நோக்கம்
aimless	குறிக்கோள் இல்லாத
air	விமான
airbag	காற்றுப்பை
airborne	காற்றில் பரவும்
aircraft	விமானம்
aircraft carrier	விமானம் தாங்கி
airfield	விமான தளம்
airhead	airhead
airlift	வானூர்தி
airline	விமான
airliner	விமானம்
airlock	ஏர்லாக்
airman	விமானப்படையினர்
airplane	விமானம்
airport	விமான நிலைய
airs	காற்றுகள்
airship	ஏர்ஷிப்பில்
airspace	வான்வெளியில்
airspeed	காற்று வேகம்
airstrip	விமான ஓடுதளம்
airtight	காற்றுப்புகாத
airway	சுவாசவழி
aisle	இடைகழி
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	அதாவது
akin	ஒத்த
alabaster	பளிங்கு
alarm	அலாரம்
alarm clock	அலாரம் கடிகாரம்
alarmed	எச்சரிக்கை மணி
alarming	கவலைக்கிடமான
alas	அந்தோ
alb	NO TRANSLATION
albatross	அல்பட்ரோஸ்
albino	அல்பினோ
album	ஆல்பம்
alchemy	ரசவாதம்
alcohol	மது
alcoholic	மது
alcoholism	சாராய
alcove	Alcove
alderman	அல்டர்மேன்
ale	NO TRANSLATION
alert	எச்சரிக்கை
alertness	உஷார்நிலை
alerts	எச்சரிக்கைகள்
alfalfa	அல்ஃப்ல்பா
algebra	இயற்கணிதம்
algebraic	இயற்கணித
algorithm	வழிமுறை
alias	என்கிற
alibi	அயலிட சான்று
alien	அன்னிய
alienate	தனிமைப்படுத்த
alienated	பிரித்துவிடக்கூடியதாக
alienation	ஒடுக்கப்பட்ட
alight	இறங்க
align	align
aligned	சீரமைக்கப்பட்டது
alignment	சீரமைப்பு
alike	ஒன்றாக
alimentation	NO TRANSLATION
alimony	ஜீவனாம்சம்
aliquot	மீதியில்லாப்
alive	உயிருடன்
alkali	காரம்
alkaloids	ஆல்கலாய்டுகள்
allay	தணி
allegation	குற்றச்சாட்டு
allege	குற்றம் சாட்டுகின்றனர்
alleged	கூறப்படும்
allegiance	விசுவாசம்
allegorical	உருவக
allegory	உருவகமாக்கமே
allegro	உயிரோட்டமுடைய
allergic	ஒவ்வாமை
allergy	ஒவ்வாமை
alleviate	போக்க
alleviation	ஒழிப்பிற்கு
alley	சந்து
alleyway	உள்ளப் பாதைக்
alliance	கூட்டணி
allied	கூட்டணி
alligator	முதலை
allocate	ஒதுக்கீடு
allocation	ஒதுக்கீடு
allot	ஒதுக்கலாம்
allotment	ஒதுக்கீடு
allow	அனுமதிக்க
allowable	அனுமதிக்கப்பட்ட
allowance	கொடுப்பனவு
allowed	அனுமதி
alloy	அலாய்
allsmiles	NO TRANSLATION
allure	மயக்கு
alluring	மயக்கும்
allusion	சைகை
alluvial	வண்டல்
ally	கூட்டாளியான
almanac	அல்மானக்
almighty	எல்லாம் வல்ல
almond	பாதம் கொட்டை
aloft	தூக்கி
aloha	அலோகா
alone	தனியாக
alongside	இணைந்து
aloof	ஒதுங்கி
aloud	உரக்க
alpha	ஆல்பா
alphabet	எழுத்துக்களை
alphabetical	அகரவரிசை
alpine	அல்பைன்
alreadyyyyy	alreadyyyyy
altar	பலிபீடம்
altar boy	பலிபீடம் பையன்
alter	மாற்ற
alteration	மாற்றம்
altercation	கைகலப்பில்
altered	மாற்றப்படலாம்
alternate	மாற்று
alternating	மாற்று
alternative	மாற்று
altimeter	அல்டிமீட்டர்
altitude	உயரத்தில்
alto	ஆல்டோ
altogether	முற்றிலும்
aluminum	அலுமினிய
alumnus	முன்னாள் மாணவர்
alveolar	பற்குழி
alzheimers	NO TRANSLATION
amalgam	கலவையாக
amalgamation	கலவையாகும்
amaretto	amaretto
amass	குவி
amateur	அமெச்சூர்
amaze	கவர்வது
amazed	வியப்பாகவும்
amazedness	NO TRANSLATION
amazement	திகைப்புடன்
amazing	அற்புதமான
amazingly	அதிசயமாக
ambassador	தூதர்
amber	அம்பர்
ambience	சுற்றுப்புறத்தை
ambient	சுற்றுப்புற
ambiguity	தெளிவின்மை
ambiguous	தெளிவற்ற
ambit	எட்டுத்தூரம்
ambition	லட்சியம்
ambitious	மூர்க்கமான
ambivalent	விருப்பும் வெறுப்பும் கலந்த
ambrosia	அம்ப்ரோஸியாவைத்
ambulance	ஆம்புலன்ஸ்
ambush	பதுங்கியிருந்து
ameliorate	சீர்படுத்துவதற்கு
amen	ஆமென்
amenable	ஏதுவானது
amend	திருத்தும்
amendment	திருத்தத்தை
amends	பரிகாரம்
amenity	இனிமை
amethyst	சுகந்தியும்
amiable	சுமூகமான
amicable	நட்பு
amid	மத்தியில்
amidst	மத்தியில்
amino	அமினோ
ammo	ஆலமரத்தின்
ammonia	அம்மோனியா
ammonium	அம்மோனியம்
ammunition	வெடிபொருட்கள்
amnesia	மறதி நோய்
amnesty	பொதுமன்னிப்பு
amorous	மோகங்கொண்ட
amorphous	படிக உருவமற்ற
amortization	மெதுவாக நிலைமாறும்
amount	அளவு
amour	NO TRANSLATION
amp	ஆம்ப்
ampersand	உம்மைக்குறி
amphetamines	அம்படமைன்கள்
amphibian	நீர்நில
amphibious	நிலம் நீர் இரண்டிலும்
amphitheater	அரங்கு
ample	போதிய
amplification	பெருக்கம்
amplify	பெருக்க
amplitude	வீச்சு
amply	போதுமான
amputate	வெட்டி எரி
amputation	ஊனம்
amuck	வெறியாட்டம்
amulet	மோதிரம்
amuse	உல்லாச
amused	மகிழ்ந்தாள்
amusement	பொழுதுபோக்கு
amusing	அறிவுபூர்வமாகவும்
ana	NO TRANSLATION
anaconda	அனகோண்டா
anaesthesia	மயக்க மருந்து
anaesthetic	மயக்க
anagram	ஆனக்ராமாகும்
anal	குத
analgesic	வலி நிவாரணி
analogous	ஒத்த
analogue	அனலாக்
analogy	ஒப்புமை
analysis	ஆய்வு
analyst	ஆய்வாளர்
analytic	பகுப்பாய்வு
analytical	பகுப்பாய்வு
analyze	ஆய்வு
analyzer	பகுப்பாய்வி
anaphylactic	பிறழ்ந்த
anarchism	அராஜகம்
anarchist	அராஜகவாத
anarchy	அராஜகம்
anastomosis	வலையிணைப்பு
anathema	வெறுக்கப்படுவதாக
anatomic	உடற்கூறு
anatomy	உடற்கூறியல்
ancestor	மூதாதையர்
ancestral	மூதாதையர்
ancestry	வம்சாவளியைச்
anchor	நங்கூரம்
anchorage	ஊன்றுதலுடன்
ancient	பண்டைய
ancillary	துணை
androgen	ஆண்ட்ரோஜன்
android	ஆண்ட்ராய்டு
anecdote	துணுக்குக்கதை
anemia	இரத்த சோகை
anemic	சோகையான
anemone	அனிமோன்
anesthesia	மயக்க மருந்து
anesthesiologist	மயக்க மருந்து
anesthetic	மயக்க
aneurysm	குருதி நாள நெளிவு
anew	புதிதாக
angel	தேவதை
angelic	தேவதூதர்
anger	கோபம்
angered	கோபமடைந்த
angermanagement	NO TRANSLATION
angina	ஆன்ஜினா
angiogram	angiogram
angiography	angiography
angle	கோணம்
angling	ஆங்கிளிங்
angora	அங்கோரா
angriest	angriest
angry	கோபம்
angrytweet	NO TRANSLATION
angst	மனக்கவலையை
anguish	வேதனை
anguished	கலங்கின
angular	கோண
anhydrous	நீரற்ற
animal	கால்நடை
animate	உயிருள்ள
animated	அனிமேஷன்
animation	அனிமேஷன்
animosity	விரோதத்தை
animus	உட்பகைக்
ankle	கணுக்கால்
anklet	கொலுசு
annals	கழக
annex	பின்னிணை
annexation	இந்த இணைப்புக்
annexe	NO TRANSLATION
annihilate	அழிப்பதால்
annihilated	அழிந்திருப்பதைக்
annihilation	நிர்மூலமாக்கும்
anniversary	ஆண்டு
annotate	சிறுகுறிப்பு
annotation	சிறுகுறிப்பு
announce	அறிவிக்க
announcement	அறிவிப்பு
announcer	அறிவிப்பாளர்
annoy	தொந்தரவு
annoyance	எரிச்சலை
annoyed	எரிச்சல்
annoyin	NO TRANSLATION
annoying	எரிச்சலூட்டும்
annoys	வெறுப்பாக
annual	வருடாந்திர
annuity	ஆண்டுத் தொகை
annul	ரத்து
annular	வலைய
annulment	செய்தலிலா
annulus	வளையம்
anointed	அபிஷேகம்
anointing	அபிஷேக
anomalous	தாறுமாறான
anomaly	ஒழுங்கின்மை
anon	உடனே
anonymity	தெரியாத
anonymous	அநாமதேய
anorexic	அனோரெக்ஸிக்
answer	பதில்
answerable	பெறுப்பேற்பதற்குரிய
answering	பதில்
ant	எறும்பு
antagonism	முரண்பாடு
antagonist	எதிரியான
antagonistic	பகையுணர்வுடன்
antagonize	பகைத்துக்
ante	NO TRANSLATION
antecedent	முன்னுதாரணமாக
antelope	மான்
antenna	ஆண்டெனா
anterior	முன்புற
anthem	கீதம்
anthill	புற்று
anthology	திரட்டு
anthrax	ஆந்த்ராக்ஸ்
anthropological	மானுடவியல்
anthropologist	மாந்தவியலாளர்
anthropology	மானுடவியல்
anti	எதிர்ப்பு
antiaircraft	எதிர்ப்பு கருவிகள் வைக்கப்பட்டதாக
antibiotic	ஆண்டிபயாடிக்
antibiotics	கொல்லிகள்
antichrist	கிறிஸ்துவுக்கு
anticipate	எதிர்பார்க்கின்றனர்
anticipation	எதிர்பார்ப்பு
anticipatory	முன்
antics	NO TRANSLATION
antidote	மாற்று மருந்தாக
antifungal	எதி்ர்பூஞ்சை
antigravity	antigravity
antimony	ஆண்டிமனியை
antipathy	வெறுப்பு
antiquarian	பழம்பொருள்
antiquated	பழமையான
antique	பழமையான
antiques	பழம்பொருட்கள்
antiquity	பழங்காலத்தில்
antiseptic	கிருமி நாசினிகள்
antisocial	சமூகவிரோத
antithesis	நேர்மாறு
antithetical	முரணாக
antiviral	வைரஸ்
antler	மான் கொம்பு
antsy	antsy
anus	ஆசனவாய்
anvil	பட்டறை
anxiety	பதட்டம்
anxietyattack	NO TRANSLATION
anxious	ஆவலாக
anxiousness	anxiousness
anytime	எப்போது
aorta	பெருநாடி
aortic	அயோர்டிக்
apace	ஓட்டமாய்
apache	Apache
apartment	அபார்ட்மெண்ட்
apartments	குடியிருப்புகள்
apathetic	உணர்ச்சியற்ற
apathy	அக்கறையின்மை
ape	மனிதக் குரங்கு
aperture	துளை
apex	நுனி
aphid	அசுவினி
aphrodisiac	பாலுணர்வைத்
apiece	ஒரு துண்டு
aplomb	ஆடம்பரமாக
apocalypse	வெளிப்படுத்தல்
apocalyptic	வெளிப்படுத்தல்
apologetic	மன்னிப்புக் கோரும்
apologist	வக்காலத்து வாங்கும்
apologize	மன்னிப்பு
apology	மன்னிப்பு
apostasy	விசுவாச துரோகம்
apostate	விசுவாச துரோக
apostle	அப்போஸ்தலன்
apostolic	திருத்தூதர்
apostrophe	மேற்கோளைச்
apothecary	மருந்து தயாரிப்பாளரான
appalled	அதிர்ச்சி அடைந்திருப்பார்கள்
appalling	பயங்கரமான
apparatus	அமைப்பின்
apparel	ஆடை
apparent	வெளிப்படையான
apparently	வெளிப்படையாக
apparition	அருவம்
appeal	முறையீடு
appear	தோன்றும்
appearance	தோற்றம்
appease	சமாதானப்படுத்த
appellant	மேல் முறையீடு செய்பவர்
append	append
appendage	தொங்குதசையாக
appendectomy	குடல்வாலெடுப்புக்கு
appendicitis	குடல்
appendix	குடல்வால்
appetite	பசியின்மை
appetizer	பசி தூண்டும்
appetizing	பசியை
applaud	கைத்தட்டல்
applause	கைத்தட்டல்
apple	ஆப்பிள்
apple juice	ஆப்பிள் சாறு
applejack	applejack
applesauce	ஆப்பிள்
appliance	பயன்பாட்டிற்கான
appliances	உபகரணங்கள்
applicability	பொருந்துந்தன்மையின்
applicable	பொருந்தும்
applicant	விண்ணப்பதாரர்
application	விண்ணப்ப
apply	விண்ணப்பிக்க
appoint	நியமிக்க
appointment	நியமனம்
appointments	சந்திப்புகள்
apportion	பங்கிடு
apportionment	பகிர்மானக்
appraisal	மதிப்பீட்டில்
appraise	மதிப்பிட
appreciable	பாராட்டத்தக்க
appreciate	பாராட்ட
appreciated	பாராட்டப்பட்டது
appreciates	ரசிப்பான்
appreciation	பாராட்டு
appreciative	பாராட்டி
apprehend	கைது
apprehension	பீதியின்
apprehensive	பயம்
apprentice	பயிற்சிபெறும்
apprenticeship	தொழிற்பயிற்சி
approach	அணுகுமுறை
approaching	நெருங்கி
approbate	NO TRANSLATION
approbation	பாராட்டு
appropriate	அதற்கான
appropriation	பொருத்தப்பாடு
approval	ஒப்புதல்
approve	ஒப்புதல்
approved	ஒப்புதல்
approvement	approvement
approving	ஒப்புதல்
approximate	தோராயமான
approximately	சுமார்
approximating	தோராய மதிப்பீடு
approximation	தோராய
appurtenances	appurtenances
apricot	பாதாமி
apron	கவச
apt	பொருத்தமான
aptitude	சூட்சும
aqua	அக்வா
aquamarine	நீல பச்சை நிறம்
aquarium	மீன்
aquatic	நீர்வாழ்
aqueduct	கால்வாய்
aqueous	அக்வஸ்
arable	சாகுபடிநிலம்
arbiter	நடுவர்
arbitrary	தன்னிச்சையான
arbitrate	நடுநிலை வகிக்க
arbitration	நடுவர்
arbitrator	நடுவர்
arbor	ஆர்பர்
arc	வில்
arcade	ஆர்கேட்
arcane	கமுக்கமான
arch	பரம
archaeological	தொல்பொருள்
archaeologist	தொல்பொருள்
archaeology	தொல்லியல்
archaic	தொன்மையான
archangel	தேவதூதர்
archbishop	பேராயர்
archdiocese	கதோலிக்
archduke	ஆர்ச்டியூக்
arched	வளைந்த
archer	வில்லாளன்
archery	வில்வித்தை
archetype	முன்மாதிரி
archipelago	தீவுக்
architect	கட்டட வடிவமைப்பாளர்
architectural	கட்டிடக்கலை
architecture	கட்டிடக்கலை
archive	காப்பகத்தை
arctic	ஆர்க்டிக்
ardent	தீவிர
ardor	தீவிரம்
arduous	கடினமான
area	பகுதியில்
arena	அரங்கில்
areola	சிற்றிடம்
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	அடச்சே
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	வாதிடுகின்றனர்
argument	வாதம்
argumentation	வாதப் பிரதிவாதங்களை
argumentative	வாதாடும்
arguments	வாதங்கள்
arid	வறண்ட
arise	எழுகின்றன
aristocracy	பிரபுத்துவத்தின்
aristocrat	உயர்குடி
aristocratic	உயர்குடி
arithmetic	கணித
ark	பெட்டியை
arm	கை
armada	போர் கப்பல்களின்
armament	போர்தளவாடங்களை
armaments	போர்த்தளவாடங்கள்
armature	ஆமேச்சர்க்
armchair	ஆர்ம்சேர்
armed	ஆயுத
armor	கவசம்
armored	கவச
armory	கருவிகளில்
armpit	அக்குள்
arms	ஆயுத
army	இராணுவம்
aroma	நறுமணம்
aromatherapy	நறுமண
arousal	தூண்டுதல்
arouse	கிளப்பும்
aroused	தூண்டியது
arraignment	குற்றம் சாட்டிப்
arrange	ஏற்பாடு
arranged	ஏற்பாடு
arrangement	ஏற்பாடு
array	வரிசை
arrears	பாக்கிகளை
arrest	கைது
arrhythmia	துடித்தல்
arrival	வருகையை
arrive	வரும்
arrogance	அகந்தையின்
arrogant	திமிர்பிடித்த
arrow	அம்பு
arsehole	மலவாய்
arseholes	மலவாய்கள்
arsenal	ஆயுதக்கிடங்கை
arsenic	ஆர்சனிக்
arson	கலவரம்
arsonist	தீவைப்பவர்
art	கலை
arterial	தமனி
artery	தமனி
artful	கலைநயமிக்க
arthritis	கீல்வாதம்
arthropod	கணுக்காலி
artichoke	கூனைப்பூ
article	கட்டுரை
articles	கட்டுரைகள்
articulate	புகுத்துவதற்கான
articulation	ஒலிப்பு
artifact	குளறுபடியாகவும்
artifice	செயற்கைத்
artificial	செயற்கை
artillery	ஆட்டிலறி
artisan	கைவினைஞர்
artist	கலைஞர்
artiste	NO TRANSLATION
artistic	கலை
artistry	கலைத்திறன்
artists	கலைஞர்கள்
artwork	கலைப்படைப்புகள்
arty	arty
asap	விரைவில்
asbestos	கல்நார்
ascend	மேலேறும்
ascendancy	ஆதிக்கத்தை
ascendant	வல்லமை
ascending	ஏறுவரிசையில்
ascension	அடைகிறார்
ascent	ஏற்றம்
