Word	da
adoration	tilbedelse
adore	tilbede
adoring	tilbedende
adorn	smykke
adornment	pynt
adrenalin	adrenalin
adrenaline	adrenalin
adrift	adrift
adult	voksen
adulterated	forfalsket
adulterer	ægteskabsbryder
adultery	ægteskabsbrud
adulthood	voksenalderen
advance	rykke
advanced	fremskreden
advancement	fremgang
advancing	fremrykkende
advantage	fordel
advantageous	fordelagtige
advent	advent
adventure	eventyr
adventurer	eventyrer
adventures	eventyr
adventurous	eventyrlystne
adversary	modstander
adverse	ugunstig
adversity	modgang
advertise	annoncere
advertisement	reklame
advertising	reklame
adverts	reklamer
advice	råd
advisable	tilrådeligt
advise	rådgive
advised	rådgivet
advisement	advisement
adviser	rådgiver
advisor	rådgiver
advisory	rådgivende
advocacy	fortalervirksomhed
advocate	fortaler
aegis	regi
aeration	beluftning
aerial	antenne
aerobics	aerobic
aerodrome	flyveplads
aerodynamic	aerodynamisk
aerodynamics	aerodynamik
aeronautics	luftfart
aeroplane	fly
aerospace	rumfart
aesthetic	æstetisk
aesthetics	æstetik
aetiology	ætiologi
afar	langvejs
affable	flink
affair	affære
affect	påvirke
affecting	påvirker
affection	kærlighed
affectionate	kærlig
affections	følelser
affiche	NO TRANSLATION
affidavit	erklæring
affiliated	tilknyttet
affiliation	tilknytning
affinity	tilhørsforhold
affirm	bekræfte
affirmation	bekræftelse
affirmative	bekræftende
affirmatively	bekræftende
affix	anbringe
afflict	plage
afflicted	ramt
affliction	lidelse
affluence	overflod
affluent	velhavende
afford	har råd til
affordable	overkommelige
affront	krænkelse
affronted	fornærmet
afield	væk
afire	en ild
afloat	oven vande
afore	Afore
aforementioned	førnævnte
aforesaid	førnævnte
afraid	bange
afresh	på ny
african	afrikansk
aft	agterste
afterlife	efterliv
aftermath	kølvandet
afternoon	eftermiddag
aftershave	aftershave
aftertaste	eftersmag
afterthought	eftertanke
aga	NO TRANSLATION
agape	agape
agate	agat
age	alder
aged	alderen
agency	bureau
agenda	dagsorden
agent	agent
agglomeration	agglomerering
aggravate	forværre
aggravated	forværret
aggravates	forværrer
aggravating	forværret
aggravation	forværring
aggregate	aggregat
aggregation	aggregering
aggresive	NO TRANSLATION
aggression	aggression
aggressive	aggressiv
aggressively	aggressivt
aggressiveness	aggressivitet
aggressor	aggressor
agh	AGH
aghast	forfærdet
aghhh	NO TRANSLATION
agile	adræt
agility	smidighed
aging	aldrende
agitate	agitere
agitated	ophidsede
agitation	agitation
aglow	gløder
agnostic	agnostiker
ago	siden
agonizing	pinefuld
agony	smerte
agoraphobia	agorafobi
agree	enig
agreeable	behagelig
agreed	aftalt
agreeing	enige
agreement	aftale
agressive	NO TRANSLATION
agricultural	landbrugs
agriculture	landbrug
aground	grundstødte
agua	NO TRANSLATION
ahead	foran
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ohøj
aid	hjælpe
aide	aide
aiding	medvirken
aids	hjælpemidler
ail	Ail
ailing	skrantende
ailment	lidelse
aim	sigte
aimless	formålsløs
air	luft
airbag	airbag
airborne	luftbårne
aircraft	fly
aircraft carrier	luftfartsselskab
airfield	flyveplads
airhead	airhead
airlift	luftbro
airline	flyselskab
airliner	passagerfly
airlock	luftsluse
airman	flyveren
airplane	fly
airport	lufthavn
airs	airs
airship	luftskib
airspace	luftrum
airspeed	flyvehastighed
airstrip	landingsbane
airtight	lufttæt
airway	luftveje
aisle	midtergang
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	beslægtet
alabaster	alabast
alarm	alarm
alarm clock	vækkeur
alarmed	alarmeret
alarming	alarmerende
alas	ak
alb	NO TRANSLATION
albatross	Albatrossen
albino	albino
album	album
alchemy	alkymi
alcohol	alkohol
alcoholic	alkoholiker
alcoholism	alkoholisme
alcove	alkove
alderman	rådmand
ale	NO TRANSLATION
alert	alert
alertness	årvågenhed
alerts	advarsler
alfalfa	lucerne
algebra	algebra
algebraic	algebraisk
algorithm	algoritme
alias	alias
alibi	alibi
alien	alien
alienate	fremmedgøre
alienated	fremmedgjorte
alienation	fremmedgørelse
alight	stå af
align	tilpasse
aligned	aligned
alignment	justering
alike	ens
alimentation	NO TRANSLATION
alimony	underholdsbidrag
aliquot	portion
alive	i live
alkali	alkali
alkaloids	alkaloider
allay	dæmpe
allegation	påstand
allege	påstår
alleged	påståede
allegiance	troskab
allegorical	allegorisk
allegory	allegori
allegro	allegro
allergic	allergisk
allergy	allergi
alleviate	lindre
alleviation	lindring
alley	gyde
alleyway	gyde
alliance	alliance
allied	allieret
alligator	alligator
allocate	tildele
allocation	tildeling
allot	tildele
allotment	tildeling
allow	give lov til
allowable	tilladelige
allowance	godtgørelse
allowed	tilladt
alloy	legering
allsmiles	NO TRANSLATION
allure	lokke
alluring	dragende
allusion	hentydning
alluvial	alluviale
ally	allieret
almanac	almanak
almighty	almægtig
almond	mandel
aloft	vejrs
aloha	aloha
alone	alene
alongside	langs med
aloof	tilknappet
aloud	højt
alpha	alfa
alphabet	alfabet
alphabetical	alfabetisk
alpine	alpine
alreadyyyyy	NO TRANSLATION
altar	alter
altar boy	alter dreng
alter	ændre
alteration	ændring
altercation	skænderi
altered	ændret
alternate	skifte
alternating	skiftevis
alternative	alternativ
altimeter	højdemåler
altitude	højde
alto	alto
altogether	helt
aluminum	aluminium
alumnus	alumne
alveolar	alveolær
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	sammenlægning
amaretto	amaretto
amass	samle
amateur	amatør
amaze	forbløffe
amazed	forbløffet
amazedness	amazedness
amazement	forbløffelse
amazing	fantastiske
amazingly	forbavsende
ambassador	ambassadør
amber	rav
ambience	stemning
ambient	omgivende
ambiguity	tvetydighed
ambiguous	tvetydig
ambit	anvendelsesområde
ambition	ambition
ambitious	ambitiøs
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulance
ambush	baghold
ameliorate	lindre
amen	Amen
amenable	modtagelig
amend	ændre
amendment	ændring
amends	godt igen
amenity	rekreative områder
amethyst	ametyst
amiable	elskværdig
amicable	venskabelig
amid	midt
amidst	midt
amino	amino
ammo	ammunition
ammonia	ammoniak
ammonium	ammonium
ammunition	ammunition
amnesia	amnesi
amnesty	amnesti
amorous	kælen
amorphous	amorf
amortization	amortisering
amount	beløb
amour	NO TRANSLATION
amp	amp
ampersand	og-tegn
amphetamines	amfetamin
amphibian	padde
amphibious	amfibie
amphitheater	amfiteater
ample	rigelig
amplification	amplifikation
amplify	forstærke
amplitude	amplitude
amply	rigeligt
amputate	amputere
amputation	amputation
amuck	amuck
amulet	amulet
amuse	underholde
amused	morede
amusement	underholdning
amusing	underholdende
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anæstesi
anaesthetic	bedøvelsesmiddel
anagram	anagram
anal	anal
analgesic	smertestillende
analogous	analog
analogue	analog
analogy	analogi
analysis	analyse
analyst	analytiker
analytic	analytisk
analytical	analytisk
analyze	analysere
analyzer	analysator
anaphylactic	anafylaktisk
anarchism	anarkisme
anarchist	anarkist
anarchy	anarki
anastomosis	anastomose
anathema	bandlyst
anatomic	anatomisk
anatomy	anatomi
ancestor	forfader
ancestral	forfædres
ancestry	herkomst
anchor	anker
anchorage	forankring
ancient	gammel
ancillary	accessoriske
androgen	androgen
android	android
anecdote	anekdote
anemia	anæmi
anemic	anæmisk
anemone	anemone
anesthesia	anæstesi
anesthesiologist	anæstesilæge
anesthetic	bedøvelsesmiddel
aneurysm	aneurisme
anew	påny
angel	Engel
angelic	engleblid
anger	vrede
angered	vred
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografi
angle	vinkel
angling	lystfiskeri
angora	angora
angriest	vredeste
angry	vred
angrytweet	NO TRANSLATION
angst	angst
anguish	kvaler
anguished	forpinte
angular	kantet
anhydrous	vandfrit
animal	dyr
animate	animere
animated	animeret
animation	animation
animosity	fjendskab
animus	animus
ankle	ankel
anklet	anklet
annals	annaler
annex	bilag
annexation	annektering
annexe	NO TRANSLATION
annihilate	tilintetgøre
annihilated	tilintetgjort
annihilation	tilintetgørelse
anniversary	jubilæum
annotate	anmærke
annotation	anmærkning
announce	annoncere
announcement	bekendtgørelse
announcer	speaker
annoy	irritere
annoyance	irritation
annoyed	irriteret
annoyin	NO TRANSLATION
annoying	irriterende
annoys	irriterer
annual	årligt
annuity	livrente
annul	annullere
annular	ringformet
annulment	annullation
annulus	annulus
anointed	salvet
anointing	salvelse
anomalous	unormal
anomaly	anomali
anon	anon
anonymity	anonymitet
anonymous	anonym
anorexic	anorektiske
answer	svar
answerable	ansvarlig
answering	telefonsvarer
ant	myre
antagonism	antagonisme
antagonist	modstander
antagonistic	antagonistiske
antagonize	modarbejde
ante	NO TRANSLATION
antecedent	forudgående
antelope	antilope
antenna	antenne
anterior	anterior
anthem	hymne
anthill	myretue
anthology	antologi
anthrax	miltbrand
anthropological	antropologisk
anthropologist	antropolog
anthropology	antropologi
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotikum
antibiotics	antibiotika
antichrist	Antikrist
anticipate	foregribe
anticipation	forventning
anticipatory	foregribende
antics	antikviteter
antidote	modgift
antifungal	svampedræbende
antigravity	antigravity
antimony	antimon
antipathy	antipati
antiquarian	antikvarisk
antiquated	antikveret
antique	antik
antiques	antikviteter
antiquity	antikken
antiseptic	antiseptisk
antisocial	asocial
antithesis	antitese
antithetical	modsætninger
antiviral	antivirale
antler	hjortetak
antsy	antsy
anus	anus
anvil	ambolt
anxiety	angst
anxietyattack	NO TRANSLATION
anxious	ængstelig
anxiousness	angst
anytime	når som helst
aorta	aorta
aortic	aorta
apace	hastigt
apache	apache
apartment	lejlighed
apartments	lejligheder
apathetic	apatisk
apathy	apati
ape	abe
aperture	åbning
apex	spids
aphid	bladlus
aphrodisiac	elskovsmiddel
apiece	et stykke
aplomb	selvsikkerhed
apocalypse	dommedag
apocalyptic	apokalyptisk
apologetic	undskyldende
apologist	apologet
apologize	undskylde
apology	apologi
apostasy	frafald
apostate	frafalden
apostle	apostel
apostolic	apostolske
apostrophe	apostrof
apothecary	apotekeren
appalled	rystet
appalling	rystende
apparatus	apparat
apparel	beklædning
apparent	tilsyneladende
apparently	tilsyneladende
apparition	genfærd
appeal	appel
appear	komme til syne
appearance	udseende
appease	berolige
appellant	appellant
append	Tilføj
appendage	vedhæng
appendectomy	blindtarmsoperation
appendicitis	blindtarmsbetændelse
appendix	bilag
appetite	appetit
appetizer	appetitvækker
appetizing	appetitvækkende
applaud	klappe
applause	bifald
apple	æble
apple juice	æblejuice
applejack	Applejack
applesauce	æblemos
appliance	apparat
appliances	hårde hvidevarer
applicability	anvendelighed
applicable	gældende
applicant	ansøger
application	Ansøgning
apply	ansøge
appoint	udpege
appointment	aftale
appointments	aftaler
apportion	fordele
apportionment	fordeling
appraisal	vurdering
appraise	vurdere
appreciable	mærkbar
appreciate	sætter pris på
appreciated	værdsat
appreciates	værdsætter
appreciation	påskønnelse
appreciative	anerkendende
apprehend	pågribe
apprehension	ængstelse
apprehensive	betænkelig
apprentice	lærling
apprenticeship	læreplads
approach	nærme sig
approaching	nærmer sig
approbate	NO TRANSLATION
approbation	billigelse
appropriate	passende
appropriation	bevilling
approval	godkendelse
approve	godkende
approved	godkendt
approvement	approvement
approving	godkendelse
approximate	omtrentlig
approximately	rundt regnet
approximating	approksimerende
approximation	tilnærmelse
appurtenances	rekvisitter
apricot	abrikos
apron	forklæde
apt	apt
aptitude	evne
aqua	aqua
aquamarine	akvamarin
aquarium	akvarium
aquatic	akvatiske
aqueduct	akvædukt
aqueous	vandig
arable	dyrkbar
arbiter	dommer
arbitrary	vilkårlig
arbitrate	mægle
arbitration	voldgift
arbitrator	voldgiftsmand
arbor	Lysthuset
arc	bue
arcade	arkade
arcane	mystiske
arch	bue
archaeological	arkæologisk
archaeologist	arkæolog
archaeology	arkæologi
archaic	gammeldags
archangel	ærkeengel
archbishop	ærkebiskop
archdiocese	ærkebispedømme
archduke	ærkehertug
arched	buet
archer	bueskytte
archery	bueskydning
archetype	arketype
archipelago	øhav
architect	arkitekt
architectural	arkitektoniske
architecture	arkitektur
archive	arkiv
arctic	arktisk
ardent	glødende
ardor	iver
arduous	besværlig
area	areal
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumentere
argument	argument
argumentation	argumentation
argumentative	argumenterende
arguments	argumenter
arid	tørre
arise	opstå
aristocracy	aristokrati
aristocrat	aristokrat
aristocratic	aristokratisk
arithmetic	aritmetik
ark	Arken
arm	arm
armada	armada
armament	bevæbning
armaments	våben
armature	anker
armchair	lænestol
armed	bevæbnet
armor	rustning
armored	pansrede
armory	arsenal
armpit	armhule
arms	arme
army	hær
aroma	aroma
aromatherapy	aromaterapi
arousal	ophidselse
arouse	vække
aroused	vakt
arraignment	anklage
arrange	arrangere
arranged	anbragt
arrangement	arrangement
array	matrix
arrears	restance
arrest	anholdelse
arrhythmia	arytmi
arrival	ankomst
arrive	ankomme
arrogance	arrogance
arrogant	arrogant
arrow	pil
arsehole	arsehole
arseholes	røvhuller
arsenal	arsenal
arsenic	arsen
arson	brandstiftelse
arsonist	brandstifter
art	kunst
arterial	arteriel
artery	pulsåre
artful	kunstfærdige
arthritis	gigt
arthropod	leddyr
artichoke	artiskok
article	artiklen
articles	artikler
articulate	artikulere
articulation	artikulation
artifact	artefakt
artifice	kunstgreb
artificial	kunstig
artillery	artilleri
artisan	håndværker
artist	kunstner
artiste	NO TRANSLATION
artistic	kunstnerisk
artistry	kunstfærdighed
artists	kunstnere
artwork	kunstværk
arty	arty
asap	asap
asbestos	asbest
ascend	bestige
ascendancy	overtag
ascendant	opstigende
ascending	opstigende
ascension	opstigning
ascent	opstigning
ascertain	fastslå
ascertained	konstateret
ascetic	asketisk
ash	aske
ashamed	skamme sig
ashes	aske
ashtray	askebæger
asinine	tåbelige
ask	Spørg
asleeep	NO TRANSLATION
asleep	i søvn
asp	asp
asparagus	asparges
aspartame	aspartam
aspect	aspekt
aspects	aspekter
aspen	asp
asphalt	asfalt
asphyxia	asfyksi
asphyxiation	kvælning
aspiration	forhåbning
aspire	stræbe
aspirin	aspirin
aspiring	aspirerende
ass	røv
assail	angribe
assailant	voldsmand
assassin	snigmorder
assassinate	myrde
assassination	snigmord
assault	angreb
assay	assay
assemblage	assemblage
assemble	samle
assembled	samles
assembly	montage
assemblyman	forsamlingsmand
assent	samstemmende udtalelse
assert	hævde
asserting	hævde
assertion	påstand
assertive	selvhævdende
assess	vurdere
assessment	vurdering
assessor	vurderingsmand
asset	aktiv
assets	aktiver
asshole	røvhul
assign	tildele
assignee	erhververen
assignment	opgave
assimilate	assimilere
assimilation	assimilation
assist	hjælpe
assistance	hjælp
assistant	assistent
associate	associeret
association	forening
assorted	assorteret
assortment	udvalg
assuage	dæmpe
assume	antage
assumed	antaget
assuming	under forudsætning af
assumption	antagelse
assurance	forsikring
assure	forsikre
assured	sikker
assuredly	sandelig
asterisk	stjerne
asteroid	asteroide
asteroids	asteroider
asthma	astma
asthmatic	astmatiker
astigmatism	bygningsfejl
astonish	forbavse
astonished	forbløffet
astonishing	forbavsende
astonishingly	NO TRANSLATION
astonishment	forbavselse
astound	forbavse
astral	astrale
astray	på afveje
astringent	astringerende
astrologer	astrolog
astrology	astrologi
astronaut	astronaut
astronomer	astronom
astronomical	astronomiske
astronomy	astronomi
astute	snu
asunder	sønder
asylum	asyl
asymmetric	asymmetrisk
asymmetry	asymmetri
asymptotic	asymptotiske
atelier	atelier
atheism	ateisme
atheist	ateist
atheistic	ateistisk
atherosclerosis	åreforkalkning
athlete	atlet
athletic	atletisk
athleticism	atletiske
athletics	atletik
atlas	atlas
atmosphere	atmosfære
atmospheric	atmosfærisk
atoll	atol
atom	atom
atomic	atomar
atone	sone
atonement	soning
atpeace	I fred
atrium	atrium
atrocious	grusomme
atrocity	grusomhed
atrophy	atrofi
attach	vedhæfte
attached	vedhæftet
attachment	vedhæftet fil
attack	angreb
attacker	hacker
attacking	angribe
attain	nå
attainable	opnåelige
attainment	virkeliggørelsen
attempt	forsøg
attempted	forsøgt
attend	deltage
attendance	tilstedeværelse
attendant	ledsager
attention	opmærksomhed
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	opmærksom
attenuate	dæmpe
attenuated	svækket
attenuation	dæmpning
attest	bevidne
attestation	attest
attic	loftsrum
attire	påklædning
attitude	holdning
attorney	advokat
attract	at tiltrække
attraction	attraktion
attractive	tiltrækkende
attractiveness	tiltrækningskraft
attributable	henføres
attribute	attribut
attribution	tilskrivning
attrition	nedslidning
auburn	rødbrun
auction	auktion
auctioneer	auktionarius
audacious	dristig
audacity	dristighed
audible	hørbar
audience	publikum
audio	lyd
audit	revidere
audition	audition
auditions	auditions
auditor	revisor
auditorium	auditorium
auditory	auditive
aught	aught
augment	forøge
augmentation	augmentation
august	august
aunt	tante
auntie	tante
aura	aura
aurora	aurora
auspices	regi
auspicious	lovende
austere	barsk
austerity	nøjsomhed
authentic	autentisk
authenticate	autentificere
authentication	Godkendelse
authenticity	ægthed
author	forfatter
authoritative	autoritativ
authority	myndighed
authorization	bemyndigelse
authorize	bemyndige
authorized	autoriseret
authorship	forfatterskab
autism	autisme
autistic	autistisk
auto	auto
autobiographical	selvbiografiske
autobiography	selvbiografi
autocorrect	Autokorrektur
autocratic	autokratisk
autograph	autograf
autographed	autografer
automated	automatiseret
automatic	automatisk
automobile	automobil
automotive	automotive
autonomy	autonomi
autopilot	autopilot
autopsy	obduktion
autumn	efterår
auxiliary	hjælpemotor
avail	nytte
availability	tilgængelighed
available	ledig
avalanche	lavine
avarice	griskhed
avatar	avatar
avenge	hævne
avenger	hævner
avenging	hævnende
avenue	avenue
aver	NO TRANSLATION
average	gennemsnit
aversation	aversation
averse	utilbøjelig
averseness	averseness
aversion	aversion
avert	afværge
aviary	voliere
aviation	luftfart
aviator	aviator
avid	ivrig
avocado	avocado
avoid	undgå
avoidance	undgåelse
avoiding	undgå
await	vente
awake	vågen
awaken	vække
awakening	opvågnen
award	pris
awards	priser
aware	klar over
awareness	opmærksomhed
awe	NO TRANSLATION
awed	imponeret
awesome	fantastisk
awesomeness	awesomeness
awestruck	awestruck
awful	forfærdelig
awkward	akavet
awkwardness	kejtethed
awning	markise
awry	skævt
axe	økse
axial	aksial
axiom	aksiom
axiomatic	aksiomatisk
axis	akse
axle	aksel
ay	ay
aye	aye
azimuth	azimut
azure	azurblå
babble	pludre
babbling	pludrende
babe	babe
baboon	bavian
baby	baby
babysit	babysitte
babysitter	barnepige
baccalaureate	studentereksamen
baccarat	baccarat
bachelor	ungkarl
bachelorette	bachelorette
back	tilbage
backboard	bagplade
backbone	rygrad
backdoor	bagdør
backdrop	kulisse
backer	backer
backfire	give bagslag
backgammon	backgammon
background	baggrund
backhand	baghånd
backhoe	rendegraver
backoff	gå væk
backpack	rygsæk
backpacker	backpacker
backroom	bagrum
backseat	bagsæde
backside	backside
backtrack	tilbageskridt
backup	backup
backward	baglæns
backwardness	tilbageståenhed
backwards	tilbage
backwater	dødvande
backwoods	backwoods
backyard	baggård
bacon	bacon
bacteria	bakterie
bacterial	bakteriel
bacterium	bakterie
bad	dårlig
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	grævling
badhabit	NO TRANSLATION
badly	dårligt
badness	ondskab
baffle	forbløffe
baffled	forvirret
bag	taske
bagel	bagel
baggage	bagage
baggie	baggie
baggy	poset
bagman	Bagman
bagpipes	sækkepiber
bail	kaution
bailiff	foged
bait	lokkemad
bake	bage
bakery	bageri
baking	bagning
bal	NO TRANSLATION
balance	balance
balanced	afbalanceret
balcony	altan
bald	skaldet
balding	skaldethed
baldy	baldy
bale	balle
balk	Balk
ball	bold
ballad	ballade
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	bold spil
ballistic	ballistisk
ballistics	ballistik
balloon	ballon
ballot	afstemning
ballpark	ballpark
ballplayer	ballplayer
ballpoint	kuglepen
ballroom	balsal
ballsy	ballsy
balm	balsam
balmy	balsamisk
balsam	balsam
balsamic	balsamico
bam	bam
bamboo	bambus
ban	NO TRANSLATION
banana	banan
band	bånd
bandage	bandage
bandanna	NO TRANSLATION
bandit	bandit
bandstand	musikpavillon
bandwagon	vognen
bandwidth	båndbredde
bane	bane
bang	bang
banger	banger
banish	forjage
banished	forvist
banishment	landsforvisning
banister	gelænder
banjo	banjo
bank	bank
banker	bankmand
banking	bank
bankroll	bankroll
bankrupt	bankerot
bankruptcy	konkurs
banner	banner
banquet	banket
banshee	Banshee
banter	drilleri
banzai	NO TRANSLATION
baptism	dåb
baptismal	dåb
baptize	døbe
bar	bar
barb	modhager
barbarian	barbar
barbaric	barbarisk
barbarism	barbari
barbecue	grill
barbed	barbed
barber	barber
barbershop	frisør
barbie doll	Barbie dukke
bard	skjald
bare	bar
bareback	bareback
barefoot	barfodet
barely	knap
barf	opkast
bargain	forhandle
bargaining	forhandlinger
barge	pram
baritone	baryton
barium	barium
bark	bark
barkeep	barkeep
barks	gøer
barley	byg
barmaid	barpige
barman	bartender
barn	lade
barnacle	bramgæs
barney	barney
barnyard	barnyard
barometer	barometer
baron	baron
baroness	baronesse
baroque	barok
barrack	barak
barracuda	barracuda
barrage	spærreild
barred	spærret
barrel	tønde
barren	ufrugtbar
barricade	barrikade
barrier	barriere
barring	spærring
barrister	advokat
barroom	barroom
barrow	trillebør
bartender	bartender
barter	byttehandel
base	grundlag
baseball	baseball
baseball bat	baseball bat
baseboard	baseboard
baseless	grundløse
baseline	baseline
baseman	baseman
basement	kælder
bases	baser
bash	bash
bashful	undseelig
basic	grundlæggende
basics	basics
basil	basilikum
basilica	basilika
basin	bassin
basis	basis
bask	dase
basket	kurv
basketball	basketball
bass	bas
bass guitar	basguitar
basso	NO TRANSLATION
bassoon	fagot
bastard	skiderik
bastarding	bastarding
bastards	skiderikker
bastion	bastion
bat	flagermus
batch	parti
batching	vejeafmålings
bate	NO TRANSLATION
bath	bad
bathe	bade
bathhouse	badehus
bathing	badning
bathrobe	badekåbe
bathroom	badeværelse
bathtub	badekar
bathymetry	bathymetrien
baton	stafetten
battalion	bataljon
batter	dej
battered	voldsramte
battering	battering
battery	batteri
battle	kamp
battled	kæmpet
battlefield	slagmark
battleground	slagmark
battlements	brystværn
battleship	slagskib
batty	Batty
bauble	briks
bawdy	sjofel
bawl	skælde
bay	Bugt
bayonet	bajonet
bayou	bayou
bazaar	basar
bazooka	bazooka
bday	bday
be	være
beach	strand
beaches	strande
beacon	ledestjerne
bead	vulst
beading	beading
beads	perler
beady	beady
