Word	ku
admixture	admixture
admonition	şîret
ado	ado
adobe	adobe
adolescence	xortî
adolescent	ciwanan
adopt	xwerezarokgirtin
adoption	zarokgirtinî
adoptive	berbiçav
adorable	şahî
adoration	adoration
adore	limêjkirin
adoring	berbiçav
adorn	xemilandin
adornment	zivistan
adrenalin	adrenalin
adrenaline	adrenaline
adrift	tolazgerî
adult	gihîştî
adulterated	zehf kirin
adulterer	zilamê
adultery	marşikandinî
adulthood	zilamê
advance	pêşveçûn
advanced	pêşveçû
advancement	barkirin
advancing	pêşveçûn
advantage	berjewendî
advantageous	bi berjewendî
advent	gihîştin
adventure	serpêhatî
adventurer	maceraperest
adventures	pispor
adventurous	berbiçav
adversary	neyar
adverse	neyare
adversity	tengahiyê
advertise	gilîkirin
advertisement	gilî
advertising	reqlam
adverts	adres
advice	şêwr
advisable	pêşnîyarbar
advise	şêwirîn
advised	şîret kirin
advisement	şêwirdarî
adviser	şêwirvan
advisor	şêwirmend
advisory	şêwirdarî
advocacy	parêzer
advocate	pêşnîyarkirin
aegis	aegis
aeration	revandin
aerial	bi firrê
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	aerodîk
aerodynamics	aerodynamics
aeronautics	aeronîk
aeroplane	balafir
aerospace	aerospace
aesthetic	jestîk
aesthetics	estethetîk
aetiology	aetiology
afar	afar
affable	berbiçav
affair	karûbar
affect	raydakirin
affecting	bandor dike
affection	hezkirin
affectionate	dilane
affections	bandorê
affiche	NO TRANSLATION
affidavit	beyana bi sond
affiliated	girêdayî
affiliation	têkildarî
affinity	girêdayî
affirm	bawerdayin
affirmation	teqezkirin
affirmative	pêgûmananîn
affirmatively	erênî
affix	pêvgirêdan
afflict	dilêşandin
afflicted	xemgîn kirin
affliction	dilêş
affluence	dewlemendî
affluent	dewlemed
afford	ji xwere kanîn
affordable	kir
affront	pêşî
affronted	li hemberî
afield	afirîn
afire	afirîn
afloat	ajnêwar
afore	dûr
aforementioned	pêşniyaz kirin
aforesaid	bistîne
afraid	tirsane
afresh	afresh
african	efrîkayî
aft	aft
afterlife	jiyanê
aftermath	paşê
afternoon	piştînîvroj
aftershave	aftershave
aftertaste	paşê
afterthought	paşnav
aga	NO TRANSLATION
agape	agape
agate	agir
age	kalbûn
aged	salî
agency	ajans
agenda	naverok
agent	casus
agglomeration	agglomeration
aggravate	xirabkirin
aggravated	bêhtir
aggravates	aggravates
aggravating	acizker
aggravation	xirabbûyî
aggregate	berbiçav
aggregation	kategoriyê
aggresive	NO TRANSLATION
aggression	êrişbazî
aggressive	êrşişbaz
aggressively	dijwar
aggressiveness	aggressiveness
aggressor	êrişkir
agh	agh
aghast	xerîb
aghhh	NO TRANSLATION
agile	agile
agility	zelal
aging	agir
agitate	acizkirin
agitated	veguherandin
agitation	agitation
aglow	aglow
agnostic	agnostîk
ago	pêşî
agonizing	agonizing
agony	êş
agoraphobia	agoraphobia
agree	qebûlkirin
agreeable	xweş
agreed	lihevhati
agreeing	bipejirîne
agreement	lihevhatin
agressive	NO TRANSLATION
agricultural	cotarî
agriculture	cotyarî
aground	aground
agua	NO TRANSLATION
ahead	pêşve
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	alîkarî
aide	alîkar
aiding	alîkariyê
aids	alîkarî
ail	nexweş
ailing	germ
ailment	êş
aim	armanc
aimless	armanc
air	hewa
airbag	airbag
airborne	ezmûn
aircraft	firrok
aircraft carrier	balafirgehê
airfield	hewayê
airhead	hewayê
airlift	agirbestek
airline	şîrketa balafiran
airliner	balafirgehê
airlock	airlock
airman	airman
airplane	balafir
airport	balafirgeh
airs	hewa
airship	hewayî
airspace	airspace
airspeed	airspeed
airstrip	hewayê
airtight	zû
airway	hewayê
aisle	fitêsa
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	berbiçav
alabaster	alabaster
alarm	hawar
alarm clock	demjimara şîyarker
alarmed	xeter kirin
alarming	acizane
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	albûm
alchemy	alchemy
alcohol	alkol
alcoholic	alkolgir
alcoholism	alkolgirî
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	hişyar
alertness	hişyariyê
alerts	alerts
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algorithm
alias	navê dizî
alibi	delîl
alien	xerîb
alienate	xerîbkirin
alienated	xerîb
alienation	xerîbbûyî
alight	daketin
align	berpêvekirin
aligned	navîn
alignment	berbiçav
alike	nêzhev
alimentation	NO TRANSLATION
alimony	debar
aliquot	nerast
alive	jînde
alkali	alkali
alkaloids	alkaloids
allay	hemî
allegation	îddîa
allege	îfadekirin
alleged	îdîakirin
allegiance	dilsozî
allegorical	tawanbar
allegory	tawanbar
allegro	allegro
allergic	alerjîk
allergy	alerjî
alleviate	kêm bikin
alleviation	kêmkirin
alley	kûçe
alleyway	alleyway
alliance	hevkarî
allied	hevkar
alligator	alîgator
allocate	pardan
allocation	pardayî
allot	belakirin
allotment	belakirinî
allow	destûrdan
allowable	pejirandin
allowance	heq
allowed	destûr
alloy	astarê madenî
allsmiles	NO TRANSLATION
allure	dilkişîn
alluring	xurt
allusion	tevlihev
alluvial	pêdivî ye
ally	hevkar
almanac	almanac
almighty	kane
almond	beîv
aloft	xilas
aloha	aloha
alone	tenê
alongside	li gel
aloof	şaş
aloud	gor
alpha	alpha
alphabet	elfabe
alphabetical	elfabeyî
alpine	alpine
alreadyyyyy	yeksyyyy
altar	mêrab
altar boy	kurê gorîgehê
alter	gûherrandin
alteration	gûherte
altercation	guhertin
altered	guhertin
alternate	dorbidor
alternating	alternatîf
alternative	şûndor
altimeter	altimeter
altitude	bilindayî
alto	alto
altogether	giştî
aluminum	elemyûn
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	amalgamation
amaretto	amaretto
amass	amass
amateur	nekarbend
amaze	şaşman
amazed	şaş e
amazedness	NO TRANSLATION
amazement	şaşmayî
amazing	êcêb
amazingly	ecêb
ambassador	sefîr
amber	aqût
ambience	atmosfer
ambient	giran
ambiguity	neheq
ambiguous	nebaş
ambit	heybet
ambition	xîret
ambitious	xîretwar
ambivalent	nefret
ambrosia	ambrosia
ambulance	ereba nexweşan
ambush	paşî
ameliorate	ameliorate
amen	rastî
amenable	berbiçav
amend	serrastkirin
amendment	gûhertinî
amends	amends
amenity	heqê
amethyst	neheq
amiable	amîable
amicable	dostane
amid	diqewime
amidst	li ser
amino	amino
ammo	ammo
ammonia	amonyak
ammonium	ammonium
ammunition	cebhane
amnesia	hişwendatî
amnesty	borîn
amorous	bêhêz
amorphous	bêhêz
amortization	amortization
amount	biha
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amefibious
amphitheater	amphîtheater
ample	gellek
amplification	amplification
amplify	xûrtkirin
amplitude	amûrbûnê
amply	bêhtir
amputate	jêkirin
amputation	jêkirinî
amuck	şaş
amulet	amûlet
amuse	kêfkirin
amused	nerm
amusement	kêf
amusing	pêkene
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	jarepûç
anagram	anagram
anal	anal
analgesic	analgesîk
analogous	analog
analogue	analog
analogy	analog
analysis	lêkolîne
analyst	analîz
analytic	analîtîk
analytical	analîzîkî
analyze	lêkolîn
analyzer	analîz
anaphylactic	anaphylactic
anarchism	anarchist
anarchist	anarchist
anarchy	anarşî
anastomosis	anastomos
anathema	anathema
anatomic	anatomîk
anatomy	enatomî
ancestor	pêşî
ancestral	bavê bavêjin
ancestry	bapîran
anchor	lenger
anchorage	anchorage
ancient	kevnar
ancillary	xerîb
androgen	ûrogen
android	android
anecdote	berbiçav
anemia	anemia
anemic	xwînkêmî
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	jarepûç
aneurysm	aneurysm
anew	anew
angel	milyaket
angelic	milyaket
anger	hêrs
angered	hêrs
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angografî
angle	qozî
angling	angling
angora	angora
angriest	dijwar
angry	hêrsbû
angrytweet	NO TRANSLATION
angst	xist
anguish	xemgîniyê
anguished	xemgîn kirin
angular	kewçêr
anhydrous	bêhêz
animal	teba
animate	jîyandan
animated	animated
animation	jayandarî
animosity	dijminatî
animus	animus
ankle	gûzok
anklet	qeşikê
annals	salan
annex	xanîber
annexation	têkildarî
annexe	NO TRANSLATION
annihilate	qirkirin
annihilated	hilweşandin
annihilation	qirkirinî
anniversary	salveger
annotate	nirxandin
annotation	nirxandin
announce	nasdayin
announcement	daxûyanî
announcer	ragihand
annoy	xûlîkirin
annoyance	hêrs
annoyed	şaş
annoyin	NO TRANSLATION
annoying	hêrsane
annoys	giran
annual	yeksalî
annuity	salê
annul	rakirin
annular	annular
annulment	bişûndekişandinî
annulus	annulus
anointed	xwerû
anointing	rûniştin
anomalous	xemgîn
anomaly	anomaly
anon	anon
anonymity	anonymous
anonymous	bênav
anorexic	anorexic
answer	bersiv
answerable	berpisîyarî
answering	bersîva
ant	gêrîk
antagonism	dijminatî
antagonist	dijber
antagonistic	dijberî
antagonize	li dij şerkirin
ante	NO TRANSLATION
antecedent	antecedent
antelope	xezal
antenna	antên
anterior	nîv
anthem	marş
anthill	girikê gêrîkan
anthology	antolojî
anthrax	anthrax
anthropological	antropolojîk
anthropologist	antropologist
anthropology	antropropolojiyê
anti	dijî
antiaircraft	antîircraft
antibiotic	antîbîyotîk
antibiotics	antibiotics
antichrist	antichrist
anticipate	payin
anticipation	payinî
anticipatory	pêşniyarê
antics	antîk
antidote	dermanê li dijî tiştekî
antifungal	antifungal
antigravity	antigravity
antimony	antimony
antipathy	antipathy
antiquarian	antîbîran
antiquated	berbiçav
antique	kevnar
antiques	etnîkî
antiquity	kevnedem
antiseptic	antîseptîk
antisocial	antisocial
antithesis	antithesis
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy
anus	qûn
anvil	hors
anxiety	meraq
anxietyattack	NO TRANSLATION
anxious	meraqkirî
anxiousness	xemgîniyê
anytime	herdem
aorta	aorta
aortic	aortic
apace	bêhêz
apache	apache
apartment	mal
apartments	apartments
apathetic	neheq
apathy	neheqî
ape	meymûn
aperture	aperture
apex	serînî
aphid	aphid
aphrodisiac	aphrodisiac
apiece	bistînin
aplomb	aplombê
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	borîne
apologist	apologîst
apologize	borîxwestin
apology	borî
apostasy	şandî
apostate	şandî
apostle	rêber
apostolic	şandî
apostrophe	tîpveqetok
apothecary	apothecary
appalled	berbiçav
appalling	xofane
apparatus	hacet
apparel	cilan
apparent	dîyare
apparently	qey
apparition	xuya dike
appeal	lidijrabûn
appear	xûyabûn
appearance	xuyabûnî
appease	sivikkirin
appellant	berbiçav
append	veşartin
appendage	perestgehê
appendectomy	tewrê
appendicitis	sepandin
appendix	revîyê kor
appetite	dilbijîn
appetizer	xemgîniyê
appetizing	xistin
applaud	çepiklêdan
applause	çepik
apple	sêv
apple juice	juê apple
applejack	applejack
applesauce	applesauce
appliance	pêvdank
appliances	pêwist
applicability	bicîhkirinê
applicable	lêtê
applicant	namzêd
application	bikaranînî
apply	bikaranîn
appoint	navkirin
appointment	binavkirî
appointments	rûniştin
apportion	lêgerîn
apportionment	veguhestinê
appraisal	qinetbirrînî
appraise	texmînkirin
appreciable	dilsoz
appreciate	rûmetdan
appreciated	spas kirin
appreciates	pesnê
appreciation	rûmetdanî
appreciative	dilsoz
apprehend	girtin
apprehension	binçavkirinî
apprehensive	nerehet
apprentice	şagird
apprenticeship	dema şagirdîyê
approach	nêzîkbûhatinî
approaching	nêzîk
approbate	NO TRANSLATION
approbation	nirxandin
appropriate	maqûl
appropriation	tezmînatê
approval	qayilî
approve	destûrdan
approved	pejirandin
approvement	erêkirin
approving	pejirandin
approximate	nêzî
approximately	teqrîben
approximating	nêzîk
approximation	nêzîkbûnê
appurtenances	zelal
apricot	mişmiş
apron	pêşmal
apt	apt
aptitude	jêhatî
aqua	aqua
aquamarine	aquamarine
aquarium	kûzikê masîyan
aquatic	ozîkî
aqueduct	pira lûlê avê
aqueous	paqij
arable	arable
arbiter	arbiter
arbitrary	kêfî
arbitrate	lihevanîn
arbitration	lihevanînî
arbitrator	dad
arbor	arbor
arc	taqa
arcade	arcade
arcane	arcane
arch	taqa
archaeological	arkeolojî
archaeologist	arkelog
archaeology	arkelojî
archaic	kevn
archangel	pirtûkxaneyê
archbishop	archbishop
archdiocese	arşîdiocese
archduke	archduke
arched	çêdike
archer	tîrevan
archery	tîravêtin
archetype	archetype
archipelago	girav
architect	mîmar
architectural	avahiyê
architecture	avakarî
archive	arşîv
arctic	arctîk
ardent	êşent
ardor	ardor
arduous	hişk
area	dewer
arena	şermeydan
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	şerkirin
argument	bersivk
argumentation	argûmetê
argumentative	şerxwaz
arguments	argûman
arid	hişk
arise	çêbûn
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	riyazî
ark	arka
arm	pîl
armada	armada
armament	çekkirî
armaments	çekan
armature	çekan
armchair	runiştok
armed	çekkirî
armor	çekdarî
armored	çek kirin
armory	çekxane
armpit	binpî
arms	çek
army	artêş
aroma	tam
aromatherapy	aromatherapy
arousal	zehmet
arouse	hişyarkirin
aroused	hişyar kirin
arraignment	arraignment
arrange	lihevhatin
arranged	birêve kirin
arrangement	ferman
array	rêzî
arrears	jibermayî
arrest	tewqîf
arrhythmia	girtin
arrival	hatinî
arrive	gihîştin
arrogance	pozbilindî
arrogant	pozbilind
arrow	tîr
arsehole	arsehole
arseholes	arseholes
arsenal	embar
arsenic	arsenîk
arson	agirpêxistinî
arsonist	arsonist
art	fen
arterial	arterial
artery	tamar
artful	dilfiraz
arthritis	birîna mofirkan
arthropod	arthropod
artichoke	artichoke
article	tişt
articles	gotarên
articulate	vekirî axaftin
articulation	kişandin
artifact	hunerî
artifice	xerîb
artificial	fenî
artillery	topavêt
artisan	karsaz
artist	Hunermend
artiste	NO TRANSLATION
artistic	hûnermendî
artistry	hunerî
artists	hunermend
artwork	hunerî
arty	arty
asap	asap
asbestos	asbestos
ascend	lêsiwarbûn
ascendancy	rûmet
ascendant	serfiraz
ascending	hilkişînin
ascension	derketin
ascent	ascent
ascertain	têgihiştin
ascertained	diyar kirin
ascetic	hesît
ash	xwelî
ashamed	şermezar
ashes	ashes
ashtray	xwelîdank
asinine	asinine
ask	pirsîn
asleeep	NO TRANSLATION
asleep	nivistî
asp	asp
asparagus	qîvar
aspartame	aspartame
aspect	pêşî
aspects	aliyan
aspen	aspen
asphalt	asfalt
asphyxia	asphyxia
asphyxiation	fetisînî
aspiration	bîhnfirehiyê
aspire	aspire
aspirin	aspirîn
aspiring	dilsoz
ass	ass
assail	xerîb
assailant	xerîb
assassin	mêrkûj
assassinate	kûştin
assassination	mêrkûjî
assault	êriş
assay	assay
assemblage	civînê
assemble	berekirin
assembled	civandin
assembly	civîn
assemblyman	civînê
assent	muxalefetê
assert	îddîakirin
asserting	xistin
assertion	îddîa
assertive	bicî
assess	qîmetbirrîn
assessment	bellîkirinî
assessor	binirxîne
asset	dewlemend
assets	tiştan
asshole	bendek
assign	cîrêdan
assignee	karmendê
assignment	danî
assimilate	asîmîlasyon
assimilation	asîmîlasyonê
assist	alîkirin
assistance	alîkarî
assistant	alîkar
associate	şirîk
association	komel
assorted	tevlihev
assortment	tevlihevî
assuage	birêvebirin
assume	gûmananîn
assumed	fikirîn
assuming	bifikirin
assumption	gumanî
assurance	sîxorte
assure	sîxortekirin
assured	piştrast kirin
assuredly	bi rastî
asterisk	stêrkok
asteroid	asteroid
asteroids	asteroids
asthma	bîntengî
asthmatic	asthmatic
astigmatism	astengmatîzmê
astonish	şaş
astonished	şaş kirin
astonishing	ecêb
astonishingly	NO TRANSLATION
astonishment	ecêbî
astound	şaşkirin
astral	astral
astray	wendabûyî
astringent	çepê
astrologer	astrologer
astrology	falzanî
astronaut	astronot
astronomer	astronomer
astronomical	astronomical
astronomy	stêrnasî
astute	asteng
asunder	asunder
asylum	penaberî
asymmetric	asymmetric
asymmetry	asîmmetry
asymptotic	asymptotic
atelier	atelier
atheism	xwedênenasî
atheist	xwedênenas
atheistic	berbiçav
atherosclerosis	atherosclerosis
athlete	pêhlewan
athletic	athlete
athleticism	athletîkîzmê
athletics	athletics
atlas	erdkifşar
atmosphere	atmosfer
atmospheric	atmosferê
atoll	atoll
atom	atom
atomic	atomî
atone	hêrs
atonement	lêbigere
atpeace	atpeace
atrium	atrium
atrocious	dijwar
atrocity	zordariyê
atrophy	kişandin
attach	pêvcebirandin
attached	ve girêdayî ye
attachment	girêdan
attack	êriş
attacker	êrîşker
attacking	êrîş kirin
attain	bistînin
attainable	gihîştin
attainment	bidestxistin
attempt	ceribandinî
attempted	hewl kirin
attend	amadebûn
attendance	amadetî
attendant	rêheval
attention	baldarî
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	balane
attenuate	bigirin
attenuated	vekişandin
attenuation	qezencê
attest	tesdîqkirin
attestation	destnîşankirin
attic	banî
attire	kincê
attitude	rewş
attorney	parêzvan
attract	sorkirin
attraction	hêza kişînê
attractive	balkêş
attractiveness	balkêş
attributable	nirxandin
attribute	taybetmendiyê
attribution	tevlêbûnê
attrition	kişandin
auburn	mirin
auction	mazat
auctioneer	nîvînek
audacious	pêdivî ye
audacity	hişk
audible	bihîstin
audience	binêrevan
audio	dengê
audit	berçavkirina
audition	seh
auditions	auditions
auditor	lêgerîn
auditorium	jûra gûhdarîyê
auditory	lêgerîn
aught	xerîb
augment	zêdekirin
augmentation	xurtkirin
august	Tebax
aunt	met
auntie	dilxwazî
aura	aura
aurora	aurora
auspices	dirûşm
auspicious	xerîb
austere	hişk
austerity	hişk
authentic	rast
authenticate	tesdîqkirin
authentication	piştrastkirin
authenticity	rastiyê
author	nivîskar
authoritative	desthilatdar
authority	erc
authorization	wekîlkirinî
authorize	ercdan
authorized	desthilatdar
authorship	nivîsarê
autism	xweser
autistic	xweser
auto	otomobîl
autobiographical	oktobiografîk
autobiography	ovografîk
autocorrect	xweser
autocratic	xweser
autograph	destnîşan
autographed	otogoghed
automated	otomatîk
automatic	otomatîkî
automobile	trombêl
automotive	otototîk
autonomy	serxwebûnî
autopilot	otopilot
autopsy	laşnerrînî
autumn	payiz
auxiliary	alîkariyê
avail	avêtin
availability	berdestbûnî
available	berdeste
avalanche	şap
avarice	avarice
avatar	avatar
avenge	heyfgirtin
avenger	avenger
avenging	aveng kirin
avenue	rêya fireh û nexkiri
aver	NO TRANSLATION
average	navoser
aversation	NO TRANSLATION
averse	berbiçav
averseness	averseness
aversion	dilnexwazî
avert	paarastin
aviary	aviary
aviation	hewafirrî
aviator	aviator
avid	dilkûrî
avocado	avocado
avoid	bergirtin
avoidance	jiseravêtinî
avoiding	avêtin
await	payin
awake	hişyar
awaken	hişyar bû
awakening	hişyariyê
award	xelatkirin
awards	xelatên
aware	zanestî
awareness	zanetî
awe	NO TRANSLATION
awed	awed
awesome	ecêb
awesomeness	awesomeness
awestruck	berbiçav
awful	xofane
awkward	nezan
awkwardness	hişyariyê
awning	sîdank
awry	hişyar
axe	bivir
axial	axî
axiom	axiom
axiomatic	axiyomatî
axis	pişt
axle	hespik
ay	ay
aye	aye
azimuth	azimuth
azure	azure
babble	pêlav
babbling	bavêjin
babe	babe
baboon	meymûn
baby	bebek
babysit	babysit
babysitter	dikişînin
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	azeb
bachelorette	bachelorette
back	paş
backboard	paşde
backbone	wersel
backdoor	backdoor
backdrop	paşde
backer	piştevan
backfire	piştfireh
backgammon	backgammon
background	paşî
backhand	paşde
backhoe	paşê
backoff	paşde
backpack	turê piştê
backpacker	backpacker
backroom	odeyek
backseat	paşê
backside	paşde
backtrack	paşde
backup	backup
backward	paşde
backwardness	paşde
backwards	berbipaş
backwater	paşwarê
backwoods	paşê
backyard	piştevaniya
bacon	dohn
bacteria	bakterî
bacterial	bacterial
bacterium	bacterium
bad	xerab
badass	xirab
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	nîşan
badger	xerîb
badhabit	NO TRANSLATION
badly	xirab
badness	xirab
baffle	şaşkirin
baffled	şaş kirin
bag	tûr
bagel	bagel
baggage	bar
baggie	baggie
baggy	gûpbûyî
bagman	bagman
bagpipes	bagpipes
bail	berdêlk
bailiff	xulama dadgehê
bait	xûp
bake	birajtin
bakery	birajtegeh
baking	balkêş
bal	NO TRANSLATION
balance	bîlanço
balanced	dûr
balcony	balkon
bald	rût
balding	balding
baldy	baldyeyê
bale	bale
balk	balk
ball	gog
ballad	ballad
ballast	qalikê
ballerina	danskar
ballet	ballet
ballgame	ballgame
ballistic	balîstîk
ballistics	balkêş
balloon	balon
ballot	helbijartina veşartî
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	balafir
ballsy	balkêş
balm	balm
balmy	balyûm
balsam	balsam
balsamic	balsamîk
bam	bam
bamboo	saz
ban	NO TRANSLATION
banana	mûz
band	koma
bandage	paçê birînpêçanê
bandanna	NO TRANSLATION
bandit	şêlevanê
bandstand	bandstand
bandwagon	bandwagon
bandwidth	bandwidth
bane	bane
bang	bang
banger	banger
banish	jicihkirin
banished	qedexekirin
banishment	destûr
banister	banister
banjo	banjo
bank	banke
banker	bankevan
banking	banking
bankroll	bankal
bankrupt	deyndar
bankruptcy	îflas
banner	banner
banquet	banqet
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	waftîz
baptismal	imadkar im
baptize	waftîzkirin
bar	bar
barb	barb
barbarian	bejî
barbaric	bejîtî
barbarism	barbarîzmê
barbecue	barbecue
barbed	barbed
barber	pûrtkûrkirê
barbershop	barbershop
barbie doll	doll bikini
bard	bard
bare	tazî
bareback	bareback
barefoot	pêxwas
barely	wekî tûne
barf	barf
bargain	kirrîna firsendî
bargaining	bargiraniyê
barge	barbilindker
baritone	baritone
barium	barium
bark	ewtînî
barkeep	barkeep
barks	barks
barley	ceh
barmaid	barmaid
barman	barman
barn	stewr
barnacle	barnacle
barney	barney
barnyard	barnyard
barometer	barometer
baron	baron
baroness	baroness
baroque	baroque
barrack	barrack
barracuda	barracuda
barrage	berxwedanê
barred	berbiçav
barrel	kûp
barren	bikêrnayê
barricade	berbirr
barrier	bend
barring	asteng
barrister	parêzvan
barroom	barok
barrow	berbiçav
bartender	sifrevan barê
