Word	tg
adjacent	наздик аст
adjective	Ситора
adjoining	баста
adjourn	таъхир
adjournment	таъхир
adjudicate	қарор дод
adjudication	додгоҳ
adjunct	тагйирёбанда
adjust	танзим кунед
adjuster	танзимкунанда
adjustment	тасниф
adjuvant	яклухт
admin	admin
administer	идора мекунанд
administration	маъмурият
administrative	маъмурӣ
administrator	мудир
admirable	шодбошӣ
admiral	фармуданд
admiralty	саломати
admiration	тааҷҷубовар
admire	тааҷҷубовар аст
admired	хандиданд
admirer	хандаовар
admiring	тааҷҷубовар аст
admissibility	қабул кардан
admissible	қабул карда шудааст
admission	қабул
admit	эътироф кунед
admittance	ворид шудан
admitted	эътироф кард
admitting	иқрор шудааст
admixture	Садо Ояндасоз
admonition	насиҳат
ado	Садо Ояндасоз
adobe	интегратсия
adolescence	наврасӣ
adolescent	наврасон
adopt	қабул кунед
adoption	қабул
adoptive	фарзандхондӣ
adorable	зебо
adoration	ҷашнвора
adore	шавқовар аст
adoring	Садо Ояндасоз
adorn	зебо
adornment	зебоӣ
adrenalin	adrenalin
adrenaline	adrenaline
adrift	суроға
adult	калонсолон
adulterated	сеҳрнок
adulterer	зинокор
adultery	зино
adulthood	зани ҳомила
advance	пешрафт
advanced	пешрафта
advancement	пешрафт
advancing	пешрафт
advantage	бартарӣ
advantageous	муфид
advent	баромадааст
adventure	макон
adventurer	ҳунарманд
adventures	ҳикояҳо
adventurous	зебо
adversary	зиддият
adverse	номусоид
adversity	душворӣ
advertise	эълон мекунанд
advertisement	реклама
advertising	реклама
adverts	эълонҳо
advice	маслиҳат
advisable	тавсия дода мешавад
advise	маслиҳат диҳед
advised	тавсия дода мешавад
advisement	маслиҳат
adviser	мушовир
advisor	мушовир
advisory	маслиҳат
advocacy	ҳимоя
advocate	ҳимоя кардан
aegis	aegis
aeration	дарахтон
aerial	МАКТАБ
aerobics	аэробика
aerodrome	аэродром
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	аэронетика
aeroplane	ҳавопаймо
aerospace	ҳавопаймо
aesthetic	эстетика
aesthetics	эстетика
aetiology	атеология
afar	данд
affable	изҳори миннатдорӣ кард
affair	кор
affect	таъсир мерасонад
affecting	таъсир мерасонад
affection	муҳаббат
affectionate	муҳаббат
affections	Дунёи иқтисод
affiche	NO TRANSLATION
affidavit	баёния
affiliated	алоқаманд аст
affiliation	ки
affinity	кист?
affirm	тасдиқ кунед
affirmation	тасдиқ карда мешавад
affirmative	тасдиқ карда шудааст
affirmatively	саъй мекунанд
affix	Илова бар ин,
afflict	азоб мекашанд
afflicted	азоб мекашид
affliction	азоб мекашанд
affluence	фаровонӣ
affluent	фаровон
afford	даст
affordable	дастрас аст
affront	бадбахтӣ
affronted	муқовимат
afield	дур
afire	данд
afloat	баста мешавад
afore	пештар
aforementioned	дар назар дошта шудааст
aforesaid	пешкаш карда шудааст
afraid	тарсед
afresh	нависед
african	Африқо
aft	данд
afterlife	пас аз марг
aftermath	пас аз он
afternoon	нисфирӯзӣ
aftershave	Бештар
aftertaste	баъд
afterthought	пас аз он
aga	NO TRANSLATION
agape	растаниҳо
agate	agate
age	синну сол
aged	сола
agency	agency
agenda	рӯзона
agent	агенти
agglomeration	agglomeration
aggravate	бадтар
aggravated	бадтар
aggravates	бадтар
aggravating	бадтар
aggravation	бадтар
aggregate	маҷмӯъ
aggregation	ҷамъоварӣ
aggresive	NO TRANSLATION
aggression	таҷовуз
aggressive	хашмгин
aggressively	аз ҳад зиёд
aggressiveness	хашмгин
aggressor	шиканҷа
agh	аҷ
aghast	шабоҳат
aghhh	NO TRANSLATION
agile	гиря
agility	вазнинӣ
aging	сола
agitate	шитобон
agitated	шадид
agitation	ташвишовар
aglow	заъиф
agnostic	агностик
ago	пештар
agonizing	бадбахтӣ
agony	бадбахтӣ
agoraphobia	agoraphobia
agree	розӣ аст
agreeable	розӣ аст
agreed	розӣ шуд
agreeing	розӣ аст
agreement	созишнома
agressive	NO TRANSLATION
agricultural	кишоварзӣ
agriculture	кишоварзӣ
aground	задааст
agua	NO TRANSLATION
ahead	пештар
ahhh	Ахмад
ahhhhhhhh	NO TRANSLATION
ahoy	ором
aid	кӯмак
aide	ёрдамчӣ
aiding	кӯмак кардан
aids	ёрӣ мерасонад
ail	оилавӣ
ailing	хоб
ailment	беморӣ
aim	мақсад
aimless	мақсаднок
air	ҳаво
airbag	пневматикӣ
airborne	ҳаво
aircraft	ҳавопаймо
aircraft carrier	интиқолдиҳанда
airfield	ҳавоӣ
airhead	ҳаво
airlift	ҳавопаймо
airline	авиатсионӣ
airliner	ҳавопаймо
airlock	клок
airman	airman
airplane	ҳавопаймо
airport	аэропорт
airs	ҳаво
airship	ҳаво
airspace	ҳаво
airspeed	airspeed
airstrip	ҳаво
airtight	airtight
airway	ҳаво
aisle	радда
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	хеш
alabaster	alabaster
alarm	ҳушдор
alarm clock	соати зангдор
alarmed	хавотир
alarming	ҳаяҷоновар
alas	huh?
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	албом
alchemy	алчазоир
alcohol	спиртӣ
alcoholic	спиртӣ
alcoholism	alcoholism
alcove	Албоя
alderman	Алдерман
ale	NO TRANSLATION
alert	ҳушдор
alertness	ҳушёрӣ
alerts	огоҳ аст
alfalfa	alphalfa
algebra	алгебра
algebraic	алгебра
algorithm	Алгоритм
alias	алис
alibi	Алиби
alien	бегона
alienate	бегона кардан
alienated	бегона шуд
alienation	бегона кардан
alight	аллергия
align	мутобиқ кунед
aligned	мутобиқ карда шудааст
alignment	ҳамоҳангӣ
alike	Ҳамин тавр
alimentation	NO TRANSLATION
alimony	алимент
aliquot	алистот
alive	зинда аст
alkali	alkali
alkaloids	alkaloids
allay	Ҳамин тавр
allegation	даъво
allege	изҳор мекунанд
alleged	гуфт
allegiance	собит
allegorical	шубҳаовар
allegory	шаҳодат медиҳад
allegro	Садо Ояндасоз
allergic	аллергия
allergy	аллергия
alleviate	табдил додан
alleviation	табъиз
alley	ҳама
alleyway	ҳама
alliance	иттифоқ
allied	иттифоқ афтод
alligator	аллигатор
allocate	ҷудо кардан
allocation	ҷудо кардан
allot	Тақвим
allotment	тақвият
allow	иҷозат диҳед
allowable	имконпазир аст
allowance	кӯмакпулиҳо
allowed	иҷозат дода шудааст
alloy	алюминий
allsmiles	NO TRANSLATION
allure	ҳама
alluring	интегратсия
allusion	Бештар
alluvial	аллергия
ally	иттифоқ
almanac	Алмаато
almighty	Қудратов
almond	бодом
aloft	алоф
aloha	Алоха
alone	танҳо
alongside	дар баробари
aloof	хомӯш
aloud	овози баланд
alpha	alpha
alphabet	алифбо
alphabetical	alphabetical
alpine	alpine
alreadyyyyy	алейкум
altar	қурбонгоҳ
altar boy	писарчӯб
alter	тағйир додан
alteration	тағйир додан
altercation	аллергӣ
altered	тағйир ёфт
alternate	алтернативӣ
alternating	алтернативӣ
alternative	алтернативӣ
altimeter	зериметр
altitude	баландӣ
alto	ало
altogether	Ҳамин тавр
aluminum	алюминий
alumnus	тирамоҳ
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	амалг
amalgamation	ҳамоҳангӣ
amaretto	Амарка
amass	амаз
amateur	ҳавасманд
amaze	ҳайратовар
amazed	ҳайратовар аст
amazedness	NO TRANSLATION
amazement	тааҷҷубовар
amazing	аҷиб
amazingly	аҷиб аст
ambassador	сафир
amber	амбер
ambience	ором
ambient	муҳити зист
ambiguity	ғайриоддӣ
ambiguous	нодуруст
ambit	данд
ambition	ихтироъ
ambitious	ҳунармандона
ambivalent	ногаҳон
ambrosia	амбросия
ambulance	амбулаторӣ
ambush	гуруснагӣ
ameliorate	такмили ихтисос
amen	амин
amenable	тасаввур кунед
amend	ислоҳ кунед
amendment	ислоҳ
amends	исбот мекунад
amenity	бофтан
amethyst	аметист
amiable	бомуваффақият
amicable	мусбат
amid	дар айни ҳол
amidst	дар ҳоли ҳозир
amino	amino
ammo	аммо
ammonia	аммиак
ammonium	аммоний
ammunition	лавҳа
amnesia	amnesia
amnesty	авф
amorous	Ойини мадоро
amorphous	амволӣ
amortization	амортизатсия
amount	миқдор
amour	NO TRANSLATION
amp	амп
ampersand	амплитуда
amphetamines	амфетаминҳо
amphibian	амфибия
amphibious	амфикӣ
amphitheater	амфитеатр
ample	кофӣ аст
amplification	амплитуда
amplify	баланд бардоред
amplitude	амплитуда
amply	амин
amputate	ампират
amputation	узвият
amuck	хомӯш мекунанд
amulet	Амулет
amuse	бедор бошед
amused	хонданд
amusement	истироҳат
amusing	истироҳат
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	эстетикӣ
anagram	анаграмма
anal	анал
analgesic	ангурпарварӣ
analogous	монанд
analogue	аналогӣ
analogy	аналогӣ
analysis	таҳлил
analyst	таҳлилгар
analytic	таҳлилӣ
analytical	таҳлилӣ
analyze	таҳлил кунед
analyzer	таҳлилгар
anaphylactic	Анафилактик
anarchism	анархия
anarchist	анархист
anarchy	anarchy
anastomosis	анастомия
anathema	антирема
anatomic	анатомия
anatomy	анатомия
ancestor	падари
ancestral	падарон
ancestry	оилавӣ
anchor	чарх
anchorage	мелодӣ
ancient	қадим
ancillary	ёрирасон
androgen	ваrrogen
android	андроид
anecdote	"Садо Меҳмони ""Озодӣ"""
anemia	камхунӣ
anemic	анемӣ
anemone	якум
anesthesia	anesthesia
anesthesiologist	анестиолог
anesthetic	эстетикӣ
aneurysm	анэурисм
anew	нав
angel	фаришта
angelic	фаришта
anger	хашм
angered	хашмгин
angermanagement	NO TRANSLATION
angina	angina
angiogram	анкеографӣ
angiography	ангиография
angle	кунҷӣ
angling	фарогирӣ
angora	angora
angriest	angriest
angry	хашмгин
angrytweet	NO TRANSLATION
angst	эст
anguish	хавотир
anguished	хафа шуд
angular	angular
anhydrous	обхезӣ
animal	ҳайвон
animate	аниматсия
animated	аниматсия
animation	аниматсия
animosity	шубҳанок
animus	анимат
ankle	ангуштарин
anklet	Анклет
annals	вироиш
annex	Замима
annexation	замима карда мешавад
annexe	NO TRANSLATION
annihilate	нобуд созед
annihilated	нестанд
annihilation	нест кардан
anniversary	сола
annotate	шарҳ диҳед
annotation	шарҳ додан
announce	эълон кунед
announcement	эълон
announcer	эълон кардан
annoy	хафа нашавед
annoyance	шадид
annoyed	азият мекашад
annoyin	NO TRANSLATION
annoying	азият мекашанд
annoys	хомӯшӣ
annual	солона
annuity	солона
annul	бекор карда шавад
annular	якҷоя
annulment	бекор карда шудааст
annulus	бекор карда шудааст
anointed	тадҳиншудагон
anointing	тадҳиншуда
anomalous	аномалӣ
anomaly	аномалия
anon	Анон
anonymity	номуайянӣ
anonymous	номаълум
anorexic	анор
answer	ҷавоб
answerable	ҷавоб
answering	ҷавоб дод
ant	анти
antagonism	зиддият
antagonist	антенистор
antagonistic	зиддият
antagonize	антенаизм
ante	NO TRANSLATION
antecedent	анъанавӣ
antelope	антофа
antenna	антена
anterior	аноним
anthem	гимн
anthill	антена
anthology	Антология
anthrax	эмкунӣ
anthropological	антропологӣ
anthropologist	антрополог
anthropology	антропология
anti	зидди
antiaircraft	antiaircraft
antibiotic	антибиотик
antibiotics	антибиотикҳо
antichrist	зиддият
anticipate	пешгӯиҳо
anticipation	пешгӯӣ кардан
anticipatory	пешгўӣ
antics	NO TRANSLATION
antidote	зиддият
antifungal	antifungal
antigravity	зиддият
antimony	анимони
antipathy	antipathy
antiquarian	анастасия
antiquated	пешакӣ
antique	антиқа
antiques	антикҳо
antiquity	қадимтарин
antiseptic	антисептика
antisocial	зиддият
antithesis	зиддият
antithetical	антитикӣ
antiviral	антибиотик
antler	Антилер
antsy	хашмгин
anus	анус
anvil	Анвил
anxiety	ташвиш
anxietyattack	NO TRANSLATION
anxious	ташвиш
anxiousness	ташвишовар
anytime	ҳар вақт
aorta	aorta
aortic	aortic
apace	хандид
apache	apache
apartment	истиқомат
apartments	ҳуҷраҳо
apathetic	истисмор
apathy	афсӯс
ape	аҷиб
aperture	тиреза
apex	хонданд
aphid	aphid
aphrodisiac	aphrodisiac
apiece	як порча
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	гувоҳ аст
apologist	хушунат
apologize	гувоҳ аст
apology	Озмоиш
apostasy	мастӣ
apostate	Мастер
apostle	ҳавворӣ
apostolic	Апостол
apostrophe	данд
apothecary	Садо Ояндасоз
appalled	шодам
appalling	шубҳанок
apparatus	дастгоҳ
apparel	либос
apparent	равшан аст
apparently	албатта
apparition	ШАҲРИ КӮЛОБ
appeal	шикоят
appear	пайдо мешавад
appearance	намуди зоҳирӣ
appease	лутфан
appellant	шикоят
append	замима карда мешавад
appendage	appendage
appendectomy	appendectomy
appendicitis	appendicitis
appendix	замима
appetite	иштиҳо
appetizer	appetizer
appetizing	appetizing
applaud	шодбошӣ кунед
applause	шодбошӣ
apple	себ
apple juice	афшураи себ
applejack	applejack
applesauce	себ
appliance	таҷҳизот
appliances	таҷҳизот
applicability	татбиқшаванда
applicable	истифода бурда мешавад
applicant	дархосткунанда
application	ариза
apply	истифода баред
appoint	таъин кунед
appointment	таъинот
appointments	таъинотҳо
apportion	тақсимкунӣ
apportionment	тақсимкунӣ
appraisal	арзёбӣ мекунанд
appraise	таҳлил
appreciable	шохис
appreciate	ҷолиб
appreciated	изҳори сипос намуд
appreciates	ҷолиб аст
appreciation	шукргузорӣ
appreciative	шукргузорӣ
apprehend	дастгир карда шудааст
apprehension	дастгиршуда
apprehensive	тааҷҷубовар аст
apprentice	омўзгор
apprenticeship	шаффофият
approach	муносибат
approaching	ба наздикӣ
approbate	NO TRANSLATION
approbation	тасдиќ кардан
appropriate	мувофиқ аст
appropriation	ҷудо карда мешавад
approval	тасдиқ
approve	тасдиқ кунед
approved	тасдиқ шудааст
approvement	тасдиқ карда мешавад
approving	тасдиқ карда мешавад
approximate	тахминан
approximately	тахминан
approximating	тахминан
approximation	тахминӣ
appurtenances	дубора
apricot	зардолу
apron	пешрафт
apt	данд
aptitude	малака
aqua	aqua
aquamarine	aquamarine
aquarium	аквариум
aquatic	Обид
aqueduct	обхезӣ
aqueous	обхезӣ
arable	корношоям
arbiter	"Озодӣ """
arbitrary	худсарона
arbitrate	арабӣ
arbitration	арбитраж
arbitrator	ҳакамӣ
arbor	арвоҳ
arc	Арк
arcade	аркада
arcane	аркан
arch	данд
archaeological	археологи
archaeologist	археолог
archaeology	археология
archaic	арача
archangel	сарвар
archbishop	архив
archdiocese	архитектура
archduke	Аркадий
arched	арабӣ
archer	артиш
archery	округ
archetype	забони арабӣ
archipelago	Ҷаҳиш ба: новбари, Ҷустуҷӯи
architect	архитектор
architectural	меъморӣ
architecture	меъморӣ
archive	архив
arctic	арктика
ardent	сатил
ardor	бозгашт
arduous	заъиф
area	минтақаи
arena	Арена
areola	астанд
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	арғ
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	баҳс мекунанд
argument	баҳс
argumentation	мубоҳиса
argumentative	мубоҳисавӣ
arguments	далелҳо
arid	хушк шудааст
arise	бархезед
aristocracy	аристократӣ
aristocrat	Аристократ
aristocratic	аристократӣ
arithmetic	арифметикӣ
ark	киштӣ
arm	ранд
armada	Армандо
armament	"Озодӣ """
armaments	орд
armature	арматур
armchair	қолинбофӣ
armed	силоҳ
armor	зӯр
armored	зиреҳпӯш
armory	силоҳ
armpit	ангишт
arms	силоҳҳо
army	артиш
aroma	накҳати
aromatherapy	ароматика
arousal	хавфнок
arouse	ором
aroused	бедор шуд
arraignment	ҷубронпулӣ
arrange	ташкил кунед
arranged	ташкил карда шудааст
arrangement	созишнома
array	асал
arrears	қарзҳо
arrest	боздошт
arrhythmia	arrhythmia
arrival	омадед
arrive	биёед
arrogance	ҷуръат
arrogant	фаровонӣ
arrow	arrow
arsehole	арсенал
arseholes	арсеналҳо
arsenal	Арсенал
arsenic	Арсений
arson	сӯхтор
arsonist	сӯхтор
art	санъат
arterial	артериявӣ
artery	артерия
artful	зебо
arthritis	артрит
arthropod	Артропод
artichoke	ангенор
article	мақола
articles	мақолаҳо
articulate	данд
articulation	данд
artifact	асал
artifice	арифметикӣ
artificial	сунъӣ
artillery	артиллерия
artisan	санъаткор
artist	рассом
artiste	NO TRANSLATION
artistic	санъат
artistry	санъат
artists	рассомон
artwork	санъат
arty	Бештар
asap	ҳар чи зудтар
asbestos	Асбобҳо
ascend	бача
ascendancy	сарлавҳа
ascendant	сархат
ascending	боло рафтанд
ascension	эҳё
ascent	арҷгузорӣ
ascertain	муайян карда мешавад
ascertained	муайян карда мешавад
ascetic	ассистент
ash	кл
ashamed	шарм дорад
ashes	хокистар
ashtray	офтоб
asinine	Асинин
ask	пурсед
asleeep	NO TRANSLATION
asleep	хоб
asp	asp
asparagus	сарсабил ё морҷӯба
aspartame	aspartame
aspect	ҷанин
aspects	ҷанбаҳо
aspen	aspen
asphalt	асфалт
asphyxia	asphyxia
asphyxiation	асфалтӣ
aspiration	aspiration
aspire	орзу дорам
aspirin	аспирин
aspiring	орзу
ass	данд
assail	қаллобӣ
assailant	кушташудагон
assassin	куштор
assassinate	куштор
assassination	куштор
assault	ҳамла
assay	санҷида мешавад
assemblage	ҷамъ
assemble	ҷамъ кунед
assembled	ҷамъ оварданд
assembly	ҷамъомад
assemblyman	ҳамкорон
assent	тасдиқ карда мешавад
assert	таъкид мекунанд
asserting	таъкид мекунанд
assertion	эътироф
assertive	эътироф
assess	арзёбӣ кунед
assessment	арзёбӣ
assessor	арзёбӣ
asset	дороиҳо
assets	дороиҳо
asshole	Аҳмақ
assign	таъйин кунед
assignee	супориш
assignment	супориш
assimilate	ассимилятсия
assimilation	ассимилятсия
assist	кӯмак кунед
assistance	кӯмак мекунад
assistant	ёрдамчӣ
associate	шарик
association	ассотсиатсия
assorted	гуногун
assortment	ассортимент
assuage	арзёбӣ кунед
assume	фикр кунед
assumed	ба назар мерасад
assuming	фармуданд
assumption	фарогирӣ
assurance	кафолат дода мешавад
assure	кафолат диҳед
assured	тасдиқ карда шудааст
assuredly	тасдиқ карда шудааст
asterisk	ситора
asteroid	астероид
asteroids	Астрономҳо
asthma	нафаскашӣ
asthmatic	нафаскашӣ
astigmatism	истиќлолият
astonish	ҳайратовар аст
astonished	ҳайратовар аст
astonishing	ҳайратовар аст
astonishingly	NO TRANSLATION
astonishment	тааҷҷубовар
astound	шубҳанок
astral	astral
astray	гумроҳӣ
astringent	astringent
astrologer	astrologer
astrology	астрология
astronaut	astronaut
astronomer	астрономия
astronomical	astronomical
astronomy	астрономия
astute	шубҳанок
asunder	фаромӯш накунед
asylum	паноҳгоҳ
asymmetric	асимметрӣ
asymmetry	асимметрӣ
asymptotic	asymptotic
atelier	аъло
atheism	атеизм
atheist	атеист
atheistic	атеистӣ
atherosclerosis	atherosclerosis
athlete	варзишгар
athletic	варзишӣ
athleticism	варзишгарӣ
athletics	варзиш
atlas	Атлас
atmosphere	атмосфера
atmospheric	атмосфера
atoll	дар аттестатсия
atom	Атом
atomic	атом
atone	партофта мешавад
atonement	кафорат
atpeace	Атлетика
atrium	даромум
atrocious	золимона
atrocity	золимона
atrophy	дарофагӣ
attach	замима кунед
attached	пайваст карда шудааст
attachment	замима
attack	ҳамла
attacker	ҳамлагар
attacking	ҳамла
attain	ба даст овардан
attainable	дастрас аст
attainment	ба даст овардан
attempt	кӯшиш кунед
attempted	кӯшиш кард
attend	иштирок мекунанд
attendance	иштирок
attendant	хизматчӣ
attention	диққат
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	бодиққат
attenuate	зада истодааст
attenuated	хавфнок
attenuation	сустшавии
attest	тасдиқ кунед
attestation	бақайдгирӣ
attic	болотар
attire	либос
attitude	муносибат
attorney	адвокат
attract	ҷалб кардан
attraction	ҷалби
attractive	ҷолиб
attractiveness	ҷолиб
attributable	истинод
attribute	хусусият
attribution	шарҳ дода шудааст
attrition	пинҳон кардан
auburn	auburn
auction	музояда
auctioneer	музояда
audacious	аудитор
audacity	аудит
audible	аудио
audience	шунавандагон
audio	аудиоӣ
audit	аудит
audition	аудит
auditions	аудитҳо
auditor	аудитор
auditorium	аудитор
auditory	аудит
aught	Бештар
augment	афзоиш
augmentation	афзоиш
august	август
aunt	падар
auntie	auntie
aura	aura
aurora	aurora
auspices	ҳабсхонаҳо
auspicious	хавотир
austere	банд
austerity	сустӣ
authentic	аслӣ
authenticate	тасдиқ кунед
authentication	authentication
authenticity	ҳақиқӣ
author	муаллиф
authoritative	мақомот
authority	ҳокимият
authorization	иҷозатнома
authorize	иҷозат диҳед
authorized	иҷозат дода шудааст
authorship	муаллиф
autism	autism
autistic	оптикӣ
auto	мошин
autobiographical	автобусрия
autobiography	автобусография
autocorrect	autocorrect
autocratic	autocratic
autograph	автограф
autographed	автоматӣ
automated	автоматӣ
automatic	автоматӣ
automobile	мошин
automotive	мошин
autonomy	мустақилият
autopilot	автопилот
autopsy	худкор
autumn	тирамоҳӣ
auxiliary	ёрирасон
avail	ба даст овардан
availability	дастрас аст
available	дастрас аст
avalanche	тармафароӣ
avarice	харита
avatar	Аватар
avenge	Аваз
avenger	Авангард
avenging	барҳам мехӯрад
avenue	харита
aver	NO TRANSLATION
average	миёнаи умумӣ
aversation	NO TRANSLATION
averse	аз қафо
averseness	NO TRANSLATION
aversion	аз қафо
avert	барҳам диҳед
aviary	aviary
aviation	авиация
aviator	aviator
avid	Авав
avocado	авакадо
avoid	пешгирӣ кунед
avoidance	пешгирӣ
avoiding	аз пешгирӣ
await	интизор шавед
awake	бедор бошед
awaken	бедор шавед
awakening	бедор шудан
award	мукофот
awards	мукофотҳо
aware	огоҳ аст
awareness	огоҳӣ
awe	NO TRANSLATION
awed	хандид
awesome	хушбахт
awesomeness	хурсандӣ
awestruck	аҷиб
awful	бад
awkward	хоб
awkwardness	қудрати
awning	Анна
awry	ханд
axe	қафо
axial	фишор
axiom	axiom
axiomatic	axiomatic
axis	тиреза
axle	қубур
ay	моҳ
aye	моҳ
azimuth	Азимут
azure	камер
babble	лаббай
babbling	библинг
babe	бача
baboon	коба
baby	кӯдак
babysit	кӯдакбӯри асал
babysitter	бачагон
baccalaureate	блокалаулятсия
baccarat	Бастар
bachelor	бакалавр
bachelorette	бакалавр
back	бозгашт
backboard	пушти сар
backbone	радикал
backdoor	дар пушт
backdrop	пушти сар
backer	пуштибонӣ мекунанд
backfire	бозгашт
backgammon	пушти сар
background	background
backhand	backhand
backhoe	пуштибонӣ мекунанд
backoff	бозгашт
backpack	пушти сар
backpacker	backpacker
backroom	пушти сар
backseat	пушти сар
