Word	zu
adjunct	ukulungiswa
adjust	lungisa
adjuster	i-adjuster
adjustment	ukulungiswa
adjuvant	adjuvant
admin	umphathi
administer	ukuphatha
administration	ukuphathwa
administrative	ukuphatha
administrator	umlawuli
admirable	admirable
admiral	ukuhlonipha
admiralty	i-admiralty
admiration	ukubonga
admire	ngiyakubonga
admired	uyathandwa
admirer	uyamthanda
admiring	ngiyakubonga
admissibility	ukuvuma
admissible	ivumelekile
admission	ukungena
admit	vuma
admittance	ukuvuma
admitted	avunyelwe
admitting	uyavuma
admixture	ukuhlanganiswa
admonition	iseluleko
ado	i-ado
adobe	i-adobe
adolescence	ukukhula
adolescent	osemusha
adopt	ukwamukela
adoption	ukwamukelwa
adoptive	ukwamukela
adorable	okujabulisayo
adoration	ukukhuleka
adore	ukuthanda
adoring	ukuncoma
adorn	ukuhlobisa
adornment	ukuhlobisa
adrenalin	i-adrenalin
adrenaline	i-adrenaline
adrift	adrift
adult	umuntu omdala
adulterated	ukuphinga
adulterer	umphingi
adultery	ukuphinga
adulthood	umuntu omdala
advance	phambili
advanced	ithuthukile
advancement	ukuthuthuka
advancing	ukuqhubeka
advantage	inzuzo
advantageous	inzuzo
advent	ukuza
adventure	i-adventure
adventurer	umshayeli
adventures	izintandokazi
adventurous	okuzenzekelayo
adversary	isitha
adverse	okubi
adversity	ukuhlupheka
advertise	khangisa
advertisement	isikhangiso
advertising	ukukhangisa
adverts	izikhangiso
advice	iseluleko
advisable	kuhlelwe
advise	ukweluleka
advised	welulekwa
advisement	yeluleka
adviser	umeluleki
advisor	umeluleki
advisory	ukululekwa
advocacy	ukukhuthaza
advocate	khuthaza
aegis	aegis
aeration	i-aeration
aerial	insimbi
aerobics	i-aerobics
aerodrome	i-aerodrome
aerodynamic	aerodynamic
aerodynamics	i-aerodynamics
aeronautics	aeronautics
aeroplane	indiza
aerospace	i-aerospace
aesthetic	ubuhle
aesthetics	i-aesthetics
aetiology	i-etiology
afar	kude
affable	kungathinteka
affair	indaba
affect	kuthinta
affecting	okuthinta
affection	uthando
affectionate	uthando
affections	ukuthandwa
affiche	NO TRANSLATION
affidavit	i-afidavithi
affiliated	ehlangene
affiliation	ukubambisana
affinity	ukusondelana
affirm	qinisekisa
affirmation	ukuqinisekiswa
affirmative	okuqinisekisiwe
affirmatively	ngokuqinisekisayo
affix	kufakwa
afflict	ukuhlupha
afflicted	uhluphekile
affliction	ukuhlupheka
affluence	ukuthatha
affluent	enamandla
afford	ukuthenga
affordable	ezingabizi
affront	ukuhlukunyezwa
affronted	ukuhlukunyezwa
afield	endaweni
afire	ukushisa
afloat	i-afloat
afore	afore
aforementioned	okushiwo ngenhla
aforesaid	okushiwo ngaphambili
afraid	esaba
afresh	kabusha
african	i-african
aft	aft
afterlife	emva kokufa
aftermath	ngemuva
afternoon	ntambama
aftershave	ngemuva kwalokho
aftertaste	i-aftertaste
afterthought	ngemuva kokulandela
aga	NO TRANSLATION
agape	agape
agate	i-agate
age	ubudala
aged	asebekhulile
agency	i-agency
agenda	ajenda
agent	i-agent
agglomeration	ukuhlukumeza
aggravate	kuthuthukisiwe
aggravated	ihlukumezekile
aggravates	kukhula
aggravating	ukuhlukumeza
aggravation	ukuhlukumezeka
aggregate	uhlanganiso
aggregation	i-aggregation
aggresive	NO TRANSLATION
aggression	ukuhlukunyezwa
aggressive	ulaka
aggressively	ngokuhlukumeza
aggressiveness	ukuhlukumezeka
aggressor	u-aggressor
agh	agh
aghast	ukhululekile
aghhh	NO TRANSLATION
agile	sishaye
agility	ukufaneleka
aging	ukuguga
agitate	agitate
agitated	wavutha
agitation	ukukhathazeka
aglow	ukuvutha
agnostic	i-agnostic
ago	edlule
agonizing	ibuhlungu
agony	ubuhlungu
agoraphobia	agoraphobia
agree	vumelana
agreeable	uyavuma
agreed	kuvunyelwene
agreeing	uyavuma
agreement	isivumelwano
agressive	NO TRANSLATION
agricultural	ezolimo
agriculture	ezolimo
aground	phansi
agua	NO TRANSLATION
ahead	phambili
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	usizo
aide	umsizi
aiding	ukusiza
aids	izinsiza
ail	konke
ailing	ukugula
ailment	ukugula
aim	umgomo
aimless	okungenhloso
air	umoya
airbag	i-airbag
airborne	ivela emoyeni
aircraft	izindiza
aircraft carrier	othwala izindiza
airfield	ibhanoyi
airhead	i-airhead
airlift	i-airlift
airline	izindiza
airliner	indiza
airlock	i-airlock
airman	umoya womoya
airplane	indiza
airport	sezindiza
airs	umoya
airship	i-airship
airspace	i-airspace
airspeed	emoyeni
airstrip	i-airstrip
airtight	kungenwe umoya
airway	ukuhamba emoyeni
aisle	Indawo yezinto
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	ngokufanayo
alabaster	i-alabaster
alarm	i-alamu
alarm clock	iwashi eline alamu
alarmed	eshaqile
alarming	eshaqisayo
alas	i-alas
alb	NO TRANSLATION
albatross	i-albatross
albino	albino
album	i-albhamu
alchemy	alchemy
alcohol	utshwala
alcoholic	utshwala
alcoholism	utshwala
alcove	i-alcove
alderman	alderman
ale	NO TRANSLATION
alert	uqaphile
alertness	ukuqapha
alerts	izaziso
alfalfa	alfalfa
algebra	i-algebra
algebraic	algebraic
algorithm	i-algorithm
alias	alias
alibi	alibi
alien	alien
alienate	hlukanisa
alienated	ohlukanisiwe
alienation	ukuhlukaniswa
alight	kuphelile
align	ukuvumelanisa
aligned	ihambisana
alignment	ukuqondanisa
alike	ngokufanayo
alimentation	NO TRANSLATION
alimony	i-alimony
aliquot	i-aliquot
alive	ephila
alkali	alkali
alkaloids	alkaloids
allay	londoloza
allegation	icala
allege	zithi
alleged	usolwa
allegiance	ukuthembeka
allegorical	ngephutha
allegory	i-allegory
allegro	allegro
allergic	i-allergic
allergy	ukungezwani komzimba
alleviate	ukunciphisa
alleviation	ukunciphisa
alley	indawo
alleyway	emgwaqeni
alliance	ukusebenzisana
allied	ihlangene
alligator	i-alligator
allocate	ukwabiwa
allocation	isabelo
allot	allot
allotment	isabelo
allow	vumela
allowable	kuvunyelwe
allowance	isabelo
allowed	kuvunyelwe
alloy	i-alloy
allsmiles	NO TRANSLATION
allure	ukukhishwa
alluring	ukuphoqa
allusion	ukukhuluma
alluvial	konke
ally	umlingani
almanac	i-almanac
almighty	unamandla onke
almond	i-almond
aloft	aloft
aloha	aloha
alone	yedwa
alongside	eceleni
aloof	i-aloof
aloud	ngokuzwakalayo
alpha	i-alpha
alphabet	alfabhethi
alphabetical	i-alfabhethi
alpine	alpine
alreadyyyyy	kakade
altar	i-altare
altar boy	umfana we-altare
alter	guqula
alteration	ukuguqulwa
altercation	ukuguqulwa
altered	iguquliwe
alternate	okunye
alternating	ukushintsha
alternative	okunye
altimeter	i-altimeter
altitude	ukuphakama
alto	alto
altogether	ngokuphelele
aluminum	aluminium
alumnus	i-alumnus
alveolar	i-alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	ukuhlanganiswa
amaretto	amaretto
amass	funa
amateur	amateur
amaze	mangaza
amazed	bamangala
amazedness	NO TRANSLATION
amazement	ukumangala
amazing	amazing
amazingly	ngokumangalisayo
ambassador	unxusa
amber	amber
ambience	ambience
ambient	i-ambient
ambiguity	ukungaboni kahle
ambiguous	okungaqondakali
ambit	ambit
ambition	izifiso
ambitious	ambitious
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	i-ambulensi
ambush	baqamekele
ameliorate	ukuvuselela
amen	amen
amenable	ungenakho
amend	ukuchibiyela
amendment	ukuchitshiyelwa
amends	ulungisa
amenity	ubuhle
amethyst	amethyst
amiable	unomusa
amicable	enokuthula
amid	phakathi
amidst	phakathi
amino	amino
ammo	ammo
ammonia	ammonia
ammonium	ammonium
ammunition	izinhlamvu
amnesia	amnesia
amnesty	ukuxolelwa
amorous	amorous
amorphous	amorphous
amortization	amortization
amount	inani
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	i-amphitheatre
ample	okuphelele
amplification	ukukhuliswa
amplify	ukukhulisa
amplitude	amplitude
amply	kakhulu
amputate	ukuphawula
amputation	ukukhishwa
amuck	amuck
amulet	i-amulet
amuse	sebenzisa
amused	amused
amusement	ukuzijabulisa
amusing	ukuhlekisa
ana	NO TRANSLATION
anaconda	i-anaconda
anaesthesia	i-anesthesia
anaesthetic	i-anesthetic
anagram	anagram
anal	anal
analgesic	i-analgesic
analogous	okufanayo
analogue	i-analogue
analogy	ukufanisa
analysis	ukuhlaziywa
analyst	umhlaziyi
analytic	i-analytic
analytical	ukuhlaziya
analyze	hlaziya
analyzer	i-analyzer
anaphylactic	i-anaphylactic
anarchism	i-anarchism
anarchist	i-anarchist
anarchy	i-anarchy
anastomosis	i-anastomosis
anathema	anathema
anatomic	i-anatomic
anatomy	i-anatomy
ancestor	ukhokho
ancestral	ukhokho
ancestry	okhokho
anchor	ihange
anchorage	i-anchorage
ancient	yasendulo
ancillary	ancillary
androgen	androgen
android	Android
anecdote	i-anecdote
anemia	i-anemia
anemic	i-anemic
anemone	i-anemone
anesthesia	i-anesthesia
anesthesiologist	i-anesthesiologist
anesthetic	i-anesthetic
aneurysm	aneurysm
anew	kabusha
angel	ingelosi
angelic	izingelosi
anger	intukuthelo
angered	uthukuthele
angermanagement	NO TRANSLATION
angina	angina
angiogram	i-angiogram
angiography	i-angiography
angle	i-angle
angling	i-angling
angora	angora
angriest	ukuthukuthela
angry	uthukuthele
angrytweet	NO TRANSLATION
angst	angst
anguish	usizi
anguished	ukukhathazeka
angular	i-angular
anhydrous	anhydrous
animal	isilwane
animate	animate
animated	izithombe
animation	izithombe
animosity	inzondo
animus	animus
ankle	i-ankle
anklet	i-anklet
annals	ubika
annex	isithasiselo
annexation	ukunxusa
annexe	NO TRANSLATION
annihilate	ukubhubhisa
annihilated	ukubhujiswa
annihilation	ukubhujiswa
anniversary	usuku lokukhumbula
annotate	chaza
annotation	isichasiselo
announce	umemezele
announcement	isimemezelo
announcer	ummemezeli
annoy	ukucasula
annoyance	ukucasula
annoyed	ucasuliwe
annoyin	NO TRANSLATION
annoying	ecasulayo
annoys	ucasula
annual	ngonyaka
annuity	i-annuity
annul	susa
annular	annular
annulment	ukususwa
annulus	i-annulus
anointed	agcotshiwe
anointing	ukugcoba
anomalous	i-anomalous
anomaly	i-anomaly
anon	i-anon
anonymity	ukungaziwa
anonymous	engaziwa
anorexic	i-anorexic
answer	impendulo
answerable	iphendule
answering	ukuphendula
ant	ant
antagonism	ukuphikisana
antagonist	umphikisi
antagonistic	ukuphikisa
antagonize	ukuphikisa
ante	NO TRANSLATION
antecedent	i-antecedent
antelope	i-antelope
antenna	i-antenna
anterior	anterior
anthem	iculo
anthill	i-anthill
anthology	i-anthology
anthrax	i-anthrax
anthropological	i-anthropological
anthropologist	i-anthropologist
anthropology	i-anthropology
anti	anti
antiaircraft	i-antiaircraft
antibiotic	i-antibiotic
antibiotics	ama-antibiotics
antichrist	umphik'ukristu
anticipate	lindele
anticipation	ukulindela
anticipatory	ukulindela
antics	NO TRANSLATION
antidote	antidote
antifungal	i-antifungal
antigravity	ukulwa nobugebengu
antimony	i-antimony
antipathy	ukungabi nandaba
antiquarian	antiquarian
antiquated	i-antiquated
antique	i-antique
antiques	antiques
antiquity	emandulo
antiseptic	antiseptic
antisocial	ukungabi namuntu
antithesis	ukuphikisa
antithetical	antithetical
antiviral	i-antiviral
antler	antler
antsy	i-antsy
anus	i-anus
anvil	ukuvota
anxiety	ukukhathazeka
anxietyattack	NO TRANSLATION
anxious	ukukhathazeka
anxiousness	ukukhathazeka
anytime	noma kunini
aorta	i-aorta
aortic	i-aortic
apace	i-apace
apache	i-apache
apartment	indlu
apartments	amafulethi
apathetic	abangenandaba
apathy	ukunganakwa
ape	i-ape
aperture	ukuvula
apex	ipepe
aphid	i-aphid
aphrodisiac	aphrodisiac
apiece	ucezu
aplomb	i-aplomb
apocalypse	Apocalypse
apocalyptic	i-apocalyptic
apologetic	ukuxolisa
apologist	umsolwa
apologize	xolisa
apology	ukuxolisa
apostasy	ukuhlubuka
apostate	isihlubuki
apostle	umphostoli
apostolic	abaphostoli
apostrophe	apostrophe
apothecary	i-apothecary
appalled	umangale
appalling	eshaqisayo
apparatus	izixhobo
apparel	isambatho
apparent	ngokusobala
apparently	ngokusobala
apparition	ukubonakala
appeal	isikhalazo
appear	zivele
appearance	ukubukeka
appease	sondeza
appellant	umfakisicelo
append	faka
appendage	ukwesekwa
appendectomy	i-appendectomy
appendicitis	ukufakwa kwe-appendicitis
appendix	isithasiselo
appetite	ukudla
appetizer	isikhalazo
appetizing	okujabulisayo
applaud	ukuhalalisa
applause	ihlombe
apple	i-apula
apple juice	i-apula ijusi
applejack	i-applejack
applesauce	i-applesauce
appliance	uhlelo lokusebenza
appliances	izinto zokusebenza
applicability	ukufaka isicelo
applicable	okusebenzayo
applicant	umfakisicelo
application	isicelo
apply	isicelo
appoint	khetha
appointment	ukuqashwa
appointments	ukuqashwa
apportion	ukwabiwa
apportionment	ukwabiwa
appraisal	ukuhlola
appraise	funda
appreciable	uyakwazisa
appreciate	bayakwazisa
appreciated	uyakwazisa
appreciates	uyakwazisa
appreciation	ukwazisa
appreciative	uyakwazisa
apprehend	thola
apprehension	ukukhathazeka
apprehensive	ukukhathazeka
apprentice	ufunde
apprenticeship	ukufundela
approach	sondela
approaching	sondela
approbate	NO TRANSLATION
approbation	ukuvunyelwa
appropriate	kufanelekile
appropriation	ukwabiwa
approval	kuvunyelwe
approve	vumela
approved	kuvunyelwe
approvement	ukwamukelwa
approving	ukuvuma
approximate	cishe
approximately	cishe
approximating	ukulinganisa
approximation	ukulinganisa
appurtenances	ukulungiswa
apricot	ibhilikosi
apron	apron
apt	kulungile
aptitude	ukufaneleka
aqua	aqua
aquamarine	i-aquamarine
aquarium	i-aquarium
aquatic	emanzini
aqueduct	amanzi
aqueous	aqueous
arable	i-arable
arbiter	i-arbiter
arbitrary	ukuphikisana
arbitrate	ukuphikisana
arbitration	ukuxabana
arbitrator	umlamuli
arbor	i-arbor
arc	i-arc
arcade	i-arcade
arcane	i-arcane
arch	umdwebo
archaeological	abavubukuli
archaeologist	umvubukuli
archaeology	ukuvubukula
archaic	i-archaic
archangel	ingelosi enkulu
archbishop	umbhishobhi omkhulu
archdiocese	i-archdiocese
archduke	i-archduke
arched	i-arched
archer	umcibisholo
archery	ukushaya umnsalo
archetype	i-archetype
archipelago	i-archipelago
architect	umakhi
architectural	izakhiwo
architecture	izakhiwo
archive	ingobo yomlando
arctic	i-arctic
ardent	i-ardent
ardor	ukuphazamiseka
arduous	okulukhuni
area	indawo
arena	isna
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	i-argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	phikisa
argument	ingxabano
argumentation	ukuphikisana
argumentative	ukuphikisana
arguments	izingxabano
arid	evulekile
arise	vuka
aristocracy	i-aristocracy
aristocrat	i-aristocrat
aristocratic	i-aristocratic
arithmetic	i-arithmetic
ark	umkhumbi
arm	ingalo
armada	armada
armament	izikhali
armaments	izikhali
armature	izibhamu
armchair	isihlalo somphefumulo
armed	ehlomile
armor	izikhali
armored	i-armored
armory	i-armory
armpit	phakamisa
arms	izingalo
army	ibutho
aroma	iphunga
aromatherapy	aromatherapy
arousal	kuvusa
arouse	vusa
aroused	kuvuswe
arraignment	ukuhlukunyezwa
arrange	hlela
arranged	kuhlelwe
arrangement	ilungiselelo
array	uhlu
arrears	emuva
arrest	ukuboshwa
arrhythmia	i-arrhythmia
arrival	ukufika
arrive	fika
arrogance	ukuzidla
arrogant	aziqhenya
arrow	umcibisholo
arsehole	i-arsehole
arseholes	i-arseholes
arsenal	i-arsenal
arsenic	i-arsenic
arson	umshini
arsonist	i-arsonist
art	ubuciko
arterial	ukuguqula
artery	umshini
artful	ubuciko
arthritis	i-arthritis
arthropod	i-arthropod
artichoke	i-artichoke
article	isihloko
articles	izihloko
articulate	ichaza
articulation	ukukhuluma
artifact	i-artifact
artifice	i-artifice
artificial	okufakelwayo
artillery	izikhali
artisan	i-artisan
artist	umculi
artiste	NO TRANSLATION
artistic	ubuciko
artistry	ubuciko
artists	abaculi
artwork	ubuciko
arty	i-arty
asap	asap
asbestos	i-asbestos
ascend	ukhuphuka
ascendancy	ukuphakama
ascendant	ascendant
ascending	ukhuphuka
ascension	ukukhuphuka
ascent	ukuphakama
ascertain	qinisekisa
ascertained	kuqinisekisiwe
ascetic	i-ascetic
ash	umlotha
ashamed	amahloni
ashes	umlotha
ashtray	ashtray
asinine	i-asinine
ask	cela
asleeep	NO TRANSLATION
asleep	ulele
asp	i-asp
asparagus	i-asparagus
aspartame	i-aspartame
aspect	isici
aspects	izici
aspen	aspen
asphalt	i-asphalt
asphyxia	i-asphyxia
asphyxiation	ukuphefumula
aspiration	isifiso
aspire	sifisa
aspirin	i-aspirin
aspiring	sifisa
ass	imbongolo
assail	ukushaya
assailant	ukuhlukumezeka
assassin	umbulali
assassinate	bulala
assassination	ukubulawa
assault	ukushaya
assay	isilingo
assemblage	ukuhlangana
assemble	hlangana
assembled	behlangene
assembly	umhlangano
assemblyman	umhlangano womhlangano
assent	vumela
assert	tshela
asserting	ukufakazela
assertion	ukufakazela
assertive	ukufakazela
assess	hlola
assessment	ukuhlolwa
assessor	umhloli
asset	impahla
assets	izimpahla
asshole	i-asshole
assign	wabela
assignee	assignee
assignment	isabelo
assimilate	faka
assimilation	ukufana
assist	ukusiza
assistance	usizo
assistant	umsizi
associate	umhlobo
association	inhlangano
assorted	ihambisana
assortment	i-assortment
assuage	ukukhishwa
assume	cabanga
assumed	kucatshangwa
assuming	ukucabanga
assumption	ukucabanga
assurance	isiqinisekiso
assure	qinisekisa
assured	uqiniseke
assuredly	ngokuqinisekile
asterisk	i-asterisk
asteroid	asteroid
asteroids	asteroids
asthma	i-asthma
asthmatic	i-asthmatic
astigmatism	astigmatism
astonish	mangala
astonished	wamangala
astonishing	emangalisa
astonishingly	NO TRANSLATION
astonishment	ukumangala
astound	amazing
astral	astral
astray	astray
astringent	astringent
astrologer	isazi sezinkanyezi
astrology	ukubhula ngezinkanyezi
astronaut	astronaut
astronomer	isazi sezinkanyezi
astronomical	izinkanyezi
astronomy	i-astronomy
astute	ohlakaniphile
asunder	hlukana
asylum	ukukhoseliswa
asymmetric	i-asymmetric
asymmetry	i-asymmetry
asymptotic	asymptotic
atelier	i-atelier
atheism	ukungakholelwa kuNkulunkulu
atheist	ungakholelwa kuNkulunkulu
atheistic	abangakholelwa kuNkulunkulu
atherosclerosis	i-atherosclerosis
athlete	umgijimi
athletic	i-athletic
athleticism	ukugijima
athletics	i-athletics
atlas	i-Atlas
atmosphere	umkhathi
atmospheric	emkhathini
atoll	i-atoll
atom	i-athomu
atomic	i-athomu
atone	kuhlaselwa
atonement	ukubuyisana
atpeace	i-atpeace
atrium	i-atrium
atrocious	unesihluku
atrocity	inrocity
atrophy	i-atrophy
attach	Namathisela
attached	ifakwe
attachment	okunamathiselwe
attack	ukuhlasela
attacker	umhlaseli
attacking	ukuhlaselwa
attain	ukuthola
attainable	kufinyeleleka
attainment	ukutholakala
attempt	zama
attempted	uzame
attend	khona
attendance	ukufika
attendant	isikhonzi
attention	qaphela
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	ngokucophelela
attenuate	hlonipha
attenuated	unqanyuliwe
attenuation	ukunakekelwa
attest	ukufakazela
attestation	ubufakazi
attic	i-attic
attire	izingubo
attitude	isimo sengqondo
attorney	ummeli
attract	ukuheha
attraction	ukukhanga
attractive	ekhangayo
attractiveness	ukuheha
attributable	kubangelwa
attribute	imfanelo
attribution	isenzo
attrition	umzila
auburn	auburn
auction	auction
auctioneer	umthengisi
audacious	abacindezelayo
audacity	ukuziphendulela
audible	ezwakalayo
audience	izilaleli
audio	umsindo
audit	ukuhlolwa
audition	ukuhlolwa
auditions	ukuhlolwa kwamabhuku
auditor	umcwaningi wamabhuku
auditorium	indawo yokulala
auditory	ukuhlola
aught	okungenjalo
augment	ukungeza
augmentation	ukungenelela
august	Agasti
aunt	unina
auntie	u-anti
aura	aura
aurora	i-aurora
auspices	ama-auspices
auspicious	auspicious
austere	austere
austerity	ukungahambi kahle
authentic	okuyiqiniso
authenticate	qinisekisa
authentication	ukuqinisekiswa
authenticity	ubuqiniso
author	umbhali
authoritative	igunya
authority	igunya
authorization	ukugunyazwa
authorize	vumela
authorized	igunyaziwe
authorship	ukubhala
autism	i-autism
autistic	autistic
auto	auto
autobiographical	i-autobiographical
autobiography	i-autobiography
autocorrect	i-autocorrect
autocratic	ngokwemvelo
autograph	i-autograph
autographed	i-autographed
automated	i-automated
automatic	okuzenzakalelayo
automobile	imoto
automotive	izimoto
autonomy	ukuzimela
autopilot	i-autopilot
autopsy	i-autopsy
autumn	ekwindla
auxiliary	abasizayo
avail	uthola
availability	ukutholakala
available	iyatholakala
avalanche	i-avalanche
avarice	i-avarice
avatar	avatar
avenge	impindiselo
avenger	umphindiseli
avenging	ukuphindisela
avenue	avenue
aver	NO TRANSLATION
average	isilinganiso
aversation	NO TRANSLATION
averse	averse
averseness	NO TRANSLATION
aversion	ukuphikisa
avert	vula
aviary	i-aviary
aviation	ukuhamba kwezindiza
aviator	i-aviator
avid	avid
avocado	ukwatapheya
avoid	gwema
avoidance	ukugwema
avoiding	ukugwema
await	linda
awake	vuka
awaken	vusa
awakening	ukuvusa
award	umklomelo
awards	imiklomelo
aware	uyazi
awareness	ukuqwashisa
awe	NO TRANSLATION
awed	ihlehlisiwe
awesome	esabekayo
awesomeness	ubuhle
awestruck	ukuhlukunyezwa
awful	kubi
awkward	okungahambi kahle
awkwardness	ukungaboni kahle
awning	ukukhwabanisa
awry	awry
axe	imbazo
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	i-axis
axle	i-axle
ay	ay
aye	aye
azimuth	azimuth
azure	i-azure
babble	babble
babbling	ukubambaza
babe	umntwana
baboon	ubhontshisi
baby	umntwana
babysit	babysit
babysitter	babysitter
baccalaureate	i-baccalaureate
baccarat	i-baccarat
bachelor	ubhedu
bachelorette	bachelorette
back	emuva
backboard	i-backboard
backbone	i-backbone
backdoor	umnyango ongemuva
backdrop	okwasemuva
backer	umsekeli
backfire	buyela emuva
backgammon	i-backgammon
background	isizinda
backhand	i-backhand
backhoe	i-backhoe
backoff	u-backoff
backpack	i-backpack
backpacker	i-backpacker
backroom	i-backroom
backseat	ngemuva
backside	emuva
backtrack	ukubuyela emuva
backup	isipele
backward	emuva
