Word	ps
admirable	منلو وړ
admiral	ایڈمریل
admiralty	اطمینان
admiration	ستاینه
admire	اطمینان
admired	مننه
admirer	مدافع وکیل
admiring	مننه
admissibility	اطمینان
admissible	منونکی
admission	داخلیدل
admit	اعتراف وکړئ
admittance	اعتراف
admitted	منل شوی
admitting	اعتراف کول
admixture	اطمینان
admonition	نصيحت
ado	اډو
adobe	ایڈوب
adolescence	تناسب
adolescent	ځوانان
adopt	منل
adoption	منل
adoptive	منل
adorable	د زړه وړ
adoration	دود
adore	خوښېږي
adoring	زړورتیا
adorn	زوره
adornment	زوړ
adrenalin	ایډرینالین
adrenaline	اېډرینینالین
adrift	زړورتیا
adult	بالغ
adulterated	زنا
adulterer	زنا
adultery	زنا
adulthood	زوړ
advance	مخکی
advanced	پرمختللی
advancement	پرمختګ
advancing	پرمختګ
advantage	ګټې
advantageous	ګټور
advent	راغلی
adventure	کړنه
adventurer	کونکي
adventures	تګلاره
adventurous	ناڅاپه
adversary	مخالف
adverse	منفي
adversity	سختۍ
advertise	اعلان کول
advertisement	اعلان
advertising	اعلان کول
adverts	خپروي
advice	مشوره
advisable	مشوره ورکول
advise	مشوره
advised	مشوره ورکول
advisement	مشوره
adviser	مشاور
advisor	مشاور
advisory	مشورتي
advocacy	مدافع وکیل
advocate	مدافع وکیل
aegis	aegis
aeration	هوا
aerial	هوایی
aerobics	هوایی
aerodrome	هواییوم
aerodynamic	هوایی
aerodynamics	هوایی ډګرونه
aeronautics	هوایی
aeroplane	هوایی الوتکه
aerospace	هوایی ډګر
aesthetic	جمالات
aesthetics	جمالیات
aetiology	ایټیولوژی
afar	په
affable	اغېزمن
affair	معامله
affect	اغیزه کوي
affecting	اغیزه کوي
affection	وینه
affectionate	مننه
affections	تاثیرات
affiche	NO TRANSLATION
affidavit	ایډیډیټیټ
affiliated	تړل شوی
affiliation	تړاو
affinity	تاثیر
affirm	اعتبار
affirmation	تایید
affirmative	مثبت
affirmatively	په مؤثره توګه
affix	اشکس
afflict	زیان رسوي
afflicted	زیانمن شوی
affliction	تاوان
affluence	تاثیر
affluent	هوساینه
afford	لګښت
affordable	ارزانه
affront	مخکی
affronted	سرغړونه
afield	ځمکه
afire	یو اور
afloat	افریقی
afore	مخکې
aforementioned	وړاندې شوي
aforesaid	مخکې له دې
afraid	ویره
afresh	نویش
african	افريقا
aft	af
afterlife	وروسته ژوند
aftermath	وروسته
afternoon	دوشنبه
aftershave	افتر
aftertaste	وروسته
afterthought	وروسته
aga	NO TRANSLATION
agape	اېډیپ
agate	عمر
age	عمر
aged	عمر
agency	اداره
agenda	اجنډا
agent	استازی
agglomeration	د ګوتو کول
aggravate	زړورتیا
aggravated	زړور شوی
aggravates	اجنډا
aggravating	زغم
aggravation	زړورتیا
aggregate	مجموعي
aggregation	راغونډول
aggresive	NO TRANSLATION
aggression	يرغل
aggressive	تیریدونکی
aggressively	په چټکۍ سره
aggressiveness	تیریدونکی
aggressor	یرغلګر
agh	ی
aghast	عاجل
aghhh	NO TRANSLATION
agile	ټوپک
agility	چټکۍ
aging	عمر
agitate	خواخوږي
agitated	ژغورل شوی
agitation	حرکت
aglow	زاړه
agnostic	اجنټیکیک
ago	مخکې
agonizing	ژوندی کول
agony	ظلم
agoraphobia	اراوروفیا
agree	موافقه وکړه
agreeable	منونکی
agreed	موافق دی
agreeing	موافق
agreement	تړون
agressive	NO TRANSLATION
agricultural	کرنه
agriculture	کرهنه
aground	زمکه
agua	NO TRANSLATION
ahead	مخکې
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	آه
aid	مرستې
aide	مرسته
aiding	مرستې
aids	مرستې
ail	زی
ailing	تاو
ailment	زیان
aim	موخه
aimless	مقاصد
air	هوا
airbag	هوایی
airborne	هوایی
aircraft	الوتکه
aircraft carrier	د الوتکې وړونکي
airfield	هوایی ډګر
airhead	هوایږی
airlift	هوایی ډګر
airline	هوایی کرښه
airliner	هوایی ډګر
airlock	هوایی
airman	هوایی
airplane	هوایی الوتکه
airport	هوايي ډګر
airs	هوا
airship	هوایی ډګر
airspace	هوايي ډګر
airspeed	هوایې شوی
airstrip	هوایی ډګر
airtight	هوایی
airway	هوایی لاره
aisle	لياره
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	اکا
akin	ډک
alabaster	الاباسټر
alarm	خطر
alarm clock	د خبرتیا ساعت
alarmed	اندیښنه
alarming	خطرناکه
alas	افسوس
alb	NO TRANSLATION
albatross	البتهټراس
albino	albino
album	البوم
alchemy	کیمیا
alcohol	الکول
alcoholic	الکوليک
alcoholism	شراب
alcove	الکول
alderman	الفدرمن
ale	NO TRANSLATION
alert	خبرتیا
alertness	خبرتیا
alerts	خبرتیاوې
alfalfa	الففا
algebra	الګراه
algebraic	جغرافیه
algorithm	الګوریتم
alias	عرفان
alibi	البيبي
alien	اجنډا
alienate	بې ځایه
alienated	پاتې شوی
alienation	جغرافیه
alight	الیټ
align	برابرول
aligned	تړل شوی
alignment	پواسطه
alike	ورته
alimentation	NO TRANSLATION
alimony	کمښت
aliquot	غیر قانوني
alive	ژوندی
alkali	الکالي
alkaloids	الکوسایډونه
allay	ټولی
allegation	تورونه
allege	ادعا کوي
alleged	ادعا شوې
allegiance	بيعت
allegorical	تورونه
allegory	تورونه
allegro	تورات
allergic	الرجی
allergy	الرښود
alleviate	کم کړئ
alleviation	کمول
alley	ګلی
alleyway	الوتونکي
alliance	اتحاد
allied	متحد
alligator	غصب
allocate	تخصیص وکړئ
allocation	تخصیص
allot	ډار
allotment	تخصیص
allow	اجازه ورکړئ
allowable	اجازه ورکول کیږي
allowance	تاوان
allowed	اجازه ورکړل شوی
alloy	مصر
allsmiles	NO TRANSLATION
allure	جذب
alluring	غوره کول
allusion	انډول
alluvial	تاوول
ally	اتحادیه
almanac	المانیک
almighty	قوي
almond	بادام
aloft	الړ
aloha	الیا
alone	یوازې
alongside	سره یوځای
aloof	الف
aloud	ژوره
alpha	الفا
alphabet	الف
alphabetical	الف
alpine	الپین
alreadyyyyy	هیریایی
altar	قربانګاه
altar boy	د قربانۍ هلک
alter	بدل کړئ
alteration	بدلون
altercation	تکرار
altered	بدل شوی
alternate	بدله
alternating	بدله
alternative	بدیل
altimeter	altimeter
altitude	اونۍ
alto	الف
altogether	په بشپړ ډول
aluminum	ایلومینیم
alumnus	ژمي
alveolar	الیولورډ
alzheimers	NO TRANSLATION
amalgam	امالګام
amalgamation	املاګونه
amaretto	اماراتو
amass	اماس
amateur	شوکیا
amaze	حیرانتیا
amazed	حیرانتیا
amazedness	NO TRANSLATION
amazement	حیرانتیا
amazing	حیرانتیا
amazingly	حیرانتیا
ambassador	سفیر
amber	امبر
ambience	خوندیتوب
ambient	محیط
ambiguity	ناڅاپي
ambiguous	ناڅاپه
ambit	میړه
ambition	خوځښت
ambitious	لویه
ambivalent	ناڅاپه
ambrosia	مونډوز
ambulance	امبولانس
ambush	زخم
ameliorate	منځ ته راوړل
amen	امین
amenable	منونکی
amend	تعدیل
amendment	تعدیل
amends	تعهد
amenity	نوبت
amethyst	ناببره
amiable	امیر
amicable	ښایسته
amid	په منځ کې
amidst	د
amino	امينو
ammo	امو
ammonia	امونیا
ammonium	امونیم
ammunition	مهمات
amnesia	امونیا
amnesty	بخښنه
amorous	بدمرغه
amorphous	ناڅاپه
amortization	ځړول
amount	مقدار
amour	NO TRANSLATION
amp	amp
ampersand	امپراتور
amphetamines	امفافامینونه
amphibian	امفابین
amphibious	افسوس
amphitheater	امفیتهټر
ample	ښه
amplification	تطبیق
amplify	پرمختللی
amplitude	پراخوالى
amply	بس
amputate	ناڅاپه
amputation	تاوان
amuck	خوله
amulet	غوږۍ
amuse	بښنه
amused	مننه
amusement	تفریح
amusing	حیرانتیا
ana	NO TRANSLATION
anaconda	اناسونډا
anaesthesia	انستیکیا
anaesthetic	تناسب
anagram	انګرام
anal	مقعد
analgesic	انډولیزیک
analogous	ساده
analogue	انژول
analogy	ورته
analysis	تحلیل
analyst	شنونکی
analytic	شننه
analytical	شننه
analyze	تحلیل
analyzer	شنونکی
anaphylactic	انفلایلیکیک
anarchism	انارزمیزم
anarchist	انارشاست
anarchy	انارشي
anastomosis	انسټوموموسس
anathema	اناتما
anatomic	اناتومي
anatomy	اناتومي
ancestor	پلار
ancestral	پلار
ancestry	نيکۍ
anchor	لوګر
anchorage	لنگړه
ancient	زاړه
ancillary	تخنیکي
androgen	اوروجن
android	انډر
anecdote	انډیټوټ
anemia	انیمیا
anemic	وینی
anemone	انډون
anesthesia	انستیکیا
anesthesiologist	انستیکولوژیست
anesthetic	تناسب
aneurysm	انورسیم
anew	نوی
angel	فرښته
angelic	فرښته
anger	غوسه
angered	غوسه شوی
angermanagement	NO TRANSLATION
angina	انجینا
angiogram	انوګرم
angiography	انوګرافي
angle	زاویه
angling	زاویه
angora	انګورو
angriest	زاړه
angry	غوسه
angrytweet	NO TRANSLATION
angst	زاویه
anguish	سختۍ
anguished	سخته
angular	کونړ
anhydrous	انډیډس
animal	حيوانات
animate	انډول
animated	متحرک
animation	حرکت
animosity	ښکاري
animus	ښکاري
ankle	رنګ
anklet	پګړۍ
annals	کالونه
annex	ضمیمه
annexation	ضمیمه
annexe	NO TRANSLATION
annihilate	ړنګول
annihilated	ضیاع شوی
annihilation	تخفیف
anniversary	لمانځ غونډه
annotate	تشریح کړئ
annotation	تشریح
announce	اعلان کړئ
announcement	اعلان
announcer	اعلان کوونکی
annoy	ځورول
annoyance	تاوان
annoyed	ناراضه شوی
annoyin	NO TRANSLATION
annoying	ځوریدل
annoys	ځورونه
annual	کلنۍ
annuity	ژوندی
annul	کالم
annular	کڅوړی
annulment	تاوان
annulus	نوبل
anointed	تنخواه
anointing	تاکید کول
anomalous	ژوندی دی
anomaly	انډالي
anon	عنان
anonymity	ندی
anonymous	بې نومه
anorexic	انورکسیک
answer	ځواب
answerable	ځواب ورکوونکی
answering	ځواب
ant	انټرنټ
antagonism	مخالفین
antagonist	مخالف
antagonistic	مخالفین
antagonize	تاوان
ante	NO TRANSLATION
antecedent	تنفس
antelope	انډول
antenna	اینټینا
anterior	نوری
anthem	سرود
anthill	اتلیل
anthology	ارواپوهنه
anthrax	انټراکس
anthropological	د انسان
anthropologist	انتونپوه پوه
anthropology	انتونپوهنه
anti	ضد
antiaircraft	د انټرنټ کنټرول
antibiotic	انټي بيوټيټ
antibiotics	انتي بيوټيکونه
antichrist	ضد
anticipate	اټکل کوي
anticipation	اټکل
anticipatory	اټکل
antics	انتي
antidote	د ضد درملنه
antifungal	انفلافی
antigravity	انټرنېټ
antimony	انډول
antipathy	انتيپپي
antiquarian	لرغونتوب
antiquated	اټکل شوی
antique	انټیک
antiques	لرغوني توکي
antiquity	لرغونتوب
antiseptic	انتيسايټس
antisocial	انتونیسټي
antithesis	انتياليزم
antithetical	د
antiviral	انټي وييرل
antler	انټرټر
antsy	اندیښنه
anus	اینګس
anvil	ټانګ
anxiety	اندیښنه
anxietyattack	NO TRANSLATION
anxious	اندیښنه
anxiousness	اندیښنه
anytime	هر وخت
aorta	اوورا
aortic	د هوا
apace	اپارتمان
apache	اپارتمان
apartment	اپارتمان
apartments	اپارتمانونه
apathetic	بې له شکه
apathy	اپارتمان
ape	اپو
aperture	هوا
apex	اپیکس
aphid	یفف
aphrodisiac	الف
apiece	یوه ټوټه
aplomb	اېپلانګ
apocalypse	اپوپالیټ
apocalyptic	اپوالیپټیک
apologetic	بخښنه غواړئ
apologist	بخښونکی
apologize	بخښنه غواړئ
apology	بخښنه غواړئ
apostasy	ارتباط
apostate	مرتکب
apostle	رسول
apostolic	رسول
apostrophe	رواني
apothecary	اپوټسیسی
appalled	ناڅاپه
appalling	ناڅاپه
apparatus	اپارتمان
apparel	جامې
apparent	ښکاره
apparently	په ښکاره توګه
apparition	انځور
appeal	اپیل
appear	لیدل کیږي
appearance	ظاهرا
appease	استثنا
appellant	اپیلینټ
append	ضمیمه کړئ
appendage	ضمیمه
appendectomy	ضمیمه
appendicitis	اپینډیټیسټس
appendix	ضمیمه
appetite	اشتباه
appetizer	اشتیټونکی
appetizing	ګوښه کول
applaud	اطمینان
applause	تلیفون
apple	مڼه
apple juice	د مڼو جوس
applejack	مڼه
applesauce	مڼه
appliance	وسیله
appliances	سامانونه
applicability	غوښتنلیک
applicable	تطبيق
applicant	غوښتونکي
application	کاریال
apply	غوښتنلیک
appoint	ټاکل
appointment	ټاکل
appointments	ټاکنې
apportion	اختصاص
apportionment	اختصاص
appraisal	ارزونه
appraise	ارزونه
appreciable	ستاینه وړ ده
appreciate	ستاینه
appreciated	ستاینه وشوه
appreciates	ستاینه کوي
appreciation	ستاینه
appreciative	ستاینه
apprehend	وتل
apprehension	اندیښنه
apprehensive	ګرانه
apprentice	ښوونکى
apprenticeship	د اپرنټشپټ
approach	تګلاره
approaching	نژدې
approbate	NO TRANSLATION
approbation	منظور
appropriate	مناسب
appropriation	تخصیص
approval	تایید
approve	تایید کړئ
approved	تایید شوی
approvement	تصویب
approving	تایید کول
approximate	اټکل
approximately	تقريبا
approximating	نږدی
approximation	نژدېان
appurtenances	اپورټاینس
apricot	مندته
apron	ایپون
apt	الف
aptitude	استعداد
aqua	ایکا
aquamarine	ااکامارین
aquarium	ایکویریم
aquatic	جزا
aqueduct	مستحق دي
aqueous	جلاوطني
arable	وړ وړ
arbiter	آربیتر
arbitrary	پخپل سري
arbitrate	میبایتریت
arbitration	ثالثی
arbitrator	ثالث
arbor	آربر
arc	آرک
arcade	آرکیډ
arcane	آرکی
arch	ارشیف
archaeological	لرغون پېژندنه
archaeologist	لرغونپوهنه
archaeology	لرغونپوهنه
archaic	آرکسيک
archangel	آرشیف
archbishop	آرشیف
archdiocese	ارشیفیسس
archduke	ارشیډیډیډ
arched	مینځل شوی
archer	آرشیف
archery	توغندي
archetype	آرکیټیپټ
archipelago	ارشیف
architect	معمار
architectural	مهندس
architecture	جوړښت
archive	آرشيف
arctic	آرکټيک
ardent	سخته
ardor	ardor
arduous	سخته
area	سيمه
arena	میدان
areola	هوولا
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	ارغ
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	بحث وکړئ
argument	دليل
argumentation	دليل
argumentative	استدلال
arguments	دليلونه
arid	ارشاد
arise	پورته شوه
aristocracy	آرستیکسیسی
aristocrat	آرسټوکیت
aristocratic	آرشیژیک
arithmetic	ریاضی
ark	صندوق
arm	لاس
armada	armada
armament	وسلې
armaments	وسلې
armature	لښکرګاه
armchair	لښکرګاه
armed	وسله وال
armor	لښکر
armored	ځړول شوی
armory	وسلې
armpit	ننوتل
arms	وسلې
army	پوځ
aroma	ارام
aromatherapy	اروماتراپی
arousal	ارزوال
arouse	ژغورل
aroused	خوندور شو
arraignment	له مینځه وړل
arrange	تنظیم کړئ
arranged	تنظیم شوی
arrangement	تنظیم
array	سور
arrears	خنډونه
arrest	نیول
arrhythmia	اګیټیایا
arrival	رسیدنه
arrive	راځی
arrogance	سرغړونه
arrogant	سرغړونه
arrow	تیر
arsehole	ارسیلول
arseholes	arseholes
arsenal	آرشیف
arsenic	آرسنسي
arson	ټوپک
arsonist	ارونستانو
art	هنر
arterial	ارقام
artery	شریان
artful	ښکلی
arthritis	گرتریت
arthropod	ارتوپډ
artichoke	آرکیچیک
article	مقالې
articles	مقالې
articulate	انځورول
articulation	انځور
artifact	آثار
artifice	ټوپک
artificial	مصنوعي
artillery	توپچي
artisan	کاران
artist	فنکار
artiste	NO TRANSLATION
artistic	هنريست
artistry	آرټریټ
artists	هنرمندان
artwork	هنر کار
arty	آرټ
asap	asap
asbestos	اسټیسوس
ascend	راځی
ascendancy	ښایسته
ascendant	ماته
ascending	پورته کول
ascension	تکرار
ascent	پیسې
ascertain	یقینا
ascertained	معلومه شوه
ascetic	تڼی
ash	راش
ashamed	شرم
ashes	خاوره
ashtray	اسټریټ
asinine	اسینین
ask	پوښتنه وکړه
asleeep	NO TRANSLATION
asleep	خوب
asp	asp
asparagus	سمنډول
aspartame	اسپرامام
aspect	اړخ
aspects	اړخونه
aspen	aspen
asphalt	اسفالټ
asphyxia	اسفیقیا
asphyxiation	asphyxiation
aspiration	اطمینان
aspire	خواخوږی
aspirin	اسپرین
aspiring	هيله ده
ass	گدا
assail	حمله
assailant	حمله کونکي
assassin	وژنه
assassinate	وژنه
assassination	وژنه
assault	حمله
assay	ډاډ
assemblage	غونډه
assemble	راټولول
assembled	راغونډ شوی
assembly	غونډه
assemblyman	مجلس
assent	ژمنه
assert	زور
asserting	زورول
assertion	ادعا
assertive	سرغړونه
assess	ارزونه
assessment	ارزونه
assessor	ارزونکی
asset	شتمني
assets	شتمني
asshole	گدی
assign	تفریح ​​کړئ
assignee	دنده
assignment	دنده
assimilate	ډاډمن کړئ
assimilation	اطمینان ورکول
assist	مرسته کول
assistance	مرستې
assistant	مرستیال
associate	ملګري
association	ټولنه
assorted	مخلوط شوی
assortment	محرمیت
assuage	اطمینان ورکول
assume	فرض کړئ
assumed	فرض شوی
assuming	فرض کول
assumption	انګیرنه
assurance	ډاډ
assure	ډاډ ورکړئ
assured	ډاډ ورکړ
assuredly	یقینا
asterisk	ستاره
asteroid	اسټرائډس
asteroids	اسټریوډونه
asthma	د سږ کال
asthmatic	هوایی
astigmatism	سترګی
astonish	حیرانتیا
astonished	حیرانتیا
astonishing	حیرانتیا
astonishingly	NO TRANSLATION
astonishment	حیرانتیا
astound	حیرانتیا
astral	ستوری
astray	گمراه
astringent	ټوپک
astrologer	ستورپوهنه
astrology	ستورپوهنه
astronaut	سپوږمکۍ
astronomer	ستورپوهنه
astronomical	ستورپوهنه
astronomy	ستورپوهنه
astute	ستړی
asunder	لکه
asylum	پناه
asymmetric	ناببره
asymmetry	د اسامیتیمیا
asymptotic	اسیمیٹیکټ
atelier	اییلیلیر
atheism	توحید
atheist	ملګري
atheistic	پکار ده
atherosclerosis	ایریرسکلروسیس
athlete	لوبغاړی
athletic	ورزشکار
athleticism	اتلوليزمزم
athletics	ورزشکاران
atlas	اتلس
atmosphere	فضا
atmospheric	هوا
atoll	اتول
atom	اتوم
atomic	اټومي
atone	د
atonement	تاوان
atpeace	اوسمهال
atrium	اتریوم
atrocious	ظالمانه
atrocity	ظلم
atrophy	هوایی
attach	نښلول
attached	تړل شوی
attachment	ضمیمه
attack	برید
attacker	برید کوونکی
attacking	برید کول
attain	ترلاسه کول
attainable	د ترلاسه کولو وړ
attainment	ترلاسه کول
attempt	هڅه
attempted	هڅه وکړه
attend	ګډون وکړئ
attendance	حاضري
attendant	حاضري
attention	پاملرنه
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	پاملرنه
attenuate	ترلاسه کول
attenuated	ترلاسه شوی
attenuation	لنډمهاله
attest	تصدیق کوي
attestation	تایید
attic	لنډیز
attire	لباس
attitude	چلند
attorney	څارنوال
attract	جذب کول
attraction	جذب
attractive	ښکلی
attractiveness	جذب
attributable	ناباوره
attribute	خاصیت
attribution	منسوب
attrition	تنفس
auburn	هوایی
auction	نيلام
auctioneer	نیلمینر
audacious	پلټونکی
audacity	تفتیش
audible	پلټونکی
audience	لیدونکي
audio	غږ
audit	پلټنه
audition	تفتیش
auditions	پلټنې
auditor	پلټونکی
auditorium	پلټونکی
auditory	تفتیش
aught	یوڅه
augment	تاوان
augmentation	تاوان
august	اګست
aunt	چاچی
auntie	چاچی
aura	غږ
aurora	اورورا
auspices	ژوندی
auspicious	ښه
austere	سړی
austerity	سختۍ
authentic	مستند
authenticate	اعتبار
authentication	اعتبار
authenticity	اعتبار
author	لیکوال
authoritative	مستند
authority	واک
authorization	واکمنۍ
authorize	باوري کول
authorized	اجازه ورکړل شوی
authorship	ليکنه
autism	خپلواکي
autistic	خپلواکه
auto	اتوم
autobiographical	جغرافيه
autobiography	سوانح پوهنه
autocorrect	پخپله
autocratic	خودکاره
autograph	ځانگړی
autographed	پخپله ګوښه شوی
automated	اتوماتیک
automatic	اتوماتیک
automobile	ګاډي
automotive	موټروټیک
autonomy	خپلواکي
autopilot	بېپوليټ
autopsy	خپل ځان
autumn	مني
auxiliary	مرستندویه
avail	ګټه پورته کول
availability	شتون
available	موجود دی
avalanche	واشنګټن
avarice	د واورې
avatar	اوتار
avenge	انتقام
avenger	مسافر
avenging	تاوان
avenue	عادی
aver	NO TRANSLATION
average	اوسط
aversation	NO TRANSLATION
averse	لرې
averseness	د ویناوالی
aversion	تبصره
avert	وتل
aviary	اییریایی
aviation	هوايي چلند
aviator	aviator
avid	avid
avocado	آیوکودا
avoid	پریږده
avoidance	مخنیوی
avoiding	مخنیوي
await	انتظار
awake	ویاړ
awaken	ویښ
awakening	ویښتنه
award	جایزه
awards	انعامونه
aware	خبرتیا
awareness	پوهاوی
awe	NO TRANSLATION
awed	منل شوی
awesome	په زړه پوری
awesomeness	بې خوبۍ
awestruck	ویجاړ شوی
awful	ډارونکی
awkward	ناڅاپه
awkwardness	ناڅاپه
awning	غوږونه
awry	اریری
axe	محور
axial	محور
axiom	axiom
axiomatic	اکومیټیک
axis	محور
axle	محلي
ay	اې
aye	الف
azimuth	ازموت
azure	ازور
babble	پلار
babbling	بابل
babe	بیب
baboon	بابون
baby	ماشوم
babysit	ماشوم
babysitter	نرس
baccalaureate	بیسکورچرټ
baccarat	بیک کارټ
bachelor	لیسانس
bachelorette	لیسانس
back	شاته
backboard	شاته
backbone	شاته
backdoor	د شا دروازه
backdrop	شاته
backer	شاته
backfire	شاته
backgammon	بکسګامون
background	شاليد
backhand	شاتهنډ
backhoe	شاته
backoff	شاته
backpack	ټوپک
backpacker	بسته بندي
backroom	بکس روم
backseat	شاته
backside	پورتنۍ خوا
backtrack	شاتړ
backup	شاتړ
backward	مخکی
backwardness	پیوستون
backwards	شاته
backwater	بیرته اوبه
backwoods	لرګي
backyard	شاته
bacon	بیکن
bacteria	باکتریا
bacterial	باکتریایی
bacterium	باکتریایم
bad	بد
badass	بډاس
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	بیز
badger	بډر
badhabit	NO TRANSLATION
badly	خرابه
badness	بد
baffle	غلا کول
baffled	ټوټه شوې وه
bag	بکس
bagel	بیلیل
baggage	پنډ او بار
baggie	بګګی
baggy	بګۍ
bagman	بکسمن
bagpipes	بکسپونه
bail	ضمانت
bailiff	ضمانت
bait	بیت
bake	بکس
bakery	بیکاره
baking	بکس کول
bal	NO TRANSLATION
balance	توازن
balanced	متوازن
balcony	بالک
bald	ګال
balding	بیلنگ
baldy	بالي
bale	رنګ
balk	بکس
ball	بال
ballad	د بالاد
ballast	بسته
ballerina	بیریرینه
ballet	بیلیټ
