Word	ceb
adoration	pagsimba
adore	adore
adoring	adoring
adorn	adorno
adornment	dayandayan
adrenalin	adrenalin
adrenaline	adrenalin
adrift	hinay-hinay
adult	hamtong
adulterated	gisimbolohan
adulterer	pagpanapaw
adultery	pagpanapaw
adulthood	pagkahamtong
advance	abante
advanced	abante
advancement	pag-uswag
advancing	pag-uswag
advantage	bentaha
advantageous	makabenepisyo
advent	pag-anhi
adventure	sa pagpanimpalad
adventurer	tigpangita
adventures	mga panimpalad
adventurous	mapuslanon
adversary	kaaway
adverse	dili maayo
adversity	kalisdanan
advertise	imantala
advertisement	advertisement
advertising	advertising
adverts	adverts
advice	tambag
advisable	maayo
advise	tambag
advised	gitambagan
advisement	tambag
adviser	adviser
advisor	advisor
advisory	advisory
advocacy	adbokasiya
advocate	tigpasiugda
aegis	aegis
aeration	aeration
aerial	aerial
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	eroplano
aerospace	aerospace
aesthetic	aesthetic
aesthetics	aesthetics
aetiology	aetiology
afar	halayo
affable	mabination
affair	panghitabo
affect	makaapekto
affecting	makaapekto
affection	pagbati
affectionate	mabinationg
affections	gugma
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	Kauban
affiliation	koneksyon
affinity	relasyon
affirm	gipamatud-an sa
affirmation	pamatuod
affirmative	mapamatud-an
affirmatively	positibo
affix	gilayon
afflict	pagsakit
afflicted	gisakit
affliction	kasakitan
affluence	kadako
affluent	adunahan
afford	makapalit
affordable	barato
affront	pagsakit
affronted	gihasol
afield	afield
afire	gisunog
afloat	naglutaw
afore	antes
aforementioned	aforementioned
aforesaid	aforesaid
afraid	nahadlok
afresh	sa wala pa
african	Africa
aft	aft
afterlife	sunod nga kinabuhi
aftermath	pagkahuman
afternoon	hapon
aftershave	aftershave
aftertaste	pagkahuman sa panihapon
afterthought	nahunahunaan
aga	NO TRANSLATION
agape	agape
agate	agate
age	edad
aged	tigulang
agency	ahensya
agenda	agenda
agent	ahente
agglomeration	agglomeration
aggravate	aggravate
aggravated	napasamot
aggravates	nagpalala
aggravating	naglisud
aggravation	pagsamot
aggregate	aggregate
aggregation	aggregation
aggresive	NO TRANSLATION
aggression	agresyon
aggressive	agresibo
aggressively	agresibo
aggressiveness	agresibo
aggressor	aggressor
agh	agh
aghast	nahadlok
aghhh	NO TRANSLATION
agile	agile
agility	kaliksi
aging	tigulang
agitate	pag-agulo
agitated	nabalisa
agitation	kasamok
aglow	mainiton
agnostic	agnostic
ago	kanhi
agonizing	nag-agulo
agony	kasakit
agoraphobia	agoraphobia
agree	mouyon
agreeable	kahimut-an
agreed	miuyon
agreeing	pag-uyon
agreement	kasabutan
agressive	NO TRANSLATION
agricultural	agrikultura
agriculture	agrikultura
aground	agulo
agua	NO TRANSLATION
ahead	sa unahan
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	tabang
aide	aide
aiding	pagtabang
aids	makatabang
ail	ail
ailing	masakiton
ailment	sakit
aim	tumong
aimless	walay tumong
air	hangin
airbag	airbag
airborne	sa hangin
aircraft	eroplano
aircraft carrier	aircraft carrier
airfield	airfield
airhead	airhead
airlift	airlift
airline	airline
airliner	airliner
airlock	airlock
airman	airman
airplane	eroplano
airport	airport
airs	airs
airship	airship
airspace	airspace
airspeed	airspeed
airstrip	airstrip
airtight	hangin
airway	airway
aisle	pasilyo
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	susama
alabaster	alabaster
alarm	alarma
alarm clock	alarm clock
alarmed	nahadlok
alarming	makapakurat
alas	sayop
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchemy
alcohol	alkohol
alcoholic	alkoholiko
alcoholism	alkoholismo
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	alisto
alertness	pagkaalerto
alerts	mga pasidaan
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algorithm
alias	alias
alibi	alibi
alien	langyaw
alienate	alienate
alienated	nahimulag
alienation	pagbalhin
alight	Gipaubos
align	ipahiuyon
aligned	ilaray
alignment	paglinya
alike	managsama
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	buhi
alkali	alkali
alkaloids	alkaloids
allay	alayon
allegation	alegasyon
allege	allege
alleged	giingong
allegiance	pagkamaunongon
allegorical	alegoriko
allegory	alegorya
allegro	allegro
allergic	alerdyik
allergy	alerdyi
alleviate	paghupay
alleviation	paghupay
alley	alley
alleyway	alleyway
alliance	alyansa
allied	alyado
alligator	buaya
allocate	mogahin
allocation	alokasyon
allot	allot
allotment	paghatag
allow	tugoti
allowable	tugotan
allowance	allowance
allowed	gitugotan
alloy	alis
allsmiles	NO TRANSLATION
allure	makadayeg
alluring	makadani
allusion	pagpasabot
alluvial	alluvial
ally	alyado
almanac	almanac
almighty	labing gamhanan
almond	almendras
aloft	aloft
aloha	aloha
alone	nag-inusara
alongside	ubay
aloof	aloof
aloud	kusog
alpha	alpha
alphabet	alpabeto
alphabetical	alpabetikal
alpine	alpine
alreadyyyyy	NO TRANSLATION
altar	altar
altar boy	altar nga lalaki
alter	usba
alteration	pag-usab
altercation	pagsupak
altered	giusab
alternate	alternatibo
alternating	alternating
alternative	alternatibo
altimeter	altimeter
altitude	gihabogon
alto	alto
altogether	tanan
aluminum	aluminum
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	amalgamation
amaretto	amaretto
amass	amass
amateur	amateur
amaze	kahibulong
amazed	nahibulong
amazedness	kahibulong
amazement	kahibulong
amazing	kahibulongan
amazingly	katingalahan
ambassador	ambasador
amber	amber
ambience	ambience
ambient	ambient
ambiguity	ambiguity
ambiguous	ambiguous
ambit	ambit
ambition	ambisyon
ambitious	ambisyoso
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulansya
ambush	ambush
ameliorate	pagpaayo
amen	amen
amenable	amenable
amend	usba
amendment	pag-amendar
amends	miusab
amenity	amenity
amethyst	amethyst
amiable	amiable
amicable	malipayon
amid	taliwala sa
amidst	taliwala sa
amino	amino
ammo	ammo
ammonia	ammonia
ammonium	ammonium
ammunition	ammunition
amnesia	amnesia
amnesty	amnestiya
amorous	amorous
amorphous	amorphous
amortization	amortization
amount	kantidad
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	Amphitheatre
ample	igo
amplification	paglapad
amplify	paglig-on
amplitude	amplitude
amply	sa kinatibuk-an
amputate	putlon
amputation	pagputol
amuck	amuck
amulet	amulet
amuse	paglingaw
amused	nalingaw
amusement	kalipay
amusing	makalingaw
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	anesthetic
anagram	anagram
anal	anal
analgesic	analgesic
analogous	susama
analogue	analogue
analogy	pagkasama
analysis	pagtuki
analyst	analista
analytic	analytic
analytical	analytical
analyze	analisahon
analyzer	analyzer
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	anarkiya
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	anatomy
ancestor	katigulangan
ancestral	katigulangan
ancestry	katigulangan
anchor	angkla
anchorage	anchorage
ancient	karaan
ancillary	ancillary
androgen	androgen
android	android
anecdote	anecdote
anemia	anemia
anemic	anemic
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	anesthetic
aneurysm	aneurysm
anew	usab
angel	anghel
angelic	anghel
anger	kasuko
angered	nasuko
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	anggulo
angling	angling
angora	angora
angriest	ang kinasuloran
angry	nasuko
angrytweet	NO TRANSLATION
angst	angst
anguish	kasubo
anguished	naguol
angular	angular
anhydrous	anhydrous
animal	mananap
animate	buhian
animated	buhi
animation	animation
animosity	kasuko
animus	animus
ankle	ankle
anklet	anklet
annals	kasaysayan
annex	annex
annexation	pagsakop
annexe	NO TRANSLATION
annihilate	pagpuo
annihilated	gubaon
annihilation	pagkapukan
anniversary	anibersaryo
annotate	pag-annotate
annotation	anotasyon
announce	pagpahibalo
announcement	pahibalo
announcer	tigpahibalo
annoy	nasamok
annoyance	pagkasubo
annoyed	nasuko
annoyin	NO TRANSLATION
annoying	makalagot
annoys	nasamok
annual	tinuig
annuity	annuity
annul	pagwagtang
annular	annular
annulment	pagwagtang
annulus	annulus
anointed	gidihogan
anointing	pagdihog
anomalous	anomaloso
anomaly	anomaliya
anon	anon
anonymity	anonymity
anonymous	anonymous
anorexic	anorexic
answer	tubag
answerable	masaligan
answering	pagtubag
ant	ant
antagonism	antagonismo
antagonist	antagonista
antagonistic	pagsupak
antagonize	antagonize
ante	NO TRANSLATION
antecedent	antes
antelope	antelope
antenna	antenna
anterior	anterior
anthem	anthem
anthill	anthill
anthology	anthology
anthrax	anthrax
anthropological	anthropological
anthropologist	antropologo
anthropology	antropolohiya
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotic
antibiotics	antibiotics
antichrist	Antikristo
anticipate	Nagpaabut
anticipation	pagpaabut
anticipatory	anticipatory
antics	antik
antidote	antidote
antifungal	antifungal
antigravity	antigravity
antimony	antimony
antipathy	antipathy
antiquarian	antiquarian
antiquated	kinaraan
antique	antique
antiques	antik
antiquity	kanhi
antiseptic	antiseptic
antisocial	antisosyal
antithesis	antitesis
antithetical	antithetical
antiviral	antivirus
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	kabalaka
anxietyattack	NO TRANSLATION
anxious	nabalaka
anxiousness	kabalaka
anytime	bisan kanus-a
aorta	aorta
aortic	aortic
apace	gilayon
apache	apache
apartment	apartment
apartments	apartment
apathetic	walay pagtagad
apathy	pagkawalay pagtagad
ape	ape
aperture	aperture
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	matag usa
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	apologetic
apologist	apologist
apologize	pasayloa
apology	pasaylo
apostasy	apostasiya
apostate	apostata
apostle	apostol
apostolic	apostoliko
apostrophe	apostrophe
apothecary	apotya
appalled	nahadlok
appalling	makalilisang
apparatus	apparatus
apparel	panapton
apparent	dayag
apparently	dayag
apparition	pagpakita
appeal	apelar
appear	magpakita
appearance	panagway
appease	paghupay
appellant	appellant
append	pagdugang
appendage	appendage
appendectomy	appendectomy
appendicitis	apendisitis
appendix	apendiks
appetite	gana
appetizer	appetizer
appetizing	gana
applaud	magpalakpak
applause	palakpak
apple	mansanas
apple juice	apple juice
applejack	applejack
applesauce	mansanas
appliance	kasangkapan
appliances	appliances
applicability	paggamit
applicable	magamit
applicant	aplikante
application	aplikasyon
apply	magamit
appoint	pagtudlo
appointment	pagkatudlo
appointments	pagtudlo
apportion	apportion
apportionment	apportionment
appraisal	pagtan-aw
appraise	pagtan-aw
appreciable	madanihon
appreciate	pagpasalamat
appreciated	gipasalamatan
appreciates	nagpasalamat
appreciation	apresasyon
appreciative	mapasalamaton
apprehend	pagdakop
apprehension	kabalaka
apprehensive	nahadlok
apprentice	aprentis
apprenticeship	aprentisasyon
approach	pagduol
approaching	nagsingabot
approbate	NO TRANSLATION
approbation	pag-uyon
appropriate	angay
appropriation	paggahin
approval	pag-uyon
approve	mouyon
approved	aprobahan
approvement	pag-uyon
approving	aprobahan
approximate	kapin kun kulang
approximately	gibana-bana
approximating	pagpaabut
approximation	pagduol
appurtenances	appurtenances
apricot	apricot
apron	apron
apt	haom
aptitude	aptitude
aqua	aqua
aquamarine	aquamarine
aquarium	aquarium
aquatic	aquatic
aqueduct	aqueduct
aqueous	aqueous
arable	arable
arbiter	arbiter
arbitrary	arbitraryo
arbitrate	arbitrate
arbitration	arbitrasyon
arbitrator	arbitrator
arbor	Arbor
arc	arc
arcade	arcade
arcane	arcane
arch	arko
archaeological	arkeolohiko
archaeologist	arkeologo
archaeology	arkeolohiya
archaic	karaan
archangel	arkanghel
archbishop	arsobispo
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	mamumuno
archery	pagpana
archetype	archetype
archipelago	arkipelago
architect	arkitekto
architectural	arkitektura
architecture	arkitektura
archive	archive
arctic	Arctic
ardent	ardent
ardor	ardor
arduous	malisud
area	lugar
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	makiglalis
argument	argumento
argumentation	argumento
argumentative	makiglalis
arguments	mga argumento
arid	ulan
arise	bangon
aristocracy	aristokrasya
aristocrat	aristokrata
aristocratic	aristokratiko
arithmetic	aritmetika
ark	arka
arm	bukton
armada	armada
armament	armament
armaments	mga armas
armature	armature
armchair	armchair
armed	armado
armor	armor
armored	armored
armory	armory
armpit	bukton
arms	mga bukton
army	kasundalohan
aroma	kahumot
aromatherapy	aromatherapy
arousal	pagpukaw
arouse	pukaw
aroused	napukaw
arraignment	arraignment
arrange	paghikay
arranged	gihikay
arrangement	kahikayan
array	Armas
arrears	atraso
arrest	dakpon
arrhythmia	arrhythmia
arrival	pag-abot
arrive	moabot
arrogance	pagkamapahitas-on
arrogant	arogante
arrow	udyong
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	arson
arsonist	arsonist
art	art
arterial	arterial
artery	arterya
artful	artful
arthritis	arthritis
arthropod	arthropod
artichoke	artichoke
article	artikulo
articles	mga artikulo
articulate	articulate
articulation	pagsulti
artifact	butang
artifice	artipisyal
artificial	artipisyal
artillery	artillery
artisan	artisan
artist	artist
artiste	NO TRANSLATION
artistic	artistic
artistry	artistry
artists	artists
artwork	artwork
arty	arty
asap	asap
asbestos	asbestos
ascend	pagsaka
ascendancy	pagkagamhanan
ascendant	pagsaka
ascending	pagsaka
ascension	pagsaka
ascent	ascent
ascertain	tino
ascertained	matino
ascetic	asetiko
ash	abo
ashamed	nahuya
ashes	abo
ashtray	asbahan
asinine	asinine
ask	pangutana
asleeep	NO TRANSLATION
asleep	nakatulog
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	aspeto
aspects	mga aspeto
aspen	us aka
asphalt	aspalto
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	pangandoy
aspire	nangandoy
aspirin	aspirin
aspiring	nangandoy
ass	asno
assail	pagsulong
assailant	tigpamaba
assassin	mamumuno
assassinate	pagpatay
assassination	pagpatay
assault	pag-atake
assay	pagsulay
assemblage	pagpundok
assemble	magtipon
assembled	nagtigum
assembly	katilingban
assemblyman	asembleya
assent	pag-uyon
assert	ipahayag
asserting	nga nagapamatuud
assertion	pamahayag
assertive	agresibo
assess	pagsusi
assessment	pagtuon
assessor	assessor
asset	asset
assets	mga kabtangan
asshole	asshole
assign	assign
assignee	assignee
assignment	assignment
assimilate	asimilate
assimilation	asimilasyon
assist	pagtabang
assistance	tabang
assistant	assistant
associate	Kauban
association	asosasyon
assorted	nagkalainlain
assortment	nagkalainlain
assuage	paghupay
assume	hunahunaa
assumed	gituohan
assuming	asumon
assumption	panghunahuna
assurance	kasiguroan
assure	nagpasalig
assured	nagpasalig
assuredly	sigurado
asterisk	asterisk
asteroid	asteroid
asteroids	asteroids
asthma	hika
asthmatic	asthmatic
astigmatism	astigmatismo
astonish	kahibulongan
astonished	nahingangha
astonishing	kahibulongan
astonishingly	NO TRANSLATION
astonishment	kahibulong
astound	nahingangha
astral	astral
astray	nahisalaag
astringent	astringent
astrologer	astrologo
astrology	astrolohiya
astronaut	astronaut
astronomer	astronomo
astronomical	astronomikanhon
astronomy	astronomiya
astute	maayo
asunder	nagbulag
asylum	asylum
asymmetric	asymmetric
asymmetry	asymmetry
asymptotic	asymptotic
atelier	atelier
atheism	ateyismo
atheist	atheist
atheistic	ateyistic
atherosclerosis	atherosclerosis
athlete	atleta
athletic	atleta
athleticism	athleticism
athletics	athletics
atlas	atlas
atmosphere	atmospera
atmospheric	atmospera
atoll	atoll
atom	atom
atomic	atomic
atone	pagtan-aw
atonement	pagtabon sa sala
atpeace	atpeace
atrium	atrium
atrocious	atrocious
atrocity	kasuko
atrophy	atropiya
attach	pag-attach
attached	gilakip
attachment	kasuod
attack	atake
attacker	tig-atake
attacking	pag-atake
attain	makadangat
attainable	maangkon
attainment	pagkab-ot
attempt	pagsulay
attempted	misulay
attend	pagtambong
attendance	pagtambong
attendant	tig-alagad
attention	pagtagad
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	matinagdanon
attenuate	attenuate
attenuated	luya
attenuation	pagpahiluna
attest	pagpanghimatuud
attestation	pagpamatuod
attic	attic
attire	sinina
attitude	kinaiya
attorney	abogado
attract	pagdani
attraction	makapadani
attractive	madanihon
attractiveness	madanihon
attributable	nga gituohan
attribute	attribute
attribution	atake
attrition	attrition
auburn	auburn
auction	subasta
auctioneer	auctioneer
audacious	madasigon
audacity	kaisog
audible	madungog
audience	mamiminaw
audio	audio
audit	audit
audition	pag-audition
auditions	audition
auditor	auditor
auditorium	auditorium
auditory	auditory
aught	usa ka butang
augment	pagdugang
augmentation	pagdugang
august	Agosto
aunt	iyaan
auntie	auntie
aura	aura
aurora	aurora
auspices	anus
auspicious	mapuslanon
austere	austere
austerity	pagdaginot
authentic	tinuod
authenticate	testigo
authentication	pagkatinuod
authenticity	pagkatinuod
author	awtor
authoritative	awtorisado
authority	awtoridad
authorization	awtorisasyon
authorize	pagtugot
authorized	awtorisado
authorship	awtor
autism	autism
autistic	autistic
auto	auto
autobiographical	autobiographical
autobiography	autobiography
autocorrect	autocorrect
autocratic	autocratic
autograph	autograph
autographed	awhag
automated	awtomatiko
automatic	awtomatiko
automobile	awto
automotive	automotive
autonomy	awtonomiya
autopilot	autopilot
autopsy	autopsy
autumn	tingdagdag
auxiliary	auxiliary
avail	mapuslanon
availability	pagkabaton
available	anaa
avalanche	pagdahili
avarice	pagkalipay
avatar	avatar
avenge	pagpanimalos
avenger	tigpanimalos
avenging	pagpanimalos
avenue	avenue
aver	NO TRANSLATION
average	average
aversation	aberasyon
averse	naglikay
averseness	kabalaka
aversion	pag-ayad
avert	avert
aviary	aviary
aviation	abyon
aviator	aviator
avid	malipayon
avocado	avocado
avoid	likayi
avoidance	paglikay
avoiding	paglikay
await	naghulat
awake	pagmata
awaken	pagmata
awakening	nahigmata
award	award
awards	awards
aware	nahibal-an
awareness	kahibalo
awe	NO TRANSLATION
awed	nahibulong
awesome	makalilisang
awesomeness	awesomeness
awestruck	awestruck
awful	makalilisang
awkward	bakikaw
awkwardness	awkwardness
awning	awning
awry	awry
axe	atsa
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	axis
axle	ehe
ay	ay
aye	aye
azimuth	azimuth
azure	azure
babble	nagsulti
babbling	pagbugalbugal
babe	Babaye
baboon	baboon
baby	bata
babysit	babysit
babysitter	babysitter
baccalaureate	baccalaureate
baccarat	Baccarat
bachelor	bachelor
bachelorette	bachelorette
back	balik
backboard	backboard
backbone	backbone
backdoor	backdoor
backdrop	backdrop
backer	tigpaluyo
backfire	backfire
backgammon	backgammon
background	background
backhand	backhand
backhoe	backhoe
backoff	backoff
backpack	backpack
backpacker	backpacker
backroom	silid nga silyaanan
backseat	backseat
backside	sa likod
backtrack	Balik-balik
backup	tabang
backward	paatras
backwardness	pagkasinalikway
backwards	pabalik
backwater	balik sa tubig
backwoods	nga mga kahoy
backyard	tugkaran
bacon	Bacon
bacteria	bakterya
bacterial	bakterya
bacterium	bakterya
bad	dili maayo
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	badger
badhabit	NO TRANSLATION
badly	dili maayo
badness	pagkadaotan
baffle	sayup
baffled	nakalimot
bag	bag
bagel	bagel
baggage	bagahe
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	bagpipes
bail	piyansa
bailiff	algwasil
bait	paon
bake	magluto
bakery	panaderya
baking	linuto sa kalaha
bal	NO TRANSLATION
balance	balanse
balanced	balanse
balcony	balkonahe
bald	upaw
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	bola
ballad	balad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	ballgame
ballistic	ballistic
ballistics	ballistics
balloon	balon
ballot	balota
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	ballsy
balm	balsamo
balmy	balmy
balsam	balsamo
balsamic	balsamic
bam	bam
bamboo	kawayan
ban	NO TRANSLATION
banana	saging
band	band
bandage	bandage
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandstand
bandwagon	bandwagon
bandwidth	bandwidth
bane	bane
bang	bang
banger	banger
banish	papahawaa
banished	gibiyaan
banishment	paghingilin
banister	bantayanan
banjo	banjo
bank	bangko
banker	banker
banking	bangko
bankroll	bankroll
bankrupt	bangkrap
bankruptcy	pagkabangkarote
banner	bandera
banquet	bangkete
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	bunyag
baptismal	bunyag
baptize	pagbunyag
bar	bar
barb	barb
barbarian	barbarian
barbaric	barbaric
barbarism	barbarismo
barbecue	barbecue
barbed	barbed
barber	barbero
barbershop	barbershop
barbie doll	Barbie nga monyeka
bard	bard
bare	hubo
bareback	walay labot
barefoot	nagtiniil
barely	halos wala
barf	barf
bargain	barato
bargaining	bargaining
barge	barge
baritone	baritone
barium	barium
bark	panit
barkeep	barkeep
barks	barks
barley	barley
barmaid	barmaid
barman	barman
barn	kamalig
barnacle	tanghaga
barney	barney
barnyard	barnyard
barometer	barometer
baron	baron
baroness	baroness
baroque	baroque
barrack	baraks
barracuda	barakuda
barrage	barrage
barred	gidid-an
barrel	baril
barren	apuli
barricade	barikada
barrier	babag
barring	pagpugong
barrister	barrister
barroom	barroom
barrow	barrow
bartender	bartender
barter	barter
base	base
baseball	baseball
baseball bat	baseball bat
baseboard	baseboard
baseless	walay basehan
baseline	baseline
baseman	baseman
basement	basement
bases	mga base
bash	bash
bashful	bashful
basic	sukaranan
basics	mga sukaranan
basil	basil
basilica	basilica
basin	basin
basis	basehan
bask	bask
basket	basket
basketball	basketball
bass	bass
bass guitar	bass guitar
basso	NO TRANSLATION
bassoon	bassoon
bastard	bastard
bastarding	bastarding
bastards	bastards
bastion	bastion
bat	kabog
batch	batch
batching	batching
bate	NO TRANSLATION
bath	kaligoanan
bathe	ligoa
bathhouse	bathhouse
bathing	naligo
bathrobe	bathrobe
bathroom	kaligoanan
bathtub	bathtub
bathymetry	bathymetry
baton	baton
battalion	batalyon
batter	batter
battered	gikulata
battering	pagpugong
battery	baterya
battle	away
battled	nakigbisog
