Word	vi
adjuster	người điều chỉnh
adjustment	sự điều chỉnh
adjuvant	tá dược
admin	quản trị viên
administer	quản lý
administration	quản trị
administrative	hành chính
administrator	người quản lý
admirable	đáng ngưỡng mộ
admiral	đô đốc
admiralty	đô đốc
admiration	sự khâm phục
admire	ngưỡng mộ
admired	ngưỡng mộ
admirer	người hâm mộ
admiring	ngưỡng mộ
admissibility	sự chấp nhận
admissible	chấp nhận được
admission	nhận vào
admit	thừa nhận
admittance	sự đi vào
admitted	thừa nhận
admitting	thừa nhận
admixture	phụ gia
admonition	lời khuyên dạy
ado	ado
adobe	adobe
adolescence	tuổi vị thành niên
adolescent	thanh niên
adopt	chấp nhận
adoption	nhận con nuôi
adoptive	nuôi con nuôi
adorable	đáng yêu
adoration	sự tôn kính
adore	yêu thích
adoring	adoring
adorn	tô điểm
adornment	trang sức
adrenalin	adrenalin
adrenaline	adrenaline
adrift	trôi dạt
adult	người lớn
adulterated	bị tạp nhiễm
adulterer	người ngoại tình
adultery	ngoại tình
adulthood	trưởng thành
advance	nâng cao
advanced	nâng cao
advancement	sự tiến bộ
advancing	tiến lên
advantage	lợi thế
advantageous	thuận lợi
advent	sự ra đời
adventure	cuộc phiêu lưu
adventurer	nhà thám hiểm
adventures	cuộc phiêu lưu
adventurous	phiêu lưu
adversary	kẻ thù
adverse	bất lợi
adversity	nghịch cảnh
advertise	Quảng cáo
advertisement	Quảng cáo
advertising	quảng cáo
adverts	quảng cáo
advice	khuyên bảo
advisable	được khuyến khích
advise	khuyên nhủ
advised	khuyên
advisement	lời khuyên
adviser	cố vấn
advisor	người cố vấn
advisory	tham mưu
advocacy	vận động
advocate	biện hộ
aegis	aegis
aeration	sự thông khí
aerial	trên không
aerobics	thể dục nhịp điệu
aerodrome	sân bay
aerodynamic	khí động học
aerodynamics	khí động học
aeronautics	hàng không
aeroplane	Máy bay
aerospace	hàng không vũ trụ
aesthetic	thẩm mỹ
aesthetics	tính thẩm mỹ
aetiology	nguyên nhân
afar	xa
affable	đáng tin cậy
affair	chuyện tình
affect	có ảnh hưởng đến
affecting	ảnh hưởng đến
affection	tình cảm
affectionate	tình cảm
affections	tình cảm
affiche	NO TRANSLATION
affidavit	tuyên thệ
affiliated	liên kết
affiliation	liên kết
affinity	ái lực
affirm	khẳng định
affirmation	sự xác nhận
affirmative	khẳng định
affirmatively	khẳng định
affix	đóng dấu
afflict	đau khổ
afflicted	bị ảnh hưởng
affliction	phiền não
affluence	sự sung túc
affluent	giàu có
afford	mua được
affordable	giá cả phải chăng
affront	phản đối
affronted	bị phản đối
afield	afield
afire	Một đám cháy
afloat	afloat
afore	afore
aforementioned	đã nói ở trên
aforesaid	đã nói ở trên
afraid	sợ
afresh	afresh
african	người châu phi
aft	phía sau
afterlife	thế giới bên kia
aftermath	hậu quả
afternoon	buổi chiều
aftershave	cạo râu
aftertaste	dư vị
afterthought	suy nghĩ
aga	NO TRANSLATION
agape	agape
agate	agate
age	tuổi tác
aged	tuổi
agency	đại lý
agenda	chương trình làm việc
agent	đặc vụ
agglomeration	sự kết tụ
aggravate	làm trầm trọng thêm
aggravated	trầm trọng hơn
aggravates	làm trầm trọng thêm
aggravating	tình tiết tăng nặng
aggravation	tình tiết tăng nặng
aggregate	tổng hợp
aggregation	tập hợp
aggresive	NO TRANSLATION
aggression	Hiếu chiến
aggressive	xâm lược
aggressively	tích cực
aggressiveness	hung hăng
aggressor	kẻ xâm lăng
agh	agh
aghast	kinh ngạc
aghhh	NO TRANSLATION
agile	nhanh nhẹn
agility	sự nhanh nhẹn
aging	lão hóa
agitate	khuấy động
agitated	kích động
agitation	kích động
aglow	aglow
agnostic	bất khả tri
ago	trước đây
agonizing	khổ sở
agony	đau đớn
agoraphobia	sự sợ hãi
agree	đồng ý
agreeable	dễ chịu
agreed	đã đồng ý
agreeing	đồng ý
agreement	thỏa thuận
agressive	NO TRANSLATION
agricultural	nông nghiệp
agriculture	nông nghiệp
aground	mắc cạn
agua	NO TRANSLATION
ahead	phía trước
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	viện trợ
aide	phụ tá
aiding	trợ giúp
aids	AIDS
ail	đau
ailing	ốm yếu
ailment	bệnh tật
aim	mục đích
aimless	không có mục đích
air	không khí
airbag	túi khí
airborne	trên không
aircraft	phi cơ
aircraft carrier	tàu sân bay
airfield	sân bay
airhead	đầu máy bay
airlift	phi cơ
airline	hãng hàng không
airliner	máy bay
airlock	airlock
airman	phi công
airplane	Máy bay
airport	sân bay
airs	phát sóng
airship	khí cầu
airspace	không phận
airspeed	máy bay
airstrip	đường băng
airtight	kín
airway	đường hàng không
aisle	lối đi
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	hay còn gọi là
akin	akin
alabaster	alabaster
alarm	báo thức
alarm clock	đồng hồ báo thức
alarmed	đáng báo động
alarming	đáng báo động
alas	than ôi
alb	NO TRANSLATION
albatross	hải âu
albino	albino
album	album
alchemy	giả kim thuật
alcohol	rượu
alcoholic	có cồn
alcoholism	nghiện rượu
alcove	hốc tường
alderman	alderman
ale	NO TRANSLATION
alert	cảnh báo
alertness	sự tỉnh táo
alerts	cảnh báo
alfalfa	cỏ linh lăng
algebra	đại số học
algebraic	đại số
algorithm	thuật toán
alias	bí danh
alibi	alibi
alien	người ngoài hành tinh
alienate	xa lánh
alienated	xa lánh
alienation	sự xa lánh
alight	xuống xe
align	căn chỉnh
aligned	căn chỉnh
alignment	căn chỉnh
alike	như nhau
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	sống sót
alkali	kiềm
alkaloids	ancaloit
allay	allay
allegation	cáo buộc
allege	cáo buộc
alleged	bị cáo buộc
allegiance	lòng trung thành
allegorical	ngụ ngôn
allegory	câu chuyện ngụ ngôn
allegro	allegro
allergic	dị ứng
allergy	dị ứng
alleviate	làm giảm bớt
alleviation	giảm bớt
alley	con hẻm
alleyway	con hẻm
alliance	liên minh
allied	đồng minh
alligator	cá sấu
allocate	chỉ định
allocation	phân bổ
allot	tất cả
allotment	phân bổ
allow	cho phép
allowable	cho phép
allowance	phụ cấp
allowed	được phép
alloy	hợp kim
allsmiles	NO TRANSLATION
allure	quyến rũ
alluring	quyến rũ
allusion	ám chỉ
alluvial	phù sa
ally	đồng minh
almanac	almanac
almighty	toàn năng
almond	hạnh nhân
aloft	trên cao
aloha	aloha
alone	một mình
alongside	bên cạnh
aloof	đứng cách xa
aloud	to tiếng
alpha	alpha
alphabet	bảng chữ cái
alphabetical	chữ cái
alpine	alpine
alreadyyyyy	hadyyyy
altar	bàn thờ
altar boy	cậu bé bàn thờ
alter	thay đổi
alteration	sự thay đổi
altercation	sự thay đổi
altered	thay đổi
alternate	Luân phiên
alternating	xen kẽ
alternative	thay thế
altimeter	đo độ cao
altitude	độ cao
alto	alto
altogether	hoàn toàn
aluminum	nhôm
alumnus	sinh viên
alveolar	phế nang
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	sự hợp nhất
amaretto	amaretto
amass	tích lũy
amateur	nghiệp dư
amaze	ngạc nhiên
amazed	ngạc nhiên
amazedness	NO TRANSLATION
amazement	sự kinh ngạc
amazing	kinh ngạc
amazingly	kinh ngạc
ambassador	đại sứ
amber	hổ phách
ambience	không khí
ambient	môi trường xung quanh
ambiguity	sự mơ hồ
ambiguous	mơ hồ
ambit	ambit
ambition	tham vọng
ambitious	đầy tham vọng
ambivalent	mâu thuẫn
ambrosia	phấn hoa
ambulance	xe cứu thương
ambush	phục kích
ameliorate	cải thiện
amen	amen
amenable	chịu trách nhiệm
amend	sửa đổi
amendment	sửa đổi
amends	sửa đổi
amenity	lể nghi
amethyst	thạch anh tím
amiable	đáng yêu
amicable	thân thiện
amid	giữa lúc
amidst	giữa
amino	amino
ammo	đạn
ammonia	amoniac
ammonium	amoni
ammunition	đạn dược
amnesia	mất trí nhớ
amnesty	ân xá
amorous	ham mê
amorphous	vô định hình
amortization	khấu hao
amount	số tiền
amour	NO TRANSLATION
amp	amp
ampersand	dấu và
amphetamines	amphetamine
amphibian	động vật lưỡng cư
amphibious	đổ bộ
amphitheater	giảng đường
ample	dồi dào
amplification	khuếch đại
amplify	khoa trương
amplitude	biên độ
amply	amply
amputate	cưa đi
amputation	cắt cụt
amuck	ảm đạm
amulet	bùa hộ mệnh
amuse	thích thú
amused	thích thú
amusement	vui chơi giải trí
amusing	vui
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	gây tê
anaesthetic	thuốc mê
anagram	đảo chữ cái
anal	hậu môn
analgesic	thuốc giảm đau
analogous	tương tự
analogue	tương tự
analogy	sự giống nhau
analysis	phân tích
analyst	nhà phân tích
analytic	phân tích
analytical	phân tích
analyze	phân tích
analyzer	người phân tích
anaphylactic	phản vệ
anarchism	chủ nghĩa vô chính phủ
anarchist	vô chính phủ
anarchy	tình trạng hỗn loạn
anastomosis	sự phá hủy
anathema	thuốc anathema
anatomic	giải phẫu
anatomy	giải phẫu học
ancestor	tổ tiên
ancestral	tổ tiên
ancestry	tổ tiên
anchor	mỏ neo
anchorage	neo đậu
ancient	xưa
ancillary	phụ trợ
androgen	androgen
android	android
anecdote	giai thoại
anemia	thiếu máu
anemic	thiếu máu
anemone	hải quỳ
anesthesia	gây tê
anesthesiologist	bác sĩ gây mê
anesthetic	thuốc mê
aneurysm	chứng phình động mạch
anew	một lần nữa
angel	Thiên thần
angelic	thiên thần
anger	Sự phẫn nộ
angered	tức giận
angermanagement	NO TRANSLATION
angina	đau thắt ngực
angiogram	angiogram
angiography	chụp động mạch
angle	góc
angling	Câu cá
angora	angora
angriest	angriest
angry	bực bội
angrytweet	NO TRANSLATION
angst	sợ
anguish	đau khổ
anguished	đau khổ
angular	góc cạnh
anhydrous	khan
animal	thú vật
animate	animate
animated	hoạt hình
animation	hoạt hình
animosity	sự thù địch
animus	animus
ankle	mắt cá
anklet	vòng chân
annals	biên niên sử
annex	Phụ lục
annexation	sự sát nhập
annexe	NO TRANSLATION
annihilate	tiêu diệt
annihilated	tiêu diệt
annihilation	hủy diệt
anniversary	ngày kỷ niệm
annotate	chú thích
annotation	chú thích
announce	thông báo
announcement	thông báo
announcer	người thông báo
annoy	làm phiền
annoyance	làm phiền
annoyed	khó chịu
annoyin	NO TRANSLATION
annoying	làm phiền
annoys	làm phiền
annual	hàng năm
annuity	niên kim
annul	hủy bỏ
annular	hình khuyên
annulment	hủy bỏ
annulus	annulus
anointed	xức dầu
anointing	xức dầu
anomalous	dị thường
anomaly	bất thường
anon	anon
anonymity	giấu tên
anonymous	vô danh
anorexic	chứng biếng ăn
answer	câu trả lời
answerable	có thể trả lời
answering	trả lời
ant	kiến
antagonism	đối kháng
antagonist	nhân vật phản diện
antagonistic	phản đối
antagonize	đối kháng
ante	NO TRANSLATION
antecedent	tiền lệ
antelope	Linh dương
antenna	ăng ten
anterior	phía trước
anthem	quốc ca
anthill	anthill
anthology	tuyển tập
anthrax	bệnh than
anthropological	nhân chủng học
anthropologist	nhà nhân chủng học
anthropology	nhân chủng học
anti	chống lại
antiaircraft	phòng không
antibiotic	kháng sinh
antibiotics	kháng sinh
antichrist	antichrist
anticipate	dự đoán trước
anticipation	dự đoán
anticipatory	dự đoán trước
antics	NO TRANSLATION
antidote	thuốc giải độc
antifungal	kháng nấm
antigravity	chống trọng lực
antimony	antimon
antipathy	sự phản đối
antiquarian	đồ cổ
antiquated	cổ xưa
antique	đồ cổ
antiques	đồ cổ
antiquity	cổ xưa
antiseptic	sát khuẩn
antisocial	chống đối xã hội
antithesis	phản đối
antithetical	phản đối
antiviral	kháng virus
antler	gạc
antsy	antsy
anus	hậu môn
anvil	đe dọa
anxiety	sự lo ngại
anxietyattack	NO TRANSLATION
anxious	lo lắng
anxiousness	sự lo lắng
anytime	Bất cứ lúc nào
aorta	aorta
aortic	động mạch chủ
apace	apace
apache	apache
apartment	căn hộ, chung cư
apartments	căn hộ
apathetic	thờ ơ
apathy	sự thờ ơ
ape	ape
aperture	khẩu độ
apex	đỉnh
aphid	rệp
aphrodisiac	kích thích tình dục
apiece	một mảnh
aplomb	aplomb
apocalypse	tận thế
apocalyptic	khải huyền
apologetic	xin lỗi
apologist	người biện hộ
apologize	xin lỗi
apology	lời xin lỗi
apostasy	sự bội đạo
apostate	apostate
apostle	tông đồ
apostolic	tông đồ
apostrophe	dấu nháy đơn
apothecary	bào chế thuốc
appalled	kinh khủng
appalling	kinh khủng
apparatus	bộ máy
apparel	trang phục
apparent	rõ ràng
apparently	hình như
apparition	sự xuất hiện
appeal	kháng nghị
appear	xuất hiện
appearance	xuất hiện
appease	xoa dịu
appellant	người kháng cáo
append	nối thêm
appendage	phần phụ
appendectomy	cắt bỏ ruột thừa
appendicitis	viêm ruột thừa
appendix	ruột thừa
appetite	sự thèm ăn
appetizer	Món khai vị
appetizing	ngon miệng
applaud	hoan nghênh
applause	vỗ tay
apple	táo
apple juice	nước táo
applejack	Rượu làm bằng trái táo
applesauce	applesauce
appliance	thiết bị
appliances	thiết bị
applicability	khả năng ứng dụng
applicable	áp dụng
applicant	người nộp đơn
application	ứng dụng
apply	ứng dụng
appoint	bổ nhiệm
appointment	cuộc hẹn
appointments	cuộc hẹn
apportion	chia
apportionment	sự phân chia
appraisal	sự thẩm định
appraise	thẩm định
appreciable	đáng khen ngợi
appreciate	đánh giá
appreciated	đánh giá cao
appreciates	đánh giá cao
appreciation	sự đánh giá
appreciative	đánh giá cao
apprehend	bắt giữ
apprehension	lo sợ
apprehensive	sợ hãi
apprentice	học nghề
apprenticeship	sự học việc
approach	tiếp cận
approaching	tiếp cận
approbate	NO TRANSLATION
approbation	sự phê chuẩn
appropriate	thích hợp
appropriation	sự chiếm đoạt
approval	sự chấp thuận
approve	phê duyệt
approved	tán thành
approvement	sự phê chuẩn
approving	phê duyệt
approximate	gần đúng
approximately	xấp xỉ
approximating	gần đúng
approximation	xấp xỉ
appurtenances	phụ cấp
apricot	mơ
apron	tạp dề
apt	apt
aptitude	năng khiếu
aqua	thủy sản
aquamarine	aquamarine
aquarium	bể nuôi cá
aquatic	thủy sản
aqueduct	ống dẫn nước
aqueous	dung dịch nước
arable	có thể trồng được
arbiter	trọng tài
arbitrary	tùy ý
arbitrate	phân xử
arbitration	trọng tài
arbitrator	trọng tài
arbor	cây thông
arc	vòng cung
arcade	giải trí
arcane	phức tạp
arch	vòm
archaeological	khảo cổ học
archaeologist	nhà khảo cổ học
archaeology	khảo cổ học
archaic	cổ xưa
archangel	tổng lãnh thiên thần
archbishop	tổng giám mục
archdiocese	tổng giáo phận
archduke	âm mưu
arched	cong
archer	Người bắn cung
archery	bắn cung
archetype	nguyên mẫu
archipelago	quần đảo
architect	kiến trúc sư
architectural	kiến trúc
architecture	kiến trúc
archive	lưu trữ
arctic	bắc cực
ardent	hăng hái
ardor	ardor
arduous	gian truân
area	khu vực
arena	đấu trường
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	tranh luận
argument	tranh luận
argumentation	sự tranh luận
argumentative	tranh luận
arguments	lập luận
arid	khô khan
arise	nảy sinh
aristocracy	tầng lớp quý tộc
aristocrat	quý tộc
aristocratic	quý tộc
arithmetic	số học
ark	hòm
arm	cánh tay
armada	armada
armament	vũ trang
armaments	vũ khí
armature	phần ứng
armchair	ghế bành
armed	vũ trang
armor	áo giáp
armored	bọc thép
armory	kho vũ khí
armpit	nách
arms	cánh tay
army	quân đội
aroma	mùi thơm
aromatherapy	hương liệu
arousal	kích thích
arouse	đánh thức
aroused	dấy lên
arraignment	arraignment
arrange	sắp xếp
arranged	sắp xếp
arrangement	sắp xếp
array	mảng
arrears	nợ
arrest	bắt giữ
arrhythmia	loạn nhịp tim
arrival	đến
arrive	đến
arrogance	kiêu căng
arrogant	kiêu ngạo
arrow	mũi tên
arsehole	arsehole
arseholes	arseholes
arsenal	kho vũ khí
arsenic	asen
arson	arson
arsonist	arsonist
art	nghệ thuật
arterial	động mạch
artery	động mạch
artful	khéo léo
arthritis	viêm khớp
arthropod	động vật chân đốt
artichoke	atisô
article	bài báo
articles	bài viết
articulate	khớp nối
articulation	khớp nối
artifact	tạo tác
artifice	đồ tạo tác
artificial	nhân tạo
artillery	pháo binh
artisan	nghệ nhân
artist	nghệ sĩ
artiste	NO TRANSLATION
artistic	nghệ thuật
artistry	nghệ thuật
artists	nghệ sĩ
artwork	tác phẩm nghệ thuật
arty	arty
asap	càng sớm càng tốt
asbestos	amiăng
ascend	lên
ascendancy	sự lên ngôi
ascendant	lên cao
ascending	tăng dần
ascension	thăng thiên
ascent	đi lên
ascertain	xác định
ascertained	xác định chắc chắn
ascetic	khổ hạnh
ash	tro
ashamed	hổ thẹn
ashes	đống tro tàn
ashtray	gạt tàn
asinine	ngu si
ask	hỏi
asleeep	NO TRANSLATION
asleep	ngủ
asp	khao khát
asparagus	măng tây
aspartame	aspartame
aspect	khía cạnh
aspects	các khía cạnh
aspen	aspen
asphalt	nhựa đường
asphyxia	ngạt thở
asphyxiation	sự ngạt thở
aspiration	khát vọng
aspire	khao khát
aspirin	aspirin
aspiring	tham vọng
ass	ass
assail	tấn công
assailant	kẻ tấn công
assassin	kẻ ám sát
assassinate	ám sát
assassination	ám sát
assault	tấn công
assay	khảo nghiệm
assemblage	tập hợp
assemble	tập hợp
assembled	lắp ráp
assembly	hội,, tổ hợp
assemblyman	người lắp ráp
assent	đồng ý
assert	khẳng định
asserting	khẳng định
assertion	quả quyết
assertive	quả quyết
assess	đánh giá
assessment	thẩm định, lượng định, đánh giá
assessor	người đánh giá
asset	tài sản
assets	tài sản
asshole	lỗ đít
assign	chỉ định
assignee	người được chuyển nhượng
assignment	bài tập
assimilate	đồng hóa
assimilation	đồng hóa
assist	hỗ trợ
assistance	hỗ trợ
assistant	phụ tá
associate	liên kết
association	sự kết hợp
assorted	các loại
assortment	phân loại
assuage	assuage
assume	giả định
assumed	giả định
assuming	giả định
assumption	giả định
assurance	sự bảo đảm
assure	cam đoan
assured	yên tâm
assuredly	chắc chắn
asterisk	dấu hoa thị
asteroid	tiểu hành tinh
asteroids	tiểu hành tinh
asthma	bệnh suyễn
asthmatic	hen suyễn
astigmatism	loạn thị
astonish	kinh ngạc
astonished	kinh ngạc
astonishing	kinh ngạc
astonishingly	NO TRANSLATION
astonishment	sự kinh ngạc
astound	kinh ngạc
astral	astral
astray	lạc đường
astringent	làm se
astrologer	nhà chiêm tinh
astrology	chiêm tinh học
astronaut	phi hành gia
astronomer	nhà thiên văn học
astronomical	thiên văn
astronomy	thiên văn học
astute	sắc sảo
asunder	bừa bãi
asylum	xin tị nạn
asymmetric	bất đối xứng
asymmetry	bất đối xứng
asymptotic	tiệm cận
atelier	atelier
atheism	vô thần
atheist	người vô thần
atheistic	vô thần
atherosclerosis	xơ vữa động mạch
athlete	lực sĩ
athletic	Khỏe mạnh
athleticism	môn thể thao
athletics	điền kinh
atlas	bản đồ
atmosphere	không khí
atmospheric	khí quyển
atoll	đảo san hô
atom	nguyên tử
atomic	nguyên tử
atone	chuộc tội
atonement	sự chuộc tội
atpeace	hòa bình
atrium	tâm nhĩ
atrocious	gớm ghiếc
atrocity	tàn bạo
atrophy	teo
attach	đính kèm
attached	đính kèm
attachment	tập tin đính kèm
attack	tấn công
attacker	kẻ tấn công
attacking	tấn công
attain	đạt được
attainable	có thể đạt được
attainment	đạt được
attempt	cố gắng
attempted	đã cố gắng
attend	tham gia
attendance	sự tham dự
attendant	tiếp viên
attention	chú ý
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	chú ý
attenuate	suy nhược
attenuated	suy nhược
attenuation	sự suy giảm
attest	chứng thực
attestation	sự chứng thực
attic	gác xép
attire	trang phục
attitude	Thái độ
attorney	luật sư
attract	thu hút
attraction	sức hút
attractive	hấp dẫn
attractiveness	sự hấp dẫn
attributable	có thể chia
attribute	thuộc tính
attribution	phân bổ
attrition	sự tiêu hao
auburn	auburn
auction	bán đấu giá
auctioneer	người bán đấu giá
audacious	táo bạo
audacity	sự táo bạo
audible	âm thanh
audience	thính giả
audio	âm thanh
audit	kiểm toán
audition	thử vai
auditions	thử giọng
auditor	kiểm toán viên
auditorium	thính phòng
auditory	thính giác
aught	aught
augment	tăng
augmentation	sự gia tăng
august	tháng Tám
aunt	cô
auntie	dì
aura	hào quang
aurora	rạng Đông
auspices	sự bảo trợ
auspicious	tốt lành
austere	khắc khổ
austerity	thắt lưng buộc bụng
authentic	xác thực
authenticate	xác thực
authentication	xác thực
authenticity	tính xác thực
author	tác giả
authoritative	có thẩm quyền
authority	thẩm quyền
authorization	sự cho phép
authorize	cho phép
authorized	được ủy quyền
authorship	quyền tác giả
autism	tự kỷ
autistic	tự kỷ
auto	Tự động
autobiographical	tự truyện
autobiography	tự truyện
autocorrect	tự động sửa
autocratic	tự trị
autograph	chữ ký
autographed	có chữ ký
automated	tự động
automatic	tự động
automobile	ô tô
automotive	ô tô
autonomy	quyền tự trị
autopilot	lái tự động
autopsy	khám nghiệm tử thi
autumn	mùa thu
auxiliary	phụ trợ
avail	tận dụng
availability	khả dụng
available	có sẵn
avalanche	lở tuyết
avarice	avarice
avatar	hình đại diện
avenge	trả thù
avenger	avenger
avenging	trả thù
avenue	đại lộ
aver	NO TRANSLATION
average	Trung bình cộng
aversation	NO TRANSLATION
averse	ngược lại
averseness	NO TRANSLATION
aversion	ác cảm
avert	ngăn chặn
aviary	chuồng chim
aviation	hàng không
aviator	phi công
avid	khao khát
avocado	trái bơ
avoid	tránh
avoidance	tránh
avoiding	tránh
await	đang chờ
awake	thức tỉnh
awaken	đánh thức
awakening	thức tỉnh
award	giải thưởng
awards	giải thưởng
aware	ý thức
awareness	nhận thức
awe	NO TRANSLATION
awed	kinh ngạc
awesome	tuyệt vời
awesomeness	khiếp sợ
awestruck	awestruck
awful	kinh khủng
awkward	lúng túng
awkwardness	lúng túng
awning	mái hiên
awry	không như ý
axe	rìu
axial	trục
axiom	tiên đề
axiomatic	tiên đề
axis	trục
axle	trục xe
ay	ay
aye	aye
azimuth	góc phương vị
azure	azure
babble	lảm nhảm
babbling	bập bẹ
babe	babe
baboon	khỉ đầu chó
baby	đứa bé
babysit	babysit
babysitter	người trông trẻ
baccalaureate	tú tài
baccarat	baccarat
bachelor	cử nhân
bachelorette	bachelorette
back	trở lại
backboard	bảng đen
backbone	xương sống
backdoor	cửa sau
backdrop	phông nền
backer	người ủng hộ
backfire	backfire
backgammon	backgammon
background	lý lịch
backhand	trái tay
backhoe	backhoe
backoff	rút lui
backpack	ba lô
backpacker	người đi du lịch
