Word	hmn
admonition	lus ntuas
ado	ado
adobe	adobe
adolescence	thaum tiav hluas
adolescent	tub ntxhais hluas
adopt	txais yuav
adoption	kev saws
adoptive	saws
adorable	adorable
adoration	kev qhuas
adore	nco txog
adoring	adoring
adorn	adorn
adornment	adornment
adrenalin	adrenaline
adrenaline	adrenaline
adrift	adrift
adult	tus laus
adulterated	adulterated
adulterer	adulterer
adultery	deev luag poj luag txiv
adulthood	adulthood
advance	ua ntej
advanced	advanced
advancement	kev nce qib
advancing	advancing
advantage	zoo dua
advantageous	zoo
advent	advent
adventure	taug txuj kev nyuaj
adventurer	adventurer
adventures	adventures
adventurous	adventurous
adversary	tus yeeb ncuab
adverse	adverse
adversity	kev nyuaj siab
advertise	tshaj tawm
advertisement	xov xwm
advertising	advertising
adverts	tshaj tawm
advice	tswv yim
advisable	tawm tswv yim
advise	tawm tswv yim
advised	qhia
advisement	kev tawm tswv yim
adviser	adviser
advisor	Advisor
advisory	advisory
advocacy	kev tawm suab
advocate	tus kws lij choj
aegis	aegis
aeration	aeration
aerial	aerial
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	dav hlau
aerospace	aerospace
aesthetic	zoo nkauj
aesthetics	zoo nkauj
aetiology	aetiology
afar	plaub
affable	ua tsaug
affair	kev yi
affect	cuam ​​tshuam
affecting	cuam ​​tshuam rau
affection	kev hlub
affectionate	kev hlub
affections	kev hlub
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	affiliated
affiliation	koom nrog
affinity	affinity
affirm	lees paub
affirmation	kev pom zoo
affirmative	qhia tseeb
affirmatively	ua ncaj ncees
affix	sau lo lus
afflict	afflict
afflicted	raug kev txom nyem
affliction	kev txom nyem
affluence	zoo siab
affluent	tus tswv cuab
afford	them taus
affordable	pheej yig
affront	affront
affronted	affronted
afield	tshaj tawm
afire	Afire
afloat	poob siab
afore	afore
aforementioned	lo lus hais
aforesaid	aforesaid
afraid	ntshai
afresh	afresh
african	Teb chaws africa
aft	aft
afterlife	tom qab lub neej
aftermath	tom qab
afternoon	tav su
aftershave	Ntxiv rau
aftertaste	aftertaste
afterthought	tom qab ntawd
aga	NO TRANSLATION
agape	agape
agate	agate
age	hnub nyoog
aged	laus
agency	koom haum
agenda	cov txheej txheem
agent	tus neeg sawv cev
agglomeration	agglomeration
aggravate	nyhav
aggravated	hnyav dua
aggravates	hnyav dua
aggravating	nyhav
aggravation	hnyav dua
aggregate	aggregate
aggregation	aggregation
aggresive	NO TRANSLATION
aggression	kev ua phem
aggressive	txhoj puab heev
aggressively	dhau heev lawm
aggressiveness	kev chim siab
aggressor	tus neeg dag
agh	agh
aghast	ib txhis
aghhh	NO TRANSLATION
agile	agile
agility	kev laus
aging	laus
agitate	ua siab ntev
agitated	ntxhov siab
agitation	ntxhov siab
aglow	aglow
agnostic	agnostic
ago	dhau los
agonizing	kev nyuaj siab
agony	kev txom nyem
agoraphobia	agoraphobia
agree	pom zoo
agreeable	pom zoo
agreed	pom zoo
agreeing	pom zoo
agreement	kev pom zoo
agressive	NO TRANSLATION
agricultural	ua liaj ua teb
agriculture	ua liaj ua teb
aground	aground
agua	NO TRANSLATION
ahead	tom ntej
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	pab
aide	tus pab
aiding	kev pab
aids	aids
ail	niam
ailing	ailing
ailment	kab mob kev nkeeg
aim	aim
aimless	aimless
air	cua
airbag	airbag
airborne	plav hav zoov
aircraft	aircraft
aircraft carrier	aircraft cov cab kuj
airfield	airfield
airhead	airhead
airlift	airlift
airline	tus menyuam
airliner	airliner
airlock	airlock
airman	airman
airplane	dav hlau
airport	tshav dav hlau
airs	cua
airship	airship
airspace	airspace
airspeed	airspeed
airstrip	cua daj cua dub
airtight	airtight
airway	airway
aisle	aisle
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	akin
alabaster	alabaster
alarm	lub tswb
alarm clock	tswb moos
alarmed	alarmed
alarming	alarming
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchemy
alcohol	cawv
alcoholic	dej cawv
alcoholism	kev quav dej caw
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	ceeb toom
alertness	alertness
alerts	ceeb toom
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algorithm
alias	alias
alibi	alibi
alien	nawj
alienate	Alienate
alienated	Alienated
alienation	kev tsis sib haum
alight	qhov tseeb
align	dlhos
aligned	kws dlhos
alignment	sib ncag
alike	zoo sib xws
alimentation	NO TRANSLATION
alimony	alimony
aliquot	kev ua si
alive	ciaj sia
alkali	alkali
alkaloids	alkaloids
allay	allay
allegation	kev liam
allege	allege
alleged	liam
allegiance	allegiance
allegorical	allegorical
allegory	allegory
allegro	Lus hauv no teb
allergic	allergic
allergy	kev tsis haum
alleviate	alleviate
alleviation	alleviation
alley	phoojywg
alleyway	alleyway
alliance	kev sib haum xeeb
allied	phooj ywg
alligator	tus phom sij
allocate	faib
allocation	faib
allot	allot
allotment	allotment
allow	cia
allowable	tso cai
allowance	nyiaj pub dawb
allowed	pub
alloy	alloy
allsmiles	NO TRANSLATION
allure	allure
alluring	alluring
allusion	allusion
alluvial	alluvial
ally	phooj ywg
almanac	almanac
almighty	muaj hwjchim
almond	almond
aloft	aloft
aloha	aloha
alone	nyob ib leeg
alongside	alongside
aloof	tsis muaj zog
aloud	nrov nrov
alpha	alpha
alphabet	niam ntawv
alphabetical	alphabetical
alpine	Alpine
alreadyyyyy	alreadyyyyy
altar	lub thaj
altar boy	thaj tub
alter	hloov
alteration	hloov
altercation	kev hloov altercation
altered	hloov kho
alternate	alternate
alternating	alternating
alternative	lwm txoj
altimeter	altimeter
altitude	altitude
alto	alto
altogether	zoo rau nws
aluminum	txhuas
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	ntsaws hniav
amalgamation	kev sib cais
amaretto	amaretto
amass	amass
amateur	pib xyaum ua
amaze	amaze
amazed	xav tsis thoob
amazedness	NO TRANSLATION
amazement	kev xav tsis thoob
amazing	amazing
amazingly	amazingly
ambassador	Ambassador
amber	Amber
ambience	ambience
ambient	ambient
ambiguity	ambiguity
ambiguous	ambiguous
ambit	ambit
ambition	ambition
ambitious	nquag
ambivalent	tsis pom kev
ambrosia	ambrosia
ambulance	ambulance
ambush	ambush
ameliorate	ameliorate
amen	amen
amenable	Amenable
amend	hloov kho
amendment	hloov kho
amends	hloov kho
amenity	kev phais
amethyst	amethyst
amiable	amiable
amicable	amicable
amid	amid
amidst	amidst
amino	amino
ammo	ammo
ammonia	ammonia
ammonium	ammonium
ammunition	mos txwv
amnesia	amnesia
amnesty	amnesty
amorous	amorous
amorphous	amorphous
amortization	amortization
amount	tus nqi
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	amphitheatre
ample	txaus
amplification	kev txhawb zog
amplify	ua kom nrov loj
amplitude	amplitude
amply	amply
amputate	amputate
amputation	amputation
amuck	Nqaij
amulet	amulet
amuse	ua zoo
amused	amused
amusement	kev lom zem
amusing	txaus luag
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	tshuaj loog
anaesthetic	tshuaj loog
anagram	anagram
anal	qhov quav
analgesic	analgesic
analogous	analogous
analogue	analogue
analogy	analogy
analysis	tsom xam
analyst	analyst
analytic	Analytic
analytical	analytical
analyze	txheeb xyuas
analyzer	tshuaj ntsuam
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	anarchy
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	anatomy
ancestor	txwv zeej txwv koob
ancestral	kwvtij
ancestry	poj yawm txwv
anchor	thauj tog rau nkoj
anchorage	anchorage
ancient	ancient
ancillary	ancillary
androgen	androgen
android	hauv xov tooj ntawd
anecdote	anecdote
anemia	anemia
anemic	anemic
anemone	anemone
anesthesia	tshuaj loog
anesthesiologist	tus mob anesthesiologist
anesthetic	tshuaj loog
aneurysm	aneurysm
anew	ib zaug
angel	Angel
angelic	tub txib
anger	npau taws
angered	angered
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	kaum
angling	angling
angora	angora
angriest	angriest
angry	npau taws
angrytweet	NO TRANSLATION
angst	angst
anguish	anguish
anguished	ntxhov siab
angular	angular
anhydrous	anhydrous
animal	tsiaj
animate	animate
animated	animated
animation	animation
animosity	kev thuam
animus	animus
ankle	pob luj taws
anklet	anklet
annals	annals
annex	Ntxiv mus
annexation	muab tso tawm
annexe	NO TRANSLATION
annihilate	rhuav tshem
annihilated	puas tsuaj
annihilation	kev puas tsuaj
anniversary	hnub tseem ceeb
annotate	annotate
annotation	annotation
announce	tshaj tawm
announcement	tshaj tawm
announcer	tshaj tawm
annoy	annoy
annoyance	ntxhov siab
annoyed	ntxhov siab
annoyin	NO TRANSLATION
annoying	annoying
annoys	annoys
annual	txhua xyoo
annuity	annuity
annul	tshem tawm
annular	annular
annulment	rho tawm
annulus	ua haujlwm
anointed	xaiv tseg
anointing	kev pleev roj
anomalous	anomalous
anomaly	anomaly
anon	anon
anonymity	lawv
anonymous	tsis qhia npe
anorexic	anorexic
answer	teb
answerable	teb tau
answering	teb
ant	ntsaum
antagonism	kev sib ceg
antagonist	antagonist
antagonistic	antagonistic
antagonize	antagonize
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelope
antenna	kav hlau txais xov
anterior	sab nrauv
anthem	Anthem
anthill	anthill
anthology	anthology
anthrax	anthrax
anthropological	anthropological
anthropologist	anthropologist
anthropology	anthropology
anti	anti
antiaircraft	antiaircraft
antibiotic	tshuaj tua kab mob
antibiotics	tshuaj tua kab mob
antichrist	antichrist
anticipate	cia siab tias yuav ua li cas
anticipation	kev cia siab
anticipatory	kev cia siab
antics	antics
antidote	antidote
antifungal	antifungal
antigravity	kev ua phem
antimony	antimony
antipathy	antipathy
antiquarian	tus neeg sau
antiquated	qub
antique	antique
antiques	antiques
antiquity	yav dhau los
antiseptic	antiseptic
antisocial	antisocial
antithesis	kev thuam
antithetical	antithetical
antiviral	tshuaj tua kab mob
antler	tus ntses
antsy	antsy
anus	anus
anvil	thaiv
anxiety	ntxhov siab vim
anxietyattack	NO TRANSLATION
anxious	txhawj xeeb
anxiousness	txhawj xeeb
anytime	txhua lub sijhawm
aorta	aorta
aortic	aortic
apace	apace
apache	apache
apartment	chav tsev
apartments	qhov chaw
apathetic	tsis xav
apathy	apathy
ape	ape
aperture	aperture
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	apiece
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	thov txim
apologist	apologist
apologize	thov zam txim
apology	thov txim
apostasy	tso kev ntseeg tseg
apostate	apostate
apostle	tus tubtxib
apostolic	apostolic
apostrophe	rho tawm
apothecary	apothecary
appalled	tsis zoo
appalling	tsis zoo
apparatus	apparatus
apparel	tsoo
apparent	khees
apparently	thaj
apparition	yam ntxwv
appeal	rov hais dua
appear	tshwm sim
appearance	tsos
appease	appease
appellant	kev tsocai
append	append
appendage	appendage
appendectomy	tus txiv neej appendectomy
appendicitis	kab mob appendicitis
appendix	cov ntawv appendix
appetite	qab los noj mov
appetizer	appetizer
appetizing	noj zaub mov
applaud	npuaj teg
applause	npuaj teg
apple	kua
apple juice	kua kua txiv
applejack	applejack
applesauce	applesauce
appliance	cov khoom siv
appliances	khoom siv
applicability	ua ntaub ntawv thov
applicable	siv tau
applicant	tus neeg thov
application	daim ntawv thov
apply	thov
appoint	xaiv
appointment	lub sij hawm
appointments	teem caij
apportion	apportion
apportionment	apportionment
appraisal	ntsuam xyuas
appraise	pom zoo
appreciable	appreciable
appreciate	ua tsaug
appreciated	ua tsaug
appreciates	ua tsaug
appreciation	kev txaus siab
appreciative	tsaug
apprehend	ntes
apprehension	kev txhawj xeeb
apprehensive	txhawj xeeb
apprentice	apprentice
apprenticeship	kawm tiav
approach	mus kom ze
approaching	nce
approbate	NO TRANSLATION
approbation	kev pom zoo
appropriate	tsim nyog
appropriation	kev tsim nyog
approval	kev pom zoo
approve	pom zoo
approved	pom zoo
approvement	kev pom zoo
approving	pom zoo
approximate	kwv yees
approximately	kwv yees li ntawm
approximating	kwv yees
approximation	kwv yees
appurtenances	appurtenances
apricot	apricot
apron	apron
apt	apt
aptitude	muaj peev xwm
aqua	aqua
aquamarine	aquamarine
aquarium	thoob dej yug ntses
aquatic	dej haus
aqueduct	aqueduct
aqueous	aqueous
arable	arable
arbiter	cais
arbitrary	arbitrary
arbitrate	arbitrate
arbitration	arbitration
arbitrator	arbitrator
arbor	qhov chaw
arc	arc
arcade	Arcade
arcane	arcane
arch	tus thawj
archaeological	archaeological
archaeologist	archaeologist
archaeology	archeology
archaic	archaic
archangel	tus thawj tubtxib saum ntuj
archbishop	Archbishop
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	hneev taw
archery	hneev
archetype	kev xav
archipelago	kws kho mob
architect	kws kes duab vajtse
architectural	architectural
architecture	architecture
archive	archive
arctic	arctic
ardent	ardent
ardor	ardor
arduous	arduous
area	cheeb tsam
arena	arena
areola	yogola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	sib cav
argument	sib cav
argumentation	sib cav
argumentative	sib cav
arguments	sib cav
arid	arid
arise	sawv
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	sib tham
ark	ark
arm	npab
armada	armada
armament	Caj Laj
armaments	armaments
armature	armature
armchair	lub rooj zaum tsa tes
armed	armed
armor	armor
armored	armored
armory	armory
armpit	qhov tsoo
arms	caj npab
army	pab tub rog
aroma	aroma
aromatherapy	aromatherapy
arousal	arousal
arouse	hloov siab
aroused	aroused
arraignment	kev cog lus
arrange	npaj
arranged	teem caij
arrangement	kev npaj
array	array
arrears	tshuav nqi
arrest	ntes
arrhythmia	arrhythmia
arrival	tuaj txog
arrive	tuaj txog
arrogance	kev khavtheeb
arrogant	khav theeb
arrow	xub
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	hluav taws
arsonist	kev txheeb ze
art	kos duab
arterial	arterial
artery	kev hlab ntsha
artful	artful
arthritis	mob caj dab
arthropod	kab ntsig
artichoke	artichoke
article	Tshooj
articles	cov khoom
articulate	articulate
articulation	kev sibtham
artifact	khoom cuav
artifice	artifice
artificial	khoom dag
artillery	artillery
artisan	tus neeg kawm
artist	artist
artiste	NO TRANSLATION
artistic	artistic
artistry	kos duab
artists	kos duab
artwork	artwork
arty	arty
asap	asap
asbestos	asbestos
ascend	ascend
ascendancy	ascendancy
ascendant	ascendant
ascending	ascending
ascension	qaum
ascent	ascent
ascertain	ascertain
ascertained	ascertained
ascetic	ascetic
ash	tshauv
ashamed	txaj muag
ashes	tshauv
ashtray	ashtray
asinine	asinine
ask	nug
asleeep	NO TRANSLATION
asleep	pw tsaug zog
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	nam
aspects	yam
aspen	aspen
asphalt	asphalt
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	aspiration
aspire	cia siab
aspirin	tshuaj aspirin
aspiring	aspiring
ass	kev pab
assail	kev ua phem
assailant	kev saib xyuas
assassin	tua neeg
assassinate	assassinate
assassination	kev tua neeg
assault	quab yuam
assay	ntsuam xyuas
assemblage	assemblage
assemble	sib sau
assembled	sib sau ua ke
assembly	sib dhos
assemblyman	ua ke
assent	assent
assert	hais
asserting	kev pom
assertion	assertion
assertive	paub tseeb
assess	ntsuam xyuas
assessment	kev ntsuam xyuas
assessor	assessor
asset	khoom vaj khoom tsev
assets	cuab tam
asshole	asshole
assign	cob
assignee	tso cai
assignment	ntus
assimilate	assimilate
assimilation	assimilation
assist	pab
assistance	kev pab
assistant	tus pab
associate	associate
association	koom haum
assorted	assorted
assortment	assortment
assuage	kev pabcuam
assume	xav tias
assumed	lam xav
assuming	Piv txwv
assumption	kwv yees
assurance	kev ruaj siab
assure	paub tseeb
assured	paub zoo
assuredly	khov kho
asterisk	asterisk
asteroid	asteroid
asteroids	asteroids
asthma	mob ntsws asthma
asthmatic	asthmatic
astigmatism	astigmatism
astonish	xav tsis thoob
astonished	xav tsis thoob
astonishing	xav tsis thoob
astonishingly	NO TRANSLATION
astonishment	xav tsis thoob
astound	astound
astral	astral
astray	yuam kev
astringent	astringent
astrologer	astrologer
astrology	astrology
astronaut	astronaut
astronomer	astronomer
astronomical	astronomical
astronomy	astronomy
astute	astute
asunder	asunder
asylum	lub tsev vwm
asymmetric	asymmetric
asymmetry	asymmetry
asymptotic	asymptotic
atelier	atelier
atheism	atheism
atheist	atheist
atheistic	atheistic
atherosclerosis	atherosclerosis
athlete	kis las
athletic	kis las
athleticism	kev ua kis las
athletics	kis las kis las
atlas	atlas
atmosphere	cua
atmospheric	atmospheric
atoll	atoll
atom	atom
atomic	atomic
atone	atone
atonement	txoj kev tuag
atpeace	atpeace
atrium	atrium
atrocious	atrocious
atrocity	atrocity
atrophy	atrophy
attach	xa
attached	sau nrog
attachment	txuas
attack	nres
attacker	attacker
attacking	zuj zus
attain	attain
attainable	attainable
attainment	attainment
attempt	sim
attempted	sim ua
attend	tuaj koom
attendance	tuaj koom
attendant	tus saib xyuas
attention	mloog
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	attentive
attenuate	attenuate
attenuated	attenuated
attenuation	kev poob siab
attest	attest
attestation	attestation
attic	attic
attire	attire
attitude	cwj pwm
attorney	kws lij choj
attract	nyiam
attraction	attraction
attractive	txaus nyiam
attractiveness	attractiveness
attributable	attributable
attribute	tus cwj pwm
attribution	chaw nyob
attrition	attrition
auburn	auburn
auction	auction
auctioneer	auctioneer
audacious	audacious
audacity	audacity
audible	audible
audience	mloog
audio	suab
audit	tshawb xyuas
audition	audition
auditions	auditions
auditor	soj ntsuam
auditorium	chav sib tw
auditory	hnov suab
aught	sib tham
augment	augment
augmentation	augmentation
august	August
aunt	phauj
auntie	auntie
aura	aura
aurora	aurora
auspices	auspices
auspicious	auspicious
austere	austere
austerity	austerity
authentic	qhabnias
authenticate	ua pov thawj
authentication	authentication
authenticity	authenticity
author	sau
authoritative	ntaub ntawv pov thawj
authority	txoj cai
authorization	kev tso cai
authorize	tso cai
authorized	tso cai
authorship	sau ntawv
autism	Autism
autistic	autistic
auto	pib
autobiographical	sau ntawv
autobiography	phau ntawv keeb kwm
autocorrect	autocorrect
autocratic	autocratic
autograph	kos duab
autographed	autographed
automated	kaw
automatic	tsis siv neeg
automobile	tsheb
automotive	tsheb
autonomy	autonomy
autopilot	autopilot
autopsy	autopsy
autumn	Autumn
auxiliary	pabcuam
avail	avail
availability	muaj
available	muaj
avalanche	avalanche
avarice	avarice
avatar	avatar
avenge	avenge
avenger	avenger
avenging	avenging
avenue	avenue
aver	NO TRANSLATION
average	nruab nrab
aversation	NO TRANSLATION
averse	averse
averseness	averseness
aversion	aversion
avert	tshem tawm
aviary	aviary
aviation	aviation
aviator	aviator
avid	avid
avocado	avocado
avoid	tsis txhob
avoidance	zam dhau
avoiding	tsis txhob
await	await
awake	sawv
awaken	nyuaj
awakening	licas
award	tus nqi zog
awards	khoom plig
aware	paub
awareness	kev paub
awe	NO TRANSLATION
awed	awed
awesome	txaus
awesomeness	awesomeness
awestruck	awestruck
awful	phem heev
awkward	ua tau txawv txawv
awkwardness	awkwardness
awning	awning
awry	awry
axe	taus
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	axis
axle	qag
ay	hlis
aye	hli
azimuth	azimuth
azure	azure
babble	babble
babbling	babbling
babe	tus me nyuam
baboon	baboon
baby	tus me nyuam
babysit	chaw zov me nyuam
babysitter	tus neeg zov me nyuam
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	bachelor
bachelorette	bachelorette
back	rov qab
backboard	backboard
backbone	pob txha
backdoor	backdoor
backdrop	rov qab
backer	thaub qab
backfire	backfire
backgammon	backgammon
background	tom qab
backhand	backhand
backhoe	backhoe
backoff	rov qab
backpack	lub hnab ev ntawv
backpacker	backpacker
backroom	rov qab
backseat	backseat
backside	backside
backtrack	backtrack
backup	thaub qab
backward	rov qab
backwardness	rov qab
backwards	rov qab
backwater	rov qab dej
backwoods	backwoods
backyard	backyard
bacon	nqaij sawb
bacteria	kab mob
bacterial	kab mob
bacterium	kab mob
bad	phem
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	paib tiv npe
badger	badger
badhabit	NO TRANSLATION
badly	phem heev
badness	phem
baffle	baffle
baffled	baffled
bag	hnab
bagel	bagel
baggage	lub phij xab
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	bagpipes
bail	tso cai
bailiff	tus ceev xwm
bait	kab nuv ntses
bake	ci
bakery	bakery
baking	ci
bal	NO TRANSLATION
balance	tshuav nyiaj li cas
balanced	balanced
balcony	sam thiaj
bald	Tshuav
balding	ntses
baldy	baldy
bale	bale
balk	ntsev
ball	pob
ballad	ballad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	ballgame
ballistic	ballistic
ballistics	ballistics
balloon	zais pa
ballot	daim ntawv xaiv tsa
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	ballsy
balm	tshuaj
balmy	balmy
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	xyoob
ban	NO TRANSLATION
banana	txiv tsawb
band	qhab
bandage	bandage
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandstand
bandwagon	bandwagon
bandwidth	bandwidth
bane	bane
bang	bang
banger	banger
banish	banish
banished	banished
banishment	banishment
banister	banister
banjo	banjo
bank	bank
banker	banker
banking	banking
bankroll	bankroll
bankrupt	nyiaj txiag
bankruptcy	kev poob nyiaj
banner	chij
banquet	banquet
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	kev cai raus dej
baptismal	kev cai raus dej
baptize	ua kev cai raus dej
bar	bar
barb	barb
barbarian	barbarian
barbaric	barbaric
barbarism	barbarism
barbecue	Barbecue
barbed	barbed
barber	barber
barbershop	Barbershop
barbie doll	barbie menyuam roj hmab
bard	bark
bare	liab qab
bareback	bareback
barefoot	barefoot
barely	nyuam qhuav
barf	barf
bargain	khom nqi
bargaining	sib tham
barge	barge
baritone	Baritone
barium	barium
bark	cov tawv ntoo
barkeep	barkeep
barks	barks
barley	barley
barmaid	Barmaid
barman	barman
barn	barn
barnacle	Barnacle
