Word	yo
admixture	admixture
admonition	ikilọ
ado	ọṣọ
adobe	adobe
adolescence	ọdọ ọdọ
adolescent	ọdọ
adopt	gba
adoption	imuduro
adoptive	adoptive
adorable	adorable
adoration	idunnu
adore	fẹran
adoring	adoring
adorn	adorn
adornment	adornment
adrenalin	adrenalin
adrenaline	adrenaline
adrift	adrift
adult	agbalagba
adulterated	agbere
adulterer	alagbere
adultery	panṣaga
adulthood	agbalagba
advance	ilosiwaju
advanced	ilọsiwaju
advancement	ilosiwaju
advancing	ilosiwaju
advantage	anfani
advantageous	advantageous
advent	dide
adventure	adventure
adventurer	Olugbeja
adventures	Awọn iworo
adventurous	adventurous
adversary	ọta
adverse	ikolu
adversity	ipọnju
advertise	polowo
advertisement	ipolongo
advertising	ipolowo
adverts	adverts
advice	imọran
advisable	iṣeduro
advise	imọran
advised	ni imọran
advisement	imọran
adviser	oluranran
advisor	Onimọnran
advisory	imọran
advocacy	agbero
advocate	alagbawi
aegis	awọn aṣayan
aeration	aeration
aerial	eriali
aerobics	awọn eerobics
aerodrome	papa ọkọ ofurufu
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	awọn eeronautics
aeroplane	Okoofurufu
aerospace	ailorukọ
aesthetic	darapupo
aesthetics	aesthetics
aetiology	aetiology
afar	o jina
affable	affable
affair	ibalopọ
affect	ipa
affecting	n ni ipa
affection	ifẹ
affectionate	alafẹfẹ
affections	affections
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	to somọ
affiliation	isopọmọ
affinity	affinity
affirm	jẹri
affirmation	asọtẹlẹ
affirmative	o daju
affirmatively	ni otitọ
affix	affix
afflict	ni ipọnju
afflicted	ipalara
affliction	ipọnju
affluence	affluence
affluent	affluent
afford	irewesi
affordable	ti ifarada
affront	ojuju
affronted	dojuko
afield	afield
afire	afire
afloat	bẹrẹ
afore	ṣaaju
aforementioned	ti a ti sọ tẹlẹ
aforesaid	iṣaaju
afraid	bẹru
afresh	titun titun
african	African
aft	aft
afterlife	lẹhin afterlife
aftermath	lẹhin lẹhin
afternoon	Friday
aftershave	lẹhin lẹhin
aftertaste	aftertaste
afterthought	lẹhin lẹhin
aga	NO TRANSLATION
agape	agape
agate	Agate
age	ọjọ ori
aged	ọjọ ori
agency	ibẹwẹ
agenda	agbese
agent	oluranlowo
agglomeration	agglomeration
aggravate	ti o ga
aggravated	ti o buru
aggravates	aggravates
aggravating	aggravating
aggravation	ibanujẹ
aggregate	apapọ
aggregation	igbimọ
aggresive	NO TRANSLATION
aggression	ifinikan
aggressive	ibinu
aggressively	aggressively
aggressiveness	aggressiveness
aggressor	aggressor
agh	agh
aghast	ti o dara julọ
aghhh	NO TRANSLATION
agile	agile
agility	agility
aging	ti ogbo
agitate	ṣe igbiyanju
agitated	ti bajẹ
agitation	irora
aglow	aglow
agnostic	agnostic
ago	sẹhin
agonizing	agunizing
agony	irora
agoraphobia	agoraphobia
agree	gba
agreeable	agbalagba
agreed	gbawọ
agreeing	ngba
agreement	adehun
agressive	NO TRANSLATION
agricultural	ogbin
agriculture	ogbin
aground	aground
agua	NO TRANSLATION
ahead	niwaju
ahhh	nibi
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	iranlowo
aide	Iranlọwọ
aiding	aiding
aids	Aids
ail	Bẹẹni
ailing	ailing
ailment	ailment
aim	ifọkansi
aimless	aimọ
air	air
airbag	airbag
airborne	airborne
aircraft	ofurufu
aircraft carrier	ọkọ ayọkẹlẹ
airfield	airfield
airhead	airhead
airlift	airlift
airline	ofurufu
airliner	airliner
airlock	airlock
airman	airman
airplane	Okoofurufu
airport	papa ọkọ ofurufu
airs	airs
airship	airship
airspace	airspace
airspeed	airspeed
airstrip	airstrip
airtight	airtight
airway	atẹgun
aisle	aye
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ọwọ
akin	akin
alabaster	Alabaster
alarm	itaniji
alarm clock	aago itaniji
alarmed	binu
alarming	ibanujẹ
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchemy
alcohol	oti
alcoholic	ọti-lile
alcoholism	ọti-lile
alcove	ọti-inu
alderman	alderman
ale	NO TRANSLATION
alert	gbigbọn
alertness	titaniji
alerts	titaniji
alfalfa	alfalfa
algebra	algebra
algebraic	algebra
algorithm	algorithm
alias	alias
alibi	alibi
alien	ajeji
alienate	ajeji
alienated	ajeji
alienation	ajeji
alight	alight
align	tọpọ
aligned	deedee
alignment	titete
alike	bakanna
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	laaye
alkali	alkali
alkaloids	alkaloids
allay	duro
allegation	agbasọ ọrọ
allege	sọ pe
alleged	esun
allegiance	igbẹkẹle
allegorical	aṣeyọri
allegory	allegory
allegro	allegro
allergic	Inira
allergy	aleji
alleviate	ya
alleviation	iyatọ
alley	Ale
alleyway	alleyway
alliance	alakan
allied	ti o darapọ
alligator	alupupu
allocate	sọtọ
allocation	ipinpin
allot	pín
allotment	ipín
allow	gba laaye
allowable	allowable
allowance	alawansi
allowed	laaye
alloy	alloy
allsmiles	NO TRANSLATION
allure	alara
alluring	titọju
allusion	allusion
alluvial	alluvial
ally	ore
almanac	almanac
almighty	Olódùmarè
almond	almondi
aloft	aloft
aloha	alaafia
alone	nikan
alongside	lẹgbẹẹ
aloof	aloof
aloud	kigbe
alpha	Alpha
alphabet	alfabeti
alphabetical	itọka alailẹgbẹ
alpine	Alpine
alreadyyyyy	tẹlẹyyyy
altar	pẹpẹ
altar boy	ọmọkunrin pẹpẹ
alter	paarọ
alteration	iyipada
altercation	altercation
altered	yipada
alternate	miiran
alternating	Ayika
alternative	Igbakeji
altimeter	altimeter
altitude	giga
alto	alto
altogether	lapapọ
aluminum	aluminiomu
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	amopọpọ
amaretto	aṣalẹ
amass	amass
amateur	magbowo
amaze	jasi
amazed	ẹnu yà
amazedness	NO TRANSLATION
amazement	ibanuje
amazing	iyanu
amazingly	iyanu
ambassador	Ambassador
amber	awọ yẹlo to ṣokunkun
ambience	ibaramu
ambient	ibaramu
ambiguity	ambiguity
ambiguous	aṣoju
ambit	ambit
ambition	okanjuwa
ambitious	ifẹkufẹ
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ọkọ alaisan
ambush	atokuro
ameliorate	ameliorate
amen	Amin
amenable	amenable
amend	ṣe atunṣe
amendment	Atunse
amends	ṣe atunṣe
amenity	ore
amethyst	amethyst
amiable	amiable
amicable	alaafia
amid	larin
amidst	laarin
amino	amino
ammo	ammo
ammonia	Amonia
ammonium	ammonium
ammunition	ohun ija
amnesia	Amnesia
amnesty	ifarada
amorous	amorous
amorphous	amorphous
amortization	amortization
amount	iye
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	amphitheater
ample	iwonba
amplification	titobi
amplify	amplify
amplitude	titobi
amply	agbara
amputate	amputate
amputation	amputation
amuck	amuck
amulet	amulet
amuse	amuse
amused	amused
amusement	ọgba iṣere
amusing	amusing
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	ailera
anaesthetic	anesitetiki
anagram	anagram
anal	fọọmu
analgesic	analgesic
analogous	ibaraẹnisọrọ
analogue	analogue
analogy	apẹẹrẹ
analysis	atupọ
analyst	Oluyanju
analytic	atupale
analytical	atupale
analyze	ṣe itupalẹ
analyzer	Oluyanju
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	anarchy
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	anatomi
ancestor	baba
ancestral	ancestral
ancestry	iranbi
anchor	oran
anchorage	anchorage
ancient	atijọ
ancillary	akọọlẹ
androgen	atirogini
android	Android
anecdote	anecdote
anemia	ẹjẹ
anemic	anemiki
anemone	anemone
anesthesia	ailera
anesthesiologist	anesthesiologist
anesthetic	anesitetiki
aneurysm	aneurysm
anew	lẹẹkansi
angel	angeli
angelic	angeli
anger	ibinu
angered	binu
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	igun
angling	angling
angora	Angora
angriest	angriest
angry	binu
angrytweet	NO TRANSLATION
angst	angst
anguish	irora
anguished	ibanujẹ
angular	angular
anhydrous	anhydrous
animal	eranko
animate	idanilaraya
animated	ti ere idaraya
animation	iwara
animosity	irora
animus	animus
ankle	kokosẹ
anklet	anklet
annals	awọn akọle
annex	Afikun
annexation	Afikun
annexe	NO TRANSLATION
annihilate	ti paarọ
annihilated	annihilated
annihilation	annihilation
anniversary	iranti aseye
annotate	ṣe akọsilẹ
annotation	akọsilẹ
announce	kede
announcement	kede
announcer	olupilẹhin
annoy	ibanujẹ
annoyance	ibanuje
annoyed	ibanuje
annoyin	NO TRANSLATION
annoying	didanubi
annoys	annoys
annual	lododun
annuity	annuity
annul	pa
annular	annular
annulment	idinku
annulus	annulus
anointed	ororo
anointing	ororo
anomalous	anomalous
anomaly	anomaly
anon	anon
anonymity	àìdánimọ
anonymous	asiri
anorexic	anorexic
answer	idahun
answerable	alaafia
answering	idahun
ant	kokoro
antagonism	antagonism
antagonist	alakikanju
antagonistic	aiṣedede
antagonize	antagonize
ante	NO TRANSLATION
antecedent	oludari
antelope	antelope
antenna	eriali
anterior	iwaju
anthem	ohun orin
anthill	anthill
anthology	ẹtan
anthrax	anthrax
anthropological	anthropological
anthropologist	anthropologist
anthropology	anthropology
anti	egboogi
antiaircraft	ohun-elo
antibiotic	ogun aporo
antibiotics	egboogi
antichrist	Dajjal
anticipate	ni ifojusọna
anticipation	ifojusona
anticipatory	afojusọna
antics	NO TRANSLATION
antidote	antidote
antifungal	antifungal
antigravity	antigravity
antimony	antimony
antipathy	egboogi
antiquarian	antiquarian
antiquated	antiquated
antique	Ise Ona Atijo
antiques	awọn igba atijọ
antiquity	antiquity
antiseptic	apakokoro
antisocial	alatako
antithesis	antishesis
antithetical	ẹtan
antiviral	antiviral
antler	agbọn
antsy	antsy
anus	anus
anvil	anvil
anxiety	ṣàníyàn
anxietyattack	NO TRANSLATION
anxious	iṣoro
anxiousness	iṣoro
anytime	nigbakugba
aorta	aorta
aortic	aortic
apace	apace
apache	apache
apartment	iyẹwu
apartments	Awọn Irini
apathetic	apathetic
apathy	alaafia
ape	ape
aperture	ibẹrẹ
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	eyo kan
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	apologetic
apologist	apologist
apologize	gafara
apology	apology
apostasy	apostasy
apostate	apostate
apostle	Aposteli
apostolic	Aposteli
apostrophe	apostrophe
apothecary	apothecary
appalled	tayọ
appalling	appalling
apparatus	Ohun elo
apparel	aṣọ
apparent	gbangba
apparently	nkqwe
apparition	farahan
appeal	ẹbẹ
appear	han
appearance	irisi
appease	ṣe itara
appellant	appellant
append	ṣàfikún
appendage	appendage
appendectomy	appendectomy
appendicitis	appendicitis
appendix	afikun
appetite	ipongan
appetizer	appetizer
appetizing	gbigbọn
applaud	fọwọ si
applause	gbigbẹ
apple	Apu
apple juice	apple juice
applejack	applejack
applesauce	applesauce
appliance	ohun elo
appliances	awọn ẹrọ onigbọwọ
applicability	lilo
applicable	wulo
applicant	olubẹwẹ
application	ohun elo
apply	waye
appoint	yan
appointment	ipinnu lati pade
appointments	awọn ipinnu lati pade
apportion	pinpin
apportionment	pinpin
appraisal	igbeyewo
appraise	idaraya
appreciable	wulo
appreciate	riri riri
appreciated	abẹ
appreciates	ṣe akiyesi
appreciation	mọrírì
appreciative	ọpẹ
apprehend	dani
apprehension	ijanu
apprehensive	ifura
apprentice	olukọni
apprenticeship	apprenticeship
approach	ọna
approaching	approaching
approbate	NO TRANSLATION
approbation	approbation
appropriate	yẹ
appropriation	appropriation
approval	ìtẹwọgbà
approve	fi ọwọ si
approved	ti a fọwọsi
approvement	igbejade
approving	fọwọsi
approximate	isunmọ
approximately	to
approximating	to sunmọ
approximation	isunmọ
appurtenances	awọn ohun elo
apricot	eso ti o ṣeejẹ ti o ni oje yẹlo
apron	apọn
apt	apt
aptitude	aptitude
aqua	omi
aquamarine	aquamarine
aquarium	Aquarium
aquatic	omi-nla
aqueduct	aqueduct
aqueous	olomi
arable	arable
arbiter	alagbawi
arbitrary	lainidii
arbitrate	idajọ
arbitration	idajọ
arbitrator	alakoso
arbor	arbor
arc	arc
arcade	Olobiri
arcane	arcane
arch	agbọn
archaeological	ti inu ile aye
archaeologist	onimo-ijinlẹ
archaeology	archaeological
archaic	archaic
archangel	angeli
archbishop	archbishop
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	archer
archery	archery
archetype	archetype
archipelago	ile-iwe akosile
architect	ayaworan
architectural	iṣẹ-ṣiṣe
architecture	akọọlẹ
archive	akosile
arctic	Arctic
ardent	alaafia
ardor	alara
arduous	alaafia
area	agbegbe
arena	arena
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	Ibẹrẹ
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	jiyan
argument	ariyanjiyan
argumentation	ariyanjiyan
argumentative	ariyanjiyan
arguments	awọn ariyanjiyan
arid	ogbe
arise	dide
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	ti o wa
arithmetic	isiro
ark	ọkọ
arm	apa
armada	armada
armament	ohun ija
armaments	awọn ohun ija
armature	ihamọra
armchair	apanirun
armed	ologun
armor	ihamọra
armored	ihamọra
armory	ohun-ihamọra
armpit	armpit
arms	ọwọ
army	ogun
aroma	arora
aromatherapy	aromatherapy
arousal	arousal
arouse	arouse
aroused	ti ariyanjiyan
arraignment	atako
arrange	ṣeto
arranged	idayatọ
arrangement	ètò
array	orun
arrears	awọn oju-iwe
arrest	imudaniloju
arrhythmia	arrhythmia
arrival	dide
arrive	de
arrogance	igberaga
arrogant	agberaga
arrow	arrow
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	arson
arsonist	arsonist
art	aworan
arterial	lapapo
artery	iṣọn-ẹjẹ
artful	artful
arthritis	arthritis
arthropod	arthropod
artichoke	atishoki
article	article
articles	Awọn ohun elo
articulate	ti ṣe alaye
articulation	isọkọ
artifact	artifact
artifice	artifice
artificial	artificial
artillery	ile-iṣẹ
artisan	artisan
artist	olorin
artiste	NO TRANSLATION
artistic	iṣẹ-ṣiṣe
artistry	iṣẹ-ṣiṣe
artists	awọn ošere
artwork	iṣẹ-ọnà
arty	arty
asap	bii
asbestos	asbestos
ascend	ascend
ascendancy	igbadun
ascendant	ascendant
ascending	gòke lọ
ascension	igoke
ascent	gbigbe
ascertain	mọ daju
ascertained	ascertained
ascetic	ascetic
ash	eeru
ashamed	tiju
ashes	ẽru
ashtray	iwe iranti
asinine	asinine
ask	beere
asleeep	NO TRANSLATION
asleep	sun oorun
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	Abala
aspects	aaye
aspen	aspen
asphalt	idapọmọra idapọmọra
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	aspiration
aspire	bori
aspirin	aspirin
aspiring	aspiring
ass	kẹtẹkẹtẹ
assail	iranlowo
assailant	assailant
assassin	apaniyan
assassinate	o pa
assassination	ipaniyan
assault	sele si
assay	idanwo
assemblage	apejọ
assemble	apejọpọ
assembled	ti kojọpọ
assembly	apejọ
assemblyman	apejọ
assent	jẹwọ
assert	sọ
asserting	jẹwọ
assertion	idaniloju
assertive	asiri
assess	ṣe ayẹwo
assessment	iwadi iwadi
assessor	adawo
asset	dukia
assets	ohun ini
asshole	Iwoomusu
assign	firanṣẹ
assignee	oluṣowo
assignment	iṣẹ-ṣiṣe
assimilate	oludasile
assimilation	assimilation
assist	ran
assistance	iranlowo
assistant	olùrànlówó
associate	jọ
association	ajọṣepọ
assorted	oriṣiriṣi
assortment	akojọpọ oriṣiriṣi
assuage	jijọpọ
assume	ro
assumed	ti a pe
assuming	a ro
assumption	ipaniyan
assurance	idaniloju
assure	ṣe idaniloju
assured	ni idaniloju
assuredly	dajudaju
asterisk	aami akiyesi
asteroid	asteroid
asteroids	asteroids
asthma	ikọ-fèé
asthmatic	asthmatic
astigmatism	astigmatism
astonish	Ibanujẹ
astonished	ẹnu yà wọn
astonishing	Iyanilenu
astonishingly	NO TRANSLATION
astonishment	Iyalenu
astound	lasan
astral	astral
astray	ṣina
astringent	astringent
astrologer	astrologer
astrology	astrology
astronaut	astronaut
astronomer	astronomer
astronomical	astronomical
astronomy	astronomy
astute	tori
asunder	asunder
asylum	ibi aabo
asymmetric	Asymmetric
asymmetry	asymmetry
asymptotic	asymptotic
atelier	atelier
atheism	atheism
atheist	alaigbagbọ
atheistic	atheistic
atherosclerosis	atherosclerosis
athlete	elere-ije
athletic	elere-ije
athleticism	idaraya
athletics	idaraya
atlas	Atlas
atmosphere	bugbamu
atmospheric	aaye afẹfẹ
atoll	atoll
atom	atom
atomic	atomiki
atone	atone
atonement	ètùtù
atpeace	iparun
atrium	atrium
atrocious	atrocious
atrocity	atrocity
atrophy	atrophy
attach	so pọ
attached	so
attachment	asomọ
attack	kolu
attacker	oluwa
attacking	kolu
attain	bori
attainable	ṣawari
attainment	ipese
attempt	igbiyanju
attempted	igbidanwo
attend	lọ
attendance	wiwa
attendant	aṣoju
attention	akiyesi
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	fetísílẹ
attenuate	attenuate
attenuated	attenuated
attenuation	attenuation
attest	jẹri
attestation	iwe-ẹri
attic	atokuro
attire	aṣọ
attitude	iwa
attorney	attorney
attract	fa fifọ
attraction	ifamọra
attractive	wuni
attractiveness	didara
attributable	ti o jẹ pe
attribute	ro pe
attribution	ipilẹ
attrition	attrition
auburn	auburn
auction	titaja
auctioneer	auctioneer
audacious	iyanju
audacity	gbigboro
audible	gbigbasilẹ
audience	jepe
audio	iwe ohun
audit	ayewo
audition	idanwo
auditions	igbero
auditor	agbanisiran
auditorium	ile-iṣẹ
auditory	ti ṣayẹwo
aught	kini
augment	afikun
augmentation	augmentation
august	Oṣù
aunt	aunt
auntie	auntie
aura	aura
aurora	aurora
auspices	auspices
auspicious	aṣeyọri
austere	Agbara
austerity	austerity
authentic	nile
authenticate	jẹrisi
authentication	ìfàṣẹsí
authenticity	otitọ
author	onkowe
authoritative	aṣẹ
authority	aṣẹ
authorization	ašẹ
authorize	fun laṣẹ
authorized	fun ni aṣẹ
authorship	onkọwe
autism	autism
autistic	autistic
auto	auto
autobiographical	autobiographical
autobiography	autobiography
autocorrect	adakọ
autocratic	autocratic
autograph	autograph
autographed	autographed
automated	aládàáṣiṣẹ
automatic	laifọwọyi
automobile	ọkọ ayọkẹlẹ
automotive	Oko
autonomy	dabaṣe
autopilot	autopilot
autopsy	autopsy
autumn	Igba Irẹdanu Ewe
auxiliary	oluranlọwọ
avail	Ọja
availability	wiwa
available	wa
avalanche	Omiiran
avarice	avarice
avatar	avatar
avenge	gbẹsan
avenger	olugbẹsan
avenging	igbẹsan
avenue	opopo
aver	NO TRANSLATION
average	apapọ
aversation	NO TRANSLATION
averse	aṣeji
averseness	NO TRANSLATION
aversion	aversion
avert	avert
aviary	aviary
aviation	ofurufu
aviator	aviator
avid	gbadun
avocado	piha oyinbo
avoid	yago fun
avoidance	yago
avoiding	yago fun
await	duro
awake	jijin
awaken	awaken
awakening	ijidide
award	eye
awards	awọn Awards
aware	mọ
awareness	imoye
awe	NO TRANSLATION
awed	awari
awesome	oniyi
awesomeness	awesomeness
awestruck	awestruck
awful	buruju
awkward	àìrọrùn
awkwardness	awkwardness
awning	awning
awry	awry
axe	Ake
axial	axial
axiom	agbọrọsọ
axiomatic	Agbara
axis	agbe
axle	Agbegbe
ay	ay
aye	aye
azimuth	azimuth
azure	azure
babble	ikọn
babbling	babbling
babe	ọmọde
baboon	baboon
baby	Ọmọ
babysit	ọmọde
babysitter	ọmọ alagba
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	Bachelor
bachelorette	bachelorette
back	pada
backboard	apadabọ
backbone	egungun kekere
backdoor	backdoor
backdrop	ẹyin
backer	Olugbehin
backfire	backfire
backgammon	backgammon
background	lẹhin
backhand	pada
backhoe	atẹhin
backoff	ipadabọ
backpack	apoeyin apoeyin
backpacker	apo-afẹyinti
backroom	afẹyinti
backseat	atunṣe
backside	sẹhin
backtrack	Atilẹhin afẹyinti
backup	afẹyinti
backward	sẹhin
backwardness	sẹhin
backwards	sẹhin
backwater	backwater
backwoods	backwoods
backyard	ehinkunle
bacon	bekin eran elede
bacteria	kokoro arun
bacterial	kokoro aisan
bacterium	bacterium
bad	buburu
badass	ti o dara
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	badger
badhabit	NO TRANSLATION
badly	koṣe
badness	iwa buburu
baffle	baffle
baffled	baffled
bag	apo
bagel	bagel
baggage	Eru
baggie	baggie
baggy	apamọwọ
bagman	bagman
bagpipes	apamọwọ
bail	beli
bailiff	bailiff
bait	Bait
bake	beki
bakery	Bọtini
baking	yan
bal	NO TRANSLATION
balance	iwontunwonsi
balanced	iwontunwonsi
balcony	balikoni
bald	bald
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	rogodo
ballad	ballad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	ballgame
ballistic	ballistic
ballistics	Awọn ẹrọ iṣẹ-ṣiṣe
balloon	balloon
ballot	iwe idibo
ballpark	ballpark
ballplayer	rogodoplayer
ballpoint	ibi-iṣiro
ballroom	rogodoroom
ballsy	ballsy
balm	balm
balmy	balmy
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	oparun
ban	NO TRANSLATION
banana	ogede
band	band
bandage	bandage
bandanna	bandanna
bandit	bandit
bandstand	igbẹkẹle
bandwagon	bandwagon
bandwidth	bandiwidi
bane	bane
bang	Bangi
banger	banger
banish	banish
banished	ti kuro
banishment	gbigbe oko
banister	banister
banjo	banjo
bank	ifowo pamo
banker	alagbowo
banking	ifowopamọ
bankroll	bankroll
bankrupt	bankrupt
bankruptcy	bankruptcy
banner	asia
banquet	aseye
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	baptisi
baptismal	baptisi
baptize	baptisi
bar	igi
barb	agba
barbarian	alabọn
barbaric	alabọn
barbarism	aiṣowo
barbecue	barbecue
barbed	barbed
barber	akọle
barbershop	ṣọbu farifari
barbie doll	Iyatọ Barbie
bard	Bard
bare	si igboro
bareback	bareback
barefoot	barefoot
barely	laisi
barf	NO TRANSLATION
bargain	idunadura
bargaining	idunadura
barge	Oja
baritone	baritone
barium	barium
bark	epo igi
