Word	ko
amply	충분히
amputate	절단하다
amputation	절단
amuck	암컷
amulet	부적
amuse	즐겁게 하다
amused	즐기는
amusement	즐거움
amusing	즐거움
ana	NO TRANSLATION
anaconda	아나콘다
anaesthesia	마취
anaesthetic	마취제
anagram	철자 바꾸기
anal	항문
analgesic	진통제
analogous	유사한
analogue	비슷한 물건
analogy	유추
analysis	분석
analyst	분석자
analytic	분석적인
analytical	분석적인
analyze	분석하다
analyzer	분석기
anaphylactic	과민성의
anarchism	무정부주의
anarchist	무정부주의자
anarchy	무정부 상태
anastomosis	문합
anathema	저주
anatomic	해부학의
anatomy	해부
ancestor	선조
ancestral	조상의
ancestry	가계
anchor	닻
anchorage	앵커리지
ancient	고대의
ancillary	보조의
androgen	안드로겐
android	기계적 인조 인간
anecdote	일화
anemia	빈혈증
anemic	빈혈
anemone	아네모네
anesthesia	마취
anesthesiologist	마취 전문의
anesthetic	마취제
aneurysm	동맥류
anew	다시 한번
angel	천사
angelic	천사의
anger	분노
angered	분노한
angermanagement	NO TRANSLATION
angina	협심증
angiogram	혈관 조영술
angiography	혈관 조영술
angle	각도
angling	낚시
angora	앙고라
angriest	애국자
angry	성난
angrytweet	NO TRANSLATION
angst	불안
anguish	격통
anguished	괴로워하는
angular	모난
anhydrous	무수의
animal	동물
animate	생명 있는
animated	생기 있는
animation	생기
animosity	악의
animus	적의
ankle	발목
anklet	여자 구두
annals	연대기
annex	신관
annexation	부가
annexe	NO TRANSLATION
annihilate	억누르다
annihilated	멸종 된
annihilation	전멸
anniversary	기념일
annotate	주석 달기
annotation	주석
announce	알리다
announcement	발표
announcer	아나운서
annoy	괴롭히다
annoyance	성가심
annoyed	괴로운
annoyin	NO TRANSLATION
annoying	성가신
annoys	귀찮게하다
annual	일년생 식물
annuity	연금
annul	무효화하다
annular	환상의
annulment	무효 선언
annulus	고리
anointed	기름 부음받은
anointing	기름 부음
anomalous	변칙적 인
anomaly	변칙
anon	곧
anonymity	익명
anonymous	익명의
anorexic	식욕 부진
answer	대답
answerable	답할 수 있는
answering	응답
ant	개미
antagonism	반대
antagonist	길항근
antagonistic	적대적인
antagonize	적대시하다
ante	NO TRANSLATION
antecedent	전례
antelope	영양
antenna	안테나
anterior	전의
anthem	축가
anthill	개밋둑
anthology	시집
anthrax	탄저병
anthropological	인류학의
anthropologist	인류 학자
anthropology	인류학
anti	반대의
antiaircraft	대공
antibiotic	항생 물질
antibiotics	항생제
antichrist	적 그리스도
anticipate	앞질러 하다
anticipation	예기
anticipatory	예상하는
antics	장난
antidote	해독제
antifungal	항진균 성의
antigravity	반 중력
antimony	안티몬
antipathy	반감
antiquarian	골동품 수집가
antiquated	구식의
antique	고대 미술
antiques	고물
antiquity	유물
antiseptic	방부제
antisocial	반사회적인
antithesis	대조법
antithetical	대법원의
antiviral	항 바이러스제
antler	용
antsy	antsy
anus	항문
anvil	모루
anxiety	걱정
anxietyattack	NO TRANSLATION
anxious	불안한
anxiousness	초조
anytime	언제든지
aorta	대동맥
aortic	대동맥
apace	빨리
apache	아파치
apartment	아파트
apartments	아파트
apathetic	냉담한
apathy	냉담
ape	원숭이
aperture	구멍
apex	꼭대기
aphid	진딧물
aphrodisiac	최음 제지
apiece	한 조각
aplomb	수직
apocalypse	묵시
apocalyptic	묵시적인
apologetic	사과하는
apologist	사과 학자
apologize	사과하다
apology	사과
apostasy	배교
apostate	배도하다
apostle	사도
apostolic	사도의
apostrophe	아포스트로피
apothecary	약종상
appalled	소름이 끼치는
appalling	질리는
apparatus	기구
apparel	의복
apparent	명백한
apparently	분명히
apparition	환영
appeal	항소
appear	나타나다
appearance	외관
appease	달래다
appellant	상고 인
append	추가하다
appendage	부속 기관
appendectomy	충수 절제
appendicitis	충수염
appendix	충수
appetite	식욕
appetizer	간식
appetizing	식욕을 돋우는
applaud	박수 갈채하는
applause	박수 갈채
apple	사과
apple juice	사과 주스
applejack	사과 브랜디
applesauce	사과 소스
appliance	기구
appliances	가전 ​​제품
applicability	적용 가능성
applicable	응용할 수 있는
applicant	응모자
application	신청
apply	대다
appoint	정하다
appointment	약속
appointments	설비
apportion	배분
apportionment	배분
appraisal	값 매김
appraise	감정
appreciable	상당한
appreciate	고맙다
appreciated	고맙다
appreciates	고맙다
appreciation	감사
appreciative	감사하는
apprehend	깨닫다
apprehension	우려
apprehensive	걱정스러운
apprentice	도제
apprenticeship	도제
approach	접근
approaching	접근하는
approbate	NO TRANSLATION
approbation	허가
appropriate	적당한
appropriation	인가
approval	승인
approve	승인하다
approved	승인 된
approvement	승인
approving	승인하는
approximate	근접한
approximately	대략
approximating	근사치
approximation	근사
appurtenances	부속물
apricot	살구
apron	앞치마
apt	적절한
aptitude	적성
aqua	아쿠아
aquamarine	남옥
aquarium	수족관
aquatic	물의
aqueduct	수로
aqueous	물의
arable	경작 할 수있는
arbiter	중재인
arbitrary	임의의
arbitrate	중재하다
arbitration	중재
arbitrator	중재인
arbor	정자
arc	호
arcade	아케이드
arcane	비밀의
arch	아치
archaeological	고고학의
archaeologist	고고학자
archaeology	고고학
archaic	고풍의
archangel	대천사
archbishop	대주교
archdiocese	대교구
archduke	대공
arched	아치형의
archer	궁수
archery	양궁
archetype	원형
archipelago	열도
architect	건축가
architectural	건축의
architecture	건축물
archive	아카이브
arctic	북극의
ardent	불타는
ardor	열정
arduous	어려운
area	지역
arena	투기장
areola	그물코 틈
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	아아
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	논하다
argument	논의
argumentation	입론
argumentative	논증의
arguments	인수들
arid	건조한
arise	생기다
aristocracy	귀족
aristocrat	귀족
aristocratic	귀족의
arithmetic	산수
ark	방주
arm	팔
armada	함대
armament	군비
armaments	군비
armature	전기자
armchair	안락 의자
armed	무장 한
armor	갑옷
armored	기갑 된
armory	병기고
armpit	겨드랑이
arms	무기
army	육군
aroma	방향
aromatherapy	아로마 테라피
arousal	각성
arouse	깨우다
aroused	흥분한
arraignment	죄상 인부
arrange	붙이다
arranged	배열 된
arrangement	배열
array	정렬
arrears	미불
arrest	체포
arrhythmia	부정맥
arrival	도착
arrive	태어나다
arrogance	거만
arrogant	거만한
arrow	화살
arsehole	아치 홀
arseholes	아치 홀
arsenal	병기고
arsenic	비소
arson	방화
arsonist	방화범
art	미술
arterial	동맥
artery	동맥
artful	교활한
arthritis	관절염
arthropod	절지 동물
artichoke	아티 초크
article	조
articles	조항
articulate	명확히하다
articulation	관절
artifact	인공물
artifice	기교
artificial	인공의
artillery	포
artisan	장인
artist	예술가
artiste	NO TRANSLATION
artistic	예술적
artistry	예술적 기교
artists	예술가들
artwork	삽화
arty	아티
asap	가능한 빨리
asbestos	석면
ascend	오르다
ascendancy	우세
ascendant	상승
ascending	오름차순
ascension	승천
ascent	오르막
ascertain	명백히 하다
ascertained	확인 된
ascetic	고행자
ash	금연 건강 증진 협회
ashamed	부끄러워
ashes	재
ashtray	재떨이
asinine	나귀 같은
ask	청하다
asleeep	NO TRANSLATION
asleep	죽어
asp	ASP
asparagus	아스파라거스
aspartame	아스파탐
aspect	양상
aspects	상들
aspen	아스펜
asphalt	아스팔트
asphyxia	기절
asphyxiation	질식
aspiration	포부
aspire	열망하는
aspirin	아스피린
aspiring	열망하는
ass	나귀
assail	공격하다
assailant	공격자
assassin	암살자
assassinate	암살하다
assassination	암살
assault	폭행
assay	시험
assemblage	조립
assemble	모으다
assembled	조립 된
assembly	어셈블리
assemblyman	의원
assent	동의
assert	단언하다
asserting	주장하는
assertion	역설
assertive	독단적 인
assess	평가하다
assessment	평가
assessor	배석 판사
asset	유산
assets	자산
asshole	항문
assign	양수인
assignee	양수인
assignment	할당
assimilate	동화하다
assimilation	동화
assist	돕다
assistance	보조
assistant	조수
associate	동무
association	협회
assorted	어울리는
assortment	구분
assuage	견디다
assume	취하다
assumed	꾸민
assuming	가정
assumption	인수
assurance	보증
assure	보증하다
assured	자신 있는
assuredly	확실히
asterisk	별표
asteroid	소행성
asteroids	소행성
asthma	천식
asthmatic	천식
astigmatism	난시
astonish	놀라게 하다
astonished	놀란
astonishing	놀라운
astonishingly	NO TRANSLATION
astonishment	놀람
astound	놀라게 하다
astral	아스트랄
astray	타락한
astringent	수렴성
astrologer	점성가
astrology	점성학
astronaut	우주 비행사
astronomer	천문학 자
astronomical	천문학의
astronomy	천문학
astute	기민한
asunder	떨어져
asylum	보호 시설
asymmetric	비대칭 인
asymmetry	어울리지 않음
asymptotic	점근선의
atelier	아틀리에
atheism	무신론
atheist	무신론자
atheistic	무신론자
atherosclerosis	죽상 경화증
athlete	육상 경기 선수
athletic	운동
athleticism	운동 능력
athletics	체육 실기
atlas	아틀라스
atmosphere	분위기
atmospheric	대기의
atoll	환초
atom	원자
atomic	원자
atone	속죄하다
atonement	보상
atpeace	평화
atrium	아트리움
atrocious	극악한
atrocity	포악
atrophy	위축
attach	붙이다
attached	붙여진
attachment	부착
attack	공격
attacker	공격자
attacking	공격의
attain	달성하다
attainable	이를 수 있는
attainment	달성
attempt	시도
attempted	시도하다
attend	참석하다
attendance	출석
attendant	참석자
attention	주의
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	친절한
attenuate	가늘게 하다
attenuated	약화 된
attenuation	감쇠
attest	증언하다
attestation	증명
attic	애틱
attire	옷차림
attitude	태도
attorney	변호사
attract	끌다
attraction	끌어 당김
attractive	매력적인
attractiveness	매력
attributable	귀속 가능한
attribute	속성
attribution	속성
attrition	마찰
auburn	고동색
auction	경매
auctioneer	경매인
audacious	대담한
audacity	대담
audible	들리는
audience	청중
audio	오디오
audit	심사
audition	오디션
auditions	오디션
auditor	감사
auditorium	강당
auditory	귀의
aught	어떤 일
augment	증강제
augmentation	증가
august	팔월
aunt	이모
auntie	아줌마
aura	영기
aurora	오로라
auspices	원조
auspicious	길조
austere	남풍
austerity	내핍 생활
authentic	진정한
authenticate	인증하다
authentication	입증
authenticity	확실성
author	저자
authoritative	권위 있는
authority	권위
authorization	권한 부여
authorize	권한을 부여하다
authorized	인정 받은
authorship	원작자
autism	자폐성
autistic	자폐증의
auto	자동
autobiographical	자서전적인
autobiography	자서전
autocorrect	자동 고침
autocratic	독재적인
autograph	자필
autographed	사인을 한
automated	자동화 된
automatic	오토매틱
automobile	자동차
automotive	자동차
autonomy	자치
autopilot	자동 조종 장치
autopsy	검시
autumn	가을
auxiliary	보조자
avail	이익
availability	유효성
available	유효한
avalanche	눈사태
avarice	탐욕
avatar	화신
avenge	복수하다
avenger	복수 자
avenging	복수
avenue	수단
aver	NO TRANSLATION
average	평균
aversation	NO TRANSLATION
averse	회피
averseness	반감
aversion	혐오
avert	돌리다
aviary	새장
aviation	비행
aviator	비행가
avid	욕심 많은
avocado	아보카도
avoid	기피
avoidance	기피
avoiding	피하는
await	기다리다
awake	깨다
awaken	깨우다
awakening	각성
award	장학금
awards	상
aware	알고있는
awareness	인식
awe	NO TRANSLATION
awed	awed
awesome	대단한
awesomeness	굉장한
awestruck	놀란
awful	무서운
awkward	어색한
awkwardness	어색함
awning	천막
awry	틀려서
axe	도끼
axial	축 방향의
axiom	공리
axiomatic	공리 같은
axis	중심선
axle	차축
ay	찬성
aye	찬성
azimuth	방위각
azure	하늘빛
babble	떠드는 소리
babbling	졸졸 흐르는
babe	아기
baboon	비비
baby	아가
babysit	아기 돌보기
babysitter	안저지
baccalaureate	학사 학위
baccarat	바카라
bachelor	미혼 남자
bachelorette	독신
back	뒤로
backboard	백보드
backbone	등뼈
backdoor	뒷문
backdrop	배경
backer	후원자
backfire	역화
backgammon	주사위 놀이
background	배경
backhand	백핸드
backhoe	백호
backoff	물러나 다
backpack	배낭
backpacker	백 패커
backroom	안쪽 방
backseat	뒷좌석
backside	뒷면
backtrack	역 추적하다
backup	지원
backward	뒤로
backwardness	후진성
backwards	뒤로
backwater	지적 부진
backwoods	삼림지
backyard	뒤뜰
bacon	베이컨
bacteria	박테리아
bacterial	세균성의
bacterium	박테리아
bad	나쁜
badass	불량배
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	배지
badger	오소리
badhabit	NO TRANSLATION
badly	심하게
badness	나쁜 상태
baffle	헛되이 애쓰다
baffled	당황한
bag	가방
bagel	베이글
baggage	수하물
baggie	가방
baggy	불룩한
bagman	외판원
bagpipes	백파이프
bail	보석
bailiff	집행관
bait	미끼
bake	빵 굽기
bakery	빵집
baking	빵 굽기
bal	NO TRANSLATION
balance	밸런스
balanced	균형이 잡힌
balcony	발코니
bald	노골적인
balding	대머리
baldy	대머리
bale	곤포
balk	놓치다
ball	공
ballad	민요
ballast	안정기
ballerina	발레리나
ballet	발레
ballgame	야구 경기
ballistic	탄도의
ballistics	탄도학
balloon	풍선
ballot	투표권
ballpark	야구장
ballplayer	볼 선수
ballpoint	볼펜
ballroom	사교 댄스
ballsy	귀여운
balm	향유
balmy	상쾌한
balsam	봉숭아
balsamic	발삼의
bam	밤
bamboo	대나무
ban	NO TRANSLATION
banana	바나나
band	밴드
bandage	붕대
bandanna	NO TRANSLATION
bandit	적기
bandstand	음악당
bandwagon	악 대차
bandwidth	대역폭
bane	독
bang	쾅
banger	소시지
banish	덜어 없애다
banished	추방 된
banishment	추방
banister	난간
banjo	밴조
bank	은행
banker	은행가
banking	은행업
bankroll	돈다발
bankrupt	파산자
bankruptcy	파산
banner	기치
banquet	연회
banshee	반시
banter	농담
banzai	NO TRANSLATION
baptism	세례
baptismal	침례의
baptize	침례를 베풀다
bar	바
barb	미늘
barbarian	야만인
barbaric	야만인 같은
barbarism	야만인
barbecue	야외 파티
barbed	가시 돋친
barber	이발사
barbershop	이발소
barbie doll	바비 인형
bard	음유 시인
bare	없는
bareback	미숙 한
barefoot	맨발
barely	간신히
barf	바프
bargain	싸게 사는 물건
bargaining	교섭
barge	짐배
baritone	바리톤
barium	바륨
bark	나무 껍질
barkeep	바리 케프
barks	짖는 소리
barley	보리
barmaid	술집 여급
barman	바텐더
barn	외양간
barnacle	따개비
barney	바니
barnyard	헛간 앞뜰
barometer	기압계
baron	남작
baroness	남작 부인
baroque	바로크
barrack	바라크
barracuda	바라쿠다
barrage	연발 사격
barred	가두어 버린
barrel	통
barren	메마른
barricade	바리케이드
barrier	장벽
barring	금지
barrister	법정 변호사
barroom	술집
barrow	손수레
bartender	바텐더
barter	물물 교환
base	베이스
baseball	야구
baseball bat	야구 방망이
baseboard	거치대
baseless	근거가없는
baseline	기준선
baseman	기수
basement	최하부
bases	기초
bash	세게 때리다
bashful	수줍어하는
basic	기본
basics	기초
basil	바질
basilica	공회당
basin	분지
basis	기초
bask	숙면을 취하다
basket	바구니
basketball	농구
bass	베이스
bass guitar	베이스 기타
basso	NO TRANSLATION
bassoon	바순
bastard	잡종
bastarding	야만적 인
bastards	나쁜 놈들
bastion	능보
bat	박쥐
batch	일괄
batching	일괄 처리
bate	NO TRANSLATION
bath	목욕
bathe	미역
bathhouse	목욕탕
bathing	입욕
bathrobe	목욕 가운
bathroom	화장실
bathtub	목욕통
bathymetry	수심 측량술
baton	지휘봉
battalion	대대
batter	반죽
battered	오래 써서 낡은
battering	타격
battery	배터리
battle	전투
battled	싸우다
battlefield	싸움터
battleground	전쟁터
battlements	궁전
battleship	전함
batty	배트
bauble	값싼 물건
bawdy	음담
bawl	외침
bay	만
bayonet	총검
bayou	바 이유
bazaar	바자
bazooka	바주카포
bday	bday
be	있다
beach	바닷가
beaches	해변들
beacon	봉홧불
bead	구슬
beading	구슬 장식
beads	염주
beady	구슬 같은
beagle	비글
beak	부리
beaker	굽 ​​달린 큰 컵
beam	빔
beaming	빛나는
bean	콩
beanbag	콩 주머니
beanie	비니
bear	곰
bearable	견딜 수 있는
beard	수염
bearded	수염 난
bearer	교군꾼
bearing	베어링
bearings	문장
bearish	곰 같은
bearskin	곰 가죽 제품
beast	짐승
beastly	짐승 같은
beat	박자
beaten	밟아 다진
beater	때리는 사람
beating	고동
beatnik	비트 니크
beau	아름다운
beautification	아름다움
beautiful	아름다운
beautify	아름답게 하다
beauty	아름다움
beaver	비버
bebop	비밥
beck	끄덕임
beckon	꾀어 부르다
become	지다
bed	침대
bedding	침구
bedpan	탕파
bedrock	근본적인
bedroom	침실
bedside	머리맡
bedspread	침대 덮개
bedtime	취침 시간
bee	벌
beef	소고기
beefsteak	소고기 스테이크
beehive	벌집
beep	삑 하는 소리
beeper	신호음
beer	맥주
bees	꿀벌
beeswax	밀랍
beetle	갑충
befall	생기다
befitting	어울리는
befriend	돕다
befuddled	당황한
beg	빌다
beggar	거지
begging	구걸
begin	시작하다
beginner	초보자
beginning	처음
beginnings	시작
begrudge	싫어하는
begun	시작된
behappy	NO TRANSLATION
behave	굴다
behavior	행동
behavioral	행동 적
behemoth	거대한 짐승
behest	명령
behold	보다
beholden	보라
beholder	보는 사람
beige	베이지 색
belated	때늦은
belay	빌레이
belch	분화
belief	믿음
believable	믿을 만한
