Word	zh-CN
aerodrome	机场
aerodynamic	空气动力学的
aerodynamics	空气动力学
aeronautics	航空学
aeroplane	飞机
aerospace	航天
aesthetic	审美
aesthetics	美学
aetiology	病因
afar	远
affable	和蔼可亲的
affair	事务
affect	影响
affecting	影响
affection	感情
affectionate	亲热
affections	感情
affiche	NO TRANSLATION
affidavit	宣誓书
affiliated	附属
affiliation	联系
affinity	亲和力
affirm	确认
affirmation	肯定
affirmative	肯定
affirmatively	肯定地
affix	词缀
afflict	折磨
afflicted	折磨
affliction	痛苦
affluence	富裕
affluent	富裕的
afford	给予
affordable	实惠
affront	冒犯
affronted	冒犯
afield	远处
afire	着火
afloat	浮着
afore	前面
aforementioned	前述的
aforesaid	前述的
afraid	害怕
afresh	重新
african	非洲人
aft	船尾
afterlife	来世
aftermath	后果
afternoon	下午
aftershave	擦面液
aftertaste	回味
afterthought	事后
aga	NO TRANSLATION
agape	纯爱
agate	玛瑙
age	年龄
aged	老
agency	机构
agenda	议程
agent	代理人
agglomeration	凝聚
aggravate	加剧
aggravated	加重
aggravates	加重
aggravating	恼人的
aggravation	加重
aggregate	骨料
aggregation	聚合
aggresive	NO TRANSLATION
aggression	侵略
aggressive	侵略性
aggressively	积极
aggressiveness	侵略性
aggressor	侵略者
agh	AGH
aghast	骇然
aghhh	NO TRANSLATION
agile	敏捷
agility	敏捷
aging	老化
agitate	激荡
agitated	激动
agitation	搅动
aglow	发红的
agnostic	不可知
ago	前
agonizing	折腾
agony	痛苦
agoraphobia	广场恐怖症
agree	同意
agreeable	合适的
agreed	同意
agreeing	同意
agreement	协议
agressive	NO TRANSLATION
agricultural	农业的
agriculture	农业
aground	搁浅
agua	NO TRANSLATION
ahead	先
ahhh	唉唉
ahhhhhhhh	NO TRANSLATION
ahoy	趣多多
aid	援助
aide	助手
aiding	帮助
aids	艾滋病
ail	AIL
ailing	生病
ailment	病痛
aim	目标
aimless	漫无目的
air	空气
airbag	安全气囊
airborne	空降
aircraft	飞机
aircraft carrier	航空母舰
airfield	机场
airhead	空降场
airlift	空运
airline	航空公司
airliner	客机
airlock	气闸
airman	空军
airplane	飞机
airport	飞机场
airs	摆架子
airship	飞艇
airspace	空域
airspeed	空速
airstrip	简易机场
airtight	密闭
airway	空中航线
aisle	走道
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	又名
akin	类似的
alabaster	雪花
alarm	报警
alarm clock	闹钟
alarmed	惊慌
alarming	惊人
alas	唉
alb	NO TRANSLATION
albatross	信天翁
albino	白化病
album	专辑
alchemy	炼金术
alcohol	醇
alcoholic	酒精
alcoholism	酗酒
alcove	壁龛
alderman	市议员
ale	NO TRANSLATION
alert	警报
alertness	警觉
alerts	警报
alfalfa	苜蓿
algebra	代数
algebraic	代数
algorithm	算法
alias	别号
alibi	托辞
alien	外侨
alienate	离间
alienated	疏远
alienation	异化
alight	落
align	对齐
aligned	对齐
alignment	对准
alike	一样
alimentation	NO TRANSLATION
alimony	赡养费
aliquot	等份
alive	活
alkali	强碱
alkaloids	生物碱
allay	缓和
allegation	断言
allege	断言
alleged	所谓的
allegiance	忠诚
allegorical	寓言
allegory	寓言
allegro	快板
allergic	过敏的
allergy	过敏
alleviate	缓和
alleviation	缓和
alley	胡同
alleyway	胡同
alliance	联盟
allied	联盟的
alligator	鳄鱼
allocate	分配
allocation	分配
allot	分配
allotment	配股
allow	允许
allowable	允许
allowance	津贴
allowed	允许
alloy	合金
allsmiles	NO TRANSLATION
allure	引诱
alluring	诱人
allusion	典故
alluvial	冲积
ally	盟友
almanac	历书
almighty	大能
almond	杏仁
aloft	在高处
aloha	阿罗哈
alone	单独
alongside	并肩
aloof	超然
aloud	高声
alpha	α
alphabet	字母
alphabetical	拼音
alpine	高山
alreadyyyyy	NO TRANSLATION
altar	坛
altar boy	祭坛男孩
alter	改变
alteration	改造
altercation	争吵
altered	改变
alternate	备用
alternating	交替
alternative	替代
altimeter	高度表
altitude	高度
alto	中音
altogether	共
aluminum	铝
alumnus	校友
alveolar	肺泡
alzheimers	NO TRANSLATION
amalgam	汞合金
amalgamation	合并
amaretto	阿玛丽托
amass	攒
amateur	业余
amaze	惊奇
amazed	吃惊
amazedness	amazedness
amazement	惊愕
amazing	惊人
amazingly	令人惊讶
ambassador	大使
amber	琥珀色
ambience	环境
ambient	周围
ambiguity	歧义
ambiguous	暧昧
ambit	范围
ambition	志向
ambitious	有雄心
ambivalent	矛盾
ambrosia	神的食物
ambulance	救护车
ambush	伏击
ameliorate	改善
amen	阿门
amenable	适合
amend	修改
amendment	修订
amends	赔偿
amenity	礼仪
amethyst	紫晶
amiable	可亲
amicable	和睦
amid	际
amidst	烟雨
amino	氨基
ammo	弹药
ammonia	氨
ammonium	氨
ammunition	弹药
amnesia	健忘症
amnesty	大赦
amorous	恋爱的
amorphous	非晶
amortization	折旧
amount	量
amour	NO TRANSLATION
amp	功放
ampersand	符号
amphetamines	安非他明
amphibian	两栖动物
amphibious	水陆两用
amphitheater	圆形剧场
ample	充足
amplification	放大
amplify	放大
amplitude	振幅
amply	充分
amputate	截肢
amputation	切断术
amuck	疯狂地
amulet	护身符
amuse	游玩
amused	乐
amusement	娱乐
amusing	有趣
ana	NO TRANSLATION
anaconda	森蚺
anaesthesia	麻醉
anaesthetic	麻药
anagram	字谜
anal	肛门
analgesic	镇痛药
analogous	类似
analogue	类似物
analogy	比喻
analysis	分析
analyst	分析人士
analytic	解析
analytical	分析
analyze	分析
analyzer	分析仪
anaphylactic	过敏的
anarchism	无政府主义
anarchist	无政府主义者
anarchy	无政府状态
anastomosis	吻合
anathema	诅咒
anatomic	解剖的
anatomy	解剖学
ancestor	祖先
ancestral	祖
ancestry	祖先
anchor	锚
anchorage	锚地
ancient	古
ancillary	辅助的
androgen	雄激素
android	安卓
anecdote	轶事
anemia	贫血
anemic	贫血的
anemone	海葵
anesthesia	麻醉
anesthesiologist	麻醉师
anesthetic	麻药
aneurysm	动脉瘤
anew	重新
angel	天使
angelic	天使
anger	愤怒
angered	激怒
angermanagement	NO TRANSLATION
angina	心绞痛
angiogram	血管造影
angiography	血管造影
angle	角度
angling	钓鱼
angora	兔毛
angriest	angriest
angry	愤怒
angrytweet	NO TRANSLATION
angst	焦虑
anguish	痛苦
anguished	苦涩
angular	角
anhydrous	无水
animal	动物
animate	活跃
animated	动画
animation	动画
animosity	敌意
animus	阿尼姆斯
ankle	踝
anklet	脚镯
annals	志
annex	附件
annexation	合并
annexe	NO TRANSLATION
annihilate	歼灭
annihilated	全军覆没
annihilation	歼灭
anniversary	周年
annotate	注释
annotation	注解
announce	宣布
announcement	公告
announcer	播音员
annoy	搅扰
annoyance	烦恼
annoyed	懊恼
annoyin	NO TRANSLATION
annoying	恼人的
annoys	惹恼
annual	全年
annuity	年金
annul	废止
annular	环形的
annulment	废除
annulus	环
anointed	膏
anointing	恩膏
anomalous	异常的
anomaly	不规则
anon	不久
anonymity	匿名
anonymous	匿名
anorexic	厌食症
answer	回答
answerable	可回答的
answering	回答
ant	蚂蚁
antagonism	对抗
antagonist	对手
antagonistic	对抗性的
antagonize	对抗
ante	NO TRANSLATION
antecedent	前情
antelope	羚羊
antenna	天线
anterior	前面的
anthem	圣歌
anthill	垤
anthology	选集
anthrax	炭疽病
anthropological	人类学
anthropologist	人类学家
anthropology	人类学
anti	抗
antiaircraft	防空
antibiotic	抗生素
antibiotics	抗生素
antichrist	敌基督
anticipate	预料
anticipation	预期
anticipatory	预料的
antics	滑稽动作
antidote	解药
antifungal	抗真菌
antigravity	反重力
antimony	锑
antipathy	反感
antiquarian	古玩
antiquated	陈旧的
antique	古董
antiques	古董
antiquity	古代
antiseptic	防腐剂
antisocial	反社会的
antithesis	对立
antithetical	对立的
antiviral	抗病毒
antler	鹿茸
antsy	坐立不安
anus	肛门
anvil	砧
anxiety	焦虑
anxietyattack	NO TRANSLATION
anxious	急
anxiousness	焦虑
anytime	任何时候
aorta	大动脉
aortic	主动脉
apace	快速地
apache	阿帕奇
apartment	公寓
apartments	公寓
apathetic	麻木不仁
apathy	暮气
ape	猿
aperture	光圈
apex	顶尖
aphid	蚜
aphrodisiac	春药
apiece	一块
aplomb	沉着
apocalypse	启示
apocalyptic	世界末日
apologetic	歉然
apologist	辩护士
apologize	道歉
apology	歉意
apostasy	叛教
apostate	变节者
apostle	使徒
apostolic	使徒的
apostrophe	撇号
apothecary	药剂师
appalled	慑
appalling	骇人听闻的
apparatus	仪器
apparel	服饰
apparent	明显的
apparently	显然地
apparition	幻影
appeal	上诉
appear	出现
appearance	出现
appease	安抚
appellant	上诉人
append	附加
appendage	附加物
appendectomy	阑尾切除术
appendicitis	阑尾炎
appendix	附录
appetite	食欲
appetizer	开胃菜
appetizing	开胃的
applaud	鼓掌
applause	掌声
apple	苹果
apple juice	苹果汁
applejack	苹果白兰地
applesauce	苹果酱
appliance	器具
appliances	家电
applicability	适用性
applicable	适用
applicant	申请人
application	应用
apply	应用
appoint	委
appointment	约定
appointments	约会
apportion	分摊
apportionment	分摊
appraisal	评价
appraise	评价
appreciable	可感知的
appreciate	欣赏
appreciated	赞赏
appreciates	赞赏
appreciation	升值
appreciative	欣赏的
apprehend	拘押
apprehension	顾虑
apprehensive	忧虑
apprentice	学徒
apprenticeship	学徒
approach	途径
approaching	接近
approbate	NO TRANSLATION
approbation	赞许
appropriate	适当
appropriation	拨款
approval	赞同
approve	批准
approved	批准
approvement	approvement
approving	满意的
approximate	近似
approximately	约
approximating	逼近
approximation	近似
appurtenances	附属物
apricot	杏
apron	围裙
apt	易于
aptitude	能力倾向
aqua	AQUA
aquamarine	蓝晶
aquarium	水族馆
aquatic	水
aqueduct	水道
aqueous	水
arable	可耕的
arbiter	仲裁者
arbitrary	随意
arbitrate	仲裁
arbitration	仲裁
arbitrator	仲裁人
arbor	乔木
arc	弧
arcade	拱廊
arcane	神秘
arch	拱
archaeological	考古学的
archaeologist	考古学家
archaeology	考古学
archaic	古老
archangel	天使
archbishop	大主教
archdiocese	教区
archduke	大公
arched	拱形的
archer	射手
archery	射箭
archetype	原型
archipelago	群岛
architect	建筑师
architectural	建筑的
architecture	建筑
archive	档案
arctic	北极
ardent	热心
ardor	热情
arduous	艰巨
area	区
arena	竞技场
areola	乳晕
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	哎呀
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	争论
argument	论据
argumentation	论证
argumentative	争论的
arguments	参数
arid	干旱
arise	出现
aristocracy	贵族
aristocrat	贵族
aristocratic	贵族的
arithmetic	算术
ark	方舟
arm	臂
armada	舰队
armament	武器
armaments	军备
armature	衔铁
armchair	扶手椅
armed	武装
armor	盔甲
armored	装甲
armory	军械库
armpit	腋窝
arms	武器
army	军队
aroma	香气
aromatherapy	芳香疗法
arousal	觉醒
arouse	引起
aroused	引起
arraignment	提审
arrange	安排
arranged	安排
arrangement	安排
array	排列
arrears	欠款
arrest	逮捕
arrhythmia	心律失常
arrival	到达
arrive	到达
arrogance	傲慢
arrogant	傲慢
arrow	箭头
arsehole	混蛋
arseholes	arseholes
arsenal	兵工厂
arsenic	砷
arson	纵火
arsonist	纵火犯
art	艺术
arterial	动脉
artery	动脉
artful	巧
arthritis	关节炎
arthropod	节肢动物
artichoke	朝鲜蓟
article	文章
articles	用品
articulate	说出
articulation	关节
artifact	神器
artifice	技巧
artificial	人造
artillery	炮兵
artisan	工匠
artist	艺术家
artiste	NO TRANSLATION
artistic	艺术的
artistry	艺术性
artists	艺术家
artwork	艺术品
arty	附庸风雅
asap	尽快
asbestos	石棉
ascend	登
ascendancy	优势
ascendant	上升的
ascending	上升
ascension	上升
ascent	上升
ascertain	探明
ascertained	确定
ascetic	苦行者
ash	灰
ashamed	羞愧
ashes	灰烬
ashtray	烟灰缸
asinine	愚蠢
ask	问
asleeep	NO TRANSLATION
asleep	睡着
asp	ASP
asparagus	芦笋
aspartame	阿斯巴甜
aspect	方面
aspects	方面
aspen	白杨
asphalt	沥青
asphyxia	窒息
asphyxiation	窒息
aspiration	心愿
aspire	立志
aspirin	阿司匹林
aspiring	有志
ass	屁股
assail	攻击
assailant	攻击者
assassin	刺客
assassinate	暗杀
assassination	暗杀
assault	突击
assay	化验
assemblage	装配
assemble	集合
assembled	组装
assembly	部件
assemblyman	众议员
assent	同意
assert	断言
asserting	断言
assertion	断言
assertive	断言的
assess	评估
assessment	评定
assessor	估税员
asset	财富
assets	资产
asshole	混蛋
assign	分配
assignee	代理人
assignment	分配
assimilate	吸收
assimilation	同化
assist	助攻
assistance	帮助
assistant	助理
associate	关联
association	协会
assorted	什
assortment	品种
assuage	缓和
assume	承担
assumed	假定
assuming	假设
assumption	假设
assurance	保证
assure	保证
assured	保证
assuredly	无疑
asterisk	星号
asteroid	小行星
asteroids	小行星
asthma	哮喘
asthmatic	哮喘
astigmatism	散光
astonish	震惊
astonished	惊讶
astonishing	惊人
astonishingly	NO TRANSLATION
astonishment	惊愕
astound	惊奇
astral	星体
astray	走错
astringent	涩
astrologer	占星家
astrology	占星术
astronaut	宇航员
astronomer	天文学家
astronomical	天文
astronomy	天文学
astute	精明
asunder	四分五裂
asylum	避难所
asymmetric	非对称
asymmetry	不对称
asymptotic	渐近
atelier	画室
atheism	无神论
atheist	无神论者
atheistic	无神论
atherosclerosis	动脉粥样硬化
athlete	运动员
athletic	竞技
athleticism	运动能力
athletics	竞技
atlas	舆图
atmosphere	大气层
atmospheric	大气的
atoll	环礁
atom	原子
atomic	原子
atone	赎罪
atonement	赎罪
atpeace	内心安宁
atrium	中庭
atrocious	穷凶极恶
atrocity	暴行
atrophy	痿
attach	连接
attached	附
attachment	附件
attack	攻击
attacker	攻击者
attacking	进攻
attain	达到
attainable	可实现
attainment	素养
attempt	尝试
attempted	尝试
attend	出席
attendance	勤
attendant	服务员
attention	注意
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	细心
attenuate	衰减
attenuated	减毒
attenuation	衰减
attest	表明
attestation	认证
attic	阁楼
attire	服装
attitude	态度
attorney	律师
attract	吸引
attraction	引力
attractive	有吸引力
attractiveness	吸引力
attributable	归属
attribute	属性
attribution	归因
attrition	摩擦
auburn	奥本
auction	拍卖
auctioneer	拍卖
audacious	胆大
audacity	大胆
audible	听得见
audience	听众
audio	音频
audit	审计
audition	面试
auditions	试镜
auditor	核数师
auditorium	礼堂
auditory	听觉
aught	任何事物
augment	增加
augmentation	增强
august	八月
aunt	姑妈
auntie	阿姨
aura	光环
aurora	极光
auspices	主持
auspicious	吉祥
austere	简朴的
austerity	简朴
authentic	真实
authenticate	认证
authentication	认证
authenticity	真伪
author	作者
authoritative	权威性
authority	权威
authorization	授权
authorize	授权
authorized	合法
authorship	作者
autism	自闭症
autistic	自闭症
auto	汽车
autobiographical	自传
autobiography	自传
autocorrect	自动更正
autocratic	专制
autograph	签名
autographed	亲笔签名
automated	自动化
automatic	自动
automobile	汽车
automotive	汽车
autonomy	自治
autopilot	自动驾驶仪
autopsy	尸检
autumn	秋季
auxiliary	辅
avail	果
availability	可用性
available	可得到
avalanche	雪崩
avarice	贪婪
avatar	头像
avenge	报仇
avenger	复仇者
avenging	复仇的
avenue	大街
aver	NO TRANSLATION
average	平均
aversation	嫌弃
averse	规避
averseness	厌恶
aversion	厌恶
avert	避免
aviary	鸟舍
aviation	航空
aviator	飞行员
avid	狂热
avocado	鳄梨
avoid	避免
avoidance	躲避
avoiding	避免
await	等待
awake	苏醒
awaken	憬
awakening	唤醒
award	奖
awards	奖项
aware	知道的
awareness	意识
awe	NO TRANSLATION
awed	慑于
awesome	真棒
awesomeness	迷死
awestruck	肃然起敬
awful	可怕
awkward	尴尬
awkwardness	重仓股
awning	棚
awry	歪
axe	斧头
axial	轴向
axiom	公理
axiomatic	不言自明的
axis	轴
axle	轴
ay	AY
aye	赞成
azimuth	方位
azure	天蓝
babble	潺潺
babbling	胡说
babe	孩儿
baboon	狒狒
baby	宝宝
babysit	照看
babysitter	保姆
baccalaureate	学士学位
baccarat	百家乐
bachelor	单身汉
bachelorette	未婚
back	背部
backboard	篮板
backbone	骨干
backdoor	后门
backdrop	背景
backer	靠山
backfire	逆火
backgammon	十五子棋
background	背景
backhand	反手
backhoe	反铲
backoff	退避
backpack	背包
backpacker	背包客
backroom	幕后
backseat	后座
backside	背面
backtrack	原路返回
backup	备用
backward	落后
backwardness	落后
backwards	向后
backwater	回水
backwoods	边远地区
backyard	后院
bacon	培根
bacteria	菌
bacterial	细菌
bacterium	细菌
bad	坏
badass	坏蛋
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	徽章
badger	獾
badhabit	NO TRANSLATION
badly	惨
badness	恶
baffle	障
baffled	困惑
bag	袋
bagel	面包圈
baggage	行李
baggie	旅行箱
baggy	松松垮垮
bagman	推销员
bagpipes	风笛
bail	保释
bailiff	法警
bait	饵
bake	烤
bakery	面包店
baking	饼
bal	NO TRANSLATION
balance	平衡
balanced	均衡
balcony	阳台
bald	秃
balding	秃头
baldy	秃子
bale	包
balk	梁木
ball	球
ballad	民谣
ballast	压载
ballerina	芭蕾舞演员
ballet	芭蕾舞
ballgame	球赛
ballistic	弹道的
ballistics	弹道学
balloon	气球
ballot	选票
ballpark	球场
ballplayer	球坛
ballpoint	圆珠笔
ballroom	舞厅
ballsy	胆量
balm	香脂
balmy	芳香
balsam	香脂
balsamic	香醋
bam	哄骗
bamboo	竹
ban	NO TRANSLATION
banana	香蕉
band	带
bandage	绷带
bandanna	NO TRANSLATION
bandit	土匪
bandstand	音乐台
bandwagon	花车
bandwidth	带宽
bane	诛戮
bang	砰
banger	香肠
banish	放逐
banished	放逐
banishment	流放
banister	栏杆
banjo	班卓琴
bank	银行
banker	银行家
banking	银行业
bankroll	资金
bankrupt	破产者
bankruptcy	破产
banner	旗帜
banquet	宴会
banshee	女妖
banter	嘲笑
banzai	NO TRANSLATION
baptism	洗礼
baptismal	洗礼
baptize	洗
bar	酒吧
barb	倒钩
barbarian	野蛮人
barbaric	野蛮
barbarism	野蛮
barbecue	烧烤
barbed	带刺
barber	理发师
barbershop	理发店
barbie doll	芭比娃娃
bard	诗人
bare	裸
bareback	无鞍
barefoot	赤脚
barely	仅仅
barf	BARF
bargain	讨价还价
bargaining	议价
barge	驳船
baritone	男中音
barium	钡
bark	吠
barkeep	酒吧老板
barks	树皮
barley	大麦
barmaid	招待员
barman	酒保
barn	谷仓
barnacle	藤壶
barney	巴尼
barnyard	稗
barometer	晴雨表
baron	男爵
baroness	男爵夫人
baroque	巴洛克
barrack	营房
barracuda	梭鱼
barrage	弹幕
barred	禁止
barrel	桶
barren	荒芜
barricade	壅
barrier	屏障
barring	禁止
barrister	律师
barroom	酒吧间
barrow	独轮车
bartender	酒保
barter	物物交换
base	基础
baseball	棒球
baseball bat	棒球棒
baseboard	护壁板
baseless	毫无根据
baseline	底线
baseman	三垒手
basement	地下室
bases	基地
bash	庆典
bashful	怕羞
basic	基本
basics	基本
basil	罗勒
basilica	教堂
basin	盆地
basis	基础
bask	晒
basket	篮
basketball	篮球
bass	低音
bass guitar	低音吉他
basso	NO TRANSLATION
bassoon	巴松管
bastard	混蛋
bastarding	bastarding
bastards	混蛋
bastion	堡垒
bat	蝙蝠
batch	批量
batching	配料
bate	NO TRANSLATION
bath	浴
bathe	洗澡
bathhouse	澡堂
bathing	洗澡
bathrobe	浴衣
bathroom	浴室
bathtub	浴缸
bathymetry	水深
baton	指挥棒
battalion	营
batter	面糊
battered	受虐
battering	殴打
battery	电池
battle	战斗
battled	作战
battlefield	战场
battleground	战场
battlements	城垛
battleship	主力舰
batty	疯狂
bauble	玩具
bawdy	淫秽
bawl	呶
bay	湾
bayonet	刺刀
bayou	河口
bazaar	市场
bazooka	火箭筒
bday	BDAY
be	是
beach	海滩
beaches	海滩
beacon	烽火
bead	珠子
beading	钉珠
beads	珠
beady	明眸
beagle	小猎犬
beak	喙
beaker	烧杯
beam	光束
beaming	聚束
bean	豆
beanbag	懒人沙发
beanie	豆豆
bear	熊
bearable	可忍受的
beard	胡子
bearded	大胡子
bearer	来人
bearing	轴承
bearings	轴承
bearish	看空
bearskin	熊皮
beast	兽
beastly	兽
beat	击败
beaten	殴打
beater	打浆机
beating	跳动
beatnik	比特尼克
beau	花花公子
beautification	美化
beautiful	美丽
beautify	美化
beauty	美女
beaver	海狸
bebop	波普
beck	招手
beckon	招手
become	成为
bed	床
bedding	寝具
bedpan	便盆
bedrock	基岩
bedroom	卧室
bedside	床头
bedspread	床罩
bedtime	就寝时间
bee	蜜蜂
beef	牛肉
beefsteak	牛排
beehive	蜂窝
beep	嘟
beeper	呼叫器
beer	啤酒
bees	蜜蜂
beeswax	蜂蜡
beetle	甲虫
befall	降临
befitting	合适
befriend	帮扶
befuddled	喝醉了的
beg	求
beggar	乞丐
begging	乞讨
begin	开始
beginner	初学者
beginning	开始
beginnings	开始
begrudge	羡慕
begun	开始
behappy	NO TRANSLATION
behave	表现
behavior	行为
behavioral	行为的
behemoth	河马
behest	遗志
behold	不料
beholden	感激的
beholder	旁观者
beige	米色
belated	迟来的
belay	扎绳
belch	嗝
belief	信仰
believable	可信的
believe	相信
believed	相信
believer	信徒
believing	相信
belittle	贬低
belittled	轻视
bell	钟
bellboy	服务生
bellhop	侍者
belligerent	交战的
bellman	贝尔曼
bellow	怒吼
bellows	风箱
belly	肚皮
bellybutton	肚脐
bellyful	满腹
belong	属于
belongings	财物
beloved	心爱
belt	带
beluga	白鲸
bemused	困惑的
bench	长凳
bend	弯曲
bender	弯管机
bending	弯曲
beneath	下面
benedictory	感谢的
benefactor	恩人
beneficial	有利
beneficiary	受益人
benefit	效益
benevolence	仁
benevolent	仁慈
benign	良性
bent	弯曲
benzene	苯
bequeath	遗赠
bequest	遗赠
bereaved	失去亲人
bereavement	丧亲之痛
bereft	丧失
beret	贝雷帽
bergamot	佛手柑
berlin	柏林
berserk	发狂的
berth	泊位
beryllium	铍
beseech	恳求
beset	困扰
bestdayever	最好的一天
bestfeeling	bestfeeling
bestfriends	最好的朋友
bestial	兽
besties	死党
bestow	赐给
bestseller	畅销书
bet	赌注
beta	公测
betray	背叛
betrayal	辜负
betrayed	背叛
betrothed	许配
betterment	改善
betting	博彩
betty	贝蒂
bevel	斜角
beverage	饮料
bevy	一群
beware	谨防
bewilder	困惑
bewildered	不知所措
bewilderment	困惑
bias	偏压
biased	偏
bib	围兜
bible	圣经
biblical	圣经
bibliography	参考书目
bicarbonate	碳酸氢钠
bicentennial	二百年
biceps	肱二头肌
bicker	斗嘴
bickering	争吵
bicolor	双色
bicycle	自行车
bid	出价
bidder	投标人
bidding	投标
