Word	so
admiral	Admiral
admiralty	sharaf
admiration	xiisaha
admire	ku farxi
admired	waa la faraxsan yahay
admirer	jecel
admiring	ku faraxsan
admissibility	oggolaansho
admissible	waa la ogolaan karaa
admission	gelitaanka
admit	qiree
admittance	gelitaanka
admitted	qirtay
admitting	qirashada
admixture	kufsi
admonition	digniin
ado	Ado
adobe	adobe
adolescence	dhalinyaro
adolescent	dhalinyaro
adopt	korsan
adoption	korsashada
adoptive	korsasho
adorable	adorable
adoration	adayga
adore	adore
adoring	adoring
adorn	adress
adornment	qurxinta
adrenalin	adrenalin
adrenaline	adrenaline
adrift	wax dhib ah
adult	qof weyn
adulterated	dharbaaxay
adulterer	dharbaaxe
adultery	sino
adulthood	waayeelka
advance	hormarin
advanced	horumarsan
advancement	Horumarka
advancing	hormarin
advantage	faa'iido
advantageous	faa'iido leh
advent	Hore
adventure	xiiso
adventurer	macalinka
adventures	Adventures
adventurous	macquul ah
adversary	Cadaab
adverse	wax xun
adversity	dhibaatada
advertise	xayeesiinta
advertisement	xayaysiinta
advertising	xayeeysiinta
adverts	xayeysiisyo
advice	talo
advisable	la talin
advise	talin
advised	la taliyey
advisement	talin
adviser	la taliye
advisor	la taliye
advisory	la talin
advocacy	u doodid
advocate	u dood
aegis	aegis
aeration	aeration
aerial	anteeno
aerobics	aerobics
aerodrome	hawada
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	diyaarad
aerospace	aerospace
aesthetic	suuxinta
aesthetics	esteemka
aetiology	aetiology
afar	afar
affable	roon
affair	shaqeynayaan
affect	saameeyaa
affecting	saameynaya
affection	jacaylka
affectionate	kalgacal
affections	jacaylka
affiche	NO TRANSLATION
affidavit	dhaarta
affiliated	ku xiran
affiliation	ku-xirnaansho
affinity	xiisaha
affirm	qiray
affirmation	qirasho
affirmative	kalsooni
affirmatively	si daacad ah
affix	ku dheji
afflict	Dhibaato
afflicted	dhibtay
affliction	dhibka
affluence	raaxo
affluent	hanti
afford	awood u leh
affordable	la awoodi karo
affront	soo horjeeda
affronted	hortagay
afield	bannaan
afire	dab
afloat	dulqaadka
afore	horay
aforementioned	horey u sheegay
aforesaid	ka hor
afraid	cabsi
afresh	mar kale
african	afrika
aft	aft
afterlife	nolosha dambe
aftermath	kadib
afternoon	galabnimo
aftershave	gadaal
aftertaste	kaddib
afterthought	kadib
aga	NO TRANSLATION
agape	xanaaq
agate	agate
age	da'da
aged	da'da
agency	hay'adda
agenda	ajendaha
agent	wakiil
agglomeration	agglomeration
aggravate	sii xumayn
aggravated	dhib badan
aggravates	sii xumeynayaan
aggravating	sii xumeynaya
aggravation	sii xumeyn
aggregate	wadarta guud
aggregation	guntinta
aggresive	NO TRANSLATION
aggression	gardarrada
aggressive	gardarrada
aggressively	si taxadar leh
aggressiveness	gardarrada
aggressor	gardarrada
agh	agh
aghast	agtast
aghhh	NO TRANSLATION
agile	agile
agility	dhaqdhaqaaqa
aging	da'da
agitate	adoo
agitated	gardarrada
agitation	xanaaq
aglow	daacadnimo
agnostic	agnostic
ago	horaantii
agonizing	daacadnimo
agony	xanuun
agoraphobia	agoraphobia
agree	waafaqsan
agreeable	la aqbali karo
agreed	isku raacay
agreeing	heshiis
agreement	heshiis
agressive	NO TRANSLATION
agricultural	beeraha
agriculture	beeraha
aground	deg ah
agua	NO TRANSLATION
ahead	ka hor
ahhh	Ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	gargaar
aide	caawiye
aiding	caawinta
aids	qalab
ail	qoys
ailing	xanuunsan
ailment	cudurka
aim	Ujeedada
aimless	ujeeddo lahayn
air	hawada
airbag	barkinta shilka
airborne	diyaarad
aircraft	diyaarad
aircraft carrier	gawaarida diyaaradaha
airfield	garoonka diyaaradaha
airhead	madaxa kore
airlift	gawaarida
airline	diyaaradda
airliner	diyaaradda
airlock	hawo-waynta
airman	diyaarad
airplane	diyaarad
airport	garoonka diyaaradaha
airs	hawada
airship	duulista
airspace	hawada hawada
airspeed	airspeed
airstrip	diyaarad
airtight	diyaarinta hawada
airway	marin hawada
aisle	socodka
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	akin
alabaster	alabaster
alarm	digniin
alarm clock	Saacadda qaylo dhaanta
alarmed	qayliyay
alarming	walaac leh
alas	hoog
alb	NO TRANSLATION
albatross	Albatross
albino	Albino
album	album
alchemy	alchemy
alcohol	aalkolo
alcoholic	aalkolo
alcoholism	khamriga
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	digniin
alertness	Feejignaan
alerts	digniino
alfalfa	alfalfa
algebra	aljebra
algebraic	aljebrada
algorithm	algorithm
alias	alias
alibi	alibi
alien	shisheeye
alienate	shisheeye
alienated	shisheeye
alienation	shisheeye
alight	si toos ah
align	isku toos
aligned	la socotaa
alignment	isku xirka
alike	isku mid
alimentation	NO TRANSLATION
alimony	masruufka
aliquot	aliquot
alive	nool
alkali	alkali
alkaloids	alkaloids
allay	allay
allegation	eedeyn
allege	sheegasho
alleged	lagu eedeeyey
allegiance	daacadnimo
allegorical	been abuur ah
allegory	sheeko
allegro	sheegasho
allergic	xasaasiyad
allergy	xasaasiyadda
alleviate	yareeyo
alleviation	yareeynta
alley	xayawaan
alleyway	marwalba
alliance	isbahaysi
allied	isbahaysi
alligator	xayeysiin
allocate	u qoondayso
allocation	qoondeyn
allot	oo dhan
allotment	kala-bixinta
allow	ogolow
allowable	la oggol yahay
allowance	gunnada
allowed	la oggol yahay
alloy	alloy
allsmiles	NO TRANSLATION
allure	oo dhan
alluring	ku dhagan
allusion	soo-saarka
alluvial	alluvial
ally	isbahaysi
almanac	Almanac
almighty	Ilaaha Qaadirka ah
almond	almond
aloft	aloft
aloha	aloha
alone	kali
alongside	dhinaca kale
aloof	ka baxsan
aloud	kor
alpha	alpha
alphabet	xarfaha
alphabetical	xarfaha
alpine	alpine
alreadyyyyy	horaantii
altar	meesha allabariga
altar boy	wiilka allabariga
alter	bedelka
alteration	isbeddel
altercation	faragelinta
altered	bedelay
alternate	beddelaad
alternating	beddelidda
alternative	beddelaad
altimeter	dhererka
altitude	heerka sare
alto	Alto
altogether	guud ahaan
aluminum	aluminium
alumnus	qabow
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	Ambalaan
amalgamation	isku-xidhka
amaretto	Amaretto
amass	anass
amateur	hiwaayad
amaze	yaaba
amazed	la yaabay
amazedness	NO TRANSLATION
amazement	cajiib
amazing	cajiib ah
amazingly	cajiib ah
ambassador	Safiirka
amber	qoryo
ambience	xaflad
ambient	dhexdhexaad ah
ambiguity	aan caddayn
ambiguous	aan caddayn
ambit	xajin
ambition	hami
ambitious	hami
ambivalent	qarsoodi ah
ambrosia	ambrosia
ambulance	ambalaas
ambush	weerar
ameliorate	u qalmaan
amen	amen
amenable	la aqbali karo
amend	isbeddel
amendment	wax ka beddel
amends	wuu baddalay
amenity	qurxinta
amethyst	amethyst
amiable	waa la qabtaa
amicable	la aqbali karo
amid	markaa
amidst	dhexaad ah
amino	amino
ammo	ammo
ammonia	ammonia
ammonium	ammonium
ammunition	rasaas
amnesia	amnesia
amnesty	cafis
amorous	qurux badan
amorphous	amorphous
amortization	amortization
amount	cadadka
amour	NO TRANSLATION
amp	amp
ampersand	Ampersand
amphetamines	amphetamines
amphibian	Amphibian
amphibious	amphibious
amphitheater	anfitheater
ample	badan
amplification	kordhinta
amplify	xoojin
amplitude	Ilodanimada
amply	amase
amputate	gooyo
amputation	goynta
amuck	nuugaan
amulet	Amulet
amuse	roonow
amused	la qaley
amusement	madadaalo
amusing	xiiso leh
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	suuxinta
anaesthetic	suuxinta
anagram	anagram
anal	anal
analgesic	xanuunka
analogous	isku mid ah
analogue	analogue
analogy	isku mid ah
analysis	falanqaynta
analyst	falanqeeyaha
analytic	falanqeyn
analytical	falanqayn
analyze	falanqeeya
analyzer	falanqeeye
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	dhexdhexaad ah
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	anatomy
ancestor	awoowe
ancestral	Aabe
ancestry	abtirsiin
anchor	anchor
anchorage	anchorage
ancient	qadiimiga ah
ancillary	xayeysiin
androgen	iyo xajiin
android	iyoroid
anecdote	anecdote
anemia	dhiig yari
anemic	dhiig yari
anemone	anemone
anesthesia	suuxinta
anesthesiologist	suuxiyeyaasha
anesthetic	suuxinta
aneurysm	aneurysm
anew	mar kale
angel	malaa'ig
angelic	malaa'ig
anger	xanaaq
angered	caro
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	xagal
angling	dardargelinta
angora	angora
angriest	geesinimada
angry	xanaaq
angrytweet	NO TRANSLATION
angst	xagal
anguish	xanaaq
anguished	adkaatay
angular	xagal
anhydrous	anhydrous
animal	xayawaanka
animate	dhaqdhaqaaqa
animated	animated
animation	animation
animosity	diidmo
animus	animus
ankle	anqawga
anklet	canqowga
annals	annals
annex	lifaaq
annexation	dib udhigista
annexe	NO TRANSLATION
annihilate	baabi'i
annihilated	baabi'iyay
annihilation	baabi'inta
anniversary	guuradii
annotate	sharxi
annotation	sharraxaad
announce	ku dhawaaq
announcement	dhawaaqa
announcer	dhawaaqa
annoy	annoy
annoyance	dhibaatada
annoyed	dhibsaday
annoyin	NO TRANSLATION
annoying	dhibsado
annoys	niyad jab
annual	sannadkiiba
annuity	magdhow
annul	jooji
annular	annular
annulment	joojinta
annulus	annulus
anointed	la subkay
anointing	subag
anomalous	anomalous
anomaly	anomaly
anon	anon
anonymity	aqoonsi la'aan
anonymous	qarsoodi
anorexic	anorexic
answer	jawaab
answerable	laga jawaabi karo
answering	ka jawaab
ant	Quraanjo
antagonism	diidmo
antagonist	dhexdhexaadiye
antagonistic	dagaal
antagonize	ka horjeeda
ante	NO TRANSLATION
antecedent	horaantiisii
antelope	antelope
antenna	antenna
anterior	hore
anthem	heesta
anthill	anthill
anthology	anthology
anthrax	kudka
anthropological	anthropological
anthropologist	cilmi-nafsiga
anthropology	anthropology
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiyootiko
antibiotics	antibiotics
antichrist	ka gees ah
anticipate	rajada
anticipation	rajada
anticipatory	rajo-gelis
antics	riwaayadaha
antidote	liddi kufid
antifungal	antifungal
antigravity	qoonsiga
antimony	iskuday
antipathy	iska caabin
antiquarian	taariikhda hore
antiquated	kuwii hore
antique	oo qaraami ah
antiques	antiques
antiquity	kuwii hore
antiseptic	antiseptic
antisocial	mujtamaca
antithesis	diidmo
antithetical	antiitetical
antiviral	fayruska
antler	caarada
antsy	antsy
anus	anus
anvil	anvil
anxiety	walaac
anxietyattack	NO TRANSLATION
anxious	walwal
anxiousness	walwal
anytime	waqti kasta
aorta	aorta
aortic	aortic
apace	fadeexad
apache	apache
apartment	guriga
apartments	guryaha
apathetic	nacasnimo
apathy	nacayb
ape	runtii
aperture	furfurnaan
apex	raxan
aphid	aphid
aphrodisiac	aphrodisiac
apiece	qof
aplomb	aplomb
apocalypse	rafcaan
apocalyptic	rukunka
apologetic	raali gelin
apologist	raali gelin
apologize	raaligelin
apology	raali galin
apostasy	Baxniintii
apostate	riddoobay
apostle	rasuul
apostolic	Rasuul ah
apostrophe	fursan
apothecary	naadiga
appalled	waa la yaabay
appalling	cabsi
apparatus	qalab
apparel	dharka
apparent	muuqata
apparently	sida muuqata
apparition	muuqaalka
appeal	racfaan
appear	muuqan
appearance	muuqaalka
appease	roonaan
appellant	racfaan qaataha
append	ku dheji
appendage	xirmo
appendectomy	appendectomy
appendicitis	appendisitis
appendix	lifaaq
appetite	rabitaanka cuntada
appetizer	raashin
appetizing	Cuntada
applaud	ku heeso
applause	sacab
apple	tufaax
apple juice	Casiirka tufaaxa
applejack	applejack
applesauce	tufaaxa
appliance	qalabka
appliances	qalabka korontada
applicability	qaadashada
applicable	ku haboon
applicant	codsade
application	codsiga
apply	codso
appoint	magacaabi
appointment	ballan
appointments	balamaha
apportion	isku dhafka
apportionment	isugeyn
appraisal	qiimaynta
appraise	ku qiimee
appreciable	qadarin
appreciate	waad ku mahadsantahay
appreciated	qadarin
appreciates	waan ku mahadsanahay
appreciation	qadarin
appreciative	mahadsanid
apprehend	la xiro
apprehension	cabsida
apprehensive	cabsi leh
apprentice	tababar
apprenticeship	tababarka
approach	qaabka
approaching	soo dhoweyn
approbate	NO TRANSLATION
approbation	ansixinta
appropriate	ku habboon
appropriation	qoondaynta
approval	ansixin
approve	aqbalaan
approved	ansixiyay
approvement	ansixinta
approving	ansixinta
approximate	qiyaastii
approximately	qiyaastii
approximating	qiyaasidda
approximation	qiyaasidda
appurtenances	macmiilka
apricot	macaan
apron	horteed
apt	runtii
aptitude	macquul ah
aqua	aqua
aquamarine	aquamarine
aquarium	aquarium
aquatic	biyaha
aqueduct	aqueduct
aqueous	aqueous
arable	sarraysa
arbiter	arbiter
arbitrary	ikhtiyaari ah
arbitrate	heshiisiin
arbitration	heshiisiin
arbitrator	garqaade
arbor	arbor
arc	arc
arcade	arcade
arcane	arkan
arch	kaynta
archaeological	qadiimiga ah
archaeologist	arkeologist
archaeology	ariimo
archaic	Muuqaal
archangel	taliyuhu
archbishop	Archbishop
archdiocese	Buuggan
archduke	Archduke
arched	dillaacay
archer	qoryaha
archery	xaydhin
archetype	macmiilka
archipelago	jasiiradaha
architect	dhismaha
architectural	dhismaha
architecture	dhiska
archive	archive
arctic	arctic
ardent	dambiile
ardor	dabeecad
arduous	dhib badan
area	degaanka
arena	arena
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	dood
argument	dood
argumentation	dood
argumentative	dood
arguments	doodaha
arid	arid
arise	kac
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	arithmetic
ark	ark
arm	gacanta
armada	armada
armament	hub
armaments	silsilado
armature	armature
armchair	armaajo
armed	hubaysan
armor	hubka
armored	armaajo
armory	hubka
armpit	armpit
arms	hubka
army	ciidan
aroma	carafo
aromatherapy	aromaterapy
arousal	arousal
arouse	kacsanaan
aroused	kacday
arraignment	arraignment
arrange	samee
arranged	diyaariyey
arrangement	qorsheynta
array	array
arrears	been-abuurka
arrest	xiro
arrhythmia	arrhytmia
arrival	imaanshaha
arrive	yimaado
arrogance	kibirsanaan
arrogant	iskibrin
arrow	arrow
arsehole	duufaan
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	dabka
arsonist	Dab-damis
art	farshaxanka
arterial	arterial
artery	artery
artful	farshaxan
arthritis	arthritis
arthropod	arthropod
artichoke	artichoke
article	maqaal
articles	maqaalada
articulate	sheeg
articulation	xoojinta
artifact	wax soo saar
artifice	wax soo saar
artificial	anshax
artillery	garaacis
artisan	farsamo
artist	farshaxan
artiste	NO TRANSLATION
artistic	farshaxanka
artistry	fanka
artists	farshaxanada
artwork	farshaxanka
arty	arty
asap	dhaqso badan
asbestos	asbestos
ascend	kicin
ascendancy	kor u kaca
ascendant	kicin
ascending	kor u kac
ascension	qaadashada
ascent	cagajiid
ascertain	aqoonsi
ascertained	la aqoonsan yahay
ascetic	ascetik
ash	ash
ashamed	ceeb
ashes	dambaska
ashtray	gabbalku
asinine	asinine
ask	weydii
asleeep	NO TRANSLATION
asleep	hurdo
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	dhinac
aspects	qaybaha
aspen	aspen
asphalt	asfalt
asphyxia	asfiko
asphyxiation	asfiyeynta
aspiration	rabitaan
aspire	dareen
aspirin	aspirin
aspiring	dardargelinta
ass	dameer
assail	geysato
assailant	dembiilaha
assassin	dil
assassinate	dil
assassination	dil
assault	weerarka
assay	tijaabi
assemblage	ururinta
assemble	isku dheji
assembled	isku duway
assembly	kulan
assemblyman	wada-xaajood
assent	oggolaansho
assert	sheeg
asserting	sheegashada
assertion	cadayn
assertive	cadeyn
assess	qiimee
assessment	qiimeynta
assessor	qiimeeye
asset	hanti
assets	hantida
asshole	asshole
assign	ku qor
assignee	wakiil
assignment	meeleynta
assimilate	iskuday
assimilation	isugeynta
assist	caawi
assistance	gargaar
assistant	kaaliye
associate	iskaashatada
association	urur
assorted	kala duwan
assortment	noocyo kala duwan
assuage	hubso
assume	qaado
assumed	la maleynayo
assuming	maleynayo
assumption	malaha
assurance	hubin
assure	hubi
assured	hubin
assuredly	hubaal
asterisk	asterisk
asteroid	asteroosto
asteroids	asteroids
asthma	neefta
asthmatic	asthmatic
astigmatism	astigmatism
astonish	yaab leh
astonished	yaabay
astonishing	yaab leh
astonishingly	NO TRANSLATION
astonishment	yaab
astound	astound
astral	asal ah
astray	dhumay
astringent	astringent
astrologer	astrologer
astrology	Asaasiga
astronaut	Astronaut
astronomer	Astaani
astronomical	astronomical
astronomy	astronomy
astute	astute
asunder	kala go'a
asylum	magangelyo
asymmetric	asymmetric
asymmetry	asymmetry
asymptotic	asymptotic
atelier	gaaban
atheism	aaladda
atheist	diin
atheistic	aamusan
atherosclerosis	atherosclerosis
athlete	ciyaaraha fudud
athletic	ciyaaraha fudud
athleticism	isboortiga
athletics	ciyaaraha fudud
atlas	atlas
atmosphere	jawi
atmospheric	atmospheric
atoll	atoll
atom	atom
atomic	atomic
atone	atone
atonement	kafaarogud
atpeace	atpeace
atrium	atrium
atrocious	jilicsan
atrocity	xasaasiyad
atrophy	atrophy
attach	ku lifaaq
attached	ku lifaaqan
attachment	lifaaq
attack	weerarka
attacker	weerarka
attacking	weerarka
attain	gaaro
attainable	la gaadhi karo
attainment	dardargelinta
attempt	iskuday
attempted	isku dayey
attend	tagaan
attendance	xaadiritaanka
attendant	shaqaale
attention	dareenka
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	fiiri
attenuate	isku dayaan
attenuated	lakulmay
attenuation	qaboojinta
attest	tijaabin
attestation	caddayn
attic	qiiqa
attire	dharka
attitude	dabeecadda
attorney	qareen
attract	soo jiidasho
attraction	soo jiidashada
attractive	soo jiidasho leh
attractiveness	soo jiidashada
attributable	loo aaneyn karo
attribute	sifo
attribution	ku xiran
attrition	xakameyn
auburn	auburn
auction	xaraashka
auctioneer	iibiyaha
audacious	raaxo leh
audacity	xisaabinta
audible	maqalka
audience	dhagaystayaasha
audio	maqalka
audit	baadhitaan
audition	xisaabinta
auditions	tijaabooyinka
auditor	xisaabiye
auditorium	qolka dhegeysiga
auditory	maqalka
aught	aught
augment	kordhinta
augmentation	xoojinta
august	Ogosto
aunt	adeer
auntie	auntie
aura	aura
aurora	aurora
auspices	Auspices
auspicious	auspicious
austere	austere
austerity	dulqaadasho
authentic	dhab ah
authenticate	xaqiijin
authentication	aqoonsi
authenticity	xaqiiqda
author	qoraa
authoritative	awood u leh
authority	maamulka
authorization	oggolaansho
authorize	oggolaansho
authorized	la oggol yahay
authorship	qoraaga
autism	autism
autistic	autistic
auto	baabuur
autobiographical	autobiographical
autobiography	buug
autocorrect	gaabis ah
autocratic	autocratic
autograph	sawirka
autographed	autographed
automated	gawaarida
automatic	si toos ah
automobile	gawaarida
automotive	baabuurta
autonomy	madax-bannaani
autopilot	autopilot
autopsy	cirbadeynta
autumn	dayrta
auxiliary	kaaliye
avail	faa'iido leh
availability	helitaanka
available	la heli karo
avalanche	qulqulka
avarice	kharashka
avatar	avatar
avenge	aargoosi
avenger	avenger
avenging	ka aargoosiga
avenue	avenue
aver	NO TRANSLATION
average	celcelis ahaan
aversation	NO TRANSLATION
averse	ladoonayo
averseness	leexashada
aversion	Diidmada
avert	ka hortag
aviary	aviary
aviation	duulista
aviator	aviator
avid	avid
avocado	avocado
avoid	iska ilaali
avoidance	ka hortagga
avoiding	iska ilaalinta
await	sugto
awake	soo jeedi
awaken	toosi
awakening	toosi
award	abaalmarin
awards	abaalmarino
aware	ogyahay
awareness	wacyiga
awe	NO TRANSLATION
awed	la yaabay
awesome	cabsi badan
awesomeness	awesomeness
awestruck	cajiib ah
awful	aad u xun
awkward	qosol
awkwardness	Xurmayn
awning	shiraac
awry	roonow
axe	ax
axial	feker ahaan
axiom	axiom
axiomatic	axiomatic
axis	xagasha
axle	dhejis
ay	ay
aye	aye
azimuth	azimut
azure	yaryar
babble	rabbi
babbling	babbling
babe	ilmaha
baboon	koontada
baby	ilmaha
babysit	babysit
babysitter	carruurta yaryar
baccalaureate	Baccalaureate
baccarat	baccarat
bachelor	bachelor
bachelorette	bachelorette
back	dhabarka
backboard	dhabarka
backbone	laf-dhabarka
backdoor	albaabka dambe
backdrop	gadaal
backer	taageeraha
backfire	gadaal
backgammon	gadaal
background	asalka
backhand	backhand
backhoe	qabow
backoff	gadaal
backpack	backpack
backpacker	backpacker
backroom	qolka hoose
backseat	dhabarka
backside	dhinaca dambe
backtrack	backtrack
backup	keydinta
backward	gadaal
backwardness	gadaal
backwards	gadaal
backwater	dibedda
backwoods	backwoods
backyard	gadaal
bacon	hilib doofaar
bacteria	bakteeriya
bacterial	bakteeriyada
bacterium	bakteeriyada
bad	xun
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	calaamadda
badger	xajin
badhabit	NO TRANSLATION
badly	si xun
badness	xumaanta
baffle	rafcaan
baffled	waa la yaabay
bag	bac
bagel	bagel
baggage	boorsada
baggie	baggie
baggy	baggyada
bagman	bagman
bagpipes	bacaha
bail	dammaanad
bailiff	bailiff
bait	bait
bake	dubi
bakery	roodhida
baking	dubista
bal	NO TRANSLATION
balance	dheelitirka
balanced	miisaaman
balcony	balakoon
bald	baal
balding	baaldinta
baldy	baldy
bale	bale
balk	balku
ball	kubbada
ballad	ballad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	ballgame
ballistic	ballistic
ballistics	ballistics
balloon	balloon
ballot	codbixin
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	ballsy
balm	balsam
balmy	balmy
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	bamboo
ban	NO TRANSLATION
banana	muuska
band	band
bandage	faashad
bandanna	NO TRANSLATION
bandit	qashin
bandstand	rikoodh
bandwagon	xargaggu
bandwidth	xawaaraha
bane	bane
bang	bang
banger	bangiga
banish	banish
banished	laga saaray
banishment	xayiraad
banister	xayiraad
banjo	banjo
bank	bangiga
banker	bangiga
banking	bangiga
bankroll	bangiyada
bankrupt	Burburtay
bankruptcy	Burburinta
banner	banner
banquet	diyaafad
banshee	banshee
banter	banaanbax
banzai	NO TRANSLATION
baptism	baabtiis
baptismal	baabtiis
baptize	Baabi'iyo
bar	bar
barb	barb
barbarian	barbarian
