Word	ar
admit	يعترف
admittance	دخول
admitted	اعترف
admitting	اعترف
admixture	اختلاط
admonition	تحذير
ado	ضجة
adobe	أدوبي
adolescence	مرحلة المراهقة
adolescent	مراهق
adopt	تبنى
adoption	تبني
adoptive	بالتبني
adorable	بديع
adoration	عبادة
adore	أعشق
adoring	العشق
adorn	تزين
adornment	زينة
adrenalin	الأدرينالين
adrenaline	الأدرينالين
adrift	بلا هدف
adult	بالغ
adulterated	المغشوشة
adulterer	زانية
adultery	الزنا
adulthood	مرحلة البلوغ
advance	تقدم
advanced	المتقدمة
advancement	تقدم
advancing	تقدم
advantage	أفضلية
advantageous	مفيد
advent	القدوم
adventure	مغامرة
adventurer	مغامر
adventures	مغامرات
adventurous	مغامر
adversary	خصم
adverse	معاكس
adversity	محنة
advertise	يعلن
advertisement	الإعلانات
advertising	إعلان
adverts	الاعلانات
advice	النصيحة
advisable	المستحسن
advise	نصيحة
advised	نصح
advisement	المتأنية
adviser	مستشار
advisor	مستشار
advisory	استشاري
advocacy	مرافعة
advocate	المؤيد
aegis	درع
aeration	تهوئة
aerial	جوي
aerobics	التمارين الرياضية
aerodrome	مطار
aerodynamic	إيرودينامي
aerodynamics	الديناميكا الهوائية
aeronautics	علم الطيران
aeroplane	مطار
aerospace	الطيران
aesthetic	جمالي
aesthetics	جماليات
aetiology	المسببات المرضية
afar	بعيدا
affable	أنيس
affair	قضية
affect	تؤثر
affecting	تؤثر
affection	تاثير
affectionate	حنون
affections	المحبة
affiche	NO TRANSLATION
affidavit	شهادة
affiliated	التابعة
affiliation	الانتماء
affinity	التقارب
affirm	يؤكد
affirmation	تأكيد
affirmative	اثبات
affirmatively	بالإيجاب
affix	لصق
afflict	ابتلى
afflicted	منكوب
affliction	مصيبة
affluence	ترف
affluent	غني
afford	تحمل
affordable	بأسعار معقولة، ميسور، متناول اليد
affront	إهانة
affronted	بالإهانة
afield	أبعد من ذلك
afire	حريق
afloat	طافيا
afore	السالفة
aforementioned	مذكور آنفا
aforesaid	مذكور آنفا
afraid	خائف
afresh	من جديد
african	الأفريقي
aft	الخلف
afterlife	الآخرة
aftermath	بعد
afternoon	بعد الظهر
aftershave	كولونيا بعد الحلاقة
aftertaste	المذاق المتخلف في الفم
afterthought	مستدركا
aga	NO TRANSLATION
agape	فاغر الفم
agate	عقيق نبات
age	عمر
aged	مسن
agency	وكالة
agenda	جدول أعمال
agent	وكيل
agglomeration	تكتل
aggravate	تزيد من حدة
aggravated	تتفاقم
aggravates	يفاقم
aggravating	مزعج
aggravation	التفاقم
aggregate	مجموع
aggregation	تجميع
aggresive	NO TRANSLATION
aggression	عدوان
aggressive	العدواني
aggressively	بقوة
aggressiveness	عدوانية
aggressor	معتدي
agh	AGH
aghast	مذعور
aghhh	NO TRANSLATION
agile	ذكي
agility	رشاقة
aging	شيخوخة
agitate	حاور
agitated	هائج
agitation	الإثارة
aglow	متوهج
agnostic	محايد دينيا
ago	منذ
agonizing	مؤلم
agony	سكرة
agoraphobia	خوف مرضي
agree	يوافق على
agreeable	مقبول
agreed	متفق عليه
agreeing	الاتفاق
agreement	اتفاقية
agressive	NO TRANSLATION
agricultural	زراعي
agriculture	الزراعة
aground	جانح
agua	NO TRANSLATION
ahead	المكانية
ahhh	أهه
ahhhhhhhh	NO TRANSLATION
ahoy	أهوي
aid	مساعدة
aide	معاون
aiding	مساعدة
aids	الإيدز
ail	توعك
ailing	مريض
ailment	وعكة
aim	هدف، تصويب
aimless	بلا هدف
air	هواء
airbag	وسادة هوائية
airborne	محمول جوا
aircraft	الطائرات
aircraft carrier	حاملة طائرات
airfield	مطار
airhead	مواقع الإمداد الجوي
airlift	النقل الجوي
airline	شركة طيران
airliner	طائرة
airlock	القفل
airman	طيار
airplane	مطار
airport	مطار
airs	اجواء
airship	منطاد
airspace	الأجواء
airspeed	السرعة الجوية
airstrip	مهبط الطائرات
airtight	محكم
airway	الهوائية
aisle	ممر
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	الملقب
akin	قريب
alabaster	مرمر
alarm	إنذار
alarm clock	منبه
alarmed	قلق
alarming	مرعب
alas	واحسرتاه
alb	NO TRANSLATION
albatross	القطرس طائر بحري كبير
albino	الأمهق
album	الألبوم
alchemy	كيمياء
alcohol	كحول
alcoholic	سكير
alcoholism	إدمان الكحول
alcove	مختل
alderman	والي
ale	NO TRANSLATION
alert	محزر
alertness	تأهب
alerts	التنبيهات
alfalfa	فصة
algebra	علم الجبر
algebraic	جبري
algorithm	خوارزمية
alias	الاسم المستعار
alibi	عذر
alien	كائن فضائي
alienate	ينفر
alienated	نفور
alienation	عزلة
alight	ترجل
align	محاذاة
aligned	الانحياز
alignment	انتقام
alike	على حد سواء
alimentation	NO TRANSLATION
alimony	نفقة الزوجة المطلقة
aliquot	قاسم غير تام
alive	على قيد الحياة
alkali	فلز قلوي
alkaloids	قلويدات
allay	تهدئة
allegation	ادعاء
allege	زعم
alleged	مزعوم
allegiance	ولاء
allegorical	استعاري
allegory	رمز
allegro	اليجرو
allergic	الحساسية
allergy	حساسية
alleviate	تخفيف
alleviation	تخفيف
alley	زقاق
alleyway	زقاق
alliance	تحالف
allied	حليف
alligator	تمساح إستوائي
allocate	تخصيص
allocation	توزيع
allot	خص
allotment	تخصيص
allow	السماح
allowable	مسموح
allowance	بدل
allowed	سمح
alloy	أشابة
allsmiles	NO TRANSLATION
allure	إغراء
alluring	فاتن
allusion	إشارة
alluvial	طمي
ally	حليف
almanac	تقويم
almighty	عز وجل
almond	لوز
aloft	عاليا
aloha	الوها
alone	وحده
alongside	جنبا إلى جنب
aloof	بمعزل
aloud	بصوت عال
alpha	ألفا
alphabet	الأبجدية
alphabetical	مرتب حسب الحروف الأبجدية
alpine	البيني
alreadyyyyy	NO TRANSLATION
altar	مذبح
altar boy	صبح المذبح
alter	تغير
alteration	تغيير
altercation	مشادة
altered	تغيير
alternate	البديل
alternating	التيار المتناوب
alternative	لبديل
altimeter	الألتميتر
altitude	ارتفاع
alto	كمان أوسط
altogether	تماما
aluminum	الألومنيوم
alumnus	خريج الجامعه
alveolar	اللسان وسقف الفم
alzheimers	NO TRANSLATION
amalgam	ملغم
amalgamation	دمج
amaretto	امرتو]
amass	جمع
amateur	الهاوي
amaze	تدهش
amazed	مندهش
amazedness	amazedness
amazement	ذهول
amazing	رائعة حقا
amazingly	مثير للدهشة
ambassador	سفير
amber	كهرمان
ambience	جو
ambient	محيط ب
ambiguity	التباس
ambiguous	غامض
ambit	نطاق
ambition	طموح
ambitious	طموح
ambivalent	متردد
ambrosia	طعام الآلهة
ambulance	سياره اسعاف
ambush	كمين
ameliorate	تحسن
amen	آمين
amenable	قابل
amend	تعديل
amendment	تعديل
amends	تعويض
amenity	لطافة
amethyst	جمشت
amiable	ودي
amicable	ظريف
amid	وسط
amidst	وسط
amino	الأمينية
ammo	ذخيرة
ammonia	غاز الأمونيا
ammonium	الأمونيوم
ammunition	ذخيرة
amnesia	فقدان الذاكرة
amnesty	عفو عام
amorous	غرامي
amorphous	عديم الشكل
amortization	الإطفاء
amount	كمية
amour	NO TRANSLATION
amp	أمبير
ampersand	العطف
amphetamines	الأمفيتامينات
amphibian	برمائي
amphibious	برمائي
amphitheater	مدرج
ample	فسيح
amplification	توسيع
amplify	يضخم، يوسع، يبالغ
amplitude	سعة
amply	بإسهاب
amputate	بتر
amputation	بتر
amuck	باهتياج
amulet	تميمة
amuse	سلى
amused	مسليا
amusement	تسلية
amusing	مسل
ana	NO TRANSLATION
anaconda	الأناكندة أفعى ضخمة
anaesthesia	تخدير
anaesthetic	مخدر
anagram	إعادة ترتيب الأحرف
anal	شرجي
analgesic	مسكن
analogous	مماثل
analogue	النظير
analogy	تشابه جزئي
analysis	تحليل
analyst	المحلل
analytic	تحليلي
analytical	تحليلية
analyze	تحليل
analyzer	محلل
anaphylactic	تأقي
anarchism	فوضوية
anarchist	فوضوي
anarchy	فوضى سياسية
anastomosis	التحام
anathema	لعنة
anatomic	تشريحي
anatomy	تشريح
ancestor	سلف
ancestral	اسلاف
ancestry	أصل
anchor	مذيع الأخبار
anchorage	مرسى
ancient	عتيق
ancillary	التبعية
androgen	الاندروجين
android	ذكري المظهر
anecdote	حكاية
anemia	فقر دم
anemic	مصاب بفقر الدم
anemone	شقائق النعمان
anesthesia	تخدير
anesthesiologist	طبيب التخدير
anesthetic	مخدر
aneurysm	تمدد الأوعية الدموية
anew	من جديد
angel	ملاك
angelic	ملائكي
anger	غضب
angered	أغضب
angermanagement	NO TRANSLATION
angina	خناق
angiogram	وعائية
angiography	تصوير الأوعية
angle	زاوية
angling	الصيد
angora	الأنقرة
angriest	الأكثر غضبا
angry	غاضب
angrytweet	NO TRANSLATION
angst	القلق
anguish	كرب
anguished	مكروب
angular	زاوي
anhydrous	لا مائي
animal	حيوان
animate	حي
animated	مفعم بالحيوية
animation	الرسوم المتحركة
animosity	عداء
animus	العداء
ankle	الكاحل
anklet	خلخال
annals	حوليات
annex	المرفق
annexation	الضم
annexe	NO TRANSLATION
annihilate	محق
annihilated	يباد
annihilation	إبادة
anniversary	ذكرى سنوية
annotate	علق
annotation	حاشية
announce	أعلن
announcement	إعلان
announcer	مذيع
annoy	تزعج
annoyance	إزعاج
annoyed	منزعج
annoyin	NO TRANSLATION
annoying	مزعج
annoys	يزعج
annual	سنوي
annuity	الأقساط
annul	فسخ
annular	حلقي
annulment	إلغاء
annulus	بالطوق
anointed	مسحه
anointing	المسحة
anomalous	شاذ
anomaly	شذوذ
anon	حالا
anonymity	الغفلية
anonymous	مجهول
anorexic	أنورإكسيك
answer	إجابة
answerable	مسؤول
answering	الرد
ant	نملة
antagonism	عداوة
antagonist	خصم
antagonistic	معاد
antagonize	يقاوم
ante	NO TRANSLATION
antecedent	سالف
antelope	ظبي
antenna	هوائي
anterior	أمامي
anthem	نشيد وطني
anthill	كثيب النمال
anthology	مقتطفات
anthrax	الجمرة الخبيثة
anthropological	الأنثروبولوجية
anthropologist	الأنثروبولوجيا
anthropology	علم الانسان
anti	مكافحة
antiaircraft	مضاد للطائرات
antibiotic	مضاد حيوي
antibiotics	مضادات حيوية
antichrist	عدو للمسيح
anticipate	توقع
anticipation	توقع
anticipatory	توقعي
antics	سلوك
antidote	مضاد سمي
antifungal	مضاد
antigravity	مضاد الجاذبية
antimony	الأنتيمون
antipathy	كراهية
antiquarian	أثري
antiquated	مهمل
antique	أثر قديم
antiques	التحف
antiquity	العصور القديمة
antiseptic	مطهر
antisocial	لا إجتماعي
antithesis	نقيض
antithetical	متناقض
antiviral	المضادة للفيروسات
antler	قرن الوعل
antsy	نفد صبرك
anus	شرج
anvil	سندان الحداد
anxiety	القلق
anxietyattack	NO TRANSLATION
anxious	قلق
anxiousness	الحرص
anytime	في أي وقت
aorta	الأبهر
aortic	الأبهر
apace	على قدم وساق
apache	اباتشي
apartment	شقة
apartments	شقق سكنية
apathetic	لا مبالي
apathy	لا مبالاة
ape	قرد
aperture	فتحة
apex	ذروة
aphid	المنة حشرة
aphrodisiac	مثير للشهوة الجنسية
apiece	قطعة
aplomb	ثقة بالنفس
apocalypse	نهاية العالم
apocalyptic	المروع
apologetic	اعتذاري
apologist	المدافع عن دين أو قضية
apologize	يعتذر
apology	اعتذار
apostasy	ردة
apostate	مرتد
apostle	رسول
apostolic	رسولي
apostrophe	اقتباس أحادية
apothecary	صيدلية
appalled	بالفزع
appalling	مروع
apparatus	جهاز
apparel	ملابس
apparent	واضح
apparently	كما يبدو
apparition	شبح
appeal	مناشدة
appear	بدا
appearance	مظهر خارجي
appease	استرضاء
appellant	مستأنف
append	ألحق
appendage	ملحق
appendectomy	إستئصال الزائدة الدودية
appendicitis	التهاب الزائدة الدودية
appendix	الملحق
appetite	شهية
appetizer	مقبلات
appetizing	فاتح للشهية
applaud	نشيد
applause	تصفيق
apple	تفاحة
apple juice	عصير تفاح
applejack	شراب التفاح
applesauce	عصير التفاح
appliance	جهاز
appliances	الأجهزة
applicability	القابلية للتطبيق
applicable	قابل للتطبيق
applicant	طالب وظيفة
application	الوضعية
apply	تطبيق
appoint	عين
appointment	موعد
appointments	تعيينات
apportion	تقسم
apportionment	توزيع
appraisal	توصيه
appraise	تقييم
appreciable	ممكن إدراكه
appreciate	يستفسر
appreciated	محل تقدير
appreciates	تقدر
appreciation	تقدير
appreciative	ممتدح
apprehend	قبض على
apprehension	تخوف
apprehensive	قلق
apprentice	صبى يتعلم حرفة ما
apprenticeship	التمهن
approach	مقاربة
approaching	تقترب
approbate	NO TRANSLATION
approbation	استحسان
appropriate	مناسب
appropriation	استيلاء
approval	موافقة
approve	يوافق
approved	وافق
approvement	approvement
approving	تصديق
approximate	تقريبي
approximately	تقريبا
approximating	تقارب
approximation	تقريب
appurtenances	توابع
apricot	مشمش
apron	مئزر
apt	ملائم
aptitude	موهبة
aqua	أكوا
aquamarine	زبرجد
aquarium	حوض سمك
aquatic	مائي
aqueduct	قناة
aqueous	مائي
arable	أرض صالحة للزراعة
arbiter	حكم
arbitrary	اعتباطيا
arbitrate	التحكيم
arbitration	تحكم
arbitrator	المحكم
arbor	شجرة
arc	قوس
arcade	ممر
arcane	غامضة
arch	قوس
archaeological	أثري
archaeologist	عالم اثار
archaeology	علم الآثار
archaic	ممات
archangel	الملاك الرئيسي
archbishop	مطران
archdiocese	أبرشية
archduke	الأرشيدوق أمير من أمراء الأسرة الإمبراطورية
arched	مقنطر
archer	رامي السهام
archery	الرماية
archetype	النموذج الأصلي
archipelago	أرخبيل
architect	مهندس معماري
architectural	المعماري
architecture	هندسة معمارية
archive	أرشيف
arctic	الهادي
ardent	متحمس
ardor	حماسة
arduous	شاق
area	منطقة
arena	حلبة
areola	حلقة ملونة
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	أرغ
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	تجادل
argument	جدال
argumentation	الحجج
argumentative	جدلي
arguments	الحجج
arid	قاحل
arise	تنشأ
aristocracy	أرستقراطية
aristocrat	نبيل
aristocratic	أرستوقراطي
arithmetic	علم الحساب
ark	تابوت
arm	ذراع
armada	أسطول حربي
armament	تسلح
armaments	التسلح
armature	عضو الإنتاج
armchair	أريكة
armed	مسلح
armor	درع
armored	مدرع
armory	ترسانة
armpit	إبط
arms	أسلحة
army	جيش
aroma	نكهة
aromatherapy	العلاج العطري
arousal	إثارة
arouse	تجنب
aroused	أثار
arraignment	اتهام
arrange	رتب
arranged	ترتيبها
arrangement	ترتيب
array	مجموعة مصفوفة
arrears	متأخرات
arrest	يقبض على
arrhythmia	عدم انتظام ضربات القلب
arrival	وصول
arrive	يصل
arrogance	غطرسة
arrogant	متكبر او مغرور
arrow	سهم
arsehole	الشرج
arseholes	arseholes
arsenal	ترسانة
arsenic	زرنيخ
arson	حريق متعمد
arsonist	الحريق العمد
art	فن
arterial	شرياني
artery	شريان
artful	داهية
arthritis	التهاب المفاصل
arthropod	المفصلية
artichoke	خرشوف
article	مقالة - سلعة
articles	مقالات
articulate	يتكلم بوضوح
articulation	طريقة التعبير اللفظي
artifact	الأداة
artifice	حيلة
artificial	مصطنع
artillery	سلاح المدفعية
artisan	الحرفيين
artist	فنان
artiste	NO TRANSLATION
artistic	فني
artistry	الفنية
artists	الفنانين
artwork	العمل الفني
arty	متطفل على الفن
asap	في اسرع وقت ممكن
asbestos	الحرير الصخري
ascend	صعد
ascendancy	هيمنة
ascendant	صاعد
ascending	تصاعدي
ascension	صعود
ascent	صعود
ascertain	تأكد
ascertained	التأكد
ascetic	زاهد
ash	رماد
ashamed	خجلان
ashes	رماد
ashtray	مرمدة
asinine	أبله
ask	يطلب
asleeep	NO TRANSLATION
asleep	نائم
asp	آسيا والمحيط الهادئ
asparagus	نبات الهليون
aspartame	الأسبارتام
aspect	جانب
aspects	النواحي
aspen	الحور الرجراج
asphalt	أسفلت
asphyxia	اختناق
asphyxiation	الاختناق
aspiration	الدخول الى الجسم
aspire	أطمح
aspirin	الأسبرين
aspiring	تطمح
ass	حمار
assail	هاجم بعنف
assailant	مهاجم
assassin	قاتل
assassinate	اغتيال
assassination	اغتيال
assault	الاعتداءات
assay	فحص
assemblage	تجمع
assemble	جمعيه
assembled	تجميعها
assembly	المجسم
assemblyman	عضو الجمعية
assent	موافقة
assert	يجزم
asserting	مؤكدا
assertion	توكيد
assertive	جازم
assess	تقييم
assessment	تقدير
assessor	مخمن
asset	الأصول
assets	الأصول
asshole	الأحمق
assign	تعيين
assignee	المحال
assignment	مهمة
assimilate	هضم
assimilation	استيعاب
assist	مساعدة
assistance	مساعدة
assistant	مساعد
associate	مساعد
association	جمعية
assorted	متنوع
assortment	تشكيلة
assuage	هدأ
assume	افترض
assumed	يفترض
assuming	على افتراض
assumption	افتراض
assurance	توكيد
assure	ضمان
assured	مؤكد
assuredly	بالتأكيد
asterisk	النجمة
asteroid	الكويكب
asteroids	الكويكبات
asthma	الربو
asthmatic	مربوء
astigmatism	اللانقطية
astonish	اذهل
astonished	مندهش
astonishing	مذهل
astonishingly	NO TRANSLATION
astonishment	دهشة
astound	ذهل
astral	نجمي
astray	ضل
astringent	العقول مادة طبية
astrologer	منجم
astrology	علم التنجيم
astronaut	رائد فضاء
astronomer	عالم الفلك
astronomical	فلكي
astronomy	الفلك
astute	ذكي
asunder	اربا
asylum	اللجوء
asymmetric	لا متماثل
asymmetry	عدم تناسق
asymptotic	مقارب
atelier	ورشة
atheism	الإلحاد
atheist	ملحد
atheistic	إلحادي
atherosclerosis	تصلب الشرايين
athlete	رياضي
athletic	رياضي
athleticism	الألعاب الرياضية
athletics	الالعاب الرياضية
atlas	أطلس
atmosphere	الغلاف الجوي
atmospheric	جوي
atoll	جزيرة مرجانية
atom	ذرة
atomic	الذري
atone	كفر عن
atonement	كفارة
atpeace	في سلام
atrium	الأذين
atrocious	فظيع
atrocity	فظاعة
atrophy	ضمور
attach	يربط
attached	تعلق
attachment	المرفق
attack	هجوم
attacker	مهاجم
attacking	مهاجمة
attain	تحقيق
attainable	سهل المنال
attainment	إحراز
attempt	محاولة
attempted	حاول
attend	حضر
attendance	الحضور
attendant	حاضر
attention	انتباه
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	منتبه
attenuate	هزل
attenuated	الموهن
attenuation	تخفيف
attest	يشهد
attestation	تصديق
attic	علبه
attire	ملابس
attitude	موقف سلوك
attorney	محامي
attract	جذب
attraction	جاذبية
attractive	ملفت للانتباه
attractiveness	جاذبية
attributable	المتعلقة
attribute	صفة، عزا
attribution	عزو
attrition	إنهاك
auburn	لون كستنائي
auction	مزاد علني
auctioneer	الدلال
audacious	جريء
audacity	الجرأة
audible	مسموع
audience	جمهور
audio	سمعي
audit	تدقيق
audition	الاختبار
auditions	تجارب الاداء
auditor	مدقق حسابات
auditorium	قاعة محاضرات
auditory	سمعي
aught	البتة
augment	زيادة
augmentation	زيادة
august	أغسطس
aunt	عمة
auntie	عمة
aura	هالة
aurora	فجر
auspices	رعاية
auspicious	ميمون
austere	متزمت
austerity	تقشف
authentic	حقيقي
authenticate	مصادقة
authentication	المصادقة
authenticity	أصالة
author	مؤلف
authoritative	موثوق
authority	السلطة
authorization	تفويض
authorize	يأذن
authorized	مخول
authorship	تأليف
autism	الخوض
autistic	متوحد عقليا
auto	تلقاءي
autobiographical	سيري ذاتي متعلق بسيرة المرء الذاتية
autobiography	السيرة ذاتية
autocorrect	التصحيح التلقائي
autocratic	استبدادي
autograph	توقيع شخصي
autographed	ووقعت
automated	الآلي
automatic	تلقائي
automobile	سيارة
automotive	السيارات
autonomy	الحكم الذاتي
autopilot	الطيار الآلي
autopsy	تشريح الجثة
autumn	الخريف
auxiliary	مساعد
avail	فائدة
availability	توفر
available	متاح
avalanche	انهيار ثلجي
avarice	جشع
avatar	الصورة الرمزية لل
avenge	ثأر
avenger	منتقم
avenging	انتقام
avenue	السبيل
aver	NO TRANSLATION
average	معدل
aversation	aversation
averse	كاره
averseness	الكره
aversion	نفور
avert	تجنب
aviary	مطير
aviation	طيران
aviator	طيار
avid	نهم
avocado	أفوكادو
avoid	تجنب
avoidance	تجنب
avoiding	تجنب
await	ترقب
awake	مستيقظ
awaken	أيقظ
awakening	نهضة
award	جائزة
awards	جوائز
aware	وصف
awareness	وعي
awe	NO TRANSLATION
awed	بالرعب
awesome	رائع
awesomeness	الذهول
awestruck	مرعوب
awful	سيى
awkward	غير ملائم
awkwardness	حرج
awning	سقيفة
awry	منحرف
axe	فأس
axial	محوري
axiom	مسلمة
axiomatic	بديهي
axis	محور
axle	محور العجلة
ay	عبد المنعم يوسف
aye	إلى الأبد
azimuth	السمت
azure	أزرق سماوي
babble	ثرثرة
babbling	ثرثار
babe	فتاة
baboon	قرد الرباح
baby	طفل
babysit	مجالسة الأطفال
babysitter	جليسه اطفال
baccalaureate	شهادة البكالوريا
baccarat	القمار
bachelor	أعزب
bachelorette	العازبة
back	الى الخلف
backboard	اللوحة الخلفية
backbone	العمود الفقري
backdoor	الباب الخلفي
backdrop	خلفية
backer	مؤيد
backfire	أعطى نتائج عكسية
backgammon	طاولة الزهر
background	خلفية
backhand	ضربة بقفا اليد
backhoe	حفار
backoff	تراجع
backpack	حقيبة ظهر
backpacker	الرحال
backroom	خلف الكواليس
backseat	المقعد الخلفي
backside	مساعدات
backtrack	عاد من حيث اتى
backup	دعم
backward	الى الوراء
backwardness	التخلف
backwards	الى الوراء
backwater	حالة ركود
backwoods	الغابات الخلفية
backyard	الفناء الخلفي
bacon	لحم خنزير مقدد
bacteria	بكتيريا
bacterial	بكتيريا
bacterium	جرثوم
bad	سيئة
badass	صلب، قوي
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	شارة
badger	فرو الغرير
badhabit	NO TRANSLATION
badly	بشكل سيئ
badness	خبث
baffle	صد
baffled	مرتبك
bag	حقيبة
bagel	كعك
baggage	أمتعة
baggie	باجي
baggy	فضفاض
bagman	تاجر متنقل
bagpipes	مزمار القربة
bail	كفالة
bailiff	حاجب محكمة
bait	طعم
bake	خبز
bakery	مخبز
baking	خبز
bal	NO TRANSLATION
balance	توازن
balanced	متوازن
balcony	شرفة
bald	أصلع
balding	الصلع
baldy	اصلع
bale	بالة
balk	رافدة
ball	كرة
ballad	أغنية راقصة
ballast	ثقل
ballerina	راقصة باليه
ballet	رقص الباليه
ballgame	لعبة الكرة
ballistic	قذفي
ballistics	المقذافية
balloon	بالون
ballot	تصويت
ballpark	إستاد ملعب بيسبول
ballplayer	لاعب الكرة
ballpoint	الحبر
ballroom	قاعة رقص
ballsy	ballsy
balm	البلسم
balmy	شاف
balsam	البلسم
balsamic	بلسمي
