Word	ky
adjuvant	ракта
admin	админ
administer	башкаруу
administration	башкаруу
administrative	башкаруу
administrator	администратор
admirable	укмуштуу
admiral	адмирал
admiralty	Бакенбардами
admiration	суктануу
admire	суктануу
admired	сыйлуу
admirer	суктанганын
admiring	кошоматчылык
admissibility	алгылыктуулугу
admissible	кылууга мүмкүн
admission	кабыл алуу
admit	кабыл алуу
admittance	кирүү / жакындоо
admitted	мойнуна алды
admitting	кабыл алуу
admixture	көмүүнүн
admonition	эскертүү
ado	Майкл Меред
adobe	Текшерүү
adolescence	жаштык
adolescent	жаш аял
adopt	кабыл алуу
adoption	кабыл алуу
adoptive	асырап алган
adorable	укмуштуу
adoration	болушу
adore	жакшы көрүү
adoring	кастарлоо
adorn	кооздоо
adornment	кооздук
adrenalin	Адреналин
adrenaline	адреналин
adrift	агым менен
adult	бойго жеткен
adulterated	бузулган
adulterer	адам
adultery	ойноштук
adulthood	бойго жеткен
advance	жогору жылуу
advanced	алдынкы
advancement	алдылоо
advancing	алга
advantage	артыкчылык
advantageous	пайдалуу
advent	келүү
adventure	тобокел
adventurer	шылуун аял
adventures	укмуштуу окуялар
adventurous	окуялуу
adversary	теңтайлашуучу
adverse	зыян
adversity	Кырсык
advertise	рекламалоо
advertisement	реклама
advertising	рекламалоо
adverts	Кулактандыруулар
advice	кенеш
advisable	кааларлык
advise	кеңеш берүү
advised	сунушталат
advisement	advisement
adviser	кеңешчи аял
advisor	арачысы
advisory	Чечүүчү
advocacy	укук коргоо
advocate	коргоо
aegis	элеси
aeration	тундургуч,
aerial	аба
aerobics	аэробика
aerodrome	перрондун
aerodynamic	аэродинамикалык
aerodynamics	Аэродинамика
aeronautics	учуусундагы
aeroplane	учак
aerospace	Космостогу
aesthetic	эстетикалык
aesthetics	эстетика
aetiology	Этиология
afar	алыстан
affable	адамгерчиликтүү
affair	иш
affect	таасир
affecting	таасир
affection	көнүп алгандык
affectionate	илбериңки
affections	сезимдери
affiche	NO TRANSLATION
affidavit	жазма көрсөтүүлөр
affiliated	туунду
affiliation	таандык
affinity	Оррулуунун
affirm	ырастоо
affirmation	сүйүнүү
affirmative	ырастаган
affirmatively	ооба
affix	бириктирүү
afflict	тынчын алуу
afflicted	азап
affliction	жамандык
affluence	байлык
affluent	агылган
afford	мүмкүндүк алуу
affordable	жеткиликтүү
affront	муунткан
affronted	нааразылыкты
afield	аймактарды
afire	өчпөй
afloat	сүзмө
afore	мурун
aforementioned	жогоруда
aforesaid	жогоруда
afraid	коркуп
afresh	кайрадан
african	африкалык
aft	келатат
afterlife	Акырет
aftermath	кесепеттери
afternoon	түштөн кийинки мезгил
aftershave	aftershave
aftertaste	даам
afterthought	токтой калып
aga	NO TRANSLATION
agape	агапи
agate	агат
age	жашы
aged	жаштагы
agency	агентство
agenda	күн тартиби
agent	агент
agglomeration	Шаарчанын
aggravate	күчөтүү
aggravated	татаалданып
aggravates	күчөшүнө негиз
aggravating	оордогон
aggravation	оордоо
aggregate	чогуу алгандагы
aggregation	бириктирүү
aggresive	NO TRANSLATION
aggression	агрессия
aggressive	агрессивдүү
aggressively	душмандык
aggressiveness	ачууга
aggressor	агрессор
agh	AGH
aghast	үрөйү
aghhh	NO TRANSLATION
agile	ийкемдүү
agility	жөндөмдүүлүк
aging	каруу
agitate	агитациялоо
agitated	Тынчым
agitation	үгүт
aglow	жалындоо
agnostic	агностик
ago	мурда
agonizing	азаптуу
agony	катуу оору
agoraphobia	электрондук
agree	макул
agreeable	алгылыктуу
agreed	макулдашылган
agreeing	макул
agreement	макулдук
agressive	NO TRANSLATION
agricultural	айыл чарбалык
agriculture	айыл чарба
aground	кумга
agua	NO TRANSLATION
ahead	алдыда
ahhh	экобуз
ahhhhhhhh	NO TRANSLATION
ahoy	Ahoy
aid	жардам
aide	жардамчы аял
aiding	жардам
aids	СПИД
ail	калк жашаган пункттар, айылдык
ailing	ооруп
ailment	оору
aim	максат
aimless	максатсыз
air	аба
airbag	алып баруучулар
airborne	борт
aircraft	самолет
aircraft carrier	учак конуучу кемеси
airfield	учуш
airhead	airhead
airlift	аба менен жүк ташуу
airline	аба жолу
airliner	учагында
airlock	аба кулпу
airman	аскер
airplane	учак
airport	аэропорт
airs	болуучу
airship	отуна
airspace	аба мейкиндигин
airspeed	airspeed
airstrip	тейлоо
airtight	желдетилчү
airway	дем
aisle	катарлар ортосунан өтмө
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ака
akin	сыяктуу
alabaster	айнек идишке куюлган
alarm	согуштук тревога
alarm clock	ойготкуч саат
alarmed	учту
alarming	ойлонткон
alas	кайгы
alb	NO TRANSLATION
albatross	курсор
albino	Albino
album	альбом
alchemy	Alchemy
alcohol	алкоголь
alcoholic	алкоголдук
alcoholism	алкоголизм
alcove	комната
alderman	аксакал
ale	NO TRANSLATION
alert	сак
alertness	баамчылдык
alerts	эскертме
alfalfa	беде
algebra	алгебра
algebraic	алгебралык
algorithm	алгоритми
alias	жашыруун ысымы
alibi	актыгы жөнүндө далил
alien	келгин
alienate	ээликтен ажыратуу
alienated	алыстаган
alienation	ээликтен ажыратуу
alight	түшүү
align	катарга түздөнүү
aligned	түздөтүлгөн
alignment	тегиздөө
alike	бирдей
alimentation	NO TRANSLATION
alimony	алимент
aliquot	aliquot
alive	жандуу
alkali	калийдүү талаа
alkaloids	алкалоиддери
allay	жумшартууга
allegation	үн берүү
allege	далилдөө
alleged	бузулду
allegiance	берилгендик
allegorical	аллегориялык
allegory	жомок
allegro	Allegro
allergic	аллергиялык
allergy	аллергия
alleviate	кыскартуу
alleviation	Кыргызстандын стратегиялык ресурсу
alley	аллея
alleyway	т.к.
alliance	биримдик
allied	жакынкы
alligator	аллигатор
allocate	бөлүштүрүү
allocation	бөлүштүрүү
allot	дайындоо
allotment	бөлүштүрүү
allow	уруксат берүү
allowable	жол
allowance	уруксат
allowed	жол
alloy	эритме
allsmiles	NO TRANSLATION
allure	катыштыруу
alluring	түркүн түстүү
allusion	жазу
alluvial	аралашкан
ally	дос
almanac	Буга
almighty	кудуреттүү
almond	бадам
aloft	көтөрдү
aloha	Aloha
alone	жалгыз
alongside	менен бирге
aloof	алыс
aloud	үн
alpha	Alpha
alphabet	алфавит
alphabetical	алфавиттик
alpine	бийик тоолуу
alreadyyyyy	alreadyyyyy
altar	курмандык чалынуучу жай
altar boy	Курмандык чалынуучу жай бала
alter	өзгөртүү
alteration	өзгөртүү
altercation	үнүн көтөрбөйт
altered	өзгөртүлөт
alternate	альтернативалуу
alternating	өзгөрүүчү
alternative	альтернатива
altimeter	altimeter
altitude	бийиктик
alto	Alto
altogether	бүтүндөй
aluminum	алюминий
alumnus	бүтүрүүчүсү
alveolar	кетет
alzheimers	NO TRANSLATION
amalgam	аралашмасы
amalgamation	жактардын мүчөлүгүнүн,
amaretto	амаретто
amass	топтойт
amateur	жактыруучу аял
amaze	таң калтыруу
amazed	айран
amazedness	NO TRANSLATION
amazement	тац калуу
amazing	таң калаарлык
amazingly	өзгөчө
ambassador	элчи
amber	янтарь
ambience	чөйрө
ambient	чачырама
ambiguity	так эместиктер
ambiguous	кылка
ambit	Бул атка ээ
ambition	мансапкордук
ambitious	мансапкор
ambivalent	эки анжы ойдо
ambrosia	Ambrosia
ambulance	тез жардам
ambush	буктурма
ameliorate	кайрадан
amen	Оомийин!
amenable	жоопкерчилиги
amend	оңдоо
amendment	толуктоо
amends	келтирилген зыянды
amenity	үстүбүздө
amethyst	аметист
amiable	каткы
amicable	достук
amid	алкагында
amidst	арасына
amino	амино
ammo	Ammo
ammonia	аммиак
ammonium	аммоний
ammunition	ок-дары
amnesia	амнезия
amnesty	кечирим
amorous	наздануу
amorphous	натыйжасыз
amortization	тындыруу
amount	суммасы
amour	NO TRANSLATION
amp	кусым
ampersand	амперсант
amphetamines	Amphetamines
amphibian	сууда
amphibious	орустардын
amphitheater	Асиядагы
ample	жетишкен
amplification	ампер
amplify	кеңейтүү
amplitude	бир-
amply	акыбети
amputate	ампутация кылуу
amputation	ампутация
amuck	жинденип
amulet	тумар
amuse	ойнотуу
amused	туудурду
amusement	оюн зоока
amusing	оюн тамашалуу
ana	NO TRANSLATION
anaconda	Анаконда
anaesthesia	анестезия
anaesthetic	ооруну басуучу дары
anagram	Апкел
anal	анал
analgesic	нестендирме
analogous	окшош
analogue	окшоштук
analogy	салыштыруу
analysis	талдоо
analyst	аналитик
analytic	аналитикалык
analytical	аналитикалык
analyze	талдоо жүргүзүү
analyzer	анализатор
anaphylactic	таруусу
anarchism	анархизм
anarchist	анархиялык
anarchy	анархия
anastomosis	anastomosis
anathema	каргыш
anatomic	анатомиялык
anatomy	анатомия
ancestor	түпкү ата
ancestral	ата-бабаларынын
ancestry	түпкү аталар
anchor	якорь
anchorage	Баликпапан
ancient	байыркы
ancillary	Бажыга байланыштуу
androgen	андроген
android	андроид
anecdote	эпизод
anemia	анемия
anemic	каны аздык
anemone	Anemone
anesthesia	анестезия
anesthesiologist	анестезиолог
anesthetic	ооруну басуучу дары
aneurysm	Aneurysm
anew	кайрадан
angel	периште
angelic	периштелердин
anger	ачуулануу
angered	нааразы
angermanagement	NO TRANSLATION
angina	ангина
angiogram	angiogram
angiography	Алымбек
angle	бурч
angling	Кайырмак
angora	Ангора
angriest	кийин ачууланбайм
angry	ачууланган
angrytweet	NO TRANSLATION
angst	Коркуу
anguish	азап
anguished	ачуулуу
angular	кырлуу
anhydrous	суусуз
animal	жаныбар
animate	жандандыруу
animated	уму
animation	жандуулук
animosity	душмандык
animus	animus
ankle	тай аке
anklet	Anklet
annals	анналдарында
annex	кошумча курулуш
annexation	кошуу
annexe	NO TRANSLATION
annihilate	жок кылуу
annihilated	жок
annihilation	жок кылуу
anniversary	жылдык
annotate	чечмелегенге
annotation	чечмелөө
announce	жарыялоо
announcement	кулактандыруу
announcer	жарыялоочу аял
annoy	жадатуу
annoyance	кыжырдануу
annoyed	кыжырданган
annoyin	NO TRANSLATION
annoying	кыжырданткан
annoys	азар
annual	ар жылдык
annuity	аннуитет
annul	жокка чыгаруу
annular	чоргодо
annulment	жокко чыгаруу
annulus	annulus
anointed	майланган
anointing	майлоо
anomalous	аномалдык
anomaly	аномалия
anon	дароо
anonymity	Анонимдүүлүк
anonymous	жашыруун
anorexic	anorexic
answer	жооп
answerable	жооптуу
answering	жооп
ant	кумурска
antagonism	антагонизм
antagonist	соттошот
antagonistic	антагонисттик
antagonize	каршы туруу
ante	NO TRANSLATION
antecedent	antecedent
antelope	антилопа
antenna	антенна
anterior	место
anthem	гимн
anthill	кумурска уясы
anthology	антология
anthrax	күйдүргү
anthropological	антропологиялык
anthropologist	антрополог
anthropology	антропология
anti	каршы
antiaircraft	чабуулга
antibiotic	антибиотик
antibiotics	антибиотиктер
antichrist	Дажжал
anticipate	үмүттөнүп күтүү
anticipation	күтүү
anticipatory	алдын ала
antics	кылык-жоруктар
antidote	уунун күчүн жоготуучу зат
antifungal	грибокко каршы
antigravity	антидоты
antimony	сурма
antipathy	жактырбаган нерселерин
antiquarian	Лампа
antiquated	азайган
antique	антиквариаттуу
antiques	эски буюмдар
antiquity	байыркы мезгил
antiseptic	антисептик
antisocial	коомго
antithesis	менен карама-каршы
antithetical	таптакыр
antiviral	дарылар
antler	панта
antsy	чыдамы
anus	көтөн чучук
anvil	дөшү
anxiety	тынчсыздануу
anxietyattack	NO TRANSLATION
anxious	тынчсызданган
anxiousness	тынчсыздануу
anytime	ар дайым
aorta	аорта
aortic	аорта
apace	Тиги
apache	Apache
apartment	бөлмө
apartments	батирлер
apathetic	кош
apathy	кош
ape	маймыл
aperture	улахана
apex	чоку
aphid	мите
aphrodisiac	Aphrodisiac
apiece	бир кесим
aplomb	чулар
apocalypse	тамга
apocalyptic	Үрөйдү учурган
apologetic	качирмечил
apologist	дебегиле
apologize	кечирим суроо
apology	кечирим
apostasy	четтөөчүлүк
apostate	четтеген
apostle	апостол
apostolic	элчилик
apostrophe	апостроф
apothecary	дабагери
appalled	аябай
appalling	коркунучтуу
apparatus	аппаратура
apparel	кийим
apparent	көрүнүүчү
apparently	кыязы,
apparition	көрүнүп
appeal	даттануу
appear	көрүнүшү
appearance	көрүнүшү
appease	тынчытуу
appellant	дубасын
append	кошуу
appendage	кошумча
appendectomy	appendectomy
appendicitis	ичеги
appendix	аппендикс
appetite	аппетит
appetizer	ысылык
appetizing	табитин
applaud	кол чабуу
applause	кол чабуулар
apple	алма
apple juice	Алма ширеси
applejack	applejack
applesauce	болбогон нерсе
appliance	аспап
appliances	тиричилик техникасы
applicability	колдонулушу
applicable	колдонулуучу
applicant	өтүнмө ээси
application	арыз
apply	колдонулат
appoint	дайындайт
appointment	дайындоо
appointments	дайындоолор
apportion	жер семирткич
apportionment	бөлүштүрүү
appraisal	баа
appraise	баалоо
appreciable	байкалаарлык
appreciate	баалоо
appreciated	ыраазы
appreciates	баалайт
appreciation	түшүнүү
appreciative	ыраазы
apprehend	кармап алуу
apprehension	түшүнүү
apprehensive	түшүнүүнүктүү
apprentice	үйрөнчүк аял
apprenticeship	үйрөнүү
approach	жакындоо
approaching	жакындап
approbate	NO TRANSLATION
approbation	Сыноодон өткөрүү
appropriate	туура келген
appropriation	катышуу
approval	ырастоо
approve	бекитүү
approved	бекитилген
approvement	approvement
approving	бекитүү
approximate	жакындаштырылган
approximately	болжол менен
approximating	баалуулуктардын жакындоосун
approximation	жакындаштыруу
appurtenances	нерселерди,
apricot	абрикос
apron	белдемчи
apt	ап
aptitude	жарамдуулук
aqua	Aqua
aquamarine	Aquamarine
aquarium	аквариум
aquatic	суу
aqueduct	суу түтүгү
aqueous	-суу
arable	айдоо
arbiter	арбитр
arbitrary	эрки менен
arbitrate	калыстоо
arbitration	третей соту
arbitrator	калыс аял
arbor	Арбор
arc	догоо
arcade	аркада
arcane	эжекеси
arch	догоого окшоп кошулган жер
archaeological	археологиялык
archaeologist	археолог аял
archaeology	археология
archaic	эскирген
archangel	Микеил
archbishop	архиепископу
archdiocese	archdiocese
archduke	сатылды
arched	арка
archer	аткыч
archery	жаа менен атуу
archetype	олтурткон
archipelago	архипелаг
architect	архитектор
architectural	архитектуралык
architecture	архитектура
archive	Музыка
arctic	арктика
ardent	жануу
ardor	кызуу
arduous	оор
area	аймак
arena	арена
areola	Ареола
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	ARGH
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	талашып-
argument	далил
argumentation	аргументтөө
argumentative	далилдүү
arguments	аргументтер
arid	кургак
arise	пайда болушу
aristocracy	ийилүү
aristocrat	аристократтык
aristocratic	манаптын
arithmetic	эсеп
ark	кеме
arm	кол
armada	Армада
armament	оймо
armaments	куралдануу
armature	арматура
armchair	кресло
armed	куралданган
armor	зоот
armored	өтпөгөн
armory	геральдика
armpit	колтук
arms	курал-жарак
army	армия
aroma	жагымдуу жыт
aromatherapy	Аромотерапия
arousal	дүүлүгүшүндө
arouse	ойготуу
aroused	жаратты
arraignment	arraignment
arrange	уюштуруу
arranged	ёткёрълъп,
arrangement	жайгашуу
array	согуштук тизме
arrears	карыз
arrest	камоого алуу
arrhythmia	аритмиянын
arrival	келүү
arrive	келүү
arrogance	теңсинбөө
arrogant	теңсинбеген
arrow	жебе
arsehole	эшек тешик
arseholes	arseholes
arsenal	арсенал
arsenic	мышьяк
arson	күйгүзүү
arsonist	arsonist
art	искусство
arterial	артерия
artery	кызыл кан тамыры
artful	artful
arthritis	артрит
arthropod	омурткасыздардай
artichoke	artichoke
article	макала
articles	макалалар
articulate	туура айтуу
articulation	лимитед
artifact	табылган
artifice	атылган жок
artificial	жасалма
artillery	артиллерия
artisan	кол өнөрчүлүк
artist	сүрөтчү аял
artiste	NO TRANSLATION
artistic	көркөм
artistry	чеберчилиги
artists	сүрөтчүлөр
artwork	сүрөттөр
arty	үчтүк
asap	ASAP
asbestos	асбесттен
ascend	көтөрүлүү
ascendancy	үстөмдүгү
ascendant	жогорулоого
ascending	бүтүндөй өрттөлүүчү
ascension	Өсүү
ascent	Дарбазага
ascertain	аныктоо
ascertained	аныкталган
ascetic	дербиш
ash	күл
ashamed	уят
ashes	күлү
ashtray	күл түшүргүч
asinine	туулса,
ask	суроо
asleeep	NO TRANSLATION
asleep	уктаган
asp	ASP
asparagus	спаржа
aspartame	.Аппа
aspect	аспект
aspects	жактары
aspen	Дуранго
asphalt	асфальт
asphyxia	шоктон
asphyxiation	муунуу
aspiration	умтулуу
aspire	умтулуп
aspirin	аспирин
aspiring	түркчө
ass	эшек
assail	болоюн
assailant	токтоп
assassin	канкор аял
assassinate	атайын талкалоо
assassination	өлтүрүү
assault	кол салуу
assay	сыноочу
assemblage	чогулуш
assemble	чакыруу
assembled	чогулуп,
assembly	жыйналыш
assemblyman	assemblyman
assent	кемин-
assert	бекитүү
asserting	ырасташты
assertion	ырастоо
assertive	ырасталган
assess	баалоо
assessment	аныктоо
assessor	аналитикалык
asset	мүлк
assets	каражаттар
asshole	Акмак
assign	дайындоо
assignee	мураскери
assignment	дайындоо
assimilate	аралаштырууга
assimilation	кооздонуу
assist	жардамдашуу
assistance	жардам
assistant	менеджер
associate	шерик аял
association	бирикме
assorted	иреттелген
assortment	шайлоо
assuage	тынчтандыруу
assume	өзүнө
assumed	кабыл алынган
assuming	мактанчаак
assumption	митаамдык
assurance	ишендирүү
assure	ишендирүү
assured	ашарынан
assuredly	Калетсиз,
asterisk	жылдызча
asteroid	астероид
asteroids	Asteroids
asthma	астма
asthmatic	астма
astigmatism	astigmatism
astonish	таң калтыруу
astonished	айран
astonishing	таң калтырган
astonishingly	NO TRANSLATION
astonishment	таң калтыруу
astound	таң калтыруу
astral	Астралдык
astray	жолдон
astringent	оозду куруштуруучу
astrologer	төлгөчүдөн
astrology	асторлогия
astronaut	астронавт
astronomer	астроном
astronomical	астрономиялык
astronomy	астрномия
astute	баам
asunder	Но урайт,
asylum	баш калкалоочу жай
asymmetric	ассиметриялуу
asymmetry	асимметрия
asymptotic	асимптотикалык
atelier	Мариам
atheism	атеизм
atheist	атеист аял
atheistic	атеисттик
atherosclerosis	атеросклероз
athlete	атлет эркек
athletic	атлетикалык
athleticism	Спорт
athletics	атлетика
atlas	атлас
atmosphere	атмосфера
atmospheric	Жаратылыштагы
atoll	атолл
atom	атом
atomic	атомдук
atone	жууш
atonement	күнөөдөн
atpeace	тынчтыкта
atrium	дүлөйчө
atrocious	тыйды
atrocity	ырайымсыз
atrophy	иштеши начарлап
attach	бириктирүү
attached	тиркелген
attachment	тиркеме
attack	кол салуу
attacker	чабуулчу
attacking	кол
attain	жетүү
attainable	болуу
attainment	жетүү
attempt	аракет
attempted	аракет
attend	катышуу
attendance	катышуу
attendant	катышуучу аял
attention	көңүл
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	ыкластуу
attenuate	атомчу
attenuated	начарлагандыгынын
attenuation	өчүүсү
attest	далилдөө
attestation	күбөлөндүрүүнү
attic	чердак
attire	унутат
attitude	мамиле
attorney	юрист аял
attract	тартуу
attraction	тартуу
attractive	жагымдуу
attractiveness	жагымдуулук
attributable	таандык
attribute	сыпат
attribution	таандык
attrition	Юнгдун
auburn	Auburn
auction	аукцион
auctioneer	текст
audacious	эр жүрөк
audacity	-сыйыты жок
audible	угула
audience	угуучулар
audio	аудио
audit	текшерүү
audition	угуу
auditions	Мамат
auditor	аудитор
auditorium	көрүүчү эл
auditory	угуу
aught	нерсе
augment	кошулуу
augmentation	көбөйтүү
august	Август
aunt	тай эже
auntie	Таеже
aura	аурасын
aurora	Aurora
auspices	ачылаарын
auspicious	жакшылык
austere	катаал
austerity	катаал
authentic	туура
authenticate	ишендирүү
authentication	тастыктоо
authenticity	ишенүүгө татыктуу
author	жазуучу
authoritative	кадыр-барктуу
authority	бийлик
authorization	укук берүү
authorize	уруксат
authorized	ыйгарым укуктуу
authorship	Authorship
autism	аутизм
autistic	Аутизм оорусу
auto	унаам
autobiographical	аз
autobiography	өмүрбаян
autocorrect	борбору
autocratic	өз алдынча
autograph	авторграф
autographed	кулинария
automated	автоматташтырылган
automatic	автоматтык
automobile	автоунаа
automotive	унаа
autonomy	автономия
autopilot	чачынга
autopsy	кайра союуу
autumn	күз
auxiliary	жардамчы
avail	коштошуу
availability	болушу
available	жеткиликтүү
avalanche	мөнгү
avarice	айал
avatar	Avatar
avenge	өч алуу
avenger	кууган
avenging	өч
avenue	жол
aver	NO TRANSLATION
average	орто
aversation	NO TRANSLATION
averse	ойлонгон
averseness	averseness
aversion	жийиркенүү
avert	алаксытуу
aviary	кептерканага
aviation	авиация
aviator	учкуч
avid	жагымдуу
avocado	Саргылт
avoid	качуу
avoidance	четтенүү
avoiding	качуу
await	зарыга күтүү
awake	ойгоо
awaken	ойготот
awakening	ойгонуу
award	сыйлык
awards	сыйлыктар
aware	билет
awareness	билүү
awe	NO TRANSLATION
awed	суктанып
awesome	керемет
awesomeness	кудуреттүүлүгүнүн
awestruck	кастарлоо
awful	сүр көрсөткөн
awkward	олдоксон
awkwardness	эпсиздик
awning	чатыр
awry	иштебей
axe	балта
axial	октук
axiom	аксиома
axiomatic	аксиомалык
axis	ок
axle	вал
ay	ай
aye	макул
azimuth	azimuth
azure	Көгүлтүр
babble	ызылдаган
babbling	оозунан
babe	жаным
baboon	бабуин
baby	бала
babysit	бөбөгүн
babysitter	Бала
baccalaureate	ү
baccarat	баккара
bachelor	бакалавр
bachelorette	Холостячки
back	кайра
backboard	прокладка
backbone	омуртка
backdoor	жашынган
backdrop	көшөгө
backer	колдоочубуз
backfire	ойлогондон башкача натыйжага алып келет
backgammon	Нарда
background	маалымат
backhand	артынын
backhoe	Багери
backoff	backoff
backpack	рюкзак
backpacker	туристтин
backroom	Норберт Ламмерт жарыялады
backseat	соон
backside	-Не
backtrack	backtrack
backup	камдык
backward	артка
backwardness	артта
backwards	артка
backwater	Биз экообуз
backwoods	Backwoods
backyard	сада,
bacon	бекон
bacteria	бактерия
bacterial	бактерия
bacterium	бактерия
bad	жаман
badass	милиан
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	белги
badger	ры
badhabit	NO TRANSLATION
badly	жаман
badness	жамандык
baffle	бузуу
baffled	Баяке
bag	сумка
bagel	булочка
baggage	жүк
baggie	baggie
baggy	көлбөөрүгөн
bagman	bagman
bagpipes	оркестри
bail	кепилдик
bailiff	сот аткаруучу аял
bait	татканткыч нерсе
bake	бышыруу
bakery	наабаткана
baking	банк
bal	NO TRANSLATION
balance	тең салмактуулук
balanced	салмактуу
balcony	балкон
bald	такыр баш
balding	чачтары
baldy	Болди
bale	бэйл
balk	Балк
ball	топ
