Word	ur
adjuvant	قریب
admin	منتظم
administer	انتظامیہ
administration	انتظامیہ
administrative	انتظامیہ
administrator	منتظم
admirable	قابل اطمینان
admiral	ایڈمرل
admiralty	ایڈمرلٹی
admiration	تعریف
admire	تعریف کرتے ہیں
admired	شخصیات
admirer	پرستار
admiring	تعریف کرتے ہیں
admissibility	قبولیت
admissible	قابل قبول
admission	داخلہ
admit	تسلیم
admittance	اعتراف
admitted	اعتراف کیا
admitting	تسلیم کرتے ہیں
admixture	اطمینان
admonition	مشورہ
ado	ادو
adobe	ایڈوب
adolescence	کشور
adolescent	نوجوانوں
adopt	اپنانے
adoption	اپنانا
adoptive	اپنانا
adorable	پیارا
adoration	سجاوٹ
adore	پسند ہے
adoring	ایڈورڈنگ
adorn	زراعت
adornment	زراعت
adrenalin	ایڈنالین
adrenaline	ایڈنالائن
adrift	مشغول
adult	بالغ
adulterated	زنا
adulterer	زنا
adultery	زنا
adulthood	بالغ
advance	پیشگی
advanced	اعلی درجے کی
advancement	ترقی
advancing	پیش رفت
advantage	فائدہ
advantageous	فائدہ مند
advent	آمدنی
adventure	مہم جوئی
adventurer	مہم جوئی
adventures	مہم جوئی
adventurous	بہادر
adversary	مخالف
adverse	منفی
adversity	پریشان
advertise	تشہیر کریں
advertisement	اشتہار
advertising	اشتہارات
adverts	پیش کرتا ہے
advice	مشورہ
advisable	مشاورتی
advise	مشورہ
advised	مشورہ
advisement	مشورہ
adviser	مشیر
advisor	مشیر
advisory	مشاورتی
advocacy	وکالت
advocate	وکیل
aegis	aegis
aeration	واشنگٹن
aerial	فضائی
aerobics	ایروبکس
aerodrome	ایروودوم
aerodynamic	ایروڈومیشنل
aerodynamics	ہوائی جہاز
aeronautics	ہوائی جہاز
aeroplane	ہوائی جہاز
aerospace	ہوائی جہاز
aesthetic	جمالیاتی
aesthetics	جمالیاتیات
aetiology	حیاتیات
afar	دور
affable	قابل اطلاق
affair	معاملہ
affect	متاثر
affecting	کو متاثر
affection	افسوس
affectionate	پیار
affections	اثرات
affiche	NO TRANSLATION
affidavit	افسوس
affiliated	منسلک
affiliation	تعلق
affinity	تعلق
affirm	تصدیق
affirmation	تصدیق
affirmative	مثبت
affirmatively	تاثر سے
affix	پیسہ
afflict	پریشان
afflicted	پریشان
affliction	افسوس
affluence	ارتقاء
affluent	امیر
afford	برداشت
affordable	سستی
affront	پریشان
affronted	پریشان
afield	افریقی
afire	ایک آگ
afloat	افسوس
afore	آگے
aforementioned	پیش نظارہ
aforesaid	پہلے سے
afraid	ڈر
afresh	افسوس
african	افریقہ
aft	aft
afterlife	زندگی کے بعد
aftermath	اس کے بعد
afternoon	دوپہر
aftershave	داڑھی مونڈھنے کے بعد
aftertaste	بعد میں
afterthought	بعد ازاں
aga	NO TRANSLATION
agape	اجنبی
agate	عمر
age	عمر
aged	عمر
agency	ایجنسی
agenda	ایجنڈا
agent	ایجنٹ
agglomeration	اجنبی
aggravate	بہت بڑا
aggravated	بڑھ کر
aggravates	اجنبی
aggravating	بڑھتی ہوئی
aggravation	افادیت
aggregate	مجموعی طور پر
aggregation	مجموعی
aggresive	NO TRANSLATION
aggression	جارحیت
aggressive	جارحانہ
aggressively	جارحانہ طور پر
aggressiveness	جارحیت
aggressor	جارحانہ
agh	Agh
aghast	ابرسٹ
aghhh	NO TRANSLATION
agile	فرتیلی
agility	چپلتا
aging	عمر بڑھنا
agitate	مشکوک
agitated	متحرک
agitation	تحریک
aglow	آہستہ
agnostic	اجنبی
ago	پہلے
agonizing	اجنبی
agony	پریشانی
agoraphobia	اراوروفیا
agree	متفق ہوں
agreeable	متفق
agreed	اتفاق
agreeing	اتفاق
agreement	معاہدہ
agressive	NO TRANSLATION
agricultural	زرعی
agriculture	زراعت
aground	زمانے
agua	NO TRANSLATION
ahead	آگے
ahhh	آہ
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	مدد
aide	ساتھی
aiding	امداد
aids	ایڈز
ail	ایلی
ailing	بیماری
ailment	بیماری
aim	مقصد
aimless	بےمقصد
air	ہوا
airbag	ہوائی اڈے
airborne	ہوائی
aircraft	ہوائی جہاز
aircraft carrier	ہوائی جہاز کیریئر
airfield	ہوائی اڈے
airhead	ہوائی اڈے
airlift	ہوائی جہاز
airline	ایئر لائن
airliner	ہوائی جہاز
airlock	ہوائی جہاز
airman	ایئر مین
airplane	ہوائی جہاز
airport	ہوائی اڈے
airs	ہوا
airship	ہوائی جہاز
airspace	ہوائی جہاز
airspeed	ہوائی اسپریڈ
airstrip	ہوائی جہاز
airtight	واٹرائٹ
airway	ہوائی اڈے
aisle	گلیارے
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	اکا
akin	بیکار
alabaster	الاسٹرٹر
alarm	الارم
alarm clock	الارم گھڑی
alarmed	خطرناک
alarming	خطرناک
alas	افسوس
alb	NO TRANSLATION
albatross	albatross
albino	البانی
album	البم
alchemy	کیمیا
alcohol	شراب
alcoholic	الکحل
alcoholism	شراب
alcove	الکو
alderman	alderman
ale	NO TRANSLATION
alert	انتباہ
alertness	انتباہ
alerts	انتباہات
alfalfa	الفافہ
algebra	الجبرا
algebraic	جگر
algorithm	الگورتھم
alias	عرف
alibi	البیبی
alien	اجنبی
alienate	الگ الگ
alienated	اجنبی
alienation	اجنبی
alight	الٹ
align	سیدھا
aligned	منسلک
alignment	سیدھ
alike	اسی طرح
alimentation	NO TRANSLATION
alimony	تعصب
aliquot	غیر ملکی
alive	زندہ
alkali	الکالی
alkaloids	alkaloids
allay	ہمارا
allegation	الزام
allege	الزام لگایا
alleged	مبینہ طور پر
allegiance	بیعت
allegorical	الزامات
allegory	الزامات
allegro	allegro
allergic	الرجک
allergy	الرجی
alleviate	کم
alleviation	کم
alley	گلی
alleyway	اللی وے
alliance	اتحاد
allied	اتحادی
alligator	مگرمچرچھ
allocate	مختص
allocation	مختص کرنے
allot	الاٹ
allotment	الاٹمنٹ
allow	اجازت دیں
allowable	قابل اجازت
allowance	الاؤنس
allowed	اجازت دی
alloy	مصر
allsmiles	NO TRANSLATION
allure	غصہ
alluring	بھرپور
allusion	الجھن
alluvial	جغرافیہ
ally	اتحادی
almanac	المانیک
almighty	زبردست
almond	بادام
aloft	الافٹ
aloha	الہہ
alone	اکیلے
alongside	ساتھ ساتھ
aloof	ٹھیک ہے
aloud	زبردست
alpha	الفا
alphabet	حروف تہجی
alphabetical	حروف تہجی
alpine	الپائن
alreadyyyyy	پہلے ہی
altar	قربان گاہ
altar boy	قربان گاہ لڑکے
alter	تبدیل کریں
alteration	تبدیلی
altercation	تبدیلی
altered	تبدیل
alternate	متبادل
alternating	متبادل
alternative	متبادل
altimeter	altimeter
altitude	اونچائی
alto	الٹو
altogether	ایک ساتھ
aluminum	ایلومینیم
alumnus	الماری
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	املاگم
amalgamation	تجزیہ
amaretto	امیرٹو
amass	اماس
amateur	شوکیا
amaze	حیران کن
amazed	حیران کن
amazedness	NO TRANSLATION
amazement	تعجب
amazing	حیرت انگیز
amazingly	حیرت انگیز
ambassador	سفیر
amber	امبر
ambience	ماحول
ambient	وسیع
ambiguity	ناگزیر
ambiguous	مبہم
ambit	امتیاز
ambition	امتیاز
ambitious	بلند نظر
ambivalent	ambivalent
ambrosia	الجزائر
ambulance	ایمبولینس
ambush	گھات لگا کر حملہ
ameliorate	بڑھاو
amen	امی
amenable	تیار
amend	ترمیم کریں
amendment	ترمیم
amends	تعارف
amenity	سہولت
amethyst	تعصب
amiable	امیر
amicable	خوشگوار
amid	کے درمیان
amidst	کے دوران
amino	امینو
ammo	بارود
ammonia	امونیا
ammonium	امونیم
ammunition	گولہ باری
amnesia	امونیا
amnesty	ایمنسٹی
amorous	حیرت انگیز
amorphous	بدمعاش
amortization	تعصب
amount	رقم
amour	NO TRANSLATION
amp	AMP
ampersand	امپرسند
amphetamines	amphetamines
amphibian	امفابین
amphibious	افسوس
amphitheater	امفیٹھیٹر
ample	کافی
amplification	پرورش
amplify	بڑھاؤ
amplitude	طول و عرض
amply	بس
amputate	بدمعاش
amputation	انفیکشن
amuck	بیکار
amulet	تعویز
amuse	استعمال کرنا
amused	آمیز
amusement	تفریحی
amusing	دلکش
ana	NO TRANSLATION
anaconda	انکونڈا
anaesthesia	اینستیکشیشیا
anaesthetic	جمالیاتی
anagram	انگرام
anal	مقعد
analgesic	تجزیاتی
analogous	مطابق
analogue	ینالاگ
analogy	مثالی
analysis	تجزیہ
analyst	تجزیہ کار
analytic	تجزیاتی
analytical	تجزیاتی
analyze	تجزیہ کریں
analyzer	تجزیہ کار
anaphylactic	انتفیکٹ
anarchism	انتشار
anarchist	انتشار
anarchy	انتشار
anastomosis	انساتوموس
anathema	عنہا
anatomic	انتطومی
anatomy	اناتومی
ancestor	پرکھا
ancestral	آبائی
ancestry	باپ دادا
anchor	لنگر
anchorage	لنگر
ancient	قدیم
ancillary	تخیل
androgen	اورروجن
android	لوڈ، اتارنا Android
anecdote	اینٹیڈیٹ
anemia	انماد
anemic	وادی
anemone	اینیمون
anesthesia	اینستیکشیشیا
anesthesiologist	اینٹیکپوالوجیسٹ
anesthetic	جمالیاتی
aneurysm	آورسیسیم
anew	ایک نیا
angel	فرشتہ
angelic	فرشتہ
anger	غصہ
angered	غصہ
angermanagement	NO TRANSLATION
angina	انجینا
angiogram	انجیوگرام
angiography	اینٹیوگرافی
angle	زاویہ
angling	انگلی
angora	اندورا
angriest	پریشانی
angry	ناراض
angrytweet	NO TRANSLATION
angst	انگلی
anguish	پریشانی
anguished	پریشان
angular	کونیی
anhydrous	آداب
animal	جانور
animate	متحرک
animated	متحرک
animation	حرکت پذیری
animosity	حرکت پذیری
animus	حرکت پذیری
ankle	ٹخن
anklet	پازیب
annals	کالعدم
annex	ضمیمہ
annexation	ضمیمہ
annexe	NO TRANSLATION
annihilate	تباہ کرنا
annihilated	تباہ کن
annihilation	تباہی
anniversary	سالگرہ
annotate	تشریح
annotation	تشریح
announce	اعلان کریں
announcement	اعلان
announcer	اعلان کنندہ
annoy	پریشان
annoyance	پریشانی
annoyed	پریشان کن
annoyin	NO TRANSLATION
annoying	پریشان کن
annoys	پریشان
annual	سالانہ
annuity	نیویگیشن
annul	annul
annular	کلینر
annulment	منسوخ
annulus	نیویگیشن
anointed	عیسی علیہ السلام
anointing	چمتکار
anomalous	ہمدردی
anomaly	بدنام
anon	انون
anonymity	نام نہاد
anonymous	گمنام
anorexic	اندراج
answer	جواب دیں
answerable	جواب دینا
answering	جواب دینا
ant	اینٹی
antagonism	دشمنی
antagonist	مخالفین
antagonistic	متضاد
antagonize	مخالف ہے
ante	NO TRANSLATION
antecedent	اینٹی ایڈنٹ
antelope	بدبختی
antenna	اینٹینا
anterior	لنگر
anthem	سرود
anthill	انتھلی
anthology	نظریات
anthrax	انتھراکس
anthropological	نظریاتی
anthropologist	آرتھوپیولوجی
anthropology	آرتھوپیولوجی
anti	مخالف
antiaircraft	اینٹی ویرکچر
antibiotic	اینٹی بائیوٹک
antibiotics	اینٹی بائیوٹیکٹس
antichrist	اینٹی مسیح
anticipate	متوقع
anticipation	متوقع
anticipatory	متوقع
antics	NO TRANSLATION
antidote	اینٹیڈیٹ
antifungal	اینٹیفیلل
antigravity	کشش ثقل کے خلاف
antimony	انتشار
antipathy	اینٹیپیٹی
antiquarian	نسل پرستی
antiquated	نسل پرستی
antique	قدیم
antiques	قدیم چیزیں
antiquity	قدیمت
antiseptic	اینٹی پیپٹیک
antisocial	انتشار
antithesis	عنصر
antithetical	ابدی
antiviral	اینٹی ویرل
antler	antler
antsy	اینٹی
anus	مقعد
anvil	انجیل
anxiety	تشویش
anxietyattack	NO TRANSLATION
anxious	فکر مند
anxiousness	اندیشی
anytime	کسی بھی وقت
aorta	اورتٹا
aortic	امر
apace	تیز
apache	ای میل
apartment	اپارٹمنٹ
apartments	اپارٹمنٹ
apathetic	بے شک
apathy	بے چینی
ape	اے پی پی
aperture	یپرچر
apex	سپیکس
aphid	یفف
aphrodisiac	الف
apiece	معافی
aplomb	aplomb
apocalypse	معافی
apocalyptic	اپوپلپٹیک
apologetic	معافی
apologist	معافی
apologize	معذرت خواہ
apology	معافی
apostasy	ارتقاء
apostate	مرتکب
apostle	رسول
apostolic	رسول
apostrophe	رسول
apothecary	معافی
appalled	اپیل
appalling	اپنانے
apparatus	سازوسامان
apparel	کپڑے
apparent	واضح
apparently	ظاہر ہے
apparition	ظاہری شکل
appeal	اپیل
appear	ظاہر
appearance	ظہور
appease	اپیل کریں
appellant	اپیلنٹ
append	اپنائیں
appendage	اطاعت
appendectomy	اپ ڈیٹیٹومیشن
appendicitis	اپینڈیکائٹس
appendix	ضمنی
appetite	بھوک
appetizer	اپیٹائزر
appetizing	دھوکہ دہی
applaud	اطمینان
applause	آلات
apple	سیب
apple juice	سیب کا رس
applejack	ایپل جیک
applesauce	applesauce
appliance	آلات
appliances	ایپلائینسز
applicability	درخواست دینا
applicable	قابل اطلاق
applicant	درخواست دہندگان
application	درخواست
apply	لاگو کریں
appoint	مقرر کریں
appointment	تقرری
appointments	تقرری
apportion	تشخیص
apportionment	تشخیص
appraisal	جائزہ
appraise	تشخیص
appreciable	قابل قدر
appreciate	کی تعریف
appreciated	تعریف
appreciates	تعریف کرتا ہے
appreciation	تعریف
appreciative	تعریف
apprehend	رکھنا
apprehension	کشیدگی
apprehensive	شکست
apprentice	تجربہ کار
apprenticeship	اپرنٹس شپ
approach	نقطہ نظر
approaching	قریب
approbate	NO TRANSLATION
approbation	منظوری
appropriate	مناسب
appropriation	اختصاص
approval	منظوری
approve	منظور
approved	منظورشدہ
approvement	منظوری
approving	منظور
approximate	تخمینہ
approximately	تقریبا
approximating	قریب
approximation	سنجیدگی
appurtenances	اپورتننس
apricot	خوبانی
apron	تہبند
apt	الف
aptitude	استدلال
aqua	ایکوا
aquamarine	آبیامین
aquarium	ایکویریم
aquatic	آبی
aqueduct	اکاؤنٹس
aqueous	جھوٹ
arable	قابل
arbiter	اربٹر
arbitrary	خود مختار
arbitrate	ثالثی
arbitration	ثالثی
arbitrator	ثالثی
arbor	آربر
arc	آرک
arcade	آرکیڈ
arcane	آرکین
arch	آرک
archaeological	آثار قدیمہ
archaeologist	آثار قدیمہ
archaeology	آثار قدیمہ
archaic	آثار قدیمہ
archangel	آرگنائیل
archbishop	آرکائشی
archdiocese	آرکیڈکیسی
archduke	Archduke
arched	اڑایا
archer	آرچر
archery	تیر اندازی
archetype	آرکیٹائپ
archipelago	آرکیپیڈیا
architect	معمار
architectural	آرکیٹیکچرل
architecture	فن تعمیر
archive	آرکائیو
arctic	آرکٹک
ardent	زبردست
ardor	ardor
arduous	سخت
area	رقبہ
arena	میدان
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	ارغ
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	بحث کریں
argument	دلیل
argumentation	دلیل
argumentative	دلائل
arguments	دلائل
arid	ارشاد
arise	اٹھ
aristocracy	ارسٹوکسی
aristocrat	ارسٹوکریٹ
aristocratic	باہمی
arithmetic	ریاضی
ark	کشتی
arm	بازو
armada	آرماڈا
armament	بازو
armaments	ہتھیاروں
armature	بازو
armchair	آرمی چیئر
armed	مسلح
armor	کوچ
armored	بکتر بند
armory	بازی
armpit	بند کریں
arms	ہتھیار
army	فوج
aroma	مہودی
aromatherapy	اروماتراپی
arousal	اچانک
arouse	جلدی
aroused	پریشان
arraignment	آرگنائزیشن
arrange	بندوبست کریں
arranged	اہتمام
arrangement	انتظام
array	صف
arrears	بقایا
arrest	گرفتاری
arrhythmia	arrhythmia
arrival	آمد
arrive	آو
arrogance	تکبر
arrogant	پریشان
arrow	تیر
arsehole	arsehole
arseholes	arseholes
arsenal	ہتھیار
arsenic	ارسنک
arson	چکن
arsonist	ارونسٹسٹ
art	آرٹ
arterial	شدید
artery	مریض
artful	فنکار
arthritis	گٹھری
arthropod	ارتھروپڈ
artichoke	آرکیچک
article	مضمون
articles	مضامین
articulate	آرٹیکل
articulation	آرٹیکل
artifact	فنکار
artifice	فنکار
artificial	مصنوعی
artillery	توپ خانے
artisan	فنکاروں
artist	آرٹسٹ
artiste	NO TRANSLATION
artistic	فنکارانہ
artistry	آرٹسٹری
artists	فنکاروں
artwork	آرٹ ورک
arty	آرکی
asap	ASAP
asbestos	ایسوسی ایٹ
ascend	چڑھ جاؤ
ascendancy	چڑھنے
ascendant	چڑھاو
ascending	بڑھتے ہوئے
ascension	طول و عرض
ascent	چڑھائی
ascertain	یقینا
ascertained	معلوم ہوا
ascetic	وائٹ
ash	راھ
ashamed	شرمندہ
ashes	خاور
ashtray	آتش
asinine	asinine
ask	پوچھو
asleeep	NO TRANSLATION
asleep	سو
asp	asp
asparagus	asparagus
aspartame	Aspartame
aspect	پہلو
aspects	پہلوؤں
aspen	Aspen
asphalt	ڈامر
asphyxia	اسفیقیا
asphyxiation	asphyxiation
aspiration	اطمینان
aspire	خواہش
aspirin	اسپرین
aspiring	خواہش مند
ass	گدا
assail	حملہ
assailant	حملہ آور
assassin	قاتل
assassinate	قتل
assassination	قتل
assault	حملہ
assay	ہمت
assemblage	اسمبلی
assemble	جمع
assembled	جمع
assembly	اسمبلی
assemblyman	اسمبلی
assent	اتفاق
assert	اعتراف
asserting	زور دیا
assertion	دعوی
assertive	زور سے
assess	تشخیص کریں
assessment	تشخیص کے
assessor	تشخیص
asset	اثاثہ
assets	اثاثوں
asshole	گدی
assign	تفویض
assignee	تفویض
assignment	تفویض
assimilate	یقین کرو
assimilation	آس پاس
assist	مدد کریں
assistance	مدد
assistant	اسسٹنٹ
associate	ایسوسی ایٹ
association	ایسوسی ایشن
assorted	مختلف
assortment	درجہ بندی
assuage	گزرنا
assume	فرض کرو
assumed	فرض کیا
assuming	فرض کرنا
assumption	تصور
assurance	یقین دہانی کرائی
assure	یقین ہے
assured	یقین دہانی کرائی
assuredly	یقینا
asterisk	اسٹرک
asteroid	اشارہ
asteroids	asteroids
asthma	دمہ
asthmatic	مہتاکار
astigmatism	عدم استحکام
astonish	چکت کرنا
astonished	حیران
astonishing	حیرت انگیز
astonishingly	NO TRANSLATION
astonishment	تعجب
astound	حیران کن
astral	astral
astray	گمراہ
astringent	ہتھیار
astrologer	ستارہ
astrology	ستارہ
astronaut	خلائی مسافر
astronomer	astronomer
astronomical	ستارہ
astronomy	ستارے
astute	حیران کن
asunder	asunder
asylum	پناہ گزین
asymmetric	ناممکن
asymmetry	بدمعاش
asymptotic	asymptotic
atelier	atelier
atheism	الحمد للہ
atheist	بے شک
atheistic	بے شک
atherosclerosis	آئرروسکلروسیس
athlete	کھلاڑی
athletic	ایتھلیٹک
athleticism	ایتھلیٹیکزم
athletics	ایتھلیٹکس
atlas	اٹلی
atmosphere	ماحول
atmospheric	ماحولیات
atoll	ایول
atom	ایٹم
atomic	جوہری
atone	اونٹ
atonement	تعصب
atpeace	اچانک
atrium	atrium
atrocious	زبردست
atrocity	ظلم
atrophy	اسففی
attach	منسلک کریں
attached	منسلک
attachment	منسلکہ
attack	حملہ
attacker	حملہ آور
attacking	حملہ
attain	حاصل
attainable	قابل اعتماد
attainment	حاصل
attempt	کوشش
attempted	کوشش کی
attend	حاضری
attendance	حاضری
attendant	حاضری
attention	توجہ
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	توجہ مرکوز
attenuate	اٹھانا
attenuated	حاصل کی
attenuation	کشیدگی
attest	اشارہ
attestation	اشارہ
attic	اٹک
attire	لباس
attitude	رویہ
attorney	اٹارنی
attract	اپنی طرف اشارہ
attraction	توجہ
attractive	پر کشش
attractiveness	کشش
attributable	منسوب
attribute	وصف
attribution	انتباہ
attrition	جذبہ
auburn	ابرن
auction	نیلامی
auctioneer	نیلامی
audacious	اداس
audacity	امتیاز
audible	سنائی دیتی
audience	سامعین
audio	آڈیو
audit	آڈٹ
audition	آڈیشن
auditions	آڈیشن
auditor	آڈیٹر
auditorium	آڈیٹوریم
auditory	آڈیشن
aught	ایک ہی
augment	اضافہ
augmentation	اضافہ
august	اگست
aunt	چاچی
auntie	چاچی
aura	منظر
aurora	اورورا
auspices	ایکسپریس
auspicious	اچھا
austere	مشکل
austerity	سادگی
authentic	مستند
authenticate	تصدیق
authentication	تصدیق
authenticity	صداقت
author	مصنف
authoritative	مستند
authority	اختیار
authorization	اجازت
authorize	اختیار
authorized	اختیار شدہ
authorship	مصنفیت
autism	آٹزم
autistic	خودکار
auto	آٹو
autobiographical	آبی جغرافیہ
autobiography	سوانح عمری
autocorrect	خود مختار
autocratic	خود مختار
autograph	آٹوگرا
autographed	خود بخود
automated	خود کار طریقے سے
automatic	خود کار طریقے سے
automobile	گاڑی
automotive	آٹوموٹو
autonomy	خود مختاری
autopilot	آٹوپلوٹ
autopsy	پوسٹ مارٹم
autumn	موسم خزاں
auxiliary	معاون
avail	فائدہ
availability	دستیابی
available	دستیاب
avalanche	ہمسھلن
avarice	avarice
avatar	اوتار
avenge	بدلہ
avenger	ایوارڈ
avenging	avenging
avenue	گلی
aver	NO TRANSLATION
average	اوسط
aversation	NO TRANSLATION
averse	نفرت
averseness	NO TRANSLATION
aversion	نفرت
avert	تبدیل کریں
aviary	ویویری
aviation	ایوی ایشن
aviator	aviator
avid	بخیل
avocado	اویوکوادا
avoid	سے بچیں
avoidance	بچت
avoiding	سے گریز
await	انتظار کرو
awake	بیدار
awaken	بیدار
awakening	بیداری
award	ایوارڈ
awards	ایوارڈز
aware	آگاہ
awareness	شعور
awe	NO TRANSLATION
awed	awed
awesome	خوفناک
awesomeness	خوفناک
awestruck	خوفناک
awful	خوفناک
awkward	عجیب
awkwardness	خوفناک
awning	جھاڑو
awry	خوفناک
axe	محور
axial	محوری
axiom	محاصرہ
axiomatic	محاصرہ
axis	محور
axle	اکیل
ay	ہاں
aye	جی
azimuth	azimuth
azure	آزمائشی
babble	بابا
babbling	babbling
babe	بیب
baboon	بابون
baby	بچه
babysit	babysit
babysitter	نینی
baccalaureate	غلطی
baccarat	بیکاکیٹ
bachelor	بیچلر
bachelorette	bachelorette
back	پیچھے
backboard	بیک بورڈ
backbone	ریبون
backdoor	پچھلے دروازے
backdrop	پس منظر
backer	بیکر
backfire	بیک اپ
backgammon	بیکگیممان
background	پس منظر
backhand	بیکڈ ہینڈ
backhoe	پس منظر
backoff	بیک اپ
backpack	بیگ
backpacker	بیگم
backroom	پچھلا کمرہ
backseat	پس منظر
backside	پس منظر
backtrack	پس منظر
backup	بیک اپ
backward	پسماندہ
backwardness	پسماندگی
backwards	پیچھے اگلا
backwater	واپس پانی
backwoods	بیکوند
