Word	mt
admissibility	ammissibbiltà
admissible	ammissibbli
admission	ammissjoni
admit	jammettu
admittance	dħul
admitted	ammessi
admitting	ammissjoni
admixture	taħlita
admonition	twissija
ado	ado
adobe	adobe
adolescence	adolexxenza
adolescent	adolexxenti
adopt	tadotta
adoption	adozzjoni
adoptive	adottiv
adorable	adorable
adoration	Adorazzjoni
adore	adore
adoring	adoring
adorn	adorn
adornment	tiżjin
adrenalin	adrenalin
adrenaline	adrenalina
adrift	maqlub
adult	adulti
adulterated	adulterat
adulterer	adulterer
adultery	adulterju
adulthood	adulta
advance	bil-quddiem
advanced	avvanzat
advancement	avvanz
advancing	avvanz
advantage	vantaġġ
advantageous	vantaġġjuż
advent	il-miġja
adventure	avventura
adventurer	adventurer
adventures	avventuri
adventurous	avventuruża
adversary	avversarju
adverse	avversi
adversity	diffikultajiet
advertise	jirreklamaw
advertisement	reklam
advertising	reklamar
adverts	reklami
advice	pariri
advisable	rakkomandabbli
advise	avża
advised	avżat
advisement	parir
adviser	konsulent
advisor	konsulent
advisory	konsultattiv
advocacy	advocacy
advocate	avukat
aegis	patroċinju
aeration	arjazzjoni
aerial	ajru
aerobics	aerobics
aerodrome	ajrudrom
aerodynamic	aerodinamika
aerodynamics	aerodinamika
aeronautics	aeronawtika
aeroplane	ajruplan
aerospace	aerospazjali
aesthetic	estetika
aesthetics	estetika
aetiology	etjoloġija
afar	afar
affable	affable
affair	affari
affect	taffettwa
affecting	jaffettwa
affection	affezzjoni
affectionate	affettiva
affections	affetti
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	affiljati
affiliation	affiljazzjoni
affinity	affinità
affirm	jaffermaw
affirmation	affermazzjoni
affirmative	affermattiv
affirmatively	fl-affermattiv
affix	twaħħal
afflict	afflict
afflicted	milquta
affliction	affliction
affluence	ġid
affluent	sinjuri
afford	taffordja
affordable	affordabbli
affront	affront
affronted	affronted
afield	lil hinn
afire	nifs
afloat	fil-wiċċ
afore	qabel
aforementioned	imsemmi hawn fuq
aforesaid	hawn fuq imsemmi
afraid	jibżgħu
afresh	mill-ġdid
african	Afrikan
aft	wara
afterlife	wara l-ħajja
aftermath	konsegwenzi
afternoon	wara nofsinhar
aftershave	wara aftershave
aftertaste	aftertaste
afterthought	wara l-ħsibt
aga	NO TRANSLATION
agape	agape
agate	agate
age	età
aged	età
agency	aġenzija
agenda	aġenda
agent	aġent
agglomeration	agglomerazzjoni
aggravate	taggrava
aggravated	aggravat
aggravates	taggrava
aggravating	aggravanti
aggravation	aggravament
aggregate	aggregat
aggregation	aggregazzjoni
aggresive	NO TRANSLATION
aggression	aggressjoni
aggressive	aggressiva
aggressively	aggressiv
aggressiveness	aggressività
aggressor	aggressur
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	b'aġilità
agility	b'aġilità
aging	tixjiħ
agitate	ħawwad
agitated	aġitat
agitation	aġitazzjoni
aglow	aglow
agnostic	agnostiku
ago	ilu
agonizing	agonizing
agony	agunija
agoraphobia	agorafobija
agree	jaqblu
agreeable	aċċettabbli
agreed	miftiehem
agreeing	qbil
agreement	ftehim
agressive	NO TRANSLATION
agricultural	agrikoli
agriculture	agrikoltura
aground	inħawi
agua	NO TRANSLATION
ahead	quddiem
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	għajnuna
aide	aide
aiding	għajnuna
aids	għajnuniet
ail	ail
ailing	mdgħajjef
ailment	marda
aim	jimmiraw
aimless	mingħajr għan
air	arja
airbag	airbag
airborne	fl-ajru
aircraft	ajruplani
aircraft carrier	trasportatur tal-ajruplani
airfield	ajruport
airhead	airhead
airlift	titjira bl-ajru
airline	linja ta 'l-ajru
airliner	ajruplan
airlock	airlock
airman	airman
airplane	ajruplan
airport	ajruport
airs	ajru
airship	airship
airspace	l-ispazju ta 'l-ajru
airspeed	Veloċità tal-veloċità
airstrip	ajruplan
airtight	ma jgħaddix arja minnha
airway	passaġġ tan-nifs
aisle	nisel
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	simili
alabaster	alabastru
alarm	allarm
alarm clock	arloġġ ta 'allarm
alarmed	allarmat
alarming	allarmanti
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	Albino
album	album
alchemy	Alchemy
alcohol	alkoħol
alcoholic	alkoħoliku
alcoholism	alkoħoliżmu
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	allert
alertness	viġilanza
alerts	allerti
alfalfa	alfalfa
algebra	alġebra
algebraic	alġebrin
algorithm	algoritmu
alias	alias
alibi	alibi
alien	aljeni
alienate	aljenati
alienated	aljenati
alienation	aljenazzjoni
alight	mixgħul
align	allinjament
aligned	allinjat
alignment	allinjament
alike	bl-istess mod
alimentation	NO TRANSLATION
alimony	manteniment
aliquot	alikwot
alive	ħaj
alkali	alkali
alkaloids	alkalojdi
allay	ittaffi
allegation	allegazzjoni
allege	allege
alleged	allegat
allegiance	lealtà
allegorical	allegoriku
allegory	allegory
allegro	allegro
allergic	allerġiku
allergy	allerġija
alleviate	ittaffi
alleviation	it-taffija
alley	sqaq
alleyway	alleyway
alliance	alleanza
allied	alleati
alligator	alligatur
allocate	talloka
allocation	allokazzjoni
allot	allok
allotment	allokazzjoni
allow	jippermettu
allowable	permissibbli
allowance	allowance
allowed	permess
alloy	liga
allsmiles	NO TRANSLATION
allure	allure
alluring	alluring
allusion	allużjoni
alluvial	alluvjali
ally	alleat
almanac	almanakk
almighty	omnipotenti
almond	lewż
aloft	aloft
aloha	aloha
alone	waħdu
alongside	flimkien
aloof	aloof
aloud	b'leħen għoli
alpha	alpha
alphabet	alfabet
alphabetical	alfabetiku
alpine	alpini
alreadyyyyy	diġà
altar	altar
altar boy	tifel ta 'l-artal
alter	tbiddel
alteration	alterazzjoni
altercation	altercation
altered	mibdula
alternate	sostitut
alternating	jalterna
alternative	alternattiva
altimeter	altimetru
altitude	altitudni
alto	alto
altogether	għal kollox
aluminum	aluminju
alumnus	alumnus
alveolar	alveolari
alzheimers	NO TRANSLATION
amalgam	amalgama
amalgamation	amalgamazzjoni
amaretto	amaretto
amass	amass
amateur	dilettanti
amaze	amaze
amazed	étonné
amazedness	NO TRANSLATION
amazement	b'dispjaċir
amazing	aqwa
amazingly	amazingly
ambassador	Ambaxxatur
amber	ambra
ambience	atmosfera
ambient	ambjent
ambiguity	ambigwità
ambiguous	ambigwu
ambit	Ambitu
ambition	ambizzjoni
ambitious	ambizzjuż
ambivalent	ambivalenti
ambrosia	ambrosia
ambulance	ambulanza
ambush	imbotta
ameliorate	ittejjeb
amen	amen
amenable	amenabbli
amend	temenda
amendment	emenda
amends	temenda
amenity	kumdità
amethyst	amethyst
amiable	amiable
amicable	amikevoli
amid	f'nofs
amidst	f'nofs
amino	amino
ammo	Ammo
ammonia	ammonja
ammonium	ammonju
ammunition	munizzjon
amnesia	amnesija
amnesty	amnestija
amorous	amoruż
amorphous	amorfu
amortization	amortizzazzjoni
amount	ammont
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamini
amphibian	anfibju
amphibious	anfibji
amphitheater	amfiteatru
ample	abbundanti
amplification	amplifikazzjoni
amplify	amplifikazzjoni
amplitude	amplitudni
amply	b'mod sħiħ
amputate	amputate
amputation	amputazzjoni
amuck	Amuck
amulet	amulet
amuse	amuse
amused	amused
amusement	divertiment
amusing	divertenti
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anestesija
anaesthetic	anestetiku
anagram	anagram
anal	anali
analgesic	analġeżiku
analogous	simili
analogue	analogu
analogy	analoġija
analysis	analiżi
analyst	analista
analytic	analitiku
analytical	analitiċi
analyze	tanalizza
analyzer	analizzatur
anaphylactic	anafilattiku
anarchism	Anarkiżmu
anarchist	anarkista
anarchy	anarkija
anastomosis	anastomosi
anathema	anatema
anatomic	anatomiku
anatomy	anatomija
ancestor	antenat
ancestral	antenati
ancestry	antenati
anchor	ankra
anchorage	ankraġġ
ancient	antika
ancillary	anċillari
androgen	Androgen
android	android
anecdote	anecdote
anemia	anemija
anemic	anemiku
anemone	anemone
anesthesia	anestesija
anesthesiologist	anestesjologu
anesthetic	anestetiku
aneurysm	anewriżmu
anew	mill-ġdid
angel	anġlu
angelic	angelic
anger	rabja
angered	irrabjat
angermanagement	NO TRANSLATION
angina	anġina
angiogram	angiogram
angiography	anġjografija
angle	angolu
angling	sajd bil-qasba
angora	angora
angriest	l-aktar rrabjata
angry	rrabjata
angrytweet	NO TRANSLATION
angst	angst
anguish	anguish
anguished	anguished
angular	angolari
anhydrous	anidru
animal	annimal
animate	animate
animated	animati
animation	animazzjoni
animosity	animosità
animus	animus
ankle	għaksa
anklet	anklet
annals	Annals
annex	anness
annexation	annessjoni
annexe	NO TRANSLATION
annihilate	annihilate
annihilated	annihilated
annihilation	annihilation
anniversary	anniversarju
annotate	annotazzjoni
annotation	annotazzjoni
announce	tħabbar
announcement	tħabbira
announcer	announcer
annoy	annoy
annoyance	dwejjaq
annoyed	imdejqa
annoyin	NO TRANSLATION
annoying	annoying
annoys	annoys
annual	ta 'kull sena
annuity	annwalità
annul	tannulla
annular	annulari
annulment	annullament
annulus	annulus
anointed	anointed
anointing	anointing
anomalous	anomali
anomaly	anomalija
anon	anon
anonymity	anonimità
anonymous	anonimu
anorexic	anoressiku
answer	risposta
answerable	responsabbli
answering	tweġib
ant	ant
antagonism	antagoniżmu
antagonist	antagonist
antagonistic	antagonistiku
antagonize	antagonize
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelope
antenna	antenna
anterior	anterior
anthem	innu
anthill	antillazzjoni
anthology	antoloġija
anthrax	anthrax
anthropological	antropoloġiku
anthropologist	antropologu
anthropology	antropoloġija
anti	kontra
antiaircraft	antiaircraft
antibiotic	antibijotiku
antibiotics	antibijotiċi
antichrist	antichrist
anticipate	jantiċipaw
anticipation	antiċipazzjoni
anticipatory	antiċipatorju
antics	antics
antidote	antidotu
antifungal	antifungali
antigravity	antigravity
antimony	antimonju
antipathy	antipatija
antiquarian	antiquarian
antiquated	antikwati
antique	antikità
antiques	antikitajiet
antiquity	antikità
antiseptic	antisettiku
antisocial	antisoċjali
antithesis	antiteżi
antithetical	antitetiku
antiviral	antivirali
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	ansjetà
anxietyattack	NO TRANSLATION
anxious	anzjuż
anxiousness	ansjeta '
anytime	ghaċ
aorta	aorta
aortic	aortika
apace	apace
apache	apache
apartment	appartament
apartments	appartamenti
apathetic	apathetic
apathy	apatija
ape	Ape
aperture	apertura
apex	quċċata
aphid	pulzier
aphrodisiac	aphrodisiac
apiece	biċċa
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apokaliptiku
apologetic	apologetic
apologist	apologist
apologize	ruhna
apology	apoloġija
apostasy	apostasija
apostate	apostate
apostle	appostlu
apostolic	appostolika
apostrophe	apostrophe
apothecary	spiżjar
appalled	imbarazzat
appalling	terribbli
apparatus	apparat
apparel	ilbies
apparent	apparenti
apparently	apparentement
apparition	apparition
appeal	appell
appear	jidhru
appearance	apparenza
appease	appease
appellant	appellant
append	append
appendage	appendagg
appendectomy	appendectomy
appendicitis	appendicitis
appendix	Appendiċi
appetite	aptit
appetizer	appetizer
appetizing	appetizing
applaud	applaud
applause	ċapċip
apple	tuffieħ
apple juice	meraq tat-tuffieħ
applejack	applejack
applesauce	tuffieħ
appliance	appliance
appliances	apparat
applicability	applikabilità
applicable	applikabbli
applicant	applikant
application	applikazzjoni
apply	japplikaw
appoint	jaħtar
appointment	ħatra
appointments	ħatriet
apportion	tqassim
apportionment	tqassim
appraisal	stima
appraise	tivvaluta
appreciable	apprezzabbli
appreciate	napprezzaw
appreciated	apprezzat
appreciates	japprezza
appreciation	apprezzament
appreciative	apprezzattiv
apprehend	jinqabad
apprehension	arrest
apprehensive	apprehensive
apprentice	apprendist
apprenticeship	apprendistat
approach	approċċ
approaching	toqrob
approbate	NO TRANSLATION
approbation	approvazzjoni
appropriate	xieraq
appropriation	approprjazzjoni
approval	approvazzjoni
approve	tapprova
approved	approvat
approvement	approvazzjoni
approving	tapprova
approximate	approssimattiv
approximately	approssimattivament
approximating	approssimazzjoni
approximation	approssimazzjoni
appurtenances	appurtenances
apricot	berquq
apron	fradal
apt	apt
aptitude	aptitude
aqua	aqua
aquamarine	aquamarine
aquarium	akwarju
aquatic	akkwatiċi
aqueduct	akwedott
aqueous	akweju
arable	arable
arbiter	arbitru
arbitrary	arbitrarju
arbitrate	arbitraġġ
arbitration	arbitraġġ
arbitrator	arbitru
arbor	arbor
arc	ark
arcade	arcade
arcane	arcane
arch	arch
archaeological	arkeoloġiku
archaeologist	arkeologu
archaeology	arkeoloġija
archaic	arkajka
archangel	archangel
archbishop	arċisqof
archdiocese	Arċidjoċesi
archduke	archduke
arched	arched
archer	Archer
archery	qwas
archetype	archetype
archipelago	arċipelagu
architect	perit
architectural	arkitettoniku
architecture	arkitettura
archive	arkivju
arctic	Artiku
ardent	ardenti
ardor	ardor
arduous	diffiċli
area	żona
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumenta
argument	argument
argumentation	argumentazzjoni
argumentative	argumentattiv
arguments	argumenti
arid	aridi
arise	jinqalgħu
aristocracy	aristokrazija
aristocrat	aristocrat
aristocratic	aristokratika
arithmetic	aritmetika
ark	arka
arm	driegħ
armada	armada
armament	armament
armaments	armamenti
armature	armature
armchair	pultruna
armed	armati
armor	armatura
armored	armatura
armory	armory
armpit	armpit
arms	armi
army	armata
aroma	aroma
aromatherapy	aromatherapy
arousal	tqanqil
arouse	iqajjem
aroused	qajjem
arraignment	arraignment
arrange	jirranġa
arranged	irranġat
arrangement	arranġament
array	firxa
arrears	arretrati
arrest	arrest
arrhythmia	arritmija
arrival	wasla
arrive	jaslu
arrogance	arroganza
arrogant	arroganti
arrow	vleġġa
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arseniku
arson	ħruq
arsonist	arsonist
art	art
arterial	arterjali
artery	arterja
artful	artful
arthritis	artrite
arthropod	artropodi
artichoke	qaqoċċ
article	artikolu
articles	artikoli
articulate	artikolazzjoni
articulation	artikolazzjoni
artifact	artifact
artifice	artifice
artificial	artifiċjali
artillery	artillerija
artisan	artiġjanali
artist	artist
artiste	NO TRANSLATION
artistic	artistiku
artistry	artisti
artists	artisti
artwork	xogħol ta 'l-arti
arty	arty
asap	asap
asbestos	asbestos
ascend	jogħla
ascendancy	axxendenza
ascendant	axxendent
ascending	axxendenti
ascension	tlugħ
ascent	ascent
ascertain	aċċerta ruħek
ascertained	aċċertat
ascetic	aċetiku
ash	irmied
ashamed	ashamed
ashes	irmied
ashtray	ashtray
asinine	asinine
ask	staqsi
asleeep	NO TRANSLATION
asleep	rieqed
asp	asp
asparagus	asparagu
aspartame	aspartame
aspect	Aspett
aspects	aspetti
aspen	aspen
asphalt	asfalt
asphyxia	asfissija
asphyxiation	asfissija
aspiration	l-aspirazzjoni
aspire	jaspira
aspirin	aspirina
aspiring	aspiring
ass	ħmar
assail	assail
assailant	assailant
assassin	assassin
assassinate	assassinate
assassination	qtil
assault	attakk
assay	assaġġ
assemblage	assemblaġġ
assemble	immuntati
assembled	immuntati
assembly	assemblaġġ
assemblyman	assemblyman
assent	kunsens
assert	tafferma
asserting	tafferma
assertion	affermazzjoni
assertive	assertiv
assess	tevalwa
assessment	valutazzjoni
assessor	assessur
asset	assi
assets	assi
asshole	asshole
assign	tassenja
assignee	assenjatarju
assignment	assenjazzjoni
assimilate	assimilat
assimilation	assimilazzjoni
assist	tassisti
assistance	assistenza
assistant	Assistent
associate	assoċjat
association	assoċjazzjoni
assorted	assortita
assortment	assortiment
assuage	assuage
assume	tassumi
assumed	jassumi
assuming	jassumi
assumption	suppożizzjoni
assurance	assigurazzjoni
assure	tassigura
assured	assigurat
assuredly	assuredly
asterisk	asterisk
asteroid	asteroid
asteroids	asteroids
asthma	ażma
asthmatic	ażmatiċi
astigmatism	astigmatism
astonish	astunizza
astonished	sorpriż
astonishing	zaskakuje
astonishingly	NO TRANSLATION
astonishment	sturdament
astound	astound
astral	astral
astray	jinqerdu
astringent	astringenti
astrologer	astrologer
astrology	astrology
astronaut	astronawt
astronomer	astronomu
astronomical	astronomiku
astronomy	astronomija
astute	astute
asunder	asunder
asylum	ażil
asymmetric	asimmetrika
asymmetry	assimetrija
asymptotic	asintotiku
atelier	atelier
atheism	atheism
atheist	atheist
atheistic	atea
atherosclerosis	aterosklerożi
athlete	atleta
athletic	atletiku
athleticism	atletiżmu
athletics	atletika
atlas	atlas
atmosphere	atmosfera
atmospheric	atmosferiku
atoll	atoll
atom	atomu
atomic	atomiku
atone	atone
atonement	atonement
atpeace	atpeace
atrium	atrium
atrocious	atrocious
atrocity	atroċita
atrophy	atrofija
attach	ehmeż
attached	mehmuża
attachment	sekwestru
attack	attakk
attacker	attakkant
attacking	attakk
attain	tilħaq
attainable	li jista 'jinkiseb
attainment	kisba
attempt	tentattiv
attempted	attentat
attend	tattendi
attendance	attendenza
attendant	attendant
attention	attenzjoni
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	attent
attenuate	attenwat
attenuated	attenwat
attenuation	attenwazzjoni
attest	tafferma
attestation	attestazzjoni
attic	attic
attire	attire
attitude	attitudni
attorney	prokuratur
attract	tattira
attraction	attrazzjoni
attractive	attraenti
attractiveness	attrazzjoni
attributable	attribwibbli
attribute	attribut
attribution	attribuzzjoni
attrition	attrizzjoni
auburn	auburn
auction	irkant
auctioneer	irkantatur
audacious	audacious
audacity	audacity
audible	jinstemgħu
audience	udjenza
audio	awdjo
audit	awditjar
audition	audizzjoni
auditions	auditions
auditor	awditur
auditorium	auditorium
auditory	smigħ
aught	aught
augment	iżżid
augmentation	żieda
august	Awissu
aunt	zija
auntie	auntie
aura	aura
aurora	aurora
auspices	awspiċji
auspicious	awspiċju
austere	awster
austerity	awsterità
authentic	awtentiku
authenticate	awtentikar
authentication	awtentikazzjoni
authenticity	awtentiċità
author	awtur
authoritative	awtorevoli
authority	awtorità
authorization	awtorizzazzjoni
authorize	tawtorizza
authorized	awtorizzat
authorship	awtur
autism	awtiżmu
autistic	awtistiku
auto	auto
autobiographical	awtobijografiku
autobiography	autobiography
autocorrect	awtokorrezzjoni
autocratic	awtokratiku
autograph	awtografu
autographed	awtografat
automated	awtomatizzat
automatic	awtomatiku
automobile	tal-karozzi
automotive	tal-karozzi
autonomy	awtonomija
autopilot	awtopilota
autopsy	awtopsja
autumn	ħarifa
auxiliary	awżiljarju
avail	użu
availability	disponibbiltà
available	disponibbli
avalanche	valanga
avarice	avarice
avatar	avatar
avenge	jpattuha
avenger	avenger
avenging	vending
avenue	avenue
aver	NO TRANSLATION
average	medja
aversation	NO TRANSLATION
averse	averse
averseness	averseness
aversion	aversjoni
avert	evita
aviary	Aviary
aviation	avjazzjoni
aviator	Aviator
avid	avid
avocado	avokado
avoid	jevitaw
avoidance	evitar
avoiding	tevita
await	tistenna
awake	imqajjem
awaken	qawmien
awakening	qawmien
award	għotja
awards	premjijiet
aware	konxji
awareness	kuxjenza
awe	NO TRANSLATION
awed	awed
awesome	biża '
awesomeness	awesomeness
awestruck	awestruck
awful	orribbli
awkward	strambi
awkwardness	awkwardità
awning	awning
awry	awry
axe	mannara
axial	axjali
axiom	axiom
axiomatic	axiomatiċi
axis	assi
axle	fus
ay	ay
aye	aye
azimuth	ażimut
azure	azure
babble	babble
babbling	babbling
babe	babe
baboon	babuni
baby	tarbija
babysit	babysit
babysitter	babysitter
baccalaureate	baccalaureate
baccarat	Baccarat
bachelor	baċċellerat
bachelorette	bachelorette
back	lura
backboard	backboard
backbone	sinsla tad-dahar
backdoor	bieb ta 'wara
backdrop	isfond
backer	backer
backfire	daqqa ta 'wara
backgammon	backgammon
background	sfond
backhand	backhand
backhoe	irfinar
backoff	backoff
backpack	backpack
backpacker	backpacker
backroom	backroom
backseat	backseat
backside	dahar
backtrack	lura
backup	backup
backward	lura
backwardness	ritard
backwards	lura
backwater	backwater
backwoods	injam ta 'wara
backyard	arrière
bacon	bacon
bacteria	batterji
bacterial	batterjali
bacterium	batterju
bad	ħżiena
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	badger
badhabit	NO TRANSLATION
badly	ħażin
badness	ħżiena
baffle	baffle
baffled	baffled
bag	borża
bagel	bagel
baggage	bagalji
baggie	Baggie
baggy	baggy
bagman	bagman
bagpipes	bagpipes
bail	bail
bailiff	bailiff
bait	lixka
bake	bake
bakery	furnara
baking	ħami
bal	NO TRANSLATION
balance	bilanċ
balanced	bilanċjat
balcony	gallarija
bald	qargħi
balding	balding
baldy	baldy
bale	balla
balk	balk
ball	ballun
ballad	balal
ballast	tas-saborra
ballerina	ballerina
ballet	ballet
ballgame	ballun tal-futbol
ballistic	ballistiċi
ballistics	ballistika
balloon	bużżieqa
ballot	votazzjoni
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	blalen
balm	balzmu
balmy	balmy
balsam	balzmu
balsamic	balsamiku
bam	bam
bamboo	bambu
ban	NO TRANSLATION
banana	banana
band	band
bandage	faxxa
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandstand
bandwagon	bandwagon
bandwidth	bandwidth
bane	bane
bang	bang
banger	barger
banish	banish
banished	banjat
banishment	tbegħid
banister	banister
banjo	banjo
bank	bank
banker	bankier
banking	banek
bankroll	bankroll
bankrupt	falluta
bankruptcy	falliment
banner	banner
banquet	banquet
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	magħmudija
baptismal	magħmudija
baptize	baptize
bar	bar
barb	barb
barbarian	barbarian
barbaric	barbaric
barbarism	barbariżmu
barbecue	barbecue
barbed	barbed
barber	barber
barbershop	barbershop
barbie doll	pupi Barbie
bard	bard
bare	mikxuf
bareback	bareback
barefoot	barefoot
barely	bilkemm
barf	barf
bargain	bargain
bargaining	negozjar
barge	barkun
baritone	baritonu
barium	barju
bark	qoxra
barkeep	barkeep
barks	barks
barley	xgħir
barmaid	barmaid
barman	barman
barn	barn
barnacle	barnacle
barney	barney
barnyard	barnyard
barometer	barometru
baron	Baron
baroness	barunessa
baroque	barokka
barrack	barrack
barracuda	barracuda
barrage	barrage
barred	preskritta
barrel	barmil
barren	ibridi
barricade	barricade
barrier	barriera
barring	preskrizzjoni
barrister	barrister
barroom	barroom
barrow	barrow
bartender	bartender
barter	tpartit
base	bażi
baseball	baseball
baseball bat	baseball bat
baseboard	baseboard
baseless	bla bażi
