Word	pt
advancing	avançando
advantage	vantagem
advantageous	vantajoso
advent	advento
adventure	aventura
adventurer	aventureiro
adventures	aventuras
adventurous	aventureiro
adversary	adversário
adverse	desfavoraveis
adversity	adversidade
advertise	anunciar
advertisement	propaganda
advertising	propaganda
adverts	anúncios
advice	conselhos
advisable	aconselhável
advise	aconselhar
advised	aconselhado
advisement	assessoria
adviser	conselheiro
advisor	orientador
advisory	consultivo
advocacy	advocacia
advocate	advogado
aegis	égide
aeration	arejamento
aerial	aéreo
aerobics	aeróbica
aerodrome	aeródromo
aerodynamic	aerodinâmico
aerodynamics	aerodinâmica
aeronautics	aeronáutica
aeroplane	avião
aerospace	aeroespacial
aesthetic	estético
aesthetics	estética
aetiology	etiologia
afar	longe
affable	afável
affair	caso
affect	afetar
affecting	afetando
affection	afeição
affectionate	afetuoso
affections	afeições
affiche	NO TRANSLATION
affidavit	depoimento
affiliated	afiliado
affiliation	afiliação
affinity	afinidade
affirm	afirmar
affirmation	afirmação
affirmative	afirmativo
affirmatively	afirmativamente
affix	afixo
afflict	afligir
afflicted	aflito
affliction	aflição
affluence	afluência
affluent	afluente
afford	proporcionar
affordable	acessível
affront	afronta
affronted	afrontado
afield	longe
afire	um fogo
afloat	à tona
afore	antes
aforementioned	acima mencionado
aforesaid	supramencionado
afraid	receoso
afresh	de novo
african	africano
aft	ré
afterlife	vida após a morte
aftermath	rescaldo
afternoon	tarde
aftershave	loção pós-barba
aftertaste	sabor residual
afterthought	reflexão tardia
aga	NO TRANSLATION
agape	ágape
agate	ágata
age	era
aged	envelhecido
agency	agência
agenda	agenda
agent	agente
agglomeration	aglomeração
aggravate	agravar
aggravated	agravado
aggravates	agrava
aggravating	agravante
aggravation	agravamento
aggregate	agregar
aggregation	agregação
aggresive	NO TRANSLATION
aggression	agressão
aggressive	agressivo
aggressively	agressivamente
aggressiveness	agressividade
aggressor	agressor
agh	agh
aghast	espantado
aghhh	NO TRANSLATION
agile	ágil
agility	agilidade
aging	envelhecimento
agitate	agitar
agitated	agitado
agitation	agitação
aglow	incandescente
agnostic	agnóstico
ago	atrás
agonizing	agonizante
agony	agonia
agoraphobia	agorafobia
agree	aceita
agreeable	agradável
agreed	acordado
agreeing	concordando
agreement	acordo
agressive	NO TRANSLATION
agricultural	agrícola
agriculture	agricultura
aground	encalhado
agua	NO TRANSLATION
ahead	adiante
ahhh	Ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	ajuda
aide	ajudante
aiding	ajudando
aids	Auxilia
ail	tudo
ailing	doente
ailment	doença
aim	alvo
aimless	sem propósito
air	ar
airbag	airbag
airborne	no ar
aircraft	aeronave
aircraft carrier	porta-aviões
airfield	aeródromo
airhead	cabeça de ar
airlift	transporte aéreo
airline	CIA aérea
airliner	avião de passageiros
airlock	airlock
airman	aviador
airplane	avião
airport	aeroporto
airs	areja
airship	dirigível
airspace	espaço aéreo
airspeed	velocidade aerodinâmica
airstrip	pista de pouso
airtight	hermético
airway	via aérea
aisle	corredor
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	aparentado
alabaster	alabastro
alarm	alarme
alarm clock	despertador
alarmed	alarmado
alarming	alarmante
alas	infelizmente
alb	NO TRANSLATION
albatross	albatroz
albino	albino
album	álbum
alchemy	alquimia
alcohol	álcool
alcoholic	alcoólico
alcoholism	alcoolismo
alcove	alcova
alderman	vereador
ale	NO TRANSLATION
alert	alerta
alertness	estado de alerta
alerts	alertas
alfalfa	alfafa
algebra	álgebra
algebraic	algébrico
algorithm	algoritmo
alias	alias
alibi	álibi
alien	estrangeiro
alienate	alienar
alienated	alienado
alienation	alienação
alight	aceso
align	alinhar
aligned	alinhados
alignment	alinhamento
alike	semelhante
alimentation	NO TRANSLATION
alimony	pensão alimentícia
aliquot	alíquota
alive	vivo
alkali	alcalino
alkaloids	alcaloides
allay	acalmar
allegation	alegação
allege	alegar
alleged	alegado
allegiance	fidelidade
allegorical	alegórico
allegory	alegoria
allegro	allegro
allergic	alérgico
allergy	alergia
alleviate	aliviar
alleviation	alívio
alley	beco
alleyway	beco
alliance	aliança
allied	aliado
alligator	jacaré
allocate	distribuir
allocation	alocação
allot	dividir
allotment	loteamento
allow	permitir
allowable	admissível
allowance	abono
allowed	permitido
alloy	Liga
allsmiles	NO TRANSLATION
allure	seduzir
alluring	sedutor
allusion	alusão
alluvial	aluvial
ally	aliado
almanac	almanaque
almighty	onipotente
almond	amêndoa
aloft	no alto
aloha	aloha
alone	sozinho
alongside	ao lado
aloof	distante
aloud	em voz alta
alpha	alfa
alphabet	alfabeto
alphabetical	alfabético
alpine	alpino
alreadyyyyy	jáyyyyy
altar	altar
altar boy	coroinha
alter	alterar
alteration	alteração
altercation	altercação
altered	alterado
alternate	alternar
alternating	alternando
alternative	alternativa
altimeter	altímetro
altitude	altitude
alto	alto
altogether	completamente
aluminum	alumínio
alumnus	ex-aluno
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amálgama
amalgamation	amalgamação
amaretto	amaretto
amass	acumular
amateur	amador
amaze	surpreender
amazed	espantado
amazedness	NO TRANSLATION
amazement	espanto
amazing	surpreendente
amazingly	Surpreendentemente
ambassador	embaixador
amber	âmbar
ambience	ambiente
ambient	ambiente
ambiguity	ambiguidade
ambiguous	ambíguo
ambit	âmbito
ambition	ambição
ambitious	ambicioso
ambivalent	ambivalente
ambrosia	ambrosia
ambulance	ambulância
ambush	emboscada
ameliorate	melhorar
amen	um homem
amenable	receptivo
amend	emendar
amendment	emenda
amends	emendar
amenity	amenidade
amethyst	ametista
amiable	amável
amicable	amigável
amid	Entre
amidst	no meio
amino	amino
ammo	munição
ammonia	amônia
ammonium	amônio
ammunition	munição
amnesia	amnésia
amnesty	anistia
amorous	amoroso
amorphous	amorfo
amortization	amortização
amount	montante
amour	NO TRANSLATION
amp	amp
ampersand	e comercial
amphetamines	anfetaminas
amphibian	anfíbio
amphibious	anfíbio
amphitheater	anfiteatro
ample	amplo
amplification	amplificação
amplify	amplificar
amplitude	amplitude
amply	amplamente
amputate	amputar
amputation	amputação
amuck	amuck
amulet	amuleto
amuse	divertir
amused	divertido
amusement	diversão
amusing	divertido
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anestesia
anaesthetic	anestésico
anagram	anagrama
anal	anal
analgesic	analgésico
analogous	análogo
analogue	análogo
analogy	analogia
analysis	análise
analyst	analista
analytic	analítico
analytical	analítico
analyze	analisar
analyzer	analisador
anaphylactic	anafilatico
anarchism	anarquismo
anarchist	anarquista
anarchy	anarquia
anastomosis	anastomose
anathema	anátema
anatomic	anatômico
anatomy	anatomia
ancestor	antepassado
ancestral	ancestral
ancestry	ascendência
anchor	âncora
anchorage	ancoragem
ancient	antigo
ancillary	auxiliar
androgen	andrógeno
android	android
anecdote	anedota
anemia	anemia
anemic	anêmico
anemone	anêmona
anesthesia	anestesia
anesthesiologist	Anestesista
anesthetic	anestésico
aneurysm	aneurisma
anew	um novo
angel	anjo
angelic	angélico
anger	raiva
angered	irritado
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiograma
angiography	angiografia
angle	ângulo
angling	pesca
angora	angorá
angriest	mais raivoso
angry	Bravo
angrytweet	NO TRANSLATION
angst	angústia
anguish	angústia
anguished	angustiado
angular	angular
anhydrous	anidro
animal	animal
animate	animar
animated	animado
animation	animação
animosity	antipatia
animus	animus
ankle	tornozelo
anklet	tornozeleira
annals	anais
annex	anexo
annexation	anexação
annexe	NO TRANSLATION
annihilate	aniquilar
annihilated	aniquilado
annihilation	aniquilação
anniversary	aniversário
annotate	anotar
annotation	anotação
announce	anunciar
announcement	anúncio
announcer	locutor
annoy	incomodar
annoyance	aborrecimento
annoyed	irritado
annoyin	NO TRANSLATION
annoying	irritante
annoys	irrita
annual	anual
annuity	anuidade
annul	anular
annular	anular
annulment	anulação
annulus	anel
anointed	ungido
anointing	unção
anomalous	anômalo
anomaly	anomalia
anon	anon
anonymity	anonimato
anonymous	anônimo
anorexic	anoréxica
answer	responda
answerable	responsável
answering	respondendo
ant	formiga
antagonism	antagonismo
antagonist	antagonista
antagonistic	antagônico
antagonize	antagonizar
ante	NO TRANSLATION
antecedent	antecedente
antelope	antílope
antenna	antena
anterior	anterior
anthem	hino
anthill	formigueiro
anthology	antologia
anthrax	antraz
anthropological	antropológico
anthropologist	antropólogo
anthropology	antropologia
anti	anti
antiaircraft	antiaéreo
antibiotic	antibiótico
antibiotics	antibióticos
antichrist	anticristo
anticipate	antecipar
anticipation	antecipação
anticipatory	antecipatório
antics	palhaçadas
antidote	antídoto
antifungal	antifúngico
antigravity	anti-gravidade
antimony	antimônio
antipathy	antipatia
antiquarian	antiquário
antiquated	antiquado
antique	Antiguidade
antiques	antiguidades
antiquity	antiguidade
antiseptic	antisséptico
antisocial	anti-social
antithesis	antítese
antithetical	antitético
antiviral	antiviral
antler	antler
antsy	antsy
anus	ânus
anvil	bigorna
anxiety	ansiedade
anxietyattack	NO TRANSLATION
anxious	ansioso
anxiousness	ansiedade
anytime	a qualquer momento
aorta	aorta
aortic	aórtica
apace	ritmo
apache	apache
apartment	apartamento
apartments	apartamentos
apathetic	apático
apathy	apatia
ape	macaco
aperture	abertura
apex	ápice
aphid	afídio
aphrodisiac	afrodisíaco
apiece	um pedaço
aplomb	aplomb
apocalypse	apocalipse
apocalyptic	apocalíptico
apologetic	apologético
apologist	apologista
apologize	pedir desculpas
apology	desculpa
apostasy	apostasia
apostate	apóstata
apostle	apóstolo
apostolic	apostólico
apostrophe	apóstrofo
apothecary	boticário
appalled	chocado
appalling	aterrador
apparatus	aparelho
apparel	vestuário
apparent	aparente
apparently	pelo visto
apparition	aparição
appeal	recurso
appear	aparecer
appearance	aparência
appease	apaziguar
appellant	recorrente
append	acrescentar
appendage	apêndice
appendectomy	apendicectomia
appendicitis	apendicite
appendix	apêndice
appetite	apetite
appetizer	Aperitivo
appetizing	apetitoso
applaud	aplaudir
applause	aplauso
apple	maçã
apple juice	suco de maçã
applejack	aguardente de maçã
applesauce	compota de maçã
appliance	utensílio
appliances	eletrodomésticos
applicability	aplicabilidade
applicable	aplicável
applicant	candidato
application	aplicação
apply	Aplique
appoint	nomear
appointment	compromisso
appointments	compromissos
apportion	repartir
apportionment	repartição
appraisal	avaliação
appraise	avaliar
appreciable	apreciável
appreciate	apreciar
appreciated	estimado
appreciates	aprecia
appreciation	apreciação
appreciative	apreciativo
apprehend	apreender
apprehension	apreensão
apprehensive	apreensivo
apprentice	Aprendiz
apprenticeship	aprendizagem
approach	abordagem
approaching	Aproximando
approbate	NO TRANSLATION
approbation	aprovação
appropriate	apropriado
appropriation	apropriação
approval	aprovação
approve	aprovar
approved	aprovado
approvement	aprovação
approving	aprovando
approximate	aproximado
approximately	aproximadamente
approximating	aproximando
approximation	aproximação
appurtenances	pertences
apricot	Damasco
apron	avental
apt	apt
aptitude	aptidão
aqua	aqua
aquamarine	água-marinha
aquarium	aquário
aquatic	aquático
aqueduct	aqueduto
aqueous	aquoso
arable	arável
arbiter	árbitro
arbitrary	arbitrário
arbitrate	arbitrar
arbitration	arbitragem
arbitrator	árbitro
arbor	mandril
arc	arco
arcade	videogames
arcane	arcano
arch	arco
archaeological	arqueológico
archaeologist	arqueólogo
archaeology	arqueologia
archaic	arcaico
archangel	arcanjo
archbishop	arcebispo
archdiocese	arquidiocese
archduke	arquiduque
arched	arqueado
archer	arqueiro
archery	tiro com arco
archetype	arquétipo
archipelago	arquipélago
architect	arquiteto
architectural	arquitectónico
architecture	arquitetura
archive	arquivo
arctic	ártico
ardent	ardente
ardor	ardor
arduous	árduo
area	área
arena	arena
areola	aréola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumentar
argument	argumento
argumentation	argumentação
argumentative	argumentativo
arguments	argumentos
arid	árido
arise	surgir
aristocracy	aristocracia
aristocrat	aristocrata
aristocratic	aristocrático
arithmetic	aritmética
ark	arca
arm	braço
armada	armada
armament	armamento
armaments	armamentos
armature	armadura
armchair	poltrona
armed	armado
armor	armaduras
armored	blindado
armory	arsenal
armpit	axila
arms	braços
army	exército
aroma	aroma
aromatherapy	aromaterapia
arousal	excitação
arouse	despertar
aroused	excitado
arraignment	acusação
arrange	organizar
arranged	arranjado
arrangement	arranjo
array	array
arrears	atrasos
arrest	prender
arrhythmia	arritmia
arrival	chegada
arrive	chegar
arrogance	arrogância
arrogant	arrogante
arrow	flecha
arsehole	idiota
arseholes	idiotas
arsenal	arsenal
arsenic	arsênico
arson	incêndio culposo
arsonist	incendiário
art	arte
arterial	arterial
artery	artéria
artful	astuto
arthritis	artrite
arthropod	artrópode
artichoke	Alcachofra
article	artigo
articles	Artigos
articulate	articular
articulation	articulação
artifact	artefato
artifice	artifício
artificial	artificial
artillery	artilharia
artisan	artesão
artist	artista
artiste	NO TRANSLATION
artistic	artístico
artistry	arte
artists	artistas
artwork	obra de arte
arty	artilharia
asap	assim que possível
asbestos	amianto
ascend	subir
ascendancy	ascendência
ascendant	ascendente
ascending	ascendente
ascension	ascensão
ascent	subida
ascertain	verificar
ascertained	apurado
ascetic	ascético
ash	cinza
ashamed	envergonhado
ashes	cinzas
ashtray	cinzeiro
asinine	asinino
ask	pergunte
asleeep	NO TRANSLATION
asleep	adormecido
asp	asp
asparagus	espargos
aspartame	aspartame
aspect	aspecto
aspects	aspectos
aspen	aspen
asphalt	asfalto
asphyxia	asfixia
asphyxiation	asfixia
aspiration	aspiração
aspire	aspirar
aspirin	aspirina
aspiring	aspirando
ass	bunda
assail	atacar
assailant	assaltante
assassin	assassino
assassinate	assassinar
assassination	assassinato
assault	assalto
assay	ensaio
assemblage	assemblage
assemble	montar
assembled	montado
assembly	montagem
assemblyman	deputado
assent	assentimento
assert	afirmar
asserting	afirmando
assertion	afirmação
assertive	assertivo
assess	avaliar
assessment	avaliação
assessor	assessor
asset	de ativos
assets	ativos
asshole	Idiota
assign	atribuir
assignee	cessionário
assignment	tarefa
assimilate	assimilar
assimilation	assimilação
assist	ajudar
assistance	assistência
assistant	assistente
associate	associado
association	Associação
assorted	sortido
assortment	sortimento
assuage	assuje
assume	assumir
assumed	assumido
assuming	assumindo
assumption	suposição
assurance	garantia
assure	assegurar
assured	Assured
assuredly	seguramente
asterisk	asterisco
asteroid	asteróide
asteroids	asteróides
asthma	asma
asthmatic	asmático
astigmatism	astigmatismo
astonish	assombrar
astonished	atônito
astonishing	surpreendente
astonishingly	NO TRANSLATION
astonishment	espanto
astound	astound
astral	astral
astray	desgarrar
astringent	adstringente
astrologer	astrólogo
astrology	astrologia
astronaut	astronauta
astronomer	astrônomo
astronomical	astronômico
astronomy	astronomia
astute	astuto
asunder	em pedaços
asylum	asilo
asymmetric	assimétrico
asymmetry	assimetria
asymptotic	assintótico
atelier	atelier
atheism	ateísmo
atheist	ateu
atheistic	ateísta
atherosclerosis	aterosclerose
athlete	atleta
athletic	Atlético
athleticism	atletismo
athletics	atletismo
atlas	Atlas
atmosphere	atmosfera
atmospheric	atmosférico
atoll	atol
atom	átomo
atomic	atômico
atone	expiar
atonement	expiação
atpeace	em paz
atrium	átrio
atrocious	atroz
atrocity	atrocidade
atrophy	atrofia
attach	anexar
attached	em anexo
attachment	anexo
attack	ataque
attacker	atacante
attacking	atacante
attain	atingir
attainable	atingível
attainment	realização
attempt	tentativa
attempted	tentada
attend	comparecer
attendance	comparecimento
attendant	atendente
attention	atenção
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	atento
attenuate	atenuar
attenuated	atenuado
attenuation	atenuação
attest	atestar
attestation	atestado
attic	sótão
attire	traje
attitude	atitude
attorney	advogado
attract	atrai
attraction	atração
attractive	atraente
attractiveness	atratividade
attributable	atribuível
attribute	atributo
attribution	atribuição
attrition	atrito
auburn	ruivo
auction	leilão
auctioneer	leiloeiro
audacious	audacioso
audacity	audácia
audible	audível
audience	público
audio	áudio
audit	auditoria
audition	audição
auditions	audições
auditor	auditor
auditorium	auditório
auditory	auditivo
aught	aught
augment	aumentar
augmentation	aumento
august	agosto
aunt	tia
auntie	tia
aura	aura
aurora	aurora
auspices	auspícios
auspicious	auspicioso
austere	austero
austerity	austeridade
authentic	autêntico
authenticate	autenticar
authentication	autenticação
authenticity	autenticidade
author	autor
authoritative	autoritário
authority	autoridade
authorization	autorização
authorize	autorizar
authorized	autorizado
authorship	autoria
autism	autismo
autistic	autista
auto	auto
autobiographical	autobiográfico
autobiography	autobiografia
autocorrect	auto correção
autocratic	autocrático
autograph	autógrafo
autographed	autografado
automated	automatizado
automatic	automático
automobile	automóvel
automotive	automotivo
autonomy	autonomia
autopilot	piloto automático
autopsy	autópsia
autumn	outono
auxiliary	auxiliar
avail	aproveitar
availability	disponibilidade
available	acessível
avalanche	avalanche
avarice	avareza
avatar	avatar
avenge	vingar
avenger	vingador
avenging	vingando
avenue	Avenida
aver	NO TRANSLATION
average	média
aversation	NO TRANSLATION
averse	avesso
averseness	aversão
aversion	aversão
avert	evitar
aviary	aviário
aviation	aviação
aviator	aviador
avid	ávido
avocado	abacate
avoid	evitar
avoidance	evitar
avoiding	evitando
await	aguardam
awake	acordado
awaken	despertar
awakening	despertar
award	prêmio
awards	prêmios
aware	consciente
awareness	consciência
awe	NO TRANSLATION
awed	admirados
awesome	impressionante
awesomeness	grandiosidade
awestruck	apavorado
awful	horrível
awkward	desajeitado
awkwardness	estranheza
awning	toldo
awry	errado
axe	Machado
axial	axial
axiom	axioma
axiomatic	axiomático
axis	eixo
axle	eixo
ay	ay
aye	Sim
azimuth	azimute
azure	azure
babble	balbuciar
babbling	balbuciando
babe	querida
baboon	babuíno
baby	bebê
babysit	babá
babysitter	babá
baccalaureate	bacharelado
baccarat	bacará
bachelor	bacharel
bachelorette	solteira
back	costas
backboard	encosto
backbone	espinha dorsal
backdoor	Porta dos fundos
backdrop	pano de fundo
backer	apoiante
backfire	sair pela culatra
backgammon	gamão
background	fundo
backhand	backhand
backhoe	retroescavadeira
backoff	Recuar
backpack	mochila
backpacker	mochileiro
backroom	quarto dos fundos
backseat	banco de trás
backside	parte traseira
backtrack	voltar atrás
backup	cópia de segurança
backward	para trás
backwardness	atraso
backwards	para trás
backwater	atrasado
backwoods	sertão
backyard	quintal
bacon	bacon
bacteria	bactérias
bacterial	bacteriano
bacterium	bactéria
bad	mau
badass	fodão
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	crachá
badger	texugo
badhabit	NO TRANSLATION
badly	seriamente
badness	maldade
baffle	defletor
baffled	perplexo
bag	Bolsa
bagel	bagel
baggage	Bagagem
baggie	saquinho
baggy	folgado
bagman	bagman
bagpipes	gaita de fole
bail	fiança
bailiff	oficial de justiça
bait	isca
bake	assar
bakery	padaria
baking	cozimento
bal	NO TRANSLATION
balance	equilibrar
balanced	equilibrado
balcony	varanda
bald	Careca
balding	careca
baldy	Careca
bale	fardo
balk	balk
ball	bola
ballad	balada
ballast	lastro
ballerina	bailarina
ballet	balé
ballgame	jogo de bola
ballistic	balístico
ballistics	balística
balloon	balão
ballot	cédula
ballpark	estádio
ballplayer	jogador de bola
ballpoint	esferográfica
ballroom	salão de baile
ballsy	corajoso
balm	bálsamo
balmy	ameno
balsam	bálsamo
balsamic	balsâmico
bam	bam
bamboo	bambu
ban	NO TRANSLATION
banana	banana
band	banda
bandage	curativo
bandanna	NO TRANSLATION
bandit	bandido
bandstand	coreto
bandwagon	bandwagon
bandwidth	largura de banda
bane	bane
bang	estrondo
banger	banger
banish	banir
banished	banido
banishment	banimento
banister	corrimão
banjo	banjo
bank	banco
banker	banqueiro
banking	bancário
bankroll	bankroll
bankrupt	falido
bankruptcy	falência
banner	bandeira
banquet	banquete
banshee	alma penada
banter	brincadeira
banzai	NO TRANSLATION
baptism	batismo
baptismal	batismal
baptize	batizar
bar	Barra
barb	farpa
barbarian	bárbaro
barbaric	bárbaro
barbarism	barbárie
barbecue	churrasco
barbed	farpado
barber	barbeiro
barbershop	barbearia
barbie doll	boneca Barbie
bard	bardo
bare	nu
bareback	bareback
barefoot	descalço
barely	mal
barf	barf
bargain	barganha
bargaining	de barganha
barge	barcaça
baritone	barítono
barium	bário
bark	latido
barkeep	barman
barks	cascas
barley	cevada
barmaid	garçonete
barman	barman
barn	celeiro
barnacle	barnacle
barney	Barney
barnyard	barnyard
barometer	barômetro
baron	barão
baroness	baronesa
baroque	barroco
barrack	barraca
barracuda	barracuda
barrage	barragem
barred	barrado
barrel	barril
barren	estéril
barricade	barricada
barrier	barreira
barring	barrando
barrister	advogado
barroom	bar
barrow	carrinho de mão
bartender	barman
barter	permuta
base	base
baseball	beisebol
baseball bat	bastão de beisebol
baseboard	rodapé
baseless	infundado
baseline	linha de base
baseman	homem de base
basement	porão
bases	bases
bash	festança
bashful	tímido
basic	básico
basics	noções básicas
basil	manjericão
basilica	basílica
basin	bacia
basis	base
bask	aquecer
basket	cesta
basketball	basquetebol
bass	baixo
bass guitar	baixo
basso	NO TRANSLATION
bassoon	fagote
bastard	Desgraçado
bastarding	Bastardo
bastards	bastardos
bastion	bastião
bat	bastão
batch	lote
batching	dosagem
bate	NO TRANSLATION
bath	banho
bathe	banhar
bathhouse	balneário
bathing	tomando banho
bathrobe	roupão de banho
bathroom	banheiro
bathtub	banheira
bathymetry	batimetria
baton	bastão
battalion	batalhão
batter	massa
battered	agredido
battering	golpeando
battery	bateria
battle	batalha
battled	batalhou
battlefield	campo de batalha
battleground	campo de batalha
battlements	ameias
battleship	encouraçado
batty	maltratado
bauble	bugiganga
bawdy	indecente
bawl	gritar
bay	baía
bayonet	baioneta
bayou	Bayou
bazaar	bazar
bazooka	bazuca
bday	aniversário
be	estar
beach	de praia
beaches	praias
beacon	baliza
bead	talão
beading	perolização
beads	miçangas
beady	beady
beagle	beagle
beak	bico
beaker	taça
beam	feixe
beaming	irradiando
bean	feijão
beanbag	pufes
beanie	gorro
bear	Urso
bearable	suportável
beard	barba
bearded	barbudo
bearer	O portador
bearing	rolamento
bearings	rolamentos
bearish	grosseiro
bearskin	pele de urso
beast	fera
beastly	bestial
beat	batida
beaten	batido
beater	batedor
beating	espancamento
beatnik	beatnik
beau	namorado
beautification	embelezamento
beautiful	bonita
beautify	embelezar
beauty	beleza
beaver	Castor
bebop	bebop
beck	beck
beckon	acenar
become	tornar-se
bed	cama
bedding	roupa de cama
bedpan	comadre
bedrock	base rochosa
bedroom	quarto
bedside	de cabeceira
bedspread	colcha
bedtime	hora de dormir
bee	abelha
beef	carne
beefsteak	bife
beehive	colméia
beep	bip
beeper	bip
beer	Cerveja
bees	abelhas
