Word	no
adorable	bedårende
adoration	tilbedelse
adore	elsker
adoring	adoring
adorn	pryde
adornment	pryd
adrenalin	adrenalin
adrenaline	adrenalin
adrift	adrift
adult	voksen
adulterated	adulterated
adulterer	adulterer
adultery	utroskap
adulthood	voksenlivet
advance	avansere
advanced	avansert
advancement	forfremmelse
advancing	marsj
advantage	fordel
advantageous	fordelaktige
advent	advent
adventure	eventyr
adventurer	eventyrer
adventures	eventyr
adventurous	eventyrlig
adversary	motpart
adverse	uheldig
adversity	motgang
advertise	reklamere
advertisement	annonse
advertising	reklame
adverts	reklame
advice	råd
advisable	tilrådelig
advise	rådgi
advised	rådes
advisement	etterretning
adviser	rådgiver
advisor	rådgiver
advisory	rådgivende
advocacy	beslutningspåvirkning
advocate	advokat
aegis	Aegis
aeration	lufting
aerial	antenne
aerobics	aerobic
aerodrome	flyplass
aerodynamic	aerodynamisk
aerodynamics	aerodynamikk
aeronautics	luftfart
aeroplane	fly
aerospace	luftfart
aesthetic	estetisk
aesthetics	estetikk
aetiology	etiologi
afar	afar
affable	omgjengelige
affair	sak
affect	påvirke
affecting	påvirker
affection	kjærlighet
affectionate	kjærlig
affections	hengivenhet
affiche	NO TRANSLATION
affidavit	erklæring
affiliated	tilknyttet
affiliation	tilhørighet
affinity	affinitet
affirm	bekrefte
affirmation	bekreftelse
affirmative	bekreftende
affirmatively	bekreftende
affix	feste
afflict	plage
afflicted	rammet
affliction	lidelse
affluence	velstand
affluent	velstående
afford	ha råd til
affordable	rimelig
affront	krenkelse
affronted	affronted
afield	et jorde
afire	en brann
afloat	flytende
afore	foran
aforementioned	som tidligere nevnt
aforesaid	nevnte
afraid	redd
afresh	nytt
african	afrikansk
aft	akter
afterlife	livet etter døden
aftermath	kjølvannet
afternoon	ettermiddag
aftershave	etter barbering
aftertaste	smak
afterthought	tanke
aga	NO TRANSLATION
agape	agape
agate	Agate
age	alder
aged	aldrende
agency	byrå
agenda	dagsorden
agent	middel
agglomeration	tettbebyggelse
aggravate	forverre
aggravated	forverret
aggravates	forverrer
aggravating	irriterende
aggravation	forverring
aggregate	aggregat
aggregation	aggregering
aggresive	NO TRANSLATION
aggression	aggresjon
aggressive	aggressiv
aggressively	aggressivt
aggressiveness	aggressivitet
aggressor	angriper
agh	AGH
aghast	forferdet
aghhh	NO TRANSLATION
agile	smidig
agility	smidighet
aging	aldring
agitate	agitere
agitated	opphisset
agitation	agitasjon
aglow	glødet
agnostic	agnostiker
ago	siden
agonizing	pinefull
agony	smerte
agoraphobia	agorafobi
agree	bli enige
agreeable	behagelig
agreed	avtalt
agreeing	enige
agreement	avtale
agressive	NO TRANSLATION
agricultural	landbruks
agriculture	jordbruk
aground	grunnstøting
agua	NO TRANSLATION
ahead	fremover
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ohoi
aid	bistand
aide	assistent
aiding	hjelpe
aids	hjelpemidler
ail	ail
ailing	skrantende
ailment	sykdom
aim	mål
aimless	formålsløs
air	luft
airbag	airbag
airborne	luftbårne
aircraft	fly
aircraft carrier	hangarskip
airfield	airfield
airhead	airhead
airlift	lufttransport
airline	flyselskap
airliner	passasjerfly
airlock	luftlås
airman	flyver
airplane	fly
airport	flyplassen
airs	airs
airship	luftskip
airspace	luftrom
airspeed	flyhastighet
airstrip	flystripe
airtight	luft tett
airway	airway
aisle	hyllerad
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	beslektet
alabaster	alabast
alarm	alarm
alarm clock	vekkerklokke
alarmed	skremt
alarming	foruroligende
alas	akk
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alkymi
alcohol	alkohol
alcoholic	alkoholiker
alcoholism	alkoholisme
alcove	alkove
alderman	oldermann
ale	NO TRANSLATION
alert	varsling
alertness	årvåkenhet
alerts	varsler
alfalfa	alfalfa
algebra	algebra
algebraic	algebraisk
algorithm	algoritme
alias	alias
alibi	alibi
alien	romvesen
alienate	fremmedgjøre
alienated	fremmedgjort
alienation	fremmedgjøring
alight	et lys
align	juster
aligned	justert
alignment	Justering
alike	alike
alimentation	NO TRANSLATION
alimony	underholdsbidrag
aliquot	delmengde
alive	i live
alkali	alkali-
alkaloids	alkaloider
allay	dempe
allegation	påstand
allege	påstår
alleged	påståtte
allegiance	troskap
allegorical	allegorisk
allegory	allegori
allegro	allegro
allergic	allergisk
allergy	allergi
alleviate	lindre
alleviation	lindring
alley	bakgate
alleyway	smau
alliance	allianse
allied	allierte
alligator	alligator
allocate	tildele
allocation	tildeling
allot	tildele
allotment	tildeling
allow	tillate
allowable	tillatte
allowance	godtgjørelse
allowed	tillatt
alloy	legering
allsmiles	NO TRANSLATION
allure	allure
alluring	forlokkende
allusion	hentydning
alluvial	alluvial
ally	alliert
almanac	almanakk
almighty	allmektig
almond	mandel
aloft	værs
aloha	aloha
alone	alene
alongside	sammen
aloof	reservert
aloud	høyt
alpha	alfa
alphabet	alfabet
alphabetical	alfabetisk
alpine	alpine
alreadyyyyy	alreadyyyyy
altar	alter
altar boy	altar gutt
alter	endre
alteration	forandring
altercation	krangel
altered	endret
alternate	alternere
alternating	alternerende
alternative	alternativ
altimeter	høydemåler
altitude	høyde
alto	alto
altogether	helt
aluminum	aluminium
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	sammenslåing
amaretto	amaretto
amass	amass
amateur	amatør
amaze	forbause
amazed	overrasket
amazedness	NO TRANSLATION
amazement	undring
amazing	fantastisk
amazingly	utrolig
ambassador	ambassadør
amber	rav
ambience	atmosfære
ambient	omgivende
ambiguity	tvetydighet
ambiguous	tvetydig
ambit	virkeområde
ambition	ambisjon
ambitious	ambisiøs
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulanse
ambush	bakhold
ameliorate	bøte
amen	amen
amenable	mottagelig
amend	endre
amendment	endringen
amends	bot
amenity	amenity
amethyst	ametyst
amiable	elskverdig
amicable	minnelig
amid	blant
amidst	blant
amino	amino
ammo	ammo
ammonia	ammoniakk
ammonium	ammonium
ammunition	ammunisjon
amnesia	amnesi
amnesty	amnesti
amorous	amorøs
amorphous	amorft
amortization	amortisering
amount	beløp
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamin
amphibian	amfibier
amphibious	amfibiske
amphitheater	amfi
ample	rikelig
amplification	forsterkning
amplify	forsterke
amplitude	amplitude
amply	rikelig
amputate	amputere
amputation	amputasjon
amuck	amok
amulet	amulett
amuse	underholde
amused	underholdt
amusement	fornøyelse
amusing	morsomt
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	anestesi
anaesthetic	anestetisk
anagram	anagram
anal	anal
analgesic	analgetikum
analogous	analogt
analogue	analog
analogy	analogi
analysis	analyse
analyst	analytiker
analytic	analytisk
analytical	analytisk
analyze	analysere
analyzer	analysator
anaphylactic	anafylaktisk
anarchism	anarkisme
anarchist	anarkist
anarchy	anarki
anastomosis	anastomose
anathema	anathema
anatomic	anatomiske
anatomy	anatomi
ancestor	stamfar
ancestral	doms
ancestry	ætt
anchor	anker
anchorage	forankring
ancient	eldgammel
ancillary	hjelpe
androgen	androgen
android	android
anecdote	anekdote
anemia	anemi
anemic	anemisk
anemone	anemone
anesthesia	anestesi
anesthesiologist	anestesilege
anesthetic	anestetisk
aneurysm	aneurisme
anew	nytt
angel	engel
angelic	engleaktig
anger	sinne
angered	sint
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiografi
angiography	angiografi
angle	vinkel
angling	sportsfiske
angora	angora
angriest	angriest
angry	sint
angrytweet	NO TRANSLATION
angst	angst
anguish	kval
anguished	forpint
angular	vinkel
anhydrous	vannfri
animal	dyr
animate	animere
animated	animert
animation	animasjon
animosity	fiendtlighet
animus	animus
ankle	ankel
anklet	ankelen
annals	annaler
annex	tilbygg
annexation	annektering
annexe	NO TRANSLATION
annihilate	utslette
annihilated	utslettet
annihilation	utslettelse
anniversary	jubileum
annotate	kommentere
annotation	merknad
announce	kunngjøre
announcement	kunngjøring
announcer	hallo
annoy	irritere
annoyance	irritasjon
annoyed	irritert
annoyin	NO TRANSLATION
annoying	irriterende
annoys	irriterer
annual	årlig
annuity	livrente
annul	annullere
annular	ringformet
annulment	annulering
annulus	ringrommet
anointed	salvet
anointing	salvelse
anomalous	uregelrett
anomaly	anomali
anon	anon
anonymity	anonymitet
anonymous	anonym
anorexic	anorektisk
answer	svar
answerable	ansvarlig
answering	telefonsvarer
ant	maur
antagonism	antagonisme
antagonist	motstander
antagonistic	antagonistisk
antagonize	motvirke
ante	NO TRANSLATION
antecedent	forutgående
antelope	antilope
antenna	antenne
anterior	anterior
anthem	hymne
anthill	maurtue
anthology	antologi
anthrax	anthrax
anthropological	antropologisk
anthropologist	antropolog
anthropology	antropologi
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotika
antibiotics	antibiotika
antichrist	antikrist
anticipate	forutse
anticipation	forventning
anticipatory	forutse
antics	påfunn
antidote	motgift
antifungal	soppdrepende
antigravity	antigravitasjon
antimony	antimon
antipathy	antipati
antiquarian	antikvarisk
antiquated	antikvert
antique	antikk
antiques	antikviteter
antiquity	antikken
antiseptic	antiseptisk middel
antisocial	antisosial
antithesis	antitese
antithetical	antitetisk
antiviral	antiviral
antler	gevir
antsy	antsy
anus	anus
anvil	ambolt
anxiety	angst
anxietyattack	NO TRANSLATION
anxious	engstelig
anxiousness	engstelighet
anytime	når som helst
aorta	aorta
aortic	aortic
apace	Verdensrom
apache	apache
apartment	leilighet
apartments	leiligheter
apathetic	apatisk
apathy	apati
ape	ape
aperture	åpning
apex	toppunkt
aphid	bladlus
aphrodisiac	afrodisiakum
apiece	et stykke
aplomb	glans
apocalypse	verdens undergang
apocalyptic	apokalyptisk
apologetic	unnskyld
apologist	apologet
apologize	be om unnskyldning
apology	unnskyldning
apostasy	frafall
apostate	frafallen
apostle	apostel
apostolic	apostolisk
apostrophe	apostrof
apothecary	apoteker
appalled	forferdet
appalling	forferdelig
apparatus	apparater
apparel	klær
apparent	tilsynelatende
apparently	tilsynelatende
apparition	apparition
appeal	anke
appear	vises
appearance	utseende
appease	bero
appellant	klag~~POS=TRUNC
append	føyer
appendage	vedheng
appendectomy	appendektomi
appendicitis	blindtarmbetennelse
appendix	blindtarm
appetite	appetitt
appetizer	forrett
appetizing	appetittvekkende
applaud	klappe
applause	bifall
apple	eple
apple juice	eplejuice
applejack	applejack
applesauce	eplemos
appliance	apparatet
appliances	apparater
applicability	anvendbarhet
applicable	aktuelt
applicant	søker
application	applikasjon
apply	søke om
appoint	ansette
appointment	avtale
appointments	avtaler
apportion	fordele
apportionment	fordeling
appraisal	vurdering
appraise	vurdere
appreciable	nevne
appreciate	sette pris på
appreciated	verdsatt
appreciates	verds
appreciation	verdsettelse
appreciative	takknemlig
apprehend	anholde
apprehension	engstelse
apprehensive	engstelig
apprentice	lærling
apprenticeship	læretid
approach	nærme seg
approaching	nærmer seg
approbate	NO TRANSLATION
approbation	bifall
appropriate	passende
appropriation	tilegnelse
approval	godkjenning
approve	vedta
approved	godkjent
approvement	godkjennelse
approving	godkjenne
approximate	tilnærmet
approximately	omtrent
approximating	tilnærmende
approximation	tilnærming
appurtenances	tilbehøret
apricot	aprikos
apron	forkle
apt	apt
aptitude	evne
aqua	aqua
aquamarine	akvamarin
aquarium	akvarium
aquatic	akvatisk
aqueduct	akvadukt
aqueous	vandig
arable	dyrkbar
arbiter	oppmann
arbitrary	vilkårlig
arbitrate	megle
arbitration	megling
arbitrator	megler
arbor	arbor
arc	bue
arcade	arkade
arcane	uforståelige
arch	bue
archaeological	arkeologisk
archaeologist	arkeolog
archaeology	arkeologi
archaic	arkaisk
archangel	erkeengelen
archbishop	erkebiskop
archdiocese	erkebispedømmet
archduke	erkehertug
arched	buet
archer	bueskytter
archery	bueskyting
archetype	arketypen
archipelago	skjærgård
architect	arkitekt
architectural	arkitektonisk
architecture	arkitektur
archive	arkiv
arctic	Arktis
ardent	ildfull
ardor	iver
arduous	krevende
area	område
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumentere
argument	argument
argumentation	argumentasjon
argumentative	argumentative
arguments	argumenter
arid	arid
arise	oppstå
aristocracy	aristokrati
aristocrat	aristokrat
aristocratic	aristokratisk
arithmetic	aritmetikk
ark	ark
arm	væpne
armada	armada
armament	bevæpning
armaments	våpen
armature	armatur
armchair	lenestol
armed	bevæpnet
armor	rustning
armored	pansrede
armory	rustkammer
armpit	armhule
arms	våpen
army	hær
aroma	aroma
aromatherapy	aromaterapi
arousal	opphisselse
arouse	vekke
aroused	vekket
arraignment	arraignment
arrange	arrangere
arranged	anordnet
arrangement	ordning
array	matrise
arrears	restskatt
arrest	arrestere
arrhythmia	arytmi
arrival	ankomst
arrive	ankomme
arrogance	arroganse
arrogant	arrogant
arrow	pil
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsen
arson	mordbrann
arsonist	ildspåsetter
art	Kunst
arterial	arteriell
artery	arterie
artful	kunstnerisk
arthritis	gikt
arthropod	leddyr
artichoke	artisjokk
article	artikkel
articles	artikler
articulate	artikulere
articulation	artikulasjon
artifact	gjenstand
artifice	artifice
artificial	kunstig
artillery	artilleri
artisan	håndverker
artist	kunstner
artiste	NO TRANSLATION
artistic	kunstnerisk
artistry	artisteri
artists	kunstnere
artwork	kunstverk
arty	arty
asap	så fort som mulig
asbestos	asbest
ascend	stige
ascendancy	overtak
ascendant	ascendant
ascending	stigende
ascension	oppstigning
ascent	stigning
ascertain	fastslå
ascertained	konstatert
ascetic	asket
ash	aske
ashamed	skamfull
ashes	aske
ashtray	askebeger
asinine	asinine
ask	spørre
asleeep	NO TRANSLATION
asleep	sover
asp	asp
asparagus	asparges
aspartame	aspartam
aspect	aspektet
aspects	aspekter
aspen	osp
asphalt	asfalt
asphyxia	asfyksi
asphyxiation	kvelning
aspiration	aspirasjon
aspire	strebe
aspirin	aspirin
aspiring	fremadstormende
ass	ass
assail	angripe
assailant	overfallsmann
assassin	snikmorder
assassinate	myrde
assassination	attentat
assault	overfall
assay	analyse
assemblage	samling
assemble	montere
assembled	montert
assembly	montering
assemblyman	Assemblyman
assent	samtykke
assert	hevde
asserting	hevde
assertion	påstand
assertive	påståelig
assess	vurdere
assessment	evaluering
assessor	assessor
asset	ressurs
assets	eiendeler
asshole	drittsekk
assign	tildele
assignee	oppdragstakeren
assignment	oppdrag
assimilate	assimilere
assimilation	assimilering
assist	assistere
assistance	assistanse
assistant	assistent
associate	forbinder
association	assosiasjon
assorted	assortert
assortment	sortiment
assuage	lindre
assume	anta
assumed	antatt
assuming	forutsatt
assumption	antagelse
assurance	forsikring
assure	forsikrer
assured	trygg
assuredly	Sannelig
asterisk	stjernen
asteroid	asteroide
asteroids	asteroider
asthma	astma
asthmatic	astma
astigmatism	astigmatisme
astonish	forbause
astonished	forbauset
astonishing	forbausende
astonishingly	NO TRANSLATION
astonishment	forbauselse
astound	forbløffe
astral	astral
astray	på avveie
astringent	snerpende
astrologer	astrolog
astrology	astrologi
astronaut	astronaut
astronomer	astronom
astronomical	astronomisk
astronomy	astronomi
astute	slu
asunder	stykker
asylum	asyl
asymmetric	asymmetrisk
asymmetry	asymmetri
asymptotic	asymptotisk
atelier	atelier
atheism	ateisme
atheist	ateist
atheistic	ateistisk
atherosclerosis	aterosklerose
athlete	atlet
athletic	atletisk
athleticism	atle
athletics	friidrett
atlas	atlas
atmosphere	atmosfære
atmospheric	atmosfærisk
atoll	atoll
atom	atom
atomic	atomisk
atone	sone
atonement	soning
atpeace	i fred
atrium	atrium
atrocious	fryktelig
atrocity	grusomhet
atrophy	atrofi
attach	feste
attached	vedlagte
attachment	feste
attack	angrep
attacker	angriperen
attacking	angripe
attain	oppnå
attainable	oppnåelig
attainment	oppnåelse
attempt	forsøk
attempted	forsøkt
attend	delta
attendance	deltakelse
attendant	attendant
attention	oppmerksomhet
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	oppmerksomme
attenuate	dempe
attenuated	dempes
attenuation	demping
attest	attestere
attestation	attestasjon
attic	loftet
attire	antrekk
attitude	holdning
attorney	advokat
attract	tiltrekke
attraction	tiltrekning
attractive	attraktiv
attractiveness	attraktivitet
attributable	tilskrives
attribute	Egenskap
attribution	attribusjon
attrition	utmattelses
auburn	auburn
auction	auksjon
auctioneer	auksjonarius
audacious	dumdristig
audacity	frekkhet
audible	hørbar
audience	publikum
audio	lyd
audit	revidere
audition	audition
auditions	auditions
auditor	revisor
auditorium	auditorium
auditory	auditiv
aught	aught
augment	øke
augmentation	forstørrelse
august	august
aunt	tante
auntie	auntie
aura	aura
aurora	aurora
auspices	regi
auspicious	auspicious
austere	strenge
austerity	nøysomhet
authentic	autentisk
authenticate	autentisere
authentication	autentisering
authenticity	ekthet
author	forfatter
authoritative	autoritær
authority	autoritet
authorization	autorisasjon
authorize	autorisere
authorized	autorisert
authorship	forfatterskap
autism	autisme
autistic	autistisk
auto	auto
autobiographical	biografisk
autobiography	selvbiografi
autocorrect	autokorrektur
autocratic	autokratiske
autograph	autograf
autographed	signert
automated	automatisert
automatic	Automatisk
automobile	bil
automotive	automotive
autonomy	autonomi
autopilot	autopilot
autopsy	autopsi
autumn	høst
auxiliary	hjelpe
avail	nytte
availability	tilgjengelighet
available	tilgjengelig
avalanche	snøskred
avarice	gjerrighet
avatar	avatar
avenge	hevne
avenger	hevner
avenging	hevn
avenue	allé
aver	NO TRANSLATION
average	gjennomsnitt
aversation	NO TRANSLATION
averse	uvillig
averseness	averseness
aversion	aversjon
avert	avverge
aviary	aviary
aviation	luftfart
aviator	flyger
avid	avid
avocado	avokado
avoid	unngå
avoidance	unngåelse
avoiding	unngår
await	avvente
awake	våken
awaken	vekke
awakening	oppvåkning
award	tildele
awards	utmerkelser
aware	klar over
awareness	bevissthet
awe	NO TRANSLATION
awed	awed
awesome	Rått
awesomeness	awesomeness
awestruck	awestruck
awful	fryktelig
awkward	pinlig
awkwardness	awkwardness
awning	markise
awry	forkjært
axe	øks
axial	aksial
axiom	aksiom
axiomatic	aksiomatisk
axis	akser
axle	aksel
ay	ay
aye	aye
azimuth	azimuth
azure	asurblå
babble	babble
babbling	babling
babe	babe
baboon	bavian
baby	baby
babysit	sitte barnevakt
babysitter	barnevakt
baccalaureate	Baccalaureate
baccarat	baccarat
bachelor	bachelor
bachelorette	bachelor
back	tilbake
backboard	bakplate
backbone	ryggrad
backdoor	bakdør
backdrop	bakteppe
backer	Backer
backfire	slå tilbake
backgammon	backgammon
background	bakgrunn
backhand	backhand
backhoe	traktor
backoff	gå vekk
backpack	ryggsekk
backpacker	backpacker
backroom	bakrom
backseat	baksetet
backside	iden
backtrack	Retur
backup	backup
backward	bakover
backwardness	tilbakeligg
backwards	bakover
backwater	bakevje
backwoods	backwoods
backyard	Hagen
bacon	bacon
bacteria	bakterie
bacterial	bakteriell
bacterium	bakterien
bad	dårlig
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	skilt
badger	grevling
badhabit	NO TRANSLATION
badly	dårlig
badness	ondskap
baffle	baffel
baffled	baffled
bag	bag
bagel	bagel
baggage	bagasje
baggie	baggie
baggy	posete
bagman	bagman
bagpipes	sekkepipe
bail	kausjon
bailiff	namsmann
bait	agn
bake	bake
bakery	bakeri
baking	baking
bal	NO TRANSLATION
balance	balansere
balanced	balanserte
balcony	balkong
bald	skallet
balding	balding
baldy	Baldy
bale	bale
balk	balk
ball	ball
ballad	ballade
ballast	ballast
ballerina	ballerina
ballet	ballett
ballgame	ball spill
ballistic	ballistisk
ballistics	ballistikk
balloon	ballong
ballot	stemmeseddel
ballpark	ballbinge
ballplayer	ballspiller
ballpoint	kule
ballroom	ballroom
ballsy	ballsy
balm	balsam
balmy	skrullete
balsam	balsam
balsamic	balsamico
bam	bam
bamboo	bambus
ban	NO TRANSLATION
banana	banan
band	bånd
bandage	bandasje
bandanna	NO TRANSLATION
bandit	banditt
bandstand	musikkpaviljongen
bandwagon	bandwagon
bandwidth	båndbredde
bane	bane
bang	bang
banger	banger
banish	forvise
banished	forvist
banishment	forvisning
banister	gelender
banjo	banjo
bank	bank
banker	bankier
banking	bank
bankroll	bankroll
bankrupt	konkurs
bankruptcy	konkurser
banner	banner
banquet	bankett
banshee	banshee
banter	småerte
banzai	NO TRANSLATION
baptism	dåp
baptismal	døpe
baptize	døpe
bar	Bar
barb	brodd
barbarian	barbar
barbaric	barbariske
barbarism	barbari
barbecue	grill
barbed	piggtråd
barber	barber
barbershop	frisør
barbie doll	Barbie dukke
bard	bard
bare	naken
bareback	bareback
barefoot	barfot
barely	knapt
barf	barf
bargain	handel
bargaining	lønnsforhandlinger
barge	lekter
baritone	baryton
barium	barium
bark	bark
barkeep	barkeep
barks	bjeffer
barley	bygg
barmaid	barmaid
barman	bartenderen
barn	låve
barnacle	hvitkinngås
barney	Barney
barnyard	Barnyard
barometer	barometer
baron	baron
baroness	baronesse
baroque	barokk
barrack	brakke
barracuda	barracuda
barrage	kryssild
barred	utestengt
barrel	Tønne
barren	ufruktbar
barricade	barrikade
barrier	barriere
barring	sperring
barrister	advokat
barroom	barroom
barrow	barrow
bartender	bartender
barter	byttehandel
base	utgangspunkt
baseball	baseball
baseball bat	balltre
baseboard	baseboard
baseless	grunnløs
baseline	grunnlinje
baseman	baseman
basement	kjeller
bases	baser
bash	bash
bashful	blyg
basic	grunnleggende
basics	Grunnleggende
basil	basilikum
basilica	basilikaen
basin	basseng
basis	basis
bask	sole seg
basket	kurv
basketball	basketball
bass	bass
bass guitar	bassgitar
basso	NO TRANSLATION
bassoon	fagott
bastard	drittsekk
bastarding	bastarding
bastards	bastards
bastion	bastion
bat	flaggermus
batch	parti
batching	Dosering
bate	NO TRANSLATION
bath	bad
bathe	bade
bathhouse	badehus
bathing	bading
bathrobe	badekåpe
bathroom	baderom
bathtub	badekar
bathymetry	batymetri
baton	stafettpinnen
battalion	bataljon
batter	røre
battered	ramponert
battering	batte
battery	batteri
battle	slag
battled	kjempet
battlefield	marken
battleground	slagmark
battlements	vernet
battleship	slagskip
batty	batty
bauble	bauble
bawdy	uanstendige
bawl	bawl
bay	bukt
bayonet	bajonett
bayou	bayou
bazaar	basar
bazooka	bazooka
bday	bday
be	være
beach	Strand
beaches	strender
beacon	sjømerke
bead	perle
beading	beading
beads	perler
beady	beady
beagle	beagle
beak	nebb
beaker	begerglass
beam	stråle
beaming	Stråling
bean	bønne
beanbag	beanbag
beanie	beanie
bear	Bjørn
bearable	utholdelig
