Word	hu
admitted	felvételt nyer
admitting	bevallja
admixture	keverék
admonition	figyelmeztetés
ado	hűhó
adobe	vályogtégla
adolescence	serdülőkor
adolescent	serdülő
adopt	elfogad
adoption	örökbefogadás
adoptive	örökbe fogadott
adorable	imádni való
adoration	imádat
adore	rajong
adoring	imádó
adorn	szépít
adornment	díszítés
adrenalin	adrenalin
adrenaline	adrenalin
adrift	sodródva
adult	felnőtt
adulterated	hamisított
adulterer	házasságtörő férfi
adultery	házasságtörés
adulthood	felnőttkor
advance	előleg
advanced	fejlett
advancement	haladás
advancing	előrenyomuló
advantage	előny
advantageous	előnyös
advent	megérkezés
adventure	kaland
adventurer	kalandor
adventures	kalandok
adventurous	kalandos
adversary	ellenség
adverse	kedvezőtlen
adversity	balsors
advertise	hirdet
advertisement	hirdetés
advertising	hirdető
adverts	reklámok
advice	tanács
advisable	tanácsos
advise	tanácsot ad
advised	tanácsos
advisement	szaktanácsadás
adviser	tanácsadó
advisor	tanácsadó
advisory	tanácsadó
advocacy	pártfogás
advocate	ügyvéd
aegis	égisze
aeration	szellőztetés
aerial	légi
aerobics	aerobic
aerodrome	repülőtér
aerodynamic	aerodinamikai
aerodynamics	aerodinamika
aeronautics	repülés
aeroplane	repülőgép
aerospace	légtér
aesthetic	esztétika
aesthetics	esztétika
aetiology	etiológiájú
afar	messze
affable	barátságos
affair	ügy
affect	érint
affecting	érintő
affection	szeretet
affectionate	gyengéd
affections	bántalmak
affiche	NO TRANSLATION
affidavit	eskü alatti írásbeli nyilatkozat
affiliated	kapcsolt
affiliation	hovatartozás
affinity	affinitás
affirm	megerősítik
affirmation	megerősítés
affirmative	igenlő
affirmatively	igenlő
affix	elhelyezi
afflict	kínoz
afflicted	sújtott
affliction	szenvedés
affluence	bőség
affluent	gazdag
afford	engedheti meg magának,
affordable	megfizethető
affront	sértés
affronted	sértett
afield	mezőn
afire	Tűz
afloat	felszínen
afore	előbb
aforementioned	fent említett
aforesaid	fent említett
afraid	félnek
afresh	újra
african	afrikai
aft	hátsó
afterlife	túlvilág
aftermath	utóhatás
afternoon	délután
aftershave	borotválkozás utáni arcszesz
aftertaste	utóíz
afterthought	utógondolat
aga	NO TRANSLATION
agape	bámuló
agate	achát
age	kor
aged	idős
agency	ügynökség
agenda	napirend
agent	ügynök
agglomeration	agglomeráció
aggravate	bosszant
aggravated	súlyosbít
aggravates	súlyosbítja
aggravating	súlyosbító
aggravation	súlyosbodás
aggregate	adalékanyag
aggregation	összesítés
aggresive	NO TRANSLATION
aggression	agresszió
aggressive	agresszív
aggressively	agresszívan
aggressiveness	erőszakosság
aggressor	agresszor
agh	AGH
aghast	megdöbbent
aghhh	NO TRANSLATION
agile	agilis
agility	agilitás
aging	öregedés
agitate	megmozgat
agitated	izgatott
agitation	agitáció
aglow	sugárzó
agnostic	agnosztikus
ago	ezelőtt
agonizing	kínzó
agony	gyötrelem
agoraphobia	tériszony
agree	egyetért
agreeable	kellemes
agreed	egyetért
agreeing	megegyezés
agreement	megegyezés
agressive	NO TRANSLATION
agricultural	mezőgazdasági
agriculture	mezőgazdaság
aground	zátonyon
agua	NO TRANSLATION
ahead	előre
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	Ahoy
aid	támogatás
aide	segédtiszt
aiding	bűnrészesség
aids	AIDS
ail	gyengélkedik
ailing	gyengélkedő
ailment	betegség
aim	cél
aimless	céltalan
air	levegő
airbag	légzsák
airborne	levegőben
aircraft	repülőgép
aircraft carrier	repülőgép hordozó
airfield	repülőtér
airhead	légi hídfő
airlift	légi szállítás
airline	légitársaság
airliner	utasszállító
airlock	légzsilipben
airman	pilóta
airplane	repülőgép
airport	repülőtér
airs	levegõ
airship	léghajó
airspace	légtér
airspeed	repülési sebesség
airstrip	felszállópálya
airtight	légmentesen záródó
airway	légúti
aisle	folyosó
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	más néven
akin	rokon
alabaster	alabástrom
alarm	riasztás
alarm clock	ébresztőóra
alarmed	riasztónak
alarming	riasztó
alas	Jaj
alb	NO TRANSLATION
albatross	albatrosz
albino	albínó
album	album
alchemy	aranycsinálás
alcohol	alkohol
alcoholic	alkohol függő
alcoholism	alkoholizmus
alcove	alkóv
alderman	városatya
ale	NO TRANSLATION
alert	éber
alertness	éberség
alerts	figyelmeztetések
alfalfa	lucerna
algebra	algebra
algebraic	algebrai
algorithm	algoritmus
alias	álnév
alibi	alibi
alien	idegen
alienate	elidegenít
alienated	elidegenedett
alienation	elidegenítés
alight	kiszáll
align	igazítsa
aligned	igazított
alignment	összehangolás
alike	hasonló
alimentation	NO TRANSLATION
alimony	feleségtartási díj
aliquot	aliquot
alive	élő
alkali	alkáli
alkaloids	alkaloidok
allay	enyhít
allegation	állítás
allege	állítják
alleged	állítólagos
allegiance	hűség
allegorical	allegorikus
allegory	allegória
allegro	allegro
allergic	allergiás
allergy	allergia
alleviate	enyhít
alleviation	enyhítés
alley	sikátor
alleyway	sikátor
alliance	szövetség
allied	szövetséges
alligator	aligátor
allocate	osztja
allocation	kiosztás
allot	kioszt
allotment	kiosztás
allow	lehetővé teszi
allowable	megengedhető
allowance	juttatás
allowed	engedélyezett
alloy	ötvözet
allsmiles	NO TRANSLATION
allure	csábít
alluring	csábító
allusion	célzás
alluvial	hordalékos
ally	szövetséges
almanac	évkönyv
almighty	mindenható
almond	mandula
aloft	magasban
aloha	aloha
alone	egyedül
alongside	hosszában
aloof	tartózkodó
aloud	hangosan
alpha	alfa
alphabet	ábécé
alphabetical	betűrendes
alpine	alpesi
alreadyyyyy	alreadyyyyy
altar	oltár
altar boy	oltár fiú
alter	változtat
alteration	módosítás
altercation	veszekedés
altered	megváltozott
alternate	váltakozó
alternating	váltakozó
alternative	alternatív
altimeter	magasságmérő
altitude	magasság
alto	alt
altogether	teljesen
aluminum	alumínium
alumnus	volt diák
alveolar	alveoláris
alzheimers	NO TRANSLATION
amalgam	amalgám
amalgamation	keveredés
amaretto	amaretto
amass	felhalmoz
amateur	amatőr
amaze	meghökkent
amazed	meghökkent
amazedness	NO TRANSLATION
amazement	ámulat
amazing	elképesztő
amazingly	bámulatosan
ambassador	nagykövet
amber	borostyán
ambience	környezet
ambient	környező
ambiguity	kétértelműség
ambiguous	kétértelmű
ambit	környék
ambition	nagyravágyás
ambitious	becsvágyó
ambivalent	ambivalens
ambrosia	ambrózia
ambulance	mentőautó
ambush	csapda
ameliorate	fejleszt
amen	ámen
amenable	irányítható
amend	módosítására
amendment	módosítás
amends	jóvátétel
amenity	Szolgáltatás
amethyst	ametiszt
amiable	kedves
amicable	baráti
amid	között
amidst	között
amino	amino
ammo	lőszer
ammonia	ammónia
ammonium	ammónia
ammunition	lőszer
amnesia	amnézia
amnesty	amnesztia
amorous	érzéki
amorphous	amorf
amortization	amortizáció
amount	összeg
amour	NO TRANSLATION
amp	amp
ampersand	-jel
amphetamines	amfetaminok
amphibian	kétéltű
amphibious	kétéltű
amphitheater	amfiteátrum
ample	bőséges
amplification	erősítés
amplify	erősít
amplitude	amplitúdó
amply	bőségesen
amputate	amputál
amputation	amputálás
amuck	ámokfutás
amulet	amulett
amuse	szórakoztat
amused	vidám
amusement	szórakoztatás
amusing	szórakoztató
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	érzéstelenítés
anaesthetic	érzéstelenítő
anagram	anagramma
anal	anális
analgesic	fájdalomcsillapító
analogous	hasonló
analogue	hasonló
analogy	analógia
analysis	elemzés
analyst	elemző
analytic	analitikus
analytical	analitikai
analyze	elemez
analyzer	analizátor
anaphylactic	anafilaxiás
anarchism	anarchizmus
anarchist	anarchista
anarchy	anarchia
anastomosis	anastomosis
anathema	átok
anatomic	anatómiai
anatomy	anatómia
ancestor	ős
ancestral	ősi
ancestry	származás
anchor	horgony
anchorage	rögzítés
ancient	ősi
ancillary	kisegítő
androgen	androgén
android	android
anecdote	anekdota
anemia	anémia
anemic	vérszegény
anemone	kökörcsin
anesthesia	érzéstelenítés
anesthesiologist	altató orvos
anesthetic	érzéstelenítő
aneurysm	verőértágulat
anew	újra
angel	angyal
angelic	angyali
anger	harag
angered	feldühítette
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogramnak
angiography	angiográfia
angle	szög
angling	horgászat
angora	angóranyúl
angriest	legdühösebb
angry	mérges
angrytweet	NO TRANSLATION
angst	angst
anguish	kín
anguished	elkínzott
angular	szögletes
anhydrous	száraz
animal	állat
animate	élő
animated	élénk
animation	élénkség
animosity	ellenségeskedés
animus	szándék
ankle	boka
anklet	bokalánc
annals	évkönyv
annex	melléklet
annexation	bekebelezés
annexe	NO TRANSLATION
annihilate	megsemmisít
annihilated	megsemmisült
annihilation	megsemmisítés
anniversary	évforduló
annotate	kijegyzetel
annotation	kommentár
announce	bejelent
announcement	közlemény
announcer	bemondó
annoy	bosszant
annoyance	bosszúság
annoyed	bosszús
annoyin	NO TRANSLATION
annoying	bosszantó
annoys	bosszant
annual	évi
annuity	járadék
annul	semmisítse
annular	gyűrűs
annulment	megsemmisítés
annulus	körgyűrű
anointed	felkent
anointing	kenet
anomalous	rendellenes
anomaly	anomália
anon	mindjárt
anonymity	névtelenség
anonymous	névtelen
anorexic	anorexiás
answer	válasz
answerable	megválaszolható
answering	üzenetrögzítő
ant	hangya
antagonism	ellentét
antagonist	antagonista
antagonistic	ellentétes
antagonize	antagonizálhatják
ante	NO TRANSLATION
antecedent	előzmény
antelope	antilop
antenna	antenna
anterior	előbbi
anthem	Himnusz
anthill	hangyaboly
anthology	antológia
anthrax	lépfene
anthropological	embertani
anthropologist	antropológus
anthropology	embertan
anti	elleni
antiaircraft	légvédelmi
antibiotic	antibiotikum
antibiotics	antibiotikumok
antichrist	Antikrisztus
anticipate	számít
anticipation	előérzet
anticipatory	előzetes
antics	bohóckodás
antidote	ellenméreg
antifungal	gombaellenes
antigravity	anti gravitáció
antimony	antimon
antipathy	ellenszenv
antiquarian	régiséggyűjtő
antiquated	elavult
antique	antik
antiques	régiségek
antiquity	antikvitás
antiseptic	fertőtlenítő
antisocial	társadalomellenes
antithesis	ellentét
antithetical	ellentétes
antiviral	vírusölő
antler	agancs
antsy	ideges
anus	végbélnyílás
anvil	üllő
anxiety	szorongás
anxietyattack	NO TRANSLATION
anxious	aggódó
anxiousness	szorongás
anytime	bármikor
aorta	főütőér
aortic	aorta
apace	rohamosan
apache	apache
apartment	lakás
apartments	lakások
apathetic	fásult
apathy	fásultság
ape	emberszabású majom
aperture	nyílás
apex	csúcs
aphid	levéltű
aphrodisiac	nemi vágyat fokozó
apiece	egy darab
aplomb	higgadtság
apocalypse	Apokalipszis
apocalyptic	apokaliptikus
apologetic	mentegetőző
apologist	hitvédő
apologize	bocsánatot kér
apology	bocsánatkérés
apostasy	hitehagyás
apostate	hitehagyott
apostle	apostol
apostolic	apostoli
apostrophe	aposztróf
apothecary	patikus
appalled	felháborodva
appalling	megdöbbentő
apparatus	berendezés
apparel	felszerelés
apparent	látszólagos
apparently	látszólag
apparition	jelenés
appeal	fellebbezés
appear	megjelenik
appearance	kinézet
appease	kielégít
appellant	fellebbező
append	mellékel
appendage	függelék
appendectomy	vakbélműtét
appendicitis	vakbélgyulladás
appendix	függelék
appetite	étvágy
appetizer	előétel
appetizing	étvágygerjesztő
applaud	tapsol
applause	taps
apple	alma
apple juice	almalé
applejack	Applejack
applesauce	almaszósz
appliance	készülék
appliances	készülékek
applicability	alkalmazhatóság
applicable	alkalmazható
applicant	pályázó
application	Alkalmazás
apply	alkalmaz
appoint	kinevez
appointment	időpont egyeztetés
appointments	kinevezések
apportion	juttat
apportionment	felosztás
appraisal	értékelés
appraise	értékel
appreciable	észlelhető
appreciate	méltányol
appreciated	értékelt, megbecsült
appreciates	értékeli
appreciation	felértékelődés
appreciative	méltányoló
apprehend	felfog
apprehension	letartóztatás
apprehensive	nyugtalan
apprentice	ipari tanuló
apprenticeship	gyakornoki
approach	megközelítés
approaching	közeledik
approbate	NO TRANSLATION
approbation	jóváhagyás
appropriate	megfelelő
appropriation	előirányzat
approval	jóváhagyás
approve	jóváhagy
approved	jóváhagyott
approvement	elfogadás
approving	jóváhagyásáról
approximate	hozzávetőleges
approximately	hozzávetőlegesen, körülbelül
approximating	közelítő
approximation	közelítés
appurtenances	tartozékaival
apricot	sárgabarack
apron	kötény
apt	hajlamos
aptitude	alkalmasság
aqua	aqua
aquamarine	akvamarin
aquarium	akvárium
aquatic	vízi
aqueduct	vízvezeték
aqueous	vizes
arable	művelhető
arbiter	döntőbíró
arbitrary	önkényes
arbitrate	döntőbíráskodik
arbitration	döntőbíráskodás
arbitrator	döntőbíró
arbor	lugas
arc	ív
arcade	árkád
arcane	misztikus
arch	boltív
archaeological	régészeti
archaeologist	régész
archaeology	régészet
archaic	régies
archangel	arkangyal
archbishop	érsek
archdiocese	érsekség
archduke	főherceg
arched	íves
archer	íjász
archery	íjászat
archetype	őstípus
archipelago	szigetvilág
architect	építészmérnök
architectural	építészeti
architecture	építészet
archive	archív
arctic	sarkvidéki
ardent	lelkes
ardor	lelkesedés
arduous	fáradságos
area	terület
arena	küzdőtér
areola	kis felület
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	érvel
argument	érv
argumentation	érvelés
argumentative	veszekedős
arguments	érvek
arid	száraz
arise	felmerülhet
aristocracy	arisztokrácia
aristocrat	arisztokrata
aristocratic	főnemesi
arithmetic	számtan
ark	bárka
arm	kar
armada	armada
armament	fegyverzet
armaments	fegyverzet
armature	forgórész
armchair	fotel
armed	fegyveres
armor	páncél
armored	páncélozott
armory	fegyvertár
armpit	hónalj
arms	fegyver
army	hadsereg
aroma	aroma
aromatherapy	aromaterápiás
arousal	ébredés
arouse	felkelti
aroused	felkeltette
arraignment	vádirat
arrange	rendezni
arranged	elrendezve
arrangement	elrendezés
array	sor
arrears	lemaradás
arrest	letartóztatás
arrhythmia	aritmia
arrival	érkezés
arrive	megérkezik
arrogance	gőg
arrogant	arrogáns
arrow	nyíl
arsehole	seggfej
arseholes	arseholes
arsenal	fegyverraktár
arsenic	arzén
arson	gyújtogatás
arsonist	gyújtogató
art	Művészet
arterial	artériás
artery	artéria
artful	ügyes
arthritis	ízületi gyulladás
arthropod	ízeltlábúak
artichoke	articsóka
article	cikk
articles	cikkek
articulate	tagolt
articulation	tagolás
artifact	műalkotás
artifice	csel
artificial	mesterséges
artillery	tüzérségi
artisan	kézműves
artist	művész
artiste	NO TRANSLATION
artistic	művészeti
artistry	művésziesség
artists	művészek
artwork	alkotás
arty	művészies
asap	minél hamarabb
asbestos	azbeszt
ascend	felszáll
ascendancy	hatalom
ascendant	növekvő
ascending	emelkedő
ascension	felemelkedés
ascent	felemelkedés
ascertain	meggyőződik
ascertained	megállapított
ascetic	aszkéta
ash	hamu
ashamed	megszégyenülve
ashes	hamu
ashtray	hamutartó
asinine	ostoba
ask	kérdez
asleeep	NO TRANSLATION
asleep	Alva
asp	áspiskígyó
asparagus	spárga
aspartame	aszpartám
aspect	vonatkozás
aspects	szempontok
aspen	rezgő nyárfa
asphalt	aszfalt
asphyxia	fulladás
asphyxiation	fulladás
aspiration	törekvés
aspire	törekszik
aspirin	aszpirin
aspiring	Feltörekvő
ass	szamár
assail	megtámad
assailant	támadó
assassin	orgyilkos
assassinate	orvul meggyilkol
assassination	orgyilkosság
assault	támadás
assay	próba
assemblage	ácsolás
assemble	összeszerelni
assembled	összeszerelt
assembly	gyülekezés
assemblyman	Assemblyman
assent	hozzájárulás
assert	érvényesíteni
asserting	érvényesítése
assertion	kijelentés
assertive	határozott
assess	értékeli
assessment	értékelés
assessor	értékelő
asset	vagyontárgy
assets	vagyon
asshole	seggfej
assign	hozzárendelni
assignee	engedményes
assignment	feladat
assimilate	hasonul
assimilation	asszimiláció
assist	segít
assistance	támogatás
assistant	helyettes
associate	munkatárs
association	Egyesület
assorted	válogatott
assortment	választék
assuage	csillapít
assume	feltételezni
assumed	feltételezte
assuming	feltételezve
assumption	feltevés
assurance	biztosíték
assure	biztosíthatom
assured	biztosított
assuredly	bizonyosan
asterisk	csillag
asteroid	kisbolygó
asteroids	aszteroidák
asthma	asztma
asthmatic	asztmás
astigmatism	szemtengelyferdülés
astonish	megdöbbent
astonished	döbbent
astonishing	megdöbbentő
astonishingly	NO TRANSLATION
astonishment	csodálkozás
astound	megdöbbent
astral	csillagászati
astray	téves irányban
astringent	összehúzó
astrologer	csillagjós
astrology	csillagjóslás
astronaut	űrhajós
astronomer	csillagász
astronomical	csillagászati
astronomy	csillagászat
astute	ravasz
asunder	ketté
asylum	bolondok háza
asymmetric	aszimmetrikus
asymmetry	aszimmetria
asymptotic	aszimptotikus
atelier	műterem
atheism	ateizmus
atheist	ateista
atheistic	istentagadó
atherosclerosis	atherosclerosis
athlete	sportoló
athletic	atlétikai
athleticism	Atlétika
athletics	atlétika
atlas	atlasz
atmosphere	légkör
atmospheric	légköri
atoll	korallzátony
atom	atom
atomic	atom
atone	vezekel
atonement	bűnhődés
atpeace	békében
atrium	átrium
atrocious	kegyetlen
atrocity	kegyetlenség
atrophy	sorvadás
attach	csatolni
attached	csatolt
attachment	mellékletet
attack	támadás
attacker	támadó
attacking	támadó
attain	elérése
attainable	elérhető
attainment	elérését
attempt	kísérlet
attempted	megkísérelt
attend	részt vesz
attendance	részvétel
attendant	kísérő
attention	Figyelem
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	figyelmes
attenuate	gyengítése
attenuated	legyengített
attenuation	csillapítás
attest	tanúsít
attestation	hitelesítés
attic	tetőtér
attire	viselet
attitude	hozzáállás
attorney	ügyvéd
attract	vonz
attraction	vonzerő
attractive	vonzó
attractiveness	vonzerő
attributable	tulajdonítható
attribute	tulajdonság
attribution	tulajdonság
attrition	veszteség
auburn	aranybarna
auction	árverés
auctioneer	árverésvezető
audacious	vakmerő
audacity	vakmerőség
audible	hallható
audience	közönség
audio	hang-
audit	könyvvizsgálat
audition	meghallgatás
auditions	meghallgatás
auditor	könyvvizsgáló
auditorium	előadóterem
auditory	hallási
aught	valahogy
augment	fokozza
augmentation	nagyobbodás
august	augusztus
aunt	néni
auntie	nénike
aura	aura
aurora	hajnal
auspices	égisze
auspicious	kedvező
austere	szigorú
austerity	megszorító
authentic	hiteles
authenticate	hitelesít
authentication	hitelesítés
authenticity	hitelesség
author	szerző
authoritative	irányadó
authority	hatóság
authorization	meghatalmazás
authorize	engedélyez
authorized	felhatalmazott
authorship	szerzőség
autism	autizmus
autistic	autisztikus
auto	kocsi
autobiographical	önéletrajzi
autobiography	önéletrajz
autocorrect	automatikus javítás
autocratic	zsarnoki
autograph	autogram
autographed	dedikált
automated	automatizált
automatic	automatikus
automobile	autó
automotive	autóipari
autonomy	autonómia
autopilot	robotpilóta
autopsy	boncolás
autumn	ősz
auxiliary	kiegészítő
avail	haszon
availability	elérhetőség
available	elérhető
avalanche	lavina
avarice	kapzsiság
avatar	avatar
avenge	megbosszul
avenger	bosszúálló
avenging	bosszúálló
avenue	sugárút
aver	NO TRANSLATION
average	átlagos
aversation	NO TRANSLATION
averse	idegenkedő
averseness	idegenkedés
aversion	idegenkedés
avert	elhárít
aviary	madárház
aviation	repülés
aviator	pilóta
avid	mohó
avocado	avokádó
avoid	elkerül
avoidance	elkerülés
avoiding	elkerülve
await	várja
awake	ébren
awaken	felébred
awakening	ébredés
award	díj
awards	díjak
aware	tudatában van
awareness	tudatosság
awe	NO TRANSLATION
awed	tiszteletteljes
awesome	fantasztikus
awesomeness	awesomeness
awestruck	megdöbbent
awful	szörnyű
awkward	kínos
awkwardness	ügyetlenség
awning	napellenző
awry	fonák
axe	fejsze
axial	tengelyirányú
axiom	alapigazság
axiomatic	magától értetődő
axis	tengely
axle	tengely
ay	igen
aye	igen
azimuth	azimut
azure	égszínkék
babble	gügyög
babbling	csobogó
babe	kisbaba
baboon	pávián
baby	baba
babysit	gyermekre vigyáz
babysitter	bébiszitter
baccalaureate	érettségi
baccarat	baccarat
bachelor	agglegény
bachelorette	bachelorette
back	hát
backboard	palánk
backbone	hátgerinc
backdoor	hátsó ajtó
backdrop	háttér
backer	csendestárs
backfire	visszafelé sül el
backgammon	backgammon
background	háttér
backhand	fonák ütés
backhoe	kotró
backoff	hátrálj
backpack	hátizsák
backpacker	hátizsákos
backroom	háttérben
backseat	hátsó ülés
backside	hátoldal
backtrack	visszalép
backup	biztonsági mentés
backward	hátrafelé
backwardness	maradiság
backwards	visszafelé
backwater	holtág
backwoods	őserdő
backyard	hátsó udvar
bacon	szalonna
bacteria	baktériumok
bacterial	bakteriális
bacterium	baktérium
bad	rossz
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	jelvény
badger	borz
badhabit	NO TRANSLATION
badly	rosszul
badness	rosszaság
baffle	zavarba ejt
baffled	megzavarodott
bag	táska
bagel	bécsi kifli
baggage	poggyász
baggie	baggie
baggy	buggyos
bagman	ügynök
bagpipes	duda
bail	óvadék
bailiff	végrehajtó
bait	csali
bake	süt
bakery	pékség
baking	sütés
bal	NO TRANSLATION
balance	egyensúly
balanced	kiegyensúlyozott
balcony	erkély
bald	kopasz
balding	kopaszodó
baldy	kopaszon
bale	bála
balk	baklövés
ball	labda
ballad	ballada
ballast	ballaszt
ballerina	balerina
ballet	balett
ballgame	labdajáték
ballistic	ballisztikus
ballistics	ballisztika
balloon	ballon
ballot	szavazás
ballpark	becslési tartomány
ballplayer	ballplayer
ballpoint	golyóstoll
ballroom	bálterem
ballsy	tökös
balm	balzsam
balmy	balzsamos
balsam	balzsam
balsamic	balzsamos
bam	bam
bamboo	bambusz
ban	NO TRANSLATION
banana	banán
band	Zenekar
bandage	kötszer
bandanna	NO TRANSLATION
bandit	bandita
bandstand	zenekari pavilon
bandwagon	zenekari kocsi felvonuláson
bandwidth	sávszélesség
bane	csapás
bang	bumm
banger	banger
banish	száműz
banished	száműzte
banishment	száműzetés
banister	korlátoszlop
banjo	bendzsó
bank	bank
banker	bankár
banking	banki
bankroll	gyarapítani
bankrupt	csődbe jutott
bankruptcy	csőd
banner	transzparens
banquet	bankett
banshee	banshee
banter	évődés
banzai	NO TRANSLATION
baptism	keresztség
baptismal	keresztelési
baptize	megkeresztel
bar	bár
barb	horgas vég
barbarian	barbár
barbaric	barbár
barbarism	barbárság
barbecue	kerti sütés
barbed	szálkás kalász
barber	borbély
barbershop	fodrászat
barbie doll	Barbi baba
bard	dalnok
bare	csupasz
bareback	csupasz hátú
barefoot	mezítláb
barely	alig
barf	hányadék
bargain	alku
bargaining	alkudozás
barge	uszály
baritone	bariton
barium	bárium
