Word	ja
aggressive	積極的な
aggressively	積極的に
aggressiveness	積極性
aggressor	侵略者
agh	ああ
aghast	ああ
aghhh	NO TRANSLATION
agile	アジャイル
agility	敏捷性
aging	エージング
agitate	興奮させる
agitated	かき混ぜた
agitation	攪拌
aglow	アグロウ
agnostic	不可知論者
ago	前
agonizing	苦しむ
agony	苦しみ
agoraphobia	広場恐怖症
agree	同意する
agreeable	楽しい
agreed	同意した
agreeing	同意する
agreement	契約
agressive	NO TRANSLATION
agricultural	農業
agriculture	農業
aground	荒れ地
agua	NO TRANSLATION
ahead	前方に
ahhh	ああ
ahhhhhhhh	NO TRANSLATION
ahoy	アホイ
aid	援助
aide	助手
aiding	助ける
aids	エイズ
ail	アイル
ailing	病気の
ailment	病気
aim	目的
aimless	無意味な
air	空気
airbag	エアバッグ
airborne	空中
aircraft	航空機
aircraft carrier	空母
airfield	飛行場
airhead	空中
airlift	空輸
airline	航空会社
airliner	旅客機
airlock	エアロック
airman	エアマン
airplane	飛行機
airport	空港
airs	空気
airship	飛行船
airspace	空域
airspeed	対気速度
airstrip	滑走路
airtight	気密
airway	気道
aisle	通路
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	別名
akin	同族の
alabaster	アラバスター
alarm	警報
alarm clock	目覚まし時計
alarmed	警戒した
alarming	警戒する
alas	悲しい
alb	NO TRANSLATION
albatross	アルバトロス
albino	アルビノ
album	アルバム
alchemy	錬金術
alcohol	アルコール
alcoholic	アルコール性
alcoholism	アルコール依存症
alcove	アルコーブ
alderman	アルダーマン
ale	NO TRANSLATION
alert	アラート
alertness	警戒
alerts	アラート
alfalfa	アルファルファ
algebra	代数
algebraic	代数
algorithm	アルゴリズム
alias	エイリアス
alibi	アリバイ
alien	エイリアン
alienate	疎外
alienated	疎外された
alienation	疎外
alight	降りる
align	整列する
aligned	整列した
alignment	アライメント
alike	似ている
alimentation	NO TRANSLATION
alimony	代謝
aliquot	アリコート
alive	生きている
alkali	アルカリ
alkaloids	アルカロイド
allay	和らげる
allegation	申し立て
allege	主張する
alleged	主張された
allegiance	忠誠
allegorical	寓意的な
allegory	アレゴリー
allegro	アレグロ
allergic	アレルギー性の
allergy	アレルギー
alleviate	緩和する
alleviation	軽減
alley	路地
alleyway	路地
alliance	アライアンス
allied	同盟
alligator	アリゲーター
allocate	割り当て
allocation	割り当て
allot	割り当てる
allotment	割当
allow	許す
allowable	許容できる
allowance	余裕
allowed	許可された
alloy	合金
allsmiles	NO TRANSLATION
allure	魅力
alluring	魅力的な
allusion	アリュージョン
alluvial	沖積
ally	アリー
almanac	アルマナック
almighty	全能
almond	アーモンド
aloft	アロフト
aloha	アロハ
alone	単独で
alongside	一緒に
aloof	全員
aloud	大声で
alpha	アルファ
alphabet	アルファベット
alphabetical	アルファベット順
alpine	高山
alreadyyyyy	すでにyyyyy
altar	祭壇
altar boy	祭壇の少年
alter	変更する
alteration	変更
altercation	言論
altered	変更されました
alternate	代わりの
alternating	交互の
alternative	代替
altimeter	高度計
altitude	高度
alto	アルト
altogether	全部
aluminum	アルミニウム
alumnus	卒業生
alveolar	歯槽
alzheimers	NO TRANSLATION
amalgam	アマルガム
amalgamation	合併
amaretto	アマレット
amass	大量の
amateur	アマチュア
amaze	驚く
amazed	驚く
amazedness	NO TRANSLATION
amazement	驚き
amazing	素晴らしい
amazingly	驚くほど
ambassador	大使
amber	アンバー
ambience	雰囲気
ambient	周囲
ambiguity	あいまいさ
ambiguous	あいまいな
ambit	アンビット
ambition	野心
ambitious	意欲的な
ambivalent	相反する
ambrosia	アンブロシア
ambulance	救急車
ambush	待ち伏せ
ameliorate	改善する
amen	アーメン
amenable	従順な
amend	修正する
amendment	改正
amends	補償
amenity	アメニティ
amethyst	アメジスト
amiable	愉快な
amicable	親切な
amid	中に
amidst	真っ只中
amino	アミノ
ammo	弾薬
ammonia	アンモニア
ammonium	アンモニウム
ammunition	弾薬
amnesia	健忘症
amnesty	恩赦
amorous	愛する
amorphous	アモルファス
amortization	償却
amount	量
amour	NO TRANSLATION
amp	アンプ
ampersand	アンパサンド
amphetamines	アンフェタミン
amphibian	両生類
amphibious	水陸両用の
amphitheater	円形劇場
ample	十分
amplification	増幅
amplify	増幅する
amplitude	振幅
amply	十分な
amputate	切断する
amputation	切断
amuck	アマン
amulet	お守り
amuse	楽しむ
amused	面白い
amusement	アミューズメント
amusing	面白い
ana	NO TRANSLATION
anaconda	アナコンダ
anaesthesia	麻酔
anaesthetic	麻酔薬
anagram	アナグラム
anal	肛門
analgesic	鎮痛剤
analogous	類似
analogue	アナログ
analogy	類推
analysis	分析
analyst	アナリスト
analytic	分析的
analytical	分析的な
analyze	分析する
analyzer	アナライザ
anaphylactic	アナフィラキシー
anarchism	アナキズム
anarchist	アナキスト
anarchy	アナーキー
anastomosis	吻合
anathema	嫌悪
anatomic	解剖学的
anatomy	解剖学
ancestor	祖先
ancestral	祖先
ancestry	祖先
anchor	アンカー
anchorage	足場
ancient	古代
ancillary	補助的な
androgen	アンドロゲン
android	アンドロイド
anecdote	逸話
anemia	貧血
anemic	貧血
anemone	アネモネ
anesthesia	麻酔
anesthesiologist	麻酔医
anesthetic	麻酔薬
aneurysm	動脈瘤
anew	改めて
angel	天使
angelic	天使の
anger	怒り
angered	怒った
angermanagement	NO TRANSLATION
angina	狭心症
angiogram	血管造影
angiography	血管造影
angle	角度
angling	釣り
angora	アンゴラ
angriest	怒っている
angry	怒っている
angrytweet	NO TRANSLATION
angst	怒り
anguish	苦悩
anguished	苦しんだ
angular	角張った
anhydrous	無水
animal	動物
animate	アニメーション化する
animated	アニメーション
animation	アニメーション
animosity	敵意
animus	アニミス
ankle	足首
anklet	アンクレット
annals	年表
annex	別館
annexation	併合
annexe	NO TRANSLATION
annihilate	全滅させる
annihilated	絶滅した
annihilation	消滅
anniversary	記念日
annotate	注釈を付ける
annotation	注釈
announce	発表する
announcement	発表
announcer	アナウンサー
annoy	悩ます
annoyance	煩わしさ
annoyed	悩まされる
annoyin	NO TRANSLATION
annoying	迷惑な
annoys	悩み
annual	年次
annuity	年金
annul	廃止する
annular	環状
annulment	廃止
annulus	環
anointed	油そそがれた
anointing	油を注ぐ
anomalous	異常
anomaly	異常
anon	アンオン
anonymity	匿名
anonymous	匿名
anorexic	食欲不振
answer	回答
answerable	答えられる
answering	答える
ant	蟻
antagonism	拮抗
antagonist	アンタゴニスト
antagonistic	敵対的
antagonize	拮抗する
ante	NO TRANSLATION
antecedent	先行する
antelope	アンテロープ
antenna	アンテナ
anterior	前方
anthem	国歌
anthill	蟻塚
anthology	アンソロジー
anthrax	炭疽
anthropological	人類学
anthropologist	人類学者
anthropology	人類学
anti	反
antiaircraft	対空航空機
antibiotic	抗生物質
antibiotics	抗生物質
antichrist	赤ちゃん
anticipate	予期する
anticipation	期待
anticipatory	先行する
antics	いたずら
antidote	解毒剤
antifungal	抗真菌剤
antigravity	反重力
antimony	アンチモン
antipathy	反感
antiquarian	古墳
antiquated	古くなった
antique	アンティーク
antiques	骨董品
antiquity	古代
antiseptic	消毒剤
antisocial	反社会的
antithesis	アンチテーゼ
antithetical	対称
antiviral	抗ウィルス
antler	狼男
antsy	antsy
anus	肛門
anvil	アンビル
anxiety	不安
anxietyattack	NO TRANSLATION
anxious	不安
anxiousness	不安
anytime	どんなときも
aorta	大動脈
aortic	大動脈
apace	アペース
apache	アパッチ
apartment	アパート
apartments	アパート
apathetic	無愛想
apathy	無関心
ape	猿
aperture	絞り
apex	頂点
aphid	アブラムシ
aphrodisiac	媚薬
apiece	各個に
aplomb	腹を立てる
apocalypse	黙示録
apocalyptic	黙示録的な
apologetic	謝罪する
apologist	謝罪者
apologize	お詫びする
apology	謝罪
apostasy	背教
apostate	背教者
apostle	使徒
apostolic	使徒
apostrophe	アポストロフィ
apothecary	薬局
appalled	ぞっとする
appalling	ぞっとする
apparatus	装置
apparel	衣服
apparent	見かけ上
apparently	明らかに
apparition	出現
appeal	アピール
appear	現れる
appearance	外観
appease	なだめる
appellant	上訴人
append	追加する
appendage	付属器
appendectomy	虫垂切除術
appendicitis	虫垂炎
appendix	付録
appetite	食欲
appetizer	前菜
appetizing	食欲をそそる
applaud	賞賛
applause	拍手
apple	林檎
apple juice	リンゴジュース
applejack	アップルジャック
applesauce	リンゴソース
appliance	アプライアンス
appliances	家電
applicability	適用性
applicable	適用可能な
applicant	応募者
application	応用
apply	適用する
appoint	任命する
appointment	予定
appointments	予定
apportion	配分
apportionment	配分
appraisal	評価
appraise	鑑定
appreciable	相当な
appreciate	感謝する
appreciated	感謝
appreciates	高く評価する
appreciation	感謝
appreciative	感謝の気持ち
apprehend	逮捕する
apprehension	不安
apprehensive	恐ろしい
apprentice	見習い
apprenticeship	見習い
approach	アプローチ
approaching	接近する
approbate	NO TRANSLATION
approbation	承認
appropriate	適切な
appropriation	予算
approval	承認
approve	承認する
approved	承認された
approvement	承認
approving	承認する
approximate	近似
approximately	約
approximating	近似する
approximation	近似
appurtenances	付属品
apricot	アプリコット
apron	エプロン
apt	適切
aptitude	適性
aqua	アクア
aquamarine	アクアマリン
aquarium	水族館
aquatic	水生生物
aqueduct	水道
aqueous	水性
arable	耕作可能な
arbiter	アービタ
arbitrary	任意
arbitrate	仲裁する
arbitration	仲裁
arbitrator	仲裁人
arbor	アーバー
arc	アーク
arcade	アーケード
arcane	秘密
arch	アーチ
archaeological	考古学的
archaeologist	考古学者
archaeology	考古学
archaic	アルカイック
archangel	大天使
archbishop	大司教
archdiocese	大司教区
archduke	大公
arched	アーチ型
archer	射手
archery	アーチェリー
archetype	アーキタイプ
archipelago	諸島
architect	建築家
architectural	建築
architecture	建築
archive	アーカイブ
arctic	北極
ardent	熱烈な
ardor	熱烈な
arduous	つらい
area	エリア
arena	アリーナ
areola	乳頭
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	ああ
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	主張する
argument	引数
argumentation	議論
argumentative	議論的な
arguments	議論
arid	乾燥
arise	発生する
aristocracy	貴族
aristocrat	貴族
aristocratic	貴族の
arithmetic	算術
ark	箱
arm	腕
armada	艦隊
armament	武装
armaments	軍備
armature	アーマチュア
armchair	アームチェア
armed	武装した
armor	鎧
armored	装甲した
armory	兵器
armpit	脇の下
arms	武器
army	軍
aroma	香り
aromatherapy	アロマセラピー
arousal	覚醒
arouse	興奮する
aroused	興奮した
arraignment	裁判
arrange	アレンジ
arranged	整えられた
arrangement	配置
array	アレイ
arrears	延滞
arrest	逮捕
arrhythmia	不整脈
arrival	到着
arrive	到着する
arrogance	傲慢
arrogant	傲慢な
arrow	arrow
arsehole	アーチホール
arseholes	アースホール
arsenal	アーセナル
arsenic	砒素
arson	放火
arsonist	放火犯
art	アート
arterial	動脈
artery	動脈
artful	巧みな
arthritis	関節炎
arthropod	節足動物
artichoke	アーティチョーク
article	記事
articles	記事
articulate	明瞭な
articulation	関節運動
artifact	アーティファクト
artifice	工芸品
artificial	人工的な
artillery	砲兵
artisan	職人
artist	アーティスト
artiste	NO TRANSLATION
artistic	芸術的
artistry	芸術
artists	アーティスト
artwork	アートワーク
arty	アーティー
asap	できるだけ速くに
asbestos	アスベスト
ascend	上昇する
ascendancy	優位
ascendant	優位
ascending	上昇
ascension	上昇
ascent	上昇
ascertain	確かめる
ascertained	確認された
ascetic	禁欲的な
ash	灰
ashamed	恥ずかしい
ashes	灰
ashtray	灰皿
asinine	Asinine
ask	尋ねる
asleeep	NO TRANSLATION
asleep	眠っている
asp	ASP
asparagus	アスパラガス
aspartame	アスパルテーム
aspect	アスペクト
aspects	側面
aspen	アスペン
asphalt	アスファルト
asphyxia	窒息
asphyxiation	窒息
aspiration	吸引
aspire	熱望する
aspirin	アスピリン
aspiring	志望する
ass	お尻
assail	襲撃
assailant	加害者
assassin	暗殺者
assassinate	暗殺する
assassination	暗殺
assault	暴行
assay	アッセイ
assemblage	集合
assemble	アセンブル
assembled	組み立てられた
assembly	アセンブリ
assemblyman	議員
assent	同意する
assert	アサート
asserting	断言する
assertion	アサーション
assertive	積極的な
assess	評価する
assessment	評価
assessor	審査員
asset	資産
assets	資産
asshole	下衆野郎
assign	割り当てます
assignee	譲受人
assignment	割り当て
assimilate	同化する
assimilation	同化
assist	支援する
assistance	支援
assistant	アシスタント
associate	関連付ける
association	協会
assorted	様々な
assortment	品揃え
assuage	安楽死
assume	想定する
assumed	想定される
assuming	前提
assumption	仮定
assurance	保証
assure	保証する
assured	保証された
assuredly	確かに
asterisk	アスタリスク
asteroid	小惑星
asteroids	小惑星
asthma	喘息
asthmatic	喘息の
astigmatism	乱視
astonish	驚く
astonished	驚いた
astonishing	驚く
astonishingly	NO TRANSLATION
astonishment	驚き
astound	驚く
astral	アストラル
astray	迷う
astringent	収斂
astrologer	占星術師
astrology	占星術
astronaut	宇宙飛行士
astronomer	天文学者
astronomical	天文学的
astronomy	天文学
astute	鋭い
asunder	付属品
asylum	亡命
asymmetric	非対称な
asymmetry	非対称
asymptotic	漸近的
atelier	アトリエ
atheism	無神論
atheist	無神論者
atheistic	無神論
atherosclerosis	アテローム性動脈硬化症
athlete	アスリート
athletic	運動
athleticism	運動競技
athletics	陸上競技
atlas	アトラス
atmosphere	雰囲気
atmospheric	大気
atoll	環礁
atom	原子
atomic	アトミック
atone	償う
atonement	償い
atpeace	アットペース
atrium	アトリウム
atrocious	ひどい
atrocity	残虐行為
atrophy	萎縮
attach	付ける
attached	添付された
attachment	アタッチメント
attack	攻撃
attacker	アタッカー
attacking	攻撃
attain	達成する
attainable	達成可能な
attainment	達成
attempt	試みる
attempted	試みた
attend	出席する
attendance	出席
attendant	アテンダント
attention	注意
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	注意深い
attenuate	減衰
attenuated	減衰した
attenuation	減衰
attest	証明する
attestation	アテステーション
attic	屋根裏
attire	服装
attitude	姿勢
attorney	弁護士
attract	引き付ける
attraction	アトラクション
attractive	魅力的
attractiveness	魅力
attributable	帰属
attribute	属性
attribution	帰属
attrition	損害
auburn	小人
auction	オークション
auctioneer	オークション出品者
audacious	大胆な
audacity	大胆
audible	可聴
audience	聴衆
audio	オーディオ
audit	監査
audition	オーディション
auditions	オーディション
auditor	審査員
auditorium	講堂
auditory	聴覚
aught	〜する
augment	増強
augmentation	増強
august	8月
aunt	叔母
auntie	叔母
aura	オーラ
aurora	オーロラ
auspices	後援
auspicious	幸運な
austere	厳しい
austerity	緊縮
authentic	本物の
authenticate	認証する
authentication	認証
authenticity	信憑性
author	著者
authoritative	権威ある
authority	権限
authorization	承認
authorize	認める
authorized	承認された
authorship	作者
autism	自閉症
autistic	自閉症
auto	オート
autobiographical	自伝的な
autobiography	自伝
autocorrect	オートコレクト
autocratic	独裁的な
autograph	サイン
autographed	サイン入り
automated	自動化
automatic	自動
automobile	自動車
automotive	自動車
autonomy	自律性
autopilot	オートパイロット
autopsy	剖検
autumn	秋
auxiliary	補助
avail	利用可能な
availability	可用性
available	利用可能な
avalanche	雪崩
avarice	貪欲
avatar	アバター
avenge	討つ
avenger	復讐者
avenging	復讐
avenue	アベニュー
aver	NO TRANSLATION
average	平均
aversation	NO TRANSLATION
averse	嫌う
averseness	嫌悪
aversion	嫌悪
avert	回避する
aviary	鳥類
aviation	航空
aviator	飛行士
avid	熱心な
avocado	アボカド
avoid	避ける
avoidance	回避
avoiding	避ける
await	待つ
awake	起きている
awaken	覚醒する
awakening	目を覚ます
award	賞
awards	賞
aware	承知して
awareness	意識
awe	NO TRANSLATION
awed	awed
awesome	驚くばかり
awesomeness	素晴らしい
awestruck	恐ろしい
awful	ひどい
awkward	厄介な
awkwardness	ぎこちなさ
awning	オーニング
awry	失敗
axe	斧
axial	アキシャル
axiom	公理
axiomatic	公理的な
axis	軸
axle	車軸
ay	ay
aye	エイ
azimuth	方位角
azure	紺碧
babble	手を振る
babbling	ふざける
babe	ベイビー
baboon	ヒヒ
baby	赤ちゃん
babysit	ベビーシット
babysitter	ベビーシッター
baccalaureate	バカロレア
baccarat	バカラ
bachelor	学士
bachelorette	独身者
back	バック
backboard	バックボード
backbone	背骨
backdoor	バックドア
backdrop	背景
backer	後援者
backfire	バックファイヤー
backgammon	バックギャモン
background	バックグラウンド
backhand	バックハンド
backhoe	バックホー
backoff	バックオフ
backpack	バックパック
backpacker	バックパッカー
backroom	奥の部屋
backseat	後部座席
backside	裏側
backtrack	バックトラック
backup	バックアップ
backward	後方に
backwardness	後進性
backwards	後方に
backwater	バックウォーター
backwoods	バックウッズ
backyard	裏庭
bacon	ベーコン
bacteria	細菌
bacterial	細菌性の
bacterium	細菌
bad	悪い
badass	悪い
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	バッジ
badger	狸
badhabit	NO TRANSLATION
badly	ひどく
badness	不良
baffle	バッフル
baffled	うんざりした
bag	バッグ
bagel	ベーグル
baggage	荷物
baggie	バギー
baggy	ぼろぼろ
bagman	バグマン
bagpipes	バグパイプ
bail	寄託
bailiff	執行猶予
bait	餌
bake	焼く
bakery	ベーカリー
baking	ベーキング
bal	NO TRANSLATION
balance	バランス
balanced	バランス
balcony	バルコニー
bald	脱毛
balding	脱毛
baldy	禿げている
bale	ベール
balk	ボーク
ball	玉
ballad	バラード
ballast	バラスト
ballerina	バレリーナ
ballet	バレエ
ballgame	ボールゲーム
ballistic	弾道
ballistics	弾道
balloon	バルーン
ballot	投票
ballpark	野球場
ballplayer	ボールプレーヤー
ballpoint	ボールペン
ballroom	ボールルーム
ballsy	かわいい
balm	香ばしい
balmy	風通しの良い
balsam	バルサム
balsamic	バルサミコ
bam	バム
bamboo	竹
ban	NO TRANSLATION
banana	バナナ
band	バンド
bandage	包帯
bandanna	NO TRANSLATION
bandit	強盗
bandstand	バンドスタンド
bandwagon	バンドワゴン
bandwidth	帯域幅
bane	ベーン
bang	強打
banger	バンガー
banish	追い払う
banished	追放された
banishment	追放
banister	邪魔者
banjo	バンジョー
bank	バンク
banker	バンカー
banking	銀行業
bankroll	資金
bankrupt	破産
bankruptcy	倒産
banner	バナー
banquet	バンケット
banshee	バンシー
banter	冗談
banzai	NO TRANSLATION
baptism	洗礼
baptismal	洗礼
baptize	バプテスマ
bar	バー
barb	かっこ
barbarian	野蛮人
barbaric	野蛮な
barbarism	野蛮主義
barbecue	バーベキュー
barbed	野蛮
barber	理容師
barbershop	理髪店
barbie doll	バービー人形
bard	バード
bare	裸
bareback	ベアバック
barefoot	裸足
barely	かろうじて
barf	バーフ
bargain	バーゲン
bargaining	交渉
barge	バージ
baritone	バリトン
barium	バリウム
bark	樹皮
barkeep	バーケープ
barks	吠える
barley	オオムギ
barmaid	武装した
barman	バーマン
barn	納屋
barnacle	フジツボ
barney	バーニー
barnyard	納屋
barometer	バロメーター
baron	男爵
baroness	男爵
baroque	バロック
barrack	バラック
barracuda	バラクーダ
barrage	弾幕
barred	禁止
barrel	バレル
barren	不毛
barricade	バリケード
barrier	バリア
barring	禁止
barrister	弁護士
barroom	バールーム
barrow	手押し車
bartender	バーテンダー
barter	バーター
base	ベース
baseball	野球
baseball bat	野球用バット
baseboard	ベースボード
baseless	根拠のない
baseline	ベースライン
baseman	ベースマン
basement	地下
bases	ベース
bash	バッシュ
bashful	恥ずかしそうな
basic	基本的な
basics	基本
basil	バジル
basilica	大聖堂
basin	流域
basis	基礎
bask	バス
basket	バスケット
basketball	バスケットボール
bass	ベース
bass guitar	ベースギター
basso	NO TRANSLATION
bassoon	ファゴット
bastard	クソ野郎
bastarding	野郎
bastards	野郎
bastion	要塞
bat	コウモリ
batch	バッチ
batching	バッチ処理
bate	NO TRANSLATION
bath	浴
bathe	入浴
bathhouse	バスルーム
bathing	入浴
bathrobe	バスローブ
bathroom	バスルーム
bathtub	バスタブ
bathymetry	水深
baton	バトン
battalion	大隊
batter	バター
battered	殴られた
battering	打撃
battery	電池
battle	戦い
battled	戦った
battlefield	戦場
battleground	戦場
battlements	胸像
battleship	戦艦
batty	バット
bauble	bauble
bawdy	ボウディ
bawl	ボウル
bay	湾
bayonet	バヨネット
bayou	バユ
bazaar	バザール
bazooka	バズーカ
bday	bday
be	〜する
beach	ビーチ
beaches	ビーチ
beacon	ビーコン
bead	ビーズ
beading	ビーディング
beads	ビーズ
beady	ビーディー
beagle	ビーグル
beak	嘴
beaker	ビーカー
beam	ビーム
beaming	ビーム
bean	豆
beanbag	豆袋
beanie	ビーニー
bear	くま
bearable	忍耐強い
beard	ひげ
bearded	ひげそり
bearer	ベアラー
bearing	ベアリング
bearings	ベアリング
bearish	弱気な
bearskin	ビースキン
beast	獣
beastly	獣医
beat	ビート
beaten	殴られた
beater	ビーター
beating	打つ
beatnik	ビートニク
beau	ビー
beautification	美化
beautiful	綺麗な
beautify	美しく
beauty	美しさ
beaver	ビーバー
bebop	ビバップ
beck	いけない
beckon	手を振る
become	〜になる
bed	ベッド
bedding	寝具
bedpan	便器
bedrock	岩盤
bedroom	寝室
bedside	ベッドサイド
bedspread	ベッドカバー
