Word	kn
accomplice	ಸಹಾಯಕ
accomplish	ಸಾಧಿಸು
accomplished	ಸಾಧಿಸಬಹುದು
accomplishment	ಸಾಧನೆ
accord	ಒಪ್ಪಂದ
accordance	ಅನುಗುಣವಾಗಿ
accordion	ಅಕಾರ್ಡಿಯನ್
account	ಖಾತೆ
accountability	ಹೊಣೆಗಾರಿಕೆ
accountable	ಜವಾಬ್ದಾರಿಯುತ
accountant	ಅಕೌಂಟೆಂಟ್
accounting	ಲೆಕ್ಕಪತ್ರ
accounts	ಖಾತೆಗಳು
accredited	ಮಾನ್ಯತೆ ಪಡೆದಿದೆ
accretion	ಸಂಚಯ
accrue	ಸೇರಿಕೊಳ್ಳಿ
accueil	NO TRANSLATION
accumulate	ಸಂಗ್ರಹಿಸು
accumulation	ಶೇಖರಣೆ
accuracy	ನಿಖರತೆ
accurate	ನಿಖರವಾದ
accursed	ಶಾಪಗ್ರಸ್ತವಾಗಿದೆ
accusation	ಆರೋಪ
accusative	ಆರೋಪಿಸು
accuse	ಆರೋಪಿಸಿ
accused	ಆರೋಪಿ
accuser	ಆರೋಪಿಸು
accusing	ಆರೋಪಿಸಿ
accustomed	ಒಗ್ಗಿಕೊಂಡಿದೆ
ace	ಎಕ್ಕ
acetic	ಅಸಿಟಿಕ್
acetylene	ಅಸಿಟಲೀನ್
ache	ನೋವು
achieve	ಸಾಧಿಸು
achieved	ಸಾಧಿಸಿದೆ
achievement	ಸಾಧನೆ
aching	ನೋವುಂಟು ಮಾಡುವಿಕೆ
achy	ಅಚಿ
acid	ಆಮ್ಲ
acidity	ಆಮ್ಲತೆ
acknowledge	ಅಂಗೀಕರಿಸಿ
acknowledged	ಒಪ್ಪಿಕೊಂಡಿದ್ದಾರೆ
acknowledgement	ಸ್ವೀಕೃತಿ
acknowledgment	ಸ್ವೀಕೃತಿ
acme	ಆಕ್ಮೆ
acne	ಮೊಡವೆ
acorn	ಆಕ್ರಾನ್
acoustic	ಅಕೌಸ್ಟಿಕ್
acoustics	ಅಕೌಸ್ಟಿಕ್ಸ್
acquaint	ಪರಿಚಯ
acquaintance	ಪರಿಚಯ
acquainted	ಪರಿಚಯವಾಯಿತು
acquiescence	ಸ್ವಾಧೀನತೆ
acquire	ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳಿ
acquiring	ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು
acquisition	ಸ್ವಾಧೀನ
acquisitions	ಸ್ವಾಧೀನಗಳು
acquit	ತಪ್ಪಿಸು
acquittal	ಖುಲಾಸೆ
acre	ಎಕರೆ
acreage	ಎಕರೆ
acres	ಎಕರೆ
acrobat	ಅಕ್ರೋಬ್ಯಾಟ್
acrylic	ಅಕ್ರಿಲಿಕ್
act	ಕ್ರಿಯೆ
acting	ನಟನೆ
action	ಕ್ರಿಯೆ
action figure	ಆಕ್ಷನ್ ಫಿಗರ್
actionable	ಕ್ರಿಯಾತ್ಮಕ
activate	ಸಕ್ರಿಯಗೊಳಿಸಿ
activation	ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
active	ಸಕ್ರಿಯವಾಗಿದೆ
activist	ಕಾರ್ಯಕರ್ತ
activity	ಚಟುವಟಿಕೆ
actor	ನಟ
actress	ನಟಿ
actual	ನಿಜವಾದ
actuality	ವಾಸ್ತವತೆ
actuary	ಕಾರ್ಯಾಚರಣೆ
acuity	ತೀಕ್ಷ್ಣತೆ
acumen	ಕುಶಾಗ್ರಮತಿ
acupuncture	ಅಕ್ಯುಪಂಕ್ಚರ್
acute	ತೀವ್ರ
acutely	ತೀವ್ರವಾಗಿ
ad	ಜಾಹೀರಾತು
adage	ನಿಷ್ಠೆ
adamant	ಅಚಲ
adapt	ಹೊಂದಿಕೊಳ್ಳಿ
adaptable	ಹೊಂದಿಕೊಳ್ಳಬಲ್ಲ
adaptation	ರೂಪಾಂತರ
add	ಸೇರಿಸಿ
added	ಸೇರಿಸಲಾಗಿದೆ
addendum	ಸೇರಿಸು
adder	ಆಡ್ಕರ್
addict	ವ್ಯಸನಿ
addicted	ಗೀಳು
addiction	ಚಟ
addictive	ಚಟ
addition	ಜೊತೆಗೆ
additional	ಹೆಚ್ಚುವರಿ
additive	ಸಂಯೋಜಕವಾಗಿ
address	ವಿಳಾಸ
addressee	ವಿಳಾಸಕಾರ
addresses	ವಿಳಾಸಗಳು
adept	ಪ್ರವೀಣ
adequacy	ಸಮರ್ಪಕ
adequate	ಸಾಕಷ್ಟು
adhere	ಅಂಟಿಕೊಳ್ಳಿ
adherence	ನಿಷ್ಠೆ
adherent	ಅನುಯಾಯಿ
adhering	ಅಂಟಿಕೊಂಡಿರುವುದು
adhesion	ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
adhesive	ಅಂಟು
adieu	ಅಡಿಯು
adipose	ಅಡಿಪೋಸ್
adjacency	ಪಕ್ಕದ
adjacent	ಪಕ್ಕದ
adjective	ವಿಶೇಷಣ
adjoining	ಪಕ್ಕದ
adjourn	ಮುಂದೂಡು
adjournment	ಮುಂದೂಡಿಕೆ
adjudicate	ನಿರ್ಣಯಿಸು
adjudication	ತೀರ್ಮಾನ
adjunct	ಅನುಚಿತ
adjust	ಸರಿಹೊಂದಿಸು
adjuster	ಹೊಂದಾಣಿಕೆ
adjustment	ಹೊಂದಾಣಿಕೆ
adjuvant	ಸಹಾನುಭೂತಿ
admin	ನಿರ್ವಹಣೆ
administer	ನಿರ್ವಹಿಸು
administration	ಆಡಳಿತ
administrative	ಆಡಳಿತಾತ್ಮಕ
administrator	ನಿರ್ವಾಹಕರು
admirable	ಪ್ರಶಂಸನೀಯ
admiral	ಅಡ್ಮಿರಲ್
admiralty	ಅಡ್ಮಿರಾಲ್ಟಿ
admiration	ಮೆಚ್ಚುಗೆ
admire	ಅಚ್ಚುಮೆಚ್ಚು
admired	ಮೆಚ್ಚುಗೆ
admirer	ಅಭಿಮಾನಿ
admiring	ಮೆಚ್ಚುಗೆ
admissibility	ಒಪ್ಪಿಕೊಳ್ಳುವಿಕೆ
admissible	ಒಪ್ಪಿಕೊಳ್ಳಬಲ್ಲದು
admission	ಪ್ರವೇಶ
admit	ಒಪ್ಪಿಕೊಳ್ಳಿ
admittance	ಪ್ರವೇಶ
admitted	ಒಪ್ಪಿಕೊಂಡರು
admitting	ಒಪ್ಪಿಕೊಳ್ಳುವುದು
admixture	ಮಿಶ್ರಣ
admonition	ಎಚ್ಚರಿಕೆ
ado	ಅಡೋ
adobe	ಅಡೋಬ್
adolescence	ಹದಿಹರೆಯದವರು
adolescent	ಹರೆಯದ
adopt	ಅಳವಡಿಸಿಕೊಳ್ಳಿ
adoption	ದತ್ತು
adoptive	ಅಳವಡಿಸಿಕೊಳ್ಳುವುದು
adorable	ಆರಾಧ್ಯ
adoration	ಆರಾಧನೆ
adore	ಪೂಜಿಸು
adoring	adoring
adorn	ಅಲಂಕರಿಸು
adornment	ಅಲಂಕರಿಸುವುದು
adrenalin	ಅಡ್ರಿನಾಲಿನ್
adrenaline	ಅಡ್ರಿನಾಲಿನ್
adrift	ಅಲೆಯುವ
adult	ವಯಸ್ಕ
adulterated	ಕಲಬೆರಕೆ
adulterer	ವ್ಯಭಿಚಾರಗಾರ
adultery	ವ್ಯಭಿಚಾರ
adulthood	ಪ್ರೌಢಾವಸ್ಥೆ
advance	ಮುನ್ನಡೆ
advanced	ಮುಂದುವರಿದಿದೆ
advancement	ಪ್ರಗತಿ
advancing	ಮುಂದುವರೆಯುತ್ತಿದೆ
advantage	ಪ್ರಯೋಜನ
advantageous	ಅನುಕೂಲಕರ
advent	ಆಗಮನ
adventure	ಸಾಹಸ
adventurer	ಸಾಹಸಿ
adventures	ಸಾಹಸಗಳು
adventurous	ಸಾಹಸಮಯ
adversary	ಎದುರಾಳಿ
adverse	ಪ್ರತಿಕೂಲ
adversity	ಪ್ರತಿಕೂಲತೆ
advertise	ಜಾಹೀರಾತು ಮಾಡಿ
advertisement	ಜಾಹೀರಾತು
advertising	ಜಾಹೀರಾತು
adverts	ಜಾಹೀರಾತುಗಳು
advice	ಸಲಹೆ
advisable	ಸಲಹೆ
advise	ಸಲಹೆ
advised	ಸಲಹೆ
advisement	ಸಲಹೆ
adviser	ಸಲಹೆಗಾರ
advisor	ಸಲಹೆಗಾರ
advisory	ಸಲಹಾ
advocacy	ಸಮರ್ಥನೆ
advocate	ವಕೀಲರು
aegis	ಆಜೀಸ್
aeration	ವಾತಾಯನ
aerial	ವೈಮಾನಿಕ
aerobics	ಏರೋಬಿಕ್ಸ್
aerodrome	ಏರೋಡ್ರೋಮ್
aerodynamic	ವಾಯುಬಲವಿಜ್ಞಾನ
aerodynamics	ವಾಯುಬಲವಿಜ್ಞಾನ
aeronautics	ಏರೋನಾಟಿಕ್ಸ್
aeroplane	ವಿಮಾನದ
aerospace	ಅಂತರಿಕ್ಷಯಾನ
aesthetic	ಸೌಂದರ್ಯದ
aesthetics	ಸೌಂದರ್ಯಶಾಸ್ತ್ರ
aetiology	ರಸಾಯನಶಾಸ್ತ್ರ
afar	ದೂರಕ್ಕೆ
affable	ಅನುಕೂಲಕರ
affair	ಸಂಬಂಧ
affect	ಪರಿಣಾಮ
affecting	ಬಾಧಿಸುವ
affection	ಪ್ರೀತಿ
affectionate	ಅಕ್ಕರೆಯ
affections	ಪ್ರೀತಿ
affiche	NO TRANSLATION
affidavit	ಅಫಿಡವಿಟ್
affiliated	ಅಂಗಸಂಸ್ಥೆ
affiliation	ಅಂಗಸಂಸ್ಥೆ
affinity	ಆಕರ್ಷಣೆ
affirm	ದೃಢೀಕರಿಸಿ
affirmation	ದೃಢೀಕರಣ
affirmative	ಸಮರ್ಥನೀಯ
affirmatively	ದೃಢವಾಗಿ
affix	ಅಫಿಕ್ಸ್
afflict	ತೊಂದರೆ
afflicted	ಪೀಡಿತ
affliction	ದುಃಖ
affluence	ಸಂಪತ್ತು
affluent	ಶ್ರೀಮಂತ
afford	ಪಡೆಯಲು
affordable	ಕೈಗೆಟುಕುವ
affront	ಅಫ್ರಾಂಟ್
affronted	ಎದುರಾಳಿ
afield	ದೂರದಿಂದಲೇ
afire	ಬೆಂಕಿ
afloat	ತೇಲುತ್ತದೆ
afore	ಮೊದಲು
aforementioned	ಮೇಲೆ ತಿಳಿಸಿದ
aforesaid	ಅಫೋರ್ಸೈಡ್
afraid	ಭಯ
afresh	ಹೊಸದಾಗಿ
african	ಆಫ್ರಿಕನ್
aft	ಹಿಂದೆ
afterlife	ಮರಣಾನಂತರದ ಜೀವನ
aftermath	ಪರಿಣಾಮ
afternoon	ಮಧ್ಯಾಹ್ನ
aftershave	ಆಫ್ಟರ್ ಷೇವ್
aftertaste	ನಂತರದ ರುಚಿ
afterthought	ನಂತರದ ಭಾವನೆ
aga	NO TRANSLATION
agape	ಅಗಾಪೆ
agate	ಅಗೇಟ್
age	ವಯಸ್ಸು
aged	ವಯಸ್ಸಾದವರು
agency	ಸಂಸ್ಥೆ
agenda	ಕಾರ್ಯಸೂಚಿ
agent	ದಳ್ಳಾಲಿ
agglomeration	ಒಟ್ಟುಗೂಡುವಿಕೆ
aggravate	ಉಲ್ಬಣಗೊಳಿಸು
aggravated	ಉಲ್ಬಣಗೊಂಡಿದೆ
aggravates	ಉಲ್ಬಣಗೊಳ್ಳುತ್ತದೆ
aggravating	ಉಲ್ಬಣಗೊಳಿಸುತ್ತದೆ
aggravation	ಉಲ್ಬಣಗೊಳ್ಳುವಿಕೆ
aggregate	ಒಟ್ಟು
aggregation	ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
aggresive	NO TRANSLATION
aggression	ಆಕ್ರಮಣಶೀಲತೆ
aggressive	ಆಕ್ರಮಣಕಾರಿ
aggressively	ಆಕ್ರಮಣಕಾರಿಯಾಗಿ
aggressiveness	ಆಕ್ರಮಣಶೀಲತೆ
aggressor	ಆಕ್ರಮಣಕಾರ
agh	agh
aghast	ಅಗಾಸ್ಟ್
aghhh	NO TRANSLATION
agile	ಅಗೈಲ್
agility	ಚುರುಕುತನ
aging	ವಯಸ್ಸಾದ
agitate	ಚಳವಳಿ
agitated	ಕ್ಷೋಭೆಗೊಳಗಾದ
agitation	ಚಳವಳಿ
aglow	aglow
agnostic	ಅಗ್ನೊಸ್ಟಿಕ್
ago	ಹಿಂದೆ
agonizing	ಆಘಾತಕಾರಿ
agony	ಸಂಕಟ
agoraphobia	ಅಗೋರಾಫೋಬಿಯಾ
agree	ಒಪ್ಪುತ್ತೇನೆ
agreeable	ಸಮ್ಮತ
agreed	ಒಪ್ಪಿಗೆ
agreeing	ಒಪ್ಪುತ್ತೀರಿ
agreement	ಒಪ್ಪಂದ
agressive	NO TRANSLATION
agricultural	ಕೃಷಿ
agriculture	ಕೃಷಿ
aground	ನೆಲಕ್ಕೆ
agua	NO TRANSLATION
ahead	ಮುಂದೆ
ahhh	ಅಹಹ್
ahhhhhhhh	NO TRANSLATION
ahoy	ಅಹಾಯ್
aid	ನೆರವು
aide	ಸಹಾಯಕ
aiding	ಸಹಾಯ
aids	ಸಹಾಯಕಗಳು
ail	ಅಯ್ಲ್
ailing	ಅನಾರೋಗ್ಯ
ailment	ಕಾಯಿಲೆ
aim	ಗುರಿ
aimless	ಗುರಿಹೀನ
air	ಗಾಳಿ
airbag	ಏರ್ಬಾಗ್
airborne	ವಾಯುಗಾಮಿ
aircraft	ವಿಮಾನ
aircraft carrier	ವಿಮಾನವಾಹಕ ನೌಕೆ
airfield	ವಿಮಾನ ನಿಲ್ದಾಣ
airhead	ಏರ್ಹೆಡ್
airlift	ಏರ್ಲಿಫ್ಟ್
airline	ಏರ್ಲೈನ್
airliner	ಏರ್ಲೈನರ್
airlock	ಏರ್ಲಾಕ್
airman	ಏರ್ ಮ್ಯಾನ್
airplane	ವಿಮಾನದ
airport	ವಿಮಾನ ನಿಲ್ದಾಣ
airs	ಏರ್ಗಳು
airship	ವಾಯುನೌಕೆ
airspace	ವಾಯುಪ್ರದೇಶ
airspeed	ಏರ್ಸ್ಪೀಡ್
airstrip	ಏರ್ಸ್ಟ್ರಿಪ್
airtight	ಗಾಳಿಗುರುತು
airway	ವಾಯುಮಾರ್ಗ
aisle	ಹಜಾರ
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ಅಕಾ
akin	ಅಕ್ಕ
alabaster	ಅಲಬಾಸ್ಟರ್
alarm	ಎಚ್ಚರಿಕೆ
alarm clock	ಅಲಾರಾಂ ಗಡಿಯಾರ
alarmed	ಭಯಂಕರ
alarming	ಗಾಬರಿಗೊಳಿಸುವ
alas	ಅಯ್ಯೋ
alb	NO TRANSLATION
albatross	ಕಡಲುಕೋಳಿ
albino	ಅಲ್ಬಿನೋ
album	ಆಲ್ಬಮ್
alchemy	ರಸವಿದ್ಯೆ
alcohol	ಆಲ್ಕೋಹಾಲ್
alcoholic	ಆಲ್ಕೊಹಾಲ್ಯುಕ್ತ
alcoholism	ಮದ್ಯಪಾನ
alcove	alcove
alderman	ಆಲ್ಡರ್ಮ್ಯಾನ್
ale	NO TRANSLATION
alert	ಎಚ್ಚರಿಕೆ
alertness	ಜಾಗರೂಕತೆ
alerts	ಎಚ್ಚರಿಕೆಗಳು
alfalfa	ಕುದುರೆ ಮೇವಿನ ಸೊಪ್ಪು
algebra	ಬೀಜಗಣಿತ
algebraic	ಬೀಜಗಣಿತ
algorithm	ಅಲ್ಗಾರಿದಮ್
alias	ಅಲಿಯಾಸ್
alibi	ಬೇರೆಬೇರೆ
alien	ಪರಕೀಯ
alienate	ದೂರಮಾಡು
alienated	ಅನ್ಯಲೋಕದ
alienation	ಬೇರ್ಪಡಿಸುವಿಕೆ
alight	ಇಳಿಜಾರು
align	align
aligned	ಜೋಡಿಸಿದ
alignment	ಜೋಡಣೆ
alike	ಸಮಾನವಾಗಿ
alimentation	NO TRANSLATION
alimony	ಜೀವನಾಂಶ
aliquot	aliquot
alive	ಜೀವಂತವಾಗಿ
alkali	ಕ್ಷಾರ
alkaloids	ಆಲ್ಕಲಾಯ್ಡ್ಸ್
allay	ಕ್ಷಮಿಸಿ
allegation	ಆರೋಪ
allege	ಆರೋಪಿಸಿ
alleged	ಆರೋಪಿಸಲಾಗಿದೆ
allegiance	ನಿಷ್ಠೆ
allegorical	ಸಾಂಕೇತಿಕ
allegory	ವ್ಯಂಗ್ಯಚಿತ್ರ
allegro	ಅರೆಗ್ರೋ
allergic	ಅಲರ್ಜಿ
allergy	ಅಲರ್ಜಿ
alleviate	ನಿವಾರಿಸು
alleviation	ನಿವಾರಣೆ
alley	ಅಲ್ಲೆ
alleyway	ಅಲ್ಲೆವೇ
alliance	ಮೈತ್ರಿ
allied	ಮೈತ್ರಿ
alligator	ಅಲಿಗೇಟರ್
allocate	ನಿಯೋಜಿಸಿ
allocation	ಹಂಚಿಕೆ
allot	ಹಂಚಿಕೆ
allotment	ಹಂಚಿಕೆ
allow	ಅನುಮತಿಸು
allowable	ಅನುಮತಿಸಲಾಗುವುದು
allowance	ಅನುಮತಿ
allowed	ಅನುಮತಿಸಲಾಗಿದೆ
alloy	ಮಿಶ್ರಲೋಹ
allsmiles	NO TRANSLATION
allure	ಆಸೆ
alluring	ಸೌಮ್ಯ
allusion	ಪ್ರಸ್ತಾಪ
alluvial	ಮೆಕ್ಕಲು
ally	ಮಿತ್ರರಾಷ್ಟ್ರ
almanac	ಅಲ್ಮಾನಕ್
almighty	ಆಲ್ಮೈಟಿ
almond	ಬಾದಾಮಿ
aloft	ಎತ್ತರದ
aloha	ಅಲೋಹಾ
alone	ಕೇವಲ
alongside	ಜೊತೆಗೆ
aloof	ಪ್ರತ್ಯೇಕವಾಗಿ
aloud	ಗಟ್ಟಿಯಾಗಿ
alpha	ಆಲ್ಫಾ
alphabet	ವರ್ಣಮಾಲೆ
alphabetical	ವರ್ಣಮಾಲೆಯ
alpine	ಆಲ್ಪೈನ್
alreadyyyyy	ಈಗಾಗಲೇ ಹೇಳುವುದಾಗಿದೆ
altar	ಬಲಿಪೀಠ
altar boy	ಬಲಿಪೀಠದ ಹುಡುಗ
alter	ಬದಲಾಯಿಸು
alteration	ಮಾರ್ಪಾಡು
altercation	ವಾಗ್ವಾದ
altered	ಬದಲಾದ
alternate	ಪರ್ಯಾಯ
alternating	ಪರ್ಯಾಯ
alternative	ಪರ್ಯಾಯ
altimeter	ಎತ್ತರಮಾಪಕ
altitude	ಎತ್ತರ
alto	ಆಲ್ಟೊ
altogether	ಒಟ್ಟಾರೆ
aluminum	ಅಲ್ಯೂಮಿನಿಯಂ
alumnus	ಹಳೆಯ ವಿದ್ಯಾರ್ಥಿ
alveolar	ಹಲ್ಲುಗೂಡು
alzheimers	NO TRANSLATION
amalgam	ಮಿಶ್ರಣ
amalgamation	ಮಿಶ್ರಣ
amaretto	amaretto
amass	ಒಟ್ಟುಗೂಡಿ
amateur	ಹವ್ಯಾಸಿ
amaze	ವಿಸ್ಮಯಗೊಳಿಸು
amazed	ಆಶ್ಚರ್ಯಚಕಿತನಾದನು
amazedness	NO TRANSLATION
amazement	ಆಶ್ಚರ್ಯ
amazing	ಅದ್ಭುತ
amazingly	ವಿಸ್ಮಯಕಾರಿಯಾಗಿ
ambassador	ರಾಯಭಾರಿ
amber	ಅಂಬರ್
ambience	ಪರಿಸರ
ambient	ಸುತ್ತುವರಿದ
ambiguity	ಅಸ್ಪಷ್ಟತೆ
ambiguous	ಅಸ್ಪಷ್ಟ
ambit	ಪರಿಮಿತಿ
ambition	ಮಹತ್ವಾಕಾಂಕ್ಷೆ
ambitious	ಮಹತ್ವಾಕಾಂಕ್ಷೆಯ
ambivalent	ಅಸ್ಪಷ್ಟ
ambrosia	ಅಮೃತ
ambulance	ಆಂಬ್ಯುಲೆನ್ಸ್
ambush	ಹೊಂಚುದಾಳಿ
ameliorate	ಸುಧಾರಿಸು
amen	ಅಮನ್
amenable	ಸರಿಹೊಂದಿಸಬಹುದು
amend	ತಿದ್ದುಪಡಿ ಮಾಡಿ
amendment	ತಿದ್ದುಪಡಿ
amends	ತಿದ್ದುಪಡಿ ಮಾಡಿದೆ
amenity	ಅಮನೆಟಿ
amethyst	ಅಮೆಥಿಸ್ಟ್
amiable	ಸ್ನೇಹಪರ
amicable	ಸ್ನೇಹಪರ
amid	ಮಧ್ಯೆ
amidst	ಮಧ್ಯೆ
amino	ಅಮಿನೊ
ammo	ammo
ammonia	ಅಮೋನಿಯ
ammonium	ಅಮೋನಿಯಂ
ammunition	ಯುದ್ಧಸಾಮಗ್ರಿ
amnesia	ವಿಸ್ಮೃತಿ
amnesty	ಅಮ್ನೆಸ್ಟಿ
amorous	ಕಾಮುಕ
amorphous	ಅಸ್ಫಾಟಿಕ
amortization	ಭೋಗ್ಯ
amount	ಮೊತ್ತ
amour	NO TRANSLATION
amp	amp
ampersand	ವನ್ನಾಗಲಿ
amphetamines	ಆಂಫೆಟಮೈನ್ಗಳು
amphibian	ಉಭಯಚರ
amphibious	ಉಭಯಚರ
amphitheater	ಆಂಫಿಥೀಟರ್
ample	ಸಾಕಷ್ಟು
amplification	ವರ್ಧನೆ
amplify	ವರ್ಧಿಸಲು
amplitude	ವೈಶಾಲ್ಯ
amply	ಸಮರ್ಪಕವಾಗಿ
amputate	ಕತ್ತರಿಸಿ
amputation	ವಿಭಜನೆ
amuck	ನಯಮಾಡು
amulet	ತಾಯಿತ
amuse	ವಿನೋದಪಡಿಸು
amused	ವಿನೋದಪಡಿಸಲಾಗಿದೆ
amusement	ಮನರಂಜನಾ
amusing	ಮನರಂಜಿಸುವ
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	ಅರಿವಳಿಕೆ
anaesthetic	ಅರಿವಳಿಕೆ
anagram	ಅನಗ್ರಾಮ್
anal	ಗುದ
analgesic	ನೋವು ನಿವಾರಕ
analogous	ಹೋಲುತ್ತದೆ
analogue	ಅನಲಾಗ್
analogy	ಸಾದೃಶ್ಯ
analysis	ವಿಶ್ಲೇಷಣೆ
analyst	ವಿಶ್ಲೇಷಕ
analytic	ವಿಶ್ಲೇಷಣಾತ್ಮಕ
analytical	ವಿಶ್ಲೇಷಣಾತ್ಮಕ
analyze	ವಿಶ್ಲೇಷಿಸು
analyzer	ವಿಶ್ಲೇಷಕ
anaphylactic	ಅನಾಫಿಲ್ಯಾಕ್ಟಿಕ್
anarchism	ಅರಾಜಕತೆ
anarchist	ಅರಾಜಕತಾವಾದಿ
anarchy	ಅರಾಜಕತೆ
anastomosis	ಅನಾಸ್ಟೊಮೊಸಿಸ್
anathema	ಮುಗ್ಧತೆ
anatomic	ಅಂಗರಚನಾಶಾಸ್ತ್ರ
anatomy	ಅಂಗರಚನಾಶಾಸ್ತ್ರ
