Word	su
adolescent	rumaja
adopt	ngukut anak
adoption	kukut
adoptive	adoptive
adorable	pikaresepeun
adoration	adoration
adore	muja
adoring	adoring
adorn	ngahias
adornment	adornment
adrenalin	adrenalin
adrenaline	adrenaline
adrift	ngapung
adult	dewasa
adulterated	meruhkeun
adulterer	adulterer
adultery	kajinahan
adulthood	dewasa
advance	ngamajukeun
advanced	maju
advancement	kamajuan
advancing	advancing
advantage	Kauntungannana
advantageous	nguntungkeun
advent	Advent
adventure	pangalalanaan
adventurer	nu ngalalana
adventures	adventures
adventurous	Dongeng
adversary	musuh
adverse	ngarugikeun
adversity	adversity
advertise	ngareklameukeun
advertisement	reklameu
advertising	perkara reklameu
adverts	adverts
advice	pituah
advisable	sasaena
advise	mamatahan
advised	disarankan
advisement	advisement
adviser	panasehat
advisor	panaséhat
advisory	piwuruk
advocacy	advokasi
advocate	nyarankeun
aegis	aegis
aeration	aeration
aerial	hawa
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	aerodinamika
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	kapal udara
aerospace	aerospace
aesthetic	kaendahan
aesthetics	estetika
aetiology	aetiology
afar	Afar
affable	affable
affair	urusan
affect	mangaruhan
affecting	mangaruhan
affection	kaasih
affectionate	kaasih pisan
affections	affections
affiche	NO TRANSLATION
affidavit	surat penting jeung sah
affiliated	filial
affiliation	karaketan
affinity	pangirut
affirm	ngeceskeun
affirmation	negeskeun
affirmative	satuju
affirmatively	affirmatively
affix	nambahan
afflict	sangsara
afflicted	afflicted
affliction	kasangsaraan
affluence	kamakmuran
affluent	makmur
afford	mampuh
affordable	affordable
affront	affront
affronted	affronted
afield	afield
afire	afire
afloat	ngambang
afore	afore
aforementioned	disebut tadi
aforesaid	aforesaid
afraid	sieun
afresh	afresh
african	Aprika
aft	aft
afterlife	alam baka
aftermath	ceurik getih
afternoon	burit
aftershave	aftershave
aftertaste	aftertaste
afterthought	afterthought
aga	NO TRANSLATION
agape	agape
agate	agate
age	umur
aged	yuswa
agency	agen
agenda	agenda
agent	agen
agglomeration	agglomeration
aggravate	nganyenyerikeun hate
aggravated	aggravated
aggravates	aggravates
aggravating	ngakeuheulkeun
aggravation	kakeuheul
aggregate	agrégat
aggregation	aggregation
aggresive	NO TRANSLATION
aggression	agresi
aggressive	agresip
aggressively	aggressively
aggressiveness	aggressiveness
aggressor	nu merangan
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	tangkas
agility	agility
aging	sepuh
agitate	ngeundeurkeun
agitated	agitated
agitation	agitation
aglow	aglow
agnostic	agnostik
ago	tukang
agonizing	agonizing
agony	kanyeri nu nyosok jero
agoraphobia	agoraphobia
agree	satuju
agreeable	bisa disatujuan
agreed	disatuju
agreeing	agreeing
agreement	perjangjian
agressive	NO TRANSLATION
agricultural	pertanian
agriculture	pertanian
aground	aground
agua	NO TRANSLATION
ahead	di payun
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	bantuan
aide	ajudan
aiding	aiding
aids	AIDS
ail	ail
ailing	ngagantikeun
ailment	panyakit enteng
aim	tujul
aimless	aimless
air	hawa
airbag	airbag
airborne	airborne
aircraft	kapal udara
aircraft carrier	pamawa pesawat
airfield	airfield
airhead	airhead
airlift	airlift
airline	pausahaan kapal udara
airliner	airliner
airlock	airlock
airman	airman
airplane	kapal udara
airport	palabuan udara
airs	Airs
airship	airship
airspace	airspace
airspeed	airspeed
airstrip	airstrip
airtight	airtight
airway	airway
aisle	lorong
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	sami
alabaster	alabaster
alarm	alarem
alarm clock	jam alarem
alarmed	alarmed
alarming	ngahariwangkeun
alas	Alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	albeum
alchemy	alchemy
alcohol	alkohol
alcoholic	pamabokan
alcoholism	mabok
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	waspada
alertness	alertness
alerts	ngabejaan
alfalfa	alfalfa
algebra	aljabar
algebraic	aljabar
algorithm	algoritma
alias	alias
alibi	alibi
alien	alien
alienate	ngasingkeun
alienated	tebih
alienation	tempat keur ngasingkeun
alight	eunteup
align	ngagabung jadi babarengan
aligned	Blok
alignment	alignment
alike	sarua
alimentation	NO TRANSLATION
alimony	duit sokongan saenggeusna pipisahan
aliquot	aliquot
alive	hirup
alkali	alkali
alkaloids	alkaloid
allay	allay
allegation	sangkaan
allege	allege
alleged	disangka
allegiance	kasatiaan
allegorical	allegorical
allegory	allegory
allegro	allegro
allergic	alergi jeung
allergy	alergi
alleviate	alleviate
alleviation	alleviation
alley	cenik gang
alleyway	alleyway
alliance	ngongkowan
allied	ngagabung jadi babarengan
alligator	aligator
allocate	ngajatah
allocation	jatah
allot	ngabagikeun
allotment	bagean
allow	ngidinkeun
allowable	allowable
allowance	idin
allowed	diwenangkeun
alloy	logam campuran
allsmiles	NO TRANSLATION
allure	mikat
alluring	alluring
allusion	allusion
alluvial	dataran aluvial
ally	babaturan deukeut
almanac	almanac
almighty	nu pang kawasana
almond	buah badam
aloft	aloft
aloha	Dirgahayu
alone	sorangan
alongside	barengan
aloof	aloof
aloud	kalawan tarik
alpha	alfa
alphabet	aksara
alphabetical	nurut aksara
alpine	alpine
alreadyyyyy	alreadyyyyy
altar	altar
altar boy	budak altar
alter	ngarobah
alteration	robahan
altercation	altercation
altered	dirobah
alternate	silih ganti
alternating	bolak
alternative	alternatip
altimeter	altimeter
altitude	luhurna
alto	alto
altogether	sakabehna
aluminum	aluminium
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	amalgamation
amaretto	amaretto
amass	amass
amateur	amatir
amaze	reueus pisan
amazed	amazed
amazedness	NO TRANSLATION
amazement	kaheranan
amazing	endah pisan
amazingly	amazingly
ambassador	duta ageng
amber	damar nu jadi kaya batu
ambience	ambience
ambient	ambient
ambiguity	ambiguitas
ambiguous	ambigu
ambit	ambit
ambition	ambisi
ambitious	gede ambisina
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulan
ambush	tewak
ameliorate	ameliorate
amen	amin
amenable	amenable
amend	ngajadikeun amandemen
amendment	amandemen
amends	amends
amenity	amenity
amethyst	amethyst
amiable	amiable
amicable	hade hatena
amid	Ditengah
amidst	amidst
amino	amino
ammo	ammo
ammonia	amoniak
ammonium	amonium
ammunition	amunisi
amnesia	gering gampang poho ingetan
amnesty	pangampuran hukuman tina kapala nagara
amorous	amorous
amorphous	amorf
amortization	amortization
amount	jumlah
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	Kujang.jpg
ample	luas
amplification	Gedekeun
amplify	ngajadikeun leuwih tarik
amplitude	amplitudo
amply	amply
amputate	motong
amputation	amputasi
amuck	amuck
amulet	jimat
amuse	ngahibur
amused	amused
amusement	raramean
amusing	lucu
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	ubar keur ngabius
anagram	anagram
anal	anal
analgesic	analgesic
analogous	analog
analogue	analog
analogy	analogi
analysis	analisa
analyst	analis
analytic	analytic
analytical	analitik
analyze	nganalisa
analyzer	analyzer
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarkis
anarchy	tanpa aturan
anastomosis	anastomosis
anathema	anathema
anatomic	anatomik
anatomy	anatomi
ancestor	nini moyang
ancestral	ancestral
ancestry	luluhur
anchor	jangkar
anchorage	Anchorage
ancient	kuno
ancillary	ancillary
androgen	androgén
android	android
anecdote	anecdote
anemia	anémia
anemic	anemik
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	ubar keur ngabius
aneurysm	aneurysm
anew	anew
angel	malaikat
angelic	angelic
anger	ambek-ambekan
angered	angered
angermanagement	NO TRANSLATION
angina	panghina
angiogram	angiogram
angiography	angiography
angle	juru
angling	angling
angora	Angora
angriest	angriest
angry	ambek
angrytweet	NO TRANSLATION
angst	angst
anguish	anguish
anguished	anguished
angular	sudut
anhydrous	anhidrat
animal	hewan
animate	ngahirupkeun
animated	animasi
animation	animasi
animosity	kanyeri
animus	animus
ankle	pigeulang suku
anklet	anklet
annals	annals
annex	papiliun
annexation	anéksasi
annexe	NO TRANSLATION
annihilate	ngahancurkeun
annihilated	annihilated
annihilation	cara ngaremukan
anniversary	pangeling-eling
annotate	annotate
annotation	annotation
announce	ngembarkeun
announcement	bewara
announcer	jelema nu nyebarkeun
annoy	ngaganggu
annoyance	gangguan
annoyed	annoyed
annoyin	NO TRANSLATION
annoying	ganggu
annoys	annoys
annual	unggal taun
annuity	annuity
annul	ngabatalkeun
annular	annular
annulment	pembatalan
annulus	annulus
anointed	anointed
anointing	anointing
anomalous	anomalous
anomaly	anomali
anon	anon
anonymity	anonymity
anonymous	henteu aya namina
anorexic	anorexic
answer	jawaban
answerable	bisa kajawab
answering	ngajawaban
ant	sireum
antagonism	mumusuhan
antagonist	antagonis
antagonistic	antagonistic
antagonize	pikangewaeun
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelop
antenna	antena
anterior	anterior
anthem	gubahan musik
anthill	imah sireum
anthology	antologi
anthrax	anthrax
anthropological	anthropological
anthropologist	anthropologist
anthropology	antropologi
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotik
antibiotics	antibiotik
antichrist	Dajjal
anticipate	ngaramalkeun nu bakal kajadian
anticipation	antisipasi
anticipatory	anticipatory
antics	antics
antidote	ubar keur nawarkeun racun
antifungal	antifungal
antigravity	antigravity
antimony	antimony
antipathy	antipati
antiquarian	antiquarian
antiquated	baheula
antique	antik
antiques	antik
antiquity	barang antik
antiseptic	antiseptik
antisocial	antisocial
antithesis	antithesis
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy
anus	bool
anvil	dasar
anxiety	kaayaan guligah
anxietyattack	NO TRANSLATION
anxious	guligah
anxiousness	anxiousness
anytime	iraha bae
aorta	aorta
aortic	aortic
apace	apace
apache	Apache
apartment	apartemen
apartments	apartemen
apathetic	apathetic
apathy	karaton
ape	kunyuk
aperture	aperture
apex	puncak
aphid	aphid
aphrodisiac	aphrodisiac
apiece	sapotong
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	nyuhunkeun hampura
apologist	apologist
apologize	nyuhunkeun hampura
apology	kahoyong hampura
apostasy	Pemurtadan
apostate	Murtad
apostle	rasul
apostolic	Apostolik
apostrophe	kekenteng
apothecary	apothecary
appalled	appalled
appalling	matak gehger
apparatus	pakakas
apparel	apparel
apparent	katingali
apparently	katingalina
apparition	kaahéngan
appeal	banding
appear	katingali
appearance	katingalian
appease	ngajadikeun eureun
appellant	appellant
append	append
appendage	appendage
appendectomy	appendectomy
appendicitis	usus buntu
appendix	lampiran
appetite	rasa hayang ngedahar
appetizer	appetizer
appetizing	appetizing
applaud	keprok
applause	keprok
apple	apel
apple juice	jus apal
applejack	applejack
applesauce	applesauce
appliance	parabot
appliances	panerapan
applicability	applicability
applicable	bisa dipake
applicant	nu ngalamar
application	aplikasi
apply	ngalamar
appoint	nunjuk
appointment	panunjukeun
appointments	pasini
apportion	apportion
apportionment	apportionment
appraisal	pangajen
appraise	ngajen
appreciable	appreciable
appreciate	ngahargaaan
appreciated	ngaapresiasi
appreciates	appreciates
appreciation	panghargaan
appreciative	appreciative
apprehend	ngarti
apprehension	carana ngarti
apprehensive	hariwang
apprentice	calon pagawe
apprenticeship	magang
approach	ngadeukeutan
approaching	approaching
approbate	NO TRANSLATION
approbation	approbation
appropriate	cocok
appropriation	appropriation
approval	kasatujuan
approve	satuju
approved	disatujuan
approvement	approvement
approving	nyatujuan
approximate	perkiraan
approximately	kira-kira
approximating	approximating
approximation	pendekatan
appurtenances	appurtenances
apricot	alpuket
apron	celemek
apt	apt
aptitude	anleh
aqua	aqua
aquamarine	aquamarine
aquarium	akuarium
aquatic	akuatik
aqueduct	torowongan keur cai
aqueous	cai
arable	subur
arbiter	arbiter
arbitrary	sawenang-wenang
arbitrate	mere kaadilan
arbitration	arbitrasi
arbitrator	juru pisah
arbor	arbor
arc	Gandewa
arcade	arcade
arcane	arcane
arch	bengkokan
archaeological	arkéologis
archaeologist	ahli ngeunaan jaman baheula
archaeology	elmu ngeunaan jaman baheula
archaic	kuno
archangel	archangel
archbishop	archbishop
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	nu manah
archery	panahan
archetype	archetype
archipelago	kapulauan
architect	undagi
architectural	arsitéktur
architecture	gawena undagi
archive	arsip
arctic	Arktik
ardent	ardent
ardor	ardor
arduous	arduous
area	Daérah
arena	pakalangan
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	Euh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	ngabantah
argument	bantahan
argumentation	argumentation
argumentative	suka ngabantah
arguments	alesan
arid	garing
arise	hudang
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	aritmatika
ark	Parahu
arm	panangan
armada	armada
armament	alat perang
armaments	armaments
armature	armature
armchair	korsi nu aya leungeuna
armed	kapakarang
armor	baju wesi
armored	Armored
armory	pabrik pakarang
armpit	kelek
arms	panangan
army	soldadu
aroma	seungit nyambuang
aromatherapy	aromatherapy
arousal	gairah
arouse	ngahudangkeun
aroused	aroused
arraignment	arraignment
arrange	ngatur
arranged	disusun
arrangement	carana nata
array	aturan
arrears	tunggakan
arrest	panahanan
arrhythmia	arrhythmia
arrival	kasumpingan
arrive	sumping
arrogance	kaadigungan
arrogant	bedegong
arrow	jamparing
arsehole	arsehole
arseholes	arseholes
arsenal	gudang pakarang
arsenic	arsén
arson	pameuleuman imah
arsonist	arsonist
art	seni
arterial	artéri
artery	pembuluh nadi
artful	artful
arthritis	radang buku-buku
arthropod	arthropoda
artichoke	tangkal artichoke
article	artikel
articles	artikel
articulate	ngucapkeun
articulation	artikulasi
artifact	artefak
artifice	artifice
artificial	jieunan
artillery	barisan mariem jeung mortir
artisan	artisan
artist	artis
artiste	NO TRANSLATION
artistic	endah
artistry	artistry
artists	seniman
artwork	karya seni
arty	arty
asap	gancang
asbestos	asbés
ascend	naek
ascendancy	ascendancy
ascendant	ascendant
ascending	naek
ascension	Ascension
ascent	pisan
ascertain	ascertain
ascertained	ascertained
ascetic	ascetic
ash	lebu
ashamed	isin
ashes	ashes
ashtray	asbak
asinine	asinine
ask	nanya
asleeep	NO TRANSLATION
asleep	sare
asp	ASP
asparagus	Asparagus
aspartame	aspartame
aspect	aspék
aspects	aspék
aspen	aspen
asphalt	aspal
asphyxia	asphyxia
asphyxiation	sesek napas
aspiration	aspirasi
aspire	aspire
aspirin	aspirin
aspiring	aspiring
ass	burit
assail	assail
assailant	assailant
assassin	jelema nu maehan
assassinate	maehan
assassination	rajapati
assault	narajang
assay	assay
assemblage	assemblage
assemble	papanggih
assembled	dirakit
assembly	papanggihan
assemblyman	assemblyman
assent	assent
assert	ngeceskeun
asserting	asserting
assertion	cindekna
assertive	tegas
assess	ngira-ngira
assessment	taksiran
assessor	assessor
asset	asét
assets	banda
asshole	Bangsat
assign	mere tugas
assignee	assignee
assignment	tugas
assimilate	assimilate
assimilation	asimilasi
assist	mantuan
assistance	bantuan
assistant	asisten
associate	babaturan deukeut
association	perkumpulan
assorted	rupa-rupa
assortment	campuran
assuage	assuage
assume	ngirakeun
assumed	dianggap
assuming	asumsina
assumption	perkiraan
assurance	jaminan
assure	ngajamin
assured	assured
assuredly	assuredly
asterisk	tanda asterik
asteroid	astéroid
asteroids	astéroid
asthma	asma
asthmatic	asthmatic
astigmatism	astigmatism
astonish	astonish
astonished	astonished
astonishing	pikaheraneun
astonishingly	NO TRANSLATION
astonishment	pikaheraneun
astound	ngareureuwas
astral	astral
astray	kasasab
astringent	astringent
astrologer	astrologer
astrology	elmu nujum
astronaut	astronot
astronomer	astronom
astronomical	astronomis
astronomy	elmu ngeunaan palintangan
astute	astute
asunder	asunder
asylum	suaka
asymmetric	asimétri
asymmetry	asymmetry
asymptotic	asimtot
atelier	atelier
atheism	ateisme
atheist	ateis
atheistic	atheistic
atherosclerosis	aterosklerosis
athlete	atlet
athletic	athletic
athleticism	athleticism
athletics	athletics
atlas	atlas
atmosphere	atmosper
atmospheric	atmosfir
atoll	atol
atom	atom
atomic	atomistis
atone	atone
atonement	panebusan
atpeace	atpeace
atrium	atrium
atrocious	atrocious
atrocity	atrocity
atrophy	atrophy
attach	ngalampirkeun
attached	napel
attachment	kantétan
attack	panarajang
attacker	lawan
attacking	narajang
attain	attain
attainable	attainable
attainment	attainment
attempt	nyobaan
attempted	nyoba
attend	ngadatangan
attendance	kadatangan
attendant	rencang
attention	perhatian
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	pinuh perhatian
attenuate	attenuate
attenuated	attenuated
attenuation	atenuasi
attest	ngabuktoskeun
attestation	attestation
attic	loteng
attire	attire
attitude	sikep
attorney	pokrol
attract	pikaresepeun
attraction	kakuatan keur narik ati
attractive	pikaresepeun
attractiveness	daya tarik
attributable	dipake
attribute	atribut
attribution	attribution
attrition	attrition
auburn	Pirang
auction	lelang
auctioneer	auctioneer
audacious	audacious
audacity	AudaCity
audible	karungu
audience	nu haladir
audio	audio
audit	mariksa masalah duit
audition	pamariksaan masalah duit
auditions	auditions
auditor	auditor publik
auditorium	rohangan gede
auditory	auditory
aught	aught
augment	ngagedekeun
augmentation	augmentation
august	Agustus
aunt	bibi
auntie	Tante
aura	aura
aurora	Parakan
auspices	naungan
auspicious	auspicious
austere	austere
austerity	austerity
authentic	asli
authenticate	ngabuktoskeun kaaslianana
authentication	auténtikasi
authenticity	kaaslian
author	nu ngarang
authoritative	nulis
authority	wibawa
authorization	mieun kuwasa
authorize	ngesahkeun
authorized	otorisasi
authorship	Pangarang
autism	autis
autistic	autistic
auto	otomatis
autobiographical	autobiographical
autobiography	otobiografi
autocorrect	autocorrect
autocratic	autocratic
autograph	otograpi
autographed	autographed
automated	otomatis
automatic	otomatis
automobile	mobil
automotive	otomotif
autonomy	otonomi
autopilot	autopilot
autopsy	pamarikasan mayit keur neangan sebab matina
autumn	gugur
auxiliary	bantu
avail	avail
availability	kasadiaan
available	aya
avalanche	salju urug
avarice	avarice
avatar	avatar
avenge	ngabales dengdem
avenger	avenger
avenging	avenging
avenue	jalan gede
aver	NO TRANSLATION
average	rata-rata
aversation	NO TRANSLATION
averse	averse
averseness	averseness
aversion	kahoream
avert	nyegah
aviary	aviary
aviation	hal hiber
aviator	aviator
avid	karanjingan
avocado	alpuket
avoid	nyingkahan
avoidance	nu dijauhkeun
avoiding	Ngahindarkeun
await	ngantosan
awake	ngahudangkeun
awaken	awaken
awakening	awakening
award	panghargaan
awards	panghargaan
aware	eling
awareness	kasadaran
awe	NO TRANSLATION
awed	awed
awesome	Heboh
awesomeness	awesomeness
awestruck	awestruck
awful	pikasieuneun
awkward	kagok
awkwardness	awkwardness
awning	kere
awry	serba salah
axe	kampak
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	as
axle	as
ay	ay
aye	aye
azimuth	azimuth
azure	azure
babble	babble
babbling	babbling
babe	babe
baboon	babun
baby	orok
babysit	babysit
babysitter	babysitter
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	jajaka
bachelorette	bachelorette
back	balik deui
backboard	backboard
backbone	tulang tonggong
backdoor	panto tukang
backdrop	backdrop
backer	backer
backfire	backfire
backgammon	backgammon
background	kasang tukang
backhand	backhand
backhoe	backhoe
backoff	backoff
backpack	rangsel
backpacker	backpacker
backroom	backroom
backseat	backseat
backside	backside
backtrack	backtrack
backup	cadangan
backward	ka tukang
backwardness	backwardness
backwards	tibalik
backwater	backwater
backwoods	backwoods
backyard	backyard
bacon	daging babi
bacteria	bakteri
bacterial	baktéri
bacterium	baktéri
bad	awon
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	lancana
badger	badger
badhabit	NO TRANSLATION
badly	parah
badness	badness
baffle	ngalieurkeun
baffled	baffled
bag	tas
bagel	bagel
baggage	Koper
baggie	baggie
baggy	logor
bagman	bagman
bagpipes	bagpipes
bail	boreh
bailiff	juru jabel
bait	eupan
bake	manggang
bakery	toko roti
baking	baking
bal	NO TRANSLATION
balance	kasaimbangan
balanced	saimbang
balcony	kalinggihan nu di luhur
bald	butak
balding	botak
baldy	baldy
bale	bale
balk	balk
ball	bal
ballad	balad
ballast	ballast
ballerina	tukang balet
ballet	ballet
ballgame	ballgame
ballistic	ngamuk
ballistics	ballistics
balloon	balon
ballot	kartu keur mere sora
ballpark	ballpark
ballplayer	ballplayer
ballpoint	Pulpén
ballroom	ballroom
ballsy	ballsy
balm	balm
balmy	balmy
balsam	balsam
balsamic	balsamic
bam	BAM
bamboo	awi
ban	NO TRANSLATION
banana	cau
band	pita
bandage	perban
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandstand
bandwagon	bandwagon
bandwidth	rubakpita
bane	Bane
bang	bang
banger	banger
banish	miceun
banished	banished
banishment	banishment
banister	banister
banjo	banjo
bank	bank
banker	bankir
banking	perbankan
bankroll	bankroll
bankrupt	jelema nu bangkrut
bankruptcy	kaayaan bangkrut
banner	banner
banquet	banquet
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	kaayaan ngabaptis
baptismal	baptismal
baptize	ngabaptis
bar	bar
barb	barb
barbarian	urang nu primitip
barbaric	primitip
barbarism	barbarism
barbecue	babakaran
barbed	barbed
barber	tukang cukur
barbershop	tukang cukur
barbie doll	Barbie boneka
bard	bard
bare	bulistir
bareback	bareback
barefoot	tataranjang suku
barely	bieu pisan
barf	barf
bargain	nawar
bargaining	tawar
barge	kapal tongkang
baritone	baritone
barium	barium
bark	ngagogogan
barkeep	barkeep
barks	barks
barley	barli
barmaid	barmaid
barman	barman
barn	gudang
barnacle	barnacle
barney	Barney
barnyard	barnyard
barometer	duren
baron	Baron
baroness	baroness
baroque	Baroque
barrack	barrack
barracuda	barracuda
barrage	barrage
barred	dihalang
barrel	tong
barren	tandus
barricade	pepalang keur ngahalangan
barrier	halangan
barring	cegah
barrister	pokrol
barroom	barroom
barrow	Barrow
bartender	palayan bar
barter	tukeuran
base	dasar
baseball	baseball
baseball bat	baseball bat
baseboard	baseboard
baseless	baseless
baseline	dasar
baseman	baseman
basement	rohang di jero taneuh
bases	basa
bash	bash
bashful	isin
basic	dasar
basics	dasar
basil	Basil
basilica	basilica
basin	baskom
basis	dasar
bask	bask
basket	karanjang
basketball	baskét
bass	bass
bass guitar	gitar bass
basso	NO TRANSLATION
bassoon	bassoon
bastard	Bajingan
