Word	de
administrator	Administrator
admirable	bewundernswert
admiral	Admiral
admiralty	Admiralität
admiration	Bewunderung
admire	bewundern
admired	bewundert
admirer	Bewunderer
admiring	bewundern
admissibility	Zulässigkeit
admissible	zulässig
admission	Eintritt
admit	eingestehen
admittance	Zulassung
admitted	zugelassen
admitting	zugeben
admixture	Beimischung
admonition	Ermahnung
ado	Ado
adobe	Adobe
adolescence	Jugend
adolescent	Jugendliche
adopt	adoptieren
adoption	Annahme
adoptive	adoptiv
adorable	bezaubernd
adoration	Anbetung
adore	verehren
adoring	anbetend
adorn	schmücken
adornment	Schmuck
adrenalin	Adrenalin
adrenaline	Adrenalin
adrift	treibend
adult	Erwachsene
adulterated	verfälscht
adulterer	Ehebrecher
adultery	Ehebruch
adulthood	Erwachsensein
advance	voraus
advanced	fortgeschritten
advancement	Förderung
advancing	voranschreiten
advantage	Vorteil
advantageous	vorteilhaft
advent	Advent
adventure	Abenteuer
adventurer	Abenteurer
adventures	Abenteuer
adventurous	abenteuerlich
adversary	Gegner
adverse	ungünstig
adversity	Unglück
advertise	werben
advertisement	Werbung
advertising	Werbung
adverts	Werbung
advice	Rat
advisable	ratsam
advise	beraten
advised	empfohlen
advisement	Beratung
adviser	Berater
advisor	Berater
advisory	beratend
advocacy	Interessenvertretung
advocate	befürworten
aegis	Ägide
aeration	Belüftung
aerial	Antenne
aerobics	Aerobic
aerodrome	Flugplatz
aerodynamic	aerodynamisch
aerodynamics	Aerodynamik
aeronautics	Luftfahrt
aeroplane	Flugzeug
aerospace	Luft- und Raumfahrt
aesthetic	ästhetisch
aesthetics	Ästhetik
aetiology	Ätiologie
afar	weit entfernt
affable	freundlich
affair	Affäre
affect	beeinflussen
affecting	beeinflussen
affection	Zuneigung
affectionate	zärtlich
affections	Zuneigungen
affiche	NO TRANSLATION
affidavit	eidesstattliche Erklärung
affiliated	angeschlossen
affiliation	Zugehörigkeit
affinity	Affinität
affirm	bestätigen
affirmation	Bejahung
affirmative	positiv
affirmatively	bejahend
affix	Affix
afflict	Plagen
afflicted	betroffen
affliction	Gebrechen
affluence	Wohlstand
affluent	wohlhabend
afford	sich leisten
affordable	erschwinglich
affront	Beleidigung
affronted	beleidigt
afield	weit weg
afire	ein Feuer
afloat	über Wasser
afore	vorher
aforementioned	vorgenannten
aforesaid	oben erwähnt
afraid	Angst
afresh	erneut
african	afrikanisch
aft	achtern
afterlife	Leben nach dem Tod
aftermath	Nachwirkungen
afternoon	Nachmittag
aftershave	Aftershave
aftertaste	Nachgeschmack
afterthought	nachträglicher Einfall
aga	NO TRANSLATION
agape	agape
agate	Achat
age	Alter
aged	alt
agency	Agentur
agenda	Agenda
agent	Agent
agglomeration	Agglomeration
aggravate	verschlimmern
aggravated	verschärft
aggravates	verschlimmert
aggravating	erschwerend
aggravation	Verschlimmerung
aggregate	Aggregat
aggregation	Anhäufung
aggresive	NO TRANSLATION
aggression	Aggression
aggressive	aggressiv
aggressively	aggressiv
aggressiveness	Aggressivität
aggressor	Aggressor
agh	agh
aghast	entsetzt
aghhh	NO TRANSLATION
agile	agil
agility	Beweglichkeit
aging	Altern
agitate	agitieren
agitated	aufgeregt
agitation	Agitation
aglow	leuchtend
agnostic	agnostisch
ago	vor
agonizing	quälend
agony	Qual
agoraphobia	Agoraphobie
agree	zustimmen
agreeable	angenehm
agreed	einverstanden
agreeing	zustimmen
agreement	Zustimmung
agressive	NO TRANSLATION
agricultural	landwirtschaftlich
agriculture	Landwirtschaft
aground	gestrandet
agua	NO TRANSLATION
ahead	voraus
ahhh	ähhh
ahhhhhhhh	NO TRANSLATION
ahoy	Ahoi
aid	Hilfe
aide	Berater
aiding	Hilfe
aids	AIDS
ail	ail
ailing	kränkend
ailment	Leiden
aim	Ziel
aimless	ziellos
air	Luft
airbag	Airbag
airborne	in der Luft
aircraft	Flugzeug
aircraft carrier	Flugzeugträger
airfield	Flugplatz
airhead	Luftkopf
airlift	Luftbrücke
airline	Fluggesellschaft
airliner	Verkehrsflugzeug
airlock	Luftschleuse
airman	Flieger
airplane	Flugzeug
airport	Flughafen
airs	Lüfte
airship	Luftschiff
airspace	Luftraum
airspeed	Fluggeschwindigkeit
airstrip	Landebahn
airtight	luftdicht
airway	Luftweg
aisle	Gang
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	ähnlich
alabaster	Alabaster
alarm	Alarm
alarm clock	Wecker
alarmed	alarmiert
alarming	alarmierend
alas	Ach
alb	NO TRANSLATION
albatross	Albatros
albino	Albino
album	Album
alchemy	Alchimie
alcohol	Alkohol
alcoholic	alkoholisch
alcoholism	Alkoholismus
alcove	Alkoven
alderman	Alderman
ale	NO TRANSLATION
alert	aufmerksam
alertness	Wachsamkeit
alerts	Warnungen
alfalfa	Alfalfa
algebra	Algebra
algebraic	algebraisch
algorithm	Algorithmus
alias	alias
alibi	Alibi
alien	Ausländer
alienate	entfremden
alienated	entfremdet
alienation	Entfremdung
alight	angehen
align	ausrichten
aligned	ausgerichtet
alignment	Ausrichtung
alike	wie
alimentation	NO TRANSLATION
alimony	Alimente
aliquot	Aliquot
alive	am Leben
alkali	Alkali
alkaloids	Alkaloide
allay	zerstreuen
allegation	Behauptung
allege	behaupten
alleged	angeblich
allegiance	Treue
allegorical	allegorisch
allegory	Allegorie
allegro	allegro
allergic	allergisch
allergy	Allergie
alleviate	lindern
alleviation	Linderung
alley	Gasse
alleyway	Gasse
alliance	Allianz
allied	verbündet
alligator	Alligator
allocate	zuordnen
allocation	Zuweisung
allot	zuzuweisen
allotment	Zuteilung
allow	ermöglichen
allowable	zulässig
allowance	Beihilfe
allowed	dürfen
alloy	Legierung
allsmiles	NO TRANSLATION
allure	locken
alluring	verlockend
allusion	Anspielung
alluvial	alluvial
ally	Verbündete
almanac	Almanach
almighty	allmächtig
almond	Mandel
aloft	oben
aloha	Aloha
alone	allein
alongside	neben
aloof	distanziert
aloud	laut
alpha	Alpha
alphabet	Alphabet
alphabetical	alphabetisch
alpine	alpin
alreadyyyyy	jajajaja
altar	Altar
altar boy	Messdiener
alter	ändern
alteration	Änderung
altercation	Auseinandersetzung
altered	verändert
alternate	wechseln
alternating	abwechselnd
alternative	Alternative
altimeter	Höhenmesser
altitude	Höhe
alto	Alt
altogether	insgesamt
aluminum	Aluminium
alumnus	Absolvent
alveolar	alveolär
alzheimers	NO TRANSLATION
amalgam	Amalgam
amalgamation	Verschmelzung
amaretto	Amaretto
amass	sammel
amateur	Amateur
amaze	überraschen
amazed	erstaunt
amazedness	NO TRANSLATION
amazement	Staunen
amazing	tolle
amazingly	erstaunlich
ambassador	Botschafter
amber	Bernstein
ambience	Ambiente
ambient	Umgebungs
ambiguity	Mehrdeutigkeit
ambiguous	mehrdeutig
ambit	Bereich
ambition	Ambition
ambitious	ehrgeizig
ambivalent	ambivalent
ambrosia	Ambrosia
ambulance	Krankenwagen
ambush	Hinterhalt
ameliorate	verbessern
amen	Amen
amenable	zugänglich
amend	ändern
amendment	Änderung
amends	ergänzt
amenity	Annehmlichkeit
amethyst	Amethyst
amiable	liebenswürdig
amicable	freundschaftlich
amid	inmitten
amidst	inmitten
amino	Amino
ammo	Munition
ammonia	Ammoniak
ammonium	Ammonium
ammunition	Munition
amnesia	Amnesie
amnesty	Amnestie
amorous	verliebt
amorphous	amorph
amortization	Amortisierung
amount	Menge
amour	NO TRANSLATION
amp	Ampere
ampersand	Et-Zeichen
amphetamines	Amphetamine
amphibian	Amphibie
amphibious	amphibisch
amphitheater	Amphitheater
ample	reichlich
amplification	Verstärkung
amplify	verstärken
amplitude	Amplitude
amply	reichlich
amputate	amputieren
amputation	Amputation
amuck	Amok
amulet	Amulett
amuse	amüsieren
amused	amüsiert
amusement	Amüsement
amusing	lustig
ana	NO TRANSLATION
anaconda	Anakonda
anaesthesia	Anästhesie
anaesthetic	Narkose
anagram	Anagramm
anal	anal
analgesic	Analgetikum
analogous	analog
analogue	analog
analogy	Analogie
analysis	Analyse
analyst	Analytiker
analytic	analytisch
analytical	analytisch
analyze	analysieren
analyzer	Analysator
anaphylactic	anaphylaktisch
anarchism	Anarchismus
anarchist	Anarchist
anarchy	Anarchie
anastomosis	Anastomose
anathema	Anathema
anatomic	anatomisch
anatomy	Anatomie
ancestor	Vorfahr
ancestral	Ahnen-
ancestry	Abstammung
anchor	Anker
anchorage	Anchorage
ancient	alt
ancillary	Hilfskräfte
androgen	Androgen
android	Android
anecdote	Anekdote
anemia	Anämie
anemic	anämisch
anemone	Anemone
anesthesia	Anästhesie
anesthesiologist	Anästhesist
anesthetic	Narkose
aneurysm	Aneurysma
anew	ein neuer
angel	Engel
angelic	engelhaft
anger	Zorn
angered	verärgert
angermanagement	NO TRANSLATION
angina	Angina
angiogram	Angiogramm
angiography	Angiographie
angle	Winkel
angling	Angeln
angora	Angora
angriest	wütendsten
angry	wütend
angrytweet	NO TRANSLATION
angst	Angst
anguish	Pein
anguished	gequält
angular	eckig
anhydrous	wasserfrei
animal	Tier
animate	animieren
animated	animiert
animation	Animation
animosity	Feindseligkeit
animus	Animus
ankle	Knöchel
anklet	Fußkette
annals	Annalen
annex	annektieren
annexation	Annexion
annexe	NO TRANSLATION
annihilate	vernichten
annihilated	vernichtet
annihilation	Vernichtung
anniversary	Jahrestag
annotate	kommentieren
annotation	Anmerkung
announce	bekannt geben
announcement	Ankündigung
announcer	Ansager
annoy	Nerven
annoyance	Ärger
annoyed	verärgert
annoyin	NO TRANSLATION
annoying	nervig
annoys	ärgert
annual	jährlich
annuity	Rente
annul	annullieren
annular	ringförmig
annulment	Aufhebung
annulus	Annulus
anointed	gesalbt
anointing	Salbung
anomalous	anomal
anomaly	Anomalie
anon	Anon
anonymity	Anonymität
anonymous	anonym
anorexic	magersüchtig
answer	Antworten
answerable	verantwortlich
answering	antwortend
ant	Ameise
antagonism	Antagonismus
antagonist	Gegner
antagonistic	antagonistisch
antagonize	antagonisieren
ante	NO TRANSLATION
antecedent	Vorgeschichte
antelope	Antilope
antenna	Antenne
anterior	anterior
anthem	Hymne
anthill	Ameisenhaufen
anthology	Anthologie
anthrax	Milzbrand
anthropological	anthropologisch
anthropologist	Anthropologe
anthropology	Anthropologie
anti	Anti
antiaircraft	Flugabwehr
antibiotic	Antibiotikum
antibiotics	Antibiotika
antichrist	Antichrist
anticipate	erwarten
anticipation	Erwartung
anticipatory	vorausschauend
antics	Mätzchen
antidote	Gegenmittel
antifungal	antimykotisch
antigravity	Anti Schwerkraft
antimony	Antimon
antipathy	Antipathie
antiquarian	Antiquarian
antiquated	veraltet
antique	Antiquität
antiques	Antiquitäten
antiquity	Antike
antiseptic	Antiseptikum
antisocial	asozial
antithesis	Antithese
antithetical	antithetisch
antiviral	antiviral
antler	Geweih
antsy	antsy
anus	Anus
anvil	Amboss
anxiety	Angst
anxietyattack	NO TRANSLATION
anxious	Ängstlich
anxiousness	Angst
anytime	Jederzeit
aorta	Aorta
aortic	Aorta
apace	schnell
apache	Apache
apartment	Wohnung
apartments	Wohnungen
apathetic	apathisch
apathy	Apathie
ape	Affe
aperture	Öffnung
apex	Apex
aphid	Blattlaus
aphrodisiac	Aphrodisiakum
apiece	ein Stück
aplomb	Gelassenheit
apocalypse	Apokalypse
apocalyptic	apokalyptisch
apologetic	entschuldigend
apologist	Apologet
apologize	entschuldigen
apology	Entschuldigung
apostasy	Apostasie
apostate	Apostat
apostle	Apostel
apostolic	apostolisch
apostrophe	Apostroph
apothecary	Apotheker
appalled	entsetzt
appalling	entsetzlich
apparatus	Gerät
apparel	Bekleidung
apparent	ersichtlich
apparently	anscheinend
apparition	Erscheinung
appeal	Beschwerde
appear	erscheinen
appearance	Aussehen
appease	beschwichtigen
appellant	Berufungsführerin
append	anhängen
appendage	Anhängsel
appendectomy	Blinddarmoperation
appendicitis	Appendizitis
appendix	Blinddarm
appetite	Appetit
appetizer	Vorspeise
appetizing	appetitlich
applaud	applaudieren
applause	Beifall
apple	Apfel
apple juice	Apfelsaft
applejack	Applejack
applesauce	Apfelsoße
appliance	Gerät
appliances	Haushaltsgeräte
applicability	Anwendbarkeit
applicable	anwendbar
applicant	Antragsteller
application	Anwendung
apply	sich bewerben
appoint	ernennen
appointment	geplanter Termin
appointments	Termine
apportion	aufteilen
apportionment	Umlegung
appraisal	Bewertung
appraise	bewerten
appreciable	nennenswert
appreciate	schätzen
appreciated	geschätzt
appreciates	schätzt
appreciation	Anerkennung
appreciative	dankbar
apprehend	begreifen
apprehension	Auffassung
apprehensive	besorgt
apprentice	Lehrling
apprenticeship	Lehre
approach	Ansatz
approaching	Annäherung
approbate	NO TRANSLATION
approbation	Billigung
appropriate	angemessen
appropriation	Aneignung
approval	die Genehmigung
approve	genehmigen
approved	genehmigt
approvement	Zustimmung
approving	genehmigen
approximate	ungefähr
approximately	ca
approximating	näherungsweise
approximation	Annäherung
appurtenances	Zubehör
apricot	Aprikose
apron	Schürze
apt	geeignet
aptitude	Eignung
aqua	Wasser
aquamarine	Aquamarin
aquarium	Aquarium
aquatic	Wasser-
aqueduct	Aquädukt
aqueous	wässrig
arable	Ackerland
arbiter	Schiedsrichter
arbitrary	willkürlich
arbitrate	vermitteln
arbitration	Schiedsgerichtsbarkeit
arbitrator	Schiedsrichter
arbor	Laube
arc	Bogen
arcade	Arkade
arcane	geheimnisvoll
arch	Bogen
archaeological	archäologisch
archaeologist	Archäologe
archaeology	Archäologie
archaic	archaisch
archangel	Erzengel
archbishop	Erzbischof
archdiocese	Erzdiözese
archduke	Erzherzog
arched	gewölbt
archer	Bogenschütze
archery	Bogenschießen
archetype	Archetyp
archipelago	Archipel
architect	Architekt
architectural	architektonisch
architecture	die Architektur
archive	Archiv
arctic	Arktis
ardent	glühend
ardor	Eifer
arduous	beschwerlich
area	Bereich
arena	Arena
areola	Warzenhof
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	streiten
argument	Streit
argumentation	Argumentation
argumentative	argumentativ
arguments	Argumente
arid	trocken
arise	entstehen
aristocracy	Adel
aristocrat	Aristokrat
aristocratic	aristokratisch
arithmetic	Arithmetik
ark	Arche
arm	Arm
armada	Armada
armament	Rüstung
armaments	Waffen
armature	Anker
armchair	Sessel
armed	bewaffnet
armor	Rüstung
armored	gepanzert
armory	Waffenkammer
armpit	Achsel
arms	Waffen
army	Armee
aroma	Aroma
aromatherapy	Aromatherapie
arousal	Erregung
arouse	erregen
aroused	geweckt
arraignment	Anklage
arrange	ordnen
arranged	vereinbart worden
arrangement	Anordnung
array	Array
arrears	Verzug
arrest	Festnahme
arrhythmia	Arrhythmie
arrival	Ankunft
arrive	ankommen
arrogance	Arroganz
arrogant	arrogant
arrow	Pfeil
arsehole	Arschloch
arseholes	Arschlöcher
arsenal	Arsenal
arsenic	Arsen
arson	Brandstiftung
arsonist	Brandstifter
art	Kunst
arterial	arteriell
artery	Arterie
artful	kunstvoll
arthritis	Arthritis
arthropod	Gliederfüßer
artichoke	Artischocke
article	Artikel
articles	Artikel
articulate	artikulieren
articulation	Artikulation
artifact	Artefakt
artifice	Kunstgriff
artificial	künstlich
artillery	Artillerie
artisan	Handwerker
artist	Künstler
artiste	NO TRANSLATION
artistic	künstlerisch
artistry	Kunst
artists	Künstler
artwork	Kunstwerk
arty	Kunst
asap	schnellstmöglich
asbestos	Asbest
ascend	aufsteigen
ascendancy	Überlegenheit
ascendant	aufsteigend
ascending	aufsteigend
ascension	Aufstieg
ascent	Aufstieg
ascertain	ermitteln
ascertained	festgestellt
ascetic	Asket
ash	Asche
ashamed	beschämt
ashes	Asche
ashtray	Aschenbecher
asinine	Asinin
ask	Fragen
asleeep	NO TRANSLATION
asleep	schlafend
asp	Asp
asparagus	Spargel
aspartame	Aspartam
aspect	Aspekt
aspects	Aspekte
aspen	Espe
asphalt	Asphalt
asphyxia	Erstickung
asphyxiation	Erstickung
aspiration	Aspiration
aspire	streben
aspirin	Aspirin
aspiring	aufstrebend
ass	Arsch
assail	angreifen
assailant	Angreifer
assassin	Attentäter
assassinate	ermorden
assassination	Ermordung
assault	Angriff
assay	Test
assemblage	Montage
assemble	montieren
assembled	gebaut
assembly	Versammlung
assemblyman	Abgeordnete
assent	Zustimmung
assert	behaupten
asserting	geltend machen
assertion	Behauptung
assertive	durchsetzungsfähig
assess	beurteilen
assessment	Bewertung
assessor	Gutachter
asset	Vermögenswert
assets	Vermögenswerte
asshole	Arschloch
assign	zuordnen
assignee	Bevollmächtigter
assignment	Zuordnung
assimilate	assimilieren
assimilation	Assimilation
assist	helfen
assistance	Hilfe
assistant	Assistent
associate	assoziieren
association	Verband
assorted	sortiert
assortment	Sortiment
assuage	Beschwichtigung
assume	annehmen
assumed	angenommen
assuming	angenommen
assumption	Annahme
assurance	Sicherheit
assure	versichern
assured	versicherte
assuredly	ganz gewiss
asterisk	Sternchen
asteroid	Asteroid
asteroids	Asteroiden
asthma	Asthma
asthmatic	Asthmatiker
astigmatism	Astigmatismus
astonish	erstaunen
astonished	erstaunt
astonishing	erstaunlich
astonishingly	NO TRANSLATION
astonishment	Erstaunen
astound	erstaunlich
astral	astral
astray	in die Irre gehen
astringent	adstringierend
astrologer	Astrologe
astrology	Astrologie
astronaut	Astronaut
astronomer	Astronom
astronomical	astronomisch
astronomy	Astronomie
astute	scharfsinnig
asunder	auseinander
asylum	Asyl
asymmetric	asymmetrisch
asymmetry	Asymmetrie
asymptotic	asymptotisch
atelier	Atelier
atheism	Atheismus
atheist	Atheist
atheistic	atheistisch
atherosclerosis	Atherosklerose
athlete	Athlet
athletic	sportlich
athleticism	Sportlichkeit
athletics	die Leichtathletik
atlas	Atlas
atmosphere	Atmosphäre
atmospheric	atmosphärisch
atoll	Atoll
atom	Atom
atomic	atomar
atone	büßen
atonement	Sühne
atpeace	atpeace
atrium	Atrium
atrocious	scheußlich
atrocity	Gräueltat
atrophy	Atrophie
attach	anfügen
attached	angebracht
attachment	Befestigung
attack	Attacke
attacker	Angreifer
attacking	anzugreifen
attain	erreichen
attainable	erreichbar
attainment	Erreichung
attempt	Versuch
attempted	versucht
attend	besuchen
attendance	Teilnahme
attendant	Begleiter
attention	Beachtung
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	aufmerksam
attenuate	abschwächen
attenuated	abgeschwächt
attenuation	Dämpfung
attest	bezeugen
attestation	Bescheinigung
attic	Dachboden
attire	Kleidung
attitude	Haltung
attorney	Rechtsanwalt
attract	anlocken
attraction	Attraktion
attractive	attraktiv
attractiveness	Attraktivität
attributable	Zurechenbar
attribute	Attribut
attribution	Zuschreibung
attrition	Attrition
auburn	Kastanienbraun
auction	Versteigerung
auctioneer	Auktionator
audacious	kühn
audacity	Kühnheit
audible	hörbar
audience	Publikum
audio	Audio-
audit	Prüfung
audition	Vorsprechen
auditions	Vorsprechen
auditor	Prüfer
auditorium	Auditorium
auditory	auditiv
aught	etwas
augment	vermehren
augmentation	Augmentation
august	August
aunt	Tante
auntie	Tante
aura	Aura
aurora	Aurora
auspices	Auspizien
auspicious	glückverheißend
austere	streng
austerity	Strenge
authentic	authentisch
authenticate	authentifizieren
authentication	Authentifizierung
authenticity	Authentizität
author	Autor
authoritative	autoritativ
authority	Behörde
authorization	Genehmigung
authorize	autorisieren
authorized	autorisiert
authorship	Urheberschaft
autism	Autismus
autistic	autistisch
auto	Auto
autobiographical	autobiographisch
autobiography	Autobiographie
autocorrect	Autokorrektur
autocratic	autokratisch
autograph	Autogramm
autographed	handsigniert
automated	automatisiert
automatic	automatisch
automobile	Automobil
automotive	Automobil
autonomy	Autonomie
autopilot	Autopilot
autopsy	Autopsie
autumn	Herbst
auxiliary	Hilfs-
avail	in Anspruch nehmen
availability	Verfügbarkeit
available	verfügbar
avalanche	Lawine
avarice	Habsucht
avatar	Benutzerbild
avenge	rächen
avenger	Rächer
avenging	rächend
avenue	Avenue
aver	NO TRANSLATION
average	durchschnittlich
aversation	NO TRANSLATION
averse	abgeneigt
averseness	Aversion
aversion	Abneigung
avert	abwenden
aviary	Voliere
aviation	Luftfahrt
aviator	Flieger
avid	begierig
avocado	Avocado
avoid	vermeiden
avoidance	Vermeidung
avoiding	vermeiden
await	erwarten
awake	Erwachen
awaken	wecken
awakening	Erwachen
award	vergeben
awards	Auszeichnungen
aware	bewusst
awareness	Bewusstsein
awe	NO TRANSLATION
awed	beeindruckt
awesome	genial
awesomeness	Großartigkeit
awestruck	ehrfürchtig
awful	furchtbar
awkward	peinlich
awkwardness	Ungeschicklichkeit
awning	Markise
awry	schief
axe	Axt
axial	axial
axiom	Axiom
axiomatic	axiomatisch
axis	Achse
axle	Achse
ay	ja
aye	Ja
azimuth	Azimut
azure	azurblau
babble	plappern
babbling	plappernd
babe	Baby
baboon	Pavian
baby	Baby
babysit	babysitten
babysitter	Babysitter
baccalaureate	Baccalaureat
baccarat	Baccarat
bachelor	Junggeselle
bachelorette	Bachelorette
back	zurück
backboard	Rückwand
backbone	Rückgrat
backdoor	Hintertür
backdrop	Hintergrund
backer	Unterstützer
backfire	Fehlzündung
backgammon	Backgammon
background	Hintergrund
backhand	Rückhand
backhoe	Baggerlader
backoff	Zurückweichen
backpack	Rucksack
backpacker	Backpacker
backroom	Hinterzimmer
backseat	Rücksitz
backside	Rückseite
backtrack	Zurückverfolgen
backup	Sicherung
backward	rückwärts
backwardness	Rückständigkeit
backwards	rückwärts
backwater	Rückstau
backwoods	hinterwäldler
backyard	Hinterhof
bacon	Speck
bacteria	Bakterien
bacterial	bakteriell
bacterium	Bakterium
bad	Schlecht
badass	knallhart
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	Abzeichen
badger	Dachs
badhabit	NO TRANSLATION
badly	schlecht
badness	Schlechtigkeit
baffle	Schallwand
baffled	verdutzt
bag	Tasche
bagel	Bagel
baggage	Gepäck
baggie	Tasche
baggy	ausgebeult
bagman	Bagman
bagpipes	Dudelsack
bail	Kaution
bailiff	Gerichtsvollzieher
bait	Köder
bake	backen
bakery	Bäckerei
baking	Backen
bal	NO TRANSLATION
balance	Balance
balanced	ausgewogen
balcony	Balkon
bald	kahl
balding	Glatzenbildung
baldy	Glatzkopf
bale	Ballen
balk	Balken
ball	Ball
ballad	Ballade
ballast	Ballast
ballerina	Ballerina
ballet	Ballett
ballgame	Ballspiel
ballistic	ballistisch
ballistics	Ballistik
balloon	Ballon
ballot	Abstimmung
ballpark	Baseballstadion
ballplayer	Ballspieler
ballpoint	Kugelschreiber
ballroom	Ballsaal
ballsy	draufgängerisch
balm	Balsam
balmy	mild
balsam	Balsam
balsamic	Balsamico
bam	Bam
bamboo	Bambus
