Word	ha
adultery	zina
adulthood	girma
advance	gaba
advanced	ci gaba
advancement	ci gaba
advancing	ci gaba
advantage	amfani
advantageous	m
advent	zuwan
adventure	kasada
adventurer	mai saka jari
adventures	al'ada
adventurous	adventurous
adversary	abokin gaba
adverse	m
adversity	wahala
advertise	tallata
advertisement	talla
advertising	talla
adverts	talla
advice	shawara
advisable	buƙatar
advise	shawara
advised	shawarci
advisement	shawara
adviser	shawara
advisor	shawara
advisory	shawara
advocacy	tallafi
advocate	shawara
aegis	Akan
aeration	aeration
aerial	m
aerobics	na'urori masu guba
aerodrome	jirgin sama
aerodynamic	aerodynamic
aerodynamics	harkar iska
aeronautics	jiragen sama
aeroplane	jirgin sama
aerospace	Aerospace
aesthetic	kyakkyawa
aesthetics	aesthetics
aetiology	aetiology
afar	daga nisa
affable	affable
affair	al'amarin
affect	shafi
affecting	shafi
affection	ƙauna
affectionate	m
affections	ƙauna
affiche	NO TRANSLATION
affidavit	tabbacin
affiliated	alaƙa
affiliation	dangantaka
affinity	dangantaka
affirm	tabbacin
affirmation	tabbaci
affirmative	m
affirmatively	gaskiya
affix	affix
afflict	ciwo
afflicted	wahala
affliction	cũta
affluence	wadata
affluent	m
afford	iya
affordable	araha
affront	fushi
affronted	yi fushi
afield	afield
afire	afire
afloat	farawa
afore	afore
aforementioned	da aka ambata
aforesaid	an fada
afraid	tsoro
afresh	afresh
african	africa
aft	aft
afterlife	afterlife
aftermath	bayan
afternoon	rana
aftershave	bayan bayan
aftertaste	aftertaste
afterthought	bayan bayanan
aga	NO TRANSLATION
agape	agape
agate	agate
age	shekaru
aged	tsoho
agency	hukumar
agenda	ajanda
agent	wakili
agglomeration	agglomeration
aggravate	ƙyama
aggravated	kara
aggravates	damuwa
aggravating	ciwo
aggravation	damuwa
aggregate	tara
aggregation	tarayya
aggresive	NO TRANSLATION
aggression	tashin hankali
aggressive	m
aggressively	mugunta
aggressiveness	aggressiveness
aggressor	rikici
agh	agh
aghast	warst
aghhh	NO TRANSLATION
agile	agile
agility	agility
aging	tsufa
agitate	tashin hankali
agitated	girgiza
agitation	agitation
aglow	aglow
agnostic	agnostic
ago	da suka wuce
agonizing	cike da damuwa
agony	azaba
agoraphobia	agoraphobia
agree	yarda
agreeable	m
agreed	amince
agreeing	yarda
agreement	yarjejeniya
agressive	NO TRANSLATION
agricultural	aikin gona
agriculture	aikin noma
aground	aground
agua	NO TRANSLATION
ahead	gaba
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	taimakon
aide	taimakon
aiding	taimakawa
aids	taimakawa
ail	Ail
ailing	masu lafiya
ailment	rashin lafiya
aim	manufa
aimless	rashin amfani
air	iska
airbag	airbag
airborne	jirgin sama
aircraft	jirgin sama
aircraft carrier	jirgin sama
airfield	filin jirgin sama
airhead	iska
airlift	airlift
airline	jirgin sama
airliner	jirgin sama
airlock	jirgin sama
airman	airman
airplane	jirgin sama
airport	filin jirgin sama
airs	iska
airship	jirgin sama
airspace	sararin samaniya
airspeed	airspeed
airstrip	farfadowa
airtight	airtight
airway	iska
aisle	hanya
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	akin
alabaster	alabaster
alarm	ƙararrawa
alarm clock	agogon ƙararrawa
alarmed	firgita
alarming	tsoro
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchemy
alcohol	barasa
alcoholic	giya
alcoholism	barasa
alcove	barasa
alderman	alderman
ale	NO TRANSLATION
alert	jijjiga
alertness	faɗakarwa
alerts	faɗakarwa
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algorithm
alias	alias
alibi	alibi
alien	baƙo
alienate	ba da izini ba
alienated	rarraba
alienation	fitarwa
alight	alight
align	daidaita
aligned	masu hada kai
alignment	jeri
alike	daidai
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	da rai
alkali	alkali
alkaloids	alkaloids
allay	kwashe
allegation	zargin
allege	zargi
alleged	zargin
allegiance	amincewa
allegorical	misali
allegory	misali
allegro	allegro
allergic	rashin lafiyan
allergy	rashin lafiyar
alleviate	ragewa
alleviation	gyare-gyare
alley	alley
alleyway	alleyway
alliance	alliance
allied	kawance
alligator	alaƙa
allocate	raba
allocation	rarraba
allot	rabawa
allotment	allot
allow	ba da damar
allowable	iyaka
allowance	izni
allowed	a yarda
alloy	mota
allsmiles	NO TRANSLATION
allure	farawa
alluring	bazuwa
allusion	allusion
alluvial	alluvial
ally	alaƙa
almanac	almanac
almighty	Mabuwayi
almond	almond
aloft	sama
aloha	ƙauna
alone	kadai
alongside	kusa da
aloof	aloof
aloud	a bayyane
alpha	alpha
alphabet	haruffa
alphabetical	haruffa
alpine	mai tsayi
alreadyyyyy	rigayyyy
altar	bagade
altar boy	ɗan yaro
alter	canza
alteration	canji
altercation	altercation
altered	canza
alternate	m
alternating	canzawa
alternative	madadin
altimeter	altimeter
altitude	tsawo
alto	alto
altogether	gaba ɗaya
aluminum	aluminum
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	hadewa
amaretto	yanki
amass	ƙaddara
amateur	mai son
amaze	mamaki
amazed	mamaki
amazedness	NO TRANSLATION
amazement	mamaki
amazing	ban mamaki
amazingly	mamaki
ambassador	jakadan
amber	amber
ambience	yanayi
ambient	m
ambiguity	ambiguity
ambiguous	mawuyacin hali
ambit	ambit
ambition	kishi
ambitious	m
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	motar asibiti
ambush	jira
ameliorate	ameliorate
amen	Amin
amenable	amenable
amend	gyara
amendment	gyare-gyare
amends	gyarawa
amenity	Aminci
amethyst	amethyst
amiable	amiable
amicable	m
amid	a tsakiyan
amidst	amidst
amino	amino
ammo	ammo
ammonia	ammoniya
ammonium	ammonium
ammunition	ammonium
amnesia	amnesia
amnesty	amnesty
amorous	amorous
amorphous	amorphous
amortization	amortization
amount	adadin
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	amphitheater
ample	cikakke
amplification	ƙarawa
amplify	ƙarawa
amplitude	amplitude
amply	amply
amputate	yanke
amputation	yankewa
amuck	amuck
amulet	amulet
amuse	m
amused	amused
amusement	wasanni
amusing	m
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	m
anagram	anafi
anal	anal
analgesic	analgesic
analogous	analogous
analogue	analogue
analogy	misali
analysis	bincike
analyst	analyst
analytic	mai nazari
analytical	bincike
analyze	bincika
analyzer	analyzer
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	anarchy
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	anatomy
ancestor	kakanninmu
ancestral	kakanninmu
ancestry	zuriya
anchor	ara
anchorage	anchorage
ancient	d ¯ a
ancillary	ancillary
androgen	androgen
android	android
anecdote	anecdote
anemia	anemia
anemic	anemic
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	m
aneurysm	aneurysm
anew	sabuwar
angel	mala'ika
angelic	mala'ika
anger	fushi
angered	fusatar
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	kwana
angling	angling
angora	angora
angriest	angriest
angry	fushi
angrytweet	NO TRANSLATION
angst	angst
anguish	baƙin ciki
anguished	baƙin ciki
angular	angular
anhydrous	anhydrous
animal	dabba
animate	rai
animated	m
animation	animation
animosity	m
animus	animus
ankle	idon
anklet	anklet
annals	annals
annex	annex
annexation	annexation
annexe	NO TRANSLATION
annihilate	hallaka
annihilated	hallaka
annihilation	hallaka
anniversary	ranar tunawa
annotate	annotate
annotation	annotation
announce	sanar
announcement	sanarwa
announcer	sanarwar
annoy	fushi
annoyance	fushi
annoyed	fushi
annoyin	NO TRANSLATION
annoying	m
annoys	annoys
annual	shekara-shekara
annuity	annuity
annul	soke
annular	annular
annulment	sokewa
annulus	annulus
anointed	shafaffe
anointing	shafawa
anomalous	anomalous
anomaly	anomaly
anon	anon
anonymity	anonymity
anonymous	m
anorexic	anorexic
answer	amsar
answerable	za a iya yin hakan
answering	amsawa
ant	ant
antagonism	antagonism
antagonist	antagonist
antagonistic	antagonistic
antagonize	antagonize
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelope
antenna	eriya
anterior	baya
anthem	anan
anthill	anthill
anthology	anthology
anthrax	anthrax
anthropological	anthropological
anthropologist	anthropologist
anthropology	anthropology
anti	anti
antiaircraft	antiaircraft
antibiotic	kwayoyin
antibiotics	maganin rigakafi
antichrist	maƙiyin Kristi
anticipate	jira
anticipation	jira
anticipatory	m
antics	antics
antidote	antidote
antifungal	antifungal
antigravity	antigravity
antimony	antimony
antipathy	antipathy
antiquarian	antiquarian
antiquated	wanda aka saba
antique	tsohuwar
antiques	antiques
antiquity	tsufa
antiseptic	antiseptic
antisocial	antisocial
antithesis	antithesis
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	damuwa
anxietyattack	NO TRANSLATION
anxious	damuwa
anxiousness	damuwa
anytime	wani lokaci
aorta	aorta
aortic	aortic
apace	sarari
apache	apache
apartment	gida
apartments	Apartments
apathetic	apathetic
apathy	rashin tausayi
ape	ape
aperture	bude
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	apiece
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	apologetic
apologist	apologist
apologize	yi hakuri
apology	uzuri
apostasy	ridda
apostate	ridda
apostle	Manzo
apostolic	apostolic
apostrophe	apostrophe
apothecary	apothecary
appalled	mamaki
appalling	abin mamaki
apparatus	na'ura
apparel	tufafi
apparent	bayyananne
apparently	a fili
apparition	bayyanuwa
appeal	roko
appear	bayyana
appearance	bayyanar
appease	saukaka
appellant	mai kira
append	append
appendage	appendage
appendectomy	appendectomy
appendicitis	appendicitis
appendix	shafi na
appetite	ci
appetizer	appetizer
appetizing	farantawa
applaud	yabo
applause	wasa
apple	apple
apple juice	apple ruwan 'ya'yan itace
applejack	applejack
applesauce	applesauce
appliance	kayan aiki
appliances	kayan na'urorin
applicability	aikace-aikace
applicable	dace
applicant	mai nema
application	aikace-aikace
apply	amfani
appoint	sanya
appointment	saduwa
appointments	alƙawura
apportion	rabawa
apportionment	rabawa
appraisal	kima
appraise	kwarewa
appreciable	m
appreciate	godiya
appreciated	yaba
appreciates	godiya
appreciation	godiya
appreciative	godiya
apprehend	fahimta
apprehension	tsoro
apprehensive	tsoro
apprentice	koyi
apprenticeship	sana'a
approach	kusanci
approaching	gabatowa
approbate	NO TRANSLATION
approbation	amincewa
appropriate	dace
appropriation	ƙaddamarwa
approval	amincewa
approve	amince da
approved	amince
approvement	shirin
approving	amincewa
approximate	kimanin
approximately	kusan
approximating	kimanin
approximation	kimanin
appurtenances	kayan aiki
apricot	apricot
apron	Akwati
apt	dace
aptitude	aptitude
aqua	ruwa
aquamarine	aquamarine
aquarium	akwatin kifaye
aquatic	ruwa
aqueduct	aqueduct
aqueous	mai ruwa-ruwa
arable	arable
arbiter	sulhu
arbitrary	sabani
arbitrate	sulhu
arbitration	sulhu
arbitrator	yan adawa
arbor	arbor
arc	arc
arcade	arcade
arcane	arcane
arch	baka
archaeological	archaeological
archaeologist	archaeologist
archaeology	archeology
archaic	archaic
archangel	Mala'ikan
archbishop	Akbishop
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	baka
archery	archery
archetype	archetype
archipelago	tsibirin
architect	gini
architectural	gine-gine
architecture	gine-gine
archive	archive
arctic	arctic
ardent	ardent
ardor	tsawa
arduous	arduous
area	yanki
arena	fagen fama
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	jayayya
argument	hujja
argumentation	jayayya
argumentative	hujja
arguments	muhawarar
arid	m
arise	tashi
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	arithmetic
ark	jirgin
arm	hannu
armada	armada
armament	armament
armaments	kayan ado
armature	ƙarfin hannu
armchair	makami
armed	makamai
armor	makamai
armored	makamai
armory	makamai
armpit	armpit
arms	makamai
army	sojojin
aroma	ƙanshi
aromatherapy	aromatherapy
arousal	ƙyamar
arouse	tada
aroused	tada
arraignment	arraignment
arrange	shirya
arranged	shirya
arrangement	tsari
array	tsararru
arrears	arrears
arrest	kama
arrhythmia	arrhythmia
arrival	isowa
arrive	isa
arrogance	girman kai
arrogant	girman kai
arrow	arrow
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	arson
arsonist	arsonist
art	art
arterial	arterial
artery	hadari
artful	zane
arthritis	arthritis
arthropod	arthropod
artichoke	artichoke
article	labarin
articles	articles
articulate	magana
articulation	hadin gwiwa
artifact	artifact
artifice	artifice
artificial	artificial
artillery	manyan bindigogi
artisan	artisan
artist	artist
artiste	NO TRANSLATION
artistic	m
artistry	zane-zane
artists	artists
artwork	zane-zane
arty	arty
asap	asap
asbestos	asbestos
ascend	hau
ascendancy	ascendancy
ascendant	hawa
ascending	hawa
ascension	hawan Yesu zuwa sama
ascent	hawan hawan
ascertain	tabbatar
ascertained	ascertained
ascetic	farka
ash	ash
ashamed	m
ashes	toka
ashtray	ajiya
asinine	asinine
ask	tambayi
asleeep	NO TRANSLATION
asleep	barci
asp	asp
asparagus	bishiyar asparagus
aspartame	aspartame
aspect	yanayin
aspects	fannoni
aspen	aspen
asphalt	kazali
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	fata
aspire	fata
aspirin	aspirin
aspiring	aspiring
ass	ass
assail	hari
assailant	assailant
assassin	kisan kai
assassinate	kashe
assassination	kisan gilla
assault	hari
assay	gwaji
assemblage	haɗuwa
assemble	tara
assembled	haɗu
assembly	taro
assemblyman	assemblyman
assent	amincewa
assert	tabbatar
asserting	tabbatar
assertion	tabbacin
assertive	assertive
assess	tantancewa
assessment	kima
assessor	kimantawa
asset	kadari
assets	dukiya
asshole	asshole
assign	sanya
assignee	wakili
assignment	aiki
assimilate	assimilate
assimilation	assimilation
assist	taimaka
assistance	taimako
assistant	mataimaki
associate	aboki
association	ƙungiyar
assorted	hade
assortment	tsari
assuage	assuage
assume	ɗauka
assumed	za a dauka
assuming	ɗauka
assumption	zato
assurance	tabbaci
assure	tabbatar
assured	tabbacin
assuredly	hakika
asterisk	alama
asteroid	asteroid
asteroids	asteroids
asthma	fuka
asthmatic	asthmatic
astigmatism	astigmatism
astonish	mamaki
astonished	mamaki
astonishing	mamaki
astonishingly	NO TRANSLATION
astonishment	mamaki
astound	mamaki
astral	astral
astray	ɓata
astringent	astringent
astrologer	astrologer
astrology	astrology
astronaut	'yan saman jannati
astronomer	astronomer
astronomical	astronomical
astronomy	astronomy
astute	musa
asunder	raguwa
asylum	mafaka
asymmetric	asymmetric
asymmetry	asymmetry
asymptotic	asymptotic
atelier	zane-zane
atheism	atheism
atheist	ba da ikon fassara Mafarki ba
atheistic	atheistic
atherosclerosis	atherosclerosis
athlete	'yan wasan
athletic	wasan
athleticism	wasan motsa jiki
athletics	wasanni
atlas	atlas
atmosphere	yanayi
atmospheric	yanayi
atoll	basira
atom	atom
atomic	atomic
atone	saka
atonement	kafara
atpeace	gaba daya
atrium	atrium
atrocious	m
atrocity	atrocity
atrophy	atrophy
attach	hašawa
attached	a haɗe
attachment	abin da aka makala
attack	kai hari
attacker	attacker
attacking	kai hare hare
attain	isa
attainable	iya samuwa
attainment	nasara
attempt	ƙoƙari
attempted	yunkurin
attend	halarci
attendance	kasancewa
attendant	bawa
attention	hankali
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	mai hankali
attenuate	attenuate
attenuated	attenuated
attenuation	sabuntawa
attest	shaidar
attestation	shaidar
attic	jiragen ruwa
attire	tufafi
attitude	hali
attorney	lauya
attract	jawo hankalin
attraction	janyewa
attractive	m
attractiveness	kyakkyawa
attributable	wanda aka gano
attribute	sifa
attribution	alƙawari
attrition	attrition
auburn	auburn
auction	auction
auctioneer	auctioneer
audacious	m
audacity	m
audible	ji
audience	masu sauraro
audio	audio
audit	duba
audition	ji
auditions	ji
auditor	auditor
auditorium	ɗakin majalisa
auditory	auditory
aught	kome
augment	ƙara
augmentation	augmentation
august	august
aunt	inna
auntie	auntie
aura	aura
aurora	aurora
auspices	auspices
auspicious	m
austere	damuwa
austerity	austerity
authentic	gaskiya
authenticate	tabbatarwa
authentication	tabbatarwa
authenticity	amincin
author	marubucin
authoritative	iko
authority	iko
authorization	izini
authorize	izni
authorized	izini
authorship	marubuta
autism	autism
autistic	autistic
auto	auto
autobiographical	autobiographical
autobiography	Tarihin kai tsaye
autocorrect	ba daidai ba
autocratic	Tsarin mulki
autograph	rubutun kai tsaye
autographed	autographed
automated	mai sarrafa kansa
automatic	atomatik
automobile	mota
automotive	mota
autonomy	yanci
autopilot	autopilot
autopsy	autopsy
autumn	kaka
auxiliary	mataimaki
avail	wadata
availability	samuwa
available	samuwa
avalanche	avalanche
avarice	avarice
avatar	avatar
avenge	fansa
avenger	mai ɗaukar fansa
avenging	ramuwa
avenue	hanya
aver	NO TRANSLATION
average	matsakaita
aversation	NO TRANSLATION
averse	ƙi
averseness	averseness
aversion	ƙyama
avert	a karkata
aviary	aviary
aviation	jirgin sama
aviator	aviator
avid	m
avocado	avocado
avoid	kauce wa
avoidance	kaucewa
avoiding	gujewa
await	jira
awake	tashi
awaken	farka
awakening	tada
award	kyauta
awards	lambar yabo
aware	sane
awareness	sanarwa
awe	NO TRANSLATION
awed	awed
awesome	madalla
awesomeness	awesomeness
awestruck	awestruck
awful	m
awkward	m
awkwardness	awkwardness
awning	rumfa
awry	awry
axe	Ƙari
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	axis
axle	axle
ay	ay
aye	aye
azimuth	azimuth
azure	azure
babble	babble
babbling	babbling
babe	babe
baboon	baboon
baby	baby
babysit	babysit
babysitter	babysitter
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	bachelor
bachelorette	bachelorette
back	baya
backboard	Akwatin baya
backbone	kashin baya
backdoor	Ƙofar baya
backdrop	baya bayanan
backer	mai talla
backfire	backfire
backgammon	backgammon
background	bayanan
backhand	baya
backhoe	raƙuma
backoff	backoff
backpack	kati ta baya
backpacker	backpacker
backroom	ɗakin ajiya
backseat	backseat
backside	baya
backtrack	backtrack
backup	madadin
backward	baya
backwardness	baya
backwards	baya
backwater	ruwan sama
backwoods	backwoods
backyard	backyard
bacon	naman alade
bacteria	kwayoyin
bacterial	na kwayan
bacterium	kwayoyin
bad	m
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	lamba
badger	badger
badhabit	NO TRANSLATION
badly	mugun
badness	mugunta
baffle	baffle
baffled	baffled
bag	jaka
bagel	bagel
baggage	kaya
baggie	baggie
baggy	damuwa
bagman	bagman
bagpipes	kaya
bail	beli
bailiff	ma'aikacin kotu
bait	koto
bake	gasa
bakery	burodi
baking	yin burodi
bal	NO TRANSLATION
balance	daidaitawa
balanced	daidaita
balcony	baranda
bald	m
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	ball
ballad	ballad
ballast	ballast
ballerina	yar rawa
ballet	ballet
ballgame	ballgame
ballistic	ballistic
ballistics	dabaru
balloon	ballon
ballot	jefa kuri'a
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	ballsy
balm	balm
balmy	balmy
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	bamboo
ban	NO TRANSLATION
banana	ayaba
band	band
bandage	bandeji
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandstand
bandwagon	bandwagon
bandwidth	bandwidth
bane	bane
bang	bang
banger	banger
banish	banish
banished	an dakatar
banishment	fitarwa
banister	banista
banjo	banjo
bank	bank
banker	banker
banking	banki
bankroll	bankroll
bankrupt	bashi
bankruptcy	bankruptcy
banner	banner
banquet	biki
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	baftisma
baptismal	baftisma
baptize	baftisma
bar	bar
barb	barb
barbarian	barbarian
barbaric	barbaric
barbarism	barbarism
barbecue	barbecue
barbed	barbed
barber	barber
barbershop	wurin aski
barbie doll	barbie doll
bard	bard
bare	baƙo
bareback	bareback
barefoot	bata
barely	kawai
barf	barf
bargain	ciniki
bargaining	ciniki
barge	barge
baritone	baritone
barium	barium
bark	haushi
barkeep	barkeep
barks	barks
barley	sha'ir
barmaid	barmaid
barman	barman
barn	barn
barnacle	yanki
barney	barney
barnyard	barnyard
barometer	barometer
baron	baron
baroness	baroness
baroque	Baroque
barrack	barrack
barracuda	barracuda
barrage	barrage
barred	kariya
barrel	ganga
barren	bakarare
barricade	barricade
barrier	shamaki
barring	barring
barrister	Barista
barroom	bargo
barrow	barrow
bartender	bartender
barter	barter
base	tushe
baseball	baseball
baseball bat	wasan kwallon baseball
baseboard	kwasfa
baseless	maras tushe
baseline	tushe
baseman	Baseman
basement	ginshiki
bases	asali
bash	bash
bashful	bashful
basic	asali
basics	kayan yau da kullum
basil	Basil
basilica	Basilica
basin	basin
basis	tushe
bask	bask
basket	kwando
basketball	kwando
bass	bass
bass guitar	bass guitar
basso	NO TRANSLATION
bassoon	Bassoon
bastard	bastard
bastarding	bastarding
bastards	bastards
bastion	bastion
bat	bat
batch	tsari
batching	batching
bate	NO TRANSLATION
bath	wanka
bathe	wanke
bathhouse	bathhouse
bathing	wanka
bathrobe	wanka
bathroom	gidan wanka
bathtub	bathtub
bathymetry	bathymetry
baton	baton
battalion	Battalion
batter	batter
battered	battered
battering	battering
battery	baturi
battle	yaki
battled	battled
battlefield	filin wasa
battleground	filin yaki
battlements	kullun
battleship	yakin basasa
batty	batty
bauble	bauble
bawdy	bawdy
bawl	bawl
bay	bay
bayonet	bayonet
bayou	bayou
bazaar	bazaar
bazooka	bazooka
bday	bday
be	zama
beach	rairayin bakin teku
beaches	rairayin bakin teku masu
beacon	beacon
bead	ƙwaro
beading	beading
beads	beads
beady	beady
beagle	beagle
beak	baki
beaker	beaker
beam	katako
beaming	layi
bean	wake
beanbag	beanbag
beanie	beanie
bear	hali
bearable	m
beard	gemu
bearded	bearded
bearer	mai ɗaukar hoto
bearing	hali
bearings	bearings
bearish	bearish
bearskin	fata
beast	dabba
beastly	wildly
beat	buga
beaten	dukan tsiya
beater	beater
beating	bugawa
beatnik	'yan sanda
beau	kyakkyawa
beautification	beautification
beautiful	kyau
beautify	kyau
beauty	kyakkyawa
beaver	beaver
bebop	bebop
beck	beck
