Word	ka
addressee	ადრესატი
addresses	მისამართები
adept	კომპეტენტური
adequacy	ადეკვატურობა
adequate	ადეკვატური
adhere	ვიცავ
adherence	ერთგულება
adherent	თანმიმდევრული
adhering	adhering
adhesion	გადაბარება
adhesive	წებოვანი
adieu	adieu
adipose	adipose
adjacency	მიმდევრობა
adjacent	მიმდებარე
adjective	ზედსართავი სახელი
adjoining	მიმდებარე
adjourn	გადაუდებელი
adjournment	გადადება
adjudicate	გადაწყვეტილების მიღება
adjudication	საქმის განხილვა
adjunct	დამხმარე
adjust	შეცვალოს
adjuster	adjuster
adjustment	კორექტირება
adjuvant	adjuvant
admin	admin
administer	ადმინისტრირება
administration	ადმინისტრაცია
administrative	ადმინისტრაციული
administrator	ადმინისტრატორი
admirable	შესანიშნავი
admiral	ადმირალი
admiralty	ადმირალი
admiration	აღფრთოვანება
admire	აღფრთოვანებული ვარ
admired	აღფრთოვანებული
admirer	თაყვანისმცემელი
admiring	გამოვხატო
admissibility	დასაშვებობა
admissible	დასაშვებად
admission	მიღება
admit	აღიარება
admittance	მიღება
admitted	აღიარა
admitting	აღიარება
admixture	თანხმობა
admonition	გაფრთხილება
ado	ado
adobe	adobe
adolescence	მოზარდი
adolescent	მოზარდი
adopt	მიიღოს
adoption	მიღება
adoptive	შვილად აყვანა
adorable	adorable
adoration	თაყვანისცემა
adore	adore
adoring	adoring
adorn	adorn
adornment	სამკაული
adrenalin	ადრენალინი
adrenaline	ადრენალინი
adrift	მიდრეკილება
adult	ზრდასრული
adulterated	adulterated
adulterer	მრჩეველი
adultery	მრუშობა
adulthood	სრულწლოვანებამდე
advance	წინსვლა
advanced	მოწინავე
advancement	წინსვლა
advancing	მიიწევს
advantage	უპირატესობა
advantageous	ხელსაყრელი
advent	სამყარო
adventure	სათავგადასავლო
adventurer	ავანტიურისტი
adventures	თავგადასავლები
adventurous	თავგადასავალი
adversary	მოწინააღმდეგე
adverse	უარყოფითი
adversity	უბედურება
advertise	რეკლამა
advertisement	რეკლამა
advertising	სარეკლამო
adverts	რეკლამები
advice	რჩევა
advisable	სასურველია
advise	რჩევა
advised	ურჩია
advisement	საკონსულტაციო
adviser	მრჩეველი
advisor	მრჩეველი
advisory	საკონსულტაციო
advocacy	ადვოკატირება
advocate	ადვოკატი
aegis	ეგზი
aeration	aeration
aerial	საჰაერო
aerobics	აერობიკა
aerodrome	აეროდრომი
aerodynamic	აეროდინამიკური
aerodynamics	აეროდინამიკა
aeronautics	აერონავტიკა
aeroplane	თვითმფრინავი
aerospace	კოსმოსური
aesthetic	ესთეტიური
aesthetics	ესთეტიკას
aetiology	ეტიოლოგია
afar	შორიდან
affable	affable
affair	საქმე
affect	აფექტი
affecting	გავლენას ახდენს
affection	სითბო
affectionate	მოსიყვარულეა
affections	affections
affiche	NO TRANSLATION
affidavit	ასიგნება
affiliated	შვილობილი
affiliation	კუთვნილება
affinity	affinity
affirm	დაადასტუროთ
affirmation	დამტკიცება
affirmative	დადებითი
affirmatively	დამტკიცებულად
affix	ა
afflict	აწუხებს
afflicted	დაზარალებული
affliction	სენია
affluence	სიმდიდრე
affluent	affluent
afford	ახერხებს
affordable	ხელმისაწვდომი
affront	affront
affronted	affronted
afield	afield
afire	ცეცხლი
afloat	afloat
afore	ადრე
aforementioned	აღნიშნული
aforesaid	აღნიშნულია
afraid	შეშინებული
afresh	afresh
african	აფრიკა
aft	aft
afterlife	სავანე
aftermath	შემდგომ
afternoon	დღის მეორე ნახევარში
aftershave	გაპარსვის შემდეგ
aftertaste	გემო
afterthought	შემდგომში
aga	NO TRANSLATION
agape	ალეპე
agate	აქატი
age	ასაკი
aged	ასაკის
agency	სააგენტო
agenda	დღის წესრიგი
agent	აგენტი
agglomeration	აგლომერაცია
aggravate	გამწვავება
aggravated	გამწვავდა
aggravates	დამამძიმებს
aggravating	დამამძიმებელი
aggravation	გამწვავება
aggregate	აგრეგატი
aggregation	აგრეგაცია
aggresive	NO TRANSLATION
aggression	აგრესია
aggressive	აგრესიული
aggressively	აგრესიულად
aggressiveness	აგრესიულობა
aggressor	აგრესორი
agh	აგჰ
aghast	aghast
aghhh	NO TRANSLATION
agile	სწრაფი
agility	სისწრაფე
aging	დაძველება
agitate	აგიტაცია
agitated	წყნარად
agitation	აგიტაცია
aglow	aglow
agnostic	აგნოსტიკი
ago	წინ
agonizing	აწუხებს
agony	აგონია
agoraphobia	აგოროფობია
agree	ვეთანხმები
agreeable	სასიამოვნო
agreed	შეთანხმდნენ
agreeing	დათანხმება
agreement	შეთანხმება
agressive	NO TRANSLATION
agricultural	სოფლის მეურნეობა
agriculture	სოფლის მეურნეობა
aground	აგრო
agua	NO TRANSLATION
ahead	წინ
ahhh	აჰჰჰ
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	დახმარება
aide	თანაშემწე
aiding	დახმარება
aids	შიდსის
ail	ail
ailing	ავადმყოფი
ailment	ailment
aim	მიზნად
aimless	მიზანმიმართული
air	საჰაერო
airbag	airbag
airborne	სადესანტო
aircraft	თვითმფრინავი
aircraft carrier	თვითმფრინავის გადამზიდავი
airfield	აეროდრომი
airhead	airhead
airlift	airlift
airline	ავიაკომპანია
airliner	საჰაერო ხომალდი
airlock	airlock
airman	airman
airplane	თვითმფრინავი
airport	აეროპორტი
airs	გადის
airship	აეროპორტი
airspace	საჰაერო სივრცე
airspeed	airspeed
airstrip	airstrip
airtight	airtight
airway	საჰაერო გზა
aisle	aisle
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	აკა
akin	მსგავსი
alabaster	ანბანი
alarm	სიგნალიზაცია
alarm clock	მაღვიძარა
alarmed	შეაშფოთა
alarming	საგანგაშო
alas	სამწუხაროდ
alb	NO TRANSLATION
albatross	ალბატროსი
albino	ალბინო
album	ალბომი
alchemy	ალქიმია
alcohol	ალკოჰოლი
alcoholic	ალკოჰოლური
alcoholism	ალკოჰოლიზმი
alcove	alcove
alderman	ალდერმანი
ale	NO TRANSLATION
alert	გაფრთხილება
alertness	სიფხიზლე
alerts	შეტყობინებები
alfalfa	ალფაფა
algebra	ალგებრა
algebraic	ალგებრული
algorithm	ალგორითმი
alias	ანა
alibi	ალიბი
alien	უცხოა
alienate	გასხვისება
alienated	გაუცხოებული
alienation	გასხვისება
alight	სხვაგან
align	გასწორება
aligned	შეესაბამება
alignment	განვიხილეთ
alike	მსგავსად
alimentation	NO TRANSLATION
alimony	ალიმენტი
aliquot	ალკოტი
alive	ცოცხალია
alkali	ტუტე
alkaloids	ალკალოიდები
allay	allay
allegation	ბრალდება
allege	აცხადებს
alleged	სავარაუდოდ
allegiance	ერთგულება
allegorical	ალეგორიული
allegory	ალეგორია
allegro	ალეგრო
allergic	ალერგიული
allergy	ალერგია
alleviate	შემსუბუქება
alleviation	შემსუბუქება
alley	ხეივანი
alleyway	ხომალდი
alliance	ალიანსი
allied	მოკავშირე
alligator	ალიგატორი
allocate	გამოყოფა
allocation	განაწილება
allot	allot
allotment	გამოყოფა
allow	დაუშვებელია
allowable	დასაშვებია
allowance	შემწეობა
allowed	ნებადართულია
alloy	დისკები
allsmiles	NO TRANSLATION
allure	allure
alluring	მიმზიდველი
allusion	allusion
alluvial	ალუვიური
ally	მოკავშირე
almanac	ალმანაკი
almighty	ყოვლისშემძლე
almond	ნუშის
aloft	aloft
aloha	ალოა
alone	მარტო
alongside	ერთად
aloof	aloof
aloud	ხმამაღლა
alpha	ალფა
alphabet	ანბანი
alphabetical	ანბანური
alpine	ალპური
alreadyyyyy	უკვე არის
altar	სამსხვერპლო
altar boy	სამსხვერპლო ბიჭი
alter	შეცვალოს
alteration	შეცდომა
altercation	შეცდომა
altered	შეცვლილი
alternate	ალტერნატიული
alternating	ალტერნატივა
alternative	ალტერნატივა
altimeter	altimeter
altitude	სიმაღლე
alto	ალტო
altogether	საერთოდ
aluminum	ალუმინის
alumnus	კურსდამთავრებულები
alveolar	ალვეოლარი
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	ამალგამაცია
amaretto	amaretto
amass	amass
amateur	სამოყვარულო
amaze	გაოცებული
amazed	გაოცებული
amazedness	NO TRANSLATION
amazement	გაოცება
amazing	საოცარი
amazingly	საოცრად
ambassador	ელჩი
amber	ქარვა
ambience	ატმოსფერო
ambient	ambient
ambiguity	გაურკვევლობა
ambiguous	ორაზროვანი
ambit	ამბიცია
ambition	ამბიცია
ambitious	ამბიციური
ambivalent	ამბივალენტური
ambrosia	ამბიზია
ambulance	სასწრაფო დახმარება
ambush	ჩასაფრება
ameliorate	გააუმჯობესე
amen	ამინ
amenable	სასურველია
amend	შესწორება
amendment	შესწორება
amends	შეიცვლება
amenity	კეთილდღეობა
amethyst	ამეთვისტო
amiable	კეთილგანწყობილი
amicable	მეგობრული
amid	ფონზე
amidst	ფონზე
amino	ამინო
ammo	ammo
ammonia	ამიაკი
ammonium	ამონიუმი
ammunition	საბრძოლო მასალა
amnesia	ამნეზია
amnesty	ამნისტია
amorous	amorous
amorphous	ამორფული
amortization	ამორტიზაცია
amount	თანხა
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	ამფიბიები
amphibious	ამფიბია
amphitheater	ამფითეატრი
ample	საკმარისია
amplification	გაძლიერება
amplify	გაძლიერდეს
amplitude	დიაპაზონი
amply	amply
amputate	ამპუტაცია
amputation	ამპუტაცია
amuck	amuck
amulet	amulet
amuse	amuse
amused	amused
amusement	გასართობი
amusing	სახალისო
ana	NO TRANSLATION
anaconda	ანაკანდა
anaesthesia	ანესთეზია
anaesthetic	საანესთეზიო
anagram	ანაგრამა
anal	ანალური
analgesic	ანალგეზიური
analogous	ანალოგიური
analogue	ანალოგი
analogy	ანალოგი
analysis	ანალიზი
analyst	ანალიტიკოსი
analytic	ანალიტიკური
analytical	ანალიტიკური
analyze	გაანალიზება
analyzer	ანალიზატორი
anaphylactic	ანაფილაქსიური
anarchism	ანარქიზმი
anarchist	ანარქისტი
anarchy	ანარქია
anastomosis	ანასტომოზი
anathema	ანათემა
anatomic	ანატომია
anatomy	ანატომია
ancestor	წინაპარი
ancestral	წინაპრები
ancestry	წინაპრები
anchor	წამყვანმა
anchorage	anchorage
ancient	უძველესი
ancillary	დამხმარე
androgen	ანდროგენი
android	android
anecdote	ანეკდოტი
anemia	ანემია
anemic	ანემია
anemone	ანემია
anesthesia	ანესთეზია
anesthesiologist	ანესთეზიოლოგი
anesthetic	საანესთეზიო
aneurysm	ანევრიზი
anew	ახალი
angel	ანგელოზი
angelic	ანგელონი
anger	რისხვა
angered	გაბრაზდა
angermanagement	NO TRANSLATION
angina	სტენოკარდია
angiogram	ანგიოგრაფი
angiography	ანგიოგრაფია
angle	კუთხე
angling	გაბრაზება
angora	ანგორა
angriest	angriest
angry	გაბრაზებული
angrytweet	NO TRANSLATION
angst	angst
anguish	ტანჯვა
anguished	anguished
angular	კუთხოვანი
anhydrous	უწყლო
animal	ცხოველი
animate	animate
animated	ანიმაციური
animation	ანიმაცია
animosity	მტრობა
animus	ანიმაცია
ankle	ტერფის
anklet	ანკლეტი
annals	ანალები
annex	დანართი
annexation	ანექსია
annexe	NO TRANSLATION
annihilate	განადგურება
annihilated	განადგურდა
annihilation	განადგურება
anniversary	საიუბილეო
annotate	ანოტირება
annotation	ანოტაცია
announce	გამოაცხადოს
announcement	გამოცხადება
announcer	განმცხადებელი
annoy	გაღიზიანება
annoyance	გამაღიზიანებლობა
annoyed	გაღიზიანებული
annoyin	NO TRANSLATION
annoying	შემაშფოთებელი
annoys	აღიზიანებს
annual	წლიური
annuity	ანუიტეტი
annul	გაუქმება
annular	annular
annulment	გაუქმება
annulus	ყოველწლიური
anointed	ცხებული
anointing	anointing
anomalous	ანომალიური
anomaly	ანომალია
anon	ენონი
anonymity	ანონიმურობა
anonymous	ანონიმური
anorexic	ანორსიქსი
answer	პასუხი
answerable	პასუხის გაცემა
answering	პასუხობდა
ant	ant
antagonism	ანტაგონიზმი
antagonist	ანტაგონისტი
antagonistic	ანტაგონისტური
antagonize	ანტაგონისტი
ante	NO TRANSLATION
antecedent	წინაპირობა
antelope	ანტელპია
antenna	ანტენა
anterior	წინა
anthem	ჰიმნი
anthill	ანთრილი
anthology	ანთოლოგია
anthrax	anthrax
anthropological	ანთროპოლოგიური
anthropologist	ანთროპოლოგი
anthropology	ანთროპოლოგია
anti	ანტი
antiaircraft	ანტირექცია
antibiotic	ანტიბიოტიკი
antibiotics	ანტიბიოტიკები
antichrist	ანტიქრისტე
anticipate	მოსალოდნელია
anticipation	მოლოდინი
anticipatory	წინაპირობა
antics	antics
antidote	ანტიდოტი
antifungal	ანტიფუნგალური
antigravity	ანტიგრავიტაციული
antimony	ანტიმონია
antipathy	ანტიპათია
antiquarian	ანტიკვარული
antiquated	ანტიკვარული
antique	ანტიკური
antiques	ანტიკვარიატი
antiquity	ანტიკურ
antiseptic	ანტისეპტიკური
antisocial	ანტისოციალური
antithesis	ანტიტეზი
antithetical	ანტიტექტური
antiviral	ანტივირუსული
antler	antler
antsy	ანტს
anus	ანუსი
anvil	ანვილ
anxiety	შფოთვა
anxietyattack	NO TRANSLATION
anxious	შეშფოთებულია
anxiousness	შეშფოთება
anytime	ნებისმიერ დროს
aorta	აორტი
aortic	აორტის
apace	apace
apache	apache
apartment	ბინა
apartments	ბინები
apathetic	აპათიური
apathy	აპათია
ape	ape
aperture	დიაფრაგმა
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	ნაწილი
aplomb	aplomb
apocalypse	აპოკალიფსი
apocalyptic	აპოკალიფსური
apologetic	ბოდიში
apologist	apologist
apologize	ბოდიშს გიხდით
apology	ბოდიშის მოხდა
apostasy	განდგომილობა
apostate	განდგომილი
apostle	მოციქული
apostolic	სამოციქულო
apostrophe	აპოსტროფი
apothecary	apothecary
appalled	გაოცებული
appalling	შემაშფოთებელი
apparatus	აპარატი
apparel	ტანსაცმელი
apparent	აშკარაა
apparently	როგორც ჩანს
apparition	აწმყო
appeal	მიმართვა
appear	გამოჩნდება
appearance	გარეგნობა
appease	შუამდგომლობა
appellant	მომჩივანი
append	დამატება
appendage	დანამატი
appendectomy	ადედექტომია
appendicitis	აპენდიციტი
appendix	დანართი
appetite	მადა
appetizer	appetizer
appetizing	appetizing
applaud	მივესალმებით
applause	ტაში
apple	ვაშლი
apple juice	ვაშლის წვენი
applejack	applejack
applesauce	applesauce
appliance	ელექტრო მოწყობილობები
appliances	ტექნიკით
applicability	გამოყენებადობა
applicable	გამოიყენება
applicant	განმცხადებელი
application	განაცხადი
apply	ვრცელდება
appoint	დანიშნე
appointment	დანიშვნა
appointments	დანიშვნები
apportion	გამოყოფა
apportionment	განაწილება
appraisal	შეფასება
appraise	შეაფასეთ
appreciable	საყურადღებოა
appreciate	ვაფასებ
appreciated	დაფასებული
appreciates	აფასებს
appreciation	მადლიერება
appreciative	მადლიერი
apprehend	დააკავა
apprehension	გააზრება
apprehensive	საშიში
apprentice	სტაჟიორი
apprenticeship	სწავლა
approach	მიდგომა
approaching	ახლოვდება
approbate	NO TRANSLATION
approbation	დამტკიცება
appropriate	შესაბამისი
appropriation	მითვისება
approval	დამტკიცება
approve	დამტკიცება
approved	დამტკიცებულია
approvement	დამტკიცება
approving	დამტკიცება
approximate	სავარაუდოა
approximately	დაახლოებით
approximating	დაახლოება
approximation	დაახლოება
appurtenances	დამხმარეები
apricot	გარგარი
apron	წინამორბედი
apt	apt
aptitude	aptitude
aqua	აკვა
aquamarine	aquamarine
aquarium	აკვარიუმი
aquatic	წყლის
aqueduct	აკვარიუმი
aqueous	წყლიანი
arable	სახნავი
arbiter	არბიტრი
arbitrary	თვითნებური
arbitrate	არბიტრაჟი
arbitration	არბიტრაჟი
arbitrator	არბიტრი
arbor	არბორი
arc	რკალის
arcade	არკადული
arcane	arcane
arch	თაღოვანი
archaeological	არქეოლოგიური
archaeologist	არქეოლოგი
archaeology	არქეოლოგია
archaic	არქაული
archangel	მთავარანგელოზი
archbishop	არქიეპისკოპოსი
archdiocese	archdiocese
archduke	ეკიპაჟი
arched	თაღოვანი
archer	მშვილდოსანი
archery	მშვილდოსნობას
archetype	არქეტიპი
archipelago	არქიპელაგი
architect	არქიტექტორი
architectural	არქიტექტურული
architecture	არქიტექტურა
archive	არქივი
arctic	არქტიკა
ardent	მგზნებარე
ardor	მშვიდი
arduous	რთული
area	ტერიტორია
arena	არენაზე
areola	არელა
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	კამათი
argument	არგუმენტი
argumentation	არგუმენტაცია
argumentative	არგუმენტირებული
arguments	არგუმენტები
arid	არიდული
arise	წარმოიქმნება
aristocracy	არისტოკრატია
aristocrat	არისტოკრატი
aristocratic	არისტოკრატული
arithmetic	არითმეტიკა
ark	კიდობანი
arm	მკლავი
armada	არმადა
armament	შეიარაღება
armaments	შეიარაღება
armature	არმატურა
armchair	სავარძელი
armed	შეიარაღებული
armor	ჯავშანტექნიკა
armored	ჯავშანტექნიკა
armory	შეიარაღება
armpit	სავარჯიშო
arms	იარაღი
army	არმია
aroma	არომატი
aromatherapy	არომათერაპია
arousal	აღშფოთება
arouse	აწუხებს
aroused	გამოიწვია
arraignment	შეჯერება
arrange	მოწყობა
arranged	მოწყობილი
arrangement	მოწყობა
array	მასივი
arrears	დავალიანება
arrest	დაკავება
arrhythmia	არითმია
arrival	ჩამოსვლა
arrive	ჩამოვა
arrogance	ქედმაღლობა
arrogant	ამპარტავანი
arrow	ისარი
arsehole	arsehole
arseholes	არეში
arsenal	არსენალი
arsenic	დარიშხანი
arson	ცეცხლი
arsonist	ცეცხლსასროლი იარაღით
art	ხელოვნება
arterial	არტერიული
artery	არტერია
artful	ხელოვნური
arthritis	ართრიტი
arthropod	ართროპოდი
artichoke	არტიჩოკი
article	სტატია
articles	სტატიები
articulate	ჩამოყალიბებული
articulation	გამოხატვა
artifact	არტეფაქტი
artifice	მხატვრობა
artificial	ხელოვნური
artillery	არტილერია
artisan	ხელოსანი
artist	მხატვარი
artiste	NO TRANSLATION
artistic	მხატვრული
artistry	ხელოვნება
artists	მხატვრები
artwork	ნამუშევრები
arty	არტი
asap	რაც შეიძლება მალე
asbestos	აზბესტის
ascend	აღმავალს
ascendancy	ascendancy
ascendant	ascendant
ascending	აღმავალი
ascension	ამაღლება
ascent	ასვლა
ascertain	გაარკვევს
ascertained	დადასტურდა
ascetic	ასკეტური
ash	ნაცარი
ashamed	მრცხვენია
ashes	ნაცარი
ashtray	ასთტრია
asinine	ასინი
ask	ვკითხე
asleeep	NO TRANSLATION
asleep	ეძინა
asp	ასპ
asparagus	asparagus
aspartame	ასპარტ
aspect	ასპექტი
aspects	ასპექტები
aspen	ასპენი
asphalt	ასფალტი
asphyxia	ასფიქსია
asphyxiation	ასფიქსია
aspiration	სწრაფვა
aspire	ასპარეზზე
aspirin	ასპირინი
aspiring	მიისწრაფვის
ass	ass
assail	თავდამსხმელი
assailant	თავდამსხმელი
assassin	მკვლელი
assassinate	მკვლელობა
assassination	მკვლელობა
assault	თავდასხმა
assay	assay
assemblage	შეკრება
assemble	შეიკრიბება
assembled	შეკრებილი
assembly	შეკრება
assemblyman	შეკრებილი
assent	დათანხმება
assert	ამტკიცებს
asserting	ამტკიცებს
assertion	მტკიცება
assertive	აგრესიული
assess	შეაფასოს
assessment	შეფასება
assessor	შემფასებელი
asset	აქტივი
assets	აქტივები
asshole	asshole
assign	დაავალოს
assignee	დავალება
assignment	დავალება
assimilate	ათვისება
assimilation	ასიმილაცია
assist	დაეხმაროს
assistance	დახმარება
assistant	თანაშემწე
associate	ასოცირებული
association	ასოციაცია
assorted	ასორტი
assortment	ასორტიმენტი
assuage	დაუშვებელია
assume	ვივარაუდოთ
assumed	ვარაუდი
assuming	ვთქვათ
assumption	ვარაუდი
assurance	გარანტია
assure	დაარწმუნო
assured	დაარწმუნა
assuredly	რა თქმა უნდა
asterisk	ვარსკვლავი
asteroid	ასტეროიდი
asteroids	ასტეროიდები
asthma	ასთმა
asthmatic	ასთმური
astigmatism	ასტიგმატიზმი
astonish	გაოცებული
astonished	გაოცებული
astonishing	გასაოცარი
astonishingly	NO TRANSLATION
astonishment	გაოცება
astound	astound
astral	astral
astray	astray
astringent	astringent
astrologer	ასტროლოგი
astrology	ასტროლოგია
astronaut	ასტრონავტ
astronomer	ასტრონომი
astronomical	ასტრონომიული
astronomy	ასტრონომია
astute	თავშეკავება
asunder	როგორც წესი
asylum	თავშესაფარი
asymmetric	ასიმეტრიული
asymmetry	ასიმეტრია
asymptotic	ასიმპტოტური
atelier	ატელიერი
atheism	ათეიზმი
atheist	ათეისტი
atheistic	ათეისტური
atherosclerosis	ათეროსკლეროზი
athlete	სპორტსმენი
athletic	ატლეტური
athleticism	ატლეტიზმი
athletics	მძლეოსნობის
atlas	ატლასი
atmosphere	ატმოსფერო
atmospheric	ატმოსფერული
atoll	ატოლი
atom	ატომი
atomic	ატომური
atone	atone
atonement	გამოსყიდვა
atpeace	atpeace
atrium	ატრიუმი
atrocious	ბოროტი
atrocity	სისუსტე
atrophy	ატროფია
attach	მიმაგრება
attached	მიმაგრებული
attachment	დანართი
attack	თავდასხმა
attacker	თავდამსხმელი
attacking	თავდასხმა
attain	მივაღწიოთ
attainable	მიღწეული
attainment	მიღწევა
attempt	მცდელობა
attempted	სცადა
attend	დასწრება
attendance	დასწრება
attendant	დამსწრე
attention	ყურადღება
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	ყურადღებიანი
attenuate	ატენიანებს
attenuated	ატენიანებულია
attenuation	ატენიანობა
attest	დასტურდება
attestation	ატესტაცია
attic	სხვენი
attire	ჩაცმულობით
attitude	დამოკიდებულება
attorney	ადვოკატი
attract	მოზიდვა
attraction	მოზიდვა
attractive	მიმზიდველი
attractiveness	მიმზიდველობა
attributable	მიეკუთვნება
attribute	ატრიბუტი
attribution	ატრიბუტიკა
attrition	ატრაციონი
auburn	auburn
auction	აუქციონი
auctioneer	აუქციონზე
audacious	თამამი
audacity	audacity
audible	audible
audience	აუდიტორია
audio	აუდიო
audit	აუდიტი
audition	audition
auditions	auditions
auditor	აუდიტორი
auditorium	აუდიტორია
auditory	აუდიტორია
aught	რაღაც
augment	ზრდა
augmentation	ზრდადი
august	აგვისტო
aunt	დეიდა
auntie	დეიდა
aura	აურა
aurora	აურრა
auspices	ე
auspicious	auspicious
austere	მკაცრი
austerity	austerity
authentic	ავთენტური
authenticate	სინამდვილეში
authentication	ავთენტიფიკაცია
authenticity	ნამდვილობა
author	ავტორი
authoritative	ავტორიტეტული
