Word	tl
adolescence	pagbibinata
adolescent	adolescent
adopt	magpatibay
adoption	pag-aampon
adoptive	adoptive
adorable	kaibig-ibig
adoration	pagsamba
adore	sambahin
adoring	adoring
adorn	magpaganda
adornment	adornment
adrenalin	adrenalin
adrenaline	adrenaline
adrift	lumayo ka
adult	matanda
adulterated	adulterated
adulterer	adulterer
adultery	pangangalunya
adulthood	adulthood
advance	isulong
advanced	advanced
advancement	pagsulong
advancing	pagsulong
advantage	kalamangan
advantageous	kapaki-pakinabang
advent	pagdating
adventure	pakikipagsapalaran
adventurer	adventurer
adventures	mga pakikipagsapalaran
adventurous	malakas ang loob
adversary	kalaban
adverse	salungat
adversity	kahirapan
advertise	mag-advertise
advertisement	advertisement
advertising	advertising
adverts	adverts
advice	payo
advisable	maipapayo
advise	payuhan
advised	pinapayuhan
advisement	pagpapayo
adviser	tagapayo
advisor	tagapayo
advisory	pagpapayo
advocacy	pagtataguyod
advocate	tagataguyod
aegis	aegis
aeration	aeration
aerial	aerial
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	eroplano
aerospace	Aerospace
aesthetic	Aesthetic
aesthetics	aesthetics
aetiology	aetiology
afar	sa malayo
affable	kaaya-aya
affair	kapakanan
affect	makakaapekto
affecting	nakakaapekto
affection	pagmamahal
affectionate	magiliw
affections	pagmamahal
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	kaakibat
affiliation	pagkakaugnay
affinity	pagkakahawig
affirm	magpatibay
affirmation	pagsang-ayon
affirmative	apirmatibo
affirmatively	affirmatively
affix	affix
afflict	pasakit
afflicted	afflicted
affliction	sakit
affluence	kasaganaan
affluent	mayaman
afford	kayang bayaran
affordable	abot-kayang
affront	apront
affronted	apronted
afield	afield
afire	apoy
afloat	nakalutang
afore	bago
aforementioned	aforementioned
aforesaid	nabanggit na
afraid	takot
afresh	muli
african	african
aft	aft
afterlife	pagkatapos ng buhay
aftermath	resulta
afternoon	hapon
aftershave	aftershave
aftertaste	pagkatapos ng luto ng pagkain
afterthought	nahuling isip
aga	NO TRANSLATION
agape	agape
agate	agata
age	edad
aged	may edad na
agency	ahensiya
agenda	adyenda
agent	ahente
agglomeration	pangangalap
aggravate	magpalubha
aggravated	pinalubha
aggravates	nagpapalubha
aggravating	nagpapalubha
aggravation	aggravation
aggregate	pinagsama-samang
aggregation	pagsasama-sama
aggresive	NO TRANSLATION
aggression	pagsalakay
aggressive	agresibo
aggressively	agresibo
aggressiveness	agresibo
aggressor	aggressor
agh	agh
aghast	matinding galit
aghhh	NO TRANSLATION
agile	maliksi
agility	liksi
aging	pag-iipon
agitate	agitate
agitated	nabalisa
agitation	alitan
aglow	aglow
agnostic	agnostiko
ago	nakaraan
agonizing	naghihirap
agony	paghihirap
agoraphobia	agoraphobia
agree	sumang-ayon
agreeable	kaaya-aya
agreed	sumang-ayon
agreeing	sumang-ayon
agreement	kasunduan
agressive	NO TRANSLATION
agricultural	agrikultura
agriculture	agrikultura
aground	aground
agua	NO TRANSLATION
ahead	maaga
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	tulong
aide	pangalawa
aiding	aiding
aids	tulong
ail	ail
ailing	may sakit
ailment	sakit
aim	pakay
aimless	walang patutunguhan
air	hangin
airbag	airbag
airborne	nasa eruplano
aircraft	aircraft
aircraft carrier	sasakyang panghimpapawid
airfield	paliparan
airhead	airhead
airlift	airlift
airline	airline
airliner	airliner
airlock	airlock
airman	airman
airplane	eroplano
airport	paliparan
airs	airs
airship	airship
airspace	airspace
airspeed	airspeed
airstrip	airstrip
airtight	airtight
airway	panghimpapawid
aisle	pasilyo
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	katulad
alabaster	alabaster
alarm	alarma
alarm clock	alarm clock
alarmed	Nababahala
alarming	may alarma
alas	Naku
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchemy
alcohol	alak
alcoholic	alkohol
alcoholism	alkoholismo
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	alerto
alertness	alerto
alerts	mga alerto
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algorithm
alias	alias
alibi	alibi
alien	dayuhan
alienate	alienate
alienated	alienated
alienation	alienation
alight	alight
align	align
aligned	nakahanay
alignment	pagkakahanay
alike	magkatulad
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	buhay
alkali	alkali
alkaloids	alkaloids
allay	paikliin
allegation	paratang
allege	magsasabi
alleged	pinaghihinalaang
allegiance	katapatan
allegorical	alegoriko
allegory	alegorya
allegro	allegro
allergic	allergic
allergy	allergy
alleviate	magpakalma
alleviation	pagpapagaan
alley	alley
alleyway	alleyway
alliance	alyansa
allied	allied
alligator	buaya
allocate	maglaan
allocation	alokasyon
allot	maglaan
allotment	pamamahagi
allow	payagan
allowable	pinapahintulutan
allowance	allowance
allowed	pinapayagan
alloy	haluang metal
allsmiles	NO TRANSLATION
allure	gayahin
alluring	kaakit-akit
allusion	alusyon
alluvial	alluvial
ally	kapanalig
almanac	almanac
almighty	makapangyarihan
almond	pili
aloft	aloft
aloha	aloha
alone	nag-iisa
alongside	sa tabi
aloof	aloof
aloud	malakas
alpha	alpha
alphabet	alpabeto
alphabetical	alpabetikong
alpine	alpine
alreadyyyyy	alreadyyyyy
altar	altar
altar boy	altar boy
alter	baguhin
alteration	pagbabago
altercation	altercation
altered	binago
alternate	kahalili
alternating	alternating
alternative	alternatibong
altimeter	altimetro
altitude	altitude
alto	alto
altogether	kabuuan
aluminum	aluminyo
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	pagsasama-sama
amaretto	amaretto
amass	magtipon
amateur	amateur
amaze	humanga
amazed	nagtaka nang labis
amazedness	NO TRANSLATION
amazement	paghanga
amazing	kahanga-hangang
amazingly	amazingly
ambassador	ambasador
amber	amber
ambience	kapaligiran
ambient	ambient
ambiguity	kalabuan
ambiguous	hindi siguradong
ambit	ambit
ambition	ambisyon
ambitious	ambisyoso
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulansya
ambush	ambus
ameliorate	magpapanatili
amen	amen
amenable	amenable
amend	baguhin
amendment	susog
amends	nagbabago
amenity	amenity
amethyst	amatista
amiable	mabait
amicable	magaling
amid	sa gitna
amidst	sa gitna
amino	amino
ammo	munisyon
ammonia	ammonia
ammonium	ammonium
ammunition	bala
amnesia	amnesia
amnesty	amnesty
amorous	amorous
amorphous	walang hugis
amortization	amortization
amount	halaga
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	ampiteatro
ample	sapat na
amplification	paglaki
amplify	palakasin
amplitude	malawak
amply	masagana
amputate	magputol
amputation	pagputol
amuck	amuck
amulet	amulet
amuse	magpatawa
amused	nilibang
amusement	libangan
amusing	nakakatawa
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	anestesya
anagram	anagram
anal	anal
analgesic	analgesic
analogous	kahalintulad
analogue	analogue
analogy	pagkakatulad
analysis	pagsusuri
analyst	analyst
analytic	analytic
analytical	analytical
analyze	pag-aralan
analyzer	analyzer
anaphylactic	anaphylactic
anarchism	anarkismo
anarchist	anarchist
anarchy	anarkiya
anastomosis	anastomosis
anathema	anathema
anatomic	anatomiko
anatomy	anatomya
ancestor	ninuno
ancestral	ninuno
ancestry	ninuno
anchor	anchor
anchorage	anchorage
ancient	sinaunang
ancillary	pantulong
androgen	androgen
android	android
anecdote	anekdota
anemia	anemya
anemic	anemic
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	anestesya
aneurysm	aneurysm
anew	muli
angel	anghel
angelic	anghel
anger	galit
angered	angered
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	anggulo
angling	angling
angora	angora
angriest	angriest
angry	galit
angrytweet	NO TRANSLATION
angst	angst
anguish	ang pagdadalamhati
anguished	nagagalit
angular	angular
anhydrous	anhydrous
animal	hayop
animate	magpasaya
animated	animated
animation	animation
animosity	kalupitan
animus	animus
ankle	bukung-bukong
anklet	anklet
annals	mga salaysay
annex	annex
annexation	pagsasanib
annexe	NO TRANSLATION
annihilate	puksain
annihilated	nilipol
annihilation	paglipol
anniversary	anibersaryo
annotate	I-annotate
annotation	anotasyon
announce	ipahayag
announcement	anunsyo
announcer	tagapagbalita
annoy	inisin
annoyance	kaguluhan
annoyed	Nayayamot
annoyin	NO TRANSLATION
annoying	nakakainis
annoys	annoys
annual	taunang
annuity	annuity
annul	magpawalang-saysay
annular	pabilog
annulment	pawalang bisa
annulus	annulus
anointed	anointed
anointing	pagpapahid
anomalous	maanomalyang
anomaly	anomalya
anon	anon
anonymity	pagkawala ng lagda
anonymous	anonymous
anorexic	anorexic
answer	sagot
answerable	mananagot
answering	pagsagot
ant	ant
antagonism	antagonismo
antagonist	antagonist
antagonistic	mapangahas
antagonize	antagonize
ante	NO TRANSLATION
antecedent	antecedent
antelope	antilope
antenna	antena
anterior	nauna
anthem	awit
anthill	anthill
anthology	antolohiya
anthrax	anthrax
anthropological	anthropological
anthropologist	antropologo
anthropology	antropolohiya
anti	anti
antiaircraft	antiaircraft
antibiotic	antibyotiko
antibiotics	antibiotics
antichrist	antikristo
anticipate	anticipate
anticipation	pag-asa
anticipatory	anticipatory
antics	NO TRANSLATION
antidote	antidote
antifungal	antifungal
antigravity	antigravity
antimony	antimonyo
antipathy	antipathy
antiquarian	antiquarian
antiquated	antiquated
antique	antigong
antiques	Mga antigo
antiquity	unang panahon
antiseptic	antiseptiko
antisocial	antisosyal
antithesis	antithesis
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	pagkabalisa
anxietyattack	NO TRANSLATION
anxious	nababalisa
anxiousness	pagkabalisa
anytime	anumang oras
aorta	aorta
aortic	aortic
apace	apace
apache	Apache
apartment	apartment
apartments	apartment
apathetic	walang pakialam
apathy	kawalang-interes
ape	unggoy
aperture	Aperture
apex	tugatog
aphid	aphid
aphrodisiac	aphrodisiac
apiece	isang piraso
aplomb	aplomb
apocalypse	pahayag
apocalyptic	apocalyptic
apologetic	apologetic
apologist	apologist
apologize	humingi ng tawad
apology	paghingi ng tawad
apostasy	apostasiya
apostate	apostate
apostle	apostol
apostolic	apostoliko
apostrophe	apostrophe
apothecary	apothecary
appalled	katahimikan
appalling	kakila-kilabot
apparatus	kasangkapan
apparel	damit
apparent	maliwanag
apparently	tila
apparition	apparition
appeal	apila
appear	lumitaw
appearance	hitsura
appease	maglubag
appellant	appellant
append	ilakip
appendage	appendage
appendectomy	appendectomy
appendicitis	apendisitis
appendix	apendiks
appetite	gana
appetizer	pampagana
appetizing	pampagana
applaud	pumalakpak
applause	palakpakan
apple	mansanas
apple juice	apple juice
applejack	applejack
applesauce	mansanas
appliance	appliance
appliances	mga kasangkapan
applicability	applicability
applicable	naaangkop
applicant	aplikante
application	application
apply	mag-aplay
appoint	humirang
appointment	appointment
appointments	mga appointment
apportion	apportion
apportionment	pagbabahagi
appraisal	tasa
appraise	tasahin
appreciable	kakila-kilabot
appreciate	magpahalaga
appreciated	pinapahalagahan
appreciates	Pinahahalagahan
appreciation	pagpapahalaga
appreciative	mapagpasalamat
apprehend	maunawaan
apprehension	pagkaunawa
apprehensive	nag-aalala
apprentice	apprentice
apprenticeship	apprenticeship
approach	lapitan
approaching	papalapit
approbate	NO TRANSLATION
approbation	pag-apruba
appropriate	angkop
appropriation	paglalaan
approval	pag-apruba
approve	aprubahan
approved	naaprubahan
approvement	pag sang-ayon
approving	pag-apruba
approximate	tinatayang
approximately	humigit-kumulang
approximating	approximating
approximation	pagtatantya
appurtenances	appurtenances
apricot	aprikot
apron	apron
apt	apt
aptitude	aptitude
aqua	aqua
aquamarine	aquamarine
aquarium	akwaryum
aquatic	nabubuhay sa tubig
aqueduct	aqueduct
aqueous	aqueous
arable	arable
arbiter	arbiter
arbitrary	arbitrary
arbitrate	arbitrate
arbitration	arbitrasyon
arbitrator	arbitrator
arbor	arbor
arc	arc
arcade	arcade
arcane	arcane
arch	arko
archaeological	arkeolohiko
archaeologist	arkeologo
archaeology	arkeolohiya
archaic	archaic
archangel	arkanghel
archbishop	arsobispo
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	mamamana
archery	archery
archetype	archetype
archipelago	arkipelago
architect	arkitekto
architectural	arkitektura
architecture	arkitektura
archive	archive
arctic	Arctic
ardent	ardent
ardor	ardor
arduous	mahirap
area	lugar
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	magtaltalan
argument	argumento
argumentation	argumento
argumentative	argumentative
arguments	argumento
arid	tuyo
arise	manggaling
aristocracy	aristokrasya
aristocrat	aristokrata
aristocratic	maharlika
arithmetic	aritmetika
ark	kaban
arm	braso
armada	armada
armament	armamento
armaments	mga sandata
armature	armature
armchair	armchair
armed	armadong
armor	nakasuot
armored	nakabaluti
armory	taguan ng armas
armpit	kilikili
arms	armas
army	hukbo
aroma	aroma
aromatherapy	aromatherapy
arousal	arousal
arouse	pukawin
aroused	aroused
arraignment	arraignment
arrange	ayusin
arranged	isagawa
arrangement	kaayusan
array	array
arrears	atraso
arrest	aresto
arrhythmia	arrhythmia
arrival	pagdating
arrive	dumating
arrogance	pagmamataas
arrogant	mapagmataas
arrow	arrow
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	arson
arsonist	arsonist
art	sining
arterial	arterial
artery	arterya
artful	artful
arthritis	arthritis
arthropod	arthropod
artichoke	artichoke
article	artikulo
articles	artikulo
articulate	nakapagsasalita
articulation	magsalita
artifact	artepakto
artifice	artipisyal
artificial	artipisyal
artillery	artilerya
artisan	artisan
artist	artist
artiste	NO TRANSLATION
artistic	artistikong
artistry	kasiningan
artists	artist
artwork	likhang sining
arty	arty
asap	ASAP
asbestos	asbesto
ascend	umakyat
ascendancy	pagkataas
ascendant	ascendant
ascending	pataas
ascension	pag-akyat
ascent	pag-akyat
ascertain	tiyakin
ascertained	matukoy
ascetic	asetiko
ash	abo
ashamed	nahihiya
ashes	ashes
ashtray	asbintang
asinine	asinine
ask	magtanong
asleeep	NO TRANSLATION
asleep	tulog
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	aspeto
aspects	aspeto
aspen	aspen
asphalt	aspalto
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	hangad
aspire	maghangad
aspirin	aspirin
aspiring	naghahangad
ass	asno
assail	pagsalakay
assailant	sumasalakay
assassin	mamamatay-tao
assassinate	mamamatay
assassination	pagpatay
assault	pag-atake
assay	esse
assemblage	pagtitipon
assemble	magtipun-tipon
assembled	tipunin
assembly	pagpupulong
assemblyman	Assemblyman
assent	pagsang-ayon
assert	igiit
asserting	iginiit
assertion	assertion
assertive	mapamilit
assess	tasahin
assessment	pagtatasa
assessor	tagasuri
asset	asset
assets	ari-arian
asshole	asshole
assign	magtalaga
assignee	assignee
assignment	pagtatalaga
assimilate	kumustahin
assimilation	asimilasyon
assist	tulungan
assistance	tulong
assistant	katulong
associate	iugnay
association	pagsasamahan
assorted	sari-sari
assortment	uri
assuage	katahimikan
assume	ipalagay
assumed	ipinapalagay
assuming	ipagpalagay na
assumption	palagay
assurance	katiyakan
assure	siguruhin
assured	sigurado
assuredly	sigurado
asterisk	asterisk
asteroid	asteroid
asteroids	asteroids
asthma	hika
asthmatic	asthmatic
astigmatism	astigmatismo
astonish	astonish
astonished	astonished
astonishing	kagila-gilalas
astonishingly	NO TRANSLATION
astonishment	pagkamangha
astound	humanga
astral	astral
astray	mali
astringent	astringent
astrologer	astrologer
astrology	astrolohiya
astronaut	astronaut
astronomer	astronomer
astronomical	astronomya
astronomy	astronomiya
astute	astute
asunder	nalagot
asylum	pagpapakupkop laban
asymmetric	walang simetrya
asymmetry	kawalaan ng simetrya
asymptotic	asymptotic
atelier	atelier
atheism	atheism
atheist	ateista
atheistic	atheistic
atherosclerosis	atherosclerosis
athlete	atleta
athletic	atletiko
athleticism	athleticism
athletics	athletics
atlas	atlas
atmosphere	kapaligiran
atmospheric	atmospera
atoll	atoll
atom	atom
atomic	atomic
atone	atone
atonement	pagtubos
atpeace	atpeace
atrium	atrium
atrocious	atrocious
atrocity	kasamaan
atrophy	pagkasayang
attach	ilakip
attached	nakalakip
attachment	attachment
attack	atake
attacker	magsasalakay
attacking	umaatake
attain	matamo
attainable	maaabot
attainment	pagkakamit
attempt	tangka
attempted	tinangka
attend	dumalo
attendance	pagdalo
attendant	tagapaglingkod
attention	pansin
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	matulungin
attenuate	magpalambing
attenuated	pinalambot
attenuation	pagpapalambing
attest	magpatotoo
attestation	pagpapatunay
attic	attic
attire	damit
attitude	saloobin
attorney	abogado
attract	makaakit
attraction	akit
attractive	kaakit-akit
attractiveness	kaakit-akit
attributable	maiugnay
attribute	katangian
attribution	pagpapalagay
attrition	pagkasira
auburn	auburn
auction	subasta
auctioneer	auctioneer
audacious	matapang
audacity	katapangan
audible	naririnig
audience	madla
audio	audio
audit	audit
audition	audition
auditions	audition
auditor	auditor
auditorium	auditorium
auditory	pandinig
aught	anuman
augment	dagdagan
augmentation	pagpapalaki
august	Agosto
aunt	Tiya
auntie	auntie
aura	aura
aurora	aurora
auspices	tangkilik
auspicious	mapalad
austere	mabagsik
austerity	pagkamahigpit
authentic	tunay na
authenticate	patotohanan
authentication	pagpapatunay
authenticity	pagiging tunay
author	may-akda
authoritative	makapangyarihan
authority	awtoridad
authorization	awtorisasyon
authorize	pinapahintulutan
authorized	awtorisadong
authorship	akda
autism	autism
autistic	autistic
auto	auto
autobiographical	autobiographical
autobiography	autobiography
autocorrect	autocorrect
autocratic	autokratiko
autograph	pirma
autographed	autographed
automated	awtomatiko
automatic	awtomatikong
automobile	sasakyan
automotive	automotive
autonomy	awtonomya
autopilot	autopilot
autopsy	autopsy
autumn	taglagas
auxiliary	auxiliary
avail	mapakinabangan
availability	availability
available	magagamit
avalanche	avalanche
avarice	katakut-takot
avatar	avatar
avenge	maghiganti
avenger	tagapaghiganti
avenging	paghihiganti
avenue	avenue
aver	NO TRANSLATION
average	average
aversation	NO TRANSLATION
averse	ayaw
averseness	kabaitan
aversion	pag-ayaw
avert	avert
aviary	unggoy
aviation	aviation
aviator	tagapagtanggol
avid	masugid
avocado	abukado
avoid	iwasan
avoidance	pag-iwas
avoiding	pag-iwas
await	hintayin
awake	gising
awaken	gumising
awakening	paggising
award	award
awards	Mga parangal
aware	kamalayan
awareness	kamalayan
awe	NO TRANSLATION
awed	humanga
awesome	kahanga-hangang
awesomeness	awesomeness
awestruck	awestruck
awful	kakila-kilabot
awkward	awkward
awkwardness	kabiguan
awning	awning
awry	awry
axe	palakol
axial	ng ehe
axiom	axiom
axiomatic	axiomatic
axis	aksis
axle	axle
ay	ay
aye	aye
azimuth	azimuth
azure	azure
babble	baboy
babbling	babbling
babe	Babe
baboon	baboon
baby	sanggol
babysit	babysit
babysitter	babysitter
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	bachelor
bachelorette	bachelorette
back	bumalik
backboard	backboard
backbone	gulugod
backdoor	pinto sa likuran
backdrop	backdrop
backer	tagapagtaguyod
backfire	backfire
backgammon	backgammon
background	background
backhand	backhand
backhoe	backhoe
backoff	lumayo ka
backpack	backpack
backpacker	backpacker
backroom	backroom
backseat	backseat
backside	likuran
backtrack	pag-urong
backup	backup
backward	pabalik
backwardness	kabiguan
backwards	paurong
backwater	backwater
backwoods	backwoods
backyard	likod-bahay
bacon	bacon
bacteria	bakterya
bacterial	bacterial
bacterium	bacterium
bad	masama
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	mabango
badhabit	NO TRANSLATION
badly	masama
badness	kasamaan
baffle	malas
baffled	baffled
bag	bag
bagel	bagel
baggage	bagahe
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	bagpipes
bail	piyansa
bailiff	Tagapagtanggol
bait	pain
bake	maghurno
bakery	panaderya
baking	pagluluto
bal	NO TRANSLATION
balance	balanse
balanced	balanse
balcony	balkonahe
bald	kalbo
balding	balding
baldy	baldy
bale	Bale
balk	balk
ball	bola
ballad	balad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	ballgame
ballistic	ballistic
ballistics	ballistics
balloon	balloon
ballot	balota
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	ballsy
balm	balsamo
balmy	masarap
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	kawayan
ban	NO TRANSLATION
banana	saging
band	band
bandage	bendahe
bandanna	bandanna
bandit	bandido
bandstand	bandstand
bandwagon	pambuwelo
bandwidth	bandwidth
bane	bane
bang	bang
banger	banger
banish	palayasin
banished	banished
banishment	pagpapalayas
banister	banister
banjo	banjo
bank	bangko
banker	tagabangko
banking	pagbabangko
bankroll	magtustos
bankrupt	bangkarote
bankruptcy	bangkarota
banner	banner
banquet	piging
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	bautismo
baptismal	Pagbibinyag
baptize	magbinyag
bar	bar
barb	barb
barbarian	napakawalang hiya
barbaric	barbariko
barbarism	barbarismo
barbecue	barbecue
barbed	hinawakan
barber	barbero
barbershop	barbero
barbie doll	manikang Barbie
bard	bard
bare	hubad
bareback	walang barak
barefoot	walang sapin ang paa
barely	bahagya
barf	barf
bargain	bargain
bargaining	bargaining
barge	barge
baritone	baritone
barium	barium
bark	mag-upak
barkeep	barkeep
barks	barks
barley	barley
barmaid	barmaid
barman	barman
barn	kamalig
barnacle	tanghali
barney	barney
barnyard	barnyard
barometer	barometer
baron	baron
baroness	baroness
baroque	baroque
barrack	barrack
barracuda	barracuda
barrage	barrage
barred	ipinagpaliban
barrel	bariles
barren	baog
barricade	barikada
barrier	hadlang
barring	paghadlang
barrister	barrister
barroom	barroom
barrow	barrow
bartender	bartender
barter	barter
base	base
baseball	baseball
baseball bat	baseball bat
baseboard	baseboard
baseless	walang basehan
baseline	baseline
baseman	baseman
basement	basement
bases	base
bash	Bash
bashful	mahiyain
basic	basic
basics	mga pangunahing kaalaman
basil	basil
basilica	basilica
basin	basin
basis	batayan
bask	bask
basket	basket
basketball	basketball
bass	bass
bass guitar	bass guitar
basso	NO TRANSLATION
bassoon	bassoon
bastard	bastard
