Word	km
activist	សកម្មជន
activity	សកម្មភាព
actor	តារាសម្តែង
actress	តារាសម្តែង
actual	ជាក់ស្តែង
actuality	ជាក់ស្តែង
actuary	ឥន្ទធនូ
acuity	ស្រួច
acumen	acumen
acupuncture	ការចាក់ម្ជុលវិទ្យាសាស្ត្រ
acute	ស្រួច
acutely	ធ្ងន់ធ្ងរ
ad	ពាណិជ្ជកម្ម
adage	adage
adamant	ឆើតឆាយ
adapt	សម្របខ្លួន
adaptable	អាដាប់ធ័រ
adaptation	ការបន្សាំ
add	បន្ថែម
added	បានបន្ថែម
addendum	បន្ថែម
adder	បន្ថែម
addict	ញៀន
addicted	addicted
addiction	ញៀន
addictive	ញៀន
addition	លើសពីនេះ
additional	បន្ថែម
additive	បន្ថែម
address	អាសយដ្ឋាន
addressee	អ្នកទទួលសំបុត្រ
addresses	អាសយដ្ឋាន
adept	ស្ទាត់ជំនាញ
adequacy	ភាពគ្រប់គ្រាន់
adequate	គ្រប់គ្រាន់
adhere	ប្រកាន់ខ្ជាប់
adherence	ការប្រកាន់ខ្ជាប់
adherent	ប្រកាន់ខ្ជាប់
adhering	ប្រកាន់ខ្ជាប់
adhesion	adhesion
adhesive	adhesive
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	នៅជិតគ្នា
adjective	adjective
adjoining	adjoining
adjourn	ពន្យារពេល
adjournment	ការពន្យារពេល
adjudicate	វិនិច្ឆ័យ
adjudication	ការវិនិច្ឆ័យ
adjunct	adjunct
adjust	លៃតម្រូវ
adjuster	កែសម្រួល
adjustment	ការលៃតម្រូវ
adjuvant	adjuvant
admin	admin
administer	គ្រប់គ្រង
administration	រដ្ឋបាល
administrative	រដ្ឋបាល
administrator	អ្នកគ្រប់គ្រង
admirable	គួរឱ្យសរសើរ
admiral	កោតសរសើរ
admiralty	admiralty
admiration	ការកោតសរសើរ
admire	សរសើរ
admired	កោតសរសើរ
admirer	អ្នកកោតសរសើរ
admiring	កោតសរសើរ
admissibility	ការទទួលយក
admissible	អាចទទួលយកបាន
admission	ចូល
admit	សារភាព
admittance	ចូល
admitted	បានសារភាព
admitting	ទទួលស្គាល់
admixture	admixture
admonition	ការប្រៀនប្រដៅ
ado	ado
adobe	adobe
adolescence	វ័យជំទង់
adolescent	ជំទង់
adopt	អនុម័ត
adoption	ការអនុម័ត
adoptive	ការចិញ្ចឹម
adorable	គួរឱ្យស្រឡាញ់
adoration	ការថ្វាយបង្គំ
adore	ចូលចិត្ត
adoring	គោរព
adorn	តាក់តែង
adornment	តុបតែង
adrenalin	adrenalin
adrenaline	adrenaline
adrift	លះបង់
adult	មនុស្សពេញវ័យ
adulterated	ក្លែងបន្លំ
adulterer	ផិតក្បត់
adultery	ការផិតក្បត់
adulthood	ពេញវ័យ
advance	ជាមុន
advanced	កម្រិតខ្ពស់
advancement	ការអភិវឌ្ឍ
advancing	ទៅមុខ
advantage	អត្ថប្រយោជន៍
advantageous	គុណសម្បត្តិ
advent	វត្តមាន
adventure	ដំណើរផ្សងព្រេង
adventurer	អ្នកផ្សងព្រេង
adventures	ដំណើរផ្សងព្រេង
adventurous	ការផ្សងព្រេង
adversary	សត្រូវ
adverse	អវិជ្ជមាន
adversity	ភាពមិនអនុគ្រោះ
advertise	ផ្សព្វផ្សាយ
advertisement	ការផ្សព្វផ្សាយ
advertising	ការផ្សាយពាណិជ្ជកម្ម
adverts	ផ្សព្វផ្សាយ
advice	ដំបូន្មាន
advisable	គួរ
advise	ផ្តល់ដំបូន្មាន
advised	ណែនាំ
advisement	ជូនដំណឹង
adviser	ទីប្រឹក្សា
advisor	ទីប្រឹក្សា
advisory	ផ្តល់ដំបូន្មាន
advocacy	ការតស៊ូមតិ
advocate	អ្នកតស៊ូមតិ
aegis	aegis
aeration	ខ្យល់
aerial	ពីលើអាកាស
aerobics	ហាត់ប្រាណ
aerodrome	អាកាសយាន
aerodynamic	ឌីណា
aerodynamics	ឌីណាមិក
aeronautics	aeronautics
aeroplane	យន្តហោះ
aerospace	អាកាស
aesthetic	សាភ័ណភ្ព
aesthetics	សោភ័ណ្ឌ
aetiology	បរិយាកាស
afar	ឆ្ងាយ
affable	ធូរស្រាល
affair	កិច្ចការ
affect	ប៉ះពាល់
affecting	ប៉ះពាល់
affection	ស្នេហា
affectionate	ស្រឡាញ់
affections	ស្នេហា
affiche	NO TRANSLATION
affidavit	សេចក្តីថ្លែងការណ៍
affiliated	ពាក់ព័ន្ធ
affiliation	សម្ព័ន្ធ
affinity	ភាពដូចគ្នា
affirm	បញ្ជាក់
affirmation	ការអះអាង
affirmative	វិជ្ជមាន
affirmatively	បញ្ជាក់
affix	ភ្ជាប់
afflict	រងទុក្ខ
afflicted	រងទុក្ខ
affliction	ទុក្ខវេទនា
affluence	សម្បូរបែប
affluent	សម្បូរបែប
afford	លទ្ធភាព
affordable	មានតំលៃសមរម្យ
affront	ការប្រមាថ
affronted	មើលងាយ
afield	afield
afire	ភ្លើង
afloat	លិចលង់
afore	ពីមុន
aforementioned	បានបញ្ជាក់
aforesaid	aforesaid
afraid	ភ័យខ្លាច
afresh	ថ្មី
african	អាហ្វ្រិក
aft	ខាងឆ្វេង
afterlife	afterlife
aftermath	បន្ទាប់ពី
afternoon	រសៀល
aftershave	aftershave
aftertaste	រសាយ
afterthought	គិតទុកជាមុន
aga	NO TRANSLATION
agape	អាហ្គេប
agate	agate
age	អាយុ
aged	អាយុ
agency	ភ្នាក់ងារ
agenda	របៀបវារៈ
agent	ភ្នាក់ងារ
agglomeration	agglomeration
aggravate	aggravate
aggravated	aggravated
aggravates	aggravates
aggravating	aggravating
aggravation	aggravation
aggregate	សរុប
aggregation	សរុប
aggresive	NO TRANSLATION
aggression	ការឈ្លានពាន
aggressive	ឈ្លានពាន
aggressively	យ៉ាងខ្លាំង
aggressiveness	ឈ្លានពាន
aggressor	អ្នកឈ្លានពាន
agh	agh
aghast	អាឡោះអាល័យ
aghhh	NO TRANSLATION
agile	agile
agility	រហ័សរហួន
aging	វ័យចំណាស់
agitate	ស្ទាក់ស្ទើរ
agitated	ញ័រ
agitation	ការរំជើបរំជួល
aglow	aglow
agnostic	មិនដឹងខ្លួន
ago	ពីមុន
agonizing	ឈឺចាប់
agony	ឈឺចាប់
agoraphobia	agoraphobia
agree	យល់ស្រប
agreeable	គួរសម
agreed	បានយល់ស្រប
agreeing	យល់ព្រម
agreement	កិច្ចព្រមព្រៀង
agressive	NO TRANSLATION
agricultural	កសិកម្ម
agriculture	កសិកម្ម
aground	ខ្ទេចខ្ទី
agua	NO TRANSLATION
ahead	នៅពេល​ខាងមុខ
ahhh	មែន
ahhhhhhhh	NO TRANSLATION
ahoy	អូយ
aid	ជំនួយ
aide	អ្នកជំនួយ
aiding	ជួយ
aids	ជំនួយ
ail	អូយ
ailing	ឈឺចាប់
ailment	ជំងឺ
aim	បំណង
aimless	គ្មានគោលដៅ
air	ខ្យល់
airbag	ពោងសុវត្ថិភាព
airborne	អាកាស
aircraft	យន្តហោះ
aircraft carrier	នាវាផ្ទុកយន្តហោះ
airfield	វាលយន្តហោះ
airhead	ក្បាលខ្យល់អាកាស
airlift	យន្តហោះ
airline	ក្រុមហ៊ុនអាកាសចរណ៍
airliner	យន្តហោះ
airlock	airlock
airman	អាកាសយានិក
airplane	យន្តហោះ
airport	ព្រ​លាន​យន្តហោះ
airs	ខ្យល់
airship	ខ្យល់
airspace	airspace
airspeed	airspeed
airstrip	airstrip
airtight	airtight
airway	ផ្លូវដង្ហើម
aisle	aisle
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	អាកា
akin	akin
alabaster	alabaster
alarm	សំឡេងរោទ៍
alarm clock	ម៉ោង​រោ​ទិ៍
alarmed	រំខាន
alarming	គួរឱ្យព្រួយបារម្ភ
alas	សើច
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	អាល់ប៊ុម
alchemy	ក្លែងក្លាយ
alcohol	អាល់កុល
alcoholic	គ្រឿងស្រវឹង
alcoholism	ការញៀនស្រា
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	ប្រុងប្រយ័ត្ន
alertness	ការប្រុងប្រយ័ត្ន
alerts	ការជូនដំណឹង
alfalfa	alfalfa
algebra	ពិជគណិត
algebraic	ពិជគណិត
algorithm	ក្បួនដោះស្រាយ
alias	ឈ្មោះក្លែងក្លាយ
alibi	alibi
alien	ចម្លែក
alienate	ឃ្លាតឆ្ងាយ
alienated	ឃ្លាតឆ្ងាយ
alienation	alienation
alight	ភ្លាត់
align	តម្រឹម
aligned	តម្រឹម
alignment	តម្រឹម
alike	ដូចគ្នា
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	រស់
alkali	អាល់កាឡាំង
alkaloids	អាល់កាឡូអ៊ីត
allay	លា
allegation	ចោទ
allege	ចោទប្រកាន់
alleged	ចោទ
allegiance	ភក្តីភាព
allegorical	និមិត្តសញ្ញា
allegory	និមិត្តសញ្ញា
allegro	allegro
allergic	អាឡែស៊ី
allergy	ប្រតិកម្ម
alleviate	កាត់បន្ថយ
alleviation	កាត់បន្ថយ
alley	ខ្សែក
alleyway	ច្រកផ្លូវ
alliance	សម្ព័ន្ធភាព
allied	សម្ព័ន្ធមិត្ត
alligator	ក្រពើ
allocate	បម្រុងទុក
allocation	ការបែងចែក
allot	allot
allotment	ចំនែក
allow	អនុញ្ញាត
allowable	អនុញ្ញាត
allowance	ប្រាក់ឧបត្ថម្ភ
allowed	អនុញ្ញាត
alloy	alloy
allsmiles	NO TRANSLATION
allure	ទាក់ទាញ
alluring	ទាក់ទាញ
allusion	allusion
alluvial	alluvial
ally	សម្ព័ន្ធមិត្ត
almanac	almanac
almighty	មានអំណាចខ្លាំងក្លា
almond	អាល់ម៉ុង
aloft	aloft
aloha	aloha
alone	តែម្នាក់ឯង
alongside	ជាមួយ
aloof	aloof
aloud	ឮ ៗ
alpha	អាល់ហ្វា
alphabet	អក្ខរក្រម
alphabetical	តាមអក្ខរក្រម
alpine	alpine
alreadyyyyy	alreadyyyyy
altar	អាសនៈ
altar boy	ក្មេងប្រុសអាសនៈ
alter	ផ្លាស់ប្តូរ
alteration	ការកែប្រែ
altercation	altercation
altered	ផ្លាស់ប្តូរ
alternate	ជំនួស
alternating	ជំនួស
alternative	ជំនួស
altimeter	កម្ពស់
altitude	កម្ពស់
alto	alto
altogether	ទាំងអស់គ្នា
aluminum	អាលុយមីញ៉ូម
alumnus	អតីតនិស្សិត
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	បញ្ចូលគ្នា
amaretto	amaretto
amass	amass
amateur	អ្នកស្ម័គ្រចិត្ត
amaze	ភ្ញាក់ផ្អើល
amazed	ភ្ញាក់ផ្អើល
amazedness	NO TRANSLATION
amazement	អស្ចារ្យ
amazing	អស្ចារ្យ
amazingly	អស្ចារ្យ
ambassador	ឯកអគ្គរដ្ឋទូត
amber	ពណ៌លឿង
ambience	បរិយាកាស
ambient	បរិយាកាស
ambiguity	ភាពមិនច្បាស់
ambiguous	មិនច្បាស់
ambit	ambit
ambition	មហិច្ឆតា
ambitious	មានមហិច្ឆតា
ambivalent	ភាពមិនច្បាស់លាស់
ambrosia	ambrosia
ambulance	រថយន្តសង្គ្រោះបន្ទាន់
ambush	ការ​វាយឆ្មក់
ameliorate	កែលម្អ
amen	អាម៉ែន
amenable	អាម៉ែន
amend	កែប្រែ
amendment	វិសោធនកម្ម
amends	កែប្រែ
amenity	សំណាង
amethyst	amethyst
amiable	amiable
amicable	អារម្មណ៍
amid	ចំក
amidst	ចំក
amino	អាមីណូ
ammo	ammo
ammonia	អាម៉ូញាក់
ammonium	អាម៉ូញ៉ូម
ammunition	គ្រាប់រំសេវ
amnesia	សោកសៅ
amnesty	ការលើកលែងទោស
amorous	ស្រឡាញ់
amorphous	amorphous
amortization	រំលស់
amount	ចំនួន
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	amphitheater
ample	ច្រើន
amplification	amplification
amplify	ពង្រីក
amplitude	ទំហំ
amply	amply
amputate	កាត់អវយវៈ
amputation	កាត់
amuck	amuck
amulet	amulet
amuse	កំសត់
amused	រីករាយ
amusement	កម្សាន្ត
amusing	កំពុបញ្ឆោត
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	ថ្នាំស្ពឹក
anaesthetic	ចាក់ថ្នាំស្ពឹក
anagram	anagram
anal	រន្ធគូថ
analgesic	ថ្នាំបំបាត់ការឈឺចាប់
analogous	ស្រដៀងគ្នា
analogue	analogue
analogy	ភាពស្រដៀងគ្នា
analysis	ការវិភាគ
analyst	អ្នកវិភាគ
analytic	វិភាគ
analytical	វិភាគ
analyze	វិភាគ
analyzer	អ្នកវិភាគ
anaphylactic	anaphylactic
anarchism	អនាធិបតេយ្យ
anarchist	អនាធិបតេយ្យ
anarchy	អនាធិបតេយ្យ
anastomosis	anastomosis
anathema	anathema
anatomic	កាយវិភាគសាស្ត្រ
anatomy	កាយវិភាគសាស្ត្រ
ancestor	បុព្វបុរស
ancestral	ដូនតា
ancestry	ពូជពង្ស
anchor	យុថ្កា
anchorage	បោះយុថ្កា
ancient	បុរាណ
ancillary	ជំនួយ
androgen	androgen
android	ប្រព័ន្ធប្រតិបត្តិការ Android
anecdote	រឿងដំណាល
anemia	ភាពស្លកសាំង
anemic	ភាពស្លេកស្លាំង
anemone	anemone
anesthesia	ថ្នាំស្ពឹក
anesthesiologist	អនាម័យវិទូ
anesthetic	ចាក់ថ្នាំស្ពឹក
aneurysm	ជំងឺសរសៃឈាម
anew	ថ្មី
angel	ទេវតា
angelic	ទេវតា
anger	កំហឹង
angered	ខឹង
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	មុំ
angling	មិច
angora	angora
angriest	angriest
angry	ខឹង
angrytweet	NO TRANSLATION
angst	angst
anguish	ការឈឺចាប់
anguished	តានតឹង
angular	ជ្រុង
anhydrous	ធ្យូង
animal	សត្វ
animate	មានចលនា
animated	មានចលនា
animation	ចលនា
animosity	ស្អប់ខ្ពើម
animus	animus
ankle	កជើង
anklet	កន្ទុយ
annals	កំណត់ត្រាប្រវត្តិសាស្ត្រ
annex	ឧបសម្ព័ន្ធ
annexation	ឧបសម្ព័ន្ធ
annexe	NO TRANSLATION
annihilate	រំលាយ
annihilated	annihilated
annihilation	ការបំផ្លាញ
anniversary	ខួបកំណើត
annotate	ចំណារពន្យល់
annotation	ចំណារពន្យល់
announce	ប្រកាស
announcement	សេចក្តីប្រកាស
announcer	អ្នកប្រកាស
annoy	រំខាន
annoyance	ការរំខាន
annoyed	រំខាន
annoyin	NO TRANSLATION
annoying	រំខាន
annoys	ការរំខាន
annual	ប្រចាំឆ្នាំ
annuity	annuity
annul	annul
annular	annular
annulment	ការបដិសេធ
annulus	annulus
anointed	ចាក់ប្រេងតាំង
anointing	ការចាក់ប្រេងតាំង
anomalous	មិនធម្មតា
anomaly	អសមត្ថភាព
anon	anon
anonymity	អនាមិក
anonymous	អនាមិក
anorexic	ការញ័រ
answer	ចម្លើយ
answerable	អាចឆ្លើយតបបាន
answering	ឆ្លើយ
ant	ស្រមោច
antagonism	បដិបក្ខ
antagonist	antagonist
antagonistic	ប្រឆាំង
antagonize	antagonize
ante	NO TRANSLATION
antecedent	មុន
antelope	អង់ទីលីស
antenna	អង់តែន
anterior	មុន
anthem	ចំរៀង
anthill	anthill
anthology	anthology
anthrax	anthrax
anthropological	anthropological
anthropologist	នរវិទូ
anthropology	នរវិទ្យា
anti	ប្រឆាំង
antiaircraft	យន្តហោះប្រឆាំង
antibiotic	អង់ទីប៊ីយ៉ូទិក
antibiotics	អង់ទីប៊ីយ៉ូទិក
antichrist	មេប្រឆាំងព្រះគ្រិស្ដ
anticipate	រំពឹង
anticipation	ការរំពឹងទុក
anticipatory	ការប្រមើលមើល
antics	ល្បែង
antidote	ថ្នាំបំបាត់ការឈឺចាប់
antifungal	ថ្នាំផ្សិត
antigravity	antigravity
antimony	antimony
antipathy	អាក់អន់ចិត្ត
antiquarian	antiquarian
antiquated	បុរាណ
antique	ចាស់
antiques	វត្ថុបុរាណ
antiquity	បុរាណ
antiseptic	ថ្នាំប្រឆាំងនឹងមេរោគ
antisocial	ប្រឆាំងសង្គម
antithesis	antithesis
antithetical	antithetical
antiviral	ថ្នាំប្រឆាំងវីរុស
antler	antler
antsy	antsy
anus	រន្ធគូថ
anvil	anvil
anxiety	ការថប់បារម្ភ
anxietyattack	NO TRANSLATION
anxious	រំភើប
anxiousness	អន្ទះអន្ទែង
anytime	គ្រប់ពេល
aorta	aorta
aortic	aortic
apace	ឆាប់
apache	apache
apartment	ផ្ទះល្វែង
apartments	ផ្ទះល្វែង
apathetic	អន្ទះអន្ទែង
apathy	ស្មារតីស្ពឹកស្រពន់
ape	ape
aperture	ជំរៅ
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	មួយ
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	អភេទ
apologist	អ្នកសុំទោស
apologize	សូមទោស
apology	ការសុំទោស
apostasy	ការបោះបង់ចោលព្រះ
apostate	អ្នកក្បត់ជំនឿ
apostle	សាវក
apostolic	សាវក
apostrophe	apostrophe
apothecary	apothecary
appalled	appalled
appalling	គួរឱ្យរន្ធត់
apparatus	ឧបករណ៍
apparel	សំលៀកបំពាក់
apparent	ច្បាស់
apparently	ជាក់ស្តែង
apparition	លេចឡើង
appeal	បណ្តឹងតវ៉ា
appear	លេចឡើង
appearance	រូបរាង
appease	appease
appellant	អ្នកហៅទូរស័ព្ទ
append	បន្ថែម
appendage	បន្ថែម
appendectomy	ពោះវៀនធំ
appendicitis	ជំងឺរលាកខ្នែងពោះវៀន
appendix	ឧបសម្ពន្ធ
appetite	appetite
appetizer	appetizer
appetizing	appetizing
applaud	អបអរសាទរ
applause	ការទះដៃ
apple	ផ្លែប៉ោម
apple juice	ទឹក​ផ្លែ​ប៉ោម
applejack	applejack
applesauce	ផ្លែប៉ោម
appliance	ឧបករណ៍
appliances	គ្រឿងប្រដាប់ប្រដាប្រើប្រាស់
applicability	អាចប្រើប្រាស់បាន
applicable	អនុវត្ត
applicant	បេក្ខជន
application	កម្មវិធី
apply	អនុវត្ត
appoint	តែងតាំង
appointment	ការណាត់ជួប
appointments	ការណាត់ជួប
apportion	ចែកចាយ
apportionment	ការចែកចាយ
appraisal	ការវាយតម្លៃ
appraise	វាយតម្លៃ
appreciable	គួរឱ្យកត់សម្គាល់
appreciate	ពេញចិត្ត
appreciated	បានកោតសរសើរ
appreciates	កោតសរសើរ
appreciation	ការ​កោតសរសើរ
appreciative	កោតសរសើរ
apprehend	ចាប់ខ្លួន
apprehension	ការយល់ដឹង
apprehensive	ការភ័យខ្លាច
apprentice	សិស្ស
apprenticeship	apprenticeship
approach	វិធីសាស្រ្ត
approaching	កំពុងខិតជិត
approbate	NO TRANSLATION
approbation	ការអនុម័ត
appropriate	សមរម្យ
appropriation	សមស្រប
approval	ការអនុម័ត
approve	អនុម័ត
approved	បានអនុម័ត
approvement	អភិក្រម
approving	អនុម័ត
approximate	ប្រហាក់ប្រហែល
approximately	ប្រមាណ
approximating	ប្រមាណ
approximation	ការប៉ាន់ស្មាន
appurtenances	appurtenances
apricot	apricot
apron	apron
apt	apt
aptitude	សម្បទា
aqua	ទឹក
aquamarine	aquamarine
aquarium	អាងចិញ្ចឹមត្រី
aquatic	ទឹក
aqueduct	បំពង់បង្ហូរទឹក
aqueous	aqueous
arable	អាចបង្កបង្កើន
arbiter	arbiter
arbitrary	បំពាន
arbitrate	អាជ្ញាកណ្តាល
arbitration	អាជ្ញាកណ្តាល
arbitrator	អាជ្ញាកណ្តាល
arbor	ដើមឈើ
arc	ធ្នូ
arcade	អាគារ
arcane	arcane
arch	មូល
archaeological	បុរាណវិទ្យា
archaeologist	បុរាណវិទូ
archaeology	បុរាណវិទ្យា
archaic	បុរាណ
archangel	មហាទេវតា
archbishop	អាចារ្យ
archdiocese	archdiocese
archduke	archduke
arched	កោង
archer	ធ្នូ
archery	បាញ់ធ្នូ
archetype	archetype
archipelago	ប្រជុំកោះ
architect	ស្ថាបត្យករ
architectural	ស្ថាបត្យកម្ម
architecture	ស្ថាបត្យកម្ម
archive	ប័ណ្ណសារ
arctic	អ័រទិច
ardent	ក្រអឺតក្រទម
ardor	ឆន្ទៈ
arduous	ពិបាក
area	តំបន់
arena	ឆាក
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	ជជែកតវ៉ា
argument	អាគុយម៉ង់
argumentation	អាគុយម៉ង់
argumentative	អាគុយម៉ង់
arguments	អាគុយម៉ង់
arid	ស្ងួត
arise	ក្រោកឡើង
aristocracy	អភិជន
aristocrat	aristocrat
aristocratic	សង្ឃ
arithmetic	នព្វន្ធ
ark	ទូក
arm	ដៃ
armada	armada
armament	អាវុធ
armaments	អាវុធ
armature	armature
armchair	កោអី
armed	ប្រដាប់អាវុធ
armor	ពាសដែក
armored	ពាសដែក
armory	គ្រឿងអលង្ការ
armpit	ក្លៀក
arms	អាវុធ
army	កងទ័ព
aroma	aroma
aromatherapy	ឱសថក្រអូមមាត់
arousal	ភ្ញាក់ផ្អើល
arouse	arouse
aroused	ភ្ញាក់ផ្អើល
arraignment	arraignment
arrange	រៀបចំ
arranged	រៀបចំ
arrangement	ការរៀបចំ
array	អារេ
arrears	បំណុល
arrest	ការចាប់ខ្លួន
arrhythmia	ខួរក្បាល
arrival	មកដល់
arrive	មកដល់
arrogance	ក្រអឺតក្រទម
arrogant	អំនួត
arrow	សញ្ញាព្រួញ
arsehole	arsehole
arseholes	arseholes
arsenal	ឃ្លាំងស្តុក
arsenic	អាសនិក
arson	ការឆេះ
arsonist	អ្នកដុតភ្លើង
art	សិល្បៈ
arterial	សរសៃឈាម
artery	សរសៃឈាម
artful	វិចិត្រ
arthritis	ជំងឺរលាកសន្លាក់
arthropod	arthropod
artichoke	artichoke
article	អត្ថបទ
articles	អត្ថបទ
articulate	បង្ហាញច្បាស់
articulation	ការបញ្ចូលគ្នា
artifact	វត្ថុបុរាណ
artifice	artifice
artificial	សិប្បនិម្មិត
artillery	កាំភ្លើងធំ
artisan	សិប្បករ
artist	សិល្បករ
artiste	NO TRANSLATION
artistic	សិល្បៈ
artistry	សិល្បៈ
artists	សិល្បករ
artwork	សិល្បៈ
arty	arty
asap	ជា​ស្រេច
asbestos	អាបបេស
ascend	ឡើងលើ
ascendancy	ធំ
ascendant	ឡើង
