Word	bg
adulterated	фалшифициран
adulterer	прелюбодеец
adultery	изневяра
adulthood	старост
advance	напредък
advanced	напреднал
advancement	напредък
advancing	напредва
advantage	предимство
advantageous	благоприятен
advent	идване
adventure	приключение
adventurer	авантюрист
adventures	приключения
adventurous	авантюристичен
adversary	противник
adverse	вреден
adversity	бедствие
advertise	рекламирам
advertisement	реклама
advertising	реклама
adverts	обяви
advice	съвет
advisable	препоръчителен
advise	съветвам
advised	които не се препоръчват
advisement	посъветваха
adviser	съветник
advisor	съветник
advisory	консултативен
advocacy	застъпничество
advocate	застъпник
aegis	егида
aeration	проветряване
aerial	въздушен
aerobics	аеробика
aerodrome	летище
aerodynamic	аеродинамичен
aerodynamics	аеродинамика
aeronautics	аеронавтика
aeroplane	самолет
aerospace	космически
aesthetic	естетичен
aesthetics	естетика
aetiology	етиология
afar	надалеч
affable	вежлив
affair	афера
affect	засегне
affecting	засягащи
affection	привързаност
affectionate	привързан
affections	привързаността
affiche	NO TRANSLATION
affidavit	писмена клетвена декларация
affiliated	принадлежащ
affiliation	присъединяване
affinity	афинитет
affirm	потвърждавам
affirmation	утвърждаване
affirmative	утвърдителен
affirmatively	утвърдително
affix	поставя
afflict	измъчвам
afflicted	огорчен
affliction	скръб
affluence	охолство
affluent	приток
afford	позволим
affordable	на достъпни цени
affront	оскърбление
affronted	оскърбено
afield	далеч
afire	пожар
afloat	плаващ
afore	преди
aforementioned	гореспоменатия
aforesaid	гореспоменатия
afraid	уплашен
afresh	наново
african	африкански
aft	назад
afterlife	задгробен живот
aftermath	отава
afternoon	следобед
aftershave	афтършейв
aftertaste	привкус
afterthought	мисъл
aga	NO TRANSLATION
agape	захласнато
agate	ахат
age	възраст
aged	на възраст
agency	агенция
agenda	дневен ред
agent	агент
agglomeration	агломерация
aggravate	влошавам
aggravated	утежнени
aggravates	утежнява
aggravating	отежняващ
aggravation	влошаване
aggregate	агрегат
aggregation	съвкупност
aggresive	NO TRANSLATION
aggression	агресия
aggressive	агресивен
aggressively	агресивно
aggressiveness	агресивност
aggressor	агресор
agh	AGH
aghast	втрещен
aghhh	NO TRANSLATION
agile	пъргав
agility	ловкост
aging	остаряване
agitate	агитирам
agitated	развълнуван
agitation	възбуда
aglow	пламнал
agnostic	агностик
ago	преди
agonizing	мъчителен
agony	агония
agoraphobia	агорафобия
agree	Съгласен
agreeable	приятен
agreed	съгласуван
agreeing	договарянето
agreement	съгласие
agressive	NO TRANSLATION
agricultural	земеделски
agriculture	селско стопанство
aground	заседнал
agua	NO TRANSLATION
ahead	напред
ahhh	Аааа
ahhhhhhhh	NO TRANSLATION
ahoy	ало
aid	помощ
aide	помощник
aiding	помагане
aids	помагала
ail	измъчвам
ailing	боледуващ
ailment	неразположение
aim	цел
aimless	безсмислен
air	въздух
airbag	въздушна възглавница
airborne	пренасян по въздуха
aircraft	самолет
aircraft carrier	самолетоносач
airfield	летище
airhead	airhead
airlift	авиотранспорт
airline	авиолиния
airliner	пътнически самолет
airlock	въздушна пробка
airman	летец
airplane	самолет
airport	летище
airs	превземки
airship	дирижабъл
airspace	въздушното пространство
airspeed	въздушната скорост
airstrip	бетонна писта
airtight	херметичен
airway	дихателните пътища
aisle	пътека
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	известен още като
akin	близък
alabaster	алабастър
alarm	аларма
alarm clock	будилник
alarmed	разтревожен
alarming	тревожен
alas	уви
alb	NO TRANSLATION
albatross	албатрос
albino	албинос
album	албум
alchemy	алхимия
alcohol	алкохол
alcoholic	алкохолик
alcoholism	алкохолизъм
alcove	беседка
alderman	член на градския съвет
ale	NO TRANSLATION
alert	тревога
alertness	бдителност
alerts	Известия
alfalfa	люцерна
algebra	алгебра
algebraic	алгебричен
algorithm	алгоритъм
alias	псевдоним
alibi	алиби
alien	извънземно
alienate	отчужди
alienated	отчужден
alienation	отчуждение
alight	запален
align	подравняване
aligned	подравнен
alignment	подравняване
alike	еднакъв
alimentation	NO TRANSLATION
alimony	издръжка
aliquot	кратен
alive	жив
alkali	основа
alkaloids	алкалоиди
allay	успокоявам
allegation	твърдение
allege	твърдя
alleged	предполагаем
allegiance	вярност
allegorical	алегоричен
allegory	алегория
allegro	алегро
allergic	алергичен
allergy	алергия
alleviate	облекчаване
alleviation	облекчение
alley	алея
alleyway	тясна уличка
alliance	съюз
allied	съюзнически
alligator	алигатор
allocate	разпредели
allocation	разпределяне
allot	възлагам
allotment	разпределяне
allow	позволява
allowable	допустим
allowance	отстъпка
allowed	позволен
alloy	сплав
allsmiles	NO TRANSLATION
allure	чар
alluring	съблазнителен
allusion	алюзия
alluvial	наносен
ally	съюзник
almanac	алманах
almighty	всемогъщ
almond	бадем
aloft	по време на полета
aloha	алоха
alone	сам
alongside	успоредно
aloof	сдържан
aloud	на глас
alpha	алфа
alphabet	азбука
alphabetical	азбучен
alpine	алпийски
alreadyyyyy	NO TRANSLATION
altar	олтар
altar boy	олтар момче
alter	промени
alteration	промяна
altercation	кавга
altered	променен
alternate	заместник
alternating	редуващ се
alternative	алтернатива
altimeter	алтиметър
altitude	надморска височина
alto	алт
altogether	напълно
aluminum	алуминий
alumnus	възпитаник на даден университет
alveolar	алвеоларен
alzheimers	NO TRANSLATION
amalgam	амалгама
amalgamation	сливане
amaretto	амарето
amass	събирам
amateur	любител
amaze	удиви
amazed	изумени
amazedness	amazedness
amazement	изумление
amazing	удивителен
amazingly	изумително
ambassador	посланик
amber	кехлибар
ambience	атмосфера
ambient	околен
ambiguity	неяснота
ambiguous	двусмислен
ambit	обсег
ambition	амбиция
ambitious	амбициозен
ambivalent	противоречив
ambrosia	амброзия
ambulance	линейка
ambush	засада
ameliorate	подобрявам
amen	амин
amenable	податлив
amend	изменят
amendment	изменение
amends	обезщетение
amenity	вежливост
amethyst	аметист
amiable	симпатичен
amicable	приятелски
amid	сред
amidst	сред
amino	амино
ammo	боеприпаси
ammonia	амоняк
ammonium	амоний
ammunition	боеприпаси
amnesia	амнезия
amnesty	амнистия
amorous	влюбчив
amorphous	аморфен
amortization	амортизация
amount	количество
amour	NO TRANSLATION
amp	усилвател
ampersand	знакът '&'
amphetamines	амфетамини
amphibian	хидроплан
amphibious	двойствен
amphitheater	амфитеатър
ample	предостатъчен
amplification	усилване
amplify	усилване
amplitude	амплитуда
amply	щедро
amputate	отрязвам
amputation	ампутиране
amuck	в гнева си
amulet	амулет
amuse	разсмивам
amused	развеселен
amusement	забавление
amusing	забавен
ana	NO TRANSLATION
anaconda	анаконда
anaesthesia	анестезия
anaesthetic	упойка
anagram	анаграма
anal	анален
analgesic	аналгетик
analogous	аналогичен
analogue	аналог
analogy	аналогия
analysis	анализ
analyst	аналитик
analytic	аналитичен
analytical	аналитичен
analyze	анализирам
analyzer	анализатор
anaphylactic	анафилактичен
anarchism	анархизъм
anarchist	анархист
anarchy	анархия
anastomosis	група вени
anathema	анатема
anatomic	анатомически
anatomy	анатомия
ancestor	прародител
ancestral	потомствен
ancestry	потекло
anchor	котва
anchorage	закотвяне
ancient	древен
ancillary	помощен
androgen	андроген
android	андроид
anecdote	анекдот
anemia	анемия
anemic	анемичен
anemone	съсънка
anesthesia	анестезия
anesthesiologist	анестезиолог
anesthetic	упойка
aneurysm	аневризма
anew	отново
angel	ангел
angelic	ангелски
anger	гняв
angered	разгневи
angermanagement	NO TRANSLATION
angina	ангина
angiogram	ангиограма
angiography	ангиография
angle	ъгъл
angling	риболов
angora	ангорска вълна
angriest	angriest
angry	ядосан
angrytweet	NO TRANSLATION
angst	тревога
anguish	мъчение
anguished	измъчено
angular	ъглов
anhydrous	безводен
animal	животно
animate	вдъхновявам
animated	анимационен
animation	анимация
animosity	враждебност
animus	предубеждение
ankle	глезен
anklet	гривна за глезен
annals	летописи
annex	приложение
annexation	анексия
annexe	NO TRANSLATION
annihilate	унищожи
annihilated	унищожена
annihilation	унищожаване
anniversary	юбилей
annotate	анотирам
annotation	анотация
announce	обявим
announcement	обявление
announcer	говорител
annoy	дразня
annoyance	раздразнение
annoyed	раздразнен
annoyin	NO TRANSLATION
annoying	досаден
annoys	като безпокои
annual	годишен
annuity	годишна рента
annul	отмени
annular	пръстеновиден
annulment	анулиране
annulus	зъбното
anointed	помазаник
anointing	помазанието
anomalous	аномален
anomaly	аномалия
anon	веднага
anonymity	анонимност
anonymous	анонимен
anorexic	анорексичен
answer	отговор
answerable	отговорен
answering	телефонен
ant	мравка
antagonism	антагонизъм
antagonist	антагонист
antagonistic	антагонистичен
antagonize	антагонизира
ante	NO TRANSLATION
antecedent	антедецент
antelope	антилопа
antenna	антена
anterior	преден
anthem	химн
anthill	мравуняк
anthology	антология
anthrax	антракс
anthropological	антропологически
anthropologist	антрополог
anthropology	антропология
anti	анти
antiaircraft	противовъздушна
antibiotic	антибиотик
antibiotics	антибиотици
antichrist	антихрист
anticipate	очаквам
anticipation	очакване
anticipatory	предчувстващ
antics	лудории
antidote	противоотрова
antifungal	противогъбично
antigravity	анти-гравитация
antimony	антимон
antipathy	антипатия
antiquarian	антиквар
antiquated	остарял
antique	античен
antiques	антики
antiquity	античност
antiseptic	антисептичен
antisocial	антисоциален
antithesis	антитеза
antithetical	противоположен
antiviral	антивирусен
antler	еленов рог
antsy	antsy
anus	анус
anvil	наковалня
anxiety	безпокойство
anxietyattack	NO TRANSLATION
anxious	разтревожен, неспокоен
anxiousness	тревожност
anytime	по всяко време
aorta	аорта
aortic	аортен
apace	бързо
apache	Apache
apartment	апартамент
apartments	апартаменти
apathetic	апатичен
apathy	апатия
ape	маймуна
aperture	апертура
apex	връх
aphid	листна въшка
aphrodisiac	афродизиак
apiece	парче
aplomb	апломб
apocalypse	апокалипсис
apocalyptic	апокалиптичен
apologetic	извинителен
apologist	аполог
apologize	извинявам се
apology	извинение
apostasy	вероотстъпничество
apostate	отстъпник
apostle	апостол
apostolic	апостолски
apostrophe	апостроф
apothecary	аптекар
appalled	ужасена
appalling	ужасен
apparatus	апарат
apparel	облекло
apparent	очевиден
apparently	очевидно
apparition	появяване
appeal	обжалване
appear	се появи
appearance	външен вид
appease	успокои
appellant	апелационен
append	прибавям
appendage	придатък
appendectomy	апендектомия
appendicitis	апендицит
appendix	апендикс
appetite	апетит
appetizer	предястие
appetizing	апетитен
applaud	аплодирам
applause	аплодисменти
apple	ябълка
apple juice	ябълков сок
applejack	ябълкова ракия
applesauce	ябълково пюре
appliance	устройство
appliances	уреди
applicability	приложимост
applicable	приложим
applicant	кандидат
application	приложение
apply	Приложи
appoint	назначат
appointment	уговорена среща
appointments	назначения
apportion	разпределям
apportionment	разпределение
appraisal	оценка
appraise	преценява
appreciable	оценим
appreciate	ценя
appreciated	оценявам
appreciates	оценява
appreciation	признателност
appreciative	одобрителен
apprehend	схващам
apprehension	опасение
apprehensive	чувствителен
apprentice	чирак
apprenticeship	чиракуване
approach	подход
approaching	приближава
approbate	NO TRANSLATION
approbation	одобрение
appropriate	подходящ
appropriation	присвояване
approval	одобрение
approve	одобрявам
approved	одобрен
approvement	утвърждаване
approving	одобряване
approximate	приблизителен
approximately	приблизително
approximating	притискащото
approximation	приближение
appurtenances	принадлежности
apricot	кайсия
apron	престилка
apt	подходящ
aptitude	пригодност
aqua	аква
aquamarine	аквамарин
aquarium	аквариум
aquatic	водната
aqueduct	акведукт
aqueous	воден
arable	обработваема
arbiter	арбитър
arbitrary	своеволен
arbitrate	предавам на арбитраж
arbitration	арбитраж
arbitrator	арбитър
arbor	вал
arc	дъга
arcade	аркада
arcane	мистериозен
arch	арка
archaeological	археологически
archaeologist	археолог
archaeology	археология
archaic	архаичен
archangel	архангел
archbishop	архиепископ
archdiocese	епархия на архиепископ
archduke	ерцхерцог
arched	извит
archer	стрелец с лък
archery	стрелба с лък
archetype	прототип
archipelago	архипелаг
architect	архитект
architectural	архитектурен
architecture	архитектура
archive	архив
arctic	арктичен
ardent	пламенен
ardor	плам
arduous	труден
area	■ площ
arena	арена
areola	ареолата
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	Ех
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	споря
argument	аргумент
argumentation	аргументация
argumentative	заядлив
arguments	аргументи
arid	безплоден
arise	възникне
aristocracy	аристокрация
aristocrat	аристократ
aristocratic	аристократичен
arithmetic	аритметика
ark	ковчег
arm	ръка
armada	армада
armament	въоръжаване
armaments	въоръжение
armature	арматура
armchair	фотьойл
armed	въоръжен
armor	броня
armored	брониран
armory	арсенал
armpit	подмишница
arms	обятия
army	армия
aroma	аромат
aromatherapy	ароматерапия
arousal	пробуждане
arouse	събуждам
aroused	възбуден
arraignment	обвинение
arrange	организираме
arranged	аранжиран
arrangement	уговорка
array	масив
arrears	просрочията
arrest	арестувам
arrhythmia	аритмия
arrival	пристигане
arrive	пристигам
arrogance	арогантност
arrogant	арогантен
arrow	стрелка
arsehole	задника
arseholes	гъзари
arsenal	арсенал
arsenic	арсен
arson	палеж
arsonist	подпалвач
art	изкуство
arterial	артериален
artery	артерия
artful	хитър
arthritis	артрит
arthropod	членестоноги
artichoke	артишок
article	статия
articles	статии
articulate	ясен
articulation	произнасяне
artifact	артифакт
artifice	хитрост
artificial	изкуствен
artillery	артилерия
artisan	занаятчия
artist	художник
artiste	NO TRANSLATION
artistic	артистичен
artistry	майсторство
artists	художници
artwork	произведения на изкуството
arty	артистичен
asap	възможно най-бързо
asbestos	азбест
ascend	изкачвам се
ascendancy	надмощие
ascendant	асцедент
ascending	възходящ
ascension	възнесение
ascent	изкачване
ascertain	установят
ascertained	констатирано
ascetic	аскетичен
ash	пепел
ashamed	засрамен
ashes	пепел
ashtray	пепелник
asinine	упорит
ask	питам
asleeep	NO TRANSLATION
asleep	заспал
asp	трепетлика
asparagus	аспержи
aspartame	аспартам
aspect	аспект
aspects	аспекти
aspen	трепетлика
asphalt	асфалт
asphyxia	задушаване
asphyxiation	задушаване
aspiration	аспирация
aspire	аспирирам
aspirin	аспирин
aspiring	амбициозен
ass	задник
assail	обсипвам
assailant	нападател
assassin	наемен убиец
assassinate	убивам
assassination	убийство
assault	нападение
assay	анализ
assemblage	сбирка
assemble	сглобяване
assembled	сглобени
assembly	монтаж
assemblyman	assemblyman
assent	съгласие
assert	твърдя
asserting	отстояването
assertion	твърдение
assertive	отстояващ
assess	оцени
assessment	Оценяване
assessor	оценител
asset	актив
assets	актив
asshole	задник
assign	възлага
assignee	правоприемник
assignment	назначение
assimilate	асимилирам
assimilation	асимилация
assist	подпомага
assistance	помощ
assistant	асистент
associate	сътрудник
association	сдружаване
assorted	разнороден
assortment	асортимент
assuage	успокоявам
assume	предполагам
assumed	предполага
assuming	предположи
assumption	предположение
assurance	осигуряване
assure	уверявам
assured	осигурен
assuredly	положително
asterisk	звездичка
asteroid	астероид
asteroids	астероиди
asthma	астма
asthmatic	астматичен
astigmatism	астимагтизъм
astonish	учудвам
astonished	учуди
astonishing	удивителен
astonishingly	NO TRANSLATION
astonishment	учудване
astound	учудвам
astral	астрален
astray	заблуден
astringent	строг
astrologer	астролог
astrology	астрология
astronaut	астронавт
astronomer	астроном
astronomical	астрономичен
astronomy	астрономия
astute	проницателен
asunder	на парчета
asylum	убежище
asymmetric	несиметричен
asymmetry	асиметрия
asymptotic	асимтотична
atelier	ателие
atheism	атеизъм
atheist	атеист
atheistic	атеистичен
atherosclerosis	атеросклероза
athlete	спортист
athletic	атлетичен
athleticism	атлетизъм
athletics	Атлетика
atlas	атлас
atmosphere	атмосфера
atmospheric	атмосферен
atoll	атол
atom	атом
atomic	атомен
atone	компенсирам
atonement	изкупление
atpeace	в мир
atrium	атриум
atrocious	брутален
atrocity	зверство
atrophy	атрофия
attach	прикрепете
attached	прикрепен
attachment	прикачен файл
attack	атака
attacker	хакер
attacking	атакуващ
attain	постигане
attainable	постижим
attainment	достигане
attempt	опит
attempted	опит
attend	присъстват
attendance	посещаемост
attendant	участник
attention	внимание
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	внимателен
attenuate	разреждам
attenuated	отслабени
attenuation	смекчаване
attest	удостоверявам
attestation	удостоверяване
attic	таван
attire	облекло
attitude	поведение
attorney	адвокат
attract	привлекат
attraction	атракция
attractive	атрактивен
attractiveness	привлекателност
attributable	дължат
attribute	атрибут
attribution	приписване
attrition	изхабяване
auburn	кестеняв
auction	търг
auctioneer	аукционер
audacious	дързък
audacity	дързост
audible	звукова
audience	публика
audio	звуков
audit	проверка
audition	прослушване
auditions	прослушвания
auditor	одитор
auditorium	аудитория
auditory	слухов
aught	нещо
augment	аугмент
augmentation	уголемяване
august	Август
aunt	леля
auntie	лелка
aura	аура
aurora	полярно сияние
auspices	покровителство
auspicious	щастлив
austere	неприветлив
austerity	аскетичност
authentic	автентичен
authenticate	удостоверяване
authentication	заверка
authenticity	автентичност
author	автор
authoritative	авторитетен
authority	власт
authorization	упълномощаване
authorize	разреши
authorized	упълномощен
authorship	авторство
autism	аутизъм
autistic	аутистичен
auto	Автоматичен
autobiographical	автобиографичен
autobiography	автобиография
autocorrect	автоматични поправки
autocratic	самодържавен
autograph	автограф
autographed	автограф
automated	автоматизирано
automatic	автоматичен
automobile	автомобил
automotive	автомобилен
autonomy	автономия
autopilot	автопилот
autopsy	аутопсия
autumn	есен
auxiliary	спомагателен
avail	полза
availability	наличност
available	на разположение
avalanche	лавина
avarice	алчност
avatar	въплъщение
avenge	отмъщавам
avenger	отмъстител
avenging	отмъщението
avenue	път
aver	NO TRANSLATION
average	средно аритметично
aversation	aversation
averse	неохотен
averseness	averseness
aversion	антипатия
avert	парира
aviary	птичарник
aviation	авиация
aviator	авиатор
avid	алчен
avocado	авокадо
avoid	да се избегне
avoidance	избягване
avoiding	избягване
await	очаквам
awake	буден
awaken	събуждам
awakening	пробуждане
award	награда
awards	награди
aware	осведомен
awareness	осъзнаване
awe	NO TRANSLATION
awed	благоговение
awesome	страхотен
awesomeness	якия
awestruck	изпълнена с възхищение
awful	ужасен
awkward	непохватен
awkwardness	неловкост
awning	тента
awry	криво
axe	брадва
axial	аксиален
axiom	аксиома
axiomatic	който не се нуждае от доказване
axis	ос
axle	ос
ay	Ай
aye	тъй вярно
azimuth	азимут
azure	лазурен
babble	брътвеж
babbling	бърборене
babe	маце
baboon	павиан
baby	бебе
babysit	детегледачки
babysitter	детегледачка
baccalaureate	диплома за средно образование
baccarat	бакара
bachelor	бакалавър
bachelorette	моминско
back	обратно
backboard	таблото
backbone	гръбнак
backdoor	задна врата
backdrop	фона
backer	поддръжник
backfire	аванс
backgammon	табла
background	заден план
backhand	бекхенд
backhoe	багер
backoff	отстъпи
backpack	раница
backpacker	турист
backroom	задкулисни
backseat	задна седалка
backside	задник
backtrack	отстъпвам
backup	резервно копие
backward	назад
backwardness	назадничавост
backwards	наопаки
backwater	блато
backwoods	горски пущинаци
backyard	заден двор
bacon	бекон
bacteria	бактерии
bacterial	бактериална
bacterium	бактерия
bad	лошо
badass	гадняр
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	значка
badger	тормозя
badhabit	NO TRANSLATION
badly	зле
badness	лошотия
baffle	преграда
baffled	объркан
bag	чанта
bagel	кравайче
baggage	багаж
baggie	пликче
baggy	провиснал
bagman	пласьор
bagpipes	гайди
bail	гаранция
bailiff	съдия-изпълнител
bait	стръв
bake	пека
bakery	фурна
baking	печене
bal	NO TRANSLATION
balance	баланс
balanced	уравновесен
balcony	балкон
bald	плешив
balding	оплешивяване
baldy	Baldy
bale	бала
balk	сепвам
ball	топка
ballad	балада
ballast	баласт
ballerina	балерина
ballet	балет
ballgame	игра с топка
ballistic	балистичен
ballistics	балистика
balloon	балон
ballot	гласуване
ballpark	стадион
ballplayer	ballplayer
ballpoint	химикалка
ballroom	танцувална зала
ballsy	ballsy
balm	балсам
balmy	глупавичък
balsam	балсам
balsamic	балсамов
bam	бам
bamboo	бамбук
ban	NO TRANSLATION
banana	банан
band	банда
bandage	превръзка
bandanna	NO TRANSLATION
bandit	бандит
bandstand	естрада
bandwagon	банда
bandwidth	честотна лента
bane	отрова
bang	трясък
banger	пушка
banish	пропъждам
banished	заточен
banishment	изгнание
banister	стълбче
banjo	банджо
bank	банка
banker	банкер
banking	банково дело
bankroll	субсидирам
bankrupt	фалирал
bankruptcy	банкрут
banner	знаме
banquet	банкет
banshee	банши
banter	закачки
banzai	NO TRANSLATION
baptism	кръщение
baptismal	кръщелен
baptize	кръщавам
bar	бар
barb	шип
barbarian	варварин
barbaric	варварски
barbarism	варварство
barbecue	барбекю
barbed	бодлив
barber	бръснар
barbershop	бръснарница
barbie doll	кукла Барби
bard	бард
bare	гол
bareback	без седло
barefoot	бос
barely	едва
barf	Barf
bargain	сделка
bargaining	договаряне
barge	баржа
baritone	баритон
barium	барий
bark	кора
barkeep	бармана
barks	лай
barley	ечемик
barmaid	барманка
barman	барман
barn	обор
barnacle	лепка
barney	Барни
barnyard	селския двор
barometer	барометър
baron	барон
baroness	баронеса
baroque	барок
barrack	казарма
barracuda	Barracuda
barrage	бараж
barred	давност
barrel	барел
barren	безплодна
barricade	барикада
barrier	бариера
barring	с изключение на
barrister	адвокат който пледира
barroom	кръчмарски
barrow	тарга
bartender	барман
barter	размяна
base	база
baseball	бейзбол
baseball bat	бейзболна бухалка
baseboard	перваз
baseless	необоснован
baseline	изходното ниво
baseman	бейзмен
basement	мазе
bases	бази
bash	удрям
bashful	срамежлив
basic	основен
basics	Основи
basil	босилек
basilica	базилика
basin	басейн
basis	основа
bask	топля се
basket	кошница
basketball	баскетбол
bass	бас
bass guitar	бас китара
basso	NO TRANSLATION
bassoon	фагот
bastard	копеле
bastarding	bastarding
bastards	копелета
bastion	бастион
bat	бухалка
batch	партида
batching	дозиране
bate	NO TRANSLATION
bath	баня
bathe	къпя
bathhouse	банята
bathing	къпане
bathrobe	халат за баня
bathroom	баня
bathtub	вана
bathymetry	батиметрията
baton	полицейска палка
battalion	батальон
batter	тесто за палачинки
battered	очукан
battering	стенобойна
battery	батерия
battle	битка
battled	пребори
battlefield	бойно поле
battleground	полесражение
battlements	бойниците
battleship	боен кораб
batty	побъркан
bauble	дрънкулка
bawdy	мръсен
bawl	рев
bay	залив
bayonet	щик
bayou	Bayou
bazaar	базар
bazooka	базука
bday	Bday
be	бъда
beach	плаж
beaches	плажове
beacon	фар
bead	мънисто
beading	във форма на пръчки
beads	мъниста
beady	мънистен
beagle	гонче
beak	клюн
beaker	стъкленица
beam	лъч
beaming	лъчезарна
bean	боб
beanbag	барбарон
beanie	бобен
bear	мечка
bearable	поносим
beard	брада
bearded	брадат
bearer	носител
bearing	лагер
bearings	лагери
bearish	мечешки
bearskin	меча кожа
beast	звяр
beastly	зверски
