Word	co
adornment	adornamentu
adrenalin	adrenalin
adrenaline	adrenaline
adrift	di vapeur
adult	adultu
adulterated	adulterati
adulterer	adulterer
adultery	adulteri
adulthood	n'adultu
advance	avanzata
advanced	avanzatu
advancement	avanzamentu
advancing	avanti
advantage	benefiziu
advantageous	vantaghje
advent	avventu
adventure	avventura
adventurer	adventureru
adventures	avventu
adventurous	avventurosa
adversary	adversariu
adverse	avversu
adversity	a cuntrarietà
advertise	publicità
advertisement	publicità
advertising	publicità
adverts	pubblichi
advice	cunsigliu
advisable	advisable
advise	avè cunsigliatu
advised	cunsigliatu
advisement	cunsigliu
adviser	cunsiggheri
advisor	cunsigliu
advisory	cunsigliu
advocacy	advocacy
advocate	avvucatu
aegis	aegis
aeration	aeration
aerial	aereo
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	aerodinamica
aerodynamics	aerodinamiche
aeronautics	aeronautichi
aeroplane	avianu
aerospace	aeroespagne
aesthetic	estetiche
aesthetics	estetichi
aetiology	etichetta
afar	afar
affable	affable
affair	affare
affect	affettu
affecting	avè puliticu
affection	affettu
affectionate	affettuosu
affections	affetti
affiche	NO TRANSLATION
affidavit	affidàvit
affiliated	affilatu
affiliation	affilata
affinity	affinità
affirm	affirmate
affirmation	affirmazioni
affirmative	affirmativu
affirmatively	affirmativamenti
affix	affix
afflict	afflict
afflicted	afflittu
affliction	affliction
affluence	affluenza
affluent	riccu
afford	aduprà
affordable	bi prezzu
affront	affruntu
affronted	affronted
afield	afar
afire	incantu
afloat	a galla
afore	annunziu
aforementioned	annunziata
aforesaid	cited above
afraid	teme
afresh	novu
african	african
aft	aft
afterlife	l 'oltritomba
aftermath	dopu
afternoon	dopu meziornu
aftershave	aftershave
aftertaste	aftertaste
afterthought	pensamentu
aga	NO TRANSLATION
agape	agape
agate	agate
age	età
aged	vechju
agency	agenzia
agenda	agenda
agent	agenti
agglomeration	agglomerazioni
aggravate	aggravate
aggravated	aggravatu
aggravates	aggrava
aggravating	aggravava
aggravation	aggravation
aggregate	agraria
aggregation	aghjurnamentu
aggresive	NO TRANSLATION
aggression	agressione
aggressive	aggressivu
aggressively	aggressivu
aggressiveness	aggressivu
aggressor	aggressore
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	agile
agility	agility
aging	anzianu
agitate	agitate
agitated	agitava
agitation	agitazioni
aglow	aglow
agnostic	agnosticu
ago	fà
agonizing	agonizing
agony	agunia
agoraphobia	agorafobia
agree	accunsentiscenu
agreeable	piacevule
agreed	accunsentì
agreeing	accurdà
agreement	accordu
agressive	NO TRANSLATION
agricultural	agricultura
agriculture	agricultura
aground	aground
agua	NO TRANSLATION
ahead	avanti
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	aiutu
aide	aide
aiding	aiutà
aids	aiuti
ail	ail
ailing	malati
ailment	maladizione
aim	scopu
aimless	aimless
air	aria
airbag	airbag
airborne	arboriciu
aircraft	n'avutru
aircraft carrier	traspurtadore
airfield	campu aviazione
airhead	airhead
airlift	airlift
airline	aerolinea
airliner	avviò
airlock	airlock
airman	aviatore
airplane	avianu
airport	'aviazione
airs	aria
airship	airship
airspace	arspace
airspeed	midianti
airstrip	aria
airtight	stanca
airway	viulenza
aisle	aisle
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	akin
alabaster	alabastru
alarm	alarme
alarm clock	siggillu
alarmed	alarmed
alarming	alarmanti
alas	alas
alb	NO TRANSLATION
albatross	albatros
albino	albinu
album	album
alchemy	alchimia
alcohol	alcohol
alcoholic	alcoòlica
alcoholism	alcoholismu
alcove	alcova
alderman	cunziggheri
ale	NO TRANSLATION
alert	alerta
alertness	viulenza
alerts	alerta
alfalfa	alfalfa
algebra	algebra
algebraic	algebraica
algorithm	algoritmo
alias	alias
alibi	alibi
alien	stranieri
alienate	alluntanatu
alienated	alienate
alienation	alienazione
alight	incantu
align	alineate
aligned	alliniati
alignment	allinjamentu
alike	in ligna
alimentation	NO TRANSLATION
alimony	alimenti
aliquot	aliquot
alive	viva
alkali	alkali
alkaloids	alcaloci
allay	allave
allegation	accusa
allege	allege
alleged	allegru
allegiance	fidiltà
allegorical	alegoriu
allegory	allegra
allegro	allegro
allergic	allergii
allergy	allergie
alleviate	allughjà
alleviation	allughjassi
alley	alley
alleyway	alleyway
alliance	alliance
allied	alliatu
alligator	alligator
allocate	attribuisce
allocation	assignazione
allot	mette
allotment	'accordu
allow	permettenu
allowable	permissibule
allowance	allowance
allowed	permessa
alloy	liga
allsmiles	NO TRANSLATION
allure	allure
alluring	alluring
allusion	allusion
alluvial	alluvial
ally	alliatu
almanac	almanac
almighty	omnipotente
almond	amandula
aloft	allu
aloha	aloha
alone	solu
alongside	accumpagna
aloof	aspra
aloud	in alta
alpha	alfa
alphabet	alfabbetu
alphabetical	alfabeticu
alpine	alpina
alreadyyyyy	NO TRANSLATION
altar	altare
altar boy	altare picciottu
alter	alter
alteration	alterazione
altercation	altercazione
altered	cambiatu
alternate	altirnati
alternating	alterna
alternative	alternativa
altimeter	altimètre
altitude	altitudina
alto	alto
altogether	altru
aluminum	aluminiu
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgama
amalgamation	amalgamazione
amaretto	amaretto
amass	amass
amateur	dilettante
amaze	maravigliate
amazed	amazed
amazedness	in l 'amazedness
amazement	amazement
amazing	stupiti
amazingly	maravigliosu
ambassador	imbasciadore
amber	ambrata
ambience	ambianza
ambient	ambient
ambiguity	ambiguità
ambiguous	ambiguu
ambit	ambitu
ambition	ambizioni
ambitious	ambiziosu
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulanza
ambush	ambush
ameliorate	ameliorate
amen	amma
amenable	amenable
amend	cambià
amendment	rimbursà
amends	amends
amenity	cummunità
amethyst	amatista
amiable	amabiliatibbili
amicable	amicable
amid	in mezzu
amidst	mezu à u centru
amino	amminu
ammo	municu
ammonia	ammonia
ammonium	ammonium
ammunition	munizioni
amnesia	amnesia
amnesty	amnistia
amorous	amoru
amorphous	amorfu
amortization	amortizzazione
amount	quantità
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	anfetammi
amphibian	anfibianu
amphibious	anfibiosu
amphitheater	amphitheatre
ample	ample
amplification	amplification
amplify	amplify
amplitude	amplitude
amply	amply
amputate	amputate
amputation	amputation
amuck	amuck
amulet	amuleto
amuse	amuse
amused	amused
amusement	divertimentu
amusing	amusing
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	anesteticu
anagram	anagram
anal	anale
analgesic	analgésicu
analogous	analogous
analogue	analogica
analogy	analogia
analysis	analisi
analyst	analista
analytic	analiticu
analytical	analitiche
analyze	analizà
analyzer	analitze
anaphylactic	anaphylactic
anarchism	anarchismu
anarchist	anarchist
anarchy	anarchia
anastomosis	anastomosi
anathema	anathema
anatomic	anatomicu
anatomy	anatumia
ancestor	antenatu
ancestral	ancestrali
ancestry	ancestrali
anchor	ancu
anchorage	anchorage
ancient	antichi
ancillary	ancillary
androgen	androgenu
android	android
anecdote	anecdote
anemia	anémie
anemic	anemic
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologu
anesthetic	anesteticu
aneurysm	aneurysm
anew	novu
angel	ànghjulu
angelic	angèlicu
anger	còllera
angered	angered
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogramu
angiography	angiogramia
angle	angulu
angling	angling
angora	angora
angriest	l 'angriest
angry	in còllera
angrytweet	NO TRANSLATION
angst	angst
anguish	anguish
anguished	anguished
angular	angular
anhydrous	anhydrous
animal	animali
animate	animate
animated	animatu
animation	animazione
animosity	animosità
animus	animus
ankle	u turmiu
anklet	anca
annals	annals
annex	annessi
annexation	annessioni
annexe	NO TRANSLATION
annihilate	aniquila
annihilated	aniquilatu
annihilation	aniquilazione
anniversary	anniversariu
annotate	annotate
annotation	annotazioni
announce	annunzià
announcement	annunziu
announcer	annunziu
annoy	annoys
annoyance	annunziu
annoyed	scuntenti
annoyin	NO TRANSLATION
annoying	disgrazia
annoys	annoys
annual	annuali
annuity	annuity
annul	annul
annular	annular
annulment	annulment
annulus	annulus
anointed	untu
anointing	untu
anomalous	anomalous
anomaly	anurmalità
anon	anon
anonymity	anonimatu
anonymous	anonimu
anorexic	anorèxica
answer	risposta
answerable	rispunsevuli
answering	risponde
ant	ant
antagonism	antagunisimu
antagonist	antagunista
antagonistic	antagonistic
antagonize	antagonizà
ante	NO TRANSLATION
antecedent	antecedente
antelope	antilatu
antenna	antenna
anterior	precedente
anthem	innu
anthill	antra
anthology	antologia
anthrax	anthrax
anthropological	antropològichi
anthropologist	antropologu
anthropology	antropologia
anti	anti
antiaircraft	antiaisturi
antibiotic	antibioticu
antibiotics	antibiotici
antichrist	'anticristu
anticipate	anticipate
anticipation	anticipazione
anticipatory	anticipazione
antics	antics
antidote	antidotu
antifungal	antifunguale
antigravity	antigravità
antimony	antimoniu
antipathy	antipatyite
antiquarian	antiquarian
antiquated	antiquatu
antique	antica
antiques	antichi
antiquity	antichità
antiseptic	antisepiche
antisocial	antisocial
antithesis	antitesi
antithetical	antitettu
antiviral	antivirale
antler	antler
antsy	annantu
anus	anus
anvil	i iuli
anxiety	anxiety
anxietyattack	NO TRANSLATION
anxious	ansiusa
anxiousness	anzieux
anytime	in ogni tempu
aorta	aorta
aortic	aorta
apace	apace
apache	apache
apartment	apartment
apartments	appartamenti
apathetic	apathetic
apathy	apatia
ape	scimmia
aperture	apertura
apex	apex
aphid	aphid
aphrodisiac	'afrodisiacu
apiece	una sola volta
aplomb	aplomb
apocalypse	apucalipse
apocalyptic	apocaliptique
apologetic	apologètica
apologist	apologista
apologize	scusemu
apology	scusa
apostasy	apostasy
apostate	apostate
apostle	apòstulu
apostolic	apostolicu
apostrophe	apostrufu
apothecary	lucali
appalled	scantati
appalling	fantasmagoriu
apparatus	apparatus
apparel	vistimentu
apparent	apparente
apparently	apparentimenti
apparition	apparizione
appeal	appellu
appear	apparisce
appearance	apparizione
appease	calmà
appellant	appellant
append	append
appendage	appendage
appendectomy	appendomie
appendicitis	appendicitis
appendix	appendix
appetite	appetite
appetizer	appetizer
appetizing	appetizing
applaud	applaud
applause	applausi
apple	mela
apple juice	u zitellu
applejack	applejack
applesauce	purée
appliance	appruicamentu
appliances	apparecchi
applicability	applicabilità
applicable	applicà
applicant	applijente
application	applicazione
apply	applicà
appoint	stabilisce
appointment	appuntamentu
appointments	appuntamentu
apportion	apportion
apportionment	apportionment
appraisal	appraisal
appraise	valutà
appreciable	apprezzativa
appreciate	apprizzà
appreciated	apprizzata
appreciates	valora apprezzate
appreciation	apprezzamentu
appreciative	valutariu
apprehend	apprehend
apprehension	apprehension
apprehensive	appressu
apprentice	apprentice
apprenticeship	un'amparera
approach	approcciu
approaching	avvicinà
approbate	NO TRANSLATION
approbation	approbation
appropriate	apprupriti
appropriation	appruvazioni
approval	appruvazioni
approve	appruvà
approved	appruvata
approvement	appruvisione
approving	appruvamentu
approximate	apprussimati
approximately	appressu
approximating	apprussimati
approximation	appruntamentu
appurtenances	appurtenances
apricot	apricot
apron	mandibula
apt	apt
aptitude	'aptitude
aqua	aqua
aquamarine	acquamarina
aquarium	aquarium
aquatic	aquatic
aqueduct	acquedotto
aqueous	aquaux
arable	arable
arbiter	arbiteru
arbitrary	arbitrarie
arbitrate	arbitrate
arbitration	arbitrage
arbitrator	arbitru
arbor	arbor
arc	arc
arcade	arcade
arcane	arcane
arch	arch
archaeological	archeologicu
archaeologist	archeologu
archaeology	archeologia
archaic	arcaismu
archangel	arcànghjulu
archbishop	arcivescu
archdiocese	Archidisissu
archduke	archduke
arched	arched
archer	archer
archery	archery
archetype	archetipu
archipelago	archipelago
architect	architettu
architectural	architetturale
architecture	architettura
archive	archiviu
arctic	arctic
ardent	ardente
ardor	ardor
arduous	arduous
area	zona
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	sustene
argument	argumentu
argumentation	argumintazzioni
argumentative	argumentative
arguments	argumenti
arid	arid
arise	arise
aristocracy	aristocrazia
aristocrat	aristucraticu
aristocratic	aristucraticu
arithmetic	aritmetica
ark	arca
arm	vrazzu
armada	armata
armament	armamentu
armaments	armamenti
armature	armatura
armchair	armchair
armed	armatu
armor	armatura
armored	armatura
armory	armoria
armpit	armpit
arms	armi
army	esercitu
aroma	aroma
aromatherapy	aromatherapy
arousal	sedimentu
arouse	suscitarà
aroused	suscitatu
arraignment	arraignment
arrange	organizà
arranged	arranjatu
arrangement	arrangiatu
array	array
arrears	arretru
arrest	arrestu
arrhythmia	arritmià
arrival	arrivu
arrive	arrivanu
arrogance	arruganza
arrogant	arruganti
arrow	freccia
arsehole	arsehole
arseholes	arseholes
arsenal	arsenale
arsenic	arsenicu
arson	arson
arsonist	incontru
art	arti
arterial	arterial
artery	artery
artful	artful
arthritis	artritis
arthropod	articulu
artichoke	articulu
article	articulu
articles	articuli
articulate	articule
articulation	articulation
artifact	artefactu
artifice	artifice
artificial	artificiale
artillery	artiglieria
artisan	artighjanali
artist	artista
artiste	NO TRANSLATION
artistic	artistica
artistry	artisti
artists	artisti
artwork	illustrazione
arty	arty
asap	asap
asbestos	ampianto
ascend	ascend
ascendancy	ascendenza
ascendant	ascendant
ascending	ascendennu
ascension	ascension
ascent	ascenseur
ascertain	accuncià
ascertained	ascertained
ascetic	asceticu
ash	frasin
ashamed	vargugnate
ashes	cennere
ashtray	cirianu
asinine	asininu
ask	dumandà
asleeep	NO TRANSLATION
asleep	dormu
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	aspettu
aspects	aspetti
aspen	aspen
asphalt	asfaltatu
asphyxia	asfixia
asphyxiation	asfixiazione
aspiration	aspirazioni
aspire	aspira
aspirin	aspirin
aspiring	aspiring
ass	culo
assail	assail
assailant	assailant
assassin	assassinu
assassinate	assassinate
assassination	assassiniu
assault	assaltu
assay	assaiculamentu
assemblage	assemblea
assemble	assemble
assembled	assembled
assembly	assemblea
assemblyman	assemblyman
assent	assent
assert	dichjarà
asserting	affirmannu
assertion	assirzioni
assertive	assertiu
assess	valutà
assessment	valutazione
assessor	assessur
asset	attivu
assets	attivu
asshole	culo
assign	assignà
assignee	cessionariu
assignment	assignment
assimilate	assimilarle
assimilation	assimilazzioni
assist	assistenza
assistance	assistenza
assistant	assistente
associate	associate
association	associu
assorted	assortita
assortment	assortiment
assuage	assuage
assume	assume
assumed	assumisce
assuming	assumendu
assumption	assuntu
assurance	assicuranza
assure	assicura
assured	assicurati
assuredly	assicurazione
asterisk	astruca
asteroid	asteroide
asteroids	asteroide
asthma	asma
asthmatic	astmaticu
astigmatism	astigmatismu
astonish	maravigliate
astonished	maravigliati
astonishing	stupidu
astonishingly	NO TRANSLATION
astonishment	maravigghiatu
astound	scantu
astral	astral
astray	miseria
astringent	astringente
astrologer	astruzimulu
astrology	astruzzione
astronaut	astronauta
astronomer	astronomu
astronomical	astronumìa
astronomy	astronomia
astute	astutu
asunder	asunder
asylum	asiliu
asymmetric	asimmetricu
asymmetry	asimetria
asymptotic	asimptotic
atelier	atelier
atheism	atheism
atheist	atheist
atheistic	atea
atherosclerosis	ateroesclerose
athlete	atleta
athletic	athletic
athleticism	athleticism
athletics	atletica
atlas	atlas
atmosphere	atmosfera
atmospheric	atmosferichi
atoll	atolone
atom	atomu
atomic	atomicu
atone	atone
atonement	annunzzione
atpeace	atpeace
atrium	atrium
atrocious	atrocious
atrocity	atrocità
atrophy	atrofia
attach	attache
attached	anu attaccatu
attachment	attaccamentu
attack	attaccu
attacker	attaccu
attacking	attaccà
attain	mette
attainable	attainable
attainment	puntu
attempt	tentativu
attempted	pruvatu
attend	assiste
attendance	assistenza
attendant	servitore
attention	attenzioni
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	attenti
attenuate	attendu
attenuated	attenuated
attenuation	attenzioni
attest	attesta
attestation	attestazione
attic	attic
attire	attire
attitude	attitudine
attorney	attorney
attract	attruvarà
attraction	attrazioni
attractive	attrattiva
attractiveness	attrattu
attributable	attribuisce
attribute	attribuisce
attribution	attribuisce
attrition	attrition
auburn	auburn
auction	subacquista
auctioneer	auctioneer
audacious	audaciu
audacity	audàcia
audible	audible
audience	udienza
audio	audio
audit	cuntrollu
audition	audition
auditions	auditions
auditor	auditor
auditorium	auditorium
auditory	audizione
aught	nunda
augment	aumentà
augmentation	augmentation
august	Aostu
aunt	tia
auntie	auntia
aura	aura
aurora	aurora
auspices	auspices
auspicious	auspicious
austere	austeru
austerity	austerità
authentic	autenticu
authenticate	autentificà
authentication	autentificazione
authenticity	a sputichezza
author	autore
authoritative	auturità
authority	autorità
authorization	autorizazione
authorize	auturizà
authorized	autorizata
authorship	autura
autism	autismu
autistic	autisticu
auto	auto
autobiographical	autubiugràficu
autobiography	n'autubioggrafia
autocorrect	autocorrect
autocratic	autocraticu
autograph	autografu
autographed	autografitatu
automated	automatizatu
automatic	autumàticu
automobile	automobile
automotive	automobilistica
autonomy	autonumia
autopilot	prugrammu
autopsy	autopsia
autumn	vaghjimu
auxiliary	aiutu
avail	vulutu
availability	dispunibilità
available	dispunibuli
avalanche	avalanche
avarice	avarice
avatar	avatar
avenge	vindicà
avenger	avenger
avenging	vinnutu
avenue	avenue
aver	NO TRANSLATION
average	media
aversation	aversa
averse	averse
averseness	aversità
aversion	aversione
avert	avert
aviary	aviary
aviation	aviation
aviator	aviatore
avid	avidez
avocado	avocado
avoid	evitari
avoidance	evitàvanu
avoiding	evitendu
await	await
awake	svegliatu
awaken	svegliate
awakening	u despertu
award	guvernu
awards	premiati
aware	cuscenti
awareness	cuscenza
awe	NO TRANSLATION
awed	svugliatu
awesome	geniale
awesomeness	maravigestionariu
awestruck	amparatu
awful	horrible
awkward	stuposa
awkwardness	ribbillenza
awning	awning
awry	malu
axe	ax
axial	axial
axiom	axioma
axiomatic	axiomatic
axis	assi
axle	axle
ay	aiutu
aye	aye
azimuth	azimut
azure	azure
babble	babble
babbling	babbling
babe	criatura
baboon	babu
baby	picciriddu
babysit	babysit
babysitter	babysitter
baccalaureate	baccalaureatu
baccarat	baccarat
bachelor	bachelor
bachelorette	bachelorette
back	turnà
backboard	backboard
backbone	backbone
backdoor	backdoor
backdrop	funzione
backer	sustinutu
backfire	prossimu
backgammon	backgammon
background	fondo
backhand	in backhand
backhoe	a retroleia
backoff	backoff
backpack	backpack
backpacker	backpacker
backroom	spazente
backseat	u sediu
backside	backside
backtrack	ritornu
backup	salvezza
backward	backward
backwardness	ritornu
backwards	u ritornu
backwater	riabilda
backwoods	staghjoni
backyard	curripartu
bacon	bacon
bacteria	bacteria
bacterial	bacterial
bacterium	bacteria
bad	male
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	badger
badhabit	NO TRANSLATION
badly	malamenti
badness	bundanza
baffle	baffle
baffled	sbagliata
bag	saccu
bagel	bagel
baggage	bagagliu
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	bagpipes
bail	bail
bailiff	bailiff
bait	bait
bake	svigliatu
bakery	panificà
baking	panificate
bal	NO TRANSLATION
balance	equilibriu
balanced	equilibratu
balcony	balcone
bald	calva
balding	calvisione
baldy	baldy
bale	salottu
balk	balk
ball	ballu
ballad	ballata
ballast	ballast
ballerina	ballerina
ballet	ballu
ballgame	ballgame
ballistic	ballisticu
ballistics	ballistics
balloon	globu
ballot	vota
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	salottu
ballsy	balli
balm	balm
balmy	balsammo
balsam	balsam
balsamic	balsamica
bam	bam
bamboo	bambù
ban	NO TRANSLATION
banana	banana
band	banda
bandage	vende
bandanna	NO TRANSLATION
bandit	banditu
bandstand	bandstand
bandwagon	bandwagon
bandwidth	anu larga
bane	bane
bang	bang
banger	banger
banish	banish
banished	spedite
banishment	bane
banister	banister
banjo	banjo
bank	bancariu
banker	bankier
banking	bancariu
bankroll	bankroll
bankrupt	falluta
bankruptcy	fallimentu
banner	bandera
banquet	banquet
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	u battèsimu
baptismal	battisimu
baptize	battezi
bar	bar
barb	barbu
barbarian	barbari
barbaric	barbari
barbarism	barbarism
barbecue	barbecue
barbed	barbed
barber	barber
barbershop	barbiere
barbie doll	barbie doll
bard	bard
bare	purtamentu
bareback	bareback
barefoot	senza pelle
barely	a pena
barf	barf
bargain	bargain
bargaining	bargain
barge	barge
baritone	barituni
barium	bariu
bark	scorcia
barkeep	carizzi
barks	scorcia
barley	orzu
barmaid	barmaid
barman	barman
barn	stazzili
barnacle	barnacle
barney	Barney
barnyard	cantu
barometer	baròmetro
baron	barone
baroness	barone
baroque	baroccu
barrack	caserna
barracuda	barracuda
barrage	barrage
barred	impeditu
barrel	barrel
barren	sterile
barricade	barricata
barrier	barriera
barring	impeditu
barrister	barrister
barroom	barroom
barrow	Barrow
bartender	camminatore
barter	scambiu
base	basa
baseball	baseball
baseball bat	baseball bat
baseboard	baseboard
baseless	senza basu
baseline	basi
baseman	baseman
basement	sotano
bases	basi
bash	bash
bashful	bashful
basic	basi
basics	fundamenti
basil	basilica
basilica	basilica
basin	bacinu
basis	basi
bask	bask
basket	cesto
basketball	basketball
bass	bass
bass guitar	bass guitar
basso	NO TRANSLATION
bassoon	bassoon
bastard	bastardo
bastarding	bastarding
bastards	bastardi
bastion	bastione
bat	bat
batch	batch
batching	batching
bate	NO TRANSLATION
bath	bagnu
bathe	bagnu
bathhouse	bathhouse
bathing	pattinaggiu
bathrobe	acne
bathroom	bagnu
bathtub	a tina
bathymetry	bassimetria
baton	baton
battalion	battagghiuni
batter	batter
battered	maltrattata
battering	batting
battery	bateria
battle	battaglia
battled	cummattutu
battlefield	campu di battaglia
battleground	battleground
battlements	meravigliate
battleship	battèsitu
batty	batty
bauble	chuchigna
bawdy	chianciulinu
bawl	bawl
bay	bay
bayonet	bayoneta
bayou	bayou
bazaar	bazar
bazooka	bazooka
bday	bday
be	esse
beach	spiaggia
beaches	platti
beacon	balisa
bead	ramu
beading	beading
beads	peri
beady	beady
beagle	beagle
beak	pizzu
beaker	beaker
beam	fasciu
beaming	ghjittassi
bean	fagioli
beanbag	beanbag
beanie	beanie
bear	purtaranu
bearable	sopra
beard	barba
bearded	barbibe
bearer	u porporatore
bearing	porte
bearings	Cuscinetti
bearish	bearish
bearskin	bearskin
beast	bestia
beastly	bestia
beat	sbattiri
beaten	stata battezu
beater	battezza
beating	pugna
beatnik	beatnik
beau	beau
