Word	sq
admonition	paralajmërim
ado	zhurmë
adobe	qerpiç
adolescence	adoleshencë
adolescent	adoleshent
adopt	miratoj
adoption	adoptim
adoptive	adoptues
adorable	i adhurueshëm
adoration	adhurim
adore	adhuroj
adoring	adoring
adorn	stolis
adornment	zbukurim
adrenalin	adrenalin
adrenaline	adrenalin
adrift	në mëshirë të fatit
adult	i rritur
adulterated	falsifikuar
adulterer	kurorëshkelës
adultery	tradhti bashkëshortore
adulthood	moshë madhore
advance	avancoj
advanced	i përparuar
advancement	përparim
advancing	avancimin
advantage	avantazh
advantageous	i favorshëm
advent	ardhje
adventure	aventurë
adventurer	aventurier
adventures	aventurat
adventurous	aventurier
adversary	kundërshtar
adverse	i pafavorshëm
adversity	fatkeqësi
advertise	reklamuar
advertisement	reklamë
advertising	reklamat
adverts	reklamat
advice	këshillë
advisable	i këshillueshëm
advise	këshillë
advised	këshilluar
advisement	këshilllimit
adviser	këshilltar
advisor	këshilltar
advisory	këshillimor
advocacy	mbrojtje
advocate	avokat
aegis	Selimi
aeration	ventilim
aerial	ajror
aerobics	gjimnastikë
aerodrome	aerodrom
aerodynamic	aerodinamik
aerodynamics	aerodinamikë
aeronautics	aeronautikë
aeroplane	aeroplan
aerospace	hapësirës ajrore
aesthetic	estetik
aesthetics	estetikë
aetiology	etiologjinë
afar	larg
affable	i dashur
affair	çështje
affect	ndikoj
affecting	ndikojnë
affection	dashuri
affectionate	i dashur
affections	affections
affiche	NO TRANSLATION
affidavit	dëshmi me betim
affiliated	lidhur
affiliation	përkatësia
affinity	prirje
affirm	pohoj
affirmation	pohim
affirmative	pohues
affirmatively	pozitivisht
affix	fiksoj
afflict	hidhëroj
afflicted	i pikëlluar
affliction	vuajtje
affluence	begati
affluent	i pasur
afford	përballojë
affordable	përballueshme
affront	fyerje
affronted	fyer
afield	tutje
afire	një zjarr
afloat	në det
afore	afore
aforementioned	i lartpërmendur
aforesaid	i lartpërmendur
afraid	i frikësuar
afresh	përsëri
african	afrikan
aft	në pupë
afterlife	jetë e përtejme
aftermath	pasojë
afternoon	pasdite
aftershave	solucion pas rrojes
aftertaste	amëz
afterthought	mendim i mëvonshëm
aga	NO TRANSLATION
agape	golëhapur
agate	agat
age	moshë
aged	vjeç
agency	agjenci
agenda	program
agent	agjent
agglomeration	grumbullim
aggravate	rëndoj
aggravated	acaruar
aggravates	përkeqëson
aggravating	rëndues
aggravation	keqësim
aggregate	total
aggregation	grumbull
aggresive	NO TRANSLATION
aggression	sulm
aggressive	agresive
aggressively	agresive
aggressiveness	agresion
aggressor	agresor
agh	agh
aghast	i tmerruar
aghhh	NO TRANSLATION
agile	i shkathët
agility	shkathtësi
aging	plakje
agitate	shqetësoj
agitated	i shqetësuar
agitation	agjitacion
aglow	ndezur
agnostic	agnostik
ago	më parë
agonizing	pikëllues
agony	agoni
agoraphobia	agoraphobia
agree	bie dakord
agreeable	i këndshëm
agreed	dakord
agreeing	duke rënë dakord
agreement	marrëveshje
agressive	NO TRANSLATION
agricultural	bujqësor
agriculture	bujqësi
aground	në cekëtinë
agua	NO TRANSLATION
ahead	përpara
ahhh	Ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	Ahoy
aid	ndihmë
aide	ndihmës
aiding	ndihmë
aids	SIDA
ail	jam i sëmurë
ailing	i sëmurë
ailment	sëmundje
aim	qëllim
aimless	i paqëllim
air	ajror
airbag	airbag
airborne	në fluturim
aircraft	avion
aircraft carrier	aeroplanmbajtës
airfield	fushë aeroplanësh
airhead	airhead
airlift	transportin ajror
airline	linjë ajrore
airliner	avioni
airlock	Airlock
airman	pilot
airplane	aeroplan
airport	aeroport
airs	airs
airship	airship
airspace	hapësirën ajrore
airspeed	airspeed
airstrip	pistë zbritjeje
airtight	hermetik
airway	udhë ajrore
aisle	rresht
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	ngjashëm
alabaster	alabastër
alarm	alarm
alarm clock	orë alarmi
alarmed	alarmuar
alarming	alarmues
alas	mjerisht
alb	NO TRANSLATION
albatross	Albatrosi
albino	Albino
album	album
alchemy	alkimi
alcohol	alkool
alcoholic	alkoolik
alcoholism	alkoolizëm
alcove	kthinë
alderman	anëtar i këshillit bashkiak
ale	NO TRANSLATION
alert	vigjilent
alertness	vigjilencë
alerts	alarme
alfalfa	jonxhë
algebra	algjebër
algebraic	algjebrik
algorithm	algorithm
alias	pseudonim
alibi	alibi
alien	i huaj
alienate	armiqësoj
alienated	tjetërsuar
alienation	tjetërsim
alight	ulem
align	lidhur
aligned	Angazhimit
alignment	radhitje
alike	njëlloj
alimentation	NO TRANSLATION
alimony	ushqim
aliquot	që ndahet pa tepricë
alive	i gjallë
alkali	alkali
alkaloids	alkaloide
allay	lehtësoj
allegation	deklaratë
allege	pohoj
alleged	i supozuar
allegiance	besnikëri
allegorical	alegorik
allegory	alegori
allegro	allegro
allergic	alergjik
allergy	alergji
alleviate	lehtësoj
alleviation	zbutje
alley	rrugicë
alleyway	korridor
alliance	aleancë
allied	aleat
alligator	aligator
allocate	ndajë
allocation	shpërndarje
allot	shpërndaj
allotment	ndarje
allow	lejoj
allowable	i lejueshëm
allowance	lejim
allowed	i lejuar
alloy	aliazh
allsmiles	NO TRANSLATION
allure	joshë
alluring	tërheqës
allusion	aluzion
alluvial	që është hedhur
ally	aleat
almanac	almanak
almighty	i plotfuqishëm
almond	bajame
aloft	lart
aloha	aloha
alone	vetëm
alongside	pranë
aloof	i përmbajtur
aloud	me zë të lartë
alpha	alpha
alphabet	alfabet
alphabetical	alfabetik
alpine	alpin
alreadyyyyy	NO TRANSLATION
altar	altar
altar boy	djali i altarit
alter	ndryshoj
alteration	ndryshim
altercation	grindje
altered	ndryshuar
alternate	alternativ
alternating	alternuara
alternative	alternativë
altimeter	lartësimatës
altitude	lartësi
alto	alto
altogether	krejt
aluminum	alumin
alumnus	ish-nxënës
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgamë
amalgamation	shkrirje
amaretto	Amaretto
amass	grumbulloj
amateur	amator
amaze	çudit
amazed	i habitur
amazedness	amazedness
amazement	habi
amazing	mahnitës
amazingly	amazingly
ambassador	ambasador
amber	qelibar
ambience	ambient
ambient	i ambientit
ambiguity	dykuptimësi
ambiguous	i paqartë
ambit	cak
ambition	ambicie
ambitious	ambicioz
ambivalent	ambivalent
ambrosia	Ambrosia
ambulance	ambulancë
ambush	pritë
ameliorate	përmirësoj
amen	amin
amenable	i dëgjueshëm
amend	ndryshoj
amendment	ndryshim
amends	justifikohen
amenity	komoditet
amethyst	ametist
amiable	i dashur
amicable	miqësor
amid	në mes të
amidst	në mes të
amino	amino
ammo	municion
ammonia	amoniak
ammonium	ammonium
ammunition	municion
amnesia	amnezi
amnesty	amnisti
amorous	dashuror
amorphous	amorf
amortization	amortizim
amount	sasi
amour	NO TRANSLATION
amp	AMP
ampersand	simbol
amphetamines	amfetaminat
amphibian	amfib
amphibious	amfib
amphitheater	amfiteatër
ample	i mjaftueshëm
amplification	përforcim
amplify	plotësoj
amplitude	amplitudë
amply	me bollëk
amputate	pres
amputation	amputim
amuck	amuck
amulet	amulet
amuse	zbavitem
amused	i kënaqur
amusement	dëfrim
amusing	zbavitës
ana	NO TRANSLATION
anaconda	Anaconda
anaesthesia	anestezi
anaesthetic	mjet anastezik
anagram	anagramë
anal	anal
analgesic	analgjezik
analogous	i ngjashëm
analogue	analog
analogy	analogji
analysis	analizë
analyst	analist
analytic	analitik
analytical	analitike
analyze	analizuar
analyzer	Analyzer
anaphylactic	anafilaktik
anarchism	anarkizëm
anarchist	anarkist
anarchy	anarki
anastomosis	anastomosis
anathema	mallkim
anatomic	anatomik
anatomy	anatomi
ancestor	stërgjysh
ancestral	stërgjyshor
ancestry	origjinë
anchor	spirancë
anchorage	ankorim
ancient	i lashte
ancillary	ndihmës
androgen	androgjen
android	android
anecdote	anekdotë
anemia	anemi
anemic	anemik
anemone	anemonë
anesthesia	anestezi
anesthesiologist	anesteziologu
anesthetic	mjet anastezik
aneurysm	aneurysm
anew	përsëri
angel	engjëll
angelic	engjëllor
anger	zemërim
angered	zemëroi
angermanagement	NO TRANSLATION
angina	angjinë
angiogram	Angiogram
angiography	angiography
angle	kënd
angling	angling
angora	angorë
angriest	angriest
angry	i zemëruar
angrytweet	NO TRANSLATION
angst	Angst
anguish	ankth
anguished	ankth
angular	këndor
anhydrous	i paujë
animal	kafshë
animate	i gjallë
animated	i gjallë
animation	gjallëri
animosity	armiqësi
animus	shpirt
ankle	kyçin e këmbës
anklet	byzylyk këmbe
annals	anale
annex	aneks
annexation	aneksim
annexe	NO TRANSLATION
annihilate	asgjësoj
annihilated	asgjësuar
annihilation	asgjësim
anniversary	përvjetor
annotate	pajis me shënime
annotation	shënim
announce	shpall
announcement	njoftim
announcer	folës
annoy	mërzit
annoyance	bezdi
annoyed	i mërzitur
annoyin	NO TRANSLATION
annoying	i bezdisshëm
annoys	annoys
annual	vjetor
annuity	pension vjetor
annul	anuloj
annular	si unazë
annulment	anulim
annulus	annulus
anointed	vajosur
anointing	vajosjes
anomalous	anormal
anomaly	anomali
anon	pas pak
anonymity	anonimitet
anonymous	anonim
anorexic	anorexic
answer	përgjigje
answerable	përgjegjës
answering	duke u përgjigjur,
ant	milingonë
antagonism	antagonizëm
antagonist	antagonist
antagonistic	antagonist
antagonize	armiqësoj
ante	NO TRANSLATION
antecedent	ngjarje e mëparshme
antelope	antilopë
antenna	antenë
anterior	i mëparshëm
anthem	himn
anthill	fole milingonash
anthology	antologji
anthrax	lloj guri të çmuar
anthropological	antropologjike
anthropologist	antropolog
anthropology	antropologji
anti	anti
antiaircraft	kundërajror
antibiotic	antibiotik
antibiotics	antibiotikët
antichrist	antikrishti
anticipate	parashikoj
anticipation	parashikim
anticipatory	paraprak
antics	antics
antidote	kundërhelm
antifungal	antifungal
antigravity	antigravity
antimony	antinom
antipathy	antipati
antiquarian	antikuar
antiquated	i vjetruar
antique	antikë
antiques	antike
antiquity	lashtësi
antiseptic	antiseptik
antisocial	i heshtur
antithesis	antitezë
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy
anus	anus
anvil	kudhër
anxiety	ankth
anxietyattack	NO TRANSLATION
anxious	i shqetësuar
anxiousness	anxiousness
anytime	kurdo
aorta	aortë
aortic	aortës
apace	shpejt
apache	apache
apartment	apartament
apartments	apartamente
apathetic	apatik
apathy	apati
ape	majmun
aperture	hapje
apex	majë
aphid	Afideja
aphrodisiac	nxitës
apiece	secili
aplomb	gjakftohtësi
apocalypse	apokalips
apocalyptic	apokaliptike
apologetic	shfajësues
apologist	apologjet
apologize	kërkoj falje
apology	apologji
apostasy	braktisje
apostate	femohues
apostle	apostull
apostolic	apostolik
apostrophe	apostrof
apothecary	farmaci
appalled	tmerruar
appalling	i tmerrshëm
apparatus	aparat
apparel	veshje
apparent	i dukshëm
apparently	me sa duket
apparition	fantazmë
appeal	apelim
appear	duket
appearance	shfaqje
appease	qetësoj
appellant	apelues
append	shtoj
appendage	shtojcë
appendectomy	apendektomi
appendicitis	apendicit
appendix	shtojcë
appetite	oreks
appetizer	meze
appetizing	i shijshëm
applaud	duartrokas
applause	duartrokitje
apple	mollë
apple juice	lëng molle
applejack	liker mollësh
applesauce	applesauce
appliance	aplikim
appliances	pajisje
applicability	zbatueshmëria
applicable	i zbatueshëm
applicant	kërkues
application	aplikacion
apply	zbatohen
appoint	caktoj
appointment	takim
appointments	emërimet
apportion	shpërndarje
apportionment	shpërndarja
appraisal	vlerësim
appraise	vlerësoj
appreciable	i ndjeshëm
appreciate	vlerësoj
appreciated	vlerësuar
appreciates	vlerëson
appreciation	Vleresim
appreciative	mirënjohës
apprehend	kap
apprehension	frikë
apprehensive	i shqetësuar
apprentice	nxënës
apprenticeship	stazh pune si nxënës
approach	afrim
approaching	afrohet
approbate	NO TRANSLATION
approbation	miratim
appropriate	i përshtatshëm
appropriation	përvetësim
approval	miratim
approve	miratoj
approved	i miratuar
approvement	aprovim
approving	miratimin
approximate	i përafërt
approximately	përafërsisht
approximating	përafrimin
approximation	përafrim
appurtenances	appurtenances
apricot	kajsi
apron	platformë
apt	i prirur
aptitude	zotësi
aqua	aqua
aquamarine	akuamarin
aquarium	akuarium
aquatic	ujor
aqueduct	kanal
aqueous	ujor
arable	i lërueshëm
arbiter	arbitër
arbitrary	arbitrar
arbitrate	gjykoj
arbitration	arbitrazhit
arbitrator	arbitër
arbor	kopsht
arc	hark
arcade	pasazh
arcane	misterioz
arch	hark
archaeological	arkeologjik
archaeologist	arkeolog
archaeology	arkeologji
archaic	arkaik
archangel	Archangel
archbishop	kryepeshkop
archdiocese	dioqezë e kryepeshkopit
archduke	Archduke
arched	me hark
archer	shigjetar
archery	gjuajtje me Hark
archetype	prototip
archipelago	arkipelag
architect	arkitekt
architectural	arkitektural
architecture	arkitekturë
archive	Arkivi
arctic	Arktik
ardent	i zjarrtë
ardor	ngrohtësi
arduous	i pjerrët
area	zonë
arena	arenë
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	Argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumentoj
argument	argument
argumentation	argumentim
argumentative	argumentues
arguments	argumentet
arid	i thatë
arise	rrjedh
aristocracy	aristokraci
aristocrat	aristokrat
aristocratic	aristokratik
arithmetic	aritmetikë
ark	arka
arm	krah
armada	Armada
armament	armatim
armaments	armatime
armature	armaturë
armchair	kolltuk
armed	i armatosur
armor	forca të blinduara
armored	i blinduar
armory	armaturë
armpit	sqetull
arms	armëve
army	ushtri
aroma	aromë
aromatherapy	Aromatherapy
arousal	zgjim
arouse	ngjall
aroused	ngjallur
arraignment	lexim i aktpadisë
arrange	organizoni
arranged	rregulluar
arrangement	marrëveshje
array	grup
arrears	borxh
arrest	arrest
arrhythmia	arrhythmia
arrival	mbërritje
arrive	arrijnë
arrogance	arrogancë
arrogant	arrogant
arrow	shigjetë
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenik
arson	zjarrvënie e qëllimshme
arsonist	zjarrvënës
art	art
arterial	arterial
artery	arterie
artful	i zgjuar
arthritis	artrit
arthropod	arthropod
artichoke	artichoke
article	artikull
articles	artikuj
articulate	artikuluar
articulation	artikulim
artifact	Objekti
artifice	dredhi
artificial	artificial
artillery	artilerie
artisan	mjeshtër
artist	artist
artiste	NO TRANSLATION
artistic	artistik
artistry	mjeshtëri
artists	artistët
artwork	artwork
arty	me pamje artisti
asap	asap
asbestos	asbest
ascend	ngjitem
ascendancy	epërsi
ascendant	ngjitës
ascending	ngjitje
ascension	ngritje
ascent	kthim prapa
ascertain	konstatoj
ascertained	konstatuar
ascetic	asket
ash	hi
ashamed	i turpëruar
ashes	hi
ashtray	tavëll
asinine	si gomar
ask	kërkoj
asleeep	NO TRANSLATION
asleep	në gjumë
asp	gjarpër
asparagus	shparg
aspartame	aspartame
aspect	aspekt
aspects	aspektet
aspen	plep i egër
asphalt	asfalt
asphyxia	asfiksi
asphyxiation	asphyxiation
aspiration	aspiratë
aspire	aspiroj
aspirin	aspirinë
aspiring	ambicioz
ass	gomar
assail	sulmoj
assailant	sulmues
assassin	vrasës
assassinate	të vrarë
assassination	vrasja
assault	sulm
assay	shqyrtim
assemblage	kuvend
assemble	mbledh
assembled	mbledhur
assembly	asamble
assemblyman	Assemblyman
assent	miratim
assert	mbroj
asserting	duke pohuar
assertion	pohim
assertive	kategorik
assess	vlerësoj
assessment	vlerësim
assessor	vlerësues
asset	pasuri
assets	asetet
asshole	trap
assign	caktoj
assignee	përfitues
assignment	detyrë
assimilate	asimiloj
assimilation	asimilim
assist	ndihmoj
assistance	ndihmë
assistant	asistent
associate	koleg
association	shoqatë
assorted	i ndryshëm
assortment	asortiment
assuage	qetësoj
assume	supozoj
assumed	i supozuar
assuming	duke supozuar
assumption	supozim
assurance	siguri
assure	siguroj
assured	i sigurt
assuredly	sigurisht
asterisk	yll
asteroid	asteroid
asteroids	asteroids
asthma	astmë
asthmatic	astmatik
astigmatism	astigmatizëm
astonish	habis
astonished	i habitur
astonishing	mahnitës
astonishingly	NO TRANSLATION
astonishment	mahnitje
astound	shtang
astral	enigmatik
astray	në rrugë të gabuar
astringent	regjës
astrologer	astrolog
astrology	astrologji
astronaut	astronaut
astronomer	astronom
astronomical	astronomik
astronomy	astronomi
astute	i mprehtë
asunder	veç e veç
asylum	azil
asymmetric	asimetrik
asymmetry	asimetri
asymptotic	asymptotic
atelier	studio
atheism	ateizëm
atheist	ateist
atheistic	ateist
atherosclerosis	atherosclerosis
athlete	atlet
athletic	sportiv
athleticism	athleticism
athletics	atletikë
atlas	atlas
atmosphere	Atmosferë
atmospheric	atmosferik
atoll	atol
atom	atom
atomic	atomik
atone	laj gjynahet
atonement	sklyerje
atpeace	ne paqe
atrium	atrium
atrocious	mizor
atrocity	mizori
atrophy	atrofi
attach	bashkangjitni
attached	bashkangjitur
attachment	attachment
attack	sulm
attacker	sulmues
attacking	sulmuar
attain	arrij
attainable	i arritshëm
attainment	arritje
attempt	përpjekje
attempted	tentativë
attend	ndjek
attendance	pjesëmarrje
attendant	shoqërues
attention	vëmendje
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	i vëmendshëm
attenuate	zbus
attenuated	zbutur
attenuation	zbutje
attest	vërtetoj
attestation	vërtetim
attic	papafingo
attire	veshje
attitude	qëndrim
attorney	avokati
attract	tërheq
attraction	tërheqje
attractive	tërheqës
attractiveness	tërheqje
attributable	atribuohet
attribute	atribut
attribution	atributim
attrition	tretje
auburn	ngjyrë gështenjë
auction	ankand
auctioneer	drejtues ankandi
audacious	i guximshëm
audacity	guxim
audible	i dëgjueshëm
audience	audiencë
audio	audio
audit	revizion
audition	provë
auditions	auditions
auditor	revizor
auditorium	auditor
auditory	dëgjimor
aught	diçka
augment	shtoj
augmentation	shtim
august	gusht
aunt	hallë
auntie	teto
aura	atmosferë
aurora	agim
auspices	rrethana të favorshme
auspicious	i mbarë
austere	i rreptë
austerity	ashpërsi
authentic	i vërtetë
authenticate	vërtetoj
authentication	vërtetim
authenticity	autencitet
author	autor
authoritative	autoritar
authority	autoritet
authorization	autorizim
authorize	Autorizoj
authorized	i autorizuar
authorship	autorësi
autism	autizmi
autistic	autistic
auto	auto
autobiographical	autobiografik
autobiography	autobiografi
autocorrect	AutoCorrect
autocratic	autokratik
autograph	autograf
autographed	autographed
automated	automatizuar
automatic	automatik
automobile	automobil
automotive	automobilistik
autonomy	autonomi
autopilot	autopilot
autopsy	autopsi
autumn	vjeshte
auxiliary	ndihmës
avail	dobi
availability	disponueshmëri
available	në dispozicion
avalanche	ortek
avarice	dorështrëngim
avatar	avatar
avenge	shpagim
avenger	hakmarrës
avenging	hakmarrës
avenue	rrugë
aver	NO TRANSLATION
average	mesatare
aversation	aversation
averse	kundërshtues
averseness	averseness
aversion	neveri
avert	evitoj
aviary	kafaz zogjsh
aviation	aviacion
aviator	aviator
avid	lakmues
avocado	avokado
avoid	shmang
avoidance	shmangie
avoiding	duke shmangur
await	pres
awake	i zgjuar
awaken	zgjojë
awakening	zgjim
award	dhënie
awards	Awards
aware	i vetëdijshëm
awareness	ndërgjegjësimi
awe	NO TRANSLATION
awed	awed
awesome	mbresëlënës
awesomeness	awesomeness
awestruck	awestruck
awful	i tmerrshëm
awkward	i vështirë
awkwardness	ngathtësi
awning	strehë
awry	shtrembër
axe	sëpatë
axial	boshtor
axiom	aksiomë
axiomatic	aksiomatik
axis	aks
axle	bosht
ay	ay
aye	si urdhëroni
azimuth	azimut
azure	i kaltër
babble	murmurimë
babbling	babbling
babe	foshnjë
baboon	baboon
baby	bebe
babysit	babysit
babysitter	Babysitter
baccalaureate	diplomë
baccarat	Baccarat
bachelor	beqar
bachelorette	Bachelorette
back	prapa
backboard	tabelen
backbone	shtyllë
backdoor	dorë e fshehtë
backdrop	sfond
backer	përkrahës
backfire	dështoj
backgammon	tavëll
background	sfond
backhand	i pabesë
backhoe	backhoe
backoff	zbrapsu
backpack	çantë shpine
backpacker	Backpacker
backroom	dhomë e prapme
backseat	Backseat
backside	pjesë e pasme
backtrack	kthehem
backup	rezervë
backward	prapa
backwardness	prapambetje
backwards	mbrapsht
backwater	moçal
backwoods	vend i humbur
backyard	oborr pas shtëpie
bacon	proshutë
bacteria	bakteret
bacterial	bakteriale
bacterium	bakter
bad	keq
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	distinktiv
badger	lodh
badhabit	NO TRANSLATION
badly	keq
badness	ligësi
baffle	prish planet
baffled	habitur
bag	çantë
bagel	gjevrek
baggage	bagazh
baggie	baggie
baggy	i varur
bagman	mbledhës parash
bagpipes	Bagpipes
bail	dorëzani
bailiff	përmbarues
bait	karrem
bake	piqem
bakery	furrë
baking	pjekje
bal	NO TRANSLATION
balance	ekuilibër
balanced	balancuar
balcony	ballkon
bald	tullac
balding	balding
baldy	Baldy
bale	deng
balk	gafë
ball	top
ballad	baladë
ballast	çakëll
ballerina	balerinë
ballet	balet
ballgame	ballgame
ballistic	balistik
ballistics	balistikë
balloon	tullumbace
ballot	votim
ballpark	stadium beisbolli
ballplayer	ballplayer
ballpoint	stilolaps
ballroom	sallë vallëzimi
ballsy	Ballsy
balm	balsam
balmy	i butë
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	bambu
ban	NO TRANSLATION
banana	banane
band	bandë
bandage	fashë
bandanna	NO TRANSLATION
bandit	bandit
bandstand	estradë për orkestër
bandwagon	fitimtar
bandwidth	Bandwidth
bane	fatkeqësi
bang	zhurmë
banger	Banger
banish	largoj nga mendja
banished	dëbuar
banishment	dëbim
banister	parmak shkalle
banjo	banxho
bank	bankë
banker	bankier
banking	banking
bankroll	financoj
bankrupt	i falimentuar
bankruptcy	falimentim
banner	flamur
banquet	banket
banshee	Banshee
banter	tallje
banzai	NO TRANSLATION
baptism	pagëzim
baptismal	që i përket pagëzimit
baptize	pagëzoj
bar	bar
barb	gjemb
barbarian	barbar
barbaric	barbar
barbarism	barbarizëm
barbecue	Barbecue
barbed	me gjemba
barber	berber
barbershop	dyqan berberi
barbie doll	kukulla Barbi
bard	rapsod
bare	lakuriq
bareback	pa shalë
barefoot	zbathur
barely	mezi
barf	Barf
bargain	ujdi
bargaining	pazarllëk
barge	ndesh
baritone	bariton
barium	barium
bark	leh
barkeep	barkeep
barks	barks
barley	elb
barmaid	banakjere
barman	bufetier
barn	hangar
barnacle	syze
barney	Barney
barnyard	Barnyard
barometer	barometër
baron	baron
baroness	baroneshë
baroque	barok
barrack	barakë
barracuda	Barracuda
barrage	barazh
barred	ndaluar
