Word	sv
adorn	smycka
adornment	prydnad
adrenalin	adrenalin
adrenaline	adrenalin
adrift	på drift
adult	vuxen
adulterated	uppblandat
adulterer	adulterer
adultery	otrohet
adulthood	vuxen ålder
advance	förskott
advanced	Avancerad
advancement	befordran
advancing	avancera
advantage	fördel
advantageous	fördelaktig
advent	första advent
adventure	äventyr
adventurer	äventyrare
adventures	äventyr
adventurous	äventyrlig
adversary	motståndare
adverse	ogynnsam
adversity	motgång
advertise	annonsera
advertisement	annons
advertising	reklam-
adverts	annonser
advice	råd
advisable	tillrådligt
advise	ge råd
advised	rådde
advisement	advisement
adviser	rådgivare
advisor	rådgivare
advisory	rådgivande
advocacy	försvar
advocate	förespråkare
aegis	ledning
aeration	luftning
aerial	antenn
aerobics	aerobics
aerodrome	flygplats
aerodynamic	aerodynamisk
aerodynamics	aerodynamik
aeronautics	aeronautik
aeroplane	flygplan
aerospace	flyg-
aesthetic	estetisk
aesthetics	estetik
aetiology	etiologi
afar	fjärran
affable	förbindlig
affair	affär
affect	påverka
affecting	påverkar
affection	tillgivenhet
affectionate	öm
affections	affektioner
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	ansluten
affiliation	anslutning
affinity	affinitet
affirm	bekräfta
affirmation	bekräftelse
affirmative	korrekt
affirmatively	jakande
affix	affix
afflict	plåga
afflicted	drabbad
affliction	lidande
affluence	välstånd
affluent	rik
afford	råd
affordable	prisvärd
affront	skymf
affronted	förolämpad
afield	ett fält
afire	en eld
afloat	flytande
afore	afore
aforementioned	ovannämnda
aforesaid	ovannämnda
afraid	rädd
afresh	på nytt
african	afrikansk
aft	akter-
afterlife	liv efter detta
aftermath	verkningarna
afternoon	eftermiddag
aftershave	rakvatten
aftertaste	eftersmak
afterthought	eftertanke
aga	NO TRANSLATION
agape	agape
agate	agat
age	ålder
aged	åldrig
agency	byrå
agenda	dagordning
agent	ombud
agglomeration	agglomerering
aggravate	förvärra
aggravated	förvärras
aggravates	förvärrar
aggravating	försvårande
aggravation	förvärrande
aggregate	aggregat
aggregation	aggregation
aggresive	NO TRANSLATION
aggression	aggression
aggressive	aggressiv
aggressively	aggressivt
aggressiveness	aggressivitet
aggressor	angripare
agh	agh
aghast	bestört
aghhh	NO TRANSLATION
agile	vig
agility	rörlighet
aging	åldring
agitate	agitera
agitated	agiterad
agitation	agitation
aglow	glödande
agnostic	agnostiker
ago	sedan
agonizing	plågsam
agony	vånda
agoraphobia	agorafobi
agree	hålla med
agreeable	angenäm
agreed	gick med på
agreeing	enas
agreement	avtal
agressive	NO TRANSLATION
agricultural	jordbruks
agriculture	lantbruk
aground	på grund
agua	NO TRANSLATION
ahead	ett huvud
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ohoj
aid	hjälpa
aide	medhjälpare
aiding	medhjälp
aids	aids
ail	ail
ailing	sjuklig
ailment	sjukdom
aim	syfte
aimless	utan mål
air	luft
airbag	krockkudde
airborne	luftburet
aircraft	flygplan
aircraft carrier	hangarfartyg
airfield	flygfält
airhead	airhead
airlift	luftbro
airline	flygbolag
airliner	trafikflygplan
airlock	luftsluss
airman	flygare
airplane	flygplan
airport	flygplats
airs	förnäm min
airship	luftskepp
airspace	luftrum
airspeed	flyghastighet
airstrip	landningsbana
airtight	lufttät
airway	luftväg
aisle	gång
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	besläktad
alabaster	alabaster
alarm	larm
alarm clock	väckarklocka
alarmed	orolig
alarming	oroväckande
alas	ack
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alkemi
alcohol	alkohol
alcoholic	alkoholhaltig
alcoholism	alkoholism
alcove	alkov
alderman	rådman
ale	NO TRANSLATION
alert	varna
alertness	vakenhet
alerts	varningar
alfalfa	blålusern
algebra	algebra
algebraic	algebraisk
algorithm	algoritm
alias	alias
alibi	alibi
alien	utomjording
alienate	fjärma
alienated	aliene
alienation	alienation
alight	stiga av
align	justera
aligned	Justerat
alignment	inriktning
alike	lika
alimentation	NO TRANSLATION
alimony	underhållsbidrag
aliquot	alikvot
alive	Levande
alkali	alkali
alkaloids	alkaloider
allay	lugna
allegation	påstående
allege	påstå
alleged	påstådda
allegiance	trohet
allegorical	allegorisk
allegory	allegori
allegro	allegro
allergic	allergisk
allergy	allergi
alleviate	lindra
alleviation	lindring
alley	gränd
alleyway	bakgata
alliance	allians
allied	allierad
alligator	alligator
allocate	fördela
allocation	tilldelning
allot	tilldela
allotment	tilldelning
allow	tillåta
allowable	tillåten
allowance	ersättning
allowed	tillåten
alloy	legering
allsmiles	NO TRANSLATION
allure	locka
alluring	lockande
allusion	allusion
alluvial	alluvial
ally	alliera
almanac	almanacka
almighty	allsmäktig
almond	mandel
aloft	högt upp
aloha	aloha
alone	ensam
alongside	vid sidan av
aloof	på avstånd
aloud	högt
alpha	alfa
alphabet	alfabet
alphabetical	alfabetisk
alpine	alpin
alreadyyyyy	alreadyyyyy
altar	altare
altar boy	korgosse
alter	ändra
alteration	ändring
altercation	gräl
altered	förändrad
alternate	alternativ
alternating	alternerande
alternative	alternativ
altimeter	höjdmätare
altitude	höjd över havet
alto	alt-
altogether	sammanlagt
aluminum	aluminium
alumnus	alumn
alveolar	alveolär
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	sammanslagning
amaretto	amaretto
amass	samla
amateur	amatör-
amaze	förvåna
amazed	förvånad
amazedness	NO TRANSLATION
amazement	häpnad
amazing	fantastiskt
amazingly	otroligt
ambassador	ambassadör
amber	bärnsten
ambience	atmosfär
ambient	omgivande
ambiguity	tvetydighet
ambiguous	tvetydig
ambit	omfång
ambition	ambition
ambitious	ambitiös
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulans
ambush	bakhåll
ameliorate	förbättra
amen	amen
amenable	mottaglig
amend	ändra
amendment	ändring
amends	gottgörelse
amenity	facilitet
amethyst	ametist
amiable	älskvärd
amicable	vänskaplig
amid	mitt i
amidst	mitt i
amino	amino
ammo	ammunition
ammonia	ammoniak
ammonium	ammonium
ammunition	ammunition
amnesia	amnesi
amnesty	amnesti
amorous	kärleksfull
amorphous	amorf
amortization	amortering
amount	belopp
amour	NO TRANSLATION
amp	amp
ampersand	et-tecken
amphetamines	amfetamin
amphibian	amfibie
amphibious	amfibisk
amphitheater	amfiteater
ample	riklig
amplification	förstärkning
amplify	förstärka
amplitude	amplitud
amply	rikligt
amputate	amputera
amputation	amputation
amuck	amok
amulet	amulett
amuse	roa
amused	road
amusement	nöje
amusing	rolig
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	anestesi
anaesthetic	bedövningsmedel
anagram	anagram
anal	anal
analgesic	analgetikum
analogous	analog
analogue	analog
analogy	analogi
analysis	analys
analyst	analytiker
analytic	analytisk
analytical	analytisk
analyze	analysera
analyzer	analysator
anaphylactic	anafylaktisk
anarchism	anarkism
anarchist	anarkist
anarchy	anarki
anastomosis	anastomos
anathema	förbannelse
anatomic	anatomisk
anatomy	anatomi
ancestor	förfader
ancestral	släkt-
ancestry	anor
anchor	ankare
anchorage	ankring
ancient	gammal
ancillary	accessorisk
androgen	androgen
android	android
anecdote	anekdot
anemia	anemi
anemic	anemisk
anemone	anemon
anesthesia	anestesi
anesthesiologist	narkosläkare
anesthetic	bedövningsmedel
aneurysm	aneurysm
anew	på nytt
angel	ängel
angelic	änglalik
anger	ilska
angered	retade
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografi
angle	vinkel
angling	mete
angora	angora
angriest	angriest
angry	arg
angrytweet	NO TRANSLATION
angst	ångest
anguish	ångest
anguished	plågad
angular	vinkel-
anhydrous	vattenfri
animal	djur-
animate	animera
animated	animerad
animation	animation
animosity	fientlighet
animus	animus
ankle	vrist
anklet	anklet
annals	annaler
annex	bilaga
annexation	annektering
annexe	NO TRANSLATION
annihilate	förinta
annihilated	förintas
annihilation	förintelse
anniversary	årsdag
annotate	kommentera
annotation	anteckning
announce	meddela
announcement	meddelande
announcer	åman
annoy	förarga
annoyance	irritation
annoyed	irriterad
annoyin	NO TRANSLATION
annoying	irriterande
annoys	retar
annual	årlig
annuity	livränta
annul	upphäva
annular	ringformig
annulment	ogiltigförklaring
annulus	ring
anointed	smord
anointing	smörjelse
anomalous	anomal
anomaly	anomali
anon	anon
anonymity	anonymitet
anonymous	anonym
anorexic	anorektisk
answer	svar
answerable	ansvarig
answering	svar
ant	myra
antagonism	antagonism
antagonist	antagonist
antagonistic	antagonistisk
antagonize	motverka
ante	NO TRANSLATION
antecedent	antecedent
antelope	antilop
antenna	antenn
anterior	främre
anthem	hymn
anthill	myrstack
anthology	antologi
anthrax	mjältbrand
anthropological	antropologisk
anthropologist	antropolog
anthropology	antropologi
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotikum
antibiotics	antibiotika
antichrist	antikrist
anticipate	förutse
anticipation	förväntan
anticipatory	anteciperande
antics	upptåg
antidote	motgift
antifungal	antifungal
antigravity	antigravitation
antimony	antimon
antipathy	antipati
antiquarian	antikvarisk
antiquated	föråldrad
antique	antik
antiques	antikviteter
antiquity	antiken
antiseptic	antiseptisk
antisocial	asocial
antithesis	antites
antithetical	motsättning
antiviral	antiviral
antler	hjorthorn
antsy	antsy
anus	anus
anvil	städ
anxiety	ångest
anxietyattack	NO TRANSLATION
anxious	angelägen
anxiousness	orolighet
anytime	helst
aorta	aorta
aortic	aorta
apace	takt
apache	apache
apartment	lägenhet
apartments	lägenheter
apathetic	apatisk
apathy	apati
ape	apa
aperture	öppning
apex	apex
aphid	bladlus
aphrodisiac	afrodisiakum
apiece	en bit
aplomb	aplomb
apocalypse	apokalyps
apocalyptic	apokalyptiskt
apologetic	ursäkt
apologist	apologet
apologize	be om ursäkt
apology	ursäkt
apostasy	apostasi
apostate	avfälling
apostle	apostel
apostolic	apostolisk
apostrophe	apostrof
apothecary	apotekare
appalled	bestört
appalling	skrämmande
apparatus	anordning
apparel	kläder
apparent	skenbar
apparently	uppenbarligen
apparition	uppenbarelse
appeal	överklagande
appear	dyka upp
appearance	utseende
appease	blidka
appellant	klaganden
append	bifoga
appendage	bihang
appendectomy	blindtarms
appendicitis	appendicit
appendix	bilaga
appetite	aptit
appetizer	aptitretare
appetizing	aptitlig
applaud	applådera
applause	applåder
apple	äpple
apple juice	äppeljuice
applejack	Applejack
applesauce	äppelmos
appliance	apparat
appliances	apparater
applicability	tillämplighet
applicable	tillämplig
applicant	sökande
application	Ansökan
apply	tillämpa
appoint	utnämna
appointment	utnämning
appointments	möten
apportion	fördela
apportionment	fördelning
appraisal	värdering
appraise	värdera
appreciable	märkbar
appreciate	uppskatta
appreciated	uppskattad
appreciates	uppskattar
appreciation	uppskattning
appreciative	uppskattande
apprehend	gripa
apprehension	uppfattning
apprehensive	orolig
apprentice	lärling
apprenticeship	lärlingstid
approach	närma sig
approaching	närmar sig
approbate	NO TRANSLATION
approbation	bifall
appropriate	lämplig
appropriation	anslag
approval	godkännande
approve	godkänna
approved	godkänd
approvement	godkännande
approving	godkännande
approximate	ungefärlig
approximately	ungefär
approximating	approximerande
approximation	approximation
appurtenances	appurtenances
apricot	aprikos
apron	förkläde
apt	benägen
aptitude	begåvning
aqua	aqua
aquamarine	akvamarin
aquarium	akvarium
aquatic	vatten-
aqueduct	akvedukt
aqueous	vattenhaltig
arable	odlingsbar
arbiter	arbiter
arbitrary	godtycklig
arbitrate	medla
arbitration	skiljedom
arbitrator	medlare
arbor	berså
arc	båge
arcade	arkad
arcane	hemlig
arch	båge
archaeological	arkeologisk
archaeologist	arkeolog
archaeology	arkeologi
archaic	arkaisk
archangel	ärke
archbishop	ärkebiskop
archdiocese	ärkestift
archduke	archduke
arched	välvd
archer	bågskytt
archery	bågskytte
archetype	arketyp
archipelago	skärgård
architect	arkitekt
architectural	arkitektonisk
architecture	arkitektur
archive	arkiv
arctic	arktisk
ardent	ivrig
ardor	glöd
arduous	mödosam
area	område
arena	arena
areola	vårtgården
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumentera
argument	argument
argumentation	argumentation
argumentative	argumenterande
arguments	argument
arid	torr
arise	stiga upp
aristocracy	aristokrati
aristocrat	aristokrat
aristocratic	aristokratisk
arithmetic	aritmetisk
ark	ark
arm	ärm
armada	armada
armament	beväpning
armaments	rustningar
armature	armatur
armchair	fåtölj
armed	väpnad
armor	rustning
armored	armerad
armory	arsenal
armpit	armhåla
arms	vapen
army	armén
aroma	arom
aromatherapy	aromaterapi
arousal	upphetsning
arouse	väcka
aroused	väckte
arraignment	arraignment
arrange	ordna
arranged	anordnad
arrangement	arrangemang
array	array
arrears	efterskott
arrest	arrestera
arrhythmia	arytmi
arrival	ankomst
arrive	anlända
arrogance	arrogans
arrogant	arrogant
arrow	pil
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenik
arson	anlagd brand
arsonist	pyroman
art	konst
arterial	arteriell
artery	artär
artful	listig
arthritis	artrit
arthropod	artropod
artichoke	kronärtskocka
article	artikel
articles	artiklar
articulate	artikulera
articulation	artikulation
artifact	artefakt
artifice	påhitt
artificial	artificiell
artillery	artilleri
artisan	hantverkare
artist	konstnär
artiste	NO TRANSLATION
artistic	konstnärlig
artistry	artisteri
artists	artister
artwork	konstverk
arty	konstnärlig
asap	så fort som möjligt
asbestos	asbest
ascend	stiga
ascendancy	dominans
ascendant	uppstigande
ascending	stigande
ascension	uppstigning
ascent	uppstigning
ascertain	fastställa
ascertained	fastställas
ascetic	asket
ash	aska
ashamed	skamsen
ashes	aska
ashtray	askkopp
asinine	asinine
ask	fråga
asleeep	NO TRANSLATION
asleep	sovande
asp	asp
asparagus	sparris
aspartame	aspartam
aspect	aspekt
aspects	aspekter
aspen	asp-
asphalt	asfalt
asphyxia	kvävning
asphyxiation	kvävning
aspiration	strävan
aspire	sträva
aspirin	aspirin
aspiring	blivande
ass	röv
assail	angripa
assailant	angripare
assassin	mördare
assassinate	mörda
assassination	lönnmord
assault	överfall
assay	analysera
assemblage	samling
assemble	montera
assembled	sammansatta
assembly	hopsättning
assemblyman	Assemblyman
assent	samtycke
assert	hävda
asserting	hävda
assertion	påstående
assertive	bestämd
assess	bedöma
assessment	bedömning
assessor	assessor
asset	tillgång
assets	tillgångar
asshole	idiot
assign	tilldela
assignee	sökande
assignment	uppdrag
assimilate	assimilera
assimilation	assimilering
assist	hjälpa
assistance	bistånd
assistant	assistent
associate	associera
association	förening
assorted	blandad
assortment	sortiment
assuage	mildra
assume	antar
assumed	antas
assuming	under antagande
assumption	antagande
assurance	försäkran
assure	försäkra
assured	säker
assuredly	förvisso
asterisk	asterisk
asteroid	asteroid
asteroids	asteroider
asthma	astma
asthmatic	astmatiker
astigmatism	astigmatism
astonish	förvåna
astonished	förvånad
astonishing	förvånande
astonishingly	NO TRANSLATION
astonishment	förvåning
astound	slå med häpnad
astral	astral
astray	vilse
astringent	sammandragande
astrologer	astrolog
astrology	astrologi
astronaut	astronaut
astronomer	astronom
astronomical	astronomisk
astronomy	astronomi
astute	skarpsinnig
asunder	sönder
asylum	asyl
asymmetric	asymmetrisk
asymmetry	asymmetri
asymptotic	asymptotiska
atelier	atelier
atheism	ateism
atheist	ateist
atheistic	ateistisk
atherosclerosis	ateroskleros
athlete	idrottare
athletic	atletisk
athleticism	atletiska
athletics	friidrott
atlas	atlas
atmosphere	atmosfär
atmospheric	atmosfärisk
atoll	atoll
atom	atom
atomic	atom-
atone	sona
atonement	försoning
atpeace	tillfreds
atrium	atrium
atrocious	avskyvärda
atrocity	illdåd
atrophy	atrofi
attach	bifoga
attached	bifogad
attachment	bilaga
attack	ge sig på
attacker	angripare
attacking	attackera
attain	uppnå
attainable	uppnåelig
attainment	uppnåendet
attempt	försök
attempted	försökte
attend	delta i
attendance	närvaro
attendant	skötare
attention	uppmärksamhet
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	uppmärksam
attenuate	dämpa
attenuated	dämpas
attenuation	försvagning
attest	intyga
attestation	intyg
attic	vind
attire	klädsel
attitude	attityd
attorney	advokat
attract	locka till sig
attraction	attraktion
attractive	attraktiv
attractiveness	attraktivitet
attributable	hänför
attribute	attribut
attribution	attribution
attrition	nötning
auburn	kastanjebrunt
auction	auktion
auctioneer	auktionsförrättare
audacious	djärv
audacity	djärvhet
audible	hörbar
audience	publik
audio	audio
audit	granska
audition	audition
auditions	auditions
auditor	revisor
auditorium	hörsal
auditory	auditiv
aught	aught
augment	förstärka
augmentation	augmentation
august	augusti
aunt	moster
auntie	tant
aura	aura
aurora	aurora
auspices	beskydd
auspicious	gynnsam
austere	stram
austerity	åtstramning
authentic	äkta
authenticate	autentisera
authentication	autentisering
authenticity	äkthet
author	författare
authoritative	auktoritativ
authority	auktoritet
authorization	tillstånd
authorize	godkänna
authorized	auktoriserad
authorship	författarskap
autism	autism
autistic	autistisk
auto	bil
autobiographical	autobiographical
autobiography	biografi
autocorrect	Auto-korrigering
autocratic	enväldig
autograph	autograf
autographed	autographed
automated	automatiserad
automatic	automatisk
automobile	bil
automotive	bil-
autonomy	autonomi
autopilot	autopilot
autopsy	obduktion
autumn	höst
auxiliary	extra
avail	nytta
availability	tillgänglighet
available	tillgängliga
avalanche	lavin
avarice	girighet
avatar	avatar
avenge	hämnas
avenger	hämnare
avenging	hämnande
avenue	aveny
aver	NO TRANSLATION
average	genomsnitt
aversation	NO TRANSLATION
averse	obenägna
averseness	avoghet
aversion	motvilja
avert	avvärja
aviary	voljär
aviation	flyg
aviator	flygare
avid	ivrig
avocado	avokado
avoid	undvika
avoidance	undvikande
avoiding	undviker
await	vänta
awake	vaken
awaken	väcka
awakening	uppvaknande
award	tilldela
awards	utmärkelser
aware	medveten
awareness	medvetenhet
awe	NO TRANSLATION
awed	awed
awesome	grymt bra
awesomeness	häftighet
awestruck	awestruck
awful	förfärlig
awkward	besvärlig
awkwardness	pinsamhet
awning	markis
awry	på sned
axe	yxa
axial	axial
axiom	axiom
axiomatic	axiomatisk
axis	axel
axle	axel
ay	ay
aye	aye
azimuth	azimut
azure	azurblå
babble	babbel
babbling	porlande
babe	brud
baboon	babian
baby	bebis
babysit	sitta barnvakt
babysitter	barnvakt
baccalaureate	studentexamen
baccarat	baccarat
bachelor	ungkarl
bachelorette	bachelorette
back	tillbaka
backboard	ryggstöd
backbone	ryggrad
backdoor	bakdörr
backdrop	bakgrund
backer	hjälpare
backfire	baktändning
backgammon	backgammon
background	bakgrund
backhand	backhand
backhoe	traktor
backoff	backoff
backpack	ryggsäck
backpacker	ryggsäcks
backroom	kulisserna
backseat	baksätet
backside	baksida
backtrack	backtrack
backup	säkerhetskopiering
backward	bakåt
backwardness	bliv
backwards	bakåt
backwater	bakvatten
backwoods	obygd
backyard	bakgård
bacon	bacon
bacteria	bakterie
bacterial	bakteriell
bacterium	bakterie
bad	dålig
badass	tuffing
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	bricka
badger	grävling
badhabit	NO TRANSLATION
badly	dåligt
badness	dålighet
baffle	trotsa
baffled	snopen
bag	väska
bagel	bagel
baggage	bagage
baggie	baggie
baggy	opressade byxor
bagman	bagman
bagpipes	säckpipa
bail	borgen
bailiff	fogde
bait	bete
bake	baka
bakery	bageri
baking	bakning
bal	NO TRANSLATION
balance	balans
balanced	balanserad
balcony	balkong
bald	skallig
balding	skallighet
baldy	baldy
bale	bal
balk	balk
ball	boll
ballad	ballad
ballast	ballast
ballerina	ballerina
ballet	balett
ballgame	bollspel
ballistic	ballistisk
ballistics	ballistik
balloon	ballong
ballot	valsedel
ballpark	ballpark
ballplayer	basebollspelare
ballpoint	kulpenna
ballroom	balsal
ballsy	ballsy
balm	balsam
balmy	ljumma
balsam	balsam
balsamic	balsamisk
bam	bam
bamboo	bambu
ban	NO TRANSLATION
banana	banan
band	band
bandage	bandage
bandanna	bandana
bandit	bandit
bandstand	estrad
bandwagon	tåget
bandwidth	bandbredd
bane	fördärv
bang	smäll
banger	skorv
banish	förvisa
banished	förvisat
banishment	förvisning
banister	ledstång
banjo	banjo
bank	Bank
banker	bankman
banking	bank
bankroll	sedelbunt
bankrupt	bankrutt
bankruptcy	konkurs
banner	baner
banquet	bankett
banshee	banshee
banter	skämt
banzai	NO TRANSLATION
baptism	dop
baptismal	dop-
baptize	döpa
bar	bar
barb	hulling
barbarian	barbar
barbaric	barba
barbarism	barbari
barbecue	utegrill
barbed	hullingförsedda
barber	barberare
barbershop	frisör
barbie doll	Barbie docka
bard	bard
bare	bar
bareback	barbacka
barefoot	barfota
barely	nätt och jämnt
barf	barf
bargain	förhandla
bargaining	förhandlingar
barge	pråm
baritone	baryton
barium	barium
bark	bark
barkeep	barkeep
barks	bark
barley	korn
barmaid	bartender
barman	bartender
barn	ladugård
barnacle	långhals
barney	gräl
barnyard	barnyard
barometer	barometer
baron	baron
baroness	baronessa
baroque	barock
barrack	kasern
barracuda	barracuda
barrage	spärreld
barred	barred
barrel	tunna
barren	karg
barricade	barrikad
barrier	barriär
barring	barring
barrister	advokat
barroom	barroom
barrow	kärra
bartender	bartender
barter	byteshandel
base	bas
baseball	baseboll
baseball bat	basebollträ
baseboard	Baseboard
baseless	grundlös
baseline	baslinje
baseman	baseman
basement	källare
bases	baser
bash	våldsamt slag
bashful	försagd
basic	grundläggande
basics	grunderna
basil	basilika
basilica	basilika
basin	handfat
basis	grund
bask	sola sig
basket	korg
basketball	basketboll
bass	bas
bass guitar	bas gitarr
basso	NO TRANSLATION
bassoon	fagott
bastard	bastard
bastarding	bastarding
bastards	jävlarna
bastion	bastion
bat	fladdermus
batch	sats
batching	dosering
bate	NO TRANSLATION
bath	bad
bathe	bada
bathhouse	badhus
bathing	badning
bathrobe	badrock
bathroom	badrum
bathtub	badkar
bathymetry	batymetri
baton	batong
battalion	bataljon
batter	smet
battered	slagna
battering	misshandel
battery	batteri
battle	slåss
battled	kämpat
battlefield	slagfält
battleground	slagfält
battlements	tinnar
battleship	slagskepp
batty	batty
bauble	struntsak
bawdy	bawdy
bawl	skråla
bay	bukt
bayonet	bajonett
bayou	bayou
bazaar	basar
bazooka	bazooka
bday	födelsedag
be	vara
beach	strand
beaches	stränder
beacon	fyr
bead	pärla
beading	beading
beads	pärlor
beady	beady
beagle	beagle
beak	näbb
beaker	bägare
beam	stråle
beaming	strålande
bean	böna
beanbag	bönpåse
beanie	mössa
bear	Björn
bearable	uthärdlig
beard	skägg
bearded	skäggig
bearer	bärare
bearing	lager
bearings	kullager
bearish	baisse
bearskin	björnskinn
beast	fä
beastly	djurisk
beat	slå
beaten	slagen
beater	visp
