Word	az
admirable	təəccüblü
admiral	admiral
admiralty	admiral
admiration	heyranlıq
admire	heyran
admired	heyran qaldı
admirer	pərəstişkar
admiring	heyranedici
admissibility	qəbuledilebilirlik
admissible	qəbul edilə bilən
admission	qəbul
admit	etiraf etmək
admittance	giriş hüququ
admitted	etiraf etdi
admitting	qəbul etmə
admixture	qarışıqlıq
admonition	xəbərdarlıq
ado	ado
adobe	adobe
adolescence	yeniyetmələr
adolescent	ergen
adopt	qəbul edir
adoption	qəbul edilməsi
adoptive	qəbul edən
adorable	sevimli
adoration	sədaqət
adore	həsrət edin
adoring	həsrət
adorn	bəzəkli
adornment	bəzək
adrenalin	adrenalin
adrenaline	adrenalin
adrift	adrift
adult	böyüklər
adulterated	ittiham etdi
adulterer	zinakar
adultery	zina
adulthood	yetkinlik
advance	avans
advanced	inkişaf etmiş
advancement	irəliləmə
advancing	inkişaf edir
advantage	üstünlük
advantageous	üstünlüklü
advent	gəlir
adventure	macəra
adventurer	macəraçı
adventures	sərgüzəştləri
adventurous	macəralı
adversary	düşmən
adverse	mənfi
adversity	zəlzələ
advertise	reklam edin
advertisement	reklam
advertising	reklam
adverts	reklamlar
advice	məsləhətdir
advisable	məsləhətdir
advise	məsləhətləşin
advised	tövsiyə etdi
advisement	məsləhətdir
adviser	məsləhətçi
advisor	məsləhətçi
advisory	məsləhətdir
advocacy	savadlılıq
advocate	müdafiəçi
aegis	aegis
aeration	havalandırma
aerial	hava
aerobics	aerobik
aerodrome	hava limanı
aerodynamic	aerodinamik
aerodynamics	aerodinamika
aeronautics	aeronavtika
aeroplane	təyyarə
aerospace	aerokosmik
aesthetic	estetik
aesthetics	estetikası
aetiology	aetiologiya
afar	uzaqdan
affable	xoşagəlməz
affair	işi
affect	təsir
affecting	təsir edir
affection	sevgi
affectionate	şəfqətli
affections	sevgilər
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	bağlıdır
affiliation	mənsubiyyət
affinity	qohumluq
affirm	təsdiq et
affirmation	təsdiqləmə
affirmative	müsbətdir
affirmatively	əlbəttə
affix	affix
afflict	bədbəxtlik
afflicted	əziyyətli
affliction	zülm
affluence	zənginlik
affluent	zəngin
afford	ödəyirəm
affordable	əlverişli
affront	təhqir edir
affronted	affronted
afield	afield
afire	yanğın
afloat	dənizdə
afore	əvvəllər
aforementioned	yuxarıda qeyd etdilər
aforesaid	yuxarıda qeyd olunmuşdur
afraid	qorxuram
afresh	yenə
african	african
aft	aft
afterlife	sonra həyat
aftermath	sonra
afternoon	günortadan sonra
aftershave	aftershave
aftertaste	sonralar
afterthought	Sonradan
aga	NO TRANSLATION
agape	agape
agate	agate
age	yaşı
aged	yaşlılar
agency	agentliyi
agenda	gündəm
agent	agent
agglomeration	aqlomerasiya
aggravate	ağırlaşdıracaq
aggravated	ağırlaşdı
aggravates	ağırlaşır
aggravating	ağırlaşdıran
aggravation	ağırlaşması
aggregate	məcmu
aggregation	birləşmə
aggresive	NO TRANSLATION
aggression	təcavüzkarlıq
aggressive	təcavüzkar
aggressively	aqressivdir
aggressiveness	təcavüzkarlıq
aggressor	təcavüzkar
agh	ağ
aghast	dəhşət
aghhh	NO TRANSLATION
agile	çevik
agility	çeviklik
aging	yaşlanma
agitate	təşviq edir
agitated	həyəcanlı
agitation	təşviqat
aglow	həvəs
agnostic	agnostik
ago	əvvəllər
agonizing	agonizing
agony	aclıq
agoraphobia	agorafobi
agree	razılaşmaq
agreeable	xoşagəlməz
agreed	razılaşdı
agreeing	razılaşdı
agreement	razılaşma
agressive	NO TRANSLATION
agricultural	kənd təsərrüfatı
agriculture	Kənd təsərrüfatı
aground	quruya
agua	NO TRANSLATION
ahead	Öncə
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	yardım
aide	köməkçi
aiding	kömək edir
aids	alətlər
ail	ail
ailing	xəstəlik
ailment	xəstəlik
aim	məqsədi
aimless	məqsədsiz
air	hava
airbag	hava yastığı
airborne	havadan
aircraft	təyyarə
aircraft carrier	təyyarə gəmisi
airfield	hava limanı
airhead	hava kəməri
airlift	hava təyyarəsi
airline	aviaşirkət
airliner	təyyarəsi
airlock	airlock
airman	aviaşirkəti
airplane	təyyarə
airport	hava limanı
airs	havalar
airship	dirijorluq
airspace	hava sahəsi
airspeed	airspeed
airstrip	havada
airtight	hava sızdırmazlığı
airway	hava yolu
aisle	koridorda
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	yaxın
alabaster	alabaster
alarm	həyəcan
alarm clock	Zəngli saat
alarmed	həyəcanlandı
alarming	həyəcan verici
alas	Əfsuslar
alb	NO TRANSLATION
albatross	albatros
albino	albino
album	albom
alchemy	simya
alcohol	spirt
alcoholic	spirtli
alcoholism	alkoqolizm
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	xəbərdarlıq
alertness	həssaslıq
alerts	siqnallar
alfalfa	yonca
algebra	cəbr
algebraic	cəbr
algorithm	alqoritmi
alias	alias
alibi	alibi
alien	yad
alienate	yabancılaşmaq
alienated	yabancılaşmışdır
alienation	yabancılaşma
alight	alight
align	align
aligned	hündürlüyü
alignment	hizalanma
alike	eyni
alimentation	NO TRANSLATION
alimony	aliment
aliquot	alikot
alive	diri
alkali	alkali
alkaloids	alkaloidlər
allay	Allay
allegation	iddiası
allege	iddia
alleged	iddia etdi
allegiance	sədaqət
allegorical	allegorical
allegory	allegory
allegro	allegro
allergic	allergik
allergy	allergiya
alleviate	yüngülləşdirmək
alleviation	yüngülləşdirmə
alley	xiyaban
alleyway	alleyway
alliance	ittifaq
allied	müttəfiq
alligator	alligator
allocate	ayırmaq
allocation	ayırma
allot	ayırın
allotment	ayırma
allow	icazə verin
allowable	icazə verilə bilər
allowance	müavinət
allowed	icazə verildi
alloy	ərinti
allsmiles	NO TRANSLATION
allure	cazibə
alluring	cəlbedici
allusion	alqışlar
alluvial	allüvial
ally	müttəfiq
almanac	almanac
almighty	qüdrətli
almond	badam
aloft	aloft
aloha	aloha
alone	tək başına
alongside	yanaşı
aloof	aloof
aloud	səsləndi
alpha	alfa
alphabet	əlifba
alphabetical	əlifba sırası
alpine	alpin
alreadyyyyy	NO TRANSLATION
altar	qurbangah
altar boy	altar oğlanı
alter	dəyişdirmək
alteration	dəyişiklik
altercation	altercation
altered	dəyişdirildi
alternate	alternativ
alternating	alternativ
alternative	alternativ
altimeter	altimetre
altitude	hündürlük
alto	alto
altogether	tamamilə
aluminum	alüminium
alumnus	məzunu
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	birləşmə
amaretto	amaretto
amass	amass
amateur	həvəskar
amaze	təəccübləndirmək
amazed	təəccübləndi
amazedness	heyranlıq
amazement	təəccübləndim
amazing	inanılmaz
amazingly	qəribədir
ambassador	səfir
amber	kəhrəba
ambience	mühit
ambient	mühit
ambiguity	qeyri-müəyyənlik
ambiguous	qeyri-müəyyən
ambit	ambit
ambition	həvəs
ambitious	iddialı
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulans
ambush	pusqu
ameliorate	yaxşılaşdırmaq
amen	amen
amenable	uyğun ola bilər
amend	dəyişdirin
amendment	düzəliş
amends	düzəldir
amenity	rahatlıq
amethyst	ametist
amiable	sevindirici
amicable	dostluq
amid	arasında
amidst	ortada
amino	amin
ammo	amma
ammonia	ammonyak
ammonium	ammonium
ammunition	müharibə
amnesia	amneziya
amnesty	amnistiya
amorous	hörmətli
amorphous	amorf
amortization	amortizasiya
amount	məbləğ
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetaminlər
amphibian	amfibi
amphibious	amfibi
amphitheater	amfiteatr
ample	geniş
amplification	amplifikasiya
amplify	gücləndirin
amplitude	amplituda
amply	kifayətdir
amputate	amputasiya
amputation	amputasiya
amuck	amuk
amulet	amulet
amuse	əylənin
amused	əyləndi
amusement	əyləncə
amusing	əyləncəli
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	anesteziya
anaesthetic	anestezik
anagram	anagram
anal	anal
analgesic	analjezik
analogous	analoji
analogue	analoq
analogy	analoji
analysis	analiz
analyst	analitik
analytic	analitik
analytical	analitik
analyze	analiz et
analyzer	analizator
anaphylactic	anafilaktik
anarchism	anarxizm
anarchist	anarxist
anarchy	anarxiya
anastomosis	anastomoz
anathema	anathema
anatomic	anatomik
anatomy	anatomiya
ancestor	ata
ancestral	ata-baba
ancestry	atalar
anchor	çəngəl
anchorage	ankraj
ancient	qədim
ancillary	köməkçi
androgen	androgen
android	Android
anecdote	anekdot
anemia	anemiya
anemic	anemiya
anemone	anemone
anesthesia	anesteziya
anesthesiologist	anestezioloq
anesthetic	anestezik
aneurysm	anevrizma
anew	yenə
angel	mələk
angelic	mələk
anger	hirs
angered	qəzəbləndi
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	anjiyografi
angle	açı
angling	balıqçılıq
angora	angora
angriest	qəzəbləndi
angry	qəzəbləndi
angrytweet	NO TRANSLATION
angst	qəzəbləndi
anguish	qəzəblənmə
anguished	qəzəbləndi
angular	buruq
anhydrous	susuz
animal	heyvan
animate	animasiya
animated	animasiya
animation	animasiya
animosity	hüsumət
animus	animus
ankle	ankle
anklet	həkk
annals	annals
annex	Əlavə
annexation	anneksiya
annexe	NO TRANSLATION
annihilate	məhv etmək
annihilated	məhv edildi
annihilation	məhv
anniversary	ildönümü
annotate	əlavə et
annotation	annotasiya
announce	elan et
announcement	elan
announcer	spikeri
annoy	annoy
annoyance	narahatlıq
annoyed	rahatsız edici
annoyin	NO TRANSLATION
annoying	zəhlətökən
annoys	narahat edir
annual	illik
annuity	annuitet
annul	ləğv edildi
annular	hörmətli
annulment	ləğv
annulus	anulus
anointed	məsh olunmuşdu
anointing	anointing
anomalous	anormal
anomaly	anomaliya
anon	anon
anonymity	anonimlik
anonymous	anonim
anorexic	anoreksiya
answer	cavab
answerable	cavabdehdir
answering	cavab verin
ant	qarışqa
antagonism	antagonizm
antagonist	antagonist
antagonistic	antaqonist
antagonize	qarşıdurma
ante	NO TRANSLATION
antecedent	əvvəlcədən
antelope	antilop
antenna	antenna
anterior	anterior
anthem	marşrut
anthill	əfsanə
anthology	antologiya
anthrax	Şarbon
anthropological	antropoloji
anthropologist	antropolog
anthropology	antropologiya
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotik
antibiotics	antibiotiklər
antichrist	Dəccal
anticipate	gözləyin
anticipation	gözləmə
anticipatory	anticipatory
antics	antics
antidote	antidot
antifungal	antifungal
antigravity	antigravitasiya
antimony	antimon
antipathy	antipatiya
antiquarian	antikvar
antiquated	köhnə
antique	antik
antiques	antikalar
antiquity	qədimdir
antiseptic	antiseptik
antisocial	antisosyal
antithesis	antithesis
antithetical	əksinə
antiviral	antiviral
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	narahatlıq
anxietyattack	NO TRANSLATION
anxious	narahatdır
anxiousness	narahatlıq
anytime	istənilən vaxt
aorta	aorta
aortic	aortik
apace	sürət
apache	apache
apartment	mənzil
apartments	mənzillər
apathetic	apathetic
apathy	apatiya
ape	maymun
aperture	diyafram
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	bir parça
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	üzr diləməyən
apologist	üzr istədi
apologize	üzr istəyirik
apology	üzr
apostasy	mürtədlik
apostate	mürtəd
apostle	həvari
apostolic	apostil
apostrophe	travma
apothecary	apothecary
appalled	həyəcanlandı
appalling	dəhşətli
apparatus	aparat
apparel	geyim
apparent	aydın
apparently	Göründüyü kimi
apparition	görünüş
appeal	müraciət et
appear	görünür
appearance	görünüşü
appease	yatmaq
appellant	appellant
append	əlavə edin
appendage	əlavə edir
appendectomy	appendektomiya
appendicitis	apandisit
appendix	Əlavə
appetite	iştaha
appetizer	meze
appetizing	iştahaaçan
applaud	alqışlamaq
applause	alqışlar
apple	alma
apple juice	alma şirəsi
applejack	applejack
applesauce	applesauce
appliance	qurğu
appliances	cihazları
applicability	tətbiqetmə
applicable	tətbiq oluna bilər
applicant	ərizəçi
application	tətbiqi
apply	müraciət edin
appoint	təyin etmək
appointment	təyinat
appointments	təyinatlar
apportion	bölüşdürmə
apportionment	bölüşdürmə
appraisal	qiymətləndirmə
appraise	qiymətləndirmə
appreciable	nəzərəçarpacaqdır
appreciate	təşəkkür edirəm
appreciated	qiymətləndirdi
appreciates	qiymətləndirir
appreciation	qiymətləndirmə
appreciative	təşəkkür edirəm
apprehend	tutmaq
apprehension	təhlükə
apprehensive	narahat
apprentice	çırak
apprenticeship	şagirdlik
approach	yanaşma
approaching	yaxınlaşır
approbate	NO TRANSLATION
approbation	imtahan
appropriate	uyğun
appropriation	Ödəniş
approval	təsdiqləyin
approve	təsdiq et
approved	təsdiqləndi
approvement	təsdiqləmə
approving	təsdiqləmə
approximate	təxminən
approximately	təxminən
approximating	təxminən
approximation	uyğunlaşma
appurtenances	alqışlar
apricot	ərik
apron	önlük
apt	tutarlı
aptitude	qabiliyyət
aqua	aqua
aquamarine	aquamarine
aquarium	akvarium
aquatic	suvarma
aqueduct	aqueduct
aqueous	sulu
arable	əkilir
arbiter	arbitr
arbitrary	kefi
arbitrate	arbitr
arbitration	Arbitraj
arbitrator	arbitr
arbor	arbor
arc	arc
arcade	arcade
arcane	gizli
arch	kemer
archaeological	arxeoloji
archaeologist	arxeoloq
archaeology	arxeologiya
archaic	arxaik
archangel	başçı
archbishop	başpiskopos
archdiocese	archdiocese
archduke	archduke
arched	kemerli
archer	oxçu
archery	oxatma
archetype	archetype
archipelago	arxipelaq
architect	memar
architectural	memarlıq
architecture	memarlıq
archive	arxivi
arctic	arctic
ardent	ateşli
ardor	ardor
arduous	çətin
area	sahəsi
arena	arena
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	arh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	iddia edirlər
argument	arqument
argumentation	arqument
argumentative	mübahisəli
arguments	arqumentlər
arid	qurudulmuş
arise	yaranır
aristocracy	aristokratiya
aristocrat	aristokrat
aristocratic	aristokratik
arithmetic	aritmetik
ark	ark
arm	qolu
armada	armada
armament	silahlanma
armaments	silahlar
armature	armatur
armchair	koltuk
armed	silahlı
armor	zireh
armored	zirehli
armory	cəbbəxana
armpit	əlcək
arms	silah
army	ordusu
aroma	aroma
aromatherapy	aromaterapiya
arousal	arousal
arouse	oyanmaq
aroused	həyəcanlandı
arraignment	arraignment
arrange	təşkil edir
arranged	təşkil edildi
arrangement	tənzimləmə
array	array
arrears	borclar
arrest	həbs
arrhythmia	aritmiya
arrival	gəliş
arrive	gəlmək
arrogance	təkəbbür
arrogant	təkəbbürlü
arrow	arrow
arsehole	arsenal
arseholes	arseholes
arsenal	Arsenal
arsenic	arsenik
arson	kundaklama
arsonist	arsonist
art	incəsənət
arterial	arteriya
artery	arteriya
artful	hörmətli
arthritis	artrit
arthropod	artropod
artichoke	artishok
article	məqalə
articles	məqalələr
articulate	ifadə
articulation	articulation
artifact	artefakt
artifice	zinət əşyaları
artificial	süni
artillery	artilleriya
artisan	sənətkar
artist	rəssam
artiste	NO TRANSLATION
artistic	bədii
artistry	sənətkarlıq
artists	rəssamlar
artwork	sənət əsəri
arty	arty
asap	asap
asbestos	asbest
ascend	çıxın
ascendancy	üstünlük
ascendant	yüksəlir
ascending	artan
ascension	yüksəlmə
ascent	yüksəliş
ascertain	müəyyənləşdirin
ascertained	müəyyən oldu
ascetic	ascetic
ash	kül
ashamed	utanır
ashes	küllər
ashtray	küllük
asinine	asinine
ask	soruşun
asleeep	NO TRANSLATION
asleep	yuxuda
asp	asp
asparagus	kuşkonmaz
aspartame	aspartam
aspect	aspekti
aspects	aspektləri
aspen	aspen
asphalt	asfalt
asphyxia	asfiksiya
asphyxiation	asfiksiya
aspiration	aspirasiya
aspire	talib
aspirin	aspirin
aspiring	istəyən
ass	göt
assail	hücum
assailant	hücumçu
assassin	qatil
assassinate	sui-qəsd
assassination	sui-qəsd
assault	basqın
assay	sınaq
assemblage	yığma
assemble	yığın
assembled	yığılmış
assembly	yığıncaq
assemblyman	montajçı
assent	razılıq
assert	iddia et
asserting	iddia edirlər
assertion	iddia
assertive	iddialı
assess	qiymətləndirmək
assessment	qiymətləndirilməsi
assessor	qiymətləndirici
asset	aktiv
assets	aktivlər
asshole	göt
assign	atayın
assignee	Təqaüdçü
assignment	tapşırıq
assimilate	asimilasiya
assimilation	assimilyasiya
assist	kömək edir
assistance	yardım
assistant	köməkçi
associate	birləşmək
association	birləşmə
assorted	müxtəlifdir
assortment	çeşid
assuage	qaçırmaq
assume	qəbul et
assumed	ehtiyatlı olun
assuming	fərz etmə
assumption	fərziyyə
assurance	güvən
assure	əmin olun
assured	əmin olun
assuredly	mütləqdir
asterisk	asterisk
asteroid	asteroid
asteroids	asteroidlər
asthma	astma
asthmatic	astma
astigmatism	astiqmatizm
astonish	təəccüblü
astonished	təəccübləndi
astonishing	heyranedici
astonishingly	NO TRANSLATION
astonishment	təəccüblə
astound	şaşırtıcı
astral	astral
astray	yoldan çıxartmaq
astringent	bərkidici
astrologer	astrolog
astrology	astroloji
astronaut	astronavt
astronomer	astronom
astronomical	astronomik
astronomy	astronomiya
astute	ağıllı
asunder	asılıdır
asylum	sığınacaq
asymmetric	asimmetrik
asymmetry	asimmetriya
asymptotic	asimptotik
atelier	Atölye
atheism	Ateizm
atheist	ateist
atheistic	ateist
atherosclerosis	ateroskleroz
athlete	atlet
athletic	atletik
athleticism	atletizm
athletics	atletika
atlas	atlas
atmosphere	atmosfer
atmospheric	atmosferik
atoll	atoll
atom	atom
atomic	atom
atone	atone
atonement	kədər
atpeace	atpeace
atrium	atrium
atrocious	şiddətli
atrocity	zülm
atrophy	atrofi
attach	əlavə edin
attached	əlavə olunur
attachment	əlavə et
attack	hücum
attacker	təcavüzkar
attacking	hücum
attain	nail olmaq
attainable	əldə edilə bilən
attainment	nailiyyət
attempt	cəhd
attempted	cəhd etdi
attend	iştirak edin
attendance	iştirak edir
attendant	xidmətçi
attention	diqqət
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	diqqətlə
attenuate	zayıflatmaq
attenuated	zəiflədi
attenuation	zəifləmə
attest	təsdiq edir
attestation	attestasiya
attic	çardaq
attire	geyim
attitude	rəftar
attorney	müvəkkil
attract	cəlb edir
attraction	cazibə
attractive	cazibədar
attractiveness	cazibədarlıq
attributable	aid edilə bilən
attribute	atributu
attribution	atributu
attrition	yırtıcılıq
auburn	auburn
auction	hərrac
auctioneer	auksioner
audacious	cəsarətli
audacity	audacity
audible	səsli
audience	tamaşaçı
audio	audio
audit	audit
audition	audition
auditions	səslər
auditor	auditor
auditorium	auditoriya
auditory	eşitmə
aught	bir şey
augment	artırmaq
augmentation	artırma
august	avqust
aunt	xala
auntie	xala
aura	aura
aurora	aurora
auspices	hörmətli
auspicious	xeyirli
austere	sükunət
austerity	kəmər sıxma
authentic	orijinal
authenticate	kimlik doğrulaması
authentication	identifikasiyası
authenticity	etibarlılıq
author	müəllif
authoritative	nüfuzlu
authority	hakimiyyət
authorization	icazə
authorize	icazə verin
authorized	səlahiyyətli
authorship	müəlliflik
autism	autizm
autistic	otistik
auto	avtomatik
autobiographical	autobiographical
autobiography	autobiography
autocorrect	autokorrect
autocratic	otokratik
autograph	avtoqraf
autographed	imzalanmışdır
automated	avtomatlaşdırılmışdır
automatic	avtomatik
automobile	avtomobil
automotive	avtomobil
autonomy	muxtariyyət
autopilot	avtopilot
autopsy	yarılma
autumn	payız
auxiliary	köməkçi
avail	boşuna
availability	mövcudluğu
available	mövcuddur
avalanche	çığın
avarice	avarice
avatar	avatar
avenge	intiqam almaq
avenger	avenger
avenging	avantaj
avenue	prospekt
aver	NO TRANSLATION
average	ortalama
aversation	aversasiya
averse	imtina edir
averseness	dəhşət
aversion	nifrət
avert	önləyin
aviary	aviary
aviation	aviasiya
aviator	aviator
avid	avid
avocado	avokado
avoid	çəkinin
avoidance	qaçmaq
avoiding	qaçmaq
await	gözləmək
awake	oyan
awaken	oyanmaq
awakening	uyanma
award	mükafat
awards	mükafatlar
aware	xəbərdarlıq
awareness	fərqindəlik
awe	NO TRANSLATION
awed	awed
awesome	zəhmli
awesomeness	awesomeness
awestruck	axtardı
awful	dəhşətli
awkward	həvəssiz
awkwardness	həssaslıq
awning	tent
awry	tərəddüd
axe	balta
axial	axial
axiom	axiom
axiomatic	axiomatik
axis	eksen
axle	aks
ay	ay
aye	aye
azimuth	azimut
azure	Azure
babble	budala
babbling	boğulma
babe	gözəl qız
baboon	baboon
baby	körpə
babysit	babysit
babysitter	babysitter
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	bakalavr
bachelorette	bachelorette
back	geri
backboard	arxa planda
backbone	omba
backdoor	arxa qapı
backdrop	fonunda
backer	köməkçi
backfire	geri çəkilmək
backgammon	tavla
background	fon
backhand	backhand
backhoe	iş maşını
backoff	geri çəkilin
backpack	sırt çantası
backpacker	backpacker
backroom	arxa hissə
backseat	arxa arxa
backside	arxa tərəf
backtrack	backtrack
backup	yedekləyin
backward	geri
backwardness	geriyə
backwards	geriyə
backwater	arxa su
backwoods	arxa pəncərələr
backyard	arxa bağ
bacon	bacon
bacteria	bakteriya
bacterial	bakteriya
bacterium	bakteriya
bad	pis
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	rozet
badger	porsuq
badhabit	NO TRANSLATION
badly	pis
badness	pislik
baffle	baffle
baffled	çaşmış
bag	çanta
bagel	bagel
baggage	baqaj
baggie	baggie
baggy	çılpaq
bagman	bagman
bagpipes	bagpipes
bail	girov
bailiff	icra məmuru
bait	yemi
bake	yandırmaq
bakery	çörək
baking	çörəkçilik
bal	NO TRANSLATION
balance	balans
balanced	balanslıdır
balcony	balkon
bald	bald
balding	balding
baldy	baldı
bale	balya
balk	balk
ball	top
ballad	ballad
ballast	balast
ballerina	balerina
ballet	balet
ballgame	Top oyunu
ballistic	ballistik
ballistics	balistik
balloon	balon
ballot	seçki bülleteni
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	balet salonu
ballsy	balls
balm	balzam
balmy	balzam
balsam	balzam
balsamic	balsamik
bam	bam
bamboo	bambuk
ban	NO TRANSLATION
banana	banan
band	qrup
bandage	bandaj
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandad
bandwagon	qrupu
bandwidth	bant
bane	bane
bang	bang
banger	banger
banish	çıxmaq
banished	əsir düşdü
banishment	sürgün
banister	qadağan
banjo	banjo
bank	bank
banker	bankir
banking	bankçılıq
