Word	am
abused	አላግባብ ጥቅም ላይ ውሏል
abusive	የሚበድል
abutment	ማቋረጫ
aby	NO TRANSLATION
abysmal	አተላ
abyss	ጥልቁ
academic	አካዴሚ
academy	አካዴሚ
accede	የተቀበሉት
accelerant	ማስፋፊያ
accelerate	ፍጥነት
accelerated	ፍጥነት
acceleration	ፍጥነት
accelerator	ፍጥነት መጨመሪያ
accent	ዘዬ
accentuate	አጽንኦት
accept	ተቀበል
acceptable	ተቀባይነት ያለው
acceptance	ተቀባይነት
acceptances	ተቀባይነት
access	መዳረሻ
accessible	ሊደረስበት የሚችል
accession	መግባት
accessory	መለዋወጫ
accident	አደጋ
accidental	በድንገት
accidentally	በድንገት
acclaim	ማድነቅ
accolade	ሞገስ
accommodate	ማመቻቸት
accommodation	መኖሪያ ቤት
accompaniment	አጃቢ
accompany	ጋር አብሮ
accompanying	ጋር አብሮ
accomplice	ተባባሪ
accomplish	ተፈጸመ
accomplished	ተፈጽሟል
accomplishment	ስኬት
accord	ስምምነት
accordance	ተከተል
accordion	አኮርዲዮን
account	መለያ
accountability	ተጠያቂነት
accountable	ተጠያቂ
accountant	የሒሳብ ባለሙያ
accounting	ሂሳብ
accounts	መለያዎች
accredited	እውቅና አግኝቷል
accretion	ጭምር
accrue	ተጠናቋል
accueil	NO TRANSLATION
accumulate	አከማች
accumulation	ማጠራቀሚያ
accuracy	ትክክለኛነት
accurate	ትክክለኛ
accursed	የተረገመ
accusation	ክስ
accusative	ተፎካካሪ
accuse	ክስ
accused	ተከሳ
accuser	ተከሳሽ
accusing	በማስመሰል
accustomed	የተለመዱ
ace	ace
acetic	አሲሲክ
acetylene	ኤትክሮይኔን
ache	ሕመም
achieve	ማግኘት
achieved	ተስኗል
achievement	ስኬት
aching	ቁጡ
achy	ቁስል
acid	አሲድ
acidity	አሲድነት
acknowledge	እውቅና ስጥ
acknowledged	እውቅና ሰጥቷል
acknowledgement	እውቅና
acknowledgment	እውቅና
acme	አሚ
acne	ብጉር
acorn	አረንጓዴ
acoustic	አኮስቲክ
acoustics	አኮስቲክ
acquaint	ያውቁ
acquaintance	የምታውቀው
acquainted	ተረድቷል
acquiescence	የፍቃደኝነት ስሜት
acquire	ማግኘት
acquiring	በማግኘት ላይ
acquisition	ግኝት
acquisitions	ግኝቶች
acquit	ፍረድ
acquittal	ፍቃድ
acre	ኤኬራ
acreage	መሬቶች
acres	ኤክስ
acrobat	acrobat
acrylic	acrylic
act	ድርጊት
acting	ሥራውን
action	ድርጊት
action figure	የእርምጃ ምስል
actionable	ሊሰራ የሚችል
activate	አግብር
activation	ማግበር
active	ገባሪ
activist	አክቲቪስት
activity	እንቅስቃሴ
actor	ተዋናይ
actress	ተዋናይ
actual	በትክክል
actuality	ወቅታዊነት
actuary	ወኪል
acuity	አከባቢ
acumen	ትይዩ
acupuncture	አኩፓንቸር
acute	አጥንት
acutely	በጥንቃቄ
ad	ማስታወቂያ
adage	ምህረት
adamant	ጠንካራ
adapt	ማስተካከል
adaptable	ተስማሚ
adaptation	ማስተካከል
add	ይጨመር
added	ታክሏል
addendum	ተጨማሪ ጽሑፍ
adder	አስደንጋጭ
addict	ሱሰኛ
addicted	ሱሰኛ
addiction	ሱስ
addictive	ሱስ
addition	ተጨማሪ
additional	ተጨማሪ
additive	additive
address	አድራሻ
addressee	የተላከ
addresses	አድራሻዎች
adept	የተዋጣለት
adequacy	በቂነት
adequate	በቂ
adhere	ተከተል
adherence	መከበር
adherent	ተከተል
adhering	ተከታትሏል
adhesion	ማጣበቅ
adhesive	ማጣበቂያ
adieu	ጥሩ
adipose	አፖፖዝ
adjacency	ተጋላጭነት
adjacent	አጠገብ
adjective	ቀጠለ
adjoining	ተያያዥነት
adjourn	መዘግየት
adjournment	መዘግየት
adjudicate	ፍርዱ
adjudication	ክርክር
adjunct	ተያያዥ
adjust	ማስተካከል
adjuster	ተቆጣጣሪ
adjustment	ማስተካከያ
adjuvant	ፈሳሽ
admin	አስተዳዳሪ
administer	አስተዳድር
administration	አስተዳደር
administrative	አስተዳደራዊ
administrator	አስተዳዳሪ
admirable	የሚደነቅ
admiral	መሐመድ
admiralty	የአድሎ ነፋስ
admiration	አድናቆት
admire	አድናቆት
admired	የተደነቀ
admirer	አድናቂ
admiring	ማድነቅ
admissibility	ተቀባይነት
admissible	ተቀባይነት ያለው
admission	መግባት
admit	እቀበላለሁ
admittance	ተቀባይነትን
admitted	ገብቷል
admitting	መከበር
admixture	ድካም
admonition	ማሳሰቢያ
ado	ado
adobe	አዋቂ
adolescence	ጉርምስና
adolescent	ጎረምሳ
adopt	ያጸድቃል
adoption	ጉዲፈቻ
adoptive	አሳዳጊ
adorable	ደስ የሚሉ
adoration	አምልኮ
adore	አጥብቆ ይወዳል
adoring	ማመስገን
adorn	ማስጌጥ
adornment	ማጌጥ
adrenalin	አድሬናሊን
adrenaline	አድሬናሊን
adrift	ወደፊትም
adult	አዋቂ
adulterated	የተሽከረከሩ
adulterer	አመንዝራ
adultery	ምንዝር
adulthood	ጎልማሳ
advance	እድገት
advanced	የላቀ
advancement	እድገት
advancing	እድገት
advantage	ጥቅል
advantageous	ጠቃሚ
advent	የመጣ
adventure	ጀብድ
adventurer	የጀግንነት ሰው
adventures	ጀብዱዎች
adventurous	የጀብደኝነት
adversary	ጠላት
adverse	ተቃራኒ
adversity	መከራ
advertise	አስተዋውቅ
advertisement	ማስታወቂያ
advertising	ማስታወቂያ
adverts	ማስታወቂያዎች
advice	ምክር
advisable	ጥሩ ነው
advise	ምክር ይስጡ
advised	ይመከራል
advisement	አማካሪ
adviser	አማካሪ
advisor	አማካሪ
advisory	አማካሪ
advocacy	ጠበቃ
advocate	ጠበቃ
aegis	aegis
aeration	የአየር ሁኔታ
aerial	ከአየር ላይ
aerobics	ኤሮባክ
aerodrome	አየርዶሮ
aerodynamic	የአየር ማመንጫ
aerodynamics	የአየር ማመንጫ
aeronautics	አየር መንገድ
aeroplane	አውሮፕላን
aerospace	አየር ተሸካሚ
aesthetic	ውበት
aesthetics	ማራኪ
aetiology	ኤታዊ
afar	ሩቅ
affable	ሞገስ
affair	ጉዳይ
affect	ተፅእኖ
affecting	ተጽዕኖ ማሳደሩ
affection	ፍቅር
affectionate	አፍቃሪ
affections	ፍቅር
affiche	NO TRANSLATION
affidavit	ማመልከት
affiliated	የተያያዘ
affiliation	ትስስር
affinity	ዝምድና
affirm	አረጋግጡ
affirmation	ማረጋገጫ
affirmative	አዎንታዊ
affirmatively	በአስተማማኝ ሁኔታ
affix	ተከታትሏል
afflict	ተጎዳ
afflicted	ተጎድቷል
affliction	መከራ
affluence	ሀብታም
affluent	ሀብታም
afford	አቅም
affordable	ዋጋው ተመጣጣኝ ነው
affront	ማስፈራራት
affronted	ተጋድሞ
afield	ድንበር
afire	እሳት
afloat	ጎርፍ
afore	በፊት
aforementioned	ቀደም ብሎ
aforesaid	ቀደም ብሎ
afraid	መፍራት
afresh	ዳግመኛ
african	አፍሪካዊ
aft	ተስፍ
afterlife	ከሕይወት በኋላ
aftermath	አስደንጋጭ
afternoon	ከሰአት
aftershave	ከኋለኛ በኋላ
aftertaste	ከኋላቸው
afterthought	ካስገባ በኋላ
aga	NO TRANSLATION
agape	አጋፔ
agate	አላት
age	እድሜ
aged	አሮጌ
agency	ወኪል
agenda	አጀንዳ
agent	ወኪል
agglomeration	አስገዳጅነት
aggravate	ጠነሰ
aggravated	ተባብሷል
aggravates	እየባሰ ይሄዳል
aggravating	የሚያባብስ
aggravation	መጨመር
aggregate	ድምር
aggregation	ድብልቅ
aggresive	NO TRANSLATION
aggression	ጠበኝነት
aggressive	ጠበኛ
aggressively	በኃይል
aggressiveness	ግልፍተኝነት
aggressor	አጥቂ
agh	agh
aghast	በጣም አስደንጋጭ
aghhh	NO TRANSLATION
agile	ቀልጣፋ
agility	ተለዋዋጭነት
aging	እርጅና
agitate	ተነሣ
agitated	ተበሳጨ
agitation	አስፈሪነት
aglow	ድካም
agnostic	አግኖስቲክ
ago	በፊት
agonizing	አስጨናቂ
agony	ሥቃይ
agoraphobia	አፍራፎባቢያ
agree	ተስማማ
agreeable	ተስማሚ
agreed	ተስማምተዋል
agreeing	በመስማማት
agreement	ስምምነት
agressive	NO TRANSLATION
agricultural	ግብርና
agriculture	ግብርና
aground	ድንበር
agua	NO TRANSLATION
ahead	ወደፊት
ahhh	አሃህ
ahhhhhhhh	NO TRANSLATION
ahoy	አዮው
aid	እርዳታ
aide	እርዳታ
aiding	እርዳታ መስጠት
aids	እርዳታዎች
ail	ደቃ
ailing	ታማሚ
ailment	በሽታን
aim	ዓላማው
aimless	ማለቂያ የሌለው
air	አየር
airbag	ማቀፊያ
airborne	አየር ወለድ
aircraft	አውሮፕላን
aircraft carrier	የአውሮፕላን ተሸካሚ
airfield	የአየር ማረፊያ
airhead	አየር ወለድ
airlift	አውሮፕላን
airline	አየር መንገድ
airliner	አውሮፕላን
airlock	የጭንጭር
airman	አየር ማረፊያ
airplane	አውሮፕላን
airport	አየር ማረፊያ
airs	አየር
airship	የአየር ማረፊያ
airspace	የአየር መተላለፊያ
airspeed	አውሮፕኪን
airstrip	የአውሮፕላን ማረፊያ
airtight	አየር ንብረት
airway	የአየር መንገድ
aisle	መሀል
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	ተዛማጅ
alabaster	አልባስተር
alarm	ማንቂያ
alarm clock	ማንቂያ ደውል
alarmed	ተረብሾ ነበር
alarming	አስደንጋጭ
alas	እሰይ
alb	NO TRANSLATION
albatross	አልባትሮስ
albino	አልቢዮኖ
album	አልበም
alchemy	አርቲሞኒ
alcohol	አልኮል
alcoholic	የአልኮል
alcoholism	የአልኮል ሱሰኝነት
alcove	የአልኮል መጠጥ
alderman	alderman
ale	NO TRANSLATION
alert	ማስጠንቀቂያ
alertness	ጥንቃቄ
alerts	ማንቂያዎች
alfalfa	አልፋልፋ
algebra	አልጀብራ
algebraic	አልጀብራ
algorithm	ስልተ ቀመር
alias	ቅጽል ስም
alibi	ሕገ-ወጥነት
alien	እንግዳ
alienate	ተገለለ
alienated	ተገልጧል
alienation	ዝውውር
alight	ድንገት
align	አሰልፍ
aligned	አሰልፍ
alignment	አሰላለፍ
alike	ልክ ነህ
alimentation	NO TRANSLATION
alimony	ገንዘብ አያያዝ
aliquot	aliquot
alive	በሕይወት ያለ
alkali	አልካሊያ
alkaloids	አልኮሎላይድስ
allay	ፍፁም
allegation	ክስ
allege	አለቅ አለ
alleged	ተከሰሰ
allegiance	ታማኝነት
allegorical	ተምሳሌታዊ
allegory	ተምሳሌት
allegro	አልጀግሮ
allergic	አለርጂ
allergy	አለርጂ
alleviate	ተጎዳ
alleviation	መቀነስ
alley	ዞረው
alleyway	መስቀለኛ መንገድ
alliance	ትብብር
allied	ተባባሪ
alligator	ሐይቅ
allocate	መድብ
allocation	ምደባ
allot	ወሰን
allotment	መከፋፈል
allow	ፍቀድ
allowable	ፍቃድ
allowance	ተቆራጭ
allowed	ተፈቅዷል
alloy	መቀመጫ
allsmiles	NO TRANSLATION
allure	ልምምድ
alluring	ማራኪ
allusion	ጠቃሽ
alluvial	የከብት ዝርያ
ally	ተባባሪ
almanac	አልማናክ
almighty	ሁሉን ቻይ
almond	አልማ
aloft	ከፍ ያለ
aloha	aloha
alone	ብቻ
alongside	እዚያው
aloof	ያለጠባቂ
aloud	ጮክ ብሎ
alpha	አልፋ
alphabet	ፊደል
alphabetical	በፊደል ተራ
alpine	አልፓይን
alreadyyyyy	NO TRANSLATION
altar	መሠዊያ
altar boy	መሠዊያ ልጅ
alter	ተለወጠ
alteration	ለውጥ
altercation	ውርወራ
altered	ተለወጠ
alternate	ተለዋጭ
alternating	ተለዋጭ
alternative	አማራጭ
altimeter	altimeter
altitude	ከፍታ
alto	alto
altogether	በሙሉ
aluminum	አልሙኒየም
alumnus	ባለ ስልኮች
alveolar	አልቫልቫል
alzheimers	NO TRANSLATION
amalgam	ፎልጋም
amalgamation	ድብልቅነት
amaretto	አሚራቶ
amass	አምሳ
amateur	ሞኒተር
amaze	ይደንቁ
amazed	ተገርሟል
amazedness	አስደንጋጭ
amazement	ተገርሜ
amazing	አስደናቂ
amazingly	የሚያስደንቅ
ambassador	አምባሳደር
amber	አምበር
ambience	አካባቢ
ambient	አካባቢ
ambiguity	አሻሚነት
ambiguous	አሻሚ
ambit	ምህዋር
ambition	ትልቅ ምኞት
ambitious	ምኞት
ambivalent	የዓላማው
ambrosia	ኤምሬዛያ
ambulance	አምቡላንስ
ambush	ድብደባ
ameliorate	ይበልጥ የተሻሉ
amen	አሜን
amenable	ሞገስ
amend	አስተካክል
amendment	ማስተካከያ
amends	ይሻሻላል
amenity	ምቾት
amethyst	አሜቲስት
amiable	አፍቃሪ
amicable	ሞቅ ያለ
amid	በድር መካከል
amidst	በድር መካከል
amino	አሚኖ
ammo	ammo
ammonia	አሞኒያ
ammonium	አሚዮኒየም
ammunition	ጥይቶች
amnesia	አምነስያ
amnesty	ምሕረት
amorous	ሞቅ ያለ
amorphous	አምሳለ
amortization	ገንዘብ መክፈል
amount	መጠን
amour	NO TRANSLATION
amp	amp
ampersand	እና
amphetamines	አምፖታሚን
amphibian	አምፊቢያን
amphibious	አጥልቷል
amphitheater	አምፊቲያትር
ample	በቂ
amplification	ማጉላት
amplify	ማጉላት
amplitude	መጠን
amply	ብዙ
amputate	አምጪው
amputation	መቁረጥ
amuck	አወቀ
amulet	ድራማ
amuse	ሞገስ
amused	ሞቅ ያለ
amusement	መዝናኛ
amusing	የሚያስደስት
ana	NO TRANSLATION
anaconda	አናኮንዳ
anaesthesia	ማደንዘዣ
anaesthetic	ማደንዘዣ
anagram	አንባቢ
anal	ህመም
analgesic	ማደንዘዣ
analogous	ተመሳሳይ
analogue	አስደንጋጭ
analogy	ምስያ
analysis	ትንታኔ
analyst	ተንታኝ
analytic	ትንታኔያዊ
analytical	መተንተኛ
analyze	አሰሳ
analyzer	ትንታኔ
anaphylactic	አናፌላስትክ
anarchism	ኢነርሲዝም
anarchist	ኢነርሲስት
anarchy	አረመኔ
anastomosis	አናስቲሞሲስ
anathema	አስነዋሪ
anatomic	አናቶሚ
anatomy	ስነ-ስብስብ
ancestor	ቅድመ አያት
ancestral	አባታዊ
ancestry	የዘር ሐረግ
anchor	መልህቅ
anchorage	መልሕቅ
ancient	ጥንታዊ
ancillary	ተፈላጊ
androgen	androgen
android	android
anecdote	ማንነት
anemia	የደም ማነስ
anemic	የደም ማነስ
anemone	anemone
anesthesia	ማደንዘዣ
anesthesiologist	የማደንዘዣ ሐኪም
anesthetic	ማደንዘዣ
aneurysm	ኢኒሪየም
anew	አዲስ
angel	መልአክ
angelic	መላዕክት
anger	ቁጣ
angered	ተቆጣ
angermanagement	NO TRANSLATION
angina	ቁንጥና
angiogram	ማዕዘን
angiography	angiography
angle	ማዕዘን
angling	የማጥመድ
angora	angora
angriest	በጣም የሚያስቆጣ
angry	ተቆጣ
angrytweet	NO TRANSLATION
angst	angst
anguish	የሚያስጨንቅ
anguished	የተጨነቀ
angular	ማዕዘን
anhydrous	አረፈ
animal	እንስሳ
animate	ፍሰት
animated	ተለጣጣቂ
animation	እነማ
animosity	ጥላቻ
animus	ትዕቢት
ankle	ቁርጭምጭሚት
anklet	አንገት
annals	ሪፖርቶች
annex	ጭብጨባ
annexation	እገዳ
annexe	NO TRANSLATION
annihilate	አጥፋ
annihilated	ተደምስሷል
annihilation	መጥፋት
anniversary	አመታዊ በአል
annotate	ማብራሪያ
annotation	ማብራሪያ
announce	አዋው
announcement	ማስታወቂያ
announcer	አስተዋዋቂ
annoy	ማናደድ
annoyance	ብስጭት
annoyed	የተናደደ
annoyin	NO TRANSLATION
annoying	የሚያበሳጭ
annoys	ብስጭት
annual	ዓመታዊ
annuity	ኪሳራ
annul	መሰረዝ
annular	ማዕከላዊ
annulment	ማረም
annulus	የማሳ
anointed	የተቀባ
anointing	መቀባት
anomalous	ያልተለመደ
anomaly	ኢነማል
anon	አኖን
anonymity	ማንነት ያልታወቀ
anonymous	ስም አልባ
anorexic	አኖሬክሲክ
answer	መልስ
answerable	ተጠያቂ ነው
answering	መልስ
ant	አንበሳ
antagonism	ጠላትነት
antagonist	ጠላት ገላ
antagonistic	ተቃዋሚ
antagonize	ተቃዋሚ
ante	NO TRANSLATION
antecedent	ቀደምት
antelope	አጋዘን
antenna	አንቴና
anterior	ጥንታዊ
anthem	መዝሙር
anthill	አንጸባራቂ
anthology	አንትሮሎጂ
anthrax	አንትራክስ
anthropological	አንትሮፖሎጂካል
anthropologist	አንትሮፖሎጂስት
anthropology	አንትሮፖሎጂ
anti	ፀረ
antiaircraft	የፀረ-ሽብርተኝነት
antibiotic	አንቲባዮቲክ
antibiotics	አንቲባዮቲክስ
antichrist	ፀረ-ክርስቶስ
anticipate	ተስፋ ይጠብቀዋል
anticipation	ትንበያ
anticipatory	ተጠባባቂነት
antics	ተጨዋች
antidote	መድኃኒት
antifungal	ፀረ-ፍቱን
antigravity	ፀረ-ግራቪቭ
antimony	antimony
antipathy	እምቢተኛ
antiquarian	antiquarian
antiquated	ጥንታዊ
antique	ጥንታዊ
antiques	ጥንታዊ ቅርሶች
antiquity	ጥንታዊ
antiseptic	መድሃኒት
antisocial	ፀረ-ማህበረሰብ
antithesis	ተቀናቃኝ
antithetical	ተቀናቃኝ
antiviral	ፀረ-ቫይረስ
antler	መፈወሻ
antsy	መበስበስ
anus	አንበሳ
anvil	አንቪል
anxiety	ጭንቀት
anxietyattack	NO TRANSLATION
anxious	ጭንቀት
anxiousness	ጭንቀት
anytime	በማንኛውም ጊዜ
aorta	ከአውራ
aortic	ኦስትካክ
apace	ፍጥነት
apache	apache
apartment	አፓርታማ
apartments	አፓርታማዎች
apathetic	እምቢተኛ
apathy	ግዴለሽነት
ape	ape
aperture	መከለያ
apex	apex
aphid	Aphid
aphrodisiac	Aphrodisiac
apiece	ቁራጭ
aplomb	እሽግ
apocalypse	የምጽዓት ቀን
apocalyptic	የምጽዓት ቀን
apologetic	ይቅርታ
apologist	ሐኪም
apologize	ይቅርታ
apology	ይቅርታ
apostasy	ክህደት
apostate	ከሃዲ
apostle	ሐዋርያ
apostolic	ሐዋርያት
apostrophe	ትእምርተ ጭረት
apothecary	አስማትም
appalled	ተደንቆ ነበር
appalling	አስደንጋጭ
apparatus	መሣሪያ
apparel	ልብስ
apparent	ግልጽ
apparently	ግልጽ ይመስላል
apparition	መተንፈሻ
appeal	ይግባኝ
appear	ብቅ አለ
appearance	መልክ
appease	ሰላምታ
appellant	ደጋፊ
append	ይጨመር
appendage	ጭማሪ
appendectomy	አፕንቲከልቶሚ
appendicitis	በመድሃኒት
appendix	ተጨማሪ
appetite	የምግብ ፍላጎት
appetizer	የምግብ አሰሪ
appetizing	የምግብ ፍጆታ
applaud	እኩራት
applause	ጭብጨባ
apple	ፖም
apple juice	የኣፕል ጭማቂ
applejack	አፕልጃክ
applesauce	ድመቶች
appliance	መሣሪያ
appliances	ዕቃዎች
applicability	ተግባራዊነት
applicable	ተግባራዊ መሆን
applicant	አመልካች
application	ትግበራ
apply	ማመልከት
appoint	ቀጠሮ
appointment	ቀጠሮ
appointments	ቀጠሮዎች
apportion	ማካፈል
apportionment	ማከፋፈል
appraisal	ግምገማ
appraise	ገምግም
appreciable	ከፍ ያለ
appreciate	ደስ ይበል
appreciated	የተደነቀ
appreciates	ያደንቃል
appreciation	ምስጋና
appreciative	አመስጋኝ
apprehend	ይጠቀማል
apprehension	ፍርሃት
apprehensive	አስፈሪ
apprentice	ተለማማጅ
apprenticeship	የሥራ ላይ ልምምድ
approach	አቀራረብ
approaching	እየቀረበ ነው
approbate	NO TRANSLATION
approbation	ማፅደቅ
appropriate	ተስማሚ
appropriation	መበደር
approval	ማጽደቅ
approve	ማፅደቅ
approved	ጸድቋል
approvement	ማፅደቅ
approving	ማፅደቅ
approximate	ግምታዊ
approximately	በግምት
approximating	በግምት
approximation	ግምት
appurtenances	የገንዘብ ድጋፍ
apricot	አፕሪኮት
apron	ሽርፍ
apt	ተስማሚ
aptitude	ችሎታ
aqua	ውሃ
aquamarine	የውሃ ማገኛን
aquarium	የውሃ ብርሀን
aquatic	የውኃ ውስጥ
aqueduct	የውኃ መውረጃ ጣቢያ
aqueous	ውሃ
arable	ሊበቅል የሚችል
arbiter	አርቢተር
arbitrary	የዘፈቀደ
arbitrate	ውሳኔ መስጠት
arbitration	ግጥሚያ
arbitrator	ዳኛ
arbor	ዛፍ
arc	ቅስት
arcade	የመጫወቻ ቦታ
arcane	ቅርፊት
arch	ግቢ
archaeological	አርኪኦሎጂያዊ
archaeologist	አርኪኦሎጂስት
archaeology	አርኪኦሎጂ
archaic	ጥንታዊ
archangel	የመላእክት አለቃ
archbishop	ሊቀ ጳጳሳት
archdiocese	ሊቀ ጳጳሳት
archduke	አርክኩክ
arched	የታጠፈ
archer	ቀስት
archery	ቀስት
archetype	አርኪታይፕ
archipelago	ደሴት
architect	አርኪቴክ
architectural	የስነ ሕንፃ
architecture	ሥነ ሕንፃ
archive	መዝገብ
arctic	አርክቲክ
ardent	ኃይለኛ
ardor	ጉልበት
arduous	አድካሚ
area	አካባቢ
arena	መድረክ
areola	ጥራኮ
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	ግሪን
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	ክርክር
argument	ክርክር
argumentation	ክርክር
argumentative	ሙግታዊ
arguments	ነጋሪ እሴቶች
arid	ደረቅ
arise	ተነሱ
aristocracy	መኳንንት
aristocrat	መኳንንት
aristocratic	መኳንንት
arithmetic	ሒሳብ
ark	መርከብ
arm	ክንድ
armada	armada
armament	የጦር መሣሪያ
armaments	የጦር መሳሪያዎች
armature	የጦር መሣሪያ
armchair	የተስተካከለ ወንበር
armed	የታጠቀ
armor	የጦር መሣሪያ
armored	የተሰራ
armory	የጦር መሣሪያ
armpit	ብብት
arms	እጆች
army	ሠራዊት
aroma	መዓዛ
aromatherapy	የአሮምፓራፒ
arousal	መሳለቂያ
arouse	ፈገግታ
aroused	ተነሣ
arraignment	ቁርጥራጭ
arrange	አደራደር
arranged	የተደረደሩ
arrangement	ዝግጅት
array	ደርድር
arrears	ኪሳራዎች
arrest	ማሰር
arrhythmia	አፈራረሰ
arrival	መድረሻ
arrive	ደርድር
arrogance	እብሪተኝነት
arrogant	እብሪተኛ
arrow	ቀስት
arsehole	ጉሮሮ
arseholes	ባርኔጣዎች
arsenal	የጦር መሣሪያ ዕቃዎች
arsenic	አርሰኒክ
arson	አስደንጋጭ
arsonist	አርባ ነጋዴ
art	ሥነ ጥበብ
arterial	ደም ወሳጅ
artery	የደም ቧንቧ
artful	ድንቅ
arthritis	አርትራይተስ
arthropod	arthropod
artichoke	artichoke
article	ጽሑፍ
articles	ጽሑፎች
articulate	ግልጽ ደንብ
articulation	መገጣጠም
artifact	ቅርፅ
artifice	ቅርፅ
artificial	አርቲፊሻል
artillery	የጦር መሣሪያ
artisan	የእጅ ባለሙያ
artist	አርቲስት
artiste	NO TRANSLATION
artistic	ሥነ ጥበብ
artistry	ሥነ ጥበብ
artists	አርቲስቶች
artwork	የሥነ ጥበብ ስራ
arty	አርቲ
asap	ጓድ
asbestos	አስቤስቶስ
ascend	ወደላይ አሳድግ
ascendancy	የበላይነት
ascendant	ወደ ላይ
ascending	ወደ ላይ ወጥቷል
ascension	አረም
ascent	ወደ ላይ
ascertain	እርግጠኛ ሁን
ascertained	ተረጋገጠ
ascetic	ተጓዥ
ash	አመድ
ashamed	እፍረት
ashes	አመድ
ashtray	የሻይ ሽታ
asinine	አስሲን
ask	ይጠይቁ
asleeep	NO TRANSLATION
asleep	እንቅልፍ
asp	asp
asparagus	አረንጓዴ
aspartame	aspartame
aspect	ገፅታ
aspects	ገፅታዎች
aspen	Aspen
asphalt	አስፋልት
asphyxia	መበስበስ
asphyxiation	አረፋ
aspiration	ምኞት
aspire	አስፈሪ
aspirin	አስፕሪን
aspiring	ምኞት
ass	አህ
assail	ድብደባ
assailant	ጥቃት ፈጻሚ
assassin	አረፈ
assassinate	ገዳይ
assassination	ገድል
assault	ጥቃት
assay	ምርመራ
assemblage	መሰብሰብ
assemble	ተሰብስቡ
assembled	ተሰብስቧል
assembly	ስብሰባ
assemblyman	የጉባኤው አባል
assent	ግትር
assert	መረጋገጫ
asserting	ማረጋገጥ
assertion	ማረጋገጥ
assertive	መሐላ
assess	ገምግም
assessment	ግምገማ
assessor	ጠቋሚ
asset	ንብረት
assets	ንብረቶች
asshole	ጅል
assign	መድብ
assignee	ተጋሪ
assignment	የሥራ ምድብ
assimilate	ተባበረ
assimilation	መሰብሰብ
assist	እገዛ
assistance	እርዳታ
assistant	ረዳት
associate	ተባባሪ
association	መሰብሰብ
assorted	ስብስብ
assortment	ስብስብ
assuage	መደርደሪያ
assume	ግምት
assumed	ግምት
assuming	ታሳቢ
assumption	ግምት
assurance	ማረጋገጫ
assure	እርግጠኛ ይሁኑ
assured	የተረጋገጠ
assuredly	በእርግጠኝነት
asterisk	ኮከብ ምልክት
asteroid	????
asteroids	ባህርይቶች
asthma	አስም
asthmatic	አስማሚ
astigmatism	አስቂኝነት
astonish	አስደነቀ
astonished	ተገርሞ ነበር
astonishing	የሚያስገርም
astonishingly	NO TRANSLATION
astonishment	መደነቅ
astound	አስደንጋጭ
astral	astral
astray	ጠፋ
astringent	እፉኝት
astrologer	ኮከብ ቆጣሪ
astrology	ኮከብ ቆጠራ
astronaut	ጠፈርተኛ
astronomer	የሥነ ፈለክ ተመራማሪ
astronomical	ሥነ ፈለክ
astronomy	ሥነ ፈለክ
astute	ብልጥ
asunder	ድብደባ
asylum	ጥገኝነት
asymmetric	ተመጣጣኝ ያልሆነ
