Word	ga
admitting	ag ligean isteach
admixture	cumaisc
admonition	admonition
ado	ado
adobe	adobe
adolescence	ógánaigh
adolescent	ógánach
adopt	ghlacadh
adoption	glacadh
adoptive	uchtaíoch
adorable	gleoite
adoration	adoration
adore	adhair
adoring	adoring
adorn	adorn
adornment	adornment
adrenalin	adrenalin
adrenaline	adrenaline
adrift	adrift
adult	duine fásta
adulterated	adulterated
adulterer	adulterer
adultery	adhaltranas
adulthood	fásta
advance	roimh ré
advanced	dul chun cinn
advancement	dul chun cinn
advancing	ag dul chun cinn
advantage	buntáiste
advantageous	buntáisteach
advent	teacht
adventure	eachtra
adventurer	eachtraíochta
adventures	eachtraí
adventurous	eachtrúil
adversary	adversary
adverse	díobhálach
adversity	diúltacht
advertise	fógraíodh
advertisement	fógrán
advertising	fógraíocht
adverts	fógraí
advice	comhairle
advisable	inmholta
advise	comhairle a thabhairt
advised	comhairle
advisement	comhairle
adviser	comhairleoir
advisor	comhairleoir
advisory	comhairleacha
advocacy	Abhcóideacht
advocate	Abhcóide
aegis	cois
aeration	aeraithe
aerial	aeir
aerobics	aeróbaice
aerodrome	aeradróm
aerodynamic	aerodinimiciúil
aerodynamics	aerodinimic
aeronautics	aeronautics
aeroplane	eitleán
aerospace	aeraspáis
aesthetic	aeistéitiúil
aesthetics	aeistéitic
aetiology	aoiseolaíocht
afar	afar
affable	dearfach
affair	affair
affect	difear
affecting	a dhéanann difear
affection	gean
affectionate	affectionate
affections	cairde
affiche	NO TRANSLATION
affidavit	mionnscríbhinn
affiliated	cleamhnaithe
affiliation	cleamhnaithe
affinity	cleamhnas
affirm	dhaingniú
affirmation	dearbhú
affirmative	dearfach
affirmatively	dearfach
affix	cuir isteach
afflict	afflict
afflicted	cúisithe
affliction	mothú
affluence	saibhreas
affluent	saibhir
afford	acmhainn
affordable	inacmhainne
affront	dearfach
affronted	dearfach
afield	in aice
afire	dul
afloat	ar leataobh
afore	roimhe seo
aforementioned	thuasluaite
aforesaid	réamhráite
afraid	eagla
afresh	nua
african	african
aft	aft
afterlife	saol
aftermath	tar éis
afternoon	tráthnóna
aftershave	aftershave
aftertaste	aftertaste
afterthought	athuair
aga	NO TRANSLATION
agape	agape
agate	agate
age	aois
aged	aois
agency	gníomhaireacht
agenda	clár oibre
agent	gníomhaire
agglomeration	ceirtleán
aggravate	ag meathlú
aggravated	méadaithe
aggravates	aggravates
aggravating	ag fulaingt
aggravation	tromchúiseach
aggregate	comhiomlán
aggregation	comhiomlánú
aggresive	NO TRANSLATION
aggression	ionsaí
aggressive	ionsaitheach
aggressively	aggressively
aggressiveness	ionsaitheach
aggressor	aggressor
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	leann
agility	aclaíocht
aging	ag dul in aois
agitate	agitate
agitated	agitated
agitation	agitation
aglow	aglow
agnostic	agnostic
ago	ó shin
agonizing	agonizing
agony	agony
agoraphobia	agoraphobia
agree	aontú
agreeable	inmholta
agreed	aontaithe
agreeing	ag aontú
agreement	comhaontú
agressive	NO TRANSLATION
agricultural	talmhaíochta
agriculture	talmhaíocht
aground	aground
agua	NO TRANSLATION
ahead	romhainn
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	cúnamh
aide	aide
aiding	cabhrú leat
aids	áiseanna
ail	ail
ailing	ailing
ailment	tinneas
aim	aidhm
aimless	aimless
air	aer
airbag	bagáiste
airborne	aerbheirthe
aircraft	aerárthach
aircraft carrier	iompróir aerárthach
airfield	aerchlós
airhead	airhead
airlift	airlift
airline	aerlíne
airliner	aerlíne
airlock	airlock
airman	airman
airplane	eitleán
airport	aerfort
airs	airs
airship	airship
airspace	aerspás
airspeed	airspeed
airstrip	aerstrip
airtight	aerdhíonach
airway	aerbhealach
aisle	aisle
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	cosúil
alabaster	alabaster
alarm	aláraim
alarm clock	clog aláraim
alarmed	alarmed
alarming	scanrúil
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	albam
alchemy	Ailceimic
alcohol	alcól
alcoholic	alcóil
alcoholism	alcólacht
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	airdeall
alertness	follasacht
alerts	foláirimh
alfalfa	alfalfa
algebra	ailgéabar
algebraic	ailgéabrach
algorithm	algartam
alias	alias
alibi	alibi
alien	eachtrannach
alienate	eachtrannach
alienated	eachtrannach
alienation	coimhthiú
alight	ardaigh
align	ailínigh
aligned	ailínithe
alignment	ailíniú
alike	araon
alimentation	NO TRANSLATION
alimony	ailíniú
aliquot	aliquot
alive	beo
alkali	alcaile
alkaloids	alcalóidigh
allay	athraigh
allegation	líomhain
allege	líomhain
alleged	líomhnaítear
allegiance	dliteanas
allegorical	allegorical
allegory	allegory
allegro	allegro
allergic	ailléirgeach
allergy	ailléirge
alleviate	maolú
alleviation	maolú
alley	alley
alleyway	bóthar
alliance	Comhar
allied	gaolmhar
alligator	ailigéadar
allocate	leithdháileadh
allocation	leithdháileadh
allot	allot
allotment	leithroinnt
allow	cead a thabhairt
allowable	inmhuirearaithe
allowance	liúntas
allowed	ceadaithe
alloy	cóimhiotail
allsmiles	NO TRANSLATION
allure	allure
alluring	taitneamhach
allusion	allusion
alluvial	alluvial
ally	ally
almanac	almanac
almighty	uilechumhachtach
almond	almond
aloft	arda
aloha	aloha
alone	ina n-aonar
alongside	taobh le taobh
aloof	áfach
aloud	os ard
alpha	alfa
alphabet	aibítir
alphabetical	aibítre
alpine	alpach
alreadyyyyy	cheana féin
altar	altóir
altar boy	buachaill altóir
alter	athrú
alteration	athrú
altercation	athrú
altered	athrú
alternate	malartach
alternating	alternating
alternative	malartach
altimeter	altimeter
altitude	airde
alto	ard
altogether	ar fad
aluminum	alúmanam
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	cónascadh
amaretto	amaretto
amass	amass
amateur	amaitéarach
amaze	amaze
amazed	iontas
amazedness	NO TRANSLATION
amazement	iontas
amazing	iontach
amazingly	iontach
ambassador	ambasadóir
amber	ómra
ambience	ambience
ambient	timpeallachta
ambiguity	athbhrí
ambiguous	débhríoch
ambit	ambit
ambition	uaillmhian
ambitious	uaillmhianach
ambivalent	meabhrach
ambrosia	ambrosia
ambulance	otharcharr
ambush	luíochán
ameliorate	níos fearr
amen	amen
amenable	iniompartha
amend	leasú
amendment	leasú
amends	leasaíonn
amenity	taitneamhacht
amethyst	amethyst
amiable	amiable
amicable	go héasca
amid	amid
amidst	amidst
amino	amino
ammo	ammo
ammonia	amóinia
ammonium	amóiniam
ammunition	armlón
amnesia	amnesia
amnesty	amnesty
amorous	amorous
amorphous	amorphous
amortization	amúchadh
amount	méid
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	amphitheatre
ample	cuimsitheach
amplification	amplification
amplify	amplify
amplitude	amplitude
amply	go mór
amputate	amputate
amputation	amputation
amuck	amuck
amulet	amulet
amuse	amuse
amused	amused
amusement	spraoi
amusing	go maith
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	ainéistéise
anaesthetic	ainéistéiseach
anagram	anagram
anal	anal
analgesic	analgesic
analogous	mar an gcéanna
analogue	analógach
analogy	analaí
analysis	anailís
analyst	anailísí
analytic	anailíseach
analytical	anailíseach
analyze	anailís a dhéanamh
analyzer	anailísí
anaphylactic	anaifioliteach
anarchism	anarchachas
anarchist	anarchist
anarchy	anarchy
anastomosis	anastómais
anathema	anathema
anatomic	anatamaigh
anatomy	anatamaíocht
ancestor	sinsear
ancestral	sinsearach
ancestry	sinsear
anchor	ancaire
anchorage	ancaireacht
ancient	ársa
ancillary	coimhdeach
androgen	androgen
android	android
anecdote	anecdote
anemia	anemia
anemic	anemic
anemone	anemóin
anesthesia	ainéistéise
anesthesiologist	anesthesiologist
anesthetic	ainéistéiseach
aneurysm	aneurysm
anew	arís
angel	aingeal
angelic	angelic
anger	fearg
angered	angered
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angagrafaíocht
angle	uillinn
angling	slatiascaireacht
angora	angora
angriest	angriest
angry	feargach
angrytweet	NO TRANSLATION
angst	angst
anguish	anguish
anguished	imní
angular	uilleach
anhydrous	ainhidriúil
animal	ainmhí
animate	beoite
animated	beoite
animation	beochan
animosity	animosity
animus	animus
ankle	rúitín
anklet	anklet
annals	annals
annex	annex
annexation	athcheangal
annexe	NO TRANSLATION
annihilate	díothú
annihilated	annihilated
annihilation	annihilation
anniversary	comóradh
annotate	anótáil
annotation	nótaí
announce	fhógairt
announcement	fógra
announcer	fógraí
annoy	annoy
annoyance	moill
annoyed	ar buile
annoyin	NO TRANSLATION
annoying	annoying
annoys	annoys
annual	bliantúil
annuity	blianacht
annul	neamhniú
annular	annular
annulment	neamhniú
annulus	annulus
anointed	anointed
anointing	anointing
anomalous	aimhrialta
anomaly	aimhrialtacht
anon	anon
anonymity	gan ainm
anonymous	gan ainm
anorexic	anorexicach
answer	freagra
answerable	freagrach
answering	ag freagairt
ant	frith
antagonism	antagonism
antagonist	antagonist
antagonistic	antagonistic
antagonize	antagonize
ante	NO TRANSLATION
antecedent	roimh ré
antelope	antalóip
antenna	antenna
anterior	roimhe seo
anthem	amhrán
anthill	anthill
anthology	anteolaíocht
anthrax	anthrax
anthropological	antropological
anthropologist	anthropologist
anthropology	antraipeolaíocht
anti	frith
antiaircraft	antiaircraft
antibiotic	antaibheathach
antibiotics	antaibheathaigh
antichrist	antichrist
anticipate	réamh-mheas
anticipation	réamh-mheas
anticipatory	réamh-mheasta
antics	antics
antidote	antidote
antifungal	antifungal
antigravity	antigravity
antimony	antamóin
antipathy	antipathy
antiquarian	antiquarian
antiquated	antiquated
antique	seandacht
antiques	seandachtaí
antiquity	seanchas
antiseptic	antiseptic
antisocial	frithshóisialta
antithesis	antithesis
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	imní
anxietyattack	NO TRANSLATION
anxious	imníoch
anxiousness	imní
anytime	ag am ar bith
aorta	aorta
aortic	aortic
apace	díreach
apache	apache
apartment	árasán
apartments	árasáin
apathetic	éadóiseach
apathy	apathy
ape	ape
aperture	cró
apex	apex
aphid	Aifid
aphrodisiac	aphrodisiac
apiece	píosa
aplomb	bualadh
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	leithscéal
apologist	apologist
apologize	leithscéal a ghabháil
apology	leithscéal
apostasy	apostasy
apostate	apostate
apostle	apostle
apostolic	apostóideach
apostrophe	aifreann
apothecary	apothecary
appalled	caoineadh
appalling	uafásach
apparatus	gaireas
apparel	éadaí
apparent	léir
apparently	cosúil
apparition	caitheamh
appeal	achomharc
appear	Nocht
appearance	cuma
appease	achomharc
appellant	achomharcóir
append	cuir isteach
appendage	aguisín
appendectomy	appendectomy
appendicitis	appendicitis
appendix	aguisín
appetite	boladh
appetizer	appetizer
appetizing	buíoch
applaud	moladh
applause	bualadh
apple	úll
apple juice	sú úll
applejack	applejack
applesauce	applesauce
appliance	fearas
appliances	fearais
applicability	infheidhmeacht
applicable	infheidhme
applicant	iarrthóir
application	iarratas
apply	iarratas a dhéanamh
appoint	ceapadh
appointment	ceapachán
appointments	ceapacháin
apportion	cionroinnt
apportionment	cionroinnt
appraisal	breithmheas
appraise	meas
appreciable	measartha
appreciate	buíoch as
appreciated	meas
appreciates	measann
appreciation	meas
appreciative	buíoch
apprehend	gabháil
apprehension	tuiscint
apprehensive	eaglach
apprentice	printíseach
apprenticeship	printíseacht
approach	cur chuige
approaching	ag druidim
approbate	NO TRANSLATION
approbation	ceadú
appropriate	cuí
appropriation	leithreasú
approval	ceadú
approve	cheadú
approved	ceadaithe
approvement	ceadú
approving	ag ceadú
approximate	thart
approximately	thart
approximating	timpeall
approximation	comhfhogasú
appurtenances	coimisinéirí
apricot	aibreog
apron	apron
apt	apt
aptitude	inniúlacht
aqua	aqua
aquamarine	aquamarine
aquarium	aquarium
aquatic	uisceach
aqueduct	uisceduct
aqueous	uiscí
arable	arúil
arbiter	arbiter
arbitrary	treallach
arbitrate	eadrána
arbitration	Eadrána
arbitrator	eadránaí
arbor	arbor
arc	stua
arcade	stua
arcane	stuaine
arch	áirse
archaeological	seandálaíochta
archaeologist	seandálaí
archaeology	seandálaíocht
archaic	archaic
archangel	archangel
archbishop	ardeaspag
archdiocese	archdiocese
archduke	archduke
arched	droichid
archer	saighdeoir
archery	boghdóireacht
archetype	archetype
archipelago	oileánra
architect	ailtire
architectural	ailtireachta
architecture	ailtireacht
archive	cartlann
arctic	ealaíne
ardent	ardent
ardor	ardor
arduous	arduous
area	limistéar
arena	réimse
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argóint
argument	argóint
argumentation	argóint
argumentative	argumentative
arguments	argóintí
arid	arid
arise	teacht chun cinn
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	uimhríocht
ark	ark
arm	lámh
armada	armada
armament	armament
armaments	armálacha
armature	armature
armchair	cathaoirleach
armed	armtha
armor	armúr
armored	armúrtha
armory	armory
armpit	poll ascaille
arms	airm
army	arm
aroma	aroma
aromatherapy	cumhartheiripe
arousal	arousal
arouse	dúisigh
aroused	aroused
arraignment	díghrádú
arrange	socrú
arranged	socraithe
arrangement	socrú
array	sraith
arrears	riaráistí
arrest	gabháil
arrhythmia	arrhythmia
arrival	teacht
arrive	teacht
arrogance	arrogance
arrogant	sotalach
arrow	saighead
arsehole	arsehole
arseholes	arseholes
arsenal	Arsenal
arsenic	arsanaic
arson	cónaí
arsonist	coscáin
art	ealaín
arterial	ealaíne
artery	artaire
artful	ealaíne
arthritis	airtríteas
arthropod	artrapóid
artichoke	ceallóg
article	alt
articles	earraí
articulate	in iúl
articulation	cur in iúl
artifact	artifact
artifice	ealaíne
artificial	saorga
artillery	airtléire
artisan	ceardaí
artist	ealaíontóir
artiste	NO TRANSLATION
artistic	ealaíne
artistry	ealaíne
artists	ealaíontóirí
artwork	saothar ealaíne
arty	arty
asap	asap
asbestos	aispeist
ascend	ascend
ascendancy	ascendancy
ascendant	ascendant
ascending	ag dul suas
ascension	ascension
ascent	ascent
ascertain	fháil amach
ascertained	bhfionnadh
ascetic	ascetic
ash	fuinseog
ashamed	náire
ashes	luaithreach
ashtray	bhoscair
asinine	asinine
ask	iarr
asleeep	NO TRANSLATION
asleep	ina chodladh
asp	asp
asparagus	asparagus
aspartame	aspairtéim
aspect	gné
aspects	gnéithe
aspen	críonna
asphalt	asfalt
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	aspiration
aspire	ag iarraidh
aspirin	aspirin
aspiring	ag iarraidh
ass	asal
assail	assail
assailant	assailant
assassin	assassin
assassinate	muinínigh
assassination	muinín
assault	ionsaí
assay	measúnacht
assemblage	assemblage
assemble	le chéile
assembled	chéile
assembly	tionól
assemblyman	cóimeálaí
assent	aontú
assert	a dhearbhú
asserting	ag dearbhú
assertion	dearbhú
assertive	dearfach
assess	measúnú
assessment	measúnú
assessor	measúnóir
asset	sócmhainn
assets	sócmhainní
asshole	asshole
assign	shannadh
assignee	sannaí
assignment	sannadh
assimilate	comhshamhlú
assimilation	comhshamhlú
assist	cabhrú leat
assistance	cúnamh
assistant	cúntóir
associate	comhlach
association	Comhlachas
assorted	éagsúil
assortment	saibhreas
assuage	assuage
assume	glacadh leis
assumed	glacadh leis
assuming	ag glacadh leis
assumption	toimhde
assurance	dearbhú
assure	cinnteoidh
assured	cinnte
assuredly	cinnte
asterisk	réiltín
asteroid	astaróideach
asteroids	asteroidí
asthma	asma
asthmatic	maighnéadach
astigmatism	astigmatism
astonish	iontas
astonished	iontas
astonishing	iontasach
astonishingly	NO TRANSLATION
astonishment	iontas
astound	astound
astral	astral
astray	súl
astringent	astringent
astrologer	astrologer
astrology	astrology
astronaut	spásaire
astronomer	réalteolaí
astronomical	réalteolaíoch
astronomy	réalteolaíocht
astute	scéalta
asunder	asunder
asylum	tearmann
asymmetric	neamhshiméadrach
asymmetry	neamhshiméadracht
asymptotic	asymptotic
atelier	atelier
atheism	atheism
atheist	atheist
atheistic	atheistic
atherosclerosis	atherosclerosis
athlete	lúthchleasaí
athletic	Lúthchleas Gael
athleticism	lúthchleasaíocht
athletics	lúthchleasaíocht
atlas	atlas
atmosphere	atmaisféar
atmospheric	atmaisféir
atoll	atoll
atom	adamh
atomic	adamhach
atone	atone
atonement	atonement
atpeace	atpeace
atrium	atrium
atrocious	aisteach
atrocity	atrocity
atrophy	atrophy
attach	ag gabháil leis
attached	ceangailte
attachment	ceangaltán
attack	ionsaí
attacker	ionsaitheoir
attacking	ionsaí
attain	bhaint amach
attainable	inbhuanaithe
attainment	gnóthachtáil
attempt	iarracht
attempted	iarracht
attend	freastal
attendance	tinreamh
attendant	freastail
attention	aird
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	aireach
attenuate	béim
attenuated	ídithe
attenuation	luasú
attest	fianú
attestation	fianú
attic	áiléar
attire	attire
attitude	dearcadh
attorney	aturnae
attract	mhealladh
attraction	mhealladh
attractive	tarraingteach
attractiveness	tarraingteach
attributable	inchurtha
attribute	tréith
attribution	leithdháileadh
attrition	díscaoileadh
auburn	auburn
auction	ceant
auctioneer	ceantálaí
audacious	aisteach
audacity	audacity
audible	inchloiste
audience	lucht féachana
audio	fuaime
audit	iniúchadh
audition	trialach
auditions	éisteachtaí
auditor	iniúchóir
auditorium	an hallalann
auditory	iniúchóireachta
aught	rud
augment	méadú
augmentation	méadú
august	Lúnasa
aunt	aintín
auntie	aintín
aura	aura
aurora	aurora
auspices	coimirce
auspicious	auspicious
austere	austere
austerity	austerity
authentic	barántúil
authenticate	dearbhú
authentication	fíordheimhniú
authenticity	barántúlacht
author	údar
authoritative	údarásach
authority	údarás
authorization	údarú
authorize	údarú
authorized	údaraithe
authorship	údar
autism	uathachas
autistic	uathachasach
auto	uathoibríoch
autobiographical	féin-bheathaisnéis
autobiography	autobiography
autocorrect	autocorrect
autocratic	autocratic
autograph	autograph
autographed	autographed
automated	uathoibrithe
automatic	uathoibríoch
automobile	gluaisteán
automotive	feithicleach
autonomy	neamhspleáchas
autopilot	autopilot
autopsy	autopsy
autumn	fómhar
auxiliary	cúnta
avail	leas a bhaint as
availability	infhaighteacht
available	ar fáil
avalanche	avalanche
avarice	avarice
avatar	avatar
avenge	díoltas
avenger	díogair
avenging	ag fulaingt
avenue	Ascaill
aver	NO TRANSLATION
average	meán
aversation	NO TRANSLATION
averse	a mhalairt
averseness	averseness
aversion	aversion
avert	sheachaint
aviary	aviary
aviation	eitlíocht
aviator	aviator
avid	avid
avocado	avocado
avoid	seachain
avoidance	sheachaint
avoiding	ag seachaint
await	ag fanacht
awake	dúisigh
awaken	dhúisigh
awakening	damhsa
award	dámhachtain
awards	dámhachtainí
aware	feasach
awareness	feasacht
awe	NO TRANSLATION
awed	awed
awesome	uamhnach
awesomeness	awesomeness
awestruck	a thruim
awful	uafásach
awkward	amscaí
awkwardness	neamhchruinneas
awning	awning
awry	dona
axe	tua
axial	aiseach
axiom	axiom
axiomatic	axiomatic
axis	ais
axle	acastóir
ay	ay
aye	aye
azimuth	azimuth
azure	azure
babble	babble
babbling	babbling
babe	babe
baboon	baboon
baby	leanbh
babysit	babysit
babysitter	babysitter
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	baitsiléir
bachelorette	bachelorette
back	ar ais
backboard	cúlchlár
backbone	cnámh droma
backdoor	Cúldoras
backdrop	cúlra
backer	cúltaca
backfire	backfire
backgammon	cispheile
background	cúlra
backhand	ar ais
backhoe	backhoe
backoff	ar ais
backpack	backpack
backpacker	backpacker
backroom	cúlra
backseat	backseat
backside	backside
backtrack	backtrack
backup	cúltaca
backward	ar gcúl
backwardness	cúlracht
backwards	ar gcúl
backwater	backwater
backwoods	backwoods
backyard	cúlchlós
bacon	bagún
bacteria	baictéir
bacterial	baictéarach
bacterium	baictéar
bad	dona
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	suaitheantas
badger	briosca
badhabit	NO TRANSLATION
badly	go dona
badness	bochtaineacht
baffle	baffle
baffled	baffled
bag	mála
bagel	bagel
baggage	bagáiste
baggie	baggie
baggy	baggy
bagman	bagman
bagpipes	píopaí
bail	bhannaí
bailiff	babhta
bait	baoite
bake	bácáil
bakery	bácála
baking	bácála
bal	NO TRANSLATION
balance	cothromaíocht
balanced	cothrom
balcony	BALCÓIN
bald	maol
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	liathróid
ballad	bailéad
ballast	ballasta
ballerina	ballerina
ballet	bailé
ballgame	ballgame
ballistic	ballistic
ballistics	ballistics
balloon	balún
ballot	ballóide
ballpark	ballpark
ballplayer	liathróid
ballpoint	ballpoint
ballroom	seomra folctha
ballsy	liathróid
balm	balm
balmy	balmy
balsam	balsam
balsamic	balsamach
bam	bam
bamboo	bambú
ban	NO TRANSLATION
banana	banana
band	banna
bandage	bannaí
bandanna	NO TRANSLATION
bandit	bannaí
bandstand	bandstand
bandwagon	bandwagon
bandwidth	bandaleithead
bane	bane
bang	bang
banger	banger
banish	banish
banished	éalaithe
banishment	banishment
banister	banister
banjo	banjo
bank	bainc
banker	baincéir
banking	baincéireachta
bankroll	bankroll
bankrupt	féimheach
bankruptcy	féimheacht
banner	banner
banquet	féasta
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	baisteadh
baptismal	baisteadh
baptize	baisteadh
bar	barra
barb	barb
barbarian	barbarian
barbaric	barbaric
barbarism	barbarism
barbecue	barbeque
barbed	meilte
barber	barber
barbershop	barbershop
barbie doll	doll barbie
bard	bard
bare	lom
bareback	casáiste
barefoot	cosnochta
barely	barely
barf	barra
bargain	mhargadh
bargaining	margáil
barge	barge
baritone	baritón
barium	bairiam
bark	coirt
barkeep	cnámharc
barks	baráistí
barley	eorna
barmaid	barmaid
barman	barman
barn	scioból
barnacle	scioból
barney	barney
barnyard	salann
barometer	baróiméadar
baron	barún
baroness	barónta
baroque	bharócach
barrack	barraic
barracuda	barracuda
barrage	barraige
barred	neamhchionraithe
barrel	bairille
barren	barren
barricade	barricade
barrier	bacainn
barring	bac
barrister	abhcóide
barroom	barroom
barrow	barrow
bartender	seoltóir
barter	babhtála
base	bonn
baseball	baseball
baseball bat	baseball bat
baseboard	bonnchlár
baseless	gan bonn
baseline	bunlíne
baseman	baseman
basement	íoslach
bases	boinn
bash	bash
bashful	bashful
basic	bunúsach
basics	bunúsacha
