Word	mk
advanced	напредни
advancement	напредок
advancing	унапредување
advantage	предност
advantageous	поволна
advent	доаѓањето
adventure	авантура
adventurer	авантурист
adventures	авантури
adventurous	авантуристички
adversary	противник
adverse	негативни
adversity	катастрофа
advertise	рекламирај
advertisement	реклама
advertising	рекламирање
adverts	реклами
advice	совет
advisable	препорачливо
advise	советува
advised	советува
advisement	советување
adviser	советник
advisor	советник
advisory	советодавни
advocacy	застапување
advocate	се залага
aegis	Aegis
aeration	аерација
aerial	антена
aerobics	аеробик
aerodrome	аеродром
aerodynamic	аеродинамичен
aerodynamics	аеродинамика
aeronautics	аеронаутика
aeroplane	авион
aerospace	воздушната
aesthetic	естетски
aesthetics	естетика
aetiology	етиологија
afar	далеку
affable	љубезен
affair	афера
affect	влијаат
affecting	влијаат
affection	љубов
affectionate	приврзан
affections	наклонетост
affiche	NO TRANSLATION
affidavit	писмена изјава
affiliated	поврзани
affiliation	припадност
affinity	афинитет
affirm	потврди
affirmation	афирмација
affirmative	потврден
affirmatively	потврдно
affix	афиширај
afflict	вознемири
afflicted	погодени
affliction	болка
affluence	изобилство
affluent	богат
afford	да си дозволи
affordable	прифатлива
affront	навреда
affronted	афектирано
afield	полека
afire	пожар
afloat	живот
afore	претходно
aforementioned	горенаведеното
aforesaid	претходно
afraid	се плаши
afresh	одново
african	африканско
aft	назад
afterlife	задгробен живот
aftermath	последиците
afternoon	попладне
aftershave	последици
aftertaste	послевкус
afterthought	после тоа
aga	NO TRANSLATION
agape	agape
agate	агат
age	возраст
aged	на возраст
agency	агенција
agenda	агенда
agent	агент
agglomeration	агломерација
aggravate	влоши
aggravated	отежнат
aggravates	влошува
aggravating	отежнувачки
aggravation	влошување
aggregate	агрегат
aggregation	агрегација
aggresive	NO TRANSLATION
aggression	агресија
aggressive	агресивен
aggressively	агресивно
aggressiveness	агресивност
aggressor	агресор
agh	agh
aghast	вознемирен
aghhh	NO TRANSLATION
agile	агилен
agility	агилност
aging	стареење
agitate	агитира
agitated	вознемирен
agitation	агитација
aglow	aglow
agnostic	агностички
ago	пред
agonizing	агонизирачки
agony	агонија
agoraphobia	агорафобија
agree	се согласувам
agreeable	согласна
agreed	се согласија
agreeing	согласувајќи се
agreement	договор
agressive	NO TRANSLATION
agricultural	земјоделски
agriculture	земјоделство
aground	агол
agua	NO TRANSLATION
ahead	напред
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	помош
aide	помошник
aiding	помош
aids	помагала
ail	ail
ailing	болен
ailment	болест
aim	цел
aimless	бесцелно
air	воздух
airbag	воздушно перниче
airborne	во воздухот
aircraft	авиони
aircraft carrier	носач на авиони
airfield	аеродром
airhead	воздух
airlift	воздушен мост
airline	авиокомпанија
airliner	авион
airlock	воздушна пумпа
airman	воздухоплов
airplane	авион
airport	аеродром
airs	воздух
airship	авион
airspace	воздушен простор
airspeed	брзина на воздух
airstrip	писта
airtight	херметички
airway	дишните патишта
aisle	коридор
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	слично
alabaster	алабастер
alarm	аларм
alarm clock	аларм
alarmed	вознемирени
alarming	алармантно
alas	за жал
alb	NO TRANSLATION
albatross	albatross
albino	албино
album	албум
alchemy	алхемија
alcohol	алкохол
alcoholic	алкохолен
alcoholism	алкохолизам
alcove	бесконечно
alderman	Алдерман
ale	NO TRANSLATION
alert	алармирање
alertness	будност
alerts	сигнали
alfalfa	луцерка
algebra	алгебра
algebraic	алгебарски
algorithm	алгоритам
alias	алијас
alibi	алиби
alien	странец
alienate	отуѓи
alienated	отуѓен
alienation	отуѓување
alight	запали
align	усогласување
aligned	подредени
alignment	усогласување
alike	слично
alimentation	NO TRANSLATION
alimony	алимент
aliquot	alquot
alive	жив
alkali	алкали
alkaloids	алкалоиди
allay	смирување
allegation	тврдење
allege	тврдат
alleged	наводно
allegiance	верност
allegorical	алегоричен
allegory	алегорија
allegro	алегро
allergic	алергичен
allergy	алергија
alleviate	олесни
alleviation	олеснување
alley	улица
alleyway	улица
alliance	Алијанса
allied	сојузнички
alligator	алигатор
allocate	алоцира
allocation	распределба
allot	распределба
allotment	распределба
allow	дозволи
allowable	дозволено
allowance	додаток
allowed	дозволено
alloy	легура
allsmiles	NO TRANSLATION
allure	привлечност
alluring	примамливо
allusion	алузија
alluvial	алувијален
ally	сојузник
almanac	алманах
almighty	семоќен
almond	бадем
aloft	надолго
aloha	алоха
alone	сам
alongside	заедно со
aloof	оддалечен
aloud	гласно
alpha	алфа
alphabet	азбука
alphabetical	азбучен
alpine	алпски
alreadyyyyy	веќе
altar	олтар
altar boy	олтар момче
alter	алтер
alteration	промена
altercation	раздразнување
altered	променети
alternate	алтернативен
alternating	наизменично
alternative	алтернатива
altimeter	altimeter
altitude	надморска височина
alto	алто
altogether	заедно
aluminum	алуминиум
alumnus	Алентус
alveolar	алвеоларен
alzheimers	NO TRANSLATION
amalgam	амалгам
amalgamation	амалгамација
amaretto	amaretto
amass	amass
amateur	аматер
amaze	изненадување
amazed	изненаден
amazedness	NO TRANSLATION
amazement	изненадување
amazing	неверојатно
amazingly	неверојатно
ambassador	амбасадор
amber	килибар
ambience	амбиент
ambient	амбиент
ambiguity	двосмисленост
ambiguous	двосмислена
ambit	амбиент
ambition	амбиција
ambitious	амбициозни
ambivalent	амбивалентен
ambrosia	амброзија
ambulance	брза помош
ambush	заседа
ameliorate	подобри
amen	амин
amenable	податлив
amend	измени
amendment	амандман
amends	се менува
amenity	удобност
amethyst	аметист
amiable	пријатно
amicable	пријателски
amid	во средината
amidst	среде
amino	амино
ammo	муниција
ammonia	амонијак
ammonium	амониум
ammunition	муниција
amnesia	амнезија
amnesty	амнестија
amorous	љубоморен
amorphous	аморфен
amortization	амортизација
amount	износ
amour	NO TRANSLATION
amp	amp
ampersand	амперсанд
amphetamines	амфетамини
amphibian	амфибија
amphibious	амфибиски
amphitheater	амфитеатар
ample	доволно
amplification	засилување
amplify	засили
amplitude	амплитуда
amply	добро
amputate	ампутираат
amputation	ампутација
amuck	ама
amulet	амулет
amuse	забавувај се
amused	забавуваше
amusement	забава
amusing	забавен
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	анестезија
anaesthetic	анестетик
anagram	анаграм
anal	анален
analgesic	аналгетик
analogous	аналогно
analogue	аналоген
analogy	аналогија
analysis	анализа
analyst	аналитичар
analytic	аналитички
analytical	аналитички
analyze	анализира
analyzer	анализатор
anaphylactic	анафилактичен
anarchism	анархизам
anarchist	анархист
anarchy	анархија
anastomosis	анастомоза
anathema	анатема
anatomic	анатомски
anatomy	анатомија
ancestor	предок
ancestral	предците
ancestry	потекло
anchor	сидро
anchorage	прицврстување
ancient	антички
ancillary	помошен
androgen	андроген
android	андроид
anecdote	анегдота
anemia	анемија
anemic	анемична
anemone	anemone
anesthesia	анестезија
anesthesiologist	анестезиолог
anesthetic	анестетик
aneurysm	аневризма
anew	одново
angel	ангел
angelic	ангелски
anger	лутина
angered	лути
angermanagement	NO TRANSLATION
angina	ангина
angiogram	ангиограм
angiography	ангиографија
angle	агол
angling	риболов
angora	ангора
angriest	најжесток
angry	лути
angrytweet	NO TRANSLATION
angst	angst
anguish	болка
anguished	болен
angular	аголна
anhydrous	безводен
animal	животно
animate	анимирај
animated	анимиран
animation	анимација
animosity	непријателство
animus	анимус
ankle	глуждот
anklet	anklet
annals	аналите
annex	анекс
annexation	анексија
annexe	NO TRANSLATION
annihilate	уништува
annihilated	уништен
annihilation	аннигилација
anniversary	годишнина
annotate	annotate
annotation	коментар
announce	објави
announcement	најава
announcer	најавувач
annoy	нервирај
annoyance	вознемиреност
annoyed	вознемирен
annoyin	NO TRANSLATION
annoying	досадни
annoys	иритира
annual	годишно
annuity	ануитет
annul	поништи
annular	прстенест
annulment	поништување
annulus	анулус
anointed	помазан
anointing	помазание
anomalous	аномалија
anomaly	аномалија
anon	anon
anonymity	анонимност
anonymous	анонимен
anorexic	анорексичен
answer	одговор
answerable	одговорно
answering	одговарање
ant	мравка
antagonism	антагонизам
antagonist	антагонист
antagonistic	антагонистички
antagonize	антагонизирај
ante	NO TRANSLATION
antecedent	претходник
antelope	антилопа
antenna	антена
anterior	предна страна
anthem	химна
anthill	мравјалник
anthology	антологија
anthrax	антракс
anthropological	антрополошки
anthropologist	антрополог
anthropology	антропологија
anti	анти
antiaircraft	антизавр
antibiotic	антибиотик
antibiotics	антибиотици
antichrist	антихрист
anticipate	предвиди
anticipation	исчекување
anticipatory	предвидено
antics	антички
antidote	противотров
antifungal	антифунгални
antigravity	антигравитација
antimony	антимон
antipathy	антипатија
antiquarian	антиквар
antiquated	застарена
antique	антички
antiques	антиквитети
antiquity	антиката
antiseptic	антисептик
antisocial	антисоцијален
antithesis	антитеза
antithetical	антитетички
antiviral	антивирусна
antler	роговиден
antsy	антив
anus	анус
anvil	наковало
anxiety	анксиозност
anxietyattack	NO TRANSLATION
anxious	нервозни
anxiousness	вознемиреност
anytime	во секое време
aorta	аорта
aortic	аортна
apace	брзо
apache	apache
apartment	стан
apartments	апартмани
apathetic	апатичен
apathy	апатија
ape	мајмун
aperture	отвор
apex	врвот
aphid	листопад
aphrodisiac	афродизијак
apiece	парче
aplomb	Апликација
apocalypse	апокалипса
apocalyptic	апокалиптичен
apologetic	апологетски
apologist	апологет
apologize	извини
apology	извинување
apostasy	отпадништво
apostate	отпадник
apostle	апостол
apostolic	апостолски
apostrophe	апостроф
apothecary	аптека
appalled	изненаден
appalling	ужасни
apparatus	апарат
apparel	облека
apparent	очигледно
apparently	очигледно
apparition	сениште
appeal	жалба
appear	се појави
appearance	изглед
appease	смири
appellant	апелира
append	додадете
appendage	додаток
appendectomy	апендектомија
appendicitis	апендицитис
appendix	прилог
appetite	апетит
appetizer	мезе
appetizing	апетит
applaud	аплаудирај
applause	аплауз
apple	јаболко
apple juice	сок од јаболко
applejack	applejack
applesauce	јаболка
appliance	апаратот
appliances	апарати
applicability	применливост
applicable	применливо
applicant	апликант
application	апликација
apply	се применуваат
appoint	назначи
appointment	назначување
appointments	состаноци
apportion	распределба
apportionment	распределба
appraisal	проценка
appraise	оцени
appreciable	значително
appreciate	цени
appreciated	ценети
appreciates	цени
appreciation	благодарност
appreciative	благодарни
apprehend	апсење
apprehension	приведување
apprehensive	загрижен
apprentice	чирак
apprenticeship	школување
approach	приод
approaching	се приближува
approbate	NO TRANSLATION
approbation	одобрување
appropriate	соодветно
appropriation	присвојување
approval	одобрување
approve	одобри
approved	одобрен
approvement	одобрување
approving	одобрување
approximate	приближна
approximately	приближно
approximating	приближување
approximation	приближување
appurtenances	приклучоци
apricot	кајсија
apron	престилка
apt	АП
aptitude	способност
aqua	aqua
aquamarine	аквамарин
aquarium	аквариум
aquatic	водни
aqueduct	Аквадуктот
aqueous	воден
arable	обработливо земјиште
arbiter	арбитер
arbitrary	произволно
arbitrate	арбитража
arbitration	арбитража
arbitrator	арбитер
arbor	Арбор
arc	лак
arcade	аркада
arcane	аркан
arch	лак
archaeological	археолошки
archaeologist	археолог
archaeology	археологија
archaic	архаичен
archangel	архангел
archbishop	архиепископ
archdiocese	архиепископија
archduke	надмоќ
arched	заоблени
archer	Стрелец
archery	Стрелаштво
archetype	архетип
archipelago	архипелаг
architect	архитект
architectural	архитектонски
architecture	архитектура
archive	архива
arctic	Арктикот
ardent	жесток
ardor	плам
arduous	напорно
area	област
arena	арена
areola	ареола
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	тврдат
argument	аргумент
argumentation	аргументација
argumentative	аргументативно
arguments	аргументи
arid	суви
arise	се појават
aristocracy	аристократија
aristocrat	аристократ
aristocratic	аристократски
arithmetic	аритметика
ark	ark
arm	рака
armada	armada
armament	вооружување
armaments	вооружување
armature	арматура
armchair	фотелја
armed	вооружени
armor	оклоп
armored	оклопни
armory	оружје
armpit	пазува
arms	оружје
army	армија
aroma	арома
aromatherapy	ароматерапија
arousal	возбуда
arouse	предизвикува
aroused	возбудена
arraignment	arraignment
arrange	организираме
arranged	наредени
arrangement	аранжман
array	низа
arrears	долгови
arrest	апсење
arrhythmia	аритмија
arrival	пристигнување
arrive	пристигне
arrogance	ароганција
arrogant	арогантен
arrow	стрелка
arsehole	arsehole
arseholes	arseholes
arsenal	арсенал
arsenic	арсен
arson	подметнување пожар
arsonist	подметнувач
art	art
arterial	артериски
artery	артерија
artful	уметнички
arthritis	артритис
arthropod	Членконоги
artichoke	артишок
article	статија
articles	статии
articulate	артикулираат
articulation	артикулација
artifact	артефакт
artifice	артефакти
artificial	вештачки
artillery	артилерија
artisan	занаетчија
artist	уметник
artiste	NO TRANSLATION
artistic	уметнички
artistry	уметност
artists	уметници
artwork	уметничко дело
arty	arty
asap	побрзо
asbestos	азбест
ascend	се искачи
ascendancy	надмоќ
ascendant	асцедент
ascending	растечки
ascension	Вознесение
ascent	искачување
ascertain	утврди
ascertained	констатирано
ascetic	аскет
ash	пепел
ashamed	засрамен
ashes	пепел
ashtray	пепелник
asinine	асинински
ask	прашајте
asleeep	NO TRANSLATION
asleep	спие
asp	asp
asparagus	аспарагус
aspartame	аспартам
aspect	аспект
aspects	аспекти
aspen	Аспен
asphalt	асфалт
asphyxia	асфиксија
asphyxiation	задушување
aspiration	аспирација
aspire	се стремат
aspirin	аспирин
aspiring	аспиранти
ass	газ
assail	нападам
assailant	напаѓач
assassin	атентатор
assassinate	атентат
assassination	атентат
assault	напад
assay	анализа
assemblage	монтажа
assemble	составува
assembled	составен
assembly	собрание
assemblyman	монтажник
assent	одобрување
assert	тврдат
asserting	тврдејќи
assertion	тврдење
assertive	наметливо
assess	оцени
assessment	проценка
assessor	оценувач
asset	средство
assets	средства
asshole	кретену
assign	додели
assignee	assignee
assignment	задача
assimilate	асимилираат
assimilation	асимилација
assist	помош
assistance	помош
assistant	асистент
associate	соработник
association	здружение
assorted	избрани
assortment	асортиман
assuage	assuage
assume	претпоставувам
assumed	претпоставува
assuming	претпоставувајќи
assumption	претпоставка
assurance	осигурување
assure	увери
assured	увери
assuredly	сигурно
asterisk	ѕвездичка
asteroid	астероид
asteroids	астероиди
asthma	астма
asthmatic	астматичен
astigmatism	астигматизам
astonish	зачудувачки
astonished	изненадени
astonishing	зачудувачки
astonishingly	NO TRANSLATION
astonishment	изненадување
astound	вчудовидувачки
astral	астрален
astray	заблуди
astringent	адстрингентно
astrologer	астролог
astrology	астрологијата
astronaut	астронаут
astronomer	астроном
astronomical	астрономски
astronomy	астрономијата
astute	остроумен
asunder	реду
asylum	азил
asymmetric	асиметричен
asymmetry	асиметрија
asymptotic	асимптотичен
atelier	ателје
atheism	атеизам
atheist	атеист
atheistic	атеистички
atherosclerosis	атеросклероза
athlete	атлетичар
athletic	атлетски
athleticism	атлетизам
athletics	атлетика
atlas	атлас
atmosphere	атмосфера
atmospheric	атмосферски
atoll	атол
atom	атом
atomic	атомски
atone	atone
atonement	помирувањето
atpeace	atpeace
atrium	атриум
atrocious	крволочен
atrocity	злосторство
atrophy	атрофија
attach	прикачи
attached	спроведен
attachment	приврзаност
attack	напад
attacker	напаѓачот
attacking	напад
attain	постигнување
attainable	остварливи
attainment	постигнување
attempt	обид
attempted	обиде
attend	присуствува
attendance	посетеност
attendant	придружник
attention	внимание
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	внимателен
attenuate	ослабвам
attenuated	атенуирани
attenuation	слабеењето
attest	потврди
attestation	потврда
attic	сведување
attire	облека
attitude	став
attorney	адвокат
attract	привлече
attraction	атракција
attractive	атрактивен
attractiveness	атрактивност
attributable	се припишува
attribute	атрибут
attribution	атрибуција
attrition	исцрпување
auburn	Auburn
auction	аукција
auctioneer	аукционист
audacious	смел
audacity	смелост
audible	звучен
audience	публика
audio	аудио
audit	ревизија
audition	аудиција
auditions	аудиции
auditor	ревизор
auditorium	аудиториум
auditory	аудитивни
aught	ах
augment	зголемување
augmentation	зголемување
august	август
aunt	тетка
auntie	тетка
aura	аура
aurora	аурора
auspices	покровителство
auspicious	Среќен
austere	строго
austerity	штедење
authentic	автентична
authenticate	автентикација
authentication	автентикација
authenticity	автентичност
author	автор
authoritative	авторитативна
authority	авторитет
authorization	овластување
authorize	авторизирај
authorized	овластен
authorship	авторство
autism	аутизам
autistic	аутизам
auto	авто
autobiographical	автобиографски
autobiography	автобиографија
autocorrect	автокорекција
autocratic	автократски
autograph	автограм
autographed	автограмиран
automated	автоматски
automatic	автоматски
automobile	автомобил
automotive	автомобилската индустрија
autonomy	автономија
autopilot	автопилот
autopsy	аутопсија
autumn	есен
auxiliary	помошен
avail	искористете
availability	достапност
available	достапни
avalanche	лавина
avarice	страст
avatar	аватар
avenge	одмазда
avenger	Одмазднички
avenging	avenging
avenue	авенија
aver	NO TRANSLATION
average	просек
aversation	NO TRANSLATION
averse	аверс
averseness	непријателство
aversion	аверзија
avert	избегне
aviary	птичар
aviation	авијација
aviator	авијатичар
avid	страствен
avocado	авокадо
avoid	избегнувајте
avoidance	избегнување
avoiding	избегнување
await	чекај
awake	буден
awaken	разбуди
awakening	будење
award	награда
awards	награди
aware	свесни
awareness	свест
awe	NO TRANSLATION
awed	зачуден
awesome	одличен
awesomeness	awesomeness
awestruck	awestruck
awful	Ужасно
awkward	непријатно
awkwardness	непријатност
awning	тенди
awry	криво
axe	секира
axial	аксијален
axiom	аксиома
axiomatic	аксиоматски
axis	оска
axle	оска
ay	ај
aye	Ај
azimuth	азимут
azure	сина
babble	ѓубре
babbling	гугање
babe	бебе
baboon	бабун
baby	бебе
babysit	babysit
babysitter	бејбиситер
baccalaureate	бакалауреат
baccarat	baccarat
bachelor	диплома
bachelorette	bachelorette
back	назад
backboard	табла
backbone	'рбетот
backdoor	задна врата
backdrop	позадина
backer	поддржувач
backfire	бегство
backgammon	Табла
background	позадина
backhand	бекхенд
backhoe	ровокопач
backoff	отстапи
backpack	ранец
backpacker	турист
backroom	задната соба
backseat	задното седиште
backside	задна страна
backtrack	одвраќање
backup	резервна копија
backward	назад
backwardness	назадност
backwards	наназад
backwater	подводна вода
backwoods	заднина
backyard	двор
bacon	сланина
bacteria	бактерија
bacterial	бактериски
bacterium	бактерија
bad	лошо
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	значка
badger	јазовец
badhabit	NO TRANSLATION
badly	лошо
badness	лошо
baffle	пречка
baffled	збунети
bag	торба
bagel	бубела
baggage	багаж
baggie	baggie
baggy	широка
bagman	багман
bagpipes	гајда
bail	кауција
bailiff	судски извршители
bait	мамка
bake	се пече
bakery	пекарница
baking	печење
bal	NO TRANSLATION
balance	рамнотежа
balanced	избалансиран
balcony	балкон
bald	Ќелав
balding	balding
baldy	Балди
bale	бала
balk	Бал
ball	топка
ballad	балада
ballast	баласт
ballerina	балерина
ballet	балет
ballgame	ballgame
ballistic	балистички
ballistics	балистички
balloon	балон
ballot	гласачко ливче
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	ballroom
ballsy	топка
balm	мелем
balmy	балони
balsam	балзам
balsamic	балсамик
bam	бам
bamboo	бамбус
ban	NO TRANSLATION
banana	банана
band	бенд
bandage	завој
bandanna	NO TRANSLATION
bandit	разбојник
bandstand	бендстанд
bandwagon	банда
bandwidth	пропусен опсег
bane	бен
bang	тресне
banger	бенџер
banish	прогони
banished	протерани
banishment	протерување
banister	Огранок
banjo	бањо
bank	банка
banker	банкар
banking	банкарство
bankroll	bankroll
bankrupt	банкрот
bankruptcy	банкрот
banner	банер
banquet	банкет
banshee	banshee
banter	закачка
banzai	NO TRANSLATION
baptism	крштевање
baptismal	крштевка
baptize	крштавам
bar	бар
barb	бар
barbarian	варварски
barbaric	варварски
barbarism	варварство
barbecue	скара
barbed	бодликава
barber	бербер
barbershop	берберница
barbie doll	Барби кукла
bard	бард
bare	голи
bareback	безшумно
barefoot	бос
barely	едвај
barf	барф
bargain	зделка
bargaining	договарање
barge	шлеп
baritone	баритон
barium	бариум
bark	кората
barkeep	barkeep
barks	лае
barley	јачмен
barmaid	бармена
barman	бармен
barn	штала
barnacle	школка
barney	Барни
barnyard	Barnyard
barometer	барометар
baron	барон
baroness	бароница
baroque	барок
barrack	барака
barracuda	барракуда
barrage	бараж
barred	забрането
barrel	барел
barren	неплодна
barricade	барикада
barrier	бариера
barring	забрана
barrister	адвокат
barroom	барови
barrow	Бароу
bartender	шанкер
barter	размена
base	база
baseball	бејзбол
baseball bat	бејзбол палка
baseboard	baseboard
baseless	неосновани
baseline	основно
baseman	базата
basement	подрум
bases	бази
bash	баш
bashful	срамно
basic	основни
basics	основите
basil	босилек
basilica	базилика
basin	слив
basis	основа
bask	бак
basket	кошница
basketball	кошарка
bass	бас
bass guitar	бас гитара
basso	NO TRANSLATION
bassoon	фагонг
bastard	копиле
bastarding	копилење
bastards	копилиња
bastion	бастион
bat	лилјак
batch	серија
batching	дозиране
bate	NO TRANSLATION
bath	бања
bathe	се искапат
bathhouse	бања
bathing	капење
bathrobe	бањарка
bathroom	бања
bathtub	када
bathymetry	батиметрија
baton	диригент
battalion	баталјон
batter	тесто
battered	погоди
battering	тепање
battery	батерија
battle	битка
battled	се бореше
battlefield	бојното поле
battleground	бојно поле
battlements	битки
battleship	борбен брод
batty	Баден
bauble	Бабул
bawdy	bawdy
bawl	бул
bay	залив
bayonet	бајонет
bayou	bayou
bazaar	чаршија
bazooka	bazooka
bday	bday
be	да биде
beach	плажа
beaches	плажи
beacon	сланина
bead	мушка
beading	камен
beads	монистра
beady	beady
beagle	beagle
beak	клун
beaker	чаша
beam	зрак
beaming	сјајно
bean	грав
beanbag	beanbag
beanie	бејка
bear	мечка
bearable	подносливо
beard	брада
bearded	брада
bearer	носител
bearing	лого
bearings	лежишта
bearish	мечешки
bearskin	мечка
beast	ѕвер
beastly	тивко
beat	победи
beaten	тепани
beater	гребен
beating	тепа
beatnik	beatnik
beau	Beau
beautification	разубавување
beautiful	убава
beautify	разубават
beauty	убавина
beaver	Дабар
bebop	bebop
beck	бек
beckon	повика
become	стане
bed	кревет
bedding	постелнина
bedpan	bedpan
bedrock	темел
bedroom	спална соба
bedside	кревет
bedspread	покривки
bedtime	спиење
bee	пчела
beef	говедско месо
beefsteak	бифтек
beehive	кошница
beep	бип
beeper	биперот
beer	пиво
bees	пчели
beeswax	пчелин восок
beetle	Буба
befall	се случило
befitting	дофат
befriend	се спријатели
befuddled	befuddled
beg	моли
beggar	просјак
begging	молат
begin	започнете
beginner	почетник
beginning	почеток
beginnings	почетоци
begrudge	бегство
begun	започна
behappy	NO TRANSLATION
behave	се однесуваме
behavior	однесување
