Word	sd
adieu	آگاهه
adipose	ٻيڻو
adjacency	ويجهو
adjacent	ڀرسان
adjective	صفت
adjoining	ڀرسان
adjourn	اختتام
adjournment	اختتام
adjudicate	آبادي
adjudication	درخواست ڏيڻ
adjunct	ڀرپاسي
adjust	ٺاهي
adjuster	اختتام
adjustment	ترميم
adjuvant	اڪيلو
admin	منتظم
administer	انتظام ڪيو ويو آهي
administration	انتظاميه
administrative	انتظامي
administrator	منتظم
admirable	قابل اطلاق
admiral	ایڈمرل
admiralty	فرمانبرداري
admiration	تعريف
admire	مهرباني ڪري رهيو آهي
admired	منڍ ڪيو
admirer	فرمانبردار
admiring	سجدو ڪرڻ
admissibility	قبول
admissible	قبول نه ٿيو
admission	داخلا
admit	داخل ڪندا
admittance	اعتراف
admitted	داخل ڪيو ويو
admitting	قبول ڪيو
admixture	ايڊٽ ڪرڻ
admonition	نصيحت
ado	ادو
adobe	ايوبو
adolescence	ننڍپڻ
adolescent	نوجوانن
adopt	اپيل
adoption	اپيل
adoptive	اپوزيشن
adorable	تعصب
adoration	سينگاريو
adore	پسند ڪيو
adoring	مشهوري
adorn	زينت
adornment	زينت
adrenalin	ايڊينسلن
adrenaline	ايڊينسلين
adrift	زنا
adult	بالغ
adulterated	زنا ڪيو
adulterer	زنا ڪندڙ
adultery	زنا
adulthood	زنده
advance	اڳوڻو
advanced	ڳوڙهو
advancement	ترقي
advancing	ترقي يافته
advantage	فائدو
advantageous	فائدي
advent	آڌرڀاء
adventure	مشغول
adventurer	شڪست
adventures	آڌارڀاء
adventurous	زبردست
adversary	مخالف
adverse	ناپسند
adversity	غمگين
advertise	اشتهار ڏيو
advertisement	اشتهار
advertising	اشتهارن جو
adverts	اشتهار ڏيو
advice	صلاح
advisable	صلاحڪار
advise	صلاح ڏيو
advised	صلاح ڏني
advisement	مشوري
adviser	صلاحڪار
advisor	صلاحڪار
advisory	صلاحڪار
advocacy	وڪيل
advocate	وڪيل
aegis	ايجاد
aeration	هوا
aerial	ڦيرو
aerobics	ايروبڪس
aerodrome	ايروودوم
aerodynamic	ايروڊيوئليڪل
aerodynamics	ايروودائيڪس
aeronautics	ايروونڪڪس
aeroplane	هوائي جهاز
aerospace	خلائي
aesthetic	جمالياتي
aesthetics	جمالياتيات
aetiology	ايٿوپيالوجي
afar	afar
affable	مصلحت
affair	مامرو
affect	متاثر ٿيو
affecting	متاثر ٿيو
affection	تنهنجو
affectionate	تنهنجو
affections	اثرات
affiche	NO TRANSLATION
affidavit	حڪومتيه
affiliated	لاڳاپيل
affiliation	ٽڪيٽ
affinity	انيتا
affirm	تصديق ڪريو
affirmation	تصديق
affirmative	معتبر
affirmatively	معتبر طور تي
affix	چيڪ
afflict	ڏنڊ
afflicted	مبتلا
affliction	تڪليف
affluence	سنگم
affluent	امير
afford	برداشت
affordable	سستي
affront	منهن ڏيڻ
affronted	منهن ڏيڻ
afield	آفيسر
afire	اينڊريو
afloat	afloat
afore	هيٺيون
aforementioned	پيش ڪيل
aforesaid	اضافو ٿيو
afraid	ڊپ
afresh	نئون
african	افريقا
aft	ا
afterlife	زندگي گذارڻ
aftermath	بعد ۾
afternoon	منجهند
aftershave	پنهور
aftertaste	بعد ۾
afterthought	ٿڪڻ
aga	NO TRANSLATION
agape	زنده
agate	عمر
age	عمر
aged	عمر
agency	ايجنسي
agenda	ايجنڊا
agent	نمائندو
agglomeration	گروهه
aggravate	بگڙيل
aggravated	بگڙيل
aggravates	بگڙيل
aggravating	بگڙيل
aggravation	بگڙيل
aggregate	مجموعي طور تي
aggregation	مجموعي
aggresive	NO TRANSLATION
aggression	جارحيت
aggressive	جارحتي
aggressively	افسوس سان
aggressiveness	جارحيت
aggressor	جارحيت
agh	هڪهه
aghast	هڪ
aghhh	NO TRANSLATION
agile	ٽٽل
agility	زوري
aging	عمر
agitate	مشاهدو ڪيو
agitated	متحد آهي
agitation	وڳوڙ
aglow	هڪڙو
agnostic	اي اين پيسٽ
ago	اڳ
agonizing	ايجاد ڪرڻ
agony	زبردست
agoraphobia	ايورپورٽو
agree	متفق
agreeable	رضامندي
agreed	اتفاق ڪيو
agreeing	اتفاق ڪيو
agreement	معاهدي
agressive	NO TRANSLATION
agricultural	زرعي
agriculture	زراعت
aground	ڀيرو
agua	NO TRANSLATION
ahead	اڳتي
ahhh	آه
ahhhhhhhh	NO TRANSLATION
ahoy	آسودو
aid	امداد
aide	رستو
aiding	امداد
aids	امداد
ail	اييل
ailing	ٻرندڙ
ailment	بيماري
aim	مقصد
aimless	معتبر
air	هوائي
airbag	هوائي بيگ
airborne	هوائي اڏو
aircraft	هوائي جهاز
aircraft carrier	هوائي جهاز
airfield	هوائي ميدان
airhead	هوائيڊنگ
airlift	هوٽل
airline	هوائي جهاز
airliner	جهاز
airlock	جهاز
airman	هوائي
airplane	هوائي جهاز
airport	ايئرپورٽ
airs	هوائي
airship	هوائي جهاز
airspace	هوائي اسپيڪر
airspeed	هوائي اسپيڪر
airstrip	هوڏانهن
airtight	واڌو
airway	هوائي اڏو
aisle	ٻڏل
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	اڪا
akin	مستند
alabaster	الاساطير
alarm	الارم
alarm clock	الارم ڪلاڪ
alarmed	خطرناڪ
alarming	الارم ڪرڻ
alas	افسوس
alb	NO TRANSLATION
albatross	البمراورس
albino	albino
album	البم
alchemy	الشيخ
alcohol	شراب
alcoholic	شراب
alcoholism	شراب
alcove	ڪري ڇڏيو
alderman	ڪوڙا
ale	NO TRANSLATION
alert	خبرداري
alertness	خبرداري
alerts	خبرون
alfalfa	ارفا
algebra	ايجبي
algebraic	ايجبيڪ
algorithm	الورورٿيم
alias	عرف
alibi	البيبي
alien	اجنبي
alienate	ڌاريو
alienated	ڌاريو
alienation	اجايو
alight	اجهائي
align	ڏسو
aligned	ملندڙ
alignment	صفائي
alike	ھڪڙي
alimentation	NO TRANSLATION
alimony	سامونڊي
aliquot	غير يقيني
alive	زنده
alkali	Alkali
alkaloids	Alkaloids
allay	سڀ
allegation	الزام
allege	خبردار ڪيو
alleged	ڪري رهيو آهي
allegiance	بيعت
allegorical	الزاماتي
allegory	الزام
allegro	الزام آهي
allergic	ايلجڪ
allergy	ايلئر
alleviate	ننڍو
alleviation	وڳوڙ
alley	علي
alleyway	اللي رستو
alliance	اتحاد
allied	متحد ٿيو
alligator	ايجاد ڪندڙ
allocate	سمورو
allocation	تخصيص
allot	سمورو
allotment	سموريون
allow	اجازت ڏيو
allowable	اجازت ڏنل آهي
allowance	جو فائدو
allowed	اجازت ڏنل آهي
alloy	گانو
allsmiles	NO TRANSLATION
allure	سمورو
alluring	سمورا
allusion	سمورو
alluvial	زڪوه
ally	اجايو
almanac	الفانق
almighty	اڪيلو غالب
almond	بادام
aloft	اٽل
aloha	الهي
alone	اڪيلو
alongside	گڏوگڏ
aloof	مسڪين
aloud	اجايو
alpha	Alpha
alphabet	الفابيٽ
alphabetical	الفابيٽ
alpine	ايڪسڪس
alreadyyyyy	اڳين
altar	قربانيو
altar boy	قربانيو ڇوڪرو
alter	ڦيرائڻ
alteration	ڦيرڦار
altercation	ڦير ڦار
altered	تبديل ٿي وئي
alternate	متبادل
alternating	متبادل
alternative	ڪيڏو نه
altimeter	altimeter
altitude	اوچائي
alto	الفليٽ
altogether	مجموعي طور تي
aluminum	ايلومينيم
alumnus	قطار
alveolar	ڦيرواري
alzheimers	NO TRANSLATION
amalgam	ايم
amalgamation	واقف
amaretto	Amaretto
amass	سمنڊ ۾
amateur	شوق
amaze	بيزار
amazed	حيرت ٿي
amazedness	NO TRANSLATION
amazement	حيرت انگيز
amazing	هذا
amazingly	حيرت انگيز
ambassador	سفير
amber	امبر
ambience	فضيلت
ambient	وسيع
ambiguity	مونجهاري
ambiguous	غير جانبدار
ambit	عارضي آهي
ambition	لوڀ
ambitious	عجيب
ambivalent	مستحق
ambrosia	مونجهاري
ambulance	ايمبولنس
ambush	منهن ڏيڻ
ameliorate	حيرت انگيز
amen	اهي
amenable	ٻيا
amend	ترميم
amendment	ترميم
amends	مزاج آهي
amenity	ماڻهون
amethyst	بيٿو
amiable	بيحد آهي
amicable	چرچ
amid	مقتول
amidst	کان
amino	ايمينو
ammo	ڦوٽو
ammonia	امونيا
ammonium	امونيم
ammunition	گولا بارود
amnesia	ايمسيا
amnesty	ايماندار
amorous	بدمعاش
amorphous	بدمعاش
amortization	تعزيت
amount	رقم
amour	NO TRANSLATION
amp	amp
ampersand	ايمپرسند
amphetamines	ايمفٽينامائنس
amphibian	ايمفائيبيا
amphibious	عجيب
amphitheater	ھوشيارنگ
ample	نڪتل
amplification	تعصب
amplify	تعزيم
amplitude	ڪچهري
amply	بس
amputate	غلط آهي
amputation	واپرائڻ
amuck	ن آهيان
amulet	بدمعاش
amuse	چرچو
amused	چئي رهيو آهي
amusement	چرچو
amusing	خوشيء سان
ana	NO TRANSLATION
anaconda	انسانو
anaesthesia	انٽشاف
anaesthetic	جمالياتي
anagram	انتام
anal	مقعد
analgesic	تجزياتي
analogous	هڪڙو
analogue	هڪجهڙائي
analogy	ظاهري
analysis	تجزيو
analyst	تجزيهڪار
analytic	تجزياتي
analytical	تجزياتي
analyze	تجزيو
analyzer	تجزيو ڪندڙ
anaphylactic	غير يقيني
anarchism	انتشار
anarchist	آرڪيالاسٽ
anarchy	انارڪي
anastomosis	انتھاب
anathema	Anathema
anatomic	آرٽيڪل
anatomy	هڪ هٿ
ancestor	اڳوڻي
ancestral	اڳوڻي
ancestry	اڳڪٿيون
anchor	لنگر
anchorage	لنگر
ancient	قديم
ancillary	جانورن جو
androgen	اورڊو
android	۽ ڊائون لوڊ
anecdote	اڻ ڄاڻيو
anemia	وائيس
anemic	ويندڙ
anemone	هڪڙو
anesthesia	انٽشاف
anesthesiologist	اينٽيسيسيولوجسٽ
anesthetic	جمالياتي
aneurysm	هڪڙو
anew	نئون
angel	فرشتو
angelic	فرشتي
anger	ڪاوڙجي ويو
angered	ڪاوڙجي ويو
angermanagement	NO TRANSLATION
angina	انجنيئر
angiogram	اينگولوگرام
angiography	اينگرافيا
angle	ڪنڊ
angling	ٿڪجي سگھي ٿو
angora	ٻيڙ
angriest	بلڪل
angry	ڪاوڙجي ويو
angrytweet	NO TRANSLATION
angst	ٻڌل
anguish	ويڙهاڪ
anguished	جهڳڙو
angular	ڪنڊو
anhydrous	هڪڙو
animal	حيوان
animate	هڪڙو
animated	متحرڪ
animation	حرکت
animosity	فلاڻو
animus	مداخلت
ankle	پيالو
anklet	ننڍڙو
annals	نالا
annex	جزا
annexation	تڪليف
annexe	NO TRANSLATION
annihilate	نڀاڳو
annihilated	زبردست
annihilation	فنا
anniversary	ورسي
annotate	تجويز ڪيل
annotation	تشريح
announce	اعلان ڪيو
announcement	اعلان
announcer	آمر
annoy	نڀاڳ
annoyance	افسوس
annoyed	نڀاڳيو
annoyin	NO TRANSLATION
annoying	اجايو
annoys	نڀاڳ
annual	ساليانو
annuity	وقار
annul	نذر
annular	گهريل آهي
annulment	تڪليف
annulus	تڪليف
anointed	ڀائيوار
anointing	نائب
anomalous	ڦيرو
anomaly	انتھائي
anon	anon
anonymity	گمنام
anonymous	گمنام
anorexic	هڪ انديشي
answer	جواب ڏيو
answerable	جواب ڏيڻ
answering	جواب ڏيڻ
ant	ant
antagonism	دشمنيء
antagonist	سامراج پسند
antagonistic	غير جانبدار
antagonize	جهڳڙو
ante	NO TRANSLATION
antecedent	اڳڪٿيون
antelope	خوفناڪ آهي
antenna	انٽنا
anterior	ناڻو
anthem	انتھ
anthill	انتھائي
anthology	نظريي
anthrax	anthrax
anthropological	سائنس
anthropologist	انتھائي ماھر
anthropology	سائنس
anti	مخالف
antiaircraft	وائيس ڪنٽرول
antibiotic	اينٽي بائيوٽيڪٽ
antibiotics	اينٽي باڪس
antichrist	مقتول
anticipate	پيش ٿيو
anticipation	تڪڙ
anticipatory	تڪڙ
antics	وحدت
antidote	ڦيرو
antifungal	ٽپڻي
antigravity	وحدت
antimony	وڳوڙ
antipathy	اپيل
antiquarian	قديم
antiquated	مذمت ڪئي وئي
antique	قديم
antiques	آثارون
antiquity	قديم
antiseptic	انسائيڪلوپيڊيا
antisocial	غيرقانوني
antithesis	رياستي
antithetical	ھڪڙو
antiviral	اينٽيلل
antler	انسٽل
antsy	انتساب
anus	هڪڙو
anvil	ناڻو
anxiety	ڏڪڻ
anxietyattack	NO TRANSLATION
anxious	فڪر مند
anxiousness	اڻڄاڻ
anytime	ڪنهن به وقت
aorta	اورو
aortic	ڦٽو
apace	اٻڻ
apache	عارضي
apartment	اپارٽمنٽ
apartments	اپارٽمنٽ
apathetic	عجيب
apathy	معصوم
ape	ape
aperture	ايپرٽچر
apex	ايڪسڪس
aphid	ايفڊ
aphrodisiac	الففرافيڪ
apiece	مساوات
aplomb	ايپلبم
apocalypse	تڪليف
apocalyptic	ڦلپوٽو
apologetic	معافي
apologist	معافي ڏيندڙ
apologize	معافي وٺ
apology	معافي
apostasy	ارتقاء
apostate	ڪفر ڪيو
apostle	رسول خدا!
apostolic	رسول
apostrophe	رسول بخش
apothecary	اڻڄاڻ
appalled	اپيل
appalling	اپيل
apparatus	سامان
apparel	لباس
apparent	ظاهر آهي
apparently	ظاهر آهي
apparition	ظاهر
appeal	اپيل
appear	ظاهر ٿيندو
appearance	ظاهر
appease	درخواست ڏيو
appellant	ايپليٽمنٽ
append	شامل ڪريو
appendage	اپيل
appendectomy	اختياري ماهر
appendicitis	اپيلڪائٽون
appendix	ضمير
appetite	اشتراڪ
appetizer	ايپليڪيشن
appetizing	کي ٻڌائڻ
applaud	هن جو نالو
applause	آزمائش
apple	صوف
apple juice	صوف جو جوس
applejack	ايجٽ
applesauce	اي ميل
appliance	اوزار
appliances	سامان
applicability	درخواست ڏيڻ
applicable	لاڳو ٿيل
applicant	درخواست گذار
application	درخواست
apply	لاڳو
appoint	مقرر ڪريو
appointment	ملاقات
appointments	تقرري
apportion	آزمائش
apportionment	اختياري
appraisal	تشخيص
appraise	درخواست
appreciable	قابل قدر
appreciate	تعريف ڪريو
appreciated	قابل قدر
appreciates	تعريف ڪري ٿو
appreciation	تعریف
appreciative	تعريف
apprehend	اچڻو آهي
apprehension	ڄاڻ
apprehensive	مشڪل
apprentice	ايسوسيس
apprenticeship	استاد
approach	اچڻ
approaching	ٿيڻ
approbate	NO TRANSLATION
approbation	منظور
appropriate	مناسب
appropriation	اختياري
approval	منظوري
approve	منظور ڪيو
approved	منظور ٿيل
approvement	منظوري
approving	منظور ڪيو ويو
approximate	تقريبن
approximately	تقريبن
approximating	لڳ ڀڳ
approximation	لڳ ڀڳ
appurtenances	اپورنيٽس
apricot	ايڇوٽ
apron	ايڇون
apt	الف
aptitude	مهارت
aqua	ايڪو
aquamarine	آبيامين
aquarium	اڪرياري
aquatic	آبي
aqueduct	اجايو
aqueous	ڦاسي
arable	ميسر
arbiter	اڪرام
arbitrary	دلداري
arbitrate	ثالث
arbitration	ثالث
arbitrator	ثالث
arbor	پاس
arc	آرڪ
arcade	آرڪٽ
arcane	آرڪٽ
arch	ڪارو
archaeological	آثار قديمه
archaeologist	آثار قديمه جو ماھر
archaeology	آثار علم
archaic	نالا
archangel	ٻيڙي
archbishop	آرڪ ڀشپ
archdiocese	آرڪٽيڪسيس
archduke	آرڪٽروڪ
arched	ويران
archer	آرڪر
archery	تير اندازي
archetype	آرڪٽائپ
archipelago	ٻيٽ سائيڪل
architect	معمار
architectural	معمار
architecture	فن تعمير
archive	آرٽيڪل
arctic	آرڪٽيڪل
ardent	ardent
ardor	ardor
arduous	سخت
area	ايريا
arena	ميدان
areola	آهنولا
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	بحث ڪيو
argument	دليل
argumentation	دليل
argumentative	دلائل
arguments	دليل
arid	مريض
arise	اڀرڻ
aristocracy	ارسطو
aristocrat	ارسٽوڪرت
aristocratic	ارسطو
arithmetic	رياضي
ark	اٽڪ
arm	هٿ
armada	هٿيار
armament	هٿ
armaments	هٿياربندن
armature	هٿيار
armchair	وياسين
armed	هٿياربند
armor	هٿيار
armored	بازياب
armory	ورهه
armpit	ڦل
arms	هٿيارن
army	فوج
aroma	آما
aromatherapy	اروماتراپي
arousal	سريلي
arouse	تنهنجا
aroused	وڌو
arraignment	درٻار
arrange	بندوبست
arranged	بندوبست ڪيو ويو
arrangement	بندوبست
array	صف
arrears	خزانو
arrest	گرفتار ڪيو
arrhythmia	گرفتار ٿيل
arrival	آمد
arrive	پهچڻ
arrogance	وڏائي ڪندڙ
arrogant	وڏائي ڪندڙ
arrow	تير
arsehole	arsehole
arseholes	ارسلاڊس
arsenal	هاسٽل
arsenic	ارسنڪ
arson	ڀڃي
arsonist	ارسطو
art	فن
arterial	خطرناڪ
artery	شريان
artful	فنڪار آهي
arthritis	جنون
arthropod	ڄاتو وڃي ٿو
artichoke	فنڪار
article	مضمون
articles	مضمون
articulate	ظاهر آهي
articulation	ظاهر آهي
artifact	فنڪشنل
artifice	فنڪار
artificial	مصنوعي
artillery	اسلحه
artisan	آرٽيڪل
artist	فنڪار
artiste	NO TRANSLATION
artistic	فنڪار
artistry	آرٽسٽريٽ
artists	فنڪار
artwork	فنڪار
arty	آرڪي
asap	ٻيٽ
asbestos	ايٽيڪوس
ascend	ويٺو
ascendancy	ويٺو
ascendant	ويٺو
ascending	ويٺو
ascension	ويٺو
ascent	جيترو
ascertain	يقينا
ascertained	ثابت ٿيو
ascetic	ويٺو آهي
ash	رک
ashamed	شرم رھو
ashes	خاڪ
ashtray	جيترو
asinine	Asinine
ask	پڇيو
asleeep	NO TRANSLATION
asleep	سمهڻ
asp	ايڪس
asparagus	جيترا
aspartame	اسپراميم
aspect	پاسو
aspects	ساٿي
aspen	ايڪسپ
asphalt	اسفالٽ
asphyxia	asphyxia
asphyxiation	جيترو
aspiration	سڪ
aspire	سلطنت
aspirin	ايپيڊر
aspiring	سازش
ass	گدا
assail	ڌيان ڏيڻ
assailant	حملي ۾
assassin	قاتل
assassinate	قتل ڪيو
assassination	قتل
assault	حملو
assay	ڪوسو
assemblage	گڏجاڻي
assemble	گڏ
assembled	گڏ
assembly	گڏجاڻي
assemblyman	اسيمبلي ميمبر
assent	مددگار
assert	ڌاڙهو
asserting	ڌيان ڏيڻ
assertion	ڌمڪيون
assertive	زبردست
assess	ڄاڻيو
assessment	جائزي
assessor	ماهر
asset	ملڪيت
assets	اثاثو
asshole	جيترو
assign	تفويض
assignee	تفسيض
assignment	تفريحي
assimilate	هوشيار
assimilation	سازش
assist	مدد ڪرڻ
assistance	مدد
assistant	اسسٽنٽ
associate	ڳنڍيو
association	تنظيم
assorted	ڄاڻايل آهي
assortment	اشتراڪ
assuage	سمجهو
assume	فرض ڪيو
assumed	فرض ڪيو ويو آهي
assuming	سوچڻ
assumption	تصور
assurance	يقينن
assure	يقين رکو
assured	يقين ڏياريو
assuredly	يقين سان
asterisk	اسٽرڪاس
asteroid	اسٽرڊيو
asteroids	اسٽرولوڊس
asthma	اسماء
asthmatic	ايٽميٽ
astigmatism	astigmatism
astonish	ماٺ
astonished	حیران ٿيو
astonishing	حيران ڪندڙ
astonishingly	NO TRANSLATION
astonishment	ماڙ
astound	گنجائش
astral	astral
astray	گمراھ ٿيو
astringent	ڪوٺي
astrologer	astrologer
astrology	علم
astronaut	خلڪو رستو
astronomer	astronomer
astronomical	سترافياتي
astronomy	ستارو
astute	astute
asunder	جيترو
asylum	پناه
asymmetric	جيتري قدر
asymmetry	جيتري قدر
asymptotic	اڀياس
atelier	ايوريئر
atheism	حقائق
atheist	ڦاسي
atheistic	پسند رکو
atherosclerosis	آئرروسکلرسيس
athlete	ٽٽل
athletic	ايٿليڪ
athleticism	ايٿليليزم
athletics	ايٿليٽڪس
atlas	Atlas
atmosphere	ماحول
atmospheric	وصف
atoll	ٻيٽ
atom	جوهر
atomic	جوهر
atone	عرش
atonement	ٻيڙيون
atpeace	پاسپورٽ
atrium	آنريم
atrocious	ظلم
atrocity	ظلم
atrophy	atrophy
attach	ڳنڍيل
attached	سان ڳنڍيل آهي
attachment	ڪچهري
attack	حملو
attacker	حملو ڪندڙ
attacking	حملو ڪرڻ
attain	حاصل آهي
attainable	حاصل ڪرڻ وارو
attainment	حاصل ڪرڻ
attempt	ڪوشش ڪرڻ
attempted	ڪوشش ڪئي وئي
attend	گڏجاڻي ۾
attendance	حاضري
attendant	جاگيردار
attention	ڌيان ڏيڻ
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	سمجهو
attenuate	تڪليف
attenuated	ٺهرايو
attenuation	جواز آهي
attest	ثابت ٿيو
attestation	تعارف
attic	واقف ٿيو
attire	لباس
attitude	رويو
attorney	وڪيل
attract	پکڙيل آهي
attraction	ڪشش
attractive	کشش
attractiveness	جذباتي
attributable	منسوب
attribute	منسوب
attribution	انتساب
attrition	تڪليف
auburn	اٻاوڙ
auction	نيلام
auctioneer	نيلامي
audacious	زبردست
audacity	audacity
audible	ٻڌڻ
audience	گهريون
audio	آڊيو
audit	تدوين
audition	دستاويز
auditions	ايڊيشن
auditor	آڊيٽر
auditorium	ڳائيٽيڊيم
auditory	آڌار
aught	ھڪڙو
augment	تڪليف
augmentation	تڪليف
august	آگسٽ
aunt	چاچي
auntie	چاچي
aura	ايورا
aurora	اراور
auspices	وڇوڙي
auspicious	هڪٻئي جو
austere	هڪ
austerity	اذيت
authentic	مستند
authenticate	مستند
authentication	تصديق
authenticity	صداقت
author	ليکڪ
authoritative	مستند
authority	اختيار
authorization	اختيار ڏيڻ
authorize	اختيار ڏيڻ
authorized	بااختيار
authorship	ليکڪ
autism	خودمختياري
autistic	خودڪار
auto	خودڪار
autobiographical	آڱوٽو گرافي
autobiography	سوانح عمري
autocorrect	خودڪار
autocratic	خودمختيار
autograph	آڱوگراف
autographed	خودمختيار
automated	خودڪار
automatic	خودڪار
automobile	گاڏين جو
automotive	گاڏين جو
autonomy	خودمختياري
autopilot	خود مختيار
autopsy	خودڪار
autumn	سرء
auxiliary	معاون
avail	ٽارو
availability	دستياب
available	دستياب
avalanche	واه
avarice	حصو وٺندو
avatar	اوتار
avenge	انتقام
avenger	فائبر
avenging	ملهائڻ
avenue	هوس
aver	NO TRANSLATION
average	سراسري طور
aversation	NO TRANSLATION
averse	ٽارڻ
averseness	ايشوريت
aversion	نراس
avert	ڦيرائڻ
aviary	ايريز
aviation	هوائي
aviator	ايئر
avid	اياب
avocado	ايسوسيٽڪ
avoid	کان بچڻ
avoidance	بچت
avoiding	ختم ٿيڻ
