Word	th
actuary	ผู้ชำนา ณ การหาสถิติเกี่ยวกับการประกันภัย
acuity	ความรุนแรง
acumen	ความเฉียบแหลม
acupuncture	การฝังเข็ม
acute	รุนแรง
acutely	อย่างรุนแรง
ad	การโฆษณา
adage	สุภาษิต
adamant	ยืนกราน
adapt	ปรับ
adaptable	ปรับตัวได้
adaptation	การปรับตัว
add	เพิ่ม
added	ที่เพิ่ม
addendum	ภาคผนวก
adder	งูพิษ
addict	ผู้เสพติด
addicted	ติดยาเสพติด
addiction	ติดยาเสพติด
addictive	เสพติด
addition	การเพิ่ม
additional	เพิ่มเติม
additive	สารเติมแต่ง
address	ที่อยู่
addressee	ผู้รับจดหมาย
addresses	ที่อยู่
adept	เก่ง
adequacy	ความเพียงพอ
adequate	เพียงพอ
adhere	ยึดมั่น
adherence	การยึดมั่น
adherent	สานุศิษย์
adhering	ยึดมั่น
adhesion	ความศรัทธา
adhesive	ติดแน่น
adieu	ลาก่อน
adipose	ไขมันของสัตว์
adjacency	ถ้อยคำ
adjacent	ติดกัน
adjective	คำคุณศัพท์
adjoining	ติดกับ
adjourn	เลื่อน
adjournment	การเลื่อน
adjudicate	ตัดสิน
adjudication	การตัดสินใจ
adjunct	เสริม
adjust	ปรับ
adjuster	ปรับ
adjustment	การปรับ
adjuvant	เสริม
admin	ผู้ดูแลระบบ
administer	จัดการ
administration	การบริหาร
administrative	การบริหาร
administrator	ผู้บริหาร
admirable	โบแดง
admiral	พลเรือเอก
admiralty	กระทรวงทหารเรือ
admiration	สิ่งที่น่าชมเชย
admire	ชม
admired	ชื่นชม
admirer	แฟน
admiring	ที่เลื่อมใส
admissibility	ภัณฑ์
admissible	อนุญาตได้
admission	การรับเข้า
admit	ยอมรับ
admittance	การรับเข้า
admitted	ที่ยอมรับ
admitting	ยอมรับ
admixture	ส่วนผสม
admonition	การตักเตือน
ado	ความกังวลใจ
adobe	อะโดบี
adolescence	วัยรุ่น
adolescent	วัยรุ่น
adopt	นำมาใช้
adoption	การนำมาใช้
adoptive	บุญธรรม
adorable	น่ารัก
adoration	ความรัก
adore	รัก
adoring	ที่รัก
adorn	ประดับ
adornment	เครื่องประดับ
adrenalin	ต่อมหมวกไต
adrenaline	ตื่นเต้น
adrift	ไม่มีจุดหมาย
adult	ผู้ใหญ่
adulterated	ปลอมปน
adulterer	ชู้
adultery	การผิดประเวณี
adulthood	วุฒิ
advance	ความก้าวหน้า
advanced	สูง
advancement	ความก้าวหน้า
advancing	ความก้าวหน้า
advantage	ความได้เปรียบ
advantageous	ได้เปรียบ
advent	การกำเนิด
adventure	การผจญภัย
adventurer	นักผจญภัย
adventures	การผจญภัย
adventurous	ชอบผจญภัย
adversary	ฝ่ายตรงข้าม
adverse	ตรงข้าม
adversity	ความทุกข์ยาก
advertise	โฆษณา
advertisement	การโฆษณา
advertising	การโฆษณา
adverts	โฆษณา
advice	คำแนะนำ
advisable	สมควร
advise	แนะนำ
advised	ให้คำแนะนำ
advisement	การให้คำแนะนำ
adviser	ที่ปรึกษา
advisor	ที่ปรึกษา
advisory	ที่ปรึกษา
advocacy	ทนาย
advocate	สนับสนุน
aegis	โล่
aeration	การเติมอากาศ
aerial	สายอากาศ
aerobics	กายกรรม
aerodrome	สนามบิน
aerodynamic	อากาศพลศาสตร์
aerodynamics	อากาศพลศาสตร์
aeronautics	วิชาการบิน
aeroplane	เครื่องบิน
aerospace	การบินและอวกาศ
aesthetic	สุนทรียะ
aesthetics	สุนทรียศาสตร์
aetiology	สาเหตุ
afar	แต่ไกล
affable	น่ารัก
affair	เรื่อง
affect	มีผลต่อ
affecting	น่าสงสาร
affection	ความรัก
affectionate	ที่รักใคร่
affections	ความรัก
affiche	NO TRANSLATION
affidavit	คำเบิกความ
affiliated	บริษัท ในเครือ
affiliation	การติดต่อ
affinity	ความเป็นพี่น้องกัน
affirm	ยืนยัน
affirmation	การยืนยัน
affirmative	ซึ่งยืนยัน
affirmatively	โดยยืนยัน
affix	ติด
afflict	ทำให้เดือดร้อน
afflicted	ทรมาน
affliction	ความทุกข์
affluence	ความมั่งคั่ง
affluent	ร่ำรวย
afford	จ่าย
affordable	ราคาไม่แพง
affront	ดูหมิ่น
affronted	affronted
afield	ในทุ่งนา
afire	ไฟไหม้
afloat	ลอยไป
afore	แต่ก่อน
aforementioned	ดังกล่าว
aforesaid	ดังกล่าว
afraid	เกรงกลัว
afresh	อีกครั้ง
african	แอฟริกัน
aft	ไปทางท้ายเรือ
afterlife	ชีวิตภายหลังมรณะ
aftermath	ควันหลง
afternoon	ตอนบ่าย
aftershave	โลชั่นหลังโกนหนวด
aftertaste	ค้างอยู่ในคอ
afterthought	คำอธิบายเพิ่มเติม
aga	NO TRANSLATION
agape	อ้าปากกว้าง
agate	หินโมรา
age	อายุ
aged	มีอายุ
agency	หน่วยงาน
agenda	ระเบียบวาระการประชุม
agent	ตัวแทน
agglomeration	การรวมตัวกัน
aggravate	ซ้ำเติม
aggravated	กำเริบ
aggravates	aggravates
aggravating	aggravating
aggravation	การทำให้รุนแรงขึ้น
aggregate	สรุป
aggregation	การรวมตัว
aggresive	NO TRANSLATION
aggression	การรุกราน
aggressive	ก้าวร้าว
aggressively	อุกอาจ
aggressiveness	ความแข็งขัน
aggressor	ผู้รุกราน
agh	AGH
aghast	ตกตะลึง
aghhh	NO TRANSLATION
agile	เปรียว
agility	ความว่องไว
aging	ริ้วรอย
agitate	ปั่นหัว
agitated	ตื่นเต้น
agitation	การก่อกวน
aglow	อิ่มเอิบ
agnostic	ไม่เชื่อเรื่องพระเจ้า
ago	มาแล้ว
agonizing	ที่ทนทุกข์ทรมาน
agony	ความทุกข์ทรมาน
agoraphobia	อาทิเช่น
agree	ตกลง
agreeable	น่าพอใจ
agreed	ตกลง
agreeing	เห็นพ้อง
agreement	ข้อตกลง
agressive	NO TRANSLATION
agricultural	การเกษตร
agriculture	การเกษตร
aground	บนพื้นดิน
agua	NO TRANSLATION
ahead	ล่วงหน้า
ahhh	ahhh ค
ahhhhhhhh	NO TRANSLATION
ahoy	เสียงเรียก
aid	ช่วยเหลือ
aide	เสนาธิการ
aiding	การช่วยงาน
aids	เอดส์
ail	ลำบาก
ailing	ไม่สบาย
ailment	โรค
aim	จุดมุ่งหมาย
aimless	จับจด
air	อากาศ
airbag	ถุงลมนิรภัย
airborne	ขนมาทางอากาศ
aircraft	อากาศยาน
aircraft carrier	เรือบรรทุกเครื่องบิน
airfield	สนามบิน
airhead	คนโง่
airlift	การขนส่งทางอากาศ
airline	สายการบิน
airliner	เครื่องบินโดยสาร
airlock	ผนึก
airman	นักบิน
airplane	เครื่องบิน
airport	สนามบิน
airs	มาด
airship	เรือเหาะ
airspace	น่านฟ้า
airspeed	เครื่องบิน
airstrip	สนามบิน
airtight	อัดลม
airway	สายการบิน
aisle	ทางเดินระหว่างที่นั่ง
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	อาคา
akin	คล้ายกัน
alabaster	เศวตศิลา
alarm	สัญญาณเตือนภัย
alarm clock	นาฬิกาปลุก
alarmed	ตระหนก
alarming	น่ากลัว
alas	อนิจจา
alb	NO TRANSLATION
albatross	นกทะแลชนิทใหญ่
albino	คนเผือก
album	อัลบั้ม
alchemy	การเล่นแร่แปรธาตุ
alcohol	แอลกอฮอล์
alcoholic	มีส่วนผสมของแอลกอฮอล์
alcoholism	พิษสุราเรื้อรัง
alcove	ซุ้มไม้
alderman	เทศมนตรี
ale	NO TRANSLATION
alert	เตือนภัย
alertness	การเตรียมพร้อม
alerts	การแจ้งเตือน
alfalfa	หญ้าชนิตหนึ่ง
algebra	พีชคณิต
algebraic	เกี่ยวกับพีชคณิต
algorithm	ขั้นตอนวิธี
alias	นามแฝง
alibi	ข้อแก้ตัว
alien	มนุษย์ต่างดาว
alienate	โอน
alienated	แปลก
alienation	การโอนเงิน
alight	ลุก
align	เป็นเส้นตรง
aligned	แนวราบ
alignment	การวางแนว
alike	เหมือนกัน
alimentation	NO TRANSLATION
alimony	ค่าเลี้ยงดู
aliquot	เลขที่นำไปหารจำนวนอื่นได้ลงตัว
alive	มีชีวิตอยู่
alkali	ด่าง
alkaloids	ลคาลอยด์
allay	บรรเทา
allegation	ข้อกล่าวหา
allege	กล่าวหา
alleged	ถูกกล่าวหา
allegiance	ความจงรักภักดี
allegorical	เป็นเชิงเปรียบเทียบ
allegory	ชาดก
allegro	ดนตรีเร็ว
allergic	แพ้
allergy	โรคภูมิแพ้
alleviate	บรรเทา
alleviation	การบรรเทา
alley	ซอย
alleyway	ตรอก
alliance	พันธมิตร
allied	เป็นพันธมิตรกัน
alligator	จระเข้
allocate	จัดสรร
allocation	การจัดสรร
allot	เจียด
allotment	ส่วนแบ่ง
allow	อนุญาต
allowable	อนุญาต
allowance	เบี้ยเลี้ยง
allowed	ได้รับอนุญาต
alloy	โลหะผสม
allsmiles	NO TRANSLATION
allure	จูงใจ
alluring	มีเสน่ห์
allusion	การพาดพิง
alluvial	ลุ่มน้ำ
ally	พันธมิตร
almanac	ปูม
almighty	ยิ่งใหญ่
almond	อัลมอนด์
aloft	สูงขึ้น
aloha	Aloha
alone	คนเดียว
alongside	คู่ขนาน
aloof	ห่าง
aloud	ดัง
alpha	แอลฟา
alphabet	ตัวอักษร
alphabetical	ตามตัวอักษร
alpine	อัลไพน์
alreadyyyyy	alreadyyyyy
altar	แท่นบูชา
altar boy	เด็กชายแท่นบูชา
alter	แก้ไข
alteration	การเปลี่ยนแปลง
altercation	การทะเลาะ
altered	การเปลี่ยนแปลง
alternate	สลับกัน
alternating	สลับกัน
alternative	ทางเลือก
altimeter	เครื่องวัดระยะสูง
altitude	ระดับความสูง
alto	อัลโต
altogether	โดยสิ้นเชิง
aluminum	อลูมิเนียม
alumnus	ศิษย์เก่า
alveolar	ถุง
alzheimers	NO TRANSLATION
amalgam	สิ่งผสมกัน
amalgamation	การรวม
amaretto	Amaretto
amass	สะสม
amateur	มือสมัครเล่น
amaze	ตะลึงพรึงเพริด
amazed	ประหลาดใจ
amazedness	NO TRANSLATION
amazement	ความประหลาดใจ
amazing	น่าอัศจรรย์
amazingly	ที่น่าอัศจรรย์ใจ
ambassador	ทูต
amber	สีเหลืองอำพัน
ambience	บรรยากาศ
ambient	ล้อมรอบ
ambiguity	ความคลุมเครือ
ambiguous	คลุมเครือ
ambit	วง
ambition	ความทะเยอทะยาน
ambitious	ทะเยอทะยาน
ambivalent	สับสน
ambrosia	อาหารทิพย์
ambulance	รถพยาบาล
ambush	ที่ซุ่ม
ameliorate	ผดุง
amen	สาธุ
amenable	รับผิดชอบ
amend	แก้ไข
amendment	การแก้ไข
amends	การชดเชย
amenity	ความดี
amethyst	พลอยสีม่วง
amiable	มีอัธยาศัยดี
amicable	เป็นมิตร
amid	ท่ามกลาง
amidst	ท่ามกลาง
amino	อะมิโน
ammo	กระสุน
ammonia	สารแอมโมเนีย
ammonium	แอมโมเนียม
ammunition	กระสุน
amnesia	ความจำเสื่อม
amnesty	นิรโทษกรรม
amorous	เกี่ยวกับความรัก
amorphous	ไม่มีรูปร่าง
amortization	ค่าตัดจำหน่าย
amount	จำนวน
amour	NO TRANSLATION
amp	แอมป์
ampersand	เครื่องหมาย
amphetamines	ยาบ้า
amphibian	สัตว์ครึ่งบกครึ่งน้ำ
amphibious	สะเทินน้ำสะเทินบก
amphitheater	อัฒจันทร์
ample	กว้างขวาง
amplification	การขยาย
amplify	ขยาย
amplitude	ความกว้าง
amply	อย่างพอเพียง
amputate	ตัดแขนขา
amputation	การตัดแขนขา
amuck	อาละวาด
amulet	เครื่องราง
amuse	เป็นที่ชอบใจ
amused	ขบขัน
amusement	มหรสพ
amusing	น่าขบขัน
ana	NO TRANSLATION
anaconda	งูใหญ่
anaesthesia	การระงับความรู้สึก
anaesthetic	ยาชา
anagram	แอนนาแกรม
anal	ทางทวารหนัก
analgesic	ยาแก้ปวด
analogous	คล้ายคลึง
analogue	อนาล็อก
analogy	การเปรียบเทียบ
analysis	การวิเคราะห์
analyst	นักวิเคราะห์
analytic	วิเคราะห์
analytical	การวิเคราะห์
analyze	วิเคราะห์
analyzer	วิเคราะห์
anaphylactic	anaphylactic
anarchism	อนาธิปไตย
anarchist	ผู้นิยมอนาธิปไตย
anarchy	อนาธิปไตย
anastomosis	anastomosis
anathema	คำสาปแช่ง
anatomic	เกี่ยวกับกายวิภาค
anatomy	กายวิภาคศาสตร์
ancestor	บรรพบุรุษ
ancestral	บรรพบุรุษ
ancestry	บรรพบุรุษ
anchor	สมอ
anchorage	ที่ทอดสมอ
ancient	โบราณ
ancillary	ขึ้นอยู่กับ
androgen	แอนโดรเจน
android	หุ่นยนต์
anecdote	เกร็ดพงศาวดาร
anemia	โรคโลหิตจาง
anemic	โรคโลหิตจาง
anemone	ดอกไม้ชนิดหนึ่ง
anesthesia	การระงับความรู้สึก
anesthesiologist	หม้อที่ให้ยาสลบ
anesthetic	ยาชา
aneurysm	ปากทาง
anew	ใหม่
angel	นางฟ้า
angelic	ดีงาม
anger	ความโกรธ
angered	โกรธ
angermanagement	NO TRANSLATION
angina	โรคหลอดเลือดหัวใจตีบ
angiogram	angiogram
angiography	angiography
angle	มุม
angling	การตกปลา
angora	ผ้าสักหลาดขนแพะ
angriest	โมโหโกรธา
angry	โกรธ
angrytweet	NO TRANSLATION
angst	ความทุกข์
anguish	ความปวดร้าว
anguished	กดขี่
angular	เชิงมุม
anhydrous	ไม่มีน้ำ
animal	สัตว์
animate	มีชีวิต
animated	มีชีวิตชีวา
animation	ภาพเคลื่อนไหว
animosity	ความเป็นปรปักษ์
animus	ความเกลียดชัง
ankle	ข้อเท้า
anklet	กำไลข้อเท้า
annals	ประชุมพงศาวดาร
annex	ภาคผนวก
annexation	การผนวก
annexe	NO TRANSLATION
annihilate	ทำลาย
annihilated	วินาศ
annihilation	การทำลายล้าง
anniversary	วันครบรอบ
annotate	อธิบาย
annotation	คำอธิบายประกอบ
announce	ประกาศ
announcement	การประกาศ
announcer	ผู้ประกาศข่าว
annoy	รบกวน
annoyance	ความน่ารำคาญ
annoyed	รำคาญ
annoyin	NO TRANSLATION
annoying	น่ารำคาญ
annoys	รำคาญ
annual	ประจำปี
annuity	เงินปี
annul	ยกเลิก
annular	เป็นรูปวงแหวน
annulment	การเพิกถอน
annulus	ห่วง
anointed	ทรงเจิมไว้
anointing	เจิม
anomalous	ผิดปกติ
anomaly	ความผิดปกติ
anon	ไม่ช้า
anonymity	ไม่เปิดเผยชื่อ
anonymous	ไม่ระบุชื่อ
anorexic	anorexic
answer	ตอบ
answerable	ที่ตอบได้
answering	ตอบ
ant	มด
antagonism	การเป็นปรปักษ์กัน
antagonist	ศัตรู
antagonistic	เป็นศัตรูกัน
antagonize	ทำให้ไม่ถูกกัน
ante	NO TRANSLATION
antecedent	มาก่อน
antelope	ละมั่ง
antenna	เสาอากาศ
anterior	หน้า
anthem	เพลงชาติ
anthill	จอมปลวก
anthology	กวีนิพนธ์
anthrax	โรคระบาดสัตว์
anthropological	มานุษยวิทยา
anthropologist	นักมานุษยวิทยา
anthropology	มานุษยวิทยา
anti	ต่อต้าน
antiaircraft	ต่อสู้อากาศยาน
antibiotic	ยาปฏิชีวนะ
antibiotics	ยาปฏิชีวนะ
antichrist	มาร
anticipate	คาดหวัง
anticipation	ความคาดหมาย
anticipatory	ที่มุ่งหวัง
antics	NO TRANSLATION
antidote	ยาแก้พิษ
antifungal	เชื้อรา
antigravity	ต้านแรงโน้มถ่วง
antimony	พลวง
antipathy	ความเกลียดชัง
antiquarian	โบราณ
antiquated	โบราณ
antique	โบราณ
antiques	ของเก่า
antiquity	สมัยโบราณ
antiseptic	ยาฆ่าเชื้อโรค
antisocial	ต่อต้านสังคม
antithesis	สิ่งที่ตรงกันข้าม
antithetical	ถือ
antiviral	ต้านไวรัส
antler	เขากวาง
antsy	antsy
anus	ทวารหนัก
anvil	ทั่งตีเหล็กหรือตีทอง
anxiety	ความกังวล
anxietyattack	NO TRANSLATION
anxious	กระวนกระวาย
anxiousness	ความกังวล
anytime	ทุกที่ทุกเวลา
aorta	เส้นเลือดใหญ่
aortic	หลอดเลือด
apace	อย่างเร็ว
apache	อาปาเช่
apartment	อพาร์ทเม้น
apartments	พาร์ทเมนท์
apathetic	ไม่แยแส
apathy	ความไม่แยแส
ape	จ๋อ
aperture	รู
apex	ปลาย
aphid	เพลี้ย
aphrodisiac	ยาโป๊
apiece	คนละ
aplomb	ความมั่นใจในตนเอง
apocalypse	คัมภีร์ของศาสนาคริสต์
apocalyptic	สันทราย
apologetic	เชิงขอโทษ
apologist	ผู้ขอโทษ
apologize	ขอโทษ
apology	คำขอโทษ
apostasy	การละทิ้งศาสนา
apostate	นอกศาสนา
apostle	สาวก
apostolic	สมเด็จพระสังฆราช
apostrophe	จุดลูกน้ำ
apothecary	เภสัชกร
appalled	ตกใจ
appalling	น่ากลัว
apparatus	อุปกรณ์
apparel	เครื่องนุ่งห่ม
apparent	เห็นได้ชัด
apparently	เด่นชัด
apparition	ผี
appeal	อุทธรณ์
appear	ปรากฏ
appearance	การปรากฏ
appease	เอาใจ
appellant	ผู้อุทธรณ์
append	ผนวก
appendage	รยางค์
appendectomy	ไส้ติ่ง
appendicitis	ไส้ติ่งอับเสบ
appendix	ภาคผนวก
appetite	ความกระหาย
appetizer	อาหารจานหลัก
appetizing	น่ารับประทาน
applaud	ปรบมือ
applause	การปรบมือ
apple	แอปเปิ้ล
apple juice	น้ำแอปเปิ้ล
applejack	Applejack
applesauce	ซอสแอปเปิ้ล
appliance	เครื่องใช้
appliances	เครื่องใช้ไฟฟ้า
applicability	การบังคับใช้
applicable	เหมาะสม
applicant	ผู้ขอ
application	ใบสมัคร
apply	ใช้
appoint	แต่งตั้ง
appointment	การแต่งตั้ง
appointments	การนัดหมาย
apportion	แบ่งปัน
apportionment	การแบ่งปัน
appraisal	การประเมินค่า
appraise	ประเมินค่า
appreciable	เห็นได้
appreciate	ซาบซึ้ง
appreciated	ชื่นชม
appreciates	ชื่นชม
appreciation	ชื่นชม
appreciative	เห็นคุณค่า
apprehend	จับกุม
apprehension	ความหวาดหวั่น
apprehensive	เกรงกลัว
apprentice	ฝึกงาน
apprenticeship	การฝึกงาน
approach	เข้าใกล้
approaching	ใกล้เข้ามา
approbate	NO TRANSLATION
approbation	การอนุมัติ
appropriate	เหมาะสม
appropriation	การจัดสรร
approval	การอนุมัติ
approve	อนุมัติ
approved	ได้รับการอนุมัติ
approvement	อนุมัติสินเชื่อ
approving	ที่อนุมัติ
approximate	ประมาณ
approximately	ประมาณ
approximating	ใกล้เคียง
approximation	การประมาณ
appurtenances	appurtenances
apricot	แอปริคอท
apron	ผ้ากันเปื้อน
apt	ฉลาด
aptitude	ความถนัด
aqua	น้ำ
aquamarine	พลอยสีฟ้า
aquarium	พิพิธภัณฑ์สัตว์น้ำ
aquatic	น้ำ
aqueduct	ท่อระบายน้ำ
aqueous	ที่มีน้ำ
arable	การเพาะปลูก
arbiter	ผู้ตัดสิน
arbitrary	โดยพลการ
arbitrate	ตัดสิน
arbitration	อนุญาโตตุลาการ
arbitrator	อนุญาโตตุลาการ
arbor	ต้นไม้
arc	เส้นโค้ง
arcade	อาเขต
arcane	ความลับ
arch	โค้ง
archaeological	เกี่ยวกับโบราณคดี
archaeologist	นักโบราณคดี
archaeology	โบราณคดี
archaic	โบราณ
archangel	หัวหน้าทูตสวรรค์
archbishop	หัวหน้าบาทหลวง
archdiocese	อัครสังฆมณฑล
archduke	ขุนนางชั้นสูงสุด
arched	โค้ง
archer	คนยิงธนู
archery	การยิงธนู
archetype	แม่แบบ
archipelago	หมู่เกาะ
architect	สถาปนิก
architectural	ในเชิงสถาปัตยกรรม
architecture	สถาปัตยกรรม
archive	เก็บ
arctic	เกี่ยวกับขั้วโลกเหนือ
ardent	กระตือรือร้น
ardor	ความกระตือรือร้น
arduous	ลำบาก
area	พื้นที่
arena	สนามกีฬา
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	โอ๊ะ
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	เถียง
argument	การโต้เถียง
argumentation	การโต้แย้ง
argumentative	ชอบเถียง
arguments	ข้อโต้แย้ง
arid	แห้งแล้ง
arise	เกิดขึ้น
aristocracy	ชนชั้นสูง
aristocrat	ขุนนาง
aristocratic	ชนชั้นสูง
arithmetic	คณิตศาสตร์
ark	เรือ
arm	แขน
armada	กองทัพเรือใหญ่
armament	อาวุธยุทธภัณฑ์
armaments	อาวุธยุทโธปกรณ์
armature	กระดอง
armchair	เก้าอี้นวม
armed	ติดอาวุธ
armor	เกราะ
armored	หุ้มเกราะ
armory	คลังอาวุธ
armpit	รักแร้
arms	อาวุธ
army	กองทัพบก
aroma	กลิ่นหอม
aromatherapy	น้ำมันหอมระเหย
arousal	ความเร้าอารมณ์
arouse	กระตุ้น
aroused	กระตุ้น
arraignment	การฟ้องร้อง
arrange	เตรียมการ
arranged	จัด
arrangement	การจัดการ
array	แถว
arrears	งานที่ค้าง
arrest	จับกุม
arrhythmia	หัวใจเต้นผิดจังหวะ
arrival	การมาถึง
arrive	มาถึง
arrogance	ความหยิ่ง
arrogant	หยิ่ง
arrow	ลูกศร
arsehole	arsehole
arseholes	arseholes
arsenal	คลังแสง
arsenic	สารหนู
arson	การลอบวางเพลิง
arsonist	วางเพลิง
art	ศิลปะ
arterial	สายใหญ่
artery	เส้นเลือดแดง
artful	เก่ง
arthritis	โรคไขข้อ
arthropod	arthropod
artichoke	อาติโช๊ค
article	บทความ
articles	บทความ
articulate	เป็นปล้อง
articulation	การประกบ
artifact	สิ่งประดิษฐ์
artifice	แง่งอน
artificial	เทียม
artillery	ปืนใหญ่
artisan	ช่าง
artist	ศิลปิน
artiste	NO TRANSLATION
artistic	ศิลปะ
artistry	งานศิลป์
artists	ศิลปิน
artwork	งานศิลปะ
arty	มีท่าทางเป็นศิลปิน
asap	โดยเร็วที่สุด
asbestos	แรี่ใยหินชนิดหนึ่ง
ascend	ขึ้นไป
ascendancy	อำนาจวาสนา
ascendant	ลัคนา
ascending	จากน้อยไปมาก
ascension	การขึ้นสวรรค์
ascent	ทางขึ้น
ascertain	สืบหา
ascertained	การตรวจสอบ
ascetic	นักพรต
ash	เถ้า
ashamed	ละอายใจ
ashes	ขี้เถ้า
ashtray	ที่เขี่ยบุหรี่
asinine	โง่
ask	ถาม
asleeep	NO TRANSLATION
asleep	นอนหลับ
asp	งูเห่า
asparagus	หน่อไม้ฝรั่ง
aspartame	สารให้ความหวาน
aspect	แง่มุม
aspects	ด้าน
aspen	ต้นไม้แอซป์
