Word	lo
acquittal	ການຍົກເວັ້ນ
acre	acre
acreage	acreage
acres	acres
acrobat	acrobat
acrylic	acrylic
act	ປະຕິບັດ
acting	acting
action	ການປະຕິບັດ
action figure	ຕົວເລກການປະຕິບັດ
actionable	ສາມາດປະຕິບັດໄດ້
activate	activate
activation	activation
active	active
activist	activist
activity	ກິດຈະກໍາ
actor	ນັກສະແດງ
actress	ນັກສະແດງ
actual	ຈິງ
actuality	ຈິງໆ
actuary	actuary
acuity	acuity
acumen	acumen
acupuncture	acupuncture
acute	ຮຸນ​ແຮງ
acutely	ຢ່າງລຸນແຮງ
ad	ad
adage	adage
adamant	ຫມັ້ນຄົງ
adapt	ດັດແປງ
adaptable	ສາມາດປັບໄດ້
adaptation	ການຮັບຮອງເອົາ
add	ເພີ່ມເຕີມ
added	ເພີ່ມ
addendum	addendum
adder	adder
addict	addict
addicted	ຕິດ
addiction	addiction
addictive	addictive
addition	ນອກເຫນືອຈາກນັ້ນ
additional	ເພີ່ມເຕີມ
additive	additive
address	ທີ່ຢູ່
addressee	ຜູ້ຂຽນ
addresses	ທີ່ຢູ່
adept	adept
adequacy	ພຽງພໍ
adequate	ພຽງພໍ
adhere	ຕິດຕາມ
adherence	adherence
adherent	ຕິດຕາມ
adhering	adhering
adhesion	adhesion
adhesive	adhesive
adieu	adieu
adipose	adipose
adjacency	adjacency
adjacent	ຢູ່ໃກ້ຄຽງ
adjective	adjective
adjoining	adjoining
adjourn	ເລື່ອນເວລາ
adjournment	ການເລື່ອນເວລາ
adjudicate	ຕັດສິນ
adjudication	adjudication
adjunct	adjunct
adjust	ປັບປຸງ
adjuster	adjuster
adjustment	ການປັບປຸງ
adjuvant	adjuvant
admin	admin
administer	ຄຸ້ມຄອງ
administration	ການບໍລິຫານ
administrative	ການບໍລິຫານ
administrator	ຜູ້​ບໍ​ລິ​ຫານ
admirable	ຫນ້າຮັກ
admiral	admiral
admiralty	admiralty
admiration	ຊົມເຊີຍ
admire	ຊົມເຊີຍ
admired	ຊົມເຊີຍ
admirer	admirer
admiring	ຊົມເຊີຍ
admissibility	ຍອມຮັບ
admissible	ຍອມຮັບ
admission	admission
admit	ຍອມຮັບ
admittance	admittance
admitted	ຍອມຮັບ
admitting	ຍອມຮັບ
admixture	admixture
admonition	ຄໍາແນະນໍາ
ado	ado
adobe	adobe
adolescence	ໄວລຸ້ນ
adolescent	ໄວລຸ້ນ
adopt	ຮັບຮອງເອົາ
adoption	ການຮັບຮອງເອົາ
adoptive	adoptive
adorable	ຫນ້າຮັກ
adoration	ຫນ້າຮັກ
adore	ຮັກແພງ
adoring	adoring
adorn	ຕົກແຕ່ງ
adornment	ເຄື່ອງປະດັບ
adrenalin	adrenalin
adrenaline	adrenaline
adrift	ຫລີກລ່ຽງ
adult	ຜູ້ໃຫຍ່
adulterated	ປອມແປງ
adulterer	adulterer
adultery	ການລ່ວງລະເມີດ
adulthood	adulthood
advance	ລ່ວງຫນ້າ
advanced	advanced
advancement	ຄວາມກ້າວຫນ້າ
advancing	ກ້າວຫນ້າ
advantage	ປະໂຫຍດ
advantageous	ມີປະໂຍດ
advent	ມາຮອດ
adventure	ໄຟອັນຕລາຍ
adventurer	ເຫດການ
adventures	ເຫດການ
adventurous	ການຜະຈົນໄພ
adversary	opponent
adverse	ເປັນທາງລົບ
adversity	ຄວາມຍາກລໍາບາກ
advertise	ໂຄສະນາ
advertisement	ການໂຄສະນາ
advertising	ການໂຄສະນາ
adverts	ໂຄສະນາ
advice	ຄໍາແນະນໍາ
advisable	ຄວນແນະນໍາ
advise	ໃຫ້ຄໍາແນະນໍາ
advised	ແນະນໍາ
advisement	ຄໍາແນະນໍາ
adviser	ທີ່ປຶກສາ
advisor	ທີ່ປຶກສາ
advisory	ຄໍາແນະນໍາ
advocacy	ການສະຫນັບສະຫນູນ
advocate	ສະຫນັບສະຫນູນ
aegis	aegis
aeration	aeration
aerial	aerial
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	ເຮືອບິນ
aerospace	aerospace
aesthetic	ຄວາມງາມ
aesthetics	ສຸຂະພາບ
aetiology	aetiology
afar	ຫ່າງໄກ
affable	affable
affair	ເລື່ອງ
affect	ຜົນກະທົບ
affecting	affecting
affection	ຄວາມຮັກ
affectionate	ຮັກແພງ
affections	affections
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	ຕິດຕໍ່
affiliation	ພັນທະມິດ
affinity	affinity
affirm	ຢືນຢັນ
affirmation	ການຢືນຢັນ
affirmative	ຍືນຍັນ
affirmatively	ຢ່າງແນ່ນອນ
affix	affix
afflict	ທຸກທໍລະມານ
afflicted	ທຸກທໍລະມານ
affliction	ຄວາມທຸກທໍລະມານ
affluence	ຄວາມອຸດົມສົມບູນ
affluent	ມີກໍາລັງໃຈ
afford	ສາມາດຈ່າຍໄດ້
affordable	affordable
affront	ຫນ້າຢ້ານກົວ
affronted	ຫນ້າຢ້ານກົວ
afield	afield
afire	ໄຟ
afloat	ລ່ອງລອຍ
afore	ກ່ອນຫນ້ານີ້
aforementioned	aforementioned
aforesaid	aforesaid
afraid	ຢ້ານ
afresh	ໃຫມ່
african	african
aft	aft
afterlife	afterlife
aftermath	aftermath
afternoon	ຕອນບ່າຍ
aftershave	aftershave
aftertaste	aftertaste
afterthought	afterthought
aga	NO TRANSLATION
agape	agape
agate	agate
age	ອາຍຸສູງສຸດ
aged	ອາຍຸ
agency	agency
agenda	agenda
agent	ຕົວແທນ
agglomeration	agglomeration
aggravate	aggravate
aggravated	aggravated
aggravates	ເພີ່ມເຕີມ
aggravating	ເພີ່ມເຕີມ
aggravation	aggravation
aggregate	ລວມ
aggregation	aggregation
aggresive	NO TRANSLATION
aggression	ການຮຸກຮານ
aggressive	ຮຸກຮານ
aggressively	ຢ່າງຮຸນແຮງ
aggressiveness	aggressiveness
aggressor	ຜູ້ຮຸກຮານ
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	ວ່ອງໄວ
agility	ວ່ອງໄວ
aging	aging
agitate	ກະຕືລືລົ້ນ
agitated	agitated
agitation	agitation
aglow	aglow
agnostic	agnostic
ago	ກ່ອນຫນ້ານີ້
agonizing	agonizing
agony	ຄວາມເຈັບປວດ
agoraphobia	agoraphobia
agree	ຍອມຮັບ
agreeable	ຍິນດີ
agreed	ໄດ້ຕົກລົງກັນ
agreeing	ຍອມຮັບ
agreement	ຂໍ້ຕົກລົງ
agressive	NO TRANSLATION
agricultural	ກະສິກໍາ
agriculture	ການກະສິກໍາ
aground	ຂັດຂວາງ
agua	NO TRANSLATION
ahead	ຂ້າງຫນ້າ
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	ຊ່ວຍເຫຼືອ
aide	aide
aiding	ການຊ່ວຍເຫຼືອ
aids	ຊ່ວຍເຫຼືອ
ail	ail
ailing	ເຈັບປ່ວຍ
ailment	ໂລກພະຍາດ
aim	ຈຸດປະສົງ
aimless	aimless
air	ອາກາດ
airbag	airbag
airborne	ອາກາດ
aircraft	ເຄື່ອງບິນ
aircraft carrier	ເຮືອບິນ
airfield	airfield
airhead	airhead
airlift	airlift
airline	ສາຍການບິນ
airliner	ເຮືອບິນ
airlock	airlock
airman	airman
airplane	ເຮືອບິນ
airport	ສະ​ຫນາມ​ບິນ
airs	airs
airship	airship
airspace	airspace
airspeed	airspeed
airstrip	airstrip
airtight	airtight
airway	ທາງອາກາດ
aisle	aisle
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	akin
alabaster	alabaster
alarm	ເຕືອນ
alarm clock	ໂມງ​ປຸກ
alarmed	ເຕືອນ
alarming	ເປັນອັນຕະລາຍ
alas	ອືມ
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	ອັນລະບັ້ມ
alchemy	alchemy
alcohol	ເຫຼົ້າ
alcoholic	ເຫຼົ້າແວງ
alcoholism	alcoholism
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	ເຕືອນ
alertness	ຄວາມວ່ອງໄວ
alerts	ແຈ້ງເຕືອນ
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algorithm
alias	alias
alibi	alibi
alien	ຄົນຕ່າງດ້າວ
alienate	alienate
alienated	alienated
alienation	alienation
alight	ໄຟໄຫມ້
align	align
aligned	aligned
alignment	alignment
alike	ຄືກັນ
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	ມີຊີວິດຢູ່
alkali	alkali
alkaloids	alkaloids
allay	ເຮັດໃຫ້ທັງຫມົດ
allegation	ຂໍ້ກ່າວຫາ
allege	ກ່າວຫາ
alleged	ຖືກກ່າວຫາ
allegiance	ຄວາມຈົງຮັກພັກດີ
allegorical	allegorical
allegory	allegory
allegro	allegro
allergic	ອາການແພ້
allergy	ອາການແພ້
alleviate	ແກ້ບັນຫາ
alleviation	ການຫຼຸດຜ່ອນ
alley	ຊອຍ
alleyway	ທາງທິດໃຕ້
alliance	ພັນທະມິດ
allied	allied
alligator	alligator
allocate	ຈັດສັນ
allocation	ການຈັດສັນ
allot	allot
allotment	ການແບ່ງປັນ
allow	ອະນຸຍາດໃຫ້
allowable	ອະນຸຍາດໃຫ້
allowance	ຄ່າໃຊ້ຈ່າຍ
allowed	ອະນຸຍາດໃຫ້
alloy	alloy
allsmiles	NO TRANSLATION
allure	ປະຫລາດໃຈ
alluring	ການຫລອກລວງ
allusion	allusion
alluvial	alluvial
ally	ພັນທະມິດ
almanac	almanac
almighty	ອັນຍິ່ງໃຫຍ່
almond	almond
aloft	aloft
aloha	aloha
alone	ດຽວ
alongside	ຄຽງຄູ່ກັບ
aloof	ຫ່າງໄກ
aloud	ສຽງດັງໆ
alpha	alpha
alphabet	ຕົວອັກສອນ
alphabetical	ຕົວອັກສອນ
alpine	ເຂດເນີນພູ
alreadyyyyy	alreadyyyyy
altar	ແທ່ນບູຊາ
altar boy	altar boy
alter	ປ່ຽນແປງ
alteration	ການປ່ຽນແປງ
altercation	altercation
altered	ປ່ຽນແປງ
alternate	alternate
alternating	alternating
alternative	ທາງເລືອກ
altimeter	altimeter
altitude	altitude
alto	alto
altogether	ທັງຫມົດ
aluminum	ອາລູມິນຽມ
alumnus	ອາຍຸສູງສຸດ
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	ການປອມແປງ
amaretto	amaretto
amass	amass
amateur	ນັກສມັກເລ່ນ
amaze	ປະຫລາດໃຈ
amazed	ປະຫລາດໃຈ
amazedness	NO TRANSLATION
amazement	ປະຫລາດໃຈ
amazing	ເຮັດໃຫ້ປະລາດ
amazingly	amazingly
ambassador	ເອກອັກຄະລັດຖະທູດ
amber	amber
ambience	ambience
ambient	ambient
ambiguity	ambiguity
ambiguous	ບໍ່ແນ່ນອນ
ambit	ambit
ambition	ambition
ambitious	ມີຄວາມທະເຍີທະຍານ
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulance
ambush	ambush
ameliorate	ປັບປຸງ
amen	amen
amenable	ມີອໍານາດ
amend	ແກ້ໄຂ
amendment	ການແກ້ໄຂ
amends	ແກ້ໄຂ
amenity	ສະບາຍດີ
amethyst	amethyst
amiable	amiable
amicable	ເປັນມິດ
amid	ຢູ່ທ່າມກາງ
amidst	ຢູ່ທ່າມກາງ
amino	amino
ammo	ammo
ammonia	ammonia
ammonium	ammonium
ammunition	ລູກປືນ
amnesia	amnesia
amnesty	amnesty
amorous	amorous
amorphous	amorphous
amortization	amortization
amount	ຈໍາ​ນວນ
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	amphitheater
ample	ຢ່າງຫຼວງຫຼາຍ
amplification	amplification
amplify	amplify
amplitude	amplitude
amply	ຢ່າງກວ້າງຂວາງ
amputate	amputate
amputation	amputation
amuck	amuck
amulet	amulet
amuse	amuse
amused	ມີຄວາມສຸກ
amusement	ເຮັດໃຫ້ຂົບຂັນ
amusing	ມ່ວນຊື່ນ
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	ອາການແຊກຊ້ອນ
anagram	anagram
anal	anal
analgesic	analgesic
analogous	ຄ້າຍຄືກັນ
analogue	analogue
analogy	analogy
analysis	ການວິເຄາະ
analyst	ນັກວິເຄາະ
analytic	analytic
analytical	ການວິເຄາະ
analyze	ວິເຄາະ
analyzer	ນັກວິເຄາະ
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	anarchy
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	anatomy
ancestor	ancestor
ancestral	ບັນພະບຸລຸດ
ancestry	ບັນພະບຸລຸດ
anchor	anchor
anchorage	anchorage
ancient	ວັດຖຸບູຮານ
ancillary	ancillary
androgen	androgen
android	android
anecdote	anecdote
anemia	ພະຍາດເລືອດຈາງ
anemic	ພະຍາດເລືອດຈາງ
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	ອາການແຊກຊ້ອນ
aneurysm	aneurysm
anew	ໃຫມ່
angel	ທູດສະຫວັນ
angelic	angelic
anger	ຄວາມໃຈຮ້າຍ
angered	ໃຈຮ້າຍ
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	ມຸມ
angling	ການລ່ອງເຮືອ
angora	angora
angriest	angriest
angry	ໃຈຮ້າຍ
angrytweet	NO TRANSLATION
angst	angst
anguish	ຄວາມເຈັບປວດ
anguished	ອຶດໃຈ
angular	ມຸມ
anhydrous	anhydrous
animal	ສັດ
animate	ດໍາລົງຊີວິດ
animated	animated
animation	animation
animosity	ຄວາມກຽດຊັງ
animus	animus
ankle	ຂໍ້ຕີນ
anklet	anklet
annals	annals
annex	annex
annexation	annexation
annexe	NO TRANSLATION
annihilate	annihilate
annihilated	annihilated
annihilation	ການທໍາລາຍ
anniversary	ຄົບຮອບ
annotate	annotate
annotation	annotation
announce	ປະກາດ
announcement	ແຈ້ງການ
announcer	ປະກາດ
annoy	annoy
annoyance	annoyance
annoyed	ຫນ້າຮໍາຄານ
annoyin	NO TRANSLATION
annoying	ຫນ້າຮໍາຄານ
annoys	annoys
annual	ປະຈໍາປີ
annuity	annuity
annul	annul
annular	annular
annulment	ການຍົກເລີກ
annulus	annulus
anointed	ເຈີມ
anointing	ການແຕ່ງຕົວ
anomalous	anomalous
anomaly	anomaly
anon	anon
anonymity	ຄວາມຊື່ສັດ
anonymous	anonymous
anorexic	anorexic
answer	ຕອບ
answerable	ສາມາດຕອບໄດ້
answering	ຕອບໂຕ້
ant	ant
antagonism	antagonism
antagonist	antagonist
antagonistic	antagonistic
antagonize	antagonize
ante	NO TRANSLATION
antecedent	antecedent
antelope	antelope
antenna	ເສົາອາກາດ
anterior	anterior
anthem	ເພງສັນລະເສີນ
anthill	anthill
anthology	anthology
anthrax	anthrax
anthropological	anthropological
anthropologist	anthropologist
anthropology	anthropology
anti	ຕ້ານ
antiaircraft	antiaircraft
antibiotic	ຢາຕ້ານເຊື້ອ
antibiotics	ຢາຕ້ານເຊື້ອ
antichrist	antichrist
anticipate	ຄາດຫວັງວ່າ
anticipation	ຄວາມຄາດຫວັງ
anticipatory	anticipatory
antics	ການແປກປະຫຼາດ
antidote	ຢາຕ້ານເຊື້ອ
antifungal	antifungal
antigravity	antigravity
antimony	antimony
antipathy	antipathy
antiquarian	antiquarian
antiquated	ເກົ່າແກ່
antique	ໂບລານ
antiques	ໂບລານ
antiquity	ໂບລານ
antiseptic	antiseptic
antisocial	antisocial
antithesis	antithesis
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy
anus	anus
anvil	anvil
anxiety	ຄວາມກັງວົນ
anxietyattack	NO TRANSLATION
anxious	ກັງວົນ
anxiousness	ຄວາມກັງວົນໃຈ
anytime	ທຸກເວລາ
aorta	aorta
aortic	aortic
apace	apace
apache	apache
apartment	ອະພາດເມນ
apartments	ອະພາດເມນ
apathetic	ຄວາມບໍ່ສະຫງົບ
apathy	ຄວາມບໍ່ສະຫງົບ
ape	ape
aperture	aperture
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	ຫນຶ່ງຄັ້ງ
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	ຂໍໂທດ
apologist	apologist
apologize	ຂໍໂທດ
apology	ຂໍໂທດ
apostasy	apostasy
apostate	apostate
apostle	ອັກຄະສາວົກ
apostolic	apostolic
apostrophe	apostrophe
apothecary	apothecary
appalled	ຫນ້າຢ້ານກົວ
appalling	ຫນ້າຢ້ານກົວ
apparatus	ອຸປະກອນ
apparel	ເຄື່ອງນຸ່ງຫົ່ມ
apparent	ປາກົດຂື້ນ
apparently	ປາກົດຂື້ນ
apparition	apparition
appeal	ຮ້ອງຂໍ
appear	ປາກົດ
appearance	ຮູບລັກສະນະ
appease	ສະບາຍໃຈ
appellant	appellant
append	ເພີ່ມເຕີມ
appendage	appendage
appendectomy	appendectomy
appendicitis	appendicitis
appendix	appendix
appetite	appetite
appetizer	appetizer
appetizing	appetizing
applaud	ຊົມເຊີຍ
applause	applause
apple	ຫມາກໂປມ
apple juice	ນໍ້​ໍ​າ​ຫມາກ​ໂປ້ມ
applejack	applejack
applesauce	applesauce
appliance	ເຄື່ອງໃຊ້ໄຟຟ້າ
appliances	ເຄື່ອງໃຊ້ໄຟຟ້າ
applicability	applicability
applicable	ສາມາດໃຊ້ໄດ້
applicant	ຜູ້ສະຫມັກ
application	ຄໍາຮ້ອງສະຫມັກ
apply	ນໍາໃຊ້
appoint	ແຕ່ງຕັ້ງ
appointment	ການແຕ່ງຕັ້ງ
appointments	ການນັດຫມາຍ
apportion	ການແບ່ງປັນ
apportionment	ການແບ່ງປັນ
appraisal	ການປະເມີນຜົນ
appraise	appraise
appreciable	ເຫັນໄດ້ຊັດເຈນ
appreciate	ຂອບໃຈ
appreciated	ຂອບໃຈ
appreciates	ຂອບໃຈ
appreciation	ຂອບໃຈ
appreciative	ຂອບໃຈ
apprehend	apprehend
apprehension	apprehension
apprehensive	ຄວາມຢ້ານກົວ
apprentice	apprentice
apprenticeship	apprenticeship
approach	ວິທີການ
approaching	approaching
approbate	NO TRANSLATION
approbation	ການອະນຸມັດ
appropriate	ເຫມາະສົມ
appropriation	appropriation
approval	ອະນຸມັດ
approve	ອະນຸມັດ
approved	ໄດ້ຮັບອະນຸມັດ
approvement	ຄວາມເຂົ້າໃຈ
approving	ການອະນຸມັດ
approximate	ປະມານ
approximately	ປະມານ
approximating	ປະມານ
approximation	approximation
appurtenances	appurtenances
apricot	apricot
apron	apron
apt	ເຫມາະສົມ
aptitude	aptitude
aqua	aqua
aquamarine	aquamarine
aquarium	ຕູ້ປາ
aquatic	ນ້ໍາ
aqueduct	aqueduct
aqueous	aqueous
arable	arable
arbiter	arbiter
arbitrary	ກົງກັນຂ້າມ
arbitrate	arbitrate
arbitration	ການໄກ່ເກ່ຍ
arbitrator	ຜູ້ຊີ້ຂາດ
arbor	arbor
arc	arc
arcade	arcade
arcane	arcane
arch	ໂຄ້ງ
archaeological	ໂບຮານຄະດີ
archaeologist	ນັກໂບຮານຄະດີ
archaeology	ໂບຮານຄະດີ
archaic	archaic
archangel	archangel
archbishop	archbishop
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	archer
archery	archery
archetype	archetype
archipelago	ຫມູ່ເກາະ
architect	architect
architectural	ຖາປັດຕະຍະ
architecture	architecture
archive	archive
arctic	arctic
ardent	ແຂໍງແຮງ
ardor	ຕື່ນເຕັ້ນ
arduous	ແຂໍງແຮງ
area	ພື້ນທີ່
arena	ສະຫນາມກິລາ
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	ການໂຕ້ຖຽງ
argument	ການໂຕ້ຖຽງ
argumentation	ການໂຕ້ຖຽງ
argumentative	ການໂຕ້ຖຽງ
arguments	ການໂຕ້ຖຽງ
arid	ແຫ້ງແລ້ງ
arise	ເກີດຂຶ້ນ
aristocracy	ຊົນຊັ້ນສູງ
aristocrat	ຊົນຊັ້ນສູງ
aristocratic	ຄົນຊັ້ນສູງ
arithmetic	ເລກຄະນິດສາດ
ark	ເຮືອ
arm	ແຂນ
armada	armada
armament	armament
armaments	ອາວຸດ
armature	armature
armchair	armchair
armed	ປະກອບອາວຸດ
armor	armor
armored	ຫຸ້ມເກາະ
armory	armory
armpit	ນ້ໍາແຂໍງ
arms	ແຂນ
army	ກອງທັບ
aroma	ກິ່ນຫອມ
aromatherapy	aromatherapy
arousal	arousal
arouse	ສ້າງຂື້ນ
aroused	ກະຕຸ້ນໃຈ
arraignment	arraignment
arrange	ຈັດແຈງ
arranged	ຈັດລຽງ
arrangement	ການຈັດຕັ້ງ
array	array
arrears	ຫນີ້ສິນ
arrest	ຈັບກຸມ
arrhythmia	arrhythmia
arrival	ມາຮອດ
arrive	ມາຮອດ
arrogance	ອວດດີ
arrogant	ກຽດຊັງ
arrow	arrow
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	ການເຜົາໄຫມ້
arsonist	ຜູ້ກໍ່ການຮ້າຍ
art	art
arterial	arterial
artery	ເສັ້ນເລືອດ
artful	artful
arthritis	ໂລກຂໍ້ອັກເສບ
arthropod	arthropod
artichoke	artichoke
article	ບົດຄວາມ
articles	ບົດຄວາມ
articulate	articulate
articulation	ການປາກເວົ້າ
artifact	artifact
artifice	artifice
artificial	artificial
artillery	ປືນໃຫຍ່
artisan	ຊ່າງຝີມື
artist	ສິລະປິນ
artiste	NO TRANSLATION
artistic	ສິລະປະ
artistry	artry
artists	ສິລະປິນ
artwork	artwork
arty	arty
asap	asap
asbestos	asbestos
ascend	ຂຶ້ນມາ
ascendancy	ascendancy
ascendant	ascending
ascending	ເພີ່ມຂຶ້ນ
ascension	ascension
ascent	ຂຶ້ນມາ
ascertain	ກວດສອບ
ascertained	ຢືນຢັນ
ascetic	ascetic
ash	ຂີ້ເທົ່າ
ashamed	ອາຍ
ashes	ຂີ້ເຖົ້າ
ashtray	ashtray
asinine	asinine
ask	ຖາມ
asleeep	NO TRANSLATION
asleep	ນອນຫລັບ
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	aspect
aspects	aspects
aspen	aspen
asphalt	asphalt
asphyxia	asphyxia
asphyxiation	ການປວດລ້າວ
aspiration	aspiration
aspire	aspire
aspirin	aspirin
aspiring	aspiring
ass	ass
assail	assail
assailant	assailant
assassin	ນັກ​ຂ້າ
assassinate	ລອບສັງຫານ
