Word	gd
administrator	rianadair
admirable	iongantach
admiral	admiral
admiralty	geàrdachd
admiration	s an Iar-
admire	admire
admired	deònach
admirer	admirer
admiring	deònach
admissibility	ceadaichte
admissible	ceadaichte
admission	steach
admit	aideachadh
admittance	adhair
admitted	steach
admitting	ag aontachadh
admixture	meudachadh
admonition	aideachadh
ado	aodach
adobe	adobe
adolescence	òigeachd
adolescent	òigridh
adopt	gabhail ris
adoption	uchd-mhacachd
adoptive	gabhail ris
adorable	ion-mholaidh
adoration	adhair
adore	aoradh
adoring	adoring
adorn	sgeadachadh
adornment	sgeadachadh
adrenalin	adrenalin
adrenaline	adrenaline
adrift	aodach
adult	inbheach
adulterated	adhbhrachadh
adulterer	ag adhbhrachadh
adultery	adhaltranas
adulthood	adulthood
advance	ro-làimh
advanced	adhartach
advancement	adhartachadh
advancing	ag adhartachadh
advantage	buannachd
advantageous	buannachdail
advent	tighinn
adventure	dànachd
adventurer	dànadair
adventures	eachdraidhean
adventurous	èibhinn
adversary	adversary
adverse	dona
adversity	duilgheadas
advertise	sanasachd
advertisement	sanas
advertising	sanasachd
adverts	sanasan
advice	comhairle
advisable	moladh
advise	comhairleachadh
advised	chomhairle
advisement	comhairleachadh
adviser	comhairliche
advisor	comhairliche
advisory	comhairleachaidh
advocacy	tagradh
advocate	tagraiche
aegis	aegis
aeration	aerachadh
aerial	air adhart
aerobics	aerobics
aerodrome	aerodrome
aerodynamic	Air adhart
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	air plèana
aerospace	aerospace
aesthetic	ealain
aesthetics	aibhneas
aetiology	eòlas
afar	air falbh
affable	bòidheach
affair	affair
affect	buaidh
affecting	a 'toirt buaidh air
affection	gràdh
affectionate	gràdhach
affections	aodach
affiche	NO TRANSLATION
affidavit	dearbh-sgrìobhte
affiliated	co-cheangailte
affiliation	ceangal
affinity	càirdeas
affirm	dearbhaich
affirmation	dearbhadh
affirmative	dearbhach
affirmatively	dearbhach
affix	s an Iar-
afflict	a 'giùlan
afflicted	s an Iar-
affliction	trioblaid
affluence	beairteas
affluent	beairteach
afford	cosgais
affordable	ruigsinneach
affront	aodach
affronted	s an Iar-
afield	air falbh
afire	adhartachadh
afloat	sgaoileadh
afore	air thoiseach
aforementioned	air ainmeachadh
aforesaid	air a ràdh
afraid	eagal
afresh	as ùr
african	african
aft	aft
afterlife	às dèidh beatha
aftermath	às dèidh sin
afternoon	feasgar
aftershave	às dèidh sin
aftertaste	air adhart
afterthought	air adhart
aga	NO TRANSLATION
agape	agape
agate	agate
age	aois
aged	aois
agency	buidheann
agenda	clàr-gnothaich
agent	àidseant
agglomeration	sgoltadh
aggravate	ag ionaltradh
aggravated	gann
aggravates	aggravates
aggravating	ag ionaltradh
aggravation	ag èigheachadh
aggregate	iomlan
aggregation	cruinneachadh
aggresive	NO TRANSLATION
aggression	ionnsaigh
aggressive	ionnsaigheach
aggressively	ionnsaigheach
aggressiveness	ionnsaigheachd
aggressor	ionnsaigh
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	èibhinn
agility	agility
aging	aosta
agitate	ag èisdeachd
agitated	sgaoileadh
agitation	aimhreit
aglow	aglow
agnostic	agnostic
ago	air ais
agonizing	ag ionndrainn
agony	agony
agoraphobia	agoraphobia
agree	aontachadh
agreeable	aontaichte
agreed	aontaichte
agreeing	ag aontachadh
agreement	aonta
agressive	NO TRANSLATION
agricultural	àiteachas
agriculture	àiteachas
aground	air tìr
agua	NO TRANSLATION
ahead	air adhart
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	cuideachadh
aide	aide
aiding	a 'cuideachadh
aids	cuideachadh
ail	ail
ailing	air adhart
ailment	tinneas
aim	ag amas
aimless	aimless
air	air
airbag	airbag
airborne	air adhair
aircraft	plèanaichean
aircraft carrier	giùlain phlèanaichean
airfield	raon adhair
airhead	airhead
airlift	airlift
airline	loidhne-adhair
airliner	inneal-adhair
airlock	airlock
airman	adhair
airplane	air plèana
airport	port-adhair
airs	airs
airship	airship
airspace	airspace
airspeed	airspeed
airstrip	airstrip
airtight	air ais
airway	airway
aisle	trannsa
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	coltach
alabaster	alabastar
alarm	eagal
alarm clock	cloc eagal
alarmed	eagal
alarming	èibhinn
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchemy
alcohol	deoch làidir
alcoholic	deoch làidir
alcoholism	deoch-làidir
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	rabhadh
alertness	rabhadh
alerts	rabhaidhean
alfalfa	alfalfa
algebra	algebra
algebraic	ailseabra
algorithm	algorithm
alias	alias
alibi	alibi
alien	alien
alienate	eilthireachd
alienated	mach air ais
alienation	coimheachadh
alight	air adhart
align	co-thaobhadh
aligned	co-thaobhadh
alignment	co-thaobhadh
alike	araon
alimentation	NO TRANSLATION
alimony	s an Iar-
aliquot	amannan
alive	beò
alkali	alcalà
alkaloids	alcalòidean
allay	atharrachadh
allegation	casaid
allege	ag ràdh
alleged	agairt
allegiance	dìlseachd
allegorical	sgaoileadh
allegory	callachd
allegro	allegro
allergic	aillse
allergy	aileagsaidh
alleviate	lùghdaich
alleviation	lèirmheas
alley	rathad
alleyway	coiseachd
alliance	caidreachas
allied	càirdeas
alligator	ailigator
allocate	sgaoileadh
allocation	riarachadh
allot	sgaoileadh
allotment	sgoltadh
allow	ceadachadh
allowable	ceadaichte
allowance	cuibhreann
allowed	ceadaichte
alloy	alloy
allsmiles	NO TRANSLATION
allure	s an Iar-
alluring	buannachdail
allusion	sgaoileadh
alluvial	aluvial
ally	allaidh
almanac	almanac
almighty	uile-chumhachdach
almond	almond
aloft	air adhart
aloha	aloha
alone	aonar
alongside	ri taobh
aloof	air falbh
aloud	a-muigh
alpha	alpha
alphabet	aibidil
alphabetical	aibidil
alpine	alpach
alreadyyyyy	saoghail
altar	altair
altar boy	balach altair
alter	atharrachadh
alteration	atharrachadh
altercation	atharrachadh
altered	atharrachadh
alternate	alternach
alternating	alternating
alternative	eile
altimeter	altimeter
altitude	àirde
alto	àrd
altogether	gu tur
aluminum	aluminium
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	Amalgam
amalgamation	amalachadh
amaretto	amaretto
amass	amass
amateur	amateur
amaze	iongantas
amazed	s iongnadh
amazedness	NO TRANSLATION
amazement	iongnadh
amazing	iongantach
amazingly	iongantach
ambassador	tosgaire
amber	amber
ambience	saoghal
ambient	s an Iar-
ambiguity	dìomhaireachd
ambiguous	d'a-sheaghach
ambit	àrd-amas
ambition	miann-adhartais
ambitious	àrd-amas
ambivalent	ioma-fhillte
ambrosia	ambrosia
ambulance	carbad-eiridinn
ambush	luachairt
ameliorate	a 'fàs nas fheàrr
amen	amen
amenable	tha e comasach
amend	atharrachadh
amendment	atharrachadh
amends	ag atharrachadh
amenity	goireasan
amethyst	amethyst
amiable	gàirdeil
amicable	dèidheil
amid	amid
amidst	amidst
amino	amino
ammo	ammo
ammonia	ammonia
ammonium	ammonium
ammunition	armachd
amnesia	amnesia
amnesty	amnesty
amorous	annasach
amorphous	annasach
amortization	amortachadh
amount	suim
amour	NO TRANSLATION
amp	amp
ampersand	sgaoileadh
amphetamines	amphetamines
amphibian	muir-thìrich
amphibious	sneachda
amphitheater	amphitheatar
ample	farsaingeachd
amplification	leudachadh
amplify	amplachadh
amplitude	amplitude
amply	gu mòr
amputate	sgaoileadh
amputation	amputation
amuck	fiù
amulet	amulet
amuse	cleasachd
amused	air am meas
amusement	spòrs
amusing	èibhinn
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	anesthetic
anagram	anagram
anal	anal
analgesic	Anailseach
analogous	coltach
analogue	analogue
analogy	ionnanachd
analysis	anailis
analyst	anailisiche
analytic	anailis
analytical	anailis
analyze	anailis a dhèanamh
analyzer	anailisiche
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	anarchy
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	anatomy
ancestor	sinnsear
ancestral	sinnsearachd
ancestry	sinnsearachd
anchor	ancaire
anchorage	acarsaid
ancient	seann
ancillary	ancillary
androgen	androgen
android	agusroid
anecdote	naidheachd èibhinn
anemia	anemia
anemic	anemic
anemone	anemone
anesthesia	anesthesia
anesthesiologist	anesthesiologist
anesthetic	anesthetic
aneurysm	aneurysm
anew	a-rithist
angel	aingeal
angelic	angelic
anger	fearg
angered	angered
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	ceàrn
angling	iasgach
angora	angora
angriest	anabarrach
angry	feargach
angrytweet	NO TRANSLATION
angst	angst
anguish	anguish
anguished	èibhinn
angular	angular
anhydrous	anhydrous
animal	beathach
animate	beothachadh
animated	beòthaichte
animation	beothachadh
animosity	beothalachd
animus	beothalachd
ankle	adhbrann
anklet	anklet
annals	annallan
annex	annex
annexation	annexation
annexe	NO TRANSLATION
annihilate	annihilate
annihilated	air a dhìteadh
annihilation	annihilation
anniversary	ceann-bliadhna
annotate	annotate
annotation	notaichean
announce	innse
announcement	sgaoileadh
announcer	neach-gairm
annoy	duilich
annoyance	eagal
annoyed	eagal
annoyin	NO TRANSLATION
annoying	duilich
annoys	annasach
annual	bliadhnail
annuity	bliadhna-bliadhna
annul	neul
annular	bliadhnail
annulment	neonachadh
annulus	annulus
anointed	anointed
anointing	anointing
anomalous	anomalous
anomaly	anomallachd
anon	anon
anonymity	gun urra
anonymous	gun urra
anorexic	anorexic
answer	freagairt
answerable	freagrach
answering	freagairt
ant	ant
antagonism	an-aghaidh
antagonist	an-aghaidh
antagonistic	eachdraidheil
antagonize	s an Iar-
ante	NO TRANSLATION
antecedent	ro-làimh
antelope	antelope
antenna	antenna
anterior	anterior
anthem	anam
anthill	anthill
anthology	aithris
anthrax	anthrax
anthropological	anthropological
anthropologist	anthropologist
anthropology	an-eòlas
anti	an-aghaidh
antiaircraft	antiaircraft
antibiotic	antibiotic
antibiotics	antibiotics
antichrist	antichrist
anticipate	sùileachadh
anticipation	sùileachadh
anticipatory	sùileachadh
antics	aodach
antidote	antidote
antifungal	antifungal
antigravity	ainneartachd
antimony	antimony
antipathy	mì-mhodhail
antiquarian	àrsaidh
antiquated	àrsaidh
antique	seann làraichean
antiques	seann rudan
antiquity	seannachd
antiseptic	antiseptic
antisocial	mì-shòisealta
antithesis	s an Iar-
antithetical	mì-ghnàthach
antiviral	antiviral
antler	aodach
antsy	antsy
anus	anus
anvil	anvil
anxiety	iomagain
anxietyattack	NO TRANSLATION
anxious	draghail
anxiousness	iomagain
anytime	aig àm sam bith
aorta	aorta
aortic	aortic
apace	air adhart
apache	apache
apartment	seòmar
apartments	seòmraichean
apathetic	s an Iar-
apathy	dìomhaireachd
ape	Aiseag
aperture	fosgladh
apex	Aodach
aphid	aodach
aphrodisiac	aphrodisiac
apiece	pìos
aplomb	s an Iar-
apocalypse	apocalypse
apocalyptic	taic
apologetic	leisgeul
apologist	apologist
apologize	gabh dragh
apology	leisgeul
apostasy	apostasy
apostate	ionnsaigh
apostle	abstol
apostolic	abstoil
apostrophe	abairtean
apothecary	leigheas
appalled	sàmhach
appalling	anabarrach
apparatus	uidheamachd
apparel	èideadh
apparent	nochd
apparently	a rèir coltais
apparition	fhaireachdainnean
appeal	ath-thagradh
appear	nochdadh
appearance	nochdadh
appease	sìtheachadh
appellant	appellant
append	ath-sgrìobhadh
appendage	ath-sgrìobhadh
appendectomy	appendectomy
appendicitis	apiticitis
appendix	pàipear-taice
appetite	biadh
appetizer	biadh
appetizing	èibhinn
applaud	moladh
applause	bòidheach
apple	ùbhlan
apple juice	sùgh ùbhlan
applejack	applejack
applesauce	ùbhlan
appliance	inneal
appliances	innealan
applicability	applicability
applicable	iomchaidh
applicant	tagraiche
application	iarrtas
apply	cuir a-steach
appoint	dreuchd
appointment	dreuchd
appointments	dreuchdan
apportion	roinn
apportionment	roinnidh
appraisal	measadh
appraise	measaidh
appreciable	measail
appreciate	meas
appreciated	meas
appreciates	meas
appreciation	meas
appreciative	measail
apprehend	a 'glacadh
apprehension	faireachdainn
apprehensive	èibhinn
apprentice	phreantas
apprenticeship	preantasachd
approach	dòigh-obrach
approaching	tighinn dlùth
approbate	NO TRANSLATION
approbation	aonta
appropriate	iomchaidh
appropriation	aplacaid
approval	aonta
approve	aonta
approved	aontaichte
approvement	aonta
approving	ag aontachadh
approximate	tuairmse
approximately	mu thimcheall
approximating	a 'tighinn timcheall
approximation	tuairmseachadh
appurtenances	companaidhean
apricot	apricot
apron	apron
apt	apt
aptitude	sgileil
aqua	uisge
aquamarine	aquamarine
aquarium	uisgeachan
aquatic	uisge
aqueduct	uisge-uisge
aqueous	uisgeach
arable	àitich
arbiter	arbiter
arbitrary	gun teagamh
arbitrate	sgaoileadh
arbitration	rèiteachadh
arbitrator	neach-riaghlaidh
arbor	arbor
arc	arc
arcade	arc
arcane	dìomhair
arch	bogha
archaeological	arceòlasach
archaeologist	arceòlaiche
archaeology	arceòlas
archaic	archaic
archangel	archangel
archbishop	àrd-easbaig
archdiocese	archdiocese
archduke	archduke
arched	bogha
archer	boghadair
archery	boghadaireachd
archetype	archetype
archipelago	eileanan
architect	ailtire
architectural	ailtireachd
architecture	ailtireachd
archive	tasglann
arctic	ealain
ardent	èibhinn
ardor	ardor
arduous	èibhinn
area	sgìre
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	air
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argamaid
argument	argamaid
argumentation	argamaid
argumentative	argamaid
arguments	argamaidean
arid	arid
arise	èirich
aristocracy	uaisleachd
aristocrat	aristocrat
aristocratic	aristocratach
arithmetic	àireamhachd
ark	ark
arm	armachd
armada	armada
armament	armachd
armaments	armachd
armature	gàirdeachas
armchair	saighdear
armed	armachd
armor	armachd
armored	armachd
armory	armachd
armpit	armpit
arms	armachd
army	arm
aroma	aroma
aromatherapy	aromatherapy
arousal	s an Iar-
arouse	èisdeachd
aroused	aroused
arraignment	sìorrachd
arrange	cuir air dòigh
arranged	òrdugh
arrangement	rèiteachadh
array	sreath
arrears	fiachan
arrest	a chur an grèim
arrhythmia	arrhythmia
arrival	tighinn
arrive	tighinn
arrogance	anabarrach
arrogant	àrdanach
arrow	saighead
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsainic
arson	losgadh
arsonist	fiodhaich
art	ealain
arterial	arterial
artery	artery
artful	ealain
arthritis	airtritis
arthropod	arthropod
artichoke	artichoke
article	artaigil
articles	artaigilean
articulate	sgaoileadh
articulation	sgaoileadh
artifact	ealain
artifice	ealain
artificial	fuadain
artillery	gunnaireachd
artisan	ciùird
artist	ealain
artiste	NO TRANSLATION
artistic	ealain
artistry	ealain
artists	ealain
artwork	obair ealain
arty	arty
asap	asap
asbestos	asbestos
ascend	ascend
ascendancy	àrdachadh
ascendant	sgaoileadh
ascending	a 'dìreadh
ascension	ascension
ascent	dìreadh
ascertain	faighinn a-mach
ascertained	faighinn a-mach
ascetic	ascetic
ash	ash
ashamed	nàire
ashes	luaithre
ashtray	bhothadh
asinine	asinine
ask	faighnich
asleeep	NO TRANSLATION
asleep	na chadal
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	taobh
aspects	roinnean
aspen	crann
asphalt	asphalt
asphyxia	asphyxia
asphyxiation	co-ionnanachd
aspiration	miann
aspire	aspire
aspirin	aspirin
aspiring	ag iarraidh
ass	asal
assail	sàbhaladh
assailant	assailant
assassin	murt
assassinate	marbh
assassination	murt
assault	ionnsaigh
assay	assay
assemblage	assemblage
assemble	cruinneachadh
assembled	cruinneachadh
assembly	co-chruinneachadh
assemblyman	neach-cruinneachaidh
assent	aonta
assert	a 'dearbhadh
asserting	ag ràdh
assertion	assertion
assertive	assertive
assess	measadh
assessment	measadh
assessor	measadair
asset	maoin
assets	maoin
asshole	asshole
assign	sònrachadh
assignee	sneachdaiche
assignment	sònrachadh
assimilate	co-chothromachadh
assimilation	co-ionnanachd
assist	cuideachadh
assistance	cuideachadh
assistant	neach-cuideachaidh
associate	co-cheangailte
association	comann
assorted	mòran
assortment	mòran
assuage	assuage
assume	gabh
assumed	gabhail ris
assuming	a 'gabhail ris
assumption	gabhail ris
assurance	gealltanas
assure	dèanamh cinnteach
assured	cinnteach
assuredly	gu cinnteach
asterisk	rionnag
asteroid	asteroid
asteroids	asteroids
asthma	asthma
asthmatic	asthmatic
astigmatism	astigmatism
astonish	iongnadh
astonished	iongantach
astonishing	iongantach
astonishingly	NO TRANSLATION
astonishment	iongnadh
astound	s an Iar-
astral	astral
astray	sabaid
astringent	sèididh
astrologer	astrologer
astrology	astrology
astronaut	astronut
astronomer	eòlaiche
astronomical	saidheans
astronomy	saidheans
astute	sàmhach
asunder	s an Iar-
asylum	tèarmann
asymmetric	neo-chunbhalach
asymmetry	neo-chunbhalachd
asymptotic	asymptotic
atelier	Atelier
atheism	Atheism
atheist	Aiseag
atheistic	aigheist
atherosclerosis	atherosclerosis
athlete	lùth-chleasaiche
athletic	lùth-chleasachd
athleticism	lùth-chleasachd
athletics	lùth-chleasachd
atlas	atlas
atmosphere	àile
atmospheric	àile
atoll	Atoll
atom	Atom
atomic	Atomic
atone	aigone
atonement	rèiteachadh
atpeace	aig an aon àm
atrium	atrium
atrocious	uamhasach
atrocity	aimhreit
atrophy	sneachda
attach	ceangal
attached	ceangailte
attachment	ceangail
attack	ionnsaigh
attacker	ionnsaigh
attacking	ionnsaigh
attain	coileanadh
attainable	ruigsinn
attainment	coileanadh
attempt	feuch
attempted	oidhirp
attend	frithealadh
attendance	frithealadh
attendant	neach-frithealaidh
attention	aire
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	furachail
attenuate	sìor fhàs
attenuated	air a ghluasad
attenuation	lobhadh
attest	dearbhadh
attestation	dearbhadh
attic	lobhta
attire	aodach
attitude	beachdan
attorney	neach-lagha
attract	tàladh
attraction	tàladh
attractive	tlachdmhor
attractiveness	tarraingteach
attributable	a tha buailteach
attribute	adhbhar
attribution	s an Iar-
attrition	miannachadh
auburn	auburn
auction	rup
auctioneer	rupaire
audacious	èibhinn
audacity	èisdeachd
audible	cluinntinn
audience	luchd-amais
audio	claistinneach
audit	sgrùdadh
audition	deuchainn
auditions	deuchainnean
auditor	sgrùdaiche
auditorium	sgrùdadh
auditory	sgrùdadh
aught	aught
augment	meudachadh
augmentation	meudachadh
august	An Lùnastal
aunt	piuthar
auntie	piuthar
aura	aura
aurora	aurora
auspices	auspices
auspicious	taiceil
austere	austere
austerity	cruaidh
authentic	ceart
authenticate	dearbhadh
authentication	dearbhadh
authenticity	dearbhadh
author	ùghdar
authoritative	ùghdarrasach
authority	ùghdarras
authorization	ùghdarras
authorize	ùghdarrachadh
authorized	ùghdarraichte
authorship	authorship
autism	autism
autistic	uathachasach
auto	uidheamachd
autobiographical	fèin-eachdraidh
autobiography	fèin-eachdraidh
autocorrect	autocorrect
autocratic	fèin-riaghladh
autograph	autograph
autographed	fèin-ghluasad
automated	fèin-ghluasadach
automatic	fèin-ghluasadach
automobile	carbad
automotive	uidheamachd
autonomy	fèin-riaghladh
autopilot	fèin-riaghlaidh
autopsy	autopsy
autumn	foghar
auxiliary	taiceil
avail	buannachd
availability	ri fhaighinn
available	ri fhaighinn
avalanche	aibhlanche
avarice	gàire
avatar	avatar
avenge	dìoghaltas
avenger	dìoghaltas
avenging	dìoghaltas
avenue	slighe
aver	NO TRANSLATION
average	cuibheasach
aversation	NO TRANSLATION
averse	averse
averseness	aodach
aversion	aversion
avert	fàgail
aviary	aviary
aviation	adhair
aviator	air adhart
avid	avid
avocado	avocado
avoid	seachain
avoidance	seachnadh
avoiding	a 'seachnadh
await	feitheamh
awake	dùisg
awaken	dùisg
awakening	dùsgadh
award	duais
awards	duaisean
aware	mothachail
awareness	mothachadh
awe	NO TRANSLATION
awed	aodach
awesome	fìor mhath
awesomeness	uamhasach
awestruck	sneachda
awful	uamhasach
awkward	neònach
awkwardness	neònach
awning	aodach
awry	uiridh
axe	tuagh
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	axis
axle	axle
ay	ay
aye	aye
azimuth	azimuth
azure	bòidheach
babble	bualadh
babbling	sgaoileadh
babe	leanabh
baboon	baboon
baby	leanabh
babysit	sneachda
babysitter	pàisdear
baccalaureate	bacadhlaureate
baccarat	baccarat
bachelor	seann-ghille
bachelorette	bachelorette
back	air ais
backboard	bòrd-cùil
backbone	cnàimh-droma
backdoor	air ais
backdrop	cùl-raon
backer	taiceil
backfire	air ais
backgammon	sgaoileadh
background	cùl-raon
backhand	air ais
backhoe	air ais
backoff	air ais
backpack	air ais
backpacker	paca-droma
backroom	seòmar-cùil
backseat	air ais
backside	backside
backtrack	cùl-taic
backup	cùl-taic
backward	air ais
backwardness	cùl-taic
backwards	air ais
backwater	cùl-uisge
backwoods	coilltean cùil
backyard	clobhsa
bacon	bacon
bacteria	bacteria
bacterial	bacterial
bacterium	bacterium
bad	dona
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	suaicheantas
badger	broc
badhabit	NO TRANSLATION
badly	dona
badness	bochdainn
baffle	baffle
baffled	sgaoileadh
bag	bag
bagel	bagel
baggage	bagannan
baggie	baggie
baggy	bòidheach
bagman	bagman
bagpipes	A' Phìob Mhòr
bail	urras
bailiff	bàillidh
bait	biadhadh
bake	a 'fuine
bakery	bèicearachd
baking	bèicearachd
bal	NO TRANSLATION
balance	cothromachadh
balanced	cothromach
balcony	balcony
bald	maol
balding	balding
baldy	baldy
bale	bale
balk	balk
ball	ball
ballad	ballad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	ball-ball
ballistic	ballistic
ballistics	ballistics
balloon	balùn
ballot	ballot
ballpark	ballpark
ballplayer	sgaoileadh
ballpoint	ballpoint
ballroom	seòmar-dannsa
ballsy	ballsy
balm	balm
balmy	balmy
balsam	balsam
balsamic	sgaoileadh
bam	bam
bamboo	bambù
ban	NO TRANSLATION
banana	banana
band	còmhlan
bandage	còmhlan
bandanna	NO TRANSLATION
bandit	bratach
bandstand	còmhlan-ciùil
bandwagon	bandwagon
bandwidth	leud band
bane	bane
bang	bang
banger	banger
banish	crìonadh
banished	air fhuadach
banishment	fuadach
banister	banister
banjo	banjo
bank	banca
banker	bancair
banking	bancaireachd
bankroll	banca
bankrupt	bristeach
bankruptcy	briseadh
banner	bratach
banquet	fèist
banshee	banshee
banter	bualadh
banzai	NO TRANSLATION
baptism	baisteadh
