Word	ru
adrenalin	адреналин
adrenaline	адреналин
adrift	дрейфовать
adult	для взрослых
adulterated	фальсифицированный
adulterer	прелюбодей
adultery	прелюбодеяние
adulthood	совершеннолетие
advance	продвижение
advanced	передовой
advancement	продвижение
advancing	опережения
advantage	преимущество
advantageous	выгодный
advent	приход
adventure	приключение
adventurer	авантюрист
adventures	приключения
adventurous	предприимчивый
adversary	состязательный
adverse	неблагоприятный
adversity	напасти
advertise	рекламировать
advertisement	Реклама
advertising	реклама
adverts	объявления
advice	совет
advisable	рекомендуемый
advise	консультировать
advised	рекомендуется
advisement	совещание суда перед вынесением решения
adviser	консультант
advisor	консультант
advisory	консультативный
advocacy	пропаганда
advocate	адвокат
aegis	эгида
aeration	аэрация
aerial	антенна
aerobics	аэробика
aerodrome	аэродром
aerodynamic	аэродинамический
aerodynamics	аэродинамика
aeronautics	воздухоплавание
aeroplane	самолет
aerospace	авиационно-космический
aesthetic	эстетический
aesthetics	эстетика
aetiology	этиология
afar	издалека
affable	приветливый
affair	дело
affect	аффект
affecting	затрагивающий
affection	привязанность
affectionate	любящий
affections	привязанностей
affiche	NO TRANSLATION
affidavit	аффидавит
affiliated	аффилированная
affiliation	присоединение
affinity	сродство
affirm	утверждать
affirmation	утверждение
affirmative	утвердительный
affirmatively	утвердительно
affix	аффикс
afflict	тревожить
afflicted	страдающий
affliction	недуг
affluence	наплыв
affluent	полноводный
afford	позволить себе
affordable	доступный
affront	оскорбление
affronted	оскорбленный
afield	в поле
afire	огонь
afloat	на плаву
afore	выше
aforementioned	вышеупомянутый
aforesaid	вышеупомянутый
afraid	боюсь
afresh	сызнова
african	африканец
aft	кормовой
afterlife	загробная жизнь
aftermath	отава
afternoon	после полудня
aftershave	лосьон после бритья
aftertaste	осадок
afterthought	раздумье
aga	NO TRANSLATION
agape	разинув рот
agate	агат
age	возраст
aged	престарелый
agency	агентство
agenda	повестка дня
agent	агент
agglomeration	агломерация
aggravate	обострять
aggravated	усугубленный
aggravates	усугубляет
aggravating	ухудшающий
aggravation	усугубление
aggregate	совокупный
aggregation	агрегирование
aggresive	NO TRANSLATION
aggression	агрессия
aggressive	агрессивный
aggressively	агрессивно
aggressiveness	агрессивность
aggressor	агрессор
agh	аг
aghast	ошеломленный
aghhh	NO TRANSLATION
agile	проворный
agility	проворство
aging	старение
agitate	агитировать
agitated	взволнованный
agitation	агитация
aglow	возбужденный
agnostic	агностик
ago	тому назад
agonizing	мучительный
agony	агония
agoraphobia	агорафобия
agree	дать согласие
agreeable	приятный
agreed	согласовано
agreeing	соглашаясь
agreement	соглашение
agressive	NO TRANSLATION
agricultural	сельскохозяйственное
agriculture	сельское хозяйство
aground	на мели
agua	NO TRANSLATION
ahead	впереди
ahhh	аааа
ahhhhhhhh	NO TRANSLATION
ahoy	на палубе
aid	помощь
aide	помощник
aiding	пособничество
aids	вспомогательные средства
ail	Айыл
ailing	больной
ailment	недуг
aim	цель
aimless	бесцельный
air	воздух
airbag	воздушная подушка
airborne	бортовой
aircraft	самолет
aircraft carrier	авианосец
airfield	летное поле
airhead	дурачок
airlift	воздушные перевозки
airline	авиакомпания
airliner	пассажирский самолет
airlock	воздушная пробка
airman	авиатор
airplane	самолет
airport	аэропорт
airs	арии
airship	дирижабль
airspace	воздушное пространство
airspeed	воздушная скорость
airstrip	взлетно-посадочная полоса
airtight	воздухонепроницаемый
airway	авиалиния
aisle	придел
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ака
akin	похожий
alabaster	алебастр
alarm	аварийная сигнализация
alarm clock	будильник
alarmed	встревоженный
alarming	тревожный
alas	Увы
alb	NO TRANSLATION
albatross	альбатрос
albino	альбинос
album	альбом
alchemy	алхимия
alcohol	алкоголь
alcoholic	алкоголик
alcoholism	алкоголизм
alcove	альков
alderman	старейшина
ale	NO TRANSLATION
alert	бдительный
alertness	настороженность
alerts	оповещения
alfalfa	люцерна
algebra	алгебра
algebraic	алгебраическая
algorithm	алгоритм
alias	псевдоним
alibi	алиби
alien	инопланетянин
alienate	отчуждать
alienated	отчужденный
alienation	отчуждение
alight	зажженный
align	выравнивать
aligned	выровненный
alignment	выравнивание
alike	подобно
alimentation	NO TRANSLATION
alimony	алименты
aliquot	аликвоты
alive	в живых
alkali	щелочь
alkaloids	алкалоиды
allay	смягчать
allegation	утверждение
allege	утверждать
alleged	мнимый
allegiance	верность
allegorical	аллегорический
allegory	аллегория
allegro	аллегро
allergic	аллергический
allergy	аллергия
alleviate	смягчать
alleviation	облегчение
alley	аллея
alleyway	переулок
alliance	союз
allied	союзный
alligator	аллигатор
allocate	выделять
allocation	распределение
allot	отчислять
allotment	выделение
allow	позволять
allowable	допустимый
allowance	пособие
allowed	позволил
alloy	сплав
allsmiles	NO TRANSLATION
allure	завлекать
alluring	заманчивый
allusion	ссылка
alluvial	наносной
ally	союзник
almanac	альманах
almighty	всемогущий
almond	миндальный
aloft	наверх
aloha	алоха
alone	в одиночестве
alongside	рядом
aloof	отчужденный
aloud	вслух
alpha	альфа
alphabet	алфавит
alphabetical	буквенный
alpine	высокогорный
alreadyyyyy	alreadyyyyy
altar	алтарь
altar boy	алтарный мальчик
alter	изменять
alteration	внесение изменений
altercation	перебранка
altered	изменено
alternate	чередовать
alternating	переменный
alternative	альтернатива
altimeter	высотомер
altitude	высота над уровнем моря
alto	альт
altogether	в целом
aluminum	алюминий
alumnus	выпускник
alveolar	альвеолярный
alzheimers	NO TRANSLATION
amalgam	амальгама
amalgamation	укрупнение
amaretto	амаретто
amass	копить
amateur	любитель
amaze	поражать
amazed	пораженный
amazedness	NO TRANSLATION
amazement	изумление
amazing	удивительно
amazingly	удивительно
ambassador	посол
amber	янтарный
ambience	атмосфера
ambient	окружающий
ambiguity	неоднозначность
ambiguous	двусмысленный
ambit	сфера
ambition	амбиция
ambitious	амбициозный
ambivalent	амбивалентный
ambrosia	амброзия
ambulance	скорая помощь
ambush	засада
ameliorate	улучшать
amen	аминь
amenable	поддающийся
amend	изменить
amendment	поправка
amends	возмещение
amenity	удобства
amethyst	аметист
amiable	любезный
amicable	дружный
amid	среди
amidst	среди
amino	амино-
ammo	боеприпасы
ammonia	аммиак
ammonium	аммоний
ammunition	боеприпасов
amnesia	амнезия
amnesty	амнистировать
amorous	влюбчивый
amorphous	аморфный
amortization	амортизация
amount	количество
amour	NO TRANSLATION
amp	ампер
ampersand	амперсант
amphetamines	амфетамины
amphibian	амфибия
amphibious	десантный
amphitheater	амфитеатр
ample	обильный
amplification	усиление
amplify	усиливать
amplitude	амплитуда
amply	пространно
amputate	ампутировать
amputation	ампутация
amuck	набрасываться
amulet	амулет
amuse	озадачивать
amused	довольный
amusement	развлечение
amusing	забавный
ana	NO TRANSLATION
anaconda	анаконда
anaesthesia	анестезия
anaesthetic	анестезирующее
anagram	анаграмма
anal	анальный
analgesic	анальгетик
analogous	аналогичный
analogue	аналог
analogy	аналогия
analysis	анализ
analyst	аналитик
analytic	аналитический
analytical	аналитический
analyze	анализировать
analyzer	анализатор
anaphylactic	анафилактический
anarchism	анархизм
anarchist	анархист
anarchy	анархия
anastomosis	анастомоз
anathema	анафема
anatomic	анатомический
anatomy	анатомия
ancestor	предок
ancestral	наследственный
ancestry	родословная
anchor	якорь
anchorage	анкеровка
ancient	древний
ancillary	подсобный
androgen	андроген
android	андроид
anecdote	анекдот
anemia	анемия
anemic	малокровный
anemone	анемон
anesthesia	анестезия
anesthesiologist	анестезиолог
anesthetic	анестезирующее
aneurysm	аневризма
anew	заново
angel	ангел
angelic	ангельский
anger	гнев
angered	разозлило
angermanagement	NO TRANSLATION
angina	стенокардия
angiogram	ангиограмма
angiography	ангиография
angle	угол
angling	ужение
angora	ангора
angriest	angriest
angry	сердитый
angrytweet	NO TRANSLATION
angst	тоска
anguish	мучение
anguished	страдающий
angular	угловая
anhydrous	безводный
animal	животное
animate	оживлять
animated	мультипликационный
animation	анимация
animosity	злоба
animus	предубеждение
ankle	лодыжка
anklet	ножной браслет
annals	анналы
annex	приложение
annexation	аннексия
annexe	NO TRANSLATION
annihilate	аннигилировать
annihilated	уничтоженный
annihilation	уничтожение
anniversary	Годовщина
annotate	аннотировать
annotation	аннотирование
announce	анонсировать
announcement	объявление
announcer	диктор
annoy	раздражать
annoyance	досада
annoyed	раздраженный
annoyin	NO TRANSLATION
annoying	раздражающий
annoys	надоедает
annual	годовой
annuity	аннуитет
annul	кассировать
annular	кольцевой
annulment	упразднение
annulus	кольцо
anointed	помазанник
anointing	помазав
anomalous	аномальный
anomaly	аномалия
anon	скоро
anonymity	анонимность
anonymous	анонимный
anorexic	страдающий отсутствием аппетита
answer	ответ
answerable	подотчетный
answering	автоответчик
ant	муравей
antagonism	антагонизм
antagonist	антагонист
antagonistic	антагонистический
antagonize	противодействовать
ante	NO TRANSLATION
antecedent	предшествующее
antelope	антилопа
antenna	антенна
anterior	передний
anthem	гимн
anthill	муравейник
anthology	антология
anthrax	сибирская язва
anthropological	антропологический
anthropologist	антрополог
anthropology	антропология
anti	анти
antiaircraft	зенитный
antibiotic	антибиотик
antibiotics	антибиотики
antichrist	антихрист
anticipate	предвидеть
anticipation	предвосхищение
anticipatory	досрочный
antics	гримасы
antidote	антидот
antifungal	противогрибковый
antigravity	антигравитационный
antimony	сурьма
antipathy	антипатия
antiquarian	антиквар
antiquated	устарелый
antique	античный
antiques	антиквариат
antiquity	древность
antiseptic	антисептик
antisocial	антиобщественный
antithesis	антитеза
antithetical	антитетический
antiviral	противовирусный
antler	олений рог
antsy	дерганый
anus	анус
anvil	наковальня
anxiety	тревожность
anxietyattack	NO TRANSLATION
anxious	озабоченный
anxiousness	взволнованность
anytime	в любой момент
aorta	аорта
aortic	аортальный
apace	быстро
apache	апаш
apartment	квартира
apartments	апартаменты
apathetic	апатичный
apathy	апатия
ape	обезьянничать
aperture	апертура
apex	апекс
aphid	тля
aphrodisiac	афродизиак
apiece	кусок
aplomb	апломб
apocalypse	Апокалипсис
apocalyptic	апокалиптический
apologetic	апологетический
apologist	апологет
apologize	принести извинения
apology	апология
apostasy	отступничество
apostate	отступник
apostle	апостол
apostolic	апостольский
apostrophe	апостроф
apothecary	аптекарь
appalled	потрясены
appalling	ужасающий
apparatus	устройство
apparel	одежда
apparent	очевидный
apparently	по всей видимости
apparition	привидение
appeal	обращение
appear	появиться
appearance	появление
appease	успокаивать
appellant	жалобщик
append	присоединять
appendage	придаток
appendectomy	аппендэктомия
appendicitis	аппендицит
appendix	приложение
appetite	аппетит
appetizer	закуска
appetizing	аппетитный
applaud	рукоплескать
applause	аплодисменты
apple	яблоко
apple juice	яблочный сок
applejack	яблочная водка
applesauce	чепуха
appliance	прибор
appliances	Техника
applicability	применимость
applicable	применимый
applicant	заявитель
application	заявление
apply	подать заявление
appoint	назначать
appointment	деловое свидание, встреча
appointments	назначения
apportion	распределять
apportionment	раскладка
appraisal	оценка
appraise	оценивать
appreciable	заметный
appreciate	ценить
appreciated	оценили
appreciates	оценивает
appreciation	признательность
appreciative	признательный
apprehend	предчувствовать
apprehension	опасение
apprehensive	опасающийся
apprentice	подмастерье
apprenticeship	ученичество
approach	подход
approaching	приближается
approbate	NO TRANSLATION
approbation	апробация
appropriate	подходящее
appropriation	присвоение
approval	утверждение
approve	одобрить
approved	утвержденный
approvement	утверждение
approving	утверждение
approximate	приближенный
approximately	примерно
approximating	аппроксимирующая
approximation	приближение
appurtenances	угодья
apricot	абрикос
apron	фартук
apt	склонный
aptitude	уместность
aqua	вода
aquamarine	Аквамарин
aquarium	аквариум
aquatic	водный
aqueduct	акведук
aqueous	водный
arable	пахотный
arbiter	арбитр
arbitrary	произвольный
arbitrate	арбитражное
arbitration	арбитраж
arbitrator	арбитр
arbor	оправка
arc	дуга
arcade	аркада
arcane	скрытый
arch	арка
archaeological	археологический
archaeologist	археолог
archaeology	археология
archaic	архаичный
archangel	архангел
archbishop	архиепископ
archdiocese	епархия архиепископа
archduke	эрцгерцог
arched	арочный
archer	лучник
archery	стрельба из лука
archetype	образец
archipelago	архипелаг
architect	архитектор
architectural	архитектурный
architecture	архитектура
archive	архив
arctic	Арктический
ardent	пылкий
ardor	пыл
arduous	трудный
area	площадь
arena	арена
areola	ареолы
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	Argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	спорить
argument	аргумент
argumentation	аргументация
argumentative	аргументированный
arguments	аргументы
arid	засушливый
arise	возникать
aristocracy	аристократия
aristocrat	аристократ
aristocratic	аристократический
arithmetic	арифметика
ark	ковчег
arm	рука
armada	армада
armament	вооружение
armaments	вооружений
armature	арматура
armchair	кресло
armed	вооруженный
armor	броня
armored	бронированный
armory	оружейный
armpit	подмышка
arms	оружие
army	армия
aroma	аромат
aromatherapy	ароматерапия
arousal	пробуждение
arouse	пробуждать
aroused	вызвали
arraignment	предъявление обвинения
arrange	организовать
arranged	расположены
arrangement	договоренность
array	массив
arrears	задолженность
arrest	арестовывать
arrhythmia	аритмия
arrival	прибытие
arrive	прибыть
arrogance	высокомерие
arrogant	высокомерный
arrow	стрела
arsehole	задница
arseholes	arseholes
arsenal	арсенал
arsenic	мышьяк
arson	поджог
arsonist	поджигатель
art	Изобразительное искусство
arterial	артериальный
artery	артерия
artful	ловкий
arthritis	артрит
arthropod	членистоногие
artichoke	Артишок
article	статья
articles	статьи
articulate	артикулировать
articulation	сочленение
artifact	артефакт
artifice	выдумка
artificial	искусственный
artillery	артиллерия
artisan	ремесленник
artist	художник
artiste	NO TRANSLATION
artistic	художественный
artistry	артистичность
artists	художники
artwork	произведение искусства
arty	с претензией на художественность
asap	как можно скорее
asbestos	асбест
ascend	восходить
ascendancy	доминирующее влияние
ascendant	господствующий
ascending	Восходящий
ascension	вознесение
ascent	восхождение
ascertain	определять
ascertained	установлено
ascetic	аскетический
ash	ясень
ashamed	совестно
ashes	пепел
ashtray	пепельница
asinine	ослиный
ask	просить
asleeep	NO TRANSLATION
asleep	спящий
asp	гадюка
asparagus	спаржа
aspartame	аспартам
aspect	аспект
aspects	аспекты
aspen	осина
asphalt	асфальт
asphyxia	асфиксия
asphyxiation	удушение
aspiration	стремление
aspire	стремиться
aspirin	аспирин
aspiring	стремящийся
ass	жопа
assail	нападать
assailant	зачинщик
assassin	убийца
assassinate	убивать
assassination	убийство
assault	нападение
assay	анализ
assemblage	сборище
assemble	собирать
assembled	собранный
assembly	сборка
assemblyman	член местного законодательного `органа
assent	соизволение
assert	утверждать
asserting	утверждая
assertion	утверждение
assertive	утвердительный
assess	оценить
assessment	оценка
assessor	асессор
asset	актив
assets	активы
asshole	Мудак
assign	назначать
assignee	правопреемник
assignment	назначение
assimilate	усваивать
assimilation	усвоение
assist	помощь
assistance	помощь
assistant	помощник
associate	ассоциировать
association	ассоциация
assorted	сортированный
assortment	ассортимент
assuage	успокаивать
assume	предполагать
assumed	предполагается,
assuming	при условии,
assumption	предположение
assurance	гарантия
assure	уверять
assured	уверенный
assuredly	конечно
asterisk	звездочка
asteroid	астероид
asteroids	астероиды
asthma	астма
asthmatic	астматический
astigmatism	астигматизм
astonish	изумлять
astonished	пораженный
astonishing	удивительный
astonishingly	NO TRANSLATION
astonishment	удивление
astound	изумлять
astral	астральный
astray	заблудившись
astringent	вяжущее средство
astrologer	астролог
astrology	астрология
astronaut	космонавт
astronomer	астроном
astronomical	астрономический
astronomy	астрономия
astute	проницательный
asunder	на части
asylum	убежище
asymmetric	асимметричный
asymmetry	асимметрия
asymptotic	асимптотический
atelier	ателье
atheism	атеизм
atheist	атеист
atheistic	атеистический
atherosclerosis	атеросклероз
athlete	спортсмен
athletic	Спортивное
athleticism	атлетизм
athletics	легкая атлетика
atlas	атлас
atmosphere	атмосфера
atmospheric	атмосферный
atoll	атолл
atom	атом
atomic	атомное
atone	искупать
atonement	расплата
atpeace	в мире
atrium	Атриум
atrocious	отвратительный
atrocity	зверство
atrophy	атрофия
attach	прикреплять
attached	приложенный
attachment	прикрепление
attack	атака
attacker	атакующий
attacking	нападающий
attain	достигать
attainable	достижимый
attainment	достижение
attempt	попытка
attempted	попытка
attend	посещать
attendance	посещаемость
attendant	служитель
attention	внимание
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	внимательный
attenuate	смягчать
attenuated	ослабляется
attenuation	затухание
attest	удостоверять
attestation	засвидетельствование
attic	чердак
attire	наряд
attitude	отношение
attorney	адвокат
attract	привлекать
attraction	Привлечение
attractive	привлекательный
attractiveness	привлекательность
attributable	приходящаяся
attribute	атрибут
attribution	приписывание
attrition	потертость
auburn	рыжеватый
auction	аукцион
auctioneer	аукционист
audacious	дерзновенный
audacity	дерзость
audible	слышимый
audience	аудитория
audio	аудио
audit	аудит
audition	прослушивание
auditions	прослушивания
auditor	аудитор
auditorium	актовый зал
auditory	слуховой
aught	нечто
augment	увеличивать
augmentation	увеличение
august	августейший
aunt	тетка
auntie	тетушка
aura	аура
aurora	северное сияние
auspices	покровительство
auspicious	благоприятный
austere	аскетический
austerity	строгость
authentic	аутентичный
authenticate	проверять подлинность
authentication	аутентификация
authenticity	подлинность
author	автор
authoritative	авторитетный
authority	власть
authorization	авторизация
authorize	санкционировать
authorized	уполномоченный
authorship	авторство
autism	аутизм
autistic	аутистический
auto	авто
autobiographical	автобиографический
autobiography	автобиография
autocorrect	автозамена
autocratic	самодержавный
autograph	автограф
autographed	автограф
automated	автоматизированный
automatic	автоматический
automobile	автомобиль
automotive	автомобильный
autonomy	автономия
autopilot	автопилот
autopsy	вскрытие трупа
autumn	осень
auxiliary	вспомогательный
avail	польза
availability	доступность
available	доступный
avalanche	лавина
avarice	алчность
avatar	аватар
avenge	мстить
avenger	мститель
avenging	мстительный
avenue	проспект
aver	NO TRANSLATION
average	в среднем
aversation	NO TRANSLATION
averse	прочь
averseness	averseness
aversion	антипатия
avert	предотвращать
aviary	вольер
aviation	авиация
aviator	авиатор
avid	алчный
avocado	авокадо
avoid	избежать
avoidance	уклонение
avoiding	избегая
await	Ждите
awake	бодрствующий
awaken	пробуждать
awakening	пробуждение
award	награда
awards	награды
aware	знать
awareness	осознание
awe	NO TRANSLATION
awed	благоговение
awesome	здорово
awesomeness	обалденный
awestruck	охваченный благоговением
awful	ужасный
awkward	неловко
awkwardness	неловкость
awning	тент
awry	косо
axe	топор
axial	осевой
axiom	аксиома
axiomatic	аксиоматический
axis	ось
axle	ось
ay	ау
aye	да
azimuth	азимут
azure	лазурь
babble	лепет
babbling	болтовня
babe	младенец
baboon	бабуин
baby	детка
babysit	присматривать за ребенком
babysitter	няня
baccalaureate	степень бакалавра
baccarat	баккара
bachelor	бакалавр
bachelorette	девичник
back	назад
backboard	спинодержатель
backbone	позвоночник
backdoor	задняя дверь
backdrop	фон
backer	поручитель
backfire	обратный эффект
backgammon	нарды
background	задний план
backhand	удар слева
backhoe	экскаватор
backoff	отвали
backpack	рюкзак
backpacker	пеший турист
backroom	засекреченный
backseat	заднее сиденье
backside	задняя сторона
backtrack	отступаться
backup	резервное копирование
backward	назад
backwardness	отсталость
backwards	назад
backwater	заводь
backwoods	глушь
backyard	задний двор
bacon	бекон
bacteria	бактерии
bacterial	бактериальный
bacterium	бактерия
bad	Плохо
badass	задира
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	значок
badger	барсук
badhabit	NO TRANSLATION
badly	плохо
badness	негодность
baffle	дефлектор
baffled	дефлекторы
bag	мешок
bagel	рогалик
baggage	Багаж
baggie	пакетик
baggy	мешковатый
bagman	странствующий торговец
bagpipes	волынка
bail	порука
bailiff	судебный пристав
bait	приманка
bake	выпекать
bakery	пекарня
baking	выпечка
bal	NO TRANSLATION
balance	баланс
balanced	сбалансированный
balcony	балкон
bald	плешивый
balding	лысеющий
baldy	Лысый
bale	тюк
balk	брус
ball	мяч
ballad	баллада
ballast	балласт
ballerina	балерина
ballet	балет
ballgame	игра в мяч
ballistic	баллистический
ballistics	баллистика
balloon	воздушный шар
ballot	голосование
ballpark	стадион
ballplayer	бейсболист
ballpoint	шариковая ручка
ballroom	бальный
ballsy	напористая
balm	бальзам
balmy	бальзамический
balsam	бальзам
balsamic	бальзамического
bam	бам
bamboo	бамбук
ban	NO TRANSLATION
banana	банан
band	группа
bandage	повязка
bandanna	NO TRANSLATION
bandit	бандит
bandstand	эстрада для оркестра
bandwagon	повальное увлечение
bandwidth	пропускная способность
bane	отрава
bang	бах
banger	сосиска
banish	отгонять
banished	изгнанный
banishment	высылка
banister	перила
banjo	банджо
bank	банка
banker	банкир
banking	банковское дело
bankroll	денежные средства
bankrupt	банкрот
bankruptcy	банкротство
banner	баннер
banquet	банкет
banshee	сирена воздушной тревоги
banter	подшучивать
banzai	NO TRANSLATION
baptism	крещение
baptismal	крестильный
baptize	крестить
bar	бар
barb	бородка
barbarian	варвар
barbaric	варварский
barbarism	варварство
barbecue	барбекю
barbed	колючий
barber	цирюльник
barbershop	парикмахерская
barbie doll	Кукла Барби
bard	бард
bare	голый
bareback	неоседланный
barefoot	босиком
barely	едва
barf	блевать
bargain	сделка
bargaining	переговоры
barge	баржа
baritone	баритон
barium	барий
bark	лай
barkeep	бармен
barks	лает
barley	ячмень
barmaid	буфетчица
barman	бармен
barn	сарай
barnacle	кляпцы
barney	гулянка
barnyard	скотный двор
barometer	барометр
baron	барон
baroness	баронесса
baroque	барокко
barrack	барак
barracuda	барракуда
barrage	заграждение
barred	запрещенный
barrel	бочка
barren	бесплодный
barricade	баррикада
barrier	барьер
barring	за исключением
barrister	барристер
barroom	Barroom
barrow	курган
bartender	бармен
barter	бартер
base	база
baseball	бейсбол
baseball bat	бейсбольная бита
baseboard	плинтус
baseless	необоснованный
baseline	базовая линия
baseman	низов
basement	подвал
bases	основы
bash	удар
bashful	робкий
basic	основной
basics	основы
basil	Бэзил
basilica	базилика
basin	бассейн
basis	основа
bask	греться
basket	корзина
basketball	баскетбол
bass	бас
bass guitar	бас-гитара
basso	NO TRANSLATION
bassoon	фагот
bastard	Ублюдок
bastarding	bastarding
bastards	ублюдки
bastion	бастион
bat	летучая мышь
batch	партия
batching	дозирующий
bate	NO TRANSLATION
bath	ванна
bathe	купать
bathhouse	баня
bathing	купание
bathrobe	банный халат
bathroom	ванная
bathtub	ванна
bathymetry	батиметрия
baton	дубинка
battalion	батальон
batter	долбить
battered	разбитый
battering	долбление
battery	аккумулятор
battle	боевой
battled	боролись
battlefield	поле битвы
battleground	поле битвы
battlements	бойницами
battleship	линкор
batty	тронутый
bauble	безделушка
bawdy	похабный
bawl	орать
bay	залив
bayonet	штыковой
bayou	старица
bazaar	восточный базар
bazooka	базука
bday	Bday
be	быть
