Word	hi
adherent	पक्षपाती
adhering	पालन
adhesion	आसंजन
adhesive	गोंद
adieu	विदाई
adipose	वसा
adjacency	समीपता
adjacent	सटा हुआ
adjective	विशेषण
adjoining	साथ लगा हुआ
adjourn	स्थगित होना
adjournment	स्थगन
adjudicate	निर्णय करना
adjudication	न्यायिक निर्णय
adjunct	सहायक
adjust	समायोजित
adjuster	समायोजक
adjustment	समायोजन
adjuvant	सहायक
admin	व्यवस्थापक
administer	प्रशासन के
administration	शासन प्रबंध
administrative	प्रशासनिक
administrator	प्रशासक
admirable	प्रशंसनीय
admiral	एडमिरल
admiralty	नौवाहनविभाग
admiration	प्रशंसा
admire	प्रशंसा
admired	प्रशंसा की
admirer	प्रशंसक
admiring	निहार
admissibility	स्वीकार्यता
admissible	स्वीकार्य
admission	दाखिला
admit	स्वीकार करना
admittance	प्रवेश
admitted	स्वीकार किया
admitting	स्वीकार
admixture	मिश्रण
admonition	चेतावनी
ado	हलचल
adobe	एडोब
adolescence	किशोरावस्था
adolescent	किशोर
adopt	अपनाना
adoption	दत्तक ग्रहण
adoptive	गोद लेने योग्य
adorable	प्यारी
adoration	आराधना
adore	प्यार करते हैं
adoring	adoring
adorn	सजाना
adornment	अलंकरण
adrenalin	adrenalin
adrenaline	एड्रेनालाईन
adrift	भटकते हुए
adult	वयस्क
adulterated	मिलावटी
adulterer	परस्रीगमी
adultery	व्यभिचार
adulthood	वयस्कता
advance	अग्रिम
advanced	उन्नत
advancement	उन्नति
advancing	आगे बढ़ाने
advantage	फायदा
advantageous	लाभदायक
advent	आगमन
adventure	साहसिक
adventurer	साहसी
adventures	रोमांच
adventurous	साहसी
adversary	वैरी
adverse	विपरीत
adversity	विपत्ति
advertise	विज्ञापित
advertisement	विज्ञापन
advertising	विज्ञापन
adverts	विज्ञापनों
advice	सलाह
advisable	उचित
advise	सलाह देना
advised	सलाह दी
advisement	advisement
adviser	सलाहकार
advisor	सलाहकार
advisory	सलाहकार
advocacy	वकालत
advocate	वकील
aegis	तत्वावधान
aeration	वातन
aerial	हवाई
aerobics	एरोबिक्स
aerodrome	हवाई अड्डा
aerodynamic	वायुगतिकीय
aerodynamics	वायुगतिकी
aeronautics	वैमानिकी
aeroplane	विमान
aerospace	एयरोस्पेस
aesthetic	सौंदर्य
aesthetics	सौंदर्यशास्र
aetiology	aetiology
afar	दूर
affable	मिलनसार
affair	चक्कर
affect	को प्रभावित
affecting	प्रभावित करने वाले
affection	स्नेह
affectionate	स्नेही
affections	प्यार
affiche	NO TRANSLATION
affidavit	शपत पात्र
affiliated	सम्बद्ध
affiliation	संबंधन
affinity	आत्मीयता
affirm	वाणी
affirmation	प्रतिज्ञान
affirmative	सकारात्मक
affirmatively	सकारात्मक
affix	प्रत्यय
afflict	पीड़ा देना
afflicted	संतप्त
affliction	यातना
affluence	समृद्धि
affluent	धनी
afford	बर्दाश्त
affordable	सस्ती
affront	अपमान
affronted	अपमानित
afield	खेत
afire	एक आग
afloat	बचाए
afore	आगे
aforementioned	पूर्वकथित
aforesaid	पूर्वोक्त
afraid	डरा हुआ
afresh	नए सिरे से
african	अफ़्रीकी
aft	पिछाड़ी
afterlife	पुनर्जन्म
aftermath	परिणाम
afternoon	दोपहर
aftershave	आफ़्टरशेव
aftertaste	स्वाद
afterthought	बाद का विचार
aga	NO TRANSLATION
agape	मुंह खोले हुए
agate	सुलेमानी पत्थर
age	आयु
aged	वृद्ध
agency	एजेंसी
agenda	कार्यसूची
agent	एजेंट
agglomeration	ढेर
aggravate	छेड़ना
aggravated	बहुत बिगड़
aggravates	aggravates
aggravating	उत्तेजक
aggravation	उत्तेजना
aggregate	कुल
aggregation	एकत्रीकरण
aggresive	NO TRANSLATION
aggression	आक्रमण
aggressive	आक्रामक
aggressively	उग्रता के साथ
aggressiveness	आक्रामकता
aggressor	आक्रामक
agh	आह
aghast	भौचक्का
aghhh	NO TRANSLATION
agile	चुस्त
agility	चपलता
aging	उम्र बढ़ने
agitate	उत्तेजित करना
agitated	उत्तेजित
agitation	आंदोलन
aglow	दमकता हुआ
agnostic	अज्ञेयवाद का
ago	पूर्व
agonizing	अति पीड़ा देनेवाला
agony	व्यथा
agoraphobia	भीड़ से डर लगना
agree	इस बात से सहमत
agreeable	सहमत
agreed	माना
agreeing	सहमत होने से
agreement	समझौता
agressive	NO TRANSLATION
agricultural	कृषि
agriculture	कृषि
aground	टिका हुआ
agua	NO TRANSLATION
ahead	आगे
ahhh	आह
ahhhhhhhh	NO TRANSLATION
ahoy	एहोय
aid	सहायता
aide	सहयोगी
aiding	सहायता
aids	एड्स
ail	बीमार होना
ailing	बीमार
ailment	रोग
aim	लक्ष्य
aimless	लक्ष्यहीन
air	वायु
airbag	एयरबैग
airborne	हवाई
aircraft	हवाई जहाज
aircraft carrier	विमान वाहक
airfield	हवाई क्षेत्र
airhead	एयरहेड
airlift	विमान सेवा
airline	एयरलाइन
airliner	विमान
airlock	airlock
airman	विमान-चालक
airplane	विमान
airport	हवाई अड्डा
airs	एयर्स
airship	हवाई पोत
airspace	हवाई क्षेत्र
airspeed	airspeed
airstrip	हवाई पट्टी
airtight	वायु-रोधक
airway	वायु-मार्ग
aisle	गलियारा
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	उर्फ
akin	सदृश्य
alabaster	सिलखड़ी
alarm	अलार्म
alarm clock	अलार्म घड़ी
alarmed	चिंतित
alarming	खतरनाक
alas	हाय
alb	NO TRANSLATION
albatross	भारी अड़चन
albino	सूरजमुखी मनुष्य
album	एल्बम
alchemy	रस-विधा
alcohol	शराब
alcoholic	शराबी
alcoholism	शराब
alcove	घिरौची
alderman	उर्ननग रपाल
ale	NO TRANSLATION
alert	चेतावनी
alertness	मुस्तैदी
alerts	अलर्ट
alfalfa	अल्फाल्फा
algebra	बीजगणित
algebraic	बीजगणितीय
algorithm	कलन विधि
alias	उपनाम
alibi	अन्यत्र उपस्थिति
alien	विदेशी
alienate	हटाना
alienated	अलग-थलग
alienation	अलगाव की भावना
alight	प्रदीप्त करना
align	संरेखित
aligned	संरेखित किया गया
alignment	संरेखण
alike	एक जैसे
alimentation	NO TRANSLATION
alimony	निर्वाह निधि
aliquot	विभाज्य
alive	ज़िंदा
alkali	क्षार
alkaloids	एल्कलॉइड
allay	निराकरणकरना
allegation	आरोप
allege	आरोप है
alleged	कथित तौर पर
allegiance	निष्ठा
allegorical	व्यंजनापूर्ण
allegory	रूपक
allegro	Allegro
allergic	एलर्जी
allergy	एलर्जी
alleviate	कम
alleviation	उपशमन
alley	गली
alleyway	गली
alliance	संधि
allied	सम्बद्ध
alligator	मगर
allocate	आवंटित
allocation	आवंटन
allot	आवंटित
allotment	आवंटन
allow	अनुमति देते हैं
allowable	स्वीकार्य
allowance	भत्ता
allowed	अनुमति
alloy	मिश्र धातु
allsmiles	NO TRANSLATION
allure	फुसलाना
alluring	मनोहर
allusion	संकेत
alluvial	कछार का
ally	मित्र
almanac	पंचांग
almighty	सर्वशक्तिमान
almond	बादाम
aloft	ऊपर
aloha	Aloha
alone	अकेला
alongside	साथ - साथ
aloof	अलग
aloud	जोर से
alpha	अल्फा
alphabet	वर्णमाला
alphabetical	वर्णमाला सम्बन्धी
alpine	अल्पाइन
alreadyyyyy	alreadyyyyy
altar	वेदी
altar boy	वेदी सहायक
alter	बदलना
alteration	परिवर्तन
altercation	तकरार
altered	बदल
alternate	वैकल्पिक
alternating	बारी
alternative	विकल्प
altimeter	altimeter
altitude	ऊंचाई
alto	ऑल्टो
altogether	कुल मिलाकर
aluminum	अल्युमीनियम
alumnus	भूतपूर्व छात्र
alveolar	वायुकोशीय
alzheimers	NO TRANSLATION
amalgam	मिश्रण
amalgamation	मिश्रण
amaretto	amaretto
amass	एकत्र करना
amateur	शौक़ीन व्यक्ति
amaze	विस्मित करना
amazed	हैरान
amazedness	NO TRANSLATION
amazement	विस्मय
amazing	गजब का
amazingly	आश्चर्यजनक
ambassador	दूत
amber	अंबर
ambience	माहौल
ambient	व्यापक
ambiguity	अस्पष्टता
ambiguous	अस्पष्ट
ambit	सीमा
ambition	महत्वाकांक्षा
ambitious	महत्त्वाकांक्षी
ambivalent	उभयभावी
ambrosia	अमृत
ambulance	रोगी वाहन
ambush	घात लगाना
ameliorate	सुधारना
amen	तथास्तु
amenable	वश्य
amend	संशोधन
amendment	संशोधन
amends	हरजाना
amenity	सुख सुविधा
amethyst	बिल्लौर
amiable	सुशील
amicable	मैत्रीपूर्ण
amid	के बीच
amidst	बीच में
amino	अमीनो
ammo	बारूद
ammonia	अमोनिया
ammonium	अमोनियम
ammunition	गोलाबारूद
amnesia	भूलने की बीमारी
amnesty	आम माफ़ी
amorous	रसिक
amorphous	अनाकार
amortization	ऋणमुक्ति
amount	रकम
amour	NO TRANSLATION
amp	amp
ampersand	एम्परसेंड
amphetamines	amphetamines
amphibian	उभयचर
amphibious	द्विधा गतिवाला
amphitheater	अखाड़ा
ample	प्रचुर
amplification	विस्तारण
amplify	बढ़ाना
amplitude	आयाम
amply	जिसकी पर्याप्त
amputate	अंग-विच्छेद करना
amputation	विच्छेदन
amuck	आपे से बाहर
amulet	ताबीज़
amuse	मन बहलाना
amused	खुश
amusement	मनोरंजन
amusing	मनोरंजक
ana	NO TRANSLATION
anaconda	एनाकोंडा
anaesthesia	बेहोशी
anaesthetic	चतनाशून्य करनेवाली औषधि
anagram	अनाग्राम
anal	गुदा
analgesic	एनाल्जेसिक
analogous	अनुरूप
analogue	अनुरूप
analogy	समानता
analysis	विश्लेषण
analyst	विश्लेषक
analytic	विश्लेषणात्मक
analytical	विश्लेषणात्मक
analyze	विश्लेषण
analyzer	विश्लेषक
anaphylactic	तीव्रगाहिता संबंधी
anarchism	अराजकतावाद
anarchist	अराजकतावादी
anarchy	अराजकता
anastomosis	सम्मिलन
anathema	अभिशाप
anatomic	शारीरिक
anatomy	शरीर रचना विज्ञान
ancestor	पूर्वज
ancestral	पैतृक
ancestry	वंशावली
anchor	लंगर
anchorage	लंगर गाह
ancient	प्राचीन
ancillary	अधीनस्थ
androgen	एण्ड्रोजन
android	एंड्रॉयड
anecdote	उपाख्यान
anemia	रक्ताल्पता
anemic	रक्तहीनता से पीड़ित
anemone	रत्नज्योति
anesthesia	बेहोशी
anesthesiologist	संज्ञाहरणविज्ञानी
anesthetic	चतनाशून्य करनेवाली औषधि
aneurysm	धमनीविस्फार
anew	नये सिरे से
angel	देवदूत
angelic	दिव्य
anger	गुस्सा
angered	नाराज
angermanagement	NO TRANSLATION
angina	एनजाइना
angiogram	एंजियोग्राम
angiography	एंजियोग्राफी
angle	कोण
angling	मछली पकड़ने
angora	अंगोरा
angriest	angriest
angry	गुस्सा
angrytweet	NO TRANSLATION
angst	गुस्से
anguish	पीड़ा
anguished	दुखी
angular	कोणीय
anhydrous	निर्जल
animal	जानवर
animate	चेतन
animated	एनिमेटेड
animation	एनीमेशन
animosity	बैर
animus	विरोधपूर्ण भावना
ankle	टखने
anklet	पायल
annals	वर्षक्रमिक इतिहास
annex	उपभवन
annexation	राज्य-हरण
annexe	NO TRANSLATION
annihilate	संहार करना
annihilated	सत्यानाश
annihilation	विनाश
anniversary	सालगिरह
annotate	व्याख्या
annotation	टिप्पणी
announce	की घोषणा
announcement	घोषणा
announcer	उद्घोषक
annoy	झुंझुला देना
annoyance	चिढ़
annoyed	नाराज हो
annoyin	NO TRANSLATION
annoying	कष्टप्रद
annoys	गुस्सा दिलाती
annual	वार्षिक
annuity	वार्षिकी
annul	अन्त करना
annular	गोल
annulment	लोप
annulus	वलय
anointed	अभिषेक
anointing	अभिषेक
anomalous	नियमविरूद्ध
anomaly	विसंगति
anon	शीघ्र
anonymity	गुमनामी
anonymous	गुमनाम
anorexic	anorexic
answer	उत्तर
answerable	जवाबदेह
answering	जवाब
ant	चींटी
antagonism	विरोध
antagonist	प्रतिपक्षी
antagonistic	विरोधी
antagonize	विरोध करना
ante	NO TRANSLATION
antecedent	पूर्वपद
antelope	मृग
antenna	एंटीना
anterior	पूर्वकाल का
anthem	गान
anthill	बांबी
anthology	संकलन
anthrax	बिसहरिया
anthropological	मानवविज्ञान
anthropologist	मानव विज्ञानी
anthropology	मनुष्य जाति का विज्ञान
anti	विरोधी
antiaircraft	विमानभेदी
antibiotic	एंटीबायोटिक दवाओं
antibiotics	एंटीबायोटिक दवाओं
antichrist	ईसा मसीह का शत्रु
anticipate	आशा
anticipation	प्रत्याशा
anticipatory	अग्रिम
antics	हरकतों
antidote	विषहर औषध
antifungal	ऐंटिफंगल
antigravity	गुरुत्वाकर्षण विरोधी
antimony	सुरमा
antipathy	घृणा
antiquarian	पुरातात्त्विक
antiquated	प्राचीन
antique	एंटीक
antiques	प्राचीन वस्तुओं
antiquity	प्राचीन काल
antiseptic	सड़न रोकनेवाली दबा
antisocial	सामाजिक सिद्धान्तों के विस्र्द्ध
antithesis	विलोम
antithetical	विरोधात्मक
antiviral	एंटीवायरल
antler	बारहसिंगे के शाखादार सींग
antsy	antsy
anus	गुदा
anvil	निहाई
anxiety	चिंता
anxietyattack	NO TRANSLATION
anxious	चिंतित
anxiousness	चिंता
anytime	किसी भी समय
aorta	महाधमनी
aortic	महाधमनी
apace	झटपट
apache	अमरीका की एक मूल जनजाति
apartment	फ्लैट
apartments	अपार्टमेंट
apathetic	उदासीन
apathy	उदासीनता
ape	अनुकरण करना
aperture	छेद
apex	सर्वोच्च
aphid	aphid
aphrodisiac	कामोद्दीपक
apiece	एक टुकड़ा
aplomb	अभिमान
apocalypse	कयामत
apocalyptic	सर्वनाशक
apologetic	क्षमाशील
apologist	क्षमा की प्रार्थना करनेवाला
apologize	माफी माँगता हूँ
apology	क्षमायाचना
apostasy	स्वधर्मत्याग
apostate	स्वधर्मत्यागी
apostle	प्रेरित
apostolic	देवदूत-संबंधी
apostrophe	apostrophe
apothecary	अत्तार
appalled	चकित
appalling	भय उत्पन्न करनेवाला
apparatus	उपकरण
apparel	परिधान
apparent	स्पष्ट
apparently	जाहिरा तौर पर
apparition	प्रेत
appeal	अपील
appear	दिखाई
appearance	दिखावट
appease	खुश
appellant	अपील करनेवाला
append	जोड़ना
appendage	अनुबंध
appendectomy	appendectomy
appendicitis	पथरी
appendix	अनुबंध
appetite	भूख
appetizer	क्षुधावर्धक
appetizing	स्वादिष्ट
applaud	सराहना
applause	वाहवाही
apple	सेब
apple juice	सेब का रस
applejack	से बनाया गया है
applesauce	चापलूसी
appliance	उपकरण
appliances	उपकरण
applicability	प्रयोज्यता
applicable	उपयुक्त
applicant	आवेदक
application	आवेदन
apply	लागू करें
appoint	नियुक्त करना
appointment	नियुक्ति
appointments	नियुक्तियों
apportion	बांटना
apportionment	विभाजन
appraisal	मूल्यांकन
appraise	आंकना
appreciable	प्रशंसनीय
appreciate	सराहना
appreciated	की सराहना की
appreciates	की सराहना करता है
appreciation	प्रशंसा
appreciative	सराहना
apprehend	पकड़ना
apprehension	डर
apprehensive	भयभीत
apprentice	प्रशिक्षु
apprenticeship	शागिर्दी
approach	पहुंच
approaching	आ
approbate	NO TRANSLATION
approbation	प्रशंसा
appropriate	उपयुक्त
appropriation	विनियोग
approval	अनुमोदन
approve	मंजूर
approved	मंजूर की
approvement	approvement
approving	का अनुमोदन
approximate	अनुमानित
approximately	लगभग
approximating	अनुमान करने वाले
approximation	सन्निकटन
appurtenances	appurtenances
apricot	खुबानी
apron	तहबंद
apt	उपयुक्त
aptitude	योग्यता
aqua	पानी
aquamarine	अक्वामरीन
aquarium	मछलीघर
aquatic	जलीय
aqueduct	नहर
aqueous	जलीय
arable	कृषि योग्य
arbiter	मध्यस्थ
arbitrary	मनमाना
arbitrate	पंचायत करना
arbitration	मध्यस्थता
arbitrator	पंच
arbor	कुंज
arc	चाप
arcade	आर्केड
arcane	भेद का
arch	मेहराब
archaeological	पुरातात्विक
archaeologist	पुरातत्त्ववेत्ता
archaeology	पुरातत्त्व
archaic	प्राचीन
archangel	प्रधान देवदूत
archbishop	मुख्य धर्माध्यक्ष
archdiocese	Archdiocese
archduke	आर्कड्यूक
arched	मेहराबदार
archer	धनुराशि
archery	तीरंदाजी
archetype	मूलरूप आदर्श
archipelago	द्वीपसमूह
architect	वास्तुकार
architectural	वास्तु
architecture	आर्किटेक्चर
archive	पुरालेख
arctic	आर्कटिक
ardent	उत्साही
ardor	ललक
arduous	कठिन
area	क्षेत्र
arena	अखाड़ा
areola	घेरा
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	अरे
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	लोगों का तर्क है
argument	तर्क
argumentation	तर्क
argumentative	विवादपूर्ण
arguments	बहस
arid	शुष्क
arise	उठता
aristocracy	शिष्टजन
aristocrat	रईस
aristocratic	भव्य
arithmetic	अंकगणित
ark	संदूक
arm	बांह
armada	बेड़े
armament	अस्र-शस्र
armaments	युद्धसामाग्र
armature	कवच
armchair	बंहदार कुरसी
armed	हथियारबंद
armor	कवच
armored	बख़्तरबंद
armory	शस्रशाला
armpit	कांख
arms	हथियारों
army	सेना
aroma	सुगंध
aromatherapy	अरोमा थेरेपी
arousal	कामोत्तेजना
arouse	जगाना
aroused	जगाया
arraignment	आक्षेप
arrange	व्यवस्था
arranged	व्यवस्था की
arrangement	व्यवस्था
array	सरणी
arrears	बकाया
arrest	गिरफ़्तार करना
arrhythmia	अतालता
arrival	पहुचना
arrive	आने
arrogance	हेकड़ी
arrogant	अभिमानी
arrow	तीर
arsehole	arsehole
arseholes	arseholes
arsenal	शस्त्रागार
arsenic	हरताल
arson	आगजनी
arsonist	arsonist
art	कला
arterial	धमनीय
artery	धमनी
artful	धूर्त
arthritis	गठिया
arthropod	सन्धिपाद
artichoke	हाथी चक
article	लेख
articles	सामग्री
articulate	स्पष्ट, गाँठदार
articulation	जोड़बंदी
artifact	विरूपण साक्ष्य
artifice	युक्ति
artificial	कृत्रिम
artillery	तोपें
artisan	शिल्पकार
artist	कलाकार
artiste	NO TRANSLATION
artistic	कलात्मक
artistry	कलात्मकता
artists	कलाकार की
artwork	कलाकृति
arty	आर्टि
asap	यथाशीघ्र
asbestos	अदह
ascend	चढ़ना
ascendancy	प्रभुत्व
ascendant	प्रबल
ascending	आरोही
ascension	अधिरोहण
ascent	आरोहण
ascertain	पता लगाना
ascertained	निधारित
ascetic	तपस्वी
ash	एश
ashamed	शर्मिंदा
ashes	राख
ashtray	राखदानी
asinine	गदहे का
ask	पूछना
asleeep	NO TRANSLATION
asleep	सो
asp	एएसपी
asparagus	एस्परैगस
aspartame	aspartame
aspect	पहलू
aspects	पहलुओं
aspen	ऐस्पन
asphalt	डामर
asphyxia	दम घुटना
asphyxiation	asphyxiation
aspiration	आकांक्षा
aspire	महत्त्वाकांक्षा करना
aspirin	एस्पिरिन
aspiring	आकांक्षी
ass	नितंब
assail	आक्रमण करना
assailant	आक्रमण-संबंधी
assassin	हत्यारा
assassinate	हत्या
assassination	हत्या
assault	हमला
assay	परख
assemblage	संयोजन
assemble	इकट्ठा
assembled	इकट्ठे
assembly	सभा
assemblyman	सदन के सदस्य
assent	अनुमति
assert	जोर
asserting	जोर देते हुए
assertion	अभिकथन
assertive	मुखर
assess	आकलन
assessment	मूल्यांकन
assessor	आंकलन करनेवाला
asset	संपत्ति
assets	संपत्ति
asshole	गधे
assign	सौंपना
assignee	संपत्ति-भागी
assignment	असाइनमेंट
assimilate	पचाना
assimilation	परिपाक
assist	सहायता
assistance	सहायता
assistant	सहायक
associate	साथी
association	संगति
assorted	मिश्रित
assortment	वर्गीकरण
assuage	शांत करना
assume	मान लीजिये
assumed	ग्रहण
assuming	यह सोचते हैं
assumption	कल्पना
assurance	बीमा
assure	आश्वासन
assured	आश्वासन
assuredly	विश्वासपूर्वक
asterisk	तारांकन
asteroid	छोटा तारा
asteroids	क्षुद्र ग्रह
asthma	दमा
asthmatic	दमे का रोगी
astigmatism	दृष्टिवैषम्य
astonish	चकित करना
astonished	आश्चर्यचकित
astonishing	आश्चर्यजनक
astonishingly	NO TRANSLATION
astonishment	विस्मय
astound	हक्का बक्का
astral	सूक्ष्म
astray	गुमराह
astringent	स्तम्मक
astrologer	ज्योतिषी
astrology	ज्योतिष
astronaut	अंतरिक्ष यात्री
astronomer	खगोल विज्ञानी
astronomical	खगोलीय
astronomy	खगोल
astute	चतुर
asunder	अलग-अलग
asylum	अस्पताल
asymmetric	असममित
asymmetry	विषमता
asymptotic	asymptotic
atelier	कारखाना
atheism	नास्तिकता
atheist	नास्तिक
atheistic	नास्तिक वृत्ति का
atherosclerosis	atherosclerosis
athlete	एथलीट
athletic	पुष्ट
athleticism	एथलेटिक
athletics	व्यायाम
atlas	एटलस
atmosphere	वायुमंडल
atmospheric	वायुमंडलीय
atoll	एटोल
atom	परमाणु
atomic	परमाणु
atone	मेल करना
atonement	प्रायश्चित करना
atpeace	शांति से
atrium	अलिंद
atrocious	नृशंस
atrocity	क्रूरता
atrophy	शोष
attach	संलग्न करें
attached	जुड़ा हुआ
attachment	आसक्ति
attack	आक्रमण
attacker	हमलावर
attacking	पर हमला
attain	प्राप्त
attainable	प्राप्य
attainment	प्राप्ति
attempt	प्रयास
attempted	का प्रयास किया
attend	भाग लेने के
attendance	उपस्थिति
attendant	परिचारक
attention	ध्यान
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	सचेत
attenuate	दुर्बल होना
attenuated	तनु
attenuation	क्षीणन
attest	यह प्रमाणित करते हैं
attestation	साक्षी
attic	अटारी
attire	पोशाक
attitude	रवैया
attorney	प्रतिनिधि
attract	आकर्षित
attraction	आकर्षण
attractive	मोह लेने वाला
attractiveness	आकर्षण
attributable	कारण
attribute	गुण
attribution	आरोपण
attrition	संघर्षण
auburn	सुनहरा भूरा रंग
auction	नीलाम
auctioneer	नीलाम में बेचना
audacious	साहसी
audacity	धृष्टता
audible	सुनाई देने योग्य
audience	दर्शक
audio	ऑडियो
audit	लेखा परीक्षा
audition	श्रवण
auditions	ऑडिशन
auditor	लेखा परीक्षक
auditorium	सभागार
auditory	श्रवण
aught	किसी प्रकार से
augment	बढ़ाना
augmentation	वृद्धि
august	अगस्त
aunt	चाची
auntie	चाची
aura	आभा
aurora	औरोरा
auspices	तत्त्वावधान
auspicious	शुभ क
austere	सीधा-सादा
austerity	तपस्या
authentic	विश्वसनीय
authenticate	प्रमाणित
authentication	प्रमाणीकरण
authenticity	सत्यता
author	लेखक
authoritative	आधिकारिक
authority	अधिकार
authorization	प्राधिकरण
authorize	को अधिकृत
authorized	अधिकार दिया गया
authorship	ग्रन्थकारिता
autism	आत्मकेंद्रित
autistic	ऑटिस्टिक
auto	ऑटो
