Word	ig
admissible	nwere ike ime
admission	nbanye
admit	kweta
admittance	nkwenye
admitted	kwetara
admitting	ikweta
admixture	admixture
admonition	ndụmọdụ
ado	adọọ
adobe	Adobe
adolescence	eto eto
adolescent	nwa okoro
adopt	kwenye
adoption	nnabata
adoptive	nhazi
adorable	mara mma
adoration	eme ihe
adore	na-asọpụrụ
adoring	adoring
adorn	chọọ mma
adornment	ịchọ mma
adrenalin	adrenalin
adrenaline	adrenaline
adrift	adrift
adult	okenye
adulterated	ịkwa iko
adulterer	onye na-akwa iko
adultery	ịkwa iko
adulthood	ịghọ okenye
advance	aga n'ihu
advanced	elu
advancement	ọganihu
advancing	aga n'ihu
advantage	uru
advantageous	bara uru
advent	abịa
adventure	njem
adventurer	adventurer
adventures	ihe omimi
adventurous	adventurous
adversary	onye iro
adverse	mmejọ
adversity	nsogbu
advertise	kpọsaanụ
advertisement	mgbasa ozi
advertising	mgbasa ozi
adverts	mgbasa ozi
advice	ndụmọdụ
advisable	ezi uche
advise	nye ndụmọdụ
advised	gwara
advisement	ndụmọdụ
adviser	onye ndụmọdụ
advisor	ndụmọdụ
advisory	ndụmọdụ
advocacy	ntinye
advocate	akwado
aegis	magis
aeration	ebido
aerial	mbara igwe
aerobics	elu igwe
aerodrome	ụgbọ elu
aerodynamic	elu ugwu
aerodynamics	elu igwe
aeronautics	ugboutics
aeroplane	ụgbọelu
aerospace	ụgbọelu
aesthetic	aesthetic
aesthetics	aesthetics
aetiology	aetiology
afar	n'ebe dị anya
affable	affable
affair	arụ ọrụ
affect	emetụta
affecting	emetụta
affection	ịhụnanya
affectionate	ịhụnanya
affections	obi
affiche	NO TRANSLATION
affidavit	nkwupụta
affiliated	ndị mmekọ
affiliation	njikọ
affinity	agbada
affirm	ekwenye
affirmation	nkwenye
affirmative	ekwenye
affirmatively	n'ụzọ doro anya
affix	affix
afflict	na-ata ahụhụ
afflicted	ndị nọ n'ahụhụ
affliction	nsogbu
affluence	ọgaranya
affluent	bara ọgaranya
afford	ego
affordable	ọnụ ọnụ
affront	iwe
affronted	kpariri
afield	afield
afire	afire
afloat	afụ
afore	tupu
aforementioned	ekwu
aforesaid	ekwu
afraid	egwu
afresh	ọzọ
african	african
aft	af
afterlife	mgbe ọ nwụsịrị
aftermath	emesị
afternoon	n'ehihie
aftershave	aftershave
aftertaste	aftertaste
afterthought	afterthought
aga	NO TRANSLATION
agape	agafe
agate	agate
age	afọ
aged	agadi
agency	ụlọ ọrụ
agenda	echekwa
agent	ụlọ ọrụ
agglomeration	agglomeration
aggravate	mekwuo
aggravated	aggravated
aggravates	aggravates
aggravating	aggravating
aggravation	ọgba aghara
aggregate	nchịkọta
aggregation	aggregation
aggresive	NO TRANSLATION
aggression	aghara
aggressive	eme ihe ike
aggressively	na-agwụ ike
aggressiveness	eme ihe ike
aggressor	onye na-eme ihe ike
agh	agh
aghast	aghast
aghhh	NO TRANSLATION
agile	agile
agility	agility
aging	ịka nká
agitate	na-emegharị anya
agitated	iwe
agitation	ọgba aghara
aglow	aglow
agnostic	agnostic
ago	gara aga
agonizing	na-agwụ ike
agony	ahụhụ
agoraphobia	emeraphobia
agree	kwenye
agreeable	dị mma
agreed	kwetara
agreeing	ekwenye
agreement	nkwekọrịta
agressive	NO TRANSLATION
agricultural	ugbo
agriculture	ugbo
aground	aground
agua	NO TRANSLATION
ahead	n'ihu
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	mma
aid	enyemaka
aide	enyemaka
aiding	enyere aka
aids	ihe enyemaka
ail	ail
ailing	arịa ọrịa
ailment	ọrịa
aim	Ebumnuche
aimless	enweghị isi
air	ikuku
airbag	airbag
airborne	ụgbọ elu
aircraft	ụgbọelu
aircraft carrier	ụgbọelu
airfield	ụgbọ elu
airhead	elu
airlift	airlift
airline	ụgbọelu
airliner	airliner
airlock	windlock
airman	airman
airplane	ụgbọelu
airport	ọdụ ụgbọelu
airs	airs
airship	ahụ
airspace	ụgbọelu
airspeed	ụgbọ elu
airstrip	ugbua
airtight	ọhụụ
airway	ụgbọ elu
aisle	wara wara
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	akin
alabaster	alabaster
alarm	mkpu
alarm clock	mkpu elekere
alarmed	ụjọ
alarming	egwu
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	ala
album	album
alchemy	ọ bụ nwa agbọghọ
alcohol	mmanya
alcoholic	aṅụrụma
alcoholism	aṅụrụma
alcove	mmanya
alderman	alderman
ale	NO TRANSLATION
alert	anya
alertness	anya
alerts	alerts
alfalfa	alfalfa
algebra	algebra
algebraic	algebra
algorithm	algorithm
alias	aha
alibi	alibi
alien	ọbịa
alienate	kewapụ
alienated	kewapụrụ
alienation	nnwere onwe
alight	gafere
align	dozie
aligned	kwadoro
alignment	nhazi
alike	otu
alimentation	NO TRANSLATION
alimony	alimony
aliquot	uzo
alive	ndụ
alkali	alkali
alkaloids	alkaloids
allay	kwụ
allegation	ebubo
allege	ekwu
alleged	ebubo
allegiance	nkwado
allegorical	ihe omuma
allegory	ihe atụ
allegro	allegro
allergic	enwe nchekasị
allergy	enweghi ahuhu
alleviate	belata
alleviation	mbelata
alley	uzo
alleyway	okporo ụzọ
alliance	mmekọrịta niile
allied	ndị jikọrọ aka
alligator	onye na-aga agha
allocate	ekenye
allocation	oke
allot	ekenye
allotment	òkè
allow	kwere
allowable	kwere ekwe
allowance	ohere
allowed	kwere
alloy	ihe niile
allsmiles	NO TRANSLATION
allure	achọ
alluring	nhazi
allusion	ntụgharị
alluvial	alluvial
ally	enyi
almanac	almanac
almighty	onye pụrụ ime ihe nile
almond	almọnd
aloft	elu
aloha	ima
alone	naanị
alongside	n'akụkụ
aloof	enweghị aka
aloud	n'olu dara ụda
alpha	alpha
alphabet	mkpụrụ okwu
alphabetical	mkpụrụ edemede
alpine	alpine
alreadyyyyy	amayyyy
altar	ebe ịchụàjà
altar boy	nwa okoro
alter	gbanwee
alteration	mgbanwe
altercation	altercation
altered	gbanwere
alternate	ọzọ
alternating	ọzọ
alternative	ọzọ
altimeter	altimeter
altitude	elu
alto	ọ bụ
altogether	kpamkpam
aluminum	aluminum
alumnus	alumnus
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	nhazi
amalgamation	nhazi
amaretto	mara mma
amass	amass
amateur	onye na-amu amu
amaze	ijuanya
amazed	juru
amazedness	NO TRANSLATION
amazement	ihe ijuanya
amazing	dị ịtụnanya
amazingly	ịtụnanya
ambassador	onye nnọchianya
amber	amber
ambience	obi
ambient	obi
ambiguity	ambiguity
ambiguous	ezo
ambit	ambit
ambition	ọchịchọ
ambitious	oké ọchịchọ
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ụgbọ ala
ambush	ezo
ameliorate	meziwanye
amen	Amin
amenable	ike
amend	dozie
amendment	mmeghari
amends	emezi
amenity	mma
amethyst	amethyst
amiable	amiable
amicable	mma
amid	n'etiti
amidst	n'etiti
amino	amino
ammo	ammo
ammonia	amonia
ammonium	ammonium
ammunition	mgboagha
amnesia	amnesia
amnesty	ntinye obi
amorous	obi ụtọ
amorphous	amorphous
amortization	amortization
amount	ego
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	eme ihe nkiri
ample	otutu
amplification	nkwalite
amplify	mechie
amplitude	njupụta
amply	ike
amputate	ewepu
amputation	mbepu
amuck	amuck
amulet	amulet
amuse	ọchị
amused	amused
amusement	ntụrụndụ
amusing	na-atọ ọchị
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	nkwụsị
anaesthetic	anesthetic
anagram	anagram
anal	gbasara ike
analgesic	analgesic
analogous	dị mma
analogue	analogue
analogy	nyocha
analysis	nyocha
analyst	nyocha
analytic	nyocha
analytical	nyocha
analyze	nyochaa
analyzer	nyocha
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	ọgba aghara
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	akụrụmkpụ
ancestor	nna ochie
ancestral	nna ochie
ancestry	nna
anchor	arịlịka
anchorage	anchorage
ancient	ochie
ancillary	mgbakwunye
androgen	androgen
android	android
anecdote	nchịkọta
anemia	anaemia
anemic	anemic
anemone	anemone
anesthesia	nkwụsị
anesthesiologist	anesthesiologist
anesthetic	anesthetic
aneurysm	aneurysm
anew	ọzọ
angel	mmụọ ozi
angelic	mmụọ ozi
anger	iwe
angered	kpasuru iwe
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	ihe omuma
angle	n'akuku
angling	ịkụ aka
angora	angora
angriest	oku
angry	iwe
angrytweet	NO TRANSLATION
angst	angst
anguish	nhụjuanya
anguished	nhụjuanya
angular	angular
anhydrous	akpọnwụ
animal	anụmanụ
animate	animate
animated	agba ọsọ
animation	ihe ngosi
animosity	obi ojoo
animus	animus
ankle	nkwonkwo
anklet	anklet
annals	annals
annex	mgbakwunye
annexation	mgbakwunye
annexe	NO TRANSLATION
annihilate	kpochapu
annihilated	kpochapuru
annihilation	mbibi
anniversary	ncheta
annotate	nyochaa
annotation	nyocha
announce	mara ọkwa
announcement	ọkwa
announcer	onye mgbasa ozi
annoy	iwe iwe
annoyance	iwe
annoyed	iwe
annoyin	NO TRANSLATION
annoying	iwe iwe
annoys	iwe iwe
annual	kwa afọ
annuity	afọ
annul	wepu
annular	annular
annulment	nkwụsị
annulus	nkwụsị
anointed	ndị e tere mmanụ
anointing	mmanye
anomalous	adịghị mma
anomaly	anomaly
anon	otu
anonymity	anonymity
anonymous	amaghị aha
anorexic	ihe na-egbu egbu
answer	azịza
answerable	ọ dị mma
answering	aza
ant	ant
antagonism	aghara
antagonist	onye agha
antagonistic	na-emegide onwe ya
antagonize	kwadoro
ante	NO TRANSLATION
antecedent	onye azu
antelope	antelope
antenna	antenna
anterior	n'ihu
anthem	abụ
anthill	nkwụsị
anthology	akuko
anthrax	anthrax
anthropological	anthropological
anthropologist	onye ọkà n'akwukwo nso
anthropology	ihe omumu
anti	mgbochi
antiaircraft	na-arụ ọrụ
antibiotic	nje
antibiotics	ọgwụ nje
antichrist	onye na-emegide Kraịst
anticipate	atụ anya
anticipation	atụ anya
anticipatory	atụmanya
antics	antics
antidote	ngwọta
antifungal	nkwenye
antigravity	mgbochi
antimony	antimony
antipathy	mgbochi
antiquarian	mgbochi
antiquated	nke a na-amaghị
antique	ochie
antiques	antiques
antiquity	oge ochie
antiseptic	antiseptic
antisocial	ndị na-emegide ndị mmadụ
antithesis	nkwenye
antithetical	na-atụgharị uche
antiviral	antiviral
antler	onye na-anụ ọkụ
antsy	antsy
anus	ike
anvil	igwe
anxiety	nchegbu
anxietyattack	NO TRANSLATION
anxious	echegbu onwe ya
anxiousness	nchegbu
anytime	oge ọ bụla
aorta	aorta
aortic	aortic
apace	apace
apache	apache
apartment	ulo
apartments	ụlọ
apathetic	enweghị mmasị
apathy	enweghị mmasị
ape	ape
aperture	oghere
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	otu
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	na-arịọ arịrịọ
apologist	onye nkwado
apologize	rịọ mgbaghara
apology	mgbaghara
apostasy	ndapụ n'ezi ofufe
apostate	onye si n'ezi ofufe dapụ
apostle	onyeozi
apostolic	apostolic
apostrophe	apostrophe
apothecary	apothecary
appalled	anya
appalling	na-eju anya
apparatus	ngwa
apparel	uwe
apparent	anya
apparently	O doro anya
apparition	ọdịdị
appeal	ịrịọ arịrịọ
appear	apụta
appearance	ọdịdị
appease	kpalie
appellant	onye na-enyocha ya
append	tinye
appendage	ngwa ngwa
appendectomy	appendectomy
appendicitis	appendicitis
appendix	ngwa ngwa
appetite	agụụ
appetizer	agụụ
appetizing	agụụ
applaud	na-eto
applause	na-akụ
apple	apụl
apple juice	apụl ihe ọṅụṅụ
applejack	applejack
applesauce	appleauce
appliance	ngwa oru
appliances	ngwa ngwa
applicability	arụ ọrụ
applicable	ọdabara
applicant	onye choro
application	ngwa
apply	tinye
appoint	họpụta
appointment	ndokwa
appointments	nhọpụta
apportion	ike
apportionment	nhazi
appraisal	nyocha
appraise	ngwa
appreciable	ekele
appreciate	ghọta
appreciated	nwere ekele
appreciates	nwere ekele
appreciation	ekele
appreciative	ekele
apprehend	mata
apprehension	enwe ọmịiko
apprehensive	egwu
apprentice	na-amụ
apprenticeship	ọmụmụ
approach	bia
approaching	na-eru nso
approbate	NO TRANSLATION
approbation	nkwado
appropriate	kwesịrị ekwesị
appropriation	ego
approval	nkwenye
approve	kwado
approved	kwadoro
approvement	nkwado
approving	kwado
approximate	dị mma
approximately	ihe dika
approximating	adọta
approximation	oke
appurtenances	ihe omumu
apricot	aprịkọt
apron	apron
apt	apt
aptitude	nghọta
aqua	mmiri
aquamarine	aquamarine
aquarium	aquarium
aquatic	mmiri
aqueduct	ọwa mmiri
aqueous	mmiri mmiri
arable	arable
arbiter	onye ikpe
arbitrary	aka ike
arbitrate	ikpe ikpe
arbitration	ikpe
arbitrator	onye ikpe
arbor	arbor
arc	arc
arcade	arcade
arcane	arcane
arch	njiko
archaeological	ihe omumu
archaeologist	ọkà mmụta ihe ochie
archaeology	nkà mmụta ihe ochie
archaic	archaic
archangel	onyeisi ndị mmụọ ozi
archbishop	achịbishọp
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	archer
archery	ịgba ụta
archetype	archetype
archipelago	okpukpu
architect	onye nhazi
architectural	ụlọ obibi
architecture	ihe owuwu
archive	nchekwa
arctic	arctic
ardent	ike
ardor	aghara
arduous	siri ike
area	ebe
arena	ogige
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	arụ ụka
argument	arụmụka
argumentation	arụ ụka
argumentative	arụ ụka
arguments	arụmụka
arid	aghara
arise	bilie
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	ndi ochichi
arithmetic	aghara
ark	ụgbọ
arm	ogwe aka
armada	armada
armament	agha
armaments	ngwá agha
armature	aka
armchair	oche oche
armed	ndị agha
armor	agha
armored	eji aka agha
armory	ngwá agha
armpit	armpit
arms	ogwe aka
army	agha
aroma	okpukpo
aromatherapy	aromatherapy
arousal	kpaliri
arouse	kpalie
aroused	kpaliri
arraignment	njide aka
arrange	ndokwa
arranged	ndokwa
arrangement	ndokwa
array	ụdị
arrears	njedebe
arrest	jide
arrhythmia	arrhythmia
arrival	ọbịbịa
arrive	abata
arrogance	mpako
arrogant	mpako
arrow	akụ
arsehole	arsehole
arseholes	arseholes
arsenal	ụlọ agha
arsenic	arsenic
arson	arson
arsonist	arsonist
art	nka
arterial	ọhụụ
artery	akwara
artful	ọfọn
arthritis	ọrịa ogbu na nkwonkwo
arthropod	arthropod
artichoke	atịchok
article	ederede
articles	isiokwu
articulate	nhazi
articulation	ọkpụkpụ
artifact	arụ ọrụ
artifice	artifice
artificial	akụrụ
artillery	igwe egwu
artisan	artisan
artist	ese ihe
artiste	NO TRANSLATION
artistic	nka
artistry	nka
artists	ndi nka
artwork	arụ ọrụ
arty	arty
asap	wepụ
asbestos	asbestos
ascend	rigo
ascendancy	elu
ascendant	elu
ascending	agbago
ascension	rịgoro n'elu
ascent	agbago
ascertain	chọpụta
ascertained	a chọpụtara
ascetic	akpọrọ onwe ya
ash	uyi
ashamed	ihere
ashes	ntụ
ashtray	ihe mkpuchi
asinine	asinine
ask	jụọ
asleeep	NO TRANSLATION
asleep	ụra
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	akụkụ
aspects	akụkụ
aspen	aspen
asphalt	akwara
asphyxia	asphyxia
asphyxiation	nhazi
aspiration	ọchịchọ
aspire	chọọ
aspirin	aspirin
aspiring	achọ
ass	ịnyịnya ibu
assail	agha
assailant	assailant
assassin	onye gburu mmadụ
assassinate	egbu ọchụ
assassination	mgbu mmadu
assault	wakpo
assay	nyocha
assemblage	mgbakọ
assemble	zukọta
assembled	zukọtara
assembly	mgbakọ
assemblyman	onye mgbakọ
assent	kwenye
assert	kwuo
asserting	ekwu
assertion	nkwupụta
assertive	ekwu okwu
assess	nyocha
assessment	nyocha
assessor	onye nyocha
asset	ego
assets	akụ
asshole	Ike
assign	ekenye
assignee	onye agha
assignment	ọrụ
assimilate	na-emetụta
assimilation	nnweta ikuku
assist	nyere aka
assistance	enyemaka
assistant	onye inyeaka
associate	akpakọrịta
association	mkpakọrịta
assorted	dị iche iche
assortment	otu ihe
assuage	ekwu okwu
assume	chee
assumed	chere
assuming	eche
assumption	echiche
assurance	mmesi obi ike
assure	kwenye
assured	obi ike
assuredly	n'ezie
asterisk	akara mmuke
asteroid	asteroid
asteroids	asteroids
asthma	ụkwara ume ọkụ
asthmatic	asthmatic
astigmatism	astigmatism
astonish	iju anya
astonished	juru ya anya
astonishing	ihe ijuanya
astonishingly	NO TRANSLATION
astonishment	ihe ijuanya
astound	dị ịtụnanya
astral	astral
astray	kpafuo
astringent	astringent
astrologer	onye na-agụ kpakpando
astrology	astrology
astronaut	astronaut
astronomer	onye na-enyocha mbara igwe
astronomical	astronomical
astronomy	astronomy
astute	enweghị isi
asunder	wepu
asylum	mgbapu
asymmetric	akpaka
asymmetry	ezughị okè
asymptotic	asymptotic
atelier	ụlọ ọrụ
atheism	ekweghị na Chineke
atheist	ekweghị na Chineke
atheistic	ekweghị na Chineke
atherosclerosis	atherosclerosis
athlete	onye na-eme egwuregwu
athletic	egwuregwu
athleticism	egwuregwu
athletics	egwuregwu
atlas	atlas
atmosphere	ikuku
atmospheric	elu igwe
atoll	atoll
atom	atọ
atomic	atomic
atone	atone
atonement	mkpuchi
atpeace	mba
atrium	atrium
atrocious	ike
atrocity	atrocity
atrophy	atrophy
attach	tinye
attached	gbakwunyere
attachment	mgbakwunye
attack	agha
attacker	agha
attacking	agha
attain	nweta
attainable	achọpụta
attainment	nweta
attempt	gbalịa
attempted	nwara
attend	gaa
attendance	ndị na-abịa
attendant	onye na-eje ozi
attention	anya
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	ntị
attenuate	echere
attenuated	attenuated
attenuation	attenuation
attest	akaebe
attestation	akaebe
attic	ụlọ elu
attire	ejiji
attitude	àgwà
attorney	onye ọka iwu
attract	adọta
attraction	mma
attractive	mara mma
attractiveness	mma
attributable	ekwu
attribute	àgwà
attribution	agwa
attrition	attrition
auburn	auburn
auction	ụlọ ahịa
auctioneer	auctioneer
audacious	ike
audacity	ike
audible	nụ
audience	ndị na-ege ntị
audio	ụda
audit	nyocha
audition	nyocha
auditions	ntị
auditor	onye nyocha
auditorium	ụlọ mgbakọ
auditory	nyocha
aught	ihe ọ bụla
augment	mụbaa
augmentation	augmentation
august	August
aunt	nwanne mama m
auntie	nwanne nne
aura	Aga
aurora	aurora
auspices	auspices
auspicious	enwe obi ụtọ
austere	ike
austerity	austerity
authentic	ezigbo
authenticate	nyocha
authentication	nyocha
authenticity	eziokwu
author	onye edemede
authoritative	ikike
authority	ikike
authorization	ikike
authorize	nye ikike
authorized	ikike
authorship	onye edemede
autism	autism
autistic	autistic
auto	akpaaka
autobiographical	autobiographical
autobiography	autobiography
autocorrect	ezighi ezi
autocratic	ọchichi
autograph	autograph
autographed	autographed
automated	akpaghị aka
automatic	akpaka
automobile	ụgbọala
automotive	akụrụngwa
autonomy	ndi mmadu
autopilot	autopilot
autopsy	nke nwere ike ime
autumn	ụbịa
auxiliary	enyemaka
avail	enweta
availability	nnweta
available	dị
avalanche	nnukwu mmiri
avarice	ọhụụ
avatar	avatar
avenge	ịbọ ọbọ
avenger	onye na-abọ ọbọ
avenging	ịbọ ọbọ
avenue	ụzọ
aver	NO TRANSLATION
average	nkezi
aversation	NO TRANSLATION
averse	averse
averseness	mgbanwe
aversion	aversion
avert	wepụ
aviary	aviary
aviation	ụgbọelu
aviator	aviator
avid	obi
avocado	ube oyibo
avoid	zere
avoidance	izere
avoiding	zere
await	echere
awake	teta
awaken	edemede
awakening	edemede
award	award
awards	onyinye
aware	maara
awareness	mmata
awe	NO TRANSLATION
awed	egwu
awesome	egwu
awesomeness	ọhụụ
awestruck	awestruck
awful	egwu
awkward	adịghị mma
awkwardness	agkwardness
awning	awning
awry	awry
axe	anyụike
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	axis
axle	axle
ay	ay
aye	ụwa
azimuth	azimuth
azure	azure
babble	babble
babbling	babbling
babe	nwa
baboon	ọwa
baby	nwa
babysit	nwa
babysitter	onye na-elekọta ụmụaka
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	Bachelor
bachelorette	bachelorette
back	azụ
backboard	azụ
backbone	azụ
backdoor	ụzọ azụ
backdrop	azụ
backer	onye nkwado
backfire	azụ azụ
backgammon	backgammon
background	ndabere
backhand	azụ
backhoe	uzuzu
backoff	backoff
backpack	azu paaki
backpacker	backpacker
backroom	nhazi
backseat	azụ
backside	azụ
backtrack	backtrack
backup	ndabere
backward	azụ
backwardness	azụ
backwards	azụ
backwater	azụ azụ
backwoods	backwoods
backyard	azụ
bacon	anụ ezi
bacteria	nje bacteria
bacterial	nje
bacterium	nje
bad	ọjọọ
badass	ihe ọjọọ
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	badger
badhabit	NO TRANSLATION
badly	ọjọọ
badness	ọjọọ
baffle	baffle
baffled	dara ụda
bag	akpa
bagel	bagel
baggage	Akpa
baggie	baggie
baggy	akpa
bagman	bagman
bagpipes	akpa akwa
bail	mgbapụta
bailiff	kotima
bait	nri
bake	akpọọ nkụ
bakery	eme achịcha
baking	mmiri
bal	NO TRANSLATION
balance	edozi
balanced	echekwa
balcony	mbara ihu
bald	bald
balding	balding
baldy	baldy
bale	bọta
balk	balk
ball	bọọlụ
ballad	ballad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	bọọlụ
ballistic	ballistic
ballistics	bọọlụ
balloon	balloon
ballot	nhoputa
ballpark	bọọlụ
ballplayer	bido
ballpoint	ebe nchekwa
ballroom	bọọlụ
ballsy	bọọlụ
balm	balm
balmy	balmy
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	bamboo
ban	NO TRANSLATION
banana	unere
band	ìgwè
bandage	bandeeji
bandanna	NO TRANSLATION
bandit	bandit
bandstand	nkpuchi
bandwagon	bandwagon
bandwidth	bandwit
bane	bane
bang	Ee
banger	banger
banish	wepụ
banished	wepụrụ
banishment	pụọ
banister	banister
banjo	banjo
bank	ụlọ akụ
banker	ugbo
banking	ụlọ akụ
bankroll	bankroll
bankrupt	odida
