Word	bn
activate	সক্রিয় করা
activation	সক্রিয়করণ
active	সক্রিয়
activist	কর্মী
activity	কার্যকলাপ
actor	অভিনেতা
actress	অভিনেত্রী
actual	আসল
actuality	বাস্তবতা
actuary	বিমা-পরতালক
acuity	তীক্ষ্নতা
acumen	সূক্ষ্ম বিচারশক্তি
acupuncture	চিকিত্সা-পদ্ধতি বিশেষ
acute	তীব্র
acutely	কঠোরভাবে
ad	বিজ্ঞাপন
adage	প্রবচন
adamant	হীরক
adapt	খাপ খাওয়ানো
adaptable	অভিযোজ্য
adaptation	অভিযোজন
add	যোগ
added	যোগ
addendum	অভিযোজ্য বস্তু
adder	পরিশিষ্ট
addict	উপসেবক
addicted	আসক্ত
addiction	অনুরতি
addictive	আসক্তি
addition	যোগ
additional	অতিরিক্ত
additive	বিশেষ উদ্দেশ্যে সংযোজনের বস্তু
address	ঠিকানা
addressee	পত্রের প্রাপক
addresses	ঠিকানাগুলি
adept	পারদর্শী
adequacy	সাদৃশ্য
adequate	পর্যাপ্ত
adhere	মেনে চলে
adherence	আনুগত্য
adherent	অনুগত
adhering	লগ্ন
adhesion	আনুগত্য
adhesive	আঠালো
adieu	বিদায়
adipose	মেদ
adjacency	অন্তিক
adjacent	সংলগ্ন
adjective	বিশেষণ
adjoining	সংলগ্ন
adjourn	স্থগিত রাখা
adjournment	কালহরণ
adjudicate	ন্যায়নির্ণয় করা
adjudication	ফয়সালা
adjunct	উপরি
adjust	সমন্বয় করা
adjuster	ফিটার
adjustment	সমন্বয়
adjuvant	সহযোগিতা
admin	অ্যাডমিন
administer	প্রশাসক
administration	প্রশাসন
administrative	প্রশাসনিক
administrator	প্রশাসক
admirable	ধন্য
admiral	নৌসেনাপতি
admiralty	নৌসেনাবিভাগ
admiration	প্রশংসা
admire	তারিফ করা
admired	প্রশংসিত
admirer	উপাসক
admiring	উপাসক
admissibility	গ্রাহ্যতা
admissible	গ্রাহ্য
admission	স্বীকারোক্তি
admit	সত্য বলিয়া স্বীকার করা
admittance	প্রবেশ
admitted	ভর্তি
admitting	admitting
admixture	মিশ্রণ
admonition	উপদেশ
ado	হৈচৈ
adobe	রৌদ্রপক্ব ইষ্টক
adolescence	কৈশোর
adolescent	কিশোর
adopt	অবলম্বন করা
adoption	গ্রহণ
adoptive	অবলম্বনকর
adorable	আরাধ্য
adoration	উপাসনা
adore	পূজা করা
adoring	সপ্রেম
adorn	বিভূষিত করা
adornment	সজ্জা
adrenalin	বৃক্করস
adrenaline	বৃক্করস
adrift	ভাসিতে ভাসিতে
adult	প্রাপ্তবয়স্ক
adulterated	ভেজাল
adulterer	অগম্যাগামী
adultery	ব্যভিচার
adulthood	সাবালকত্ব
advance	আগাম
advanced	অগ্রসর
advancement	অগ্রগতি
advancing	আগুয়ান
advantage	সুবিধা
advantageous	সুবিধাজনক
advent	আবির্ভাব
adventure	দু: সাহসিক কাজ
adventurer	হঠকারী ব্যক্তি
adventures	এডভেন্ঞার ট্যুরিজম
adventurous	দু: সাহসিক
adversary	প্রতিদ্বন্দ্বী
adverse	প্রতিকূল
adversity	বিদ্বেষ
advertise	বিজ্ঞাপিত করা
advertisement	বিজ্ঞাপন
advertising	বিজ্ঞাপন
adverts	বিজ্ঞাপন
advice	পরামর্শ
advisable	যুক্তিযুক্ত
advise	পরামর্শ
advised	পরামর্শ
advisement	advisement
adviser	উপদেষ্টা
advisor	অধ্যাপক
advisory	উপদেশক
advocacy	প্রচার
advocate	উকিল
aegis	আশ্রয়
aeration	বাতান্বয়ন
aerial	বায়বীয়
aerobics	এরোবিকস
aerodrome	বিমানশালা
aerodynamic	aerodynamic
aerodynamics	বায়ুগতিবিদ্যা
aeronautics	বিমানচালনাবিদ্যা
aeroplane	বিমান
aerospace	মহাকাশ
aesthetic	নান্দনিক
aesthetics	নন্দনতত্ব
aetiology	নিদান
afar	দূরে
affable	ভদ্র
affair	ব্যাপার
affect	প্রভাবিত
affecting	প্রভাবিত
affection	স্নেহ
affectionate	অনুরক্ত
affections	ভালোবাসা
affiche	NO TRANSLATION
affidavit	হলফনামা
affiliated	সম্বন্ধযুক্ত
affiliation	অন্তর্ভুক্তি
affinity	সম্বন্ধ
affirm	নিশ্চিত করা
affirmation	কথন
affirmative	হাঁ-সূচক
affirmatively	affirmatively
affix	জুড়া
afflict	পীড়িত করা
afflicted	নিপীড়িত
affliction	দু: খ
affluence	সমৃদ্ধি
affluent	ধনী
afford	সামর্থ্য
affordable	সাশ্রয়ী মূল্যের
affront	অপমান করা
affronted	অপমানিত
afield	দূরে
afire	আগুন
afloat	চালু
afore	পূর্বে
aforementioned	উপরোক্ত
aforesaid	পূর্বোক্ত
afraid	ভীত
afresh	পুনর্বার
african	আফ্রিকান
aft	জাহাজের পিছনের দিকে
afterlife	ভবিষ্যৎ জীবন
aftermath	ভবিষ্যৎ ফল
afternoon	বিকেল
aftershave	আফটারশেভ লোশন
aftertaste	aftertaste
afterthought	অনুচিন্তা
aga	NO TRANSLATION
agape	মুখ হাঁ করিয়া
agate	অকীক
age	বয়স
aged	বুড়া
agency	সংস্থা
agenda	বিষয়সূচি
agent	প্রতিনিধি
agglomeration	স্তূপ
aggravate	বাড়া
aggravated	কুপিত
aggravates	aggravates
aggravating	বিরক্তিকর
aggravation	অধোগমন
aggregate	থোক
aggregation	মোট পরিমাণ
aggresive	NO TRANSLATION
aggression	আক্রমণ
aggressive	আক্রমনাত্মক
aggressively	সহিংস
aggressiveness	হামলাদারিতা
aggressor	আক্রমণকারী
agh	AGH
aghast	বিস্ময়ে হতবুদ্ধি
aghhh	NO TRANSLATION
agile	কর্মতত্পর
agility	তত্পরতা
aging	পক্বতা
agitate	উমান
agitated	ক্ষুব্ধ
agitation	চাগাড়
aglow	প্রদীপ্ত
agnostic	অজ্ঞানবাদী
ago	পূর্বে
agonizing	মানসিক যন্ত্রণাদায়ক
agony	নিদারূণ যন্ত্রণা
agoraphobia	ভিতরের ভয়ের ব্যাধি
agree	একমত
agreeable	অমায়িক
agreed	একমত
agreeing	সম্মত
agreement	চুক্তি
agressive	NO TRANSLATION
agricultural	কৃষিজাত
agriculture	কৃষি
aground	জলমগ্ন চড়ায়
agua	NO TRANSLATION
ahead	এগিয়ে
ahhh	আচ্ছা
ahhhhhhhh	NO TRANSLATION
ahoy	হোই
aid	সাহায্য
aide	সহায়তাকারী
aiding	প্রতিপোষক
aids	এইডস
ail	পীড়িত করা
ailing	দুর্বল
ailment	আময়
aim	লক্ষ্য
aimless	উদ্দেশ্যহীন
air	বায়ু
airbag	এয়ার ব্যাগ
airborne	বায়ুবাহিত
aircraft	বিমান
aircraft carrier	বিমান ক্যারিয়ার
airfield	বিমানাঙ্গন
airhead	airhead
airlift	বিমানপোতে বহন
airline	এয়ারলাইন
airliner	বিমান
airlock	airlock
airman	বৈমানিক
airplane	বিমান
airport	বিমানবন্দর
airs	চালিয়াতি
airship	আকাশযান
airspace	আকাশসীমা
airspeed	এয়ারস্পীড
airstrip	এয়ারস্ট্রিপ
airtight	বায়ুরোধী
airway	বিমান-চলাচলের পথ
aisle	করিডোর
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ওরফে
akin	সদৃশ
alabaster	তৈলস্ফটিক
alarm	বিপদাশঙ্কা
alarm clock	অ্যালার্মঘড়ি
alarmed	অধীর
alarming	ভীতিকর
alas	হায়রে
alb	NO TRANSLATION
albatross	বৃহদাকার সামুদ্রি পক্ষিবিশেষ
albino	ধবলরোগগ্রস্ত ব্যক্তি
album	অ্যালবাম
alchemy	কিমিতি
alcohol	এলকোহল
alcoholic	মদ্যপ
alcoholism	মদ্যাশক্তি
alcove	তাক
alderman	পৌরমুখ্য
ale	NO TRANSLATION
alert	সতর্ক
alertness	সতর্কতা
alerts	সতর্কতা
alfalfa	ত্রিপত্রোত্পাদী বৃক্ষবিশেষ
algebra	বীজগণিত
algebraic	বীজগাণিতিক
algorithm	অ্যালগরিদম
alias	উপনাম
alibi	অপরাধের অনুষ্ঠানকালে অন্যত্র থাকার অজুহাতে রেহাই পাইবার দাবি
alien	পরক
alienate	হস্তান্তর করিয়া দেত্তয়া
alienated	বিচ্ছিন্ন
alienation	উন্মত্ততা
alight	অবতরণ করা
align	শ্রেণীবদ্ধ করা
aligned	সারিবদ্ধ
alignment	শ্রেণীবিন্যাস
alike	একইভাবে
alimentation	NO TRANSLATION
alimony	ভরণপোষণ
aliquot	ভাগশেষ না রাখিয়া সমাংশে ভাগ করিতে সক্ষম
alive	জীবিত
alkali	ক্ষার
alkaloids	alkaloids
allay	কমান
allegation	অভিযোগ
allege	সপক্ষে যুক্তি দেখান
alleged	কথিত
allegiance	আনুগত্য
allegorical	অপ্রস্তুতপ্রশংসা দ্বারা বর্ণিত
allegory	রুপকবর্ণনা
allegro	Allegro
allergic	বিরাগসম্পন্ন
allergy	এলার্জি
alleviate	উপশম করা
alleviation	হ্রাসকরণ
alley	সরু গলি
alleyway	সরু গলি
alliance	জোট
allied	স্বজাতীয়
alligator	নক্র
allocate	বরাদ্দ করা
allocation	বণ্টন
allot	বরাদ্দ করা
allotment	বরাদ্দ
allow	অনুমতি
allowable	সম্ভবপর
allowance	ভাতা
allowed	অনুমতি
alloy	খাদ
allsmiles	NO TRANSLATION
allure	মোহন
alluring	লোভনীয়
allusion	ইশারা
alluvial	পাললিক
ally	মিত্র
almanac	পাঁজি
almighty	সর্বশক্তিমান
almond	বাদাম
aloft	শূন্যে
aloha	Aloha
alone	একা
alongside	এর পাশাপাশি
aloof	নির্লিপ্ত
aloud	সশব্দে
alpha	আরম্ভ
alphabet	বর্ণমালা
alphabetical	বর্ণানুক্রমিক
alpine	অত্যুচ্চ
alreadyyyyy	NO TRANSLATION
altar	বেদি
altar boy	বেদি ছেলে
alter	পরিবর্তন করা
alteration	পরিবর্তন
altercation	ঝগড়াঝাঁটি
altered	রদবদল করা
alternate	একান্তর
alternating	পর্যায়ক্রমে
alternative	বিকল্প
altimeter	উচ্চতা মাপিবার যন্ত্রবিশেষ
altitude	উচ্চতা
alto	সরু
altogether	পুরাপুরি
aluminum	অ্যালুমিনিয়াম
alumnus	প্রাক্তন ছাত্র
alveolar	ঝাঁঝর
alzheimers	NO TRANSLATION
amalgam	মিশ্রণ
amalgamation	একত্রীকরণ
amaretto	amaretto
amass	রাশীকৃত করা
amateur	অপেশাদার
amaze	স্তম্ভিত করা
amazed	বিস্মিত
amazedness	amazedness
amazement	আশ্চর্য
amazing	আশ্চর্যজনক
amazingly	বিস্ময়করভাবে
ambassador	রাষ্ট্রদূত
amber	অ্যাম্বার
ambience	বাতাবরণ
ambient	চারিপার্শ্বিক
ambiguity	অস্পষ্টতা
ambiguous	দ্ব্যর্থক
ambit	চৌহদ্দি
ambition	উচ্চাকাঙ্ক্ষা
ambitious	উচ্চাকাঙ্ক্ষী
ambivalent	পরস্পরবিরোধী
ambrosia	অমিয়
ambulance	অ্যাম্বুলেন্স
ambush	ত্তৎ পাতা
ameliorate	উন্নয়নসাধন করা
amen	তথাস্তু
amenable	এক্তিয়ারভুক্ত
amend	সংশোধন করা
amendment	সংশোধন
amends	ক্ষতিপূরণ
amenity	শিষ্টতা
amethyst	নীলা
amiable	বন্ধুসুলভ
amicable	বন্ধুত্বপূর্ণ
amid	মধ্যে
amidst	অন্তরে
amino	অ্যামিনো
ammo	গোলাবারুদ
ammonia	হাইড্রোজেন ত্ত নাইট্রোজেন গ্যাসের মিলনে গ্যাসীয়
ammonium	অ্যামোনিয়াম
ammunition	গুলি
amnesia	স্মৃতিবিলোপ
amnesty	রাজক্ষমা
amorous	কামার্ত
amorphous	নিরাকার
amortization	ঘাত-শোষণ
amount	পরিমাণ
amour	NO TRANSLATION
amp	বিশ্বকাপ
ampersand	এম্পারসেন্ড
amphetamines	amphetamines
amphibian	উভচর
amphibious	উভচর
amphitheater	অ্যামি্পথিয়েটার
ample	প্রশস্ত
amplification	বিকাস
amplify	প্রশস্ত করা
amplitude	প্রশস্ততা
amply	কানায় কানায়
amputate	অঙ্গচ্ছেদ করা
amputation	অঙ্গচ্ছেদ
amuck	ক্ষিপ্তবৎ
amulet	মাদুলি
amuse	আমোদিত করা
amused	আমোদিত
amusement	পরিতৃপ্তি
amusing	মজাদার
ana	NO TRANSLATION
anaconda	বড় অজগর সাপ
anaesthesia	অবেদন
anaesthetic	অবেদনিক
anagram	এক শব্দের বর্ণসমূহের স্থানপরিবর্তন দ্বারা ভিন্ন শব্দ গঠন
anal	পায়ুসংক্রান্ত
analgesic	বেদনানাশক
analogous	অনুরূপ
analogue	অনুরূপ উদাহরণ
analogy	উপমা
analysis	বিশ্লেষণ
analyst	বিশ্লেষক
analytic	বিশ্লেষণমূলক
analytical	বিশ্লেষণাত্মক
analyze	বিশ্লেষণ করা
analyzer	বিশ্লেষক
anaphylactic	anaphylactic
anarchism	নৈরাজ্যবাদ
anarchist	নৈরাজ্যবাদী
anarchy	অরাজকতা
anastomosis	anastomosis
anathema	অভিশাপ
anatomic	anatomic
anatomy	শারীরস্থান
ancestor	পূর্বপুরুষ
ancestral	পৈতৃক
ancestry	উত্পত্তি
anchor	নোঙ্গর
anchorage	নঙ্গর বাঁধিবার উপকরণ
ancient	প্রাচীন
ancillary	আনুষঙ্গিক
androgen	প্রাণীদেহে উত্পন্ন যে রাসায়নিক রক্তের সংগে মিশে পুরুষদেহের বৈশিষ্ট্যকে প্রকটতর করে ও বজায় রাখে
android	অ্যান্ড্রয়েড
anecdote	গপ্প
anemia	রক্তাল্পতা
anemic	রক্তহীন
anemone	বায়ুপরাগী পুষ্পবিশেষ
anesthesia	অবেদন
anesthesiologist	অ্যানেসথিসিয়াবিদ
anesthetic	অবেদনিক
aneurysm	aneurysm
anew	নতুনভাবে
angel	ফেরেশতা
angelic	দেবদূতোপম
anger	রাগ
angered	কুপিত
angermanagement	NO TRANSLATION
angina	কণ্ঠনালীপ্রদাহ
angiogram	angiogram
angiography	angiography
angle	কোণ
angling	Angling
angora	আংকারা-দেশীয় লোম
angriest	angriest
angry	ক্রুদ্ধ
angrytweet	NO TRANSLATION
angst	উদ্বেগ
anguish	যন্ত্রণা
anguished	ক্লেশিত
angular	কৌণিক
anhydrous	নির্জল
animal	পশু
animate	সজীব
animated	প্রাণবন্ত
animation	অ্যানিমেশন
animosity	বিদ্বেষ
animus	বিদ্বেষ
ankle	গোড়ালি
anklet	নূপুর
annals	কাহিনী
annex	আত্মসাৎ করা
annexation	আত্মসাৎ
annexe	NO TRANSLATION
annihilate	ধ্বংস করা
annihilated	বিলুপ্ত
annihilation	নাশ
anniversary	বার্ষিকী
annotate	টীকা লেখা
annotation	টীকা
announce	ছাপানো
announcement	ঘোষণা
announcer	ঘোষক
annoy	বিরক্ত করা
annoyance	বিরক্তি
annoyed	উত্ত্যক্ত
annoyin	NO TRANSLATION
annoying	বিরক্তিকর
annoys	প্রস্তাবে রেগে
annual	বার্ষিক
annuity	বার্ষিক
annul	খণ্ডিত করা
annular	বলয়াকার
annulment	রদ
annulus	annulus
anointed	উদ্বর্তিত
anointing	উদ্বর্তন
anomalous	ব্যতিক্রমী
anomaly	ব্যতিক্রম
anon	বেনামা
anonymity	অপ্রকাশিতনামা
anonymous	নামবিহীন
anorexic	anorexic
answer	উত্তর
answerable	দায়ী
answering	উত্তর
ant	পিপীলিকা
antagonism	বিরোধ
antagonist	বিরোধী
antagonistic	শত্রুভাবাপন্ন
antagonize	প্রতিকূলতা করা
ante	NO TRANSLATION
antecedent	পূর্বগামী
antelope	কৃষ্ণসারমৃগ
antenna	শুঙ্গ
anterior	অগ্র
anthem	স্তব
anthill	উইঢিবি
anthology	সংহিতা
anthrax	পশুরোগবিশেষ
anthropological	নৃতাত্ত্বিক
anthropologist	নৃবেজ্ঞানী
anthropology	নৃবিদ্যা
anti	বিরোধী
antiaircraft	antiaircraft
antibiotic	জীবাণু-প্রতিরোধী
antibiotics	অ্যান্টিবায়োটিক
antichrist	খ্রীষ্টশত্রু
anticipate	কহা
anticipation	অগ্রজ্ঞান
anticipatory	আগাম
antics	রঙ্গভঙ্গ
antidote	প্রতিষেধক
antifungal	antifungal
antigravity	বিরোধী মাধ্যাকর্ষণ
antimony	রসাঁজন
antipathy	বিদ্বেষ
antiquarian	প্রত্নতাত্ত্বিক
antiquated	অপ্রচলিত
antique	পুরাকালের
antiques	প্রাচীন
antiquity	অনাদিকাল
antiseptic	বীজবারক
antisocial	অসামাজিক
antithesis	বৈপরীত্য
antithetical	বিরূদ্ধ
antiviral	সংক্রামক রোগাদির বীজনাশক
antler	হরিণের সশাখ শৃঙ্গ
antsy	বিরোধ
anus	মলদ্বার
anvil	নেহাই
anxiety	উদ্বেগ
anxietyattack	NO TRANSLATION
anxious	উদ্বিগ্ন
anxiousness	anxiousness
anytime	যে কোন সময়
aorta	মহাধমনী
aortic	মহাধমনীর
apace	ক্ষিপ্র-গতিতে
apache	Apache
apartment	কামরা
apartments	অ্যাপার্টমেন্ট
apathetic	উদাসী
apathy	ঔদাসীন্য
ape	উল্লুক
aperture	রন্ধ্র
apex	চূড়া
aphid	এদের অবস'ানের পাশাপাশি
aphrodisiac	কামোদ্দীপক
apiece	জনপ্রতি
aplomb	আত্মবিশ্বাস
apocalypse	রহস্যোদ্ঘাটন
apocalyptic	রহস্যদঘাটন
apologetic	কৈফিয়তমূলক
apologist	কৈফিয়তদানকারী
apologize	ক্ষমাপ্রার্থী
apology	কৈফিয়ৎ
apostasy	ধর্মত্যাগ
apostate	ধর্মত্যাগী
apostle	দূত
apostolic	প্রচারের জন্য প্রেরিত ব্যক্তি-সম্বন্ধীয় ভাববাদিতুল্য
apostrophe	অক্ষর বাদ দেত্তয়ার চিহ্ন
apothecary	ঔষধ বিক্রেতা
appalled	হতভম্ব হয়ে
appalling	আতঙ্কজনক
apparatus	যন্ত্রপাতি
apparel	পোশাক
apparent	আপাত
apparently	স্পষ্টতই
apparition	আবির্ভাব
appeal	আবেদন
appear	প্রদর্শিত
appearance	চেহারা
appease	প্রশমিত করা
appellant	আবেদনপূর্ণ
append	যুক্ত করা
appendage	উপাঙ্গ
appendectomy	appendectomy
appendicitis	আন্ত্রিক রোগবিশেষ
appendix	উপাঙ্গ
appetite	ক্ষুধা
appetizer	এপেটাইজার
appetizing	মুখরোচক
applaud	তারিফ করা
applause	সাধুবাদ
apple	আপেল
apple juice	আপেলের রস
applejack	applejack
applesauce	আজেবাজে কথা
appliance	যন্ত্রপাতি
appliances	যন্ত্রপাতি
applicability	প্রযোজ্যতা
applicable	প্রযোজ্য
applicant	আবেদক
application	আবেদন
apply	প্রয়োগ করা
appoint	নিয়োগ
appointment	এপয়েন্টমেন্ট
appointments	কলকব্জা
apportion	অংশে অংশে ভাগ করা
apportionment	অংশন
appraisal	গুণগ্রাহিতা
appraise	মূল্যাবধারণ করা
appreciable	উপলব্ধিজনক
appreciate	তারিফ করা
appreciated	উপলব্ধ
appreciates	appreciates
appreciation	রসাস্বাদন
appreciative	রসিক
apprehend	ধরা
apprehension	চেতনা
apprehensive	সহজে বুঝিতে সক্ষম
apprentice	শিক্ষানবিশ
apprenticeship	শিক্ষানবিসি
approach	অভিগমন
approaching	সমীপবর্তী
approbate	NO TRANSLATION
approbation	সম্মতি
appropriate	যথাযথ
appropriation	গ্রাহ
approval	অনুমোদন
approve	অনুমোদন করা
approved	অনুমোদিত
approvement	approvement
approving	অনুমোদন
approximate	আনুমানিক
approximately	আন্দাজ
approximating	সদৃশ
approximation	পড়তা
appurtenances	appurtenances
apricot	খুবানি
apron	পরিচ্চদ-রক্ষক বহিরাবরণ
apt	কার্যক্ষম
aptitude	প্রবণতা
aqua	জল
aquamarine	পান্না
aquarium	অ্যাকোয়ারিয়াম
aquatic	জলজ
aqueduct	নালা
aqueous	জলীয়
arable	আবাদী
arbiter	সালিশ
arbitrary	অবাধ
arbitrate	মধ্যস্থতা করা
arbitration	সালিসি
arbitrator	সালিস
arbor	কুঁজ
arc	চাপ
arcade	তোরণ - শ্রেণী
arcane	রহস্যময়
arch	খিলান
archaeological	প্রত্নতাত্ত্বিক
archaeologist	পুরাতত্ত্বজ্ঞ
archaeology	পুরাতত্ত্ব
archaic	সেকেলে
archangel	শ্রেষ্ঠ শ্রেণীর দেবদূত
archbishop	বিশপদের অব্যবহিত ঊর্ধ্বতন যাজকবিশেষ
archdiocese	Archdiocese
archduke	কোন-কোন নৃপতির খেতার
arched	নমিত
archer	তীরন্দাজ
archery	ধনুর্বিদ্যা
archetype	আদিরূপ
archipelago	দ্বীপমালা
architect	স্থপতি
architectural	স্থাপত্য
architecture	স্থাপত্য
archive	সংরক্ষণাগার
arctic	উত্তর মেরু সঙক্রান্ত
ardent	জ্বলন্ত
ardor	ব্যগ্রতা
arduous	শ্রমসাধ্য
area	এলাকায়
arena	রঙ্গভূমি
areola	ব্রণ বা ফোড়ার চারপাশের গোলাকার লালচে জায়গা
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	আহা
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	তর্ক করা
argument	যুক্তি
argumentation	যুক্তিপ্রদর্শন
argumentative	বিতর্কমূলক
arguments	আর্গুমেন্ট
arid	শুষ্ক
arise	উঠা
aristocracy	অভিজন
aristocrat	অভিজাত
aristocratic	সম্ভ্রান্ত
arithmetic	পাটীগণিত
ark	সিন্দুক
arm	বাহু
armada	রণতরীর বহর
armament	রণসজ্জা
armaments	যুদ্ধোপকরণ
armature	বর্ম
armchair	আরামকেদারা
armed	সশস্ত্র
armor	বর্ম
armored	সাঁজোয়াযুক্ত
armory	অস্ত্রাগার
armpit	বগল
arms	অস্ত্র
army	সেনা
aroma	সুবাস
aromatherapy	অ্যারোমাথেরাপির
arousal	উত্তেজনার
arouse	জাগানো
aroused	aroused
arraignment	আরোপ
arrange	ব্যবস্থা করা
arranged	আয়োজিত
arrangement	ব্যবস্থা
array	বিন্যাস
arrears	বকেয়া
arrest	গ্রেফতার
arrhythmia	arrhythmia
arrival	আগমন
arrive	পৌঁছা
arrogance	দাম্ভিকতা
arrogant	অহংকারী
arrow	তীর
arsehole	আর্সহো
arseholes	আর্সেহোলস
arsenal	সহায়
arsenic	সেঁকোবিষ
arson	অগ্নিসংযোগ
arsonist	arsonist
art	শিল্প
arterial	ধামনিক
artery	ধমনী
artful	ছলনাময়
arthritis	বাত
arthropod	বাম বন্ধনী
artichoke	আর্টিচোক
article	প্রবন্ধ
articles	প্রবন্ধ
articulate	গ্রন্থিবদ্ধ
articulation	স্পষ্ট উচ্চারণ
artifact	হস্তনির্মিত বস্তু
artifice	কারচুপি
artificial	কৃত্রিম
artillery	আর্টিলারি
artisan	শিল্পী
