Word	gu
affluent	સમૃદ્ધ
afford	પરવડી
affordable	પોસાય
affront	અપમાન કરવું
affronted	અપમાનિત
afield	દૂર
afire	સળગતું
afloat	તરતું
afore	અગાઉથી
aforementioned	ઉપરોક્ત
aforesaid	ઉપરોક્ત
afraid	ભયભીત
afresh	નવેસરથી
african	આફ્રિકન
aft	પાછલા ભાગમાં
afterlife	મૃત્યુ પછીનું જીવન
aftermath	પ્રત્યાઘાત
afternoon	બપોરે
aftershave	આફ્ટરશેવ
aftertaste	પછીથી
afterthought	પછીથી
aga	NO TRANSLATION
agape	અગાપે
agate	એગેટ
age	ઉંમર
aged	વૃદ્ધ
agency	એજન્સી
agenda	કાર્યસૂચિ
agent	એજન્ટ
agglomeration	સમૂહ
aggravate	ગુસ્સે થવું
aggravated	બઢતી
aggravates	બગાડે છે
aggravating	બગાડવું
aggravation	ઉગ્રતા
aggregate	એકંદર
aggregation	એકંદર
aggresive	NO TRANSLATION
aggression	આક્રમકતા
aggressive	આક્રમક
aggressively	આક્રમક રીતે
aggressiveness	આક્રમકતા
aggressor	આક્રમણખોર
agh	આહ
aghast	આઘાત
aghhh	NO TRANSLATION
agile	ચપળ
agility	ઍજિલિટી
aging	જૂની પુરાણી
agitate	ઉશ્કેરવું
agitated	ઉશ્કેરાયેલી
agitation	આંદોલન
aglow	ઉમદા
agnostic	અજ્ઞેયવાદી
ago	પહેલાં
agonizing	વેદનાકારી
agony	યાતના
agoraphobia	ઍગોરાફોબિયા
agree	સંમત થાઓ
agreeable	અનુકૂળ
agreed	સંમત થયા
agreeing	સંમત થવું
agreement	કરાર
agressive	NO TRANSLATION
agricultural	કૃષિ
agriculture	કૃષિ
aground	આજુબાજુ
agua	NO TRANSLATION
ahead	આગળ
ahhh	અહહ
ahhhhhhhh	NO TRANSLATION
ahoy	અહોય
aid	મદદ
aide	સહાયક
aiding	સહાયક
aids	એડ્સ
ail	આલ
ailing	બીમાર
ailment	બીમારી
aim	હેતુ
aimless	નિશાન વિનાનું
air	હવા
airbag	એરબેગ
airborne	એરબોર્ન
aircraft	વિમાન
aircraft carrier	વિમાનવાહક
airfield	એરફિલ્ડ
airhead	એરહેડ
airlift	એરલિફ્ટ
airline	એરલાઇન
airliner	એરલાઈનર
airlock	airlock
airman	એરમેન
airplane	વિમાન
airport	એરપોર્ટ
airs	હવા
airship	એરશીપ
airspace	વાતસ્થાન
airspeed	એરસ્પીડ
airstrip	એરસ્ટ્રીપ
airtight	હવાચુસ્ત
airway	વાયુમિશ્રણ
aisle	પાંખ
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ઉર્ફ
akin	સમાન
alabaster	એલાબસ્ટર
alarm	એલાર્મ
alarm clock	અલાર્મ ઘડિયાળ
alarmed	સાવધાન
alarming	ભયજનક
alas	અફસોસ!
alb	NO TRANSLATION
albatross	અલ્બાટ્રોસ
albino	albino
album	આલ્બમ
alchemy	રસાયણ
alcohol	આલ્કોહોલ
alcoholic	મદ્યપાન કરનાર
alcoholism	મદ્યપાન
alcove	અલકોવ
alderman	એલ્ડરમેન
ale	NO TRANSLATION
alert	ચેતવણી
alertness	સતર્કતા
alerts	ચેતવણીઓ
alfalfa	રજકો
algebra	બીજગણિત
algebraic	બીજગણિત
algorithm	અલ્ગોરિધમ
alias	ઉપનામ
alibi	અલીબી
alien	પરાયું
alienate	વિમુખ થવું
alienated	વિમુખ
alienation	ઈનામ
alight	ઉતરવાનું
align	સંરેખિત કરો
aligned	સંરેખિત
alignment	ગોઠવણી
alike	એકસરખું
alimentation	NO TRANSLATION
alimony	ખોરાકી
aliquot	ભાગ્ય
alive	જીવંત
alkali	આલ્કલી
alkaloids	એલ્કલોઇડ્સ
allay	દૂર કરવું
allegation	આક્ષેપ
allege	દલીલ કરે છે
alleged	કથિત
allegiance	નિષ્ઠા
allegorical	રૂપકાત્મક
allegory	રૂપક
allegro	સંગીત તેજ કે દ્રુત ગતિથી
allergic	એલર્જિક
allergy	એલર્જી
alleviate	શમન કરવું
alleviation	નિવારણ
alley	ગલી
alleyway	ગલી
alliance	જોડાણ
allied	સાથી
alligator	મગર
allocate	ફાળવો
allocation	ફાળવણી
allot	ફાળવણી
allotment	ફાળવણી
allow	પરવાનગી આપો
allowable	માન્ય
allowance	ભથ્થું
allowed	મંજૂરી
alloy	એલોય
allsmiles	NO TRANSLATION
allure	આકર્ષવું
alluring	લલચાવતું
allusion	સંકેત
alluvial	જળશાળા
ally	સાથી
almanac	અલ્માનક
almighty	સર્વશક્તિમાન
almond	બદામ
aloft	ઉચ્ચ
aloha	અલહા
alone	એકલા
alongside	સાથે
aloof	અલોફ
aloud	મોટેથી
alpha	આલ્ફા
alphabet	મુળાક્ષરો
alphabetical	મૂળાક્ષર
alpine	આલ્પાઇન
alreadyyyyy	પહેલેથી જ
altar	વેદી
altar boy	યજ્ઞવેદી છોકરો
alter	ફેરફાર કરો
alteration	ફેરફાર
altercation	ઝગડો
altered	બદલાયેલ
alternate	વૈકલ્પિક
alternating	વૈકલ્પિક
alternative	વૈકલ્પિક
altimeter	અલ્ટીમીટર
altitude	ઊંચાઇ
alto	ઓલ્ટો
altogether	એક સાથે
aluminum	એલ્યુમિનિયમ
alumnus	ભૂતપૂર્વ વિદ્યાર્થી
alveolar	મૂર્ધન્ય
alzheimers	NO TRANSLATION
amalgam	મિશ્રણ
amalgamation	એકીકરણ
amaretto	એમેર્ટો
amass	ભેગા કરવું
amateur	કલાપ્રેમી
amaze	આશ્ચર્ય પમાડવું
amazed	આશ્ચર્યચકિત
amazedness	NO TRANSLATION
amazement	આશ્ચર્ય
amazing	અમેઝિંગ
amazingly	આશ્ચર્યજનક
ambassador	રાજદૂત
amber	એમ્બર
ambience	શાંતિ
ambient	આસપાસના
ambiguity	સંદિગ્ધતા
ambiguous	અસ્પષ્ટ
ambit	ખંડિત
ambition	મહત્વાકાંક્ષા
ambitious	મહત્વાકાંક્ષી
ambivalent	દ્વિધા
ambrosia	અમૃત
ambulance	એમ્બ્યુલન્સ
ambush	ઓચિંતા
ameliorate	સુધારવું
amen	આમેન
amenable	પ્રતિષ્ઠિત
amend	સુધારો
amendment	સુધારો
amends	સુધારો
amenity	સુખ
amethyst	એમિથિસ્ટ
amiable	પ્રતિષ્ઠિત
amicable	સુખદ
amid	વચ્ચે
amidst	વચ્ચે
amino	એમિનો
ammo	બારમાસી
ammonia	એમોનિયા
ammonium	એમોનિયમ
ammunition	દારૂગોળો
amnesia	સ્મૃતિ ભ્રંશ
amnesty	માફી
amorous	શાનદાર
amorphous	આકારહીન
amortization	ઋણમુક્તિ
amount	રકમ
amour	NO TRANSLATION
amp	એમપી
ampersand	એમ્પરસેંડ
amphetamines	એમ્ફેટેમાઈન્સ
amphibian	ઉભયજીવી
amphibious	ઉભયચર
amphitheater	એમ્ફીથિયેટર
ample	પૂરતી
amplification	એમ્પ્લીફિકેશન
amplify	વધારવું
amplitude	કંપનવિસ્તાર
amply	amply
amputate	વિચ્છેદ કરવો
amputation	અંગવિચ્છેદન
amuck	આકસ્મિક
amulet	તાવીજ
amuse	મનોરંજન કરવું
amused	આશ્ચર્યચકિત
amusement	મનોરંજન
amusing	મનોરંજક
ana	NO TRANSLATION
anaconda	એનાકોન્ડા
anaesthesia	નિશ્ચેતના
anaesthetic	એનેસ્થેટિક
anagram	એનાગ્રામ
anal	ગુદા
analgesic	એનાલોગિસિક
analogous	સમાન
analogue	એનાલોગ
analogy	સાદ્રશ્ય
analysis	વિશ્લેષણ
analyst	વિશ્લેષક
analytic	વિશ્લેષણાત્મક
analytical	વિશ્લેષણાત્મક
analyze	વિશ્લેષણ
analyzer	વિશ્લેષક
anaphylactic	એનાફાયલેટિક
anarchism	અરાજ્યવાદ
anarchist	અરાજકતાવાદી
anarchy	અરાજકતા
anastomosis	એનોટોમોસિસ
anathema	અશક્તતા
anatomic	શરીર રચના
anatomy	શરીરરચના
ancestor	પૂર્વજ
ancestral	પૂર્વજો
ancestry	કુળ
anchor	એન્કર
anchorage	લંગર
ancient	પ્રાચીન
ancillary	આનુષંગિક
androgen	એન્ડ્રોજન
android	Android
anecdote	ટુચકો
anemia	એનિમિયા
anemic	હાંસડી
anemone	એનોમન
anesthesia	નિશ્ચેતના
anesthesiologist	એનેસ્થીસીયોલોજિસ્ટ
anesthetic	એનેસ્થેટિક
aneurysm	એન્યુરિઝમ
anew	નવેસરથી
angel	દેવદૂત
angelic	દેવદૂત
anger	ગુસ્સો
angered	ભરાયા
angermanagement	NO TRANSLATION
angina	કંઠમાળ
angiogram	એન્જીયોગ્રામ
angiography	એન્જીયોગ્રાફી
angle	કોણ
angling	માછલાં પકડવાની ક્રિયા
angora	એંગૉરા
angriest	બળવાન
angry	ગુસ્સો
angrytweet	NO TRANSLATION
angst	ગુસ્સો
anguish	કઢાપો
anguished	ત્રાસદાયક
angular	કોણીય
anhydrous	નિર્જળ
animal	પ્રાણી
animate	સજીવ
animated	એનિમેટેડ
animation	એનિમેશન
animosity	દુશ્મનાવટ
animus	ત્રાસ
ankle	પગની ઘૂંટી
anklet	ઉંદર
annals	વૃત્તાંત
annex	જોડાણ
annexation	જોડાણ
annexe	NO TRANSLATION
annihilate	નાબૂદ કરો
annihilated	નાબૂદ
annihilation	વિનાશ
anniversary	વર્ષગાંઠ
annotate	ટિપ્પણી કરો
annotation	ઍનોટેશન
announce	જાહેરાત
announcement	જાહેરાત
announcer	ઉદ્ઘોષક
annoy	હેરાન
annoyance	ચીડ
annoyed	નારાજ
annoyin	NO TRANSLATION
annoying	નકામી
annoys	નકામી
annual	વાર્ષિક
annuity	વાર્ષિકી
annul	રદ કરવું
annular	વંશપરંપરાગત
annulment	રદ
annulus	વ્રણ
anointed	અભિષિક્ત
anointing	અભિષેક
anomalous	અનિયમિત
anomaly	અસંગતતા
anon	અનન
anonymity	અનામી
anonymous	અનામી
anorexic	એનોરેક્સિક
answer	જવાબ આપો
answerable	જવાબદાર
answering	જવાબ આપો
ant	કીડી
antagonism	વિરોધાભાસ
antagonist	પ્રતિસ્પર્ધી
antagonistic	પ્રતિસ્પર્ધી
antagonize	વિરોધાભાસ
ante	NO TRANSLATION
antecedent	પૂર્વવર્તી
antelope	કાળિયાર
antenna	એન્ટેના
anterior	અગ્રવર્તી
anthem	ગીત
anthill	એન્થિલ
anthology	કાવ્યસંગ્રહ
anthrax	એન્થ્રેક્સ
anthropological	માનવશાસ્ત્ર
anthropologist	માનવશાસ્ત્રી
anthropology	માનવશાસ્ત્ર
anti	વિરોધી
antiaircraft	એન્ટિયાક્રાફ્ટ
antibiotic	એન્ટીબાયોટીક
antibiotics	એન્ટીબાયોટીક્સ
antichrist	એન્ટિક્રાઇસ્ટ
anticipate	અપેક્ષિત
anticipation	અપેક્ષા
anticipatory	આગોતરી
antics	antics
antidote	મારણ
antifungal	એન્ટીફંગલ
antigravity	એન્ટિગ્રેવિટી
antimony	એન્ટિમોની
antipathy	વેદના
antiquarian	પુરાતત્વવાદી
antiquated	જુનવાણી
antique	એન્ટીક
antiques	પ્રાચીન વસ્તુઓ
antiquity	પ્રાચીનકાળમાં
antiseptic	એન્ટિસેપ્ટિક
antisocial	અસામાજિક
antithesis	વિરોધાભાસ
antithetical	વિરોધી
antiviral	એન્ટિવાયરલ
antler	એન્ટરલર
antsy	antsy
anus	ગુદા
anvil	એરણ
anxiety	ચિંતા
anxietyattack	NO TRANSLATION
anxious	બેચેન
anxiousness	ચિંતા
anytime	કોઈપણ સમયે
aorta	એરોર્ટા
aortic	મહાકાવ્ય
apace	ઝડપી
apache	અપાચે
apartment	એપાર્ટમેન્ટ
apartments	એપાર્ટમેન્ટ્સ
apathetic	ઉદાસીન
apathy	ઉદાસીનતા
ape	ચાળા પાડવા
aperture	બાકોરું
apex	સર્વોચ્ચ
aphid	અફિડ
aphrodisiac	સંભોગને જાગ્રત કરતું
apiece	દરેકને
aplomb	આત્મવિશ્વાસ
apocalypse	એપોકેલિપ્સ
apocalyptic	સાક્ષાત્કાર
apologetic	દિલગીર
apologist	અપોલોજિસ્ટ
apologize	માફી માગવી
apology	માફી
apostasy	સ્વધર્મ ત્યાગ
apostate	ધર્મભ્રષ્ટ
apostle	પ્રેરિત
apostolic	ધર્મપ્
apostrophe	એપોસ્ટ્રોફી
apothecary	રસાયણશાસ્ત્રી
appalled	આઘાતજનક
appalling	આઘાતજનક
apparatus	ઉપકરણ
apparel	વસ્ત્રો
apparent	સ્પષ્ટ
apparently	દેખીતી રીતે
apparition	ભૂત
appeal	અપીલ
appear	દેખાશે
appearance	દેખાવ
appease	ખુશ થવું
appellant	અપીલ
append	જોડો
appendage	સંલગ્નતા
appendectomy	એપેન્ડક્ટોમી
appendicitis	એપેન્ડિસાઈટિસ
appendix	પરિશિષ્ટ
appetite	ભૂખ
appetizer	ઍજેટિઝર
appetizing	મોહક
applaud	વખાણ કરો
applause	અભિવાદન
apple	સફરજન
apple juice	સફરજનના રસ
applejack	સફરજન
applesauce	સફરસોસ
appliance	સાધન
appliances	ઉપકરણો
applicability	પ્રયોજ્યતા
applicable	લાગુ
applicant	અરજદાર
application	એપ્લિકેશન
apply	અરજી કરો
appoint	નિમણુંક
appointment	નિમણૂક
appointments	નિમણૂંકો
apportion	વહેંચણી
apportionment	વહેંચણી
appraisal	મૂલ્યાંકન
appraise	મૂલ્યાંકન
appreciable	પ્રશંસાપાત્ર
appreciate	કદર
appreciated	પ્રશંસા
appreciates	પ્રશંસા
appreciation	પ્રશંસા
appreciative	કદરદાન
apprehend	પકડવું
apprehension	ધરપકડ
apprehensive	ભયભીત
apprentice	એપ્રેન્ટિસ
apprenticeship	ઉમેદવારી
approach	અભિગમ
approaching	આસન્ન
approbate	NO TRANSLATION
approbation	મંજૂરી
appropriate	યોગ્ય
appropriation	વિનિયોગ
approval	મંજૂરી
approve	મંજૂર
approved	મંજૂર
approvement	મંજૂરી
approving	મંજૂરી
approximate	આશરે
approximately	લગભગ
approximating	અંદાજીત
approximation	અંદાજ
appurtenances	ઉપચાર
apricot	જરદાળુ
apron	આવરણ
apt	તત્પર
aptitude	યોગ્યતા
aqua	એક્વા
aquamarine	વાદળી લીલું રત્ન
aquarium	માછલીઘર
aquatic	જળચર
aqueduct	જળચર
aqueous	જલીય
arable	ખેતીલાયક
arbiter	મધ્યસ્થી
arbitrary	મનસ્વી
arbitrate	મધ્યસ્થી
arbitration	આર્બિટ્રેશન
arbitrator	લવાદ
arbor	કૂદકો
arc	ચાપ
arcade	આર્કેડ
arcane	રહસ્યમય
arch	કમાન
archaeological	પુરાતત્વીય
archaeologist	પુરાતત્વવેત્તા
archaeology	પુરાતત્વ
archaic	પ્રાચીન
archangel	મુખ્ય ફિરસ્તો
archbishop	આર્કબિશપ
archdiocese	આર્કિડોસીઝ
archduke	આર્કડ્યુક
arched	કમાનવાળા
archer	તીરંદાજ
archery	તીરંદાજી
archetype	મૂળ રૂપ
archipelago	દ્વીપસમૂહ
architect	આર્કિટેક્ટ
architectural	આર્કિટેક્ચરલ
architecture	સ્થાપત્ય
archive	પેટી
arctic	આર્ક્ટિક
ardent	પ્રખર
ardor	ઉત્સાહ
arduous	કઠણ
area	વિસ્તાર
arena	એરેના
areola	આયોલા
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	અર્ઘ
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	દલીલ કરો
argument	દલીલ
argumentation	દલીલ
argumentative	દલીલયુક્ત
arguments	દલીલો
arid	શુષ્ક
arise	ઊગવું
aristocracy	ઉમરાવો
aristocrat	કુલીન
aristocratic	કુલીન
arithmetic	અંકગણિત
ark	આર્ક
arm	હાથ
armada	આરમાર
armament	શસ્ત્રાગાર
armaments	હથિયારો
armature	બખ્તર
armchair	આર્મચેર
armed	સશસ્ત્ર
armor	બખ્તર
armored	સશસ્ત્ર
armory	શસ્ત્રાગાર
armpit	બગલ
arms	શસ્ત્ર
army	સૈન્ય
aroma	સુવાસ
aromatherapy	એરોમાથેરાપી
arousal	ઉત્તેજના
arouse	જગાડવું
aroused	ઉત્તેજિત
arraignment	દોષારોપણ
arrange	વ્યવસ્થા કરો
arranged	ગોઠવાયેલા
arrangement	વ્યવસ્થા
array	એરે
arrears	બાકી
arrest	ધરપકડ
arrhythmia	એરિથમિયા
arrival	આગમન
arrive	આવવું
arrogance	ઘમંડ
arrogant	ઘમંડી
arrow	તીર
arsehole	આર્સશેલ
arseholes	આર્કેહોલ્સ
arsenal	શસ્ત્રાગાર
arsenic	આર્સેનિક
arson	ગુનાહિત આગ
arsonist	ઉત્સાહવાદી
art	કલા
arterial	ધમની
artery	ધમની
artful	કુશળ
arthritis	સંધિવા
arthropod	આર્થ્રોપોડ
artichoke	કાંટાળી ખાદ્ય વનસ્પતિ
article	લેખ
articles	લેખો
articulate	સ્પષ્ટ
articulation	સંધાન
artifact	આર્ટિફેક્ટ
artifice	આર્ટિફિસ
artificial	કૃત્રિમ
artillery	આર્ટિલરી
artisan	કારીગર
artist	કલાકાર
artiste	NO TRANSLATION
artistic	કલાત્મક
artistry	કલાકારી
artists	કલાકારો
artwork	આર્ટવર્ક
arty	આર્ટી
asap	asap
asbestos	એસ્બેસ્ટોસ
ascend	ચડવું
ascendancy	વર્ચસ્વ
ascendant	પ્રબળ
ascending	ચડતા
ascension	ઉન્નતિ
ascent	ચડતો
ascertain	સહમતી
ascertained	નિર્ધારિત
ascetic	સન્યાસી
ash	રાખ
ashamed	શરમજનક
ashes	રાખ
ashtray	એશવા
asinine	સીસિન
ask	પુછવું
asleeep	NO TRANSLATION
asleep	નિદ્રાધીન
asp	એએસપી
asparagus	શતાવરીનો છોડ
aspartame	aspartame
aspect	પાસા
aspects	પાસાઓ
aspen	એસ્પેન
asphalt	ડામર
asphyxia	અસ્થિરતા
asphyxiation	અસ્થિરતા
aspiration	મહાપ્રાણ
aspire	ઊંચે ચડવું
aspirin	એસ્પિરિન
aspiring	મહત્વાકાંક્ષી
ass	ગર્દભ
assail	હુમલો કરવો
assailant	હુમલો કરનાર
assassin	હત્યારો
assassinate	હત્યા
assassination	હત્યા
assault	હુમલો
assay	પરોણી
assemblage	સંમેલન
assemble	ભેગા
assembled	એસેમ્બલ
assembly	વિધાનસભા
assemblyman	વિધાનસભા
assent	મંજૂરી
assert	ભારપૂર્વક જણાવે છે
asserting	ભારપૂર્વક જણાવ્યું
assertion	દાવા
assertive	અડગ
assess	મૂલ્યાંકન
assessment	મૂલ્યાંકન
assessor	એસેસર
asset	સંપત્તિ
assets	અસ્કયામતો
asshole	ગધેડો
assign	સોંપો
assignee	સોંપણી
assignment	સોંપણી
assimilate	આત્મસાત કરવું
