Word	hr
adobe	čerpić
adolescence	mladost
adolescent	adolescent
adopt	posvojiti
adoption	posvajanje
adoptive	sposoban za primanje
adorable	divan
adoration	obožavanje
adore	obožavati
adoring	divna
adorn	krasiti
adornment	ukras
adrenalin	adrenalin
adrenaline	adrenalin
adrift	prepušteno slučaju
adult	odrasla osoba
adulterated	postarale
adulterer	preljubnik
adultery	preljuba
adulthood	odraslost
advance	napredovati
advanced	Napredna
advancement	napredak
advancing	unapređenja
advantage	prednost
advantageous	povoljan
advent	dolazak
adventure	avantura
adventurer	pustolov
adventures	avanture
adventurous	pustolovan
adversary	protivnik
adverse	štetan
adversity	nedaće
advertise	oglašavati
advertisement	oglas
advertising	oglašavanje
adverts	oglasi
advice	savjet
advisable	preporučljiv
advise	savjetovati
advised	savjetovan
advisement	savjetovanje
adviser	savjetnik
advisor	savjetnik
advisory	savjetodavni
advocacy	advokatura
advocate	pristalica
aegis	okrilje
aeration	aeracija
aerial	antena
aerobics	aerobik
aerodrome	aerodrom
aerodynamic	aerodinamičan
aerodynamics	aerodinamika
aeronautics	aeronautika
aeroplane	zrakoplov
aerospace	zračno-kosmički prostor
aesthetic	estetski
aesthetics	estetika
aetiology	etiologija
afar	izdaleka
affable	ljubazan
affair	afera
affect	utjecati
affecting	utječu
affection	ljubav
affectionate	nježan
affections	sklonosti
affiche	NO TRANSLATION
affidavit	pismena izjava
affiliated	povezane
affiliation	pripadanje
affinity	sklonost
affirm	potvrditi
affirmation	potvrđivanje
affirmative	potvrdan
affirmatively	potvrdno
affix	pričvrstiti
afflict	nanijeti bol
afflicted	potlačeni
affliction	nesreća
affluence	obilje
affluent	pritoka
afford	priuštiti
affordable	dostupan
affront	uvreda
affronted	uvrijeđeno
afield	napolju
afire	vatra
afloat	na vodi
afore	prije
aforementioned	ranije spomenuti
aforesaid	spomenuta
afraid	uplašen
afresh	iznova
african	afrički
aft	na krmi
afterlife	zagrobni život
aftermath	posljedica
afternoon	poslijepodne
aftershave	losion poslije brijanja
aftertaste	zaostali ukus u ustima
afterthought	naknadna misao
aga	NO TRANSLATION
agape	zinvši
agate	ahat
age	dob
aged	star
agency	agencija
agenda	dnevni red
agent	agent
agglomeration	aglomeracija
aggravate	pogoršati
aggravated	pogoršati
aggravates	otežava
aggravating	otežavajući
aggravation	otežavanje
aggregate	skupina
aggregation	sakupljanje
aggresive	NO TRANSLATION
aggression	agresija
aggressive	agresivan
aggressively	agresivno
aggressiveness	agresivnost
aggressor	agresor
agh	Agh
aghast	prestravljen
aghhh	NO TRANSLATION
agile	okretan
agility	agilnost
aging	starenje
agitate	agitirati
agitated	uzrujan
agitation	agitacija
aglow	u plamenu
agnostic	agnostik
ago	prije
agonizing	očajnički
agony	agonija
agoraphobia	strah od otvorenog prostora
agree	složiti
agreeable	prijatan
agreed	dogovoren
agreeing	slažući
agreement	sporazum
agressive	NO TRANSLATION
agricultural	poljoprivredni
agriculture	poljoprivreda
aground	nasukano
agua	NO TRANSLATION
ahead	naprijed
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	Ahoy
aid	pomoć
aide	pomoćnik
aiding	pomaganje
aids	sida
ail	boliti
ailing	bolan
ailment	oboljenje
aim	cilj
aimless	besciljan
air	zrak
airbag	zračni jastuk
airborne	u zraku
aircraft	zrakoplov
aircraft carrier	nosač zrakoplova
airfield	aerodrom
airhead	airhead
airlift	zračni most
airline	aviokompanija
airliner	putnički avion
airlock	plinski rezervoar
airman	avijatičar
airplane	zrakoplov
airport	zračna luka
airs	Zrak
airship	cepelin
airspace	zračni prostor
airspeed	brzina zraka
airstrip	pista za poletanje i sletanje
airtight	hermetičan
airway	ventilacija
aisle	prolaz
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	sličan
alabaster	alabaster
alarm	alarm
alarm clock	budilica
alarmed	uznemirio
alarming	alarmantan
alas	avaj jao meni
alb	NO TRANSLATION
albatross	albatros
albino	albino
album	album
alchemy	alkemija
alcohol	alkohol
alcoholic	alkoholičar
alcoholism	alkoholizam
alcove	sjenica
alderman	vijećnik
ale	NO TRANSLATION
alert	uzbuna
alertness	opreznost
alerts	upozorenja
alfalfa	lucerka
algebra	algebra
algebraic	algebarski
algorithm	algoritam
alias	pseudonim
alibi	alibi
alien	stranac
alienate	otuđiti
alienated	otuđen
alienation	otuđenje
alight	zapaljen
align	uskladiti
aligned	poravnat
alignment	poravnanje
alike	slično
alimentation	NO TRANSLATION
alimony	alimentacija
aliquot	alikvot
alive	živ
alkali	lužina
alkaloids	alkaloidi
allay	ublažiti
allegation	navod
allege	izjavljivati
alleged	navodni
allegiance	vjernost
allegorical	alegorijski
allegory	alegorija
allegro	allegro
allergic	alergičan
allergy	alergija
alleviate	ublažiti
alleviation	ublaženje
alley	drvored
alleyway	prilaz kući
alliance	savez
allied	saveznički
alligator	aligator
allocate	dodijeliti
allocation	namjena
allot	dodijeliti
allotment	dodjela
allow	dopustiti
allowable	dopustiv
allowance	džeparac
allowed	dopušteno
alloy	legura
allsmiles	NO TRANSLATION
allure	vabiti
alluring	primamljiv
allusion	aluzija
alluvial	aluvialni
ally	saveznik
almanac	almanah
almighty	svemoguć
almond	badem
aloft	gore
aloha	Aloha
alone	sam
alongside	pored
aloof	podalje
aloud	naglas
alpha	alfa
alphabet	abeceda
alphabetical	alfabetski
alpine	alpski
alreadyyyyy	NO TRANSLATION
altar	oltar
altar boy	oltarni dječak
alter	mijenjati
alteration	promjena
altercation	svađa
altered	promijenjen
alternate	naizmjenično
alternating	naizmjeničan
alternative	alternativa
altimeter	altimetar
altitude	visina
alto	alt
altogether	potpuno
aluminum	aluminijum
alumnus	svršeni učenik visoke škole
alveolar	alveolarni
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	amalgamacija
amaretto	Amaretto
amass	skupiti
amateur	amater
amaze	zadiviti
amazed	zadivljen
amazedness	amazedness
amazement	zadivljenost
amazing	nevjerojatan
amazingly	začuđeno
ambassador	ambasador
amber	jantar
ambience	sredina
ambient	ambijentalni
ambiguity	dvosmislenost
ambiguous	dvosmislen
ambit	granica
ambition	ambicija
ambitious	ambiciozan
ambivalent	ambivalentan
ambrosia	ambrozija
ambulance	hitna pomoć
ambush	zasjeda
ameliorate	poboljšati
amen	Amen
amenable	odgovoran
amend	ispraviti
amendment	amandman
amends	odšteta
amenity	ugodnost
amethyst	ametist
amiable	ljubazan
amicable	prijateljski
amid	usred
amidst	usred
amino	amino
ammo	municija
ammonia	amonijak
ammonium	amonijum
ammunition	municija
amnesia	amnezija
amnesty	amnestija
amorous	ljubavni
amorphous	amorfan
amortization	amortizacija
amount	iznos
amour	NO TRANSLATION
amp	pojačalo
ampersand	znak za struju
amphetamines	amfetamini
amphibian	amfibijski
amphibious	amfibijski
amphitheater	amfiteatar
ample	opsežan
amplification	pojačanje
amplify	pojačati
amplitude	amplituda
amply	opširno
amputate	amputirati
amputation	amputacija
amuck	bijesan
amulet	amulet
amuse	zabavljati
amused	zabavljen
amusement	zabava
amusing	zabavan
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	anestezija
anaesthetic	anestetički
anagram	anagram
anal	analan
analgesic	analgetik
analogous	analogan
analogue	analoga
analogy	analogija
analysis	analiza
analyst	analitičar
analytic	analitički
analytical	analitički
analyze	analizirati
analyzer	analizator
anaphylactic	anafilaktički
anarchism	anarhizam
anarchist	anarhist
anarchy	anarhija
anastomosis	anastomoza
anathema	anatema
anatomic	anatomski
anatomy	anatomija
ancestor	predak
ancestral	nasljeđen
ancestry	podrijetlo
anchor	sidro
anchorage	sidrište
ancient	antički
ancillary	pomoćni
androgen	androgen
android	android
anecdote	anegdota
anemia	anemija
anemic	anemičan
anemone	anemona
anesthesia	anestezija
anesthesiologist	anesteziolog
anesthetic	anestetički
aneurysm	aneurizme
anew	iznova
angel	anđeo
angelic	anđeoski
anger	bijes
angered	razljutila
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografija
angle	kut
angling	ribolov
angora	angorski
angriest	najljući
angry	ljut
angrytweet	NO TRANSLATION
angst	tjeskobe
anguish	bol
anguished	namučen
angular	kutni
anhydrous	bezvodan
animal	životinja
animate	animirati
animated	animirani
animation	animacija
animosity	neprijateljstvo
animus	zlonamjernost
ankle	gležanj
anklet	kratka čarapa
annals	ljetopisi
annex	dodatak
annexation	pripajanje
annexe	NO TRANSLATION
annihilate	uništiti
annihilated	uništen
annihilation	uništenje
anniversary	godišnjica
annotate	komentirati
annotation	pribilješka
announce	najaviti
announcement	Obavijest
announcer	spiker
annoy	smetati
annoyance	dosađivanje
annoyed	ojađen
annoyin	NO TRANSLATION
annoying	dosadan
annoys	iritira
annual	godišnji
annuity	anuitet
annul	poništiti
annular	prstenast
annulment	poništenje
annulus	prstenom
anointed	pomazani
anointing	pomazanje
anomalous	anomalan
anomaly	anomalija
anon	odmah
anonymity	anonimnost
anonymous	anoniman
anorexic	anoreksične
answer	odgovor
answerable	odgovoran
answering	odgovaranje
ant	mrav
antagonism	antagonizam
antagonist	antagonista
antagonistic	protivnički
antagonize	protiviti se
ante	NO TRANSLATION
antecedent	prethodnik
antelope	antilopa
antenna	antena
anterior	prednji
anthem	himna
anthill	mravinjak
anthology	antologija
anthrax	antraks
anthropological	antropološki
anthropologist	antropolog
anthropology	antropologija
anti	anti
antiaircraft	protuavionski
antibiotic	antibiotik
antibiotics	antibiotici
antichrist	Antihrist
anticipate	predvidjeti
anticipation	predviđanje
anticipatory	preuranjen
antics	budalaštine
antidote	protuotrov
antifungal	antifungalna
antigravity	Anti gravitacija
antimony	antimon
antipathy	antipatija
antiquarian	antikvar
antiquated	zastario
antique	antički
antiques	antikviteti
antiquity	antika
antiseptic	antiseptički
antisocial	nedruštven
antithesis	antiteza
antithetical	antitetičan
antiviral	antivirusni
antler	rog
antsy	antsy
anus	čmar
anvil	nakovanj
anxiety	anksioznost
anxietyattack	NO TRANSLATION
anxious	zabrinut
anxiousness	anksioznost
anytime	bilo kada
aorta	aorta
aortic	aortni
apace	brzo
apache	apaš
apartment	apartman
apartments	apartmani
apathetic	apatičan
apathy	apatija
ape	oponašati
aperture	otvor
apex	vrh
aphid	uš
aphrodisiac	afrodizijak
apiece	komad
aplomb	samopouzdanje
apocalypse	Apokalipsa
apocalyptic	apokaliptičan
apologetic	apologetski
apologist	apologeta
apologize	ispričavati
apology	izvinjenje
apostasy	otpadništvo
apostate	otpadnik
apostle	apostol
apostolic	apostolski
apostrophe	apostrof
apothecary	ljekarne
appalled	zaprepašten
appalling	užasan
apparatus	aparat
apparel	odjeća
apparent	vidljiv
apparently	očigledno
apparition	prikaza
appeal	apel
appear	pojaviti
appearance	izgled
appease	smiriti
appellant	apelant
append	dodati
appendage	privjesak
appendectomy	apendektomija
appendicitis	upala slijepog crijeva
appendix	dodatak
appetite	apetit
appetizer	predjelo
appetizing	ukusan
applaud	pljeskati
applause	pljesak
apple	jabuka
apple juice	sok od jabuke
applejack	jabukovača
applesauce	umak od jabuka
appliance	uređaj
appliances	uređaji
applicability	primjenjivost
applicable	primjenjivo
applicant	podnositelj zahtjeva
application	primjena
apply	primijeniti
appoint	imenovati
appointment	ugovoreni sastanak
appointments	imenovanja
apportion	odmjeriti
apportionment	raspodjela
appraisal	procjena
appraise	ocijeniti
appreciable	primjetan
appreciate	cijeniti
appreciated	poštovati
appreciates	cijeni
appreciation	zahvalnost
appreciative	zahvalan
apprehend	shvatiti
apprehension	bojazan
apprehensive	prestrašen
apprentice	učenik
apprenticeship	naukovanje
approach	pristup
approaching	približavanje
approbate	NO TRANSLATION
approbation	aprobacija
appropriate	prikladan
appropriation	prisvojenje
approval	odobrenje
approve	odobriti
approved	odobren
approvement	approvement
approving	odobravajući
approximate	približan
approximately	približno
approximating	koji približno
approximation	aproksimacija
appurtenances	pripadnost
apricot	marelica
apron	pregača
apt	pogodan
aptitude	sposobnost
aqua	aqua
aquamarine	akvamarin
aquarium	akvarijum
aquatic	vodeni
aqueduct	akvadukt
aqueous	vodeni
arable	obradiv
arbiter	arbitar
arbitrary	proizvoljan
arbitrate	suditi
arbitration	arbitraža
arbitrator	arbitar
arbor	sjenica
arc	luk
arcade	arkada
arcane	tajanstven
arch	luk
archaeological	arheološki
archaeologist	arheolog
archaeology	arheologija
archaic	arhaičan
archangel	arhanđeo
archbishop	arhiepiskop
archdiocese	nadbiskupija
archduke	nadvojvoda
arched	izbočen
archer	strijelac
archery	strijeljaštvo
archetype	arhetip
archipelago	arhipelag
architect	arhitekt
architectural	arhitektonski
architecture	arhitektura
archive	arhiva
arctic	Arktik
ardent	žarki
ardor	žar
arduous	naporan
area	područje
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	raspravljati
argument	argument
argumentation	argumentacija
argumentative	polemičan
arguments	argumenti
arid	suh
arise	ustati
aristocracy	plemstvo
aristocrat	aristokrata
aristocratic	aristokratski
arithmetic	aritmetika
ark	kovčeg
arm	ruka
armada	armada
armament	naoružanje
armaments	naoružanje
armature	armatura
armchair	fotelja
armed	naoružan
armor	oklop
armored	oklopni
armory	skladište oružja
armpit	pazuho
arms	oružje
army	vojska
aroma	aroma
aromatherapy	aromaterapija
arousal	uzbuđenje
arouse	pobuditi
aroused	uzbudi
arraignment	optužba
arrange	urediti
arranged	raspoređeni
arrangement	uređenje
array	red
arrears	dugovi
arrest	uhapsiti
arrhythmia	aritmija
arrival	dolazak
arrive	stići
arrogance	arogancija
arrogant	arogantan
arrow	strijela
arsehole	šupkom
arseholes	šupci
arsenal	arsenal
arsenic	arsen
arson	palež
arsonist	palikuća
art	umjetnost
arterial	arterijski
artery	arterija
artful	prepreden
arthritis	artritis
arthropod	Arthropod
artichoke	artičoka
article	članak
articles	članci
articulate	artikulirati
articulation	artikulacija
artifact	predmet za upotrebu
artifice	umjetnost
artificial	Umjetna
artillery	topništvo
artisan	obrtnik
artist	umjetnik
artiste	NO TRANSLATION
artistic	umjetnički
artistry	umješnost
artists	izvođači
artwork	ilustracije
arty	arty
asap	što prije
asbestos	azbest
ascend	penjati se
ascendancy	nadmoć
ascendant	prevlast
ascending	uzlazni
ascension	Uznesenja
ascent	uspon
ascertain	utvrditi
ascertained	utvrditi
ascetic	asketski
ash	pepeo
ashamed	posramljen
ashes	pepeo
ashtray	pepeljara
asinine	glup
ask	pitati
asleeep	NO TRANSLATION
asleep	zaspao
asp	trepetljika
asparagus	šparoga
aspartame	aspartam
aspect	aspekt
aspects	aspekti
aspen	jasika
asphalt	asfalt
asphyxia	zagušenje
asphyxiation	zagušenje
aspiration	aspiracija
aspire	težiti
aspirin	aspirin
aspiring	slavoljubiv
ass	dupe
assail	salijetati
assailant	napadač
assassin	ubica
assassinate	ubiti
assassination	atentat
assault	napad
assay	test
assemblage	montaža
assemble	sastaviti
assembled	sklopljen
assembly	skupština
assemblyman	član skupštine
assent	pristanak
assert	tvrditi
asserting	Izjašnjavanje
assertion	tvrdnja
assertive	deklarativan
assess	procijeniti
assessment	procjena
assessor	procjenitelj
asset	imovina
assets	imovina
asshole	šupak
assign	dodijeliti
assignee	opunomoćenik
assignment	zadatak
assimilate	izjednačiti
assimilation	asimilacija
assist	pomoći
assistance	pomoć
assistant	asistent
associate	suradnik
association	asocijacija
assorted	sortiran
assortment	asortiman
assuage	ublažiti
assume	pretpostaviti
assumed	pretpostavljen
assuming	uz pretpostavku
assumption	pretpostavka
assurance	uvjerenje
assure	osigurati
assured	osiguran
assuredly	uvjerljivo
asterisk	zvjezdica
asteroid	asteroid
asteroids	asteroidi
asthma	astma
asthmatic	astmatičar
astigmatism	astigmatizam
astonish	začuditi
astonished	začuđen
astonishing	začuđujući
astonishingly	NO TRANSLATION
astonishment	zaprepašćenje
astound	zapanjiti
astral	astralni
astray	pogrešnim putem
astringent	sredstvo za zatvaranje
astrologer	astrolog
astrology	astrologija
astronaut	astronaut
astronomer	astronom
astronomical	astronomski
astronomy	astronomija
astute	lukav
asunder	nadvoje
asylum	azil
asymmetric	asimetričan
asymmetry	asimetrija
asymptotic	asimptotičan
atelier	atelje
atheism	ateizam
atheist	ateist
atheistic	ateistički
atherosclerosis	ateroskleroza
athlete	atletičar
athletic	atletski
athleticism	athleticism
athletics	atletika
atlas	atlas
atmosphere	atmosfera
atmospheric	atmosferski
atoll	atol
atom	atom
atomic	atomski
atone	iskupiti
atonement	ispaštanje
atpeace	u miru
atrium	atrij
atrocious	zločest
atrocity	grozota
atrophy	atrofija
attach	pričvrstiti
attached	privržen
attachment	vezanost
attack	napad
attacker	napadač
attacking	napadaju
attain	dostići
attainable	ostvarljiv
attainment	postignuće
attempt	pokušaj
attempted	pokušaj
attend	prisustvovati
attendance	pohađanje
attendant	čuvar
attention	pažnja
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	pažljiv
attenuate	razrijediti
attenuated	atenuirani
attenuation	slabljenje
attest	posvjedočiti
attestation	ovjeravanje
attic	potkrovlje
attire	ruho
attitude	stav
attorney	pravnik
attract	privući
attraction	privlačnost
attractive	atraktivan
attractiveness	atraktivnost
attributable	pripisivati
attribute	atribut
attribution	pripisivanje
attrition	trenje
auburn	crvenkastosmeđ
auction	aukcija
auctioneer	voditelj aukcije
audacious	smion
audacity	smjelost
audible	čujan
audience	publika
audio	zvučni
audit	revizija
audition	audicija
auditions	audicija
auditor	revizor
auditorium	gledalište
auditory	gledaoci
aught	išta
augment	povećati
augmentation	povećanje
august	kolovoz
aunt	tetka
auntie	tetkica
aura	aura
aurora	zora
auspices	pokroviteljstvom
auspicious	povoljan
austere	strog
austerity	strogost
authentic	autentičan
authenticate	potvrditi
authentication	ovjera
authenticity	autentičnost
author	Autor
authoritative	autoritativan
authority	vlast
authorization	autorizacija
authorize	odobriti
authorized	odobren
authorship	autorstvo
autism	autizam
autistic	autističan
auto	auto
autobiographical	autobiografski
autobiography	autobiografija
autocorrect	SamoIspravak
autocratic	autokratski
autograph	autogram
autographed	autographed
automated	automatizirana
automatic	automatski
automobile	automobil
automotive	automobilski
autonomy	autonomija
autopilot	automatski pilot
autopsy	obdukcija
autumn	jesen
auxiliary	pomoćni
avail	dobitak
availability	dostupnost
available	dostupno
avalanche	lavina
avarice	škrtost
avatar	avatar
avenge	osvetiti
avenger	osvetnik
avenging	osvetnički
avenue	avenija
aver	NO TRANSLATION
average	prosječan
aversation	aversation
averse	averzija
averseness	averseness
aversion	averzija
avert	spriječiti
aviary	kavez za ptice
aviation	zrakoplovstvo
aviator	pilot
avid	lakom
avocado	avokado
avoid	Izbjegavajte
avoidance	izbjegavanje
avoiding	izbjegavanje
await	čekati
awake	osvijestiti
awaken	probuditi
awakening	buđenje
award	dodijeliti
awards	nagrade
aware	svjestan
awareness	svijest
awe	NO TRANSLATION
awed	zadivljen
awesome	super
awesomeness	fantastičnog sadržaja
awestruck	pun straha
awful	grozan
awkward	nespretan
awkwardness	nezgrapnost
awning	nadstrešnica
awry	naopako
axe	sjekira
axial	osovinski
axiom	aksiom
axiomatic	aksiomatski
axis	os
axle	osovina
ay	potvrdni odgovor
aye	aye
azimuth	azimut
azure	plavetnilo
babble	tepati
babbling	žamor
babe	dijete
baboon	babun
baby	dijete
babysit	čuvati
babysitter	dadilja
baccalaureate	bakalaureat
baccarat	bakara
bachelor	neženja
bachelorette	udavača
back	leđa
backboard	ploča koša
backbone	oslonac
backdoor	stražnja vrata
backdrop	pozadina
backer	sponsor
backfire	povratno paljenje
backgammon	trik-trak
background	pozadina
backhand	bekhend
backhoe	bager
backoff	odstupi
backpack	ruksak
backpacker	Backpacker
backroom	backroom
backseat	straznje sjedalo
backside	zadnjica
backtrack	vraćanje
backup	rezerva
backward	unazad
backwardness	zaostalost
backwards	unazad
backwater	zaostalost
backwoods	šumski predio
backyard	dvorište iza kuće
bacon	slanina
bacteria	bakterija
bacterial	bakterijski
bacterium	bakterija
bad	loše
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	Bedž
badger	jazavac
badhabit	NO TRANSLATION
badly	Loše
badness	zloća
baffle	pregrada
baffled	zbunjen
bag	torba
bagel	Pecivo
baggage	prtljaga
baggie	baggie
baggy	vrećasto
bagman	trgovački putnik
bagpipes	gajde
bail	jamstvo
bailiff	sudski izvršitelj
bait	mamac
bake	peći
bakery	pekara
baking	pečenje
bal	NO TRANSLATION
balance	ravnoteža
balanced	uravnotežen
balcony	balkon
bald	ćelav
balding	proćelav
baldy	Baldy
bale	bala
balk	zadržavati
ball	lopta
ballad	balada
ballast	balast
ballerina	balerina
ballet	balet
ballgame	ballgame
ballistic	balistički
ballistics	balistika
balloon	balon
ballot	glasački listić
ballpark	sportski teren
ballplayer	ballplayer
ballpoint	kemijska olovka
ballroom	balska sala
ballsy	ballsy
balm	balzam
balmy	nježan
balsam	balsam
balsamic	balsamico
bam	bam
bamboo	bambus
ban	NO TRANSLATION
banana	banana
band	bend
bandage	zavoj
bandanna	NO TRANSLATION
bandit	bandit
bandstand	podijum
bandwagon	otvorena kola za orkestar tokom parade
bandwidth	propusnost
bane	otrov
bang	prasak
banger	banger
banish	protjerati
banished	prognao
banishment	progonstvo
banister	ograda
banjo	bendžo
bank	banka
banker	bankar
banking	bankarstvo
bankroll	gomila novca
bankrupt	bankrotirati
bankruptcy	stečaj
banner	zastava
banquet	banket
banshee	Banshee
banter	podsmijevati
banzai	NO TRANSLATION
baptism	krštenje
baptismal	krsni
baptize	krstiti
bar	bar
barb	bodlja
barbarian	varvarin
barbaric	varvarski
barbarism	divljaštvo
barbecue	roštilj
barbed	bodljikav
barber	berberin
barbershop	brijačnica
barbie doll	lutka Barbie
bard	bard
bare	ogoljen
bareback	bez sedla
barefoot	bos
barely	jedva
barf	BARF
bargain	pogodba
bargaining	pogađanje
barge	dereglija
baritone	bariton
barium	barij
bark	kora
barkeep	barkeep
barks	laje
barley	jedva
barmaid	konobarica
barman	konobar
barn	staja
barnacle	školjka
barney	Barney
barnyard	ekonomat
barometer	barometar
baron	baron
baroness	baronica
baroque	barokni
barrack	baraka
barracuda	barakuda
barrage	baraža
barred	zabranjeno
barrel	barel
barren	jalov
barricade	barikada
barrier	prepreka
barring	osim
barrister	advokat
barroom	kavana
barrow	mogila
bartender	barmen
barter	trampiti
base	baza
baseball	bejzbol
baseball bat	palica za bejzbol
baseboard	podna daska
baseless	bestemeljan
baseline	osnovica
baseman	baseman
basement	podrum
bases	baze
bash	udariti
bashful	stidljiv
basic	Osnovni, temeljni
basics	Osnove
basil	bosiljak
basilica	bazilika
basin	bazen
basis	osnova
bask	uživati
basket	košara
