Word	eu
adolescent	nerabe
adopt	adoptatu
adoption	adopzioa
adoptive	adopziozko
adorable	adorable
adoration	gurtza
adore	adore
adoring	adoring
adorn	apaintzen
adornment	Apaingarririk
adrenalin	tentsioa
adrenaline	adrenalina
adrift	noraezean
adult	helduen
adulterated	adulterated
adulterer	adulterer
adultery	adulterioak
adulthood	heldutasunera
advance	aurrera
advanced	aurreratu
advancement	aurrerapena
advancing	aurrera
advantage	abantaila
advantageous	onuragarria
advent	etorrerak
adventure	abentura
adventurer	abenturazale
adventures	abenturak
adventurous	abenturazalea
adversary	aurkariarekiko
adverse	kaltegarriak
adversity	zoritxarrean
advertise	Iragarkiak
advertisement	iragarki
advertising	publizitatea
adverts	iragarkiak
advice	aholkularitza
advisable	komenigarria
advise	aholkatzeko
advised	aholkatu
advisement	aholkularitzarekin
adviser	aholkulari
advisor	aholkularia
advisory	Aholku
advocacy	sentsibilizazio
advocate	defendatzaile
aegis	aegis
aeration	aeration
aerial	aireko
aerobics	aerobic
aerodrome	aerodromo
aerodynamic	aerodinamikoak
aerodynamics	aerodinamika
aeronautics	aeronautika
aeroplane	hegazkin
aerospace	aeroespaziala
aesthetic	estetiko
aesthetics	estetika
aetiology	etiologia
afar	urrundik
affable	affable
affair	afera
affect	eraginik
affecting	eragiten
affection	afektua
affectionate	maitekor
affections	atxikimendu
affiche	NO TRANSLATION
affidavit	zinpeko aitorpena
affiliated	afiliatu
affiliation	afiliazio
affinity	kidetasuna
affirm	baiezta
affirmation	afirmación
affirmative	baiezko
affirmatively	baietz
affix	hizki
afflict	munduan bizi
afflicted	egondako
affliction	affliction
affluence	oparotasunak
affluent	affluent
afford	ordaindu
affordable	merkean
affront	laido
affronted	affronted
afield	afield
afire	afire
afloat	afloat
afore	arestian
aforementioned	aipatutako
aforesaid	aipatu
afraid	beldur
afresh	afresh
african	african
aft	Popa
afterlife	bIZITZA
aftermath	Kolpe
afternoon	arratsalde
aftershave	aftershave
aftertaste	aftertaste
afterthought	eta eranskin
aga	NO TRANSLATION
agape	agape
agate	Agata
age	adina
aged	onduak
agency	agentzia
agenda	agenda
agent	agentea
agglomeration	aglomerazio
aggravate	areagotu
aggravated	larriagotu
aggravates	aggravates
aggravating	aggravating
aggravation	aggravation
aggregate	agregatua
aggregation	agregazio
aggresive	NO TRANSLATION
aggression	Idatzia
aggressive	oldarkor
aggressively	Agresiboki
aggressiveness	agresibitatea
aggressor	erasotzailea
agh	AGH
aghast	aghast
aghhh	NO TRANSLATION
agile	arin
agility	arintasuna
aging	zahartze
agitate	inarrosten
agitated	agitated
agitation	asaldura
aglow	aglow
agnostic	agnostikoa
ago	duela
agonizing	agonizing
agony	agonia
agoraphobia	Agorafobia
agree	ados
agreeable	atseginak
agreed	adostu
agreeing	adosteko
agreement	hitzarmen
agressive	NO TRANSLATION
agricultural	nekazaritza
agriculture	nekazaritza
aground	aground
agua	NO TRANSLATION
ahead	aurrera
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	laguntza
aide	aide
aiding	laguntza
aids	laguntzak
ail	ail
ailing	ailing
ailment	gaitz
aim	helburua
aimless	aimless
air	aire
airbag	airbag
airborne	Airean
aircraft	hegazkin
aircraft carrier	hegazkin garraiolari
airfield	aerodromo
airhead	Airhead
airlift	airlift
airline	aire-konpainiak
airliner	hegazkin
airlock	airlock
airman	airman
airplane	hegazkin
airport	aireportua
airs	Airs
airship	airship
airspace	Aire-nabigazioa
airspeed	airspeed
airstrip	airstrip
airtight	airtight
airway	arnas
aisle	korridore
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	Akin
alabaster	alabastroa
alarm	alarma
alarm clock	iratzargailua
alarmed	larritu
alarming	kezkagarria
alas	ai
alb	NO TRANSLATION
albatross	albatros
albino	albino
album	album
alchemy	alkimia
alcohol	alkohola
alcoholic	alkoholdun
alcoholism	alkoholarekin
alcove	alcove
alderman	alderman
ale	NO TRANSLATION
alert	Alerta
alertness	alertness
alerts	alertak
alfalfa	alfalfa
algebra	algebra
algebraic	algebraikoa
algorithm	algoritmo
alias	alias
alibi	alibi
alien	Alien
alienate	alienatzeko
alienated	alienaturik
alienation	alienazioa
alight	alight
align	lerrokatu
aligned	lerrokatu
alignment	lerrokatzea
alike	berdin
alimentation	NO TRANSLATION
alimony	Elikagaiak
aliquot	aliquot
alive	bizirik
alkali	alkali
alkaloids	alkaloide
allay	allay
allegation	alegazio
allege	allege
alleged	ustezko
allegiance	atxikipena
allegorical	alegorikoa
allegory	alegoria
allegro	allegro
allergic	alergia
allergy	alergia
alleviate	arindu
alleviation	arintzen
alley	kalezulo
alleyway	alleyway
alliance	aliantza
allied	aliatuen
alligator	Alligator
allocate	esleitu
allocation	esleipena
allot	allot
allotment	banaketari
allow	baimendu
allowable	onargarri
allowance	zuzkidura
allowed	onartzen
alloy	aleazio
allsmiles	NO TRANSLATION
allure	Allure
alluring	alluring
allusion	aipamena
alluvial	alubialak
ally	aliatu
almanac	Almanaka
almighty	almighty
almond	almendra
aloft	aloft
aloha	aloha
alone	bakarrik
alongside	batera
aloof	aloof
aloud	ozenki
alpha	alfa
alphabet	alfabetoa
alphabetical	alfabetiko
alpine	alpetar
alreadyyyyy	NO TRANSLATION
altar	aldare
altar boy	aldare boy
alter	aldatu
alteration	alterazio
altercation	altercation
altered	aldatu
alternate	ordezko
alternating	txandakatuz
alternative	alternatiboak
altimeter	altimeter
altitude	altitudean
alto	alto
altogether	guztiz
aluminum	aluminio
alumnus	ikasle ohia
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgama
amalgamation	kontzentrazioa
amaretto	amaretto
amass	amass
amateur	amateur
amaze	harrituko
amazed	harritu
amazedness	amazedness
amazement	harridura
amazing	harrigarria
amazingly	amazingly
ambassador	enbaxadoreak
amber	amber
ambience	giroa
ambient	giro
ambiguity	anbiguotasuna
ambiguous	anbiguoa
ambit	esparru
ambition	anbizio
ambitious	handinahi
ambivalent	anbibalentea
ambrosia	anbrosia
ambulance	anbulantzia
ambush	segada
ameliorate	arintzen
amen	amen
amenable	amenable
amend	aldatzea
amendment	zuzenketa
amends	aldatzen
amenity	amenity
amethyst	Amatista
amiable	maitagarri
amicable	adiskidetsu
amid	erdian
amidst	artean
amino	amino
ammo	ammo
ammonia	amoniako
ammonium	amonio
ammunition	munizioa
amnesia	amnesia
amnesty	amnistia
amorous	maitasun
amorphous	amorfoa
amortization	amortizazio
amount	Zenbateko
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	anfetaminak
amphibian	anfibio
amphibious	amphibious
amphitheater	anfiteatroan
ample	zabal
amplification	anplifikazio
amplify	handiagoa
amplitude	anplitude
amply	amply
amputate	amputate
amputation	anputazio
amuck	amuck
amulet	kuttun
amuse	amuse
amused	amused
amusement	jolas-
amusing	Nabarmentzekoa
ana	NO TRANSLATION
anaconda	Anaconda
anaesthesia	anestesia
anaesthetic	anestesiko
anagram	anagrama
anal	anal
analgesic	analgesikoak
analogous	antzeko
analogue	analogikoa
analogy	analogia
analysis	azterketa
analyst	analista
analytic	analitikoa
analytical	analitikoa
analyze	aztertzeko
analyzer	analizatzaile
anaphylactic	anaphylactic
anarchism	anarkismoa
anarchist	anarkista
anarchy	anarkia
anastomosis	anastomosia
anathema	anathema
anatomic	anatomic
anatomy	anatomia
ancestor	arbaso
ancestral	antzinako
ancestry	ancestry
anchor	aingura
anchorage	Ainguraketa
ancient	antzinako
ancillary	laguntzaileak
androgen	androgen
android	android
anecdote	anekdota
anemia	anemia
anemic	anemic
anemone	anemone
anesthesia	anestesia
anesthesiologist	anesthesiologist
anesthetic	anestesiko
aneurysm	aneurisma
anew	berriro
angel	aingeru
angelic	Angelic
anger	haserrea
angered	angered
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	angelu
angling	arrantza
angora	angora
angriest	angriest
angry	haserre
angrytweet	NO TRANSLATION
angst	larrimina
anguish	larritasun
anguished	anguished
angular	angular
anhydrous	anhydrous
animal	animal
animate	animatzeko
animated	animatuak
animation	animazioa
animosity	animosity
animus	animus
ankle	orkatila
anklet	Anklet
annals	Kronika
annex	eranskina
annexation	beretze
annexe	NO TRANSLATION
annihilate	suntsitu
annihilated	desegin
annihilation	annihilation
anniversary	urteurrena
annotate	oharpenak
annotation	oharpen
announce	iragartzeko
announcement	iragarkia
announcer	esatariari
annoy	annoy
annoyance	annoyance
annoyed	haserretu
annoyin	NO TRANSLATION
annoying	gogaikarriak
annoys	amorrua
annual	urteko
annuity	annuity
annul	baliogabetzeko
annular	annular
annulment	annulment
annulus	annulus
anointed	gantzutu
anointing	gantzuketa
anomalous	ezohiko
anomaly	anomalia
anon	anon
anonymity	anonimotasuna
anonymous	anonimoak
anorexic	anorexic
answer	erantzun
answerable	erantzule
answering	erantzungailu
ant	ant
antagonism	antagonismo
antagonist	antagonista
antagonistic	antagoniko
antagonize	antagonize
ante	NO TRANSLATION
antecedent	aurrekari
antelope	antilopea
antenna	antena
anterior	anterior
anthem	ereserki
anthill	anthill
anthology	antologia
anthrax	Anthrax
anthropological	antropologiko
anthropologist	antropologoak
anthropology	antropologia
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotiko
antibiotics	antibiotikoak
antichrist	Anticristo
anticipate	aurreratzen
anticipation	aurrea
anticipatory	anticipatory
antics	antics
antidote	antidotoa
antifungal	antifungikoa
antigravity	antigravity
antimony	antimonio
antipathy	antipathy
antiquarian	zaharren
antiquated	zaharkitua
antique	antigoaleko
antiques	antigoaleko
antiquity	antzinateko
antiseptic	antiseptiko
antisocial	antisocial
antithesis	antitesia
antithetical	honen
antiviral	antibiralak
antler	antler
antsy	antsy
anus	anus
anvil	ingudea
anxiety	antsietatea
anxietyattack	NO TRANSLATION
anxious	urduri
anxiousness	anxiousness
anytime	edonoiz
aorta	aorta
aortic	aorta
apace	erritmo onean
apache	apache
apartment	apartamentu
apartments	apartamentu
apathetic	apatiko
apathy	apatia
ape	ape
aperture	irekiera
apex	Irekiera
aphid	Zorri
aphrodisiac	afrodisiako
apiece	zati bat
aplomb	aplomb
apocalypse	apokalipsia
apocalyptic	apokaliptikoa
apologetic	apologetico
apologist	apologist
apologize	Barkatu
apology	apologia
apostasy	apostasy
apostate	apostate
apostle	apostolu
apostolic	apostolikoa
apostrophe	apostrofoa
apothecary	botikari
appalled	appalled
appalling	appalling
apparatus	aparatu
apparel	jantziak
apparent	itxurazko
apparently	itxuraz
apparition	agerpena
appeal	errekurtsoa
appear	agertzen
appearance	itxura
appease	baretzen
appellant	errekurtso
append	erantsi
appendage	appendage
appendectomy	appendectomy
appendicitis	apendizitis
appendix	eranskina
appetite	gosea
appetizer	hamaiketakoa
appetizing	appetizing
applaud	txalotu
applause	txalo
apple	sagar
apple juice	sagar zukua
applejack	Applejack
applesauce	applesauce
appliance	tresnaren
appliances	etxetresna
applicability	aplikagarritasuna
applicable	aplikagarriak
applicant	eskatzailea
application	aplikazio
apply	aplikatu
appoint	izendatuko
appointment	hitzordua
appointments	hitzorduak
apportion	apportion
apportionment	badago behinik
appraisal	ebaluazioa
appraise	balorazio positiboa
appreciable	nabarmena
appreciate	eskertuko
appreciated	estimatzen
appreciates	eskertu
appreciation	estimua
appreciative	appreciative
apprehend	atzeman
apprehension	atzemate
apprehensive	apprehensive
apprentice	ikaslea
apprenticeship	hartzea
approach	planteamendu
approaching	hurbiltzen
approbate	NO TRANSLATION
approbation	onespena
appropriate	egokia
appropriation	jabetze
approval	onarpena
approve	onestea
approved	onartu
approvement	approvement
approving	onartzen duena
approximate	gutxi gorabeherako
approximately	gutxi gorabehera
approximating	approximating
approximation	hurbilketa
appurtenances	appurtenances
apricot	abrikot
apron	mantala
apt	apt
aptitude	aptitude
aqua	aqua
aquamarine	Aquamarine
aquarium	Aquariumean
aquatic	uretako
aqueduct	akueduktu
aqueous	aqueous
arable	nekazaritza
arbiter	arbitroa
arbitrary	arbitrarioak
arbitrate	arbitro
arbitration	arbitrajeak
arbitrator	arbitro
arbor	itzaltegian
arc	arku
arcade	arcade
arcane	urrutira
arch	arku
archaeological	arkeologiko
archaeologist	arkeologoa
archaeology	arkeologia
archaic	arkaiko
archangel	Goiaingeruaren
archbishop	artzapezpikuak
archdiocese	Archidiócesis
archduke	archduke
arched	arku
archer	archer
archery	tiroa
archetype	arketipo
archipelago	artxipelagoko
architect	arkitektoak
architectural	arkitektura
architecture	arkitektura
archive	artxiboa
arctic	artikoa
ardent	sutsu
ardor	ardor
arduous	neketsua
area	inguruan
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argudiatu
argument	argumentu
argumentation	argudio
argumentative	Argudio
arguments	Argumentu
arid	lehorretan
arise	sortzen
aristocracy	aristokrazia
aristocrat	aristokrata
aristocratic	aristokratiko
arithmetic	aritmetika
ark	ark
arm	arm
armada	armada
armament	armamentu
armaments	armamentu
armature	armature
armchair	besaulki
armed	armatuak
armor	armadura
armored	blindatu
armory	armería
armpit	besapean
arms	besoak
army	armada
aroma	usain
aromatherapy	aromaterapia
arousal	arousal
arouse	Esnatu
aroused	piztu
arraignment	arraignment
arrange	antolatu
arranged	antolatu
arrangement	antolaketa
array	array
arrears	arrears
arrest	atxilotzeko
arrhythmia	arritmia
arrival	etorrera
arrive	iristen
arrogance	harrokeria
arrogant	harroputz
arrow	gezi
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	artsenikoa
arson	arson
arsonist	arsonist
art	art
arterial	arteriala
artery	arteria
artful	artful
arthritis	artritis
arthropod	artropodo
artichoke	alkatxofa
article	Artikulu
articles	artikulu
articulate	artikulatu
articulation	artikulatu
artifact	artefaktu
artifice	artifiziorik
artificial	artifiziala
artillery	artilleria
artisan	artisau
artist	artistaren
artiste	NO TRANSLATION
artistic	artistikoak
artistry	artistiko
artists	artistek
artwork	artelanak
arty	Arty
asap	asap
asbestos	amiantoa
ascend	ascender
ascendancy	ascendancy
ascendant	goranzko
ascending	goranzko
ascension	ascension
ascent	igoera
ascertain	jakitea
ascertained	iritzitan
ascetic	ascetic
ash	errauts
ashamed	lotsarik
ashes	errautsak
ashtray	hautsontzi
asinine	asinine
ask	galdetu
asleeep	NO TRANSLATION
asleep	lotan
asp	asp
asparagus	zainzuriak
aspartame	aspartamoa
aspect	alderdi
aspects	alderdi
aspen	Aspen
asphalt	asfaltoa
asphyxia	itolarriak
asphyxiation	asphyxiation
aspiration	nahia
aspire	ASPIRE
aspirin	aspirina
aspiring	aspirante
ass	ipurdian
assail	oldarrarazten
assailant	erasotzailearen
assassin	hiltzaile
assassinate	erailtzeko
assassination	hilketaren
assault	eraso
assay	assay
assemblage	assemblage
assemble	muntatzen
assembled	muntatu
assembly	muntaia
assemblyman	assemblyman
assent	berretsiko
assert	baiezta
asserting	baieztatuz
assertion	Baieztapen
assertive	assertive
assess	ebaluatzea
assessment	ebaluazioa
assessor	ebaluatzaile
asset	aktibo
assets	aktibo
asshole	gilipollas
assign	esleitu
assignee	lagapen
assignment	esleipena
assimilate	asimilatzeko
assimilation	asimilazio
assist	laguntzeko
assistance	laguntza
assistant	laguntzaile
associate	elkartua
association	elkarte
assorted	askotariko
assortment	sorta
assuage	assuage
assume	suposatuko
assumed	bere gain hartu
assuming	suposatuz
assumption	hipotesi
assurance	bermea
assure	ziurtatzen
assured	ziurtaturik
assuredly	segur
asterisk	Asteriskoa
asteroid	asteroide
asteroids	asteroideak
asthma	asma
asthmatic	Asthmatic
astigmatism	astigmatismoa
astonish	harrituko
astonished	harriturik
astonishing	harrigarria
astonishingly	NO TRANSLATION
astonishment	Berako
astound	harritu
astral	astral
astray	astray
astringent	astringenteak
astrologer	astrologer
astrology	hogei
astronaut	astronauta
astronomer	astronomoa
astronomical	astronomikoa
astronomy	astronomia
astute	astute
asunder	asunder
asylum	asilo
asymmetric	asimetrikoa
asymmetry	asimetria
asymptotic	asintotiko
atelier	atelier
atheism	ateismoa
atheist	ateo
atheistic	atheistic
atherosclerosis	atherosclerosis
athlete	atleta
athletic	athletic
athleticism	athleticism
athletics	atletismoa
atlas	atlas
atmosphere	giroa
atmospheric	atmosferiko
atoll	Atoloi
atom	atomo
atomic	atomikoa
atone	atone
atonement	Argazkia
atpeace	atpeace
atrium	atarian
atrocious	atrocious
atrocity	ankerkeria
atrophy	atrofia
attach	erantsi
attached	erantsita
attachment	eranskina
attack	eraso
attacker	erasotzaile
attacking	erasotzeko
attain	lortzea
attainable	bideragarriak
attainment	lortzera
attempt	saiakera
attempted	saiatu
attend	joateko
attendance	bertaratzea
attendant	attendant
attention	arreta
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	adi
attenuate	Ahuldu
attenuated	attenuated
attenuation	attenuation
attest	duenik
attestation	lekukotza
attic	ganbaran
attire	jantzi
attitude	jarrera
attorney	abokatu
attract	erakarri
attraction	erakarpen
attractive	erakargarria
attractiveness	erakargarritasuna
attributable	egozgarriak
attribute	atributu
attribution	eskuduntza
attrition	higadura
auburn	gaztain
auction	enkantean
auctioneer	auctioneer
audacious	ausarta
audacity	ausardia
audible	akustikoa
audience	ikusleek
audio	audio
audit	ikuskaritza
audition	entzunaldia
auditions	entzunaldiak
auditor	ikuskariaren
auditorium	auditorium
auditory	entzunezko
aught	aught
augment	ugaritu
augmentation	augmentation
august	Abuztu
aunt	izeba
auntie	izeba
aura	aura
aurora	aurora
auspices	babespean
auspicious	auspicious
austere	soila
austerity	austeritate
authentic	benetakoa
authenticate	autentifikatu
authentication	autentifikazio
authenticity	benetakotasuna
author	egileak
authoritative	autoritario
authority	autoritate
authorization	baimen
authorize	baimena
authorized	baimendutako
authorship	egile
autism	autismoa
autistic	autismoaren
auto	auto
autobiographical	autobiografikoak
autobiography	autobiografia
autocorrect	zuzenketa automatikoa
autocratic	autocratic
autograph	autógrafa
autographed	autografoak
automated	automatizatu
automatic	automatiko
automobile	automobil
automotive	automobilgintza
autonomy	autonomia
autopilot	autopilot
autopsy	Autopsia
autumn	udazkena
auxiliary	osagarriaren
avail	avail
availability	erabilgarritasuna
available	eskuragarri
avalanche	mendizale
avarice	zikoizkeria
avatar	avatar
avenge	mendekuan
avenger	mendekatzaile
avenging	avenging
avenue	etorbide
aver	NO TRANSLATION
average	batezbesteko
aversation	aversation
averse	averse
averseness	averseness
aversion	nazka
avert	avert
aviary	Aviary
aviation	abiazio
aviator	hegazkinlariarena
avid	nekagaitza
avocado	aguakatea
avoid	saihestu
avoidance	ekiditea
avoiding	saihestuz
await	zain
awake	esna
awaken	esnatuko
awakening	esnatzen
award	saria
awards	sariak
aware	jakitun
awareness	kontzientzia
awe	NO TRANSLATION
awed	awed
awesome	Zoragarria
awesomeness	bikaintasunez
awestruck	awestruck
awful	beldurgarria
awkward	baldar
awkwardness	awkwardness
awning	olana
awry	awry
axe	aizkora
axial	axial
axiom	Axioma
axiomatic	axiomatikoa
axis	ardatz
axle	ardatz
ay	ay
aye	aye
azimuth	azimuta
azure	azure
babble	babble
babbling	babbling
babe	babe
baboon	babuino
baby	umea
babysit	babysit
babysitter	haurtzain
baccalaureate	batxilergoa
baccarat	baccarat
bachelor	lizentziatura
bachelorette	bachelorette
back	atzera
backboard	backboard
backbone	bizkarrezurra
backdoor	atzeko atea
backdrop	atzean
backer	Backer
backfire	backfire
backgammon	backgammon
background	hondo
backhand	backhand
backhoe	backhoe
backoff	uzte
backpack	motxila
backpacker	backpacker
backroom	backroom
backseat	backseat
backside	backside
backtrack	backtrack
backup	backup
backward	atzera
backwardness	atzerapen
backwards	atzeraka
backwater	backwater
backwoods	backwoods
backyard	patioa
bacon	hirugiharra
bacteria	bakteriak
bacterial	bakterien
bacterium	bakterioaren
bad	txarra
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	bereizgarria
badger	azkonarra
badhabit	NO TRANSLATION
badly	gaizki
badness	gaiztakeria
baffle	baffle
baffled	baffled
bag	poltsa
bagel	bagel
baggage	ekipajea
baggie	baggie
baggy	galtza zabalak
bagman	bagman
bagpipes	gaita
bail	bermea ordainduta
bailiff	bailiff
bait	bait
bake	bake
bakery	okindegia
baking	gozogintza
bal	NO TRANSLATION
balance	oreka
balanced	orekatua
balcony	balkoi
bald	burusoila
balding	balding
baldy	BALDY
bale	bale
balk	balk
ball	baloia
ballad	balada
ballast	lasta
ballerina	dantzari
ballet	ballet
ballgame	ballgame
ballistic	ballistic
ballistics	balistika
balloon	puxika
ballot	boto
ballpark	ballpark
ballplayer	ballplayer
ballpoint	ballpoint
ballroom	aretoko
ballsy	ballsy
balm	ixten
balmy	balmy
balsam	BALSAM
balsamic	baltsamiko
bam	bam
bamboo	banbu
ban	NO TRANSLATION
banana	platano
band	banda
bandage	benda
bandanna	NO TRANSLATION
bandit	lapur
bandstand	kioskoa
bandwagon	bandwagon
bandwidth	banda zabalera
bane	bane
bang	bang
banger	banger
banish	baztertu
banished	erbesteratu
banishment	desterrua
banister	barandaren
banjo	banjo
bank	banku
banker	bankari
banking	banka
bankroll	bankroll
bankrupt	porrot
bankruptcy	Porrotaren
banner	pankarta
banquet	oturuntza
banshee	banshee
banter	banter
banzai	NO TRANSLATION
baptism	bataioa
baptismal	bataio
baptize	bataiatzen
bar	bar
barb	barb
barbarian	barbaroa
barbaric	barbarie
barbarism	barbarie
barbecue	barbakoa
barbed	barbed
barber	Bizargin
barbershop	BARBERÍA
barbie doll	barbie panpina
bard	bardo
bare	biluzi
bareback	bareback
barefoot	oinutsik
barely	ozta-ozta
barf	barf
bargain	bargain
bargaining	negoziazio
barge	gabarra
baritone	baritonoa
barium	barioa
bark	azala
barkeep	barkeep
barks	zaunka
barley	garagar
barmaid	barmaid
barman	barman
barn	barn
barnacle	lanperna
barney	Barney
barnyard	barnyard
barometer	barometro
baron	baron
baroness	baronesa
baroque	barrokoa
barrack	koarteleko
barracuda	barracuda
barrage	barrage
barred	egonda
barrel	kupela
barren	barren
barricade	barrikada
barrier	barrera
barring	murrizketa-
barrister	barrister
barroom	barroom
barrow	barrow
bartender	bartender
barter	truke
base	base
baseball	beisbol
baseball bat	beisbol bat
baseboard	baseboard
baseless	baseless
baseline	oinarri
baseman	baseman
basement	sotoan
bases	bases
bash	bash
bashful	bashful
basic	oinarrizko
basics	oinarriak
basil	albahaka
basilica	basilika
basin	arroaren
basis	oinarria
bask	Euskal
basket	saski
basketball	saskibaloi
bass	baxu
bass guitar	gitarra baxua
basso	NO TRANSLATION
bassoon	fagota
bastard	kabroia
bastarding	bastarding
bastards	bastards
