Word	pl
actuary	specjalista od ubezpieczeń
acuity	ostrość
acumen	bystrość
acupuncture	akupunktura
acute	ostry
acutely	przenikliwie
ad	ogłoszenie
adage	powiedzenie
adamant	nieugięty
adapt	przystosować się
adaptable	dający się przystosować
adaptation	dostosowanie
add	Dodaj
added	dodany
addendum	uzupełnienie
adder	sumator
addict	nałogowiec
addicted	uzależniony
addiction	nałóg
addictive	wciągający
addition	dodanie
additional	dodatkowy
additive	przyłączeniowy
address	adres
addressee	adresat
addresses	adresy
adept	adept
adequacy	adekwatność
adequate	odpowiedni
adhere	przylegać
adherence	przyczepność
adherent	przylegający
adhering	przyleganie
adhesion	przyczepność
adhesive	spoiwo
adieu	adieu
adipose	tłuszczowy
adjacency	przyleganie
adjacent	sąsiadujący
adjective	przymiotnik
adjoining	przylegający
adjourn	zawiesić
adjournment	odroczenie
adjudicate	orzec
adjudication	wyrok
adjunct	dodatek
adjust	dostosować
adjuster	nastawiacz
adjustment	dostosowanie
adjuvant	adiuwant
admin	Admin
administer	administrować
administration	administracja
administrative	Administracyjny
administrator	administrator
admirable	zachwycający
admiral	admirał
admiralty	admiralicja
admiration	podziw
admire	podziwiać
admired	podziwiany
admirer	wielbiciel
admiring	podziwiając
admissibility	dopuszczalność
admissible	dopuszczalny
admission	wstęp
admit	przyznać
admittance	wstęp
admitted	Przyznał
admitting	przyznać
admixture	domieszka
admonition	napomnienie
ado	korowody
adobe	cegła suszona na słońcu
adolescence	adolescencja
adolescent	dorastający
adopt	przyjąć
adoption	przyjęcie
adoptive	przybrany
adorable	godny podziwu
adoration	adoracja
adore	adorować
adoring	adorowanie
adorn	zdobić
adornment	ozdoba
adrenalin	adrenalina
adrenaline	adrenalina
adrift	dryfujący
adult	dorosły
adulterated	zafałszowany
adulterer	cudzołożnik
adultery	cudzołóstwo
adulthood	wiek dojrzały
advance	postęp
advanced	zaawansowane
advancement	postęp
advancing	postęp
advantage	korzyść
advantageous	korzystny
advent	Adwent
adventure	przygoda
adventurer	poszukiwacz przygód
adventures	przygody
adventurous	ryzykowny
adversary	przeciwnik
adverse	niekorzystny
adversity	nieszczęście
advertise	reklamować
advertisement	Reklama
advertising	reklama
adverts	ogłoszenia
advice	Rada
advisable	wskazany
advise	doradzać
advised	rozmyślny
advisement	doradztwo
adviser	doradca
advisor	doradca
advisory	doradczy
advocacy	rzecznictwo
advocate	rzecznik
aegis	egida
aeration	napowietrzanie
aerial	antenowy
aerobics	aerobik
aerodrome	lotnisko
aerodynamic	aerodynamiczny
aerodynamics	aerodynamika
aeronautics	aeronautyka
aeroplane	samolot
aerospace	aerospace
aesthetic	estetyczny
aesthetics	estetyka
aetiology	etiologia
afar	daleko
affable	uprzejmy
affair	sprawa
affect	oddziaływać
affecting	wpływający
affection	tkliwość
affectionate	czuły
affections	uczucia
affiche	NO TRANSLATION
affidavit	oświadczenie
affiliated	stowarzyszony
affiliation	przynależność
affinity	powinowactwo
affirm	potwierdzać
affirmation	afirmacja
affirmative	twierdzący
affirmatively	afirmatywnie
affix	afiks
afflict	dotknąć
afflicted	cierpiący
affliction	cierpienie
affluence	zamożność
affluent	zamożny
afford	pozwolić sobie
affordable	niedrogie
affront	afront
affronted	urażony
afield	w polu
afire	ogień
afloat	na morzu
afore	wyżej
aforementioned	wyżej wymieniony
aforesaid	wyżej wymieniony
afraid	przestraszony
afresh	na nowo
african	afrykanin
aft	na rufie
afterlife	życie pozagrobowe
aftermath	następstwa
afternoon	popołudnie
aftershave	płyn po goleniu
aftertaste	posmak
afterthought	refleksja
aga	NO TRANSLATION
agape	agapa
agate	agat
age	wiek
aged	w wieku
agency	agencja
agenda	program
agent	agent
agglomeration	aglomeracja
aggravate	pogarszać
aggravated	pogarsza się
aggravates	pogarsza
aggravating	obciążający
aggravation	pogorszenie
aggregate	agregat
aggregation	zbiór
aggresive	NO TRANSLATION
aggression	agresja
aggressive	agresywny
aggressively	agresywnie
aggressiveness	agresywność
aggressor	agresor
agh	agh
aghast	przerażony
aghhh	NO TRANSLATION
agile	zwinny
agility	zwinność
aging	starzenie się
agitate	mieszać
agitated	poruszony
agitation	podniecenie
aglow	płonący
agnostic	agnostyk
ago	temu
agonizing	bolesny
agony	agonia
agoraphobia	agorafobia
agree	Zgodzić się
agreeable	przyjemny
agreed	Zgoda
agreeing	zgodzić się
agreement	umowa
agressive	NO TRANSLATION
agricultural	rolniczy
agriculture	rolnictwo
aground	na mieliźnie
agua	NO TRANSLATION
ahead	przed siebie
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	pomoc
aide	doradca
aiding	pomocnictwo
aids	AIDS
ail	chorować
ailing	schorowany
ailment	dolegliwość
aim	cel
aimless	bezcelowy
air	powietrze
airbag	poduszka powietrzna
airborne	samolotowy
aircraft	samolot
aircraft carrier	lotniskowiec
airfield	lotnisko
airhead	powietrzny
airlift	most lotniczy
airline	linia lotnicza
airliner	samolot pasażerski
airlock	śluza
airman	lotnik
airplane	samolot
airport	Lotnisko
airs	powietrze
airship	sterowiec
airspace	kubatura
airspeed	prędkość lotu
airstrip	lądowisko
airtight	hermetyczny
airway	drogi oddechowe
aisle	przejście
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	znany jako
akin	pokrewny
alabaster	alabaster
alarm	alarm
alarm clock	budzik
alarmed	zaniepokojony
alarming	alarmujące
alas	Niestety
alb	NO TRANSLATION
albatross	albatros
albino	albinos
album	album
alchemy	alchemia
alcohol	alkohol
alcoholic	alkoholowy
alcoholism	alkoholizm
alcove	alkierz
alderman	radny miejski
ale	NO TRANSLATION
alert	alarm
alertness	czujność
alerts	ostrzeżenia
alfalfa	lucerna
algebra	algebra
algebraic	algebraiczny
algorithm	algorytm
alias	Alias
alibi	alibi
alien	obcy
alienate	zrazić
alienated	wyobcowany
alienation	alienacja
alight	wysiadać
align	wyrównać
aligned	wyrównane
alignment	wyrównanie
alike	zarówno
alimentation	NO TRANSLATION
alimony	alimenty
aliquot	podwielokrotność
alive	żywy
alkali	alkalia
alkaloids	alkaloidy
allay	uspokajać
allegation	zarzut
allege	twierdzić
alleged	rzekomy
allegiance	wierność
allegorical	alegoryczny
allegory	alegoria
allegro	Allegro
allergic	uczulony
allergy	alergia
alleviate	łagodzić
alleviation	ulga
alley	aleja
alleyway	boczna uliczka
alliance	Sojusz
allied	sprzymierzony
alligator	aligator
allocate	przeznaczyć
allocation	przydział
allot	przydzielać
allotment	przydział
allow	dopuszczać
allowable	dopuszczalne
allowance	dodatek
allowed	dozwolony
alloy	stop
allsmiles	NO TRANSLATION
allure	wabić
alluring	pociągający
allusion	aluzja
alluvial	aluwialny
ally	sprzymierzyć
almanac	almanach
almighty	wszechmocny
almond	migdałowy
aloft	wysoko
aloha	aloha
alone	sam
alongside	wzdłuż
aloof	z dala
aloud	głośno
alpha	alfa
alphabet	alfabet
alphabetical	alfabetyczny
alpine	alpejski
alreadyyyyy	jużyyyyy
altar	ołtarz
altar boy	ministrant
alter	zmieniać
alteration	zmiana
altercation	sprzeczka
altered	zmieniony
alternate	alternatywny
alternating	zmienny
alternative	alternatywny
altimeter	wysokościomierz
altitude	Wysokość
alto	alt
altogether	całkowicie
aluminum	aluminium
alumnus	absolwent
alveolar	pęcherzykowy
alzheimers	NO TRANSLATION
amalgam	amalgamat
amalgamation	połączenie
amaretto	amaretto
amass	zgromadzić
amateur	amator
amaze	zadziwiać
amazed	zdziwiony
amazedness	NO TRANSLATION
amazement	zdumienie
amazing	niesamowity
amazingly	zadziwiająco
ambassador	ambasador
amber	bursztyn
ambience	atmosfera
ambient	otaczający
ambiguity	Dwuznaczność
ambiguous	dwuznaczny
ambit	obwód
ambition	ambicja
ambitious	ambitny
ambivalent	ambiwalentny
ambrosia	Ambrozja
ambulance	ambulans
ambush	zasadzka
ameliorate	polepszyć
amen	Amen
amenable	odpowiedzialny
amend	modyfikować
amendment	poprawka
amends	odszkodowanie
amenity	uprzejmość
amethyst	ametyst
amiable	sympatyczny
amicable	przyjazny
amid	wśród
amidst	wśród
amino	amino
ammo	amunicja
ammonia	amoniak
ammonium	amon
ammunition	amunicja
amnesia	amnezja
amnesty	amnestia
amorous	kochliwy
amorphous	amorficzny
amortization	amortyzacja
amount	ilość
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetaminy
amphibian	płaz
amphibious	ziemnowodny
amphitheater	amfiteatr
ample	obszerny
amplification	wzmocnienie
amplify	wzmacniać
amplitude	amplituda
amply	obficie
amputate	odciąć
amputation	amputacja
amuck	szał
amulet	amulet
amuse	bawić
amused	rozbawiony
amusement	rozrywka
amusing	zabawny
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	znieczulenie
anaesthetic	znieczulający
anagram	anagram
anal	analny
analgesic	przeciwbólowy
analogous	analogiczny
analogue	analog
analogy	analogia
analysis	analiza
analyst	analityk
analytic	analityczny
analytical	analityczny
analyze	analizować
analyzer	analizator
anaphylactic	anafilaktyczny
anarchism	anarchizm
anarchist	anarchista
anarchy	anarchia
anastomosis	zespolenie
anathema	anatema
anatomic	anatomiczny
anatomy	anatomia
ancestor	przodek
ancestral	rodowy
ancestry	pochodzenie
anchor	Kotwica
anchorage	zamocowanie
ancient	starożytny
ancillary	pomocniczy
androgen	androgen
android	android
anecdote	anegdota
anemia	niedokrwistość
anemic	anemiczny
anemone	anemon
anesthesia	znieczulenie
anesthesiologist	anestezjolog
anesthetic	znieczulający
aneurysm	tętniak
anew	nowo
angel	anioł
angelic	anielski
anger	gniew
angered	rozgniewany
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografia
angle	kąt
angling	wędkowanie
angora	angora
angriest	bardziej angriest
angry	zły
angrytweet	NO TRANSLATION
angst	niepokój
anguish	boleść
anguished	udręczony
angular	kątowy
anhydrous	bezwodny
animal	zwierzę
animate	animować
animated	ożywiony
animation	animacja
animosity	animozja
animus	animozja
ankle	kostka
anklet	obrączka na nóżkę ptaka
annals	annały
annex	załącznik
annexation	aneksja
annexe	NO TRANSLATION
annihilate	zniszczyć
annihilated	unicestwiony
annihilation	unicestwienie
anniversary	rocznica
annotate	komentować
annotation	adnotacja
announce	ogłosić
announcement	ogłoszenie
announcer	spiker
annoy	denerwować
annoyance	kłopot
annoyed	zirytowany
annoyin	NO TRANSLATION
annoying	denerwujący
annoys	denerwuje
annual	roczny
annuity	renta
annul	unieważnić
annular	pierścieniowy
annulment	unieważnienie
annulus	pierścień
anointed	namaszczony
anointing	namaszczenie
anomalous	anomalny
anomaly	anomalia
anon	zaraz
anonymity	anonimowość
anonymous	anonimowy
anorexic	anorektyczny
answer	odpowiedź
answerable	odpowiedzialny za coś
answering	odpowiadając
ant	Mrówka
antagonism	antagonizm
antagonist	antagonista
antagonistic	antagonistyczny
antagonize	antagonizować
ante	NO TRANSLATION
antecedent	poprzednik
antelope	antylopa
antenna	antena
anterior	poprzedni
anthem	hymn
anthill	mrowisko
anthology	antologia
anthrax	wąglik
anthropological	antropologiczne
anthropologist	antropolog
anthropology	antropologia
anti	anty
antiaircraft	przeciwlotniczy
antibiotic	antybiotyk
antibiotics	antybiotyki
antichrist	antychryst
anticipate	przewidywać
anticipation	przewidywanie
anticipatory	przedterminowy
antics	wybryki
antidote	antidotum
antifungal	przeciwgrzybicze
antigravity	Antygrawitacja
antimony	antymon
antipathy	niechęć
antiquarian	starożytnik
antiquated	przestarzały
antique	antyczny
antiques	antyki
antiquity	antyk
antiseptic	antyseptyczny
antisocial	antyspołeczny
antithesis	antyteza
antithetical	przeciwstawny
antiviral	antywirusowy
antler	łopata
antsy	antsy
anus	odbyt
anvil	kowadło
anxiety	niepokój
anxietyattack	NO TRANSLATION
anxious	niespokojny
anxiousness	niepokój
anytime	w dowolnym momencie
aorta	aorta
aortic	aorta
apace	szybko
apache	apache
apartment	apartament
apartments	mieszkanie
apathetic	apatyczny
apathy	apatia
ape	małpa
aperture	otwór
apex	wierzchołek
aphid	mszyca
aphrodisiac	środek zwiększający popęd płciowy
apiece	kawałek
aplomb	pewność siebie
apocalypse	apokalipsa
apocalyptic	apokaliptyczny
apologetic	przepraszający
apologist	apologeta
apologize	przepraszać
apology	przeprosiny
apostasy	odstępstwo
apostate	apostata
apostle	apostoł
apostolic	apostolski
apostrophe	apostrof
apothecary	aptekarz
appalled	przerażony
appalling	przerażający
apparatus	aparat
apparel	strój
apparent	pozorny
apparently	widocznie
apparition	zjawa
appeal	apel
appear	zjawić się
appearance	wygląd
appease	zaspokoić
appellant	wnoszący apelację
append	dodać
appendage	dodatek
appendectomy	wycięcie ślepej kiszki
appendicitis	zapalenie wyrostka robaczkowego
appendix	dodatek
appetite	apetyt
appetizer	przystawka
appetizing	apetyczny
applaud	bić brawo
applause	oklaski
apple	jabłko
apple juice	sok jabłkowy
applejack	Applejack
applesauce	sos jabłkowy
appliance	urządzenie
appliances	urządzenia
applicability	możliwość zastosowania
applicable	odpowiedni
applicant	petent
application	podanie
apply	zastosować
appoint	wyznaczać
appointment	spotkanie
appointments	spotkania
apportion	podzielić
apportionment	podział
appraisal	ocena
appraise	oceniać
appreciable	znaczny
appreciate	doceniać
appreciated	docenione
appreciates	docenia
appreciation	uznanie
appreciative	pochwalny
apprehend	zrozumieć
apprehension	lęk
apprehensive	lękliwy
apprentice	uczeń
apprenticeship	praktyka
approach	podejście
approaching	zbliżający się
approbate	NO TRANSLATION
approbation	aprobata
appropriate	właściwy
appropriation	asygnowanie
approval	zatwierdzenie
approve	zatwierdzać
approved	zatwierdzony
approvement	zatwierdzenie
approving	pochlebny
approximate	przybliżony
approximately	w przybliżeniu
approximating	zbliżony
approximation	przybliżenie
appurtenances	akcesoria
apricot	morela
apron	Fartuch
apt	trafny
aptitude	uzdolnienie
aqua	wodny
aquamarine	akwamaryn
aquarium	akwarium
aquatic	wodny
aqueduct	akwedukt
aqueous	wodny
arable	orny
arbiter	arbiter
arbitrary	arbitralny
arbitrate	rozstrzygać
arbitration	arbitraż
arbitrator	arbiter
arbor	altanka
arc	łuk
arcade	arkada
arcane	tajemna
arch	łuk
archaeological	archeologiczny
archaeologist	archeolog
archaeology	archeologia
archaic	archaiczny
archangel	archanioł
archbishop	arcybiskup
archdiocese	archidiecezja
archduke	arcyksiążę
arched	łukowaty
archer	łucznik
archery	łucznictwo
archetype	archetyp
archipelago	archipelag
architect	architekt
architectural	architektoniczny
architecture	architektura
archive	archiwum
arctic	arktyczny
ardent	żarliwy
ardor	zapał
arduous	żmudny
area	powierzchnia
arena	arena
areola	otoczka
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	kłócić się
argument	argument
argumentation	argumentacja
argumentative	rzeczowy
arguments	argumenty
arid	jałowy
arise	powstać
aristocracy	arystokracja
aristocrat	arystokrata
aristocratic	arystokratyczny
arithmetic	arytmetyka
ark	arka
arm	ramię
armada	armada
armament	uzbrojenie
armaments	zbrojenia
armature	armatura
armchair	fotel
armed	uzbrojony
armor	zbroja
armored	opancerzony
armory	zbrojownia
armpit	Pacha
arms	ramiona
army	armia
aroma	aromat
aromatherapy	aromaterapia
arousal	pobudzenie
arouse	wzbudzać
aroused	podniecony
arraignment	postawienie w stan oskarżenia
arrange	zorganizować
arranged	ułożone
arrangement	układ
array	szyk
arrears	zaległości
arrest	aresztować
arrhythmia	niemiarowość
arrival	przyjazd
arrive	przybyć
arrogance	arogancja
arrogant	arogancki
arrow	strzałka
arsehole	arsehole
arseholes	arsehole
arsenal	Arsenał
arsenic	arsen
arson	podpalenie
arsonist	podpalacz
art	sztuka
arterial	arterialny
artery	tętnica
artful	pomysłowy
arthritis	artretyzm
arthropod	stawonogi
artichoke	karczoch
article	artykuł
articles	artykuły
articulate	artykułować
articulation	artykulacja
artifact	artefakt
artifice	sztuczka
artificial	sztuczny
artillery	artyleria
artisan	rzemieślnik
artist	artysta
artiste	NO TRANSLATION
artistic	artystyczny
artistry	kunszt
artists	artyści
artwork	grafika
arty	pretensjonalny
asap	jak najszybciej
asbestos	azbest
ascend	wspiąć się
ascendancy	przewaga
ascendant	panujący
ascending	rosnąco
ascension	Wniebowstąpienie
ascent	wzlot
ascertain	ustalać
ascertained	potwierdzone
ascetic	ascetyczny
ash	popiół
ashamed	zawstydzony
ashes	proch
ashtray	popielniczka
asinine	głupi
ask	zapytać
asleeep	NO TRANSLATION
asleep	we śnie
asp	żmija
asparagus	szparag
aspartame	aspartam
aspect	aspekt
aspects	aspekty
aspen	osika
asphalt	asfalt
asphyxia	zamartwica
asphyxiation	uduszenie się
aspiration	dążenie
aspire	aspirować
aspirin	aspiryna
aspiring	ambitny
ass	tyłek
assail	atakować
assailant	napastnik
assassin	morderca
assassinate	dokonać zamachu
assassination	zamach
assault	atak
assay	analiza
assemblage	zmontowanie
assemble	gromadzić
assembled	zmontowane
assembly	montaż
assemblyman	asemblyman
assent	zgoda
assert	zapewniać
asserting	twierdząc
assertion	twierdzenie
assertive	stanowczy
assess	oszacować
assessment	oszacowanie
assessor	asesor
asset	kapitał
assets	majątek
asshole	dupek
assign	przydzielać
assignee	mandatariusz
assignment	zadanie
assimilate	zasymilować
assimilation	asymilacja
assist	wspierać
assistance	wsparcie
assistant	asystent
associate	współpracownik
association	stowarzyszenie
assorted	mieszany
assortment	asortyment
assuage	łagodzić
assume	założyć
assumed	przypuszczalny
assuming	zarozumiały
assumption	założenie
assurance	zapewnienie
assure	gwarantować
assured	zapewniony
assuredly	zapewne
asterisk	gwiazdka
asteroid	asteroida
asteroids	asteroidy
asthma	astma
asthmatic	astmatyczny
astigmatism	astygmatyzm
astonish	zadziwić
astonished	zdziwiony
astonishing	zadziwiający
astonishingly	NO TRANSLATION
astonishment	zdziwienie
astound	zdumieć
astral	astralny
astray	zabłąkany
astringent	wstrzymujący środek
astrologer	astrolog
astrology	astrologia
astronaut	astronauta
astronomer	astronom
astronomical	astronomiczny
astronomy	astronomia
astute	bystry
asunder	jedno od drugiego
asylum	przytułek
asymmetric	asymetryczny
asymmetry	asymetria
asymptotic	asymptotyczny
atelier	atelier
atheism	ateizm
atheist	ateista
atheistic	ateistyczny
atherosclerosis	miażdżyca
athlete	sportowiec
athletic	atletyczny
athleticism	atletyzm
athletics	lekkoatletyka
atlas	atlas
atmosphere	atmosfera
atmospheric	atmosferyczny
atoll	atol
atom	atom
atomic	atomowy
atone	odpokutować
atonement	pokuta
atpeace	w pokoju
atrium	atrium
atrocious	okrutny
atrocity	okrucieństwo
atrophy	zanik
attach	dołączać
attached	przywiązany
attachment	Załącznik
attack	atak
attacker	napastnik
attacking	napadający
attain	osiągać
attainable	osiągalny
attainment	osiągnięcie
attempt	próba
attempted	próbował
attend	uczęszczać
attendance	frekwencja
attendant	obsługujący
attention	Uwaga
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	uważny
attenuate	osłabiać
attenuated	osłabiony
attenuation	osłabienie
attest	zaświadczać
attestation	zaświadczenie
attic	poddasze
attire	strój
attitude	postawa
attorney	adwokat
attract	pociągać
attraction	atrakcja
attractive	atrakcyjny
attractiveness	atrakcyjność
attributable	można przypisać
attribute	atrybut
attribution	atrybucja
attrition	ścieranie
auburn	kasztanowy
auction	Aukcja
auctioneer	licytator
audacious	zuchwały
audacity	śmiałość
audible	słyszalny
audience	publiczność
audio	audio
audit	rewizja
audition	przesłuchanie
auditions	przesłuchania
auditor	rewident księgowy
auditorium	audytorium
auditory	słuchowy
aught	coś
augment	zwiększać
augmentation	powiększenie
august	sierpień
aunt	ciocia
auntie	ciocia
aura	aura
aurora	zorza polarna
auspices	auspicje
auspicious	pomyślny
austere	surowy
austerity	surowość
authentic	autentyczny
authenticate	uwierzytelniać
authentication	poświadczenie
authenticity	autentyczność
author	autor
authoritative	autorytatywny
authority	autorytet
authorization	upoważnienie
authorize	autoryzować
authorized	upoważniony
authorship	autorstwo
autism	autyzm
autistic	autystyczny
auto	automatyczny
autobiographical	autobiograficzny
autobiography	autobiografia
autocorrect	autokorekta
autocratic	autokratyczny
autograph	autograf
autographed	z autografem
automated	automatyczne
automatic	automatyczny
automobile	samochód
automotive	automobilowy
autonomy	autonomia
autopilot	autopilot
autopsy	autopsja
autumn	jesień
auxiliary	pomocniczy
avail	wykorzystać
availability	dostępność
available	dostępny
avalanche	lawina
avarice	chciwość
avatar	awatara
avenge	pomścić
avenger	mściciel
avenging	zemsty
avenue	aleja
aver	NO TRANSLATION
average	średni
aversation	NO TRANSLATION
averse	niechętny
averseness	awersja
aversion	niechęć
avert	zapobiec
aviary	woliera
aviation	lotnictwo
aviator	lotnik
avid	zachłanny
avocado	awokado
avoid	uniknąć
avoidance	unikanie
avoiding	unikanie
await	czekać na
awake	obudzić
awaken	obudzić
awakening	budzenie
award	nagroda
awards	nagrody
aware	świadomy
awareness	świadomość
awe	NO TRANSLATION
awed	zachwycony
awesome	niesamowite
awesomeness	wspaniałość
awestruck	zadziwiać
awful	straszny
awkward	niezręczny
awkwardness	nieporadność
awning	markiza
awry	krzywo
axe	topór
axial	osiowy
axiom	aksjomat
axiomatic	aksjomatyczny
axis	oś
axle	oś
ay	ay
aye	zawsze
azimuth	azymut
azure	lazur
babble	bełkot
babbling	bełkocze
babe	dziecko
baboon	pawian
baby	dziecko
babysit	opiekować się dzieckiem
babysitter	opiekunka dziecięca
baccalaureate	bakalaureat
baccarat	Baccarat
bachelor	kawaler
bachelorette	wieczór panieński
back	plecy
backboard	tablica
backbone	kręgosłup
backdoor	tylne drzwi
backdrop	zasłona
backer	zwolennik
backfire	spalić na panewce
backgammon	backgammon
background	tło
backhand	bekhend
backhoe	koparka
backoff	odsuń się
backpack	plecak
backpacker	backpacker
backroom	Zaplecze
backseat	tylne siedzenie
backside	tyłek
backtrack	wracać
backup	utworzyć kopię zapasową
backward	do tyłu
backwardness	zacofanie
backwards	wstecz
backwater	łacha
backwoods	ostępy
backyard	podwórko
bacon	boczek
bacteria	bakteria
bacterial	bakteryjny
bacterium	bakteria
bad	zły
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	odznaka
badger	borsuk
badhabit	NO TRANSLATION
badly	źle
badness	niegodziwość
baffle	przegroda
baffled	zbity z tropu
bag	torba
bagel	bajgiel
baggage	bagaż
baggie	torebka
baggy	workowaty
bagman	komiwojażer
bagpipes	dudy
bail	kaucja
bailiff	komornik
bait	przynęta
bake	piec
bakery	piekarnia
baking	pieczenie
bal	NO TRANSLATION
balance	saldo
balanced	zrównoważony
balcony	balkon
bald	łysy
balding	łysienie
baldy	baldy
bale	bela
balk	miedza
ball	piłka
ballad	ballada
ballast	balast
ballerina	balerina
ballet	balet
ballgame	gra w piłkę
ballistic	balistyczny
ballistics	balistyka
balloon	balon
ballot	balotować
ballpark	przybliżony zakres
ballplayer	ballplayer
ballpoint	długopis
ballroom	sala balowa
ballsy	Ballsy
balm	balsam
balmy	balsamiczny
balsam	balsam
balsamic	balsamiczny
bam	bam
bamboo	bambus
ban	NO TRANSLATION
banana	banan
band	zespół muzyczny
bandage	bandaż
bandanna	NO TRANSLATION
bandit	bandyta
bandstand	estrada
bandwagon	wóz dla orkiestry
bandwidth	pasmo
bane	zmora
bang	huk
banger	banger
banish	wygnać
banished	wygnany
banishment	wygnanie
banister	poręcz
banjo	banjo
bank	Bank
banker	bankier
banking	Bankowość
bankroll	forsa
bankrupt	upadły
bankruptcy	bankructwo
banner	transparent
banquet	bankiet
banshee	banshee
banter	drażnić
banzai	NO TRANSLATION
baptism	chrzest
baptismal	chrzcielny
baptize	chrzcić
bar	bar
barb	kolec
barbarian	barbarzyńca
barbaric	barbarzyński
barbarism	barbaryzm
barbecue	grill
barbed	kolczasty
barber	fryzjer
barbershop	fryzjer
barbie doll	Lalka Barbie
bard	bard
bare	odsłonić
bareback	oklep
