Word	ro
advantageous	avantajos
advent	venire
adventure	aventură
adventurer	aventurier
adventures	aventuri
adventurous	aventuros
adversary	adversar
adverse	advers
adversity	adversitate
advertise	face publicitate
advertisement	publicitate
advertising	reclamă
adverts	publicitate
advice	sfat
advisable	recomandabil
advise	recomanda
advised	avizat
advisement	advisement
adviser	consilier
advisor	consilier
advisory	consultativ
advocacy	susținere
advocate	avocat
aegis	egidă
aeration	aerare
aerial	aerian
aerobics	aerobic
aerodrome	aerodrom
aerodynamic	aerodinamic
aerodynamics	aerodinamică
aeronautics	aeronautică
aeroplane	avion
aerospace	Industria aerospațială
aesthetic	estetic
aesthetics	estetică
aetiology	etiologia
afar	la distanță
affable	afabil
affair	afacere
affect	a afecta
affecting	care afectează
affection	afecţiune
affectionate	afectuos
affections	afecțiuni
affiche	NO TRANSLATION
affidavit	declarație
affiliated	afiliat
affiliation	afiliere
affinity	afinitate
affirm	afirma
affirmation	afirmare
affirmative	afirmativ
affirmatively	afirmativ
affix	afix
afflict	dezola
afflicted	bolnav
affliction	nenorocire
affluence	afluență
affluent	afluent
afford	permite
affordable	accesibil
affront	afront
affronted	ofensat
afield	departe
afire	un foc
afloat	plutind
afore	înainte
aforementioned	menționat mai sus
aforesaid	de mai sus
afraid	speriat
afresh	din nou
african	african
aft	la pupă
afterlife	viata de apoi
aftermath	Urmări
afternoon	dupa amiaza
aftershave	after-shave
aftertaste	gust care stăruie
afterthought	gând ulterior
aga	NO TRANSLATION
agape	căscat
agate	agat
age	vârstă
aged	în vârstă de
agency	agenţie
agenda	agendă
agent	agent
agglomeration	aglomerare
aggravate	agrava
aggravated	agravată
aggravates	agravează
aggravating	agravant
aggravation	agravare
aggregate	agregat
aggregation	agregare
aggresive	NO TRANSLATION
aggression	agresiune
aggressive	agresiv
aggressively	agresiv
aggressiveness	agresivitate
aggressor	agresor
agh	AGH
aghast	înspăimântat
aghhh	NO TRANSLATION
agile	agil
agility	agilitate
aging	îmbătrânire
agitate	agita
agitated	agitat
agitation	agitaţie
aglow	în flăcări
agnostic	agnostic
ago	în urmă
agonizing	agonizant
agony	agonie
agoraphobia	agorafobie
agree	de acord
agreeable	agreabil
agreed	de acord
agreeing	fiind de acord
agreement	acord
agressive	NO TRANSLATION
agricultural	agricol
agriculture	agricultură
aground	eşuat
agua	NO TRANSLATION
ahead	înainte
ahhh	Ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	hei
aid	ajutor
aide	aide
aiding	complicitatea
aids	SIDA
ail	pricinui durere
ailing	maladiv
ailment	indispoziție
aim	scop
aimless	fără rost
air	aer
airbag	airbag
airborne	în aer
aircraft	avioane
aircraft carrier	portavion
airfield	aerodrom
airhead	airhead
airlift	transportul aerian
airline	linie aeriană
airliner	avion de pasageri
airlock	ermetică
airman	aviator
airplane	avion
airport	aeroport
airs	ifose
airship	dirijabil
airspace	spațiul aerian
airspeed	viteza aerului
airstrip	pistă de aterizare
airtight	etanș
airway	căilor aeriene
aisle	interval
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	alias
akin	înrudit
alabaster	alabastru
alarm	alarma
alarm clock	ceas deșteptător
alarmed	alarmat
alarming	alarmant
alas	Vai
alb	NO TRANSLATION
albatross	albatros
albino	albinos
album	album
alchemy	alchimie
alcohol	alcool
alcoholic	alcoolic
alcoholism	alcoolism
alcove	nişă
alderman	consilier municipal
ale	NO TRANSLATION
alert	alerta
alertness	vigilenţă
alerts	alerte
alfalfa	lucernă
algebra	algebră
algebraic	algebric
algorithm	algoritmul
alias	alias
alibi	alibi
alien	străin
alienate	aliena
alienated	alienat
alienation	alienare
alight	aprins
align	alinia
aligned	aliniat
alignment	aliniere
alike	deopotrivă
alimentation	NO TRANSLATION
alimony	pensia alimentară
aliquot	alicot
alive	în viaţă
alkali	alcaliu
alkaloids	alcaloizi
allay	domoli
allegation	afirmaţie
allege	pretinde
alleged	pretins
allegiance	credință
allegorical	alegoric
allegory	alegorie
allegro	allegro
allergic	alergic
allergy	alergie
alleviate	atenua
alleviation	alinare
alley	alee
alleyway	străduță
alliance	alianţă
allied	aliat
alligator	aligator
allocate	aloca
allocation	alocare
allot	aloca
allotment	alocare
allow	permite
allowable	admisibil
allowance	alocație
allowed	permis
alloy	aliaj
allsmiles	NO TRANSLATION
allure	momi
alluring	ademenitor
allusion	aluzie
alluvial	aluvial
ally	aliat
almanac	almanah
almighty	atotputernic
almond	migdală
aloft	sus
aloha	aloha
alone	singur
alongside	pe langa
aloof	departe
aloud	cu voce tare
alpha	alfa
alphabet	alfabet
alphabetical	alfabetic
alpine	alpin
alreadyyyyy	alreadyyyyy
altar	altar
altar boy	baiat de altar
alter	modifica
alteration	modificare
altercation	altercaţie
altered	modificată
alternate	alterna
alternating	alternativ
alternative	alternativă
altimeter	altimetru
altitude	altitudine
alto	alto
altogether	întru totul
aluminum	aluminiu
alumnus	absolvent al unei școli
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	amalgamare
amaretto	Amaretto
amass	tezauriza
amateur	amator
amaze	uimi
amazed	uimit
amazedness	NO TRANSLATION
amazement	uimire
amazing	uimitor
amazingly	uimitor
ambassador	ambasador
amber	chihlimbar
ambience	ambianță
ambient	înconjurător
ambiguity	ambiguitate
ambiguous	ambiguu
ambit	graniță
ambition	ambiţie
ambitious	ambiţios
ambivalent	ambivalentă
ambrosia	ambrozie
ambulance	ambulanță
ambush	ambuscadă
ameliorate	ameliora
amen	Amin
amenable	maleabil
amend	modifica
amendment	amendament
amends	compensație
amenity	amenitate
amethyst	ametist
amiable	amabil
amicable	amical
amid	în mijlocul
amidst	în mijlocul
amino	amino
ammo	muniții
ammonia	amoniac
ammonium	amoniu
ammunition	muniţie
amnesia	amnezie
amnesty	amnistia
amorous	amoros
amorphous	amorf
amortization	amortizare
amount	Cantitate
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamine
amphibian	amfibiu
amphibious	amfibiu
amphitheater	amfiteatru
ample	amplu
amplification	amplificare
amplify	amplifica
amplitude	amplitudine
amply	amplu
amputate	amputa
amputation	amputare
amuck	amoc
amulet	amuletă
amuse	amuza
amused	amuzat
amusement	amuzament
amusing	amuzant
ana	NO TRANSLATION
anaconda	Anaconda
anaesthesia	anestezie
anaesthetic	anestezic
anagram	anagramă
anal	anal
analgesic	analgezic
analogous	analog
analogue	analog
analogy	analogie
analysis	analiză
analyst	analist
analytic	analitic
analytical	analitic
analyze	a analiza
analyzer	analizor
anaphylactic	anafilactic
anarchism	anarhism
anarchist	anarhist
anarchy	anarhie
anastomosis	anastomoza
anathema	anatemă
anatomic	anatomic
anatomy	anatomie
ancestor	strămoş
ancestral	ancestral
ancestry	origine
anchor	ancoră
anchorage	ancorare
ancient	vechi
ancillary	auxiliar
androgen	androgeni
android	Android
anecdote	anecdotă
anemia	anemie
anemic	anemic
anemone	anemonă
anesthesia	anestezie
anesthesiologist	anestezist
anesthetic	anestezic
aneurysm	anevrism
anew	un nou
angel	înger
angelic	angelic
anger	furie
angered	înfuriat
angermanagement	NO TRANSLATION
angina	anghină
angiogram	angiografia
angiography	angiografia
angle	unghi
angling	pescuit sportiv
angora	angora
angriest	manios
angry	furios
angrytweet	NO TRANSLATION
angst	angoasa
anguish	chin
anguished	angoase
angular	unghiular
anhydrous	anhidru
animal	animal
animate	anima
animated	animat
animation	animaţie
animosity	animozitate
animus	dușmănie
ankle	gleznă
anklet	brățară pentru gleznă
annals	anale
annex	anexă
annexation	anexare
annexe	NO TRANSLATION
annihilate	anihila
annihilated	anihilat
annihilation	anihilare
anniversary	aniversare
annotate	adnota
annotation	adnotare
announce	anunța
announcement	anunţ
announcer	crainic
annoy	deranja
annoyance	supărare
annoyed	contrariat
annoyin	NO TRANSLATION
annoying	enervant
annoys	enervează
annual	anual
annuity	anuitate
annul	anula
annular	inelar
annulment	anulare
annulus	annulus
anointed	uns
anointing	ungere
anomalous	anormal
anomaly	anomalie
anon	îndată
anonymity	anonimat
anonymous	anonim
anorexic	anorexic
answer	Răspuns
answerable	răspunde
answering	răspuns
ant	furnică
antagonism	antagonism
antagonist	antagonist
antagonistic	antagonic
antagonize	se opune
ante	NO TRANSLATION
antecedent	antecedente
antelope	antilopă
antenna	antenă
anterior	anterior
anthem	imn
anthill	musuroi de furnici
anthology	antologie
anthrax	antrax
anthropological	antropologic
anthropologist	antropolog
anthropology	antropologie
anti	anti
antiaircraft	antiaerian
antibiotic	antibiotic
antibiotics	antibiotice
antichrist	antihrist
anticipate	anticipa
anticipation	anticipare
anticipatory	anticipat
antics	giumbuș
antidote	antidot
antifungal	antifungic
antigravity	anti gravitație
antimony	antimoniu
antipathy	antipatie
antiquarian	anticar
antiquated	învechit
antique	antic
antiques	antichități
antiquity	antichitate
antiseptic	antiseptic
antisocial	antisocial
antithesis	antiteză
antithetical	antitetic
antiviral	antivirale
antler	corn de cerb
antsy	antsy
anus	anus
anvil	nicovală
anxiety	anxietate
anxietyattack	NO TRANSLATION
anxious	nerăbdător
anxiousness	anxiousness
anytime	oricând
aorta	aortă
aortic	aortic
apace	repede
apache	apache
apartment	apartament
apartments	apartamente
apathetic	apatic
apathy	apatie
ape	maimuţă
aperture	deschidere
apex	apex
aphid	păduchele
aphrodisiac	afrodiziac
apiece	o bucata
aplomb	aplomb
apocalypse	apocalips
apocalyptic	apocaliptic
apologetic	apologetic
apologist	apologet
apologize	scuza
apology	apologie
apostasy	apostazie
apostate	apostat
apostle	apostol
apostolic	apostolic
apostrophe	apostrof
apothecary	spițer
appalled	consternat
appalling	îngrozitor
apparatus	aparat
apparel	haine
apparent	aparent
apparently	aparent
apparition	apariţie
appeal	recurs
appear	apărea
appearance	aspect
appease	potoli setea
appellant	apelant
append	adăuga
appendage	apendice
appendectomy	apendicectomie
appendicitis	apendicită
appendix	apendice
appetite	apetit
appetizer	aperitiv
appetizing	apetisant
applaud	aplauda
applause	aplauze
apple	măr
apple juice	suc de mere
applejack	applejack
applesauce	sos de mere
appliance	aparat
appliances	Aparate
applicability	aplicabilitate
applicable	aplicabil
applicant	solicitant
application	cerere
apply	aplica
appoint	numi
appointment	programare
appointments	numiri
apportion	repartiza
apportionment	repartizare
appraisal	evaluare
appraise	evalua
appreciable	apreciabil
appreciate	a aprecia
appreciated	apreciat
appreciates	apreciază
appreciation	apreciere
appreciative	apreciativ
apprehend	aresta
apprehension	aprehensiune
apprehensive	receptiv
apprentice	ucenic
apprenticeship	ucenicie
approach	abordare
approaching	se apropie
approbate	NO TRANSLATION
approbation	aprobare
appropriate	adecvat
appropriation	însușire
approval	aprobare
approve	aproba
approved	aprobat
approvement	approvement
approving	pentru aprobarea
approximate	aproximativ
approximately	aproximativ
approximating	aproximându
approximation	apropiere
appurtenances	dependințe
apricot	caisă
apron	şorţ
apt	potrivit
aptitude	aptitudine
aqua	apă
aquamarine	acvamarin
aquarium	acvariu
aquatic	acvatic
aqueduct	apeduct
aqueous	apos
arable	arabil
arbiter	arbitru
arbitrary	arbitrar
arbitrate	arbitra
arbitration	arbitraj
arbitrator	arbitru
arbor	arbore
arc	arc
arcade	arcadă
arcane	arcane
arch	arc
archaeological	arheologic
archaeologist	arheolog
archaeology	arheologie
archaic	arhaic
archangel	arhanghel
archbishop	arhiepiscop
archdiocese	arhiepiscopie
archduke	arhiduce
arched	arcuit
archer	arcaş
archery	TIR cu arcul
archetype	arhetip
archipelago	arhipelag
architect	arhitect
architectural	arhitectural
architecture	arhitectură
archive	Arhiva
arctic	arctic
ardent	înflăcărat
ardor	ardoare
arduous	laborios
area	zonă
arena	arenă
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	Argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	argumenta
argument	argument
argumentation	argumentare
argumentative	argumentativ
arguments	argumente
arid	arid
arise	apărea
aristocracy	aristocraţie
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	aritmetic
ark	arcă
arm	braţ
armada	armada
armament	armament
armaments	armamente
armature	armătură
armchair	fotoliu
armed	armat
armor	armură
armored	blindat
armory	depozit de arme
armpit	subsuoară
arms	arme
army	armată
aroma	aromă
aromatherapy	aromaterapie
arousal	excitare
arouse	trezi
aroused	trezit
arraignment	trimitere în judecată
arrange	aranja
arranged	amenajat
arrangement	aranjament
array	mulțime
arrears	arieratelor
arrest	arestare
arrhythmia	aritmie
arrival	sosire
arrive	ajunge
arrogance	aroganţă
arrogant	arogant
arrow	săgeată
arsehole	nenorocit
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	incendiere
arsonist	incendiator
art	artă
arterial	arterial
artery	arteră
artful	viclean
arthritis	artrită
arthropod	artropod
artichoke	anghinare
article	articol
articles	articole
articulate	articulat
articulation	articulare
artifact	artefact
artifice	artificiu
artificial	artificial
artillery	artilerie
artisan	artizan
artist	artist
artiste	NO TRANSLATION
artistic	artistic
artistry	măiestrie
artists	artiști
artwork	opera de arta
arty	fam
asap	cât mai curând posibil
asbestos	azbest
ascend	urca
ascendancy	ascendent
ascendant	ascendent
ascending	ascendent
ascension	ascensiune
ascent	ascensiune
ascertain	constata
ascertained	stabilită
ascetic	ascet
ash	frasin
ashamed	ruşinat
ashes	cenusa
ashtray	scrumieră
asinine	asinine
ask	cere
asleeep	NO TRANSLATION
asleep	adormit
asp	viperă
asparagus	sparanghel
aspartame	aspartam
aspect	aspect
aspects	aspecte
aspen	plop tremurător
asphalt	asfalt
asphyxia	asfixie
asphyxiation	asfixiere
aspiration	aspiraţie
aspire	aspira
aspirin	acid acetilsalicilic
aspiring	aspirant
ass	cur
assail	asalta
assailant	atacator
assassin	asasin
assassinate	asasina
assassination	asasinat
assault	asalt
assay	test
assemblage	asamblare
assemble	asambla
assembled	asamblate
assembly	asamblare
assemblyman	Assemblyman
assent	consimțământ
assert	afirma
asserting	afirmând
assertion	afirmaţie
assertive	încrezut
assess	evalua
assessment	evaluare
assessor	evaluator
asset	activ
assets	bunuri
asshole	Idiotule
assign	atribui
assignee	cesionar
assignment	misiune
assimilate	asimila
assimilation	asimilare
assist	asista
assistance	asistenţă
assistant	asistent
associate	asociat
association	asociere
assorted	asortat
assortment	sortiment
assuage	domoli
assume	presupune
assumed	asumat
assuming	presupunând
assumption	presupunere
assurance	asigurare
assure	asigura
assured	asigurat
assuredly	cu siguranță
asterisk	asterisc
asteroid	asteroid
asteroids	asteroizi
asthma	astm
asthmatic	astmatic
astigmatism	astigmatism
astonish	minuna
astonished	uimit
astonishing	uimitor
astonishingly	NO TRANSLATION
astonishment	uimire
astound	epata
astral	astral
astray	greșit
astringent	astringent
astrologer	astrolog
astrology	astrologie
astronaut	astronaut
astronomer	astronom
astronomical	astronomic
astronomy	astronomie
astute	pătrunzător
asunder	răzleț
asylum	azil
asymmetric	asimetric
asymmetry	asimetrie
asymptotic	asimptotică
atelier	atelier
atheism	ateism
atheist	ateu
atheistic	ateu
atherosclerosis	ateroscleroza
athlete	atlet
athletic	atletic
athleticism	atletism
athletics	atletism
atlas	atlas
atmosphere	atmosfera
atmospheric	atmosferic
atoll	atol
atom	atom
atomic	atomic
atone	ispăşi
atonement	ispăşire
atpeace	in pace
atrium	atrium
atrocious	atroce
atrocity	atrocitate
atrophy	atrofie
attach	atașa
attached	atașat
attachment	atașament
attack	atac
attacker	atacator
attacking	atacare
attain	atinge
attainable	accesibil
attainment	realizare
attempt	atentat, încercare
attempted	a încercat să
attend	a se prezenta, frecventa
attendance	prezență
attendant	însoţitor
attention	Atenţie
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	atent
attenuate	atenua
attenuated	atenuat
attenuation	atenuare
attest	atesta
attestation	atestare
attic	pod
attire	ținută
attitude	atitudine
attorney	avocat
attract	a atrage
attraction	atracţie
attractive	atractiv
attractiveness	atracție
attributable	care pot fi atribuite
attribute	atribut
attribution	atribuire
attrition	uzură
auburn	castaniu
auction	licitaţie
auctioneer	licitant
audacious	îndrăzneţ
audacity	îndrăzneală
audible	perceptibil
audience	public
audio	audio
audit	audit
audition	audiție
auditions	auditii
auditor	auditor
auditorium	auditoriu
auditory	auditoriu
aught	ceva
augment	mări
augmentation	augmentare
august	August
aunt	mătuşă
auntie	tanti
aura	aură
aurora	auroră
auspices	auspicii
auspicious	de bun augur
austere	auster
austerity	austeritate
authentic	autentic
authenticate	autentifica
authentication	autentificare
authenticity	autenticitate
author	autor
authoritative	autoritar
authority	autoritate
authorization	autorizare
authorize	autoriza
authorized	autorizat
authorship	paternitate
autism	autismul
autistic	autist
auto	auto
autobiographical	autobiografică
autobiography	autobiografie
autocorrect	AutoCorectare
autocratic	autocratic
autograph	autograf
autographed	autographed
automated	Automated
automatic	automat
automobile	auto
automotive	auto
autonomy	autonomie
autopilot	pilot automat
autopsy	autopsie
autumn	toamnă
auxiliary	auxiliar
avail	folos
availability	disponibilitate
available	disponibil
avalanche	avalanşă
avarice	avariție
avatar	Avatar
avenge	răzbuna
avenger	răzbunător
avenging	răzbunării
avenue	bulevard
aver	NO TRANSLATION
average	in medie
aversation	NO TRANSLATION
averse	potrivnic
averseness	împotrivire
aversion	aversiune
avert	preveni
aviary	crescătorie de păsări
aviation	aviaţie
aviator	aviator
avid	avid
avocado	avocado
avoid	evita
avoidance	evitare
avoiding	evitând
await	aștepta
awake	treaz
awaken	a trezi
awakening	trezire
award	adjudecare
awards	premii
aware	conștient
awareness	conștientizare
awe	NO TRANSLATION
awed	awed
awesome	minunat
awesomeness	awesomeness
awestruck	copleşit
awful	îngrozitor
awkward	incomod
awkwardness	stângăcie
awning	marchiză
awry	într-o parte
axe	topor
axial	axial
axiom	axiomă
axiomatic	axiomatic
axis	axă
axle	osie
ay	Ay
aye	Aye
azimuth	azimut
azure	azur
babble	trăncăneală
babbling	murmur
babe	prunc
baboon	babuin
baby	bebelus
babysit	dădacă
babysitter	baby-sitter
baccalaureate	bacalaureat
baccarat	baccarat
bachelor	burlac
bachelorette	burlacelor
back	înapoi
backboard	Suportul de spate
backbone	șira spinării
backdoor	ușa din spate
backdrop	fundal
backer	secundant
backfire	intoarce impotriva
backgammon	joc de table
background	fundal
backhand	rever
backhoe	buldoexcavatoare
backoff	retrage-te
backpack	rucsac
backpacker	backpacker
backroom	camera din spate
backseat	locul din spate
backside	Reversul
backtrack	backtrack
backup	copie de rezervă
backward	înapoi
backwardness	înapoiere
backwards	înapoi
backwater	gârlă
backwoods	regiune înapoiată
backyard	curte
bacon	slănină
bacteria	bacterii
bacterial	bacteriene
bacterium	bacterie
bad	rău
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	insignă
badger	bursuc
badhabit	NO TRANSLATION
badly	prost
badness	proastă calitate
baffle	zadarnici
baffled	uimit
bag	sac
bagel	covrigului
baggage	Bagaj
baggie	baggie
baggy	umflat
bagman	comis-voiajor
bagpipes	cimpoi
bail	cauţiune
bailiff	vechil
bait	momeală
bake	coace
bakery	brutărie
baking	coacere
bal	NO TRANSLATION
balance	echilibru
balanced	echilibrat
balcony	balcon
bald	chel
balding	chelire
baldy	baldy
bale	balot
balk	răzor
ball	minge
ballad	baladă
ballast	balast
ballerina	balerină
ballet	balet
ballgame	ballgame
ballistic	balistic
ballistics	balistică
balloon	balon
ballot	vot
ballpark	ballpark
ballplayer	ballplayer
ballpoint	pix
ballroom	sală de dans
ballsy	ballsy
balm	balsam
balmy	tămăduitor
balsam	balsam
balsamic	balsamic
bam	bam
bamboo	bambus
ban	NO TRANSLATION
banana	banană
band	grup
bandage	bandaj
bandanna	NO TRANSLATION
bandit	bandit
bandstand	chioşc
bandwagon	bandwagon
bandwidth	lățime de bandă
bane	nenorocire
bang	bubuitură
banger	Banger
banish	alunga
banished	alungat
banishment	exilare
banister	balustradă
banjo	banjo
bank	bancă
banker	bancher
banking	bancar
bankroll	bankroll
bankrupt	falimentar
bankruptcy	faliment
banner	stindard
banquet	banchet
banshee	Banshee
banter	bătaie de joc
banzai	NO TRANSLATION
baptism	botez
baptismal	botez
baptize	boteza
bar	bar
barb	Barb
barbarian	barbar
barbaric	barbar
barbarism	barbarie
barbecue	gratar
barbed	ghimpat
barber	frizer
barbershop	frizerie
barbie doll	păpușă Barbie
bard	bard
bare	neizolat
bareback	fără să
barefoot	desculț
barely	de abia
barf	Barf
bargain	afacere
bargaining	negociere
barge	şlep
baritone	bariton
barium	bariu
bark	latra
barkeep	Barman
barks	latră
barley	orz
barmaid	chelneriță
barman	barman
barn	hambar
barnacle	Lipitoare
barney	barney
barnyard	barnyard
barometer	barometru
baron	baron
baroness	baroneasă
baroque	stil baroc
barrack	baracă
barracuda	Barracuda
barrage	baraj
barred	barat
barrel	butoi
barren	sterp
barricade	baricadă
barrier	barieră
barring	cu excepția
barrister	avocat
barroom	barroom
barrow	roabă
bartender	barman
barter	troc
base	baza
baseball	baseball
baseball bat	bâtă de baseball
baseboard	plinta
baseless	fără bază
baseline	de bază
baseman	baseman
basement	subsol
bases	baze
bash	bash
bashful	timid
basic	de bază
basics	Elementele de bază
basil	busuioc
basilica	bazilică
basin	bazin
basis	bază
bask	se încălzi
basket	coş
basketball	baschet
bass	bas
bass guitar	chitară bas
basso	NO TRANSLATION
bassoon	fagot
bastard	Bastard
bastarding	bastarding
bastards	bastarzi
bastion	bastion
bat	băţ
batch	lot
batching	dozare
bate	NO TRANSLATION
bath	baie
bathe	scălda
bathhouse	casa de baie
bathing	baie
bathrobe	halat de baie
bathroom	baie
bathtub	cadă
bathymetry	batimetrie
baton	baston
battalion	batalion
batter	aluat
battered	ponosita
battering	battering
battery	baterie
battle	luptă
battled	luptat
battlefield	câmp de luptă
battleground	câmp de luptă
battlements	creneluri
battleship	vas de război
batty	șui
bauble	fleac
bawdy	indecență
bawl	zbiera
bay	dafin
bayonet	baionetă
bayou	bayou
bazaar	bazar
bazooka	bazooka
bday	bday
be	fi
beach	plajă
beaches	plaje
beacon	far
bead	şirag de mărgele
beading	ciubuc
beads	margele
beady	rourat
beagle	câine de vânătoare
beak	cioc
beaker	cupă
beam	grindă
beaming	radios
bean	fasole
beanbag	beanbag
beanie	Beanie
bear	urs
bearable	suportabil
beard	barbă
bearded	bărbos
bearer	purtător
bearing	ținând
bearings	rulmenți
bearish	de urs
bearskin	piele de urs
beast	fiară
beastly	câinesc
beat	bate
beaten	bătut
beater	bătător
beating	bătaie
beatnik	Beatnik
beau	curtezan
beautification	înfrumuseţare
beautiful	frumoasa
beautify	înfrumuseţa
beauty	frumuseţe
beaver	castor
bebop	Bebop
beck	pârâu de munte
beckon	face semn
become	deveni
bed	pat
bedding	așternut
bedpan	plosca
bedrock	roca de bază
bedroom	dormitor
