Word	lb
admin	Administrateur
administer	verwalten
administration	Administratioun
administrative	administrativ
administrator	Administrateur
admirable	begeeschtert
admiral	Admiral
admiralty	Admiralitéit hunn
admiration	Bewonnerung
admire	bewonnere
admired	bewonnert ginn
admirer	Bewonnerer
admiring	bewonnert
admissibility	admissibilitéit
admissible	zougänglech ass
admission	Entreeung
admit	zouginn
admittance	admittance
admitted	zouginn
admitting	zougoen
admixture	ginn
admonition	Erweiderung
ado	geroden
adobe	Adobe
adolescence	Jugendlecher
adolescent	Jugendlecher
adopt	ugeholl
adoption	Adoptiounsrecht
adoptive	adoptéiert
adorable	séiss
adoration	adore
adore	ugebuede ginn
adoring	ginn
adorn	schmaachen
adornment	opmierksam
adrenalin	Adrenalin
adrenaline	Adrenalin
adrift	ofgëtt
adult	Erwuessenen
adulterated	regléiert sinn
adulterer	Erwuessenen
adultery	Eeghel
adulthood	mateneebestueten
advance	Viraus
advanced	fortgeschratt
advancement	Fortschrëtt
advancing	forcéiere geet
advantage	Virdeel
advantageous	avantagéis
advent	kommen
adventure	Abenteuer
adventurer	Abenteuer
adventures	Erliefnisser
adventurous	Abenteuer
adversary	Géigner
adverse	ongewollt
adversity	begeeschtert
advertise	Reklammen
advertisement	Annonce
advertising	Reklammen
adverts	Annoncen
advice	Rot
advisable	unzeroden
advise	beroden
advised	beroden
advisement	Berodung
adviser	Beroder
advisor	Beroder
advisory	beroden
advocacy	dofir plädéiert
advocate	plädéieren
aegis	Aegis
aeration	Resident Evil
aerial	Loftopwand
aerobics	Aerobic
aerodrome	aerodrom
aerodynamic	aerodynamesch
aerodynamics	aerodynamesch Wierkung
aeronautics	Loft- a Raumfahrt
aeroplane	Flieger
aerospace	aerospace
aesthetic	ästhetesch
aesthetics	Ästhetik hunn
aetiology	der Aetiologie
afar	wäit ewech
affable	affirméierbar
affair	Affär
affect	beaflossen
affecting	beaflosst
affection	Affer
affectionate	Affektioun
affections	Affekot
affiche	NO TRANSLATION
affidavit	Affidavit
affiliated	verbonne ginn
affiliation	gehéiert
affinity	Affinitéit
affirm	behaapt
affirmation	bestätegt
affirmative	bejausse wäert
affirmatively	affirmativ
affix	Affix
afflict	betrëfft
afflicted	beklot
affliction	Affer
affluence	Iwwerfloss
affluent	beandrockt
afford	erlaaben
affordable	bezuelen
affront	Affront
affronted	betrëfft
afield	afginn
afire	afire
afloat	ophalen
afore	uewen
aforementioned	sougenannten
aforesaid	uewendriwwer
afraid	Angscht ze hunn
afresh	afréieren
african	afrikanesch
aft	Aflt
afterlife	Afterlife
aftermath	nozekommen
afternoon	Mëtteg
aftershave	Afterhave
aftertaste	eng Kéier
afterthought	nogekuckt
aga	NO TRANSLATION
agape	agape
agate	agate
age	Alter
aged	al sinn
agency	Agence
agenda	agenda sinn
agent	Agent ass
agglomeration	Agglomeratioun
aggravate	erkréien
aggravated	ergänzt
aggravates	schloen
aggravating	erofsetzen
aggravation	Agressioun
aggregate	aggregéiert sinn
aggregation	Aggregatioun
aggresive	NO TRANSLATION
aggression	Agressioun
aggressive	aggressiv sinn
aggressively	aggressiv
aggressiveness	Aggressivitéit
aggressor	Agressor
agh	Agh
aghast	aghast
aghhh	NO TRANSLATION
agile	agéieren
agility	ageleet
aging	Alterung
agitate	agitt
agitated	opgerëchtert
agitation	agitation
aglow	aglow
agnostic	Agnostiker
ago	viru laanger Zäit
agonizing	verseegt
agony	agelueden
agoraphobia	Agoraphobie
agree	averstane sinn
agreeable	agreabel
agreed	vereinbar
agreeing	acceptéieren
agreement	eens
agressive	NO TRANSLATION
agricultural	der Landwirtschaft
agriculture	Landwirtschaft
aground	e Land
agua	NO TRANSLATION
ahead	virun
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	Hëllef
aide	bezeechent
aiding	Begrëff
aids	Aids
ail	gelidden
ailing	a belästegt
ailment	Krankheet
aim	Ziel
aimless	onméiglech
air	Loft
airbag	Airbag
airborne	verdeelt ginn
aircraft	Fliger
aircraft carrier	Fliger
airfield	Fluchfeld
airhead	Airhead
airlift	Airlift
airline	Airline
airliner	Airliner
airlock	ofgesprengt
airman	Airman
airplane	Flieger
airport	Fluchhafen
airs	Loft
airship	Ländeburg
airspace	Loftraum
airspeed	Fluggäscht
airstrip	Stiermer
airtight	luch
airway	Bunnen
aisle	erhuewen
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	ähnlech
alabaster	Alabaster
alarm	Alarm
alarm clock	Wecker
alarmed	alarméiert sinn
alarming	alarméierend sinn
alas	leider
alb	NO TRANSLATION
albatross	Albatross
albino	albino
album	Album
alchemy	Alchimie baséiert
alcohol	Alkohol
alcoholic	alkoholesch
alcoholism	Alkoholismus
alcove	Alkohol
alderman	fréiere Chef
ale	NO TRANSLATION
alert	Alarm
alertness	Achtung
alerts	alarméiert
alfalfa	Alfalfa
algebra	Algebra
algebraic	Algebra
algorithm	Algorithmus
alias	Alias
alibi	alibi
alien	Alien
alienate	verginn
alienated	veronsachen
alienation	Ausland
alight	erop gaangen
align	alignéieren
aligned	ausgeriicht
alignment	ausgeriicht war
alike	gleich
alimentation	NO TRANSLATION
alimony	Alimon
aliquot	aliquot
alive	lieweg
alkali	Alkali
alkaloids	Alkaloiden
allay	Alliéierten
allegation	bezeechent
allege	ausgoen
alleged	behaapt huet
allegiance	begeeschtert
allegorical	allegoresch
allegory	allegoriell
allegro	allegro
allergic	allergesch sinn
allergy	Allergie
alleviate	reduzéiere kënnen
alleviation	Lénk
alley	Gaass gefaangen
alleyway	Gout
alliance	Allianz
allied	alliéierten
alligator	Alligator
allocate	ze identifizéieren
allocation	ze weisen
allot	ofgeschloss hunn
allotment	Allotment
allow	erlaabt
allowable	zulässlech
allowance	erlaabt
allowed	erlaabt
alloy	Legierung
allsmiles	NO TRANSLATION
allure	Allure
alluring	verzauberen
allusion	Allusioun
alluvial	alluvial
ally	Alliéierten
almanac	almanac
almighty	all Muecht
almond	Mandel
aloft	aloft
aloha	fréier
alone	eleng
alongside	niewteneen
aloof	ofgeschloss hunn
aloud	haart
alpha	Alpha
alphabet	Alphabet
alphabetical	alphabétësch
alpine	Alpen
alreadyyyyy	schonyyyy
altar	Altor
altar boy	Altorien
alter	änneren
alteration	änneren
altercation	ugeet
altered	geännert ginn
alternate	alternéieren
alternating	oofwiesselnd
alternative	Alternativ
altimeter	Héicht
altitude	Héicht
alto	alto
altogether	zesumme gesammelt
aluminum	Aluminium
alumnus	Alumnus
alveolar	Alveolar
alzheimers	NO TRANSLATION
amalgam	Amalgam
amalgamation	Ausbildung
amaretto	amaretto
amass	gemittlech
amateur	Amateur
amaze	iwwerrascht
amazed	verwonnert war
amazedness	NO TRANSLATION
amazement	verwonnert war
amazing	erstaunlech
amazingly	erstaunhaft
ambassador	Ambassadeur
amber	Amber
ambience	Ambiance
ambient	Ambiance
ambiguity	Zweiwel
ambiguous	net eendäiteg
ambit	Ambit
ambition	Ambitioun
ambitious	ambitiéis
ambivalent	Ambivalent
ambrosia	Ambrosia
ambulance	Ambulanz
ambush	ambushéiert
ameliorate	sech z'eliminéieren
amen	amen
amenable	amenable
amend	auszeginn
amendment	Ännerung
amends	z'ënnerstëtzen
amenity	Prêt
amethyst	Amethyst
amiable	agréablement
amicable	geléiwt
amid	amidéiert
amidst	amidest
amino	Amino
ammo	den Ammo
ammonia	Ammoniak
ammonium	Ammonium
ammunition	Munitioun
amnesia	Amnesia
amnesty	Amnestie
amorous	lëschteg
amorphous	amorph
amortization	Amortiséierung
amount	Betrag ass
amour	NO TRANSLATION
amp	amp amp
ampersand	Ampersand
amphetamines	Amphetaminen
amphibian	Amphibien
amphibious	Amphibien
amphitheater	Amphitheater
ample	genuch
amplification	Verstäerkung
amplify	ze verstäerken
amplitude	Amplitude
amply	léif
amputate	amputéiert
amputation	Amputatioun
amuck	amuck
amulet	Amulett
amuse	ameséieren
amused	gelongen sinn
amusement	Amusement
amusing	lëschteg
ana	NO TRANSLATION
anaconda	Anakonda
anaesthesia	Anästhesie
anaesthetic	Anästhesie
anagram	Anagram
anal	anal
analgesic	Analgetik
analogous	analog
analogue	Analog
analogy	Analogie
analysis	Analyse
analyst	Analyst
analytic	analytesch ass
analytical	analytesch ass
analyze	analyséieren
analyzer	Analysator
anaphylactic	eng anaphylaktesch
anarchism	Anarchismus
anarchist	Anarchist
anarchy	Anarchie
anastomosis	Anastomose
anathema	Anathema
anatomic	Anatomien
anatomy	Anatomie
ancestor	Vorfahren
ancestral	un der Mamm
ancestry	Ahnung
anchor	Anker
anchorage	Hafen
ancient	al
ancillary	erginn
androgen	Androgen
android	Android
anecdote	Anekdot
anemia	Anämie
anemic	anemesch
anemone	anemonen
anesthesia	Anästhesie
anesthesiologist	Anästhesiologe
anesthetic	Anästhesie
aneurysm	Joerewäert
anew	opgewuess ass
angel	Engel
angelic	Engeleng
anger	rosen
angered	Nereeen
angermanagement	NO TRANSLATION
angina	Angina
angiogram	Angiogramm
angiography	Angiographie
angle	Wénkel
angling	Angscht
angora	Angora
angriest	Angscht
angry	rosen
angrytweet	NO TRANSLATION
angst	Angst
anguish	Neie
anguished	bedrunn
angular	Wénkelofgläich
anhydrous	Biesa
animal	Déier
animate	animéieren
animated	animéiert
animation	Animatioun
animosity	Animositéit
animus	animus
ankle	hin
anklet	anklet
annals	Annalen
annex	Annex
annexation	Annexioun
annexe	NO TRANSLATION
annihilate	vernannt ginn
annihilated	annulléiert ginn
annihilation	annihiléiert
anniversary	Joresdag
annotate	annotéieren
annotation	Annotation
announce	verkënnegen
announcement	Ukënnegung
announcer	Erklärbär
annoy	ze rächen
annoyance	Nervositéit
annoyed	veruersaacht
annoyin	NO TRANSLATION
annoying	roueg
annoys	houfreg
annual	jäerlech
annuity	Renten
annul	annuléieren
annular	annuléiert
annulment	annuléieren
annulus	Annulus
anointed	geheescht
anointing	Déierewelt
anomalous	anormal
anomaly	anomalie
anon	anon
anonymity	Anonymitéit
anonymous	anonym sinn
anorexic	Néierlag
answer	Äntwert
answerable	beäntwert
answering	beäntweren
ant	ant
antagonism	Antagonismus
antagonist	Antagonist
antagonistic	antagonistesch
antagonize	beweegen
ante	NO TRANSLATION
antecedent	duerf begeeschtert sinn
antelope	Antilop
antenna	Antenne
anterior	anterior
anthem	Hymn
anthill	anthill
anthology	Anthologie
anthrax	Anthrax
anthropological	anthropologesch
anthropologist	Anthropologen
anthropology	Anthropologie
anti	Anti
antiaircraft	Antillen
antibiotic	Antibiotike
antibiotics	Antibiotiken
antichrist	Antichrist
anticipate	virbereeden
anticipation	Erwaardung
anticipatory	oppassen
antics	Antiker
antidote	antidot
antifungal	antifungéiert
antigravity	Antigravitéit
antimony	antimony
antipathy	Antipathie
antiquarian	Antiquar
antiquated	Altertum
antique	Antiquitéiten
antiques	Antikitéiten
antiquity	Antiquitéit
antiseptic	antiseptesch sinn
antisocial	antisozial sinn
antithesis	Antithese fonnt
antithetical	Antithetik
antiviral	antiviral sinn
antler	Friem
antsy	antsy
anus	anus
anvil	Ambulanz
anxiety	Angscht maachen
anxietyattack	NO TRANSLATION
anxious	ängschtlech
anxiousness	Angschtgefiller
anytime	all Abonnéiert
aorta	aorta
aortic	Aart a Weis
apace	amgaang
apache	Apache
apartment	Wunneng
apartments	Wunnenge sinn
apathetic	Apathie
apathy	Apathie
ape	Affekot
aperture	Apertur
apex	Schwaarzt
aphid	Aphid
aphrodisiac	Aphrodisiak
apiece	e Stéck
aplomb	Aan ass
apocalypse	Apokalypse
apocalyptic	Apokalyptik
apologetic	Apologesch
apologist	Apologist
apologize	entschëllegen
apology	entschëllegt
apostasy	apostaz
apostate	zéien
apostle	Apostel
apostolic	apostolesch ass
apostrophe	Apostrophe
apothecary	Apotheke kaaft
appalled	iwwerrascht
appalling	erschreckend
apparatus	Apparater
apparel	Apparel
apparent	offensichtlech sinn
apparently	scheinbar
apparition	Ursaach
appeal	Appel
appear	erschéngen
appearance	ze gesinn
appease	erstaunt
appellant	Appellant
append	unzeginn
appendage	Appendage
appendectomy	Appendektomie
appendicitis	Appendizis
appendix	App
appetite	Appetit
appetizer	Appetit
appetizing	appetitlech
applaud	applaudéiert
applause	gefeiert
apple	Äppel
apple juice	Äppel Jus
applejack	applejack
applesauce	Äppel
appliance	Apparat
appliances	Apparater
applicability	uwendbar
applicable	zoutrëfft
applicant	Bewerber
application	Applikatioun
apply	zoutrëfft
appoint	ernimmen
appointment	vous
appointments	Rendezvous
apportion	Verzweiflung
apportionment	Verzweiflung
appraisal	Appraisal
appraise	bestëmmen
appreciable	erkennbar sinn
appreciate	schätzen
appreciated	appréciéiert
appreciates	schätzt
appreciation	eng Valorisatioun
appreciative	appreciéiert
apprehend	festhalen
apprehension	Gefiller
apprehensive	gehal
apprentice	Léierbouf
apprenticeship	Auszuch
approach	virugoen
approaching	kommen
approbate	NO TRANSLATION
approbation	Erlaabnis
appropriate	entspriechend
appropriation	Zoustännegkeeten
approval	Accord
approve	approuvéieren
approved	guttgeheescht huet
approvement	approvement
approving	Genehmegung
approximate	ongeféier
approximately	ongeféier uginn
approximating	approximativ sinn
approximation	approximativ
appurtenances	Appetitele sinn
apricot	Aprikos
apron	Schirtech
apt	apt
aptitude	Aptitude
aqua	Aqua
aquamarine	Aquamarine
aquarium	Aquarium
aquatic	aquatesch
aqueduct	Aquädukt
aqueous	wässer
arable	Akrack
arbiter	arbiter
arbitrary	arbiträich sinn
arbitrate	Arbitrage maachen
arbitration	Schiedsgeriicht
arbitrator	Schiedsrichter
arbor	Äerdbunn
arc	Baaschtesbunn
arcade	Arkad
arcane	Arkaden
arch	Bësch
archaeological	archeologesch
archaeologist	Archäolog
archaeology	Archeologie
archaic	archaesch
archangel	Äerzengel
archbishop	Äerzbëschof
archdiocese	der Erzdiözes
archduke	Erënnerung
arched	gewierscht
archer	Archer
archery	Bësch
archetype	Archetyp
archipelago	Archipel
architect	Architekt
architectural	Architektur
architecture	Architektur
archive	Archiv
arctic	Arktis
ardent	ardent
ardor	stolz
arduous	haart genuch
area	Beräich
arena	Stadion
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	streiden
argument	Argument
argumentation	Argumentatioun
argumentative	argumentativ
arguments	Argumenter
arid	ariden
arise	stellen
aristocracy	Adel
aristocrat	Aristokraten
aristocratic	aristokratesch
arithmetic	Arithmetik
ark	Ark
arm	Aarm
armada	Armada
armament	Bewaffnung
armaments	Rüstung
armature	Armatur
armchair	Fotell leeën
armed	bewaffnet
armor	Rüstung
armored	agezunn ginn
armory	Rüstung
armpit	Akommes
arms	Waffen
army	Arméi
aroma	Aroma
aromatherapy	Aromatherapie
arousal	Erréedung
arouse	erwäche wäert
aroused	opgekuckt
arraignment	Uweisung
arrange	plangen
arranged	arrangéiert sinn
arrangement	Arrangement
array	Array
arrears	d`Rate weider
arrest	verhaft
arrhythmia	Arrhythmie
arrival	kommen
arrive	kommen
arrogance	Arroganz
arrogant	arrogant
arrow	Pfeil
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	Arsen
arson	Brand
arsonist	arsonistesch
art	Konscht
arterial	arteriell
artery	verstoppen
artful	kënschtlech sinn
arthritis	Arthritis
arthropod	arthropod
artichoke	artichokes
article	Artikel
articles	Artikelen
articulate	ze artikuléieren
articulation	Artikulatioun
artifact	Artifact
artifice	Artifice
artificial	kënschtlesch
artillery	Artillerie
artisan	Handwierk
artist	Kënschtler
artiste	NO TRANSLATION
artistic	kënschtleresch
artistry	Konscht
artists	Kënschtler
artwork	Artwork
arty	arty
asap	asap
asbestos	Asbest
ascend	eropklammen
ascendancy	opstoen
ascendant	aszent
ascending	opsteigend
ascension	Rektaszensioun
ascent	erop
ascertain	erauszefannen
ascertained	festgehale goufen
ascetic	Aeschen
ash	Äschen
ashamed	geschummt hunn
ashes	Äschen
ashtray	Cajet ass
asinine	Asinesch
ask	froen
asleeep	NO TRANSLATION
asleep	schléift
asp	asp
asparagus	Spargelen
aspartame	Aspartam
aspect	Aspekt
aspects	Aspekter
aspen	aspen
asphalt	Asphalt
asphyxia	Asphyxie
asphyxiation	Aphyxie
aspiration	Aspiratioun
aspire	ophalen
aspirin	Aspirin
aspiring	sou striewe
ass	ass ass
assail	beliwwert
assailant	ze iwwerloossen
assassin	Erwuessenen
assassinate	Ermuerdung fonnt
assassination	Ermuerdung
assault	Schued
assay	Tester
assemblage	Assemblée
assemble	versammelen
assembled	versammelt
assembly	Versammlung
assemblyman	Assemblée
assent	geleet
assert	behaapten
asserting	behaapten
assertion	Behaaptung
assertive	Affirmatioun
assess	bewäerten
assessment	Bewäertung
assessor	Assessor
asset	Virdeel
assets	Verméigen
asshole	gelauschtert
assign	ze ginn
assignee	vertruede sinn
assignment	uginn
assimilate	Asimilat
assimilation	Asimilatioun
assist	ze hëllefen
assistance	Hëllef
assistant	Assistent
associate	Associé
association	Associatioun
assorted	asortéiert
assortment	Sortiment
assuage	gehuewen
assume	unzehuelen
assumed	iwwerholl
assuming	huelen
assumption	Hoffnung
assurance	assurance
assure	versécheren
assured	verséchert
assuredly	gesuergt
asterisk	Stäerchen
asteroid	Asteroid
asteroids	Asteroiden
asthma	Asthma
asthmatic	asthm
astigmatism	Astigmatismus
astonish	erstaunen
astonished	iwwerrascht
astonishing	erstaunlecherweis
astonishingly	NO TRANSLATION
astonishment	verwonnert
astound	erstaunt
astral	astral
astray	verréckt
astringent	Trikot
astrologer	Astrolog ginn
astrology	Astrologie
astronaut	Astronaut
astronomer	Astronom
astronomical	astronomesch
astronomy	Astronomie
astute	austoben
asunder	ofgebaut
asylum	Asyl
asymmetric	asymmetresch
asymmetry	Asymmetrie
asymptotic	asymptotesch
atelier	Atelier
atheism	Atheismus
atheist	Atheismus
atheistic	atheistescher
atherosclerosis	Atherosklerosis
athlete	Sportler
athletic	sportlech
athleticism	athletesch
athletics	athletics
atlas	Atlas
atmosphere	Atmosphär
atmospheric	Atmosphär
atoll	Atoll
atom	Atom ass
atomic	atomarer
atone	eriwwer
atonement	Verdingung
atpeace	erreechen
atrium	Atrium
atrocious	grausam sinn
atrocity	Grausamkeet
atrophy	Atrophie
attach	befestegt
attached	verbonnen ass
attachment	Uschloss
attack	attackéiert
attacker	Angschtakt gëtt
attacking	ugräifen
attain	erreechen
attainable	erreeche kënnen
attainment	erreechen
attempt	Versuch
attempted	versicht
attend	ze besichen
attendance	ze ginn
attendant	Begleetpersoun
attention	oppassen
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	opmierksam
attenuate	z'entwéckelen
attenuated	ofgeschwächt
attenuation	Dämpfung
attest	ze besoin
attestation	Qualifikatioun
attic	Attika
attire	Vue
attitude	Haltung
attorney	Affekot
attract	unzezéien
attraction	Attraktioun
attractive	attraktiv
attractiveness	Attraktivitéit
attributable	ze zielen
attribute	Attribut
attribution	Attributioun
attrition	ze erreechen
auburn	Auburn
auction	Auktioun
auctioneer	Auktiounshais
audacious	Hauch
audacity	Aptitude
audible	hörbar ass
audience	Publikum
audio	Audio
audit	Audit
audition	Auditioun
auditions	Auditiounen
auditor	Audit
auditorium	Auditium
auditory	héieren
aught	stierwen
augment	Augmentatioun
augmentation	Vergréisserung
august	August
aunt	Tatta
auntie	grousser Tangramine
aura	Aura maachen
aurora	Aurora
auspices	Éducatrice
auspicious	verspriechen
austere	äifreg
austerity	Spuermoossnamen
authentic	authentesch ass
authenticate	authentifizéieren
authentication	Authentifikatioun
authenticity	Authentizitéit
author	Auteur
authoritative	autoritär
authority	Autoritéit
authorization	Autorisatioun
authorize	autoriséiert
authorized	autoriséiert
authorship	Autorerechter
autism	Autismus
autistic	autistesch
auto	Auto
autobiographical	autobiographesche Sënn
autobiography	Autobiographie
autocorrect	autoriséiert
autocratic	autokratesch
autograph	Autogramm
autographed	autographéiert
automated	automatesch
automatic	automatesch
automobile	Auto
automotive	Automotive
autonomy	Autonomie
autopilot	Autopilot
autopsy	Autopsie
autumn	Hierscht
auxiliary	auxiliary
avail	eraginn
availability	Disponibilitéit
available	disponibel sinn
avalanche	Lawine
avarice	zevill
avatar	avatar maachen
avenge	Affront
avenger	de Renger
avenging	Avenges
avenue	Avenue
aver	NO TRANSLATION
average	Duerchschnëtt
aversation	NO TRANSLATION
averse	Aklang
averseness	Asteroid
aversion	Aversioun
avert	avert
aviary	Affekot
aviation	Loftfaart hunn
aviator	Vatter
avid	grouss ass
avocado	Avocado
avoid	vermeit
avoidance	vermeit
avoiding	ze vermeiden
await	waarden
awake	erwächt
awaken	erwecht
awakening	erwecht
award	Präis
awards	Auszeechnunge kritt
aware	bewosst
awareness	ze sensibiliséieren
awe	NO TRANSLATION
awed	ernimmt
awesome	fantastesch
awesomeness	Awesomeness
awestruck	awestruck
awful	schrecklech
awkward	schweier
awkwardness	Ongewéinlechkeet
awning	de Série
awry	verréckt
axe	Axt
axial	axial
axiom	Axiom
axiomatic	axiomatesch
axis	Achs
axle	Axe
ay	ay
aye	gitt
azimuth	Azimut
azure	blo
babble	verdeelt
babbling	versuergen
babe	Babe
baboon	Baboon
baby	Puppelchen
babysit	Babysit
babysitter	Babysitter
baccalaureate	Baccalaureat
baccarat	Baccarat
bachelor	Bachelor
bachelorette	Bachelorette
back	zréck
backboard	Backbord
backbone	Réckrad
backdoor	Hannerdier
backdrop	Vulkan
backer	Backer
backfire	Backfire
backgammon	Backgammon
background	Hannergrond
backhand	Backhand
backhoe	Bagger
backoff	Backoff
backpack	Rucksack
backpacker	Backpacker
backroom	Backroom
backseat	zeréckzezéien
backside	Hënner
backtrack	Backtrack
backup	Backup
backward	zréck
backwardness	Erofgänzung
backwards	rëm
backwater	Reschter Waasser
backwoods	Bëscher
backyard	Gaart
bacon	Speck
bacteria	Bakterien
bacterial	bakteriell
bacterium	Bakterium
bad	schlecht ass
badass	Badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	Badge
badger	badger
badhabit	NO TRANSLATION
badly	schlecht
badness	schlecht
baffle	Aarmutsgrenz
baffled	britesch
bag	Sak
bagel	Bagel
baggage	Gepäckdréier
baggie	ugestrach
baggy	Rees
bagman	Tackman
bagpipes	Déierpapp
bail	bail
bailiff	Geriichtsvollzéier
bait	Kaddoen
bake	Bak
bakery	Bäckerei
baking	Bakbueren
bal	NO TRANSLATION
balance	Gläichgewiicht
balanced	ausgeglach
balcony	Balkon
bald	käscht
balding	beleimt
baldy	baldy
bale	Ballkënnt
balk	bleiwen
ball	de Ball
ballad	Ballad
ballast	Schotter
ballerina	Ballerina
ballet	Ballet
ballgame	de Ballkampf
ballistic	ballistic
