Word	be
admirable	выдатны
admiral	адмірал
admiralty	адміралцейства
admiration	пакланенне
admire	захапляцца
admired	паважаны
admirer	паклонніка
admiring	захоплены
admissibility	дапушчальнасць
admissible	дапушчальны
admission	уваход
admit	ўпусціць
admittance	ўпуск
admitted	прызнаў
admitting	які дапускае
admixture	прымешка
admonition	павучання
ado	мітусня
adobe	саман
adolescence	падлеткавы ўзрост
adolescent	падлетак
adopt	прыняць
adoption	прыняцце
adoptive	ўсыноўленае
adorable	любімы
adoration	абажанне
adore	обожать
adoring	той, хто шануе
adorn	упрыгожваць
adornment	ўпрыгожванне
adrenalin	адрэналін
adrenaline	адрэналін
adrift	дрэйфаваць
adult	для дарослых
adulterated	фальсіфікаваны
adulterer	пералюбнік
adultery	пералюб
adulthood	паўналецце
advance	прасоўванне
advanced	перадавой
advancement	прасоўванне
advancing	апярэджання
advantage	перавага
advantageous	выгадны
advent	прыход
adventure	прыгода
adventurer	авантурыст
adventures	прыгоды
adventurous	прадпрымальны
adversary	спаборны
adverse	неспрыяльны
adversity	пошасці
advertise	рэкламаваць
advertisement	рэклама
advertising	рэклама
adverts	аб'явы
advice	савет
advisable	рэкамендуемы
advise	раіць
advised	рэкамендуецца
advisement	нарада суда перад вынясеннем рашэння
adviser	кансультант
advisor	кансультант
advisory	кансультатыўны
advocacy	прапаганда
advocate	адвакат
aegis	Эгіда
aeration	аэрацыя
aerial	антэна
aerobics	аэробіка
aerodrome	аэрадром
aerodynamic	аэрадынамічнае
aerodynamics	аэрадынаміка
aeronautics	паветраплаванне
aeroplane	самалёт
aerospace	авіяцыйна-касмічны
aesthetic	эстэтычны
aesthetics	эстэтыка
aetiology	этыялогія
afar	здалёку
affable	ветлы
affair	справу
affect	афект
affecting	які закранае
affection	каханне
affectionate	прыхілістая
affections	прыхільнасцяў
affiche	NO TRANSLATION
affidavit	аффидавит
affiliated	афіляваная
affiliation	далучэнне
affinity	сродство
affirm	сцвярджаць
affirmation	зацвярджэнне
affirmative	сцвярджальны
affirmatively	сцвярджальна
affix	афікс
afflict	трывожыць
afflicted	які пакутуе
affliction	хвароба
affluence	наплыў
affluent	паўнаводны
afford	прадастаўляць
affordable	даступны
affront	абразу
affronted	абражаны
afield	ў полі
afire	агонь
afloat	на плаву
afore	вышэй
aforementioned	вышэйзгаданы
aforesaid	вышэйзгаданы
afraid	баіцца
afresh	зноў
african	афрыканец
aft	кармавой
afterlife	замагільная жыццё
aftermath	атава
afternoon	пасля паўдня
aftershave	ласьён пасля галення
aftertaste	асадак
afterthought	роздум
aga	NO TRANSLATION
agape	разявіўшы рот
agate	агат
age	ўзрост
aged	састарэлы
agency	агенцтва
agenda	парадак дня
agent	агент
agglomeration	агламерацыя
aggravate	абвастраць
aggravated	узмоцнены
aggravates	пагаршае
aggravating	які пагоршыць
aggravation	пагаршэнне
aggregate	сукупны
aggregation	агрэгавання
aggresive	NO TRANSLATION
aggression	агрэсія
aggressive	агрэсіўны
aggressively	агрэсіўна
aggressiveness	агрэсіўнасць
aggressor	агрэсар
agh	АГ
aghast	ашаломлены
aghhh	NO TRANSLATION
agile	спрытны
agility	спрыт
aging	старэнне
agitate	агітаваць
agitated	усхваляваны
agitation	агітацыя
aglow	узбуджаны
agnostic	агностыку
ago	назад
agonizing	пакутлівы
agony	агонія
agoraphobia	агарафобіі
agree	згодныя
agreeable	прыемны
agreed	ўзгоднены
agreeing	згаджаючыся
agreement	пагадненне
agressive	NO TRANSLATION
agricultural	сельскагаспадарчае
agriculture	сельская гаспадарка
aground	на мялі
agua	NO TRANSLATION
ahead	наперадзе
ahhh	аааа
ahhhhhhhh	NO TRANSLATION
ahoy	на палубе
aid	дапамогу
aide	памочнік
aiding	дапамаганне
aids	дапаможныя сродкі
ail	Айыл
ailing	хворы
ailment	хвароба
aim	мэта
aimless	бязмэтны
air	паветра
airbag	паветраная падушка
airborne	бартавы
aircraft	самалёт
aircraft carrier	авіяносец
airfield	лётнае поле
airhead	дурачок
airlift	паветраныя перавозкі
airline	авіякампанія
airliner	пасажырскі самалёт
airlock	паветраная корак
airman	авіятар
airplane	самалёт
airport	аэрапорт
airs	арыі
airship	дырыжабль
airspace	паветраную прастору
airspeed	паветраная хуткасць
airstrip	узлётна-пасадачная паласа
airtight	паветранепранікальныя
airway	авіялінія
aisle	прыбудоўка
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ака
akin	падобны
alabaster	алебастр
alarm	сігнал трывогі
alarm clock	будзільнік
alarmed	устрывожаны
alarming	трывожны
alas	нажаль
alb	NO TRANSLATION
albatross	альбатрос
albino	альбінос
album	альбом
alchemy	алхімія
alcohol	алкаголь
alcoholic	алкаголік
alcoholism	алкагалізм
alcove	алькоў
alderman	старэйшына
ale	NO TRANSLATION
alert	пільны
alertness	насцярожанасць
alerts	абвесткі
alfalfa	люцэрна
algebra	алгебра
algebraic	алгебраічная
algorithm	алгарытм
alias	псеўданім
alibi	алібі
alien	іншаземец
alienate	адчужаць
alienated	адчужанай
alienation	адчужэнне
alight	запалены
align	выраўноўваць
aligned	выраўнаваны
alignment	выраўноўванне
alike	падобна
alimentation	NO TRANSLATION
alimony	аліменты
aliquot	аликвоты
alive	жывы
alkali	шчолач
alkaloids	алкалоіды
allay	змякчаць
allegation	зацвярджэнне
allege	сцвярджаць
alleged	ўяўны
allegiance	вернасць
allegorical	алегарычны
allegory	алегорыя
allegro	алегра
allergic	алергічны
allergy	алергія
alleviate	змякчаць
alleviation	палёгку
alley	алея
alleyway	завулак
alliance	саюз
allied	саюзны
alligator	алігатар
allocate	выдзяляць
allocation	размеркаванне
allot	адлічваць
allotment	вылучэнне
allow	дазваляць
allowable	дапушчальны
allowance	дапаможнік
allowed	дазволена
alloy	сплаў
allsmiles	NO TRANSLATION
allure	завабліваць
alluring	павабны
allusion	спасылка
alluvial	наноснае
ally	саюзнік
almanac	альманах
almighty	усемагутны
almond	міндальныя
aloft	наверх
aloha	алоха
alone	толькі
alongside	побач
aloof	адчужанай
aloud	ўслых
alpha	альфа
alphabet	алфавіт
alphabetical	літарны
alpine	высакагорны
alreadyyyyy	NO TRANSLATION
altar	алтар
altar boy	паслугач
alter	змяняць
alteration	пераробка
altercation	лаянка
altered	зменена
alternate	чаргаваць
alternating	пераменны
alternative	альтэрнатыва
altimeter	вышынямер
altitude	вышыня над узроўнем мора
alto	альт
altogether	ў цэлым
aluminum	алюміній
alumnus	выпускнік
alveolar	альвеалярны
alzheimers	NO TRANSLATION
amalgam	амальгама
amalgamation	ўзбуйненне
amaretto	амаретто
amass	збіраць
amateur	аматар
amaze	паражаць
amazed	уражаны
amazedness	amazedness
amazement	здзіўленне
amazing	дзіўны
amazingly	дзіўна
ambassador	пасол
amber	бурштынавы
ambience	атмасфера
ambient	навакольны
ambiguity	неадназначнасць
ambiguous	двухсэнсоўны
ambit	сфера
ambition	славалюбства
ambitious	славалюбівы
ambivalent	дваісты
ambrosia	амброзія
ambulance	хуткая дапамога
ambush	засада
ameliorate	паляпшаць
amen	амін
amenable	які паддаецца
amend	змяніць
amendment	папраўка
amends	пакрыццё
amenity	выгоды
amethyst	аметыст
amiable	шаноўны
amicable	дружны
amid	сярод
amidst	сярод
amino	амінакіс
ammo	боепрыпасы
ammonia	аміяк
ammonium	амоній
ammunition	боепрыпасаў
amnesia	Амнезія
amnesty	амніставаць
amorous	влюбчивый
amorphous	аморфны
amortization	амартызацыя
amount	сума
amour	NO TRANSLATION
amp	ампер
ampersand	амперсант
amphetamines	амфетаміны
amphibian	амфібія
amphibious	дэсантны
amphitheater	амфітэатр
ample	багаты
amplification	ўзмацненне
amplify	ўзмацняць
amplitude	амплітуда
amply	вялізна
amputate	ампутаваць
amputation	ампутацыя
amuck	накідвацца
amulet	кудмень
amuse	азадачваць
amused	задаволены
amusement	забаўка
amusing	пацешны
ana	NO TRANSLATION
anaconda	анаконда
anaesthesia	анестэзія
anaesthetic	анестэзуе
anagram	анаграмы
anal	анальны
analgesic	анальгетык
analogous	аналагічны
analogue	аналаг
analogy	аналогія
analysis	аналіз
analyst	аналітык
analytic	аналітычны
analytical	аналітычны
analyze	аналізаваць
analyzer	аналізатар
anaphylactic	анафілактіческій
anarchism	анархізм
anarchist	анархіст
anarchy	анархія
anastomosis	анастомоз
anathema	анатэма
anatomic	анатамічны
anatomy	анатомія
ancestor	продак
ancestral	спадчынны
ancestry	радавод
anchor	якар
anchorage	анкероўкі
ancient	старажытны
ancillary	дапаможны
androgen	андроген
android	АНДРОІД
anecdote	анекдот
anemia	анемія
anemic	малокраўным
anemone	анемон
anesthesia	анестэзія
anesthesiologist	анестэзіёлаг
anesthetic	анестэзуе
aneurysm	анеўрызма
anew	зноўку
angel	анёл
angelic	анёльскі
anger	гнеў
angered	раззлавала
angermanagement	NO TRANSLATION
angina	стэнакардыя
angiogram	ангиограмма
angiography	ангіяграфія
angle	кут
angling	ужен
angora	ангора
angriest	angriest
angry	гнеўны
angrytweet	NO TRANSLATION
angst	туга
anguish	пакута
anguished	які пакутуе
angular	кутняя
anhydrous	бязводны
animal	жывёла
animate	ажыўляць
animated	мультыплікацыйны
animation	анімацыя
animosity	злосць
animus	прадузятасць
ankle	шчыкалатка
anklet	нажной бранзалет
annals	аналы
annex	дадатак
annexation	анэксія
annexe	NO TRANSLATION
annihilate	аннигилировать
annihilated	знішчаны
annihilation	знішчэнне
anniversary	юбілей
annotate	анатаваны
annotation	анатаваньня
announce	анансаваць
announcement	аб'яву
announcer	дыктар
annoy	дапякаць
annoyance	прыкрасць
annoyed	раздражнёны
annoyin	NO TRANSLATION
annoying	раздражняльны
annoys	надакучае
annual	гадавы
annuity	ануітэт
annul	кассировать
annular	кальцавой
annulment	скасаванне
annulus	кальцо
anointed	памазанец
anointing	пашмараваўшы
anomalous	анамальны
anomaly	анамалія
anon	хутка
anonymity	ананімнасць
anonymous	ананімны
anorexic	які пакутуе адсутнасцю апетыту
answer	адказ
answerable	падсправаздачны
answering	аўтаадказчык
ant	мурашка
antagonism	антаганізм
antagonist	антаганіст
antagonistic	антаганістычных
antagonize	процідзейнічаць
ante	NO TRANSLATION
antecedent	папярэдняе
antelope	антылопа
antenna	антэна
anterior	пярэдні
anthem	гімн
anthill	мурашнік
anthology	анталогія
anthrax	сібірская язва
anthropological	антрапалагічны
anthropologist	антраполаг
anthropology	антрапалогія
anti	анты
antiaircraft	зенітны
antibiotic	антыбіётык
antibiotics	антыбіётыкі
antichrist	антыхрыст
anticipate	прадбачыць
anticipation	пачуццё таямніцы
anticipatory	датэрміновы
antics	грымасы
antidote	антыдот
antifungal	супрацьгрыбковы
antigravity	антыгравітацыі
antimony	сурма
antipathy	антыпатыя
antiquarian	антыквар
antiquated	састарэлы
antique	антычны
antiques	антыкварыят
antiquity	старажытнасць
antiseptic	антысептык
antisocial	антыграмадскі
antithesis	антытэза
antithetical	антитетический
antiviral	супрацьвірусны
antler	аленевы рог
antsy	шморганняў
anus	анус
anvil	кавадла
anxiety	трывожнасць
anxietyattack	NO TRANSLATION
anxious	заклапочаны
anxiousness	усхваляванасць
anytime	у любы час
aorta	аорта
aortic	аартальны
apace	хутка
apache	апаш
apartment	кватэра
apartments	апартаменты
apathetic	апатычным
apathy	апатыя
ape	паводзіць сябе як малпы
aperture	Апертура
apex	Апексу
aphid	тля
aphrodisiac	афрадызіяк
apiece	кавалак
aplomb	апломб
apocalypse	апакаліпсіс
apocalyptic	апакаліптычны
apologetic	апалагетычныя
apologist	апалагет
apologize	прасіць прабачэння
apology	апалогія
apostasy	адступніцтва
apostate	адступнік
apostle	апостал
apostolic	апостальскі
apostrophe	апостраф
apothecary	аптэкар
appalled	ўзрушаныя
appalling	жахлівы
apparatus	прылада
apparel	адзенне
apparent	ўяўны
apparently	па-відаць
apparition	прывід
appeal	зварот
appear	з'явіцца
appearance	знешні выгляд
appease	супакойваць
appellant	скаржнік
append	далучаць
appendage	прыдатак
appendectomy	аппендэктомия
appendicitis	апендыцыт
appendix	дадатак
appetite	апетыт
appetizer	закуска
appetizing	апетытны
applaud	пляскаць у далоні
applause	апладысменты
apple	яблык
apple juice	яблычны сок
applejack	яблычная гарэлка
applesauce	глупства
appliance	прыбор
appliances	тэхніка
applicability	дастасавальнасць
applicable	дастасавальныя
applicant	заяўнік
application	дадатак
apply	ўжываць
appoint	прызначаць
appointment	прызначэнне
appointments	прызначэння
apportion	размяркоўваць
apportionment	раскладка
appraisal	адзнака
appraise	ацэньваць
appreciable	прыкметны
appreciate	шанаваць
appreciated	ацанілі
appreciates	ацэньвае
appreciation	адзнака
appreciative	Удзячнасць
apprehend	прадчуваць
apprehension	асцярога
apprehensive	баіцца працаваць
apprentice	чаляднік
apprenticeship	вучнёўства
approach	падыход
approaching	набліжаецца
approbate	NO TRANSLATION
approbation	апрабацыя
appropriate	адпаведны
appropriation	прысваенне
approval	зацвярджэнне
approve	зацвердзіць
approved	зацверджаны
approvement	зацвярджэнне
approving	зацвярджэнне
approximate	набліжаны
approximately	прыкладна
approximating	апраксімуецца
approximation	набліжэнне
appurtenances	ўгоддзі
apricot	абрыкос
apron	фартух
apt	схільны
aptitude	дарэчнасць
aqua	вада
aquamarine	аквамарын
aquarium	акварыум
aquatic	водны
aqueduct	акведук
aqueous	водны
arable	ворны
arbiter	арбітр
arbitrary	адвольны
arbitrate	арбітражны
arbitration	арбітраж
arbitrator	арбітр
arbor	апраўка
arc	дуга
arcade	аркада
arcane	схаваны
arch	арка
archaeological	археалагічны
archaeologist	археолаг
archaeology	археалогія
archaic	архаічны
archangel	архангел
archbishop	арцыбіскуп
archdiocese	дыяцэзія арцыбіскупа
archduke	эрцгерцаг
arched	арачны
archer	лучнік
archery	стральба з лука
archetype	ўзор
archipelago	архіпелаг
architect	архітэктар
architectural	архітэктурны
architecture	архітэктура
archive	архіў
arctic	арктычнае
ardent	палкі
ardor	спёка
arduous	цяжкі
area	вобласць
arena	арэна
areola	Ареола
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	Argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	спрачацца
argument	аргумент
argumentation	аргументацыя
argumentative	аргументаваны
arguments	аргументы
arid	засушлівы
arise	узнікаць
aristocracy	арыстакратыя
aristocrat	арыстакрат
aristocratic	арыстакратычны
arithmetic	арыфметыка
ark	каўчэг
arm	рука
armada	армада
armament	ўзбраенне
armaments	ўзбраеньняў
armature	арматура
armchair	крэсла
armed	ўзброены
armor	браня
armored	браніраваны
armory	зброевы
armpit	падпахі
arms	зброю
army	армія
aroma	водар
aromatherapy	ароматэрапія
arousal	абуджэнне
arouse	абуджаць
aroused	выклікалі
arraignment	прад'яўленне абвінавачвання
arrange	арганізаваць
arranged	размешчаны
arrangement	размяшчэнне
array	масіў
arrears	запазычанасць
arrest	арыштоўваць
arrhythmia	арытмія
arrival	прыбыццё
arrive	прыбываць
arrogance	пыху
arrogant	пагардлівы
arrow	стрэлка
arsehole	задніца
arseholes	arseholes
arsenal	арсенал
arsenic	мыш'як
arson	падпал
arsonist	падпальшчык
art	мастацтва
arterial	артэрыяльны
artery	артэрыя
artful	спрытны
arthritis	артрыт
arthropod	членістаногія
artichoke	артышок
article	артыкул
articles	артыкулы
articulate	артыкуляваць
articulation	сучляненне
artifact	артэфакт
artifice	выдумка
artificial	штучны
artillery	артылерыя
artisan	рамеснік
artist	мастак
artiste	NO TRANSLATION
artistic	мастацкі
artistry	артыстычнасць
artists	мастакі
artwork	твор мастацтва
arty	з прэтэнзіяй на мастацкасць
asap	як мага хутчэй
asbestos	азбест
ascend	ўзыходзіць
ascendancy	дамінуючае ўплыў
ascendant	пануючы
ascending	узыходзячая
ascension	Ушэсце
ascent	ўзыходжанне
ascertain	вызначаць
ascertained	ўстаноўлена
ascetic	аскетычны
ash	ясень
ashamed	сорамна
ashes	попел
ashtray	попельніца
asinine	асліны
ask	спытаць
asleeep	NO TRANSLATION
asleep	спячы
asp	гадзюка
asparagus	спаржа
aspartame	аспартам
aspect	аспект
aspects	аспекты
aspen	асіна
asphalt	асфальт
asphyxia	асфіксія
asphyxiation	ўдушэнне
aspiration	імкненне
aspire	імкнуцца
aspirin	аспірын
aspiring	які імкнецца
ass	задніца
assail	нападаць
assailant	завадатай
assassin	забойца
assassinate	забіваць
assassination	забойства
assault	напад
assay	аналіз
assemblage	зборышча
assemble	збіраць
assembled	сабраны
assembly	зборка
assemblyman	член мясцовага заканадаўчага `органа
assent	воля
assert	сцвярджаць
asserting	сцвярджаючы
assertion	зацвярджэнне
assertive	сцвярджальны
assess	ацаніць
assessment	адзнака
assessor	асэсар
asset	актыў
assets	актывы
asshole	мудак
assign	прызначаць
assignee	правапераемнік
assignment	прызначэнне
assimilate	засвойваць
assimilation	засваенне
assist	дапамогу
assistance	дапамогу
assistant	памочнік
associate	асацыяваць
association	асацыяцыя
assorted	сартаваны
assortment	асартымент
assuage	супакойваць
assume	лічыць
assumed	Мяркуецца
assuming	пры ўмове,
assumption	здагадка
assurance	гарантыя
assure	запэўніваць
assured	упэўнены
assuredly	вядома
asterisk	зорачка
asteroid	астэроід
asteroids	астэроіды
asthma	астма
asthmatic	астматычны
astigmatism	астыгматызм
astonish	дзівіць
astonished	уражаны
astonishing	дзіўны
astonishingly	NO TRANSLATION
astonishment	здзіўленне
astound	дзівіць
astral	астральны
astray	заблудзіўшыся
astringent	звязальнае сродак
astrologer	астролаг
astrology	астралогія
astronaut	касманаўт
astronomer	астраном
astronomical	астранамічны
astronomy	астраномія
astute	праніклівы
asunder	на часткі
asylum	прытулак
asymmetric	асіметрычны
asymmetry	асіметрыя
asymptotic	асімптатычна
atelier	атэлье
atheism	атэізм
atheist	атэіст
atheistic	атэістычны
atherosclerosis	атэрасклероз
athlete	спартсмен
athletic	Атлетычны
athleticism	атлетызм
athletics	атлетыка
atlas	атлас
atmosphere	атмасфера
atmospheric	атмасферны
atoll	атол
atom	атам
atomic	атамная
atone	выкупаць
atonement	расплата
atpeace	atpeace
atrium	атрыум
atrocious	агідны
atrocity	зверства
atrophy	атрафія
attach	далучаць
attached	які дадаецца
attachment	прымацаванне
attack	атака
attacker	атакуючы
attacking	нападаючы
attain	дасягаць
attainable	дасягальны
attainment	дасягненне
attempt	спроба
attempted	спроба
attend	прысутнічаць
attendance	наведвальнасць
attendant	служыцель
attention	увагу
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	уважлівы
attenuate	змякчаць
attenuated	саслабляецца
attenuation	згасанне
attest	сведчыць
attestation	засведчанне
attic	гарышча
attire	нарад
attitude	стаўленне
attorney	адвакат
attract	прыцягваць
attraction	прыцягненне
attractive	прывабны
attractiveness	прывабнасць
attributable	якая прыходзіцца
attribute	атрыбут
attribution	прыпісванне
attrition	ізаляцыі
auburn	рыжаваты
auction	аўкцыён
auctioneer	аўкцыяніст
audacious	адвагу
audacity	дзёрзкасць
audible	чутны
audience	аўдыторыя
audio	аўдыё
audit	аўдыт
audition	праслухоўванне
auditions	праслухоўвання
auditor	аўдытар
auditorium	глядзельная зала
auditory	слыхавы
aught	нешта
augment	павялічваць
augmentation	павелічэнне
august	Аўгусту
aunt	цётка
auntie	цётачка
aura	аўра
aurora	паўночнае ззянне
auspices	заступніцтва
auspicious	спрыяльны
austere	аскетычны
austerity	строгасць
authentic	аўтэнтычны
authenticate	правяраць сапраўднасць
authentication	ідэнтыфікацыя
authenticity	сапраўднасць
author	аўтар
authoritative	аўтарытэтны
authority	ўлада
authorization	аўтарызацыя
authorize	санкцыянаваць
authorized	упаўнаважаны
authorship	аўтарства
autism	аўтызм
autistic	аутистический
auto	аўтаматычны
autobiographical	аўтабіяграфічны
autobiography	аўтабіяграфія
autocorrect	аўтазамены
autocratic	самадзяржаўнай
autograph	аўтограф
autographed	аўтограф
automated	аўтаматызаваны
automatic	аўтаматычны
automobile	аўтамабіль
automotive	аўтамабільны
autonomy	аўтаномія
autopilot	аўтапілот
autopsy	ускрыццё трупа
autumn	восень
auxiliary	дапаможны
avail	карысць
availability	даступнасць
available	даступны
avalanche	лавіна
avarice	сквапнасць
avatar	аватар
avenge	помсціць
avenger	помсьнік
avenging	помсны
avenue	праспект
aver	NO TRANSLATION
average	сярэдні
aversation	aversation
averse	прэч
averseness	averseness
aversion	антыпатыя
avert	прадухіляць
aviary	вальер
aviation	авіяцыя
aviator	авіятар
avid	сквапны
avocado	авакада
avoid	пазбегнуць
avoidance	ухіленне
avoiding	пазбягаючы
await	чакаць
awake	чувае
awaken	абуджаць
awakening	абуджэнне
award	ўзнагарода
awards	ўзнагароды
aware	ведаць
awareness	ўсведамленне
awe	NO TRANSLATION
awed	глыбокая павага
awesome	страшэнны
awesomeness	ачмуральны
awestruck	ахоплены глыбокай павагай
awful	жудасны
awkward	нязручны
awkwardness	няёмкасць
awning	тэнт
awry	коса
axe	сякера
axial	восевай
axiom	аксіёма
axiomatic	аксиоматический
axis	вось
axle	вось
ay	ау
aye	ды
azimuth	азімут
azure	блакіт
babble	лепет
babbling	балбатня
babe	немаўля
baboon	бабуіны
baby	дзіця
babysit	прыглядаць за дзіцём
babysitter	няня
baccalaureate	ступень бакалаўра
baccarat	баккара
bachelor	халасцяк
bachelorette	дзявочнік
back	назад
backboard	спинодержатель
backbone	пазваночнік
backdoor	закулісны
backdrop	заднік
backer	паручыцель
backfire	зваротны эфект
backgammon	нарды
background	фон
backhand	ўдар злева
backhoe	экскаватар
backoff	страты магутнасці
backpack	заплечнік
backpacker	пешы турыст
backroom	засакрэчаны
backseat	задняе сядзенне
backside	задняя бок
backtrack	отступаться
backup	рэзервовая копія
backward	назад
backwardness	адсталасць
backwards	назад
backwater	затока
backwoods	глуш
backyard	задні двор
bacon	бекон
bacteria	бактэрыі
bacterial	бактэрыяльны
bacterium	бактэрыя
bad	дрэнны
badass	задзіра
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	значок
badger	барсук
badhabit	NO TRANSLATION
badly	дрэнна
badness	непрыдатнасць
baffle	дэфлектар
baffled	дэфлектары
bag	сумка
bagel	булачкі
baggage	багаж
baggie	пакецік
baggy	мешкаваты
bagman	вандроўны гандляр
bagpipes	дуда
bail	парука
bailiff	судовы прыстаў
bait	прынада
bake	выпякаць
bakery	пякарня
baking	выпечка
bal	NO TRANSLATION
balance	баланс
balanced	збалансаваны
balcony	балкон
bald	пляшывы
balding	залыселую
baldy	лысы
bale	цюк
balk	брус
ball	мяч
ballad	балада
ballast	баласт
ballerina	балерына
ballet	балет
ballgame	гульні ў мяч
ballistic	балістычны
ballistics	балістыкі
balloon	паветраны шар
ballot	галасаванне
ballpark	стадыён
ballplayer	бейсбаліст
