Word	kk
admirer	жанкүйер
admiring	таң
admissibility	қолайлылық
admissible	рұқсат етілген
admission	қабылдау
admit	мойындау
admittance	кіру рұқсаты
admitted	мойындады
admitting	мойындау
admixture	қоспасы
admonition	ескерту
ado	ado
adobe	әдемі
adolescence	жасөспірімдер
adolescent	жасөспірім
adopt	қабылдау
adoption	асырап алу
adoptive	асырап алушы
adorable	көрікті
adoration	адалдық
adore	сүйетін
adoring	адалдық
adorn	әшекейленген
adornment	әшекейлер
adrenalin	адреналин
adrenaline	адреналин
adrift	қолайсыздық
adult	ересек адам
adulterated	қателескен
adulterer	неке адалдығын бұзушы
adultery	неке адалдығын бұзу
adulthood	ересек адам
advance	аванс
advanced	озат
advancement	прогресс
advancing	ілгерілеу
advantage	артықшылығы
advantageous	тиімді
advent	келу
adventure	приключение
adventurer	авантюрист
adventures	приключения
adventurous	авантюралық
adversary	қарсылас
adverse	жағымсыз
adversity	қиындықтар
advertise	жарнамалаңыз
advertisement	жарнама
advertising	жарнама
adverts	жарнама
advice	кеңес беру
advisable	ұсынылады
advise	кеңес беріңіз
advised	кеңес берді
advisement	кеңес беру
adviser	кеңесші
advisor	кеңесші
advisory	кеңес беру
advocacy	адвокаттық қызмет
advocate	адвокат
aegis	aegis
aeration	аэрация
aerial	антенна
aerobics	аэробика
aerodrome	аэродром
aerodynamic	аэродинамикалық
aerodynamics	аэродинамика
aeronautics	аэронавтика
aeroplane	ұшақ
aerospace	аэроғарыштық
aesthetic	эстетикалық
aesthetics	эстетика
aetiology	этиологиясы
afar	алыстан
affable	мейірімді
affair	қатынас
affect	әсер етуі мүмкін
affecting	әсер етуі мүмкін
affection	махаббат
affectionate	сүйкімді
affections	әсерлері
affiche	NO TRANSLATION
affidavit	аффидавит
affiliated	аффилиирленген
affiliation	аффилиирлену
affinity	жақындығы
affirm	растайды
affirmation	растау
affirmative	жағымды
affirmatively	оң жағынан
affix	аффикс
afflict	апат
afflicted	зардап шеккен
affliction	апат
affluence	молшылық
affluent	бай
afford	өзіне мүмкіндік береді
affordable	қол жетімді
affront	қорлау
affronted	таң қалдырды
afield	алаңы
afire	аулау
afloat	суда
afore	Бұған дейін
aforementioned	жоғарыда аталған
aforesaid	жоғарыда айтылған
afraid	қорқады
afresh	жаңадан
african	Африкандық
aft	ауытқу
afterlife	кейінгі өмір
aftermath	кейінірек
afternoon	түстен кейін
aftershave	кейінірек
aftertaste	кейінгі дәмі
afterthought	кейінірек
aga	NO TRANSLATION
agape	аджап
agate	агат
age	жасы
aged	қартайған
agency	агенттік
agenda	күн тәртібі
agent	агент
agglomeration	агломерация
aggravate	ауырлатады
aggravated	ауырлатылды
aggravates	ауырлатады
aggravating	ауырлататын
aggravation	шиеленісуі
aggregate	жиынтығы
aggregation	біріктіру
aggresive	NO TRANSLATION
aggression	агрессия
aggressive	агрессивті
aggressively	агрессивті түрде
aggressiveness	агрессиялық
aggressor	агрессорды
agh	аға
aghast	қасірет
aghhh	NO TRANSLATION
agile	шапшаң
agility	ептілік
aging	қартаю
agitate	агритациялау
agitated	араласқан
agitation	үгіт
aglow	жалынды
agnostic	агностикалық
ago	бұрын
agonizing	тітіркендіргіш
agony	қасірет
agoraphobia	агорафобия
agree	келісемін
agreeable	қолайлы
agreed	келісілді
agreeing	келіседі
agreement	келісім
agressive	NO TRANSLATION
agricultural	ауыл шаруашылығы
agriculture	ауыл шаруашылығы
aground	құрғақ
agua	NO TRANSLATION
ahead	алда
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	көмек
aide	көмекшісі
aiding	көмек
aids	көмекші құралдар
ail	от
ailing	ауру
ailment	ауру
aim	мақсаты
aimless	мақсатсыз
air	ауа
airbag	қауіпсіздік жастығы
airborne	әуедегі
aircraft	ұшақ
aircraft carrier	әуе кемесінің тасымалдаушысы
airfield	аэродром
airhead	әуе ұшағы
airlift	әуе кемесі
airline	әуе компаниясы
airliner	ұшақ
airlock	ауа ұштығы
airman	ұшқыш
airplane	ұшақ
airport	әуежай
airs	әуе
airship	дирижабль
airspace	әуе кеңістігі
airspeed	әуе жылдамдығы
airstrip	ұшу аппараты
airtight	ауа өткізбейтін
airway	әуе жолы
aisle	қатар
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	туыстас
alabaster	алебастер
alarm	дабыл
alarm clock	оятқыш
alarmed	алаңдаушылық
alarming	алаңдаушылық туғызады
alas	өкінішке орай
alb	NO TRANSLATION
albatross	альбатрос
albino	альбино
album	альбом
alchemy	алхимия
alcohol	алкоголь
alcoholic	алкоголь
alcoholism	алкоголизм
alcove	алкевар
alderman	алдарман
ale	NO TRANSLATION
alert	ескерту
alertness	ұқыптылық
alerts	ескертулер
alfalfa	жоңышқа
algebra	алгебра
algebraic	алгебралық
algorithm	алгоритм
alias	бүркеншік аты
alibi	Алиби
alien	шетелдіктер
alienate	иеліктен шығару
alienated	иеліктен шығарылды
alienation	иеліктен шығару
alight	ағады
align	туралау
aligned	теңшелген
alignment	теңестіру
alike	бірдей
alimentation	NO TRANSLATION
alimony	алимент
aliquot	аликвот
alive	тірі
alkali	сілтілі
alkaloids	алкалоидтер
allay	әрине
allegation	айыптау
allege	айыптау
alleged	болжамды
allegiance	адалдық
allegorical	аллегориялық
allegory	аллегория
allegro	аллегро
allergic	аллергиялық
allergy	аллергия
alleviate	жеңілдету
alleviation	жеңілдету
alley	аллея
alleyway	аллеясы
alliance	альянс
allied	одақтас
alligator	аллигатор
allocate	бөлу
allocation	бөлу
allot	бөлу
allotment	бөлу
allow	рұқсат етіңіз
allowable	рұқсат етілген
allowance	жәрдемақы
allowed	рұқсат
alloy	қорытпа
allsmiles	NO TRANSLATION
allure	күлкі
alluring	алдамшы
allusion	сілтеме
alluvial	аллювиалды
ally	одақтас
almanac	альманах
almighty	құдіретті
almond	Бадам
aloft	aloft
aloha	алоха
alone	жалғыз
alongside	бірге
aloof	әлсіз
aloud	дауыстап
alpha	альфа
alphabet	әліпби
alphabetical	алфавиттік
alpine	альпі
alreadyyyyy	қазірдің өзінде
altar	алтарь
altar boy	алтарь ұлы
alter	өзгертеді
alteration	өзгерту
altercation	алаяқтық
altered	өзгерді
alternate	баламалы
alternating	айнымалы
alternative	балама
altimeter	альтиметр
altitude	биіктік
alto	alto
altogether	мүлдем
aluminum	алюминий
alumnus	түлек
alveolar	альвеолярлы
alzheimers	NO TRANSLATION
amalgam	амальгам
amalgamation	біріктіру
amaretto	амаретто
amass	жиналады
amateur	әуесқой
amaze	таң қалдырады
amazed	таңқалды
amazedness	NO TRANSLATION
amazement	таң қалдырды
amazing	ғажайып
amazingly	таңқаларлықтай
ambassador	елші
amber	кәріптас
ambience	қоршаған орта
ambient	қоршаған орта
ambiguity	белгісіздік
ambiguous	бірдей емес
ambit	амбит
ambition	амбиция
ambitious	амбициозлы
ambivalent	амбривалент
ambrosia	амброзия
ambulance	жедел жәрдем
ambush	бүркіт
ameliorate	жақсарту
amen	Аумин
amenable	жауапты
amend	түзету
amendment	түзету
amends	түзетеді
amenity	ыңғайлы
amethyst	аметист
amiable	сүйкімді
amicable	достық
amid	ортасында
amidst	арасында
amino	амин
ammo	қару
ammonia	аммиак
ammonium	аммоний
ammunition	оқ-дәрілер
amnesia	амнезия
amnesty	амнистия
amorous	көңілді
amorphous	аморфты
amortization	амортизация
amount	сомасы
amour	NO TRANSLATION
amp	амп
ampersand	амперсанд
amphetamines	амфетаминдер
amphibian	амфибия
amphibious	амфибия
amphitheater	амфитеатр
ample	жеткілікті
amplification	күшейту
amplify	күшейтеді
amplitude	амплитудасы
amply	қатаң
amputate	ампутациялық
amputation	ампутация
amuck	амак
amulet	амулет
amuse	көңіл көтеру
amused	таң қалдырды
amusement	ойын-сауық
amusing	көңілді
ana	NO TRANSLATION
anaconda	анаконда
anaesthesia	анестезия
anaesthetic	анестезиялық
anagram	анаграмма
anal	анал
analgesic	анальгетиктер
analogous	ұқсас
analogue	аналогы
analogy	ұқсастығы
analysis	талдау
analyst	талдаушы
analytic	аналитикалық
analytical	аналитикалық
analyze	талдау
analyzer	анализатор
anaphylactic	анафилактикалық
anarchism	анархизм
anarchist	анархист
anarchy	анархия
anastomosis	анастомоз
anathema	анатея
anatomic	анатомиялық
anatomy	анатомия
ancestor	арғы ата
ancestral	бабаларымыз
ancestry	ата-бабаларымыз
anchor	якорь
anchorage	бекіту
ancient	ежелгі
ancillary	қосалқы
androgen	андроген
android	жәнеroid
anecdote	анекдот
anemia	анемия
anemic	анемия
anemone	анемон
anesthesia	анестезия
anesthesiologist	анестезиолог
anesthetic	анестезиялық
aneurysm	аневризма
anew	жаңадан
angel	періште
angelic	періште
anger	ашулану
angered	ашуланды
angermanagement	NO TRANSLATION
angina	ангина
angiogram	ангиограф
angiography	ангиография
angle	бұрышы
angling	боран
angora	ангора
angriest	бақытсыздық
angry	ашуланған
angrytweet	NO TRANSLATION
angst	ашу
anguish	күйзеліс
anguished	мұңайған
angular	бұрыштық
anhydrous	сусыз
animal	жануар
animate	тірі
animated	анимацияланған
animation	анимация
animosity	қиянат
animus	анимус
ankle	айқас
anklet	буксет
annals	жылнамалар
annex	қосымша
annexation	аннексиялау
annexe	NO TRANSLATION
annihilate	жою
annihilated	жойылған
annihilation	аннигиляция
anniversary	мерейтойы
annotate	түсініктеме
annotation	аннотация
announce	хабарлаңыз
announcement	хабарландыру
announcer	диктор
annoy	тітіркендіреді
annoyance	тітіркену
annoyed	тітіркендіреді
annoyin	NO TRANSLATION
annoying	тітіркендіргіш
annoys	тітіркендіреді
annual	жылдық
annuity	аннуитет
annul	күшін жойды
annular	сақиналы
annulment	күшін жою
annulus	аннулус
anointed	майланған
anointing	майлау
anomalous	ауытқушылық
anomaly	аномалия
anon	анон
anonymity	анонимдік
anonymous	Аноним
anorexic	анорексиялық
answer	жауап
answerable	жауапты
answering	жауап беру
ant	қасқыр
antagonism	антагонизм
antagonist	антагонист
antagonistic	антагонистикалық
antagonize	антагонизация
ante	NO TRANSLATION
antecedent	алдын ала
antelope	антилопа
antenna	антенна
anterior	алдыңғы
anthem	әнұран
anthill	антил
anthology	антология
anthrax	күйдіргі
anthropological	антропологиялық
anthropologist	антрополог
anthropology	антропология
anti	қарсы
antiaircraft	зениттік зымыран
antibiotic	антибиотик
antibiotics	антибиотиктер
antichrist	Дьяхрист
anticipate	күтеді
anticipation	күтім
anticipatory	күтпеген
antics	антика
antidote	антидот
antifungal	қарсы препарат
antigravity	антигравитация
antimony	сурьма
antipathy	антипатия
antiquarian	антикварлықтар
antiquated	ескірген
antique	антикварлық
antiques	антиквариат
antiquity	ежелгі
antiseptic	антисептикалық
antisocial	антисоциальлық
antithesis	антитез
antithetical	қарсы
antiviral	вирусқа қарсы
antler	антлер
antsy	антсис
anus	анус
anvil	анвил
anxiety	алаңдаушылық
anxietyattack	NO TRANSLATION
anxious	алаңдаушылық
anxiousness	алаңдаушылық
anytime	кез келген уақытта
aorta	аорта
aortic	аорты
apace	апат
apache	apache
apartment	пәтер
apartments	пәтерлер
apathetic	апатетикалық
apathy	апатия
ape	маймыл
aperture	тесік
apex	шыңы
aphid	aphid
aphrodisiac	афродизиак
apiece	дана
aplomb	аулау
apocalypse	апокалипсис
apocalyptic	апокалиптический
apologetic	кешірімсіз
apologist	кешірім сұрады
apologize	кешірім сұраймыз
apology	кешірім
apostasy	жолдан таю
apostate	жолдан тайған
apostle	Елші
apostolic	апостольдық
apostrophe	апостроф
apothecary	апотекар
appalled	таң қалдырды
appalling	қасіретін
apparatus	аппараты
apparel	киім
apparent	анық
apparently	анық
apparition	көрініс
appeal	апелляция
appear	пайда болады
appearance	сыртқы түрі
appease	тыныштық
appellant	өтініш беруші
append	қосу
appendage	қосымша
appendectomy	аппендэктомия
appendicitis	аппендицит
appendix	қосымша
appetite	тәбет
appetizer	тісбасар
appetizing	тәбетті
applaud	алақайлап
applause	шапалақ
apple	алма
apple juice	алма шырыны
applejack	applejack
applesauce	applesauce
appliance	құралды қолданыңыз
appliances	тұрмыстық техника
applicability	қолдану мүмкіндігі
applicable	қолданылатын
applicant	өтініш беруші
application	қолдану
apply	қолданыңыз
appoint	тағайындаңыз
appointment	тағайындау
appointments	тағайындаулар
apportion	бөлу
apportionment	бөлу
appraisal	бағалау
appraise	бағалау
appreciable	айтарлықтай
appreciate	бағалаңыз
appreciated	бағалады
appreciates	жоғары бағалайды
appreciation	алғыс
appreciative	ризамын
apprehend	ұстау
apprehension	ұстау
apprehensive	қауіпті
apprentice	оқушы
apprenticeship	шәкіртақы
approach	тәсіл
approaching	жақындап келеді
approbate	NO TRANSLATION
approbation	сынау
appropriate	қолайлы
appropriation	қаржы бөлу
approval	мақұлдау
approve	мақұлдау
approved	бекітілген
approvement	бекіту
approving	бекіту
approximate	жуық
approximately	шамамен шамамен
approximating	жуықтау
approximation	жуықтау
appurtenances	көмек
apricot	өрік
apron	перрон
apt	ұйқы
aptitude	қабілеті
aqua	аква
aquamarine	аквамарин
aquarium	аквариум
aquatic	су
aqueduct	акведук
aqueous	су
arable	егістік
arbiter	арбитр
arbitrary	ерікті
arbitrate	арбитраж
arbitration	арбитраж
arbitrator	арбитр
arbor	шатыр
arc	доғасы
arcade	Аркадий
arcane	аркан
arch	арка
archaeological	археологиялық
archaeologist	археолог
archaeology	археология
archaic	архаикалық
archangel	бас періште
archbishop	архиепископ
archdiocese	архидиоцез
archduke	archduke
arched	арка
archer	садақшы
archery	садақ ату
archetype	архетип
archipelago	архипелаг
architect	сәулетші
architectural	сәулет
architecture	сәулет
archive	мұрағаты
arctic	арктика
ardent	қызықты
ardor	ард
arduous	қиын
area	ауданы
arena	арена
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	арх
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	дау айту
argument	дәлел
argumentation	дәлелдеу
argumentative	дәлелді
arguments	дәлелдер
arid	құрғақ
arise	пайда болады
aristocracy	ақсүйектер
aristocrat	аристократ
aristocratic	ақсүйектер
arithmetic	арифметика
ark	кеме
arm	қол
armada	armada
armament	қару-жарақ
armaments	қару-жарақ
armature	арматура
armchair	кресло
armed	қарулы
armor	қару-жарақ
armored	брондалған
armory	қару-жарақ
armpit	қолтаңба
arms	қолдар
army	армия
aroma	хош иіс
aromatherapy	ароматерапия
arousal	жағымсыздық
arouse	ояту
aroused	көтерілді
arraignment	келісу
arrange	ұйымдастырыңыз
arranged	ұйымдастырылған
arrangement	келісу
array	массив
arrears	берешек
arrest	қамауға алу
arrhythmia	аритмия
arrival	келу
arrive	келу
arrogance	бойкүндік
arrogant	мақтаншақ
arrow	жебе
arsehole	арсенол
arseholes	арсенолдар
arsenal	арсенал
arsenic	мышьяк
arson	өрт
arsonist	арсеналист
art	өнер
arterial	артериялық
artery	артерия
artful	шебер
arthritis	артрит
arthropod	артропод
artichoke	артишок
article	мақала
articles	мақалалар
articulate	артикулы
articulation	артикуляция
artifact	артефакт
artifice	артефиц
artificial	жасанды
artillery	артиллерия
artisan	қолөнершілер
artist	әртіс
artiste	NO TRANSLATION
artistic	көркемдік
artistry	шеберлік
artists	суретшілер
artwork	өнер туындысы
arty	арты
asap	мүмкіндігінше тезірек
asbestos	асбест
ascend	көтерілу
ascendancy	ұлылық
ascendant	үстем
ascending	көтерілген
ascension	көтерілу
ascent	көтерілу
ascertain	анықтаңыз
ascertained	анықталды
ascetic	аскеталық
ash	күл
ashamed	ұялады
ashes	күлді
ashtray	асхана
asinine	асинин
ask	сұраңыз
asleeep	NO TRANSLATION
asleep	ұйықтап жатыр
asp	асп
asparagus	қояншөп
aspartame	аспартам
aspect	аспект
aspects	аспектілері
aspen	аспен
asphalt	асфальт
asphyxia	асфиксия
asphyxiation	асфиксия
aspiration	ұмтылу
aspire	ұмтылыңыз
aspirin	аспирин
aspiring	ұмтылу
ass	асс
assail	ұрлық
assailant	шабуылшы
assassin	өлтіруші
assassinate	өлтіру
assassination	өлтіру
assault	шабуыл
assay	талдау
assemblage	жинау
assemble	жинау
assembled	жиналған
assembly	жинау
assemblyman	монтажшы
assent	келісім
assert	бекітіңіз
asserting	бекітеді
assertion	бекіту
assertive	сенімділік
assess	бағалау
assessment	бағалау
assessor	бағалаушы
asset	актив
assets	активтер
asshole	Нақұрыс
assign	тағайындаңыз
assignee	құқық иеленуші
assignment	тағайындау
assimilate	ассимилирлеу
assimilation	ассимиляция
assist	көмек
assistance	көмек
assistant	көмекшісі
associate	қауымдастырылған
association	қауымдастық
assorted	әртүрлі
assortment	ассортимент
assuage	құтылу
assume	деп есептейік
assumed	болжам жасады
assuming	деп болжайды
assumption	болжам
assurance	сенімділік
assure	кепілдік
assured	сендірді
assuredly	сөзсіз
asterisk	жұлдызша
asteroid	астероид
asteroids	астероиды
asthma	астма
asthmatic	астматикалық
astigmatism	астигматизм
astonish	таңқаларлық
astonished	таңырқады
astonishing	таңқаларлық
astonishingly	NO TRANSLATION
astonishment	таңырқау
astound	таң қалдырды
astral	аңызбен
astray	өтірік
astringent	тұтқыр
astrologer	астролог
astrology	астрология
astronaut	ғарышкер
astronomer	астроном
astronomical	астрономиялық
astronomy	астрономия
astute	ақылды
asunder	жалған
asylum	баспана
asymmetric	асимметриялық
asymmetry	асимметрия
asymptotic	асимптотикалық
atelier	ателье
atheism	атеизм
atheist	атеист
atheistic	атеистік
atherosclerosis	атеросклероз
athlete	спортшы
athletic	атлетикалық
athleticism	атлетизм
athletics	жеңіл атлетика
atlas	атлас
atmosphere	атмосфера
atmospheric	атмосфералық
atoll	атолл
atom	атом
atomic	атомдық
atone	жоқ
atonement	тазарту
atpeace	atpeace
atrium	атриум
atrocious	қатал
atrocity	зорлық-зомбылық
atrophy	атрофия
attach	бекіту
attached	қоса беріледі
attachment	тіркеме
attack	шабуыл
attacker	шабуылшы
attacking	шабуылдау
attain	жету
attainable	қол жетімді
attainment	қол жеткізу
attempt	әрекет
attempted	тырысты
attend	қатысу
attendance	сабаққа қатысу
attendant	қызметші
attention	назар
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	мұқият
attenuate	әлсіреді
attenuated	әлсіреген
attenuation	әлсіреу
attest	куәландыру
attestation	аттестация
attic	шатыр
attire	киім
attitude	қатынасы
attorney	адвокат
attract	тарту
attraction	тарту
attractive	тартымды
attractiveness	тартымдылығы
attributable	тиесілі
attribute	атрибут
attribution	атрибуция
attrition	потертость
auburn	қосалқы
auction	аукцион
auctioneer	аукционшы
audacious	батыл
audacity	адалдық
audible	естіледі
audience	аудитория
audio	дыбыс
audit	аудит
audition	тыңдау
auditions	тыңдау
auditor	аудитор
auditorium	аудитория
auditory	есту қабілеті
aught	ештеңе жоқ
augment	ұлғайту
augmentation	ұлғайту
august	тамыз
aunt	аға
auntie	аға
aura	аура
aurora	авурора
auspices	қамқоршы
auspicious	сәттілік
austere	қатты
austerity	үнемділік
authentic	шынайы
authenticate	аутентификация
authentication	аутентификация
authenticity	шынайылық
author	автор
authoritative	беделді
authority	билік
authorization	авторизациялау
authorize	рұқсат ету
authorized	уәкілетті
authorship	авторлық құқық
autism	аутизм
autistic	аутистикалық
auto	автоматты
autobiographical	автобиографиялық
autobiography	өмірбаян
autocorrect	автокоррек
autocratic	автократтық
autograph	қолтаңба
autographed	қолтаңба
automated	автоматтандырылған
automatic	автоматты түрде
automobile	автокөлік
automotive	автокөлік
autonomy	автономия
autopilot	автопилот
autopsy	ашу
autumn	күз
auxiliary	қосалқы
avail	қолайлы
availability	қолжетімділігі
available	қол жетімді
avalanche	көшкін
avarice	авария
avatar	avatar
avenge	кек алу
avenger	авангард
avenging	құтқару
avenue	даңғыл
aver	NO TRANSLATION
average	орташа
aversation	NO TRANSLATION
averse	қарсы емес
averseness	шапшаңдық
aversion	жексұрындық
avert	алдын алу
aviary	ұшқыш
aviation	авиация
aviator	авиатор
avid	бейқам
avocado	авокадо
avoid	болдырмау
avoidance	болдырмау
avoiding	болдырмау
await	күту
awake	ояу
awaken	ояту
awakening	ояту
award	марапаттау
awards	марапаттар
aware	біледі
awareness	хабардар болу
awe	NO TRANSLATION
awed	таң қалдырды
awesome	тамаша
awesomeness	керемет
awestruck	аңыз
awful	түршігерлік
awkward	ыңғайсыз
awkwardness	ыңғайсыздық
awning	тент
awry	кідіріңіз
axe	балта
axial	осьтік
axiom	аксиома
axiomatic	аксиоматикалық
axis	ось
axle	ось
ay	ай
aye	айне
azimuth	Азимут
azure	азур
babble	бөртпе
babbling	кептелу
babe	нәресте
baboon	baboon
baby	нәресте
babysit	нәресте
babysitter	күтушіні
baccalaureate	бакалавриат
baccarat	баккара
bachelor	бакалавр
bachelorette	бакалавр
back	артқа
backboard	артқы панелінде
backbone	Омыртқа
backdoor	артқы есік
backdrop	фон
backer	көмекші
backfire	қайтадан
backgammon	нарды
background	фон
backhand	артынан
backhoe	артқа көтергіш
backoff	Шегіну
backpack	рюкзактар
backpacker	бэкпаккер
backroom	артқы бөлме
backseat	артқы орындықтар
backside	артқы жағы
backtrack	кері трек
backup	резервтік көшіру
backward	артқа қарай
backwardness	артта қалу
backwards	артқа қарай
backwater	артқы суы
backwoods	орман ағаштары
backyard	аула
bacon	Бекон
bacteria	бактериялар
bacterial	бактериялық
bacterium	бактерия
bad	жаман
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	белгішесі
badger	борсық
badhabit	NO TRANSLATION
badly	нашар
badness	жамандық
baffle	бөртпе
baffled	таң қалдырды
bag	қап
bagel	багель
baggage	Жүк
baggie	багги
baggy	багги
bagman	багман
bagpipes	сөмкелер
bail	кепілдік
bailiff	сот орындаушысы
bait	жеміс
bake	пісіру
bakery	наубайхана
baking	пісіру
bal	NO TRANSLATION
balance	баланс
balanced	теңдестірілген
balcony	балкон
bald	балтыр
balding	балғындық
baldy	балди
bale	балет
balk	балка
ball	доп
ballad	баллада
ballast	балласт
ballerina	балерина
ballet	балет
ballgame	шарлар
ballistic	баллистикалық
ballistics	баллистика
balloon	әуе шары
ballot	бюллетень
ballpark	балабақша
ballplayer	балетмейкер
ballpoint	шарикті нүкте
ballroom	бал залы
ballsy	шарды
balm	бальзам
balmy	балмұздақ
balsam	бальзам
balsamic	бальзамы бар
bam	bam
bamboo	бамбук
ban	NO TRANSLATION
banana	банан
band	жолақ
bandage	бинт
bandanna	NO TRANSLATION
bandit	бандит
bandstand	таспа
bandwagon	көпіршігі
bandwidth	өткізу қабілеттілігі
bane	қате
bang	жарылыс
banger	бангер
banish	кетеді
banished	жойылды
banishment	қашып кету
banister	банан
banjo	банджо
bank	банк
banker	банкир
banking	банкинг
bankroll	банкрол
