Word	ml
acne	മുഖക്കുരു
acorn	അക്രോൺ
acoustic	ശബ്ദിക
acoustics	ശബ്ദശാസ്ത്രം
acquaint	പരിചയപ്പെടുത്തുക
acquaintance	പരിചയം
acquainted	അറിവുണ്ടായിരുന്നു
acquiescence	സമ്മതം
acquire	ഏറ്റെടുക്കുക
acquiring	ഏറ്റെടുക്കുന്നു
acquisition	കൈവശപ്പെടുത്തൽ
acquisitions	ഏറ്റെടുക്കലുകൾ
acquit	ഏറ്റെടുത്തു
acquittal	ഉന്മൂലനം
acre	ഏക്കർ
acreage	ഏക്കർ
acres	ഏക്കർ
acrobat	അക്രോബാറ്റ്
acrylic	അക്രിലിക്
act	പ്രവർത്തിക്കുക
acting	അഭിനയം
action	പ്രവർത്തനം
action figure	ആക്ഷൻ വ്യക്തിത്വമായി
actionable	actionable
activate	സജീവമാക്കുക
activation	സജീവമാക്കൽ
active	സജീവമാണ്
activist	ആക്റ്റിവിസ്റ്റ്
activity	പ്രവർത്തനം
actor	നടൻ
actress	നടി
actual	യഥാർത്ഥമായത്
actuality	യഥാർത്ഥ്യം
actuary	actuary
acuity	വന്ധ്യത
acumen	വക്രം
acupuncture	അക്യുപങ്ചർ
acute	നിശിതം
acutely	കഠിനമായി
ad	പരസ്യം
adage	സദാചാരം
adamant	സമ്മതിക്കുന്നു
adapt	അനുരൂപമാക്കുക
adaptable	വഴക്കമുള്ള
adaptation	അനുകൂലനം
add	ചേർക്കുക
added	ചേർത്തു
addendum	അനുബന്ധം
adder	ആഡ്
addict	അടിമക്ക്
addicted	അടിമയായി
addiction	ആസക്തി
addictive	അടിമത്തം
addition	കൂടാതെ
additional	അധികമായി
additive	സങ്കലനം
address	വിലാസം
addressee	അഭിഭാഷകൻ
addresses	വിലാസങ്ങൾ
adept	പാവം
adequacy	പര്യാപ്തത
adequate	മതിയായ
adhere	അനുസരിക്കുക
adherence	അനുസരിക്കുക
adherent	സഹജമായ
adhering	കീഴ്പെടൽ
adhesion	അഡീഷൻ
adhesive	ഒട്ടിപ്പിടിക്കുന്ന
adieu	ആദിത്യ
adipose	മദ്യം
adjacency	അടുപ്പം
adjacent	സമീപം
adjective	നാമവിശേഷണം
adjoining	പരിസരം
adjourn	നിർവ്വഹിക്കുക
adjournment	വിഭജനം
adjudicate	തീർപ്പു കൽപ്പിക്കുക
adjudication	തീർപ്പാക്കൽ
adjunct	അനുബന്ധം
adjust	ക്രമീകരിക്കുക
adjuster	adjuster
adjustment	ക്രമീകരണം
adjuvant	അദ്ഭുതം
admin	അഡ്മിൻ
administer	നിയന്ത്രിക്കുക
administration	ഭരണകൂടം
administrative	ഭരണപരമായ
administrator	അഡ്മിനിസ്ട്രേറ്റർ
admirable	പ്രശംസനീയമായ
admiral	അഡ്മിറൽ
admiralty	അഡ്മിറോൾ
admiration	പ്രശംസ
admire	അഭിനന്ദിക്കുക
admired	അഭിനന്ദിച്ചു
admirer	ആരാധകനാണ്
admiring	ആമിക്കുന്നു
admissibility	സമ്മതം
admissible	സ്വീകാര്യമായ
admission	പ്രവേശനം
admit	സമ്മതിക്കുക
admittance	അഡ്മിറ്റ്
admitted	പ്രവേശിപ്പിച്ചു
admitting	സമ്മതിക്കുന്നു
admixture	സമ്മതിക്കുന്നു
admonition	ഉപദേശം
ado	ആഡോ
adobe	adobe
adolescence	കൗമാരം
adolescent	യുവാക്കൾ
adopt	ദത്തെടുക്കുക
adoption	ദത്തെടുക്കൽ
adoptive	ദത്തെടുക്കാൻ
adorable	വശ്യമായ
adoration	ആരാധന
adore	ആരാധിക്കുക
adoring	ആഹ്വാനം ചെയ്യുക
adorn	അലങ്കരിക്കുന്നു
adornment	അലങ്കാരം
adrenalin	അഡ്രനലിൻ
adrenaline	അഡ്രിനാലിൻ
adrift	അഭിവൃദ്ധി
adult	മുതിർന്നവർ
adulterated	കളങ്കമുണ്ടാക്കി
adulterer	വ്യഭിചാരം
adultery	വ്യഭിചാരം
adulthood	പ്രായപൂർത്തിയായവർ
advance	മുൻകൂർ
advanced	പുരോഗമിക്കുന്നു
advancement	പുരോഗതി
advancing	മുന്നേറുന്നു
advantage	പ്രയോജനം
advantageous	പ്രയോജനകരമായ
advent	ആഘോഷം
adventure	സാഹസികത
adventurer	സാഹസികൻ
adventures	സാഹസികത
adventurous	സാഹസികത
adversary	എതിരാളി
adverse	പ്രതികൂലമായ
adversity	ഉപദ്രവം
advertise	പരസ്യം ചെയ്യുക
advertisement	പരസ്യം
advertising	പരസ്യം ചെയ്യൽ
adverts	adverts
advice	ഉപദേശം
advisable	ഉചിതമാണ്
advise	ഉപദേശിക്കുക
advised	ഉപദേശിച്ചു
advisement	ഉപദേശം
adviser	ഉപദേഷ്ടാവ്
advisor	ഉപദേഷ്ടാവ്
advisory	ഉപദേശം
advocacy	വക്കീൽ
advocate	അഭിഭാഷകൻ
aegis	aegis
aeration	വായുക്രമീകരണം
aerial	ഏരിയൽ
aerobics	എയറോബിക്സ്
aerodrome	aerodrome
aerodynamic	എയറോഡൈനാമിക്
aerodynamics	എയറോഡൈനാമിക്സ്
aeronautics	എയറോനോട്ടിക്സ്
aeroplane	വിമാനം
aerospace	എയറോസ്പേസ്
aesthetic	സൗന്ദര്യശാസ്ത്രം
aesthetics	സൗന്ദര്യശാസ്ത്രം
aetiology	ഇത്തിസോളജി
afar	ദൂരെ
affable	സഹതാപം
affair	ബന്ധം
affect	ബാധിക്കുന്നു
affecting	ബാധിക്കുന്നു
affection	സ്നേഹം
affectionate	വാത്സല്യം
affections	സ്നേഹവും
affiche	NO TRANSLATION
affidavit	സത്യവാങ്മൂലം
affiliated	അഫിലിയേറ്റഡ്
affiliation	ബന്ധം
affinity	ബന്ധം
affirm	ഉറപ്പുപറയുക
affirmation	ഉറപ്പിക്കൽ
affirmative	ഉറപ്പാണ്
affirmatively	ഉറപ്പിച്ചുപറയുന്നു
affix	affix
afflict	പീഡിപ്പിക്കുക
afflicted	പീഡനം
affliction	കഷ്ടത
affluence	സമ്പത്ത്
affluent	സമ്പന്നമായ
afford	താങ്ങാൻ
affordable	താങ്ങാവുന്ന വില
affront	അസ്വാസ്ഥ്യം
affronted	ആക്രോശിച്ചു
afield	ദൂരെ
afire	തീ
afloat	ചുറ്റിക്കറങ്ങുന്നു
afore	മുമ്പ്
aforementioned	മുൻപറഞ്ഞത്
aforesaid	മുൻപറഞ്ഞത്
afraid	ഭയപ്പെട്ടു
afresh	പുതുതായി
african	ആഫ്രിക്കൻ
aft	പിന്നോക്കം
afterlife	മരണാനന്തര ജീവിതം
aftermath	പരിണതഫലങ്ങൾ
afternoon	ഉച്ചകഴിഞ്ഞ്
aftershave	ആഫ്റ്റർ ഷേവ്
aftertaste	പിന്നീടുള്ളത്
afterthought	അതിന്റെ പിന്നാലെ കടന്നുവരുക;
aga	NO TRANSLATION
agape	അഗപ്പേ
agate	അജാത
age	പ്രായം
aged	പ്രായമായ
agency	ഏജൻസി
agenda	അജണ്ട
agent	ഏജന്റ്
agglomeration	സമാഹരണം
aggravate	വഷളാകുക
aggravated	വർദ്ധിച്ചു
aggravates	വർദ്ധിക്കുന്നു
aggravating	ഉപദ്രവിക്കൽ
aggravation	ഉപദ്രവിക്കൽ
aggregate	ആകെത്തുകയായുള്ള
aggregation	സമാഹരണം
aggresive	NO TRANSLATION
aggression	ആക്രമണം
aggressive	ആക്രമണാത്മക
aggressively	വളരെയധികം
aggressiveness	ആക്രമണം
aggressor	ആക്രമണകാരി
agh	എ
aghast	ആവേശത്തോടെ
aghhh	NO TRANSLATION
agile	വേഗമേറിയ
agility	ഉപദ്രവം
aging	വൃദ്ധരായ
agitate	അലോചിക്കുക
agitated	ആശ്ചര്യപ്പെട്ടു
agitation	പ്രക്ഷോഭം
aglow	മയക്കമരുന്ന്
agnostic	അജ്ഞ്ഞേയവാദി
ago	മുമ്പ്
agonizing	വേദനാജനകമാണ്
agony	യാതന
agoraphobia	അഗോറോഫോബിയ
agree	സമ്മതിക്കുന്നു
agreeable	അനുയോജ്യമാണ്
agreed	സമ്മതിച്ചു
agreeing	സമ്മതിക്കുന്നു
agreement	കരാർ
agressive	NO TRANSLATION
agricultural	കൃഷി
agriculture	കൃഷി
aground	തുരങ്കം
agua	NO TRANSLATION
ahead	മുന്നോട്ട്
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	അഹാ
aid	സഹായം
aide	സഹായി
aiding	സഹായിക്കുന്നു
aids	സഹായിക്കുന്നു
ail	ail
ailing	രോഗബാധിതനാണ്
ailment	രോഗം
aim	ലക്ഷ്യം
aimless	ലക്ഷ്യമില്ലാതെ
air	വായൂ
airbag	എയർ ബാഗ്
airborne	വായു
aircraft	വിമാനം
aircraft carrier	വിമാനവാഹിനിക്കപ്പല്
airfield	എയർഫീൽഡ്
airhead	എയർ ഹെഡ്
airlift	എയർലൈൻസ്
airline	എയർലൈൻ
airliner	വിമാനം
airlock	ചുഴലിക്കാറ്റ്
airman	എയർമാൻ
airplane	വിമാനം
airport	വിമാനത്താവളം
airs	ഓടുന്നു
airship	ആകാശം
airspace	വായുമണ്ഡലം
airspeed	എയർസ്പീപ്
airstrip	എയർസ്ട്രിപ്
airtight	വായുമണ്ഡലം
airway	വായുസഞ്ചാരം
aisle	ഇടനാഴി
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	സമാനമായ
alabaster	അലാറം
alarm	അലാറം
alarm clock	അലാറം ക്ലോക്ക്
alarmed	അസ്വസ്ഥരാകുന്നു
alarming	ഭയങ്കരമായ
alas	അയ്യോ
alb	NO TRANSLATION
albatross	ആൽബർട്ട്സ്
albino	അൽബിനോ
album	ആൽബം
alchemy	ആൽക്കെമി
alcohol	മദ്യം
alcoholic	മദ്യപാനം
alcoholism	മദ്യപാനം
alcove	അൽക്കോവ
alderman	അദേഹം
ale	NO TRANSLATION
alert	ജാഗ്രത
alertness	ജാഗ്രത
alerts	അലേർട്ടുകൾ
alfalfa	അൽഫാൽഫ
algebra	ബീജഗണിതം
algebraic	ബീജീയ
algorithm	അൽഗോരിതം
alias	അപരനാമം
alibi	ആലിബി
alien	അന്യൻ
alienate	അന്യഗ്രഹിക്കുക
alienated	അന്യഗ്രഹിച്ചു
alienation	അന്യവൽക്കരണം
alight	ഇറങ്ങുക
align	വിന്യസിക്കുക
aligned	വിന്യസിക്കുക
alignment	വിന്യാസം
alike	ഒരുപോലെ
alimentation	NO TRANSLATION
alimony	ജീവനാംശം
aliquot	അലക്വോട്ട്
alive	ജീവനോടെ
alkali	ക്ഷാരം
alkaloids	ആൽക്കയോയിഡുകൾ
allay	എല്ലാ ദിവസവും
allegation	ആരോപണം
allege	ആരോപണം
alleged	ആരോപണം
allegiance	കൂട്ടുത്തരവാദി
allegorical	അനുകരണീയമായ
allegory	ഉപന്യാസം
allegro	അഗ്രഗോൾ
allergic	അലർജി
allergy	അലർജി
alleviate	പരിഹരിക്കുക
alleviation	പരിഹാരം
alley	ചതുപ്പുനിലം
alleyway	ആലിംഗനം
alliance	സഖ്യം
allied	സഖ്യകക്ഷികൾ
alligator	എലിജേറ്റർ
allocate	നീക്കിവയ്ക്കുക
allocation	വിഹിതം
allot	വിഹിതം
allotment	അലോട്ട്മെന്റ്
allow	അനുവദിക്കുക
allowable	അനുവദനീയം
allowance	അലവൻസ്
allowed	അനുവദിച്ചു
alloy	ലോഹക്കൂട്ട്
allsmiles	NO TRANSLATION
allure	ആകർഷണീയമായ
alluring	രസകരം
allusion	allusion
alluvial	ഒഴുക്കുക
ally	സഖ്യം
almanac	അൽമാനാക്
almighty	സർവ്വശക്തൻ
almond	ബദാം
aloft	അലോപ്പതി
aloha	അലോഹ
alone	ഒറ്റക്ക്
alongside	അതോടൊപ്പം
aloof	അള്ളാഹു
aloud	ഉച്ചത്തിൽ
alpha	ആൽഫ
alphabet	അക്ഷരമാല
alphabetical	അക്ഷരമാല
alpine	ആൽപൈൻ
alreadyyyyy	ഇതിനകം തന്നെ
altar	യാഗപീഠം
altar boy	യാഗപീഠത്തിലെ ബാലൻ
alter	alter
alteration	തിരുത്തൽ
altercation	വഞ്ചന
altered	മാറ്റം വരുത്തി
alternate	ഏകാന്തരക്രമത്തിൽ
alternating	ഒന്നിടവിട്ട്
alternative	ബദൽ
altimeter	അളവറ്റ
altitude	ഉയരം
alto	അതല്ല
altogether	മൊത്തത്തിൽ
aluminum	അലൂമിനിയം
alumnus	പൂർവ്വവിദ്യാർത്ഥികൾ
alveolar	അൽവൊലാർ
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	ഒത്തുചേരൽ
amaretto	അമരട്ടെ
amass	കൊള്ളാം
amateur	അമച്വർ
amaze	ആശ്ചര്യപ്പെടുത്തുക
amazed	ആശ്ചര്യപ്പെട്ടു
amazedness	NO TRANSLATION
amazement	ആശ്ചര്യം
amazing	അത്ഭുതകരമായ
amazingly	അത്ഭുതകരമാണ്
ambassador	അംബാസഡർ
amber	ശുക്ളസ്വർണ്ണം
ambience	അന്തരീക്ഷം
ambient	ആംബിയന്റ്
ambiguity	അവ്യക്തത
ambiguous	അവ്യക്തമായ
ambit	പരിധി
ambition	അഭിലാഷ്
ambitious	അതിമോഹമാണ്
ambivalent	ക്രമരഹിതമായ
ambrosia	അംബ്രോസി
ambulance	ആംബുലന്സ്
ambush	പതിയിരുന്ന്
ameliorate	സുഗമമായി
amen	ആമേൻ
amenable	അനുയോജ്യമായ
amend	ഭേദഗതി വരുത്തുക
amendment	ഭേദഗതി
amends	ഭേദഗതികൾ
amenity	സമൃദ്ധി
amethyst	ആന്തസ്റ്റിക്
amiable	സുഖകരമാണ്
amicable	സുഖഭോഗമുള്ള
amid	നടുവിൽ
amidst	ഞാനും തമ്മിൽ
amino	അമിനോ
ammo	ammo
ammonia	അമോണിയ
ammonium	അമോണിയം
ammunition	വെടിമരുന്നു
amnesia	അമ്നിയോസിയ
amnesty	ആംനെസ്റ്റി
amorous	അമൃത
amorphous	അമോർഫസ്
amortization	അരോമൈസേഷൻ
amount	തുക
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	ആംഫർട്ടമിൻസ്
amphibian	ഉഭയജീവികൾ
amphibious	ഉഭയജീവികൾ
amphitheater	ആംഫിതിയേറ്റർ
ample	മതിയാവോളമുള്ള
amplification	വികസനം
amplify	വർദ്ധിപ്പിക്കുന്നു
amplitude	വ്യാപ്തി
amply	നന്നായി
amputate	ഛേദിക്കുക
amputation	ഛേദിക്കൽ
amuck	സുഖമാണ്
amulet	ഉറപ്പ്
amuse	ശുഭാപ്തിവിശ്വാസം
amused	തമാശ
amusement	അമ്യൂസ്മെന്റ്
amusing	രസകരം
ana	NO TRANSLATION
anaconda	അനക്കോണ്ട
anaesthesia	അബോധാവസ്ഥ
anaesthetic	അനസ്തേഷ്യ
anagram	അനഗ്രം
anal	വിശപ്പ്
analgesic	ഭഗവാന്റെ
analogous	സമാനമായ
analogue	അനലോഗ്
analogy	സാമ്യം
analysis	വിശകലനം
analyst	വിശകലനം
analytic	വിശകലനം
analytical	വിശകലനം
analyze	വിശകലനം ചെയ്യുക
analyzer	വിശകലനം
anaphylactic	അനാഫൈലക്സിക്
anarchism	അരാജകത്വം
anarchist	അരാജകവാദി
anarchy	അരാജകത്വം
anastomosis	anastomosis
anathema	അനത്വമ
anatomic	അനാട്ടമിക്
anatomy	അനാട്ടമി
ancestor	പൂർവികൻ
ancestral	പൂർവ്വികൻ
ancestry	കുടുംബപശ്ചാത്തലം
anchor	ആങ്കർ
anchorage	ആങ്കറേജ്
ancient	പുരാതന
ancillary	ഉപഭോഗ
androgen	ആൻഡ്രജൻ
android	Android
anecdote	കഥാസംഗ്രഹം
anemia	വിളർച്ച
anemic	വിളർച്ച
anemone	അനിമേഷൻ
anesthesia	അബോധാവസ്ഥ
anesthesiologist	അനസ്തേഷ്യോളജിസ്റ്റ്
anesthetic	അനസ്തേഷ്യ
aneurysm	ആനിമേഷൻ
anew	പുതിയത്
angel	ദൂതൻ
angelic	മാലാഖ
anger	കോപം
angered	ആക്രോശിച്ചു
angermanagement	NO TRANSLATION
angina	angina
angiogram	ആൻജിയോഗ്രാം
angiography	angiography
angle	കോൺ
angling	ആലിംഗനം
angora	അങ്കോറ
angriest	ഏറ്റവും രൂക്ഷമായ
angry	ദേഷ്യം
angrytweet	NO TRANSLATION
angst	angst
anguish	വേദന
anguished	ക്ഷീണിച്ചിരിക്കുന്നു
angular	കോണിക
anhydrous	രക്തചംക്രമണം
animal	മൃഗ
animate	ആനിമേറ്റ് ചെയ്യുക
animated	ആനിമേറ്റഡ്
animation	ആനിമേഷൻ
animosity	വിദ്വേഷം
animus	ആനിമേഷൻ
ankle	കണങ്കാല്
anklet	വാരിയെല്ലുകൾ
annals	അനലോറുകൾ
annex	അനെക്സ്
annexation	കൂട്ടിച്ചേർക്കൽ
annexe	NO TRANSLATION
annihilate	ഉന്മൂലനം ചെയ്യുക
annihilated	ഉന്മൂലനം
annihilation	ഉന്മൂലനം
anniversary	വാർഷികം
annotate	വ്യാഖ്യാനിക്കുക
annotation	വ്യാഖ്യാന
announce	അറിയിക്കുക
announcement	പ്രഖ്യാപനം
announcer	അറിയിപ്പ്
annoy	അലോസരപ്പെടുത്തുക
annoyance	ശല്യപ്പെടുത്തൽ
annoyed	വിദ്വേഷം
annoyin	NO TRANSLATION
annoying	ശല്യപ്പെടുത്തുന്ന
annoys	ആശങ്കപ്പെടുത്തുന്നു
annual	വാർഷികം
annuity	ആന്വിറ്റി
annul	അൻസുൽ
annular	വാർഷിക
annulment	റദ്ദാക്കൽ
annulus	അണ്ഡുലസ്
anointed	അഭിഷേകം
anointing	അഭിഷേകം
anomalous	ക്രമരഹിതമായ
anomaly	അസന്തുലിതമായത്
anon	anon
anonymity	അജ്ഞാതത്വം
anonymous	അജ്ഞാതനാണ്
anorexic	അലോറിക്
answer	ഉത്തരം
answerable	ഉത്തരം പറയണം
answering	ഉത്തരം
ant	ഉറുമ്പ്
antagonism	എതിർപ്പ്
antagonist	വിരുദ്ധനാണ്
antagonistic	വിരുദ്ധമായ
antagonize	പ്രതികരിക്കുക
ante	NO TRANSLATION
antecedent	മുൻകാല
antelope	മണ്ണിൽ വളരുന്നു
antenna	ആന്റിന
anterior	മുൻഭാഗം
anthem	ഗാനം
anthill	ആന്തൂൾ
anthology	ആന്തോളജി
anthrax	ആന്ത്രാക്സ്
anthropological	നരവംശശാസ്ത്രം
anthropologist	നരവംശശാസ്ത്രജ്ഞൻ
anthropology	നരവംശശാസ്ത്രം
anti	വിരുദ്ധം
antiaircraft	ആന്റിന്ര്രോഫ്റ്റ്
antibiotic	ആൻറിബയോട്ടിക്
antibiotics	ആൻറിബയോട്ടിക്കുകൾ
antichrist	ആന്റിക്രൈസ്റ്റ്
anticipate	anticipate
anticipation	മുൻകൂട്ടിക്കാണാൻ
anticipatory	anticipatory
antics	വികാരങ്ങൾ
antidote	മറുമരുന്ന്
antifungal	ആന്റിപൂഞ്ചൽ
antigravity	പ്രതിയോഗി
antimony	ആന്റിമണി
antipathy	അണുബാധ
antiquarian	പഴഞ്ചൻ
antiquated	കാലഹരണപ്പെട്ടു
antique	പുരാതന
antiques	ആന്റിക്യ
antiquity	പുരാതന
antiseptic	ആന്റിസെപ്റ്റിക്
antisocial	ആന്റി സോഷ്യൽ
antithesis	പ്രതിവിധി
antithetical	എതിർപ്പ്
antiviral	ആൻറിവൈറൽ
antler	മന്ത്രവാദി
antsy	അൻസിൽ
anus	മലദ്വാരം
anvil	അണ്വല്ല്
anxiety	ഉത്കണ്ഠ
anxietyattack	NO TRANSLATION
anxious	ഉത്കണ്ഠാജനകമായ
anxiousness	ഉത്കണ്ഠ
anytime	ഏതുസമയത്തും
aorta	aorta
aortic	അന്തരീക്ഷം
apace	അപ്സേസ്
apache	apache
apartment	അപ്പാർട്ട്മെന്റ്
apartments	അപാര്ട്മെംട്
apathetic	നിശബ്ദത
apathy	നിരുപമ
ape	കുരങ്ങനെ
aperture	അപ്പേർച്ചർ
apex	പത്രാഗ്രം
aphid	aphid
aphrodisiac	അണുവിമുക്തമാക്കുക
apiece	ഒരു കഷ്ണം
aplomb	അസുഖം
apocalypse	അപ്പോക്കലിപ്സ്
apocalyptic	അപകടം
apologetic	ക്ഷമിക്കണം
apologist	apologist
apologize	ക്ഷമയാചിക്കുക
apology	ക്ഷമാപണം
apostasy	വിശ്വാസത്യാഗം
apostate	വിശ്വാസത്യാഗം
apostle	അപ്പൊസ്തലൻ
apostolic	അപ്പസ്തോലിക
apostrophe	അപ്പോസ്തോപ്പ്
apothecary	അപ്പോത്തിക്കരി
appalled	ആശങ്കപ്പെടുന്നു
appalling	ശല്യപ്പെടുത്തൽ
apparatus	ഉപകരണം
apparel	വസ്ത്രം
apparent	വ്യക്തമായി
apparently	പ്രത്യക്ഷമായും
apparition	ഭാവന
appeal	അപ്പീൽ
appear	ദൃശ്യമാകും
appearance	ഭാവം
appease	പ്രേക്ഷണം
appellant	അപ്പലേറ്റ്
append	കൂട്ടിച്ചേർക്കുക
appendage	അനുബന്ധം
appendectomy	അണ്ഡവിശദനം
appendicitis	appendicitis
appendix	അനുബന്ധം
appetite	വിശപ്പ്
appetizer	വിശപ്പുണ്ടാകും
appetizing	വിശപ്പ്
applaud	അപേക്ഷിക്കുക
applause	കരഘോഷം
apple	ആപ്പിൾ
apple juice	ആപ്പിൾ നീര്
applejack	applejack
applesauce	ആപ്പിള്വോസ്
appliance	അപ്ലയൻസ്
appliances	വീട്ടുപകരണങ്ങൾ
applicability	പ്രയോഗക്ഷമത
applicable	ബാധകമായത്
applicant	അപേക്ഷക
application	അപേക്ഷ
apply	പ്രയോഗിക്കുക
appoint	നിയമിക്കുക
appointment	നിയമനം
appointments	നിയമനങ്ങൾ
apportion	വിതരണം
apportionment	വിഭജനം
appraisal	വിലയിരുത്തൽ
appraise	വിലയിരുത്തുക
appreciable	പ്രശംസനീയമായ
appreciate	അഭിനന്ദിക്കുന്നു
appreciated	അഭിനന്ദിച്ചു
appreciates	അഭിനന്ദിക്കുന്നു
appreciation	അഭിനന്ദനം
appreciative	നന്ദി
apprehend	പിടിക്കുക
apprehension	ആശങ്ക
apprehensive	ഭയം
apprentice	അപ്രന്റിസ്
apprenticeship	പരിശീലനം
approach	സമീപനം
approaching	സമീപിക്കുന്നത്
approbate	NO TRANSLATION
approbation	സമ്മതം
appropriate	ഉചിതമാണ്
appropriation	കൈവശം വയ്ക്കൽ
approval	അംഗീകാരം
approve	അംഗീകരിക്കുക
approved	അംഗീകരിച്ചു
approvement	അംഗീകാരം
approving	അംഗീകാരം നൽകൽ
approximate	ഏകദേശ
