Word	mi
admiralty	whakapaipai
admiration	whakanui
admire	whakanui
admired	whakahiahia
admirer	whakanui
admiring	whakanui
admissibility	whakaaetanga
admissible	ka taea
admission	whakauru
admit	whakaae
admittance	whakaaetanga
admitted	whakaaetia
admitting	whakaae
admixture	admixture
admonition	whakatupato
ado	whakapaipai
adobe	adobe
adolescence	te taiohi
adolescent	te taiohi
adopt	tango
adoption	whakatipu
adoptive	whakatairanga
adorable	rongonui
adoration	whakanui
adore	aroha
adoring	karakia
adorn	whakapaipai
adornment	whakapaipai
adrenalin	adrenalin
adrenaline	adrenaline
adrift	Tuhinga
adult	pakeke
adulterated	puremu
adulterer	kairau
adultery	puremu
adulthood	te pakeke
advance	Tuhinga
advanced	matatau
advancement	Tuhinga
advancing	Tuhinga
advantage	painga
advantageous	pai
advent	Tuhinga o mua
adventure	Tuhinga
adventurer	kaihoko
adventures	nga mahinga
adventurous	kaihau
adversary	hoariri
adverse	kino
adversity	Tuhinga o mua
advertise	whakatairanga
advertisement	pānuitanga
advertising	pānuitanga
adverts	Tuhinga
advice	tohutohu
advisable	tika
advise	tohutohu
advised	tohutohu
advisement	tohutohu
adviser	kaiwhakaako
advisor	kaiwhakaako
advisory	tohutohu
advocacy	tautoko
advocate	Tuhinga
aegis	Tuhinga o mua
aeration	Tuhinga
aerial	Tuhinga
aerobics	haurangi
aerodrome	haurangi
aerodynamic	haurangi
aerodynamics	haurangi
aeronautics	te hunga hauora
aeroplane	vaalele
aerospace	mokowā
aesthetic	ahuareka
aesthetics	aesthetics
aetiology	aetiology
afar	tawhiti
affable	Tuhinga
affair	mahi
affect	pānga
affecting	e pā ana
affection	aroha
affectionate	aroha
affections	aroha
affiche	NO TRANSLATION
affidavit	taunakitanga
affiliated	hono
affiliation	hononga
affinity	Tuhinga
affirm	whakamana
affirmation	whakautu
affirmative	whakautu
affirmatively	i runga i te kupu
affix	Tuhinga
afflict	mamae
afflicted	mamae
affliction	Tuhinga o mua
affluence	Tuhinga
affluent	hua
afford	utu
affordable	utu
affront	whakaeke
affronted	whakahē
afield	Tuhinga
afire	Tuhinga
afloat	Tuhinga o mua
afore	Tuhinga o mua
aforementioned	i kiia i mua
aforesaid	i korerotia i mua
afraid	wehi
afresh	hou
african	african
aft	Tuhinga o mua
afterlife	muri muri
aftermath	Tuhinga o mua
afternoon	ahiahi
aftershave	muri muri
aftertaste	Tuhinga o mua
afterthought	Tuhinga o mua
aga	NO TRANSLATION
agape	agape
agate	agate
age	tau
aged	koroheke
agency	umanga
agenda	kaupapa
agent	kaihoko
agglomeration	agglomeration
aggravate	whakahou
aggravated	nui ake
aggravates	te whakatikatika
aggravating	whakatikatika
aggravation	Tuhinga o mua
aggregate	kohikohi
aggregation	huihuinga
aggresive	NO TRANSLATION
aggression	riri
aggressive	kaha
aggressively	kaha
aggressiveness	Tuhinga o mua
aggressor	Tuhinga o mua
agh	Tuhinga o mua
aghast	Tuhinga o mua
aghhh	NO TRANSLATION
agile	agile
agility	Tuhinga
aging	koroheke
agitate	whakatikatika
agitated	ka raru
agitation	te whakaoho
aglow	aglow
agnostic	agnostic
ago	i mua
agonizing	mamae
agony	mamae
agoraphobia	agoraphobia
agree	whakaae
agreeable	he pai
agreed	whakaae
agreeing	whakaae
agreement	whakaaetanga
agressive	NO TRANSLATION
agricultural	umanga
agriculture	te ahuwhenua
aground	a tawhio noa
agua	NO TRANSLATION
ahead	Tuhinga o mua
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	Tuhinga o mua
aid	āwhina
aide	awhina
aiding	awhina
aids	awhina
ail	Tuhinga o mua
ailing	mate
ailment	mate
aim	whāinga
aimless	kore noa
air	hau
airbag	airbag
airborne	haurangi
aircraft	rererangi
aircraft carrier	waka kawerangi
airfield	haurangi
airhead	haurangi
airlift	Tuhinga o mua
airline	wakarangi
airliner	haurangi
airlock	haurangi
airman	haurangi
airplane	vaalele
airport	paparangi rererangi
airs	hau
airship	haurangi
airspace	mokowārangi
airspeed	haurangi
airstrip	piripiri
airtight	Tuhinga o mua
airway	haurangi
aisle	waahi
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	akin
alabaster	alabaster
alarm	whakaoho
alarm clock	karaka whakaoho
alarmed	ka mataku
alarming	whakawehi
alas	Tuhinga
alb	NO TRANSLATION
albatross	albatross
albino	Tuhinga
album	album
alchemy	alchemy
alcohol	waipiro
alcoholic	waipiro
alcoholism	waipiro
alcove	Tuhinga o mua
alderman	alderman
ale	NO TRANSLATION
alert	mataara
alertness	mataara
alerts	mataara
alfalfa	alfalfa
algebra	taurangi
algebraic	algebraic
algorithm	algorithm
alias	tohu
alibi	alibi
alien	tangata ke
alienate	tohatoha
alienated	ka rereke
alienation	Tuhinga
alight	haere
align	hono
aligned	e hāngai ana
alignment	whakawhitinga
alike	rite tonu
alimentation	NO TRANSLATION
alimony	alimony
aliquot	Tuhinga
alive	ora
alkali	alkali
alkaloids	alkaloids
allay	whakahou
allegation	Tuhinga
allege	korero
alleged	ka kiia
allegiance	Tuhinga
allegorical	Tuhinga
allegory	Tuhinga
allegro	Tuhinga
allergic	mate mate
allergy	mate mate
alleviate	whakakorea
alleviation	whakaiti
alley	ara
alleyway	arawhata
alliance	Tuhinga
allied	Tuhinga
alligator	Tuhinga o mua
allocate	tohatoha
allocation	tohatoha
allot	toha
allotment	Tuhinga
allow	whakaaetia
allowable	ka taea
allowance	Tuhinga
allowed	whakaaetia
alloy	Tuhinga
allsmiles	NO TRANSLATION
allure	Tuhinga
alluring	whakaari
allusion	toronga
alluvial	Tuhinga
ally	hoa
almanac	almanac
almighty	Kaha Rawa
almond	aramona
aloft	Tuhinga o mua
aloha	aroha
alone	anake
alongside	i te taha
aloof	Tuhinga o mua
aloud	nui
alpha	alpha
alphabet	tohu
alphabetical	tohu
alpine	Tuhinga
alreadyyyyy	Tuhinga o mua
altar	aata
altar boy	tamaiti tamaiti
alter	hurihia
alteration	whakarerekē
altercation	Tuhinga
altered	kua whakarereketia
alternate	rerekē
alternating	rerekē
alternative	rerekē
altimeter	teitei
altitude	teitei
alto	Tuhinga o mua
altogether	katoa
aluminum	konumohe
alumnus	Tuhinga
alveolar	Tuhinga o mua
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	whakakotahi
amaretto	Tuhinga
amass	whakaemihia
amateur	amateur
amaze	miharo
amazed	miharo
amazedness	NO TRANSLATION
amazement	miharo
amazing	maere
amazingly	miharo
ambassador	karere
amber	amber
ambience	hinengaro
ambient	mema
ambiguity	taatai
ambiguous	maama
ambit	ambit
ambition	hiahia
ambitious	hiahia
ambivalent	Tuhinga
ambrosia	ambrosia
ambulance	motuka
ambush	tatari
ameliorate	whakanui
amen	Amene
amenable	Tuhinga ka whai mai
amend	whakatikatika
amendment	whakatikatika
amends	whakatika
amenity	Tuhinga
amethyst	amethyst
amiable	he pai
amicable	pai
amid	i waenganui
amidst	Tuhinga o mua
amino	amino
ammo	ammo
ammonia	amonia
ammonium	ammonium
ammunition	umanga
amnesia	amnesia
amnesty	Tuhinga o mua
amorous	ahuareka
amorphous	amorphous
amortization	whakahoutanga
amount	nui
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	amphitheater
ample	nui
amplification	whakangungu
amplify	whakanui ake
amplitude	rahi
amply	nui
amputate	ka wehea
amputation	Tuhinga
amuck	amuck
amulet	amulet
amuse	koa
amused	koa
amusement	hākinakina
amusing	ngahau
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	Tuhinga o mua
anaesthetic	whakahuatanga
anagram	tohu
anal	te whakama
analgesic	Tuhinga o mua
analogous	rite tonu
analogue	ana korero
analogy	tauira
analysis	tātari
analyst	kaiatari
analytic	tātari
analytical	tātari
analyze	te tātari
analyzer	kaitohu
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	Tuhinga o mua
anastomosis	anastomosis
anathema	Tuhinga o mua
anatomic	anatomic
anatomy	anatomy
ancestor	tupuna
ancestral	tupuna
ancestry	tupuna
anchor	punga
anchorage	tautuhinga
ancient	Tuhinga o mua
ancillary	Tuhinga
androgen	androgen
android	phi
anecdote	Tuhinga
anemia	anemia
anemic	anemic
anemone	anemone
anesthesia	Tuhinga o mua
anesthesiologist	anesthesiologist
anesthetic	whakahuatanga
aneurysm	anerysm
anew	hou
angel	anahera
angelic	anahera
anger	riri
angered	riri
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiography
angle	koki
angling	Tuhinga
angora	angora
angriest	Tuhinga o mua
angry	riri
angrytweet	NO TRANSLATION
angst	Tuhinga o mua
anguish	pouri
anguished	pouri
angular	angular
anhydrous	matewai
animal	kararehe
animate	whakaari
animated	whakaari
animation	whakaari
animosity	haurangi
animus	animus
ankle	te waewae
anklet	anklet
annals	tau
annex	Tuhinga
annexation	Tuhinga
annexe	NO TRANSLATION
annihilate	Tuhinga o mua
annihilated	ngarohia
annihilation	Tuhinga o mua
anniversary	whakanui
annotate	whakahuahia
annotation	Tuhinga
announce	whakapuaki
announcement	panui
announcer	kaiwhakatairanga
annoy	he riri
annoyance	riri
annoyed	riri
annoyin	NO TRANSLATION
annoying	he riri
annoys	ka riri
annual	tau
annuity	Tuhinga
annul	whakakore
annular	Tuhinga o mua
annulment	whakakore
annulus	Tuhinga
anointed	i whakawahia
anointing	te whakawahinga
anomalous	kore
anomaly	anomaly
anon	anon
anonymity	ingoa kore
anonymous	ingoa kore
anorexic	kaore he mate
answer	whakautu
answerable	Tuhinga ka whai mai
answering	whakautu
ant	toka
antagonism	aukati
antagonist	kaitautoko
antagonistic	whakahē
antagonize	antagonize
ante	NO TRANSLATION
antecedent	Tuhinga
antelope	antelope
antenna	antenna
anterior	Tuhinga o mua
anthem	Tuhinga o mua
anthill	Tuhinga o mua
anthology	Tuhinga o mua
anthrax	anthrax
anthropological	anthropological
anthropologist	anthropologist
anthropology	anthropology
anti	anti
antiaircraft	Tuhinga o mua
antibiotic	antibiotic
antibiotics	patu paturopi
antichrist	anatikaraiti
anticipate	Tuhinga o mua
anticipation	te tumanako
anticipatory	Tuhinga o mua
antics	Tuhinga o mua
antidote	rongoā
antifungal	antifungal
antigravity	Tuhinga o mua
antimony	antimony
antipathy	Tuhinga o mua
antiquarian	Tuhinga o mua
antiquated	Tuhinga o mua
antique	tawhito
antiques	tawhito
antiquity	Tuhinga o mua
antiseptic	Tuhinga o mua
antisocial	Tuhinga o mua
antithesis	Tuhinga o mua
antithetical	Tuhinga whakaheke
antiviral	antiviral
antler	Tuhinga o mua
antsy	antsy
anus	Tuhinga
anvil	paera
anxiety	manukanuka
anxietyattack	NO TRANSLATION
anxious	manukanuka
anxiousness	Tuhinga o mua
anytime	tetahi wa
aorta	aorta
aortic	Tuhinga o mua
apace	waatea
apache	apache
apartment	whare noho
apartments	nga painga
apathetic	kaore e pai
apathy	te ngatahara
ape	ape
aperture	tuwhera
apex	apex
aphid	aphid
aphrodisiac	aphrodisiac
apiece	Tuhinga
aplomb	apromb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	Tuhinga o mua
apologist	apologist
apologize	mihi
apology	tohaina
apostasy	apostasy
apostate	apostate
apostle	apotoro
apostolic	apostolic
apostrophe	apostrophe
apothecary	Tuhinga o mua
appalled	ka miharo
appalling	whakaharahara
apparatus	taputapu
apparel	kakahu
apparent	ka kitea
apparently	te āhua
apparition	puta
appeal	karanga
appear	puta
appearance	ahua
appease	toha
appellant	kaitono
append	tāpiri
appendage	tāpiritanga
appendectomy	appendectomy
appendicitis	appendicitis
appendix	apitihanga
appetite	hiahia
appetizer	te hiahia
appetizing	te kai
applaud	whakahau
applause	whakanui
apple	aporo
apple juice	aporo wai
applejack	applejack
applesauce	applesauce
appliance	taputapu
appliances	taputapu
applicability	Tuhinga
applicable	whaitake
applicant	kaitono
application	tono
apply	tono
appoint	whakarite
appointment	Tuhinga
appointments	nga whakaritenga
apportion	te wehewehe
apportionment	te wehewehe
appraisal	arohaehae
appraise	te aromatawai
appreciable	he painga
appreciate	mauruuru
appreciated	i paingia
appreciates	ka mihi
appreciation	mihi
appreciative	mihi
apprehend	hopu
apprehension	te wehi
apprehensive	wehi
apprentice	ākonga
apprenticeship	kaupapa ako
approach	huarahi
approaching	tata ana
approbate	NO TRANSLATION
approbation	whakaaetanga
appropriate	tika
appropriation	tahua
approval	whakaaetanga
approve	whakaaetia
approved	whakaaetia
approvement	whakatairanga
approving	whakaaetia
approximate	tata
approximately	tata
approximating	tata ana
approximation	whakawhitinga
appurtenances	nga ahuatanga
apricot	apricot
apron	apron
apt	Tuhinga
aptitude	te waatea
aqua	wai
aquamarine	te moana
aquarium	aquarium
aquatic	te wai
aqueduct	Tuhinga
aqueous	Tuhinga
arable	arable
arbiter	kaiwhakawa
arbitrary	whakawhitiwhiti
arbitrate	whakawakanga
arbitration	Tuhinga
arbitrator	kaiwhakawa
arbor	arbor
arc	arc
arcade	arcade
arcane	arcane
arch	Tuhinga
archaeological	archaeological
archaeologist	kaiwhakaako archaeologist
archaeology	archeology
archaic	archaic
archangel	archangel
archbishop	archbishop
archdiocese	archdiocese
archduke	archduke
arched	arched
archer	pereki
archery	pupuhi
archetype	archetype
archipelago	motu
architect	hoahoa
architectural	hoahoa
architecture	hoahoa
archive	tuhinga
arctic	arctic
ardent	ardent
ardor	Tuhinga o mua
arduous	Tuhinga
area	rohe
arena	waahi
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	Tuhinga o mua
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	tautohe
argument	tautohe
argumentation	tautohe
argumentative	tautohe
arguments	nga tautohe
arid	Tuhinga o mua
arise	whakatika
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	aristocratic
arithmetic	Tuhinga
ark	aaka
arm	ringa
armada	armada
armament	patu
armaments	taputapu
armature	Tuhinga
armchair	Tuhinga o mua
armed	patu
armor	te patu
armored	ka whakairohia
armory	whare taonga
armpit	Tuhinga
arms	ringa
army	ope
aroma	kakara
aromatherapy	aromatherapy
arousal	aro
arouse	whakaoho
aroused	whakaohohia
arraignment	arraignment
arrange	whakarite
arranged	whakaritea
arrangement	whakaritenga
array	raupapa
arrears	Tuhinga
arrest	hopukina
arrhythmia	arrhythmia
arrival	tae mai
arrive	tae mai
arrogance	whakapehapeha
arrogant	whakapehapeha
arrow	pere
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	arson
arsonist	arsonist
art	toi
arterial	Tuhinga
artery	Tuhinga o mua
artful	whakahihi
arthritis	Tuhinga o mua
arthropod	arthropod
artichoke	artichoke
article	Tuhinga
articles	Tuhinga
articulate	whakahua
articulation	Tuhinga
artifact	artifact
artifice	Tuhinga
artificial	artificial
artillery	toi
artisan	kaimahi
artist	tohunga
artiste	NO TRANSLATION
artistic	toi
artistry	toi
artists	toi
artwork	mahi toi
arty	Tuhinga
asap	Tuhinga
asbestos	asbestos
ascend	piki ake
ascendancy	Tuhinga
ascendant	Tuhinga
ascending	ka piki
ascension	Tuhinga o mua
ascent	pikitanga
ascertain	rapu
ascertained	i kitea
ascetic	Tuhinga
ash	pungarehu
ashamed	whakama
ashes	pungarehu
ashtray	potae
asinine	asinine
ask	ui
asleeep	NO TRANSLATION
asleep	moe
asp	asp
asparagus	te tipareka
aspartame	aspartame
aspect	āhuatanga
aspects	āhuatanga
aspen	aspen
asphalt	kapi
asphyxia	asphyxia
asphyxiation	Tuhinga o mua
aspiration	wawata
aspire	hiahia
aspirin	aspirin
aspiring	e hiahia ana
ass	kaihe
assail	whakaeke
assailant	Tuhinga o mua
assassin	kohuru
assassinate	kohuru
assassination	kohuru
assault	whakaeke
assay	Tuhinga
assemblage	kohikohi
assemble	huihui
assembled	huihui
assembly	huihuinga
assemblyman	kaimahi
assent	whakaae
assert	whakahua
asserting	whakahua
assertion	Tuhinga
assertive	te taunakitanga
assess	aromatawai
assessment	aromatawai
assessor	kaiwhakaako
asset	taonga
assets	taonga
asshole	Tuhinga
assign	tohua
assignee	kaiwhakahaere
assignment	mahi
assimilate	whakaekea
assimilation	Tuhinga
assist	awhina
assistance	āwhina
assistant	kaiwhakahaere
associate	hoa
association	rōpū
assorted	he whakaheke
assortment	Tuhinga
assuage	whakahua
assume	kawe
assumed	ka mau
assuming	whakaaro
assumption	whakaaro
assurance	Tuhinga
assure	whakapumau
assured	ka akiaki
assuredly	he pono
asterisk	tohu
asteroid	asteroid
asteroids	asteroids
asthma	mate pukupuku
asthmatic	asthmatic
astigmatism	astigmatism
astonish	miharo
astonished	miharo
astonishing	miharo
astonishingly	NO TRANSLATION
astonishment	miharo
astound	miharo
astral	astral
astray	ka kotiti
astringent	astringent
astrologer	kairangi
astrology	astrology
astronaut	hiko
astronomer	kaiauroro
astronomical	tohurangi
astronomy	te wheturangi
astute	ngawari
asunder	Tuhinga o mua
asylum	waahi
asymmetric	Tuhinga
asymmetry	Tuhinga
asymptotic	asymptotic
atelier	kaupapa mahi
atheism	atheism
atheist	atheist
atheistic	atheistic
atherosclerosis	atherosclerosis
athlete	kaitakaro
athletic	hākinakina
athleticism	hākinakina
athletics	hākinakina
atlas	Tuhinga
atmosphere	haurangi
atmospheric	Tuhinga o mua
atoll	Tuhinga
atom	atom
atomic	Tuhinga
atone	te utu
atonement	whakamarie
atpeace	Tuhinga
atrium	atrium
atrocious	Tuhinga o mua
atrocity	aukati
atrophy	atrophy
attach	tāpiri
attached	piri
attachment	taapiri
attack	whakaeke
attacker	hoariri
attacking	whakaeke
attain	tae
attainable	ka taea
attainment	whakatutuki
attempt	ngana ngana
attempted	te ngana
attend	haere
attendance	haere
attendant	kaimahi
attention	aro
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	whakarongo
attenuate	ateneua
attenuated	i whakaurua
attenuation	Tuhinga
attest	tohu
attestation	tohu
attic	kaukau
attire	kakahu
attitude	whakaaro
attorney	kaitohutohu
attract	kukume
attraction	te waahi
attractive	ātaahua
attractiveness	ātaahua
attributable	he huanga
attribute	huanga
attribution	tuku
attrition	kairangi
auburn	auburn
auction	Tuhinga o mua
auctioneer	auctioneer
audacious	te hihiri
audacity	te maia
audible	whakarongo
audience	whakarongo
audio	ororongo
audit	arotake
audition	whakaari
auditions	Tuhinga
auditor	kaiwhakahaere
auditorium	whare karakia
auditory	Tuhinga
aught	tetahi
augment	whakanui
augmentation	whakanui
august	Tuhinga o mua
aunt	whaea
auntie	Tuhinga o mua
aura	aura
aurora	aurora
auspices	Tuhinga
auspicious	he pai
austere	Tuhinga o mua
austerity	Tuhinga o mua
authentic	pono
authenticate	te tautuhi
authentication	te whakamotuhēhētanga
authenticity	pono
author	kaituhi
authoritative	mana
authority	mana
authorization	whakaaetanga
authorize	whakamana
authorized	whakaaetia
authorship	kaituhi
autism	autism
autistic	autistic
auto	auto
autobiographical	autobiographical
autobiography	autobiography
autocorrect	whakatikatika
autocratic	autocratic
autograph	autograph
autographed	taunoa
automated	taunoa
automatic	aunoa
automobile	motokā
automotive	motopaika
autonomy	te mana motuhake
autopilot	autopilot
autopsy	autopsy
autumn	ngahuru
auxiliary	awhina
avail	Tuhinga
availability	wātea
available	wātea
avalanche	avalanche
avarice	Tuhinga
avatar	avatar
avenge	utu
avenger	kaihoko
avenging	utu
avenue	ara
aver	NO TRANSLATION
average	toharite
aversation	NO TRANSLATION
averse	whakaheke
averseness	Tuhinga
aversion	Tuhinga
avert	whakakore
aviary	aviary
aviation	rererangi
aviator	Tuhinga o mua
avid	Tuhinga
avocado	papahau
avoid	karo
avoidance	Tuhinga
avoiding	te karo
await	tatari
awake	maranga
awaken	whakaarahia
awakening	whakaoho
award	tohu
awards	tohu
aware	mōhio
awareness	mōhiotanga
awe	NO TRANSLATION
awed	awangawanga
awesome	whakamataku
awesomeness	awesomeness
awestruck	awestruck
awful	kino
awkward	haumaru
awkwardness	awkwardness
awning	kapi
awry	awhi
axe	toki
axial	tuakiri
axiom	Tuhinga
axiomatic	axiomatic
axis	tuaka
axle	peke
ay	Tuhinga
aye	ora
azimuth	azimuth
azure	azure
babble	paku
babbling	pana
babe	tamaiti
baboon	waahi
baby	pepe
babysit	Tuhinga o mua
babysitter	kaitiaki pani
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	paetahi
bachelorette	bachelorette
back	hoki
backboard	Tuhinga
backbone	Tuhinga
backdoor	Tuhinga
backdrop	Tuhinga
backer	kaitiaki
backfire	Tuhinga o mua
backgammon	backgammon
background	Tuhinga
backhand	Tuhinga o mua
backhoe	takahoe
backoff	Tuhinga
backpack	pekepae
backpacker	backpacker
backroom	wharepaku
backseat	backseat
backside	Tuhinga o mua
backtrack	Tuhinga
backup	tārua
backward	muri
backwardness	Tuhinga
backwards	muri
backwater	puna wai
backwoods	Tuhinga o mua
backyard	tuari
bacon	keke
bacteria	huakita
bacterial	huaketo
bacterium	huakeri
bad	kino
badass	kino
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	tohu
badger	putea
badhabit	NO TRANSLATION
badly	kino
badness	kino
baffle	Tuhinga
baffled	ka pahure
bag	putea
bagel	putea
baggage	Tuhinga
baggie	baggie
baggy	putea
bagman	putea
bagpipes	putea
bail	Tuhinga o mua
bailiff	kaituku hāmene
bait	pupuhi
bake	tunu
bakery	whare tunu
baking	tunu
bal	NO TRANSLATION
balance	taurite
balanced	taurite
balcony	taupee
bald	Tuhinga o mua
balding	panuku
baldy	Tuhinga o mua
bale	whara
balk	paraka
ball	pōro
ballad	Tuhinga o mua
ballast	Tuhinga o mua
ballerina	Tuhinga o mua
ballet	potae
ballgame	Tuhinga o mua
ballistic	poroporo
ballistics	te puoro
balloon	poihau
ballot	pōti
ballpark	poroporo
ballplayer	poipiri
ballpoint	porowhita
ballroom	te poroporo
ballsy	poroporo
balm	pama
balmy	Tuhinga ka whai mai
balsam	Balsam
balsamic	Balsamic
bam	pupuhi
bamboo	potae
ban	NO TRANSLATION
banana	panana
band	rōpū
bandage	papiri
bandanna	NO TRANSLATION
bandit	roopu
bandstand	raupapa
bandwagon	ropuroki
bandwidth	Tuhinga o mua
bane	bane
bang	pene
banger	putea
banish	Tuhinga
banished	Tuhinga o mua
banishment	Tuhinga o mua
banister	rangatira
banjo	karajo
bank	putea
banker	kaihoko
banking	putea
bankroll	Tuhinga o mua
bankrupt	pakihi
bankruptcy	pakihi
banner	haki
banquet	hakari
banshee	banshee
banter	panuku
banzai	NO TRANSLATION
baptism	te iriiri
baptismal	te iriiri
baptize	iriiri
bar	pae
barb	papa
