Word	ny
actuality	zenizeni
actuary	zochitika
acuity	chibwibwi
acumen	acumen
acupuncture	kuwombera
acute	zovuta
acutely	mwachangu
ad	malonda
adage	malingaliro
adamant	adamant
adapt	sintha
adaptable	zosinthika
adaptation	kusintha
add	onjezerani
added	adawonjezeredwa
addendum	wonjezerani
adder	adder
addict	chizoloŵezi
addicted	addicted
addiction	kuledzera
addictive	addictive
addition	kuwonjezera
additional	zina
additive	zowonjezera
address	adilesi
addressee	wothandizira
addresses	maadiresi
adept	wodalirika
adequacy	kukwanira
adequate	zokwanira
adhere	kumamatira
adherence	kutsatira
adherent	omvera
adhering	kumamatira
adhesion	kulumikiza
adhesive	zomatira
adieu	adieu
adipose	adipose
adjacency	zapafupi
adjacent	pafupi
adjective	chiganizo
adjoining	kuphatikizapo
adjourn	bwererani
adjournment	kubwereza
adjudicate	akutsutsa
adjudication	chigamulo
adjunct	yambani
adjust	kusintha
adjuster	sinthani
adjustment	kusintha
adjuvant	adjuvant
admin	admin
administer	perekani
administration	ulamuliro
administrative	ulamuliro
administrator	mtsogoleri
admirable	zosangalatsa
admiral	admiral
admiralty	admiralty
admiration	kuyamikira
admire	ayamikireni
admired	amavomereza
admirer	kuyamikira
admiring	kuyamikira
admissibility	kulandira
admissible	amavomerezedwa
admission	kuvomereza
admit	kuvomereza
admittance	kuvomereza
admitted	avomerezedwa
admitting	kuvomereza
admixture	kusakanizikana
admonition	malangizo
ado	ado
adobe	adobe
adolescence	unyamata
adolescent	wachinyamata
adopt	kuthandizira
adoption	kukhazikitsidwa
adoptive	olandira
adorable	zosangalatsa
adoration	kupembedza
adore	kondani
adoring	kumvetsera
adorn	zokongoletsa
adornment	zokongoletsera
adrenalin	adrenalin
adrenaline	adrenaline
adrift	adrift
adult	wamkulu
adulterated	akuphwanyidwa
adulterer	wachigololo
adultery	chigololo
adulthood	wachikulire
advance	kupita patsogolo
advanced	wapita patsogolo
advancement	kupita patsogolo
advancing	kupita patsogolo
advantage	zopindulitsa
advantageous	zopindulitsa
advent	kubwera
adventure	ulendo
adventurer	wopita
adventures	masewera
adventurous	adventurous
adversary	mdani
adverse	zovuta
adversity	mavuto
advertise	lengezani
advertisement	malonda
advertising	malonda
adverts	malonda
advice	malangizo
advisable	ndibwino
advise	kulangiza
advised	adalangizidwa
advisement	Langizani
adviser	mlangizi
advisor	mlangizi
advisory	uphungu
advocacy	kulengeza
advocate	wolimbikitsa
aegis	aegis
aeration	aeration
aerial	mlengalenga
aerobics	aerobics
aerodrome	kutentha kwapadera
aerodynamic	aerodynamic
aerodynamics	zozizwitsa
aeronautics	aeronautics
aeroplane	ndege
aerospace	malo osungirako zinthu
aesthetic	zokongoletsa
aesthetics	aesthetics
aetiology	Etiology
afar	kutali
affable	zosokonezeka
affair	nkhani
affect	zimakhudza
affecting	zomwe zimakhudza
affection	chikondi
affectionate	wachikondi
affections	chikondi
affiche	NO TRANSLATION
affidavit	zovomerezeka
affiliated	ogwirizana
affiliation	kuyanjana
affinity	chiyanjano
affirm	kutsimikiza
affirmation	kutsimikiziridwa
affirmative	zovomerezeka
affirmatively	kutsimikizira
affix	yikani
afflict	kuzunzika
afflicted	ozunzika
affliction	nsautso
affluence	chuma
affluent	olemera
afford	kukwanitsa
affordable	zotsika mtengo
affront	chisokonezo
affronted	kukangana
afield	malo
afire	moto
afloat	kutentha
afore	afore
aforementioned	zomwe tatchulazi
aforesaid	zomwe tatchulazi
afraid	mantha
afresh	mwatsopano
african	African
aft	aft
afterlife	pambuyo pa moyo
aftermath	pambuyo
afternoon	madzulo
aftershave	pambuyo
aftertaste	pambuyo pake
afterthought	pambuyo pake
aga	NO TRANSLATION
agape	agape
agate	agate
age	zaka
aged	okalamba
agency	bungwe
agenda	zochitika
agent	wothandizira
agglomeration	chiwonongeko
aggravate	kukulitsa
aggravated	kuwonjezereka
aggravates	zimakula
aggravating	kukulirakulira
aggravation	zovuta
aggregate	kuphatikiza
aggregation	aggregation
aggresive	NO TRANSLATION
aggression	nkhanza
aggressive	nkhanza
aggressively	mwaukali
aggressiveness	nkhanza
aggressor	nkhanza
agh	agh
aghast	zovuta
aghhh	NO TRANSLATION
agile	zovuta
agility	mphamvu
aging	kukalamba
agitate	sungani
agitated	adagwedezeka
agitation	kusokonezeka
aglow	kuyaka
agnostic	osakhulupirira
ago	kale
agonizing	zowawa
agony	zowawa
agoraphobia	agoraphobia
agree	kuvomereza
agreeable	zovomerezeka
agreed	adagwirizana
agreeing	kuvomereza
agreement	mgwirizano
agressive	NO TRANSLATION
agricultural	ulimi
agriculture	ulimi
aground	pansi
agua	NO TRANSLATION
ahead	patsogolo
ahhh	ah
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	thandizo
aide	thandizo
aiding	kuthandiza
aids	zothandizira
ail	chosowa
ailing	odwala
ailment	matenda
aim	cholinga
aimless	zopanda pake
air	mpweya
airbag	airbag
airborne	amachoka
aircraft	ndege
aircraft carrier	woyendetsa ndege
airfield	ndege
airhead	mutu wamutu
airlift	ndege
airline	ndege
airliner	ndege
airlock	airlock
airman	airman
airplane	ndege
airport	ndege
airs	mpweya
airship	ndege
airspace	mpweya
airspeed	mpweya
airstrip	bwalo la ndege
airtight	osagwedezeka
airway	ulendo wapansi
aisle	modutsa
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	mofananira
alabaster	alabaster
alarm	alamu
alarm clock	ola
alarmed	mantha
alarming	zochititsa mantha
alas	tsoka
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	album
alchemy	alchemy
alcohol	mowa
alcoholic	mowa
alcoholism	uchidakwa
alcove	mowa
alderman	alderman
ale	NO TRANSLATION
alert	tcheru
alertness	tcheru
alerts	machenjezo
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	algorithm
alias	alias
alibi	alibi
alien	mlendo
alienate	kuchotsa
alienated	osiyana
alienation	kuchoka
alight	mwatsatanetsatane
align	yanizani
aligned	zigwirizana
alignment	kulumikizana
alike	chimodzimodzi
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	wamoyo
alkali	alkali
alkaloids	alkaloids
allay	yang'anani
allegation	zifukwa
allege	kunena
alleged	akuti
allegiance	kukhulupirika
allegorical	zophiphiritsira
allegory	zolemba
allegro	allegro
allergic	zosokonezeka
allergy	zovuta
alleviate	kuchepetsa
alleviation	kuchepetsa
alley	alley
alleyway	msewu
alliance	mgwirizano
allied	allied
alligator	alligator
allocate	allocate
allocation	kugawa
allot	allot
allotment	gawo
allow	lolani
allowable	zovomerezeka
allowance	malipiro
allowed	analoledwa
alloy	alloy
allsmiles	NO TRANSLATION
allure	kukopa
alluring	kukonda
allusion	kutchulidwa
alluvial	alluvial
ally	mgwirizano
almanac	almanac
almighty	wamphamvuyonse
almond	amondi
aloft	aloft
aloha	aloha
alone	nokha
alongside	limodzi
aloof	lokha
aloud	mokweza
alpha	alpha
alphabet	zilembo
alphabetical	zojambulajambula
alpine	alpine
alreadyyyyy	kale kale
altar	guwa
altar boy	mnyamata wamchere
alter	kusintha
alteration	kusintha
altercation	kusinthika
altered	anasintha
alternate	zina
alternating	kusinthana
alternative	njira zina
altimeter	altimeter
altitude	pamwamba
alto	alto
altogether	zonse
aluminum	aluminium
alumnus	alumnus
alveolar	zovunda
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	mgwirizano
amaretto	amaretto
amass	amass
amateur	amateur
amaze	zodabwitsa
amazed	kudabwa
amazedness	NO TRANSLATION
amazement	kudabwa
amazing	zodabwitsa
amazingly	zodabwitsa
ambassador	nthumwi
amber	amber
ambience	ambience
ambient	zozungulira
ambiguity	kusamvana
ambiguous	zosamveka
ambit	ambit
ambition	chilakolako
ambitious	zofuna
ambivalent	ambivalent
ambrosia	ambrosia
ambulance	ambulansi
ambush	akubisala
ameliorate	kumvetsetsa
amen	ameni
amenable	amenable
amend	kusintha
amendment	kusintha
amends	amasintha
amenity	zabwino
amethyst	amethyst
amiable	wokondeka
amicable	zokondweretsa
amid	pakati
amidst	pakati
amino	amino
ammo	ammo
ammonia	ammonia
ammonium	ammonium
ammunition	zida
amnesia	amnesia
amnesty	chikhululuko
amorous	okonda
amorphous	amorphous
amortization	kubwezera
amount	kuchuluka
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	masewera
ample	zokwanira
amplification	kukweza
amplify	kukulitsa
amplitude	matalikidwe
amply	mokwanira
amputate	bweza
amputation	kuchotsa
amuck	amuck
amulet	amulet
amuse	kondwerani
amused	amanyansidwa
amusement	zosangalatsa
amusing	kusangalatsa
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthesia
anaesthetic	kupweteka
anagram	anagram
anal	anal
analgesic	analgesic
analogous	analogous
analogue	analogue
analogy	analogy
analysis	kusanthula
analyst	wofufuza
analytic	kulingalira
analytical	kusinkhasinkha
analyze	sinkhasinkha
analyzer	analyzer
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	anarchist
anarchy	chisokonezo
anastomosis	anastomosis
anathema	anathema
anatomic	anatomic
anatomy	anatomy
ancestor	kholo
ancestral	makolo
ancestry	makolo
anchor	nangula
anchorage	anchorage
ancient	wakale
ancillary	zovomerezeka
androgen	androgen
android	android
anecdote	anecdote
anemia	kuperewera kwa magazi
anemic	mliri
anemone	anemone
anesthesia	anesthesia
anesthesiologist	katswiri wamagetsi
anesthetic	kupweteka
aneurysm	aneurysm
anew	watsopano
angel	mngelo
angelic	angelo
anger	mkwiyo
angered	anakwiya
angermanagement	NO TRANSLATION
angina	angina
angiogram	chiwonetsero
angiography	angiography
angle	ngodya
angling	kuwomba
angora	angora
angriest	zowawa
angry	wokwiya
angrytweet	NO TRANSLATION
angst	osst
anguish	zowawa
anguished	ndikumva chisoni
angular	zovuta
anhydrous	anhydrous
animal	nyama
animate	pangani
animated	animated
animation	zojambula
animosity	chidani
animus	animus
ankle	ankle
anklet	anklet
annals	annals
annex	annex
annexation	kulembedwa
annexe	NO TRANSLATION
annihilate	chiwonongeko
annihilated	anawonongedwa
annihilation	chiwonongeko
anniversary	tsiku lachikumbutso
annotate	wonaninso
annotation	ndemanga
announce	kulengeza
announcement	kulengeza
announcer	wolengeza
annoy	kukwiya
annoyance	kukwiya
annoyed	anakwiya
annoyin	NO TRANSLATION
annoying	zokhumudwitsa
annoys	zimakwiyitsa
annual	pachaka
annuity	annuity
annul	pezani
annular	annular
annulment	kusokoneza
annulus	annulus
anointed	odzozedwa
anointing	kudzoza
anomalous	anomalous
anomaly	zovuta
anon	anon
anonymity	kudziwika
anonymous	osadziwika
anorexic	anorexic
answer	Yankhani
answerable	yankho
answering	kuyankha
ant	nyerere
antagonism	kutsutsana
antagonist	wotsutsa
antagonistic	kutsutsa
antagonize	adagonze
ante	NO TRANSLATION
antecedent	zotsutsana
antelope	antelope
antenna	antenna
anterior	anterior
anthem	nyimbo
anthill	nthano
anthology	anthology
anthrax	anthrax
anthropological	anthropological
anthropologist	katswiri wa chikhalidwe
anthropology	anthropology
anti	anti
antiaircraft	antiaircraft
antibiotic	maantibayotiki
antibiotics	maantibayotiki
antichrist	wotsutsakhristu
anticipate	yang'anani
anticipation	kuyembekezera
anticipatory	mwachidwi
antics	zamatsenga
antidote	antidote
antifungal	antifungal
antigravity	zotsutsana ndi chilengedwe
antimony	antimoni
antipathy	kusamvera
antiquarian	antiquarian
antiquated	adasinthidwa
antique	zachikale
antiques	antiques
antiquity	zakale
antiseptic	mankhwala osokoneza bongo
antisocial	kusagwirizana
antithesis	chiwonetsero
antithetical	antithetical
antiviral	antiviral
antler	antler
antsy	antsy
anus	anus
anvil	chikumbutso
anxiety	nkhawa
anxietyattack	NO TRANSLATION
anxious	nkhawa
anxiousness	nkhawa
anytime	nthawi iliyonse
aorta	aorta
aortic	aortic
apace	mosamala
apache	apache
apartment	nyumba
apartments	nyumba
apathetic	osasamala
apathy	kusasamala
ape	ape
aperture	kutsegula
apex	mphindi
aphid	aphid
aphrodisiac	aphrodisiac
apiece	kagawo
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptic
apologetic	kupepesa
apologist	wolemba mapemphero
apologize	Pepesani
apology	kupepesa
apostasy	ampatuko
apostate	ampatuko
apostle	Mtumwi
apostolic	atumwi
apostrophe	apostrophe
apothecary	apothecary
appalled	kudabwa
appalling	zochititsa mantha
apparatus	zipangizo
apparel	zovala
apparent	zooneka
apparently	mwachiwonekere
apparition	maonekedwe
appeal	pempho
appear	kuonekera
appearance	maonekedwe
appease	sangalitsani
appellant	wotsutsa
append	yambani
appendage	zopangira
appendectomy	appendectomy
appendicitis	chidziwitso
appendix	zowonjezereka
appetite	njala
appetizer	chikumbutso
appetizing	zokondweretsa
applaud	ndikuwomba
applause	amawomba
apple	apulosi
apple juice	madzi apulo
applejack	apulojack
applesauce	apuloauce
appliance	chogwiritsira ntchito
appliances	zipangizo zamagetsi
applicability	kugwiritsa ntchito
applicable	zogwira ntchito
applicant	wopempha
application	ntchito
apply	ntchito
appoint	ikani
appointment	kusonkhana
appointments	zosankhidwa
apportion	kugawa
apportionment	kugawa
appraisal	kuyesa
appraise	onaninso
appreciable	kuyamikira
appreciate	kuyamikira
appreciated	amayamikira
appreciates	amayamikira
appreciation	kuyamikira
appreciative	kuyamikira
apprehend	gwirani
apprehension	mantha
apprehensive	mantha
apprentice	phunzirani
apprenticeship	kuphunzira
approach	yandikira
approaching	kuyandikira
approbate	NO TRANSLATION
approbation	kuvomereza
appropriate	zoyenera
appropriation	mayendedwe
approval	kuvomereza
approve	kuvomereza
approved	amavomerezedwa
approvement	kuvomereza
approving	kuvomereza
approximate	pafupifupi
approximately	pafupifupi
approximating	pafupifupi
approximation	chiwerengero
appurtenances	zopereka
apricot	apurikoti
apron	apron
apt	zoyenera
aptitude	aptitude
aqua	madzi
aquamarine	aquamarine
aquarium	aquarium
aquatic	m'madzi
aqueduct	ngalande
aqueous	aqueous
arable	arable
arbiter	wotsutsa
arbitrary	kusasamala
arbitrate	akutsutsana
arbitration	kukangana
arbitrator	mkangano
arbor	arbor
arc	arc
arcade	Arcade
arcane	arcane
arch	chingwe
archaeological	zofukula
archaeologist	wofukula zinthu zakale
archaeology	mabwinja
archaic	zamatsenga
archangel	mngelo wamkulu
archbishop	bishopu wamkulu
archdiocese	archdiocese
archduke	chigamulo
arched	inamangidwa
archer	woponya mivi
archery	kuponya mfuti
archetype	archetype
archipelago	zilumba
architect	wokonza mapulani
architectural	zomangamanga
architecture	zomangamanga
archive	mbiri
arctic	zamakono
ardent	mwamphamvu
ardor	kukonda
arduous	zovuta
area	dera
arena	masewera
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	mkondo
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	kutsutsana
argument	ndewu
argumentation	ndemanga
argumentative	kukangana
arguments	zifukwa
arid	louma
arise	muka
aristocracy	aristocracy
aristocrat	aristocrat
aristocratic	olemekezeka
arithmetic	masamu
ark	chombo
arm	mkono
armada	armada
armament	zida
armaments	zida
armature	zida
armchair	wolowa manja
armed	zida
armor	zida
armored	zida zankhondo
armory	armory
armpit	kumenyana
arms	mikono
army	asilikali
aroma	fungo
aromatherapy	aromatherapy
arousal	kudzutsa
arouse	dzutsa
aroused	adawukitsidwa
arraignment	kusamvana
arrange	konzani
arranged	anakonza
arrangement	makonzedwe
array	zolemba
arrears	malipiro
arrest	kumangidwa
arrhythmia	arrhythmia
arrival	kufika
arrive	kufika
arrogance	kudzikweza
arrogant	odzikuza
arrow	Mtsinje
arsehole	kupitiliza
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	chophimba
arsonist	wojambula
art	zojambulajambula
arterial	zovuta
artery	chida
artful	zowoneka bwino
arthritis	nyamakazi
arthropod	arthropod
artichoke	atitchoku
article	nkhani
articles	nkhani
articulate	fotokozani
articulation	kufotokozera
artifact	chojambula
artifice	zopangira
artificial	kupanga
artillery	zida zankhondo
artisan	wojambulajambula
artist	wojambula
artiste	NO TRANSLATION
artistic	zojambulajambula
artistry	zojambulajambula
artists	ojambula
artwork	zithunzi
arty	arty
asap	posachedwa
asbestos	asbesito
ascend	kukwera
ascendancy	kukwera
ascendant	ascendant
ascending	kukwera
ascension	kukwera
ascent	msinkhu
ascertain	kudziwa
ascertained	adatsimikiziridwa
ascetic	wokondweretsa
ash	phulusa
ashamed	manyazi
ashes	phulusa
ashtray	ashtray
asinine	asinine
ask	funsani
asleeep	NO TRANSLATION
asleep	akugona
asp	asp
asparagus	katsitsumzukwa
aspartame	aspartame
aspect	mbali
aspects	zinthu
aspen	aspen
asphalt	asphalt
asphyxia	asphyxia
asphyxiation	kusokoneza maganizo
aspiration	kufuna
aspire	kufuna
aspirin	aspirin
aspiring	kufuna
ass	bulu
assail	kuzunzidwa
assailant	wotsutsa
assassin	wakupha
assassinate	kupha
assassination	kuphedwa
assault	chiwawa
assay	kuyesa
assemblage	kusonkhana
assemble	kusonkhana
assembled	anasonkhana
assembly	msonkhano
assemblyman	mtsogoleri
assent	kuvomereza
assert	nenani
asserting	kunena
assertion	kunena
assertive	zolingalira
assess	onetsetsani
assessment	kuyesa
assessor	wofufuza
asset	chuma
assets	katundu
asshole	Chitsiru
assign	perekani
assignee	assignee
assignment	ntchito
assimilate	kuwonetsa
assimilation	kuyanjana
assist	kuthandiza
assistance	thandizo
assistant	wothandizira
associate	kucheza
association	kucheza
assorted	akutsitsimutsa
assortment	zovomerezeka
assuage	kutsuka
assume	taganizirani
assumed	akuganiza
assuming	kuganiza
assumption	malingaliro
assurance	chitsimikizo
assure	tsimikizirani
assured	otsimikiza
assuredly	motsimikiza
asterisk	asterisk
asteroid	asteroid
asteroids	asteroids
asthma	mphumu
asthmatic	asthmatic
astigmatism	astigmatism
astonish	kudabwa
astonished	anadabwa
astonishing	zodabwitsa
astonishingly	NO TRANSLATION
astonishment	kudabwa
astound	zodabwitsa
astral	astral
astray	kusocheretsa
astringent	astringent
astrologer	nyenyezi
astrology	nyenyezi
astronaut	astronaut
astronomer	nyenyezi
astronomical	zakuthambo
astronomy	zakuthambo
astute	ozindikira
asunder	patukana
asylum	Chothandizira
asymmetric	osakanikirana
asymmetry	asymmetry
asymptotic	asymptotic
atelier	nkhokwe
atheism	kusakhulupirira Mulungu
atheist	osakhulupirira kuti kuli Mulungu
atheistic	osakhulupirira kuti kuli Mulungu
atherosclerosis	atherosclerosis
athlete	wothamanga
athletic	othamanga
athleticism	masewera
athletics	masewera
atlas	atlas
atmosphere	mpweya
atmospheric	mlengalenga
atoll	atoll
atom	atomu
atomic	atomiki
atone	zonyansa
atonement	machimo
atpeace	atpeace
atrium	atrium
atrocious	zowawa
atrocity	nkhanza
atrophy	atrophy
attach	tumizani
attached	chotsatira
attachment	chotsatira
attack	kuukira
attacker	wotsutsa
attacking	kuwukira
attain	kufika
attainable	zopezeka
attainment	kupeza
attempt	yesetsani
attempted	kuyesa
attend	tengani
attendance	kupezeka
attendant	mtumiki
attention	tcherani
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	mosamala
attenuate	attenuate
attenuated	attenuated
attenuation	kusungidwa
attest	amatsimikizira
attestation	umboni
attic	chapamwamba
attire	zovala
attitude	maganizo
attorney	woweruza mlandu
attract	kukopa
attraction	kukopa
attractive	wokongola
attractiveness	kukongola
attributable	zofunikira
attribute	malingaliro
attribution	kupereka
attrition	mawonekedwe
auburn	auburn
auction	malonda
auctioneer	wogulitsa
audacious	olimba mtima
audacity	kulimbika mtima
audible	kumva
audience	omvera
audio	audio
audit	zofufuza
audition	kuyesa
auditions	auditions
auditor	wolemba mabuku
auditorium	holo
auditory	zofufuza
aught	zilizonse
augment	augment
augmentation	augmentation
august	August
aunt	azakhali
auntie	auntie
aura	aura
aurora	aurora
auspices	zovuta
auspicious	zosavuta
austere	zosavuta
austerity	chisokonezo
authentic	zenizeni
authenticate	kutsimikizira
authentication	kutsimikiziridwa
authenticity	zenizeni
author	wolemba
authoritative	wovomerezeka
authority	ulamuliro
authorization	chilolezo
authorize	avomereze
authorized	ovomerezeka
authorship	wolemba
autism	autism
autistic	autistic
auto	galimoto
autobiographical	zojambulajambula
autobiography	zojambulajambula
autocorrect	kudziwonetsera
autocratic	autocracy
autograph	autograph
autographed	autographed
automated	mwadzidzidzi
automatic	zosavuta
automobile	galimoto
automotive	magalimoto
autonomy	kudzilamulira
autopilot	autopilot
autopsy	autopsy
autumn	m'dzinja
auxiliary	wothandizira
avail	zilipo
availability	kupezeka
available	zilipo
avalanche	zovuta
avarice	avarice
avatar	avatar
avenge	kubwezera
avenger	wobwezera
avenging	kubwezera
avenue	njira
aver	NO TRANSLATION
average	pafupifupi
aversation	NO TRANSLATION
averse	kutsutsana
averseness	kusokoneza
aversion	chisokonezo
avert	sungani
aviary	aviary
aviation	kuyendetsa ndege
aviator	aviator
avid	mwamphamvu
avocado	peyala
avoid	pewani
avoidance	kupeŵa
avoiding	kupeŵa
await	dikirani
awake	dzuka
awaken	kudzutsidwa
awakening	kudzutsidwa
award	mphoto
awards	mphoto
aware	mukudziwa
awareness	kuzindikira
awe	NO TRANSLATION
awed	adalitsidwa
awesome	zodabwitsa
awesomeness	zoopsa
awestruck	zovuta
awful	zoopsa
awkward	zovuta
awkwardness	zovuta
awning	awning
awry	awry
axe	nkhwangwa
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	mzere
axle	tsinde
ay	ay
aye	aye
azimuth	azimuth
azure	zitsitsimutso
babble	abble
babbling	kumalankhula
babe	babe
baboon	bowa
baby	mwana
babysit	babysit
babysitter	babysitter
baccalaureate	Baccalaureate
baccarat	baccarat
bachelor	Bachelor
bachelorette	bachelorette
back	kumbuyo
backboard	kumbuyo
backbone	nsana
backdoor	khomo lakumbuyo
backdrop	kumbuyo
backer	wobwezera
backfire	kubwerera
backgammon	backgammon
background	mbiri
backhand	backhand
backhoe	chophika
backoff	mbale
backpack	chikwangwani
backpacker	backpacker
backroom	kumbuyo
backseat	nsanamira
backside	kumbuyo
backtrack	kumbuyo
backup	kusunga
backward	kumbuyo
backwardness	kubwerera
backwards	kumbuyo
backwater	kumbuyo kwa madzi
backwoods	backwoods
backyard	kumbuyo
bacon	Nyamba yankhumba
bacteria	mabakiteriya
bacterial	mabakiteriya
bacterium	bakiteriya
bad	zoipa
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	beji
badger	zikopa
badhabit	NO TRANSLATION
badly	zoipa
badness	zoipa
baffle	bwerani
baffled	adachita mantha
bag	thumba
bagel	bagel
baggage	Katundu
baggie	baggie
baggy	thumba
bagman	bagman
bagpipes	mabampu
bail	bail
bailiff	wotsogolera
bait	nyambo
bake	kuphika
bakery	bakery
baking	kuphika
bal	NO TRANSLATION
balance	malire
balanced	mwakhama
balcony	khonde
bald	msuzi
balding	kusamba
baldy	wodwala
bale	bale
balk	balk
ball	mpira
ballad	ballad
ballast	ballast
ballerina	ballerina
ballet	ballet
ballgame	ballgame
ballistic	zovuta
ballistics	ballistics
balloon	baluni
ballot	kuvota
ballpark	mpira
ballplayer	ballplayer
ballpoint	mpira
ballroom	ballroom
ballsy	mipira
balm	mafuta
balmy	zonyansa
balsam	balsamu
balsamic	balsamic
bam	bam
bamboo	nsalu
ban	NO TRANSLATION
banana	nthochi
band	gulu
bandage	bandage
bandanna	NO TRANSLATION
bandit	bandit
bandstand	bandstand
bandwagon	bandwagon
bandwidth	Bandwidth
bane	bane
bang	bang
banger	banger
banish	zitha
banished	anathamangitsidwa
banishment	kuchotsedwa
banister	banister
banjo	banjo
bank	banki
banker	wogulitsa
banking	banking
bankroll	bankroll
bankrupt	bankrupt
bankruptcy	bankruptcy
banner	banner
banquet	phwando
banshee	banshee
