Word	xh
adjunct	ulungelelaniso
adjust	lungisa
adjuster	isilungisi
adjustment	uhlengahlengiso
adjuvant	adjuvant
admin	lawulo
administer	lawula
administration	lawulo
administrative	lawulo
administrator	umlawuli
admirable	ncomeka
admiral	memezo
admiralty	memezo
admiration	mxatyiswa
admire	ziyamkela
admired	ziyamkela
admirer	mthandayo
admiring	ziyamkela
admissibility	ukuvunyelwa
admissible	zivumelekile
admission	kwamkelwa
admit	kuvuma
admittance	kwamkelwa
admitted	avunywa
admitting	zivuma
admixture	ukudibanisa
admonition	cebiso
ado	ado
adobe	adobe
adolescence	ebusheni
adolescent	umntwana
adopt	kwamkela
adoption	kwamkelwa
adoptive	mkelayo
adorable	ezihle
adoration	yokudumisa
adore	ziyamkela
adoring	ukuxhaswa
adorn	ukuhlobisa
adornment	ukuhlobisa
adrenalin	adrenalin
adrenaline	adrenaline
adrift	i-adrift
adult	omdala
adulterated	krexeza
adulterer	krexezi
adultery	krexeza
adulthood	badala
advance	phambili
advanced	phambili
advancement	phambili
advancing	phambili
advantage	inzuzo
advantageous	inzuzo
advent	kufika
adventure	uhambo
adventurer	umcebisi
adventures	kwiintlanga
adventurous	ezayo
adversary	mtsha ndezeli
adverse	ezimbi
adversity	ubunzima
advertise	bhengeze
advertisement	ntengiso
advertising	ntengiso
adverts	izibhengezo
advice	cebiso
advisable	cebisa
advise	cebisa
advised	cebisa
advisement	cebisa
adviser	mcebisi
advisor	umcebisi
advisory	cebisi
advocacy	ku khuthaza
advocate	ukuxhasa
aegis	egazini
aeration	aeration
aerial	yombane
aerobics	aerobics
aerodrome	i-aerodrome
aerodynamic	aerodynamic
aerodynamics	aerodynamics
aeronautics	aeronautics
aeroplane	indiza
aerospace	i-aerospace
aesthetic	ubugcisa
aesthetics	aesthetics
aetiology	etiology
afar	kude
affable	zichaphazelekayo
affair	umcimbi
affect	cha phazela
affecting	cha phazela
affection	uthando
affectionate	uthando
affections	ukuthandwa
affiche	NO TRANSLATION
affidavit	i fidavithi
affiliated	nxu lumene
affiliation	nziswano
affinity	ulwalamano
affirm	qi ni sekisa
affirmation	ukuqinisekiswa
affirmative	ku qi ni
affirmatively	ukuqinisekisile
affix	sichaza
afflict	xhaphaza
afflicted	ba xhatshazwa
affliction	ndezelo
affluence	ubutyebi
affluent	eziphathekayo
afford	ukufumana
affordable	ngexabiso
affront	ukuxhatshazwa
affronted	zichasene
afield	kwindawo
afire	ukufa
afloat	kuhamba
afore	phambili
aforementioned	ngasentla
aforesaid	ngasentla
afraid	soyika
afresh	kwakhona
african	Afrika
aft	emva
afterlife	emva kokufa
aftermath	emva koko
afternoon	njakalanga
aftershave	emva koko
aftertaste	emva kokuhamba
afterthought	emva koko
aga	NO TRANSLATION
agape	agape
agate	agate
age	ubudala
aged	a badala
agency	nkonzo
agenda	ajenda
agent	igosa
agglomeration	ulwahlulo
aggravate	phucula
aggravated	kuhlutha
aggravates	ikhula
aggravating	ukunyuka
aggravation	ukugqithisa
aggregate	ngokubanzi
aggregation	ulwahlulo
aggresive	NO TRANSLATION
aggression	ulwalamano
aggressive	ngogonyamelo
aggressively	ngokukhawuleza
aggressiveness	ulwaphulo
aggressor	ngxabano
agh	agh
aghast	ngxakini
aghhh	NO TRANSLATION
agile	bangela
agility	ubuchule
aging	ukuguga
agitate	nyibilike
agitated	yavutha
agitation	ukuxhalaba
aglow	ukuvutha
agnostic	i-agnostic
ago	edlulileyo
agonizing	buhlungu
agony	buhlungu
agoraphobia	agoraphobia
agree	vu melana
agreeable	vu meneyo
agreed	vu nyelwene
agreeing	vu melana
agreement	melwano
agressive	NO TRANSLATION
agricultural	zolimo
agriculture	zolimo
aground	phantsi
agua	NO TRANSLATION
ahead	phambili
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	uncedo
aide	uncedo
aiding	kunceda
aids	zixhobo
ail	yile
ailing	begula
ailment	ukugula
aim	injongo
aimless	ngenjongo
air	emoyeni
airbag	airbag
airborne	ephuma emoyeni
aircraft	moya
aircraft carrier	umqhubi wendiza
airfield	moya
airhead	emoyeni
airlift	moya
airline	lomoya
airliner	i-airliner
airlock	airlock
airman	umthumeli
airplane	indiza
airport	kwisikhululo
airs	emoyeni
airship	moya
airspace	indawo yomoya
airspeed	moya
airstrip	ibhola
airtight	epholileyo
airway	ngomoya
aisle	ilayini
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	i-Akin
alabaster	alabaster
alarm	alamu
alarm clock	iwoshi ye-alamu
alarmed	ngothuka
alarming	eyoyikisayo
alas	alas
alb	NO TRANSLATION
albatross	albatross
albino	albino
album	i-albhamu
alchemy	alchemy
alcohol	utywala
alcoholic	utywala
alcoholism	utywala
alcove	utywala
alderman	alderman
ale	NO TRANSLATION
alert	phawula
alertness	uqaphele
alerts	izilumkiso
alfalfa	alfalfa
algebra	algebra
algebraic	algebraic
algorithm	i-algorithm
alias	ezifanayo
alibi	alibi
alien	umfokazi
alienate	hlukana
alienated	bahlukane
alienation	ukuhlukana
alight	ahambe
align	ukulungelelanisa
aligned	ihambelana
alignment	ulungelelaniso
alike	ngokufanayo
alimentation	NO TRANSLATION
alimony	alimony
aliquot	aliquot
alive	ephila
alkali	alkali
alkaloids	alkaloids
allay	ukuguqula
allegation	isityholo
allege	nisela
alleged	zityholo
allegiance	ukuthembeka
allegorical	ngephili
allegory	ngongoma
allegro	allegro
allergic	ukugula
allergy	ukungahambi
alleviate	kunciphisa
alleviation	ukunciphisa
alley	kwinqanaba
alleyway	ndleleni
alliance	u manyano
allied	nzisane
alligator	alligator
allocate	yabelwe
allocation	lwabiwo
allot	ulwabiwo
allotment	isabelo
allow	vumele
allowable	vumelekile
allowance	isibonelelo
allowed	vunyelwe
alloy	alloy
allsmiles	NO TRANSLATION
allure	ukukhwela
alluring	ukunyusa
allusion	ukuthetha
alluvial	yonke into
ally	nzisane
almanac	almanac
almighty	onamandla onke
almond	i-almond
aloft	i-aloft
aloha	aloha
alone	yedwa
alongside	ecaleni
aloof	engabonakaliyo
aloud	ngokuvakalayo
alpha	i-alpha
alphabet	alfabhethi
alphabetical	alfabhethi
alpine	alpine
alreadyyyyy	sele ikhona
altar	isibingelelo
altar boy	yombingelelo
alter	guqula
alteration	utshintsho
altercation	utshintsho
altered	utshintshile
alternate	enye
alternating	ukutshintsha
alternative	ngenye indlela
altimeter	altimeter
altitude	ukuphakama
alto	alto
altogether	ngokupheleleyo
aluminum	aluminium
alumnus	alumnus
alveolar	i-alveolar
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	ukudibanisa
amaretto	i-amaretto
amass	bahamba
amateur	umtsalane
amaze	ma ngaliswa
amazed	ma ngaliswa
amazedness	NO TRANSLATION
amazement	ma ngaliswa
amazing	kumangalisa
amazingly	ngokumangalisayo
ambassador	ummeli
amber	ngombala
ambience	i-ambience
ambient	ehambayo
ambiguity	ukungahambi kakuhle
ambiguous	ngongoma
ambit	ulungele
ambition	u kuthanda
ambitious	i zikhundla
ambivalent	liweyo
ambrosia	ambrosia
ambulance	iigulane
ambush	balele
ameliorate	ku khuthaza
amen	amen
amenable	ku lungiswa
amend	u lungiso
amendment	lungiso
amends	lungiswa
amenity	ncedo
amethyst	amethyst
amiable	u mnandi
amicable	efanelekileyo
amid	phakathi
amidst	phakathi
amino	amino
ammo	ammo
ammonia	ammonia
ammonium	ammonium
ammunition	zixhobo
amnesia	amnesia
amnesty	xolelo
amorous	u kuthanda
amorphous	amorphous
amortization	ukulungiswa kwemali
amount	isixa
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amphetamines
amphibian	amphibian
amphibious	amphibious
amphitheater	yezemidlalo
ample	epheleleyo
amplification	ukukhulisa
amplify	phucula
amplitude	amplitude
amply	kakhulu
amputate	ku rhoxisa
amputation	ukuchithwa
amuck	i-amuck
amulet	i-amulet
amuse	nwabisa
amused	utyumkile
amusement	ukuzonwabisa
amusing	nwabisa
ana	NO TRANSLATION
anaconda	inconda
anaesthesia	anesthesia
anaesthetic	i-anesthetic
anagram	anagram
anal	esilumkileyo
analgesic	i-analgesic
analogous	fanayo
analogue	fanayo
analogy	fanayo
analysis	hlalutyo
analyst	uhlalutyi
analytic	uhlalutyo
analytical	uhlalutyo
analyze	hlalutya
analyzer	hlalutyi
anaphylactic	anaphylactic
anarchism	anarchism
anarchist	i-anarchist
anarchy	uhlaselo
anastomosis	anastomosis
anathema	ukuphazamiseka
anatomic	anatomic
anatomy	i-anatomy
ancestor	ukhokho
ancestral	okhokho
ancestry	kookhokho
anchor	ihange
anchorage	i-anchorage
ancient	mandulo
ancillary	ncedisa
androgen	androgen
android	android
anecdote	anecdote
anemia	i-anemia
anemic	egazini
anemone	i-anemone
anesthesia	anesthesia
anesthesiologist	i-anesthesiologist
anesthetic	i-anesthetic
aneurysm	aneurysm
anew	entsha
angel	ngelosi
angelic	ngelosi
anger	umsindo
angered	nomsindo
angermanagement	NO TRANSLATION
angina	angina
angiogram	i-angiogram
angiography	i-angiography
angle	ngekona
angling	ukukhwaza
angora	angora
angriest	buhlungu
angry	nomsindo
angrytweet	NO TRANSLATION
angst	angst
anguish	buhlungu
anguished	buhlungu
angular	ingqungquthela
anhydrous	anhydrous
animal	lwanyana
animate	philile
animated	oopayiweyo
animation	u mfa nekiso
animosity	inzondo
animus	animus
ankle	maqatha
anklet	i-anklet
annals	ngxelo
annex	si hlomelo
annexation	si hlomelo
annexe	NO TRANSLATION
annihilate	ku tsha balala
annihilated	tsha balala
annihilation	ukutshabalalisa
anniversary	usuku enazimanya ngalo
annotate	kuchaza
annotation	ngcaciso
announce	bhengeza
announcement	saziso
announcer	mvakalisi
annoy	ukucaphukisa
annoyance	ukucaphuka
annoyed	wacasulwa
annoyin	NO TRANSLATION
annoying	u xhaphaza
annoys	ucaphukisa
annual	ngonyaka
annuity	yonyaka
annul	rhoxisa
annular	ngonyaka
annulment	ku rhoxiswa
annulus	yonyaka
anointed	thanjiswa
anointing	ukuthambisa
anomalous	ngxamele
anomaly	engafanelekanga
anon	i-anon
anonymity	ukungaziwa
anonymous	engaziwa
anorexic	i-anorexic
answer	mpendulo
answerable	phendula
answering	phendula
ant	intuthwane
antagonism	ukuchasana
antagonist	umchasi
antagonistic	phikisa
antagonize	zichasene
ante	NO TRANSLATION
antecedent	ezichaseneyo
antelope	antelope
antenna	i-antenna
anterior	zangaphambili
anthem	ingoma
anthill	anthill
anthology	anthology
anthrax	i-anthrax
anthropological	anthropological
anthropologist	mthandi
anthropology	i-anthropology
anti	olwaziyo
antiaircraft	zokulwa nezixhobo
antibiotic	antibiotic
antibiotics	antibiotics
antichrist	mchasana
anticipate	lindele
anticipation	lindele
anticipatory	lindele
antics	NO TRANSLATION
antidote	antidote
antifungal	i-antitifungal
antigravity	ulwaphulo
antimony	antimony
antipathy	ulwaphulo
antiquarian	ulwahlulo
antiquated	zi nyiweyo
antique	antique
antiques	zokulwa
antiquity	mandulo
antiseptic	i-antiseptic
antisocial	ezingafaniyo
antithesis	nxu lumano
antithetical	ezichaseneyo
antiviral	untiviral
antler	nyiweyo
antsy	antsy
anus	anus
anvil	ikhefu
anxiety	uxhalaba
anxietyattack	NO TRANSLATION
anxious	xhalaba
anxiousness	ukuxhalaba
anytime	naliphi na ixesha
aorta	aorta
aortic	aortic
apace	nendawo
apache	apache
apartment	indlu
apartments	zokuhlala
apathetic	abangenandaba
apathy	ukungakhathaleli
ape	ipepe
aperture	kuvula
apex	ipepe
aphid	aphid
aphrodisiac	aphrodisiac
apiece	ipisi
aplomb	ikhefu
apocalypse	apocalypse
apocalyptic	i-apocalyptic
apologetic	uxolo
apologist	umxhasi
apologize	xolisa
apology	uxolo
apostasy	uxuko
apostate	wexuki
apostle	mpostile
apostolic	abapostile
apostrophe	apostrophe
apothecary	apothecary
appalled	lisiwe
appalling	eyoyikisayo
apparatus	zixhobo
apparel	sambatho
apparent	kubonakala
apparently	ngokucacileyo
apparition	kuvela
appeal	sibheno
appear	kuvela
appearance	kuvela
appease	bhenela
appellant	ummangali
append	zifaka
appendage	ulwahlulo
appendectomy	appendectomy
appendicitis	appendicitis
appendix	si hlomelo
appetite	nesidlo
appetizer	khenkethi
appetizing	e mtsalane
applaud	bhala
applause	ihlombe
apple	apile
apple juice	ijusi ye-apile
applejack	i-applejack
applesauce	i-appleauce
appliance	umbane
appliances	zixhobo
applicability	sicelo
applicable	sebenza
applicant	sicelo
application	sicelo
apply	sicelo
appoint	kutyumba
appointment	kuqeshwa
appointments	utyunjwa
apportion	kwahlulwa
apportionment	kwahlulwa
appraisal	vavanyo
appraise	kuluhlu
appreciable	xabiso
appreciate	xabisa
appreciated	xabiswa
appreciates	xabisa
appreciation	xabiso
appreciative	xabiso
apprehend	zibandakanya
apprehension	ukukhathazeka
apprehensive	zixhala
apprentice	bafunde
apprenticeship	u kufunda
approach	indlela
approaching	sondela
approbate	NO TRANSLATION
approbation	kuvunywa
appropriate	ezifanelekileyo
appropriation	ulwabiwo
approval	kuvunywa
approve	vumela
approved	kuvunywe
approvement	ukuvunyelwa
approving	vumela
approximate	malunga
approximately	malunga
approximating	ngokulingana
approximation	ukulingana
appurtenances	ukuxhamla
apricot	I-aprikothi
apron	ipron
apt	efanelekileyo
aptitude	ukufaneleka
aqua	aqua
aquamarine	aquamarine
aquarium	aquarium
aquatic	emanzini
aqueduct	emanzini
aqueous	aqueous
arable	luleka
arbiter	i-arbiter
arbitrary	ngokungafaniyo
arbitrate	ugweba
arbitration	mbambano
arbitrator	umlamli
arbor	umgca
arc	arc
arcade	arcade
arcane	i-arcane
arch	umgca
archaeological	zakudala
archaeologist	wezinto zakudala
archaeology	yokuchonga
archaic	archaic
archangel	ngelosi
archbishop	bhishophu omkhulu
archdiocese	archdiocese
archduke	uhlalutyo
arched	kulungiswa
archer	umcibisi
archery	ukudubula
archetype	i-archetype
archipelago	kwiindawo
architect	umakhi
architectural	zokwakha
architecture	zakhiwo
archive	lovimba
arctic	i-arctic
ardent	likhulu
ardor	ngxaki
arduous	lukhuni
area	indawo
arena	kwibala
areola	isola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	ephakamileyo
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	ngxabano
argument	ngxabano
argumentation	ngxabano
argumentative	ngxabano
arguments	iingxabano
arid	lileyo
arise	kuvela
aristocracy	ubuKristu
aristocrat	ngumphathi
aristocratic	ephezulu
arithmetic	i-arithmetic
ark	ityeya
arm	ingalo
armada	ingalo
armament	ingalo
armaments	zixhobo
armature	ingcibi
armchair	yintonga
armed	zixhobile
armor	zixhobo
armored	i zikhali
armory	zixhobo
armpit	ukuvala
arms	i ingalo
army	umkhosi
aroma	livumba
aromatherapy	aromatherapy
arousal	kuvuka
arouse	kuvusa
aroused	vusiwe
arraignment	ukulungiswa
arrange	ngi selela
arranged	lu ngi selelwe
arrangement	ilungiselelo
array	uluhlu
arrears	emva kwemali
arrest	kubanjwa
arrhythmia	i-arrhythmia
arrival	kufika
arrive	kufika
arrogance	ukuzidla
arrogant	nekratshi
arrow	utolo
arsehole	i-arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	ishushu
arsonist	umxhasi
art	ubugcisa
arterial	ulungelelaniso
artery	umzobo
artful	ubugcisa
arthritis	arthritis
arthropod	arthropod
artichoke	i-artichoke
article	nqaku
articles	amanqaku
articulate	ku cacisa
articulation	ngcaciso
artifact	i-artifact
artifice	i-artifice
artificial	yokwenza izinto
artillery	zixhobo
artisan	umculi
artist	umculi
artiste	NO TRANSLATION
artistic	zobugcisa
artistry	ubugcisa
artists	abaculi
artwork	ubugcisa
arty	umgca
asap	Ngokukhawuleza okudibene nokungxama
asbestos	i-asbestos
ascend	nyukela
ascendancy	kunyuka
ascendant	kunyuka
ascending	nyukela
ascension	kunyuka
ascent	kunyuka
ascertain	qinisekisa
ascertained	ya qi niseka
ascetic	i-ascetic
ash	umlotha
ashamed	neentloni
ashes	umlotha
ashtray	ashtray
asinine	asinine
ask	zibuze
asleeep	NO TRANSLATION
asleep	ulele
asp	asp
asparagus	i-asparagus
aspartame	aspartame
aspect	umba
aspects	imiba
aspen	aspen
asphalt	asphalt
asphyxia	asphyxia
asphyxiation	i-asphyxiation
aspiration	iinjongo
aspire	zifuna
aspirin	aspirin
aspiring	nqwenela
ass	esile
assail	ku hlaselwa
assailant	hlasela
assassin	bulala
assassinate	bulala
assassination	bulala
assault	ku hlaselwa
assay	uvavanyo
assemblage	nganiso
assemble	hla nganisa
assembled	badibene
assembly	kwindibano
assemblyman	nganiso
assent	zivuma
assert	ba xelela
asserting	ukuqinisekisile
assertion	ngqinisiso
assertive	nxu lumene
assess	vavanyo
assessment	vavanyo
assessor	umhloli
asset	asethi
assets	asethi
asshole	Umgqobho wempundu
assign	wabela
assignee	ummeli
assignment	isabelo
assimilate	zifana
assimilation	ukufana
assist	ncedisa
assistance	uncedo
assistant	mncedisi
associate	nxu lumene
association	umbutho
assorted	zihambelana
assortment	i-assortment
assuage	kukhishwa
assume	kuthatha
assumed	kuthathwa
assuming	kuthatha
assumption	kuthathwa
assurance	siqinisekiso
assure	qi ni sekisa
assured	qi niseka
assuredly	ngokuqinisekileyo
asterisk	i-asterisk
asteroid	asteroid
asteroids	asteroids
asthma	i-asthma
asthmatic	asthmatic
astigmatism	astigmatism
astonish	ma ngaliswa
astonished	ma ngaliswa
astonishing	ma ngaliswa
astonishingly	NO TRANSLATION
astonishment	ngaliswa
astound	ma ngaliswa
astral	astral
astray	lahleka
astringent	ngokukhawuleza
astrologer	ngeenkwenkwezi
astrology	ngeenkwenkwezi
astronaut	astronaut
astronomer	ngeenkwenkwezi
astronomical	ngeenkwenkwezi
astronomy	ngeenkwenkwezi
astute	bulumko
asunder	ukuhla
asylum	yokukhusela
asymmetric	i-asymmetric
asymmetry	asymmetry
asymptotic	asymptotic
atelier	umtya
atheism	bakholelwa kuThixo
atheist	ukholelwa kuThixo
atheistic	abangakholelwa kuThixo
atherosclerosis	i-atherosclerosis
athlete	umdlali
athletic	yezemidlalo
athleticism	umdlalo
athletics	midlalo
atlas	atlas
atmosphere	emoyeni
atmospheric	emkhathini
atoll	kwinqanaba
atom	i-athomu
atomic	i-athomu
atone	ku bonisa
atonement	ukucamagushela
atpeace	iqondo
atrium	atrium
atrocious	buhlungu
atrocity	kuhlaselwa
atrophy	i-atrophy
attach	fakela
attached	qhotyoshelweyo
attachment	uqhotyoshelweyo
attack	hlaselwa
attacker	hlasela
attacking	hlasela
attain	fi kelele
attainable	maneka
attainment	ukufikelela
attempt	umzamo
attempted	uzame
attend	ukuya khona
attendance	ukuhamba
attendant	umlindi
attention	ngqalelo
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	ngqalelo
attenuate	ukunyanzelisa
attenuated	zinyanzeliswe
attenuation	ukulinda
attest	u bungqina
attestation	ubungqinisiso
attic	i-attic
attire	iingubo
attitude	sengqondo
attorney	igqwetha
attract	kutsala
attraction	mtsalane
attractive	ekhangayo
attractiveness	ku mtsalane
attributable	ebonakalayo
attribute	mfanelo
attribution	isabelo
attrition	ummiselo
auburn	kutshaya
auction	yintengiso
auctioneer	yintengiso
audacious	zi phi
audacity	ukuphicotha
audible	ezivakalayo
audience	abaphulaphuli
audio	umyalezo
audit	phicotho
audition	phicotho
auditions	zokuphicothwa
auditor	mphicothi
auditorium	iholo
auditory	eziphicothiweyo
aught	nto
augment	kunyusa
augmentation	ukunyusa
august	EyeThupha
aunt	kanina
auntie	u Antite
aura	aura
aurora	aurora
auspices	izixhobo
auspicious	ku lungele
austere	austere
austerity	ubunzima
authentic	yinyani
authenticate	ukuqinisekisile
authentication	ukuqinisekiswa
authenticity	ukuthembeka
author	umbhali
authoritative	ogunyazisiweyo
authority	igunya
authorization	ugunyaziso
authorize	ugunyaze
authorized	eligunyazisiweyo
authorship	umbhali
autism	autism
autistic	autistic
auto	ngeemoto
autobiographical	ngokuzenzekelayo
autobiography	yendalo
autocorrect	ngokuzenzekelayo
autocratic	ngokuzenzekelayo
autograph	autograph
autographed	autographed
automated	ngokuzenzekelayo
automatic	ngokuzenzekelayo
automobile	imoto
automotive	imoto
autonomy	ukuzimela
autopilot	i-autopilot
autopsy	autopsy
autumn	ekwindla
auxiliary	abancedisayo
avail	ku fumana
availability	ukufumaneka
available	maneka
avalanche	i-avalanche
avarice	avarice
avatar	avatar
avenge	ndezela
avenger	umphindezeli
avenging	ndezela
avenue	yendlela
aver	NO TRANSLATION
average	umyinge
aversation	NO TRANSLATION
averse	ukuphazamisa
averseness	NO TRANSLATION
aversion	ukuphazamiseka
avert	ukuphepha
aviary	aviary
aviation	yecala
aviator	aviator
avid	ngxamele
avocado	iponyoponyo
avoid	kuphepha
avoidance	kuphepha
avoiding	kuphepha
await	lindele
awake	kuvuka
awaken	avuke
awakening	kuvuka
award	ibhaso
awards	mabhaso
aware	uyazi
awareness	ukuqonda
awe	NO TRANSLATION
awed	litshutshwe
awesome	kuhle
awesomeness	lukhulu
awestruck	nxu lumene
awful	buhlungu
awkward	ngxaki
awkwardness	ngxaki
awning	ukukhwabanisa
awry	i-awry
axe	isikhombi
axial	axial
axiom	axiom
axiomatic	axiomatic
axis	axis
axle	axile
ay	ay
aye	aye
azimuth	azimuth
azure	uhlaziye
babble	bhuqa
babbling	ukubetha
babe	umntwana
baboon	ibhokhwe
baby	usana
babysit	babysit
babysitter	babysitter
baccalaureate	baccalaureate
baccarat	baccarat
bachelor	i-bachelor
bachelorette	bachelorette
back	ngasemva
backboard	ebaleni
backbone	umqolo
backdoor	icango langasemva
backdrop	ngasemva
backer	umxhasi
backfire	buyela
backgammon	backgammon
background	imvelaphi
backhand	backhand
backhoe	ibhakethi
backoff	Buyela Umva
backpack	ikhefu
backpacker	umxhasi we-backpacker
backroom	yokubuya
backseat	ngasemva
backside	ngasemva
backtrack	ukubuyela emva
backup	yokugcina
backward	ngasemva
backwardness	ngasemva
backwards	ngasemva
backwater	ngasemva kwamanzi
backwoods	backwoods
backyard	ngasemva
bacon	inyama yehagu
bacteria	ibhaktheriya
bacterial	ibhaktheriya
bacterium	bhakteri
bad	ezimbi
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	ibheji
badger	ibhegi
badhabit	NO TRANSLATION
badly	kakubi
badness	bubi
baffle	baffle
baffled	baxakeke
bag	isikhwama
bagel	bagel
baggage	Impahla
baggie	baggie
baggy	ngxowa
bagman	bagman
bagpipes	iibhepipes
bail	ibheyili
bailiff	umsizi wesikhokelo
bait	bait
bake	bhaka
bakery	kubhaka
baking	kubhaka
