Word	si
acquiring	අත්පත් කර ගනී
acquisition	අත්පත් කර ගැනීමයි
acquisitions	අත්පත් කර ගැනීමයි
acquit	නිදොස් කිරීම
acquittal	නිදොස් කිරීම
acre	අක්කරයකි
acreage	අක්කර ප්රමාණයයි
acres	අක්කර
acrobat	ඇක්රොබට්
acrylic	ඇක්රිලික්
act	පනත
acting	රංගනයයි
action	කටයුතු
action figure	ක්රියාකාරී චරිතය
actionable	ක්රියාත්මක විය හැකිය
activate	ක්රියාත්මක කරන්න
activation	සක්රිය කිරීම
active	ක්රියාකාරී වේ
activist	ක්රියාකාරිකයෙක්
activity	ක්රියාකාරිත්වය
actor	නළුවා
actress	නිළිය
actual	ඇත්ත
actuality	සත්යයයි
actuary	ක්රියාකාරී
acuity	අවාසනාවන්ත තත්වය
acumen	සිතුවිලි
acupuncture	ක්ෂුද්ර
acute	උග්ර වේ
acutely	තියෙන්නෙ
ad	දැන්වීම
adage	කතාවයි
adamant	නොකියා ඉන්න
adapt	අනුවර්තනය
adaptable	අනුවර්තනය
adaptation	අනුවර්තනය වීම
add	එකතු කරන්න
added	එකතු විය
addendum	උපග්රන්ථය
adder	ඇඩෝනය
addict	ඇබ්බැහි වෙන්න
addicted	ඇබ්බැහි වෙලා
addiction	ඇබ්බැහිවීම
addictive	ඇබ්බැහි කරන්න
addition	ඊට අමතරව
additional	අතිරේක
additive	අතිෙර්කයකි
address	ලිපිනය
addressee	ලිපිනය
addresses	ලිපිනයන් වේ
adept	ශිල්පියෙක්
adequacy	ප්රමාණවත් නොවේ
adequate	ප්රමාණවත්ය
adhere	පිළිපදින්න
adherence	ආඩම්බරයෙනි
adherent	අනුගාමිකයෙකි
adhering	පිළිපදිනවා
adhesion	ඇලෝෂිය
adhesive	මැලියම්
adieu	ඇඩියූ
adipose	මැසිවිලි නඟන්න
adjacency	යාබදව පිහිටා ඇත
adjacent	යාබදව පිහිටා ඇත
adjective	විශේෂණයකි
adjoining	යාබද
adjourn	කල් තැබිණි
adjournment	කල් තැබිණි
adjudicate	විනිශ්චය කිරීම
adjudication	විනිශ්චය කිරීම
adjunct	අනුබද්ධිතයි
adjust	වෙනස් කරන්න
adjuster	අනුගත කරන්න
adjustment	ගැලපීම්
adjuvant	සන්නායකයකි
admin	පරිපාලක
administer	පරිපාලනය කරයි
administration	පරිපාලනය
administrative	පරිපාලන
administrator	පරිපාලක
admirable	ප්රශංසාත්මකයි
admiral	අද්මිරාල්
admiralty	අම්මාල්
admiration	ප්රශංසා කිරීම
admire	අගය කරනවා
admired	අගය කළා
admirer	අගය කරනවා
admiring	ආදරණීයයි
admissibility	පිළිගත හැකි ය
admissible	පිළිගත හැකි ය
admission	ඇතුළත් විය
admit	පිළිගන්නවා
admittance	ඇතුළත් විය
admitted	ඇතුළත් විය
admitting	පිළිගන්නවා
admixture	අතිෙර්කයකි
admonition	අවවාදයයි
ado	ඇඩෝ
adobe	ඇඩෝබ්
adolescence	යොවුන් විය
adolescent	යොවුන් වියට
adopt	අනුගමනය කරයි
adoption	හදාගැනීම
adoptive	හදාගන්න
adorable	සුන්දරයි
adoration	ප්රශංසා
adore	ආදරණීයයි
adoring	ආදරයකි
adorn	වර්ණවත් විය
adornment	අලංකාරය
adrenalin	ඇඩ්රිනිනන්
adrenaline	ඇඩ්රිනීන්
adrift	වාඩිවී සිටිති
adult	වැඩිහිටි
adulterated	සමූලඝාතනය
adulterer	කාමමිථ්යාචාරිකයෙක්
adultery	අනාචාරය
adulthood	වැඩිහිටි විය
advance	අත්තිකාරමක්
advanced	උසස්
advancement	දියුණුවයි
advancing	ඉදිරියට යති
advantage	වාසිදායකය
advantageous	වාසිදායකයි
advent	පැමිණීමයි
adventure	ත්රාසජනක
adventurer	ත්රාසජනක
adventures	ඇඩ්වෙන්චර්ස්
adventurous	වික්රමාන්විතයි
adversary	විරුද්ධකාරයා
adverse	අහිතකර ය
adversity	විපත්ති
advertise	ප්රචාරය කරන්න
advertisement	දැන්වීමයි
advertising	ප්රචාරණය
adverts	දැන්වීම්
advice	උපදෙස්
advisable	යෝග්ය වේ
advise	උපදෙස් දෙන්න
advised	උපදෙස් දුන්නේය
advisement	උපදේශනය
adviser	උපදේශකයෙකි
advisor	උපදේශකයෙකි
advisory	උපදේශක වේ
advocacy	වෙනුවෙන් පෙනී සිටියේය
advocate	උද්ඝෝෂකයෙක්
aegis	ඒජීස්
aeration	වාතනය
aerial	ගුවන්යානා
aerobics	වයිට්බෝයි
aerodrome	ගුවන් තොටුපල
aerodynamic	වායුගතිකමය
aerodynamics	වායුගෝලයෙනි
aeronautics	ගගන
aeroplane	ගුවන්යානය
aerospace	අභ්යාවකාශ
aesthetic	සෞන්දර්යාත්මක විය
aesthetics	සෞන්දර්යය
aetiology	ලක්ෂණ වේ
afar	දුරින්
affable	හිතවත්
affair	පෙම් කිරීම
affect	බලපාන
affecting	බලපානවා
affection	සෙනෙහස
affectionate	ආදරය
affections	ආදර හැඟීමක්
affiche	NO TRANSLATION
affidavit	දිවුරුම් ප්රකාශයක්
affiliated	අනුබද්ධිතයි
affiliation	අනුබැඳිය
affinity	ආකර්ෂණීය බව
affirm	තහවුරු කරන්න
affirmation	ප්රතිඥා දීම
affirmative	ස්ථිරයි
affirmatively	ස්ථීරවම
affix	ඇමිණිය යුතුය
afflict	දුක් විඳිනවා
afflicted	දුක් විඳිනවා
affliction	දුකකි
affluence	ඉවහල් වේ
affluent	ධනවත් අයයි
afford	දැරිය යුතුය
affordable	දැරිය හැකි මිලකට
affront	දඩයමකි
affronted	තුවාල ලැබීය
afield	එයි
afire	ගින්නක්
afloat	පතනය
afore	කලින් සඳහන් කළා
aforementioned	ඉහතින් සඳහන් කරයි
aforesaid	ඉහත කී
afraid	බය වෙලා
afresh	අලුතින්ම
african	අප්රිකානු
aft	පසුපස
afterlife	පසු ජීවිතය
aftermath	පසු විපරමක්
afternoon	දහවල්
aftershave	ආෆ්ටර්ෙෂේව්
aftertaste	කල්ඉකුත්වී ඇත
afterthought	කල්පනා කළා
aga	NO TRANSLATION
agape	ඇපටපේ
agate	උඩුගම්
age	වයස
aged	වයස අවුරුදු
agency	නියෝජිතායතනය
agenda	න්යාය පත්රය
agent	නියෝජිතයා
agglomeration	ස්ථාවරත්වයයි
aggravate	උග්රයි
aggravated	උග්රවී තිබේ
aggravates	උග්රවී තිබේ
aggravating	උග්රවීම
aggravation	උග්රවීම
aggregate	එකතුවකි
aggregation	ඒකාබද්ධ කිරීමයි
aggresive	NO TRANSLATION
aggression	ආක්රමණිකය
aggressive	ආක්රමණශීලී විය
aggressively	ආක්රමනකාරී ලෙස
aggressiveness	ආක්රමනශීලී බව
aggressor	ආක්රමණිකයා
agh	ඒ
aghast	දුගඳයි
aghhh	NO TRANSLATION
agile	ඉක්මන්
agility	කඩිසර බව
aging	වයස්ගතවීම
agitate	උද්වේගකරයි
agitated	උද්වේගකරයි
agitation	උද්ඝෝෂණය
aglow	ගොරෝසුයි
agnostic	අඥෙයවාදී
ago	පෙර
agonizing	කෲර ය
agony	වියවුල්සහගතය
agoraphobia	ඇරොරෝෆොබියා
agree	එකඟ වෙමි
agreeable	එකඟ විය හැකි
agreed	එකඟ විය
agreeing	එකඟ වෙමි
agreement	ගිවිසුම
agressive	NO TRANSLATION
agricultural	කෘෂි
agriculture	කෘෂිකර්ම
aground	වටපිටාව
agua	NO TRANSLATION
ahead	ඉදිරියෙන්
ahhh	අහ්හ්
ahhhhhhhh	NO TRANSLATION
ahoy	අහෝයි
aid	ආධාරය
aide	ආධාරකරුවෙකි
aiding	උදව් කරනවා
aids	ආධාරක වේ
ail	අලි
ailing	රෝගාතුර විය
ailment	රෝගී තත්ත්වයකි
aim	අරමුණයි
aimless	අසරණයි
air	ගුවන්
airbag	වායු ගෝලය
airborne	වායුගෝලීය
aircraft	ගුවන් යානා
aircraft carrier	ගුවන් යානා නෞකාව
airfield	ගුවන් තොටුපල
airhead	ගුවන්යානය
airlift	ගුවන්යානයයි
airline	ගුවන් සමාගමයි
airliner	ගුවන්යානය
airlock	ගුවන්යානා
airman	ගුවන්යානය
airplane	ගුවන්යානය
airport	ගුවන් තොටුපොළ
airs	වාතය
airship	ඩුප්ලිකේෂන්
airspace	ගුවන් ගමනකි
airspeed	ගුවන්යානය
airstrip	ගුවන් පථය
airtight	වාහනයේ
airway	ශ්වසන මාර්ගය
aisle	පේළිය
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	ඒ
akin	හුරු
alabaster	ඇලබැස්ටර්
alarm	අනතුරු ඇඟවීමකි
alarm clock	බල්බ ඔරලෝසුව
alarmed	තැතිගැන්මක් ඇත
alarming	තැතිගන්වනසුළුයි
alas	අනේ
alb	NO TRANSLATION
albatross	ඇල්බට්රොස්
albino	ඇලිිනෝ
album	ඇල්බමය
alchemy	ඇල්කෙමි
alcohol	මත්පැන්
alcoholic	මත්පැන්
alcoholism	මත්පැන්
alcove	ඇල්කොව්
alderman	ඇලෙක්සැන්ඩර්
ale	NO TRANSLATION
alert	අවදියෙන් සිටින්න
alertness	සීරුවේ
alerts	ඇඟවීම්
alfalfa	ඇල්ෆල්ෆා
algebra	වීජ ගණිතය
algebraic	වීජීය
algorithm	ඇල්ගොරිතමය
alias	අන්වර්ථය
alibi	ඇලිබි
alien	විදේශිකයෙක්
alienate	විරසකය
alienated	විරසක විය
alienation	පරාරෝපණය
alight	නැගිටින්න
align	පෙලගස්වන්න
aligned	පෙලගැසුනි
alignment	පෙළගැස්වීම
alike	සමානව
alimentation	NO TRANSLATION
alimony	අලිමන්ට්
aliquot	ඇලෙක්සෝට්
alive	ජීවත් වෙනවා
alkali	ක්ෂාරමය
alkaloids	ඇල්කලෝයිඩ්
allay	නරකයි
allegation	චෝදනාවයි
allege	චෝදනා කරයි
alleged	චෝදනා කර ඇත
allegiance	පක්ෂපාතිත්වය
allegorical	ද්විතීයයි
allegory	කථාව
allegro	ඇලේග්රෝ
allergic	අසාත්මිකතාවක්
allergy	ආසාත්මිකතාවයකි
alleviate	විසඳෙනු ඇත
alleviation	තුරන් කිරීමයි
alley	ඇලිය
alleyway	ඇලියුයිස්
alliance	සන්ධානය
allied	අනුබද්ධිත ය
alligator	ඇලිගැටයා
allocate	වෙන් කරන්න
allocation	වෙන් කිරීම
allot	ෙවන්ෙද්සිය යුතුය
allotment	ඉඩමක් ඇත
allow	ඉඩ දෙන්න
allowable	අවසර ලබාදී ඇත
allowance	දීමනාව
allowed	අවසර ලැබුණි
alloy	ලෝහයකි
allsmiles	NO TRANSLATION
allure	ආකර්ෂණය
alluring	ආකර්ෂණීයයි
allusion	ඇටසින්
alluvial	දිය ඇල්ලිය
ally	සගයා
almanac	ඇල්මානා
almighty	සර්ව බලධාරී
almond	ආමන්ඩ්
aloft	රඟපායි
aloha	ආලෝහා
alone	තනිවම
alongside	එකට
aloof	බෙහෙවින් දුරස් විය
aloud	ශබ්ද නගා
alpha	ඇල්ෆා
alphabet	හෝඩියේ
alphabetical	අකාරාදී පිළිවෙලට
alpine	ඇල්පයින්
alreadyyyyy	දැනටමත්
altar	පූජාසනය
altar boy	පූජනීය දරුවා
alter	වෙනස් කරන්න
alteration	වෙනස් කිරීම
altercation	කැරැල්ල
altered	වෙනස් කර ඇත
alternate	විකල්ප වේ
alternating	විකල්පයක්
alternative	විකල්ප
altimeter	altimeter
altitude	උන්නතාංශය
alto	ඇල්ටෝ
altogether	සම්පූර්ණයෙන්ම
aluminum	ඇලුමිනියම්
alumnus	ඇමැතිකම
alveolar	ඇල්ටෙයොලර්
alzheimers	NO TRANSLATION
amalgam	අමල්ගම්
amalgamation	ඒකාබද්ධ කිරීම
amaretto	අමරෙටෝ
amass	ගොඩක් තියෙනවා
amateur	ආධුනික
amaze	පුදුමයි
amazed	පුදුම වුණා
amazedness	NO TRANSLATION
amazement	පුදුමයි
amazing	අරුම පුදුම
amazingly	පුදුම සහගතයි
ambassador	තානාපති
amber	ඇම්බර්
ambience	වාතාවරණය
ambient	සංවේදීයි
ambiguity	අසමගිය
ambiguous	දෙගිඩියා සහගත ය
ambit	බලපායි
ambition	අභිලාෂය යි
ambitious	අභිලාෂකාමී ය
ambivalent	දෙගිඩියාවෙනි
ambrosia	තෘෂ්ණාවෙනි
ambulance	ගිලන් රථය
ambush	සැඟවී සිටින්න
ameliorate	ලිහිල් කරන්න
amen	ආමෙන්
amenable	හොඳයි
amend	සංශෝධනය කරන්න
amendment	සංශෝධනය
amends	හිතයි
amenity	හොඳයි
amethyst	ඇමතීස්ට්
amiable	මිත්රශීලීයි
amicable	එකඟයි
amid	මධ්යයේය
amidst	මධ්යයේය
amino	ඇමයිනෝ
ammo	ආම්පන්නය
ammonia	ඇමෝනියා
ammonium	ඇමෝනියම්
ammunition	උණ්ඩ
amnesia	ආනේසියා
amnesty	ඇම්නෙස්ටිං
amorous	ආදරය
amorphous	අස්ඵටියකි
amortization	ක්රමක්ෂය
amount	ප්රමාණය
amour	NO TRANSLATION
amp	amp
ampersand	වළල්ල
amphetamines	ඇම්පෙටමින්
amphibian	උභයජීවීන්
amphibious	උභතෝකෝටික
amphitheater	රංග ශාලාව
ample	ප්රමාණවත්ය
amplification	විස්තාරණය කිරීම
amplify	වැඩි වේ
amplitude	විස්තාරය
amply	හොඳයි
amputate	වට්ටෝරුවක්
amputation	කපා ඉවත් කිරීම
amuck	ඇලෙක්සැන්ඩර්
amulet	ආමුදිතය
amuse	විනෝද වෙන්න
amused	විනෝදජනකයි
amusement	විනෝදය
amusing	විනෝදජනකයි
ana	NO TRANSLATION
anaconda	ඇනකොන්ඩා
anaesthesia	නිර්වින්දනය
anaesthetic	නිර්වින්දකයක්
anagram	ඇන්ග්රෑම්
anal	විශ්ලේෂකයෝ
analgesic	දිලීර නාශකයකි
analogous	සමානය
analogue	ඇනෙලොග්
analogy	සංඥාවකි
analysis	විශ්ලේෂණය
analyst	විශ්ලේෂකයෙකි
analytic	විශ්ලේෂී වේ
analytical	විශ්ලේෂණාත්මක වේ
analyze	විශ්ලේෂණය කරයි
analyzer	විශ්ෙල්ෂකය
anaphylactic	අනාකලබලකාරී වේ
anarchism	අරාජිකය
anarchist	අරාජකවාදී ය
anarchy	අරාජිකය
anastomosis	ඇනස්ටෝමෝසිස් වේ
anathema	නිර්වාණය
anatomic	යාන්ත්රනයකි
anatomy	ව්යුහය
ancestor	මුතුන් මිත්තෙකු විය
ancestral	මුතුන්මිත්තන්
ancestry	මුතුන්මිත්තන්
anchor	නැංගුරම
anchorage	නැංගුරමක්
ancient	පුරාණ
ancillary	උපකාරී වේ
androgen	ඇන්ඩ්රොයිඩ්
android	ඇන්ඩ්රොයිඩ්
anecdote	ඇනෙක්ඩෝට්
anemia	රක්තහීනතාවය
anemic	රක්ත හීනතාවයි
anemone	අනේනය
anesthesia	නිර්වින්දනය
anesthesiologist	නිර්වින්දන වෛද්යවරියක්
anesthetic	නිර්වින්දකයක්
aneurysm	ඇනහිරේ
anew	අලුත්
angel	දේවදූතයෙක්
angelic	දේවදූතයෙක්
anger	කෝපය
angered	කෝපයට පත් විය
angermanagement	NO TRANSLATION
angina	ඇන්ඩිනය
angiogram	බද්ධ
angiography	පුරාවිද්යාවකි
angle	කෝණයක්
angling	පැදවීම
angora	කෝමාරිකා
angriest	කෝපයට පත්විය
angry	තරහ ගියා
angrytweet	NO TRANSLATION
angst	කෝපය
anguish	වේදනාව
anguished	කණගාටුයි
angular	කෝණික
anhydrous	නිර්ජලීය
animal	සත්ව
animate	සජීවීකරණය
animated	සජීවිකරණය කර ඇත
animation	සජීවීකරණය
animosity	එදිරිවාදුකම්
animus	ඇනිමස්
ankle	වළල්ලේ
anklet	ඇන්කෙට්
annals	පුරාවිද්යාඥයන්
annex	ඇමුණුම
annexation	ඈඳා ගැනීම
annexe	NO TRANSLATION
annihilate	සමූලඝාතනය
annihilated	විනාශවී තිබේ
annihilation	සමූල ඝාතනය
anniversary	සංවත්සරයයි
annotate	සටහන් කරන්න
annotation	සංඥාව
announce	නිවේදනය කරයි
announcement	නිවේදනයයි
announcer	නිවේදකයා
annoy	අපූරුය
annoyance	නොසතුට
annoyed	කේන්ති ගියා
annoyin	NO TRANSLATION
annoying	අමාරුයි
annoys	සංජානනයයි
annual	වාර්ෂික
annuity	ගෙවීම
annul	අවලංගු කරන්න
annular	වළලනු ලැබේ
annulment	නෙරපා හැරීම
annulus	අවකලනය
anointed	අභිෂේක ලත් අය
anointing	අභිෂේක ලත්
anomalous	අසාධාරණයි
anomaly	විෂමතාවයි
anon	ඇනොන්
anonymity	නිර්නාමිකයි
anonymous	නිර්නාමිකයි
anorexic	ඇනරෙක්සිස්
answer	පිළිතුර
answerable	උත්තර දෙනවා
answering	උත්තර දෙන්න
ant	කූඹියා
antagonism	එදිරිවාදිකමකි
antagonist	ප්රතිවිරෝධකයෙකි
antagonistic	ප්රතිවිරුද්ධ
antagonize	ප්රතික්ෂේපය
ante	NO TRANSLATION
antecedent	පූර්විකාව
antelope	උණ්ඩය
antenna	ඇන්ටනා
anterior	පිටත
anthem	ගීය
anthill	ඇන්ටලික්
anthology	පුරාවෘත්තය
anthrax	ඇන්ත්රැක්ස්
anthropological	මානව විද්යාව
anthropologist	මානවවේදියෙක්
anthropology	මානව විද්යාව
anti	විරෝධී
antiaircraft	ඩයනයයි
antibiotic	ප්රතිජීවකය
antibiotics	ප්රතිජීවක ඖෂධ
antichrist	අන්තක්රිස්තුස්
anticipate	අපේක්ෂා කරනවා
anticipation	අපේක්ෂාවයි
anticipatory	පූර්වාපේලනයක්
antics	සිරිත් විරිත්
antidote	විෂබීජ නාශකයකි
antifungal	ප්රතිජීවක
antigravity	නරකයි
antimony	ඇන්ටිමනි
antipathy	උදාසීනත්වය
antiquarian	පුරාවිද්යාඥයෙකි
antiquated	පුරාවස්තුවකි
antique	පැරණි
antiques	පුරානවස්තු
antiquity	පුරාවස්තුවකි
antiseptic	විෂබීජ නාශකයකි
antisocial	සමාජ විරෝධී
antithesis	ප්රතිප්රහාරය
antithetical	ඒකාකාරී විය
antiviral	ප්රති වෛරසයකි
antler	උණ්ඩ
antsy	සුන්දරත්වය
anus	ගුදය
anvil	ඇණගහන්න
anxiety	කනස්සල්ල
anxietyattack	NO TRANSLATION
anxious	කරදරකාරි
anxiousness	කනස්සලුකම
anytime	ඕනෑම අවස්ථාවක
aorta	aorta
aortic	අත්යවශ්යය
apace	ක්ෂණිකව
apache	apache
apartment	මහල් නිවාස
apartments	මහල් නිවාස
apathetic	අප්රකටය
apathy	උදාසීනත්වය
ape	අම්මා
aperture	විවරය
apex	අග්ර
aphid	කුඩිත්තන්ගේ
aphrodisiac	ඇෆ්රොඩයිසයිස්
apiece	කොටසක්
aplomb	ගංවතුර
apocalypse	කථාව
apocalyptic	අඳුනකි
apologetic	කනගාටුදායකයි
apologist	ක්ෂමාලාපකයෙක්
apologize	සමාව ඉල්ලන්න
apology	සමාව ඉල්ලයි
apostasy	ඇදහිල්ලට විරුද්ධව
apostate	ඇදහිල්ල අත්හළ
apostle	ප්රේරිතය
apostolic	අපෝස්තලිකයි
apostrophe	නිශ්පාදනයයි
apothecary	ෂොප් එකක්
appalled	පුදුමයට පත් විය
appalling	භයානක ය
apparatus	උපකරණ
apparel	ඇඟලුම්
apparent	පැහැදිලි ය
apparently	පෙනෙන්නට තිබේ
apparition	පෙනේ
appeal	ආයාචනයකි
appear	පෙනේ
appearance	පෙනුම
appease	සතුටුයි
appellant	අභියාචකයා
append	එකතු කරන්න
appendage	උපාංගය
appendectomy	ඇටෙන්සෙමි
appendicitis	ඇපෙන්ඩිසයිටිස්
appendix	උපග්රන්ථය
appetite	රුචියක් නැහැ
appetizer	ආහාරයට ගන්න
appetizing	ආහාර රුචිය
applaud	ඇලෙක්සැන්ඩර්
applause	අත්පොලසන්
apple	ඇපල්
apple juice	ඇපල් යුෂ
applejack	ඇපල්ජාක්
applesauce	ඇපල්සූස
appliance	උපකරණයකි
appliances	උපකරණ
applicability	අදාළ වේ
applicable	අදාළ වේ
applicant	ඉල්ලුම්කරු
application	අයදුම්පත
apply	අදාළ වේ
appoint	පත් කරන්න
appointment	පත්වීම
appointments	පත්වීම්
apportion	බෙදීම්
apportionment	බෙදා වෙන් කිරීම
appraisal	අගැයීම
appraise	තක්සේරු කරන්න
appreciable	සැලකිය යුතු ය
appreciate	අගය කරනවා
appreciated	අගය කළා
appreciates	අගය කරනවා
appreciation	අගය කිරීමක්
appreciative	ස්තූතියි
apprehend	අත්අඩංගුවට ගැනීමයි
apprehension	භීතියයි
apprehensive	භීතියයි
apprentice	ආධුනිකයා
apprenticeship	ආධුනිකත්ව පුහුණුව
approach	ප්රවේශය
approaching	ළඟා වෙමින් තිබේ
approbate	NO TRANSLATION
approbation	අනුමත කිරීම
appropriate	සුදුසු
appropriation	විසර්ජනය
approval	අනුමතිය
approve	අනුමත කරයි
approved	අනුමත කර ඇත
approvement	අනුමත කිරීම
approving	අනුමත කරයි
approximate	ආසන්න වේ
approximately	පමණ වේ
approximating	ආසන්න වශෙයන්
approximation	ආසන්න ය
appurtenances	ඈඳිය
apricot	රට කොට්ටං
apron	උඩ ඇඳුම
apt	ඇප්
aptitude	අභිමානයයි
aqua	ඇක්වා
aquamarine	ඇකේ්රමයින්
aquarium	මින්මැදුරක්
aquatic	ජලජ
aqueduct	ජල ගැල්මකි
aqueous	ජලීය වේ
arable	දොඩම්
arbiter	බේරුම්කරුවා
arbitrary	හිතුවක්කාර
arbitrate	බේරුම් කරන්න
arbitration	බේරුම්කරණය
arbitrator	බේරුම්කරුවා
arbor	බේබද්දෙක්
arc	චාප
arcade	ඇකඩම
arcane	ආර්කේන්
arch	නටබුන්
archaeological	පුරාවිද්යා
archaeologist	පුරාවිද්යාඥයෙක්
archaeology	පුරාවිද්යාව
archaic	පෞරාණිකයි
archangel	අග්රදේවදූතයා
archbishop	අග්රගණ්ය
archdiocese	අධිරාජ්යවිරෝධී
archduke	අධිපති
arched	ඇරුණේය
archer	දුනුවායෙකි
archery	දුනු විදියක්
archetype	අචේ ටයිපී
archipelago	දූපත් සමූහයකි
architect	ගෘහ නිර්මාණ ශිල්පියා
architectural	වාස්තු
architecture	නිර්මාණ ශිල්පය
archive	සංරක්ෂිතය
arctic	ආක්ටික්
ardent	උද්යෝගිමත් ය
ardor	අරෝඩර්
arduous	දුෂ්කර
area	ප්රදේශයකි
arena	අරන
areola	ආසා
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	තර්ක කරයි
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	වාද කරනවා
argument	තර්කය
argumentation	තර්ක කිරීමයි
