Word	tr
admitting	itiraf
admixture	karışım
admonition	öğüt
ado	patırtı
adobe	Adobe
adolescence	Gençlik
adolescent	genç
adopt	benimsemek
adoption	Benimseme
adoptive	evlat edinen
adorable	tapılası
adoration	tapınma
adore	tapmak
adoring	sevgi dolu
adorn	süslemek
adornment	süsleme
adrenalin	adrenalin
adrenaline	adrenalin
adrift	başıboş
adult	yetişkin
adulterated	karışık
adulterer	aldatan erkek
adultery	zina
adulthood	yetişkinlik
advance	ilerlemek
advanced	ileri
advancement	ilerleme
advancing	ilerleyen
advantage	avantaj
advantageous	avantajlı
advent	gelişi
adventure	macera
adventurer	maceraperest
adventures	maceralar
adventurous	maceraperest
adversary	hasım
adverse	ters
adversity	sıkıntı
advertise	duyurmak
advertisement	reklâm
advertising	reklâm
adverts	reklamlar
advice	tavsiye
advisable	uygun
advise	öğüt vermek
advised	tavsiye
advisement	advisement
adviser	danışman
advisor	danışman
advisory	danışma
advocacy	savunma
advocate	savunucu
aegis	siper
aeration	havalandırma
aerial	hava
aerobics	aerobik
aerodrome	havaalanı
aerodynamic	aerodinamik
aerodynamics	aerodinamik
aeronautics	havacılık
aeroplane	uçak
aerospace	havacılık
aesthetic	estetik
aesthetics	estetik
aetiology	etiyolojisi
afar	uzaktan
affable	nazik
affair	mesele
affect	etkilemek
affecting	etkileyen
affection	sevgi
affectionate	sevecen
affections	sevgi
affiche	NO TRANSLATION
affidavit	beyanname
affiliated	bağlı
affiliation	üyelik
affinity	ilgi
affirm	onaylamak
affirmation	doğrulama
affirmative	olumlu
affirmatively	onaylayarak
affix	iliştirmek
afflict	eziyet etmek
afflicted	tutulmuş
affliction	ızdırap
affluence	bolluk
affluent	varlıklı
afford	parası yetmek
affordable	satın alınabilir
affront	hakaret
affronted	affronted
afield	uzağa
afire	bir ateş
afloat	denizde
afore	yukarıda
aforementioned	bahsi geçen
aforesaid	adı geçen
afraid	korkmuş
afresh	yeniden
african	Afrika
aft	kıçta
afterlife	öbür dünya
aftermath	sonrasının
afternoon	öğleden sonra
aftershave	tıraş kremi
aftertaste	ağızda kalan tat
afterthought	sonradan akla gelen düşünce
aga	NO TRANSLATION
agape	ağzı açık olarak
agate	akik
age	yaş
aged	yaşlı
agency	Ajans
agenda	Gündem
agent	ajan
agglomeration	toplanma
aggravate	ağırlaştırmak
aggravated	ağırlaştırılmış
aggravates	ağırlaştırmaktadır
aggravating	ağırlaştırıcı
aggravation	kızdırma
aggregate	toplam
aggregation	toplanma
aggresive	NO TRANSLATION
aggression	saldırganlık
aggressive	agresif
aggressively	agresif
aggressiveness	saldırganlık
aggressor	saldırgan
agh	agh
aghast	donakalmış
aghhh	NO TRANSLATION
agile	çevik
agility	çeviklik
aging	yaşlanma
agitate	kışkırtmak
agitated	tedirgin
agitation	çalkalama
aglow	kıpkırmızı
agnostic	agnostik
ago	önce
agonizing	acı veren
agony	ızdırap
agoraphobia	agorafobi
agree	anlaşmak
agreeable	hoş
agreed	kabul
agreeing	kabul
agreement	anlaşma
agressive	NO TRANSLATION
agricultural	tarım
agriculture	tarım
aground	karaya oturmuş
agua	NO TRANSLATION
ahead	önde
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	yahu
aid	yardım
aide	yardımcı
aiding	yardım
aids	AIDS
ail	rahatsız
ailing	hasta
ailment	hastalık
aim	amaç
aimless	amaçsız
air	hava
airbag	hava yastığı
airborne	hava indirme
aircraft	uçak
aircraft carrier	uçak gemisi
airfield	havaalanı
airhead	boş kafalı
airlift	hava köprüsü
airline	havayolu
airliner	dev uçak
airlock	hava kilidi
airman	havacı
airplane	uçak
airport	havalimanı
airs	fiyaka
airship	zeplin
airspace	hava boşluğu
airspeed	hava hızı
airstrip	uçak pisti
airtight	hava geçirmez
airway	havayolu
aisle	koridor
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	diğer adıyla
akin	benzeyen
alabaster	kaymaktaşı
alarm	alarm
alarm clock	alarm saati
alarmed	panik
alarming	korkutucu
alas	yazık
alb	NO TRANSLATION
albatross	albatros
albino	albino
album	albüm
alchemy	simya
alcohol	alkol
alcoholic	alkollü
alcoholism	alkolizm
alcove	kameriye
alderman	belediye meclisi üyesi
ale	NO TRANSLATION
alert	Alarm
alertness	uyanıklık
alerts	uyarılar
alfalfa	alfalfa
algebra	cebir
algebraic	cebirsel
algorithm	algoritma
alias	takma ad
alibi	mazeret
alien	yabancı
alienate	yabancılaştırmak
alienated	yabancılaşmış
alienation	yabancılaştırma
alight	inmek
align	hizalamak
aligned	hizalı
alignment	hizalanma
alike	benzer
alimentation	NO TRANSLATION
alimony	nafaka
aliquot	tümbölen
alive	canlı
alkali	alkali
alkaloids	alkaloidler
allay	yatıştırmak
allegation	iddia
allege	ileri sürmek
alleged	iddia edilen
allegiance	bağlılık
allegorical	alegorik
allegory	alegori
allegro	allegro
allergic	alerjik
allergy	alerji
alleviate	hafifletmek
alleviation	hafifleme
alley	geçit
alleyway	geçit
alliance	ittifak
allied	müttefik
alligator	timsah
allocate	ayırmak
allocation	tahsis
allot	tahsis
allotment	tahsis
allow	izin vermek
allowable	izin verilebilir
allowance	ödenek
allowed	izin
alloy	alaşım
allsmiles	NO TRANSLATION
allure	cazibe
alluring	çekici
allusion	kinaye
alluvial	alüvyonlu
ally	müttefik
almanac	almanak
almighty	yüce
almond	badem
aloft	havada
aloha	aloha
alone	yalnız
alongside	yanında
aloof	uzak
aloud	yüksek sesle
alpha	alfa
alphabet	alfabe
alphabetical	alfabetik
alpine	alp
alreadyyyyy	alreadyyyyy
altar	altar
altar boy	sunak çocuğu
alter	değiştirmek
alteration	değişiklik
altercation	tartışma
altered	değişmiş
alternate	alternatif
alternating	alternatif
alternative	alternatif
altimeter	altimetre
altitude	rakım
alto	alto
altogether	tamamen
aluminum	alüminyum
alumnus	mezun erkek
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	malgama
amalgamation	şirketlerin birleşmesi
amaretto	Amaretto
amass	biriktirmek
amateur	amatör
amaze	şaşırtmak
amazed	şaşırmış
amazedness	NO TRANSLATION
amazement	şaşkınlık
amazing	şaşırtıcı
amazingly	inanılmaz
ambassador	büyükelçi
amber	kehribar
ambience	ortam
ambient	ortam
ambiguity	belirsizlik
ambiguous	belirsiz
ambit	muhit
ambition	hırs
ambitious	hırslı
ambivalent	kararsız
ambrosia	çok lezzetli yemek
ambulance	ambulans
ambush	pusu
ameliorate	düzeltmek
amen	amin
amenable	uysal
amend	değiştirmek
amendment	düzeltme
amends	özür
amenity	tatlılık
amethyst	ametist
amiable	sevimli
amicable	dostane
amid	ortasında
amidst	ortasında
amino	amino
ammo	cephane
ammonia	amonyak
ammonium	amonyum
ammunition	cephane
amnesia	amnezi
amnesty	af
amorous	aşık
amorphous	amorf
amortization	amortisman
amount	Miktar
amour	NO TRANSLATION
amp	amper
ampersand	işareti '&'
amphetamines	amfetaminler
amphibian	amfibi
amphibious	amfibi
amphitheater	amfitiyatro
ample	bol
amplification	amplifikasyon
amplify	yükseltmek
amplitude	genlik
amply	fazlasıyla
amputate	kesmek
amputation	uzvun kesilmesi
amuck	bunalım sonucu öldürme arzusu
amulet	muska
amuse	eğlendirmek
amused	eğlenerek
amusement	eğlence
amusing	eğlenceli
ana	NO TRANSLATION
anaconda	anakonda
anaesthesia	anestezi
anaesthetic	anestetik
anagram	evirmece
anal	anal
analgesic	analjezik
analogous	benzer
analogue	analog
analogy	analoji
analysis	analiz
analyst	analist
analytic	analitik
analytical	analitik
analyze	çözümlemek
analyzer	analizör
anaphylactic	anafilaktik
anarchism	anarşizm
anarchist	anarşist
anarchy	anarşi
anastomosis	anastomoz
anathema	aforoz
anatomic	anatomik
anatomy	anatomi
ancestor	Ata
ancestral	atalardan kalma
ancestry	soy
anchor	Çapa
anchorage	demirleme
ancient	eski
ancillary	yardımcı
androgen	androjen
android	android
anecdote	anekdot
anemia	anemi
anemic	anemik
anemone	anemon
anesthesia	anestezi
anesthesiologist	anestezist
anesthetic	anestetik
aneurysm	anevrizma
anew	yeniden
angel	melek
angelic	melek gibi
anger	öfke
angered	kızdırdı
angermanagement	NO TRANSLATION
angina	anjin
angiogram	anjiyogram
angiography	anjiyografi
angle	açı
angling	olta ile balık tutma
angora	Angora
angriest	sinirli
angry	kızgın
angrytweet	NO TRANSLATION
angst	endişe
anguish	ızdırap
anguished	kederli
angular	açısal
anhydrous	susuz
animal	hayvan
animate	hareketli
animated	canlandırılmış
animation	animasyon
animosity	düşmanlık
animus	düşmanlık
ankle	ayak bileği
anklet	halhal
annals	tarihsel olaylar
annex	ek
annexation	ilhak
annexe	NO TRANSLATION
annihilate	yoketmek
annihilated	imha
annihilation	yok etme
anniversary	yıldönümü
annotate	açıklama
annotation	not
announce	duyurmak
announcement	duyuru
announcer	spiker
annoy	kızdırmak
annoyance	sıkıntı
annoyed	kızgın
annoyin	NO TRANSLATION
annoying	Can sıkıcı
annoys	kızdıramaz
annual	yıllık
annuity	yıllık gelir
annul	feshetmek
annular	dairesel
annulment	iptal
annulus	halka
anointed	meshetti
anointing	mesh
anomalous	anormal
anomaly	anomali
anon	çok geçmeden
anonymity	anonimlik
anonymous	anonim
anorexic	anoreksik
answer	Cevap
answerable	sorumlu
answering	cevap veren
ant	karınca
antagonism	düşmanlık
antagonist	rakip
antagonistic	muhalif
antagonize	kışkırtmak
ante	NO TRANSLATION
antecedent	öncül
antelope	antilop
antenna	anten
anterior	ön
anthem	marş
anthill	karınca yuvası
anthology	antoloji
anthrax	şarbon
anthropological	antropolojik
anthropologist	antropolog
anthropology	antropoloji
anti	anti
antiaircraft	uçaksavar
antibiotic	antibiyotik
antibiotics	antibiyotikler
antichrist	Deccal
anticipate	tahmin etmek
anticipation	umma
anticipatory	ileriye yönelik
antics	NO TRANSLATION
antidote	panzehir
antifungal	antifungal
antigravity	yerçekimine karşı
antimony	antimon
antipathy	antipati
antiquarian	antika
antiquated	modası geçmiş
antique	Antik
antiques	antikalar
antiquity	eskilik
antiseptic	antiseptik
antisocial	antisosyal
antithesis	antitez
antithetical	karşıt
antiviral	antiviral
antler	boynuz
antsy	sabırsız
anus	anüs
anvil	örs
anxiety	kaygı
anxietyattack	NO TRANSLATION
anxious	endişeli
anxiousness	anxiousness
anytime	istediğin zaman
aorta	aort
aortic	aort
apace	hızla
apache	apache
apartment	apartman
apartments	daireler
apathetic	ilgisiz
apathy	ilgisizlik
ape	maymun
aperture	açıklık
apex	doruk
aphid	yaprak biti
aphrodisiac	afrodizyak
apiece	bir parça
aplomb	kendini tutma
apocalypse	vahiy
apocalyptic	kıyamet
apologetic	özür dileyen
apologist	apolojist
apologize	özür dilemek
apology	özür
apostasy	döneklik
apostate	dönek
apostle	havari
apostolic	havariler ile ilgili
apostrophe	apostrof
apothecary	eczacı
appalled	dehşete
appalling	korkunç
apparatus	cihaz
apparel	giysi
apparent	bariz
apparently	görünüşe göre
apparition	hayalet
appeal	temyiz
appear	görünmek
appearance	görünüm
appease	yatıştırmak
appellant	temyiz eden taraf
append	eklemek
appendage	uzantı
appendectomy	apandis ameliyatı
appendicitis	apandisit
appendix	apandis
appetite	iştah
appetizer	meze
appetizing	iştah açıcı
applaud	alkışlamak
applause	alkış
apple	elma
apple juice	elma suyu
applejack	elma konyağı
applesauce	elma püresi
appliance	cihaz
appliances	aletleri
applicability	uygulanabilirlik
applicable	uygulanabilir
applicant	başvuru sahibi
application	uygulama
apply	uygulamak
appoint	atamak
appointment	randevu
appointments	randevular
apportion	paylaştırmak
apportionment	paylaştırma
appraisal	değerlendirme
appraise	değerlendirmek
appreciable	sezilebilir
appreciate	anlamak
appreciated	takdir
appreciates	takdir
appreciation	takdir
appreciative	minnettar
apprehend	tutuklamak
apprehension	endişe
apprehensive	endişeli
apprentice	Çırak
apprenticeship	çıraklık
approach	yaklaşım
approaching	yaklaşan
approbate	NO TRANSLATION
approbation	onama
appropriate	uygun
appropriation	ödenek
approval	onay
approve	onaylamak
approved	onaylı
approvement	Güvence
approving	onaylayan
approximate	yaklaşık
approximately	yaklaşık olarak
approximating	yaklaştırma
approximation	tahmin
appurtenances	irtifak hakkı
apricot	kayısı
apron	apron
apt	uygun
aptitude	yetenek
aqua	su
aquamarine	akuamarin
aquarium	akvaryum
aquatic	suda yaşayan
aqueduct	sukemeri
aqueous	sulu
arable	tarıma elverişli
arbiter	söz sahibi
arbitrary	keyfi
arbitrate	hakemlik etmek
arbitration	Tahkim
arbitrator	hakem
arbor	çardak
arc	yay
arcade	çarşı
arcane	gizli
arch	kemer
archaeological	arkeolojik
archaeologist	arkeolog
archaeology	arkeoloji
archaic	arkaik
archangel	başmelek
archbishop	başpiskopos
archdiocese	başpiskoposun yönetimindeki bölge
archduke	arşidük
arched	kemerli
archer	okçu
archery	okçuluk
archetype	prototip
archipelago	adalar
architect	mimar
architectural	mimari
architecture	mimari
archive	Arşiv
arctic	Arktik
ardent	ateşli
ardor	şevk
arduous	çetin
area	alan
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	tartışmak
argument	tartışma
argumentation	tartışma
argumentative	münakaşacı
arguments	argümanlar
arid	kurak
arise	ortaya
aristocracy	aristokrasi
aristocrat	aristokrat
aristocratic	soylu
arithmetic	aritmetik
ark	sandık
arm	kol
armada	donanma
armament	silâhlanma
armaments	silahlanma
armature	armatür
armchair	koltuk
armed	silâhlı
armor	zırh
armored	zırhlı
armory	cephanelik
armpit	koltuk altı
arms	silâh
army	ordu
aroma	aroma
aromatherapy	aromaterapi
arousal	uyarılma
arouse	uyandırmak
aroused	uyandırdı
arraignment	kabahat yükleme
arrange	düzenlemek
arranged	düzenlenmiş
arrangement	aranjman
array	dizi
arrears	borç
arrest	tutuklamak
arrhythmia	aritmi
arrival	varış
arrive	varmak
arrogance	kibir
arrogant	kibirli
arrow	ok
arsehole	göt deliği
arseholes	Arseholes
arsenal	cephanelik
arsenic	arsenik
arson	kundakçılık
arsonist	kundakçı
art	Sanat
arterial	atardamar
artery	arter
artful	sanatlı
arthritis	artrit
arthropod	eklem bacaklı
artichoke	enginar
article	makale
articles	haberler
articulate	ifade
articulation	mafsal
artifact	yapay
artifice	beceri
artificial	yapay
artillery	ağır silahlar
artisan	esnaf
artist	sanatçı
artiste	NO TRANSLATION
artistic	artistik
artistry	yetenek
artists	sanatçılar
artwork	sanat eseri
arty	gösterişli
asap	en kısa sürede
asbestos	asbest
ascend	çıkmak
ascendancy	üstünlük
ascendant	yükselen
ascending	yükselen
ascension	yükselme
ascent	çıkış
ascertain	anlamak
ascertained	tespit
ascetic	sofu
ash	kül
ashamed	utanmış
ashes	küller
ashtray	kül tablası
asinine	eşekçe
ask	Sor
asleeep	NO TRANSLATION
asleep	uykuda
asp	asp
asparagus	Kuşkonmaz
aspartame	aspartam
aspect	Görünüş
aspects	yönleri
aspen	titrek kavak
asphalt	asfalt
asphyxia	boğulma
asphyxiation	boğulma
aspiration	özlem
aspire	çok istemek
aspirin	aspirin
aspiring	can atan
ass	eşek
assail	saldırmak
assailant	saldırgan
assassin	katil
assassinate	öldürmek
assassination	suikast
assault	saldırı
assay	tahlil
assemblage	montaj
assemble	birleştirmek
assembled	birleştirilmiş
assembly	montaj
assemblyman	meclis üyesi
assent	rıza
assert	ileri sürmek
asserting	iddia
assertion	iddia
assertive	iddialı
assess	belirlemek
assessment	değerlendirme
assessor	Değerlendirici
asset	varlık
assets	varlıklar
asshole	Pislik
assign	atamak
assignee	vekil
assignment	atama
assimilate	özümsemek
assimilation	asimilasyon
assist	yardım
assistance	yardım
assistant	asistan
associate	ortak
association	birleşme
assorted	çeşitli
assortment	çeşit
assuage	yatıştırmak
assume	üstlenmek
assumed	varsayılır
assuming	varsayarak
assumption	varsayım
assurance	güvence
assure	sağlamak
assured	emin
assuredly	kesinlikle
asterisk	yıldız işareti
asteroid	asteroit
asteroids	asteroitler
asthma	astım
asthmatic	astımlı
astigmatism	astigmatizm
astonish	Şaşkın
astonished	hayret
astonishing	şaşırtıcı
astonishingly	NO TRANSLATION
astonishment	şaşkınlık
astound	şaşırtmak
astral	astral
astray	yoldan
astringent	büzücü
astrologer	astrolog
astrology	astroloji
astronaut	astronot
astronomer	astronom
astronomical	astronomik
astronomy	astronomi
astute	zeki
asunder	parça parça
asylum	iltica
asymmetric	asimetrik
asymmetry	asimetri
asymptotic	asimptotik
atelier	atölye
atheism	ateizm
atheist	ateist
atheistic	ateist
atherosclerosis	ateroskleroz
athlete	atlet
athletic	atletik
athleticism	atletizm
athletics	atletizm
atlas	Atlas
atmosphere	atmosfer
atmospheric	atmosferik
atoll	atol
atom	atom
atomic	atomik
atone	gönül almak
atonement	kefaret
atpeace	atpeace
atrium	atriyum
atrocious	gaddarca
atrocity	gaddarlık
atrophy	atrofi
attach	iliştirmek
attached	ekli
attachment	ek dosya
attack	saldırı
attacker	saldırgan
attacking	saldırma
attain	ulaşmak
attainable	ulaşılabilir
attainment	ulaşma
attempt	girişim
attempted	teşebbüs
attend	katılmak
attendance	katılım
attendant	görevli
attention	Dikkat
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	özenli
attenuate	azaltmak
attenuated	zayıflatılmış
attenuation	zayıflama
attest	kanıtlamak
attestation	tasdik
attic	Çatı katı
attire	giydirmek
attitude	tutum
attorney	avukat
attract	çekmek
attraction	cazibe
attractive	çekici
attractiveness	çekicilik
attributable	dayandırılabilir
attribute	nitelik
attribution	nitelik
attrition	yıpranma
auburn	kumral
auction	açık arttırma
auctioneer	mezatçı
audacious	cüretli
audacity	küstahlık
audible	duyulabilir
audience	seyirci
audio	ses
audit	denetim
audition	işitme
auditions	Seçmeler
auditor	denetçi
auditorium	konferans salonu
auditory	işitsel
aught	zerre
augment	çoğaltmak
augmentation	büyüme
august	Ağustos
aunt	teyze
auntie	teyzeciğim
aura	atmosfer
aurora	şafak
auspices	himaye
auspicious	hayırlı
austere	sade
austerity	tasarruf
authentic	otantik
authenticate	kimlik doğrulaması
authentication	kimlik doğrulama
authenticity	otantiklik
author	yazar
authoritative	yetkili
authority	yetki
authorization	yetki
authorize	yetki vermek
authorized	yetkili
authorship	yazarlık
autism	otizm
autistic	otistik
auto	Oto
autobiographical	otobiyografik
autobiography	otobiyografi
autocorrect	otomatik düzeltme
autocratic	otokratik
autograph	imza
autographed	imzalı
automated	otomatikleştirilmiş
automatic	otomatik
automobile	otomobil
automotive	otomotiv
autonomy	özerklik
autopilot	otomatik pilot
autopsy	otopsi
autumn	sonbahar
auxiliary	yardımcı
avail	yaramak
availability	kullanılabilirlik
available	mevcut
avalanche	çığ
avarice	açgözlülük
avatar	avatar
avenge	öcünü almak
avenger	intikamcı
avenging	intikam alan
avenue	cadde
aver	NO TRANSLATION
average	ortalama
aversation	NO TRANSLATION
averse	gönülsüz
averseness	NO TRANSLATION
aversion	hoşlanmama
avert	önlemek
aviary	kuşhane
aviation	havacılık
aviator	havacı
avid	hırslı
avocado	Avokado
avoid	önlemek
avoidance	kaçınma
avoiding	kaçınma
await	beklemek
awake	uyanık
awaken	uyandırmak
awakening	uyanış
award	ödül
awards	ödülleri
aware	farkında
awareness	farkında olma
awe	NO TRANSLATION
awed	awed
awesome	müthiş
awesomeness	harika özellikler
awestruck	korkmuş
awful	korkunç
awkward	garip
awkwardness	beceriksizlik
awning	tente
awry	ters
axe	balta
axial	eksen
axiom	aksiyom
axiomatic	aksiyom
axis	eksen
axle	aks
ay	evet
aye	evet
azimuth	azimut
azure	masmavi
babble	boşboğazlık
babbling	gevezelik
babe	bebek
baboon	Habeş maymunu
baby	bebek
babysit	bakıcısı
babysitter	çocuk bakıcısı
baccalaureate	bakalorya
baccarat	bakara
bachelor	bekâr
bachelorette	bekarlığa
back	geri
backboard	Sedye
backbone	omurga
backdoor	arka kapı
backdrop	zemin
backer	sponsor
backfire	geri teper
backgammon	tavla
background	arka fon
backhand	ters vuruş
backhoe	kazıcı
backoff	geri bas
backpack	sırt çantası
backpacker	backpacker
backroom	kulübesindeki
backseat	arka koltuk
backside	popo
backtrack	sarfınazar etmek
backup	yedek
backward	geriye
backwardness	geri kalmışlık
backwards	geriye doğru
backwater	ilgisizlik
backwoods	taşra
backyard	arka bahçe
bacon	domuz pastırması
bacteria	bakteriler
bacterial	bakteri
bacterium	bakteri
bad	kötü
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	rozet
badger	porsuk
badhabit	NO TRANSLATION
badly	kötü
badness	kötülük
baffle	bölme
baffled	şaşırmış
bag	sırt çantası
bagel	simit
baggage	bagaj
baggie	poşet
baggy	sarkık
bagman	kasalarýydý
bagpipes	gayda
bail	kefalet
bailiff	mübaşir
bait	yem
bake	fırında pişirmek
bakery	fırın
baking	fırında pişirme
bal	NO TRANSLATION
balance	denge
balanced	dengeli
balcony	balkon
bald	kel
balding	kelleşen
baldy	kel
bale	balya
balk	ket
ball	top
ballad	türkü
ballast	balast
ballerina	balerin
ballet	bale
ballgame	top oyunu
ballistic	balistik
ballistics	balistik
balloon	balon
ballot	oylama
ballpark	basketbol sahası
ballplayer	top oyuncusu
ballpoint	tükenmez
ballroom	balo salonu
ballsy	ballsy
balm	merhem
balmy	dinlendirici
balsam	balsam
balsamic	kokulu
bam	bam
bamboo	bambu
ban	NO TRANSLATION
banana	muz
band	grup
bandage	bandaj
bandanna	bandana
bandit	eşkıya
bandstand	bando yeri
bandwagon	çoğunluk partisi
bandwidth	Bant genişliği
bane	yıkım
bang	patlama
banger	külüstür araba
banish	kovmak
banished	sürgün
banishment	sürgün
banister	tırabzan
banjo	banço
bank	banka
banker	bankacı
banking	bankacılık
bankroll	hazır para
bankrupt	iflas etti
bankruptcy	iflas
banner	afiş
banquet	ziyafet
banshee	ölüm perisi
banter	şaka
banzai	NO TRANSLATION
baptism	vaftiz
baptismal	vaftiz
baptize	vaftiz etmek
bar	bar
barb	diken
barbarian	barbar
barbaric	barbar
barbarism	barbarlık
barbecue	Barbekü
barbed	dikenli
barber	berber
barbershop	Berber dükkanı
barbie doll	Barbie bebek
bard	ozan
bare	çıplak
bareback	eyersiz
barefoot	yalınayak
barely	zar zor
barf	NO TRANSLATION
bargain	pazarlık etmek
bargaining	pazarlık
barge	mavna
baritone	bariton
barium	baryum
bark	bağırmak
barkeep	barmen
barks	soyulmuş kabuk
barley	arpa
barmaid	barmaid
barman	barmen
barn	ahır
barnacle	yabankazı
barney	barney
barnyard	çiftlik avlusu
barometer	barometre
baron	baron
baroness	barones
baroque	barok
barrack	baraka
barracuda	barracuda
barrage	baraj
barred	parmaklıklı
