Word	fr
adventure	aventure
adventurer	aventurier
adventures	aventures
adventurous	aventureux
adversary	adversaire
adverse	négatif
adversity	adversité
advertise	afficher
advertisement	publicité
advertising	La publicité
adverts	Annonces
advice	Conseil
advisable	conseillé
advise	conseiller
advised	informé
advisement	conseil
adviser	conseiller
advisor	conseiller
advisory	consultatif
advocacy	plaidoyer
advocate	avocat
aegis	égide
aeration	aération
aerial	aérien
aerobics	aérobie
aerodrome	aérodrome
aerodynamic	aérodynamique
aerodynamics	aérodynamique
aeronautics	aéronautiques
aeroplane	avion
aerospace	aérospatial
aesthetic	esthétique
aesthetics	esthétique
aetiology	étiologie
afar	au loin
affable	affable
affair	affaire
affect	affecter
affecting	affectant
affection	affection
affectionate	affectueux
affections	affections
affiche	NO TRANSLATION
affidavit	affidavit
affiliated	affilié
affiliation	affiliation
affinity	affinité
affirm	affirmer
affirmation	affirmation
affirmative	affirmative
affirmatively	affirmativement
affix	affixe
afflict	affliger
afflicted	affligé
affliction	affliction
affluence	richesse
affluent	affluent
afford	offrir
affordable	abordable
affront	affront
affronted	affronté
afield	un champ
afire	un feu
afloat	à flot
afore	avant
aforementioned	susmentionné
aforesaid	précité
afraid	peur
afresh	de nouveau
african	africain
aft	à l'arrière
afterlife	vie après la mort
aftermath	conséquences
afternoon	après midi
aftershave	après-rasage
aftertaste	arrière-goût
afterthought	après-coup
aga	NO TRANSLATION
agape	bouche bée
agate	agate
age	âge
aged	vieilli
agency	agence
agenda	ordre du jour
agent	agent
agglomeration	une agglomération
aggravate	aggraver
aggravated	aggravé
aggravates	aggrave
aggravating	aggravant
aggravation	aggravation
aggregate	agrégat
aggregation	agrégation
aggresive	NO TRANSLATION
aggression	agression
aggressive	agressif
aggressively	agressivement
aggressiveness	agressivité
aggressor	agresseur
agh	agh
aghast	atterré
aghhh	NO TRANSLATION
agile	agile
agility	agilité
aging	vieillissement
agitate	agiter
agitated	agité
agitation	agitation
aglow	embrasé
agnostic	agnostique
ago	depuis
agonizing	angoissant
agony	agonie
agoraphobia	agoraphobie
agree	se mettre d'accord
agreeable	agréable
agreed	D'accord
agreeing	d'accord
agreement	accord
agressive	NO TRANSLATION
agricultural	agricole
agriculture	agriculture
aground	échoué
agua	NO TRANSLATION
ahead	devant
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	aide
aide	aide
aiding	aider
aids	sida
ail	tous
ailing	malade
ailment	maladie
aim	objectif
aimless	sans but
air	air
airbag	airbag
airborne	aéroporté
aircraft	avion
aircraft carrier	porte-avions
airfield	aérodrome
airhead	airhead
airlift	transport aérien
airline	Compagnie aérienne
airliner	avion de ligne
airlock	airlock
airman	aviateur
airplane	avion
airport	aéroport
airs	airs
airship	dirigeable
airspace	espace aérien
airspeed	vitesse
airstrip	bande d'atterrissage
airtight	hermétique
airway	voie aérienne
aisle	rayon
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	alias
akin	proche
alabaster	albâtre
alarm	alarme
alarm clock	réveil
alarmed	alarmé
alarming	alarmant
alas	Hélas
alb	NO TRANSLATION
albatross	albatros
albino	albinos
album	album
alchemy	alchimie
alcohol	de l'alcool
alcoholic	alcoolique
alcoholism	alcoolisme
alcove	alcôve
alderman	échevin
ale	NO TRANSLATION
alert	alerte
alertness	vigilance
alerts	alertes
alfalfa	luzerne
algebra	algèbre
algebraic	algébrique
algorithm	algorithme
alias	alias
alibi	alibi
alien	extraterrestre
alienate	aliéner
alienated	aliéné
alienation	aliénation
alight	une lumière
align	aligner
aligned	aligné
alignment	alignement
alike	ressemblent
alimentation	NO TRANSLATION
alimony	pension
aliquot	aliquote
alive	vivant
alkali	alcali
alkaloids	alcaloïdes
allay	allay
allegation	allégation
allege	alléguer
alleged	allégué
allegiance	allégeance
allegorical	allégorique
allegory	allégorie
allegro	allegro
allergic	allergique
allergy	allergie
alleviate	soulager
alleviation	allégement
alley	ruelle
alleyway	ruelle
alliance	Alliance
allied	allié
alligator	alligator
allocate	allouer
allocation	allocation
allot	attribuer
allotment	attribution
allow	permettre
allowable	admissible
allowance	allocation
allowed	permis
alloy	alliage
allsmiles	NO TRANSLATION
allure	séduire
alluring	séduisant
allusion	allusion
alluvial	alluvial
ally	allié
almanac	almanach
almighty	tout-puissant
almond	amande
aloft	en haut
aloha	aloha
alone	seul
alongside	aux côtés de
aloof	distant
aloud	à haute voix
alpha	alpha
alphabet	alphabet
alphabetical	alphabétique
alpine	alpin
alreadyyyyy	NO TRANSLATION
altar	autel
altar boy	garçon d'autel
alter	modifier
alteration	altération
altercation	altercation
altered	altéré
alternate	alterner
alternating	en alternance
alternative	alternative
altimeter	altimètre
altitude	altitude
alto	alto
altogether	tout à fait
aluminum	aluminium
alumnus	ancien élève
alveolar	alvéolaire
alzheimers	NO TRANSLATION
amalgam	amalgame
amalgamation	fusion
amaretto	Amaretto
amass	amasser
amateur	amateur
amaze	étonner
amazed	étonné
amazedness	étonnement
amazement	stupéfaction
amazing	incroyable
amazingly	étonnamment
ambassador	ambassadeur
amber	ambre
ambience	ambiance
ambient	ambiant
ambiguity	ambiguïté
ambiguous	ambigu
ambit	portée
ambition	ambition
ambitious	ambitieux
ambivalent	ambivalent
ambrosia	ambroisie
ambulance	ambulance
ambush	embuscade
ameliorate	améliorer
amen	Amen
amenable	accommodable
amend	modifier
amendment	amendement
amends	amende
amenity	aménité
amethyst	améthyste
amiable	aimable
amicable	amical
amid	parmi
amidst	au milieu de
amino	amino
ammo	munitions
ammonia	ammoniac
ammonium	ammonium
ammunition	munition
amnesia	amnésie
amnesty	amnistie
amorous	amoureux
amorphous	amorphe
amortization	amortissement
amount	montant
amour	NO TRANSLATION
amp	ampli
ampersand	esperluette
amphetamines	amphétamines
amphibian	amphibie
amphibious	amphibie
amphitheater	amphithéâtre
ample	ample
amplification	amplification
amplify	amplifier
amplitude	amplitude
amply	amplement
amputate	amputer
amputation	amputation
amuck	amok
amulet	amulette
amuse	amuser
amused	amusé
amusement	amusement
amusing	amusant
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anesthésie
anaesthetic	anesthésique
anagram	anagramme
anal	anal
analgesic	analgésique
analogous	analogue
analogue	analogue
analogy	analogie
analysis	une analyse
analyst	analyste
analytic	analytique
analytical	analytique
analyze	analyser
analyzer	analyseur
anaphylactic	anaphylactique
anarchism	anarchisme
anarchist	anarchiste
anarchy	anarchie
anastomosis	anastomose
anathema	anathème
anatomic	anatomique
anatomy	anatomie
ancestor	ancêtre
ancestral	ancestral
ancestry	ascendance
anchor	ancre
anchorage	ancrage
ancient	ancien
ancillary	auxiliaire
androgen	androgène
android	Android
anecdote	anecdote
anemia	anémie
anemic	anémique
anemone	anémone
anesthesia	anesthésie
anesthesiologist	anesthésiste
anesthetic	anesthésique
aneurysm	anévrisme
anew	un nouveau
angel	ange
angelic	angélique
anger	colère
angered	en colère
angermanagement	NO TRANSLATION
angina	angine
angiogram	angiogramme
angiography	angiographie
angle	angle
angling	pêche à la ligne
angora	angora
angriest	angriest
angry	en colère
angrytweet	NO TRANSLATION
angst	angoisse
anguish	angoisse
anguished	angoissé
angular	angulaire
anhydrous	anhydre
animal	animal
animate	animer
animated	Animé
animation	animation
animosity	animosité
animus	animus
ankle	cheville
anklet	Bracelet de cheville
annals	annales
annex	annexe
annexation	annexion
annexe	NO TRANSLATION
annihilate	annihiler
annihilated	annihilé
annihilation	annihilation
anniversary	anniversaire
annotate	annoter
annotation	annotation
announce	annoncer
announcement	annonce
announcer	annonceur
annoy	ennuyer
annoyance	contrariété
annoyed	agacé
annoyin	NO TRANSLATION
annoying	ennuyeux
annoys	agace
annual	annuel
annuity	rente
annul	annuler
annular	annulaire
annulment	annulation
annulus	annulus
anointed	oint
anointing	onction
anomalous	anormal
anomaly	anomalie
anon	anon
anonymity	anonymat
anonymous	anonyme
anorexic	anorexique
answer	répondre
answerable	responsable
answering	répondant
ant	fourmi
antagonism	antagonisme
antagonist	antagoniste
antagonistic	antagoniste
antagonize	contrarier
ante	NO TRANSLATION
antecedent	antécédent
antelope	antilope
antenna	antenne
anterior	antérieur
anthem	hymne
anthill	fourmilière
anthology	anthologie
anthrax	anthrax
anthropological	anthropologique
anthropologist	anthropologiste
anthropology	anthropologie
anti	anti
antiaircraft	antiaérien
antibiotic	antibiotique
antibiotics	antibiotiques
antichrist	Antéchrist
anticipate	anticiper
anticipation	anticipation
anticipatory	anticipatif
antics	bouffonneries
antidote	antidote
antifungal	antifongique
antigravity	anti-gravité
antimony	antimoine
antipathy	antipathie
antiquarian	antiquaire
antiquated	vieilli
antique	antique
antiques	antiquités
antiquity	antiquité
antiseptic	antiseptique
antisocial	antisocial
antithesis	antithèse
antithetical	antithétique
antiviral	antiviral
antler	ramure
antsy	antsy
anus	anus
anvil	enclume
anxiety	anxiété
anxietyattack	NO TRANSLATION
anxious	anxieux
anxiousness	anxiété
anytime	à tout moment
aorta	aorte
aortic	aortique
apace	un rythme
apache	apache
apartment	appartement
apartments	appartements
apathetic	apathique
apathy	apathie
ape	singe
aperture	ouverture
apex	sommet
aphid	puceron
aphrodisiac	aphrodisiaque
apiece	un morceau
aplomb	aplomb
apocalypse	apocalypse
apocalyptic	apocalyptique
apologetic	apologétique
apologist	apologiste
apologize	s'excuser
apology	excuses
apostasy	apostasie
apostate	apostat
apostle	apôtre
apostolic	apostolique
apostrophe	apostrophe
apothecary	apothicaire
appalled	consterné
appalling	épouvantable
apparatus	appareil
apparel	vêtements
apparent	apparent
apparently	Apparemment
apparition	apparition
appeal	charme
appear	apparaître
appearance	apparence
appease	apaiser
appellant	appelant
append	ajouter
appendage	appendice
appendectomy	appendicectomie
appendicitis	appendicite
appendix	annexe
appetite	appétit
appetizer	apéritif
appetizing	appétissant
applaud	applaudir
applause	applaudissements
apple	Pomme
apple juice	jus de pomme
applejack	cidre fort
applesauce	Compote de pommes
appliance	appareil
appliances	appareils électroménagers
applicability	applicabilité
applicable	en vigueur
applicant	demandeur
application	application
apply	appliquer
appoint	nommer
appointment	rendez-vous
appointments	rendez-vous
apportion	répartir
apportionment	répartition
appraisal	évaluation
appraise	évaluer
appreciable	appréciable
appreciate	apprécier
appreciated	apprécié
appreciates	apprécie
appreciation	appréciation
appreciative	reconnaissant
apprehend	appréhender
apprehension	appréhension
apprehensive	inquiet
apprentice	apprenti
apprenticeship	apprentissage
approach	approche
approaching	approchant
approbate	NO TRANSLATION
approbation	approbation
appropriate	approprié
appropriation	appropriation
approval	approbation
approve	approuver
approved	approuvé
approvement	approbation
approving	approuvant
approximate	approximatif
approximately	approximativement
approximating	approximation
approximation	approximation
appurtenances	accessoires
apricot	abricot
apron	tablier
apt	apte
aptitude	aptitude
aqua	aqua
aquamarine	bleu vert
aquarium	aquarium
aquatic	aquatique
aqueduct	aqueduc
aqueous	aqueux
arable	arable
arbiter	arbitre
arbitrary	arbitraire
arbitrate	arbitrer
arbitration	arbitrage
arbitrator	arbitre
arbor	tonnelle
arc	arc
arcade	arcade
arcane	ésotérique
arch	cambre
archaeological	archéologique
archaeologist	archéologue
archaeology	archéologie
archaic	archaïque
archangel	archange
archbishop	archevêque
archdiocese	archidiocèse
archduke	archiduc
arched	arqué
archer	archer
archery	tir à l'arc
archetype	archétype
archipelago	archipel
architect	architecte
architectural	architectural
architecture	architecture
archive	archiver
arctic	Arctique
ardent	ardent
ardor	ardeur
arduous	difficile
area	région
arena	arène
areola	aréole
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	se disputer
argument	argument
argumentation	argumentation
argumentative	argumentatif
arguments	arguments
arid	aride
arise	survenir
aristocracy	aristocratie
aristocrat	aristocrate
aristocratic	aristocratique
arithmetic	arithmétique
ark	arche
arm	bras
armada	armada
armament	armement
armaments	armements
armature	armature
armchair	fauteuil
armed	armé
armor	armure
armored	blindé
armory	arsenal
armpit	aisselle
arms	bras
army	armée
aroma	arôme
aromatherapy	aromathérapie
arousal	éveil
arouse	susciter
aroused	éveillé
arraignment	accusation
arrange	organiser
arranged	arrangé
arrangement	arrangement
array	tableau
arrears	arrérages
arrest	arrêter
arrhythmia	arythmie
arrival	arrivée
arrive	arrivée
arrogance	arrogance
arrogant	arrogant
arrow	flèche
arsehole	arsehole
arseholes	arseholes
arsenal	arsenal
arsenic	arsenic
arson	incendie volontaire
arsonist	pyromane
art	art
arterial	artériel
artery	artère
artful	astucieux
arthritis	arthrite
arthropod	arthropode
artichoke	artichaut
article	article
articles	des articles
articulate	articuler
articulation	articulation
artifact	artefact
artifice	artifice
artificial	artificiel
artillery	artillerie
artisan	artisan
artist	artiste
artiste	NO TRANSLATION
artistic	artistique
artistry	talent artistique
artists	artistes
artwork	ouvrages d'art
arty	arty
asap	au plus vite
asbestos	amiante
ascend	monter
ascendancy	ascendant
ascendant	ascendant
ascending	Ascendant
ascension	ascension
ascent	ascension
ascertain	vérifier
ascertained	vérifié
ascetic	ascétique
ash	cendre
ashamed	honteux
ashes	cendres
ashtray	cendrier
asinine	idiot
ask	demander
asleeep	NO TRANSLATION
asleep	endormi
asp	aspic
asparagus	asperges
aspartame	aspartame
aspect	aspect
aspects	aspects
aspen	tremble
asphalt	asphalte
asphyxia	asphyxie
asphyxiation	asphyxie
aspiration	aspiration
aspire	aspirer
aspirin	aspirine
aspiring	en herbe
ass	cul
assail	assaillir
assailant	agresseur
assassin	assassin
assassinate	assassiner
assassination	assassinat
assault	agression
assay	essai
assemblage	assemblage
assemble	assembler
assembled	assemblé
assembly	Assemblée
assemblyman	assemblyman
assent	assentiment
assert	affirmer
asserting	affirmer
assertion	affirmation
assertive	assertif
assess	évaluer
assessment	évaluation
assessor	assesseur
asset	atout
assets	les atouts
asshole	Connard
assign	attribuer
assignee	cessionnaire
assignment	affectation
assimilate	assimiler
assimilation	assimilation
assist	aider
assistance	assistance
assistant	assistant
associate	associer
association	association
assorted	assorti
assortment	assortiment
assuage	apaiser
assume	assumer
assumed	assumé
assuming	en supposant
assumption	supposition
assurance	assurance
assure	assurer
assured	assuré
assuredly	assurément
asterisk	astérisque
asteroid	astéroïde
asteroids	astéroïdes
asthma	asthme
asthmatic	asthmatique
astigmatism	astigmatisme
astonish	étonner
astonished	étonné
astonishing	étonnant
astonishingly	NO TRANSLATION
astonishment	étonnement
astound	étonner
astral	astral
astray	égaré
astringent	astringent
astrologer	astrologue
astrology	astrologie
astronaut	astronaute
astronomer	astronome
astronomical	astronomique
astronomy	astronomie
astute	astucieux
asunder	en morceaux
asylum	asile
asymmetric	asymétrique
asymmetry	asymétrie
asymptotic	asymptotique
atelier	atelier
atheism	athéisme
atheist	athée
atheistic	athée
atherosclerosis	athérosclérose
athlete	athlète
athletic	athlétique
athleticism	athlétisme
athletics	athlétisme
atlas	atlas
atmosphere	atmosphère
atmospheric	atmosphérique
atoll	atoll
atom	atome
atomic	atomique
atone	expier
atonement	expiation
atpeace	en paix
atrium	atrium
atrocious	atroce
atrocity	atrocité
atrophy	atrophie
attach	attacher
attached	attaché
attachment	attachement
attack	attaque
attacker	attaquant
attacking	attaquer
attain	atteindre
attainable	réalisable
attainment	réalisation
attempt	tentative
attempted	tenté
attend	assister
attendance	présence
attendant	préposé
attention	attention
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	attentif
attenuate	atténuer
attenuated	atténué
attenuation	atténuation
attest	attester
attestation	attestation
attic	grenier
attire	tenue
attitude	attitude
attorney	avocat
attract	attirer
attraction	attraction
attractive	attrayant
attractiveness	attraction
attributable	attribuable
attribute	attribut
attribution	attribution
attrition	usure
auburn	auburn
auction	enchères
auctioneer	commissaire-priseur
audacious	audacieux
audacity	audace
audible	audible
audience	public
audio	l'audio
audit	vérification
audition	audition
auditions	auditions
auditor	Auditeur
auditorium	salle
auditory	auditif
aught	rien
augment	augmenter
augmentation	augmentation
august	août
aunt	tante
auntie	tata
aura	aura
aurora	aurore
auspices	auspices
auspicious	de bon augure
austere	austère
austerity	austérité
authentic	authentique
authenticate	authentifier
authentication	authentification
authenticity	authenticité
author	auteur
authoritative	faisant autorité
authority	autorité
authorization	autorisation
authorize	autoriser
authorized	autorisé
authorship	paternité
autism	autisme
autistic	autistique
auto	auto
autobiographical	autobiographique
autobiography	autobiographie
autocorrect	correction automatique
autocratic	autocratique
autograph	un autographe
autographed	dédicacé
automated	automatique
automatic	automatique
automobile	voiture
automotive	automobile
autonomy	autonomie
autopilot	pilote automatique
autopsy	autopsie
autumn	l'automne
auxiliary	auxiliaire
avail	profiter
availability	disponibilité
available	disponible
avalanche	avalanche
avarice	avarice
avatar	avatar
avenge	venger
avenger	vengeur
avenging	se venger
avenue	rue
aver	NO TRANSLATION
average	moyenne
aversation	aversation
averse	averse
averseness	averseness
aversion	aversion
avert	éviter
aviary	volière
aviation	aviation
aviator	aviateur
avid	avide
avocado	Avocat
avoid	éviter
avoidance	évitement
avoiding	éviter
await	attendre
awake	éveillé
awaken	éveiller
awakening	éveil
award	prix
awards	prix
aware	conscient
awareness	conscience
awe	NO TRANSLATION
awed	impressionné
awesome	impressionnant
awesomeness	awesomeness
awestruck	émerveillé
awful	terrible
awkward	gênant
awkwardness	maladresse
awning	store
awry	de travers
axe	hache
axial	axial
axiom	axiome
axiomatic	axiomatique
axis	axe
axle	essieu
ay	ay
aye	toujours
azimuth	azimut
azure	Azur
babble	babiller
babbling	babillage
babe	bébé
baboon	babouin
baby	bébé
babysit	garder les enfants
babysitter	Baby-sitter
baccalaureate	baccalauréat
baccarat	baccarat
bachelor	bachelier
bachelorette	bachelorette
back	arrière
backboard	panneau
backbone	colonne vertébrale
backdoor	porte de derrière
backdrop	toile de fond
backer	backer
backfire	retour de flamme
backgammon	jacquet
background	Contexte
backhand	revers
backhoe	rétrocaveuse
backoff	reculer
backpack	sac à dos
backpacker	randonneur
backroom	chambre à l'arrière
backseat	banquette arrière
backside	arrière
backtrack	revenir en arrière
backup	sauvegarde
backward	vers l'arrière
backwardness	arriération
backwards	en arrière
backwater	backwater
backwoods	région forestière inexploitée
backyard	arrière-cour
bacon	Bacon
bacteria	des bactéries
bacterial	bactérien
bacterium	bactérie
bad	mal
badass	dur à cuire
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	badge
badger	blaireau
badhabit	NO TRANSLATION
badly	mal
badness	méchanceté
baffle	baffle
baffled	déconcerté
bag	sac
bagel	beignet
baggage	bagages
baggie	un sac
baggy	bouffant
bagman	intermédiaire
bagpipes	cornemuses
bail	caution
bailiff	huissier
bait	appât
bake	cuire
bakery	boulangerie
baking	cuisson
bal	NO TRANSLATION
balance	équilibre
balanced	équilibré
balcony	balcon
bald	chauve
balding	calvitie
baldy	baly
bale	balle
balk	rechigner
ball	ballon
ballad	ballade
ballast	ballast
ballerina	ballerine
ballet	ballet
ballgame	jeu de balle
ballistic	balistique
ballistics	balistique
balloon	ballon
ballot	bulletin de vote
ballpark	Ballpark
ballplayer	joueur de balle
ballpoint	à bille
ballroom	salle de bal
ballsy	ballsy
balm	baume
balmy	embaumé
balsam	baume
balsamic	balsamique
bam	bam
bamboo	bambou
ban	NO TRANSLATION
banana	banane
band	B: et
bandage	bandage
bandanna	NO TRANSLATION
bandit	bandit
bandstand	kiosque à musique
bandwagon	train en marche
bandwidth	bande passante
bane	fléau
bang	coup
banger	pétard
banish	bannir
banished	banni
banishment	bannissement
banister	rampe
banjo	banjo
bank	banque
banker	banquier
banking	bancaire
bankroll	financer
bankrupt	faillite
bankruptcy	la faillite
banner	bannière
banquet	banquet
banshee	banshee
banter	plaisanter
banzai	NO TRANSLATION
baptism	Baptême
baptismal	de baptême
baptize	baptiser
bar	bar
barb	barbillon
barbarian	barbare
barbaric	barbare
barbarism	barbarisme
barbecue	barbecue
barbed	barbelé
barber	coiffeur
barbershop	salon de coiffure
barbie doll	poupée Barbie
bard	barde
bare	nu
bareback	à cru
barefoot	pieds nus
barely	à peine
barf	barf
bargain	bonne affaire
bargaining	négociation
barge	barge
baritone	baryton
barium	baryum
bark	écorce
barkeep	barkeep
barks	aboiements
barley	orge
barmaid	barmaid
barman	barman
barn	Grange
barnacle	bernacle
barney	barney
barnyard	basse-cour
barometer	baromètre
baron	baron
baroness	baronne
baroque	baroque
barrack	caserne
barracuda	barracuda
barrage	barrage
barred	barré
barrel	baril
barren	stérile
barricade	barricade
barrier	barrière
barring	sauf
barrister	avocat
barroom	salle de bar
barrow	brouette
bartender	barman
barter	troc
base	base
baseball	base-ball
baseball bat	batte de baseball
baseboard	plinthe
baseless	sans fondement
baseline	baseline
baseman	baseman
basement	sous-sol
bases	bases
bash	frapper
bashful	timide
basic	de base
basics	bases
basil	basilic
basilica	Basilique
basin	bassin
basis	base
bask	se prélasser
basket	panier
basketball	basketball
bass	basse
bass guitar	guitare basse
basso	NO TRANSLATION
bassoon	basson
bastard	Connard
bastarding	bâtard
bastards	bâtards
bastion	bastion
bat	chauve souris
batch	lot
batching	dosage
bate	NO TRANSLATION
bath	une baignoire
bathe	baigner
bathhouse	bains publics
bathing	baignade
bathrobe	peignoir de bain
bathroom	salle de bains
bathtub	baignoire
bathymetry	bathymétrie
baton	bâton
battalion	bataillon
batter	Battre
battered	battu
battering	coups
battery	batterie
battle	bataille
battled	lutté
battlefield	champ de bataille
battleground	champ de bataille
battlements	créneaux
battleship	bataille navale
batty	batty
bauble	babiole
bawdy	paillard
bawl	brailler
bay	baie
bayonet	baïonnette
bayou	bayou
bazaar	bazar
bazooka	bazooka
bday	bday
be	être
beach	plage
beaches	des plages
beacon	balise
bead	perle
beading	perler
beads	perles
beady	petits et brillants
beagle	beagle
beak	le bec
beaker	gobelet
beam	faisceau
beaming	radieux
bean	haricot
beanbag	pouf
beanie	bonnet
bear	ours
bearable	supportable
beard	barbe
bearded	barbu
bearer	porteur
bearing	palier
bearings	roulements
bearish	baissier
bearskin	bonnet à poil
beast	bête
beastly	bestial
beat	battre
beaten	battu
beater	batteur
beating	battement
beatnik	beatnik
beau	beau
beautification	embellissement
beautiful	beau
beautify	embellir
beauty	beauté
beaver	castor
bebop	bebop
beck	Beck
beckon	Beckeck
become	devenir
bed	lit
bedding	literie
bedpan	bassin
bedrock	substrat rocheux
bedroom	chambre
bedside	chevet
bedspread	couvre-lit
bedtime	heure du coucher
bee	abeille
beef	du boeuf
beefsteak	Steak de bœuf
beehive	ruche
beep	bip
beeper	bip
beer	Bière
bees	abeilles
beeswax	cire d'abeille
beetle	scarabée
befall	arriver à
befitting	convenable
befriend	se faire des amis
befuddled	befuddled
beg	mendier
beggar	mendiant
begging	mendicité
begin	commencer
beginner	débutant
beginning	début
beginnings	débuts
