Word	id
adobe	adobe
adolescence	masa remaja
adolescent	remaja
adopt	mengambil
adoption	adopsi
adoptive	angkat
adorable	menggemaskan
adoration	pemujaan
adore	cinta
adoring	memujanya
adorn	menghiasi
adornment	perhiasan
adrenalin	adrenalin
adrenaline	adrenalin
adrift	terapung
adult	dewasa
adulterated	tercemar
adulterer	pezina
adultery	zina
adulthood	masa dewasa
advance	muka
advanced	maju
advancement	kemajuan
advancing	maju
advantage	keuntungan
advantageous	menguntungkan
advent	kedatangan
adventure	petualangan
adventurer	petualang
adventures	petualangan
adventurous	petualang
adversary	musuh
adverse	merugikan
adversity	kesulitan
advertise	mengiklankan
advertisement	iklan
advertising	iklan
adverts	iklan
advice	nasihat
advisable	sebaiknya
advise	menasihati
advised	disarankan
advisement	nasihat
adviser	penasihat
advisor	penasehat
advisory	penasehat
advocacy	pembelaan
advocate	menganjurkan
aegis	perlindungan
aeration	aerasi
aerial	udara
aerobics	aerobik
aerodrome	lapangan terbang
aerodynamic	aerodinamis
aerodynamics	aerodinamika
aeronautics	aeronautika
aeroplane	pesawat terbang
aerospace	kedirgantaraan
aesthetic	estetis
aesthetics	estetika
aetiology	etiologi
afar	jauh
affable	ramah
affair	perselingkuhan
affect	mempengaruhi
affecting	mempengaruhi
affection	kasih sayang
affectionate	sayang
affections	afeksi
affiche	NO TRANSLATION
affidavit	surat sumpah
affiliated	berafiliasi
affiliation	afiliasi
affinity	afinitas
affirm	menegaskan
affirmation	afirmasi
affirmative	setuju
affirmatively	dengan tegas
affix	afiks
afflict	menimpa
afflicted	menderita
affliction	penderitaan
affluence	kemakmuran
affluent	makmur
afford	mampu
affordable	terjangkau
affront	penghinaan
affronted	terhina
afield	jauh
afire	api
afloat	terapung
afore	di depan
aforementioned	tersebut di atas
aforesaid	tersebut di atas
afraid	takut
afresh	lagi
african	Afrika
aft	buritan
afterlife	akhirat
aftermath	akibat
afternoon	sore
aftershave	aftershave
aftertaste	aftertaste
afterthought	renungan
aga	NO TRANSLATION
agape	ternganga
agate	batu akik
age	usia
aged	berumur
agency	agen
agenda	Jadwal acara
agent	agen
agglomeration	pengelompokan
aggravate	memperberat
aggravated	diperburuk
aggravates	memperburuk
aggravating	menjengkelkan
aggravation	kejengkelan
aggregate	agregat
aggregation	pengumpulan
aggresive	NO TRANSLATION
aggression	agresi
aggressive	agresif
aggressively	secara agresif
aggressiveness	agresivitas
aggressor	agresor
agh	agh
aghast	terperanjat
aghhh	NO TRANSLATION
agile	tangkas
agility	kelincahan
aging	penuaan
agitate	mengganggu
agitated	gelisah
agitation	agitasi
aglow	bersinar
agnostic	agnostis
ago	lalu
agonizing	menyiksa
agony	penderitaan mendalam
agoraphobia	agoraphobia
agree	setuju
agreeable	menyenangkan
agreed	sepakat
agreeing	setuju
agreement	persetujuan
agressive	NO TRANSLATION
agricultural	pertanian
agriculture	pertanian
aground	kandas
agua	NO TRANSLATION
ahead	di depan
ahhh	ahhh
ahhhhhhhh	NO TRANSLATION
ahoy	ahoy
aid	membantu
aide	pembantu
aiding	membantu
aids	bantu
ail	bersakit
ailing	sakit
ailment	penyakit
aim	tujuan
aimless	tanpa tujuan
air	udara
airbag	kantong udara
airborne	udara
aircraft	pesawat terbang
aircraft carrier	kapal induk
airfield	lapangan terbang
airhead	airhead
airlift	airlift
airline	perusahaan penerbangan
airliner	pesawat terbang
airlock	airlock
airman	pilot
airplane	pesawat terbang
airport	Bandara
airs	mengudara
airship	kapal udara
airspace	ruang udara
airspeed	kecepatan udara
airstrip	landasan udara
airtight	kedap udara
airway	saluran napas
aisle	lorong
ait	NO TRANSLATION
ajar	NO TRANSLATION
aka	aka
akin	mirip
alabaster	pualam
alarm	alarm
alarm clock	jam alarm
alarmed	khawatir
alarming	menggelisahkan
alas	Sayang
alb	NO TRANSLATION
albatross	elang laut
albino	albino
album	album
alchemy	alkimia
alcohol	alkohol
alcoholic	beralkohol
alcoholism	alkoholisme
alcove	ceruk
alderman	anggota dewan kota
ale	NO TRANSLATION
alert	waspada
alertness	kewaspadaan
alerts	peringatan
alfalfa	alfalfa
algebra	aljabar
algebraic	aljabar
algorithm	algoritma
alias	alias
alibi	alibi
alien	asing
alienate	menjauhkan
alienated	terasing
alienation	pengasingan
alight	turun
align	meluruskan
aligned	selaras
alignment	penjajaran
alike	sama
alimentation	NO TRANSLATION
alimony	alimentasi
aliquot	alikuot
alive	hidup
alkali	alkali
alkaloids	alkaloid
allay	menenangkan
allegation	dugaan
allege	mengatakan
alleged	dugaan
allegiance	kesetiaan
allegorical	alegoris
allegory	alegori
allegro	alegro
allergic	alergi
allergy	alergi
alleviate	meringankan
alleviation	pengurangan
alley	gang
alleyway	gang
alliance	persekutuan
allied	bersekutu
alligator	buaya
allocate	mengalokasikan
allocation	alokasi
allot	membagikan
allotment	peruntukan
allow	mengizinkan
allowable	diijinkan
allowance	tunjangan
allowed	diizinkan
alloy	paduan
allsmiles	NO TRANSLATION
allure	daya tarik
alluring	menarik
allusion	kiasan
alluvial	aluvial
ally	sekutu
almanac	almanak
almighty	mahakuasa
almond	badam
aloft	tinggi
aloha	aloha
alone	sendirian
alongside	di samping
aloof	jauh
aloud	nyaring
alpha	alfa
alphabet	alfabet
alphabetical	alfabetis
alpine	alpine
alreadyyyyy	sudahyyyy
altar	altar
altar boy	anak laki-laki altar
alter	mengubah
alteration	perubahan
altercation	pertengkaran
altered	diubah
alternate	bergantian
alternating	bergantian
alternative	alternatif
altimeter	alat pengukur tinggi
altitude	ketinggian
alto	alto
altogether	sama sekali
aluminum	aluminium
alumnus	lulusan
alveolar	alveolar
alzheimers	NO TRANSLATION
amalgam	campuran
amalgamation	penggabungan
amaretto	Amaretto
amass	mengumpulkan
amateur	amatir
amaze	menakjubkan
amazed	takjub
amazedness	NO TRANSLATION
amazement	keheranan
amazing	luar biasa
amazingly	luar biasa
ambassador	duta besar
amber	amber
ambience	suasana
ambient	ambient
ambiguity	kemenduaan
ambiguous	ambigu
ambit	ambit
ambition	ambisi
ambitious	ambisius
ambivalent	ambivalen
ambrosia	ambrosia
ambulance	ambulans
ambush	penyergapan
ameliorate	memperbaiki
amen	Amin
amenable	menerima
amend	merubah
amendment	amandemen
amends	memperbaiki
amenity	kemudahan
amethyst	kecubung
amiable	ramah
amicable	ramah tamah
amid	di tengah
amidst	di tengah-tengah
amino	amino
ammo	amunisi
ammonia	amonia
ammonium	amonium
ammunition	amunisi
amnesia	amnesia
amnesty	amnesti
amorous	asmara
amorphous	amorf
amortization	amortisasi
amount	jumlah
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	amfetamin
amphibian	amfibi
amphibious	amfibi
amphitheater	ampiteater
ample	cukup
amplification	amplifikasi
amplify	memperkuat
amplitude	amplitudo
amply	cukup
amputate	mengamputasi
amputation	amputasi
amuck	amuk
amulet	jimat
amuse	menghibur
amused	geli
amusement	hiburan
amusing	lucu
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	anestesi
anaesthetic	obat bius
anagram	anagram
anal	anal
analgesic	analgesik
analogous	sejalan
analogue	analog
analogy	analogi
analysis	analisis
analyst	analis
analytic	analitik
analytical	analitis
analyze	menganalisa
analyzer	analisa
anaphylactic	anafilaksis
anarchism	anarkisme
anarchist	anarkis
anarchy	anarki
anastomosis	anastomosis
anathema	laknat
anatomic	anatomis
anatomy	anatomi
ancestor	leluhur
ancestral	leluhur
ancestry	keturunan
anchor	jangkar
anchorage	pelabuhan
ancient	kuno
ancillary	tambahan
androgen	androgen
android	android
anecdote	anekdot
anemia	anemia
anemic	anemia
anemone	anemon
anesthesia	anestesi
anesthesiologist	ahli anestesi
anesthetic	obat bius
aneurysm	aneurisma
anew	lagi
angel	malaikat
angelic	seperti malaikat
anger	marah
angered	marah
angermanagement	NO TRANSLATION
angina	angina
angiogram	angiogram
angiography	angiografi
angle	sudut
angling	memancing
angora	angora
angriest	pemarah
angry	marah
angrytweet	NO TRANSLATION
angst	kecemasan
anguish	derita
anguished	tersiksa
angular	angular
anhydrous	anhidrat
animal	hewan
animate	menghidupkan
animated	animasi
animation	animasi
animosity	kebencian
animus	kebencian
ankle	pergelangan kaki
anklet	gelang kaki
annals	sejarah
annex	mencaplok
annexation	aneksasi
annexe	NO TRANSLATION
annihilate	membinasakan
annihilated	musnah
annihilation	penghancuran
anniversary	ulang tahun
annotate	membubuhi keterangan
annotation	anotasi
announce	mengumumkan
announcement	pengumuman
announcer	penyiar
annoy	mengganggu
annoyance	gangguan
annoyed	kesal
annoyin	NO TRANSLATION
annoying	menyebalkan
annoys	jengkel
annual	tahunan
annuity	anuitas
annul	membatalkan
annular	annular
annulment	pembatalan
annulus	annulus
anointed	yang diurapi
anointing	urapan
anomalous	ganjil
anomaly	anomali
anon	segera
anonymity	anonimitas
anonymous	anonim
anorexic	anoreksia
answer	menjawab
answerable	jawab
answering	menjawab
ant	semut
antagonism	antagonisme
antagonist	antagonis
antagonistic	bermusuhan
antagonize	memusuhi
ante	NO TRANSLATION
antecedent	mendahului
antelope	antelop
antenna	antena
anterior	depan
anthem	lagu kebangsaan
anthill	sarang semut
anthology	antologi
anthrax	antraks
anthropological	antropologis
anthropologist	antropolog
anthropology	antropologi
anti	anti
antiaircraft	antiaircraft
antibiotic	antibiotika
antibiotics	antibiotik
antichrist	antikristus
anticipate	mengantisipasi
anticipation	antisipasi
anticipatory	antisipatif
antics	kejenakaan
antidote	penangkal
antifungal	antijamur
antigravity	anti gravitasi
antimony	antimon
antipathy	antipati
antiquarian	barang antik
antiquated	kuno
antique	antik
antiques	barang antik
antiquity	jaman dahulu
antiseptic	antiseptik
antisocial	antisosial
antithesis	antitesis
antithetical	antitesis
antiviral	antivirus
antler	tanduk
antsy	antsy
anus	dubur
anvil	landasan
anxiety	kegelisahan
anxietyattack	NO TRANSLATION
anxious	gelisah
anxiousness	kecemasan
anytime	kapan saja
aorta	aorta
aortic	aorta
apace	cepat
apache	apache
apartment	Apartemen
apartments	apartemen
apathetic	apatis
apathy	apati
ape	kera
aperture	bukaan
apex	puncak
aphid	aphid
aphrodisiac	zat perangsang nafsu berahi
apiece	masing-masing
aplomb	percaya diri
apocalypse	wahyu
apocalyptic	apokaliptik
apologetic	minta maaf
apologist	pembela
apologize	minta maaf
apology	permintaan maaf
apostasy	kemurtadan
apostate	murtad
apostle	rasul
apostolic	apostolik
apostrophe	apostrof
apothecary	ahli obat
appalled	tercengang
appalling	mengerikan
apparatus	aparat
apparel	pakaian
apparent	semu
apparently	tampaknya
apparition	hantu
appeal	menarik
appear	muncul
appearance	penampilan
appease	menenangkan
appellant	pemohon
append	menambahkan
appendage	tambahan
appendectomy	pembedahan usus buntu
appendicitis	radang usus buntu
appendix	lampiran
appetite	nafsu makan
appetizer	hidangan pembuka
appetizing	selera makan
applaud	bertepuk tangan
applause	tepuk tangan
apple	apel
apple juice	jus apel
applejack	applejack
applesauce	saus apel
appliance	alat
appliances	peralatan
applicability	penerapan
applicable	berlaku
applicant	pemohon
application	aplikasi
apply	menerapkan
appoint	menunjuk
appointment	janji
appointments	janji
apportion	membagikan
apportionment	pembagian
appraisal	penilaian
appraise	menilai
appreciable	cukup besar
appreciate	menghargai
appreciated	dihargai
appreciates	menghargai
appreciation	apresiasi
appreciative	menghargai
apprehend	menangkap
apprehension	penangkapan
apprehensive	gelisah
apprentice	magang
apprenticeship	magang
approach	pendekatan
approaching	mendekati
approbate	NO TRANSLATION
approbation	persetujuan
appropriate	sesuai
appropriation	pemberian
approval	persetujuan
approve	menyetujui
approved	disetujui
approvement	persetujuan
approving	menyetujui
approximate	perkiraan
approximately	sekitar
approximating	mendekati
approximation	perkiraan
appurtenances	appurtenances
apricot	aprikot
apron	celemek
apt	tepat
aptitude	bakat
aqua	aqua
aquamarine	aquamarine
aquarium	akuarium
aquatic	akuatik
aqueduct	terowongan air
aqueous	encer
arable	garang
arbiter	wasit
arbitrary	sewenang-wenang
arbitrate	melerai
arbitration	arbitrasi
arbitrator	wasit
arbor	punjung
arc	busur
arcade	arcade
arcane	batin
arch	lengkungan
archaeological	arkeologi
archaeologist	arkeolog
archaeology	arkeologi
archaic	kuno
archangel	penghulu malaikat
archbishop	uskup agung
archdiocese	keuskupan agung
archduke	archduke
arched	melengkung
archer	pemanah
archery	panahan
archetype	pola dasar
archipelago	kepulauan
architect	arsitek
architectural	arsitektur
architecture	Arsitektur
archive	arsip
arctic	arktik
ardent	bersemangat
ardor	semangat
arduous	sulit
area	daerah
arena	arena
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	memperdebatkan
argument	argumen
argumentation	argumentasi
argumentative	argumentatif
arguments	argumen
arid	kering
arise	timbul
aristocracy	aristokrasi
aristocrat	aristokrat
aristocratic	bangsawan
arithmetic	hitung
ark	tabut
arm	lengan
armada	armada
armament	persenjataan
armaments	persenjataan
armature	angker
armchair	kursi berlengan
armed	bersenjata
armor	baja
armored	berlapis baja
armory	gudang senjata
armpit	ketiak
arms	senjata
army	tentara
aroma	aroma
aromatherapy	aromaterapi
arousal	gairah
arouse	membangkitkan
aroused	terangsang
arraignment	dakwaan
arrange	mengatur
arranged	diatur
arrangement	pengaturan
array	larik
arrears	tunggakan
arrest	menangkap
arrhythmia	aritmia
arrival	kedatangan
arrive	tiba
arrogance	arogansi
arrogant	sombong
arrow	panah
arsehole	arsehole
arseholes	arseholes
arsenal	gudang senjata
arsenic	arsenik
arson	pembakaran
arsonist	pembakar
art	seni
arterial	arteri
artery	pembuluh darah
artful	licik
arthritis	radang sendi
arthropod	arthropoda
artichoke	artichoke
article	artikel
articles	artikel
articulate	pandai berbicara
articulation	artikulasi
artifact	artefak
artifice	kecerdasan
artificial	buatan
artillery	artileri
artisan	tukang
artist	artis
artiste	NO TRANSLATION
artistic	artistik
artistry	kesenian
artists	artis
artwork	karya seni
arty	arty
asap	secepat mungkin
asbestos	asbes
ascend	naik
ascendancy	kekuasaan
ascendant	kekuasaan
ascending	naik
ascension	kenaikan
ascent	pendakian
ascertain	memastikan
ascertained	sudah dipastikan
ascetic	pertapa
ash	Abu
ashamed	malu
ashes	abu
ashtray	asbak
asinine	bodoh
ask	meminta
asleeep	NO TRANSLATION
asleep	tertidur
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	aspek
aspects	aspek
aspen	aspen
asphalt	aspal
asphyxia	asfiksia
asphyxiation	sesak napas
aspiration	aspirasi
aspire	bercita-cita
aspirin	aspirin
aspiring	bercita-cita tinggi
ass	pantat
assail	menyerang
assailant	penyerang
assassin	pembunuh
assassinate	membunuh
assassination	pembunuhan
assault	serangan
assay	pengujian kadar logam
assemblage	himpunan
assemble	berkumpul
assembled	dirakit
assembly	majelis
assemblyman	anggota parlemen
assent	persetujuan
assert	menegaskan
asserting	menegaskan
assertion	tuntutan
assertive	tegas
assess	menilai
assessment	penilaian
assessor	penilai
asset	aset
assets	aktiva
asshole	brengsek
assign	menetapkan
assignee	penerima tugas
assignment	tugas
assimilate	mengasimilasi
assimilation	asimilasi
assist	membantu
assistance	bantuan
assistant	asisten
associate	rekan
association	asosiasi
assorted	bermacam-macam
assortment	bermacam-macam
assuage	meredakan
assume	menganggap
assumed	diasumsikan
assuming	asumsi
assumption	anggapan
assurance	jaminan
assure	memastikan
assured	terjamin
assuredly	pasti
asterisk	asterisk
asteroid	asteroid
asteroids	asteroid
asthma	asma
asthmatic	asthmatic
astigmatism	astigmatisme
astonish	mencengangkan
astonished	heran
astonishing	mengherankan
astonishingly	NO TRANSLATION
astonishment	heran
astound	mengherankan
astral	astral
astray	sesat
astringent	astringent
astrologer	ahli nujum
astrology	perbintangan
astronaut	astronaut
astronomer	ahli astronomi
astronomical	astronomis
astronomy	astronomi
astute	cerdik
asunder	terbelah
asylum	suaka
asymmetric	asimetris
asymmetry	asimetri
asymptotic	asymptotic
atelier	studio
atheism	ateisme
atheist	ateis
atheistic	ateistik
atherosclerosis	aterosklerosis
athlete	atlet
athletic	atletis
athleticism	atletis
athletics	atletik
atlas	atlas
atmosphere	suasana
atmospheric	atmosfer
atoll	atol
atom	atom
atomic	atomik
atone	menebus
atonement	penebusan dosa
atpeace	dalam damai
atrium	atrium
atrocious	mengerikan
atrocity	kekejaman
atrophy	atrophia
attach	melampirkan
attached	terlampir
attachment	lampiran
attack	menyerang
attacker	penyerang
attacking	menyerang
attain	mencapai
attainable	dapat dicapai
attainment	pencapaian
attempt	mencoba
attempted	dicoba
attend	menghadiri
attendance	kehadiran
attendant	pembantu
attention	perhatian
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	penuh perhatian
attenuate	melemahkan
attenuated	dilemahkan
attenuation	atenuasi
attest	membuktikan
attestation	pengesahan
attic	loteng
attire	pakaian
attitude	sikap
attorney	pengacara
attract	menarik
attraction	daya tarik
attractive	menarik
attractiveness	daya tarik
attributable	disebabkan
attribute	atribut
attribution	atribusi
attrition	erosi
auburn	pirang
auction	lelang
auctioneer	juru lelang
audacious	berani
audacity	keberanian
audible	terdengar
audience	hadirin
audio	audio
audit	audit
audition	audisi
auditions	audisi
auditor	auditor
auditorium	auditorium
auditory	pendengaran
aught	apa pun
augment	menambah
augmentation	augmentasi
august	Agustus
aunt	bibi
auntie	bibi
aura	aura
aurora	aurora
auspices	bantuan
auspicious	menguntungkan
austere	keras
austerity	penghematan
authentic	asli
authenticate	mengotentikasi
authentication	otentikasi
authenticity	keaslian
author	penulis
authoritative	berwibawa
authority	wewenang
authorization	otorisasi
authorize	mengizinkan
authorized	resmi
authorship	kepengarangan
autism	autisme
autistic	autis
auto	mobil
autobiographical	otobiografi
autobiography	autobiografi
autocorrect	koreksi otomatis
autocratic	otokratis
autograph	tanda tangan
autographed	ditandatangani
automated	otomatis
automatic	otomatis
automobile	mobil
automotive	otomotif
autonomy	otonomi
autopilot	pilot otomatis
autopsy	autopsi
autumn	musim gugur
auxiliary	bantu
avail	faedah
availability	tersedianya
available	tersedia
avalanche	salju longsor
avarice	ketamakan
avatar	avatar
avenge	membalas
avenger	pembalas
avenging	balas dendam
avenue	jalan
aver	NO TRANSLATION
average	rata-rata
aversation	NO TRANSLATION
averse	enggan
averseness	kebencian
aversion	keengganan
avert	mencegah
aviary	kandang burung
aviation	penerbangan
aviator	penerbang
avid	keranjingan
avocado	alpukat
avoid	menghindari
avoidance	penghindaran
avoiding	menghindari
await	menunggu
awake	bangun
awaken	membangkitkan
awakening	bangun
award	menghadiahkan
awards	penghargaan
aware	sadar
awareness	kesadaran
awe	NO TRANSLATION
awed	kagum
awesome	luar biasa
awesomeness	keangkeran
awestruck	terpesona
awful	mengerikan
awkward	canggung
awkwardness	kejanggalan
awning	kajang
awry	serba salah
axe	kapak
axial	aksial
axiom	aksioma
axiomatic	aksiomatis
axis	sumbu
axle	gandar
ay	ay
aye	ya
azimuth	azimut
azure	biru langit
babble	mengoceh
babbling	mengoceh
babe	bayi
baboon	babon
baby	bayi
babysit	mengasuh
babysitter	pengasuh anak
baccalaureate	sarjana muda
baccarat	baccarat
bachelor	bujangan
bachelorette	bujangan
back	kembali
backboard	papan belakang
backbone	tulang punggung
backdoor	pintu belakang
backdrop	latar belakang
backer	penyokong
backfire	menjadi bumerang
backgammon	bakgamon
background	Latar Belakang
backhand	backhand
backhoe	backhoe
backoff	mundur
backpack	ransel
backpacker	backpacker
backroom	ruang belakang
backseat	kursi belakang
backside	bagian belakang
backtrack	mundur
backup	cadangan
backward	ke belakang
backwardness	keterbelakangan
backwards	ke belakang
backwater	terpencil
backwoods	dusun
backyard	halaman belakang
bacon	daging babi asap
bacteria	bakteri
bacterial	bakteri
bacterium	bakteri
bad	buruk
badass	badass
badday	NO TRANSLATION
badfeeling	NO TRANSLATION
badge	lencana
badger	luak
badhabit	NO TRANSLATION
badly	sangat
badness	kejahatan
baffle	membingungkan
baffled	bingung
bag	tas
bagel	bagel
baggage	bagasi
baggie	baggie
baggy	longgar
bagman	pedagang berkelana
bagpipes	bagpipe
bail	jaminan
bailiff	juru sita
bait	umpan
bake	membakar
bakery	toko roti
baking	pembakaran
bal	NO TRANSLATION
balance	keseimbangan
balanced	seimbang
balcony	balkon
bald	botak
balding	botak
baldy	botak
bale	bal
balk	menggagalkan
ball	bola
ballad	kidung
ballast	pemberat
ballerina	penari balet
ballet	balet
ballgame	permainan bola
ballistic	balistik
ballistics	ilmu balistik
balloon	balon
ballot	suara
ballpark	kasarnya
ballplayer	pemain bola
ballpoint	pulpen
ballroom	ballroom
ballsy	ballsy
balm	balsem
balmy	nyaman
balsam	balsem
balsamic	balsamic
bam	bam
bamboo	bambu
ban	NO TRANSLATION
banana	pisang
band	pita
bandage	perban
bandanna	NO TRANSLATION
bandit	bandit
bandstand	panggung band
bandwagon	kereta musik
bandwidth	bandwidth
bane	kutukan
bang	bang
banger	banger
banish	membuang
banished	dibuang
banishment	pembuangan
banister	pegangan tangga
banjo	banjo
bank	bank
banker	bankir
banking	perbankan
bankroll	bankroll
bankrupt	bangkrut
bankruptcy	kebangkrutan
banner	spanduk
banquet	perjamuan
banshee	banshee
banter	kelakar
banzai	NO TRANSLATION
baptism	baptisan
baptismal	baptisan
baptize	membaptis
bar	bar
barb	duri
barbarian	barbar
barbaric	biadab
barbarism	barbarisme
barbecue	panggang
barbed	berduri
barber	tukang cukur
barbershop	tukang potong rambut
barbie doll	boneka Barbie
bard	penyair
bare	telanjang
bareback	tdk berpelana
barefoot	tanpa alas kaki
barely	hampir
barf	muntah
bargain	tawar
bargaining	tawar menawar
barge	tongkang
baritone	bariton
barium	barium
bark	kulit
barkeep	barkeep
barks	gonggongan
barley	jelai
barmaid	gadis bar
barman	pelayan bar
barn	lumbung
barnacle	teritip
barney	barney
barnyard	lumbung
barometer	barometer
baron	baron
baroness	istri baron
baroque	barok
barrack	barak
barracuda	barakuda
barrage	bendungan
barred	dilarang
barrel	barel
barren	tandus
barricade	barikade
barrier	pembatas
barring	pembatasan
barrister	pengacara
barroom	ruang bar
barrow	gerobak dorong
bartender	bartender
barter	barter
base	mendasarkan
baseball	baseball
baseball bat	tongkat pemukul baseball
baseboard	alas tiang
baseless	tidak berdasar
baseline	baseline
baseman	baseman
basement	ruang bawah tanah
bases	basa
bash	pesta
bashful	malu
basic	dasar
basics	dasar-dasar
basil	kemangi
basilica	basilika
basin	baskom
basis	dasar
bask	berjemur
basket	keranjang
basketball	bola basket
bass	bas
bass guitar	gitar bass
basso	NO TRANSLATION
bassoon	bassoon
bastard	bajingan
bastarding	bastarding
bastards	bajingan
bastion	benteng pertahanan
bat	kelelawar
batch	bets
batching	batching
