Word	yi
alderman	אלכסנדר
ale	NO TRANSLATION
alert	פלינק
alertness	alertness
alerts	אַלערץ
alfalfa	אַלפאַלפאַ
algebra	אַלגעבראַ
algebraic	אַלגעבראַיק
algorithm	אַלגערידאַם
alias	אַליאַס
alibi	alibi
alien	פרעמד
alienate	alienate
alienated	alienated
alienation	ייליאַניישאַן
alight	אַליגהט
align	align
aligned	אַליינד
alignment	alignment
alike	ענלעך
alimentation	NO TRANSLATION
alimony	אַלימענט
aliquot	aliquot
alive	לעבעדיק
alkali	אַלקאַלי
alkaloids	אַלקאַלוידז
allay	אַללייַ
allegation	אַלאַגיישאַן
allege	אַלע
alleged	alleged
allegiance	געטרייַשאַפט
allegorical	allegorical
allegory	אַלערגאָרי
allegro	allegro
allergic	אַלערדזשיק
allergy	אַלערגיע
alleviate	גרינגער
alleviation	לייוויקייט
alley	אַלייע
alleyway	אַלייע
alliance	אַלליאַנסע
allied	אַלייד
alligator	אַלאַגייטער
allocate	אַלאַקייט
allocation	אַלאַקיישאַן
allot	allot
allotment	אַלאַטמאַנט
allow	לאָזן
allowable	allowable
allowance	allowance
allowed	ערלויבט
alloy	צומיש
allsmiles	NO TRANSLATION
allure	פאַרנאַרן
alluring	alluring
allusion	allusion
alluvial	אַלווויאַל
ally	אַליירט
almanac	אַלמאַנאַק
almighty	אַלמעכטיק
almond	מאַנדל
aloft	אַלאָפט
aloha	ערשטער
alone	alone
alongside	צוזאמען
aloof	aloof
aloud	aloud
alpha	alpha
alphabet	אלפאבעט
alphabetical	אַלפאַבעטיקאַל
alpine	אַלפּיין
alreadyyyyy	alreadyyyyy
altar	מזבח
altar boy	altar boy
alter	alter
alteration	alteration
altercation	אַלטערנקייט
altered	altered
alternate	alternate
alternating	אָלטערנייטינג
alternative	אָלטערנאַטיוו
altimeter	altimeter
altitude	הייך
alto	אַלטאָ
altogether	אלע צוזאמען
aluminum	אַלומינום
alumnus	אַלומינום
alveolar	אַלוועאָלאַר
alzheimers	NO TRANSLATION
amalgam	amalgam
amalgamation	amalgamation
amaretto	amaretto
amass	אַמאַס
amateur	amateur
amaze	אַמייז
amazed	אַמייזינג
amazedness	NO TRANSLATION
amazement	אַמייזמאַנט
amazing	געוואלדיג
amazingly	אַמייזינגלי
ambassador	אַמבאַסאַדאָר
amber	בורשטין
ambience	אַמביאַנס
ambient	אַמביאַנט
ambiguity	אַמביגיואַטי
ambiguous	אַמביגיואַס
ambit	אַמביט
ambition	אַמביציע
ambitious	אַמביציעס
ambivalent	אַמביגאַנט
ambrosia	אַמבראָסיאַ
ambulance	אַמבולאַנס
ambush	אַמבוש
ameliorate	פאַרגרעסערן
amen	amen
amenable	amenable
amend	אַמענד
amendment	אַמענדמענט
amends	amends
amenity	amenity
amethyst	אַמעטהיסט
amiable	ליב
amicable	amicable
amid	צווישן
amidst	אַמידסט
amino	אַמינאָ
ammo	אַממאָ
ammonia	אַמאָוניאַ
ammonium	אַמאָוניאַם
ammunition	ammunition
amnesia	אַמניזשאַ
amnesty	אַמניסטיע
amorous	ליבהאָבער
amorphous	אַמאָרפאַס
amortization	אַמאָרטיזאַטיאָן
amount	סומע
amour	NO TRANSLATION
amp	amp
ampersand	ampersand
amphetamines	אַמפעטאַמינז
amphibian	amphibian
amphibious	אַמפיביאַס
amphitheater	אַמפיטהעאַטער
ample	גענוג
amplification	אַמפּלאַפאַקיישאַן
amplify	אַמפּלאַפיי
amplitude	אַמפּליטוד
amply	amply
amputate	אַמפּוטאַטע
amputation	אַמפּיאַטיישאַן
amuck	אַמוק
amulet	amulet
amuse	פאַרווייַלן
amused	אַמיוזד
amusement	פאַרווייַלונג
amusing	amusing
ana	NO TRANSLATION
anaconda	anaconda
anaesthesia	אַניסטיזשאַ
anaesthetic	אַנאַסטעטיק
anagram	anagram
anal	אַנאַל
analgesic	אַנאַלדזשיסיק
analogous	analogous
analogue	אַנאַלאָג
analogy	אַנאַלאַדזשי
analysis	אַנאַליסיס
analyst	אַנאַליסט
analytic	analytic
analytical	analytical
analyze	פונאַנדערקלייַבן
analyzer	אַנאַליזער
anaphylactic	anaphylactic
anarchism	אַנאַרכיזאַם
anarchist	anarchist
anarchy	אַנאַרכיע
anastomosis	אַנאַסטאָמאָסיס
anathema	anathema
anatomic	anatomic
anatomy	anatomy
ancestor	אָוועס
ancestral	ancestral
ancestry	ancestry
anchor	אַנקער
anchorage	anchorage
ancient	אלטע
ancillary	אַנסיללאַרי
androgen	אַנדראָגען
android	אַנדרויד
anecdote	anecdote
anemia	אַנעמיאַ
anemic	אַנעמיק
anemone	anemone
anesthesia	אַניסטיזשאַ
anesthesiologist	אַנעסטהעסיאָלאָגיסט
anesthetic	אַנאַסטעטיק
aneurysm	אַנריזיסם
anew	ווידער
angel	מלאך
angelic	angelic
anger	קאַס
angered	angered
angermanagement	NO TRANSLATION
angina	אַנדזשיינאַ
angiogram	angiogram
angiography	אַנגיאָגראַפי
angle	ווינקל
angling	angling
angora	Angora
angriest	Angriest
angry	angry
angrytweet	NO TRANSLATION
angst	Angst
anguish	פרידלעך
anguished	angry
angular	ווינקלדיק
anhydrous	אַנהידראָוס
animal	animal
animate	אַנימאַטעד
animated	animated
animation	animation
animosity	אַנימאָסיטי
animus	animus
ankle	קנעכל
anklet	אַנגקליט
annals	annals
annex	annex
annexation	annexation
annexe	NO TRANSLATION
annihilate	annihilate
annihilated	אַנייאַלייטיד
annihilation	אַנייאַליישאַן
anniversary	יאָרטאָג
annotate	אַנאָטירן
annotation	אַנאָטאַציע
announce	מעלדן
announcement	announcement
announcer	אַנאַונסער
annoy	באדערן
annoyance	אַנויאַנס
annoyed	אַנויד
annoyin	NO TRANSLATION
annoying	אַנויינג
annoys	annoys
annual	יערלעך
annuity	annuity
annul	annul
annular	annular
annulment	annulment
annulus	annulus
anointed	anointed
anointing	anointing
anomalous	אַנאַמאַלאַס
anomaly	anomaly
anon	anon
anonymity	אַנאָנימיטי
anonymous	אַנאָנימע
anorexic	אַנאָרעקסיק
answer	ענטפער
answerable	פאַראַנטוואָרטלעך
answering	answering
ant	ant
antagonism	אַנטאַגאַניזאַם
antagonist	אַנטאַגנאַסט
antagonistic	אַנטאַגאָניש
antagonize	אַנטאַגאָניזירן
ante	NO TRANSLATION
antecedent	antecedent
antelope	אַנטעלאָפּע
antenna	אַנטענע
anterior	anterior
anthem	הימען
anthill	אַנטהילל
anthology	אַנטאַלאַדזשי
anthrax	אַנטראַקס
anthropological	אַנטהראָפּאָלאָגיקאַל
anthropologist	אַנטראַפּאַלאַדזשיסט
anthropology	אַנטהראָפּאָלאָגי
anti	אַנטי
antiaircraft	אַנטי-ערקראַפט
antibiotic	אַנטיביאָטיק
antibiotics	אַנטיביאָטיקס
antichrist	אַנטיטשריסט
anticipate	ריכטיק
anticipation	אַנטיסאַפּיישאַן
anticipatory	אַנטיפּעראַטאָרי
antics	NO TRANSLATION
antidote	אַנטידאָט
antifungal	אַנטיפונג
antigravity	אַנטיגראַוויטי
antimony	אַנטימאָני
antipathy	אַנטיפּאַטי
antiquarian	אַנטיקוויסטיק
antiquated	antiquated
antique	אַנטיק
antiques	antiques
antiquity	antiquity
antiseptic	אַנטיסעפּטיק
antisocial	אַנטיסאָסיאַל
antithesis	אַנטיטעסיס
antithetical	אַנטיטהעטיקאַל
antiviral	אַנטיוויראַל
antler	antler
antsy	antsy
anus	אַנוס
anvil	anvil
anxiety	anxiety
anxietyattack	NO TRANSLATION
anxious	anxious
anxiousness	anxiousness
anytime	anytime
aorta	אַאָרטאַ
aortic	אַאָרטיק
apace	apace
apache	אַפּאַטשי
apartment	וווינונג
apartments	אַפּאַרטמאַנץ
apathetic	אַפּאַטהעטיק
apathy	אַפּאַטהי
ape	ייפּע
aperture	עפענונג
apex	אַפּעקס
aphid	aphid
aphrodisiac	אַפּראָדיסיאַק
apiece	א שטיקל
aplomb	אַפּפּלאָמב
apocalypse	אַפּאָקאַליפּסע
apocalyptic	אַפּאַקאַליפּטיק
apologetic	אַפּאָלאָגעטיקס
apologist	אַפּאָלאָגיסט
apologize	אַנטדעקן
apology	אַנטשולדיקונג
apostasy	apostasy
apostate	אָפּשיידן
apostle	שליח
apostolic	אַפּאָסטאָליק
apostrophe	apostrophe
apothecary	אַפּאַטייקאַרי
appalled	אַפּאָלד
appalling	גרויליק
apparatus	אַפּאַראַט
apparel	קלייד
apparent	קלאָר
apparently	משמעות
apparition	פנים
appeal	אַפּעלירן
appear	זיך באווייזן
appearance	אויסזען
appease	באַרויקן
appellant	אַפּעלאַנט
append	append
appendage	אַפּענדידזש
appendectomy	אַפּפּענדעקטאָמי
appendicitis	אַפּפּענדיסיטיס
appendix	appendix
appetite	אַפּעטיט
appetizer	אַפּפּעטיזער
appetizing	אַפּעטיטלעך
applaud	applaud
applause	אַפּלאָדיסמענטן
apple	עפּל
apple juice	עפּל זאַפט
applejack	applejack
applesauce	applesauce
appliance	appliance
appliances	אַפּלייאַנסיז
applicability	אַפּלאַקיישאַן
applicable	אָנווענדלעך
applicant	אַפּליקאַנט
application	אַפּלאַקיישאַן
apply	צולייגן
appoint	נאָמינירן
appointment	אַפּוינטמאַנט
appointments	אַפּוינטמאַנץ
apportion	ויספאָרשונג
apportionment	פארטיילונג
appraisal	אָפּשאַצונג
appraise	אָפּשאַצן
appreciable	נאָוטאַבאַל
appreciate	אָפּשאַצן
appreciated	appreciated
appreciates	appreciates
appreciation	appreciation
appreciative	appreciative
apprehend	apprehend
apprehension	ופמערקזאַמקייט
apprehensive	apprehensive
apprentice	לערניינגל
apprenticeship	לערניינגל
approach	צוגאַנג
approaching	צוגאַנג
approbate	NO TRANSLATION
approbation	approbation
appropriate	געהעריק
appropriation	אַפּראָופּרייישאַן
approval	האַסקאָמע
approve	approve
approved	באוויליקט
approvement	approvement
approving	approving
approximate	אַפּפּראָקסימאַטע
approximately	בעערעך
approximating	אַפּשאַנאַל
approximation	אַפּשאַנאַל
appurtenances	אַפּערטונאַנסיז
apricot	אַפּריקאָס
apron	פאַרטעך
apt	apt
aptitude	aptitude
aqua	אַקוואַ
aquamarine	אַקוואַמערין
aquarium	אַקוואַריום
aquatic	וואַסער
aqueduct	אַקוועדוקט
aqueous	ייקוויאַס
arable	arable
arbiter	אַרביטטער
arbitrary	arbitrary
arbitrate	אַרביטראַטע
arbitration	אַרביטריישאַן
arbitrator	אַרביטרייטער
arbor	אַרבאָר
arc	קרייַזבויגן
arcade	אַרקייד
arcane	אַרקיין
arch	אַרטש
archaeological	אַרקיאַלאַדזשיקאַל
archaeologist	אַרקיאַלאַדזשיסט
archaeology	אַרטשאַעאָלאָגי
archaic	archaic
archangel	אַרטשאַנגעל
archbishop	אַרטשבישאָפּ
archdiocese	אַרטשדיאָסעס
archduke	אַרטשדוקקע
arched	אַרטשט
archer	אַרטשער
archery	אַרטשערי
archetype	archetype
archipelago	אַרטשאַפּאַלייגאָו
architect	אַרכיטעקט
architectural	אַרקאַטעקטשעראַל
architecture	אַרקאַטעקטשער
archive	אַרקייוו
arctic	אַרקטיש
ardent	פאַרברענט
ardor	ardor
arduous	arduous
area	געגנט
arena	ארענע
areola	areola
areyoukidding	NO TRANSLATION
areyoukiddingme	NO TRANSLATION
argent	NO TRANSLATION
argh	argh
arghh	NO TRANSLATION
arghhhh	NO TRANSLATION
argue	טייַנען
argument	argument
argumentation	argumentation
argumentative	argumentative
arguments	טענות
arid	arid
arise	ופקומען
aristocracy	אַריסטאָקראַטיע
aristocrat	אַריסטאָקראַט
aristocratic	אַריסטאָקראַטיש
arithmetic	אַריטמעטיק
ark	ark
arm	אָרעם
armada	armada
armament	armament
armaments	armaments
armature	אַרמאַטורע
armchair	armchair
armed	אַרמד
armor	פאנצער
armored	אַרמערד
armory	armory
armpit	אַרמפּיט
arms	arms
army	אַרמיי
aroma	aroma
aromatherapy	אַראָמאַטהעראַפּי
arousal	ויסזאָגונג
arouse	ופמאַכן
aroused	אויפגעשטאנען
arraignment	arraignment
arrange	צולייגן
arranged	עריינדזשד
arrangement	arrangement
array	array
arrears	פאַרווער
arrest	אַרעסטירן
arrhythmia	ערידמיאַ
arrival	אָנקומען
arrive	אָנקומען
arrogance	גאַדלעס
arrogant	עראַגאַנט
arrow	פייַל
arsehole	אַרסעהאָלע
arseholes	אַרסעהאָלעס
arsenal	אַרסענאַל
arsenic	אַרסעניק
arson	וניווערסאַל
arsonist	אַרסאַנאַסט
art	קונסט
arterial	אַרטעריאַל
artery	אַרטעריע
artful	artful
arthritis	אַרטריט
arthropod	arthropod
artichoke	artichoke
article	article
articles	ארטיקלען
articulate	articulate
articulation	אַרטיקולאַטיאָן
artifact	אַרטיפאַקט
artifice	artifice
artificial	קינסטלעך
artillery	אַרטילעריע
artisan	אַרטיס
artist	קינסטלער
artiste	NO TRANSLATION
artistic	אַרטיסטישע
artistry	artistry
artists	קינסטלער
artwork	artwork
arty	arty
asap	ווי אומשנעלסטן
asbestos	אַסבעסטאַס
ascend	אַרויף
ascendancy	ascendancy
ascendant	ascendant
ascending	אַסענדינג
ascension	ascension
ascent	ascent
ascertain	ויסשליסן
ascertained	באשטימט
ascetic	ascetic
ash	אַש
ashamed	פאַרשעמט
ashes	אש
ashtray	אַשטרייַ
asinine	asinine
ask	פרעגן
asleeep	NO TRANSLATION
asleep	שלאָפנדיק
asp	asp
asparagus	asparagus
aspartame	aspartame
aspect	אַספּעקט
aspects	אַספּעקץ
aspen	אַספּאַן
asphalt	asphalt
asphyxia	asphyxia
asphyxiation	asphyxiation
aspiration	שטייגער
aspire	אַספּייר
aspirin	אַספּירין
aspiring	aspiring
ass	ass
assail	assail
assailant	אַסילאַנט
assassin	מערדער
assassinate	assassinate
assassination	אַסאַסאַניישאַן
assault	אַטאַקע
assay	ויסזאָגונג
assemblage	assembly
assemble	אַסעמבאַל
assembled	assembled
assembly	assembly
assemblyman	assemblyman
assent	assent
assert	assert
asserting	אַסערטינג
assertion	באַשטעטיקן
assertive	assertive
assess	אַסעסמאַנט
assessment	assessment
assessor	אַססעססאָר
asset	אַסעט
assets	אַסעץ
asshole	asshole
assign	באַשטימען
assignee	באַשטעטיקונג
assignment	אַסיינמאַנט
assimilate	אַסימאַלייט
assimilation	אַסימילאַטיאָן
assist	אַרוישעלפן
assistance	הילף
assistant	אַסיסטאַנט
associate	מיטאַרבעטער
association	association
assorted	אַסאָרטיד
assortment	אויסוואל
assuage	assuage
assume	assume
assumed	assumed
assuming	assuming
assumption	assumption
assurance	פארזיכערונג
assure	פאַרזיכערן
assured	פאַרזיכערן
assuredly	assuredly
asterisk	אַסטעריסק
asteroid	אַסטערויד
asteroids	אַסטערוידז
asthma	אַסטם
asthmatic	אַסטמאַטיק
astigmatism	אַסטיגמאַטיזאַם
astonish	astonish
astonished	סאַפּרייזד
astonishing	astonishing
astonishingly	NO TRANSLATION
astonishment	כידעש
astound	astound
astral	astral
astray	astray
astringent	אַסטרינדזשאַנט
astrologer	אַסטראַלאַדזשער
astrology	אַסטראָלאָגיע
astronaut	אַסטראָנאַווט
astronomer	astronomer
astronomical	אַסטראַנאַמיקאַל
astronomy	אַסטראָנאָמיע
astute	astute
asunder	asunder
asylum	Asylum
asymmetric	אַסיממעטריק
asymmetry	אַסיממעטרי
asymptotic	אַסימפּטאָטיק
atelier	atelier
atheism	אַטהעיסם
atheist	אַטהעיסט
atheistic	אַטהעיסטיק
atherosclerosis	atherosclerosis
athlete	אַטלעט
athletic	אַטלעטיק
athleticism	אַטלעטיקיס
athletics	אַטלעטיקס
atlas	אַטלאַס
atmosphere	אַטמאָספער
atmospheric	אַטמאַספעריק
atoll	atoll
atom	אַטאָם
atomic	אַטאָמישע
atone	atone
atonement	אַטאָנעמענט
atpeace	atpeace
atrium	אַטריום
atrocious	כייַע
atrocity	אַסטראָלאָגיע
atrophy	אַטראָפי
attach	attach
attached	אַטאַטשט
attachment	attachment
attack	באַפאַלן
attacker	אַטאַקער
attacking	attacking
attain	attain
attainable	attainable
attainment	attainment
attempt	פּרווון
attempted	געפרוווט
attend	אָנטייל נעמען
attendance	attendance
attendant	באַגלייטער
attention	ופמערקזאַמקייַט
attentionseeker	NO TRANSLATION
attentionseekers	NO TRANSLATION
attentive	אַטענטיוו
attenuate	אַטטענואַטע
attenuated	אַטטענואַטעד
attenuation	אַטטענואַטיאָן
attest	attest
attestation	אַטטעסטאַטיאָן
attic	בוידעם
attire	קלייד
attitude	שטעלונג
attorney	אַדוואָקאַט
attract	צוציען
attraction	אַטטראַקטיאָן
attractive	אַטראַקטיוו
attractiveness	אַטראַקטיוונאַס
attributable	attributable
attribute	attribute
